Coulde 	 slightly sceptical hotel read review site , like previous New York hotel ( similar review ) , decide go ahead book . arrival quite surprise much small lobby compare previous New York hotel ( Grand Hyatt ) , certainly not make less hotel . check 6 pm greet helpful polite man name Adelin something similar upgrade we corner room kitchenette amazing view . room nice clean , large comfiest bed ever sleep . staff extremely friendly , especially one valet 's . sure name either always wear large coat outside , always ask we enjoy day always stop chat . the location hotel not bad , walk bit hotel be talk 5 - 10minute walk Grand Central always Taxi 's outside ready business . I not try room service / hotel restaurant never normally pay price room service not seem expensive . get breakfast every morning little place corner 44th + 2nd call Plaza Delhi amazing pancake bagel really good price ( 2 cream cheese bagel + 3 large pancake syrup + 2 large coffee 's $ 9.95 ) .We not really try hotel facility pool gym etc , plan not really find time / do not energy walk around NY day . I would definitely stay hotel , stay thanksgiving get really good price hotel advance booking site . would recommend hotel anyone . 
 amazing view 	 would definitely recommmend hotel location panorama room . front desk staff could helpful though ! 
 great hotel .... quite walk shop sight 	 wonderful start hotel get upgrade huge room ( mini suite ? ) 39th floor . fantastic view high .... make sure really clear emergency stair ! room clean , staff really pleasant pool / gym good . my son wonderful time except distance shop sight . first walk Broadway 34th Street etc time get already ache foot . decide get cab fine cost really start mount . stay really need make sure get grip subway . 
 good hotel NY 	 Luxury hotel , cheap price , good service ... word ! 
 Apr 7 2007 	 sip wine watch New York Skyline - absolutely surreal - like movie set 	 stay 23 March six night - 35 floor East Tower . two tip - plan use pool ( lovely ) ask Reception provide bath robe stay nip pool use - lot people ask we get . also , ask one towel check pool small - girl need one hair one toe ! ! hotel feel safe two girl travel together - use restaurant - twice buffet breakfast , brillian - expensive eat much do not need eat till night time , dinner good . ask concierge provide coffee make facility - give we nice pot filter coffee morning . put tray outside door room service remove - charge this . really recommend Ellen 's Diner Times Square something eat - wait staff sing meal really good - great atmosphere dear - good night out . yes , bit way , meet people stay theatre district could sleep noise night - whereas come home , glass wine soak view East River Empire State Building - well 35th floor cos do not close blind stay want miss minute . go hotel - honestly think regret . 
 Apr 2 2007 	 Fine hotel l ittle way 	 ultimate way see NYC reasonable price . get good rate nice hotel . room lovely . beautiful view river . gorgeous . room fine . amenity not time take advantage , lobby lovely , conceirge quite helpful . qualm hotel subway person ( oppose cab person ) , be block Grand Central Station . want ultimate convenience , 's offer , time , be block . big deal totally worth . staff friendly helpful , let we check early , problem . great . 
 Apr 2 2007 	 Disappointing ' m afraid . 	 stay UN Millenium Plaza four night 22 March . although hotel public area nice , review state , view room wonderful ( 36th floor ) let room itself . for suppose 5 star hotel , bedroom basic without even tea / coffee make facility bathroom even bad . bathroom need good clean certainly redecoration update facility . whilst would prefer stay somewhere central , realise other would like fact hotel distance attraction Times Square . for , hotel good place sleep 5 star property advertise ' m afraid disappointed . 
 Mar 26 2007 	 Fabulous Pool Views ; Great Stay 	 stay hotel end March read lot review site . great stay ; think one 's happiness hotel depend lot be look . , outstanding feature , important , make love hotel . first , POOL . kid enjoy hotel pool , need get daily swim , stay . thoroughly research pool Manhattan hotel trip . total seven pool Manhattan 's hotel except one , close 7:30 8 pm , may even require lap swimming ( pool play ) swim cap . Millenium pool , however , open 10 pm . water warm , view skyline river breathtaking , shower / locker room facility extremely nice . kid ( ) splash around use pool toy restriction , nice lounge chair around pool watch . provide towel ! next - quiet ! yes , be true hotel not midtown 's plus ; be nice able leave hotel walk along river hear something besides honk horn . grateful & quot ; hear New York & quot ; around clock . People already write stupendous view spacious room . stay East Tower , & quot ; remodel , & quot ; although room simple huge comfortable , well stocked mini - bar . , staff exceptionally courteous . thing & quot ; less perfect : & quot ; unfortunately not & quot ; room & quot ; coffee , since know ahead time bring small & quot ; Mr. Coffee & quot ; pot coffee make . next : parking . always problem New York . however , hotel 44th , right around corner 45th , two minute walk , garage leave car . also save lengthy wait get car use hotel 's valet parking . find hotel really lovely respect , especially since pool kid play high list & quot ; must have 's . & quot ; pool , view , peace quiet , helpful staff , room big enough really move around make hotel stay worth , absolutely will not disappoint stay . 
 Mar 26 2007 	 Fantastic View let bathroom .... 	 mix feeling hotel - positive negative . firstly , view amazing . room 28th floor East Tower . mean great view East River also Chrysler Empire State Buildings ! highlight itself . the positive aspect size room . pretty big . many hotel NYC tiniest room , really good size . the room basic perfectly adequate . one bed pretty bad rock constantly , choice bother report reception . the big let bathroom . quite frankly disgusting . room need really good deep clean . stunk cigarette smoke , skirt board black grime , end hair belong we appear , shower poor general hygiene poor . bathroom also look though include room renovate . apart bathroom , generally happy hotel . eat price ridiculous even NYC ! reception staff great extended check 3 pm really make difference last day . to sum , would go back , get really , really good deal . 
 Mar 23 2007 	 Recommended - 	 stay Millennium UN Plaza Hotel end February highly recommend . room big clean everyone say - great view Chrysler building Empire State . ' ve New York yo might think 's really big city hotel far 's . walk Times Square .... metro card 's even easy ! $ 28 ( ? ) get 7days travel subway 's bus hotel 's short walk Grand Central get shuttle times square join number different subway line depend be day . shop deli 's near hotel average - expect maybe consider business UN bring . restaurant easy walk distance variety food choose . less people night 's business area , never empty always traffic go past necver worried . can highly recommend Confort Diner 45th ( ? ) - great breakfast get busy weekend time wrong , expect queue ! 
 Mar 15 2007 	 absolutely brilliant 	 stay UN Plaza Hotel early January , two bed suite family five adult . lounge large , plenty room hold roll bed . suite kitchen , really handy , staff provide pot / pan / plates/ cutlery . female receptionstaff friendly helpful , concerierge . pool / gym / sauna nearly always quiet , also clean provide toiletry etc . view room sensational , could see Manhatton river . look build work river may impact river view , build high rise . like little 24hour shop hotel take away coffee cake , also get good fruit food stall Grand Central Station . notice lot security round front hotel , include kind security dog . we really lucky weather , record high stay , five night nowhere near enough time thing want , fantastic time would recommend hotel view pool , nice staff . 
 Mar 14 2007 	 Great view ! 	 stay Millennium UN Plaza NY marathon . little complain regard hotel - room stay great ! bed comfortable view amazing . lucky enough room corner hotel window . complaint hotel little cold . especially run 26 mile , look forward nice hot bath jump get fright life - water freezing ! however , put aside , think hotel staff friendly accommodate . also , great location ! 
 Mar 6 2007 	 excellent end ! 	 first room give great view Chrysler building & amp ; Empire state , room shabby , huge shabby . sheet little hole room smell cook , probably little kitchen , good idea cooker look like come titanic . final straw shower not work . move we within 2 hour another room slightly small , kitchen , good cook holiday ! . view even well , Empire state Chrysler view East river . Edward & amp ; Kenzo conciergeare helpful , ask anything . staff friendly . bed comfy . try Johns end road breakfast go every day five day staff soon recognise friendly . chinese restaurant opposite good friendly . Deans 2nd Ave good . Ambassador Grill hotel slighty expensive , good NY steak excellent try prawn crab starter . brilliant holiday , take 7 year old child friendly 
 Mar 1 2007 	 worried first need not would go ! 	 worry reading review , say WOW ! go Feb half term hotel amazing . check early 1 pm ask corner room , walk door jaw drop view window . East river UN one side magnificent Chrysler Building . need say , not close blind night go sleep , wake amazing view . photo not justice . the staff extremely helpful polite , unlike review read , elevator never problem . bar snack Ambassador Grill , bit pricey good never problem get cab due amazing whistle skill doorman . we eat Johns one morning cheap cheerful , good food , great service . however last morning concierge advise we Comfort Diner 46thstreet , think 2nd 3rd . service even well food excellent ! ! ! ! ! ! would recommend hotel anyone stay NYC especially want avoid busy noisy Times Square area , great location within walk distance 5th ave ( 10mins ) grand central ( 5 min ) enjoy ! ! ask corner room ! 
 Feb 28 2007 	 great stay ! 	 take Airport Express Coach Newark ( $ 23pp return ) Grand Central Station 3rd stop Manhattan . 's 10 minute walk hotel situate E44th Street 1st 2nd Avenues . reception area plush clean helpful concierge reception staff . 2 tower - east west . room 31st floor west tower . room clean , neutral decoration good size large bed , minibar ( v.expensive ! ) , tv , air con / heating , small table chair great view Empire State Chrysler Buildings window floor ceiling glass . bathroom clean could done modernisation . the hotel amazing swimming pool 27th floor east tower floor ceiling window view East River Manhattan . also saunas , massage area well equip gym . towel provide small though - like hand towel ! tennis court 30th floor book pay extra . restaurant room service hotel , either day night ! great place breakfast ( mention lot review ) Johns . pay $ 20 2 hot breakfast toast , jam unlimited coffee include tip set we day 's walking . the near subway Grand Central take Brooklyn Bridge Ground Zero area . subway bus either buy $ 2 one journey ticket day fun pass $ 7 . get bus 2nd Avenue South Ferry get Staten Island Ferry ( free ) see Statue Liberty . within walking distance hotel Times Square , Central Park , 5th Avenue shop , Rockefeller Centre , Empire State Building New York City Library . I would definitely stay comforable , clean , great location staff make feel welcome . 
 Feb 12 2007 	 Best Week ever 	 truly unforgettable stay , hotel clean , warm friendly . staff - Robert outstanding . ideally locate Grand Central Station . visit John 's breakfast absolutely brilliant - cheap , fast friendly . we good week ever , Millenium Plaza helped make truly unforgettable . 
 Feb 8 2007 	 good hotel / good location 	 good deal room rate , great view , nice room , complaint . feel safe , good security . near UN , international clientele . would stay next visit NY . 
 Feb 1 2007 	 Fantastic Hotel ! 	 read review little concerned hotel go like . pleased . really good location , absolutely amazing view Manhattan , room comfortable big . ordinarily would ' ve expensive , good deal hotel easily worth . 
 Jan 27 2007 	 Great Hotel 	 book hotel bargain rate cityandshow , low expectation quality arrival . contrary hotel fantastic - large , comfortable room comfy kingsize bed , stunning view good soundproofing . staff courteous helpful time , pool provide welcome respite daily treks round sight . us location perfect - within walking distance subway , Grand central tourbus connection , quiet evening relax residential atmosphere . would recommend Nations Cafe 2 block good value yummy breakfast company local UN worker - pleasant change tourist haunt . 
 Jan 22 2007 	 wonderful hotel 	 get hotel Hotwire.com $ 155 night . 4 star available rate , jump . obviously , January NYC not prime vacation time , certainly feel like get great deal . Valet parking car easy doorman / reception friendly efficient . Valet parking $ 42 / day – ' m sure could find little cheap rate drive around , ready car . check - in straightforward . the room huge , NYC standard . frank , might large hotel room ' ve ever stay . king size bed , sit area sofa two end chair good view ' ve ever NY skyline . Empire State build Chrysler building directly front window ! television old , care . the 27th floor East wing lovely gym / massage / pool area . pool 's view worth million buck . my husband walker ( regularly log 7 + mile day walk around city ) location fine we . be terribly residential part city , street quieter night . however , note Manhattan five minute walk distance either south west open dining / entertainment possibility . if be midtown / theatre visitor not love walk , would probably recommend hotel . east , would East River . I definitely try get hotel . average room rate seem hover around $ 300 , fortunate get $ 155 . 
 Jan 19 2007 	 great room good value need little updating 	 despite fact hotel feel little run place ( instance , huge dent elevator door TV 's 1970 's ) hotel three gigantic benefit . 1 ) room huge . anyone spend time NYC know appreciate luxury big room big bathroom . can not underestimate aspect hotel.2 ) price reasonable . travel NYC December expensive , even terrible hotel $ 400 / night . use Hotwire lock reasonable rate . 3 ) view impressive . cover many post . yes , 's bit hike like walk around Manhattan . would absolutely stay . 
 Jan 15 2007 	 Decent hotel disappointing ! 	 staff nice hotel clean , hardly 4 star hotel , claim . decent 3 - star . fabulous view room , corner 2 - window room hard come . change room 3 - 4 time view nice , 2 - window room like one website . also , hotel notable walking distance nearest subway major NY attraction . bring walk shoe ! 
 Jan 10 2007 	 Awesome View ! ! ! ! 	 stay Millenium UN Plaza two night . book Hotels Website request Room West - Tower ( head Manhattan ) get city view ( hotel room floor 29 39 , go & quot ; Highfloor & quot ; anyways ) . get rate 179 $ night quite reasonable New York Hotels . check - in give Room 3338 ( 33rd Floor ) . enter room heart almost stop beat . breathtaking view ! ! ! even get well night ! ! ! ( look pic ) . window room go floor . bathroom veery large nice - with laaarge mirror . but everything else room special . bed comfortable old tv .The Hotel Lobby nice , small . small pool 27th floor offer amazing view , free sauna also - close 10pm . the hotel & quot ; Ambassadors Bar & quot ; offer Breakfast 17 $ ( 25 $ in - room ) . never try . the concierge friendly help lot ! ! everybody else friendly except one lady . the location hotel rather quiet area ( East Side,1st Ave ) . across street UnitedNations Headquarters , get real downtown walk 10minute GrandCentralStation take subway ( take u everywhere whole day 7 $ ) .So u wan na inmidst lively area , don´t recommend Hotel . overall GREAT hotel prefer amazing view , cause room highfloor ! ! ! definately ENJOY view ! ! won´t go cause simply far away CityCenter / Times Square . 
 Jan 8 2007 	 Excellent Place Stay kid 	 stay Millenim Plaza two kid ( 2y.o & amp ; 6 y.o ) . room big ( NY standard ) clean , big comfortable king size bed provide rollaway bed part price . room great view Empire State Building Manhattan . hotel locate safe & amp ; clean area NY . UN accross road security everywhere , safe walk around area night . close wonderful diner , restaurant supermarket , Amish Market block west excellent purchasing grocery make lunch kid . block main attraction use walk Grand Central Station catch subway couple block away . get hard cab Grand Central Station ( Subway ) around $ 6 ( inc Tip ) . staff always freindly courteous , not expect tip question ask . it nice tip staff appreciative annoy not enough . reasonable price away tourist trap area , hotel definatley worth look . recommede hotel friend definately stay . 
 Jan 4 2007 	 Great 	 book hotel promocode travelzoo happy hotel . rate $ 200 , upgrade superior room , great deal . the location perfect , close enough attraction yet far enough away horde not feel crowded . Grand Central close subway easy . great restaurant nearby too . the staff professional minor complaint concierge not helpful shuttle airport . I would stay . 
 Jan 4 2007 	 would not recommend location . 	 review stay Dec 26 - dec 28 , 2006 . pleasantly surprise ' ve read terrible review . get hotel Priceline . I usually come NY Broadway show . ' ve stay least 30 different hotel NY ' ve get Priceline . positives : nice room ( person check ask high floor ) view , express elevator , amenity include lotion ( rarity ) shower cap ( rarity ) , bath tub plug ( not see often ) , one hotel give option keep use towel environmental conservation reason , free NY guidebook ( call front desk make sure take without penalty ) , mini - bar usual overprice stuff ( go ) .THE negative : ' m one people stay within Broadway area like keep go back hotel rest show meal . 's quite walk . take Shuttle Grand Central Time Square even , be quite inconvenient walk Subway outside . maybe peak crowd NY fact ' m slightly weather affect walk prowess . 
 Jan 2 2007 	 great price spacious room 	 long ago book trip New York City December 25 - 30 make tentative reservation Newton Hotel Upper West Side . however , November receive special promotional email Hotwire offer $ 179 / night rate UN Millennium Plaza . feel trepidation negative review TripAdvisor , go ahead change Millennium . say partner delighted stay . unlike reviewer December 30 , easy time check , perhaps Christmas Day , give king superior room top floor ( 38th ) . room huge fabulous north - face view city . furnishing plain stylish scandinavian style , bathroom large , actually walk - in closet . staff friendly seem eager please . location , somewhat beat track , turn perfect antidote horrific crowd New York Christmas New Year 's ... hotel bless refuge tumult street . be also couple block Grand Central Station , one easily hop one several subway line converge . fact , take new rail link Grand Central JFK airport return , remarkably easy ( bargain $ 7 ) . , definitely would return Millennium offer similar rate . 
 Jan 1 2007 	 solid value quiet hotel 	 stay 5 night , start December 22 , 2006 . something tradition we -- indeed , first stay New Year 's , 1983 . old place show bit wear corridor . corner room ( 40 foot window overlook East River midtown ) nicely renovate , bathroom . make demand room service , concierge . comment service -- except perfectly affable professional , whenever deal staff . the location great one , opinion : part east side quiet , neighbourly , unhurried , yet close good shopping ( subway ) .The dodgy bit Christmas clientele : mid - western fleece - wearer ; also UK plebs nasty teenage offspring . may seasonal aberration . spouse advise : next trip UN hotel schedule Jan. 23 , 2007 ........ 
 Dec 28 2006 	 Excellent ! 	 stay dec 24th room # 4040 , topmost corner one . view great great great , bathroom large large large . say luxurious interior manage well enough . service good , . definitely , thumb ! 
 Dec 19 2006 	 Best Night ever ! ! ! ! ! 	 good hotel stay ever Millennium last night . significant go city night choose Superior room Millennium . door man incredibly kind polite . front desk courteous quick check we . room corner room two wall window face east river downtown Manhattan . could see tri - borough bridge way Brooklyn bridge empire state chrystler building . awe strike view ( amazing day night ) . way dinner , doorman helpful tell we subway stop get give we map . check time early enough ( 3 pm ) checkout time nice late 12 pm . get great AAA deal contact hotel directly ( oppose book expedia go ) pay 199 Superior room Expedia standard 179 , plus book hotel directly , guarantee specific type room ( bed size ) . picture room hotel website look like room , right throw pillow bed . stay hotel ! 
 Dec 18 2006 	 view great ! 	 stay UN plaza ( floor 36 , west tower ) 8 night view Chrysler , Empire State , MetLife , Rockafeller , UN Trump Tower building breathtaking make holiday unforgetable . use swimming pool tennis court top floor east tower river view also superb . friend stay Waldorf Astoria view ugly AC machinery ! UN Plaza start 30th+ floor great view almost guarantee . large comfortable silent room bed extremely comfortable . fitting , however , bit tired side housekeeping provide we immaculate service . often happy walk , although taxis inexpensive UK standard , visit Times Square Grand Central Terminal frequently walk help we get real feel Manhattan . the three day pass sightseeing hop on / off bus tour good way get arrive quickly get tired hearing commentary use Underground regularly - easy , quick cheap good way feel smell atmosphere New York . local unfailingly friendly helpful holiday one good ' ve enjoy . the time felt rip take expensive carriage ride Central Park favourite excursion trip Top Rock , glass elevator , dusk see yet stunning view . good shop undoubtedly Macys . 
 Dec 10 2006 	 Great Experience ! 	 book hotel Priceline one day go New York not sure expect . read reviews site little worried location hotel , well room . nought ! ! moment enter building ( 10:30 a.m. ) , love place . check later day room ready get immediately ! let us talk room - cool contemporary ! love furniture , color scheme spectacular view river entire skyline - include Empire State Building . bed also one comfiest slept hotel . I see / have issue describe negative review , would stay go back New York . , Times Square , 4 block walk Grand Central far Times Square , not let location stop ! concierge , Edward , also wonderful ! 
 Dec 9 2006 	 first visit NY NY - great hotel ! 	 first visit Big Apple ! want hotel style good position . get . wonderful welcoming staff , ask receive corner room spellbinding view NYC river . could could ask anything ? elevator prompt , staff vey hepful room clean comfortable . woul want stay anywhere else ? definately visit ! 
 Dec 2 2006 	 Good Value NYC 	 never visit UN , choose UN location hotel . however , 3 4 block Grand Central , close subway stop . general , average hotel price NYC - a big room two luxurious bed , walk - in closet big bathroom . however , tell renovate ' superior ' room , tub need re - doing , black scuff mark wall window could easily open ( dramatic photo ) . 27th story pool sauna nice plus . staff accomodate helpful . 
 Nov 20 2006 	 good . 	 stay travel business glad not pay money . elevator construction slow . wireless access entire hotel . fellow colleague travel get room would not let pet stay ( eventually move next day ) . restaurant pricey good . for money , many hotel NYC much well . would really hesitate stay . 
 Nov 7 2006 	 YIKES ! ! ! ! beware mold mildew filth creepy staff ! ! ! 	 not fool staying hotel ! can not believe other review hotel staying place ! even though request refurbish room assure 's get , horrify ! hotel bad experience ever NYC . RUDE staff ( would not allow talk manager pay - for room not available take leave since hotel , other , book due NYC marathon ) on - site restaurant would not allow use fork ( use room service since must charge hotel guest use FORK ) eat take - out dessert ! GEEZ . hard income charge loan FORK ? ? ? room filthy , mold shower corner bathroom . & quot ; de - mildewed & quot ; enter . even clean staff cringe . oh , enjoy wake 4 morning sound jackhammer , place . first moment enter hotel exit , experience without question nightmare nightmare . grossly overcharge ( $ 350.00 / night ) highly overrated dump ! 
 Oct 26 2006 	 great place stay 	 stay wife Silver Wedding anniversary . book travel agent UK . superb . stay 39th floor awesome view UN East River . staff friendly although decor obviously old clean . originally book Wellington Broadway change due bad review . glad . ever get opprtunity stay . 
 Sep 26 2006 	 high price good view 	 hotel room superb view . room 29th floor view empire state building , chrysler building , UN way across midtown . view swimming pool particularly spectacular . view , hotel ok . have expect well kind price pay . elevator old stop work one member group one . water pressure bathroom could well . safe room frequently need change battery ( 2 member group call front office ) . breakfast selection not great $ 30 . internet kiosk ' business center ' ( 2 computer set ) charge 50cents per minute ! broadband room $ 9 per 24hrs . it be good hotel stay business UN nearer government building . seriously , could probably stay another hotel standard cheap price . 
 Sep 16 2006 	 lovely room great view shame bathroom 	 husband stay one night pay £ 130 via travel agent UK . hotel good location shopping sightseeing room start 28th floor almost guarenteed good view . 32nd floor evening view amazing . room really spacious big comfy bed . main thing let hotel bathroom . shower attachment bath basically hosepipe fixture look tired worn . ignore bathroom rest room hotel great . 
 Aug 25 2006 	 Millennium UN PLaza Hotel - Great Place stay NY 	 stay hotel mid August 4 night happy location , standard cleanliness room good part panoramic view New York room ! outstanding ! would definitely stay . 
 Aug 24 2006 	 view ! 	 recently stay four night Millennium UN Plaza delight find relax hotel close tourist attraction . hotel block Grand Central Station ' carry suitcase far . check quite early room available . trip Advisor revue recommend East Tower allocate West Tower little disappointed offer change room unhappy , mean ' allocate room 3 pm . request quiet room , away elevator 35th floor . first go room feel little date clean bedroom bathroom huge . bathroom particular great lighting mirror load power point . well yet come . open curtain look straight Empire State Building Chrysler Building . day night , view fantastic ! meal hotel quite expensive nearby great little cafe restaurant eat . go hotel turn right little way ahead corner see John ' Café . every kind breakfast serve 4 dollar , ' friendly clean also busy peak time . lovely cocktail bar hotel , expensive . pay almost 40 dollar three drink ! cost 9 dollar 30minute use hotel internet . want check send email go tourist office Time Square get free internet access 10 minute . use Gray Line tour bus get around sight . may seem little expensive cover awful lot guide really witty . also , ticket buy hop on / off stop UN Building right beside hotel . buy metro card 7 dollar 24 hour travel beware use credit card purchase vending machine , ask zip code like we Ireland ' , use cash . go see Statue Liberty wait long always hop Staten Island ferry . take across bay , close Statue Liberty view Manhattan brilliant . also ' free . cross return straight away , ' get view people pay 25 dollar cruise trip . would definitely stay Millennium hotel hope visit good . 
 Aug 24 2006 	 Fabulous ! 	 fly New York 10th August , get catch security threat circus , mean really late tired arrive . reception staff could not friendlier helpful , get room 34th floor incredible view ( East River , 1st Avenue , Empire State Chrysler Building ) take away stress day . fantastic - could not get enough view . room spacious 2 queen size bed - arguably comfortable bed ' ve ever sleep . not perfect , pay great - plenty room , really clean . staff encounter really helpful friendly . minor niggle lack mirror bedroom , bit pain 2 woman want get ready time ! location wise 's ideal - 20 minute walk get Times Square , be nice away noise hustle . John 's Diner , 2 minute walk 44th Street , good breakfast , plenty shop nearby . do : buy New York City pass - save money time get attraction ; try Circle Line Harbour Lights cruise evening ; Liberty Helicopters - cheap well worth ; see Wicked Gershwin Theatre - will blow away ; spend time Central Park ; go Metropolitan Museum Art drink roof garden , fab view Central Park . ' ve never New York , invest good guide book ( use Brit 's Guide Eyewitness Guide ) - save lot time already know what / where want see do . we love New York can not wait get back ! 's amazing place stay heart forever . would quite happily go back hotel . 
 Aug 20 2006 	 99 % hotel absolutely outstanding ( warn : long review ) 	 family stay Millenium UN Plaza one night early July . first will start 1 % negative aspect hotel : elevator . elevator suck . SLOOOWWW ! ! ! goodness . West Tower , one three elevator work first day ( two work next , middle elevator service long - term rehabilitation ) . one elevator serve 40 floor , 's recipe disaster . see man rescue service elevator next main elevator stick ! seeing pray God family would room East Tower . sure enough , relief , give room East Tower 33rd floor . East Tower four elevator , one farth right service long term rehabilitation . problem continue . miss middle - right elevator next out - of - service one . wait several minute next one , annoy . however , reach floor ( 33rd ) , learn people elevator miss stick inside ! arrive split - second early would ' ve miss elevator would ' ve stick . scary ! elevator take service , work one two left . two elevator serve 40 floor = very long wait ( 5 minutes+ ) us rest stay . use elevator . elevator hotel currently undergo long - term rehabilitation project , expect wait time long complete . now 's way , will move 99 % hotel , amazing . we drive DC hotel check one night ( stay one night catch plane next day , rest family stay another night ) . start rain pulled hotel . entrance hard find ; drive 1st Avenue turn entrance hotel 44th St , one way street east , go west 45th St , south 2nd av , east 44th ( three left turn ) . next time , come south , go 3rd Av instead 1st ( good tip remember ) . hotel 's location 44th St 1st 2nd Avs actually quite convenient , believe . nearest subway station Grand Central-42nd St , two half long block west two short block south , catch Metro - North commuter railroad Westchester County Connecticut , Shuttle train Times Square , 7 train Queens Times Square , 4/5/6 train Lexington Av Park Av . 's actually long walk , 10 minute . plus , get walk quiet , charming , peaceful residential neighborhood . couple bus route run right hotel well , transportation problem . like fact street noise hotel room , due location quiet neighborhood . we get car friendly gentleman run rain grab heavy bag . strong . check average wait time ; long , mean short . staff encounter trip kind friendly , especially brother , mental disorder . after elevator adventure 33rd floor , brother enter room jaw drop moment open door . the room spotless , nicely decorate , HUGE New York standard ! also case Millenium hotel New York ( Millenium Broadway Hotel 44th St 6th av Broadway , right Times Square , also fabulous hotel ) . plop quite comfortable bed . bathroom average size . complaint room shower : portable showerhead hold hand , kind inconvenient try rub body soap ! , room perfect . but highlight Millenium UN Plaza without question , far - and - away view ! could rate view hotel room 33rd floor scale 1 10 , would give five hundred MILLION . get idea . room look straight 1st av , look south . turn head inch right be look across East River Brooklyn . view amazing clear , could see Brooklyn Bridge , many mile south hotel . turn head inch right , be look entire Manhattan skyline 44th St . look Empire State Building light night ( can not remember color ) Chrysler build one picture without turn head breathtaking . watch 4th July weekend firework East River mind - boggling . wish camera ! silly I . I eat hotel restaurant , eat breakfast instead little place nearby ( can not remember name , might John 's ) . good egg corn beef hash ! sorry review long everything say . fantastic time . would stay sure ... elevator rehabilitation project complete . 
 Aug 12 2006 	 Pricey 	 arrive Millenium UN plaza long journey Glasgow Scotland 2 cancel flight . look forward swim nice food arrive . quite late arrive airline lose luggage ask tooth brush toothpaste receive combe . little dissapointe $ 400 night hotel . enquire breakfast iun morning find $ 17 head per help food . wow ! . hotel sourrounde nice little cafe much well valur hotel food well . room service $ 75 dolla 3 standard meal starter do not come say would pon menu bit miss hot.ythe free $ 9 450ml bottle water ! looking eat hotel look app . $ 100 per day per person . location bad 20mins walk time square 25 min macey . grand hyatt hotel 2 min times square high class hotel room least $ 50 dollar cheap millenium . millenium look good online good describe . do not go unless bother spending fortune . go expect pay $ 249 per night flor room afor 3 night put extra charge tell end spend almost $ 2000 room alone . 
 Aug 8 2006 	 Excellent Hotel 	 eye Millenium UN Plaza quite time trip use second leg stateside trip , book 2 day arrival . I fortunate enough receive free upgrade , suite 37th floor , say great way end 2 week vacation ! room superb view world , Empire State Building greate morning bed : ) location wise 's ideal , think little way want wrong , easy get place from . I would not hesitate recommend hotel anyone , find nothing small whinge : ) 
 Aug 6 2006 	 Classy convenient 	 view room terrific ; front desk handle checkin , message check quickly flawlessly . hotel reflect New York 's glitz edginess room serene comfortable . elevator come quickly . 
 Jul 31 2006 	 Superb Hotel 	 well arrive bag sniff hotel resident sniffer dog , understandable really , cordially greet door staff check . hotel lobby amazing , 's mirror high ceiling . front desk staff could not helpful . first room get great view even although 35th floor , ask either upgrade well room , free get room 3318 boy view die . right view Empire State Building Chrysler building leave Hudson river , totally awesome say ! day room clean high standard bed turn eachh evening return . room twin , bed big enough room , bathroom fine size not expect use bath ! eat hotel quite expensive $ 25 breakfast , instead go Nations cafe , go hotel turn leave go onto 1st Avenue walk couple block to44th street 's right corner , blink might miss , get inside 's big enough clean . eat day breakfast reasonable $ 8 . drink hotel bar speak Jerry outlet , 's font knowledge come almost everything , wish know Jersey Gardens outlet go Woodbury Common , thank knowledgeable Jerry manage fit last day , also pour mean drink , warn measure , , ooop reach top glass ! ! night time concierge , Kenzo also good , knowledgeable extremely helpful . great time great hotel clean , well run great staff . 
 Jul 29 2006 	 Great experience 	 first stay Millennium - UN Plaza . ' ve ny many time , hotel incredibly comfortable wonderful staff give absolute good view regular room . view midtown , include Empire State , Chrysler , UN , East River , etc . room comfortable modern furniture nice marble bathroom . since hotel not start 28th floor , also find noise level low compare NY hotel ' ve stay . 37th floor . I love walk location bother ; may bother want right tourist mid - town . location residential area east side , right next UN Building . however , Grand Central block away allow jump subway quickly anywhere . downside not ice machine . call room service deliver . room quality , view , incredibly nice staff , would definitely recommend hotel business leisure traveler alike . 
 Jul 15 2006 	 good stay UN 	 sure expec , goodview , read previous review .Well viewswere fantastic ! ! askedfor East Tower ( recently refurbish ) get West Tower hotel charge huge premium room East Side . due Macy 's 4th July firework displayover East River . watch display riverside along many other amazing . West Tower little tired term decor need refurb room large , , well equip pleasant .The location good , little away hub -bub Square . staff helpful - return flight 6 p.m. - ask Reception morning able keep one room till 2 p.m. have really good holiday , suggest eat Mc Faddens ( round corner 2nd Avenue ) Comfort Diner 2nd East 45th serve good simple grub -large portion . try Carmines West 44th Broadway party atmosphere excellent italian food . see Colour Purple Broadway -fantastic try see . go inside Grand Central Station - beautiful building - call Junior 's Brooklyn cheesecake - good ' ve ever taste . Top Rockefeller Centre excellent - queue crowd amazing view Empire State Building Central Park- enjoy Empire State reason . comfortable walk shoe essential walk mile , subway cheap taxi reasonable . 
 Jul 5 2006 	 great view minute Grand Central 	 book hotel b / c rate reasonable ( $ 199 ) near Grand Central . head U.S. Open Winged Foot Mamaroneck need close train . pleasantly surprised room decent size ( Manhattan Standards ) blow away view . 33rd floor view east river fantastic . hawk 's eye view much low midtown great . overall would recommend hotel either business leisure traveler New York . pretty convenient much city 
