seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Apr 7 2009 	 mostly good . bad - would try 	 travel baseball team - 10 we . observance : first let qualify say , upon arrival , room take ' upgrade ' one night pretty nice suite . except roomie move floor 23 Mardi Gras Tower - get SWEET ' SUITE ' . 2 bedroom , 3 bed , three bath , five sink , bar , 3 tv 's - move go bit downer .... back reality . REALITY : room : fairly small . clean . comfy bed . music station tv ? unusable fridge . well : bed worst : mini bar / fridge . * * fridge 4 bottle water yet & quot ; USE . throw pop arrive would charge use mini bar base ' weight ' - careful - look like fridge ' phony money - make fridge ' . not use ! Harrah 's -'You make lot money - let we use fridge - pay hydro anyways ! ' food : eat one breakfast one dinner Flavors . buffet . food good lot choice . convenient get eat without wait - especially large group . also one lunch restaurant - can not remember name ( Ming 's ) . food plentiful good - usually line - up get . also advertise lunch special - seat tell available weekend . sign advertising special make mention - bit false advertising ? gaming table : minimum bet require bit high newcomer like we . Piano Bar Toby Keith 's bar - fun . pool : nothing fancy -had lot chair , outdoor bar towel . enjoy it . checkout : long lineup . internet charge room even though one bring laptop - watch charge closely . take we 40 minute . location : Great - centrally locate - easy use bus rail system come back hotel . price : good - Came package deal . this first trip Vegas - nothing compare . feel comfortable - big . would recommend - would probably try stay elsewhere next time - try something different . 
 Apr 6 2009 	 never Better Places stay 	 luxury view room nothing luxury . room # 2637 view Mirage volcano window dirty could not see . tv old cut news go across bottom screen like CNN , phone work hold right , much static almost unusable , carpet gross . wear slipper never let foot touch carpet . nice place stay center strip would not stay . 
 Apr 2 2009 	 impressed compare casino 	 stay Harrah 's 4 night . first trip Vegas . Carnival Tower 25th floor . overall hotel nice room sufficient clean . not like fact refrigerator can not use ( $ 50 fee use ) coffee pot use room either . bed not comfortable either . ask king room 2 queen available . the view room , however , beautiful ! face blvd . nice view Vegas mountain background . after tour hotel casino 's , think Harrah be rather plain . casino 's much nice room move around high ceiing , etc . we eat Cafe , Toby Keith 's bar also buffet . Cafe O.K . buffet breakfast great . dinner buffet O.K . quiet lot choose , eat . desset good part buffet . the Toby Keith 's rocking night blast . good band two night . night D.J . play lot country line dance towards end night love . waiter put show juggle bottle , etc . mason jar way go $ 15 . make count ! overall O.K . would probably choose different hotel ever venture back Vegas . 
 Apr 1 2009 	 rip 	 make reservation line use total Rewards site select offer code Spring Fever Invitational . list hotel come code select one want stay . tell can not participate tournament not stay Imperial Palace . call Imperial Palace Harrah 's Las Vegas back February see need stay specific location , place tell not matter Harrah 's location stay promotion . course tell case . waste trip incompetent Harrah 's staff information ! 
 Apr 1 2009 	 another great anniversary trip Harrah 's Las Vegas ! 	 stay Harrah 's five year , celebrate anniversary . ready return Harrah 's sixth anniversary trip , much anticipating . Harrah 's , we , ideal location Strip . always find atmosphere Harrah 's fun , friendly , relaxed . service receive , book reservation , arrive smile face Front Desk check - in , great service cleaning staff , make trip special . Viva Harrah 's ! Viva Las Vegas ! 
 Mar 26 2009 	 Builders Home show 	 room break , money credit card , video camera , ipod , prada glass steal alseep . make police report , security hotel , dismiss case like criminal . never ask anything except get room comp , rude we , never keep we inform . we try get touch risk management take care case get question answer , tell we could not talk we . one person , manager costumer service even inquire do . I devote costumer , 20 year , reward . People careful , security camera hallways protect , casino protect , would casino . 
 Mar 25 2009 	 much well could expect ! 	 Harrah be much well could expect absolutely stay ! boyfriend go Las Vegas birthday great time property . check , ask room high floor view place room full , unobstructed view mountain . really can not say enough great property stay 8 - 10 hotel per year . highly recommend Harrah 's Las Vegas ( location great ! ) 
 Mar 21 2009 	 great deal great slot 	 friend plan second trip Vegas . receive several offer mail first , decide see Harrahs offer . give double room $ 200 entire week . pleasantly surprised find permit check 6 hour early specify find front desk staff helpful accommodate . give room 26th floor Carnival Tower view Caesar 's , Rio , pool . room clean , bathroom also bathtub , last hotel not , two closet nice sit area near window . purchase cheap coffee maker Walgreens could coffee Baileys morning , rather get dress go downstair get coffee ( complaint ) . bit noise night outdoor bar downstairs , not really concerned get eight hour sleep every night . food cafe good , buffet . Toby Keiths excellent ( careful special drink - mine 6 oz alcohol ... yum ... waitress give & quot ; go & quot ; cup could not drink dinner ) . use total Rewards point , get two free meal , several souvenier gift shop , discount room . there great variety slot , Caesar 's example , spend lot time casino . end win $ 400- $ 500 pot quarter slot many time , go home almost everyte take . location great , Monorail access save foot many mile walk . overall , happy Harrahs , would stay again . Sue Alberta 
 Mar 21 2009 	 total reward ` ` Harrahs '' 	 Back jan.14 - 17th friend stay Harrahs mid - winter guy getaway . overall hotel nice great location right across road Caesars Palace middle strip . stay mainly price . free , total Rewards player card . would stay even pay . remodle deluxe room 2 queen bed nice , clean modern limited view strip . buffet one favorite several time trip . great food price around $ 15 - 20 depend dine . price inline every hotel strip . cheap anymore like old day ! place Harrahs eat 24 hr . cafe . good food anytime pizza pie great night drink beer ! entertainment go Toby Keith 's bar . even though hate hillbilly music good time good crowd bad drink price . also go duel piano bar watch twin girl . entertaining ! also hit country bar call Stoney 's Rock N Country Southpointe hotel . , country fan want go club people age group many leave . ( normally go Polyesther 's Stratosphere , close remodeling ) . find place $ 10 cover $ 20 draft beer drink deal till 4 am ! like old Gilly 's , huge mechanical bull giant dance floor giant video screen everywhere . also play rock music also . would really recomend like country music . the casino area Harrahs spread alot like casino . harrah good strip everything would want need unless want overpay high dollar snobby theme hotel . as far Vegas general . go 25 year change much time . always well . price everything ( show , food , drink , room , ) inflate almost get overbuilt congested . almost much anymore . bad economy maybe think go back way use business . we - sit . really dead weekend . maybe tell something . overall still love Vegas Harrahs great place spend day get away ! Harrahs Total Reward ! 
 Mar 17 2009 	 Great Location 	 stay 5 night Harrahs last July . overall satisfied hotel mainly great location strip . central mean walk short distance visit hotel like venetian Ceasars . Harrahs one stop metro , convenient . use metro lot go different place avoid heat time . check bit slow not mind . concierge friendly help we choose show book tour Hoover dam . can not say lot food breakfast Flavors . buffet really good . give time due long wait . the room comfortable , spacious bathroom , ugly view . we use pool , quite small mind long serve cool we . Harrahs certainly one top hotel Vegas convenient location . 
 Mar 15 2009 	 decent hotel stick 1980 's 	 wife not high expectation vacation . usually consider base operation . one expectation though hotel room spare electric outlet various charger laptop . unplug lamp and/or clock plug thing . compound situation , LAN outlet across room . room overall adequate . shower dark not comfortable chair sit . rest hotel , pale comparison hotel nearby . whole place desperate need updating , modernization , thorough scrubbing . feel like old hotel . saving grace place Piano Bar Mac King comedy show . lot fun great diversion . understand priority keep we casino make effort make room friendly modern traveler little comfortable 
 Mar 14 2009 	 Top 10 Reasons stay Harrahs 	 10 . Long check - in line - arrive hotel around 9:00 pm . five people front we take 35 minute check . astonish two people behind counter . 9 . date - Outside & quot ; Toby Keith 's Love Bar Grill , & quot ; everything hotel outdate : room , casino , restaurant , etc . 8 . Timeshare Salesmen - Harrah 's place salesman right beside elevator . mean every time go room , get heckle . rude , obnoxious , treat sarcasm we favor heckle we . 7 . Old People - feel 80 % people hotel age 60 . everywhere look old people , many smell . 6 . cheap slot - realize economy friendly Vegas , not mean must make slot stingy . not bother play Harrah 's , would go Wynn MGM Grand . will get bang buck.5 . slow elevator - take long get sixth floor Harrah 's 20th floor Mirage . let us speed Harrahs ! 4 . pool - get pool setup , Motel 6 ? 3 . Room - Tube TV , rock hard mattress , small shower , view . 2 . fashion - Ladies , black short black tennis shoe white sock baseball cap look good . 's Vegas , West Virginia ! 1 . price , Price , price - price , stay Treasure Island , Flamingo , Bally 's , MGM Grand , Excalibur , Luxor : far well . pay $ 39.99 room , , would stayed somewhere else . unless age 60 smell funny wear black shoe black short white sock baseball cap , avoid Harrah 's . 
 Mar 13 2009 	 Great Atmosphere crappy food 	 place full great people extra friendly staff . waste time money Oyster Bar Panazzi . service food awful cost pretty penny . would stay hotel base solely staff . 
 Mar 12 2009 	 Loved Flippy 	 not actually stay Harrahs , come back VEGAS totally stay ! ! everything Harrahs AWESOME , deal maker TIM & quot ; FLIPPY & quot ; MORRIS AWESOME ! ! flaire attentivness give customer beyond AWESOME ! ! Harrahs see soon ! ! go stay Harrahs ( go VEGAS period ) go carnival court spend money , disappoint ! ! ! 
 Mar 10 2009 	 Great Location friendly staff quiet room 	 spend 5 days/4 night March 2 - 6 . efficient check , friendly staff , great location center Strip . everything want short walk . room Carnival tower quiet . promise Premium room Deluxe N / S 2 Queen bed check , since COMP problem . room close elevator ice / vending . linen upgrade since last stay 2007 . room large tv ( front jack video camera ) , internet hook big desk , mini - bar , plenty closet space good sized wall safe . starbuck near check- 24 hr , great service , even line long . business center plenty internet kiosk print return boarding pass ( cost $ 5.00 ) . Loved Party area ( live entertainment indoor ) . cute cart food small souviener . Ghirardelli Soda Fountain Chocolate shop also Party area ( great Chocolate soda 's ) . main meal outside hotel can not comment buffet coffee shop , line coffee shop steady . stay , love location staff . 
 Mar 10 2009 	 flavor buffet great 	 stay ( 4 day ) compe AC play . room great . bed comfy . loved buffet Starbucks . machine could lot loose . not room much 9th floor low , view request higher . Denny breakfast , nearby , plenty 
 Mar 10 2009 	 decent room drawer ? upgrade 	 special pricing total Rewards Club , talk we room upgrade , room get upgrade would worried room like . indeed look newly decorate , nothing ordinary would expect Vegas . oh , tv bathroom , maybe upgrade . anyway , impressed do not let talk upgrade addt ' l fee . 
 Mar 8 2009 	 ok well 	 check Tuesday 4:30 pm , two couple room reserve 8 month . reserve room King Beds , gee none , take two queen . eat Toby Keith 's : Love Bar Grill & quot ; . food servcie great , Breakfast Buffet bad . food kep tempature service slow . bad 30.00 two . spa good Masasges 's Tuesday need breal long drive Vegas . nice area wait use work area day purchase massage . price reasonable . room clean date . could hear everything go room side we . pretty quiet week , Friday night hit end . clean room late day , anything could put door request service soon , hit miss . room vacant frm 9 - 3 Thursday clean return get service night . hotel sit middle strip helpful access Monorail , also helpful . 
 Mar 7 2009 	 great 	 read alot review down Harrahs . first trip Vegas compe . well premium , king , smoking room Mardi Gras Tower really nice . clean comfortable needed get . view horrible care . wonderful hesttate stay . 
 Mar 1 2009 	 Great Location clean 	 second trip Harrahs , first April ' 08 go back love location room clean meet basic need place shower sleep . previous trip stay NYNY Planet Hollywood love location Harrahs . quick walk across street Mirage , TI Caesars . palace . we Deluxe room trip view strip , Forum Shops , pool Carnival Tower . great value $ $ . 
 Feb 27 2009 	 probably find well hotel ! 	 husband stay 5 night Harrah 's mid February . never Vegas conference hotel stay . appreciate great location mid - strip , economy , be possible find good location ( Mirage , Caesars ) well quality hotel . we standard size room quite large date . bed comfortable shower leak , not hot enough water pressure non existant . wander hotel , would prefer one bar place sit hang watch crowd . Harrah 's must place 's time , time past . could use facelift . I go Oyster bar twice delicious Oysters . yum ! ! 
 Feb 27 2009 	 Premium 	 stay Harrahs every time go Vegas . 6th trip . location great . we compe premium room time , 4th floor . first time stay tower . Itwas noisy band play Carnival court . difference notice deluxe premium room marble shower tv bathroom , plasma tv bedroom . bathrrom small premium , view . opt deluxe on . service friendly . sick first 2 day . call let borrow humidifier . bring quickly . really help . food price quite high , not Vegas ? Buffet breakfast not use . worth $ 16.the wait staff casino friendly alot familiar face . must good place work , along time . 
 Feb 26 2009 	 Pillow Top Mattress ! ! ! ! 	 stay Harrah 's 2/20 - 2/23/09 Mardi Gras Tower 1407 . room really nice & amp ; comfortable . bed fabulous , soon sit , not want get . take nap . flat screen bathroom nice watch get dress . side carnival club play . loud . could hear door close , muffled . go , party meet room , open door mini party room . Harrah 's good comp vegas . not total reward card , need get one . room stay compe three night . stay order room service twice , $ 30 aa pop compe check . room service Cafe downstairs , room bad . husband $ 350 penny slot , plus ! weather great , 70 day . night need thin jacket . , aynthe well 300 degree summer . never go Vegas summer , February great . not big crowd not piss go outside long 5 minute . September 08 ' stay Imperial Palace , upgrade Harrah 's really nice . stay IP not bad , upgrade suite , Harah 's much nice . bar tender Piano Bar 5 pm Saturday friendly pay drink ! ! whatever ! ! ! celebrate cousins bday , compd room @ Bally 's , room huge ! ! ! furniture old . bartender lady carnival court hook ! ! ! get drink want $ 25 , kind trick bottle , earn $ 5 tip ! ! not really gamble , maybe $ 100 . family friend lose $ 2k , really sad ! hard economy , need make well choice . many thing Vegas , gambling . live outside box ! ! ! fun ! ! ! ! 
 Feb 24 2009 	 GREAT room locale well worth ! 	 friend mine choose Harrah 's location comp reward . first stay Harrah 's . other Luxor Monte Carlo . check around noonish give room immediately . not even wait till 4 , check time . book standard room room 4th floor . price affordable think room well worth . view room parking garage Imperial Palace think .. shabby , not stay room much time anyway . bathroom spacious . love . bed nice comfy . casino smokey . spacious aswell . blackjack dealer nice would help ya alittle game ! casino connect Imperial Palace monorail . walk outside , go next door Casino Royale try 1dollar margarita . good . great luck Wheel Fortune . the buffet FLAVORS nice think overprice . lot Variety food , be food . try cafe , think 's cheap there . the pool not great . remind pool apartment . try finger burger ! dlicious ! . would mos def . stay . 
 Feb 23 2009 	 bad stay Las Vegas ever ! ! 	 premium room anything premium - noisy overlook Carnival Court ( unable change room & quot ; nothing else available ? ? ? ? ? ? ! & quot ; . strong marijuana smell corridor , mislead info check -in- Carnival Court entertainment shut midnight ......... realize write review feel strongly fellow business person can not correct issue one tell issue 
 Feb 19 2009 	 Great Location 	 wife choose Harrahs central location strip . arrive 1 pm offer 6th floor room face outdoor cafe / bar area . advise music could quite noisy . opt another room tell none ready welcome wait , check back little . tell would wait 4 pm ( regular check time ) ask early check . issue begin nice stay every one nice . issue handle break closet door , call front desk , tell would send someone never entire stay , allergic cigarette smoke prepare even non smoking room slight stench due ventalation smell stick clothe . flavor Buffet wonderful , think $ 20 dollar per person expensive buffet dinner ( $ 15 breakfast $ 16 lunch ) highly recommend try anyway , think , try , even see verity dish , realize worth . Cafe little price , would recommend Buffet . take bus planning travel strip , wife walk Harrah 's New York New York leg kill we . duce $ 3 ow $ 7 RT . 
 Feb 17 2009 	 Average Hotel Casino 	 average hotel casino . room nondescript , average hotel room small self - programable safe . casino bit age average theater feature Rita Rudner upstairs . Harrah 's comp'ed room due play Shreveport / Bossier City come Vegas watch daughter play volleyball tournament , stay Harrah 's location . never spend night one facility , know expect . dissappointe wow'ed , either . staff friendly dealer wonderful personality . breakfast Cafe , good also comp'ed check - out , service excellent . hotel / casino locate across street Mirage , next Flamingo , attach walkway Imperial within walk distance many place strip . traffic mess time . one negative ' m go mention ' ve never experience anything like entire life .... card bathroom states & quot ; throw dirty towel floor will leave clean one . & quot ; ' ve see sign ... problem . leave dirty towel hang shower . 2 we , use 3rd towel wash hair . come night , towel go new towel fold back rack . shower , pull towel dry . , surprise * surprise , makeup ( hope makeup ! ) towel dry ! o - k , interesting . look rack 4 towel . ( anyone else ) know one towel , husband , towel hair ... clean towel ? ... would know check ? would wash ? would save water ? use someone else dirty towel ? leave 2 dirty towel floor , would dirty hair towel remain shelf fold next people since not know one take throw floor ? ? ? maybe ' m obsessing not like think ( anyone else ) use dirty towel ..... fyi .... : ( honestly not know price room can not tell good deal . flashy new old run either . room decent , water always hot , food service good , casino dealer personable ( big plus ... be go take money , might well fun ! ! ! ! ) 's close place be type wander casino . yes , Starbucks lobby ! 
 Feb 16 2009 	 Hotel - YES Buffet - 	 Total Rewards card holder Harrahs choose stay Valentine 's weekend give good rate . hotel nice - clean , modern , great location strip . hotel one monorail stop make much easy get around casino . bed comfy ( like princess pea ! - say lot ! ) lot hot water shower , housekeep great . downfall : casino seem much smokey other visit , coffeemaker mini fridge room , buffet ....... ugh . dinner breakfast buffet . consider number people flow buffet would think food would hot , almost everything choose , luke warm good ( OJ breakfast cold either ) . food not special appetizing . nice dessert , though . many place eat strip find dinner buffet Venetian well ( except dessert area ) . 
 Feb 9 2009 	 beware verbal voucher / comp 	 book room Harrahs thru last Minute Travel get good rate ( well could find hotel web time ) 94.95 . Stayed Friday night MLK weekend . great location . room ok , Marriott level . young partier next door really really really loud finally leave 11:30 pm probably go club . checked , tell clerk / reservationist check entitle & quot ; freebie coupon voucher & quot ; something like , use service within hotel gift shop , restaurant , etc $ 30 would credit . ask clerk could give coupon card use . assure - would charge service room , check , would deduct $ 30 charge final bill room . next morning , go coffee shop breakfast total $ 17.50 . actually really much breakfast , coffee shop cheap . get free , right ? well meal charge room , quickly go back room travel light , check within 5 minute leave coffee shop . drop room key , clerk tell charge . since pretty much left coffee shop , tell clerk meal probably would see display , charge room less $ 30 credit . say want double check would charge amount credit card . say would not . believe , would eaten breakfast hotel know not free . get credit card statement charge . call hotel talk billing clerk say manager tell tell can not refund card , would call last Minute Travel take care . make sense , call last Minute Travel , say nothing since offer comp / credit . bottom line , offer kind extra freebie , get write get coupon , will not , go ladder hotel management necessary . stay hotel . bad customer service . 
 Feb 5 2009 	 great stay Harrah 's 	 stay Harrah 's 1/17/09 - 1/20/09 . reservation premium room two bed . rate COMP due past stay Harrah 's property . slight hiccup check - clerk say would $ 25 per night premium room . show print confirmation confirm premium room COMP entire stay . make copy reservation record way . our room 7th floor Mardi Gras tower . much view - could see TI sign across street part ot Venetian . view mainly AC vent roof . big deal , not plan look window entire time . nice balcony step even not much look . take picture try add later . the room clean bed comfortable . linen nice quality , could tell room recently remodel . bathroom nice small . overall , room small place ' ve stay strip ( Bally 's , Paris , Caesars ) nice nice far decor ( comfy bed ) . room good two people would recommend two staying room type . the staff Harrah 's nice , earth . patron seem average people . comfortable gambling . great selection slot Video Poker . like atmosphere casino . Harrah 's many restaurant premise . eat italian restaurant buffet . good . location strip great . likely stay . 
 Feb 2 2009 	 Watch ! 	 watch ! ! $ 100 deposit per night require check . $ 200 cash refund upon check . state flaw . make sure extra money book hotel . 
 Feb 1 2009 	 Superb - Tremendous Hotel Location 	 stay Harrah 's 24th Jan 09 - 29th Jan 09 , not know expect especially read review hotel various forum . moment arrive hotel please , room superb location excellent could not fault thing , staff friendly helpful . location Harrah 's superb ( central ) go hotel along strip definitely pick right hotel . we would definitely recommend hotel anyone go Las Vegas , one good strip . 
 Jan 31 2009 	 Disappointed 	 long time Las Vegas traveler disappoint Harrah ' . Booked 3 remodel Premium room 5 night family reunion . three room dirty , bathroom mold , view horrible . hallway carpet tear wall desperately need paint repair . arrive 4 pm get room type request book Travelocity . overheard casino employee state Travelocity booking get get . request 2 smoking room , one King one 2 Queens , non - smoking King . got 3 non - smoking room 2 queen bed instead . tell check - in not problem get room request next day . next morning waste 2 hour try change premium room . even complain filthy room , unable provide room type book , offer compensation filth . decide pay $ 600 upgrade 3 Jr. Suites . still could not get smoking room . hotel confirm 3 suite would ready 4 pm , go change room , 2 suite available . Talked Manager , able get 11th floor Premium non - smoking room smoker . well look rooftop air handler , listen jackhammer day pool loud music 2 am outdoor bar night . 2 Jr. Suites nice clean . like cold shower room . bath water hot , turn shower water turn cold . suite different floor water issue suite . Gamble Harrah ' , not stay . 
 Jan 29 2009 	 would stay ! 	 husand stay Harrah 's first time 1/24/09 - 1/27/09 . since room compe expect much , pleasantly surprised accommodation . room 26th floor Carnival Tower dead - on view Mirage volcano , partial view strip beautiful view mountain . room clean comfortable . thing lack real closet . room amoire type closet part wall unit room . good thing 4 day otherwise small closet could issue . eat oyster bar within hotel good . good oyster long time ! room service fast efficient . bartender within hotel seem pour strong drink ! bar outside Carnival Court area lot fun , especially happy hour . bartender entertaining . starbuck locate main lobby area ( open 24 hour ) also second floor next Tobby Keiths Bar ( open 7:00 a.m. ) make sure go one second floor . never anyone . never wait ! cost we five dollar print boarding pass business center locate second floor next meeting room . People run center nice pleasure talk to . rent car Hertz day . locate right registration desk . clerk pleasant , fast , efficient not push rental insurance . we take ride Red Rock Canyon 20 mile strip . beautiful worth trip . also stop Red Rock Casino . fabulous hotel nice casino great restaurant . go Peppermills great breakfast . portion huge , food really good place Vegas . ( expensive ) drink Mixx Lounge top Mandalay Bay Hotel . worth go one drink check bathroom . view bathroom unbelieveable ! thing little annoying time share people work main floor , front door entrance second floor . pleasantly decline keep walk . we enjoy stay Harrah 's would stay . 
 Jan 29 2009 	 Nice 	 spend couple night Harrah 's November 2008 . nice hotel middle strip . be nice , clean convenient . everything within walking distance , be shuttle several casino . stay . 
 Jan 26 2009 	 Excellent accomodation 	 stay Jan 18th jan 24th . although attend IBS trade show , wife spend time enjoy Las Vegas . reception desk fast service . take luxury room slightly expensive deluxe room . Stayed Mardi Gras section , room 1254 overlook Mirage Ceaser 's Palace . room nice nice view . Bear mind room view . very well locate middle strip , easy access Monorail . I ' ve go Vegas yearly 1st time Harrah 's , would definitely recommend it . if help , hesitate contact mecoteduf @ nbnet.nb.caPierre Bathurst NB . 
 Jan 26 2009 	 great stay unbelievably Comfy Bed 	 check Sunday afternoon take 5 minute . registration desk sure inform opt room overlook Carnaval Court band could heard midnight . use comp 4 night Mardi Gras tower . room balcony form could partially see fountain Bellagio . couple floor high one ( 9 ) would perfect real concerned view check bother ask . room roomy spotless . Maid service great even break glass 2 immediately clean it . eat Cafe couple time around 1 . place pretty much deserted still wait 10 minute table find odd . food good reasonable Vegas . eat buffet breakfast delicious . good fruit ever . entire staff helpful . slot service come within 3 minute light turn . shuttle Rio actually run every 15 minute instead 30 much wait around . best part stay amazingly comfortable bed pillow . honestly never comfortable relaxed life ! ! 
 Jan 20 2009 	 average good 	 second trip Vegas . Harrahs offer two free night deluxe room use total Rewards card first trip ( sign , really give comp ! ) . stay first two night Imperial Palace move next door Harrahs . change hotel problem , walk luggage next door around 11 am . pretty long line due everyone check time expect . staff friendly overly rude either . happy able check - in right away check luggage bell desk ( outside look ) . ask strip view staff say would wait long get settle room 15th floor Mardi Gras tower . view ever window huge , go floor ceiling something good look would nice . room small side clean . two queen bed , small table chair , huge wooden cabinet hold small tv one side iron board small closet . room also mini bar not touch anything unless want pay motion sensore . bathroom also small . shower would turn day housekeeping come fix . sink would not drain wash hand . room layout cramp . tight two people , way would suggest try room 3 4 people . metal srip every foot hallway housekeeper constantly run clean cart annoy try sleep . try come room disturb sign know ! elevator run fast smoothly . seperate one low number high number floor . casino fun , easy find way around . see pool since January . eat Flavors Buffet , think pretty good . definitely find enough eat , even sushi lunch buffet . also eat Harrahs Cafe , think call . okay , good place stop hurry move gambling . much luck casino , mostly play one . Warning Mac King Comdey Show ... check give complementary two free ticket coupon . say buy one drink per person $ 9.99 . well day go Mac King not , tell we Dave Williamson would take place total per ticket come $ 14 person add entertainment beverage tax . get one drink show price . show okay . 45 min long . be Vegas .... fun enjoy . would say stay IP well Harrahs , believe ! can not complain night free ! Harrahs nice clean hotel excellant location use room catch Zzzzz 's ! fun ! 
 Jan 18 2009 	 Vegas first timer 	 first visit las Vegas , pick Harrah 's due price central location . luxury room 18 th floor Mardi Gras Tower . view strip important we Harrrah 's able provide room great view we . room clean , service excellent . bell captains valet service friendly provide valuable tip transportation . use room service breakfast please . service quick food hot beaware service charge . bad Harrah 's could offer free room service . buffet average . Cafe Toby 's restaurant 's food service average . negative review casino . runne . slot old , chair stain make uncomfortable sit . choose stand many time . enough restroom casino floor . we use concierge service Harrah 's book two tour . service average . leave message answer machine person call we book tour never recieve return call . recall left message , wait two hour recall get live person phone . try put charge room bill , person say could connected hotel service . could definelty tell , since service average . tour Hoover dam average tour guide Red Rock canyon articulate able give well present guide tour . tour guide pleasant . , enjoy stay location Harrah 's postive feature . 
 Jan 18 2009 	 wait time room horrendous 	 arrive Vegas early , 9 am . diamond card , thought would give help , . wait 8 hour get room . tell would suite . , large , corner room . carnival tower # 2025.the tv small , think 27 & quot ; , swivel break , hard view bed . the toilet run night , wake we 5 time . we stay Harrah 's many time , never poor service check , flavor buffet along service great . 
 Jan 18 2009 	 simple good 	 stay 4 night harrah 's CES AVN convention . hotel excellent location good price . book deluxe strip view carnival tower . not much strip view , good online deal make ok . room clean seat two small desk good internet connection ( plug cable , cost 14 dollar day ) . room quiet , room clean , bed good housekeeping allright . hotel like Caesar Treasure Island not far away hotel center strip expect . good hotel often room business . romantic getaway choose something expensive Las Vegas glamour experience extra bling bling . offcourse good swimming pool , december not bother hotel without swimming pool , must inside . it expect good deal be look stay hotel something extra experience . 
 Jan 14 2009 	 great choice perfect location 	 stay Harrah 's Las Vegas CES 2009 ( Jan 8 - 12 ) . Booked Premium room . check - in around 11:30am fast friendly . ask smoking room face away Carnival court offer . room end 2 Queen bed room 12th floor face strip ( view TI / Mirage volcano ) .the room wonderful . 32 & quot ; LCD tv bedroom another 15 & quot ; LCD bathroom . bed confortable crisp white linen . minibar room ample storage closet ( inside build - in cabinet ) . AC quiet , end turn cool anyhow prefer open window ( small balcony ) fresh air . I issue tv ( Stations program ) within 45 min call housekeeping , technician came fix right away show reset case ( ) . bit later , nice maid knock door ensure everything alright . Daily housekeeping perfect . lot towel , soap toileterie change used . the room quiet , could barely hear next door neighbour connect door . luckily , people around time single professional go CES , issue . smell smoke room hallway . eat 3 time buffet alright . good choice breakfast usual ( include make order egg ) . keep eye Carnival court girl hand $ 5 coupon valid anytime . Casino ok , mostly play Bally 's Paris table minimum $ 5 , compare $ 10 Harrah 's . last day ( Monday ) , many section casino slot close renovation . sure long go last for . overall great stay . absolutely nohe complain . everything perfect . 
 Jan 14 2009 	 harrah 	 Front check quick efficient . staff member bit reserve , border cold , professional . unfroze bit time finish question . room clean , nicely decorate , well organize , roomy two people . room everything need extra . thing would like stock room coffee coffee maker . houseclean staff considerate never ignore Disturb sign . clean re - stocking room always do properly timely manner . clean staff freindly . room back tower perfect avoid noise crowd . tower short walk casino strip . mother allergic cigarrette smoke bother smoke walk casino . aware due air filtering system decrease number gambler . front desk staff helpful eager help approach question . one house restaurant walk past day reasonably price steak shrimp special day . McDonalds Denny 's restaurant close casino door twhich open onto strip . house theatre see Rita Rudner 's performance excellent . theatre suprisingly small would expect performer easily see seat area . seat comfortable design space make feel one special guest invite private performance . alcohol reasonably price theatre staff freindly accomodate . casino staff , cleaner security , also freindly accomodate ask question . never hurry act well thing . check fast efficient . staff member freindly . 
 Jan 8 2009 	 Great Hotel 	 book hotel part West Jet Vacation Package . the room nice . King Size bed - comfortable . italian restaurant hotel excellent . $ 20 special include entree , salad , bread glass wine . good could eat . the people registration desk friendly helpful . always willing take time give we direction answer question . I embarasse say forgot check closet checked not realize get home leave 5 6 article clothing . quickly call hotel , put thru lose find stuff save bag . able relative pick clothe . impressed honesty hotel . leave stuff hotel never see . also impressed easy make resolve problem , co - operative . negative possibly think ( Vegas limit hotel ) ever present Time share people . get would shake head glare would start aproach . really hate feel like hate rude people otherwise would suck one presentation another . 
