agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Jun 20 2008 	 Perfect Location . great Stay ! 	 stay Metropolitan two night , first visit NYC . location perfect -- walk many great place , Rockefeller Center , Grand Central ( amazing market good food every ) , Central Park , many location . room generously sized ( double room ) , bathroom great . complaint . book online website get great deal -- $ 170 night . noise . perfect service . great location . never visit onsite bar , hot spot Friday Saturday night . staff help graciously everything -- not ever wait 60 second get cab . absolutely wonderful money ( twice price ) . definitely stay -- catch say many time NYC visit , & quot ; hotel could not well locate . & quot ; travel 16 year old daughter , enjoy able run downstairs ( one door ) chocolate chocolate shop , thing deli / store 10 step hotel 's entrance . close least 3 starbuck . caveat ( read many warning ) , charge $ 3.50 something mini bar not touch ( warn even look anything mini bar open mini fridge not touch thing yet still charge ) . since small amount , not actually ask credit -- not worth hassle since small amount . 's though . otherwise , perfect us weekend visit . 
 Jun 20 2008 	 Disappointed Metropolitan Doubletree Inn New York City 	 New York City , Metropolitan Doubletree Inn , Lexington Ave . date : June 17 - 19 , 2008very , Disappointed ! ! ! ! come New York June 17 – 19th spend 20th anniversary tell Doubletree Inn Lexington great place stay . Boy fool . check everything seem great … hot cookie we . get room laugh . husband actually ask bellman make mistake . room look like belong dump motel . actually motel room would better . pay $ 500 night stay room could hardly move around . move we couple floor think well room . . bed comfortable . complain finally offer $ 200 final bill . joke . ' believe register people pay outragious amount terrible , terrible room . go New York , someone ask we hotel , would never stay would advise person stay also . location great , hotel disgusting . 
 Jun 18 2008 	 stay 	 receive housekeeping first two day stay . even complain first day room not clean , still clean second day . ask room clean us evening , return find clean , item miss . room describe renovate , already run - down peel wallpaper paint , clog drain , mold / mildew bathroom wall , ceiling shower curtain . if anything touch snack box minibar , room charge , bit surprise find dozen minibar charge not take anything , bill receive morning leave . the hotel manager eventually deal understand good work satisfactorily resolve concern . however , spend lot time talk staff helpful courteous concern finally resolve . good thing experience hotel location right Lexington Avenue metro line , easy get anywhere Manhattan , include major attraction . deli ( cafe metro ) outside hotel great fresh , quick affordable breakfast . 
 Jun 17 2008 	 Excellent 	 fantastic 3 day stay June . reservation make online hotels.com 2 day arrival get excellent rate ( around $ 200 CAD per night ) .Check breeze upgrade room King bed . room huge NYC standard . every single room newly remodel ( renovation completely finish ) . flat screen tv , great bathroom clean , modern decor . not order room service , comment . great stay , definitely stay next time NYC . 
 Jun 12 2008 	 lovely stay DoubleTree 	 stay DoubleTree three night lovely time .. room average size quite roomy NYC standard . entire staff pleasant helpful . upon check - in treat large cookie actually tasty , show room quickly kindly . maid quick efficient work polite . everything clean many towel provide . toiletry Neutrogena brand pleasant surprise . in room amenity include fridge , hair dryer , iron board etc . would expect price reasonable NYC . think $ 170 night AAA .. husband annoyed coffee machine room , turn Union issue - native New Yorker understand sympathize - struggle moment happy oblige complimentary coffee tea either bar restaurant time make it . the location great , right heart midtown mere block practically everything . very enjoyable stay ! 
 Jun 11 2008 	 great location ! 	 stay Doubletree Metropolitan 2 night satisfied . bed comfortable shower powerful . make note touch mini bar not intend purchase anything . sensor knick something , charge . $ 7.00 charge bill candy bar not eat front desk happy remove charge . subway right outside door well great metro cafe healthy food ( fresh juice , fruit , salad etc . ) fast service . would definitely recommend breakfast lunch . walk ( 15 minute either way ) Central Park Broadway . sure arrive vehicle remove everything may need . valet park , quick access . stack lift . 
 Jun 9 2008 	 Ideal ! 	 stay one night wife young daughter bit worried reading review hotel New York . expect pay fortune get decent hotel . the check - in smooth quick - queue - even though 5 pm . staff kind helpful . cookie welcome . the room decent size , perfectly acceptable especially spend time . minibar bit dusty - curious rest room clean . perhaps no - one use minibar expensive . we wonderful time would definitely return . find fault ( really picky ) would bathroom slightly small side . definitely recommend ! 
 Jun 8 2008 	 Pleasant experience 	 pleasure stay Doubletree Metropolitan Lexington Avenue past weekend anniversary getaway . room clean pleasant , bed comfortable many pillow bed definite plus . street view , quiet room traffic noise . room equip pay bar honor snack . would like coffee maker lovely metro cafe next door . hotel staff friendly courteous . would stay . 
 Jun 6 2008 	 fantastic care hotel 	 great hotel ! cookie arrival ( 2 ) free bottle water certainly help flight . room good size , bathroom bite small life anyway . concierge helpful give great suggestion place visit . hotel great location close subway system walk distance many shop place interest . not eat can not say like . Got bill minibar use not problem correct , staff friendly eager help . we go see legally blonde - fantastic . like film will love musical . booked bus tour great value NY Sightseeing . $ 49 uptown downtown hop on / hop tour , Brooklyn night tour ( last 1 1/2 stay bus ) free 75 minute cruise see Statue Liberty not time . catch Staten Island Ferry free go close enough get great photo . take 20 minute too . as far shopping concern everything cheap compare UK . find clothe buy Macy 's lovely 7 Mankind jean Bloomingdales . buy bracelet Tiffany 's big able get link take free could pick 4 hour later . I love New York can not wait return . hope stay Doubletree Met . 
 Jun 3 2008 	 go extra mile ! 	 wonderful experience . great front desk , outstanding manager & quot ; Tony & quot ; -kudo make difference ! first night stay room , AC work properly , next day go front desk let know , return day sightseeing , would put 17th executive floor - nice room - by house manager time & quot ; Tony & quot ; , also throw 2 day Breakfast Buffet . staff front desk , resteraunt nice , would definitely return recommend ! 
 Jun 3 2008 	 okay coffee maker ? 	 location good - block Grand Central attraction city . never see hotel New York offer coffee maker room , however , hall clean . housekeeping slow , arrive clean room 5:30 . room serviceable , spartan . would stay ? would check place first . 
 may 31 2008 	 's coffee ? 	 stay hotel 5 day , May 23 - 28 , 2008.arrival great . front desk staff friendly helpful , us friend arrive next day well . free welcome cookie great everyone comment . 's great hook . the room average , bathroom small side , price pay ( New York , deal hard come ) good . two problem : one : in - room coffee . first North american hotel ' ve stay coffee - maker room . not know New York thing Doubletree thing , accustomed make coffee in - room first thing morning . think , make french press - apparently kettle loan guest either ! force either breakfast over - price restaurant ( - loss ) go elsewhere . fortunately MacDonald 's couple reasonably price cafe offer breakfast block . get business instead . sorry , Doubletree , be go give business away , 's problem . two : porter & quot ; security & quot ; staff . one night arrive back hotel return room around 11:00 p.m . would consider late New York standard . show room key security guard elevator entrance . problem - notice ( like check ) expect would nice . well , porter hurry make tip hussle we front door leave taxi realize forget check out . ! fortunately pay bill full already . driver return hotel return room key ( call check upon return home ) . however , seem rush guest hotel lobby quite quickly could cause several problem . might idea hotel ask porter least make sure guest check first ! 
 May 31 2008 	 good choice Midtown 	 Decent size room price . location good room clean . meet Waldorf locate across street . room rate half Waldorf charge . couple minor problem . tv come middle night several time . solve problem unplug . also , room bit warm could not get AC work . open window not bad interior room . staff friendly able recommend several restaurant nearby . 
 May 31 2008 	 Doubletree Cookies 	 get back 5 day stay Doubletree Metropolitan would recommend . great location close enough walk majority attraction directly opposite Grayline tour bus , good value 74 dollar per person 3 day loop tour plus night tour along Statue Liberty ferry trip . staff mostly friendly especially helpful knowledgeable Kimberli concierge . guy check we advise sensitive minibar snack system need fridge store drink ask would supply we one . bed room book family comfortable , clean bathroom toiletry . room well clean service daily . tea coffee facility room seem norm New York . downside hotel Fire Station & amp ; Police station end block , due one way system emergency vehicle traffic pass room especially front side facing room hear variety siren night . Book limo want one hotel cost avoid Lincoln Limo 's New York www.lincolnlimousine.com unless particularly fond rally city traffic batter filthy LIMO one work seatbelt driver successful charisma bypass operation pay 152 dollar experience . exactly surprise hope family telling walk arrival one smartly dress chauffeur name board we . arrive several phone call driver match shabby exterior car perfectly . please favour avoid cost 
 May 30 2008 	 Excellent 	 absolutley love . staff nice helpful . room great size especially New York . modern date . bed comfortable bed ever sleep . definitley stay . can not wait ! ! 
 May 28 2008 	 Convenient yet Quiet Location 	 return long weekend NYC . stay Doubletree Metropolitan 51st Lexington . check - in process fairly slow , bell staff top luggage storage ... perhaps charge $ 1 / bag store $ 1 / bag retrieve piece ! find bit top . , hotel great . short 3 - 5 block walk Rockefeller Center subway stop around corner hotel . breakfast buffet nothing write home . ' m fan buffet . adequate , worth $ 24 charge . want eat hotel be NYC , anyway ... right ? ! ? ! random note : hotel towel average quality . never wait couple minute get elevator -- high floor . recent remodel success . room nicely appoint lobby / lounge modern looking . hotel offer Neutrogena bath product , include facial cleanser facial lotion . actually open window room 4 inch let sound smell city , dare . look convenient , reasonably price hotel Manhattan , not want Times Square area , definitely consider Doubletree Metropolitan ! 
 may 27 2008 	 Excellent stay 	 recently stay four night Doubletree Metropolitan fantastic stay . book standard double room comfortable size ( huge , NYC ) enough space easily spread couple suitcase still walk around . bathroom lovely , great shower , nice toiletry bed extremely comfy . quick skim comment look like hotel undergone renovation recently certainly not experience issue cleanliness fade decor early reviewer . room third floor - perhaps good ask low floor room ensure get one renovate ? although , not see sign renovation 's possibly complete now . location excellent , right next door subway stop walk distance Rockefeller Centre , 5th Avenue , Central Park etc . reviewer ' recommendation try Metro Cafe next door breakfast end eat everyday , good quick bite heading see city . else ? Staff not always barrel laugh , not really issue rest stay go well . disappointment miss fabled check cookie make Elenis Bakery Chelsea Market . not hear market arrive tour Foods New York walk tour fully recommend foodie visitor Big Apple ! 
 May 20 2008 	 Handy Hotel - 	 hotel handy spot within walk distance NBC studio ! charming hotel , check give complimentary warm cookie ! room decent size , well use clean ! although room warm constant temperature , heater break prevent we give room little extra boost heat that s nice evening ! view magnificant , although first time NY rise tint glass way ! oh yea - first night stay rain bucket ! - Umbrellas 35 dollar hotel shop ! little overpriced ask ! 
 May 19 2008 	 wonderful Stay 	 observation : wife , infant daughter , stay weekend May . arrive normal check - in time , front desk extremely accomodating . front desk agent , Alexandra ( ? ) friendly make we feel welcome . room clean nicely furnish . request crib , bring fairly promptly . wife want ice , wander hall bucket , housekeeping staff person go way way direct ice machine give extra bag get ice , bucket small side . arrive back room , receive phone call downstair ask everything room ok . definitely appreciate effort staff seem put make sure take care . lastly , day check - out , bellman ( name Luis Reginald ) helpful arrange car service airport us reasonable price . location : great location , literally right 6 train short walk E also . complaint ? many , major mind . : - concierge desk : go ask restaurant recommendation seem care , really want take time describe anything , give map , offer make reservation , etc . line behind either . find rather snooty . - minibar : snack item desk dusty . not indulge item charge one . however , charge promptly remove ( question ask ) bring front desk . 
 May 16 2008 	 great location great hotel great cookie ! ! ! 	 look hotel NYC , base three thing - location ( want Midtown ) , rating Trip Advisor rating Expedia user . doubletree score high three - arrive , tired long flight Heathrow , not disappointed . location fantastic - block Chrysler building close Central Park . 's also Subway station nearby . service excellent , warm , friendly helpful . room great - spacious , warm welcoming , great big bed powerful shower . well complimentary Doubletree cookie - absolutely delicious ! overall , great hotel would hesitate recommend anyone visit New York . 10 10 ! P.S . be tired hard day 's sightseeing , pay visit hotel restaurant low ground floor - Met Grill . fantastic burger , superb argentinian Merlot excellent service - good price ! ( not put slightly fade 80 's decor ! ) 
 May 6 2008 	 user friendly 	 hotel well place Lexington Avenue within walk distance attraction Manhattan . the room reasonable although far completely comfortable . facility sparse , shelf bathroom make - up toothbrush , mirror dressing table , bed bit lumpy albeit clean sheet . the reception staff cold impersonal - check - in process girl behind desk could hardly bother not actually look once . we never ever open mini - bar hotel stay still receive bill day checkout imaginary drink supposedly consume - charge grudgingly remove insistence cashier make disbelief protest quite obvious . stay three night two night wake 3 am hotel telephonist try contact person different name - tell have get wrong room phone put time apology wake we middle night . the previous hotel stay Marriott Times Square compare place would go back like shot - one avoid view . 
 Apr 30 2008 	 Graet 	 Metropolitan Lexinton . fantastic . good location . Great Hotel . ask king ( big room ) . love it . breakfast great worth every penny . ask hot water tea . Loved , love , love . 
 Apr 29 2008 	 great choice ! 	 hubby 's birthday , book 5 day trip Big Apple . hotel great ! love retro feel . room small clean comfortable . bathroom good . night arrive warm cookie wait we , really nice touch . towel change promptly every day hotel offer little bottle Neutrogena product like shampoo , lotion etc . location hotel ok , decent 30 minute hike Times Square . we eat breakfast hotel opt little breakfast / lunch joint next door call Metro Cafe . absolutely loved ! fast , food good price right ! 
 Apr 28 2008 	 Exceeded Expectations 	 find company book hotel $ 200 night NYC nervous , Doubletree exceed expectation . able check early ( around 1:00 ) . room one bed available , take two double bed . although bed take majority floor space , room definitely large expect equivalent size room ' ve city , whereas ususally find NY room miniature . Desk set also functional flat panel tv nice . I find bed extremely comfortable . 19th floor . real view , look onto low rooftop , away street quiet . also not hear neighbor either side ( sure hotel full , lobby busy ) . find one quieter hotel stay sleep well usually hotel . my complaint hotel room bit musty temperature seem highly adjustable ( although like could leave unit vent background noise ) . serious problem bathroom smell strongly mildew mildew visible tile bottom shower curtain . give small size bathroom , quite unpleasant . I think location good . easy walk Times Square even walkable Herald Square shopping . convenient restaurant . kind away tourist area neighborhood ( business district ) guess depend kind atmosphere be look . 
 Apr 28 2008 	 yes room small - small issue . however ... 	 picky traveler - two way . dubious hotel NYC $ 150 night ( mention parking $ 30 ... compare upwards $ 50 place ) . however , pleasantly surprised ... request room type arrange without hesitation staff , front desk clerk friendly helpful . the room small , one - night stopover en - route Philadelphia New Hampshire , space requirement . room comfortable well - appoint ( NYC chic ) . take issue one thing , however . per term HH Diamond membership , Doubletree property suppose provide internet free charge member ( either breakfast ) . contact property , indicate would pay $ 11 access charge internet ... find irritating , would stop return . location , 50th & amp ; Lex right heart thing , subway stop literally right outside door . staff able direct we great little area late dinner ( midnight Sunday night ) call little West 12th St , meatpacke district . hip trendy . overall pleasant experience . 
 Apr 25 2008 	 Good Value 	 return two night stay hotel . other reviewer post , room bit small side , doable even family four . bathroom small small fear . water pressure shower good . location handy , walk two child Rockefeller Center , american Girl store even Times Square ( 10 block ) . Metro Cafe lobby good quick meal . 's Ess - a - bagel one block away , Starbucks corner well . the hotel ( room ) could little clean . first room get face adjacent build 10 foot away . view . third floor . request change , get room 8th floor overlook 51st St. really view something look rather wall . room bit odor crack window take care . bed comfortable , small . double - sized , queen . lot room two . beware cookie kid nut allegrie . walnut . front desk tell hand . road 4 hour , kid eagerly take bite tell spit walnut . finally , check hotel , ask hold bag not leave later evening . maybe typical ny charge $ 8 convenience . also , valet parking available . overall price , little $ 200 per night , good deal . 
 Apr 25 2008 	 ok NYC 	 ' ve stay Doubletree time Diamond Preferred Hilton , treat well . say , hotel must renovation , room low level seem nice , high floor smell like old hotel definitely renovate recently . the executive lounge open breakfast , day , low quality . room cheap , time , NYC wireless internet fairly consistent , recommend get room low floor , away elevator , hear elevator move night near they . hotel provide coffee room , convenient even bad can not go 17th floor executive lounge cup . 
 Apr 25 2008 	 please overall 	 hotel look ny . good midtown location within walk distance 5th Ave , subway stop literally corner make get city easy . staff friendly helpful . everything seem freshly decorate . twin room nicer expect , honest - bed comfortable good distance apart , flat - screen tv , minibar , hairdryer , internet access , safe , still room desk , small chest drawer closet . ny , prepare small hotel room actually big expect . bathroom bit cramp adequate , nice water pressure . room pretty quiet ( though Manhattan safe sound siren ) .I think good value price . midtown not everyone - bit restaurant desert compare area - 's location be look , would recommend . 
 Apr 23 2008 	 Comfy bed great location 	 Ney York 4 day perfect hotel stay . subway right outside door , great restauraunt bar within 3 block radius . room clean big . bed comfortable get good night sleep . bathroom good general space room large compare NY hotel price range . carpet common area look little worn , otherwise Double Tree feel . staff helpful informative suggestion . would definetly stay . eat hotel bar downstairs great quick drink night cap . 
 Apr 21 2008 	 Nice Nondescript Midtown Hotel 	 stay Doubletree last weekend . location close subway stop connection East West side , otherwise middle office district Manhattan mean walk several block restaurant nighlife . staff friendly , room large Mahattan standard bland small bathroom . would say fine business travel especially would not look stay weekend getaway . parking $ 30 garage around corner . 
 Apr 18 2008 	 nice safe option Midtown 	 group friend come NYC Yankees game want stay midtown good proximity game nightlife -- direction . place well locate half mile walk Time Square . get game Greenwich Village via subway pretty easy . the hotel little local flavor ( though hotel bar not bad ) , clean nice appointment ( tv , shower , bed ) price crazy high . 
 Apr 17 2008 	 Small Comfortable New York 	 recently stay Doubletree Metropolitan New York City 2 night business . really not pick favorite hotel New York wide range rate not able establish favorite , rather list prefer book base good rate town . say hotel definitely go list . never find & quot ; perfect & quot ; hotel New York , Doubletree Metropolitan definitely beat stay include 5 star favorite Waldorf Astoria . hotel apparently undergo renovation everything clean new . enjoy theme hotel go . check , staff friendly helpful continue throughout entire stay . staff hotel well experience hotel New York . room , small , amazingly functional . never New York , hotel room city generally small city ( 200 - 250 sq ft average ) . good hotel make good use space hotel one . king bed , small sofa , desk stool room feel completely comfortable . time notice size stare wall ( frequent traveler happen time time ) . room furnishing appear new good shape . bathroom nice size New York great pressure hot water . room plasma TV could swivel desk bed . speak bed nice , one favorite year . climate control room work well , like cold room sleep , like one . also crack window fresh air always appreciate start feel hotel claustrophobic . the fitness center plenty equipment , cardio free weight good shape . overall would definitely stay . comfortable room staff wonderful . still not find favorite New York hotel yet one make list return visit . 
 Apr 16 2008 	 Good Location 	 arrive Hotel check 1 pm receptionist say Executive King Rooms ready time say would leave bag check later , say one available 16th floor . the Expedia website state Executive King Rooms 17 - 18th floor . we go room small queen room . back reception complain tell executive king show rececptionist picture counter room view queen room . we advise leave bag room touch anything come back 3 pm guarantee large room 17th 18 floor . 3 pm see different receptionist explain problem immediately call Tony pressumeably manager try tell pay .Once 3rd time explain offer 2 room view 17th 19th floor .We take room 1708 17th floor room king bed much large original room . this room great , clean , tidy lot toileterie . Tony later phone see room ok wife speak say great . do not let fob small room pay for . the picture Executive King large real thing . the location great , subway station corner 51st .. Central Park 15min walk .. times square 30mins walk . if time go shop Woodbury Commons approx 1 hr Port Authority Bus Terminal great price original designer gear . 
 Apr 14 2008 	 doubly disappoint 	 stay Doubletree Metropolitan Lexington 5 night April 10 extremely disappointed . hotel room shabby , wardrobe tiny clearly build 60 's - smell old could bring hang clothe . bathroom tiny maybe state art early 60 's hotel open date miss sign luxury . bath sheet bath / shower gel , tiny bath , tiny towel basic toiletry . 5 night stay room tidy - bed make . Decor drab date . staff pleasant enough location excellent , way hotel worth money value comfort fall way behind New York hotel stay - dive certainly nothing special . 
 Apr 14 2008 	 really nothing positive stay 	 stay 6 night really nothing positive write hotel ( perhaps complimentary cookie check ) . visit NYC work , live city , look clean room would give quiet night sleep . first day 8:30am Saturday , shocked hear loud drilling , saw construction take place adjoining room . Sawdust also seep connect door room start smell like wood shop . call front desk politely apologize say nothing could mission critical work - refuse believe evidently plan give scale work . request wait hour leave room also deny , though offer new room . spoke manager well , apologetic polite also conclude nothing could do . offer new room wait till afternoon one become available - inconvenience meeting afternoon . clearly , day 1 start wrong foot . security guard also nerve tell & quot ; take tip way & quot ; . unreal . rest trip average - room clean , bathroom shower curtain old not smell good , wall thin neighboring TV 's could hear .... basically , sure lot hotel area city price , struggle see recommend place . 
 Apr 8 2008 	 well hotel around corner well price 	 mention review hotel staff friendly professional . room pretty shabby though . paint bathroom peel ciele everything look dingy . really small really picky , not offer room service 7:00 a.m. need coffee soon wake , much early . I ' ve ny time business know expect would get city far space value money . think place little overprice far quality . location great though . 
 Mar 31 2008 	 average stay 	 book Doubletree four night begin March pretty average time . arrive greet pleasent receptionist extremely helpful polite . check problem hand two warm cookie . room fine - massive , be not expect . big highlight bed - two double room huge extremely comfortable , especially pillow ! bathroom clean give Neutrogena product every day . hotel restaurant staff great even let whatever want breakfast buffet even though pay scramble egg ! bad point - tea coffee make facility room . know coffee place NY shake stick fancy one soon wake not expect pay ridiculous money room service . also , concierge unhelpful - either would bad day plain miserable find rude unpleasent . also allocate room back hotel mean view consist ugly tower block . hotel okay - fab location good night sleep , not expect anything . little bit extra would recommend Marriot Marquis Time Square - ' ve stay 's class Doubletree ( cookie though ... ! ) 
 Mar 31 2008 	 Good Location close everything . 	 great time NYC , hotel staff friendly room right two people . good place stay family many place eat food price reasonable .. walk Time Square take Subway corner hotel .. stay .. 
 Mar 27 2008 	 good location nothing say . 	 stay 5 night recently hotel clean recently update front lobby area . bear mind bit reality check reach floor see tired look corridor / walk way . Toronto previous 4 night though , realise spoilt have hotel . on arrival early unsure whether would able check not expect , however greet receptionist must bad start day right face ! ! check , confirm we book 2 night state time incorrect actually book 5 , argue actually give chance show hotel voucher state 5 . proceed back husband expect deal return , get ok check we give we cookie without nice day nothing . the room small ( expect ) clean fresh , look mini bar not actually touch realise 20 sec , also stuff look like year ! ! ! Bathroom ok , small relatively clean good assortment shampoo etc . good thing hairdryer , not even unpack mine good . the crunch come 2 night stay woke find check form underneath door ! ! husband phone reception adament book 2 night check day . never get dress quick resolve , already contact company would organise trip confirm book email confirmation state 5 night ! ! receptionist ( different one check ) , keep state & quot ; system show 2 night be check today & quot ; understand thing start get little strained . luckily deputy manager near overheard problem inform receptionist approach , explain have think problem resolve check - in not expect half way stay . time hotel except responsibility error whilst proof book document , spend next hour mobile phone UK get company fax necessary document . even state hotel helpful ringing try confirm receive ! ! finally DM tell we worry wait till later see sort . complimentary voucher breakfast give goodwill try appease we , we little late . would not give hotel satisfaction giving , Overall really disapointe way would treat would think strongly return . 
 Mar 25 2008 	 around good bargain 	 pleasently surprised place . stay four night good stay . place high floor , away elevator without much noise either neighboring guest street . request thing checked deliver . room bit small , necessary furniture include desk chair , mini bar ample storage clothing luggage . everything clean well - maintain . bed comfortable soft . sheet clean soft , bed plenty blanket pillow , nice like lot pillow . cookie check - in nice surprise , staff accommodate . I would stay , feel good value stay NYC , premier location midtown , clean spacious enough ( NYC ) , comfortable bed . 
 Mar 23 2008 	 Value money perfect 	 Location great . walk distance 5th avenue central park even time square far away use everything car ! room spacious sit corner fire car pass do not make enough noise awake . room connect door irritate hear everything room next . make sure ! 4th floor . Bathroom not clean good ( hair bath tub ) . overall decent . we dinner bad weather would not recommend it . give price ny value money think well option . 
 Mar 22 2008 	 Decent Internet Price walk away Grand Central 	 Fiance stay 2 night weekend think one good price midtown hotel . $ 160 night , clean room , nice flat screen TV & amp ; busy lobby bar . we love warm chocolate chip cookie arrival ! not spend much time hotel room much NYC perfect reason price . 
 Mar 21 2008 	 picture web site different hotel 	 hotel renavation go , say hotel badly need renevate . hotel 4 block Times Square really centre thing . staff accomadationg , unless show money willing help . pay certain fee leave bag storage check room . cost 1 doller per bag 1 doller per bag take bag plus tip . joke . choose double King Size room , non smoking . duvet , cover , deside ask downstair reception say wash duvet time , duvet filthy . replace duvet cover . we dinner downstairs Breakfast cost € 63 doller 2 us breakfast . and dinner cost € 35 . everything fry menu . & amp ; expensive . we impress Metropolitan Double Tree New York , Glad go back home 
 Mar 14 2008 	 great location value 	 stay thie hotel another couple we think great price , location could not well shop see site . warm cookie would hear check true .. delicious ! seem like certain part hotel modernise bedroom restaurant / reception area . room spacious massive really comfortable bed white sheet clean . hallway bit shabby not matter . a negative : get charge mini bar even pick something 20 second ! also get charge store suitcase later flight . $ 4 ' ve never come across . tip NYC general : great restaurant - Balthazar , McCormick & amp ; Schmicks , Nero , Empire Diner Chelsea great breakfast ! also boathouse restaurant Central Park definitely worth visit . 
 Mar 4 2008 	 's well place stay City ... 	 book Expedia price right ( $ 153 / night Saturday ) would stay . hotel not bad , little run ( least 5th floor ) room not ready check 1 pm charge we $ 4 hold bag . yes , read review ahead time sometimes talk way thing although time ! bellboy tell we charge luggage ' new trend ' city however , come across hotel , New York anywhere worldwide . maybe 's Hilton thing , not already enough money , right ? ! must price reasonable . bathroom literally size small closet , exhaust fan . complaint room ( one review mention ) . great location though unfortunately would recommend place anyone . 
 Mar 3 2008 	 great location nice hotel 	 ' ve come home stay Doubletree 5 night would say expect . would read review little nervous upon arrival honest , ' m quite fussy - snobbish way . soon walk , greet nice welcome smile porter ( good start ) direct we check desk . lady deal we face look like make stone , quite rude . warm cookie place counter without say word , even & quot ; ENJOY stay & quot ; . expect not even smile say hello ! Silly may sound , actually put stay ! absolutely hate bad manner ! ! main gripe hotel really , room modern importantly - clean ! mini bar price silly , hotel , hotel bar pricey , decor surrounding nice . nice location , close far main attraction . personally would not like stay right middle time square , be hectic , ' m still young ! be around corner Rockerfeller Centre SAKS , 's metro station almost next door , handy . 's second time NYC , major problem hotel , would probably try another next time , location . 
 Mar 1 2008 	 Great Service even well location ! 	 girlfriend take trip NYC past January fabulous time . stay Doubletree Metro Hotel perfect . classy hotel impecable location literally step Metro Station . seem like could want anywhere hotel . service great . bar tender fun friendly although price bar astoundingly expensive . many restaurant surround area always cab available need . problem sound need complain . opportunity , would highly reccomend stay hotel . 
 Feb 17 2008 	 impressed ! ! 	 stay Doubletree Metropolitan Feb. 15 - 17 , 2008 . book hotel base review , never . first , highlight hotel : location warm cookie upon arrival . follow list thing make come conclusion never stay hotel . 1 . king bedroom small . ( 14 floor ) 2 . toilet seat small plastic . bathroom small sit toilet one knee touch door bath tub.3 . shower separate tub take shower water tub raise top tub . $ 600.00 two night hotel stand shower.4 . restaurant inside hotel price ridiculous ! ! ! ! bowel cold cereal banana $ 12 . three buttermilk pancake w / no side cost $ 18.5 . room contain cold wet bar small snack bar . check , product sensor pick product 20 second actually determine want purchase , hotel charge room . 6 . upon arrival card bed hotel state , & quot ; clean bed linen every three day check , would like linen clean let we know . & quot ; $ 600.00 would like bed linen wash everyday without make request.7 . Motels HBO , doubletree basic cable want pay movie . for less money hotel would fine however expect money . would recommend hotel price . see another review site person stay date pay $ 135 per night . 's good price hotel 's worth . 
 Feb 16 2008 	 nice good value 	 stay Fri Feb 15 doubletree lexington/51st room one king bed . good location subway . v. clean comfortable . clean always key -- . Neutrogena product available bathroom , incl . showercap , facial moisturizer SPF30 , body lotion , shampoo , conditioner , shower gel . room 16th floor fine . check - in fast give warm cookie get . overall like think terrific value . somehow get great rate $ 135 / nite . minor thing observe : pillow stiff recommend bring pillow . carpet hallway seem little worn ( ever slight ) , could hear door open close night . ( note : 2nd floor renovation gym ... bad . gym 3 5 8 pound weight bummer -- plenty heavy weight people like heavy free weight . ) lot treadmill elliptical etc . 
 Feb 13 2008 	 great location good value 	 usually try stay Hilton property since ' m Gold member get & quot ; freebie & quot ; like complementary breakfast , use gym , etc . this Doubletree well price Hilton group hotel NYC location , right subway make great location , especially since subway one take Air Train JFK ( , $ 7.00 ride , be one good value NY ) .The hotel basically live review . staff attentive cordial . room small , typical NYC . everything clean , towel especially plush . yes , noisy outside , New York , ex - New Yorker attest virtually anywhere town noisy . yes , could not adjust heat , recall matter live NY , could not either . warm simply open window get back room , air room , close window , comfortable rest night . I would definitely come back . 
 Feb 13 2008 	 Great Customer Service 	 stay Doubletree Lexington Avenue number time always good experience . time however , experience excellent . customer service outstanding , staff could helpful . answer question , provide we toiletry upgrade room check - in . the room extremely quiet ( 18th floor ) clean . like fact rather bedspread comforter cover sheet clean visit . bath product excellend include face cream face wash . I like location within walking distance Times Square , away crowd . hotel right across Waldorf Astoria great bar . wonderful neighborhood restaurant nearby 2nd 3rd Avenues . one good thing Doubletree hotel get free warm chocolate chip cookie every day . 
 Feb 13 2008 	 Fantastic Hotel 	 hotel fantastic find New York . locate within walk distance big attraction Manhattan , shopping & amp ; restaurant make perfect hub whilst stay city . two subway station be across street Grand Central within ten minute walk away , easy get . staff friendly , anything help make stay comfortable easy possible provide valuable information get around go . room fair size clean ! certainly return go back ! 
