vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Jun 27 2007 	 there s ` ` vintage '' - there s dump ...... 	 place dump ....... floor dirty do not even want take shoe ......... come 44 year old male whose standardsa be not high ......... sleep top sheet get quickly possible ..... favor , spend another $ 20.00 get decent hotel ..... somewhere else ...... 
 Jun 20 2007 	 stay away ! ! ! ! not stay here - bad place ever ! ! 	 husband stay hotel many time since offer compe accommodation get point unbearable . would rather sleep rental car stay Plaza . gladly pay stay somewhere else take free room . room filthy place smell bad ! Plaza need demolish . not feel safe playing casino walk lobby since many homeless drifter hang around property . greyhound bus station next hotel place seem attract questionable people destine rank LV homeless . bar casino staff treat we like drink beverage even though spend great deal money casino . husband ask cup coffee bar since not cocktail waitress sight . bartender rude tell need sit bar play least $ 20 . favor , stay away place ! ' ve decide give money Main Street Station Golden Nugget instead . 
 Jun 15 2007 	 Vintage Hotel Great ! 	 Plaze VINTAGE HOTEL , want something fancy ? cost couple hundred buck night ? go strip . room clean , cold , cozy . great time , stay 3 day , less 175.00 Thu , Fri Sat . go Grand Canyon come back Vegas pay room Luxor 2 day = 199.00 TUESDAY WEDNESDAY . Luxor way rate room pay Luxor , would go back Plaza . next year come back Vegas 's plaze we . pool contrator repair problem , court work . staff friendly , Breakfast , Lunch Dinner , eat Lucky & quot ; 7 & quot ; buffet $ 7.77 good ! plaze start Fremont Street , end , ever way look , blast . give ole hotel try , be vintage , nice cozy fun . if , one hit elevator button get 18 floor lol . thank Plaza staff wonderful time . sincerely , Lupe , Austin Texas 
 Jun 11 2007 	 Discusting ! ! ! ! bed bug ! ! ! ! ! ! ! ! ! ! ! ! ! 	 husband stay weekend day wake Bed bug blood sheet . smash bug blood would squirt ... nasty get compe room yes , say ! say one night . ... ? ? ? ? still wait refund come debit card . never stay ... brother law room next door break , Security come open door would come back room ... truely inconvenience . even offer another room . 
 Jun 5 2007 	 holiday 	 hi stay Plaza Hotel May 2007 . great time . staff helpful . room good . would love stay . 
 may 28 2007 	 classic need update 	 compe 2 night stay many time since 80 's . change ownership many time part casino room tell . place look & quot ; tired & quot ; wear . staff friendly helpful ! ! 3 floor check great ! ! casino game fine . room fine , clean thing tired looking . Tv remote not work many channel choose not come Vegas watch tv . gamble look place lie head . classic hotel hope renovation . 
 May 17 2007 	 Old L V 	 always great experience Plaza . still gives feel old Las Vegas . room rate alway good room clean . always something downtown Fremont St. without walk mile get one casino another . it much well move hotel checkin 3rd floor . 
 May 14 2007 	 nothing wrong Plaza 	 play Plaza many time , love stay downtown , first time stay Plaza . needless say , read review website , skeptical , decide brave anyway free room player ' card . not regret it . now be look luxury , favor get room Golden Nugget . be Vegas gamble need good , clean room nice shower comfortable bed sleep , nothing wrong Plaza . tip guy $ 10 check , another person recommend get North tower , new two . 3rd floor check big deal . elevator right near entrance hotel street , conveniently locate . room old date fine good night sleep . cable tv , , not go . bed comfy , cold a / c , good water pressure shower . room clean staff friendly . would stay . 
 May 2 2007 	 Bed Bugs 	 bed bug room ! ! friend wake think rash itch terribly . brush sunburn . next day friend cover welt . arm , shoulder chest . & quot ; expose & quot ; area . friend take live bug front desk report condition room . want full refund , refund one night . call manager next day demand full refund find plan correct problem . manager return call . we wash everything hot water put luggage plastic bag . inconvenience ! ! never stay ! ! disgust place ! 
 Apr 29 2007 	 Plaza experience well leave enemy . 	 like mold bathroom , plumb like drain , stain carpet drape , damage door , date damaged funiture , loud air conditioning , bathroom vent see clean ... ever , Plaza Hotel Casino place . photo back statement . please feel free contact . 
 Apr 24 2007 	 bed comfy 	 Booked room Plaza rest travel group book . arrive find get check require trip 3 floor walk hotel . check speedy arrive later long line enough staff handle quickly . note , place stunk cigarette smoke ( poor ventilation ) . get non smoking room north tower ( 9th floor ) suprisingly do not smell like smoke . room 2 chair , small table , 2 queen bed tv remote . bathroom small bottle shampoo bar soap . tv problem color get 10 channel . the casino poorly light require use respirator thick cloud smoke throughout . attach casino & quot ; buffet & quot ; lounge . see cocktail waitress assign table game . also 1st floor McDonalds , Subway , diner , snack bar arcade gift shop . player club desk give away free t - shirt advertised hotel show & quot ; Shag Twist & quot ; Plaza Buffet small selection food item one would well go Golden Nugget one many Fremont Street dining option . if one venture outside would find wonderful Fremont Street directly across street Plaza . pool empty water 4 tennis court 7th floor deck . all Plaza bad place stay budget traveler since many option gaming diningon Fremont Street . look Strip quality hotel do not stay need place sleep inbetween outing casino , Plaza get job do . 
 Apr 24 2007 	 Plaza fine . spectacular fine . 	 need room one night , Saturday . something major town weekend -- horse show think -- everywhere check either ( ) sell ( b ) want two night minimum , ( c ) want least $ 400 one night . like California Main Street Station downtown sell . Plaza willing give Saturday night room mere $ 159 , think much Plaza , way well anywhere else , take . really like downtown walk thing , include Walgreens . ' ve recently bilateral knee surgery break foot , walk mile get thru hotel major draw I . I surprise find check - in third floor . would never Plaza suspect give lobby space fast food restaurant ( subway , mcdonald , etc . ) could actually get income street level space . line check clerk friendly . my room one & quot ; deluxe & quot ; room , word , go one level base book room . suppose non - smoking room , not . however , reason know ashtray matchbooks nightstand bathroom . not smell anything normally real sensitive smell smoke . the room .... shabby . shabby Sahara . , clean . complaint . sure would nice nice furniture new carpet , forth , nothing wrong room . ... new . , doubt , not $ 400.The bathroom , though oddly lay ( probably remodel point put well sink , toilet , tub ) , large , clean , work fine . coffeemaker ( not drink coffee ) , hair dryer really need . also quiet . room look railroad track though see train go , not hear thing . I ' m gambler can not speak casino . walk thru part see like pretty much look like every casino . I would stay Plaza , preferably rate like usually . however , pinch , everything else sell outrageous , perfectly acceptable . 
 Apr 13 2007 	 average place fun ! 	 husband usually stay strip , want stay downtown experience . great low stake gamble . $ 5 blackjack table everywhere go . ( $ 3 blackjack table Golden Gate ! unheard ! ) Plaza bingo room , fun , new experience . pool empty , even open , not look relaxing . no jacuzzi . select petite suite . room reasonably comfortable , clean come fridge . tv local channel CNN . coffeemaker . room service . fantastic view 7th floor Fremont Experience . problem noise window close . balcony ( yes , real balcony ! ) place chair could sit watch . really like small size hotel versus big monster strip . downstairs within minute door around casino quickly . dreadfully long hallway . could get morning coffee zip right back wait elevator . find staff helpful friendly . Maid service extra pillow quickly . have fantastic dinner ~ cheap ~ wonderful view Binion 's steakhouse . good buffet Fremont Hotel . if like gamble , feel like big spender Plaza . receive comp quite quickly enjoy feeling . bare bone hotel , not bad experience . 
 Mar 31 2007 	 return Guest maybe last visit . 	 presently 3rd day stay PLAZA HOTEL & amp ; CASINO . regular hotel 3 year now . the first change notice trudge tothe 3rd floor check ( lugging bag , frugal , like ) . room get , 20th floor ( awesome view ) non - smoking ashtray . coffee maker ( dissapointe ) read free wi - fi internet connection public area ( true ) .... confirm time make reservation . go pay order press work . as far place stay Vagas , like downtown , might continue stay future . areactively check place ........... sum stayafter pay bill , go back New York collect thought . 
 Mar 26 2007 	 BAD ! ! ! bad ! ! BAD ! ! ! 	 hotel awful ! ! ! even cheap feel overlook problem get pay ! ! ! ! hotel smell awful OLD . get non smoking room good thing stay . the plumbing scream tub drain carpet dirty hairdryer coffee pot . the towel look clean ! ! sheet ! ! complain other speak bad we never return hotel . do favor stay elsewhere . 
 Mar 22 2007 	 great stay price 	 first trip Vegas , go girl weekend . look budget minded trip , find Plaza reasonably price . great trip ! Plaza old property , 's clean staff great . friendly helpful . even dealer try teach black jack . fremont street lot fun ! would reccomend anyone look party . little bit pain get back forth Fremont Street Strip . end use bus system & quot ; Deuce & quot ; . nice bus friendly driver , alweay willing help . public tran . , stop lot , take long time get anywhere . first trip , planning spend strip , would reccomend stay Fremont Street . , look fun , gambling , great place stay ! 
 Mar 18 2007 	 First Time Downtown Las Vegas 	 first time have Downtown Las Vegas . the Plaza good location get hotel Downtown 's short walk bus stop Duece Strip , be get taxi , take Freeway route MUCH quick go Las Vegas Blvd . the food Plaza ok , buffet seem selection every day though , couple occasion go hotel food . diner good late night feed , especially body still another time zone . the room 20th floor comfortable . could update cosmetically , fine place rest head . great view Downtown Strip . Overall would prefer stay Strip next time 's much go travel Strip take hour bus , stay nowhere near bad horror story ' ve read . 
 Mar 13 2007 	 Plaza get well 	 friend travel see vegas hang day . week choose stay , guess hotel pretty sell ( due race , idea ) . stay within budget Plaza , downtown hotel , Sahara . end Plaza good deal 3 night . little apprehensive mixed review read , really bad good . well , arrive late night , outside look much well picture see . do blue floodlight side look really cool classic old blink light . park garage look old well maintain , well parking garage elevator lobby pass . pleasantly suprise see checkin area retro yet well maintain clean . hope bad review wrong . checkin pretty quick , late night checkin clerk do not seem friendly . get key proceed room south tower 23rd floor . elevator door open , feel bad fear reveal . hallway horribly outdate , stain carpet , etc . get room could not open door . 3 key do not work . go back twice try nine key together luck . finally get kinda short clerk give we another room 22nd floor south tower . elevator door open time , shock ! pleasantly suprise . hall tastefully decorate garden theme new floral carpet picure fake plant . could not believe ... think teleport different hotel . open room theme carry new funiture fixture ! soo happy . pool getting remodel close , bathroom kinda small ok . look floor tower could not find one south one look like . old remodel . think room north tower though , see least one . people casino buffet friendly , food good . neat walk around freemont street gamble , much less busy strip . pleasant , stay near future , make sure ask 22nd floor south tower one north tower get one nice room . 
 Mar 13 2007 	 well expect 	 stay Plaza March 4 - 9th . worry property base review read . room 1848 beautiful view strip . room large hotels downtown , although bathroom area small . room old good shape , clean . not plumb problem people state , ice machine floor work fine . close elevator ice machine , not hear noise . think bed go uncomfortable , actually sleep quite well . housekeeping never bother we early morning , always room come . luck gambling , well Fremont , Fitzgeralds Main Street Station . eat breakfast 24 hour cafe , food fine . prefer middle Fremont Street , would stay . not find casino smokey state . maybe bad weekend . times seem quite warm casino compare other , day would warm length time , late night actually welcome , chilly other dress warm . , well experience expect Plaza . 
 Mar 4 2007 	 Good Value Location 	 stay Plaza Feb 23 - 27th . could not beat price weekend Vegas . Checkin go well Friday night staff friendly curteous . high room ( 20th floor ) refrigerator . room ok , sheet clean , shower / plumbing work flawlessly , ice machine work , workout room pretty good equipment ( additional charge use ) . room kind dirty , dirt buildup corners carpet not clean quite time . housekeepingcome vacuum . actually low vacuum high setting make pretty big difference carpet . housekeeping staff accomodate respond quickly request . I enjoy hotel casino . could always get game table limit not price anything . good payout Video Poker well . course lot smoke , somehow feel like smoke bad casino downtown . may Plaza not many people . I not eat Plaza , instead walk Main Street Station , Binions , across street Golden Gate diner . place offer great value good eat , Main Street Station fun attitude well . be downtown close Fremont street MSS , think Plaza work well home base . Vegas many time strip somewhere care visit . stay strip , strip , downtown . downtown work well plan stay next time . as stay downtown , one get good rate Golden Nugget , rejuvenate beyond expectation beautiful property . watch limit slot pay glitz somehow . slot , , tightest tight . Plaza , definitely need work want return glory day , work cheap weekend alternative allow gambling money instead sleep money . ( wife treat ) , would recommend place treat . fifth time want game eat reasonably , make great place stay . 
 Mar 3 2007 	 never stay plaza 	 upon arrival friend skeptical look outside . look hokey , parking garage disaster wait happen . 's cramp parking . get check - in 3rd floor way way inconvience luggage hall elevator , back ramp dark , dingy musty smelling atmospehere . clerk attend we way unhelpful . ask clerk twice need keep registration room show parking garage attendant guest tell twice not need keep throw away , mistake almost pay $ 10 parking . get room horrible . wallpaper half room bullet hole T.V . reeked cigeratte smoke go lie mattress hard rock . try sleep night partying could hear guest room , T.V turn way high could hear conversation man gurggule . not notice bedbug , come think wake itchy bump . WAY GROSS ! ! ! ! everything hotel casino way gross ! may way cheap , would rather pay extra little extra ! ! never ! ! ! ! 
 Mar 2 2007 	 need update 	 people know stay 4 5 star hotel would say standard reasonable . room show serious sign wear tear . carpet almost worn , furniture look real bad , .and bathroom small average person weight not stay room even sit toilet . iron board hair dryer . it really frill room . hall lead room downright filthy . would maybe stay place available many well place stay Vegas rate range Plaza . we great time gambling downtown ( looser machine strip ) Plaza really fall apart iclude hotel casino . 
 Feb 19 2007 	 Nice Stay 	 get back stay Plaza , enjoy much . first time Vegas can not wait go back stay Plaza . 
 Jan 28 2007 	 plaza ! anywhere ! 	 favor spend extra money stay Golden Nugget , well worth extra $ .this place tear fall hurt someone . the ceiling fall we shower , wonder would knocked fall plaster drown stand water rise knee shower . ( homeless people would turn free night ) book non - smoking room not get first night . next morning customer service person really rude still able get room change . ( woul not work ) new room aged perfection , peel wall paper shower drain drain . move non - smoking room high hope , condition last room , difference , not ashtray . leave early go Goldern Nugget find great room little money , well worth . nugget also people could smile nice , concept ! bottom line , like dirty room condemme rude people , mean stay here . if want feel excellent treat great , take advice stay Nugget dollar more . would never stay even pay , snob hey , look clean room good price , ! good luck stay ! find visitor samecomment way door . RJ 
 Jan 21 2007 	 Bed Bugs Plaza 	 hotel disaster ! stay Consumer Electronics Show . pick Plaza cheap . big mistake ! apparently be cheap bed bug include room . night disgusting bug come take sip blood . wake several red bite mark itchy . Hotel Management say aware problem refuse move we another room ! also would refund money . check early expensive hotel . know Plaza bad reputation book ; want save $ $ expect room infest bed bug ! someone notify Health Department ! 
 Jan 5 2007 	 Get Pay 	 get pay place . would not say absolutely horrible price definitely find well . room actually nicer appear website hotel offer absolutely amenity whatsoever . room service , in - room movie ( 10 channel 's ) , blowdryer room - call request hair conditioner none . bed horrible maid service leave something desire . hear kind bang knock wall hall room . simple thing thing add take away enjoyable stay . buffet not good enjoy food diner . drink casino extremely water . call security middle night two different time people next door laugh partying carry 3a.m . honestly probably not able hear , loud laugh talk word - wall thin . think definitely find something well money , hotel outdate modern feel offer modern convenience amenity . 
 Dec 26 2006 	 avoid disaster 	 awful moment try check . book suite New Years Eve tell available arrive 2 pm . tell : & quot ; 's first come , first serve & quot ; , even though reserve suite . put we standard room clean , full cigarette burn , appear pubic hair toilet seat . try book Golden Nugget , sell . put us suite say couple arrive yet . happen & quot ; first come , first serve & quot ; ? receive apology , food atrocious , service poor . dealer look like would rather work somewhere else , tell . Comps poor . could go , will not . ' m type complain management , unacceptable . save trouble stay somewhere else ! 
 Dec 13 2006 	 Good Stay prepared wait 	 stay Plaza Thanksgiving Day Holiday Weekend . it first time Vegas , mainly sight - see gamble . Plaza definitely reasonable place stay weekend . defintely value money . room huge clean . problem hot water shower check desk also little hide - keep eye peel . the Bus Service downtown strip sometimes border ridiculous . would always 5 - 6 empty bus head opposite direction want go - wait least 30 min bus already pack rafter . the Freemont Street Experience definitely worth see , have stay strip probably would not see it . overall , go back midweek , would stay somewhere strip , serve purpose well . 
 Dec 12 2006 	 Plaza Awesome ! 	 husband stay Plaza December 1 - 4 , 2006 . guest check - in desk move third floor since last process quick staff efficient professional . unlike post , find staff friendly informative . room clean everything working order . room quiet shade heavy enough simulate nighttime darkness hour day ! never hear people come go . sign player 's card find comp extremely generous . also see new show theater - & quot ; Shag Twist & quot ; - entertaining ! also eat & quot ; Center Stage & quot ; restaurant - shrimp dish well ever can not beat view - front center Fremont Street Experience light show ! ! highly recommend Plaza - rates reasonable location ideal downtown . 
 Nov 27 2006 	 another hotel 	 hotel fine look somewhere sleep .... look friendly , happy , helpful staff - look somewhere else . during trip one staff smile .... ever .... even ask question . right Fremont Street would stay somewhere else . even hotel gift shop unfriendly yet spend money there . Sahara Stratesphere price ...... check first . 
 Oct 16 2006 	 real DUMP 	 second year ( 6 year stay ) totally mess reservation . make reservation December Sept stay - book 4 room .. get ... nothing RESERVED ... room get old - DIRTY - worn - OUT ... Front Desk well employee - Rude & amp ; Un - HelpfulWOULD RECOMMEND HOTEL ANYONE & amp ; LOOK another PLACE stay NEXT year ... 
 Oct 3 2006 	 Great Inexpensive Stay . love 	 stay Plaza Hotel Casino Sept. 20 – 25 , 2006 . beginning end great experience . check 3rd floor merely suggest would like room great view Fremont street experience , Whoala .. room 7th floor could ask well . fridge room keep cold water definitely plus also . housekeeping staff keep everything spotless say really enjoy tipping . staff seem appreciative tip business . attitude anyone . stay MGM grand May say staff . friendly part yes also underlie air snobbiness . new diner Plaza open month ago . excellent food good service . nice wait long line 24 hour strip diner receive sloppily make food . everything price right big portion . gambling downtown whole much lucrative experience . first time stay downtown doubt ever able rationalize $ 500 - 1000 difference price . downtown rock ! ! ! take money ' spend room strip use gamble see show . go gambling option ( , ) well . every day break even come ahead slot . husband play blackjack Fitzgeralds spend money back . love downtown ! ! ! ! ! yes bus stop next door yes need careful . common sense . midnight cautious ' sit machine night husband sleep upstairs ( well least far know ) . aware surrounding drink much take advantage . common sense . you want nice , inexpensive , fun friendly place stay . give Plaza try ! ! ! ! ! 
 Sep 23 2006 	 Plaza Visit ... 	 receive mail offer free / reduced room September 18 & amp ; 16,2006 . always choose stay Downtown never stay Plaza previously . room North Tower 5th floor . satisfied room ; clean , quite large , excellent hot water pressure , quiet . check - in 3rd floor take minute . staff helpful pleasant . gambling , beer / drink always available . never bad experience Plaza would certainly stay . like location . 
 Sep 16 2006 	 Nice Weekend 	 stay strip time , decice try downtown . book trip tue , arrive thur . stay Plaza , find right . old hotel , find clean people helpful . room big clean . could notice old , carpet , old furniture , everything work fine , much time spend room . stay 5th floor , great pool exercise room floor . nightlife Freemont terrific would stay . quick weekend getaway great place go , even money boot . great trip Plaza . 
 Sep 15 2006 	 good deal 	 like save money stay downtown . fremont street carnival atmosphere lot free music craft plus laser show . Plaza fancy big hotel strip nice clean hotel . good pool downtown . buffet par one block away one well buffet Vegas Main Street Casino . go show Plaza go Elvis Show Fitzgeralds also magic show strip Tropicana . also find 2 1 coupon downtown buffet . 
 Sep 15 2006 	 Plaza : $ 50 Midweek $ 99 Weekend Thru Dec . 	 rate typical . not sell last six month , slate implosion , Plaza management spruce place . room carpet clean , corner clean ! maid work hard . give desk clerk $ 10 & quot ; pick nice one & quot ; check - in , will thrilled room . buffet good . spend $ 6.99 24 hour diner . good . snack bar good . Center stage good afford . parking free . hair dryer room . bring one . coffee maker room . get one . 3 pillow room . soon unlock door , call housekeeping ask another pillow . tip $ 2 person bring . join slot club play buck get mailer room discount future . 
 Sep 13 2006 	 possibly bad hotel ' ve stay 	 first , let say picky hotel stayer . fact , usually stay B & amp ; Bs , thing like small room , basic furnishing not upset . stay Plaza July attend convention within hotel , seem convenient , certainly cheap , one might say , get pay . think , not complain ask move , even though tv working- picture image blur , look like watch Mask . also not complain constantly stream faucet- dripping , streaming . thing cross line , drive write review ( though admit wait til back tripadvisor it- couple month fact ) 2 thing . first , get prescription glass steal poolside way dismiss , maintenence enter room morning checking despite disturb sign . , first glass . guess learn hard way not leave carefully atop towel chair , within view easy pick , clip - ons may look like sunglass thief . , man , heartbreaking . can not see well without glass , not backup . end wear boyfriend 's backup pair cirque du soleil night . thing upset know camera everywhere casino . friend get room compe ask check camera verify lose enough money casino get room compe , reply security glass ( another woman lose sunglass time ) shrug shoulder , & quot ; not even check camera drug deal . & quot ; maybe mean pool area , either way , quite want hear hotel . upset incident morning checking . hung disturb sign go Starbucks grab quick breakfast come back shower , collect bag check . not ask boyfriend not shower breakfast , would ' ve help thing , not seem matter time . , set , walk back room find door ajar . enter find maintenence man bathroom toilet bathtub ! ! think call fix toilet apparently not securely affix floor anymore , one thing least seem work fine room , ironically ! confused said not call , come , disturb sign ? know , answer . really angry frustrated , instead get , wait another 1/2 hour guy finish fix toilet boyfriend could take shower . repair could not wait do check , can not fathom . learn valuable lesson pool , pretty sad- person can not even wear glass pool anymore fear steal . also learn never stay Plaza . 
 Sep 3 2006 	 $ 94 suite Saturday night - good hotel choice ! ! ! ! 	 always stay Strip Vegas come downtown Fremont Street Experience , obviously never full night . first choice , Golden Nugget , would allow arrival Saturday night , pick Plaza instead glad ! ! ! $ 94 get non - smoking suite , load space , big bed , fridge , big bathroom area amazing view ' ve Vegas . yes , room little wear around edge clean felt & quot ; Old Vegas & quot ; . location - wise , Plaza fantastic down - town let us face - strip not far away taxi . great night downtown finish meal Centre Stage restaurant - give table great view Fremont Street experience good meal - steak husband would Sunday roast 4 people home ! food choice bit poor be fan McDonalds hot dog . the Plaza convince we next time visit Vegas , chance will stay downtown ! 
 Aug 10 2006 	 Basic Lodging - Reasonable price 	 convention downtown Las Vegas want attend , decide stay Plaza . check fast great view downtown Las Vegas 9th floor room . room basic clean . although , tv remote control work break towel bar bathroom . swim pool area large clean . want taste old Vegas good value , give Plaza try . be use high price Vegas Strip Hotels , stay Plaza . tell Plaza new owner , hopefully make improvement old hotel soon ... 
 Aug 8 2006 	 ok stay 	 arrive Plaza July 21st stay throught 27th . check - in do quiclky . little surprised see 3rd floor , line everything quite . after arrive room , adequate . be not anything fancy meet need comfortable cool . Air Conditioner great . clean thou cold water do not work great .We eat meal , good . eat upstairs one time centerstage . food great . , matre de rude , other great . we gamble Plaza , husband fantastic , ok . we play slot machine . be little disappointed see thing close downtown . lady Luck board , Neonpolis closd except movie . one restaurant hotel close . entertainment Fremont street nice do not start evening . we get little bored day , go uptown strip . bus terrible way go , pack like sardine . Taxi way go . be not expensive . could go middle strip 15.00 . heat horrendous . I heart problem hard time walk hotel , along way hotel . ice cream cone strip cost 15.00 , hot would ve pay twice . 
 Jul 26 2006 	 move Different Hotel one Night Plaza 	 Booked stay Plaza month advance ask Fremont St View high smoking room . room available arrive , say short maid room not get do . check desk hotel map . Manager tell we customer request certain room , request , not hold certain room open customer reservation . first room give we ( 710 ) break a / c unit . second room get room 2125 , a / c work poorly night never get room cool . roasted night end sleep floor next a / c unit . even elevator hallway hot . tell night desk , nothing do . room crack peel wall paint / paper obviously need repair . ice machine not work multiple floor . check desk 3rd floor long walk luggage parking garage . refrig high speed internet available room , available main floor kiosk 30 cent / min . ask clerk WiFi hotspot , since see several people laptop near check , know nothing . coffee machine room . room worth $ 110 / night opinion . main floor cafe close . nice thing McDonalds open 24/7 . check next morning find much nice place amenity $ 10 night . go back Plaza . 
 Jul 8 2006 	 bad hotel las vegas 	 wife stay 6/25/06 - 6/27/06 , never come plaza even free , due follow reasons1 . stinky room corridor dirty2 . old furniture ( old brokn table ) 3 . carpet old lot stains4.old scare elivators5 . check 3rd floor joke ? inconvinece suitcases6 . aircondition noisy like airplane engine.7 . leave hotel bad taste , bad hotel , bad staff . bad evrythigs.dont mistake , search another hotel , hotel downtown much well nicer . 
 Jul 8 2006 	 great place return Plaza ! 	 ' ve come Vegas 14 year . first 13 year , always stay strip . Vegas strip become tiring , crowded , expensive . be become joke , really . bad odd , expensive food , everything cattle call . deal , people push stroller card flipper , be become pain walk couple block . while would visit downtown many time , never stay . trip May , decide change . movie fan , decide stay Plaza . see , Plaza feature many film , include Casino , Stand , back Future II . curiosity get good , make reservation . Plaza currently undergo remodel restoration . people stay not realize , mainly staff worker one piece time , way small impact guest . ask anyone work though , will tell . good thing , plan raise room rate renovation complete ! Plaza keep get well well . check - in bit odd , main ' lobby ' area hotel convert Players Club signup . registration newly remodel 3rd floor . bit odd find first , get , impressed . lot friendly staff behind counter , always smile . seem interested question , accomodate room request without make big deal . new lobby knockout , classy elegant . spacious , see move . new lounge , add ambience . be plan rest hotel , ' m intrigue already . smoking room 7th floor . large , include easy chair ottoman . comfortable . room clean , furniture old carpet wear age . big deal . bathroom clean . ' ve actually see bad strip pay twice much ! trip , stay one night not explore much else Plaza . month later ( June ) come back Vegas friend day , experience month , decide skip strip altogether , get room Plaza . , get great welcome helpful staff check - in . time , get smoking room 19th floor , friend get non - smoking room 17th floor directly mine . north tower room . room face Fremont , great view . noise FSE anything else go . quiet , overall . , room similar shape room May . clean , comfortable , worn . however , friend non - smoking room new carpeting , new furniture , fridge armoire ... room fantastic ! , lie one big secret Vegas hotel room : smoking room last one get renovate , always . be smoker , hotel offer room balcony , get non - smoking room , smoke outside . will always much nice room . on trip , able check hotel casino much . eat breakfast dinner buffet , ok breakfast . nothing special , inexpensive . dinner also cheap , good . 's small , limited selection . place downtown charge $ 5 ( $ 10 - 12 total ) much well food , much wide selection . coffee shop close renovation second day , not get chance check . big deal , Binions , Cal , Vegas Club excellent coffee shop open 24 hour , literally 3 minute walk away , also inexpensive quality food . keno lounge small , look like look expand area , . chair comfortable , staff great . drink come often . not play Bingo , Bingo room huge , people talk , place go Bingo Vegas . will take word it . the table game area casino large wide open , unlike lot place barely walk . sport book large , stadium seating watch game , lot seat personal tv race bettor . will spend time next trip ! slot area take large part casino floor , big look . plaza great job organize slot - 's plenty room around , yet huge amount variety game available . barely walk slot area casino , true . two stay Plaza , start read review website , prompt write review . seriously ask , reviewer expect ? $ 29 night , be get room amenity surpass top luxury hotel city ! people complain Greyhound bus terminal ' right ' bring lot riff - raff . bus terminal 16 acre property , ' right . ' 's far entrance Plaza . downtown Las Vegas , riff - raff already build , not need bus terminal ! be worth , ' ve see panhandler actual homeless people strip . also , downtown not card - flipper pass ad woman every single corner ! be also much less litter , much breathing room FSE will ever find strip . cheap price well odd , downtown attract low income people . read review , think really irk people . think maybe see someone blue collar work clothe assume be homeless . reality , everyone ' ve meet talk downtown friendly articulate . also lot visitor Asia , UK , Canada stay bargain . Vegas something everyone , pay $ 300 night rest comfortably know 's faux marble column lobby hotel thing , not come Plaza . come downtown , stay Golden Nugget . however , not care lobby make , want great room great hotel great price , stay Plaza . 
 Jul 5 2006 	 favor stay elsewhere ! 	 upon arrival car terrible time try park . parking garage attendant tell we pay $ 10.00 park car go street parking lot . upon arrival teh parking lot promptly turn away , attendant tell we parking lot special event guest since check hotel need go parking lot come . well , explain gentleman parking lot attendant tell we . go ahead call parking lot attendant tell we go . go . time lot attendant well inform ask we driver license i d room reservation confirirmation go check list give we go ahead enter parking ramp . take half hour ! finally arrive 3rd floor parking ramp park car went build check . check process smooth clerk courteous . our room 18th floor . request non smoking king bed get . the room large odor mold old cigarette . carpet badly soil stain . bathtub virtually caulk around pretty gross looking good . wallpaper bathroom peel bath room extremely small . couch love seat badly stain also . thank goodness sheet clean anyway . pillow call little tiny thing pillow ? bed firm borderline comfy . ceiling philthy a / c blow dirt filter . casino .. hmm dirty smokey . put $ 60.00 penny machine go room hour later . machine pay either ! early morning riser look cup coffee 6 end go Fremont street grab coffee doughnut shop there . the price cheap maybe cheap . think spend extra dollar stay strip well hotel . stay Vegas many time try many different hotel first one never go back ! 
