nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Jan 26 2008 	 Spectacular architecture great location ! 	 lobby architectural wonder , room quiet comfortable . great amenity , knowledgeable professional staff . location ideal -- financial district , walk distance Embarcadero pier , Chinatown , North Beach , tourist location . 
 Jan 10 2008 	 nice . 	 nickle dime death . food service exhorbitant , $ 10 per day internet . charge open minibar even nothing use . 
 Jan 7 2008 	 Loved Hotel ! 	 stay hotel week Christmas New Year 's awesome . husband travel three child two cousin , two room . room beautiful unusually large hyatt big city . entrance area room separate room , great area storage , room , , not feel cluttered . awesome view Bay Bridge , expect . ( ask room face water / bridge ; cost much nicer look another tall building . ) lobby beautiful stunning light hang extremely tall ( 17 floor ? ) ceiling . christmastime , lobby decorate holiday village spectacular . kid love look . location hotel great . across street Ferry Building , lot store / restaurant , 15 minute walk away Union Square large indoor shopping mall Market Street . could also probably walk Pier 39 Fisherman 's Wharf . since party seven , could fit one cab . , often take hotel limousine , cost $ 30 . take ( one way ) place city . ( price slightly pay two cab , obviously much pleasant . limo driver nice car clean roomy . ) overall , highly recommend hotel , would definitely stay . 
 Jan 4 2008 	 Comfortable 	 Hyatt Regency nice hotel , spectacular open - air lobby ... stream holiday light Christmas village , train display stay . upon enter lobby via escalator , one overwhelmed light cascade top . the front desk pleasant , though flexible . book room via Priceline bid , request high floor , give low floor . give hotel seem fully book crowded , presume b / c book thru Priceline ( low rate ) . fact , front desk try ' sell ' we upgrade high floor , balcony , view SF Bay additional $ 30 . 's third rate ! decline . the room 4th floor view Market Street , SF - Oakland Bay Bridge . get view anyway ... room fine , King size bed , basic toiletry , coffee maker ... in - room safe . bathroom little small , date sufficient . issue a / c - heat consistent . wish thermostat vs cool - warm range fan , auto setting . time warm , vice versa .. .depending turn , long , etc . big deal , not room much . Hotel Embarcadero area , mostly office .. convenient Ferry building , street car , BART , bus cable car terminus California St ( essentially right outside hotel ) . night , be quiet , give office empty , especially weekend . weekend food market art / craft vendor sell ware hotel Ferry building . overall , pleasant stay . easy access public transportation waterfront . 
 Jan 3 2008 	 Nice hotel everything expensive ? 	 ok stay 2 night travel work , get enough time poke around make note . this hotel one great feature , view get bay particular Bay Bridge . the service really good ask conceirage desk time suggestion eat get place every time accurate knowledge feel confident finding go . the quality room nice , would say good spring fall cleaning need actually room . if be afraid height definitely get high floor room possible . the bed nice , bit dip , see bad . check easy lobby / atrium nicely decorate light , probably holiday season . check even easy . tell room number print receipt , do . they even airline check pc available front desk make easy way check flight . with BART , ferry trolley 's area easy get around area to / from airport . personally not think would book hotel , could not go first choice San Fran , would decent back option . 
 Jan 1 2008 	 great location . room need upgrade 	 stay due great location . top escalator Embarcadero Bart / MUNI , across street Ferry Building , California Street Cable car outside front door walkway Embarcadero shopping ( Chevy 's , Tony Romas , Gaylord , other ) . definitely love location . the lobby overall service great expect Hyatt . we couple issues:1 ) room hallways date . tv small ( flat screen ) , art / wall look bit worn , overall feel date outside lobby area.2 ) breakfast buffet nice expensive ( $ 27.00 ) get two free buffet AAA ' cover kid , still pay half child . around 9:15 , longish line buffet3 ) room feature Grand Hyatt linen . great . however , reason , bed not mattress pad , fit sheet bare mattress . odd . again , excellent staff service . would stay due location . however , review also state , high class hotel look location , Grand Hyatt might well fit . 
 Dec 10 2007 	 beautiful view hotel balconey ! 	 great location go pier good resturant walk distance . also great use cable car street car get place pick right outside . recommend get room balconey face ocean ... beautiful view ! ! comfortable stay , nice bed shower . would recommend hotel . 
 Dec 8 2007 	 great hotel overall 	 first trip state hotel recommend we friend . we stay 7 night first room face city , fine become noisy early hour refuse collector make lot noise . move side bay view much well little dark ( natural light ) .This generally well appoint hotel good location major attaction , public transport good link california line tram right outside hotel . price include breakfast excellent , great choice friendly / helpful staff . the hotel clean staff seem friendly . would recommend hotel round good value , make excellent base explore city surround area . 
 Dec 6 2007 	 bit Pricey Prefer Grand Hyatt Better Value 	 November 2007 – spend six night Hyatt Regency San Francisco property attend Linkage 's Talent Summit & amp ; workshop offer onsite . stay good October stay three night Grand Hyatt Union Square feel well value . small room well value . I check rainy Saturday early afternoon ( around time oil tanker spill SF Bay ) . take Amtrak train Sacramento valley Emeryville , CA . use Amtrak connector bus SF drop right in - front property . return trip catch bus Ferry Building nearby assistance Monna . check smooth room good size high king size bed . bed comfortable . feather pillow bed prefer , foam pillow closet . lighting room excellent . also comfortable arm chair ottoman . room quiet . room bathroom look bit old date . the room regular tv . besides good variety broadcast cable channel , hotel offer large selection pay - per - view movie . room good work desk office - style chair . tv mini refrigerator sensor . closet electronic safe . the bathroom feature tub / shower . light good . portico brand bath amenity good quality include : shampoo , conditioner , lotion , bath gel , mouthwash . sink coffee maker hair dryer . room clean housekeeping excellent stay . breakfast lobby restaurant , breakfast good . there small exercise facility crow . hotel seminar site size , exericise facility small . Grand Hyatt Union Square large well exercise faciity . luckily rain stop first evening able go jog Nob Hill back every day . property locate Embarcadero Center office space retail food space . though many food offering limited weekend evening since cater working crowd morning lunch time . eat nearby Buckhorn Cafe Pho vietnamese restaurant . evening walk Chinatown dinner . Union Square property offer food place dine Hyatt Regency . pay conference rate $ 215.00 . previous month Grand Hyatt Union Square pay special group rate $ 140.00 . big complaint price property . Breakfast & amp ; Lunch Talent Summit & amp ; workshop okay . summit provide good investment time kudo Knowledge Infusion Pre - Conference workshop speaker Marshall Goldsmith & amp ; Patrick Leliconi Heidrick & amp ; Struggles pitch . post summit Linkage Talent Development workshop good great . I highly recommend property able get rate $ 140 - $ 175.00 . $ 215 plus high property . 
 Nov 26 2007 	 overall nice could better 4 * hotel 	 relatively nice hotel great location . room spacious comfortable nice view Bay . bathroom little bit outdate 4 * hotel . staff friendly helpful . however , parking expensive ( $ 55 / day ! ) . also disappointed room service ( e.g . yogurt breakfast order room expire since 2 week ... ) . overall remain quite pleasant experience . 
 Nov 26 2007 	 Loved hotel hate noise 	 book hotel get great price priceline- around $ 100 per night upgrade another $ 30 view bayand breakfast . holiday season ice skating rink run even though 9 story loud music not stop 11:00 . 5 year old withus would not back early . would not recommend eatingthe hot buffet breakfast runny egg , etc . would stay . holiday decoration nice lobby . 
 Nov 25 2007 	 55 buck night park four star hotel ? be insane . 	 centrally locate excellent view , priceline hotel location make sense . might get hotel room 60 buck night , price parking , GUESTS , unheard 55 dollar night include tax . moreover , internet service spotty expensive wifi run $ 9.99 day . overall , one night , be fine . great fine . go . park across street Embarcadero parking structure . , price 25 dollar day parking . grant , 's lovely lobby 's locate right cable car . plenty nice three star hotel free wifi free parking . get hotel Priceline , good luck . 
 Nov 25 2007 	 Great Location Great view 	 ' ve stay twice Hyatt Embarcadero , recently around Thanksgiving 2007 3 night . hotel breathtaking atrium decorate holiday light make look even well . I reserve room $ 150 / night decide upgrade room face bay 15th floor additional $ 30 . room first class every respect bed great . nice work desk could use laptop ( WiFi cost extra $ 10 / day ) .The balcony afford nice view city bay . not eat restaurant , buffet breakfast list $ 27 thought way high . use bar twice , be also little pricy ( $ 10 glass average white wine ) . use revolving restaurant / bar top seem closed , sure be go reopen . the location can not beat step BART ( take airport ) one cable car WAIT get , compare one Powell wait 20 - 30 minute get cable car . one negative thing hotel build early 70 concrete design fashionable , today looks date ( ugly ) . balconie nice view concrete surrounding puts not feel like sit , also lot bird make mess concrete . still , love hotel think 's worth every penny , be cheap expensive San Francisco standard either . 
 Nov 18 2007 	 Mixed experience 	 stay Hyatt Regency one night $ 94 Priceline . pretty happy stay would quite upset pay full price . sort construction go hotel 's entrance not clear get lobby area several other mill around confused state minute climb break escalator . upgrade room high floor Bay view breakfast another $ 30 good deal , Sunday breakfast hard come area . room nice enough problem staff , friendly helpful , one odd , inexcusable , thing hotel bar open 11:00 Saturday night . private function finish hotel 's bar , available . cafe suppose close , see bar similar would find someone 's house party cafe , ask could buy drink take somewhere else . attendant say ok really sad selection wine - be talk Robert Mondavi well one -- $ 10.00 per glass ! sound like alcoholic , nice hotel not fully function bar open Saturday night ? lobby rather cold anything intimate . sit around drink minute , desire stay anymore , gulp go back room . the hotel well situate public transportation easily get almost anywhere average tourist would go . next time want stay area , would rather stay Harbour Court street , lot charm Hyatt , seem much like business hotel tourist hotel . 
 Nov 18 2007 	 outdate overpriced 	 husband reserve & quot ; Regency Club City View & quot ; package originally 7 night ( booking change 3 night ) , complete view bay , private lounge access breakfast , hor d'oeuvres cocktail evening , supposedly upscale decor ammendment ~ $ 379 per night . arrive late check first night , travel approximately 24 hour day . host reception desk tell we overbooke room would give we last room available , neglect tell we smoking room . nonsmoker extrememly disappointed demand get we another room comp room book month advance . compe room , promise give we good room next evening . move 16th floor , balcony , decide breakfast morning . leave balcony 2 min return find 200 pigeon pecking plate . apparently one ( 200 ) get room , since find fresh pigeon dropping slide door . , scan floor room notice dropping ( dry thus old ) go far bathroon ! mean floor clean vaccuume quite long time . completely disgust - for $ 379 night room sparkle clean . never stay hotel again . I also mention positive thing ( ) .. location great , staff friendly , continental breakfast fresh cocktail lounge nice touch evening go town . gym facility adequate clean . overall , clean , comfortable stay , decor cleaning staff need update replace . many great hotel San Francisco , one first choice . 
 Nov 15 2007 	 nothing special 	 stay Hyatt Regency Embarcadero center conference end October find place overprice offer . room ok , many chain hotel , one renew bathroom replace old rust bath efficient shower . also , one restaurant inside hotel , think busy , take age get check meal . front desk staff disastrous : sharing room take three printout get receipt right ( keep mix name address ) . location though good , opposite Bart - Muni station close Ferry Building , within walk distance Union Square . 
 Nov 14 2007 	 great Stay Hyatt 	 book Regency Club room , want breakfast afternoon snack / cocktail come . also want balcony room , budget . check , lisa front desk upgrade balcony room Regency Club perk extra charge ! originally book sort room would cost $ 20 / night extra . nice touch ! room spacious , great bed , bathroom & amp ; dress area . balcony overlook ice skate Embarcadero view Coit Tower bay . could not ask more . I ' m coffee lover Starbucks provide day , pour one Regency Club level area ( 16th floor ) . breakfast mostly bread , breakfast roll , cereal , fresh fruit cold cut . nicely display helpful personnel offering tray want eat back room . housekeeping quick efficient - even though last day knock door 3 time see leave . ask extra time room grant . the hotel great spot - right next BART subway system , muni light rail bus . decorate atrium Christmas white light hang various floor - beautiful effect ! tree take 3 day get beautiful . every employee pass hall say hello good morning / afternoon / evening . this 2nd stay hotel come back . 
 Nov 12 2007 	 LOVE . love ! 	 love place ! think booked room w/ balcony ( husband MUST ! ) error manager find we room right away arrange bottle wine cookie anniversary .. location . arrange get w/o car will happy ! 
 Nov 1 2007 	 nice stay 	 many give mixed review property . wife enjoy quite bit . wife stay SF lot . mostly Grand Hyatt . first stay Regency quite impressed . quiet room even w/ balcony door open ( large city ) . miss sax music . yes , balcony w/ two chair table . stay Regency Club floor , 16 17 . nice morning evening refreshment . crazy join hotel frequent stay club even travel little . location great shopping Union Square . directly across Ferry building . wife stay future know want go back . clean room building . nice , helpful staff . arrive plane , take BART airport end door hotel . car SF idea good time valet park one concern . 
 Oct 29 2007 	 great Stay easy get . 	 hotel 's location easy get , 's embarcadero station ( bart , muni etc . ) . room clean even though room stick tiny corner hotel quite . problem staff . good choice people ' ve SF couple time not want see Union Square Pier 39 , though easy get hotel 's location . Muni 's light rail across street Ferry building , bart 's corner . would stay , problem trip . 
 Oct 29 2007 	 Nice Hotel 	 good property city many good hotel . convenient public transportation ( cable car , street car , bus , Bart ) , easily get anywhere city - car necessary . staff efficient . nice view / location . Ferry Terminal nearby good shop food . 
 Sep 6 2007 	 sax good bad 	 fiance stay birthday . room clean view bay nice . location so - so close one favorite restaurant . hotel lobby general decor could use facelift . compare four star hotel city , hotel measure . one complaint arise hotel , surround area involve ruthless saxophone player . music echoed make street musician seem like room ! arrive hotel around 7pm saxophone music , include Jingle Bells , continue well night . morning , unpleasantly awake approximately 9am Kenny G flunkee . receive restful morning due unknown male need musical instrument seize force necessary . 
 Sep 4 2007 	 excellent room go elsewhere eat 	 stay last 4 day August business trip . location excellent - central shopping / eating / attraction . check in / out quick courteous . foyer impressive . got Kingsize room second floor ( quiet second floor ) - good sized room . nice view Bay area . room spotless . tea make facility lot tv channel . minibar large quite expensive - 4usd bottle water . would recommend call help - desk wireless internet connectivity . european bank call 4 am notify uncharacteristic authorization credit card - cause trying pay wireless access site repeatedly tell card decline fact authorization put . problem try get outgoing connection hotel phone stop bank freeze card eventually resolve . breakfast cheap 26USD ( + tip ) buffet . unless ' ve get huge appetite , would recommend order menu go elsewhere . I dinner one evening - fillet steak - although reasonably price , quite bland 4 people sizable dining area ( chicken starter quite poor ) . San Fran great place eat eat dinner hotel . I not use gym facility take walk around hilly San Fran 's spectacular view will not need exercise . for business trip , would recommend Hyatt might bit pricey vacation . 
 Sep 3 2007 	 nice stay 	 return short stay Hyatt Regency San Francisco . hotel lobby amanze room confortable . location good good acess public transportation ! didn´t try restaurant . overall would say good hotel 
 Aug 26 2007 	 great Hyatt 	 bad : room stay spot carpet , black mold tub red / orange mold dot bathroom ceiling . the room non - smoking theory sleep window open street noise order get smell out . the hot water pressure weak shower . no robe . could hear people room walk about . Front desk motivate help we change room . good : bed nice . have tube tv , clock radio , extra synthetic pillow , cosmetic mirror , coffe maker , hair dryer iron . conclusion : guess hotel would ok update . sure open lobby design unless sound proof door . 
 Aug 25 2007 	 Great Hotel Great Location 	 decide stay hotel previously stay Fishermans Wharf much well location - much mroe central park play package come breakfast free parking well . have car San Fran make world difference - previous trip reliant taxis walk - bad get beat track see amazing part SF def get car ! hotel concierge team great ensure map info . the breakfast fine include price always take great care 3 year old . the complaint room next door full College student decide party 1 am 6 am - great we . tell hotel offer we free breakfast not mean much we already breakfast include . would recommend hotel sort group ! 
 Aug 24 2007 	 Stingy x 10 	 shocked hear valet parking $ 50 + day ! even though San Francisco little parking , rate outrageous . , charge internet , free nearly every hotel ' ve stay . summer chilly ( like Mark Twain say ) , want swim indoor , hotel swimming pool . Em barcadero center hotel bad . restaurant center excellent spot lunch choice range classic deli sandwhiche pizza sushi plenty hungry pigeon feed . would recommend hotel strictly business people expense pay . environment good conference , maybe family trip . 
 Aug 24 2007 	 great location average hotel 	 spend one night Hyatt , love location , pleased hotel . book room one & quot ; Business Plan & quot ; floor , think might little nice average . mistake . get room floor like other , except swipe key card elevator punch floor 's button . arrive , hotel send e - mail & quot ; E - Concierge & quot ; offer variety service free extra cost . respond ask extra towel New York Times , get neither . hotel huge build era giant interior courtyard ( much like Marriott Marquis New York City ) . now - date interior dark damp ( stream run lobby , probably moisture source ) . corridor narrow dark . room bit date bathroom small . mold present seam tub wall . give cost room , expect well . 
 Aug 6 2007 	 nice standard Hyatt fair 	 Hotel nice . semi corner room could see bay bridge . ammenitie standard fair upscale business hotel . one downside however rotate restaurant . not really worth price wall tad dirty , ever full rotation , would see black smudge wall . many great restaurant SF would recommend look elsewhere either drink food . bar downstair lobby also bite want . many people , try little hip really , lobby bar . 
 Jul 29 2007 	 nice parking blow 	 hotel nice clean . staff friendly accommodate . good location transit stop take either Fisherman 's Wharf Union Square . parking however budget trip . hotel 's valet parking 50 dollar day plus tip . park 3 Embarcadero build 30 dollar day never remove car . ' m unsure normal San Fran . make sure budget parking hotel stay . 
 Jul 29 2007 	 good hotel experience SF 	 pleasantly surprised get room Hyatt Priceline bid less advertised rate . check - in offer upgrade we bayside view $ 35 . good money ' ve ever spend . get 15th floor king balcony gorgeous view Bay . room impeccable hotel staff helpful courteous almost fault . far good experience ' ve hotel San Francisco elsewhere many year . 
 Jul 19 2007 	 Excellent - Well worth 	 hotel safe nightmare overnight stay another hotel Union Square . Hyatt save trip SFO . would recommend opt business plan option extra buck excellent breakfast restaurant . food excellent . concierge extremely helpful help plan day night excursion around SF . help book city tour ( well worth money ) helicopter ride ( highly recommend ) . bell staff also kind respectful . hold luggage locked room wait transportation airport want walk around city leave . right outside hotel get trolley car take Union Square . hotel backdoor lead right Market Terminal . want away Wharf ' mind expense hotel , recommend hotel . room spacious well bathroom . balcony overlook water sculptor display bay . able watch parade tall ship . noise night little . sleep balcony door open ( ' recommend – pigeon ) . 
 Jul 17 2007 	 wow ! ! ! Amazing 	 get great deal AAA . hotel free breakfast buffet $ 200 . soon pull greet great service course smile . check fantastic wow Lobby spectacular . do not view bay , be not dissapointe hotel room amazing . king size bed six pillow comfy . good night sleep ever hotel . buffet breakfast little small , complain come free . thing Concierge desk we call around Alcatraz ticket . think Concierge . stay , already recommend hotel ... four Star way ... 
 Jul 15 2007 	 nice place expensive 	 huge hotel great location . nice room , spacious great view Ferry Buillding . charge everything ! internet $ 10 day . parking $ 50 day . room service hotel dining UNREAL ! real kicker mini bar . usually bring water milk put mini bar . 's happen , open door start take content notice small label fridge . label warn content AUTOMATICALLY add bill soon remove fridge sensor fridge . remove 's . want remove content use fridge cost $ 20 ! ! ! ! ! although pleasant stay stay next trip three week . hotel area not rob blatantly Hyatt . oh , one problem elevator . tourist stay hotel come ride elevator see atrium . wait elevator someone keycard enter ride like be Disneyland . get annoying couple day . 
 Jul 1 2007 	 Hyatt - nothing special 	 stay Hyatt Embarcadero We d. June 6 - fri . June 8th business conference rate $ 200 ( much less low $ 350 AAA rate could find ) book special website . must say hotel large hotel nice atrium middle checkin second flor hotel conference room first level - setup little strange . strange meaning bar main resturant second level checkin / registration desk open air room face inward . easy get OAK airport use AirBART ( $ 3 exact change way ) BART train ( $ 3.35 way exact change credit tix machine ) Embarcadero station stop . , review ..... checkin breeaze many checkin agent available , however easy switch room - least conference Platinum Passport level , stick third floor Market St. side standard room , get listen Market St bus idle day & amp ; night , saxophone musician play Godfather theme every single morning street crack dawn . pro : early checkin availablecan view hotel bill room tvcomfy bed insulate walls- hear neighborslarge tv 's roomiron board roomGood water pressure / hot water timesClose many restaurant nice luche dinner outcable line begin end right front hotelEasy get cab7 - 11 convenience store right across street main entrance snack , water , gum , etc . starbuck directly across street right next 7 - 11 cstorefast elevetorsplentiful elevator - 6 remember correctly10 - 15 minute walk Union SquareSafe area walk nightlate checkout provide checkincon : expensive roomsmaid come room even put privacy card door - luckily clothe work deskinernet access $ 10 day - 24 hour time begin activateexpensive drink eat hotel - well walk place arearoom small Hyatt moneystaff friendly efficientbille error - charge movie order every nigh stay , correct easily front desk . low floor room noisy window side roombar always close - never staff available bar ( many guest complain bar close include visitor meet guest ) note : bar top floor hotel close permanently end May . parking - not sure parking since would rent car SF unless pan go wine country , see logjam front hotel guest irriate tie take get thi car fro valet . think hotel may valet also ( $ 30 - $ 50 per day in / out priviledge ) Lunch dinner hotel food good . bfast great . recommendation : stay somewhere else Union Square area like Westin equal level hotel rating Le Meridien near Hyatt Emb . get room high floor possible street noiseDo get room Market St side ) believe room # 's end 01 - 12 street . room # 308 good due street noiseCheck bill - mine errorsavoid breakfast hotel , great bfast food pricey ( $ 40 buffet one person ) - go Max 's Diner one block Union Square breakfast connect Maxwell Hotel ( another review ) Geary St. insteadwhich 15 minute walk worth it . bring ear plugslunch dinner food hotelI would stay Hyatt business personal travel . that be . 
 Jun 21 2007 	 Location 	 want conveinence place . BART , Muni & amp ; trolley car right outside door . also Ferry Bldg across street plenty food . shopping & amp ; restaurant area next bldg find clothing need place eat . room nicely decorate , update clean . room quiet , thin wall . ask room Bay side reward amazing view . Bay Bridge window . engage SF 14 year ago come back eat restaurant . concierge set reservation . come back room , champagne , strawberry well cookie & amp ; milk kid ! special touch will not forget . Steve concierge desk awesome ! staff friendly helpful snobby pretension . pricier chain hotel cheap Ritz well worth memorable stay . also , look quiet place eat breakfast - take BART Union Square walk O'Farrell st . Santorini restaurant serve amazing breakfast . weekday 9 . place food incredible . happy travel ! 
 Jun 13 2007 	 Nice hotel one large 	 great property - 's great shape atrium impressive . , get room balcony face harbor - lucke out . the staff , encounter professional courteous every turn . concierge know restaurant provide two fabulous recommendation there . the knock give following:1 . gym way small hotel many room . definitely need bigger.2 . exhibit conference space convert old garage , ceiling rather low area . this hotel serve Hyatt brand well . 
 Jun 2 2007 	 Perfect stay ! 	 second stay , always , good . staff perfect , available , room also good . 30 $ spend room balcony ' much quiet view bay street , ' hear lot noise outside room downtown view . get good price hotel via site like hotwire good value ! 
 Jun 1 2007 	 large hotel great location 	 Hyatt popular large business group conventioneer , nice hotel tourist . lobby include trademark soar atrium mediocre coffee shop , along decent bar . room small , expose lot street noise , great view toward bay and/or bay bridge . decor bit date could use upgrade . I ' ve stay several time past year , service always professional compassionate . the location great . be right across Foodie Heaven , Ferry Building . excellent breakfast , lunch , dinner , snack short walk away . BART ( subway ) stop locate directly front Market Street , Yerba Buena Center Union Sq flat 15 - minute walk away . toward Ferry Building , vintage street car transport Fisherman 's Wharf area , hilly walk direction take China Town North Beach . parking cost small fortune ( last check think $ 40 night ) . 
 May 30 2007 	 big Atrium hotel 	 atrium centerpiece hotel . several year old , be still beautiful architecture . room ok - nothing fancy class hotel . facitity feel bit date ( concrete wall not much ) . slide door room add wonderful openness room view pretty good . location good , F trolly line , BART MUNI right hotel get everywhere . 's good hotel would not pay premium . 
 may 30 2007 	 comfortable stay convenient ! 	 be usually draw cozy , offbeat hotel , need book room SF week 's notice ' cozy ' hotel either expensive ' seedy ' side ' cozy ' ! give Priceline shot , score room Hyatt Embarcadero good rate -- $ 92 per night . positive : proximity BART station -- can not beat . BART train go directly airport hotel take 25 minute ... Embarcadero BART station literally next hotel 's front door . close California streetcar line bad walk touristy Fisherman 's Wharf area be .... Comfort .... room / bed comfortable clean -- view harbor . location great , convenient food : not miss Ferry Building across street really good food ... be also huge farmer 's market Saturday morning . drawback : many -- 's long hike around room be opposite side elevator , be really big deal . also , be super - close ( least walkable ) restaurant area , thing seem close super - early neighborhood ( trouble find reasonably - price meal nearby 9:30 ) .All , though , happy stay , especially price pay ! 
 May 28 2007 	 Excellent ! will not disappoint . 	 arrive Saturday Memorial Day weekend 2 night stay . pick room $ 84 night Priceline , 1/3 go rate . location hotel perfect , next Embarcadero Bart station , Powell / Hyde Cable Car line SF Muni bus terminal . walk distance Chinatown , Columbus Street ( Little Italy ) . take Muni & amp ; Park Giants game . simple location . check - in simple , room spacious clean witha great view ( 7th Floor ) . fact , room oversize beautiful excellent furnishing . skip $ 50 day parking fee find lot block away $ 11 ( Jackson & amp ; Sansome Streets ) . starbuck across street . excellent shopping Embarcadero area next door . simply complaint ! excellent would stay . 
 may 23 2007 	 overprice 	 yes , Hyatt Regency impressive atrium . definition , however , atrium empty space . hotel disappointing . room , sink faucet work ; neither overhead fan . hotel feature free wireless internet connection . breakfast astonishingly expensive . give pay , experience disappointing . 
 May 18 2007 	 nice enough SF charm 	 ' ve stay hotel time fun business . never intentionally pick , always Hotwire / Priceline pick 4 - star hotel Embarcadero . nice enough hotel , room comfy big , view always beautiful , staff friendly . location can not beat , right water , near ferry terminal BART stop . upgrade free club level get free drink / snack breakfast . bad ! want real , unique SF hotel experience place , rather corporate . like consistency , great place ! 
 May 17 2007 	 Great Hotel- Perfect Location 	 return another perfect stay Hyatt Regency SF , 5 Embarcadero Center San Francisco - this perfect hotel Bart system bring right entrance cost $ 5.15 one way per / person get SF airport - this 3rd stay hotel consistantly clean , well maintain .. impecable staff . everyone check check go way make sure stay nothing less perfect . room spacious , impecablly clean bed sooo comfortable- breakfast morning watier / bus boy accomodate .. make great experience . this hotel locate right cable car system electric trolley easy access well - it right across street Ferry Bldg must see - you disappoint stay Hyatt Regency- 
 May 15 2007 	 convenient location 	 get hotel great price , always nice ! incredibly convenient term get airport . much party central , maybe next time would stay Union Square . room clean , mostly well keep . great view , find kind surprising book Priceline ' ve hear get lousy room way . ! able check hour state time . bar downstairs good price cocktail dinner . 
 May 7 2007 	 Nice hotel great location 	 stay property four night attend trade show . pleased room . nicely furnish bed comfortable , firm mattress , lot pillow , comforter . ( least feel like comforter . ) ' ve stay expensive hotel flimsy blanket buy Walmart $ 10 , impress bedding . concierge helpful give direction information , dedicate computer near front desk print airline boarding pass free . astounded parking rate ( par New York City ) luckily not car . internet access room $ 10 per 24 hour , standard many hotel , although think expensive hotel one give free . the hotel extremely convenient location . metro stop literally outside front door , bus trolley stop block ( beware trolley right outside hotel ; 's regular trolley tourist trolley cost $ 5 ) ferry block away . walk lot shopping restaurant , 's Starbucks across street . area not busy night , alert be walk . lucky get hotel Priceline . probably would pay full price stay could afford . 
 May 7 2007 	 great ! 	 use Priceline get total $ 93 per night ( include taxis ) . GREAT property money right Embarcadero BART stop . fly SFO take BART ( San Fran subway $ 3.95 way ) . hotel beyond wonderful far niceness go ( money ) . pretty picky upgrade fabulous regency suite ( grandiose style , view , amenity ) .I also meet love life property , always special place I . take care hope everyone love place much ! ! 
 May 2 2007 	 excellent view great location 	 definately worth $ 30 upcharge bay view . room adequate view incredible . also stay Omni San Fran nice , would rather stay Hyatt view prime location . 
 Apr 29 2007 	 do not hesitate ! awesome ! Calfornia Girl Born raise ... 	 Awesome Stay Hyatt .. take BART International Beer Festival Fort Mason ! book room online directly though Hyatt .. do not park car save 45.00 day ! say 15th FLOOR fantastic room ... wonderful view huge room ! king size Bed wonderful ! ! ! Service + + + + + + + would stay heartbeat ! ! ! ! ! ! right across Ferry Building centrally Located ! can not wait go ! ! ! 
 Apr 29 2007 	 Nice Hotel Great Location 	 stay get great $ 75 deal priceline . hotel nice area , close transportation great view bay . place little cold impersonal , botique hotel . however , room clean , update well worth price . staff attentive helpful . not eat price sky high . many nice place eat close venture see city . ( parking $ 50 per night .. FYI ) 
 Apr 29 2007 	 great stay 	 receive excellent service . coffee room . Glad pay 60 per nite priceline . 4star hotel . robe room free coffee . location excellent . close transportation . cable car , trolley , train . close everystore think . walk distance many place . starbuck coffee every morning across street little pastry coffee shop sell roll scramble egg ham $ 3.00 . reasonable eat . walk distance ferry terminal farmer market tusday weekend . food terminal fabulous reasonable . pick bottle wine , cheese fruit bread italian deli pick fresh cold cut sub . happy . hotel beautiful . staff friendly . main entrance 2nd floor warn . bit hike . slept like baby bed provide . give view baybridge . able open window look . beautiful . recommend . 
 Apr 21 2007 	 overrate overprice 	 husband stay month - long trip U.S . honestly , underwhelmed . postive , bed amazingly comfortable get good night 's sleep trip . view room great , location sf.however , well service budget hotel . first night Hyatt , go lobby bar drink appetizer . bar quiet- table occupy . despite fact slow , fact 5 ( yes , 5 ) server work time , take 15 minute someone come take order . , take another 20 minute waitress bring we drink . look see take long , see server bartender stand around talk . food come 40 minute order . nobody offer we explanation thing take long . my husband work restaurant hotel industry , understand waitstaff go . ridiculous- service absolutely appalling . top , cost $ 50 per day park car hotel , another $ 10 per day use internet . understand parking rate pretty typical upscale hotel city , charge internet ? ? ? go La Quinta get free ! ! lovely accommodation , inflated cost hotel justify due average customer service . 
