work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Jan 26 2009 	 great location ` ` '' 	 stay strand time without problem , room clean , ample breakfast great location . however visit - arrival tell room cancel previous day email web company use booking , despite we pay balance full time booking . phone call receptionist book another room 6th floor . & quot ; & quot ; room smell damp , mildew around seal bathroom around inner window frame . bedroom also mildew wall could also see trickle condensation run wall . bedroom window also soak condensation could open allow air room . would probably stay , 6th floor . 
 Jan 25 2009 	 great value London hotel - lovely room great location 	 anyone read previous review , notice take issue London hotel quite regularly .... charge lot usually significantly bad London equivalent .. normally head hotel expect bad . the Strand Palace great location .. would expect Strand , 5 minute walk Covent Garden .. perfect . walk reception , start think maybe ok .. remind St Giles hotel London ( another really good value hotel impressed ) mood lift . reception check inn fine , little strange reception guy haggle room upgrade single double ... quite fun actually happy pay extra £ 25 . double room come £ 130 .. bad London . the room really lovely money . Modern , beechwood facility would want ( flat screen tv , desk , hair dryer , complimentary water etc ) - nice touch shutter window try limit noise street - issue face strand . hotel really great double glaze shut noise completely ... one do not , still hear , shutter help . the bed lovely duvet rather blanket .. major choice bathroom although little dated room also fine . breakfast morning really good value affair include price ... , would take hotel pricier one town . instance , stay reasonably regularly Radisson Mountbatten - standard room , would probably pay £ 160 £ 200 . room small decor be not significantly different Strand Palace ... think good round bet . 
 Jan 22 2009 	 draughty noisy cupboard room 	 employer book hotel colleague . check queue long receptionist curt , expect know require name employer 's detail . not recall every need information except name check hotel ! ! ! give & quot ; club & quot ; room , every case & quot ; extra & quot ; normal room would appear free bottle water . 3rd floor room overlook side street , noise even window wooden shutter ( replace curtain ) close , noise street unbearable . also window really old draught come room . internal sound proof really bad could hear everything happen next room . the room tiny single room bed push wall , small desk , wardrobe alcove enough room swing kitten , never mind cat . room small tv mount high wall , one need lie bed watch tv crane one 's neck able see screen . matress hard , duvet thin ( blanket ) pillow cheap , synthetic one . short , comfortable experience . bathroom clean , shower control stiff , make difficult turn shower . one bath towel thin . drink bar exhorbitent ( £ 20 3 small beer , G & amp ; soft drink ) suppose London price . breakfast adequate dining room crowd service fluster , odd consider breakfast buffet service item tea / coffee . would certainly stay . 
 Jan 21 2009 	 Clean Comfortable Hot Noise Issues 	 stay quite bit , company get good rate . clean & amp ; comfortable , convienient place visit London . however room always way hot , place hum sound machinery , sleep often hard come . sleep hum niose great . cure hot opeing window & amp ; hear hum . having say , good hotel hundred night london central / west end find . 
 Jan 15 2009 	 comfortable friendly good location 	 spend one night theatre / couple day London trip , would definitely stay again . the location great . couple minute shop restaurant Covent Garden . short walk river . 5 minute walk Shaftesbury Avenue theatre 15 minute British Museum . several tube station closeby . the staff friendly welcoming . problem check early , efficient luggage store check . comfortable room , good sized room shutter block traffic noise Strand . good breakfast include price . 
 Jan 12 2009 	 Blackpool B 	 book hotel romantic weekend also location . on arrive find staff helpfull polite . recpetion area modern positive feel hotel . open door room dissapointe . like walk cheap B & amp ; B Blackpool , fact stay much well b & amp ; Bs . room Retro , update since 70 ! ! ! wall thin could hear everything side , talk , tvs even open wardrobe door . I write personal dig staff good , however , think stay advice would move postcode away spend money enjoy . 
 Jan 12 2009 	 Strand Palace 	 check time 2 pm , arrive 12:30 . understandably room ready return 2 pm check , staff rather rude say room would available another 2 hour . rush get see matinee show put bag back concierege man rude say check room ready take bag . room describe Club Class , def luxury . 
 Jan 10 2009 	 great locationgreat price ! ! 	 ok room may little basic sound proof not great ! care right bang Strand middle theatre land ! ! two friend decide book show ( Grease fantastic ) one night stay hotel , hotel come package . the staff friendly helpful , hotel spottlessly clean , bar , restaurant , reception nice ! buffet breakfast spot ! three we decide stay else London next time visit , location value money A1 ! ! 
 Jan 8 2009 	 great introduction London 	 husband stay 5 night September , first time London uk.after 24 hour travel really look forward nap comfy bed . book private car transfer airport glad travel Australia last thing want negotiate underground public transport sit bus wait 40 people drop . problem car allow park front hotel , taxi , even though chauffeur car . park around corner hotel walk rain . when get inside hotel check friendly smooth , arrive around 10 am give room right away . book travel agent tell we one type room available hotel deluxe / club room . we go floor find whole floor serious renovation . suffer rather bad asthma verge asthma attack step lift . get room , small dingy bad 2 single bed . we go back reception say give we wrong room , promptly tell we agent book twin room we double available unless pay upgrade club room ( not believe empty double ) see want club room first place pay upgrade . much worth . club room newly renovate , spacious , clean comfortable . breakfast nice service good . we choose hotel location affordability location . first time London want lot walk hotel central everything want . love close Covent Garden , lot lovely cafe shop close . walk Eye , Trafalgar Square , Buckingham Palace even walk Imperial War Museum ( take nearly hour great see London ) . go walk one morning stumble across Somerset House , use film Duchess ( Kiera knightly ) , whose film premier stumble across go dinner one night . in conclusion glad stay club room first time london like we want see experience London great place stay . ( also stay night hotel West Brompton / Earls Court . Strand Palace much well location get around . ) 
 Jan 8 2009 	 bad price 	 Strand Palace Hotel inexpensive ( London standard ) . walk Charing Cross station Covent Garden station within 5 minute . grand hotel , 5 night stay sufficient . usual fastfood chain starbuck right around corner . neighborhood relatively safe ( although not stay past midnight ) . single room small , not spend much time hotel anyway . bed align next wall could hear footstep outside around 1 morning , vacuum clean usually wake 9 am . bathroom small , clean . 70gbp night , think tolerate plastic cup outdate furniture . not expect much , able walk away feel relatively good choice . front desk try sell upgrade & quot ; club & quot ; room , room 7th floor acceptable . 250gbp spend night Ritz , would much rather spend price difference shop pretty much everything sale time year . 
 Jan 6 2009 	 good choice 	 husband spend 7d/6n stay hotel . since honey moon , hotel offer we upgrade Club King room . bed huge , toilet clean . we stay 5th floor , renovation go floor . lobby area smelly ( renovation ) . not hotel accomodate guest floor renovation . location ok , excellent . center 3 subway line , walk 3 different subway station close , around 10 min walk subway station . no wine bucket offer . get ice ice machine hotel , figure freeze champagne . 
 Jan 5 2009 	 perfect hotel London family vacation ! 	 Christmas - time , 9 us two US two UK city ( two set parent 5 teen / young adult kid we ) meet Strand Palace four day night London . hotel old ... fray spot ( duct tape carpet , moan hot water pipe ) clean comfortable -- perfect kid ( room twin bed ! ) walk distance everything : theatre , Trafalgar Square , Buckingham Palace , British Museum , Covent Garden , St. Paul 's Cathedral , Westminster Abbey , National Art Gallery . front desk personnel helpful ( especially deal last minute flight change thus , change time car airport ) concierge service hotel lobby wonderful . full breakfast include package great restful / vacation - like way start day . Strand - Palace right heart everything -- lot restaurant pub shop right around corner & quot ; Lion King & quot ; . play lot card lobby enjoy London vacation much , wonderful base move . price reasonable , , especially consider proximity West End Covent Garden . 
 Jan 5 2009 	 good location ! 	 brilliant location - easy access Covent Garden , Trafalgar Square etc theatre . first room allocate husband tiny , freeze look wall pipe . sure book double go back reception say think book double - say twin letter give ! oop , luckily polite give double manager Tiziana . double large , warm modern look Strand . yes lounge bar expensive London big surprise . breakfast lovely plentiful ! 
 Dec 31 2008 	 bad hotel room every stay London 	 outside hotel building look impressive , conveniently locate , lobby look clean breakfast acceptable . however , room # 582 get bad hotel room ever stay London . extremely small , large enough even fit queen size bed , contain small single bed , cheap possible furniture , little window block open 100 mm face gloomy courtyard , ventilation air - conditioning , air room sticky musty . hallway also look drab . ask reception could get well room , duty manager Barbara Bottaro refuse , say room . resolute attitude feel like goal silence customer dare ask anything well . walk around find room look little well come back , insist see another room . reluctantly show room 1st floor little bit large little less drab directly face HVAC outlet courtyard . refuse show room , say care complain . last surprise check want leave luggage till afternoon . service free , hotel guest pay . 
 Dec 31 2008 	 rather shabby 	 good location - much else recommend Strand Palace . pay extra refurbish double room : paint new furniture new tv add . bathroom pretty dreadful though - cold . stay centre London never go cheap - prepared something mediocre . 
 Dec 31 2008 	 great value money 	 book Club Room Strand Palace overnight stay ticket theatre - £ 119 include full breakfast vat not expect much really pleased choice . refurbish lobby , reception , bar etc look smart , Club Room ideal , bit small smart clean , flat screen tv , safe , Wifi internet access , room service , bathroom fine . drink mezze Lounge Bar theatre good . plentiful breakfast serve till 10.30 . clientele seem mostly tourist theatregoer . look reasonably price hotel close central London Strand Palace ideal . 
 Dec 22 2008 	 job central location clean good value 	 not expect luxury ( mean , look price ! ! ) , however find place clean , functional perfectly adequate . 's location excellent easy access West End . I work close Christmas party mean book single club room night . therefore know area well surprised find somewhere stay price central . expect basic happily surprised , stickler cleanliness live standard , room small comfortable , recently decorate ( think one - up Premier Inn ) everything need . bed comfy room quiet . staff nice - complaint . can not comment food sample . however would say tourist think menu overprice . area team really nice place eat breakfast late night dining would recommend not pay all - inclusive price . the corridor need recarpeting would definitely recommend pay little extra club room ( not think standard room fair well ! ) .For anyone look central location explore London crash pad could lot bad . 
 Dec 15 2008 	 Great Hotel - Highly Reccommend 	 great hotel , fab location breakfast amazing ! book Club room great , big bed sofa handy . great location , around corner Covent Garden . staff friendly helpful . 
 Dec 13 2008 	 Fab Locaton overall nice hotel 	 stay 1 night go see dirty Dancing . arrive hotel 2 pm ( check open ) check easy fast be not wait long . hotel lobby / reception area nicely decorate nice xmas decoration etc . room fine , pay club room ( well worth extra ) spacious clean basically expect pay . order champagne suprise mums birthday come time request room service good . location brilliant , right near shop plenty restaurant ( lot offer pre - theatre dinner ) walk distance theatre . problem noisy night ( suppose hotel can not help noisy guest ) overall fab price pay london hotel , location brill would return london ! 
 Dec 11 2008 	 expect 	 invite friend stay london Strand Palace ashamed room ! didn´t look like room website . room totally threadbare , heating didn´t work , noisy view miserable . price much well hotel London . okay , staff friendly helpful . 
 Dec 10 2008 	 Great Location close everything 	 stay September . hotel nice . room tad small location make . close theatre walk distance covent garden river . 
 Dec 9 2008 	 Excellent location love ! 	 stay Strand Palace Hotel March 2008 think great . . . location can not beat - minute away Covent Garden shop , right middle city area London . my room clean , quiet comfortable . staff friendly helpful - disconcert thing floor little confusing navigate ! room huge plenty room store luggage , etc . view window great be pay room view ! right Strand mean literally minute away manner useful thing - tube stop like Covent Garden , Charing Cross Embankment , theatre , shop pub . would definitely stay recommend lovely hotel friend ! 
 Dec 5 2008 	 Location otherwise could well 	 2 night hotel . first impression good , public room bright clean , bit impersonal . room ok near front rather noisy - casement window close properly traffic noise pretty constant would advise take interior room . decor totally dull need make - over - scuff wall shower head loose . kettle , fridge , safe even trouser press room . king - size bed however comfortable . corridor uniformly drab need re - decoration . the hotel busy breakfast overflow area : strangely could charge breakfast room pay spot . staff deal fine , impression overall impersonal tourist processor . the location good thing hotel central London reckon good value . need money spending however bring average standard . rest match public room could really good hotel . 
 Dec 4 2008 	 much ` ` new improved '' 	 sorry , place need help . affordable London .... pretty good location . - pass able . room recently & quot ; refurbish . & quot ; refurbishing include shutter not fit track constantly fall , heater first two day , light switch properly wire , option light two glare overhead light ... even though nice reading light next bed ( alas , way turn alone ) .The wall thin , could hear neighbor people hall constantly . the restaurant ( Carvery ) horrible - pretty & quot ; safe & quot ; tomato soup watery tasteless . bartendress small bar totally unfriendly . pretty much overall disappointment . 
 Dec 4 2008 	 Super ! ! ! 	 read pretty bad review dubious say least . until arrive , Quick check - in , lovely Club room facility need weekend away . the breakfast excellent , hotel clean warm location second none . for £ 140 per night central london fantastic . I think people write review without experienced broad range hotel accomodation nothing compare , thus lead slaughter review pettiest thing ! be go London want good hotel good food / facilitiesand room use Strand Palace . 
 Dec 3 2008 	 Strand Palace ok 	 stay Strand Palce parent sightseeing weekend London . arrival find nice reception area upper floor notice decor carpet quite worn need attention . go club room recently decorate . one room however small single room badly fitting window pretty poor . the location good , close major sight right outside Covent Garden . also good restaurant close byOverall stay pleasent price quite high hotel clean nothing special . location plus though 
 Nov 26 2008 	 oh view .. 	 group us fly London layover head Greece . spend 2 day London choose Strand Palace accomodation . location hotel great . block near big Bus Station ( red double decker ) . 1.5 block Trafalgar Square . internet cafe across street great little pub ( Wellington ) street . mention Starbucks 3 door . like say , GREAT LOCATION . room clean lobby well maintain . staff helpful quite fun actually . concierge great give we advice go get . would definatly reccomend hotel anyone look stay London budget . 
 Nov 23 2008 	 well place small room 	 stay Strand Palace . room really suitable single occupancy - the bed wall one we climb , plus bedside table side . the staff busy concierge not seem interested give information - only selling tour theatre ticket - obviously get commission , seem . commissioner lovely caring . we book breakfast good long queue - I ' ve never experience hotel , even London . having say , although be cheap hotel , central bus stop virtually outside door go train station much cheap taxi . day pass ( £ 3.50 ) use bus tube Zone 1/2 go Greenwich Albert Hall night - catch bus outside hotel . theatre within walk distance plenty reasonably price place eat , though go theatre would book table really busy show . we would stay though provide get deal - there plenty company offer deal maybe ask upgrade get large room . one last thing - it must really warm summer , window not open far enough warm , heat window open November . fan wardrobe goodness know would like summer . 
 Nov 20 2008 	 horrible staff 	 stay 2 night Strand Palace Hotel London . it unfortunate staff horrible since hotel good location , relatively reasonable clean . staff unfriendly , impolite unhelpful . would never recommend hotel despite advantage . 
 Nov 16 2008 	 Weekend break London 	 family stop hotel 2 night November 2008 . hotel well locate lobby bar smart , spacious well set . room small , bad really fine use base explore London . do not breakfast hotel feel expensive , plenty place nearby get breakfast reasonable price suggest instead . 
 Nov 15 2008 	 good value 	 stay twice year , times short theatre break . decent sized clean room around £ 100 . excellent location , 2 min Covent Garden Theatre District . always consider stay future , due 's good location reasonable price ( London standard . ) 
 Nov 13 2008 	 avoid place 	 stay one night place Strand central London . at £ 160 night room complete rip . room small , noisy , poorly equip , inadequate tea / coffee supply bathroom proper curtain entertainment office block opposite . the hotel also redecorate mess . apart location nothing else go . 
 Nov 11 2008 	 never ! 	 mother 's arm bleed age catch bathroom door handle . make mother ill cause we miss ' Joseph ' , show look forward year . hotel refuse believe insist nothing wrong door handle clearly ! advice : never stay ! 
 Nov 5 2008 	 good stay spoil vindictive bar staff 	 bad hotel overall , many friendly staff like doorman , lady continental breakfast room remember morning , shoeshine guy etc . HOWEVERIt spoil last night resident ' bar . friend sit near bar chatting barmaid , Martyna believe call , walk past table , lift drink beside promptly pour sink behind bar , even though chase saying & quot ; Excuse 's drink , 's drink ! & quot ; finally get attention , apologise gracelessly get another one . decide add version defiance . take bottle beer , pour certain amount full handed half glass beer , surly remark accompany ! ! could not beleive would seriously hesitate go . 
 Nov 3 2008 	 good central hotel 	 ' ve stay couple time year mainly due 's location . find room clean comfortable . notice renovation work do . area hotel see well day however club room good . breakfast good great choice . 
 Nov 2 2008 	 change room 	 book one night stay Strand Palace , mainly reasonable price central location . stay several year ago disappoint decide book Superior Club room time around hope would comfortable . however , disappointed offer - tiny room - hardly able open case , overlook busy main road , minute bathroom - hope . reluctantly complain find Duty Manager extremely hlepful - offer another room much large , quiter generally pleasant . singe room seem tiny hotel ( really dislike fobbed sort thing travel alone ) would recommend ask another find position . hotel process renovate ( much needed ) - seem disruptive . generally pleasant enough stay . 
 Oct 30 2008 	 average 	 hear rumour hotel , year ago , reduce size room , obviously increase capacity . whether true sleep small room Central London hotel . if light sleeper avoid room look upon Strand road busy night . I check pleasant , difficult understand lady Eastern Europe . room clean adequate . however , room air conditioning window open limited amount . even though cold night radiator switch heat almost unbearable . note glass leave outside room , room service collect evening night good enough hotel price range . the drink bar extremely expensive , guess 's would expect location , though barman surly . breakfast ok , busy . confusingly breakfast guest greet question & quot ; look somebody ? & quot ; staff duty . experience would wish repeat ! 
 Oct 30 2008 	 bad . 	 stay Oct. 15 16 , 2008 , Oct. 19 20 , 2008 . first 2 night stay & quot ; standard & quot ; room 6th floor . room serve 's purpose since room long enough shower sleep . although view terrible since room middle hotel could see small court middle hotel lot . one window would open , would lift open 3 inch . check easy , though not know need passport number ? doorman , conceirge service nice helpful . upon return 19th , need passport number ! give we room small , dark . go back see , give we & quot ; club & quot ; room 3rd floor . cost we extra 30 pound night . lot see area hotel locate , Charing Cross tube 2 3 min . walk road hotel , great since main transportation across city . 
 Oct 29 2008 	 Hit miss ? 	 stay hotel recently course London . really pleased room : especially fact cool ! seem bit old - fashioned clean , great bathroom surprisingly quiet right Strand . request room back . not get work ok anyway . breakfast good quite long queue get seat many guest travel alone . end share table stranger morning . not mind guess people might like . book evening carvery . bit tedious exactly choice three night run . staff friendly whole . really seem luck draw hotel . not pay happy enough ! 
 Oct 29 2008 	 good location 	 one night stay Strand Palce London . first impression excellent - reception public area smart . shame can not say room ! room small scruffy although cold night room hot could not sleep . 
 Oct 27 2008 	 filthy dark decrepit scary . 	 ' m native New Yorker . ' ve see pretty bad stuff . travel agent book wife roach motel . greet drunk step hotel , tipsy prostitute lobby . place long antiquated corridor , dark lonely , reminiscent tenement know back 1970s Bronx . room tiny . lock telephone . graffiti wall . room smell . ' m 6 ' 2 '' . banged head bathroom ceiling . people next door sex hear every groan bump . wife cry . could not get reservation another hotel . nonetheless , check spend night airport pay full price get back States . sue travel agent get every penny back . true story . avoid hotel cost . be pretty much SRO , flop house . 
 Oct 15 2008 	 decent place stay weekend 	 read many negative review confirm belief people simply satisfied . stay Strand Palace Hotel last weekend ( 10 - 12 October 2008 ) , well , yes , ... satisfied ! mean else expect central London hotel ? ! ? room 3rd floor clean , well - keep , QUIET ( ! ! ! ) , safe work ( ! ) , bathroom modern well - equip . location great , complain anything . come someone spend 60 + night different London hotel , will not bother look anything else . 
 Oct 12 2008 	 bad hotel ever stayed - ' ve stay lot 	 ' building site ! ! give room 4th floor impossible find ( take room number sign decorate ) . go back reception get escort room , though derelict corridor load electrical wire hang outside room . complain eventually get move room smell like someone die rot bed . think previous occupant throw room - smell pungent ! tell last room leave hotel ( feel like ) ! book room directly hotel - tell building site ! ! leave , ask concieage get taxi , answer say sorry pick phone answer call finish tell - final insult ! 
 Oct 4 2008 	 Absolute Cesspit - AVIOID cost 	 simply avoid cost , could write million word trust man spend least one night away week total craphole . bother , anyone say otherwise likely work Hotel . want war peace contact . 
 Sep 26 2008 	 Pretty Average 	 stay two night go see ' Lion King ' show Lyceum Theatre . there much say really , Hotel seem med refurbishment reception area , keep change location check - in desk little strange , obviously require work . also little confusion check - in . the hotel big , clean , room average , although locate corner build excellent view along strand . breakfast average . room small average size , add basic , nothing get excited about . we return london March ' 09 choose different Hotel try . 
 Sep 24 2008 	 highly recommend ! 	 stay hotel 2 night boyfriend way back Venice . find hotel location excellent staff welcome eager help . normally stay around Paddington visit London think would pay little extra stay much central location . hotel walk distance Westminister Abbey , Trafalgar Square , Leicester Square , China Town Covent Garden . check - in simple smooth quickily direct room . room little small side standard London , fully impressed size bathroom ( even full size tub ... rareity London hotel price range ! ) staff concierce desk polite , full information could answer question . breakfast good hotel . full hot cold buffet breakfast plenty wait staff however bit queue Saturday cause hotel pack still manage stuff ! highly recommend , definitely book stay next visit London . 
 Sep 23 2008 	 unexpectedly Pleasant ! 	 read review Strand Palace Hotel Tripadvisor expect much property . loctation : conveniently situated , easy access Covent Garden Charing Cross . check - in : friendly , prompt efficient , use dedicated Club check - in Desk . room : Club room - room big , perfectly adequate . appear recently refurbish clean . rather curtain , window slide wooden shutter , block light night , also cut - down outside noise ( see image ) . keyboard provide room internet access via television , guest service feature function . flat sceen tv also habit turn display wrong time - minor issue . bathroom : , appear refurbish ; clean adequate size . complimentary toiletry reasonable standard provide . breakfast : buffet style , continental full English - reasonable quality selection . public area : clean presentable . Customer Service : good , staff good grasp English quite helpful . review base upon book 3 day package via hotel 's website , pay full rack rate , think would able achieve well deal another hotel . overall , would hesitate stay . 
 Sep 23 2008 	 ok ! 	 stay one night see theatre , check check smooth without problem , staff friendly enough . would stay . 2 negative 1 ) small cockroach bathroom , 2 ) water dispenser breakfast buffet cough black sludge glass along water try use . speedily carry away pointed explanation give , really explanation would justify ? ? ok though 
 Sep 22 2008 	 exactly Palace ! 	 stay May 2008 weekend break 2 couple . check fine , hotels exterior gothic like , look fine . also 3 min walk Covent Garden , massive plus . unfortunately book one upper floor , get lift lobby modern , must enter time machine , upon lift door opening floor stay treat run motel . everything decor carpet extremely date . its almost 1st couple floor fantastic rest forget . room small , nothing write home . 3 night cost 510 pound per couple also steep side . real thing go location , perhaps pay . 
 Sep 10 2008 	 Rooms joke ! 	 Location Fantastic say outset review staff Doorman Reception Concierge excellent .... room joke ! reserve & quot ; Club Style & quot ; room suppose good , check find allocate room size dog kennell , go back reception say could offer large bed 50pounds per night decline , hotel sign & quot ; upgrade Club Room ? & quot ; Truthfully have hate see room like , enquire reception difference - tell Club Roms Flat Screen tv 's ( make sence type tv would fit . ) ask Ironing Board 5 time deliver 5 hour later would go out . if ever want practice magician assistant go back , hotel save grace location . money would easliy stay anywhere else , breakfast noramal average hotel . 
 Sep 10 2008 	 Shabby clean 	 stay one night 6th September friend . although hotel well situate literally around corner Covent Garden Piazza , probably one good point . the hotel busy full gang tourist , reception area spacious , although need update good clean , bar okay lack atmosphere bedroom shabby , tired grubby . bathroom need urgent refit grout tile quite yellow hygienic old formica vanity unit corner bathroom floor see thorough clean year - good ! window jammed open look onto old victorian tile wall , extremely depressing . perhaps room update , would worth check situation hotel good , 's shame not spend money bedroom . the one thing like much doorman , welcome happy . 
 Sep 6 2008 	 good hotel price 	 Hotel process renovate unfortunately room do yet . say be not good though . room clean well keep bathroom large . new room must even well . hotel 10 min walk Trafalgar square tube block two remember correctly . overall good experience . 
 Sep 1 2008 	 ok around . 	 ok price central London . fridge A / c . room warm clean comfortable staff good . carvery expensive even London get pre theatre special staff obsequious . definitely would stay . 
 Sep 1 2008 	 great location London 	 stay 7 night Strand Palace August 2008 . location unbeatable . west end , could walk almost theatre . Trafalgar Square 5 - 10 minute walk Oxford Street 20 minute . hotel expensive , London time year . full english breakfast adequate . restaurant lovely great pre - theatre post - theatre menu 's reasonably price . Underground 10 minute walk away . close River Thames London Eye . could even walk Buckingham Palace , Big Ben Westminster Abbey . staff always polite friendly . would definitely stay hotel . 
 Aug 17 2008 	 Nice hotel 	 arrive 11 be hope leave luggage hotel check not 2 pm turn room ready 3 hour early pleased . order room service arrive within 15 minute , price ok , would expect London really . food nice though . room quite small clean . hotel nice . buy train / attraction ticket hotel . check 12 pm easy , put ur key box leave . also leave luggage hotel check £ 2 bag . it couple minute walk covent gardens leister sq close . main theatre land good location . would stay . 
 Aug 16 2008 	 excellent value central London 	 Strand Palace locate Strand , handy Adelphi Theatre , within easy walk distance Covent Garden Leicester Square . enter lobby reception area hotel , distinct feeling class . I spend one night hotel , December 2007 . queue short time check , check - in smooth . room rate include breakfast decline pay supplement , something like £ 15 ( number local coffee shop open breakfast reasonable price , step outside front door ) . allocate single room - long narrow room , bed span width . room nicely furnish contemporary style , ensuite bathroom , equip modern LCD tv digital channel . real complaint room base sheet properly fit bed . the room rate pay little £ 70 , although include breakfast , consider excellent value central London - worth pay little extra typical £ 50 - 60 London budget hotel , Strand Palace offer sense luxury class make stay much pleasurable . hotel highly recommend get similar price . 
 Aug 4 2008 	 good bad 	 stay Strand Palace hotel 2006 . go read lot review hotel quite scared go to nightmare . choose exellent location simply hope well . my stay ok , change room first room get noisy room ground floor face inner part hotel ... window closed isolation seem unsafe . get another room MUCH well , big face one street . must say everyone : be well hear noise people traffic constant annoying noise air - condition machine inside hotel ! can not recommend hotel solo traveller . spend four night alone hotel not nice night ... not get sleep much . someone call room , someone scream aggressive outside corridor , someone try open door ... door safe kind ... change door put & quot ; peep - hole & quot ; ( not know 's correct word ) .... Breakfast include , 's problem .... London must one good city world find great food grocery shop ( large part store take away ) take away shop like Pret Manger ! , skip eat hotel ... might disappoint . unlucky bad experience lucky will good experince hotel . will always lucky location , can not get well ! walk many place ... even walk way Tate Modern ... beautiful walk . I can not wait go back might stay Strand travel other ... be cheap . 
 Aug 1 2008 	 ( Nice Bargain ) factor low hotel allowance 	 company low hotel allowance ( like mine ) Strand Palace place . single , room small clean . it one warm day London ... a / c least fan . check - in line long , luckily open another desk make flow people move fast . the location really central ... close Trafalgar Sq . would probably stay ... doorman helpful pointing bus vs. u - ground one appointment , go time ! 
 Jul 31 2008 	 Great Hotel 	 check staff hotel great get we check quickly official check time . club room smart excellent bathroom . bed comfortable . problem room air condition . even rubbish English summer still hot room . hotel provide fan improve thing . the hotel ideal location approx 5 minute walk Covent Garden , Charing Cross tube 5 minute walk along Strand . 
 Jul 17 2008 	 Holiday Strand 	 arrival trainee receptionist unhelpfu arrogant manner . question incluson breakfast rate , prebooke . another girl come rescue would row manager would involve . matter sort another member staff peasant helpful . the bedroom comfortable bed generally adequate . however excessively hot one window open slightly . electric fan provide wardrobe even room stifle night . neither wife sleep much . bathroom adequate good shower plety hot water , extractor fan . become like sauna use bath shower - pleasant experience . the breakfast buffet style cold food high standard . hot food however never tepid , & quot ; full english breakfast & quot ; not great . the food dining room averagge standard pleasant staff . offer reasonable pre - theatre meal restaurant , drink cost meal . wine £ 5 glass small coffe £ 3 inferior cappucino £ 4 amuse . we stay Strand palace . obviously trade 's excellent position Strand , standard 21st century . J Mercer 
 Jul 17 2008 	 noisy room 	 can not get well location strand palace hotel get well hotel . look fantastic lobby standard room cramp noisy room ( 608 ) good view strand window do not shut properly strand bloody busy road . breakfast lovely though ! 
 Jul 8 2008 	 list B 	 ' m room write review . be stay last two night U.K. visit not much good say . conveniently locate shopping , restaurant London 's good site , 's end , room face Strand street 's incredibly noisy , shut window option room not air condition tonight misery . much expensive hotel well far away .... plus charge everything ! would highly recommend city Inn Westminster , much well , still close quiet . 
 Jul 5 2008 	 pleasantly surprised ! 	 pleasantly surprised stay Strand Palace . read review figure would ok , way surpass expectation . I stay single club room 9th floor . room overlook internal courtyard exceptionally quiet . room small modern hotel standard , mean tiny review make fear . ample room bed , desk chair lot floor space room luggage . room tastefully decorate . bathroom surprisingly spacious . room bathroom keep spotless time stay . also safe room . tv work fine . always plenty hot water shower plenty powerful . check efficient . concierge helpful . room service available 24 hour excellent . breakfast include plenty choice . hotel staff polite extremely helpful time . hotel location absolutely perfect , Charing Cross Embankment station 5 min away . Trafalgar Square also 5 min away . Strand busy time , feel safe single woman time . would definitely stay Strand Palace . not think get well price great location . 
 Jul 4 2008 	 clean hot 	 daughter spend 2 night , pay standard twin room give complimentary club twin room . hotel room clean airconditione hot despite fan whole time , shut windows night face busy strand road . 3 star hotel think bit pricey consider room airconditione price £ 290 2 night include breakfast . 
 Jul 4 2008 	 great location poor hotel 	 affordable hotel fantastic location . however , would go back . staff rude , room hot without AC , toilet flush properly , key stop work , room service take hour poor quality , internet use expensive . overall disappointed actually quite annoyed hotel . 
 Jul 3 2008 	 public space good ; private space tired 	 book room internet . public space reasonably adequate . room tiny , old fashioned , air condition , sound proof , damp stain ceiling , shampoo dispenser tiny bath room empty , television work properly . speak duty manager check seem imply fault book basic ' club ' room . stay . 
 Jul 2 2008 	 Dishonest 	 book ( pay ) Superior Club Room . arrival room we regular room . day ( arrive late evening tired change room ) mention , claim ) receive Club Room ( obvious lie ) b ) room available . hotel great location aspect , indeed bad hotel visit . stay away ! H.Kim 
 Jun 25 2008 	 bit run : could well 	 room small average american hotel , accomodation nicely decorate clean . hall public space little ratty fray carpet outdated decor . staff helpful . location really excellent , be easy walk central london underground . aftre take train city not even need use public transit see place want see . overall hotel okay , feel could do well price wish stay elsewhere . 
 Jun 23 2008 	 Palace ? ? ? 	 although know city - hotel spacious room , somewhat surprised tinyness room get . indeed , room small , could hardly contain desk bed , top add small table & amp ; 2 chair , make room overcrowded . store suitcase bed day prevent trip it . the bathroom decent size ( compare size room ) seem recently refurbish . the firewarne system check weekly basis ( accordingly leaflet door Monday around noon ( can not recall exact timing ) , one afternoon make ready go restaurant musical alarm start . check go , tell test going take place later today , nowhere could find paper inform guest . Kinda ' scary ' be show 7th floor hotel ... restaurant good , personnel friendly price ok 
