Great 	 wonderful stay wife 1st Anniversary hope stay ! Got town early Friday , staff extremely nice helpful even though not room ready early . store luggage we even let we get item back already store . go sightseeing come back check - in breeze find give we free upgrade suite anniversary . room nice clean lot room spread relax . later stay , realize forgot shaving gel call front desk see help since run late dinner reservation someone room time flat shaving cream . one great thing hotel location . right middle everything Michigan Ave ! ! shopping could want ability run bag room drag town . quick access numerous restaurant short walk lobby , well bus stop across street take various museum point interest city . thing could see someone fault place noise Northwestern Hospital right next door . 27th floor noise bother we wife light sleeper . , Avenue Hotel great place stay enjoy Chicago look forward return soon . 
 Aug 13 2008 	 Great New Hotel Awesome Location ! 	 family ( , husband two kid ) stay Avenue weekend getaway . want great hotel right heart Mag Mile Avenue disappoint ! pull , valet greet we immediately hustle bag inside . woman registration desk friendly , quick efficient . room time ! book regular guest room reservation , four us ' bad experience cramp downtown hotel room , decide go ahead Avenue claim extra - spacious room . disappoint we ! room large , clean impressively decorate , wonderful king - sized bed , sofa sleeper , desk chair , large flat - screen television lot room spread get comfy . also dock station son ' iPod free wireless internet access , something husband appreciate much . enjoy rooftop pool sundeck immensely . view 40th floor amazing ! staff friendly helpful ask suggestion place dine . location could beat ! literally step Michigan Avenue close many favorite place visit downtown , include American Girl Place . great experience hotel hesitate come back , whether kid adult - only weekend . 
 Aug 11 2008 	 great value comfy bed 	 hotel great location follow outstanding stay . good size room 2 queen bed - extremely comfortable ! nice amenity one cup coffee maker flat screen television . Elephant Bar hotel great late night fare well good choice breakfast . close lake , shop nightlife - cheap rate ( least right ) Michigan Ave ! 
 Aug 10 2008 	 awesome stay Chicago 	 stay hotel several time first time since rename Avenue . room update bed comfortable . location hotel excellent ..... right Mile shopping walking . definitely stay . 
 Aug 7 2008 	 bad experience life 	 stay 3 day conference nothing problem moment check . twice first day room key get deactivate - never near credit card cell phone ! be not either , people line next problem hotel staff claim know anyone else experience issue . turn a / c be not work correctly room come humid air . get back room fix smoke detector take wall hang wire . night discover huge swarm bug bed ! hotel staff immediately assume open window ( do not view construction ) reassign another room - 1 . buy internet service room wireless keyboard provide , single website work . the a / c unit also terribly noisy ( matter temp air come ) . inconvinient get business center fitness center take 2 set elevator . find use radisson maybe explain - do not waste time money ! 
 Jul 30 2008 	 great meeting Avenue Hotel Chicago 	 return amazing meeting Chicago ! Stayed Avenue Hotel Chicago super impress . stay lot Chicago boutique hotel ( NYC ) one different . hotel new ! lobby really hip attract great crowd . room die for … the view Lake Michigan amazing , impeccably clean , cute zebra print chair zebra print robe . ' get chance enjoy roof top pool since technically meeting get peek . locate 40th floor ( great view ) ! service around , doorman , girl check , housekeeper , room service , meet attendant , superb . Avenue Hotel Chicago great meeting hotel . conference room nicely decorate high ceiling lot window . one meeting attendant go way help last minute copy . food delicious ( caramel apple pie unbelievable ) ! location ' well , right across street Northwestern Hospital ( meeting take place ) , half block Michigan Avenue shopping , shopping , shopping ! thankfully Dunkin ' donut close , great pizza ( Gino ' East pizza ) . ' already make another reservation September ( time family ) . hotel ton suit rate super reasonable . ' wait bring family Avenue Hotel ! ! ! ! 
 Jul 27 2008 	 Awesome Stay - Awesome Hotel 	 first visit & quot ; new & quot ; Avenue Hotel far well could imagine . staff super friendly extremely helpful . many great staff Radison day still . room freshly remodel hotel Radison spectacular . definately must try hotel visit downtown Chicago ! ! 
 Jul 23 2008 	 good stay life 	 room clean , big plus book . truly say stay time time , front desk staff upggrade well also . 
 Jul 19 2008 	 could not ask well experience ! ! 	 wow . gem ! first , old review picture hotel pre - renovation day , pretty irrelevant now . this hotel really impress . ' m Chicago native , not hear , stumble across web site search good deal . offer 20 % promotion $ 160 / night fantastic . rate hotel area much high ; even inferior hotel high rate . 's story ... check - in seem long , perhaps due check around 6 p.m. short - staff . not know ... worth wait . tell woman check - in desk room birthday surprise upgrade we regular King room corner suite ! ! ! ! ! ! ! , 's service . room impeccable : - rain shower head ; - granite countertop ; - one comfortable bed ' ve ever sleep ; - iPod dock ( really nice touch ) ; - plasma tv- chic / modern furnishings- free WifiWe call housekeeping twice , one cork screw , since purchase bottle wine celebrate birthday . instance , housekeeping deliver item less 5 minute . the lobby sleek attractive . the location beat . able walk everything downtown Chicago offer ; restaurant , store , Water Tower shopping ( great food court 2nd 3rd floor - something everyone ) 's Walgreen 's pharmacy within two block ( super convenient snack drink ) . also breakfast nearby Corner Bakery , within block so . parking challening busy area . skip hotel parking , $ 48/ 24 - hour ( ouch ! ) , find meter parking . summary , gorgeous , modern hotel superb location , available unheard price North Michigan Avenue . , , feel like 4 - star hotel charge 2 - star price . I would definitely stay , fear price go soon , other find newly renovate gem . 
 Jul 19 2008 	 new hotel near Michigan Ave 	 Excellent new hotel one half block Michigan Ave . great value . use Radisson completely remodel . room furnishing really nice modern . free internet room . great service . go swimming rooftop pool . really cool 4 hot Chicago summer day month . we corner suite face Lake . staff attentive . this & quot ; hip & quot ; hotel standard business hotel , 52 year old cpa like , ! 
 Jul 15 2008 	 luxury 	 little sceptical first hotel formerly Radisson , upon arrival fear put rest . lobby not much not sleep not care . front desk clerk friendly helpful . head cub game not check till . room exceptional . bed comfy , linen plush towel etc . hotel great location ... shopping , eatery entertainment close ... never take car garage . parking premise $ 48.00 . great time Chicago ! 
 Jun 30 2008 	 Little Disappointed 	 recently stay Avenue last week June two night . arrive , call hotel see could check early travel two young child . say would not problem . upon arrive hotel 2 p.m. , tell come back 3 p.m. maybe room would available . go back 3 p.m. stand line 3:20 p.m. tell come back 4 p.m. perhaps room would ready ( check - in suppose 3 p.m. ) . 4 p.m. room still not ready start wonder not problem room . end give we junior suite price room two queen bed . room nice new , staff never seem quite follow . suppose get chocolate cover strawberry upon arrival call 3 time keep tell would send . get joke husband . upon departure , room service charge bill ( probably strawberry never receive ! ) . call remove tell would call we right back . never happen . say housekeeping staff great doorman always recognize we smile face . location great be half block Michigan Avenue . locate 24th floor hear siren night long hotel across street Northwestern Hospital . 
 Jun 27 2008 	 great location 	 first impression hotel surprise . expect Radisson , recently change Avenue month . pro : decor tre cute - lobby blue chandelier check desk , modern furniture , great jazzy background music ... room also tastefully decorate . bed pillow die - never want wake ! location around corner Magnificent Mile , walk distance everything ( like Dunkin ' Donuts Gino 's East pizza ) ! employee friendly , concierge helpful . not try Elephant & amp ; Castle Pub , hear 's good . con : elevator sloooow . lobby small , want buy snack water , go another hotel go around corner Walgreens Mag Mile . lot tv channel choose . iPod dock not work . bathtub not drain , deadbolt door not work , toilet handle leak flush . colleague lock room two different day keycard stop work . last evening , discover housekeeping not leave bath towel . overall , experience Avenue good one . love location . mention bed 4 big squishy pillow die ? alone make everything else go wrong . 
 Jun 3 2008 	 Good Room Perfect Location 	 wife spend 4 night Avenue Hotel recently . first visit Chicago truly great city . bit concerned mixed review see TripAdvisor experience excellent . Junior Suite 19th floor enormous room one comfortable bed ever sleep . clean every day first class . uncleaned glase early reviewer find . lovely fluffy towel . city centre hotel reasonable view . location great , Michigan Avenue 4 block lake . perfect pre post breakfast stroll . also handy Wednesday night ( 9.30pm ) firework Navy Pier . reviewer recommend nearby Corner Bakery breakfast . ok find food quality well extra dollar Elephant & amp ; Castle Pub ( enter hotel lobby ) . deficiency absence fridge room . staff friendly helpful . return Chicago stay Avenue comfort , location price . 
 May 29 2008 	 ` ` ok '' hotel . 	 book hotel use Priceline , not know , choice would stay . stay hotel Radisson ( guess change hand ? ) , maybe experience well ... sure . anyway , location wonderful ... magnificent Mile near many , many restaurant . however , find staff unfriendly helpful ask question area attraction . also , arrive room hear EXTREMELY loud construction noise horrible call front desk ask room change . upgrade nice room ... noise though . luckily , construction stop weekend not work . ' m glad not week ... would go crazy ! overall , hotel & quot ; ok & quot ; ... try different place next time visit Chicago . 
 May 28 2008 	 Lovely Hotel Great Location 	 experience hotel positive . obvious hotel remodel . lobby mid - century modernist ( think Barcelona chair … ) cool fireplace . reception area unusually lay . room wonderful . furniture metro - chic lovely dark wood flat screen tv . love bed bathroom nice ( granite modern cabinetry ) . view room impressive . north face room view take sunset ( angle ) lake ( angle ) lovely skyscraper focal point . stay three day staff friendly accommodating . room clean fresh every day . admit concerned uncertainty new hotel ownership really turn nice hotel . the location prime . Avenue Hotel step Michigan Ave ( Mag Mile ) far Water Tower . favorite part Chicago stay extremely pleased quality location hotel . stay . 
 may 23 2008 	 stay away One- bad Customer ServiceRipoff 	 not fool look hotel . outwardly may seem nice stay surprised substandard hotel . also many channel - just basic one . cable channel charge lot . get , realize not fridge bar thirsty long flight ask room service not happen either front desk say room service available . complain lack fridge drink room , Julio manager say charge $ 25 night 's part amenity . mean even Super 8 motel fridge ! ! hotel backwards ! ! ! say guy new hotel not fridge say never fridge part amenity ! ! start complain , say 's nothing book priceline ! ! ! ! think every customer deserve treat topnotch customer service matter book hotel . say bad review Julio 's customer service hotels substandard features tripadvisor say go ahead give bad review 's nothing without even offer solution we ! ! ! think talk manager manager can not anything , think hotel hopeless case . save dollar find great hotel make stay beautiful downtown Chicago memorable hotel make stay miserable . 
 May 18 2008 	 nice miss detail 	 stay hotel recently day . everything apparently redo nice . stare time check , bellman nice , bring check - in area ( later ) lady check nice ( russian ) bit language barrier while . go room , large nicely clean appoint , bathroom bit small , fine . complaint room safe mini bar ( tell come soon ) go back downstairs ask restaurant direct knowledgeable concierge . send we great italian restaurant street one night great brunch place well . doorman also good . while lobby , aside strange front desk set ( four little area , perhaps temporary ) lobby rather sterile . leather chair sofas , flower plant . lots window , covering . oh , rain bit always umbrella . pick one Walgreen 's street , wold nice one get wet . no problem checkout . so , maybe still work , wiill back . 
 may 16 2008 	 enjoy stay ! 	 hotel wonderful ! bed comfortable comforter comfy pillow . ihome could connect ipod music , flat screen tv many channel , update appliance . convenient location room BIG . planning stay Avenue time time ! 
 May 13 2008 	 spend money nice hotel ! ! 	 kind hotel not fridge microwave room ? wife work daughter ( 2yr ) come get away . room service want $ 7.00 cereal ! ! ! luckily Walgreen 's around corner buy fridge also buy cooler keep milk . & quot ; pool & quot ; area size 2 room small . sign say closed season , however construction guy renovate top floor say . good point , location great , bellhop doorman whatever title helpful get stuff take care get car park another pain wallet $ 48.00 night holy cow ! ! hdtv 's room run analog signal look like crap , bring dvd player bunch movie could bad . 
 Apr 29 2008 	 great new addition Magnificent Mile 	 Avenue Hotel new ( ish ) hotel Michigan Avenue / Magnificent Mile . formerly Radisson Hotel ' m unclear whether be simply rebrande -- remain part Radisson group -- whether be entirely new botique hotel . regardless , despite hotel entirely finish yet , positive experience . another hotel lose reservation ( despite confirmation number right number letter digit ) Chicago expensive , particularly last minute -- even business trip . stumble website Avenue Hotel . offer grand opening special $ 99 / night -- unheard Chicago ! check even rate grand open reasonable competition . the hotel east Michigan Avenue Huron , center shopping , adjacent Northerwestern Hospital , 5 - 10 minute walk Red Line subway . location could not well . the lobby still construction , like see . bellhop friendly helpful . check - in desk weird arrangement individual desk three four work station -- sensible arrangement front desk staff seem bit confused , albeit helpful . the lobby also include Elephant Castle british pub , chain location Chicago -- good food drink . hotel room service , not try , eventually restaurant / bar top floor . the elevator area still bit messy -- construction on - go elevator not renovate yet ( hallways not appear renovate either ) -- be bad -- certainly bad price get room . I book standard king size room please . room renovate attractive great bed . room large , ample workspace seat area , nice HD flatscreen tv , huge desk -- acceptable free wireless internet . my view expansive -- look north 27th floor could see large part Magnificent Mile -- crane neck could see Lake Michigan Chicago River . the bathroom bite small size , still quite nice . at rate pay -- anything close -- hotel insane bargain . even twice price , less go rate comparable hotel area , fine hotel great location -- get well construction over . my warn several new building construct area , include new Children 's Hospital . room silent hear two guest complain nearby construction ( , hotel construction not seem issue since room finish . front desk tell complain guest city require work do 3:30 p.m. -- nearby build construction not problem . again -- pleased stay , , hotel gigantic bargain . 
 Sep 9 2009 	 tre bien 
 Aug 8 2008 	 Wirklich empfehlenswert 
