Finest 	 business traveller look trendy , chic , amazing experience hotel , W Montreal finest find . treat professionalism cordiality minute walk lobby . room spacious monstrous bathroom copious amenity . concierge always strive perfection matter need . small boite bar lobby perfect place unwind capable bartende hand Paul . everyone remember name make feel welcome . Bryan ( one manager ) exact ensure every visit perfection . drawback lackluster restaurant ( own hotel ) . choose W Montreal one favorite hotel world . 
 excellent stay extremely ` ` WOW have '' 	 decide take one night trip Montreal stay Vermont Thanksgiving fabulous stay W. upon check , upgrade Extreme WOW suite amazing . bose surround sound , espresso machine , dining table , living room , huge balcony , 20 foot glass wall , 1.5 bathroom . fabulous really appreciate upgrade . even platinum starwood member , place upgrade nice suite , nice cash point rate . prosthe location great able walk around Old Montreal see site . highly recommend Notre Dame Basillica , maybe 5 - 10 minute walk Hotel . train station also really close Montreal subway . staff really great . hotel extremely clean everyone ask help extremely accomodating . order room service dinner , arrive promptly food delicious . upgrade suite great , room not ready , give two free cocktail bar nice gesture . the restaurant superb . lunch upon arrival food service excellent . meal around $ 25 per person include appetizer . consthe internet not work first day wait room 5 pm . upgrade not mind much , might annoying wait long room actually book . workout room kind small compare non - NYC Ws , still couple elliptical treadmill small free weight area . other stay perfect definitely return hotel next trip Montreal . 
 Ultra trendy 	 chic ! trendy lot fun . drawback high price tag go ultra modern chic ! 
 Definitive ` ` cool '' hotel 	 be look place stay Montreal 's close & quot ; everything & quot ; , little different traditional hotel , . located edge old Montreal , within walk distance Place Bonaventure , gare Centrale ( train station ) , Bell Centre , rue Sherbourne , etc . decor & quot ; cool & quot ; ; think modern trip - hop european dramatic muted lighting , square edge , light sculpture . room large enough , flat screen tv dvd player , & quot ; see - through & quot ; shower ( something either enjoy ... ! ) service impeccable , bar place see , see . 
 simply Superb ! ! ! 	 person stay hotel 40 time year , able compare constrast well worst many hotel offer . W Montreal rank exceptional hotel - ? yes location ideal , close good bar , restaurant , architectural building . yes ATMOSPHERE lobby , elevator , hallway fresh modern elegance class , set right mood evening . seperate rest simply amazing thoughtfull STAFF . bartini must visit . Sou Bartini able pour sinful drink taste bud may desire , provide personal attention warmth always expect , rarely receive . sou one example make individual like continuously return W , . hence amazing personal attention , location , atmosphere , make visit W Montreal , treat sense . can not wait go back . 
 ahhhh modern luxury traveler look fun relaxation ! 	 staff W Hotel Montreal always fantastic ability remember name ensure everything perfect . kind doormen Paul Ielovcich coffee bar morning - everyone concern guest excellent stay . 
 home away home 	 frequent business traveler stay W Montreal maybe one two time per month usually day stay . find hotel centrally locate one enjoyable stop business Montreal . the room quite nice W Montreal one hotel window open allow fresh air supplement central air find sometimes stale . bed quite comfortable allow great night ' sleep . the business center tiny enclose room get quite warm . plus hotel like . fitness center convenient equipment allow good workout . the bar hotel quite good diverse afford different setting experience depend mood . bartini first level small quaint allow & quot ; Cheers & quot ; experience speak . Plateau Lounge second floor great relax , chat , maybe people watch also great spot grab drink colleague work . bright spot hotel staff . obviously travel frequently hotel allow get know various staff nothing high praise professionalism commitment service . Doorman always polite offer hand . front staff , say . feel like home . arrive long flight greet name ask trip etc . always pleasant appreciate . catherinel particular always find way make fellow business traveler stay hotel special . overall , opportunity stay business hotel Montreal find W stylish hip affording level business professionalism well compliment . hotel nice often staid . highly recommend hotel . 
 Jan 6 2008 	 Night Roxbury 	 stay 2 night December . clubby feel , even morning . like contemporary / modern hotel , one border cheesy . the hotel good location , far Old Montreal . service fine . interesting thing stay shower / bathroom visible rest room . glass transparent tinting mechanism want privacy . see attach picture . think hotel ok give use combination points+cash pay stay , not think would worth pay top dollar hotel . 
 Dec 11 2007 	 Très Chic ! 	 W Montréal set stage exciting stay Canada 's sexiest , hot city . moment arive walk futuristic darken lobby begin hear house music background . hotel impart immediate feel world , truly . reception accomodate . receptionist , Marie , answer question able book us upgrade room , basic room shower . the room king size bed confortable bed ever . flanking side bed coolest night stand light blue light . blue colour . curtain , cloud scene wall , blue neon light ; kind remind one future , perhaps set Star Trek Next Generation . concierge , Mireille , fantastic super - knowledgeable Montréal . know store depend ask . overall , staff ( include François small bar RC level ) eager please ever polite accomodate . enxt time visit Montréal think W first hotel ! 
 Nov 30 2007 	 tre chic 	 w chic hotel wonderful room , sexy bathroom excellent location- close everything cool montreal ; love 2nd floor bar ( fashion show rolling check ) , lobby launge brunch otto restaurant . lot beautiful people , great staff , relax music ... can not wait go back . 
 Nov 14 2007 	 overbook . 	 arrive hotel tell overbooke could accomodate . make reservation another property 's disappointing arrive property long day travel get back taxi go somewhere else want go sleep . specifically want stay W hotel , look like different economy budget hotel . difference would not expectations budget hotel . $ 200.00 plus per night , would expect take care . obviuosly . compensation offer inconvience 100 % error overbooking begin . return recommend other . suggest . 
 Nov 13 2007 	 ridiculously Cool ! 	 third time stay W Montreal . wife consider W hopper literally plan vacation around W Hotels . particular weekend birthday weekend . reserve low category room use Cash & amp ; point promotion 4,000 + $ 60 usd per night . platinum member , know would upgrade normally mean fantastic suite ( cool REALLY COOL ) . check , tell upgrade WOW suite . sound obnocious , wife stay exact room want see EXTREME WOW offer . mention B'day not mind spend extra point upgrade . refuse take money upgrade $ 4,500 per night suite $ 60 buck point per night . bathroom suite size standard room . huge balcony remote control shade . amazing . wife even surprised room massage . massage therapist could not even stop talk room . the staff amaze usual . ' ve stay W 's W Atlanta , W New Orleans W Seoul . W 's stay , far best . enjoy .... 
 Nov 10 2007 	 Super nice place 	 spend one night really impressed . worried read so - so review place . normally stay Hotel Gault ( also awesome place stay ) decide use starwood point try W.Pros- staff - staff really amazing - good experience W Hotel - Mira front desk lovely friendly make we feel home introduce shake hand welcome we . - Rooms - book Mega room - large standard room . super cool modern - comfy bed nice desk . - Location - hotel right top subway station actually take elevator low level go straight station without go outside - Restaraunt - hotel awesome restaraunt - order Lamb Chops - worth wait . Filet also good . overall food much sophisticated expect price fairly . con : -The room - Bathroom everyone offer real privacy whoever travel . open rest room separate curtain - also large openeing near front door expose bathroom . we problem kind cool , everyone . also Mega room separate bathtub - apparently not get less expensive room - shower . shower cool water come - minimalist nice also ( minimalist ) square tub well . room definitely form Function . 
 Nov 7 2007 	 w er ... cool 	 W plain cool . staff really friendly ( stay 2 night 2 night another canadian city , go back final night .. front desk remember ... really hospitable ) , overall design great bar ueber kuhl , restaurant pleasingly wacky . one ' normal ' room glass wall shower , , despite bit small , fun .. different . oh yes , one morning read paper drinking coffee lounge , dozen model come photo shoot ..... 
 Oct 28 2007 	 Magnificent 	 Fiancee go Montreal 5 year anniversary stay W hotel 6 night . absolutely love every bit moment step foot hotel . european tre chic totally look . also conveniently locate close every thing would like see Centreville ( City Center ) fast check - in everyone welcome . day arrive rain doormenrushed taxi put umbrella head swiftly take bag taxi deliver room . walk room , absolutely amazed since not know expect although hear positive negative thing . ultra modern bathroom , sleek glass rainfall shower , ultra plush pillow top king size mattress , size / over stuff pillow ultra warm comforter , fur throw , sky blue light night stand large window look city lastly divine & quot ; Bliss Bath Amenities & quot ; make feellike spa . outstanding whenever / whatever service great amenity . pretty much , hotel accommodate every need . long day walk , would take nap would head town , staff would come promptly tidy room get back meticulous . Wednesday wasa popular night @ & quot ; wunderbar & quot ; ( hotel 's bar / club ) Peoplewho guest list wait line least 1 hour get go front door corner street . guest list , difficult get . guest hotel admit immediately . the concierge & quot ; Patrick & quot ; great . take time listen need go way help we . look go Fancy french restaurant celebrate 5 year date anniversary send we one good french restaurant Montreal call & quot ; Bonaparte & quot ; . exactly look , classy cuisine delicious authentic romantic . it short 5 minute walk & quot ; W & quot ; . lastly , hotel secure . doorman walk check whereverelse need nobody go room unless room key swipe elevator . would definitely recommend hotel couple want stay upscale & quot ; european , Tres Chic & quot ; hotel Montreal , although would notrecommend hotel family kid 
 Oct 24 2007 	 excellent always W 	 great place stay , really funky room environment - feel like permanent nightclub ambient decor . SPG member upgrade suite two floor top hotel balcony - nice indeed . thank guy ! good . come W New York brilliant stay W 's ! . would always recommend . see photo view room - worth upgrade point / money .... 
 Oct 22 2007 	 W Montreal Delivers ! 	 absolutely incredible hotel . staff helpful friendly full smile . concierge , Hugo , send amazing restaurant hot spot really target guest like . know city inside ! hotel conveniently locate across metro station orange line take great spot Montreal . not rent car ! hotel room great ... super hip contemporary . great sheet , towel , bathroom product , etc . loved blue glass shower - be travel someone not feel comfortable showering front , might want ask offer room without much view . hotel walk distance great restaurant bar , museum , historic site . french necessary , also . everyone happy speak English . can not wait go back Montreal , definitely stay W . 
 Sep 12 2007 	 Great experience 	 stay w great experience - although rarely go vast lounge offer W rely heavily concierge point we right direction food , drink shopping . Hugo excellent every recommendation exceptional - include lounge Mount Royale . service Hotel great everyone incredibley polite helpful - include concierge bring we bubble bath martini glass 1 am . stay Mega Room end corner room - view fantastic . location right next metro close downtown old montreal . definately stay . 
 Sep 10 2007 	 aWesome 	 Awesome Hotel . highly recommend property anyone want great trendy place stay . pleased satisfied service receive W Montreal . definitely return near future . 
 Sep 5 2007 	 Nice hotel 	 arrive staff nice , suppose room KING size bed , give room small bed like almost full size . curten separate room shower bad idea curtin filthy everything else good 
 Sep 4 2007 	 Amazing ! ! ! 	 recently stay thet W hotel Montreal ! beginning end quality service exceptional ! ! everything ask prompt attend . everyone work always smile face extremely helpfull ! bar W much fun , drink delicious . one particular call & quot ; bitter end & quot ; try drink , amazing ! ! would definitely stay ! 
 Aug 24 2007 	 Huge Disappointment 	 family four stay weekend Laughs Festival . book separate room young adult child . ( 20 year old ) daughter love hotel 's modern chic trendy environment . husband find show little substance . upon arrival , greet indifference . hotel & quot ; club & quot ; like atmosphere translate DARK . forget sense & quot ; light & quot ; ( ambient otherwise ) . room uncomfortably cold despite ( ignore ) request never remedied stay . also , & quot ; club & quot ; like atmosphere come & quot ; club & quot ; like noise - ie drunken guest roam hallway ( bar closed ) . whooping carouse sound like be happen right room . the staff hit miss , bounce one extreme ( warm , friendly helpful ) ( cold dismissive ) . concierge AMAZING - offer tip en route wherever might head . door staff always jovial , warm extremely helpful . never touch bag , always available answer question consistently greet we back ( day trip ) .The location perfect - minute walk Vieux Montreal downtown , mention right next Metro . we visit Montreal least twice year typically stay St. James . book W daughter 's request . appreciate consistently fine gracious service amenity would suggest W . 
 Aug 22 2007 	 Great Location ok hotel . 	 wife ( late 20 's ) stay W Montreal end June 4 night anniversary . IWe able book reasonable package travelocity . first experience W hotel excited stay place & quot ; trendy & quot ; decor . upon arrival , see hotel lobby well - decorate . offerre upgrade mega room , $ 40 dollar per night . see room decide stay & quot ; Wonderful & quot ; room since much big well & quot ; mega & quot ; . warn shower separate room glass wall . think unique , definitely room would want people not want see naked ! room decor nothing fancy , slightly understated . cozy glamorous lobby . everything black blue look like dorm room . hotel mention plasma TV 's room , . staff hit miss concierge helpful , list common restaurant recommend know much outside . bring complimentary chocolate wine anniversary , nice . hotel 's good feature 's location . 5 - 10 minute walk Old Montreal downtown right next metro . upon check , help bag , bring stair , get cab . staff watch we keep talk . we would love visit Montreal , probably try different hotel . 
 Jul 17 2007 	 RUDE Capital W 	 original W open , much attitude . colleague please stay w hear many good thing hotel , bar food . indeed , thing start well bunch we meet bar , seat table hostess . continue order drink tell private party would come ask move another table . irritated , oblige tell table available . none please , get check put big goose egg tip waitress proceed tear apart hostess lose good tip $ 600 tab . travel around world business , say usually type complain , place absolutely horrible . 
 Jul 3 2007 	 so - so service really worth 	 stay W three night book Mega room 2 queen bed . decor room fine - really appeal young crowd . really like , be certainly familytrip kid . room clean , noticed spotson shower curtain bed blanket . shower rainfall - style shower , difficult figureout operate , not enough water pressure temperature not hot enough . bed really nice - one themost comfy bed ' ve sleep hotel . my big problem hotel service . really expect first - class service hotel caliber not deliver . order room service - simple order two entree , ice tea sparkle water . come fast - 15min . , second set utensils hotel employee leave get set . go , notice water miss , charge we bill . come back tell , say not punch order . complain thatwe charge already leave get water . the next day , leave room service table room remove maid . still room come back , eventhough room clean . dish go , table tablecloth still . toiletry not refill either , call get extra bring room . we pay $ 60 breakfast restaurant service waslacking . staff look fashionable , pay attention diner . finally , leave bring bag lobby - drag stairs street , also curb car , valet stand look we struggle ! one sit relax shade . for money pay , would come back hotel . staffis pretentious helpful enough . 
 Jul 1 2007 	 look Great Poor Service 	 book W Montreal 3 night stay part birthday gift partner , interested design take modern look W. Sadly , although gorgeous hotel ( conveniently close Old Montreal ) service extremely disappointing . we arrive Montreal around 10 am ( early flight ) go hotel see possible check early . say would room ready noon would hold luggage . return noon someone else desk say room ready offer take cell # call we soon . well , 3 pm not receive call go back check normal time . yet another new person pull file seem surprised see note call room ready ready . , room beautiful 3 night stay housekeeping . none -- clean towel , tidy , make bed , nothing ! ! frankly , pay almost $ 300 night not feel like job remind . became run joke see long would go without housekeeping -- talk bad punchline . complain management tell somehow fault room housekeeping hour -- must 4pm-6pm 's time hotel apart sleep . amazed hotel sell & quot ; whatever whenever & quot ; service could not figure way check back room different time leave we message say miss we . way expensive poor service like . next time Montreal will spend money somewhere else well service . want experience W , walk see lobby . 's good get . 
 Jun 22 2007 	 Place will visit twice ! 	 stay two night W Montreal ( Queen Eliz fully book ) . yike , will not again . I read review good sense , still shock .... brilliant blue everywhere , overwhelming smell candle , odd lighting elevator , whole experience leave flat . several reviewer comment shower . first , not find problem ceiling mount rain shower , fact quite like . second , stay right person , fact bathroom not door privacy fine too . I not find Bliss Spa toiletry anything special ok . the bed AWESOME ! ! lot pillow , nice firm , weird smell . seldom stay hotel not provide coffee maker and/or kettle , even ask . not anything available . be require call downstairs may may show . show , lukewarm well . it take three visit three different & quot ; Whatever / Whenever & quot ; rep change lightbulb bathroom . I order room service dinner breakfast . food good , expensive . service ok . there loud music start 3 pm continue evening actually drown tv room . the highspeed internet useless . call service many time server kept & quot ; timing & quot ; reset screen welcome message . lose several hour working time result . oh yes , be $ 20 24hrs . the room clean , generaly seem try hard different . say ' ve , do , would not . 
 Jun 20 2007 	 Complete Chaos Bliss W 	 like lose luggage shower naked directly front family friend , hotel you . Chaos start brew moment check hotel . first , find room reserve one show we website ; actuality , room 200 sq foot small tell . good friend Sam busy stare reflection grind lobby 's techno music make fuss . decide accept fate . the good : get room , decide could manage small space since room clean sleek . bed big extremely comfortable . fact , may ask fiance purchase one . view great . towel big fluffy . the wall relatively thick not remember distracted outside noise . furniture modern area clean . look - through magnifying glass , find bug leg , dustball , mystery stain . plenty mirror could line stare mock anguish ( secretly admire ) . Bliss body product heavenly ask many sample possible . be right use much lotion want since room cost b / t $ 599- $ 3000 night . stay hotel , massage whole body body butter lotion . personally use one bottle per body part . wash voyeuristic shower reapplie . remember , nothing wrong pampering . pay . body butter . body butter . body butter . love . want throw sample lobby floor wrestle not time . the bad : hotel lose luggage contain passport privilege legal document . document float aimlessly hotel day due staff negligence . hotel seem think lose passport client file big deal tell we bag lose , & quot ; missing & quot ; . invite guest quibble semantic acceptable way spend day Montreal . we finally receive bag 8 hour later . hotel agree comp us room due inconvenience incur result deprived identification , client information , clothing day . course spend newfound money restaurant . leave restaurant , someone call Sam & quot ; lesbie & quot ; sort make slipshod service receive early . the ugly : shower front friend pleasant right circumstance shower front family hardly ever . value modesty , bring blindfold roommate shower peace . even manage create makeshift door towel , everyone still see silhouette prepare question posture shower . one people pretend wash hair , forget . everyone see well prepared explain lack hygiene . overall , good time last weekend ready head home . ready we leave base quickly throw bag hotel . one hotel guy practically smother hood shove cab . second think fallen victim kidnap hostage situation . as caress collection sample sized body butter , unsure whether stay . fair hotel , maybe good guest . good hotel staff either . one thing sure fact Bliss body butter well . want free lotion , place . go Sephora . 's choice . 
 Jun 6 2007 	 enjoy trendy W 	 really like hotel . first stay W really like modern / trendy concept . staff super friendly helpful , uptight ( extremely good looking ) . send several email arrival , take opportunity make reservation restaurant get recommendation activity . really like hotel , say , understand people 's issue uber - trendiness . get hotel around midnight friday entrance rope velvet rope , surround least 5 bouncer 50 people wait onlineto get Wunderbar . be put sort scene , hotel . ' m young side use club scene not intimidate , definitely imagine feel way old family . thing stop give hotel 5 star shower - really really bad . hotel nice shower water pressure . , lovely grand . take advantage excellent hotel staff . inform arrive special event bottle wine send room nice note . also , take advantage fact hotel guest do not wait line get Wunderbar , cute little scene . 
 Jun 1 2007 	 great hotel ! 	 husband stay W last weekend , love ! course , hotel orient young people , also one reason like . feel totally & quot ; place & quot ; . late twenty , love quality service . sometimes go upscale hotel feel like stranger , want wear jean . wear jean not mean not money anymore ! ! ! ; love W , not judge , matter old look treat like rock star ! really , staff great , everyone polite provide lot attention . concierge Hugo Daniel especially helpful . hotel clean modern . also incident housekeeping misplace case glass ( probably throw away accident ) . front desk response promt everything try locate . end give new case could transport glass back home ! really negative thing ask umbrella girl front desk reply & quot ; umbrellas & quot ; . pour outside ! say umbrella room , could take pay $ 20 . simply ridiculous ! 's really problem run umbrella . first , probably could send someone buy new umbrella . second , give umbrella room free ? ? ? ? get wet , also waste time drive taxi around Montreal look umbrella Sunday morning ... end taxi driver give we umbrella ( thank ! ) .all , love W look forward stay W hotel ! 
 May 22 2007 	 almost wonderful 	 second time W Montreal . definately one good W Hotels , stay many . put par one San Diego . set apart becasue consistantly want please . example always upgrade ( SPG member ) much large room . almost 900 sq ft .. not let review & quot ; open & quot ; bathroom turn . gigantic curtain pull across desire separation main room , find rather unique give great spacious feeling . thank post tip noise bar come center courtyard . travel 5 8 year old time request room high floor face outside . course accomodate request . take advantage email link concierge ask anything make stay & quot ; wonderful & quot ; . . spend almost week correspond hotel everthing room location dinner reservation make everthe much easy get . top know intention vacation . the reason can not give stay & quot ; excellent & quot ; request connect room grandmothother . accomodate , unable check room 5:00 pm . paint hallway dark inform upon arrival make thing bit sticky kid . other , enjoy hotel . . 
 May 14 2007 	 Hotel Hipsters 	 wife stay two night W Montreal May 5th . overallwe pleased hotel . design wise hotel modern get sexy light music throughout hotel . bed comfortable room quiet . read people could hear noise bar downstairs . 7th floor run problem noise . also never hear peep neighbor except occasional door closing , hotel expect . room size exactly would expect downtown , big city hotel . one frequent hotel large city find size room comparable hotel elsewhere . staff extremely helpful polite . truthfully one attentive hotel staff 's delt . Theconcerige also excellent show frustration wife difficulty decide want dine . end recommend restautrant excellent exactly look . location hotel excellent edge downtown old montreal . block one way old montreal , block way mid town . could ask well location . there two negative hotel . first , rainfall shower & quot ; cool & quot ; neat design concept , really not great actual showering . water & quot ; falls & quot ; spray make water pressure light time get leg foot . also water come straight difficult rinse arm pit etc . think try actual shower shower decide instal room . also , unless stay wih spouse significant probably will not appreciate window shower . someone shower everyone room see . warn . second complaint not terribly big deal somewhat annoying . friday night stay hotel 's Wunderbar pack typical velvet rope line people wait get . find annoying need wait distracted bouncer finish vip club list look could show room key entry hotel . reason guest stay hotel wait show room key surly bouncer gain admittance . W really provide seperate entrance club find problem . otherwise room great , location great , staff wasgreat ( exception club bouncer ) price right . look trendy hotel stay yout significant , would not go wrong booking . 
 Apr 28 2007 	 Fine overpriced . 	 W hotel fine . sort feel like go club enter hotel . black dressed man earpiece escort counter check . counter throughout lobby woman dress look well woman real world . everyone pleasant surrounding clean nice , sort like upscale dance club . the hotel room fine . bed comfortable . furnishing try hard extremely stylish . came glorify upscale ikea . unfortunately , kind furniture start look wear quickly , furnishing look bit old even though 2 year old . the concierge extremely helpful . hotel food coffee shop terribly overprice , expect . I would hve think hotel try fancy would plasma screen room would also think would put effort clean window rooms- filthy . all , stay fine , W Montreal neither memorable great value . good hotel family child . 
 Apr 23 2007 	 not expect sleep 	 stay weekend April 21 . everything positive hotel- trendy design , indulgent bathroom , convenient location , cleanliness- eclipsed fact could fall asleep 4 am due loud club music come hotel bar . check - in request quiet room high floor . give 9th floor & quot ; mega & quot ; room ( room 913 ) small window overlook interior atrium . imagine desk clerk think we favour since absolutely street noise audible arrive early evening ... not realise ( hope ) bottom atrium sit hotel 's bar pump loud music 4 ... bed , though fit high - quality goose duvet pillow extremely soft unsupportive ... plan room open translucent drapery separate bed bath , wall cutout foyer overlooks bathtub . ( toilet , thankfully , separate room door ) recommend stay anyone feel comfortable naked ... W overrated , overpriced , noisy bit odd . stay . 
 Apr 23 2007 	 nice contemporary style room . 	 really enjoy stay , although be signature Montreal boutique hotel . 's part chain . book Mega Room , impressive . really like interior decor . & quot ; money be not thang & quot ; , would suggest & quot ; Wow Suite & quot ; well yet & quot ; Extreme Wow Suite & quot ; . EWS large jacuzzi tub embed floor . beautiful ! trip require different area Old Montreal , bring different vantage point . expect , quiet , charming upscale . live Room W Montreal quite interesting . think ' ve spend alot time marketing hip contemporary hotel . impressive . call & quot ; whenever / whatever Service & quot ; , be real deal . food good , especially breakfast , Otto , signature restaurant . finally , experience away spa good . good massage ever , sore afterward soreness go away , feel like brand new person , physically spiritually renew . 
 Apr 13 2007 	 Wonderful 	 go stay one night pamper difficult Christmas . hotel locate beautiful Old Port city centre - ideal shopping , bar , sight seeing . you help impressed walk modern lobby - low lighting chic furniture create stylish mood . staff front desk helpful room type want available , upgrade ( twice ) free ! get pretty amazing room price regular one . room 3rd 4th floor bed really centrepiece - good reason huge comfortable . bathroom incorporate room ( separate toilet ) stunning - huge bath , two sink Bliss product . shower also great - big ' rain ' head make feel like be tropical jungle ! also chaise lounge room , big flat - screen tv , minibar ( overprice item normal mini - bar ) , wi - fi access ... would definitely go back W Hotel great experience . 
 Apr 9 2007 	 Trendy Costly Unique 	 know W average hotel . be different , shower minibar , corridor front desk . , stay unique kind hotel , pay price it . with mind , love decor around , although lobby think little much . bar 1st floor nice relaxing . room small average room , little disappointed , decoration easily make . bed truly wondeful service distant nice enough , complaint . be advise & quot ; wall & quot ; shower bedroom actually glass wall , 's see - through . ' m talk opaque , translucent shaded , ' m talk clear glass . great couple , aware be take another kind trip . family orient hotel , anyway . another note shower : water come ceiling , instead come wall angle , like everywhere else . look whoever design , never actually take shower , otherwise idea would ' ve drop 5 second later . terrible ! , really enjoy hotel , least one time visit know 's fuss special trip . regular trip would choice . top feature : different decorbottom feature : terrible shower ceiling . come ? ? ? ? 
 Apr 9 2007 	 Great Montreal Hotel 	 Wonderful W near Old Montreal Downtown . small compare W Hotels compare favorably boutique hotel Old Montreal . mega room truly mega ! bathroom area open ( curtain privacy ) actually large hotel room . excellent italian restaurant premise call Otto . make hotel stay really memorable friendliness staff . greet name anyone previously meet . anything ask do within 5 minute . eye catch w modern decor evidence throughout hotel . great stay . 
 Mar 25 2007 	 Montreal W : fabulous hotel modest ! 	 ' ve stay W twice past year , always enjoy room . fact , far room go , among good W 's stay . must admit not order room service bar , spa , restaurant . room great . often reserve room slightly basic room , either choice make reservation last minute regular room not available . room comfy bed , great work space , good lighting , well - make modern furniture . mini - bar well stock , little pricey . bathroom , however , trip room . sort & quot ; peek - a - boo & quot ; aspect . first , glass wall shower bedroom area . second curtain bathroom bedroom area , plus & quot ; window & quot ; bath look desk / closet area . travel alone , biggie , travel partner would annoying . ' m necessarily modest , prefer privacy washing private , speak . both time room overlook square front hotel big window versatile window treatment ( semi - transparent roller blind light block curtain ) . remember correctly first summer - time stay , window open let fresh air . ( sub - freezing weather late trip dictate bother try open window trip ! ) staff generally friendly helpful . arrival late trip March late due weather - relate flight delay . arrive 2:45 Wednesday night ( er , Thursday morning guess ) . door man cool , see luggage let . immediately realize stern - look door man . bar * pack * * loud * -- late - night Wednesday . go figure . ( Thursday night much quieter , way . ) person check - in desk look dubious say check . get friendly realize reservation member SPG 's platinum gold diamand club whatever call ( stay 10 night last year SPG property . room , much quieter . although neighorbor wake morning . could hear alarm clock close , locked connect door . alarming lung - clearing hacking cough . noise issue . ( door definitely culprit , oppose thin wall -- maybe ask room connect room ? ) front - desk staff always friendly , provide direction , etc . happy speak English French - speak Montreal . doormen friendly well , include particularly chipper doorman help taxi 6:00 way back airport . location convient old town business hotel conference center meeting take place . all , would stay next time travel alone , ask high floor , next time try one bar slow night . 
 Mar 19 2007 	 stay ! 	 husband book stay Hotel think end nice romantic get - away - think wrong . whole reason choose hotel mom recieve complimentary night stay Starwood Guest pass onto us - leary ' complimentary ' type invitation , call hotel directly ask speak someone make reservation . read exactly invitation say assure indeed mean would one free night one free spa treatment . excellent , right ? wrong ! arrive go check give woman desk free invitation gift certificate right away treat differently . ask wait check manager certificate indeed valid . moment came tell would entitle free night stay unless book ' away SPA ' package ( expensive package might add ) would give free night stay . explain upon make reservation tell , say anything like certificate ( also footnote , asterik , see detail , etc . etc . ) even REFER thing away SPA package ! ! ! ! ask speak manager , came reiterate exactly previous person tell we . tell travel Toronto ( evening ) make plan stay , reservation stay anywhere else ! simply not care ! apology offer , special discount accomodation ( dead btw , could give we room ! ) - nothing ! be look place cater ( treat respect ) place . tell look cater 25 - 35 yr , professional crowd - seriously disservice treat we way . 
 Mar 8 2007 	 Loved Staying W Montreal 	 good friend , mom stay W Montreal last week November first day December convention . love hotel . room beautiful bed Great . friend kind worried see picture open plan bathroom never cause problem . could hear music bar , 6th floor , still able sleep . as other state room face office building like allow we people watch , plus room morning night affect staythe desk staff helpful include one time accidentally order movie twice ( 17.00 per movie not want pay twice ) quickly remove extra charge . the room service food good amazing little expensive side , expect . always quick get food room . the staff great always helpful . would ask we day go , smoker fact always match plus we . reception hot chocolate station set far good hot chocolate . problem restaurant hotel . though part hotel not blame hotel self . wait almost hour food keep bring we wrong food , ' m picky person ask fruit bowl bring egg / bacon hash brown little . hotel management finally tell we would give meal free charge deliver room go pack last day . 
 Feb 17 2007 	 wow ! ! ! 	 everything you d expext W Hotel . historic building , cool staff , great lighting , wonderful music , wonderful vibe . to person complain te music bar : come , be W Hotel - expect ? ? ? piano music ? understanding choose W would elimenate people 's frustration . w everyone - 's luxury hotel we not equate luxure crystal chandelier , marble floor , stoic & quot ; pleasure & quot ; be ! ! ! want something traditional try Ritz Four Seasons . W would not first choice travel 10 month old baby ! ! ! hotel thing people .... homework . 
 Jan 30 2007 	 Killer Time 	 stay convention absolute blast . three good bar staff HIGHLY attractive , scantly clothe young girl ... lot partying . spa great . service prompt ( sew button free ! ) food savory . opinion hotel rival great Dubai . overall high energy time aesthetic superb . bring bachelor party back stay hotel . montreal real cool place Americans go biz pleasure . back even winter ! hot ! 
 Dec 30 2006 	 ' W ' ' will not ' go back ! 	 thoroughly forgettable stay . ' ve stay 2 w hotel ( NYC ) unfortunately new addition Montreal meet W brand standard . first , ask upon arrival room could near friend ' room . & quot ; go , hotel book solid & quot ; . okay , lady front desk not even try move room around . be like everyone already check 1:30pm ! snarkily reply ask make reservation first place . well , make reservation room time ; expect want far away possible ? room .... beautiful expect two double bed , huge bath , shower whole Bliss product line ' ve come expect W hotel . unfortunately , view look kind courtyard / office could see people work away go elevator . bottom atrium W bar . Neeless say hear music bar close , sometime around 3 . unforgivable , especially 10 - month old daughter we ! friend issue . first bark dog somewhere floor ( dog accept ) . little chiwawa , somekind big dog . consider , probably pleasant noise compare people next door enjoy honeymoon everyone hear . beware paper thin wall expect . finally , order food local reataurant forgot plate . call front desk 4 plate . ' whenever , Wherever & quot ; service famously ; fulfill desire ( within limit course ) . lady service desk try charge $ 8 four plate ! ? ! bit negotiating let go charge . DESIRE rather need unless want we spread thai food lovely pale blue leather ottoman ! let W become favorite place mine ( ' m SPG member ) . 
