awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 Apr 15 2007 	 fantastic wonderful staff 	 hotel fantastic location , right middle times square . view room restaurant amazing . stay mother young sister sightseeing trip . New York several time far away good hotel stay . room spacious large bathroom extremely comfortable bed . what really make stay special staff . every member staff encounter friendly polite make effort get know . eat breakfast hotel restaurant morning waiter remember eat morning . would certainly recommend hotel . 
 Apr 9 2007 	 everything promise 	 Service great , view amazing concierge well encounter . hotel everything crack . could well way experience theatre district 's grandeur . 
 Apr 8 2007 	 overprice small room 	 wife spend weekend hotel romantic getaway . though hotel ok , would say overall disappointing , would recommend kind stay . room small , even though one expensive room ( $ 429 per night ) . price , expect superluxury service , . number tv channel disappointing . also , turn - down service . tacky touch breakfast menu leave bed . not like take two elevator get room . plus side , location great like Times Square , . 
 Apr 5 2007 	 Family Friendly Hotel 	 stay hotel two kid ( 12 & amp ; 13 ) Easter holiday . hotel pricey ( $ 379 / night ) feel bit cheat meet front desk staff . friendly smile , helpful attitude , special & amp ; Ms gift leave we room make difference . honestly say hear neighbor street noise hotel sound proof - love ! decide visit Times Sqaure must splurge Gray - Line bus tour 's Loops package . practically experience everything NYC offer tourist . 3 day period use Gray - Line hop - on / hop - off service ( include Loops package ) able dine Harlem soul food dinner Sylvia 's , eat breakfast Little Italy , shop SoHo , visit WTC site , shopped Century 21 department store , tour MET , spot celebrity , eat lots sweet Dylan 's Candy Bar , tour Wall Street , etc . , use Gray - Line tour . not buy tour package street vendor ! call 1 - 800 # pick ticket save 10 % . ticket office close hotel . thank Gray - Line , hotel , great pair walk shoe , BEST vacation ever ! kid love - worth every penny ! 
 Apr 2 2007 	 Great Place stay Heart Times Square 	 head Renaissance Hotel dreadful night another hotel around block . soon walk room , knew make right choice shell bit cash highly rate hotel area . room spacious , view Times Square great , staff helpful , importantly , bed super comfortable ! nice hotel highly recommend stay Times Square . 
 Apr 2 2007 	 nice hotel 	 stay three night around end March . the style mixture contemporary art deco manage convey feel understate class relaxed atmosphere . we stay fifteenth floor view onto 7th Avenue . plenty hustle bustle go outside 24/7 never disturb soundproof excellent . the staff friendly maid even leave we thankyou note tip leave day . the location excellent Broadway theatre along plenty restaurant shop . Olive Garden right underneath hotel ( hotel start 2nd floor ) great juice bar call Jambas next door . also handy main stop Gray Line open top bus tour ( across street ) . find handy see pretty much whole Manhattan short period . subway station also next door . the Rockefeller Center couple block away , easily walkable . Top Rock must - do visit . all - in - all find stay enjoyable hotel provide comfortable friendly stay touch class great central location . 
 Mar 23 2007 	 Nice Stay 	 property centrally locate Times Square room nice . bed comfortable . hotel also carry LATHER product , smell great . little disappointed hotel advertise 4 star . . typical 3 star hotel nice amenity nice room . small hotel staff attentive would expect hotel size . location nice NY , really ' spend much time Times Square . overall , hotel nice , clean , good location . would recommend visitor . 
 Mar 11 2007 	 great location . helpful staff . 	 Mum , sister stay begin March . ' m fussy stay not disappoint Renaissance . 's right middle Times Square ( behind big Coca - Cola sign ) not let put be quiet . the concierge staff extremely helpful staff courteous friendly . room really clean bathroom big airy . thing would say hotel going refurbish start March end sometime August . plan show foyer hotel be go quite modern - quite difference be like . room flat screen tv 's , new bed etc ' m sure be go nice . if want stay hotel 's right middle thing . breakfast great location excellent . definitely back . 
 Mar 7 2007 	 Great Hotel 	 hotel great location activity plan . subway stop close within walking distance Broadway play Rockefeller Center . concierge great . Omar week give we wonderful suggestion . weekend staff also great give we good information weekend construction subway car get get south ferry exit . checkin fun Eric wait we , wonderful attitude sense humor . room big expect New York quieter expect . bed comfortable hotel clean . great experience can not wait go back . 
 Mar 2 2007 	 Decent stay 	 plus- location good . hotel close everything.- Room surprisingly quiet give busy location is.- complimentary buffet per Marriott Platinum status excellent unbelievable view ! Minus- room date . wear tear everywhere.- bellboy guy downstair helpless . 5 bag check ride came pick . one downstair offer help ( even catch door ) make multiple trip come door guy look . horrible.- ride two elevator get room . find inconvenient.- Front desk promise bring we fridge ... never come . 
 Feb 27 2007 	 comfortable bed star attraction 	 room big would expect fine . bed star attraction , one comfortable ever sleep . request high floor therefore noise distraction excellent night sleep . as hotel ecellent location able walk everywhere around mid - town manhattan . good night sleep much appreciate . I disapointe quality towel restroom . old shabby expect well quality hotel . perhaps mislead website review state restroom & quot ; Body Shop & quot ; bath product . body shop high quality mean . bar maid hotel bar friendly . concierge excellent . Omar 's recommendation make holiday special . check - in check - out fast without hassle . overall feel hotel quite nice good location price pay , little extra make difference lack . try hotel next time New York . 
 Feb 26 2007 	 great location Times Square 	 stay Renaissance Times Square 1 night Feb. '07 . everything hotel great front desk wait staff restaurant Foley 's . location -- absolutely good ! hotel right Times Square . ton restaurant within walking distance , well theatre show . take taxi get Little Italy / Chinatown downtown , total taxi fare $ 12 incl . tip . also walk 10 block FAO Swartz toy store get really good toy not find place . way back Renaissance FAO Swartz , stop huge catholic church ( sorry forgot name already ) . hotel 2 block Rock . center NBC studio . walk couple time good time there . food -- go Foley 's breakfast . whole restaurant get full view Times Square not matter table . breakfast buffet style , server Samuel great . coffee delicious well fresh orange juice . food good quality , love smoke salmon , hash brown sun - dry tomato , lean bacon , sausage , well plenty fresh fruit strawberry , watermelon ...... yummy healthy start day . price around $ 23 / pp , half price kid . the hotel great general . small lobby want sit lobby be Times Square ? ! room clean , quiet , marble bathroom . get nice sized room 2 double bed , sofa chair , executive desk , tv ..... nice size base previous stay hotel NYC . would definitely stay . 
 Feb 19 2007 	 Loved hotel 	 hotel great location - within walking distance Broadway show , Subway exit Grayline tour . room nice surprisingly , sound Times Square could hear inside . would definitely stay . 
 Feb 18 2007 	 Perfect every way 	 stay 4 night daughter , aged 14 - 23 , fantastic stay . 3 room perfect condition , scrupulously clean , well appoint side build . staff superb - efficient pleasant indeed , nothing much trouble . try Lindy 's Diner real taste average english person expect american diner ! also , try Alice 's Tea Cup edge Central Park English tea England manage - choice tea alone endless ! unfortunate enough NY storm begin Concierge Guest Services staff fantastic find current position flight etc . beware Delta Air Lines - crisis , be absolutely diabolical . spend night floor airport many promise could never fulfil , continual episode & quot ; economical truth & quot ; ! thank Renaissance - make worthwhile ! ! ! would love return day . 
 Feb 15 2007 	 Nice hotel 	 although location hotel leave little desire , turn fine . set strange , go small lobby , instruct take elevator one floor " real " lobby . small , charming , concierge desk often man . stay Times Square area , warn , ' noisy . would recommend stay close Rockefeller Center . ' much quieter . say , room ' bad . bed wonderful , bathroom good sized coffee maker , mini bar room . complaint room ' feel real clean , feel dusty little worn , bad experience Grand Hyatt — it seem pretty good . ' expect extra though , unless ask , ' real big customer service . think ' NYC thing . 
 Feb 15 2007 	 good location great service ! 	 little nervous stay Times Square clean hotel would really . need not worry , everything spotless . service excellent , staff extremely helpful . the location block Rockefeller Center right Times Square like people watch , head bar beside restaurant watch people street enjoy uninterrupted view Times Square . would definitely stay . 
 Feb 11 2007 	 Fabulous Time ! 	 stay Renaissance four night Feb 4th wonderful time ! location superb , could see Times Square 's glory right outside window ! staff polite helpful . room 21st floor excellent , large well appoint , huge comfy bed ( plenty pillow ! ) lovely clean bathroom . due large number restaurant right doorstep , not eat Foley 's , hotel 's restaurant , smell come every night delicious ! surprise soundproofing ! New York , night possible hear traffic noise siren window ( stay different hotel ) . however , time close window , could hear nothing ! combine bed make good night 's sleep busy day . we also feel extremely safe Renaissance - two 18 - year - old , comfort somewhere friendly return problem , need advice . all , make brilliant trip , would recommend hotel anybody ! 
 Feb 11 2007 	 Lovley night City excellent location 	 difficulty discern valet park , great night town . lobby bit disjoint dissappointe bar open later evening room service excellent . the bathroom large , clean , plenty marble toiletry plentiful fragrant . the good part hotel excellent location right Times Square . fun busy . room service breakfast . Eggs Benedict husband pancake split signature dish , lemon soufle pancake . except tart lemon pancake everything else excellent . watch valet ticket , charge extra night hour 24 hour limit . 
 Feb 7 2007 	 Location Location 	 spend wife 's 40th B - day hotel satisfy ! ! hotel room clean quiet . coolest part table sit dinner ( Foley 's Fish house ) sit New Years drop ball . could imagine view . food good nothing special . view service make . would suggest fly LGA Newark ( NJ ) cost arm leg Taxi fare back airport . $ 35 plus toll LGA . 
 Feb 6 2007 	 Fantastic ... absolutely Fantastic 	 return 5 day break New York stop Renaissance New York Hotel Times Square . hotel magnificent situate good possible area . service staff incredible . Omar Greg credit Hotel . ' new New York like Omar Concierge area provide great help supply information get , see , go , book table restaurant etc etc etc . greg front desk provide help issue experience . ( issue find good take - a - way Pizza ... Greg sort ) . hotel well place requirement . consider hotel will regret book due location . room tidy huge bed . stop great hotel past bed far comfortable . long period walk , shop dining take shower bath relax bed ideal . great start next day . ' eat hotel restaurant unfortunate part view Times Square breathtaking . refurbishment take place March 2007 allow customer see view arrival hotel . overall , hotel must . stop . 
 Feb 5 2007 	 good place action ! ! ! ! ! ! ! ! 	 stay RENAISSANCE TIMES SQUARE past Saturday night , excellent around : location : can not ask well , step away theratre , restaurant Times square . STAFF : excellent valet , doorman , front desk , particular Greg front desk arrainge champagne chocolate cover strawberry cost we b / c anniversary . room : stay 11th floor little concerned street noise , sound night . request king bed , get king bed . Room nicely decorate , bed comfortable hotel bed ever sleep in . overall difficult time find fualt hotel amazed bad review see post . have stay good hotel guy something right . 
 Feb 4 2007 	 wonderful experience ! 	 return week long stay Renaissance Times Square enjoy every minute . room spacious clean , bathroom . wife love deep tub enjoy relax bath every night . room service delicious affordable ( try bread chicken shrimp scrumtious late night snack ) . service impeccable . view Times Square bar & amp ; resturaunt be hype . be look right middle Times Square , wish grant . one step door hotel knee deep midst . decide stay Times Square hesitate stay Renaissance . enjoy ! 
 Jan 30 2007 	 Great Location - Great shopping 	 girlfriend stay hotel four night 18 - 22 January 2007 . spend hour choose hotel , usual read review TripAdvisor decide . send email advance ask nice room since girlfriend 's birthday , think . arrive ( six hour delay UK bad weather ) , Greg check we , wish girlfriend happy birthday , upgrade we 23rd floor Superior Room ( 2308 ) . good start ! room fantastic . hotel room New York usually pretty small , room big ( might superior room , course ) . comfortable king - size bed six pillow , write desk chair , glass table another chair , cable tv , mini - safe fridge minibar . room also hair drier , iron ironing board , come handy . bathroom big well bath - and - shower combo . visit friend Quality Inn 100 meter away , realise lucky room . we worry street noise , problem high building . window hotel face Times Square ( except restaurant ) , either face 7th Avenue Broadway . view nice , still see Times Square window . window open ventilation , open fully . unlike review , room spotless clean time . note fridge room automatically charge remove item , say . accidentally remove Voss water bottle , read instruction . Whoops . put bottle back , not actually charge end . there room service , pretty expensive ( we ) actually never eat hotel . load deli restaurant nearby , plenty choice come food . we really deal Greg front desk , always smile really helpful . really nice guy ! midnight show room key gain access building , policy make we feel safe enter hotel late night . the location 7 Avenue @ 47th street amazing - actually Times Square . near theatre , easily walk Macy 's , Madison Square Garden Empire State Building ( around 34st street ) ; Rockefeller Centre ( 50th ) onwards Bloomindale 's , Tiffany 's etc ( around 58th ) . lot girlfriend 's shopping carry , yellow taxi cheap reliable : - ) .All nice stay New York , pleasant hotel great location . one small tip : empire State Building , consider go top Rockefeller Centre . observation deck around 70th floor give great view Downtown Empire State Building , also Central Park Upper East / West Side . go , not forget find play around sound - and - light room : - ) . 
 Jan 29 2007 	 Great Location .. clean ... satisfied 	 fiance stay one night Renaissance satisfy hotel . 's location perfect visit Times Square Theatre District room clean . bar across lobby nice jazz trio play decent view action . smell reviewer mention ; 's bad smell , potent . complaint would noise street night . read review , know request room high floor suppose quieter . however , room not ready arrive ( arrive check - in time ) , take queen room 7th floor instead . may mistake . siren horn definitely bother night . think stay high floor , might happen . overall though , great stay Renaissance would stay . 
 Jan 13 2007 	 central location perfect NYC experience ! 	 husband , 2 adult son , return 2 night perfectly locate NYC gem . heart Times Square , rest quiet 21st floor respite . room large & amp ; bathroom well appoint . staff friendly attentive hotel step Broadway show fine dining option . we New Jersey , stranger NYC come city frequently business & amp ; pleasure . 's treat stay overnight & amp ; Renaissance disappoint . eat hotel highly recommend Lattanzi 's Azalea 's ( Theater district ) Crispo 's ( 14th Street ) . breakfast go Cafe Europa ( 57th St. ) . Renaissance close want check Good Morning America Today Show . fun see tell staff & amp ; Hosts GMA make feel welcome pose photo ! not miss NYC Renaissance great getaway weekend . 
 Jan 6 2007 	 Gladly Stay . 	 stay Jan. 2007 two night stay . hotel locate heart Times Square easy access everything . check - in perfect . extremely quick polite . room well decorate furnished . bed perfect quality linen . complaint dirty floor carpeting , correct immediately . summary , marbled bathroom great plumbing , great bed , perfect location , impeccable service . definitely stay . 
 Jan 5 2007 	 Shaky start good overall 	 stay 3 teenage kid last day Dec. Room pay front expensive ( $ 600 / night ) promise early check - in since early flight arrive 8 . room ready arrive , promise noon . dissapointe ready noon , tell come back 2 pm , , room still available . person front desk tell we could get hot chocolate kid resturant bar , bartender could bothered we ! ( actually tell we would much trouble ) tired lobby tiny , sit another hour half give access room . room nice enough , spacious . hair tub hairclips leave bar area - big deal , $ 600 night , room spotless ! complain , send housekeeping clean tub later send bottle wine . on positive side , location hotel incredible - right middle everything . see several play go Rockefeller Center , etc . , everything short walk . New Year 's Eve , staff take extra precaution make sure registered guest enter hotel also secure small area right outside hotel door could comfortably watch action . room high floor , street noise much problem view great . bathroom spacious attractive . linen bed wonderful . site resturant great view times square , pricey . housekeep great job keeping room tidy well stock soap towel . conceige kind helpful , good part hotel Amos doorman , cheer we every time run he . I would probably prefer stay Marquis much big room , full service lobby , would definately stay . 
 Dec 22 2006 	 Excellent 	 well , say unreal ! little beaut could wish hotel . Bang centre everything . comfortable bed earth , deep bath tub , apple news paper front desk , one ask ? really much say spot , would like make special comment concierge desk .... wow ! Omah girl help no - end ! everything want / need do ! do not come well Omah team ! HIGHLY RECOMEND hotel . A++++++ 
 Nov 11 2006 	 Great Families 	 recently return form 5 night stay NYC.As bring 7 year old daughter want hotel central location . Renaissance New York Hotel Times Square perfect . the staff fantastic especially Omar ! ! ! ! room 19th floor good size bathroom . safe also big enough fit laptop add security . with subway 30 second door perfectly locate . we particularly enjoy Foleys Restaurant good view Times Square . overall travel child age hotel would great choice . even kid tow still wonderful hotel . although , mention review strange smell lobby , however 's horrible smell smell something cook .................. ' know ! ! ! ! ! lol 
 Oct 29 2006 	 Perfect 	 stay property one night October great time . hotel could locate centrally action perfect either tourist business traveler . room nice -- slightly large room stay NYC -- well appoint . guest room high floor well insulated -- hardly hear noise street . staff also friendly , something not always find NYC.We stay Marriott East Side would definitely choose property one -- quality location much well . Residence Inn Times Square comparable property ( except room much large Residence Inn ) . rate also generally much high Residence Inn , though . would definitely stay property . 
 Oct 11 2006 	 definitely would return 	 first trip NY want stay somewhere middle action . hotel perfect . everything short jaunt away . room clean hotel staff make above - average effort accomodate rollaway cot give 15 towel ( 3 woman room ) , appreciate . hotel secure . little drawback internet available Monday - Friday business hour ( need business not want drag laptop ) ... hotel restuaurant breakfast less fabulous . however Foley 's ( major restaurant ) nice supper excellent seafood . I would definitely stay sure . 
 Oct 8 2006 	 rough edge overall excellent 	 stay Doubletree Guest Suites past three visit New York , ready new hotel recent vacation . renaissance , couple building away Doubletree , catch eye last visit , decide give shot . put briefly , smart choice . although couple problem , enough sour experience . Renaissance favorite hotel ' ve stay NY far . the service people work hotel always first thing guest notice . department , hotel excel , friendly competent staff know smile say hello ( unlike hotel ' ve stay ) , willing help way , quickly . willing supply anything need , one sink faucet handle bathroom feel like come loose would fall , immediately send someone fix , problem solve time come back room early afternoon . concierge also highlight . extremely friendly , always willing help , genuinely seem interested want know , give informed opinion answer . staff great around , great start hotel 's many plusse . free apple offer front desk everyday also great snack hold dinner , want quick breakfast . the staff pretty much already make great impression , room really . enter room , be small marble hallway beautiful large marble bathroom one side , equally large double closet 's large able hold luggage well clothe , still ton room leave . room spacious NY standard , come lovely bed cause sleep little later plan one occasion . ( ' m notorious early riser ! ) marble bathroom also winner deep tub perfect soaking , shower head great water pressure . downside think room tv could well , reception channel sometimes bit iffy , picture would jump couple second time time . , not happen often , be New York , be go spend lot time sit room watch tv.the Renaissance really please every way . dark wood marble tone entire building warm inviting , well give special feel tone can not find numerous cookie cutter hotel Time Square area large gorgeous lobby , feature nothing can not get local hotel term room . get , plus great centralized location . see 7 show NY ( Drowsy Chaperone , Forbidden Broadway , Jersey Boys , wedding Singer , Tarzan , 25th Annual Putnam County Spelling Bee , Martin Short : Fame become ) , 5 - 10 minute walk away hotel . guess negative think , besides previous minor problem tv , definitely pay ofr quality . 's bit overpriced , especially in - house restaurant offer great view , food not quite great enough charge rate be ask . , least feel like be get money 's worth part . as review not make point clear already , Renaissance well worth visit . ' m actually surprised be high ranking . hopefully review convince people give try . may stay different hotel next visit , idea fall , Renaissance definitely first choice . know will definitely come back . 
 Oct 8 2006 	 2nd trip - still FANTASTIC 	 stay Renaissance Jan 2006 wonderful time 1st choice hotel decide revisit NYC Sept 2006 . room well appoint huge deep bath long soak hard day walk around City . bed comfortable hard get morning . ( thick DURHAM mattress ) . pillow soft fluffy . room clean every day fresh towel leave . room direct dial telephone , internet connection , mini bar , television safe valuable . hotel lobby bell boy open door greet smile enter hotel . guest take lift one floor lobby reception area 1st floor . add feel security guest . hotel fantastic spot - right heart Times Square . ( 7th avenue 47th street ) . handy position visit major tourist site handy tkts kiosk theatre ticket . hotel concierge OMAR deserve special mention , nothing much trouble . recommend place eat - try sparks restaurant fantastic fillet mignon . breakfast - must go ELLENS STARDUST DINER 51st street . Wannabee Broadway star singe tuck . fantastic experience . kid may enjoy MARS 2112 experience - opposite Winter Gardens theatre - dinner serve alien . real treat , take river cruise WORLD YACHT . $ 90 dollar worth every cent . great food , music dancing . music view Statue Liberty bring tear eye . place visit - empire State Building , Top Rock , Bronx Zoo , Central Park , FAO Schwartz toy shop , Trump Tower , Grand central station , Ground Zero , Statue Liberty Ellis Island , NYPD museum 5th Avenue shop . I definitely stay wonderful hotel . 
 oct 4 2006 	 perfect first trip NYC 	 back 81 - yr . old mother 's first trip NYC . Renaissance suit we quite well . priority choose hotel include : central location simplicity see much NYC possible , adequate - sized room , nice view , above - average hotel make mother 's trip special . Renaissance get high mark every area . since first trip , actually enjoy Times Square -- constant excitement fun we . amazingly convenient access subway , Grayline hoho bus , shopping theatre fabulous . our room 19th floor face 7th Street large ( apparently NYC standard ) , quiet , sparkle clean , lusciously comfortable bedding . get rate $ 279 /night special offer hotel 's website , feel great value . we couple delicious breakfast buffet Foley 's Fishhouse hotel . yes , could eaten cheap elsewhere , awesome view TImes Square great way start day . waiter attentive friendly . the front desk staff concierge accomodate ( effusively friendly ) ; complaint . & quot ; different & quot ; aroma lobby ( probably cook fish restaurant ? ? ) , smell lobby not particularly bother we . we love NYC Renaissance ! 
 Oct 2 2006 	 great hotel great location bit overprice 	 stay hotel two night . find price 400 per night bit steep , however , give location , suppose bad . must say , staff one friendly NYC – always smile , pleasant , courteous , never condescend patronize . although hotel definitely 4 star , 5 star bed : clean , crisp , comfortable . definitely good night rest long walk hour city . hotel ' restaurant view , worth eat . food ok kind pricey . eat Maxie across street Lobby hotel -- decent price , beware , name say , portion enormous starter salad easily share 3 - 4 people . go pretty much every dish try . go pax light breakfast lunch ask Renaissance concierge dinner suggestion – one try pretty good ! 
 Aug 24 2006 	 Nice Hotel Good Location 	 book hotel first choice Marriott Marquis unavailabe . Hotel centrally locate nice quiet . room good size , bathroom nice deep tub forlong soak day NYC . room king size bed lovely . not like take 2 elevator get room , , say never wait 2 minute elevator . warning : unlike every Marriott property stay , ( least dozen ) put $ 50.00 per day hold & quot ; incidentals & quot ; one put $ 100.00 not bother inform . notice went speak front desk get nothing attitude woman . pleasant way start stay . , though hotel nice except rude woman desk everyone else come contact great . might stay , , first choice . 
 Aug 24 2006 	 great location 	 stay hotel 1st-4th August . location central easy access subway tour bus . Rockerfeller Centre short work 's well worth trip ' Top Rock ' . find hotel clean comfortable , although two teenage son not impress share king bad specifically request two bed upon booking . ' m sure have make fuss might change room tired flight etc . not bother . first visit New York take pot luck hotel satisfied accomodation . room decent size enjoy watch world go 7th floor . my criticism really staff , whilst efficient , least bit friendly reception could not manage single smile . breakfast expensive good restaurant ( although not evening meal ) amazing view Times Square . 
 Aug 15 2006 	 great location odd hotel 	 location great long want hustle bustle Times Square . hotel unusual entrance take elevator street level lobby another elevator floor . lobby glamorous strange odor entire stay . although think reservation two room , double bed , informed arrive fine print indicate guarantee . actually call week tell double bed would problem . wound come one smoking room double bed another non - smoking room king rollaway . room themself nothing special unique view Times Square area . stay hotel NYC find user friendly enjoyable . 
 Jul 28 2006 	 Great Location ....... 	 word warn hotel . although hotel locate centric location hotel misrepresent . problem start book room 2 queen size bed . upon arrival reservation clerk inform would receive room one king size bed rollaway . room book . go see room , size closet 3 people . rollaway suppose go front door . inform hotel staff fire hazard proceed give slightly large room course argue get . top first room large insect fly around , chair room stain room double book . able move thing already someone else try occupy room . hotel New York City impress . stay risk . 
 Jul 12 2006 	 wonderful experience 	 stay several hotel throughout U. S. NYC one one good . tourist like , location can not beat : right Times Square , three subway line directly next hotel 's entrance , several other block away , save lot time . major broadway theater proximity meaning must leave room early 20 minute curtian go . room well appoint , ok size , spacious marble bathroom , perfect bed pillow top mattress , comforter plenty pillow . housekeep great job , turn service available request . room bit dark due tint double glaze window , fine , keep lot noise , heat look opposite buliding . Breakfast & quot ; Foley 's Fishhouse & quot ; rank among good U. S. feature new special every day ( e. g. different quiche , burritos , cheese blintze , french toast ) . hotel 300 room , restaurant staff treat nice personally . front desk staff not bend backwards least attitude , thing will not find easy NYC . minor complaint : fax Marriott reward number room request ( e. g. connect door ) well advance hotel , none add reservation get Front Desk . therefore ask non - connceting room give - connect room ! apologetic change instantly return Front Desk , could aviode . nevertheless , Renaissance top choice return NYC . 
 Jul 11 2006 	 Fantastic Location ! 	 stay Renaissance nine day rate $ 315 per night . room 16th floor two double bed two adult two teenage child . room spacious New York City hotel bed super comfortable . bathroom shower adequate nothing special . even though good side view Times Square , still great view . typical Marriott hotel -- average clean , excellent luxurious . Renaissance probably well locate hotel Times Square , thus , great central location get around New York City . easy walk distance Broadway show , Central Park , Empire State Building , Rockefeller Center , 5th avenue shop . great service hotel staff , especially Omar , consierge . Foley 's nice seafood restaurant breath take view Times Square worthy try . lobby bar expensive drink mediocre service , also breath take view Times Square . Renaissance practical hotel option superb location GLAD choose hotel . return New York City without kid , likley opt something little & quot ; special & quot ; away hustle bustle Times Square . 
 Jul 5 2006 	 Great Location -- funky smell 	 hotel great location amentie nice ..... complaint crazy smell lobby area . could not figure want . fish dish Foleys Fish -- kind bizarre curry blend room deoderizer ? almost gag everything walk thru lobby . smell nice . linen fantastic . decor warm masculine . boutique feel compare Marriott Marquis . Recommend . 
 Jul 3 2006 	 Nice hotel 	 Renaissance nice . comfy bed , nice bathroom - nice towel , decent size room , good closet space . room service - coffee - take 10 minute . per previous review , eat Foley 's , enjoy drink bar overlook Time 's Square . entire staff attentive . unlike other , like location . Time 's Square always wall wall people . past , stay upper east side enjoy experience . 
 Jul 2 2006 	 Macy 's Parade Perfect Spot 	 4th Thanksgiving visit extend family . try every two three year . year 15 altogether . make reservation January Parade View room plan weekend celebration , begin Weds . night . beat view location parade . child able see balloon & quot ; eye - to - eye & quot ; ! love ! become favorite family holiday . family join we . even crazy weekend like , staff always ready help . could nice . location perfect out - of - towner unfamiliar city ... right middle everything . always feel safe secure . although city famous expensive , restaurant nearby extremely reasonable quick meal . one visit lunch Geraldo Rivera nearby coffe shop ... usually favorite breakfast place . plan Thanksgiving visit planning year advance must ! 
 Jun 29 2006 	 location ! ! ! ! 	 stay Renaissance May husband , parent brother fiancee . absolutely wonderful time . staff able group room together incredibly helpful throughout stay . the midtown location hotel fantastic sight - seeing , although New York , hotel perfect base explore city . hotel effectively Times Square expect hear hussle bussle noise , not problem . thing hear fire truck then- can not grumble ! room comfortable bed HUGE . bathroom good well , slightly big parent good . we make use bar faciltie one occasion pleased see serve Rolling Rock ! never breakfast hotel , plenty place nearby grab bagel muffin way morning . we definitely use Renaissance next time go ! ! ! 
 Jun 25 2006 	 fabulous friendly hotel 	 return 4 night stay Renaissance , speak highly enough place . fantastic location , centre Times Square , yet despite hustle bustle outside , step hotel like enter tranquillity ! public area beautifully design place even smell great . bedroom fairly spacious , tastefully decorate bed comfortable . staff - say ? everyone include maid friendly polite ( not believe rumours New Yorkers rude ! ) need advice tip place visit ( avoid ) speak conceirge , Omar , nice guy city . happy help fountain knowledge everything Underground system bargain hunting . Omar even check we airport online prior flight home . never eat hotel , discover great restaurant , Pigalle , corner 8th W48th Street serve lovely breakfast . go see Lion King Broadway ( amazing ) recommend Carmines restaurant , really close theatre serve huge family size portion , mean sharing . will need make reservation want eat pre theatre , otherwise will wait hour , place great atmosphere lovely food . we visit 11 year old daughter , find plenty thing interest City , plan back definitely stay Renaissance . 
 Jun 20 2006 	 Great Location .. Wonderful Stay 	 husband stay Renaissance Times Square 5 night enjoy every minute .. check - in check - out . room nice well kempt good appointment , staff friendly accommodate , view location terrific . special request handle efficiently courteously . bar inside hotel warm inviting service good . drink bit pricey , New York . negative experienced attempt book dinner reservation Foley 's , onsite restaurant . hear good want go husband 's birthday . however , guarantee window view table , opt go McCormick & amp ; Schmick 's Rockefeller Center ( within walking distance ) , turn good choice . would hope , point future , Foley 's decide afford preference hotel guest . breakfast hotel expensive , may want eat offsite . find little french restaurant call Pigalle nearby meet need reasonable price . all , thoroughly enjoyable visit . hotel within walk distance many New York tourist site . , subway right get anywhere need easily quickly . we would definitely say Renaissance . 
 Jun 12 2006 	 Renaissance Marriott Times Square - Loved ! 	 family please hotel . the employee treat we well include maid able tend request . they pleasant . the room spacious bed comfortable ! also room clean . this first time great view Times Square ( many hotel look wall ! ) middle Times Square great location . we breakfast Foley 's although little expensive worth view . great service ! book trip search many vacation package site . I actually find well package ( hotel & amp ; airfare ) Marriott site itself . it sometimes change price day day keep check back good deal flight . we plan return near future hope return hotel . we plan go Foley 's night time remember make reservation book try go evening . all great hotel ! 
 Jun 5 2006 	 Good Hotel Perfect Location 	 return stay hotel Memorial Day weekend ( May 26 - 29th , 2006 ) & amp ; pleased . room 17th floor great view times square . see couple Broadway musical ( Jersey Boys & amp ; dirty Rotten Scoundrels ) & amp ; find hotel convenient term proximity show . always nice come back room long day walk relax . would think would able hear traffic , room completely silent . rate room $ 255 night find reasonable hotel stature . breakfast one morning Foley 's & amp ; pretty expensive end good meal . view Times Square Foley 's absolutely amazing miss . take subway around time & amp ; station right outside hotel entrance . concierge helpful even though use couple time . overall would definately stay hotel & amp ; please everything . 
 May 31 2006 	 great hotel ! 	 stay Renaissance May 11 - 14 , 2006 30 other theater tour . great location walk theater , Rockefeller Center shopping . room great quiet . dinner breakfast Foley 's hotel . expensive ' ve eat well meal Memphis , TN . fish friend veal . would find another place eat . would definitely stay ! 
