Good 	 Staff friendly , room nice great view Chicago River close House Blues Harry Caray 's Resaurant , well , far Magnificent Mile . hallway dark elevator bit scary , overall great hotel . bar , Crimson , locate hotel great . bartender nice waitress like talk wall . 
 may 27 2007 	 unique hotel nice location 	 stay hotel June 2006 visitng family Chicago . find hotel unique indeed , nice work art every room around hotel . the hotel locate Chicago River , many room offer spectacular view city . locate closely Chicago River river tour . the complaint room follow : room key often get deactivate everyday , call front desk every evening upon return room . also , hotel , June last year , offer complementary internet access . 
 May 1 2007 	 great location 	 Wait remodel finish great place stay Chicago . bin 36 good breakfast although little cold . Liked room ( deluxe king ) .As city hotel 's amazing experience stay - want need find town house 5 room lose location facility pay money take choice . my recommendation Chicago general coffee Uncommon Ground 's centre ! 
 Apr 29 2007 	 great 	 really tell midst remodel . kind mess noisy . bad part Gospel Brunch -- huge ripoff . mediocre food , cram like sardine , & quot ; talent & quot ; bad American Idol reject . would opt Hard Rock next time . 
 Apr 25 2007 	 Amazing ! ! 	 place incredible ! book room Travel Planners tell jokingly give we great room never Chicago shock take room ! follow bellhop past single door 14th floor end hall , came set double door . open door massive suite , think huge mistake pay $ 150 per night ! huge living dining room , bar , 1 huge half bath , 1 unbelievably huge full bath shower large enough 4 , giant tub tv build wall ! bedroom incredible 2 oversized chair ottaman , armoire web tv , nintendo , large tv . window side room , lot , overlook downtown ! maid put jelly belly 's pillow turndown 's big vase full jelly belly 's . 's decorate look like way cool pier 1 furnishing . unreal ! 8 day long go back sure suite well $ 1000 per night . good fun , unique place ! 
 Apr 25 2007 	 Loved ! 	 Stayed & quot ; girl night & quot ; weekend . Loved every minute ! remodeling get new remodeled room . fabulous ! well worth every penny . staff excellent , food bar great ! easy get highway . can not say anything bad hotel . 
 Apr 24 2007 	 Great experience ! ! ! 	 arrive April 20th 2 night arrive hear construction underway hotel pleasently supprize arrive . true main lobby close remold feel inconvience temporary lobby 4th floor . hear remold room new carpet tone wall bed covering . arrive 11:00 morning tell previously get coner room well veiws arrive room avialable nice tell we would room hour . get room 12 : pm room great . instal 42 & quot ; flat screen tv 's new room could still smell new carpet . everything room exceed expectation even though huge , well lay . negatitive comment would cable tv could chaneel least one movie channel . overall would stongly recommend hotel location room . even though hotel transition HOTEL SAX , still great place stay . 
 Apr 11 2007 	 fabulous easy access HOB concert 	 stay HOB hotel fan group play HOB venue . pleased accommodation . color scheme room funky pleasing . bathroom fabulous . everything place eye candy . bed comfortable . I would stay heartbeat ! anyone mobility impairment ... everything facility access friendly . 
 Mar 5 2007 	 expect 	 House Blues go major renovation . lobby arrive , person podium send 4th floor makeshift desk one check . soul around- feel like twilight zone . one main reason book HOB becaseu travel teenage son think would lively place stay , next time stay Hard Rock . one bedroom suite lovely exception pull sofa bed . mattress thin could feel spring underneath . conceirge rude ( could actually get hold ) , book ticket Sunday Gospel Brunch , wrong number ticket , ask time arrive 10:00 seating tell & quot ; 10:00 & quot ; . actually family style seat buffet mean not get ahead time leave wait line eat upwards 30 minute . bowling alley awesome , bad not get use ! checked tell would need make reservation bowl . try bowl Saturday afternoon two hour wait ! bellman great . 
 Mar 3 2007 	 great hotel major construction go ..... 	 attend exhibition Chicago last week book House Blues hotel last year attend evening function House Blues venue locate next door hotel . upon arrival , shocked see main entrance shut go side door usher elevator onto 4th floor make makeshift reception area . I travel way UK need good old fashioned beer ... tell hotel bar available ! gobsmacked .... make small protest tell renovation work affect hotel room . humour 12 hour travel ! , room clean well lay . bed comfortable staff great job consider surrounding . all , little disappointed not tell advance restoration hey 's life ! also , House blue venue locate next door bar good place see local band perform free ( provide show doorman key ! 
 Feb 7 2007 	 happen ? 	 start ? hotel good city ( room , bar , staff ) , go MAJOR overhaul right . place gutte concrete , ' ve let go great staff hear try make yet another w clone . recognize doorman one concierge last stay - ' ve least twice year since place open . reason stay instead Ritz - staff . doormen front desk staff greet name never wait minute bar favorite drink already hand . even place look ok renovation - without staff , ' ve lose business . ' ve know stop Loew 's go downhill fast . 
 Jan 7 2007 	 comfortable stay 	 ' ve stay House Blues several time ; comfortable hotel ; especially bedding . color room bit ' loud ' , consider 's blue hotel , be appropriate . tv 's date room ; vcr nice stereo use . room service good ( $ 30 breakfast , split meal ) ; complaint coffee pot room ; must order room service walk downstair Bin 36 coffee go . bathroom fine ; curve shower curtain rod ; clean lot shampoo , conditioner , etc . provide . beautiful view Ford Towers canal . 
 Dec 8 2006 	 perfect ! 	 stay 2 night house blue hotel Chicago , good ! friendly staff , lovely interior , perfect location , close sight chicago , right next store michigan avenue .. also good blue concert next lobby one night .. bit expensive hotelbar good hotel perfect visit chicago . 
 Oct 31 2006 	 HOB Lobby Bar comfy chair music - perfect ... 	 actually stay House Blues Hotel , visit lobby bar every time Chicago .... nice environment . comfy chair couch Mediteranean ? decor great live music night ... introduce several friend work late night drink love also . not miss tired loud music metal wood chair .... seat great close conversation without talk across table .... Nick 
 Oct 20 2006 	 hotel give blue 	 hotel well locate generally dark lack amenity guest . function public bar get crowd . Most staff fine , receptionist . point incorrect charge bill rather apologise ague case . eg parking charge car . at late trip Chicago stay Renaisance , worth extra cost . 
 Oct 18 2006 	 House Blues great ! 	 stay House Blues town Rolling Stones concert . great experience . hotel cool . love decor great vibe get moment walk lobby . staff courteous helpful . loud construction go next hotel , fortunately , room north side hotel construction take place south side . negative thing stay ice machine floor work . big deal . definitely stay . 
 Oct 11 2006 	 good price lovely room would recommend 	 stop hotel 17th 18th September , would never chicago want hotel fairly central , look river 5 - 10 minute walk magnificent mile . room large clean decor describe hotel web site . staff hotel friendly helpful . look hotel not want pay fortune want 3 * hotel , find hotel Chicago tend expensive side compare city ( Las vegas , New York , San fransisco ) .We pay £ 125 night take account hotel look feel value money would recommend hotel other . 
 oct 9 2006 	 Great Location - Construction not bad ! 	 stay room # 908 three night tradeshow McCormick Place . concierge Amy terrific . call advance trip make special transportation arrangement request contact frequent update . front desk friendly quick . room generously size comfortable king size bed . yes , construction not find disruptive regular city noise . fact , stay room late one morning finish presentation hardly notice . terrific location VTK ( Vong 's Vietnam Kitchen ) next door fast take service want something good eat not want eat alone order room service . 
 Oct 1 2006 	 Geat stay friendly staff 	 recently travel Chicago first time weekend getaway . decide House Blues Hotel location review . also want go Gospel Brunch next door Sunday . hotel book full night , still able let we check early . staff friendly . room nice bed comfortable . downer room mini bar , like mini bar way overprice . pay much room , give youa bottle water ! bathroom fine , tub / shower shower . would work hard fit tub . 1/2 3/4 size . everything else good . bell station helpful keep bag look around Sunday . great stay . 
 Sep 26 2006 	 never 	 disappoint stay . staff front desk rude . call towel take 45 minute bring . hotel beautiful not make poor service ! 
 Sep 2 2006 	 good hotel good location 	 love hotel stay often . however , since long own Loews Hotels , start show sign wear amenity plush Loews Hotels group . the staff accommodate pleasant . overall vibe hotel radiate ' cool . ' dark exotic . regular room small , color loud , seem work comfortable . the hotel room spotless odor free . bed fabulous . sheet soft feather bed comforter . say early start show sign wear . courtesy item bathroom nice touch , unexpected good quality , also supply q - tip cotton swab ( leave Loews group ) . bathroom big . almost big room . the mini bar pack everything imaginable , pricey side . room service hit miss quality food expensive . work hungry not want go out . the river north location perfect . short walk State Street , North Michigan Avenue , theater district , excellent restaurant . forget Smith Wollensky , worth high price . the Kazbar serve yummy cocktail bar food . great place watch famous people musician may appear House Blues concert hall next door . not member House Blues Foundation room , . foundation room private dining room menu food GREAT Chicago . I highly recommend hotel . one last thing beware construction go hotel . give face lift . Lets hope room next go hill ..... 
 Aug 25 2006 	 beware ! ! CONSTRUCTION ! ! 	 check hotel around 11:30pm ride 9 hrs . front desk easy deal , beautiful lobby . bellman great . suite $ 400.00 night . room nice could use little update clean . order room service good late . bed , bed comfortable , cigarrette hole comforter linen clean pilow nice . seem would great sleep next day 12 hr . drive . wrong ! ! wake around 9:00am sound Jackhammers ! ! one many . work garage across street noise loud ! ! could fall asleep ! ! call complain make we . still help long drive ahead . go book room sure call first ask still construction go across street ! ! ! 
 Aug 7 2006 	 chicago- great place visit 	 location House Blues Hotel great- room little small clean . fly O'Hare Airport would recommend take CTA ( Chicago Subway ) hotel . $ 2.00 take Blue Line Clark Lake Street- take 35 - 40 min 's alot less cab . go Cub game Wrigley field- great time- would def . recommend see game possible . also walk Navy pier lot , Navy pier take water taxi Sears Tower- $ 6 ride Chicago river Sears Tower- get destination get scenic ride river . must go lunch FOGO de CHAO ( 661 N LaSalle ST ) - go lunch b / c alot less expensive- amazing food- ( give 15 different type meat much want- unlimited side salad bar- lunch $ 29 per person- dinner $ 49 . great place ! 
 Jul 26 2006 	 plus decor fun ; C minus service 	 stay House Blues May . the Hotel fun . decor Vegas light , location spectacular , room big , bright fun . the service mediocre Hotel price range . arrive 3:30 afternoon room ready nearly 2 hour . not guest bind : lobby littered cluster folk wait key . the cab line front chaotic . 
 Jul 19 2006 	 Good Location get good deal though 	 stay another couple long weekend July 13 - 16 . arrive early , hotel able accommodate we two room . place really funky lot Cajun artwork funky color . get great flight+hotel deal Orbitz , otherwise would mad pay full price . pay , average , $ 170 / night . locationthis hotel GREAT location . within walking distance Navy Pier ( 15 - 20min ) , Mag Mile ( 5 block ) , Pizziera Uno ( original restaurant Chicago - style pizza - 4 block ) . also 3 ½ block walk Red Line El , one main line take Wrigley Field , Chicago Art Museum , Millennium Park , . also , within hotel , fancy restaurant attach ( Bin 36 ) open b , L , upscale bowling alley / martini bar call 10 pin . ' also House Blues hotel name . hotel middle bunch hotel ( include new Trump Hotel construct ) view anything except hotels parking ramp . ' stay view . stay location . ROOMSThe window actually open meant come outside noise could hear . however , close heavy curtain , dark extremely quiet . internal wall thick ' hear peep party go across hallway we ( phew ) . room small , however . extremely small room . enough fit bed . television place side desk window instead straight ' plan watch tv bed ! CRUNCHThere Crunch health club attach hotel . however , pay $ 15 per day use facility . ever 1 - 2 people every time look really open guest . HANDY tips•there hairdryer every room , closet , look there.•call turn - down service every night fun treat•Bin 36 coffee bar quick java muffin . ' nice ' time money full breakfast•want coffee room ? call front desk . ' bring coffee maker coffee free charge.•the 6th floor hotel business center guest table w / four chair internet service . never anyone far tell play board game there . all - in - all , hotel memorable , location great get good deal worth . 
 Jul 2 2006 	 Pricey that s Chicago 	 hotel locate within short walk river , Magnificent Mile , train stop . like big city hotel , House Blues bit steep . happy hour two people run $ 62 ... probably $ 30 expect . hotel unique , workout area independent gym ( $ 16 per day ) , full size , full service club . parking $ 34 day take 15 20 minute retrieve vehicle . overall decent hotel , clean centrally locate , price would look option first . 
 May 4 2006 	 good location price 
 May 3 2006 	 love place 
 Apr 14 2006 	 fun place stay 
 Mar 10 2006 	 HOB Hotel Must ! 
 Aug 12 2003 	 House Blues Hotel adventure 
 May 29 2003 	 great hotel ! 
 May 22 2003 	 good deal Chicago ! 
 Apr 28 2003 	 Makin ' Blue 
 Nov 9 2002 	 not bother 
 Oct 18 2002 	 Apalling Service Unsafe Atmosphere 
 Jan 6 2009 	 molto bello il sax hotel 
