good 	 second stay . £ 109 book late , day limited availability astronomical cost central London . as tourist hotel 's ideal location surround area bit drab . however , short walk West Brompton Fulham Broadway tube station 5 stop central London . different location would nice hotel . staff friendly efficient . room standard HIX . breakfast reasonable toast pastry , fruit , yogurt etc . surround area look dubious lot nearby restaurant include next door Turkish Vegetarian across road . allmost every type food within 10 min walk . try area around Fulham Broadway tube huge choice pub , Fridays , Starbucks , Nandos , supermarket cinemas etc open late . parking £ 25 per night . business trip use personally have look well price book ahead . otherwise , value alternative central London could good choice . 
 perfect choice look real quality standard 	 Though take time reach Oxford street West Brompton tube station , worth stay , forget ever stay creepy so - call 3 star hotel somewhere near Paddington . Holiday Inn really ok - one good hotel London ' ve ever stay - note never willing pay 70 pound / night 
 Jul 20 2006 	 Nice Hotel good price . 	 family return 7 day holiday London thoroughly enoye stay . Express Earls Court 3 block either West Kensington West Brompton tube station . take 18 minute embankment station downtown . hotel seem new modern look . room double bed sofa bed , comfortable bad . room small well design efficient . air condition nice hot weather experience . complimentary breakfast good , cereal , yogurt , fruit , toast , pasterie , cheese , coffee , juice etc . area around hotel ok couple dodgy look apartment block , problem day night . large grocery store 15 minute away great price want pick something picnic . price pay much low anything else central London . yes would stay hotel ! 
 Jul 6 2006 	 worth pay london 	 family stay 4 night end June . budget pay , headache find air - condition hotel convenient location , especially London . finally help website , discover group hotel name Express Holiday Inn Intercontinental Group solve problem , even Paris . new , clean , modern , nice friendly budget hotel . offer free breakfast we . also large LCD tv cafe could watch news , learn weather watch World Cup game breakfast time . even fexibility take brother additional charge 10 s.p . per night . brother need travel far join we start tight visit schedule morning . neighbourhood hotel also pleasant lot restaurant , supermarket , cafe , convenient store , shop small market street behind . Chinese & quot ; take - away & quot ; restaurant locate corner offer variety delicious chinese dish indian restaurant . find KFC & quot ; Mark & amp ; Spencer & quot ; walk towards Fulham direction . West Brompton West Kensington tube station within 5 - 7 minute walk . actually 2 - 3 bus run West Kensington station hotel . ( notice third day stay ) . walk station difficult morning . fast convenient we explore everywhere morning start hotel . the complaint rent car get scratch night park along free parking space alongside hotel . ( however , road parking London safe . see car get purposely damage along roadside morning . selfish irresponsible Londoners ! ! ! ) .I definitely stay hotel back London . 
 Jul 3 2006 	 great place stay ... 	 stay june/2006 would say great hotel good price thing would say area around hotel leave little desire feel safe people come back alley drunk ove get great place great staff ... 
 Jun 6 2006 	 Love Holiday Inn Express 	 stay hotel 6 night . family four . us hotel . excellent location , good breakfast courteous staff . 5 10 minute walk west brompton west kensington tube station ; Buses 28 74 stop close hotel . buy Oyster card travel within London , end alight front hotel . I would recommend hotel anyoone . know stay visit London ! ! ! ! 
 Jun 2 2006 	 good value hotel 	 stay hotel April , good value family four breakfast include , kid stay eat free .. .the room modern clean .. location good , 5 minute walk distance West Kensington underground station , plenty place eat around place , also cheap internet cafe next door tell day seem like quiet area ... find good base explore London without price tag compare hotels centre ... staff also friendly helpful . overall enjoy stay ... tip , first day , take tube get hotel not mislead hotel title & quot ; earls court & quot ; get Earls court ... 's far tube station ... need get West Kensington .. 
 Apr 22 2006 	 take book subway 	 stay Holiday Inn Express Earl 's Court mid November 2005 4 day , happy hotel . actually brand new , rennovated , show . room medium sized well arrange , everything work , unlike budget London hotel . get good bargain via hotel chain site book advance cancellation . overall , would happily recommend hotel per se , weigh location price . from hotel easily take 30 minute get heart London ( Picadilly Circus , say ) , need walk take bus close tube station ( either South Kensington West Brompton ) probably need change line travel 10 station . plan sightseeing well , take long time get hotel . Tube tip : change District line another one soon possible ; allow plenty time tube Heathrow , make lot stop get Earl 's Court seem always delay somewhere ( 10 - 15 minute delay 4 4 trip ! ) .Another minor quibble : hotel charge GBP ( naturally ) , pay credit card rate convert EUR ( currency ) charge ( small ) commission ! never encounter lame practice elsewhere UK , indeed , anywhere else world . 
 Apr 14 2006 	 good value 	 stay 2005 .. write review 2006 ... good hotel , price . room renovate , clean . dining room nice modern . hope renovate main entrance . location ? excellent . airport ( buy pass ) , subway ( train , exchange ) take 30 minute less get Earls Court . would take taxi . need . elevator use place , airport subway problem luggage . Earls Court subway station , use elevator , go 2 minute hotel . get , 1st right 1st street ( grocery store corner ) right . Earls Court subway station ... easy get everywhere . morning … pastry , juice , milk , coffee , butter jam . would recommend . 
 Apr 6 2006 	 Excellent value money 	 arrive hotel 9.30am although unable check , able park car secure car park next door hotel . walk king Road Sloane Square shopping area ( good place food include Bluebird - Conran restaurant ) . go west end evening tube ( West Kensington station 5 min walk ) return around 11 pm , feel secure safe . hotel room clean , hotel good overall feeling . Tea / Coffee tray complimentary toiletry room toothpaste ask ( forget ) . early start Heathrow 0730 ( 20 minute drive away ) . although breakfast start 7 am staff happy us juice cereal 0645 , would additional pastry etc .. delivery yet arrive . excellent hotel great value money - pay £ 50.96 double room breakfast additioanl £ 12 parking cheap London standard . would stay . 
 Mar 19 2006 	 Modern Clean Helpful 	 recently spend 9 night Earls Court Holiday Inn Express , thoroughly enjoy stay . hotel new , clean staff without exception , accomodate helpful . room small north american standard , efficient , cleverly functional . decent continental breakfast include regularly restock . quality tv useful interactive hotel convenience menu . little street noise night , nothing disruptive . hotel front North End Road , interesting ethnic market area shop , street stall restaurant . always feel safe street , late night . would hesitate return . 
 Feb 16 2006 	 modern smart small room suprisingly noisy 
 Jan 25 2006 	 extremely Clean Quiet 
 Jan 9 2006 	 nice modern night stop 
 Dec 13 2005 	 great place stay family 
 Sep 27 2005 	 Excellent Hotel 
 Aug 29 2005 	 nice 
 Jul 20 2005 	 Great Value 
 Jul 17 2005 	 new clean modern 
 Jul 10 2005 	 highly Recommend HIExpress - Earl 's Court 
 Jun 14 2005 	 Excellent Value Hotel 
 Nov 5 2009 	 éviter .... 
 Aug 30 2009 	 ottimo albergobuon rapporto qualità prezzo 
 Aug 14 2009 	 recommander 
 Jun 4 2009 	 Excellent rapport qualité / prix à Londres 
 May 18 2009 	 Très bien 
 Apr 19 2009 	 impeccable 
 Mar 26 2009 	 da provare 
 Mar 17 2009 	 es : camere decenti ottimo personale ci ritorneremo 
 Feb 22 2009 	 Chambre familiale petit déjeuner inclus ! 
 Jan 23 2009 	 Un piacevole soggiorno all'insegna del risparmio 
 Jan 3 2009 	 Buena relación Calidad - Precio 
 Aug 31 2008 	 Ottimo Hotel 
 Jul 29 2008 	 30 minuti di metro dal centro 
 Feb 13 2008 	 Fantastico Hotel 
 Feb 9 2008 	 Sehr zum Empfehlen ! 
 Oct 1 2007 	 Todo bien 
 Sep 22 2006 	 Una buena elección 
