leave 	 wife leave , find hotel stay renact movie & quot ; leave Las Vegas & quot ; . use one favorite place downtown , 4 year since last go downhill . seem like owner contemplate sellie land tear , strip alot unique feature place away . notice thing 's sister property , Plaza . room dirt cheap , cheap downtown . stay downtown property ( freemont street ) year , bad . room date dirty . back area casino convert makeshift R & amp ; B Club . sport book anymore semi - famous restaraunt second floor . asian theme restaurant coffee bar , be . well choice fremont street . Fremont street , free entertainment offer stay well see . 
 Dec 27 2005 	 Bright Star 	 recently spend 4 night LV Club ; refurbish room nice , price right casino excellent . problem encounter attitude employee work casino ; one smile least friendly seem know care anything customer service . one & quot ; Bright Star & quot ; visit LaWanda work Seventh Inning Scoop stop morning quick latte muffin , evening ice cream cone . excellent worker , friendly sweet . person find casino seem customer - orient . go , stop , get one delicious sugar - free ice cream cone say hi LaWanda , ' m sure agree . 
 Dec 1 2005 	 STILL Diamond Rough .... 	 Thanksgiving , 2002 , stay 1st time Vegas Club . review state mildly surprised . also state ask put list would come again . in June , 2004 , keep promise , bring Wife Daughter spend 10 day Vegas Club . the room , , excellent , A / c cold , water hot , tv clear , bed .... well , read review 2004.now . year , 2005 ! bring wife daughter back , time 11 day stay . everything ! ! ! simple fact : VEGAS Club diamond ROUGH ! ! ! club , true , old establishment . not let decisive thing choice home away home . every thing , every one , every day like home- cooking , drink , service , attitude quality play table ( spend 33 hour playing ) .The Vegas Club everything gambler need far fair game . 21 , Pai Gow , Dice good Vegas , Blackjack Vegas Club top casino game Las Vegas . double deck game , almost entire deal fo deck , make Vegas Club PLACE play fair odd table . as food : average . drink : average . as service : average . if miss chance stay hotel price low many think something Wrong Hotel , LOSE ! ! get well room , large room , colder room Summer , well serviced room casino Las Vegas .. , spend $ 150 night strip , spend 25 % excellent , well rounded stop VEGAS Club . choice . and , not forget Downtown Las Vegas , stay Vegas Club , put walking distance : binion , Union Plaza , Fremont , Main Street Station , California , Fitzeralds , Golden Nugget , Four Queens , Golden Gate , Lady Luck casino . one good well strip casino . all , shopping sight Downtown Vegas , excellent price Excellent stay LAS VEGAS CLUB .... can not go wrong . period . paragraph . Tuffy SamsGarland , Texas 
 Nov 18 2005 	 O.K . 	 book stay Thursday night Monday . book American Airlines call hotel week arrival make sure everything place be . I resevere room north tower , non - smoking , 2 queen bed rollaway . however reach hotel Thursday night girl could find reservation ... stand 30 minute finally girl tell would give & quot ; upgrade & quot ; MVP room suppose mini suite problem king 2 queen roll away available next day would move we double roll away . 2 good buddy say least pretty upset . fly back east pretty tired time get Vegas 10:30 night choise except take offer since already pay . put 2 we king bed one pull sofa ... much sleep night say least . really not get much sleep Vegas anyway . next day well room . room pretty much expect ... stain carpet , wear bed spread , seem fairly clean large . tv small ... big deal , Vegas watch tv . bathroom clean sink seperate tub toliet nice , give plenty room 3 people move around get ready . I eat LVClub can not comment food . MVP upgrade room refridge , Coffee pot , Iron & amp ; board & amp ; hair dryer . understand difference MVP room verses regular room . this first time stay downtown , will back strip next time . downtown seem kind deserted even though weekend , small crowd ever see downtown come Vegas 5 year . Believe see 5 time bum strip year DT . rent car airport could drive around . parking garage LVClub safe easy access far room . room quite , probably loud guy floor . housekeeping bother we hang & quot ; disturb & quot ; sign finally crash every night / morning / day whenever could not stand upright anymore . cleaner must keep eye clean every day never see . great time , do not expect anything 2 star hotel fine . 
 Nov 11 2005 	 convenient 	 stay two week . read previous review apprehensive write hotel ask refurbish room give large quiet room north tower.bed comfortable room clean .Large range toiletry replenish daily . casino front onto Fremont streetlight airy plenty 1cent machine waitress attentive quick . Handy Main St , Fremont andGolden Nugget buffet . would stay . 
 Oct 4 2005 	 wear Torn north tower remodel room bargin ! 	 spend two night Sept. 28 -30.We stay remodel north tower . the room clean totally remodel fixture , toliet tub & amp ; tile bathroom . the cartpet moderatly soil , offenselvy ( light beige ) . casino wear yes smokey ( warn TA ) . like old downtown Reno hotel casino . however , fabulous location . we fun downtown ever Vegas ! ! ! crazy ! ! ! outfits , crazy little club ( not miss La Bayou , $ 400 ) loose slot , kiosk fun thing buy , light show fabulous , find crowd like next door neighbor . fun time all . we see one transient way home . feel safe . eat Upper Deck resturant lvc.prime Rib Dinner serve day $ 7.99 . great , fancy good . Main Street Station , fabulous Buffet ! ! use coupon & quot ; American Casino Guide & quot ; purchase internet , get room $ 59 two night . would stay ? probably , would like try Plaza ( afraid mixed reveiw TA ) casino great ... might ask see remodeled room first book . the Golden Nugget beautiful . notice book hotel sight throw & quot ; Gordie Brown & quot ; show incentive , make $ 55- $ 60 rate bad buy . LVC great money location . well come Vegas promise least one evening downtown Fremont Street , whole lot fun ! ! ! ! ! ! ! 
 Sep 28 2005 	 issue Front Desk 	 get late Friday night not right room two double bed . provide rollaway move we appropriate room Saturday try charge use $ 30.00 roll away leave Monday . room ok will not stay . love downtown Vegas much well strip . probably stay Nuggett Binions next time . 
 Aug 22 2005 	 bad 	 fairly inexpensive hotel , find deal $ 49.00 Sat . night . great location Fremont , room clean , although room slightly unpleasant smell , even though non - smoking . stay South Tower , hear north little nicer . lot good , free , entertainment Fremont . 
 Aug 4 2005 	 staying ! 	 husband along 3 couple stay Vegas Club please everything ! service outstanding people helpful friendly ! go Vegas 15 year planning stay hotel , stay strip Casinos downtown one one we , fancy friendly ! ! fact return Sept. stay . 
 Jul 25 2005 	 grwat time 	 girlfriend stay Vegas Club think would 4 day . end stay day long problem extend stay north tower . Freddie Maatouk gracious let stay day long . service friendly . housekeeper great job keeping room supply everything need . dinner Ouiet Moments room wonderful , atmosphere , food service ! entire staff Vegas Club make we feel welcome . security guard make we feel safe Casino gambling late hour . call home Vegas place choice every time visit Vegas . thank Freddie ! ! NicoleKalamazoo , Michigan 
 May 30 2005 	 bad price 	 stay cheap hotel strip previous trip room old . time stay downtown , north tower Las Vegas Club Casino . room comfortable , soap dispenser tell bar soap , shampoo . clean lady floor day fresh towel need anything , include iron board bring room . quick floor bring drink , play penny nickel machine , go across street La Bayou ! everything great light show every night bus pass strip $ 5 per day . 
 Apr 30 2005 	 ok stay ... zero frill 	 can not expect much $ 39 night weekday , room South Tower relatively clean . even though wall carpet need attention , sheet towel clean . not expect much pay 3 night stay . 2 , $ 160.00 ... enough hot shower sleep . hotel provide sample shampoo hand lotion . eat across street Main Street , Calif. hotel ... buffet great hotel . casino Las Vegas Club not make winner staff check - in pleasant accommodate accidently locked suitcase not correct key open . immediate attention maintenance much appreciate . would stay , anything , price cheap , yes cheap . oh ... book reservation way advance & quot ; North Tower & quot ; , specifically call long distance Hawaii book ; tell check - in upon arrival North Tower could request guarantee , disappointing since charge deposit credit card hold reservation . think , may may return hotel future ! like say , not expect much rate charge . housekeeping bring hair dryer request charge . 
 Apr 30 2005 	 Las Vegas Club fine gambler snob ... 	 stay one South Tower room two night mid - April LVC . room stay good water pressure , hot water , clean bedding , enough space walk around . carpet could use replace ; although obviously clean , unmistakeable stain * age * evident . bathroom small , talk room toilet tub ; sink / mirror area outside , plenty counter space set neccesitie . least room stay , sink area semi - private rest room thank partial wall . bed first look like lose cause , low ground . must say , however , bed comfortable ever sleep , much surprise . gaming , LVC famous low limit good blackjack . well , almost : table sign & quot ; world 's liberal blackjack game & quot ; sucker . blackjack pay 6:5 player , drastically raise house edge . stick regular single deck game , usually offer evening . incidentally , casino bit maze . even stay two day , find walk opposite ' ve . final analysis , LVC fair place stay not picky , clean freaks place stay downtown Golden Nugget . 
 Apr 26 2005 	 bad Motel 6 	 not stay hotel ! ! ! stay hotel base recommendation - consensus seem Golden Nugget place stay downtown . I book room 5 night $ 50 night - say get pay , not even worth $ 50 ! arrive ( 4 suitcase ) bellhop help luggage . check slow never tell room . get room cigarette burn floor , sheet hole could feel every spring mattress . room across ice machine elevator could hear & quot ; clump clump clump & quot ; ice go bucket . ask get room well mattress - new room slightly well bed . room good size provide alarm clock , hairdryer , coffee pot - thing pretty standard hotel room . tv small , remote not work , internet access room . decor outdate , bedspread look like not wash . sheet fit every time get bed pull . bathtub not drain properly take shower end ankle deep water . couch huge disgusting white stain - idea . would stay ( despite price ) . travel time business - usually stay Holiday Inns similar - not expect luxury - expect hotel least & quot ; nice & quot ; Motel 6 . extremely disappointed hotel . 
 Apr 24 2005 	 clean quiet room price can not beat 	 fourth trip Las Vegas past four year , first time stay Fremont Street . pick Las Vegas club great price fact Fremont experience . the room clean comfortable quiet . not view unless count parking garage view . shower pressure hot water could dreamed . room service employee courteous . check - in post desk 3 pm . show 2 pm , problem , check we happily . the casino not attractive place . clientele appear mostly local . wife prefer gambling Nugget , 4 Queens , Fremont Hotel . that s good part Fremont Street hotel . walk nearby casino matter minute . try walk another casino be MGM Grand will understand . also , every night street party light . we not eat restaurant Las Vegas Club can not comment . restaurant price reasonable place downtown , imagine here . all , get got look .... cheap place stay experience hang around downtown . , going always stay downtown , perhaps try another hotel . 
 Mar 29 2005 	 will back ! 	 1st visit Vegas must admit first , disappointed stay one mega resort Strip . , stay Las Vegas Club , happy . LVC well worth price . room North Tower spacious , clean , comfortable fantastic rate . food Upper Deck Restaurant ( 2nd level ) gourmet , plentiful , satisfying , inexpensive . site steakhouse ( sorry , forgot name ) excellent . dealer table helpful tell first time . liked & quot ; smallness & quot ; LVC . although go Strip see light catch show ( see Mamma Mia ! ) , much enjoy spend bulk time money LVC . friend & amp ; planning & quot ; girl & quot ; trip Vegas October already decide stay LVC . 
 Feb 3 2005 	 good bad ugly 	 back stay Las Vegas Club , clear contrast bad good comment place correct . I check SOUTH TOWER really not care roomwa second bad ' ve ever see Vegas ( stardust back motel bad - stardust tower room great ) . anyways rug truly filthy expect trip advisor review . bathroom small obsolescence . window unit heater would emit heat freeze arse . -- ask pay 10 dollar check NORTH TOWER . pleasant contrast . room central heat / air work . room big far downtown clean . good room value I ve see downtown would stay even wife . eat Gourmet room go back two night unexpectedly excellent . good house salad town . this place classic downtown need overhaul like Binions . south tower horrible ; north tower great downtown - Casino rundown good gamble . take wife , Golden Nugget place striplike class . alone North Tower top choice . I ve also stay downtown . Golden Gate , Plaza , Lady Luck , Binions favorite 4 Queens . 
 Jan 16 2005 	 would rather sleep street 	 stay last december usually stay strip girlfriend parent pay trip would lot fun go gambling boat missouri . hotel horrible carpet dirty 3 homeless people ask money gambling inside casino . slot machine tight lose 900 $ 2 hour play 2 max 1 $ machine . food good . expect good view room window upon arrival open curtain see grass train track right outside window . never stay never stay dowtone ruin whole vegas experience 
 Jan 15 2005 	 check credit card statement - charge extra night 	 's definitely budget hotel , expect . price , acceptable . barely see window be dirty . suprise find charge credit card bill upfront 1 - night 's stay day make reservation ( one tell we . ) make several phone call leave message , get return call , finally get , say standard policy . fine . however , check , charge we full stay , although already pay first night . also , web site show coffee maker room , ( huge ) however unfortunately true . direct we Walgreens street suggest buy one - can not even borrow one hotel . also , check , sign 3 different page , rush sign everything barely read , not give one word explanation signing . apparently one form say agree use room safe willing pay . big deal - $ 1 / night , guess give frustration , one thing make look little slimey . 
 Jan 4 2005 	 Super Value Downtown - Baby ! ! 	 although rate 4 - Star , hotel super value . book almost eight month advance get room $ 27 / night ! ' ve go Vegas 5 year far big room yet . stay South Tower room clean , comfortable bed - get ( first we Vegas ) hot shower ! luke - warm water drain run fine ( slow like other report ) . breakfast special DugOut Restaurant ( 11p.m.-6a.m . ) FABULOUS ! - yum ! plenty thing - decent table machine , short walk great movie theater ( not gamble ) , plenty laugh people - watching . must say , everyone hotel treat we terrific courteous gracious . ' ll back ! thank great time , LVC ! Word caution - not mind hear Fremont show hour hour ( 6 - midnight ) , - 's great way mark hour ! - bring set ear plug . room soundproof - window . small price pay VEGAS BABY ! 
 Nov 2 2004 	 stay dare 	 room South Tower ..... later refer South Siiidee . floor stain dirty . bed hard . pillow tiny . shower not drain . toilet run intermittently througout night . alarm clock . 's good thing not Vegas sleep . Nuff say . 
 Oct 15 2004 	 complaint 	 sister usually go Vegas 3 4 time year . stay several hotel dowtown area must say LVC second Golden Nugget . try hotel first time September year impress room North Tower . room nice clean weekend rate great ( $ 64.00 ) . another plus easy access parking garage hotel .... safe . like one downtown area . go back December ! ! ! 
 Oct 13 2004 	 Love Las Vegas Club 	 husband love Las Vegas Club . fact head next week w/ 4 couple . as far room , nothing wrong w / they . go gamble sleep . stay strip gamble many casino 's not compare Vegas Club . dealer friendly , pit boss excellent , food great . strip , dealer rude , friendly . not make feel home relaxed . so Las Vegas Club keep good job see next week . 
 Oct 5 2004 	 Great Value ! 	 friend book room Las Vegas Club hotel . get two queen bed , smoking room $ 119.00 night . stay Friday Saturday night . good hotel town area , want glitz glamour strip ..... stay , stay important , hotel you . we ' arrive around 3:00 morning Saturday , check fast , Cyndi ( nice , beautiful eye ) upgrade we North tower , even put we 14th floor . room spacious nice view Freemont Experience , also nice view roof top part casino hotel , skyline people watching make that . the complaint room despite disturb sign housekeeping go far open door come clean day . tub would drain properly , pretty gross . besides service EXCELLENT ! call see concierge service ( ' ) front desk put touch Freddie bell boy helpful , look particular type restaurant go far bring flyer room , ' even want accept tip . check fast friendly . tell front desk use safe , charge . checking , patron bring wallet cell phone find , girl front desk go far check see guest hotel turning lose find . all great stay , value , location would definitely stay Las Vegas club . 
 Sep 28 2004 	 highly recommend Las Vegas Club 	 highly recommend Las Vegas club everyone . first trip Vegas outstanding time . give credit Vegas club staff member managment . thank memorable trip . 
 Sep 14 2004 	 love room hotel ! ! ! 	 husband stay August 11 August 14 , 2004 . happy room nice , clean spacious . staff friendly . great change . also loosi $ 1 slot . 
 Sep 8 2004 	 good stay special case though . 	 visit Vegas least twice year , 2nd time . know pretty much expect , LV Club stay perhaps walk around Old LV , nothing much else . spend time ( 95 % ) strip . see Mamma Mia , btw great show . special case get upgrade Suite reservation find . bring along printout reservation though online agency give upgrade completely book . popular place , take . however , speak regular room . I would definely give LV Club another visit time arrise . 
 Aug 26 2004 	 good joint 	 great deal . clean room good service . cool place stay downtown . thank you . the casino smell like stale cigarette spill drink . very Freemont St. it be O.K.GOOD people.will stay again . regard's . Chris . Tom Waits would stay . 
 Aug 4 2004 	 warm comfortable 	 husband & amp ; stay Vegas Club least 6 time per year . grand place stay . say people say 's dark smoke fill must smoke brain . nicely light casino air always smell fresh . year never find friendly gracious personel . true soap though beg shampoo occationally . ask housekeeper anything respond immediately . not & quot ; know us & quot ; be way since first stay 5 year ago . far room go , 's old hotel ! ! ! ! go issue . Upper Deck restaurant pretty good 's true slow that s opinion not keep enough staff handle crowd . run leg still stay nice courtious . overall nice place stay . hope Barrick take will not screw try compete casino strip . be always nice homey place meet friend nice relaxed comfortable stay . 
 Jul 29 2004 	 Winners Club 	 though decent , well run hotel . 's four star , not dump , either . 's good budget range hotel locate right begin Freemont Street Experience . room ( South Tower ) spacious well maintain . bed little hard , however . elevator lobby area first floor look little rough , overall , think staff try keep thing , find friendly & quot ; scale & quot ; establishment . be look romm Jacuzzi Plasma tv , keep go ; want value cost , good choice . way , two plus : wi - fi hot spot Dugout ( think 's ) , excellent quality , inexpensive resturant ( Upper Deck ) . also try Main Street Station Buffett across street . highly rate . 
 Jul 19 2004 	 never stay ! 	 far filthy place stay life . carpet stain dirty not want take shoe . would not late arrive , would leave . never stay ! 
 Jul 14 2004 	 love Las Vegas Club Hotel 	 stay Las Vegas Club 10 day .. treat nice . play keno machine quite time . room clean , food delicious everyone work wonderful friendly .. highly recommend stay . price right meal .. especially breakfast special 10:30 P.M. Prime rib daily .. Hope try Las Vegas Club .. 
 Jul 14 2004 	 Double wide room Single wide price 	 rate bottom season $ 15 , know look . price , get amazing room . be huge , comfortable , relatively clean . 's new joint around , live ( little card say & quot ; please call housekeeping require bar soap room & quot ; ) be great value . the casino downstairs offer fabulous freak watching , coloful character galore . good time go hour 1am 6am . food put Sizzler shame , staff nametag vintage Vegas , name like Trudy , Marge , Burt . 's classic Camp pittance . 
 Jul 14 2004 	 maybe not stay south tower 	 Las Vegas time reservation stay Las Vegas club 8th 9th . arrive shortly midnight . checkin staff informative lose reservation . room locate south tower . accidently take elevator tower first . elevator nice even hallway . realize wrong side . direct south tower elevator . room sixth floor . room 1978 decor not feel safe . window wide open bathroom not look clean . bed almost sit directly floor come shin . sit bed sit floor uncomfortable mattress . would not even give room 1star rating . leave stay Westward Ho , think well room great location boot . 
 Jun 27 2004 	 's fun place 	 Las Vegas Club place stay Las Vegas far concerned . stay dozen time last 2 year . enjoy glamour strip offer , cab ride away love atmosphere Fremont St . light show amazing . Las Vegas Club clean room , good food importantly great customer service . always treat great everyone bell hop director slot . old hotel not glitz like room strip also not price tag . find win machine anywhere else dealer helpful playing table . great place stay ! ! ! ! ! 
 Jun 18 2004 	 problem 	 town business hear Las Vegas Club via Las Vegas Tourist agency line . price great kingsize bed North Tower ( review read suggest stay North Tower ) since frugal type guy decide stay . complaint stay , read someone complain smell , bad smell experience cigarette smoke normal casino Las Vegas not smoker ( smoker ) cigarette smoke terrible . would stay family kid , , town would stay . Upper Deck Restaurant great Prime Rib , baby Back Ribs Wednesday night good . front desk agent pretty along waitresses floor personnel . recommend Las Vegas Club travel , family . 
 May 11 2004 	 like home 	 come Las Vegas last 4 year stay exclusive hotel strip . Las Vegas Club favorite , far . place stay . walk lobby , feel home . staff casino crew always make feel welcome strive good meeting need . 
 May 8 2004 	 love club ! ! ! ! ! ! ! ! ! 	 April year group 8 woman stay Las Vegas Club 8 night . treat exceptionaly well . staff ( chamber maid , waitress , hostess , dining room ) wonderful . director slot operation , Freddie Maatouk helpful make we feel welcome treat we great respect . 24 hour restaurant thank Mark Bucher , director food beverage , serve we great food . room clean . linen blanket clean well keep . give whatever ask i.e . hair dryer , soap , shampoo , clean towel etc . homey atmosphere feel comfortable safe . matter fact , tour strip anxious get back Las Vegas Club begin call home . agree trip make Las Vegas would definately stay Las Vegas Club ! thank Freddie Maatouk , Mark Bucher , entire staff make trip enjoyable . 
 Apr 20 2004 	 Loved ! ! 	 stay Las Vegas Club charter group one week love ! ! entire staff exceptionally friendly courteous , Upper Deck offer great food unbelievable price , hotel room clean comfortable ( exception slow drain bathtub 8th floor South Tower , small inconvenience compare pleasant stay ) , atmosphere always welcome ! would definitely elect stay future charter group trip ! ! memorable experience say least ! ! 
 Apr 5 2004 	 Vegas Club 	 expect , bad , Plush adequate . room North Tower large clean . Burns carpet . sheet chang ed daily 5 day . towel plentiful large . bar soap provide request . quiet . view except ajone tower wall . casion rug dirty clean strip . enjoy location downtown much walk strip . plenty cheap food nearby fair show . 
 Mar 26 2004 	 slow cookin ' 	 Sookie 's haw'n something ... need help season food . Upper Deck ... slow .. meat overcooked . yes , take good 2 hrs . get . , employee great , friendly , smile , etc . think kitchen keep increase amount patron . need large kitchen cook . , Barrick Corp .... give big kitchen ! ! ! ! 
 Mar 23 2004 	 fun 	 good time problem . mis- comunication travel agency Las Vegas Club we stay two day instead four pay . call travel agency three time leave home sure okay assure everything take care . room leave something desire large spot carpet , otherwise thing satisfactory . can not expect much low cost paying . everyone extremly helpfull . ' m sure would business Travelworm . 
 Mar 13 2004 	 love ... price Great . make feel welcome . stay LVC least 3 week year . 	 great . reasonably price . staff friendly . breakfast special great . across street one good buffet Vegas - Main Street Station . room clean . stay LVC 4 time year . 
 Mar 11 2004 	 great place stay . 	 stay Las Vegas Club 2 time year . budget minded hotel great . room large clean , food good also give we great service . play slot till 4 feel secure . Mirage , money well place stay Las Vegas . 
 Mar 5 2004 	 pretty bad ... 	 get pretty good rate LV Club hotel hotel pricey book : know . frequent Las Vegas traveler , Las Vegas Club hotel bad hotel stay . 's smokey dark , room joke : be old , stained chair / carpet , iron , hairdryer anything extra . bed rock . could hear everything outside . not even bar soap . ask specifically . able small refrigerator bring , impressive . non - smoking room , stunk like smoke bad air circulation . could not wait get . 
 Feb 25 2004 	 bad . 	 first time stay Freemont area . since travel alone , pick Las Vegas Club base review price . stay old section fine . non smoking room huge clean get fantastic price . ( 29.00 night ) .I find staff hospitable would return . look luxury - look elsewhere , want clean safe room . perfect . 
 Feb 24 2004 	 never ! 	 first trip Vegas 20 year be excited . know book cheap package , cheap . good thing hotel able get non - smoking room request . fall , smoke smell come vent door . wife get rash sleeping bed 2 night . bathroom never drain , sink take long drain shower take hour every night fully drain . casino keep filthy ! evening hour either clean cigarette ash butt machine touch botton clear away cup beer bottle . find casino invite clean . slot machine wait long period come money cash . never , worth extra money stay somewhere else . not even get start resturant , waitress ' hair dangle food plate carry tray table ! yuck ....... 
 Feb 23 2004 	 oasis dessert 	 love Las Vegas Club stay approximately 5 separate time past 3 year , always room north tower , non smoking , describe view like staff always accomadate . go 80 year old mother , husband one time friend . always feel safe secure , small , easy get casino , hotel personnel friendly , seem lucky also , mother mind go room alone never scared would lose . food , never anything bad , hot dog stand eat facility . complaint drink service slow drink water juice . 
 Feb 18 2004 	 Ehh ? 	 first trip Vegas trip arrangement make , knowledge expect kinda open anything . know downtown cheap place stay not expect much , little disappointed overall . ' m non - smoker ( bad place ) find Las Vegas Club smokier much hard breath clear casino hotel visit travel . let overall , ' ve stay friendly , clean nice budget inn , likely will stay Las Vegas Club . seem dirty , old okay , dirty 
 Feb 11 2004 	 poor treatment table 	 go Vegas year Superbowl . like play blackjack table hit $ 25 min table club . one play table wife sit next . enjoy drink gamble lucky start win . pit boss came ask would like one player card , say thank continue play . incredible run $ 850 . time pit boss came tell wife could not sit not gambling . hour still one table . protest cash . treat great lose harrass win . that s fun ! ! 
 Jan 30 2004 	 man be get to eat 	 food absolutely sub - standard .. every meal overcook ! meal take average two hour - as facility limited service slow . blight otherwise wonderful experience Vegas Club ! 
 Jan 28 2004 	 favorite place stay ............ 	 go Vegas 36 year . stayed & quot ; well & quot ; hotel . money , service , proximity , friendliness overall feel safety , absolute favorite place stay play . room adequate special request always honor . check breeze . want retire evening husband want keep play always feel safe go back Las Vegas Club . , feel like home . 
 Jan 16 2004 	 get pay ... 	 want spend one night Jan ' 04 Vegas holiday downtown , Las Vegas Club cheap rate go . $ 25 room book Sunday night , base review reasonable expectation . when check around 5.30pm , tell king non - smoking room available - although have book - would take two queen instead ? first choice , okay , be flexible ... ask North Tower room , know nice South Tower one , alas , cheap rate apply South Tower . next disappointment finding would second floor - ie . level adjacent roof , view except roof . never feel quite safe someone walk window ... like say , be overly fussy not really want make wave . one night dirt cheap want get room . the room adequate . quite large , get bit ratty around edge . Marks carpet , bed scuff stained basis , chip table . old style bathroom scratchy towel . housekeeping do okay job cleaning , can not remove sign wear tear . none intend major complaint ... know hotel older , know South Tower room not nice , prepared scratch scrape . downtown interesting , understand people like , think be Strip people heart - have unlikely stay LVC . money , could another night Stratosphere , much new nice - friendly staff . 
 Dec 23 2003 	 wonderful 	 first trip back husband death , feel home vegas club ; always friendly sweet people , always room great ; always return future , thank vacation , need fran howard 
 Nov 30 2003 	 Great Room 	 spend 7 day Las Vegas Club find great experience ! usually stay Golden Nugget employer pay , trip pay way decide save money . check fast efficient counter person friendly ! North Tower room number 1125 . room huge , quiet comfortable ! room 1 King bed , sofa 2 chair coffee table , great desk laptop computer . room clean odor free . minor complaint bathroom quite small . easy walk room casino parking garage . defiantly stay . 
 Nov 6 2003 	 great place stay Vegas ! ! ! 	 book last minute trip Las Vegas celebrate friend 's birthday . well , initially tell could not make could not afford weekend rate hotel charge strip . , little bit internet research , find Las Vegas Club Hotel , locate right Fremont experience ! ! $ 27 Saturday night , $ 19 / night Sunday Monday ! could not believe ! one thing like place easy find way , like maze large hotel tend intentionally keep people leave . 
 Oct 17 2003 	 Unhappy 	 fantastic location want spend day two enjoy downtwn area . big problem key not work . guest issue . claim temporary problem fix second day . lobby casino area little dirty taste . sport book not enough comfortable chair . many BJ table could double splitting . dealer extremely friendly drink quick refreshing . good special quality sport theme restaurant second floor . stay North Tower room clean quite nice . plus handy casino . compe room , food drink play alot video poker blackjack ( $ 20 $ 30 / hand ) . crowd - quick elevator - effecient valet - cheap -- be like . think Plaza still favorite . 
 Sep 23 2003 	 great place great price ! 
 Aug 23 2003 	 neutral 
 Aug 18 2003 	 Wonderfull Room 
 Aug 16 2003 	 Unique 
 Aug 13 2003 	 nice stay 
 Aug 11 2003 	 Join Club 
 Mar 31 2003 	 wonderful ! 
 Feb 8 2003 	 main attraction 's 
 Jan 21 2003 	 worth every penny 
 Dec 28 2002 	 expect 
 Dec 28 2002 	 ? ? ? ? ? ? ? ? ? ? 
 Aug 12 2008 	 ? ? ? ? ? ? 
 Sep 18 2007 	 correct pour une nuit 
