ok 	 clean , comfortable . choose area O2 arena , although 7 minute walk Waterloo . sightseeing , good area . room comfortable , although wake Saturday morning 08:40 house cleaner see room ready clean ! ( bit early ) ! . check in / out fairly fast , although load people . breakfast good . major problem elevator . 3 whole hotel . luckily 3rd floor staircase , otherwise could 1/2 hour wait lift . staff professional . many London hotel , not like fact pay internet access . 
 Nov 26 2008 	 good - great ! 	 hotel near County Hall perfect place stay London -- especially arrive Waterloo ! 's vary much price . travelodge - travelodge . Marriott overprice without good deal , Park Plaza fit bill . especially family . we - 2 adult , teenager 6 year old - book 2 not stay executive ( ha ha ) room . check fine - staff friendly think Luke much praise review find rather full self importance without substance . stop smooze keep eye what s go ! room - fine . modern decor , thin wall , great family . executive package - joke unless ensure drink compliment alcohol make worthwhile . desperately understaffe badly manage unable cope amount guest pay upgrade . queue breakfast , enough seat . make exclusive remove altogether . give executive package bad name . the hotel unable honour item offer family package general staff come trump . friendly hard work deserve credit . return price right - day shop around 
 Nov 24 2008 	 avoid room near lift overlook atrium ! ! noise central ! ! 	 want love hotel . big fan Park Plaza hotel generally . price pay , comparable many 5 star hotel term service quality expect big thing stay especially swap reservation hold Riverbank Park Plaza road . I wish not ..... first good point . the room great , basically standard room 1 bedroom suite , seperate living area kitchenette , living room feel like could totally relax handy kitchenette heating quick snack . minor niggle minibar / refrigerator , leave hand side chargeable space right item although could fit well one large ready make meal , not expect big shop ! , weird consider provide cutlery roomnow bad point .. main problem sleep say rather lack sleep manage obtain one night stay becuase room lay . guess suspicion goldplus card holder silver status , decide completely ignore request room high floor , away lift , despite check 3 pm afternoon . as enter room , literally bed , well bedroom , much space bed door , rest room lead kitchenette living area . it mean basically bed sleep right door , right wall hear people walk past , lift run hour not great see main purpose hotel sleep ! Friday night full party guest , congregate atrium bar / restaurant , room , like sleep bar / restaurant environment full noise people laugh , cutlery clank etc .... till least 1.30 - 2am . morning time little well door slam noise emminate atrium hold breakfast . the hotel also seem quite full child family , extra noise child run around atrium area floor . so whilst room nice , would idea designer decide swap living bedroom area around guest actually sleep , not point hotel ? ? nice stay , ' m afraid ended damp squib . avoid book Riverbank road , Sherlock Holmes Baker Street . 
 Nov 23 2008 	 overnight stay 	 Personnel friendly , Kieran deserve special mention wonderful customer service , make sure everyone great breakfast . location excellent nothing far tube taxi . Doormen lovely helpful . downside room available 2.00 p.m. state check time . room spacious little thing room need attention find milk ! height thing small disabled people bathroom difficult hard reach . bar food fair notable little thing like clearing table cause issue . fabulous girl work hard bar staff chat customer always make sure customer need meet . bar area also suffer greatly draughty result partition gap close main entrance . breaksfast good great selection . would stay overall value money good . 
 Nov 16 2008 	 Great Hotel Great location 	 stay hotel one night great room view London Eye Big ben 12th floor great view . spend much time hotel service great room clean tidy . staff meet really polite . bar expensive London pub much cheap . bout 5 min London eye abot 10 min big ben foot . Waterloo station quick walk aswell . London check Absolut ice bar * Booking recomende * would stay hotel . 
 Nov 13 2008 	 Fab 	 Park Plaza stunning hotel absolute fantastic view ! rather shock London Eye right outside window ! hotel modern staff great - especially concierge one guy particular Mark Highley - Fantastic service - deserve big big wage raise .. ! ! ! 
 Nov 8 2008 	 Staff extremely helpful 	 book hotel website treat daughter soon 18yr . we go concert Royal Albert Hall evening also need hotel close Waterloo station . on arrival taxi Park Plaza meet 2 male staff help we taxi take daughter 's wheelchair baggage reception . check quick collect suitcase store room , staff member take we accessible room 13th floor . first thing notice extreme heat hotel room . it unbearable despite attempt adjust air conditioning make difference ! window triple glaze open ! definetly like . our room spacious bed comfortable . bathroom accesible like frosted glass door private . food cafe bar delicious , bit overprice though service quick . next morning breakfast deliver room wonderful cost £ 3 extra . check quick door staff quickly hail taxi cab we . loved hotel did'nt enjoy overheat would prefere option open window ! 
 Nov 4 2008 	 small niggle 	 stay 2 night book travel agent promotional rate , hence pay well hotel normally charge . first impression hotel beautifully decorate contemporary . room excellent , spacious offer lovely view London ( 11th floor ) someone mainly use stay budget type hotel like travel inn , definitely luxurious . extra like toiletry , slipper , dress gown coffee maker add bonus . cleanliness good . I take heed review previously go early breakfast 8 am Sunday . yes , busy , get table without queue plenty choice food , tasty . guess later could got quite hectic though . pressure lift also apparant , 2 lift whole hotel . averse walk 11 floor ! think wifi could free , £ 4.95 per day . free communal area room . main complaint would temperature hotel room . absolutely boil . sort person feel cold hate cold . much . hot feel ill . could not sleep properly . room knob mark cold warm . turn cold difference . group travel also feel , far hot . also , open window room . main problem . also , 8.15am Monday morning rudely awoken maid knock door want clean room , something definitely appreciate time day . friend also get wake this . there niggle check , initially record booking , key would not work 2nd day have check one night instead 2 . staff seem struggle speak English sometimes understand say . price drink bar outrageous , London suppose . overall , nice modern luxurious hotel small niggle spoilt bit . 
 Nov 2 2008 	 good base West End 	 let us get bad news way first . three hotel County Hall complex - one . be actually 200 yard south , busy traffic junction without view across Thames . consider name misleading . internet access room work properly , , incredibly , expect pay extra . hello , Park Plaza , 21st century call - planning join we time soon ? plus side , hotel clean , efficient , suite ( London standard ) spacious : separate sleep living area link short corridor . door bathroom bite odd , make translucent glass - definitely suite share family close friend ! coffee - make facility not include fresh milk , despite presence fridge . not ask every service involve extra charge - emerge check could fresh milk request free . good mark service , mark information . the breakfast expensive not . instead go bagel shop near County Hall , much cheap perfectly acceptable ( staff people happy spend time give useful advice tourist ) .reception helpful though concierge bit miserable . one thing save hotel & quot ; 3 & quot ; rating : day visit get automate email ask feedback . reply comment ' ve make , quickly get personal response manager say would look issue would raise . maybe maybe will not , mere fact take trouble respond put hotel one level average . 
 Oct 22 2008 	 excellent base see London 	 many hotel London wear , staff people care . fortunately Park Plaza different . quite new hotel room still fresh . London staff helpful . even pizza - make demonstration eight - year - old kitchen four o'clock Saturdays . it short walk Waterloo tube train station , good start sight - see - all - day ticket £ 5 tube child 12 free . London Eye hundred yard away . try get room overlook Eye Thames . we pay upgrade include drink executive suite also breakfast , although staff difficulty cope number . reception desk quite small could get bit chaotic many people check out . overall , good value money London consider pretty central . 
 Oct 20 2008 	 Great New Hotel 	 one night stopover we look hotel good location decent standard willing pay normal London rate . Park Plaza offer fantastic value . although right heart thing extremely well locate reach West End foot . tube pleasant 3min walk away pass Thames Houses Parliment en - route . the design quality hotel surpass expectation ; modern comfortable - maybe one step Radisson SAS . superior room spacious clean practical ( even small tea point sink ) . give amount people decende breakfast Sunday staff pleasant effecient get we table quickly ( note review get early want walk straight table ) . staff generally interested helpful . overall easy place stay offer good value . frequent traveller would thoroughly recommend hotel . 
 Oct 13 2008 	 fantastic hospitality 	 could visit hotel short trip next time stay least whole weekend . could not believe service & amp ; special treatment & amp ; husband receive hotel . celebrate special occasion & amp ; team staff hotel certainly make we feel like VIP 's . Luke Josef deserve special thank without experience would . professional , friendly & amp ; good we . make difference receive service smile . something hotel forget day . he greet we checking & amp ; show we ' upgrade room ' - junior suite , champayne wait we . amazing view ' Big Ben ' & amp ; London Eye . breathtaking . room service prompt , great food & amp ; staff friendly . kitchenette room fantanstic initiative . microwave , sink , coffee / tea make facility & amp ; crockery . bathroom class . fab power shower , lovely white towel , bathrobe & amp ; vanity requirement cater . tell & amp ; would person exaggerate could fault hotel . definitely return . 
 Oct 13 2008 	 Superb location lovely hotel minor niggle 	 enjoy stay hotel , despite niggle would definitely return , would recommend other . the good : location superb , round corner prove walkable Waterloo tube , eye , Coventt Garden , Theatre land , Trafalgar Square , St James Park , Westminster , Big Ben , Westminster Pier City Cruises . also Big Bus Original Tour bus route . the room clean functional , full sized bed , comfortable bathroom bath shower ( work tap ! ) . tv , fridge section drink , kettle supply coffee , tea sugar . party two room , microwave room not . breakfast vary good quality , continental include fish , cheese , cereal , pancake , toast , fruit , continental meat , pastry etc . plenty table 8 am , soon queue began lengthen early breakfast prefer . 9 am queue around 50 people , still similar length 9.30.the luggage storage service excellent , meaning could start holiday room ready , spend final morning without luggage . the bad : we mainly result sloppy staff , irritation rather real problem . arrive midday know room would ready 2 pm , allow check . return 3:30pm room still ready . instantly switch new room 13th floor , wrong room number write card . disturb another guest , trecke luggage back reception , finally tell correct room . at lunch large small glass wine come identical glass , similar level . waitress insist one large , not insist pour back measure concede large small . finally tea coffee supply come two 's , include caffeinate decaf coffee . well forget milk housekeeping replace caffeinate coffee . ask reception supply could replenished 4 caffeinate sachet . return room find big supply tea , 6 decaf sachet . ask could four sachet caffeinate coffee , final return room find tea 3 coffee sachet . big problem , totally unnecessary . there three lift 13 floor , get congest certain time . 13th floor would end stop every floor , friend 5th floor get frustrate wait much 10 minute lift arrive could get into . some concierge friendly , surly , none answer question beyond somewhere . 
 Oct 12 2008 	 fantastic time Park Plaza County Hall 	 take two small child ( 5 2 ) London first time stay hotel . live London kid know place , up down , well . we also season traveller . I could fault hotel . stay 12th floor magnificent view . child incredibly impressed able see Big Ben London Eye light room admit make we feel like tourist city think know well . the studio suite impeccably clean well - furnish . facility work comfortably resource - coffee maker , microwave etc . the air conditioning unit noisy quick call reception result turn centrally computer within minute . the breakfast amazing ( although staff perhaps overstretch peak time ) .The hotel five minute walk Waterloo two minute south bank London Eye . concierge helpful organised ticket we . what really impress us staff 's attitude child . boy excite noisy treat kindness good humour everyone management doorman . door staff particular make fuss every time leave return . lovely feel welcome child - common occurence int UK ! PS . find problem lift matter time day / night use themwould thoroughly recommend definitely return ! 
 Oct 12 2008 	 Glad go upgrade although nice overall ! 	 London 5 day partner Septmeber . expect clean comfortable room pay low end advertise price website not expect alot space view window . upon check - in start chat desk clerk new job week start talk travel aspiration , etc .... ask room ready hour ahead check - in time policy . ask stay jsut smile say yes even though never stay Park Plaza Hotels . tell would move room upgrade available . confirm complimentary upgrade say course . upon arrivel room 13th floor ( 14th Penthouse floor ) , opend door find small alcove large cabinet . leave kitchen walk around corner 30 foot floor ceiling window living room bedroom seperate wall entertainement unit . view mainly Victoria Station although could see St. Paul 's Cathedral , City London Canary Wharf . mianly clear blue sky sunlight quite shock 155 pound night two night 95 pound night last two night expect interior view view brick wall . the kitchen stock expresso maker , kettle , microwave , sink , dish untensil superb . complimentary expresso , cappuccino , hot chocolate , Scottish shortbread bottled water also convenient . bathroom marble glass shower seperate large bathtube hige sink area ample counterspace . garbage can way small although typical England hotel . I tell friend answer door , unpack quickly possible put disturb sign door fret call front desk state new desk clerk make mistake could not stay luck . woudl check one two large flat screen tv 's bill agree upon online . the hotel conveniently locate near Big Ben / Parliament London Eye . quick walk Embankment Victoria underground London foot . usually walk Eye cross pedestrain bridge near Charing Cross station enjoy view . would definately recommend hotel even without upgrade . 
 Oct 8 2008 	 close London Eye Thames River Cruise 	 hotel excellent two night stay London two child February half term holiday . large room kitchenette microwave , fridge kettle . child even tv sit area room . long window overlook Waterloo train station magnificent view across city . hotel open couple small issue - bulb miss lamp breakfast dining area extend conference area floor accommodate guest . great see performer walk along Thames close London Eye Houses Parliament . I would definitely stay , hotel room make perfect stay child certainly keep cost trip . 
 Oct 6 2008 	 Good Hotel 	 spend 4 night Park plaza last August happy choice . upon arrival ask reception could room view istantly upgrade ro nice suite 13th floor overlook Waterloo station . staff truly great ( especially concierge ) . like everything room service recommend hotel everyone . forget : location FANTASTIC ! 
 Oct 5 2008 	 excellent 	 Luke staff treat we like king . everyone extremely friendly hospitable . come back London know ' m stay . 
 Oct 1 2008 	 happy 	 Booked hotel proximity Royal Festival Hall easy transfer Waterloo train station . good experience hotel . check - in , room service , breakfast child 's pizza make activity , check - out concierge service , could recommend hotel highly . staff helpful attentive . room decor , furnishing standard cleanliness could better attention detail superb , even ' mini ' slipper provide child . suite look Waterloo , rather towards London Eye , excellent soundproof ensure inconvenience whatsoever . would certainly return . 
 Sep 26 2008 	 good concierge ! 	 stay Park Plaza County Hall 4 beautiful day Junior Suite celebrate engagement birthday ! everything perfect : suite , breakfast , well , hotel general ! good concierge ever meet ! name Gary really help we lot stay London , important thing always smile face friendly approach . be one reason definitely come back hotel time be visit London ! would also like thank Front Office Manager , Ms. Sarah Hoare upgrade we Junior Suite Executive Lounge . great lady ! Park Plaza County Hall definitely hotel recommend , great location ( Houses Parliament , Big Ben London Eye right behind corner ! ) also friendly approach ' always see ! someone say english people cold ? ? ? 
 Sep 21 2008 	 lovely hotel 	 stay hotel coach trip , first wedding anniversary , contact hotel ask much would bottle champagne room go . receive reply less straight away say give we complemetary upgrade junior suite bottle champagne . true word suite , bottle champer though half bottle red wine . could not fault hotel , other comment wait lift breakfast , not problem . think get breakfast early enough not problem . drink expensive bar . 
 Sep 14 2008 	 Nice Hotel 	 stay Park Plaza County Hall Sept. 1 - 4 . room small base upon US standard , however well keep bed comfortable . good thing extremely convenient location - 2 block London Eye , close Parliament / Big Ben , street Waterloo tube station . staff generally extremely helpful , particularly bell staff . everyone friendly feel comfort important . one less satisfactory experience wife sit bar get drink , take approximately 10 - 15 minute someone acknowledge we ( not busy ) . could & quot ; one & quot ; instance , however not leave good taste mouth . overall - would recommend hotel . size room not big factor around time anyway . 
 Sep 13 2008 	 Great Location 	 stay 2 night , 2 room . room suite , strangely walk bedroom , narrow galley kitchenette ( well appoint tea stuff , microwave service 2 people ) living room area sofa bed another plasma tv . modern decor , sleek line , Ikea like , ( blond wood , white , glass , padded headboard ) kid room across hall basic room , sure list website , basic room face atrium hotel . would avoid type room try get change hotel full could . ( willing pay . ) room decor fine , calibre suite literally like shoebox . absolutely tiny . travel Europe every summer last 10 year aware room small North America , ridiculous . room face Waterloo Station view 3rd floor . request Upper floor view book 2 room hope would get , young lady check pleasant . check excrutiatingly slow . bus load people wait . think become cruise line hotel many case tag various line . issue take cruise week later , consider number people hotel well train staff . we arrive 12 noon , room ready go stroll lunch receive room 3.30pm . young man hand we key much nice .rooms clean bathroom well appoint . find bed hard , firm people .Internet room awful . slow , keep disconnect take 4 call front desk tech send hour later try sort boot overcharge argue point checkout . many staff bar , restaurant housekeeping Eastern European , seem . certainly one encounter . pleasant communicate especially housekeep difficult . also housekeep floor leave cart narrow passage outside room entire 48 hour . fire hazard one squeeze time . despite ask move end shift would . cart stay across door 2 day . front desk help either resolve this . concierge : need great deal training supervision . one occasion sit reception , notice busy computer writing guest stand good minute even deign look acknowledge . location : fantastic . close Waterloo Westminster station , excellent connection . area lively night . price : 110 pound include breakfast . excellent value London . breakfast : good spread . staff polite sloppy slow service . busy 2 day many new , bit overwhelmed .Bar : lively night . service slow polite . I sure unlucky experience hotel , early day new hotel hopefully teethe problem resolve . also possible summer rate good occupancy high staff could cope . popular recommendation cruise site first hear , hope management get staff well train many pleasant equal number lack polish keep away despite awesome location good rate . 
 Sep 5 2008 	 Fantastic service 	 stay hotel one night August . book junior suite ideal us 2 small child . the view bedroom overlook London Eye central we want show child sight . we find hotel staff helpful approachable stay , however return home really need help dissappoint . my 7 year old daughter leave two special cuddly toy bed completely distraught realise left return . we contact hotel , speak Luke - Jozef Francois Senior Guest Relations Manager ask staff conduct search lose item . keep we regularly update progress search . unfortunately , find , daughter 's delight , parcel arrive yesterday replacement teddy . it lovely see smile back face cuddle bed last night . we thank hotel enough kind genorosity , gesture expect .. would certainly recommend hotel , due location cleanliness importantly excellent service . 
 Aug 30 2008 	 plusse minus 	 debate whether give hotel three four star review . three half , seem hotel average , would appropriate . Park Plaza County Hall new hotel wonderful location . able walk many attraction include Parliament , Buckingham Palace Theatre District . room clean suite , big plus we , since take teen aged daughter we nice separate space . look hotel suite , one consider . however , forewarned , mention review , double bed hard sofa bed like rock . akin sleep sleep bag floor . first day , room begin smell sewage ( avoid room end & quot ; 05 & quot ; . first complain , tell first allow housekeeping investigate source odor . however , 15 minute later , reception call tell person floor complain well problem obviously one involve line room . good thing room AC work adequately . switch room , give room AC barely noticeable . fortunately , heat wave London pass , tolerable . second room corner room actually small first . would recommend give room unpack request change need . the lift slow expect , staff responsive complaint . break item room . think cheape furnishing supply build hotel . all , bad experience , would probably stay elsewhere return London . 
 Aug 27 2008 	 great view great location lovely decor 	 family four , want place separate sleeping area kid separate room . contact London Discount hotel offer we great deal stay Studio Room Park Plaza County Hall . bedroom small kitchenette microwave , small fridge , sink coffee maker ( Nespresso ) kettle . sit room pull double bed . room tv , internet ( price ) bathroom gorgeous shower bath . read review ask room face London Eye , Big Ben Houses Parliament 12th floor stunning view . think face direction may disappointing . the problem though room separate , door bathroom opaque glass door nowhere go want read other sleep ... light light whole apartment . could easily walk across Westminster bridge , London Eye block away , Waterloo Station couple block away . also Big Bus tour stop around corner concierge helpful organizing sightseeing . fitness room sauna , steam room well . it sometimes hard get family hotel see London . all positive experience . 
 Aug 26 2008 	 great view convenient location 	 return overnight stay hotel . moment arrive moment leave , hotel meet expectation . view room great - london eye , big ben house parliment quite close . room spacious enough lot storage bathroom modern quite stylish . issue shower , however , phonecall reception result quick visit member fo staff fix within 5 minute . also need call reception towel , cup etc time , speedy service ( smile ) encounter . the breakfast good continental english breakfast offer . choice vegetarian breakfast may limited may help arrive early ( check availability ) .In term access central london , hotel close Waterloo underground station , however , afraid walking , great many local attraction access way . would certainly book hotel visit london - good value , great view , great service great location ! 
 Aug 25 2008 	 Great Hotel .. Great Staff 	 book Park Plaza prior take cruise Baltic Sea . stay three day treat well . wife feel great flight drive airport . staff go way get we room early see wife get rest care need . eat several time hotel food fine service care staff fantastic . coffee little strong taste staff always bring pot hot water could cup taste . little touch make want write review . room design around modern style . yet quiet comfortable . nice view construction go one direction big distraction . stay much high priced hotel London long vacation one third price much well value nearly comparable . the hotel easy walk London Eye give access great place downtown London . another wonderful time one great city world stay add tot pleasure . 
 Aug 24 2008 	 good location big disappointment 	 stay hotel 4 night go cruise Dover . although book hotel cruise line , lot people stay hotel also go cruise . hotel seem cater tour group problem . lobby area large bus people drop pick lobby fully people suitcase . especially create problem want use elevator . 3 small size elevator whole hotel . clearly enough service everyone especially peak time ( around 9 - 10:00 A.M. ) almost impossible get elevator lobby time day . normally walk stairs big deal except want check luggage . wait 30 minute get elevator want check . finally lucky enough find elevator go room us luggage end take ride could eventually go lobby . family member lucky actually walk 9th floor luggage 45 minute able get elevator . the air conditioning room extremely weak left room little air movement feel stuffy warm . mid 60 ' temperature outside much pleasant room constant 78 degree . air conditioner work room key slot would leave key slot time . even help cool room . complain twice front desk air conditioner . times write room number post note tell would send engineer come look . ' know anyone ever come room look temperature never change . front desk seem " ' care " attitude & amp ; customer service poor . a warning bathroom - bathtub big step get . create problem people limited mobility . shower door glass half length tub . like mirror little heating element section never fog . . major positive hotel location . 5 minute walk Waterloo Station connect several line allow easy access London . also walk across Westminster Bridge tube stop right Big Ben , Westminster Abbey Parliament . hotel close London Eye , London Aquarium Thames River cruise . several restaurant close well ATM . overall feel negative outweigh positive hotel would stay future trip London . 
 Aug 20 2008 	 Near Big Ben Parliament 	 stay first two night tour UK Ireland last night . room little small , good quality . push two twin bed together , do easily enough . Twin bed seem standard Europe . bathroom fine , not care style shower not shower curtain door contain water within shower . ' ve never understand . tub difficult get ; be really big step short person like , be disabled , forget . Breakfast include price hotel ; good , typical & quot ; English & quot ; breakfast , not different american breakfast . hotel 's location right bridge London Eye , museum , Big Ben , Parliament , Westminster Abbey . 's also conveniently locate close couple tube station . ' ve see review complain room temperature , not problem . also , be major construction go across street , not hear noise . , think great stay ! 
 Aug 17 2008 	 Great Location great Staff great amenity 	 make reservation back hotel open . keep eye review since . say quite impressed . first , say , & quot ; location , location , location . & quot ; location hotel AWESOME . 3 min . walk Waterloo Underground connect several line allow easy access London . literally across street London Eye , aquarium riverboat cruise access . across bridge Big Ben Westminster Abbey . could actually see Big Ben room ! second , room well appoint . hotel London accommodate 3 adult room , one could . large , plenty room , bathroom quite spacious bed comfortable ( even foldout couch comfortable ) bathroom modern . cool walking room main bed right , small hallway plenty lighting ( kitchenette left , bathroom right ) open living room foldout couch , desk area extra seating . third , staff accommodate . first night challenge temperature room . staff everything could accommodate we , manager personally go main temperature control lower , provide oscillate fan air conditioner not trick . next day offer move we , ask engineer look one last time . get back night , significantly cool . the hotel also executive package add 15 pound per person / per night , include breakfast , dinner drink free internet access , well worth cost . the one thing would recommend ask 13th floor possible . other comment , elevator quite small get rather crowded . time go executive lounge 2nd floor wait several elevator one come room . again , would strongly recommend hotel . get quite bit money . 
 Aug 15 2008 	 Nice hotel - Staff helpful well 	 really nice apartment hotel . get upgrade executive floor arrival really good . we take two room 8 we , 4 adult 4kids sufficient really good sofa bed .. normal ' spring poke back ' type one . view window unfortunately construction site across road , however side could see house Parliament . not matter much time anyway . the kitchenette really useful heating ( microwave ) milk 20month old even midnight snack .. London eye 2mins walk away , along duck tour area full restaurant thing see . small supermarket near need get essential . the lift slow hotel like people say , problem room top bottom floor suppose rule people . we would recommend anyone . however get quick new hotel price reasonable . similar thing River Park plaza open , price almost two half time since first go . 
 Aug 14 2008 	 US - like room weak A / c 	 get back 6 night wife teenage daughter could not please . studio suite ( $ 130 / night ) nice room ' ve stay US - sleek decor - two flat screen , lot wardrobe space / drawer beautiful bathroom . every inch relatively tight space nicely use . despite less - desirable south - of - the - Thames location - really nice location London excursion . 5 minute walk walk street Waterloo tube probably 7 - 10 lovely minute across Westminster Bridge tube stop . thought hotel sit - immediately visible restaurant / grocery amenity next , probably half dozen nearly new restaurant - Subway Starbucks Yo ! Sushi within 2 - 3 minute walk across street ( back side office building can not see hotel ) - well convenience store / small grocery ( w / ATM ) . go another 2 minute McDonald 's County Hall complex Thames river walk . probably 7 minute away hotel , along Thames South Bank Centre complex , past London Eye , another 8 - 10 great - look sitdown eatery type - include tasty Giraffe ( great family ) , latin asian place - favorite restaurant trip - Wagamama noodle bar . restaurant full professional theater / concert goer visit . great place . hotel overall beautiful unlike anything else ' ve see London . U.S.-like - not stay be look quaint old hotel UK character . internet access relatively cheap $ 4 hour ( buy card scratch - off code front desk ... not 1 hour card - give 4 hour card price ! ) despite comment other , real issue get elevator ( 3 ) despite spend 6 day . , descend nice stair ( great view outside ) 5 floor lobby due overcrowded elevator go . elevator use without issue . if truly want thick thing - shop , restaurant tube stop 1 minute away - pick Leicester Sqare Oxford Street , etc ... otherwise , pick place like Park Plaza - deceptively convenient amenity service nearby little detective work get there . only negative ... a / c system weak , weak , weak temperature adjustment knob imprecise knob kid 's toy ... temp marking - turn leave right ... much hot 70 F outside - week - might extra hot room - get temp . perceptible air movement - work room key slot - happily take slot leave room system use ( anyone would want try get headstart cool room return end day ) . whether Euro folk like A / c - cool system unacceptable reasonable standard ... - even terribly relaxed one ... also - sort - of negative - shower door pretty one - giant glass one , - without sort major metal support door guard ( go clean look ) - .. fear , week , 12 year old would make one false move - entire thing would break million little glass piece tap wrong not enter shower & quot ; & quot ; 
 Aug 13 2008 	 visione 	 first , ask room view . since check long flight ride hotel ( 14 hour ) exhaust . & quot ; view opening curtian see room side & quot ; , outside . exhausted go argue ( blonde girl desk ) room tiny , bathtub high inpossible get . one tiny bottle shampoo one conditioner two woman long hair . storage space . the internet - do work . lift slow side breakfast -ok . air conditioner great - so must fix ! actually cold ! pay nine pound one martini bar ! hand close Eye , Big Ben walk distnace almost attraction . go London , probably look another hotel . wow factor . 
 Aug 13 2008 	 Nice Hotel 	 stay hotel 3 night . cater tour group complete 12 day cruise Baltic 's , travel agent assign we . hotel busy hotel , nice buffet breakfast offer day ( include room ) . hotel great location , short walk London Eye & amp ; Big Ben . the bed bit hard , course , european shower ( half glass door ? ? ) shower , half water leave bathroom floor . our room 9th floor , twice , fire alarm go , one advise anyone go . strange . overall , nice place clean . 
 Aug 13 2008 	 stunning hotel view never forget . 	 stay hotel girlfriend birthday really worth . book executive suite please ! get hotel first thing notice funky look bar helpful staff . friendly willing anything make stay good possible . grade penthouse suite amazing view london . view never forget rest life . everything clean stylish , something young couple love . room bright huge window leave good taste city hotel london . look somewhere stay trust ... stay ! worth ! hotel somewhere would stay ! close everything need helpful staff someone could ask . 
 Aug 12 2008 	 Great Hotel 	 stay April nice hotel difinately stay . studio room view Waterloo train station . staff good especially long flight Australia . sofa bed promptly make upon request . free continental breakfast . consist Yoghurt , Cheese , Salmon , Cereal , Muffins , Juice , usual thing . nice room come back sightseeing freeze london get jetlag . studio room queen size bed separate bedroom area flat screen tv . middle area Bathroom one side , little Kitchenette side . bathroom good size clean , include separate shower bath . excellent shower . Kichenette include cup plate cutlery Microwave , Kettle . next room lounge room big flat screen tv sofa convert double bed . sleep sofa bed , comfortable . tv 's access internet view Hotel Bill . room Hotel clean . modern Hotel . overall good hotel enjoy stay recommend thoroughly other . 
 Aug 4 2008 	 nice stay great location 	 brilliantly locate pad city break . staff helpful upgrade us studio book room ready . guess 2 pm anyway staff deal ( potential ) situation quickly without fuss . we good view county hall top eye round good time . can not comment food not try - dining area certainly look pretty cool though . 
 Aug 3 2008 	 good family hotel central location 	 book family room ( 2 + 2 ) . room good size , divide bathroom . one double sofabe internet access ( chargeable ) flat screen tv . part double bed another flat screen tv . bathroom nice , bath lovely shower . continental breakfast include , upgrade £ 4 cook - which worthwhile . my criticism morning busy everyone try get breakfast lift busy . nienth floor we longtime get lift . however , well locate price would recommend definitely use . 
 Jul 30 2008 	 Fantastic 	 wow , beautiful hotel ! get room accomodate 3 , especially London , always easy . book Executive Suite dissapointe . able check - in early hassle give 13th floor city view . modern decor beautiful flower arrangment everywhere . room quite spacious double sofa bed & amp ; another double bed partition , kitchenette , bathroom . & amp ; 2 flat screen tv 's sky channel . also access executive lounge automatically invite drink & amp ; nibble 6 - 8 pm & amp ; breakfast serve till 10.30am . everything help & amp ; brilliant . staff nice helpful . 5 min Waterloo underground , 2 min London Eye & amp ; 15mins Trafalgar & amp ; Leicester Square area . would definately go back . 
 Jul 29 2008 	 June stay 	 stay property 3 night end June boarding cruise ship 13 day cruise British Isles . this property open February rebuild . lobby street level small lounge large restaurant . bartender evening young man 20ish seem like we Americans want serve we guest seated bar . outside table overhang outside seating . eat breakfast twice pricy staff communication barrier . conceriege busy eyeball feel like take precious time ask service . room QUIET eventhough 6th floor across major high rise construction . queen bed first room , galley kitchenette slide glass door bathroom across kitchenette , sit room desk pull sofabe . pool hot tub would make . 2 block Thames London Eye . 
 Jul 26 2008 	 excellent value awesome location 	 stay property one night head Dover cruise . staff excellent allow we check 7 allow we shower change clothe plane overnight . room quite large nice cool . lot Spa amenity like lotion , shampoo conditioner . mini - kitchen fully stock tea coffee though hot water pot break . view great . open curtain greet London Eye , Big Ben Parliment . WOW ! also less block 's walk river front eye . bonus ho - ho bus stop right around corner able grab first bus day maximize sight - see time . when return long day sight - seeing greet glass wine desk manager . go room order room service deliver less 15 minute . breakfast next morning include rate ok ... nothing exciting free ' m picky . all excellent value money ( 1/3 cost Marriott County Hall half block away ) would stay London . 
 Jul 21 2008 	 studio room feel like caravan four star hotel 	 look lot well actually , do not fool smart modern appearance . if family four stay somewhere else.we stay 3 night 2 studio bed make even several request -- point staff do not seem care . the air conditioning seem leave room stuffy bar freezing . the view room expect great since pay extra river aspect , roof waterloo station rubbish tip however leave lot desire . the sink bathroom smell like sewer , lift slow . first time park plaza -- - last . 
 Jul 8 2008 	 County Hall Poor Service Awful View - nice breakfast tho ! 	 ok start ? ! first , although hotel call Park Plaza County Hall , nowhere near river part County Hall complex ( that s Marriot ! ) . place actually call Park Plaza Waterloo . book river view room , actually check tell none available building work go road ( note : build complete really river view room ! ) . much arguing check show room 12th floor apparently river view . show room predictable issue , tap poorly fit , thing fall wall , etc river view , look really hard county hall house parliament could see trickle water ! ! go non river view room look waterloo station , pretty nasty honest , unless like watch noisy train & quot ; working & quot ; girl . staff hotel pretty mixed , helpful busy uninterested decent job . example : leave bag concierge , give receipt leave bag foyer walk outside talk colleague .. later ask manager would pay bag steal , lose word . save grace breakfast deliver room , really superb ! hotel pretty regular park plaza , decor high quality good ambiance , service poor name misleading ! ! ! 
