identity 	 wedding wedding bell chapel Alexis Park . afterwards go bar hotel drink 3 guest identity steal . one hotel pick phone call call back . place horrible watch bank statement people 
 great price 	 resort clean , room large , stay two night can not complain thing . room $ 100 / night new year eve , hard rock hotel across street great location strip . would definately recommend stay . great accommodation . 
 never stay 	 place old try put & quot ; makeup & quot ; , pretty bad . would pack leave unfortunately book room Priceline prepay . arrive late , around 10:00 , wait homeless guy shuffle sidewalk could pull . manager check counter pleasant enough . ask want & quot ; two small bed one big bed . & quot ; note mention king size bed & quot ; big bed & quot ; queen . room . & quot ; resort & quot ; motel drive around park near room . glad carry luggage stair first floor . call , place lot individual walk around particular destination 10 pm , well , seem questionable . room big kitchenette , sit area ( sofa , seat ) , bed desk . room smell musty 70 call ask furniture back ! story ' m sure furniture could tell obvious see quite bit use . flat panel TV really look place welcome . bathroom , big tub , nice Toto toilet , bath & amp ; body work soap , small aged . shower head must 5.5 foot high . caulk around tub pull apart . bug see wander people outside seem meet 1 am start loud discussion . gunplay though , thank goodness . probably sleep total two hour . next morning glad see wheel still car . yes , feel get place . can not speak ground want morning leave . three star place ? please ! ! ! ! 
 Dec 12 2006 	 Alexis park -- nice * 2 * star hotel 	 book property hotwire , skeptical hotel read review tripadvisor . even attempt ( unsuccessfully ) get room book somewhere else hotwire . I do not know tweaker street - walker come , seem congregate near hotel . I m sure live one many construction area near hotel . maybe problem entire city Las Vegas ... feel like safe place night . light ok , leave several area shadow . place HUGE several hundred room spread probably 50 + acre . get shuttle hotel airport , prepare walk 1/4 mile room.2 3 pool severe reconstruction . room card could not access 3rd final pool , tell front desk card will not work pool close . ( guess close 11 ) .The carpet new room , bed clean comfortable . furniture newly update . tile bathroom paint , though . room clean , though call kitchen stretch since microwave stove , dorm fridge . we do not get fully stock bathroom ( shampoo conditioner ) , leave $ 5 houskeepe tip second night . suprise find bathroom stock extra ( top shampoo conditioner missing night ) item mouthwash lotion . bathroom item Bath Body work , $ 5 well spend . wife estimate value probably close $ 10.the room good reception tv . Cable do not work , reception require use antenna . 5 fuzzy channel available . friend work cable 3 door away . cable seem hit miss base upon room get ( luck draw ) . internet appear way . overall , give solid 2 star hotel , 3 . really need work security issue , give whole thing well light ( inside ) . call all - suite hotel also major stretch . compare Residence Inn Courtyard , Embassy suite . par Best Westerns Clarion Holiday Inns , though . book non - refundable website not worry . comfortable place . I still feel hotwire sell hotel comparable Embassy suit 3 star hotel fraud , battle another day . 
 Dec 4 2006 	 great place price careful reservation 	 stay hotel three night early November arrive dissapointed see & quot ; Monarch suite & quot ; big room . follow morning went ask receptionist ( thanks Angela ) move another room expect . hotel mile strip next Hard Rock Cafe . go Vegas often business hate stay Casinos good choice business traveler look quite place stay . good front desk receptionist worry unhappy customer . definitely hotel great bargain money . make sure make reservation clarify whether room separate bedroom . 
 Nov 20 2006 	 pretty place - not skip due previous review . 	 read previous review , several negative , want write fairly positive review . hotel process improvement , visible , . ground pretty well - keep . somewhat update , still need work . staff friendly helpful . eat dinner restaurant pleasantly surprised . food good service , tho somewhat slow , ok . room huge living room , large bar area sink fridge , large bedroom . bath need update , jacuzzi tub . the bar little dark , bartender friendly . if reason stay strip , place reasonable choice , reasonably price . 
 Nov 19 2006 	 Good lacking 	 Stayed place 3 night November . good side , location pretty good ( near Hard Rock ) . room like small apartment hotel room . parking easy ( free ) , staff seem pretty nice . what annoying place way management allow lot thing break . 's list thing notice : -television get many channel due strange radio interference . -The plumbing room fall apart seal sloppy way - the cardio equipment gym almost order . include treadmill . -The sauna steamroom brokeni read one review say place re - do . seem hallmark hotel destroy land . either way , bad place stay , get advertised amenity . make rip - off level . despite problem , would stay . would also say gym pretty extensive set equipment . seem work fine outside cardio stuff . 
 Nov 1 2006 	 Dangerous Security Non Existent 	 Dangerous Security Non Existent ' stay value life property . room break valuable property steal wedding premise . make report call security , also file report Police Department . talk general manager cop attitude , say ' nothing . 
 Oct 21 2006 	 work progress 	 return 4 night stay property . nervous reading review , positive experience . attend conference hotel . old resort many 2 story building build around center garden pathway 3 pool . popular spot garden wedding - several small wedding per evening weekend . the resort process update . room one building near front resort redone . ( building 11 - 19 redone ) spacious room comfortable double bed , wetbar , fridge , microwave coffemaker sit area sofa club chair . bath large oval tub lot good towel . hotel offer free parking 1/2 mile walk strip . resort offer casino plus . Hard Rock Casino directly across street , shop food block away . staff helpful friendly . would stay one refurbish room . good value . 
 Oct 17 2006 	 dangerous break - in 	 Alexis Park Resort Spa turn dangerous place . wake intruder first morning . break bathroom window . lucky unarmed knocked towel rack wake us - scary situation . general manager laugh ask compensation room cost terrifying experience - actually . fill police report - October 2006 . not stay ! 
 Sep 26 2006 	 much well expect 	 reluctant stay read negative review decide give positive review chance . pleasantly surprise open door find spacious room equip amenity expect find motel . while room not new , obvious intent owner offer great value price . I ' m look forward rest stay certainly consider Alexis future visit Las Vegas 
 Sep 25 2006 	 well expect 	 attend conference second week September , 2006 , little choice stay . skeptical place base early review , admit not bad report . I get impression management make effort update resort , much . instance , sofa old bed great . a / c new living room bedroom , tv channel selection leave lot desire . go Vegas watch tv anyway ? room kitchenette , sink , bar fridge , one - cup coffee maker . microwave , burner utensil . room clean , jacuzzi tub work . 3 pool open clean , well average fitness room . the maid service prompt efficient . hotel staff encounter ' helpful . check , bellboy hang around behind front desk , not offer help bag . interested ask desk clerk date . check ! anyway , conference facility adequate forget A / c fail conference area day half . resort exactly one mile Strip , prepare walk bit enjoy site . Hard Rock casino right across street can not . taxis usually around , call front desk . East Harmon area ' bad , secluded night Strip . although place ok , would not stay many well hotel option Vegas . 
 Jul 18 2006 	 Dark scary 	 stay competition daughter . room old cleanest every stay . fortunately air conditioner work great . outdoor coridor dark little scary night . couple time pool think airplane go land top hotel . staff extremely incompetent . know Las Vegas interested finding answer . taxis non existent . need one , call one . bellman stand shrub front blow whistle . lucky one stop within 20 - 30 minute . would defintely stay choice . 
 Jul 13 2006 	 stay away ! 	 ' believe place stay business . dirty , bad service , thing fall apart , , , , 
 Jul 13 2006 	 make Improvements 	 ' ve stay Alexis Park three time past year preperation upcoming conference . time see quite lot improvement new management . pool ground always nice . top notch gym - well hotel rarely use . lobby / regisrtation area renovate last trip go nice . room exterior painting still work , see improvmenet month - to - month . bottom line hotel $ 300 / night hotel go get type service/ accomodation . go clean , respectable hotle reasonable rate close strip . 
 Jul 6 2006 	 good deal Las Vegas 	 recent visit Las Vegas stay Alexis Park third time hotel . booking room notice negative feedback property think fair provide perspective base multiple visit . always find room clean bed comfortable feel good value dollar . also like fact non - gaming location go smokey casinso floor get factilitie . concern visit summer temp whether air conditioning would provide adequate cooling , get middle night turn good job ! expect Ritz place want comfortable location reasonable price definitely great place stay . 
 Jul 6 2006 	 not know bad press ..... 	 stay location June trepidation , base review read . surprise find one , three pool available swimming . appear managment interest improve property , notice workman on - site day . room clean , large . bed bed comfortable , air conditioning work well - thank goodness - well 100 degree day ! definitely stay Alexis Park next visit Las Vegas . 
 Jul 6 2006 	 ok money - great option 	 stay Alexis April ( 2006 ) convention cigar smoker - probably run - of - the - mill convention hold . not give resort 3 - star , problem . front part resort , building look bit maintain - fresher paint job , bit tidy upkeep , etc . toward back resort , though , really need fix thing like window , paint / stucco job , etc . reason , one pool ( one near building , thankfully ) close entire weekend . feature web site & quot ; evening meeting focal point & quot ; socializing / etc . , one would think would maintain bit well . the service nice , say . desk staff kind courteous , arrive early day room ready . ( early . ) hotel allow check baggage securely , fine . housekeeping adequate , though must say noisy . room change every day , nothing extrodinary service . resort 4 - star , not expect much . very frustrating , however , air conditioner / heater bedroom . one living room / lounge area work fine , one bedroom refuse operate correctly . set & quot ; cool & quot ; - 78 - degree outside , all- unit give heat instead . want Bikram yoga bedroom , would ideal . report unit work , never fix . rely unit living room keep cool . also , phone bedroom work . one note . stay back part resort , will nice , healthy walk resort spread quite bit . 's well - light night , though , seem relatively safe gate anything . overall , ok value . really not resort resort - convention explore Vegas first time . location nice , though , far enough Strip get away noise tour bus - load gawk tourist . hotel good 15 - minute walk Strip , weather warm , quick / easy walk . hoffbrauhaus nearby ( big german beer even big german dinner - om pa pa ! ) , Mr. Lucky 's Hard Rock Casino ( great quick breakfast , ask $ 7.77 steak / shrimp / salad meal deal menu ) . be use everything neat , tidy , ultra modern , look elsewhere . , however , be budget ( get deal stay , case ) , not mind away noise Strip , look past thing like malfunction air conditioner unit ( ok , bit problem ) crack stucco need repair already , could bad . terrible , need improve thing polish image bit . would rather spend buck next time , put Strip noise , get well quality / service . 
 Jun 8 2006 	 Tired Dirty 	 go Hilton Time Share fiasco stay two night clean new suite Grand Vacation Club . can not say enough room . nice . move Alexis Park . one tv hotwire thru hole wall pick limited cable selection . ' jiggle ' wire see thru static screen . main room dirty carpeting , refrig see well day dirty window . jacuzzi work year . lot wind stay one make effort wind die pick palm frond paper stick scary dark overhang . one allow main pool ? ? something in . one pool fill palm frond one full kid basketball baseball tournament . the staff encounter friendly receptionist go online print boarding pass we . fly Vegas July drive Palm Desert spend two night return home . stay Henderson would stay dirty wear Alexis Park . bulldoze build Vegas , surprised still stand . 
 Jun 5 2006 	 barely tolerable ! 	 husband stay Alexis ( despite gut feel poor review TA ) CRAZY BUSY Cinco de Mayo weekend . not want shell exhorbitant price nice strip hotel ( 200 ) quick three day break reality . Pros Alexis -- hot water , clean bed / bed pretty close proximity center strip ( 25 min . walk pretty safe sidewalked area ) , quiet pool area sun AMCons -- musty smell room , wear furniture ( point dangerous ) , shuttle Strip , main pool close ( say lifeguard ) plan use Hard Rock Hotel shuttle ( Alexis recommend ) cross busy 6 - lane highway ( EAST HARMON ) line shuttle long night there . if want know rest time -- despite Alexis , incredible time Vegas . money save room use gamble get lucky quarter slot one night , win $ 350 . big & quot ; show & quot ; see Cirque de Soleil Ka MGM absolutely LOVED . ( although husband say still like & quot ; & quot ; good ) . oh , MGM Buffet Dinner excellent , $ 29.99 night . so , advice , absolutely avoid Alexis , , be okay pinch . would much prefer stay Aladdin ( whatever be new name ) usually decent rate ( except particular weekend ... ) yet pretty classy accessible everywhere like visit . 
 May 27 2006 	 Overall dirty feeling 	 would never stay . 5 night stay , never feel clean safe . drive room , pass open dumpster , trash spilling . bug bathroom , dirty tissue bed . first room assign air conditioner wall piece hang , dust fill cool room . switch newly & quot ; renovated & quot ; room new air conditioner , fine , newly & quot ; renovated & quot ; laugh . old motor lodge need major updating , new coat paint dirt . claim & quot ; resort & quot ; major misleading . call wreck Volkswagon bug luxury automobile , not make . get free night hotel would stay . hotwire claim three star book & quot ; Resort & quot ; not make mistake hope find fantastic deal Hotwire , misrepresentation sad place stay Vegas . 
 May 15 2006 	 mouse ! 	 mouse room stay . staff extremely rude unfriendly . dirty , unkept facility . never set foot property . 
 May 10 2006 	 would stay . 	 sister stay Alexis Park Resort accidentally leave quite top hang closet check . realize 24 hour later , go back hotel . couple item leave turn , several expensive item mysteriously find even though dry cleaning bag . staff give we impression concern least item disappear . 
 Apr 29 2006 	 ` ` get pay ! '' 	 get lucky get & quot ; resort & quot ; via Priceline . not expect much not ready dirty room . co - worker get regular room tell horrid . lucky get upgrade & quot ; suite & quot ; fireplace , jacuzzi perk . lol ... Jacuzzi scary ! : ) happy travel ! 
 Apr 28 2006 	 nothing wrong wreck ball will not fix 	 upside get 2 - room & quot ; suite & quot ; bar area include fridge sink . downside everything else . place borders airport runway fall disrepair . although thing work room everything wear point impossible get clean . 's sprawling & quot ; motor lodge & quot ; style campus hundred room three pool . look worn . basically bulldoze . people would recommend people not mind issue extreme budget get room really cheap ( like 50 buck ) like two - room feature . be pretty lame . 
 Apr 25 2006 	 horrible Place Better Sleep Tent 	 horrible place . staff terrible , lazy unfriendly people . room moldy , dirty . clean room refresh toiletry . toilet paper like sand paper . air conditioning work . fireplace work . food terrible . never return horrible place . 
 Apr 24 2006 	 cute place scary area . 	 hotel near strip book , reason choose Alexis Park . first place look like dive outside , wall look crumble area look shoot happen time . the good thing hotel room much nicer expect . large room $ 99.00 night three night . whirlpool tub shower . non smoker happy smokey casino walk get front desk . we gambler , hotel fine we . really need comfortable clean bed get . because location hotel , never stay suggest anyone stay . 
 Apr 2 2006 	 not want shower drink coffee eat breakfast 	 stay Alexis Park Hotel Friday March 24 , 2006 . shower fixture working , coffee pot work , door face alley look like kick . front desk helpful reservation problem Orbitz . manager Alexis try make we offer free breakfast buffet cold egg limp bacon insult injury . think Orbitz charge we $ 148.for -- hole still make hot . 
 Mar 20 2006 	 dreadful stay ! ! ! 	 stay Alexis Park 2 year ago pleasant stay , decide return book loft suite ... big mistake ! arrival , use tray food outside room . despite several phone call call reception remain entire 48 hour resort . ask maid could move , reply & quot ; & quot ; . excuse reception person move tray not work . room heating ( cold Vegas ) , never get fix . jacuzzi chew gum stick bottom expose electrical wire room ( hole wall ) . travel extensively bad place stay . not know happen , let standard drop dramatically two year . favour give miss . 
 Mar 15 2006 	 not panic ! ! ! be go ok 	 Quick review : outside building look like cheap motel bit shabby ( crack paint plaster ) . however , room ( 2257 ) spacious , clean everything work advertise . consider review read , fear bad , turn much well expect . look affordable accommodation not mind strip , bad place stay . full REVIEW : -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- wife book room Hotwire give accommodation Alexis Park Resort . naturally , first thing read review ... boy , worried ! usually take Trip Advisor review grain salt , read line . see shear number horrible review , really get worried . arrive , outer building remind large cheap motel . paint peel , plaster crack , outside would expect room really small . bad impression have . first , lobby clean decorate nicely ( bit modestly ) employee behind counter attentive efficient . next , room large well - appoint ( $ 80 / night room ) everything clean tidy . bed sheet clean , shower work fine , bed comfortable bad odor non - smoking room . pest , wife susceptible flea critter bite absolutely problem . finally , encounter problem check - in double billing people report . my complaint limited cable television ( premium cable - mean miss season open Sopranos ) bathroom heat lamp . usually , Vegas not need heat lamp , pre - spring chilly night . finally , & quot ; kitchen & quot ; small fridge sink ( hope kitchen mean stove / oven ) .Overall , pleased accommodation would recommend anyone look affordable accommodation not mind strip . ( Hard Rock Casino close , recommend Mr. Lucky 's breakfast . ) conclusion , buy accommodation hotwire get nervous , relax , not panic . will fine . non - smoking room 2257 pleasant . 
 Mar 5 2006 	 everyone use stay four Seasons ? 	 read bad review , think ... prissy half people ? stay one night Friday March 3rd actually surprise nice room . third trip vegas past year , travel quite bit . boyfriend stay Mandalay Bay first 3 night due ridiculous Friday night weekend rate , opt get $ 116 room Alexis last night . bad . first time ever Vegas want make special getting room strip , actually kind mad , get room Alexis whole week , could save money trip . I little worried first due outside decor look bit & quot ; spray - paint & quot ; , enter room happily surprised . little kitchenette w/ fridge , couch , chair , exception bedspread room nicely decorate . bathroom good size , garden bathtub , Bath & amp ; body work shampoo , soap lotion room . clean , must admit , nice change & quot ; gaming & quot ; hotel crowd , not walk mile parking lot room . Alexis strip , be necessarily bad thing . locate half mile away , plus right across street Hard Rock . look something quiet inexpensive , ( believe spend enough money food everything else ) , Alexis good place stay . 
 Feb 26 2006 	 's dump ! stay away ! ! ! 	 place dire need repair . wall crumble dirty , refrigerator noisy , hot water shower , bottom tub 12 & quot ; crack , bathroom floor paint overspray , landscape dead brown , bad tv reception , smelly lobby . go research material & quot ; run hotel & quot ; . 
 Feb 22 2006 	 dump ! 	 stay hotel convention hold . way imagine hotel get good review maybe handfull nice room . not hear single person 140 room book convention end good one . bed look like giant bowling ball drop . room sad need good cleaning paint . hotel boast room ' suite ' . really like cheap college dorm live 25 yr ago . date run down . friend room change 3 time get bed not break . hear several disappointed couple also change room bed . wireless internet , tv channel hard see , remote keyboard internet tv work . call desk coupole hour nobody ansere phone . call every extension - housekeeping , ect . thing - answer . finally get car drive ( one building distant front desk ) one person say never hear phone ring would send someone fix remote . one ever come . we follow lead several other first creepy night , check stay MGM Grand dollar per night . Alexis Park price tacky uncomfprtable mess call ' all suite hotel ' . not fool night time photo hotel pool area . pool area look nice moonlight , far nice area hotel , also need repair . 
 Feb 14 2006 	 Hotel Hell 	 lie , bad hotel ever stay . spend money put granite countertop , etc . room first night matress BAD sleep couch . remodel BUY NEW BEDS ? complain move & quot ; well room & quot ; extra charge . big water stain wall low floor . chair seat area huge red ink mark kid practice draw . bed still huge dip spot . top ; touch towel rack bathroom FELL WALL . we seminar check first night , rest we never forget ......... 
 Feb 14 2006 	 Poor Customer Service 	 Credit go Alexis Park huge room suit Med / tuscan style . also nice quiet . want gamble , be quick walk . conference hotel get experience type staff interaction . front desk customer service terrible multiple occassion multiple different issue . expect pretty nice property , not expect service match . either staff incompetent , knowledgeable basic property , interested . please note experience echo several guest Thursday Sunday stay hotel full . all , would stay property drive town want quiet resort condo - like room little interaction staff . going resort great attention detail service , would go elsewhere . 
 Jan 5 2006 	 stay NYE 2006 	 Location , Price , Room size ! 2 thumbus ! stay bunch friend celebrate NYE 2006 . can not complain price 3 night give suite room . be budget traveler & amp ; wan na say hotel outstanding term price , location , room size . room big living room bedroom upstairs . place fabulous lobby , pool , look nice outside . less 5 minute drive strip . even walk hotel strip NYE . be look big room budget , try hotel . 's worth every single penny Vegas . 
 Jan 4 2006 	 horrible Customer Service 	 book call & quot ; resort & quot ; suite suppose honeymoon trip . big mistake ! hotel embarassment drive , sure try paint job look awful . room appear clean , although find huge bug look prehistoric bathroom . room date , & quot ; spa & quot ; tub unusual . seat two people small deep , comfortable . gas fireplace work , even connect ! husband call maintence , hang twice say yell . ( slightly hard hearing tend loud voice polite whole time . ) husband finally go lobby desk see go .... maintence show , tub . turn none fireplace certain building work gas hooked ! ! give & quot ; complimentary & quot ; buffet breakfast try make ammend trouble . breakfast terrible , charge Visa find last bill ! call hotel let know happen , whoever answerd phone say & quot ; HI ! & quot ; ask Alexis Resort , say & quot ; yeah , & quot ; . call 4 time get hold manager . work customer service almost 20 year never see uncare staff . end , stay one two scheduled day . needless say , honeymoon memorable good way ! 
 Dec 11 2005 	 Resort ? way ! 	 place dirty , floor room not even flat , place need major remodeling , not half feature Discount Resorts Las Vegas , find staff member ( except reservation , course ) not clue activity , feature , time , event motel . with dozen discount resort Las Vegas , not even waste time think one . 
 Nov 28 2005 	 Kid Soccer Place 	 stay soccer tournament . facility somewhat date , not seem well suited kid . outside pool , not kid friendly tv channel activity . Service & quot ; slow & quot ; . ask receive sheet sleeper sofa . 3 attempt second visit office , get sheet hour later . not untypical stay . maybe typical see many place appear short staff Vegas . 
 Nov 21 2005 	 much well expect 	 read bad post little hesitant hotel . overall experience good , yes outside hotel do not look great , stepped room shock see well expect . crown suite , mini living room sofa bed , also sink , small coffee maker , mini fridge , closet restroom , upstairs huge bed , uncomfortable , shower fine , problem low pressure shower . regard strip little far walk , car be probably less 5 minute strip . room spotless get maid clean well hotel . parking convenient , way park right across room . overall , good hotel , clean room , comfortble bed , close strip . would hesitate come back hotel . 
 Nov 3 2005 	 love smell cow manure morning ... 	 place could ever get good review beyond . entire property smell potently like cattle farm . assume fertilize grass , come people , cow manure ? also safe . single female traveler put build farth lobby edge non - enclose property privilege leer construction worker property next door every time go room . bed feel exactly like hide - a - bed circa 1975 couch fiance refuse discard . shower , lack well word , weird goo around drain . hotel approach path airplane land airport building shake every 4 minute huge 747 fly directly overhead . turn A / C unit desk , explode ice laptop . avoid cost . 
 Nov 2 2005 	 Good Hotel Happy People 	 recently stay 4 night Alexis Park Hotel ( $ 75 / night , try get suite price Sin City ) . hotel directly across street Hard Rock Hotel always fun run musically incline . stay standard Monarch Suite large sitting area ( living room ) connect sleep area . space nice people , make sure pick not want friend see unmentionable . wet bar fridge good keep snack cold drink . bed bit uncomfortable due lack padding . electrical plug bathroom not work . entire hotel complex undergo renovation , not bother . not need pampering want good room great price check Alexis Park . 
 Oct 31 2005 	 bad disgusting never ! 	 wish read review Alexis Park * * booking . the place fabulous lobby look nice outside , room atrocious . first room give not make , smell horrible , lot dry blood one pillow . demand another room , give one much well condition , though bed squeaky , gap multihue bathroom tilework , mystery stain sofa , one dead cockroach . plus side , look like exterior recently paint pool area look clean . all $ 180 night . this establishment advertise & quot ; resort & quot ; really last resort . 
 Oct 30 2005 	 Alexis Park always fantastic 	 two week ago family huge birthday party cousin say experience ALEXIS great . front desk people always professional prompt . pool look good parking always available . room big . like stay apartment . visit Vegas five time year always enjoy stay . place stay . 
 Oct 25 2005 	 not stay Alexis ! 	 stay Alexis conference last week . disaster ! entire resort * tired * -- look like 70 style motel 's cheaply renovate . be halfway do repaint motel building terra cotta stucco faux finish , look & quot ; faux & quot ; color build building not match . room rehabbe , yet outdate . entryway tile room crack replace mismatch tile . tile loose would move step . tile around shower also & quot ; peeling & quot ; -- not think tile peel , never stay Alexis either - learn something new everyday ! : ) also , remote control tv not work one lightbulb one lamp burn arrive . bad part stay water main break hot water entire resort . day checkout would expect one member staff would apologize and/or ask stay -- nope -- front desk hand receipt , question ask apology give water problem . this definitely resort , be over - sized motel . 
 Oct 25 2005 	 great hotel great value 	 family enjoy stay hotel . drive way Wyoming wife 's sister wedding . glad able park family van right hotel room . room much big expect since arrive ahead schedule font desk accomodate check we little early . one gal front desk ( can not remember name ) helpful recommend take child fun . I would like thank entire staff ESPECIALLY housekeeper keep room tidy . 
 Oct 21 2005 	 Great Stay - great rate 	 spend three night Alexis Park Resort good time . front desk agent accomodate room much nicer expect rate pay . every one employee encounter friendly reply request promptly . definitely return hotel ! 
 Sep 25 2005 	 disorganize resort ! 	 read review , skeptical staying . mainly , bad review regard cleansiness hotel . however , hotel big issue disorganized front desk . since , budget wedding , decide give try anyway . upon check , give Queen Suite , reserve Loft Suite . , spend 45 minute try straighten , person front desk try charge we room not even check . make matter bad , card , hold reservation , charge stay . even though pay cash stay incidental , prior arrive . discuss matter front desk , say charge place card . call credit card company , front desk . card company tell , & quot ; yes , card charge hotel & quot ; . room . , receive right one , clean comfortable , except upstairs shower . severe mildew , actually buy clean get clean enough , we feel comfortable take shower . overall , budget visit Vegas , would look elsewhere , stay last resort . , way , still wait credit card appear ! 
 Sep 22 2005 	 seem 	 like dorm . room fridge sofa beware & quot ; two bed & quot ; might mean one bed sofa bed . 
 Sep 18 2005 	 resort 	 hotel bad service area except housekeep decent . place look great website photo ( must least 10 - year old ) look reviewer photo show truly shabby place . paint plaster peel building around pool area interior suite cheap quaility ( plastic tub ) poor finish work . even hazardous , sharp piece metal stick floor doorstop break , floor tile crack chunk miss , room & quot ; refurbish & quot ; wing ! location bad lot construction go Harmon Road . love walk everywhere unpleasant walk nearby area location much traffic poorly light street sidewalk . time watch tv , forget . channel selection reception poor . we ant bathroom air conditioner horrible . first night would go sweat freeze , happy medium . little sign thermostat say set 70 unit would freeze . turn low possible 3rd night , AC unit next bed drip water night water torture effect . get sleep use ear plug . someone send fix turn thermostat back ! day , electronic key stop work , make another extremely long wait line lobby necessity . turn , we check room 2 day early ! another guest line ahead we , say 3rd attempt get check room one time , actually put room already occupy - not room either , must routinely & quot ; accidently & quot ; check guest room prematurely . front desk service extremely slow visit require long wait line disgruntle guest . thing really tick internet service . sign full day 10 a.m. , later learn cut - off time noon ! , pay $ 10 full day service 2 hour actual service . call front desk twice , finally say would reverse charge . later overhear another guest ask refund reason , must ongoing problem . check , call front desk confirm extra charge incur account , later see darn $ 10 charge show credit card bill month later . really tick hardly worth time fight $ 10 charge know it . this one bad hotel experience ever . consider stay Alexis & quot ; Resort , & quot ; save time , money , peace mind stay elsewhere . worth saving may think offer . 
 Aug 14 2005 	 home away home 	 book stay Alexis Park Resort attend convention . get great deal book stay advance . arrive check front desk , wait five minute serve . ask check early check quickly . accommodate . staff security friendly professional . room assign , nice , spacious clean . bed comfortable . room living room area kitchen bar . plus internet access ( extra charge ) . room service good make bed restock towel twice one day . defiantly book stay . like home away home . 
 Aug 5 2005 	 Nice problem 	 check quite late greet reception rather abrubt , unfriendly receptionist seem take forever check we . check , service well . different man reception arrogantly say room would charged credit card , say already pay expedia , snap say , ' ok , fine ' , move next customer . apology nothing . course , get home , glanced credit card statement note indeed charge room ! joke . , contact expedia inform receive refund . positive note , room quite cheap . stay bungalow lovely , spacious nice jacuzzi half way stair . criticism time - air conditioning inadequate room . not even cool room , bear mind 115 fahrenheit temperature , kinda need good air - conditioning . also , room round back building face waste ground something ( can not remember exactly ) . however , breakfast lovely , inexpensive . hotel offer free parking good nice location , close strip , yet quiet position consider proximity . , another criticism , reason outside attendant constantly feel need whistle loudly ( call taxi think ) , would pity anyone whose room near reception area would would hear night long ! yes , overall review good bad . would probably stay lovely bungalow . 
 Jul 27 2005 	 get pay 	 refuse pay $ 300 night hotel Strip Memorial Weekend opt & quot ; resort . & quot ; definitely think resort accurate way describe place , remind apartment complex . do research trip advisor prior go sure expect . must say read review beforehand would stay . , pleasantly surprised . check - in quick easy . the room big look like newly remodel . overall clean enough , notice stain carpet , towel sheet feel comfortable walk around barefoot . somewhat neat freak big deal . problem housekeeping leave room late afternoon come back night find room clean . able get clean towel call front desk room could clean housekeeping staff leave day . next day make sure call housekeeping prior leave day thus ensure room clean return . location far strip close Hard Rock . notice airport noise probably due alcohol consumption .... light sleeper airport definitely close . 
 Jul 27 2005 	 not sweat Small Stuff 	 kind traveler need alot personal attention hotel staff , .... want stay place economical well locate consider place ... crown loft great space ... entrance hotel mislead ... front property look like rest hotel . renovation seem forever on - going , day think may finish . large pool open . a / c wall unit ( 3 ) leak problem noisy . front desk quick phone . answer busy signal . room clean , well stock , furniture room good condition spacious . spa tub nice . would stay , keep need prespective . 
 Jul 20 2005 	 Bad experience 	 flight vegas get cancel , refuse refund money ( prepaid ) , whereas circus circus . strip well place strip , . 
 Jul 14 2005 	 great time hotel 	 friend go Alexis Park Vegas friend birthday . happy room . big enough friend plenty room . ( 4 ) girl know need plenty room . staff pleasant ground well keep . stay even see beautiful outdoor wedding . hotel do really nice job . overall stay excellent would go back . 
 Jun 9 2005 	 bad hotel ever 	 stay Alexis Park Vegas recently . hotel bad shape . suppose stay 4 night , leave 2 . first night , air conditioner break . move room dead bug lay bathroom floor ant crawl bathroom sink . disgusting highly recommend stay anywhere else . website make hotel look great , different story get . stay away ! ! ! ! ! 
