disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Mar 24 2009 	 Gold Club room overprice get ... 	 husband visit Las Vegas many , many time . stay Golden Nugget twice , first stay Gold Club room . enjoy VIP check - in , attendant counter unfailingly polite courteous . room clean , bed comfy . switch next bed advertise raising / lower window shade , broken . big flat - screen tv bedroom small one mirror bathroom nice touch , picture big one not good . big deal . bathroom set - up nice double sink , vanity middle . nice enclose shower / tub big shower head way work get shower / tub turn , ' ve get water splashing be completely ready -- design flaw sure ! water pressure ( husband call shower & quot ; anemic & quot ; ) either shower sink . closet , locate bathroom , spring - load door not stay open , constantly whack back arm try get thing hang closet . definitely negative . dark colors bedroom bathroom beautiful , initial oohs aah , welcome . refrigerator coffee maker room , necessity husband . coffee set - up elevator landing , not get early , be cold go . afternoon , coffee set - up replace water , snack large bowl . believe address several time forum -- people dip hand bowl get snack , even though spoon cup provide . oh , well ... use hotel valet service several time 6 - day stay GN . , staff polite , definitely overwork , two three attendant task retrieve car 20 30 guest 20 - minute time frame . due immense construction do GN , entire top floor self - park garage take construction paraphernalia , unusable hotel guest . , crowd St. Patrick 's Day , force use valet , even full . scale construction GN huge , opening plan sometime 2009 . nowhere plan see arrangement parking , become issue construction near completion people use already stretch - thin service . please not think stay bad -- contrary , would recommend hotel . superb dinner Vic Anthony 's Steakhouse Red Sushi , locate property . want use pool , completely full TIME ! , nice stay , due crowd , last stay downtown . 
 Mar 21 2009 	 Pleasant surprise 	 first time Vegas stay downtown strip . definitely go back . often call desk check operator ask day go ? facility great , room great clean , staff bend backwards accomodate . strip $ 20 cab fare away would stay strip stay Golden Nugget $ 49.00 / night . impressed ! ! 
 Mar 20 2009 	 Best Downtown Vegas ... 	 read review Golden Nugget pick hotel must say review really fair . room ( South Tower ) nice walk lobby really not far . value book give save we quite bit money back . one big negative Nugget 6 5 pay blackjack . go across street get 3 2 blackjack game . gamble Nugget stay excellent ! 
 Mar 20 2009 	 Nice Hotel worth buy service La Carte 	 room nice clean , color outdate big deal . hotel send email confirmation state room would get would base first come , first serve . know want King bed , smoking room , call reservation 800 number . secure exact room pay extra $ 22.20 . drive go get Vegas find double bed non - smoking . pay extra . arrive , park self park go check . carry thing parking garage , 5 story , hotel , 20 story 1500 ft hotel room without cart . cart anywhere , unless want pay bell - hop take item . get room find $ 12.99 per day per laptop use internet . get enough money Casino ? come ! stay . pay extra everything , may well pay room Strip . , hotel still construction , much noise . terrible odor elevator area South Tower . whole 2 day stay . however decent casino play rather great music . Buffet lunch ok . glad 10 buck . bad , good ' ve either . one thing note , South Tower Elevators accessible walk past desk sale people try get Golden Nugget 's timeshare . expect get ask every time go elevator . 
 Mar 18 2009 	 wonderful Wedding Spot 	 recently host daughter 's wedding wedding party guest stay Golden Nugget , site wedding reception . Silke Hunt contact ceremony reception great job . manage bring 70 guest , 25 Scotland , many Shetland Islands , Las Vegas even Elvis Presley perform reception . great ! room . book parlor suite good idea . host daughter four bridesmaids day wedding hair makeup session local woman find internet , cocktail party family meet , find room site several impromptu gathering . parlor suite feature separate bedroom bathroom connect large living room area couch , two large chair , table four chair , television , another full bathroom , bar , sink , refrigerator . price great , wound around $ 500 room four night . also enjoy Fremont Experience right outside front door casino , Golddiggers nightclub , downtown casino walk . highly recommend , return Golden Nuggel . 
 Mar 16 2009 	 Good Value downtown 	 would say hotel good 4 star strip downtown wander half dozen casino take fun fremont easily . 
 Mar 16 2009 	 much well expect 	 stay 3/12 - 15 buddy golf weekend , low expectation since first time stay downtown - wow , much well expect . room big enough ( south tower ) , pool one good area slide & quot ; dive bar & quot ; real convenient , good thing place though spot corner & quot ; new improved & quot ; downtown , everything low roller table good eat within walk distance - like strip everything mile apart . place clean well keep , service orient , everyone ask anything helpful , stay . 
 Mar 15 2009 	 terrible incident 	 stay Golden Nugget past good time . we come Las Vegas get marry Valentine 's Day . check Thursday night , Feb. 12 , 2009 . check check see would grade room since getting marry , hotel . friend get married early Las Vegas grade suite , case Golden Nugget . Friday morning go room 2 hour walk get marriage license . 2 hour go clean room steal jewlrey going wear wedding Saturday . call security immediately come room complete form , . investigation , month later report phone call , apology . nothing apparently Golden Nugget allow cleaning staff come room steal guest room . we never stay Golden Nugget . 
 Mar 13 2009 	 great hotel buffet value ! ! ! 	 Golden Nugget 's location right Fremont Street Experience perfect . check , walk bar casino get 2 free drink ( coupon book give we check - in ) , right Fremont Street . room nice , comfortable bed great pillow . next morning enjoy awesome buffet , use & quot ; Buy 1 , get 1 Free & quot ; buffet coupon aforementioned coupon book ! accidentally time perfectly get right breakfast end lunch start , pay cheap breakfast price get eat breakfast lunch food . not use pool , slide shark tank look amazing . definitely stay Golden Nugget next time go Vegas ! 
 Mar 13 2009 	 Golden Nugget - great place stay 	 get back 4 day trip Vegas celebrate friend 's birthday . stay Golden Nugget South Tower . room nice , fancy , somewhat update clean . distance South Tower minimal - casino not big . staff friendly , dealer helpful nice . spend lot time pool , nicely heated . unfortunately , construction hot tub totally tear . addition , lot noise ! like downtown area , cab fare add trip strip . definitely stay . 
 Mar 11 2009 	 first class dime 	 dime great deal especially senior-agers.everrythe great check - in check - outonly complait outside construction noise one 3 nightsdowntown location excellent ... several casion restaurant step awayslot tight hey , Vegas hurt . 
 Mar 11 2009 	 never stay anywhere else Golden Nugget 	 stay Nugget Feburary 22nd 26th . second time stay see reason change . we North Tower room near elevator . very quiet close access elevator . fantastic room service highly recommend ! ! ! ! 
 Mar 11 2009 	 Loved ! 	 come two couple . room near eachother partie pretty hard . : ) check perfect , nice young man , wish could remember name ..... room roomy well appoint . pool slide fun . especially like MALE shark ! ! ! ( know talk , see ) Downtown Vegas hoppin ' place ....... back ! 
 Mar 8 2009 	 great time Golden Nugget ! ! 	 second stay Golden Nugget blast . able get great deal spa suite . give one new , update room , room clean nice . housekeep great ! eat Vic Anthony 's one night would highly recommend . great service great food ! able get pool time pretty windy bit chilly . previous visit May , rent cabana pool relax . service wonderful . two negative aspect trip . slot tight . see anyone win one person win 2,000 penny machine . like play 3 card poker . dealer floor supervisor nice alot fun . however , later evening shift Tuesday exception . dealer ask floor supervisor pick 24 Karat card ( 3 time ) could get credit bet . supervisor completely ignore dealer we . Jesse sit play , not bother . definitley stay . really enjoy downtown . 
 Mar 7 2009 	 stay may time love 	 stay Nugget year . find pretty , clean staff nice . treat we like royalty . free soda hard come economy suppose cut somewhere keep price low . room always nice . love 
 Mar 4 2009 	 Married Vegas- Nugget make Perfect ! 	 first visit Las Vegas wedding . want stay ' real ' Vegas strip , choose Golden Nugget part due website also due value property . stay 4 night $ 200 total . location property Fremont Street perfect . pool area great , hour lacking , set - up deck chair make difficult reach chair without get people wet . pool attendent look bored often wonder even lifesave skill due extreme boredom position would flop around ? Non - guest would wander pool area see giant aquarium make awkward busy swimming experience . we group book south tower ( 19th floor ) front desk staff kind enough re - work room assighment put entire group floor . thing little confusing find property Main Street , construction car park mark drive past several time find tiny golden nugget sign mark way . car parking facility free pay guest handy . room large , bed comfy . clean staff REALLY thorogh even throw item place near trash bin want keep souvenir , consider garbage . buffet disapointing , however coupon offer buy one get one free make slightly well . service staff buffet fantastic . Red Sushi bar amazing , extremely expensive perhaps little much Golden Nugget , nice treat . wedding meal Grotto show without reservation need seat 16 , happily quickly find we two large table near pleasant experience , food fantastic service staff wonderful . I not happy pay use internet service room , Vegas nothing free ! 
 Feb 27 2009 	 absolutely lovely hotel . fantastic stay exceptionally rude staff let 	 boyfriend stay week part 6 month round world trip accomodation high standard . could complain aspect Golden Nugget except reception staff simply rude let hotel terribly staff area generally o.k . apart pool attendant security guard not expect reception staff abrupt ! downtown Vegas different Strip definitely think get quality Golden Nugget could compare hotel Strip reasonable price . pool area lovely however become crowd quick nab sunlounger ! restaurant hotel o.k . spectacular cheap many place eat along Freemont Street experience not need rely 's offer GN . room big really nice ! 
 Feb 26 2009 	 great hotel casino 	 admit , little nervous staying downtown . not familiar stay downtown . love Golden Nugget ! room extremely clean must stayover . room nicely decorate standard room . look newly update . fresh robe await we get good sleep extremely comfortable king size bed . also offer many coupon include buy one get one buffet coupon . we stuff ten dollar . Vegas traveler must experience downtown especially yoyu like & quot ; Old Vegas & quot ; feel . stay . pool also amazing huge aquarium contain shark clear tunnel slide run aquarium . recommend Golden Nugget everyone . 
 Feb 25 2009 	 20th Floor South Tower 	 great room several extra , quite comfortable pleasant , modern clean . housekeeping desk staff pleasant helpful . casino nice downtown , buffet bit disappointing ( Main St. Station still good buffet good value ) . GN nice balance classy hotel ' get snooty stuffy ( use problem – seem fix ) . definitely would return special offer often appear . 
 Feb 20 2009 	 good value 	 Golden Nugget , old hotel , reasonably well - maintain . stay pleased . stay three night $ 59 per night find value excellent . room quite large , like . refresh recently , include decent size LCD TV . staff friendly efficient . amazed fast maintenance man swap innard heating unit . phone call completion fix , take less five minute - all - time record . negative away strip , drive time . onerous , next time , probably stay strip walk back hotel walk around night . although , would surprised visit Nugget , excellent value . 
 Feb 20 2009 	 Fun Downtown ~ enjoy Nugget 	 husband spend week Vegas . timeshare Marriott . always enjoy visit downtown , decide spend one night . lucky enough book one night south tower $ 39.00 per night . would consider excellent rate . room location nothing special , 3rd floor , view roof , heck pay $ 39.00 . Room look recently redone . comfy king bed , bathroom fine , enjoy vanity makeup mirror think nice touch robe . complaint room really get cool . fair , complain ask fix it . the pool amazing slide go shark tank . nice look cabana , would definately rent one nice weather . great time visit casino watch light show hour . feel like vacation within vacation . would definately stay GN . 
 Feb 18 2009 	 enjoy verbally abuse hand money head GN casino ! 	 husband , along extended family west group friend home make yearly trip GN Feb. 13 - 17 . never disappoint - service / atmosphere change tremendously bad . ( entire group ) seven room North Tower different level . two room South Tower & quot ; sell & quot ; North . it Valentine 's holiday husband decide surprise Club Room . beautiful room tasteful appointment - cd player complete Frank Sinatra cd , large plasma / hd tv , clock iPod station , free bottled Figi water , etc . however , coffee promise near elevator ? one morning stay . & quot ; food / snack & quot ; consisted & amp ; 's , granola , chocolate cover rasin bowl apple . one day go 11 am weekend refill day . apple day check find bottle water . goody bowl spoon see ppl dip hand handful . eww ! bed comfortable lot pillow ! bathroom nice tv build mirror . bath robe slipper provide . maid wonderful room clean perfection every day . do expect & quot ; express room service & quot ; take hour half get mediocre food room service rate . hear everything ( mean everything ) room next . 17th floor . WiFi work stay . pretty pointless book room level unless really stay room entire stay . view mountain background . nothing special . here be ugly ... casino - state , yearly trip always stay GN family friend . August anniversary labor day wonderful stay . really wonder .. HAPPENED ? ? ? ? end trip three we verbally accost - call [ - ] pit supervisor front everyone remain table ! 3 card poker great ppl MN other . previously hear mumbling us & quot ; midwesterner & quot ; let go . instead simply state & quot ; hi folk , 's late closing table 10 minute & quot ; kind chuckle pit boss walk quietly upped minimum 5 per hand , 10 , 25 without word . play couple hour wayyy minimum , fun dealer ( nice btw ) tip well . perfectly understandable would close table empty . & quot ; pit supervisor & quot ; upped 25 ( remember 3 card 3 bet ! ) money table finish hand other look . guy arrogantly call bet & quot ; play minimum bet & quot ; . huh ? turn middle hand ! ? happy went walk away .. call front everyone casino loud enough hear . turn said & quot ; call ? & quot ; audacity repeat . even kind ppl sit next awe . really not know guy think wow .. absolutely reason it . we could believe casino hotel & quot ; caliber & quot ; GM duty . guy grin ask & quot ; go ? & quot ; manager duty least one want deal -i cry point . go figure . this first trip .. take look profile - pretentious snob kind . simply like kind ppl , comfortable surrounding beleive take care & quot ; guest & quot ; . simply expect someone upper management contact issue even next morning . probably play holiday weekend - Wednesday evening hear nothing . I must say one lady also pit super evening send pacify .. & quot ; generously & quot ; take whopping 35.00 charge bill final day . head security least call back tell we write GM . wow . ( he / she can not take care ? ? ? ) another evening - late last night friend want gamble bed crap table one guy refer & quot ; [ - ] front everyone . way room friend call . dealer mock behind back watch - guy play day several trip casino , tip well one nice guy meet . also , know F word fly freely consider warn sensitive kind language . hope decide gamble understand guy rip call every name book get away . not know go place reason head another casino next trip . since not want list bad - fun despite situation ( going get away wreck trip ) good point - we meet many nice guest really enjoy play crap couple next amazing roll ever see . congrat dear - deserved ! warm month pool amazing . many ppl heated pool cold lie near would stay casino assault . bar near pool serve amazing bloody mary . : ) Rent cabana -so nice . RED restaraunt sushi wonderful wine bar quite nice socializing . Carson Cafe great food drink reasonable resort price . next time Vegas try Four Queens - spend much next day gambling find dealer bartender ( play Video Poker ) good ! love stay downtown fun able visit many casino one area dh return friend next week return GN . 's shame beautiful hotel ugly staff need much improvement ever return . one note .. also stay NY / NY , Bellagio Binions GN check trip rare occasion something negative say . take cake . 
 Feb 12 2009 	 First Experience Downtown Loved Golden Nugget 	 Feb. 5 - feb.7 , 2009 check breeze , little early room be not hardly ready yet hold bag we , give we coupon book tell we come back hour . walk around casino , check pool & amp ; sharktank area back front desk , hand we room key . room great , North Tower room , everything perfect first stay room . Golden Nugget right middle Fremont St . experience , location perfect plane walking see everything downtown area . 
 Feb 10 2009 	 South Tower - disappointing 	 go trip husband friend husband 's . friend specify North Tower , get . specify North Tower , get South Tower . check exact time , still Front Desk insist 's . okay ... GN , room average ( remember , 's South Tower ) . bathroom one sink , tv even flat screen . even 4q flat screen tv room ! ' m sure friend 's room nice . must ... slot tight , luck video poker . move quickly win . atmosphere fun - football playoff . overall , nice hotel DT , get upgrade neighboring hotel , room probably close less $ , possibly nice . Comps GN really go comparison DT casino . good advice : follow offer . 
 Feb 6 2009 	 get one right 	 LV Freemont want 2 night soak atmoshere , good decision , great expereince - 2 night . super ambiance traffic ffree Freemont Street especially weekend . 5 block overhead digital video terrific sound systembooke direct hotel Jan 16/18 get Gold Club room decent price include priority check - check problem . good room , quality furnish nothing really spectacular . pool area spacious overlook many hotel block sunshine limit . you slide tube within shark tank hard see anything way shark nonplussed . Carson Street cafe great quality food reasonable value . the buffet 4 queen excellent , dinner FreemontSo ... yes 2 night freemont street great . back tthe strip 
 Jan 31 2009 	 nice room inexpensive poor location fairly tacky vibe 	 room Golden Nugget good standard . room clean amenity good . internet price , expect room cost $ 39 / night . downtown location may suit , find area Vegas tacky low class fellow customer . Fremont experience like something Brave New World audience undivide attention draw towards LG ` ` Life Good '' advertising . waterslide aquarium definitely fun , worth stay downtown . food within casino average , not give 2 1 coupon , would not eaten . 
 Jan 30 2009 	 another Great Stay 	 stay Gold Club Room NFL Conference Championship game weekend . room great , staff friendly , food good usual . look forward return . 
 Jan 29 2009 	 still shine ! ! ! Great money 	 manage get $ 69 per night room newly remodel . huge room lovely furnishing . comfy bed lovely bathroom . feel old Hollywood meet Vegas .. Classic . service excellent bellman check , maid service awesome room service attendant . Breakfast & quot ; Nugget & quot ; still reasonably price - something hard find vegas . add typical room service charge onto tab , even , full breakfast egg , bacon , hash brown , toast coffee cost around $ 15 - 20 . excellent bfast ! room thick , plush carpeting bed - nice shampoo toiletry bathroom replace daily maid . great view room . outside hotel gorgeous night ! inside lovely well . downside : hotel Vegas strip - near ! want see anything strip , need rent car lot cash stash taxi fare back forth strip . lucky , local friend drive around wherever want go . cab cheap wiill try find scenic route whenever possible .. spa hotel extremely overprice enjoyable . pay $ $ $ manicure / pedicure woman slaughter poor foot . take much skin foot hard time walking almost week get do . overprice , not know . also , pay , not even decent pedicure chair attach foot bath ... foot soak bucket ! ! pay big buck pedicure here . the slot seem quite tight . see one win anything . see quite number unsavory look character lurk around ( casino part downstairs ) feel well security . mediocre : food eat restaurant hotel - exception room service bfast - course ! : - ) overall : much worth money , would stay last time - stay nice room , go elsewhere well gambling avoid unsavory look character Nugget 's casino . 
 Jan 23 2009 	 Gold Club Room 	 Background - marry couple mid late 50 be retire . we book airfare hotel New Years Eve Special get 50 % airfare ( Southwest Airlines ) hotel room 3 night Golden Nugget . fare reasonable opt Gold Club Room ( Concierge Class ) .We arrive hotel 2:30pm go vip check take approximately 5 minute ( meantime husband get juice bag pretzel tide dinner - include cost suite Gold Club Room ) . room 16th floor near elevator ( request reservation time ) . surprised size room ( large ) also notice room L shape leather sofa instead include leather lounger along fabric recliner . would like add even room L shape sofa would still consider large . mattress nice albeit firm side , bed nice . room dark 's necessary blind open . room face Freemont Experience Nevada Mountains . bathroom nice amount counter space otherwise 's dysfunctional design . the flat screen tv okay speaker inadequate room size without turn speaker unreasonable level ( due neighbor either side ) .include room wifi , coffee morning , bottled water afternoon evening , along snack . agree previous review concern fact snack ( choc cover raisin , jelly bellys , peanut & amp ; ms , trailmix ) open hand could anywhere ( yuck ) .what not like housekeeping , be poor good . room 7:30am morning 2 pm day room ready us - satisfactory all . the air conditioning unit old noisy people like ambient sound sleep anyway . able hear Freemont Experience room somewhat annoying second morning hear saw kind begin around 6 am - background noise annoying nonetheless . we eat Carson Street Cafe ( good even 2 year ago ) , Grille ( inside casino area good value excellent food ) , Grotto ( italian - good ) . also eat away Golden Nugget . we love accessibility downtown ( move casino casino without major walking ) always feel Golden Nugget give we good experience monie spend . 
 Jan 20 2009 	 complimentary coffee minimal standard day ? ! : ) 	 spend 4 night GN New Year 's Eve . appreciate quick early check . arrive receive room around noon , even though usual check time 3 pm . stay service great security , receptionist , room service , housekeeping etc . room clean , comfortable pillow top king bed , dark curtain , tv , large nice bathroom , spa robe , hair dryer , toiletry , iron ironing board , safe . heat pool water slide fishtank nice feature . still , give well rating average / neutral . $ 100 dolar average rate / night expect decent treatment , decent condition list , ! ! ! be not coffee maker room , excuse ! ? subjective know , be terrible enjoy slow start cup coffee bed ! choice : pay 5.50 ( small pot coffee ) + 5 ( operation fee room service order ) + tax + gratuity = come ? 15 buck coffee ? face world morning face , take elevator starbuck & quot ; conveniently locate & quot ; : right outside elevator , get back bed ? ridiculous ! side also , room outdate look ac unit , setting clear , difficult adjust room temperature winter ; first night wake frozen , second night okay unit start make loud noise wake stop , third night fold blanket two - good nite , fourth night forgot heater -that never stop end sick overdry heated air . allergy / sinus problem Beware ! eat cafe- ( do not remember name Carson ? ) , food good . room service also good - price - 6 dollar mimosa : ) pastry starbuck hotel fresh delicious , especially fruit tart , also cheesecake danish . like New Years atmosphere Fremont outside hotel . comment feature hotel , use sleep / rest , go sightseeing strip , hoover dam , etc . it be 8.50 + tip shuttle airport , find convenient . 's 5 dollar bus strip hear have not use . ' 23 dollar taxi strip - ( Luxor area ) back hotel . note be almost impossible find taxi holiday night like New Year 's Eve , wait 15 minute one -out many pass -to stop ask & quot ; much u willing pay ! ? & quot ; be anyone 's negociation skill less double : ) conclusion , would stay GN , bring coffee maker humidifier .. course , check competion strip first : ) 
 Jan 19 2009 	 wonderful stay GN 	 wife arrive GN long day late flight . pleased find pillow top bed await we room ( 352 ) south tower . refreshing night sleep ready explore Vegas yet promptly catch Deuce Strip . disappoint discover deuce ticket increase $ 7 24 hrs , however be Vegas ; nothing stay . weather gorgeous January brave guest use pool . many enjoy warm sunshine lounge chair poolside . book five night $ 39 plus tax arrive Sunday night . great rate another great stay GN . 
 Jan 17 2009 	 efficient comfortable hotel 	 spend six night GN coincide CES . hotel expensively finish ( marble floor public area ) room pleasant comfortable . parking adjacent garage free resident always free space . because work trip , get breakfast seven . staff inflexible , seat we empty cafe additional server start 7 . several occasion service slow cafe . my room nicely appoint good order . plumbing work expect supply toiletry good . the Starbucks south side open 5 one casino open 24/7 , not make absence coffee maker room . the downside guest tend smoke around lobby area lift , 's Vegas problem rather specific GN . 
 Jan 15 2009 	 Rent Car ! 	 wife recently return 2009 CES show ( company present ) . first night stay Harrahs , update / modern hotel . course be right middle action . Golden Nugget update , not mind -- old swanky charm . 's Downtown , think walk distance . the Golden Nugget 's main area 's update fancy enough , love idea pool shark tank fish shark swimming . see lobby . buffet close , use two - for - one coupon give checkin main entree instead cafe . ok , good deal buffet . we be Boston , read Vegas nobody mention PLENTY free parking . seriously . least go . every hotel self - park lot , plenty happy -- let alone valet service not even try . people complain Strip & quot ; parking lot & quot ; , not find bad ( , Boston ) . reason mention Golden Nugget long 3 + mi top Strip , 4 mile long . wholeheartedly recommend get car explore Vegas : save energy walk inside huge resort , rather . resort full detail , easily get mentally physically tuckered . perhaps two day ( look architecture / site thing ) . problem get middle Strip Downtown Golden Nugget car . return car early , taxi MGM Grand GN $ 25 . rent car . stay time low rate supposedly high quality ( hotwire & quot ; 4 star & quot ; $ 75 night , CES ) . disagree star ( low ) . obviously get cheap room strip , . otherwise , stay downtown 's cheap rent car , be really problem , find size Vegas actually car friendly walk friendly . 
 Jan 10 2009 	 GN still good value Vegas 	 spend 7 nite Nugget bring new year . stay Nugget least year past 7 year always please stay . one experience strip much prefer downtown area & quot ; home & quot ; base . always rent car ; reasonable Vegas . trip rent car advantage 8 day total $ 117 . make 4 5 trip different casino strip enjoy restaurant area ( love Peppermill Rosemarys ) . trip upgrade South Tower Room ( prefer since area close Self Parking garage ) feature flat screen tv , new art work wall , new mattress , new shower head heating / air conditioning unit . usual everything clean . three disappointment ( 1 ) lack bath mat small rug bathroom tub area ( twice ask one cleaning lady times tell & quot ; not & quot ; ) , ( 2 ) sheet not stay tuck ... every morning bed mess not & quot ; toss tuner & quot ; sleeper , ( 3 ) towel - need replace ! rough smell sour - yuck . we little gambling Nugget since downtown hotel looser slot $ 3/5 blackjack husband play . on January first buffet close renovation ( one could tell long ) Lillie 's also closed ( tho explanation note one could tell ) .We keep return Nugget great value comfortable . 
 Jan 5 2009 	 will never scare South Tower 	 find great deal Hotwire South Tower option . ' ve never stay South Tower North Tower . I pleasantly surprise . everyone always say walk South Tower casino far 's . else sit gambling , 's minute walk . room basic huge 's clean bed comfortable ... could ask around $ 50 / night . the good part stay like call & quot ; spa day & quot ; wonderful husband offer treat massage book & quot ; pamp package & quot ; include 50 minute massage along mani / pedi . use spa facility . first work gym take dip hot tub . get amazing massage follow really great mani / pedi ... well worth $ 199 everything . also throw fruit , juice , water , trail mix snack ... relax wonderful . my complaint hotel want charge & quot ; half day rate & quot ; $ 25 check 1 pm instead noon ... 's ridiculous . the hotel lose instead breakfast check go someplace else . not $ 25 much nickel dim ... mean already lose almost $ 1k gambling pay $ 25 extra hour hotel . 
 Dec 30 2008 	 Christmas Golden Nugget - North Tower Room 	 seventy - five year old mother stay Golden Nugget four night start Wednesday , December 24th , 2008 . book North Tower room make reservation online , request room top floor , away elevator Fremont Street Experience , receive room tenth floor North Tower end hall overlook pool area . North Tower locate hotel lobby easy walk main casino floor ( oppose South Tower ) .The large room include two queen - sized bed , three pillow , clock radio , two comfy chair beside round table , one office - type chair table / desk , one regular chair next make - up table , large hd television 20 + channel remote , iron / iron board closet area , along extra pillow . also find door slam quite loudly , try close quietly possible early morning gambling excursion . the medium - sized bathroom include three set towel , bottle shampoo , conditioner lotion , well bar facial soap bar bath soap . nice handle shower , mother able use get ease . the parking garage across hotel First Street almost always full . stay Golden Nugget , issue parking permit show , along parking ticket , exit . the casino large crowded , much space move around . despite stay four night , mother gamble elsewhere stay , past visit Golden Nugget 's casino result empty pocket .... hotel locate Fremont Street Experience area , within walk distance quite casino . night light show , entertaining . after taxis , average rate per night Room 1006 North Tower come $ 79.37 U.S. Funds . receive mailer hotel special rate , cheap rate South Tower originally book . overall , comfortable room clean , would probably stay South Tower next Christmas price North Tower jump back normal . 
 Dec 30 2008 	 listen 	 Read GN review , mostly good & amp ; say need say , fantastic stay GN . GN get pay , bargain ! LV / GN pointers:1 . get rental car . cost 3 day vacation less $ 20/ day ( cost one WAY trip strip ) provide map , LV difficult drive around . 's well worth cost . one thing , get reservation 1 rental car place ( ie . , Thrifty & amp ; dollar ) price comparison & amp ; whichever line shorter , use reservation , not pay ( forget ) . Taxi fare FAIR & amp ; expensive , not pay drive around ! 2 . go Casino Hopping use Valet everywhere . Parking Valet Fees , TIP attendant buck ( $ 2- $ 3 ) . amount 10 stop still less one round trip & amp ; strip . big spender not worry , buck plenty . valet guy appriciate tip get & amp ; get take care big tipper come along frequently . also willing give direction might need ever going.3 . well hour wait ( close 2 hrs ) check hotel strip year ago & amp ; learn lesson . ask VIP / Diamond check ever go . hotel offer small fee , be $ 20 GN . separate check & amp ; lounge , SIT & amp ; wait , drink beverage & amp ; munch snack , anyone check ahead . volume type service usually quite low , mixup , person help bad mood ( due stress handle high volume business day ) . treat like vip , instead average Joe ( Joan ) . bargain far ' m concerned , $ 20 well spend ( place 's free , ask ahead time ! ) also help check , tv check working , drop key card & amp ; do . 4 . bring Swimwear ! temp go LV , two place : inside gamble outside pool ! pool LV Swim , adventure , especially GN ! 5 . make sure TIP dealer ! nothing like sit table , dealer upset , someone table refuse tip dealer ! table player dozen hand & amp ; tip dealer anything . dealer throw card almost table , rest player try HIDE & amp ; non - tipper clue anything wrong , believe share wealth . 
 Dec 30 2008 	 Great price 	 return 4 night stay Golden Nugget . 4th visit Nugget ' ve witness evolution property since purchase Landry's . the improvement include nice , comfortable casino generally good drink service . pool awesome atmosphere common area much classier . however , service suffer since Nugget own MGM . remember 1st stay treat like royalty everyone front desk clerk parking garage attendant . room perfectly maintain housekeeping staff . service lose personal touch . one rude - friendly past . we stay south tower average rate $ 54.00 night . not get wrong - price room good . lack couple simple thing could easily make high class . instance , one night wash cloth . towel fray around edge . sheet small bed remain tuck carpet hall stain wear . on plus side , bed upgrade pillow top mattress . room flat screen tv impressive selection channel casino hotel . room quiet although hard time regulate temperature . cold outside still run AC comfortable . fan motor pretty noisy probably replace . next visit will probably upgrade North Tower room 's much expensive . we eat buffet Christmas Day . nothing impressive - especially $ 20.00 person . buffet Main Street Station much well cost less . also breakfast Carson Street Cafe please quality price . all , good trip . weather unusually cold . next time will visit summer enjoy pool . 
 Dec 29 2008 	 Truely welcome experience 	 Golden Nugget ' Queen ' downtown . accomodation excellent . course be old well maintain . 3rd tower construction intrusive stay . be awhile since ' ve Vegas do strip thing . strip grand course downtown far good business traveler . 
