Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Oct 6 2007 	 Delightful Hotel New York 	 stay hotel period 8 year quite honestly hotel fault anything : - room delightful comfortable- location 50th Lexington bettered- staff always delightful happy assist anyway possible . this hotel great place find peace quiet city sleep . 
 Oct 1 2007 	 great Great Great 	 regularly visit New York usually stay mid - town hotel price range . use little dingy room crowded lobby . I pleasantly surprise Benjamin another reviewer say one New York 's good keep secret . location fantastic time away chaos crowd . stay standard room . room nice , bright good size , although view . even small kitchen room . lobby gorgeous , fast service . get check 2 pm . charge storage luggage afterwards , case lot hotel New York . highly recommend little piece heaven anyone visit New York . well worth . 
 Sep 30 2007 	 really simple really good 	 stay 2 night good rate . service excellent , cheerful valet hold umbrella empty trunk housekeeping concierge . room , 1511 , lovely - great view , really nice lie real ' oasis city ' feel . everything super clean smart , refreshingly simple un - fussy . problem concierge recommend book we terrible restaurant nearby - small complaint , perhaps find bad day . overall - great . 
 Sep 28 2007 	 Great Location ; Nice Accommodations ; Good Service 	 get great rate online Benjamin 2 night ( Sep. 22 & amp ; 23 ) Canada / New England Cruise . arrive early morning around 8:00 allow check open room immediately . staff friendly professional respect bellman front desk Concierge way Management . room pretty nice show minor wear . location great . easy walk distance Times Square , Rockefeller Center , Grand Central Station , & amp ; Chrysler Bldg . little Empire State Bldg . Central Park still walkable . also , easy access subway . first trip NYC return ! , will probably stay Benjamin long get another deal . 
 Sep 26 2007 	 good location nice staff quiet hotel 	 Benjamin good experience . week fiance . nice staff , quiet hotel , feel people . clean bedroom , really confortable bed . really nice manager service quick good . hate Times Sq mess would rather stay would certainly come back . 
 Sep 23 2007 	 real gem 	 great location . spacious comfortable . suspect one well keep secret New York 3 taxi driver never hear . totally clean every effort make guest get good night sleep - choice pillow etc . definately return . like New York hotel suffer 24 hour traffic noise - then part experience ! 
 Sep 18 2007 	 perfect weekend 	 spend four night Benjamin mid September 2007 . hotel situate good Midtown area opposite Waldorf Astoria . subway station close get around town easy . staff good , room good overall presentation hotel excellent . use restaurant city time . use New York Luncheonette breakfast door street . quality , cleanliness service room alone reason enough stay Benjamin . would recommend hotel anyone wish visit New York . 
 Sep 15 2007 	 Benjamin Brilliance 	 book superiour guest room upon check advise birthday upgrade one bedroom deluxe suite . upon enter room greet birthday card home - make birthday cake . unexpected greatly appreciated gesture highlight customer - orientate hotel be . the suite spotlessly clean , large well equip - one flat screen tv living room , another bedroom , cd player room , access internet room fax machine large desk area business . kitchenette well - stock mini - bar , microwave , coffee - maker , ample cutlery crockery tea / coffee / chocolate use . bedroom large , comfortable bed pillow menu could sample assorted pillow variable filling , memory foam , wheat - fill , etc . bathroom large clean , ample towel Elemis toiletry supply , also two bathrobe use stay . suite clean daily night turn - down service provide would return busy day relax , classical music play . staff polite helpful , greet name would go way assist enquiry . night leave manager invite guest evening drink - something never experience hotel . week spend Benjamin perfect - definitely return recommend hotel anybody stay New York / Manhattan area . 
 Sep 13 2007 	 fabulous stay back 	 love every minute stay Benjamin . first time NYC spend many hour research good place stay Midtown . pleased decision . staff excellent ... helpful friendly . room comfortable . suite expensive worth . bed comfortable bathroom large efficient . great huge closet many deep drawer store clothe etc bring . Kitchenette great ... full size refrig ice maker . room quiet .. hear siren time never bothersome . bathrobe outstanding , purchase one soon get home thru website . doormen helpful suggestion service . lobby perfect , never wait talk someone get assistance . elevator fine ... stay 18th floor always able get elevator within second . bar cozy enjoyable ... good female bartender . not chance eat food restaurant.i agree previous post mention & quot ; top sheet thing & quot ; . since aware call housekeeping request one ... problem . request make fulfil pleasant attitude . want stay perfect , safe location friendly service comfortable , CLEAN room stay Benjamin . will not disappoint ! 
 Aug 28 2007 	 Benjamin exactly look . 	 nice hotel great midtown location . staff friendly acommodating . would definitely recommend other . look forward stay Benjamin . 
 Aug 22 2007 	 Excellent 	 Excellent can not say anymore really ! ! 
 Aug 15 2007 	 Great NYC Hotel 	 Frankly , staying & quot ; good hotel NYC & quot ; beyond reach . hotel convenient , clean , quiet , professional , uber - expensive . usually reserve family suite , reasonable , kitchen , use . Geesh , be NYC , 's cooking room ? nevertheless , ' ve stay many time . street noise , unusual city , ' ve never problem get room , even peek period . 
 Aug 10 2007 		 stay Benjamin not last two year . Benjamin always hotel recommend other inquire mid - town hotel . wonderful alternative Waldorf W.The location can not beat . right price point ( $ 450 ) , suite still well deal room across street Waldorf . closet large bathroom NYC hotel ( Hudson come mind ) . hotel 's small size make lobby area less frantic ( see check - out line Waldorf weekday morning ) . small kitchen ( microwave , regular sized fridge , sink , cutlery , dish ) handy , especially travel small child . full sized desk printer / fax free internet service much appreciate . however , say disappointed trip . service erratic . front staff fall helpful friendly other abrupt . New York pack tourist Benjamin , perhaps overwhelmed . doorman , however , outstanding ( always smile greeting , hail cab block away , etc . ) .On arrival , one suite ready although give key card , clean staff still work suite . previous guest grant late check due problem outgoing flight . wait 5 pm could enter . request courtesy check date , tell check luggage . also overly impressed concierge . the room need refurbish . carpet suite issue , range fray edge come away wall need retightene ( ridge visible somewhat hazard ) . sofa getting wear one button come . cushion sag . tv 's one suite experience intermittent static make unwatchable . tile laminate one bathroom wear spot green waterproof wall board visible . noise serious issue . hotel repeat false fire alarm , night day . busy fire station one block away conducive restful night . continue recommend Benjamin ? probably . however , will also suggest alternative . btw , recommend regular room , suite . regular room small good deal give price . well find elsewhere . 
 Aug 6 2007 	 need 	 Benjamin perfect Manhattan basecamp . be ostentatious , flash chintzy , work . understand be NYC reason stay hotel go make stay comfortable enjoyable possible quietly effective way imaginable . stuff really matter - comfort bed , cleanliness room , lack disturbance guest , course , 's location - good well many allege five star establishment . minor criticism slow elevator . 's worth wait . 
 Jul 30 2007 	 Perfect posh pacifying 	 first stay Midtown must admit prospect bit daunting , even though travel LOT . benjamin perfect choice ( although first choice ... love Affinia Gardens last stay NYC husband , Gardens book ) . room spectacularly clean comfortable . honor bar impressive wide - range . love sweet little , fully - stock efficiency kitchen . second day stay , fall ill , room perfect cocoon recover . fluffy warm duvet godsend , sofa comfortable - good part - room perfectly quiet ! one quiet hotel ' ve ever stay . be finicky traveler , Benjamin disappoint . room pricey , king bedroom separate sit area w / sofa bed . need , honesty , price well . 
 Jul 25 2007 	 lovely stay 	 wonderful stay . room corner room . great size NYC . ' ve stay many ny hotel one great family . kid we location room size key . service terrific although never use room service trip . great hotel overall . 
 Jul 24 2007 	 need serious improvement 	 room clean comfortable . staff average good expect 5 star hotel . impression good hotel well . 
 Jul 19 2007 	 absolutely Fantastic 	 arrive 4 night end June Honeymoon delight booked ! good hotel ' ve stay . Lobby , Staff , Location , room , pillow , everything ! book 1 bed suite fantastic , give we bottle Champagne congrat letter nice . concierge great catered need . absolutely doubt , book hotel return NYC . 
 Jul 16 2007 	 beautiful hotel friendly staff 	 mother visit New York past June stay Benjamin . impressed lobby absolutely gorgeous , feel enter palace . greet friendly doorman adorable front desk person , believe name Glorianna , explain we everything hotel offer , even though do research online nice take time . love different pillow , complimentary coffee tea room . room large king size bed pull sofabe living - room , sofa mattress bit unconfortable request extra padding make alot well . room clean love 50th street view . definitely stay . nice experience overall . 
 Jul 14 2007 	 absolutely delightful 	 February year , husband pleasure stay Benjamin third time . book room directly always , right reservation , everyone encounter welcome professional . room beautiful suite balcony . anniversary upgrade lovely surprise . never bad experience Benjamin although live 40 minute Manhattan , think stay entice we stay city return home . stay come week daughter last little trip wedding plan try spa together know absolutely delightful . 
 Jun 25 2007 	 Disappointment 	 stay base Tripadvisor review , quite dissapointed . room expensive ( $ 650 ) , maybe something , honestly , par hotel stay NY ( W 's , Hilton , Sheratons , Drake ( go ) , Sofitel , Le Parker Meridian , Club Quarters , Waldorf Astoria , Ave , among other ) .extremely slow elevator . room small wear , broken cabinet . tv work well . bathroom small user - friendly . wireless internet ( although DSL line desk ) . dinner room service menu limit , good : inconveniently small tray serve without bread . notepad next bed convenience , guess not trusttheir guest much holder glue table , make inconvenient use table well . , top itoff , breakfast come late - , opinion , absolutely unacceptable ; usually order room service breakfast travel business schedule ; late defeat purpose . , not good . , several dollar pay place mention ( would not minded much time good ) .on hand , lobby well - appoint , take half cost breakfast complain . plus , pregnant , availability body pillow great ! although request one booking ignore , bring one room request again . in sum , although hotel might work fine leisure travel , issimply equip business travel . 
 Jun 19 2007 	 wonderful midtown NYC hotel 	 Benjamin wonderful hotel midtown Manhattan . nice , clean room great bedding bathroom . pillow fantastic . starbuck right around corner , severaly good local restaurant . spa / workout facility nice well . great , centrally locate , near - luxury hotel . 
 Jun 19 2007 	 Loved ! 	 boyfriend stay Benjamin 3 night April 07.I say love ! one bedroom suite fantastic . everthing hotel good , room spotless , sheet crisp staff friendly . also use beauty spa find great value . my boyfriend propose NY staff make feel special we . we also stay Millennium Broadway one night total disaster , horrid compare Benjamin . I fully reccommend anyone go ny spend little extra hotel really make trip . I definately back Benjamin next trip ny . 
 Jun 11 2007 	 ok 	 money , really so - so . loved location , boutique feel place . little thing make special not . 4 night . furniture pretty worn , little stained , button couch half sharp steel part stick . extra pillow blanket room , ask , blanket spot . especially nice staff every day go coffee heavy door hard open . nobody open , automatic door . money , barclay well bet . 
 Jun 11 2007 	 Benjamin perfect 	 Benjamin perfect first stay NY England April . beautiful large duel aspect one bedroom suite 19th floor great view Lexington . the suite beautifully decorate bed extremely comfortable . plenty space us son . when concierge find get marry City Hall , arrange bottle fizz sent room . room service excellent bar rely upon lot give foul weather experience stay . 
 Jun 5 2007 	 Pleasant Stay 	 visit NYC first time 6/1 - 6/5 stay Benjamin . arrive early morning hour ( 3 a.m. ) horrendous flight delay , find gentleman front desk sociable helpful room soothe finish night hell . my room ( 20th floor ) good condition - roomy , nice carpet , comfy bed , small kitchen w / stock refrigerator ( flat water , juice , etc ) . bathroom simple elegant white marble fine , hot shower . despite previous report : a / c problem ( hotel and/or hotel NYC ) , mine work fine . grant , little loud 's something actually lull sleep not outrageous . yes , bed sheet -around - comforter not bother - hotel Europe thing . pillow nice bed soft . Maid service excellent . Monday a.m. rain bucket due remnant tropical storm . find umbrella hung closet quite handy . safe well . nice wooden hanger . really , nothing complain . except noisy denizen door one night take slamming door shout hallway management control chaotic masse . one thing enjoy - hotel seem close proximity everything - MOMA 53rd , Morgan Library 36th ( ? ) . subway ( 47 - 50th ) - F , v low Manhattan - block west . be central quite bit . when check , doormen efficient - order taxi carry bag across street lay trunk . also , time call front desk , helpful . 
 May 23 2007 	 truly special stay 	 return two - night stay Benjamin . ' ve stay number Manhattan hotel say one enjoyable experience ' ve ever . first , ' ve read several complaint front desk , nothing good thing say . check - in , bit dissatisfied room immediately get change person desk ( Sam , think ) . warm , courteous accommodating . since bit unfamiliar area , several question concierge , , , receive top - notch suggestion help . hotel , room really beautiful . stay think describe Junior Studio ( mid - level accommodation ) . king bed beautifully make comfortable . large flat - screen tv great . hotel business , offer excellent internet connection . kitchenette great , bathroom beautifully appoint . good , whole place spotless . plus , loved fact could open window night . 10th floor really like hear city sound . hotel lounge also lovely , several area make possible private conversation . , entire experience one class style . complaint price room service : breakfast , order scrambled egg white toast . nothing ( even coffee ) . bill come $ 31 . course , be always choice , particular morning , run late . hopefully , will able return Benjamin , next time , will take dog ! would recommend hotel anyone ( colleague equally pleased ) . reviewer Philadelphia 
 Apr 24 2007 	 nice place stay 	 girlfriend stay Benjamin April 2007 . hotel nice indeed , curteous professional staff . thing not start well . check , staff member behind counter ( not catch name ) rattle away computer keyboard barely acknowledge existance . fortunately , deal someone else minute toe - tapping . our room one bedroom suite 24th floor , whole , good . suite consist lounge / kitchen ( sofa - bed , microwave oven , office desk , fax / printer large - screen LCD tv hi - fi ) , bathroom bedroom . all room tastefully decorate bed wonderfully comfortable . like idea pillow menu - even pillow build - in speaker iPod ! windows suite fit roman blind , several break - would not close . point maid way one evening . return room , close . time impressed speed resolution problem . unfortunately , follow morning become apparent not fix problem - blind could not open ! issue never resolve stay . also , aside , not like marble use bathroom floor - look dirty . spotlessly clean , marble look like cover black smudge . we eat restaraunt - breakfast . honestly say serve good pancake ever eat ! , impressed hotel . not cheap , Manhattan ? 
 Apr 20 2007 	 great hotel . great place stay . 	 stay Benjamin last week , sensational place . great service . nice room , clean well present . find level service exceptional . price extremely well New York book early Expedia . one good bed sleep , comfortable . Big LCD tv lounge another bedroom . the location sensational . easy access Subway Lexington couple block 5th Avenue . hey noisy , that s New York . Embrace ! say stay number hotel New York . place gem . well worth book . 
 Apr 17 2007 	 Keeps get well ......... 	 stay Benjamin Easter holiday , April 6 - 11 . 7th time property time get well well . moment arrive time leave ever need family ' disposal . 1 bedroom suite locate seventh floor face 50th Lexington . noise apparent even stay 23rd floor still hear noise sound NYC . make city . arrive , Russell check we ask high floor w/ king bed . holiday course full , offer move we next morning right away want . gesture pure professionalism . decide stay original room arrive bathroom huge two adult two child . sofa bed already make , . bellman ask we time would like make night stay state 7 pm . guess . do ! room still look good 7 year ago . manage keep property well . need extra pillow blanket minute doorstep . stay Four Seasons , Ritz Carlton , etc never service . completely impressed . bed , pillow , sofa bed kitchen perfect comfort convenience . high speed Internet , must pay , work perfectly . printer easy convenient use . upgrade TV ' large flat screen tv ' . nice touch keep boutique hotel . ' hard find something poor say property . picture Website [ -- ] true form . bathroom shower , well ' want get . good shower head yet . hotel locate Murray Hill midtown eastside . ' ask well location . staff go way show . go wrong would foolish stay elsewhere . ' say enough property room / suite service . opportunity eat restaurant . bad food . bit average well magnificent city . find reasonable skirt steak delicious . dessert mud cake brainier . add . plenty towel , robe , toilet paper , toiletry , etc . never run short . replenish ever day . people complain top sheet , need european way sleep . comforter light also warm need . make comfortable allow peaceful sleep . much say property staff room , take word , ' go wrong . Doormen bellhop right anytime helpful . nice touch hear wish good evening and/ good morning name ! must try ! superb . 
 Apr 12 2007 	 great hotel - clean spacious room friendly professional staff 	 Benjamin wonderful hotel . room 1 bedroom suite beautifully decorate . book Priceline not think Priceline customer usually get nice room ; think mix - up room get upgrade . room nice amenity ( kitchen refrigerator , microwave , cutlery ; desk , chair , fax machine , phone every room , include bathroom ; 2 flat screen tv 's , one living room one bedroom , spacious ( NYC ) well stock bathroom ) . also pillow menu order type pillow bed staff bring room anytime . staff professional , helpful friendly . use concierge time , always fantastic , include get we night dinner reservation . also 24 hour room service , internet access via hotel computer fee , ethernet connection room laptop . additionally , nice lounge area mezzanine level case wait little head airport check . downside location near lot trourist attraction . fabulous hotel would stay , would recommend other . 
 Apr 11 2007 	 one good NYC 	 Comfort , privacy , luxury -- within walking distance everywhere need go last business trip NYC.I will back . 
 Apr 11 2007 	 never go back 	 read many glow review hotel seriously unimpressed lack service . arrive 3 pm hotel 's check - in time tell room yet ready . leave hotel return 6 pm . tell room still ready . eventually admit problem steam room ask different room young baby . long wait , allocate room ok , quite spacious bathroom tiny poorly design . also kettle kitchen find annoying . bad part experience call belldesk 1 pm follow day ask assistance bag . tell bellman would way immediately . 10 min sign anyone call tell way . wait 40 minute total time call speak person tell bellman way . finally collect bag go missing way downstairs lobby wait 10 minute able locate . next time have incline stay door away Kimberley Suites Hotel , apparently room redone service well . 
 Apr 2 2007 	 Pretty Good Stay 	 trouble book ask manager ( get assistant manager ) helpful , professional courteous . also get little well rate $ 340 / not 1 bedrm since also 6 month ago . travel w/3 year old figure provide room ( low floor back corner ) people w / kid . nice size room .. complaint room dark carpet sofa look though not clean year .. son 's white sock black hour ( although rest room clean ) . good side quiet . hotel staff courteous send small cheese plate bottle wine husband 's birthday .. nice touch appreciate . bed comfortable sleep well . location great want different part city . hit central park , village upper east side nice dinner convenient . recently re - open restaurant not chance eat . emery bar nice .. Lori bartender friendly . Alice housekeeper sweet , helpful friendly . overall nice stay , would hope spruce furniture carpeting . 
 Mar 13 2007 	 Excellent Hotel 	 spending night Le Parker Meridian , Benjamin welcome oasis ! nice decor , wonderfully appoint bathroom , comfortable bed , plenty closet space , nice wet bar area ice maker mini - fridge . work desk big even fax machine / printer available . favorite touch Pillow Menu , choose 8 9 pillow choice , everything pillow Tempur - Pedic ! friendly staff convenient location make business traveller 's dream ! 
 Mar 5 2007 	 Great Hotel Service 	 Benjamin nice boutique hotel . greet friendly doorman check - in smooth . lobby little small look clean nice . reviewer mention two elevator service hotel sometimes wait awhile get . 14th floor hear street noise . also , view great not mind since get great deal room . room clean comfortable . bathroom spotless like bath product provide . refridgerator room great get store bottle water snack buy . service hotel excellent . everyone helpful , friendly , fast . call front desk extra blanket knock door within minute . hotel great location . subway block away . delis , cafe , CVS near . two morning , get breakfast sandwich small deli nearby ( viennese Deli , couple block south Lexington ) . also , far hotel Rockereller Center shopping nearby . 
 Feb 28 2007 	 Amesome stay great Location wonderful time 	 arrive Monday JetBlue debacle ... already chip shoulder ... arrive early- prepare even dissappointed- lo behold ! room ready , nicely appoint business class room kingsize bed . problem tv , front d immediately send someone fix . touristy stuff ; need fax machine / copi / internet- nice know though . room ammenitie : coffee maker , honor bar fridge / freezer / ice maker , microwave , plate , silverware , glassware , luxury bathrobs- truly wonderful appointment . slight issue phantom miss bedsheet turndown service , inform housekeeping staff way like bedding ; worry ! true test professional staff : thing go wrong ; fix it . the location hotel AWESOME .... afternoon tea Waldorf ? right across street ... late nite cool drink W ? step front door ..... Subway Grand Central ? block ... time trip hotel room 42nd street theatre show subway -- less 20 minute ! fickle NY winter weather ( freezing , wet , cold , snow , icy etc ) , slight convenience . Smith Wollensky around corner whole host local watering hole 2nd Ave ( notice pint Guiness not price touristy outrageously expensive Times Square ? ) . nice weather day walk moma 15 minute . ( leisurely pace , Native NYer sprint pace ... ) great hotel , professional staff . highly recommend ! go . 
 Feb 27 2007 	 Excellent 	 benjamin Priceline 160 night far nice hotel stay yet . stayed room 405 think room describe photo review could not disagree review . view window awful fact onto metal thing , wall , busy street mean almost complete silence . room large staff willing help request . 
 Feb 25 2007 	 Wonderful Wonderful wonderful 	 stay Benjamin Feb 18 - 24 . one great thing hotel great hotel , staff . Concierge Desk , Victor , Patrick , Mohammed , Jonathan , name , always pleasant , efficient helpful . we book one bedroom suite 8th floor . Engineering Housekeeping response promtly request , repair light choice wonderful pillow menu . return room one evening note Engineering box Godiva chocolate , tell we carry repair apologize inconvenience . little baffle , light repair desk attend , anyway enjoy chocolate , , later evening turn television realize television replace flat screen model . the room wonderfully appoint . room service breakfast good . location superb , good New York foot . wonderful , wonderful , wonderful stay would highly recommend hotel . many thank General Manager , Allen Kramme , note welcome fruit water arrival . 
 Feb 19 2007 	 Disappointing ! ! ! ! ! ! ! 	 Wife visit New York past weekend ( Feb. 15th Feb. 18th , 2007 ) stay Benjamin first night . suppose stay hotel 3 night , end move Marriott Marquis Times Square first glad . check process smooth Lobby great looking . check Samuel room time . room 4th floor far away elevator . request high floor room , decide go get since pay $ 198 night . first arrive room everything seem somewhat standard . 4th floor great since close street level , room back corner fairly quiet . view room awful cool tower pigeon poop right outside window . since usually come New York year view something Wife usually enjoy . however , find well keep shade close would disgust . begin problem Benjamin ...... bed Queen sized , even thought seem like double , extremely uncomfortable . sheet comforter mattress sheet call front desk quick add another sheet . bed uncomfortable could feel spring mattress certain part . bed also slouch towards center make uncomfortable we sleep together . heater window unit loud obnoxious . frigid cold air come outside window unit form draft heater would kick every 10 minute compensate change temperature . heater loud wake many time throughout night also make rattle noise . hotel stay , one probably loud heat / ac unit make terrible night sleep . poor sleep first night , wife tired end first full day glad choose move Marriott Marquis Times Square . room , well every room Benjamin , kitchenette fridge microwave , expensive high - speed internet ( hotel charge internet today ) , old tv barely work , huge worthless fax machine take lot desk real estate . one night stay Benjamin disappointing read positive review site would recommend couple . hotel make business traveler cater . feel rate Benjamin 4 star hotel accurate due problem . overall , Wife glad change hotel sure check review Marriott Marquis Times Square . 
 Feb 17 2007 	 Outstanding friendly ! 	 Booked suite ( fri - sit nite ) directly hotel ; request high floor . rate Benjamin 's website $ 117 less rate quote suite Travelocity ; put side side compare ... even print screen make sure ! check , clerk acknowledge request ... 20h floor ! Suite super ... spacious , nicely furnish living room , large bedroom , nice bath , great little kitchenette , frig , microwave coffee maker .. perfect morning coffee . lobby small , workable . big - time hotel huge lobby hall ; food service , try . small , almost cozy . location idea 50th Lexington ... walk anywhere . staff always pleasant , friendly courteous ... good story : Saturday night , ask could get copy Sunday time ... doorman say bit early ( 11 pm ) ask room number . say paper would door morning . sure , think . 7 ! charge , either . nice touch .. , nice touch . one reason would stay next trip ... might want stay village . otherwise , be back ... enthusiasm . 
 Feb 16 2007 	 Uneven service Benjamin 	 first stay Benjamin . ' ve stay midtown Manhattan . book reservation great rate stay February 10 14 . service spotty . ask three time pillow , robe , coffee cup . bed make without top sheet topsheet alternate day . day newspaper arrive , day not . hotel one computer internet service not complimentary . restaurant outrageously expensive breakfast , even luxury hotel . due weather , look like might stick NYC extra day . hotel inform we could stay , price . even though not anywhere close sell , would cost we $ 350 night $ 175 rate . call Kimberly Suites , block nice , offer hold room us rate $ 215 per night . needless say , Benjamin not make we feel welcome will not stay . 
 Jan 23 2007 	 Love Benjamin 	 fourth time ' ve stay Benjamin continue LOVE hotel . hotel well maintain service superb . room small kitchenette fridge , microwave , dish , glass flatware . perfect size grab snack simple breakfast food near Duane Reed CVS . hotel pillow menu nine different pillow type . bathroom large lot counter space , 's classic New York hotel . another reason love hotel , location , location , location .... ' east side step away subway catch 4,5,6 e , V . fly JFK want true New York experience , take Airtrain Jamaica Station grab e train hop 53rd / Lex stop . lot luggage want easy ride street level , follow sign elevator . street level two block away Benjamin . one way trip Airtrain / Subway JFK $ 7 buck . save $ 60 taxi cost dinner shopping . time leave , can not wait get back . 
 Jan 15 2007 	 good value money NYC 	 Managed get room Expedia $ 179 far good value money ' ve get NYC . ' ve see go $ 500 worthwhile all . this hotel conveniently locate 50th & amp ; Lexington Ave subway footstep front door ( can not tell valuable New York City ) . good shopping dining neighborhood ( actually consider midtown , Upper East someone else post ) . theater district , Times Square Rockefeller Center within walking distance , too . the hotel beautiful relatively new ( open summer 1999 ) . get upgrade large room reason . staff helpful , allow we extra - late checkout hassle overall pleasant . room 400 sq . ft . huge New York nice view Lexington Avenue . this second time stay definitely stay anytime get rate $ 200 well . highly recommend business leisure traveler ! 
 Jan 15 2007 	 Classy clean perfect location great staff . 	 hotel beautiful . although small lobby room big , quality room service make big way . I get everyone polite check - in breeze . the room great workstation leather chair printer / fax . internet wire sort restrict desk , tv perfect spot . bathroom shower impeccable great soap gel smell superb . the towel nice thick bathrobe comfortable . although bar resto , NYC great place eat matter direction head in . this location block broadway bit less 5th shopping super becuase time square noisy . there concierge downstair willing help request . the bellhop run directly traffic get cab ..... ( be still alive ! ! ) small workout room low impact machine ( new ) plenty hotel NYC spend place place good gem yet . if NYC look great place stay be relatively quiet , good bet . 
 Jan 9 2007 	 Fantastic Stay 	 hotel small nice . suite nice enough nice size accomodate wife two kid . good location near major shopping . price hotel holiday season could not beat ( know try ) .while bathroom bite small two adult two child clean . bed comfortable . would definately recommend hotel . 
 Jan 9 2007 	 Upper East Side 	 Benjamin locate upper east side Manhattan across street Waldorf , opposite side town Broadway Times Square . however , easily accessible use subway Financial District Battery Park ( ferry Statue Liberty & amp ; Ellis Island ) , , , come couple never stay Manhattan ride subway prior visit . Rockefeller Center , Radio City Music Hall Central Park 10 minute walk away course plenty great place eat nearby . walk ( 30 minute ) 8 pm show Jacobs theater , Broadway , Rockefeller Center Benjamin . benjamin staff friendly , take care every need bother we one single time . bed new comfortable room spotless . 
 Jan 7 2007 	 clean comfortable 	 come back spend night hotel . room nice , clean bed comfortable . stay quite hotel city price ( less hotel class ) well worth . good location many main attraction . staff polite helpful . would definitely recommend stay . tip : room offer selection drink snack , half price , mini - mart right nextdoor leave walk outside . 
 Jan 7 2007 	 exceed expectation 	 stay Benjamin 1/6 receive recommendation friend like central location . number hotel within block include Affinia 50 , Doubletree Metropolitan , Kimberly San Carlos . book online rate $ 198.00 Hotels.com . room 22nd floor small nice view comfortable amenity - super comfy bed comforter , thick towel . nice mini bar selection , printer , internet access etc ... complaint room lack full length mirror . call ask mirror , hotel offer upgrade different room , already settle ask mirror could brought room . phone call back forth front desk housekeeping , get full length mirror bring room , also voucher breakfast make inconvenience . room quiet . amazingly none usual aircon / heating challenge NYC hotel room . room service breakfast order next morning come within 30 minute nicely present , hot feel like someone kitchen actually care making . also take advantage hotel 's spa facial excellent . treatment room bit & quot ; sparse & quot ; esthetician 's pleasant manner expert touch make . service around - excellent . would stay would recommend great place stay . 
 Jan 4 2007 	 Nice hotel ... 	 stay one night ok . suppose pay expect little atmosphere Manhattan hotel expensive . room spotlessly clean quite comfortable . little dark however would like natural light open shade room look straight guest room privacy become issue . would stay ? probably . 
 Dec 20 2006 	 can not beat ! 	 stay absolutely perfect . suite huge balcony awesome . suite large , quiet , update , etc ton amentie . like regular sized fridge put drink , leftover , desert , etc . Smith & amp ; wollensky block away well shopping , restaurant , anything could want . hotel oasis away chaos love New York , also enjoy place refuge . feel like get money 's worth room New York . suite size apartment huge balcony , kitchen , work space , dining table , living room , bath bedroom less $ 400 . room apartment feel like . ' ve get coffee maker ice maker right finger tip . little thing add great stay . 
 Dec 5 2006 	 Wonderful Hotel 	 wonderful hotel ! staff friendly appreciate intimate aspect hotel . 7th floor Lexington side street noise actually little loud . although & quot ; white noise & quot ; machine available , room come one not bother order front desk figure honk something expect ny.our room amazing ! wonderful come & quot ; home & quot ; end day really able unwind . seperate live space bedroom plus small kitchenette bonus expect heart Manahattan . bed great , pillow menue amazing , everything sparkle clean . the location great . hope come back day ! think romantic . 
 Nov 29 2006 	 Good Choice 	 pleasant stay Benjamin several week ago . hotel lobby small , provide free copy several paper guest . first place smoking room ; ask move , apolgize profusely give fruit basket personal note manager . nice touch make feel like appreciate business . enjoy & quot ; pillow menu & quot ; allow order eight different type pillow housekeeping staff . fax machine room . though pricey time , hotel good choice wish romantic getaway travel midtown business . 
 Nov 3 2006 	 Speechless 	 wow , wow wow . I New York many occasion business pleasure stay many & quot ; Luxury & quot ; hotel . absolutely speechless gem hotel . book primarily excellent review find Trip Advisor . Believe , disappointed . whole time , think anything negative say hotel review really difficult time . check Sunday Afternoon greet nice employee desk . check process seamless put 11th floor . upon enter room , shock high ceiling ( room ny small ) . room exception expect Manhattan . ceiling make room comfortable seem spacious . décor desk nice . amazing thing hotel extra even " luxury " hotel . see often . large selection customize pillow available . 2 comfortable bathrobe usage ( unlike Waldorf Astoria recent stay ) . " white noise machine " like one enjoy house ( Brookstone ) . complimentary shoeshine incredible feature . soaps shampoos spa quality . kitchen area nice although fridge stock Mini Bar item , take 70 % fridge . bed extremely comfortable outside noise . say enough staff , incredible . doorman almost kill catch cab rush hour . middle Lexington blow whistle ; quite site actually get cab ( difficult time location ) .The negative belowthe hotel small mind ) , many story quite small lobby . water pressure shower great . 2 elevator , mean sometimes wait little long . bar / restaurant construction able enjoy feature . overall ( tell ) love hotel tell colleague friend hotel . truly one comfortable pleasant enjoy experience ever . 
