perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Aug 4 2008 	 Wonderful Staff ! Great Hotel ! ! 	 hotel beautiful great location . room small luxurious . hotel staff sublime . concierge service , call & quot ; agent desire & quot ; fantastic especially fine gentleman name John Paul . look forward stay next time Manhattan ! wonderful scottish restaurant /tavern next door could seem leave ! 
 Aug 2 2008 	 Loved Mela ! 	 stay five night hotel . travel 19 month old son . hotel child friendly . little worried noise , give location , could not hear peep ! would go back heartbeat ! staff incredibly friendly , room clean could beat location ! front desk staff always helpful , give we tip go meal , place see , etc . feel room small . great size . look forward visit ! 
 Aug 1 2008 	 great time square visit 	 first time Hotwire user , pleasantly surprise HotelMela . turn , yes small , clean comfortable , short walk anything see New York . itprovide great place sleep recover endlesstrek sightseeing play . really nice , . 
 Jul 30 2008 	 kind like Hotel Mela 	 check slow - seem though room available , room number type document sign credit card validation indidcate room give key for . I enter room use smoking room ! ask move . downgrade standard room anohter floor . check even long - 20 minute + /- . internet , email bill I . just smooth operation ! ! ! 
 Jul 30 2008 	 Perfect Location 	 first time New York City , travel extensively Travel Agent world . hotel fabulous . yes , room small upscale . external noise even though hotel 1/2 block Time Square . staff always smile extremely accommodating . like small boutique hotel atmosphere great price , place . definitely recommend hotel client . 
 Jul 29 2008 	 Hotel Mela - great oasis Times Sq 	 Hotel Mela half block Times Sq . check - in general staff service superb - ask room 2 twin bed able get . room nice - smallish , be NYC . clean , well - light , nice decor layout ( light blue wallpaper , pretty soothing ) , excellent housekeeping service . tiny efficient elevator . view across street theater ; first room view across alley brick wall next door . come NYC view hotel room anyway ? 7th floor room overlook street lead Times Square Mela quieter 48th floor room Millenium across street . leave Mela nice pricey bistro next door right , nice grocery store / deli next door leave , hot tea snackie way back room . superb location theater , subway , shopping . favorite 3 hotel NYC far would happily stay future visit . 
 Jul 24 2008 	 Great Value Location 	 great location value weekend stay . room fairly typical size ny . however , modern bath room accessory . staff friendly . would definately consider return visit hotel . 
 Jul 21 2008 	 four star nice relax hotel good staff NYC 	 hotel great location near theater district yet still somewhat remove bustle Times Square . staff extremely nice well helpful . hotel modern furnishing tasteful . elevators extremely TINY ....... even little people Wizard Oz would felt cramp . fitness area nice hotel two computer available use w / printer ..... laptop wireless internet available room . our room small view bed comfortable bathroom decent size . everything tastefully decorate . also standard 12:00 p.m. checkout nice . the hotel restaurant ( Saju ) actually pretty good attract actor theater across street . seafood pasta pork tenderloin . food excellent waitress interested chat bar patron check we . St. Andrew 's pub right next door good place grab sandwich late night pint . all enjoyable stay Hotel Mela confess would stay unless get good rate hotwire , etc . anything $ 200 night room worth . also hotel , though nice classify 3 3.5 star oppose 4 star . 
 Jul 20 2008 	 well Hotel Mela 	 book girl trip NYC stay Hotel Mela . due book error , not enough bed us Star game . hotel might say sad bad , Hotel Mela staff bend backwards get accomodation six . put we penthouse , take care we week . Hotel Mela excellent staff housekeeping concierge , top notch people pleaser . room elevator pretty small , personal service receive make close quarter . come know many staff name , treat small town lady like vip . 
 Jul 20 2008 	 Pleasant stay Hotel Mela 	 stay overnight Hotel Mela visit son work Manhattan . choose hotel proximity Minskoff Theater Lion King . show permanent home theater right Broadway heart Times Square . hotel , tuck quiet part West 44th Street , close Times Square big plus . small entrance lobby area elevator small , clean well do visually . deluxe King room certainly big enough two people relax comfortably . air condition digital wall thermostat great room clean modern , date interior design . exciting NYC view look , go somewhere else . everything need room , coffee tea want . bountiful snack wet bar , would never pay . nice able stick drink inside fridge though ... bed moderately comfortable back problem bed bother . lot pillow . would definitely stay . 
 Jul 20 2008 	 good ` ` W '' short ` ` hip '' 	 live city 8 year , stay hotel return , usually stay Grammercy Park Hotel ( fine , totally cool place ) . time mood stay near Times Square try Hotel Mela . absolutely convenient little hotel step away broadway action , perfect tourist reason . first impression fresh , new intimate , extremely friendly , start front desk . pay $ 269 Travelzoo.com , get king size bed small room , small comfort . room feel clean new , small desk , free wi - fi , small flat screen tv , nice little closet comfortable entirely deluxe bathroom . nice product . not really appreciate huge basket fill pricey temptation , take much space move way ! bed extremely comfortable , room quiet dark night . really nothign complain , positively big step usual chain hotel . 
 Jul 18 2008 	 Great Location great stay ! 	 hotel excellent location - stone 's throw away Times Square ! party 4 book Mela suite . W arrive early wait roon free . hotel management offer we 2 room rather suite settle early . give executive suite tell collect key room later day . later day , get key room discover room MUCH small executive suite . mean small mean put suite case room would room walk around ! ask room change hotel accomadate request ! show Mela Desires suite must say Mela suite small desire little big still big expect . fortunate give 2 room much space - shop NYC , space room must ! staff wonderful ! always polite helpful ! hotel modern house keep excellent well ! great location - stone throw be away Times Square ! would defnitely stay ! 
 Jul 14 2008 	 Loved ! 	 stay Hotel Mela 6 day completely delighted experience . upgrade we executive suite , small , lovely . location beat . room quiet extremely clean . impress upon enough wonderful staff . maid - service desk clerk concierge , everyone great ! always someone greet leave enter hotel friendly helpful . please consider stay lovely Hotel Mela , will glad ! 
 Jul 14 2008 	 Great Little Hotel One ever Heard 	 find Hotel Mela Hotels.com search , although call book room . want something Times Square area NYC clean ( New York standard ) affordable . Hotel Mela get good review , must add review -- pleasant experience . the room small ( room 190 square foot total , hotel disclose fact book ; large room available additional cost ) . main concern book hotel clean , Hotel Mela fit bill . must say feel quite comfortable cleanliness , usually big issue hotel . Hotel Mela quite new modern . staff friendly , knowledgeable helpful . build small -- mere sliver build overwhelming Times Square neighborhood , might miss walk . be well worth look , however . location superb ( easy 2 - 3 block Times Square subway stop , locate half block 7th avenue 44th Street ) . fact , would expect lodge conveniently locate command much high price . we waterfall shower mini bar room , well armoire two full nightstand drawer . free wi - fi available throughout property . like room , elevator small serviceable . arrive , air conditioning unit put cold air . report concierge , time return room , actually chilly . hotel ice machine guest use , ice bucket provide -- call front desk happily deliver . there plenty good restaurant cafe within block Hotel Mela , include Saju Bistro locate next door ( also doe Hotel Mela 's room service ) , another pub hearty fare side , cafe across street . fine feature Hotel Mela certainly staff -- every person speak friendly helpful , time booked room check . overall , really excellent experience ( tempt give five star , remain rather tough evaluator reserve five star truly rare extraordinary ) . if / when head NYC , Hotel Mela first call . 
 Jul 14 2008 	 absolutely choice time square 	 Hotwire Rates hotel 4 star , rate 2.5 star , definitely well hotel time square price range : small room , storage space , room service , doorman , view , ' close drape privacy question , room across window 3 yard away guest look directly room , find bit offensive , since room small really ' option avoid look window guest room . trip also stay millennium Broadway ' across street Mela , pay rate Mela , 2 hotel world apart room millennium twice size Mela , almost every room come view time square , write review millennium , also stay Marriott marquis across time square 50 $ night diffidently worth , advice stay Mela choose one many nice hotel area even low rate Mela . 
 Jul 14 2008 	 Loved hotel ! 	 beautiful little hotel locate West 44th Street ... literally 1/2 block away Times Square - within walk distance big theatre eliminate need car - nice driving Midtown Manhattan CRAZY ! staff professional ( single bad apple - ok ... pun intend ! ) , courteous friendly . stay deluxe king room 2nd floor . one small inconvenience - not stay second floor help - gym floor someone watch tv , hear room . , would hesitation stay hotel . 
 Jul 11 2008 	 Awesome ! ! ! 	 wife stay two night Hotel Mela , 2 year anniversary . respect , perfectly enjoyable stay . room extremely comfortable , several subtle appointment touch certainly go unnoticed . John Paul , Concierge , gracious human we , even suggest place go dinner nightlife . likewise , rest staff always friendly accommodating . five Stars way Hotel Mela ! ! 
 Jul 8 2008 	 nice find near Times Square 	 wife need book three - night stay group us near Times Square part birthday celebration weekend come across Hotel Mela . ' ve New York handful occasion , admit never hear Mela . delightful surprise ! starter , receive nothing friendly attentive service entire staff entire staff -- underestimate . ok , yes , room size bit ... & quot ; cozy & quot ; , shall say , clean , comfortable , part , pretty quiet couple block bustle Times Square . ( honestly , much time actually spend room be visit City ? ) be use size european hotel room , right alley . , course , be hard beat location . 
 Jul 8 2008 	 romantic weekend ! 	 husband look hotel give we private romantic feel . Hotel Mela perfect ! ! ! love everythingabout . pleasantly surprise friendly everyonewas . never experience friendly staff otherhotel . hotel also clean . definitely bestaying , soon . Tonya Godwin 
 Jul 5 2008 	 Hotel Mela : Perfect many Ways ! 	 fortunate stay Hotel Mela five day , June 28 -- July 2 , 2008 . son give we Christmas present 5 day NYC see Broadway Show 3 NY Yankee Games old stadium close , choose hotel pay everything ! read review state room small , prepared . find bit & quot ; tight & quot ; beautiful ... modern , clean , extremely comfortable bed / pillow . close everything ... shopping , subway , theater , restaurant . Bistro , restaurant next Hotel , wonderful place breakfast , . , praise staff ... helpful , pleasant ; seem enjoy take pride work , housekeeper , maintenance person receptionist . LOVED hotel would definitely return area . 
 Jun 30 2008 	 love Hotel Mela ! ! ! 	 trip New York amazing ! Hotel Mela beautiful , comfortable step away everything . staff exceptional . always smile friendly hello housekeeping , front desk , etc ... Ian Freddy great moment check departure . dinner Saju , ( locate right next door ) great service long time . server Elyse pleasant true professional . not want stay anywhere else ny . thank make trip memorable one . 
 Jun 25 2008 	 new Hotel Mela fan 	 recently stay Hotel Mela 3 - night trip niece . read reviews Trip Advisor , bit concerned size room . happy report need concern . Deluxe Twin room book plenty big two we . hotel great location , staff incredibly friendly room clean . definitely stay hotel recommend other . 
 Jun 20 2008 	 Hotel Mela . Great Location . Great Service . 	 Hotel Mela step away Time Square . within minute pass bunch Broadway playhouse , much glitz glitter midwestern eye sparkle . baseball weekend , catch subway block away quickly make Yankee Stadium . the staff exceptionally friendly always helpful . regret could not stay long . many famous landmark walk distance can not turn corner without see something recognize . 
 Jun 19 2008 	 clean light sleeper 	 first , positive point Hotel Mela -- room hotel clean . reasonable - sized bathroom nice shower . comfortable bed . great proximity Times Square several theatre . free wifi . now , negative point -- thin wall window allow lot street noise come room . plus , heavy curtain close window ... thin drape block light noise ( nosy folk across street ) . room also small , desk chair work at . I go ny quite bit business , give choice , not think will stay Mela , simply know nice hotel area . 
 Jun 17 2008 	 Fantastic Hotel 	 stay 6 night ( May 20 thru 26 ) hotel fantastic . staff helpful always greet we way out . our bedroom superb room service great . bathroom nice shower room well appoint tv , aircon , fridge , internet comfortable king size bed . match wonderful hotel position . one block Times Square ... get well hotel close heart NYC.We would recommend hotel everybody ... great value ... great position ... great people ... great hotel 
 Jun 16 2008 	 Loved hotel Mela ! 	 stay Hotel Mela 3 night April . wonderful location fantastic hotel . step away Times Square quiet street . lobby small beautifuly appoint front desk staff wonderful . maid bit annoying last day hang around outside room wait tip . room clean well though . room tiny enough room 2 us problem . use top wardrobe store luggage make floor space . upon inspection room find air con leak onto carpet front desk make cut room upgrade fee half . bed tiny ... fact everything hotel small scale include elevator part charm . tall person ( 6 ' ) would fit bed well . hope get chance go back Hotel Mela . 
 Jun 16 2008 	 great location great service great stay NY 	 fabulous stay NY end honeymoon Hotel Mela . Located Times Square close transport , fun , food entertainment . the service fantastic time contact enquire room restaurant recommend book we , direction give additional request cater . lucky enough get room upgrade room additional area put case etc . imagine without would struggle make room stuff . worth enquire large room booking . the decor great , H2O product bathroom tea coffee pod available room . small complaint room clean service every day re - fills tea coffee product haphazard ask extras morning cup tea . we would definitely stay would recommend anyone come NY look reasonable price comfort bit style . 
 Jun 15 2008 	 great place stay ! 	 Hotel Mela may grand lobby large hotel clean comfortable room make . every employee encounter friendly helpful . every request make handle quickly courteously . first trip New York struggle pick hotel suggest hotel travel agent . turn great choice hesitate stay next trip New York . definitely recommend hotel travel agent anyone else look great place stay Times Square , New York City . 
 Jun 12 2008 	 Compact bijoux 	 spend week Mela late May . room tiny comfortable stylish , though give free wifi desk area would helpful . excellent reasonably price minibar service include large basket goody , replenish daily . housekeeping excellent . sadly view derelict wall ventilation fan outside somewhat noisy really , much time spend New York hotel room ? Bathroom also compact well kitte . air conditioning excellent reception staff helpful ( move three time arrival - first room non - smoking , second next noisy generator ) nothing much trouble . location good bit near mania Times Square like though other may ideal . bistro next door excellent . would stay would perhaps go extra cost large room . 
 Jun 11 2008 	 Hotel Mela New Secret 	 second visit Hotel Mela within last six month happy time first . small lobby always smell delicious . clean look . conceirge desk front enter revolve door front desk . walk elevator small sit area couch couple chair . room clean . Decor pleasing eye . modern . I like location walk front door leave half block Broadway . corner ABC studio always something go morning news . couple door Starbucks ( need starbuck morning ) . turn right front door 6th Avenue . across street Cafe Un Deux Troiswww.cafeundeuxtrois.biz123 W 44th StNew York , NY 10036 ( 212 ) 354 - 4148get directions55 review , menu , » & quot ; love , love , love 1 - 2 - 3 ! convenient place , lovely ... & quot ; Small Boutique Hotel Excellent Service . highly recommend . ever need great Realtor South Florida please check website http : //www . DeniseMadan.com call 786 344 8004.the Madan Family 
 Jun 8 2008 	 Loved ! 	 will not lie : room hotel TINY ! much , 5 ' 3 105 pound person , walk sideways get bed washroom . despite , good time ! room extremely clean , washroom come amazing H20 amenity hotel centrally locate come . add wonderful staff , never hesitate make reservation check address , ' ve get perfect NYC experience ! 
 Jun 6 2008 	 Clean Convenient ... SMALL . 	 stay Hotel Mela end May four night . room be not ready arrival check process pretty efficient staff ok too . the problem hotel size . give room absolutely tiny ... mean tiny . stay room describe small joke . barely room suitcase floor like cell ! call front desk inform would pay upgrade . pretty annoyed hotel point miraculously manage find big room category ... extra charge . new room much much well . far room , look onto street enough room sort outselve in . so that s bad bit . good point : great location - less 2 minute walk Times Square . central , walk distance many site like Rockerfeller , Grand Central Station , Macy 's etc ... room generally clean , modern nice bathroom . LCD tv also nice touch . do not try food Times Square right outside . overall good choice provide get nice room . stay would guarantee decent size room book . 
 Jun 2 2008 	 Cold Showers 	 good location like Time Square . bed really comfortable , book Hotwire , advise book double bed- king , pay $ 30 extra arrive . restaurant next door nice , food good . however , shower provide hot water , bummer . also , go starbuck' - right around corner greet nice pile throw someone party Times Square night . tell staff may want clean up - it right outside main door . get back coffee , mortify see pigeon eat ! ! ! Yuck ! 30 minute later - still . double Yuck ! ! ! worth price , bed comfty . good Luck ! 
 may 29 2008 	 clean Clean Clean Quiet 	 ' ve stay Mela three time time exceed expectation term cleanliness . room also extraordinarily quite compare area . amenity not super fancy really can not well price / value . great business traveler need stay near Times Square . 
 may 27 2008 	 Loved mouse 	 go New York business pleasure . normally stay Kintano New York ( stay ) due cost cutting put hotel Mela . I get New York early Sunday afternoon request early check could get shop do work . I able check till 3.30 pm room available . staff apologise seem hurry sort issue . keep push they . anyway get room furnish modern style bathroom good size . ( delux room ) much mention bath product replace use disappointment . the bed face door fit edge nice gap around door let light noise ( 4 pick breakfast menus door ) .bed really comfortable settle well 2nd night hear nice rustling noise mini basket low behold find mouse eat chocolate . I jet lag complain night ( must really jet lag ) next morning staff look mortify . they pay mini bar bill ( wish one bottle water ) give boss free breakfast great Bistro next door . while check helpful door man say similar problem mouse 3 week . dare ask knew room be . the room still cheap ( £ 150 per night ) not think stay , good small gym fruit resident take . seem free internet access near gym well WIFI room laptop . 
 May 25 2008 	 Perfect Location 	 Hotel Mela fantastic location , literally 10 second walk centre Times Sqaure . room fairly small ( expect New York ) , perfectly form , furnishing high standard . staff really friendly helpful , everything organise well , include end stay luggage storage . overall good hotel , would recommend base excellent location ! 
 may 23 2008 	 Hotel Mela place stay ! 	 be always little scary choose hotel New York City ! cost definately factor , cleanliness key . lot search perfect get - away weekend daughter , choose Hotel Mela . have never hear far exceed expectation arrive . location totally amazing ... right Times Square ! yet peaceful calm hotel room ! although order Delux room upgrade upon arrival huge space . concerned read review room large postage stamp one ! could put Broadway Show bathroom ! staff go way ask need anything , enjoy stay , etc . helpful ! umbrellas front door rainy day restaurant next door winner ! .. breakfast room service ! definately return Hotel Mela ! 
 May 22 2008 	 wonderful ! ! ! 	 May , 2008hotel Mela New York , NYMy girlfriend turn 60 year want celebrate big way . pick hotel Times Square reading review several site . positive . disappointed . hotel may opulent old hotel attractive . 2 block main street close activity Times Square . subway close . two staff Nick Phil help we ticket wicked instruction navigate around town , staff . air conditioner cool room minute , late night . responsive service ' ve ever . hesitate stay . bed comfortable , room size adequate , quiet clean . sincerely ; Linda & amp ; Kathy 
 May 21 2008 	 Client Service 	 stay hotel , client stayed recently leave personal article . depart city find article , know someone stay nearby hotel . call front desk ask could help . desk clerk , Harold , transfer Manager Housekeeping leave message callback . receive one end day call back speak Harold . concerned speak someone could help contact & quot ; live & quot ; person - Asst . Manager Housekeeping , Josie . apologize profusely keep hold moment . Josie amazingly helpful . get messenger service deal article need call back credit card number . say have wait callback ! ! 20 minute later ! ! greet ... & quot ; tell have wait call . & quot ; amazed service rudeness , sigh ask something way - SERVE ! ' m next New York , hotel stay ! ! 
 may 14 2008 	 Excellent stay fantastic hotel 	 Excellent hotel , location service . we ask room higher get one 14th floor - quiet , large comfortable room 2 people despite review read . however , suspect deluxe room standard may lucky . room contemporary decor clean . tea / coffee make facility room ( suggest take travel kettle ) although free internet access laptop user room charge 7 dollar 15mins internet use not laptop ( locate 2nd floor ) - get free access tourist info.centre minute away Times Square . hotel staff extremely helpfu friendly sort info , nothing much trouble . always treat guest courtesy .The lobby small want sit lobby New York anyway- plenty bar eatery nearby . area around 8th Avenue affordable well restaurant nearby 7th ave otherwise worth venture towards Lexington ave beyond - quiter Times Square area . although Mela near Times Square , quiet street centrally locate famous tourist site - easily accessible walking / subway / bus . worth buy Citypass subway pass ( use bus ) day . also try buy Broadway show ticket online guarantee get show want see - discount ticket we never exist - all seat sell . overall fantastic stay fantastic hotel city would recommend other . 
 may 11 2008 	 great Weekend 	 think stay hotel fantastic , staff courtious service provide excellent throughout stay . would recommend hotel anyone visit NYC , especially want ideal Times Square locatiom . great fun ! 
 May 2 2008 	 nice hotel 	 nice hotel midle everything . clean , confortable bed , excelent bistro outside hotel . 
 Apr 29 2008 	 return price right 	 really long detailed search find hotel Red Tag cheap Expedia . we junior executive spacious too . plus : location , even though step away crowd busy Times Square central ; room quiet bed unltra comfortable ; fanatastic bathroom product , return fall acquire supply ; hang lobby way beyond checkout time ready catch flight ; love fruit front desk ; staff pleasant friendlyminuse : well light please ; one robe miss replacement dirty replace quickly apology ; one bedside table miss 
 Apr 29 2008 	 good position clean 	 return week Hotel Mela . book superior room ( warn low grade room ) disappoint find virtually closet natural light , give not cheap hotel . explain hotel staff acceptable 7 night NYC special occasion . helpful eventually move much well deluxe room - actually room unpack . the Hotel well situate near Times Square near 5th Avenue subway afield . clean room pleasantly decorate small lobby couple sofas . staff try anything make stay well . 
 Apr 25 2008 	 well hotel 	 squeeze tiny queen bed room discover desk , practical place luggage even luggage stand . cheap hotel be business trip , desk ridiculous . turn double bedded room desk , staff front desk politely allow change room . the room 1 double bed equally tiny . discover tv behind large basket in - room food move food closet . nice bathroom gown , however , disappear first night replace . phone next bed not work . yes decor wonderfully boutique free wireless , not think will back .. 
 Apr 24 2008 	 great staff great location . 	 LOUISIANA : stay Hotel Mela great ; staff accommodate , go way assist we ( husband recently break ankle , use wheelchair and/or walker get around ) . location wonderful , near theater , shopping , resturant , etc . recommend friend . 
 Apr 22 2008 	 Brilliant Hotel 	 first visit New York want locate centrally . ' ask well . hotel right Times Square without noise hustle bustle . number place eat street hotel unfortunately ' get try place next door look really good . staff extremely friendly professional time . ask change room due lack natural light happy try accommodate we show we 2 different room could choose . base previous review expect room tiny find absolutely adequate amount time go spend . overall room spotlessly clean , sheet really fresh toiletry lovely touch . really picky , thing could comment towel . ' enough pretty small . overall though ' fault Mela , ' fantastic hotel definitely recommend other ! ! ! 
 Apr 17 2008 	 small central smart 	 come London stay Mela four day part whistlestop break . Described & quot ; boutique hotel & quot ; , due fact restaurant , bar lounge space hotel , stretch say will enjoy & quot ; boutique hotel experience & quot ; true form . say , decor smart clean - hotel earn moniker ' boutique ' virtue minimal , reasonably cool furnishing ( ie dark Lombok - esque furniture etc ) small space exist ie room , lobby space two sofas lift . location - wise , great Times Square ( equivalent Leicester Square visit UK ) Theatreland be look . be 15 / 20 min walk shop 5th / Lexington hop cab 5 min ride traffic good . we encounter bit noise road - 's expect be stay near Times Square 's unacceptable mean . bed comfy , room shower bath slightly large . the staff good bunch really helpful - real plus point hotel . all , decent hotel small - understand acceptable be comfy bed crash central area . next time think will try somewhere marginally cheap amenity ie late night drink / lounge area , probably near hardcore touristy Times Square area . love NYC - would not - back soon ... 
 Apr 14 2008 	 good Choice ! 	 get back 3 night stay Hotel Mela . hotel great ! friend annual girl 's trip weekend NYC always look good boutique hotel stay . end day , price right , criterion look meet - 's stay . this hotel comprabale NYC boutique hotel decor funky , room generally small . however , make hotel stand , relatively new , therefore room extremely fresh clean . secondly , staff fantastic . friendly efficient , without pretentious attitude get certain boutique hotel . bar lobby scene , hotel restaurant next door ( not get chance eat , always busy ) location great want near Times Square theatre . the negative - like tea / coffee room nothing available , even lobby . , stay great . 
 Apr 13 2008 	 nice ! 	 nice close Times Square family Broadway show dinner , nice room , clean , quiet , problem . hotel beat & quot ; chain - hotel & quot ; hand down . check front desk service professsional , hotel get 
 Apr 12 2008 	 fantastic LOCATION Service 	 Mela fantastic experience . city first time , girlfriend many many time stay place like four Seasons , Ritz , Peninsula , etc ; blow away place . like many get basic room ample satisfy shopping fetish ; mean big Saks dressing room x2 . service impeccable check - in check - out . issue mini - bar prepping go within five minute take care . also , fantastic help get Yankees game Subway . Service Fantastic . both place next door great drink , early late , include Saju St. Andrews Scottish Pub City . certainly would recommend anyone mention location phenomenal . 
 Apr 4 2008 	 Chic ... Great Service 	 100 foot Times Square ! ! ! middle noise room . modern decor , beautiful clean . everyone smile ask be ( bellboy , front desk , housekeeper ) . offer umbrella raining wish we happy anniversary ! ! upon check - in request , upgrade beautifully spacious executive room . Nick JP extremely helpful direction suggestion ... Carnegie Deli ( MUST - have cheese blintze ! ! ) Brooklyn Diner around corner ... AMAZING mac & amp ; cheese ( typical mac & amp ; cheese ) Noodle Kugel ( OMG ! ! ! ) HIGHLY RECOMMEND HOTEL ! ! ! ! ! ! ! ! ! ! ESPECIALLY COUPLES = ) 
 Apr 2 2008 	 Location Location Location 	 situate right Times Square location hotel key . hotel clean staff extremely friendly . boutique style room small adequate tastefully decorate . standard room shower room request bath well shower luckily accommodate . mini bar flat screen tv , along CD / mp3 player provide ..... although little time spend room . ideal location explore Manhattan . two block Central Station right heartland Broadway theatre . full array bar , restaurant diner right doorstep take time walk Soho , Little Italy , Greenwich Village Chinatown etc . savour atmosphere ... walk direction take Central Park - do not pass famous Carnegie Deli opposite Carnegie Hall - must ! visit Easter , tail end St Patrick 's celebration city buzz many tourist . back soon defo stay Hotel Mela .... 
 Mar 31 2008 	 Disappointing Hotel Mela 	 base terrific review site , decide stay Hotel Mela recent , 10 - night stay NYC . fairly disappointed experience . travel NYC 4 time year stay quite hotel , bad , much well . yes , Mela boutique hotel would not call trendy , unless couple shabby sofas small lobby pipe - in electronica deem . Everything Mela tiny , elevator , hallway , room , understand review . not expect aesthetically mundane place . executive suite anything spectacular . rather , dark , drab lifeless . view . flat screen tv cheap have ever see truly abysmal reception . bathroom clean small , bright spot entire hotel . , overall , room clean unremarkable , forgettable . 10 night stay , problem encounter : room service food really awful , slow . order bagel lox one morning take 45 minute arrive without creme cheese . phone , say would send right . arrive 45 minute later , another phone call . another morning , awoken 7 am knock door . breakfast order arrive . bad not place one . clean staff , loud ever encounter . apparently regard fact guest might sleep , else want wake early get room could clean . march hall , speak walkie - talkie loud could hear every word , banged door hit wall supply . yet still manage forget refill empty Kleenex , pick dirty glass , leave new tea coffee bag , even leave toilet paper one morning . speak slam door , something must do . door tend slam shut let go closing way , mean stay hotel , prepare lot slamming door hour every guest come leave . one occasion , hear guest sneeze talk room , even hear someone take shower . basically , loud hotel . soothe slight . finally , wake call order never come , inexplicably , come late ! ? ! ? exactly happen ? perfect coda experience Mela ? went use express checkout leave , not work . sorta make sense nothing stay Mela convenient way , shape form . , will not stay . hotel like Michelangeo stone's - throw away money superior every way . 
 Mar 30 2008 	 Great Location - Lots Fun 	 go wife four day trip NYC fun , shopping entertainment . Rooms- small room city nicely decorate everything room mazimize limited amount space never actually feel claustophobic.- warn though standard room sometimes come double bed . double bed tired end day not matter.- flat screen television HBO good variety channels- wireless internet notebook computer- good shampoo , soap , cream , etc . SpaLocation- close Times Square 44th Broadway stuff- five minute walk Grand Central Station pretty much get anywhere city $ 2.- Check Virgil 's BBQ 44th right beside hotel amazing chicken , ribs , macaroni , etc . - nothin fancy damn good . Amenities- small gym treadmill , bike one eliptical ( sp ? ) Complaints- none blast reasonable NYC . 
 Mar 29 2008 	 great stay great location great staff 	 book hotel website compare expedia , hotels.com , orbitz ... twenty dollar cheap per night . hotel chic tiny . would much rather good service clean / trendy atmosphere crappy mega / anonymous chain . when go room reek cigarette , though non - smoking floor . call immediately send maid ionizer deoderizer ... since still satisfied , ask manager bring we key new room five minute flat . everyone friendly , give good direction , bell hop stand middle street get we cab . same - sex couple treat well staff ( mean lot we ) .would stay close time square , subway , walk distance trendy part 5th ave . 
 Mar 29 2008 	 happy stay thje Mela 	 Stayed Mela husband early March week look review tripadvisor really pleased . location fantastic sightseeing , timesquare end block tour bus start time square 8th avenue within walking distance . hotel staff fantastic clearly genuinely happy help . bed pillow really comfortable . build work take place next door do not affect stay . room clean nicely decorate . we discover Jacks restaruant fantastic food ambience couple block away . Rock , Empire State Building , Macy 's Times Square underground station good connection within walking distance . btw , can not visit without try cheesecake Roxy 's time square ! ! already recommend hotel family friend fantastic time . thank - you Hotel Mela . : - ) 
 Mar 27 2008 	 ` ` fantastic '' 	 Lets misconception . hotel ( affordable normal middle class person ) slightly small say home bedroom / en - suite , exactly feel Hotel Mela . however , hotel excellent every way especially young professional / single look cultural weekend big apple without hotel bill chain hotel . encounter walk revolving door friendly ( false top ) staff modern boutique style reception area play chill music ( due slight air con problem ) mild temperature March ( i m sure sorted ) . enter small standard room delighted find everything illustrate informative website . great decor throughout match trendy finish shower room ( guess bath instal large suite room ) compensate perfectly size . would say comparison Brits , find room roughly size typical Travel lodge although far superior finish decoration finish wise would rival 4 star hotel UK . can not really give hotel superlative website describe locate 50 yard time square great location . will stay next time return , one happy architect . 
 Mar 25 2008 	 small room yes FABULOUS staff location 	 small , neat room wonderfully comfortable appoint contemporary style . good value . besides can't - be - beat location , wow several member staff . Jean Paul front desk seem authentically personally glad see we - even head duty , guitar shoulder . & quot ; Desires & quot ; desk , Tirone Reina exceptional . help we everything salon appointment , restaurant reservation even track PERSONALLY deliver two bottle particular champagne . prepare small room . also maids not remove dirty champagne glass 2 day , dump long melt ice . 
