never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 May 25 2008 	 strange place 	 strange ' hotel ' , surely never build hotel ! awful ' arrival experience ' taxi driver warn , many guest can not believe hotel ! drive dingy basement , ' intercom pillar , buzz yr let security door corridor lift , like old office building fire escape … disturbing ! Checkin , ok , people front queue , tell wrong hotel . there s another bit across road ' separate , know book ? idea . the room , bit shabby large , fact big room I ve ever London , bathroom ok . the restaurant bit like motorway service station , 20 yrs ago….all odd , unpleasant odd . the good thing location , one direction Covent Garden , Tottenham Ct Rd Oxford St. so want central location , get cheap deal , fancy odd experience , there s sharing room , go ! 
 may 8 2008 	 Great Location 	 Perfect location British Museum , Covent Garden , Oxford Street 's close exciting stay London . amenity Travelodge fair - ok not supply hair dryer - supply tea coffee facility unlike Travelodges one offer full english breakfast menu lounge / coffee / bar facility available . ' ve enough nip back chill start ! ' ve stay 3 time year - last week room virtually corridor - £ 59.00 complaining ! 
 May 7 2008 	 Central 	 well ' ve return 4 night bank holiday weekend . not expect much go read review etc pleasantly surprised . we check High Holborn entrance read new building . other say , hotel basic clean . not double room leave we check ( grant almost 11 pm ) give we family room 4 night . think basically double room big big couch . couch old scruffy dirty look luckily use clothe hanger ! bed queen size would say plenty big . soft find comfortable . close ground reason though big deal . enough towel 2 we people not think would not enough . bed make day bathroom lightly clean . one day forget restock teabag like another poster get breakfast area . real gripe cleaner knock door 9 am day due check try get room clean . check 12 pm add insult injury book late checkout pay extra £ 10 stay 2 pm . major bugbear mine hotel complain reception first tell much another guest knock wrong door ( not , open door sleepy head see cleaner ! ) give apology sort . hotel extremelly busy bank holiday queue breakfast morning quite long . book breakfast one eat much morning refuse pay £ 7.50 slice toast cup tea instead choose go recommendation go nearby cafe ' m glad breakfast look awful hotel . Cafe Ola Franz Cafe 2 min walk right hotel lovely breakfast £ 5 full english . much well quality serve hotel . also street walk get Covent Garden tube station lovely trendy cafe's . the hotel locate midway Holborn Covent Garden tube stop . ( turn right Covent Garden leave Holborn come hotel ) get picadilly line either central line Holborn . less 10 min walk either . pleasant walk Covent Garden stop pass shop / cafe however not escalator ( big lift hundred stairs ) get really really busy use Holborn lot handiness . £ 5.30 get day ticket tube use day . 's 25/30 min walk Picadilly Circus . the room not iron / hairdryer . borrow reception not many . will give iron ironing board 2 hour . unlucky room accross we quite noisy barely not disturb sleep . noisy guest hotel fault . overall would definitely recommend hotel ... cheap , central London hotel base be go spend time . 
 may 6 2008 	 good location 	 stay hotel 2 night May 08 . stay hotel previously impressed room decor , however appear deteriorate somewhat appearance quality . arrive hour early refuse check unless pay £ 10 extra , check pretty slow . room adequate clean . room must vary somewhat hotel room time compare last . facility limit , even buy toilet roll ! good thing hotel location , outweighs bad point , near walk distance covent garden , leciester square , trafalgar square , piccadilly , theatre district . lot step hotel altho ramp back . would stay purely location . 
 May 4 2008 	 good value 	 hotel offer central location reasonable cost . my wife two child book family room en suite . room spacious clean . sofa bed ( separate two single ) ideal child . double bed mattress little soft liking . noise level night ( second floor ) o.k.but good thing hotel location , literary minute everywhere . 
 Apr 28 2008 	 scruffy clean convenient 	 know exactly let book Travelodge recently work area almost 10 year . location spot price cheap . room clean , decor certainly see well day . staff pleasant enough . room sixth floor great view across city not noisy . bad £ 60.this perfect budget traveller would like seclusion en - suite people want spend time explore city , rather luxuriate room . would definitely go back - especially boozy night involve 's 10 min walk excellent eatery & amp ; bar ! 
 Apr 24 2008 	 ok - fine one night 	 spend night work one night would say hotel reasonable central London . reception staff friendly helpful . room stay build opposite reception require key card entry make feel safe . room ok - need update , new carpet / furniture bed perfectly clean comfy . actually great night 's sleep , not happen often stay hotel . bathroom OK , perfectly clean damp apparent couple ceiling tile . shower nice powerful . add location great , couple minute walk Covent Garden . 
 Apr 22 2008 	 fantastic location 	 great location warn facility leave luggage not pre - book £ 10 £ 26 early / late check in / out . hotel could spruce general particular carpet . take hairdryer be not one room . all exactly expect price 
 Apr 22 2008 	 Home Home 	 stay hotel high Holborne Rd - new two Covent Garden Travelodges . arrive London Heathrow easily find way Holborn tube station hotel . staff friendly helpful addition GBP10.00 check hotel 09h30 . grocery store , restuarant fast food place within easy walk distance hotel . breakfast worthwhile consider child eat free . wireless internet reasonable - ( pay week 's access . ) situation Travelodge fantastic GBP49.00 accommodation bargain . look forward stay next London . 
 Apr 20 2008 	 budget hotel 	 book hotel one night stay , use drop luggage shower , , back sleep shower go . really matter 4 * well . really , mean stop hotel , basic , £ 60 family room great locaton theatre 's show 's 's value money . would not pay thou . 
 Apr 20 2008 	 pleasantly surprised 	 read dreadful review place pleasantly surprised stay . upon arrival , check smooth quick - have pay early check - in would recommend need drop bag want avoid check - in rush . first allocate room right next door lift ask change immediately arrange helpful lady Reception problem all . we use travelodge although be pretty basic not offer much way character luxury ' ve always comfortable feel offer good value money one two night stay . Travelodge exception ; spotlessly clean , fairly quiet - consider stay second floor busy road - hum traffic nothing particularly intrusive , excellent location - pleasant stroll Covent Garden 3 minute walk Holborn underground breakfast adequate pretty good value ( £ 7.95 eat buffet - cereal , toast , yoghurt , cook English , etc ) . queue 5 minute breakfast around 9 am , seem busy time greet curteous , efficient staff apologetic delay seat we . we book family room , even though two we , bit space . would recommend also get extra towel bedding want it . if keep mind 's Travelodge , Waldorf pretty cheap compare majority London hotel , hopefully will not disappoint . we would definitely recommend overnight stay theatre break . 
 Apr 19 2008 	 would return 	 Stayed 2 night April business . would stay . clean really clean - champagne cork find behind sofa corner room , couple short black hair bed although linen look press unslept . basic - shampoo , shower gel , hairdryer . location good - situate central London dodgy , shadowy , dark end Drury Lane . speak female persepctive - would feel safe outside dark . Carpet look little unsavoury - need god shampoo vacuum ! receptionist pleasant - move fuss hideous underground room view old matresse stack underground car park first floor . plus plasma screen tv room - luxury . know cheap not cheerful . definitely would recommend . need modernise good lick paint . 
 Apr 13 2008 	 plesent stay 	 stay double room 3 we . really enjoy stay 2 plesent night sleep . central everything . would stay cheap ( London ) good location ! ! room basic slept room never spend hour sit round get dress . room TV , kettle ( tea - bag / coffee milk ) soap plenty spare towel . overall would go back time 
 Apr 9 2008 	 good location much else 	 ' ve stay couple time great another reviewer say , travel - lodge get pay London . location excellent choose seem use school trip group student group , hence noise etc . you get good deal well London hotel shop around plenty time book . ok last minute resort remind University hall residence , student residence ! 
 Apr 7 2008 	 fantastic location 	 visit Travelodge Covent Garden , hotel great , actually 2 separate building , stay new building accross road , standard travelodge hotel , clean , friendly staff spacious room wonderful location . 
 Apr 6 2008 	 good location 	 good location , basic room . clean tidy . manage get night sleep . check busy 2:30 pm people queue book , computer system slow . shampoo , one tiny bar soap , take ! hairdryer room , collect one reception wash hair . handy part town . 
 Apr 4 2008 	 Good Location 	 stay one night theatre visit . hotel conveniently locate near Covent Garden , British Museum restaurant theatre etc . the room clean functional facility basic . one minute bar soap toilet roll running spare . hair dryer could borrow two hour difficult wash hair rise . some fail light bulb .there phone bedroom communication reception impossible event emergency especially top floor . bed comfortable bed linen clean . ok want room rate £ 100 expensive got . 
 Mar 26 2008 	 stay discount - do not pay full rate ! 	 check Monday 17/3/08 stay till Monday 24/3 1 week total . stay , carpet vacumme , sheet change give 1 bar soap ! check Monday , carpet already feel grimy . neither sheet change . Sunday , last night hotel sheet change believe routine day change sheet . Midway stay - Thursday , remove soil pillowcase housekeeping bother replace pillowcase husband sleep stain pillow without pillowcase remainder night routine fresh sheet day Sunday ! Tuesday , Monday night ( first night ) , place comforter bed housekeeping even make bed ! subsequent night , mess bed strew comforter pillow bed ensure housekeeping make bed ! try complain front desk staff unresponsive make insinuate remark change sheet highlight bed make ! average daily rate gbp95 equivalent usd 190 per day ! 
 Mar 23 2008 	 threaten environment - doss - house danger 	 careful . take two room Friday evening ( Easter bank holiday weekend 2008 ) young family . dread possibility , £ 100 / night , might London & quot ; doss - house & quot ; .We return show 11 pm fall asleep . 7th floor . 3 am , someone run along corridor knock every door . nice . 4 am drunken ? drug ? partly begin room 706 yell scream . phone room easy get security . partly continue 7 am , lot shout bang door . nice all . my wife sleep one child , wth , thankfully . room kind threaten environment would frightening . perhaps unlucky ( doubt ) , completely wreck expensive evening show restaurant . there toiletry , phone . wall make paper . gouge door frame ( previous break - in ? ) . yeuch . next time , will not take risk . tempt price , likely less - than - perfect room neighbour spot well ! unless intend arrive back 4 am drunk skunk four mate - give miss ! 
 Mar 17 2008 	 fantastic location 	 without state obvious , 's Travelodge ! standard accomodation across country , different Travelodge stay in . we not expect luxury , basic , clean good value accomodation , get . pay full rate £ 105 per night offer available night stay London . could stay substantially nice hotel central London price , choose one reason - location ! want smack bang middle London , within walk distance everywhere , perfect ! 2 minute British Museum , 5 minute Charing Cross Road outskirt Soho , plenty bar restaurant area . could even walk king cross reasonable time , choose cab typical english weather ! able wander street without reliant public transport fantastic way see experience London . 
 Mar 11 2008 	 ok cheap deal ... otherwise great ! 	 toiletry whatsoever . stay travlodge usually get least shampoo shower gel . vend machine supply extortionate price , order . make emergency dash local shop , make we late show fluster ! ! ! hairdryer either receptionist tell could 2 hours.we pay £ 105 per room say worth £ 40 really . location great , breakfast ok bar price quite reasonable . 
 Mar 8 2008 	 ok would not pay full rate 	 book annual theatre break I ve stay travelodge although normally stay 4 star hotel Shaftesbury Avenue visit London 3 us year £ 49 per room per night really could not pass cheap rate personally would not stay cost well hotel £ 105 per night . U get everything would expect Travelodge hotel Bathroom , Bed , Tea Coffee Tray Tv hay that s need morning do not return till late evening . location spot High Holborn site literally cross road Shaftesbury Avenue way Holborn tube station . all great cheap stay would proberly stay get offer £ 49 per night honestly do not think worth money . 
 Feb 24 2008 	 ok 	 pay full whack room base premis good location hotel £ 100 Friday night central . usual TL fare - toiletry , cheap towel etc good enough one night stay . literally sleep not really matter inside room like . request room upper level ( 2 week get ) never get confirmation , arrival , stick floor 6 13 apology reference request . do not ask breakfast , go mexican place round corner , cheap £ 4.50 greasy . plus point - ask teabag hotel tell help breakfast area vend machine snack etc . 
 Feb 22 2008 	 Good Location 	 cheap deal we - pay full price 2 family room , stick date special birthday celebration half - term ! ! book hotel location near Covent Garden , 10 minute walk away . room basic , expect clean , stay Holborn block , 4th floor hear noise . Mattress bit soft us - 's personal preference . spacious , clean bathroom . worth pay extra £ 10 midday check - in one room , dump bag . we eat breakfast nearby local Cafe Mira , good , plenty around offer really good food reasonable price . staff friendly enjoy stay . 
 Feb 18 2008 	 great location theatre 	 expect travelodge really ... nothing special nothing bad . location great theatreland . top floor ( 7th ) , not noisy . view quite good , last hotel use London view brick wall ! ! ! carpet look new everything clean little shabby bathroom . would not impress have pay £ 105pn standard rate , book early get good deal can not complain . staff nice bar reasonable meal reasonable price . would go ... right price . see pic yourself . PS . hotel split two site , one building drury lane round corner road Shaftsbury theatre . 
 Feb 17 2008 	 Perfect Position noisy ! 	 stay Saturday shopping theatre ( Lord Rings - fabulous show ! ! ) . hotel perfectly position theatre ( 10 min walk Drury Lane ) 10 min walk Covent Garden shop . room fine - however , night rave club across road v.noisy ( punter shout outside / dull ' thud .. thud ' music ) - bad shattered end long day ( ) eventually crash .. would annoy stay one night . might quiter side hotel ( stay room 570 ) . not hotel breakfast ( warn reviewer ) - plenty fab little diner across road ( Museum Road ) nice breakfast follow visit British Museum ( 5 min walk hotel ) . pay extra early check ( midday instead 3 pm - make day ) later check ( 2 pm instead midday - give time see local sight without drag luggage around ) . overall - reasonably good experience shame local racket ! . 
 Feb 15 2008 	 great room location 	 stay High Holborn site Covent Garden Travelodge two night week find everything standard expect Travelodge . we check one reading review say well two . check request quiet room get . 7th floor side build away lift , apart odd siren , not experience much outside noise . the room bathroom clean hospitality tray provide . pillow give request , iron hairdryer available reception . after read review , breakfast around 8 fairly quiet . plentiful good choice cereal , fruit , muffin , croissant usual english breakfast ingredient , keep top . find busy leaving , 9 queue waiting seat . the location great access place . two tube station , also find ten minute walk Picadilly Circus straight Shaftesbury Avenue . while , go see Hairspray Shaftesbury theatre , right next door Travelodge , convenient location could not find . we will not hesitate stay next visit London 
 Feb 11 2008 	 Excellent value money 	 book bargain special offer £ 19 one night ( Sunday ) add breakfast take £ 32.50 family four , superb value money . we clean good sized family room , even little bath bath room , child size , overall consider price great . if want special offer Sunday night tend cheap understandable reason . Monday would £ 105 without breakfast . we 10th floor use city noise morning traffic begin quite noisy . however go city hotel . the breakfast fine we , manage wait couple minute seat . staff friendly helpful , even thing like knife , fork plate may request await . it be breakfast buffet good appetite make worth price convenient course accompany child eat free . croissant coffee person go elsewhere . when come breakfast quite queue . it Travelodge Ritz , clean value money . pay £ 105 .... not think review would positive , still clean central London . 
 Feb 9 2008 	 horrible ! 	 near covent garden ! shabby outside much well inside . look like large tower block . book cheaply , £ 29 night would gutted have pay full price , £ 120 ! 
 Jan 25 2008 	 great value money . 	 stay three night £ 26 per night ( book back july 07 ) .We love stay enjoy Lion King Lyceum . theatre within walk distance Travelodge . also pre - booked breakfast include bacon , scramble egg , cereal , toast , fruit etc . room spotless bed comfortable . would hesitate recommend anyone . location good walk everywhere visit place want help good map ! 
 Jan 13 2008 	 great experience ! ! 	 book Travelodge website really know expect , never stay Travelodge . pay £ 59 double room , impressed ! room spotless , lovely comfortable clean bed , spotless bathroom . not make use food facility find lovely pub accross road Drury Lane call White Hart ( marvellous cauliflower cheese ! ! ) apparantley old haunt Dick Turpin .... also fab little bistro / sandwich bar Lodge sell fab food , starbuck around corner ! ! perfect ! ! , fab stay , would not hesitate stay . go trythe king Cross Royal Scott next - hope not spoil Covent Garden ... 
 Jan 11 2008 	 great value ideal location 	 stay four night High Holborn building pay £ 26 per night room , absolute bargain . location ideal anywhere West end tube short walk away be go afield . room large spotless , staff friendly . would definitely stay again . there review complae noise , expect city traffic barely audible problem . 
 Jan 9 2008 	 Good Cheap Base 	 pay £ 49 / night family room 4 , feel good somewhere within walking distance centre . 's usual Travelodge fayre , not bad thing price , know exactly be get . complaint , would happily come back want save money . 's supermarket hundred yard away Holborn be stingey buy breakfast 
 Jan 4 2008 	 good stay overall 	 stay new year ( 31 - 2nd ) . holbourn road build new build . overall nice thing cost that s london price . would much preferred spending 60/70 would still expect standard , especially pay £ 20 extra check early late arrive reception would get nice view , see quite good massive wreck building opposite side road obscure 90 % view . ( want good view ask floor 12/13 early number ( 50/60 's ) late number ( 80 - 90 's ) give double room could another bed , game twister ( think total enough space 3 single room spare ) room clean , save window sill outside one smoking , cause whole room smell forget 5 min . thing miss kettle stack coffee tea give , Drinks stair judge fact £ 1.20 small bottle lemonade guess eveythe expensive.the Tv good channel guide freeview bunch channel miss , sometimes would go poor quality usual . the reception staff helpful come direction . 2 downside think morning ( 8 - 9 smell breakfast reach 12th floor , honest smell well ( already decide eat brilliant greasy spoon jubilee hall covernt garden really nice bacon butty ) shower - say like baby dribble would harsh really powerful passable powerful , ( add extra 5 - 10 min rinse hair ) 
 Jan 4 2008 	 Good Location Good Price 	 1 night stay Travelodge felt refresh clean . room book double get small double ! although serve purpose room feel cramp . bathroom also small bath , shower clean . location hotel extremely good although difficult find first time visitor . price extremely cheap London however reflect room size . room clean sheet change regularly . 
 Jan 1 2008 	 Good Basic Hotel 	 , good basic hotel . typical travelodge . pay £ 100 per night family room . stay high Holborn building . 5th Floor , room 571 . room spacious enough four we , good sized double bed double sofa bed kid . I towel per person provide , enough . hair dryer toiletry provide see prepared accordingly . bother noise , either hotel outside , yes , street busy bother we . 30 - 31st Dec , return hotel 1:30 new year day trouble get sleep . have breakfast day , £ 7.50 per person 15 's eat free adult . breakfast ok , outstanding . location superb , 5 min C / Garden / theatreland . close Shaftsbury avenue theatre . walk everywehre whilst stay not get tube . location important dozens hotel facillitie place definatley right . 
 Dec 27 2007 	 Value Money 	 stop son hotel late October 2007 . typical travelodge , extremely clean spacious , basic room . think ideal budget work too . the location ideal see site , 5 minute walk Covent Garden , 10 minute Oxford Street , Leicester Square . there Underground station quite near travel afield . breakfast buffet style although walk straight find seat notice queue form around 8.30am guest arrive Breakfast . overall , would recommend hotel anyone budget expect lap luxary . 
 Dec 9 2007 	 go low expectation fine 	 stay hotel one night December need somewhere close Covent Garden party attend . the location ideal covent garden area £ 105 per night ( double room - room ) guess can not expect much price London ! ! staff helpful checking room good & quot ; average & quot ; . arrive room freeze cold heat one small electric wall heater ....... even 6 hour full hardly heated room . bathroom date bath stain really need rip start . extraction fan not work bathroom take shower steam completely . next morning & quot ; luke warm & quot ; water leave 11 am , not exactly make refreshing shower ! room LCD tv coffee / tea make facility nice not check 12 pm day departure . while not expect earth travel lodge hotel need bit TLC money spending bring acceptable modern standard . one night stay fine could not really recommend much long . 
 Dec 8 2007 	 bad experience 	 despite book smoking room week advance bump smoking room stank . room noisy . long queue breakfast . food ok apart egg utterly dehydrate ... second world war powder egg experience . staff friendly . reasonable bar , well go nearby local . 
 Dec 6 2007 	 Wedding Anniversary Break 	 search cheap hotel deal week prior visit avail , could not believe price hotel London . however book Travel Lodge Covent Garden reasonable price wise ( £ 95 per night double room ) seem central attraction . hotel easy find , room clean clean every day . booked breakfast online along book well worth it . overall enjoyable weekend , hotel ideally place theatre district ever return London would definitely consider booking . 
 Nov 29 2007 	 noise 24/7 	 book hotel not bother , not make mistake do . this hotel 2 separate building either side High Holborn . arrival obvious reception High Holborn naively check - big mistake . the High Holborn building awful . room 11th floor still hear traffic noise 24/7 . make bad night club behe hotel 2nd night hear thump music shout scream 4 am . consequence sleep little 2 night stay . I presume 's quieter Drury Lane side . reception not obvious - 's across road High Holborn reception . need walk Drury Lane 50 m stair reception metre right . the room spacious comfortable ... * toiletry provide * hairdryer , borrow reception 1st come basis * one towel per person - ask want * phone roomone positive - 2min walk British Museum wish see Terracotta warrior - great exhibtion . sell 500 ticket day 9.15am , visit 12.30 . get queue going get ticket 1.10 . 
 Nov 19 2007 	 nice cheap hotel 	 nice value hotel pretty good location , although little hike tube station . room simple , money need . 
 Nov 5 2007 	 satisfactory - minor problem 	 overall good stay . room clean presentable although fairly spartan - expect price . comfortable bar / lounge area , although take breakfast . we locate ground floor level noise overnight due return guest early hour . we want leave bag morning last day , train leave late afternoon , facility available . comment car parking use . however , overall good hotel price . 
 Nov 3 2007 	 Perfect Location 	 obtain book line pay £ 63 include 2 breakfast ( bargain ) . go aldwych theatre evening hotel within 10 minute walk theatre ideal . near 2 tube station Covent Garden Holburn . room standard travel lodge quite consider location . pub area pack drank hotel bar go quite . lot nice restaurant vicinity . would definately stay go theatre . * 
 Nov 2 2007 	 good travelodge stay expect 	 £ 95 per night , good , clean room clean bathroom plenty hot water , accomodate 3 people . the hotel location excellent Drury lane extremely convenient surprisingly quiet night . Holborn Covent Garden tube station within 5 minute walk . staff helpful friendly . optional big buffet breakfast £ 7.50 ( kid eat free ) obviate need expensive attraction - base lunch London . it be hard think well value well standard price central London . 
 Oct 31 2007 	 perfect location 's big concern 	 pay £ 95 room exactly expect travelodge : big clean . High Holborn building whichwa relief one Drury lane look like hideous 80 office block use toilet ! High Holborn one ona main road v noisy also mean feel safe time . room overlook side street still get wake bysiren throughout night - perhaps double glazing would not go amiss ( 9th floor ) . however be not enough impact we . location we perfect -it near great place eat , shop drink ( although pubsdont stay open late do not even open sunday ! ) . get taxis everywhere need much cheap tube ( 5 we ) . hotel could wee bit kick make well ( e.g . vend machine computer order entire time , room key fail work lot , staff exactly fast chirpy actually get bit confusedat one point knock door try charge we extra - think mistake never come back ! keep confirmation till leave ! ) . however absolutely perfect we would stay next time london location well anywhere stay city . holiday hotel , stay ! oh breakfast £ 7.50 eat ( do not although smell fabulous - sure pump smell tthe lifts entice ! ) great breakfast place around ( e.g Ola right hotel place Drury Lane ) much cheap ! 
 Oct 29 2007 	 great ' budget ' London hotel 	 stay Travelodge know expect ... good , clean , frill room exactly get . there two building hotel ( either side High Holborn ) .. High Holborn one . we two room ( 2 adult 4 kid ) . book family room ( double plus small pullout ) receptionist advise we arrival take standard room ze bed bed well already make . fine ( kid share double ) . impress bt size room - huge London . top floor ( floor 13 ) would advise possible probably quieter ( although quite police siren one night ) . view city St Pauls , Tower Bridge etc . we pay breakfast book web ... good value kid eat free . quality food well good saving time . cafe bar small wait day ( six we ) 5 min . in term location ... 's less 10 min walk British Museum ( hotel Museum road ) . 10 min Covent Garden . Nearest tube Holborn ( 10 min walk child bag ! ) could use Covent Garden . great base London sight seeing ! 
 Oct 24 2007 	 Great Travel Lodge good location 	 Travel Lodge good experience . 's great location Covent Garden theatre . stay two night daughter - part trip see dirty Dancing Aldwych Theatre straightforward walk Drury Lane ( 5 min ) . numerous cafe , restaurant etc . within easy walk distance . hotel breakfast pricey £ 7.50 per head decide bother find small cafe instead - avoid Covent Garden go small side street get much well value . room fourth floor although little chilly middle night bed extremely comfortable want busy day sightseeing / shopping . frill toiletry - only soap provide - but prefer use anyway problem . hairdryer provide standard take ask reception provide first come , first serve basis . one towel per person provide , ask . arrive hour usually expect room ready short wait 10 min . ( ) helpful pleasant young man reception find we twin room . good experience would definately stay even not go nearby theatre . 
 Oct 23 2007 	 Wonderfull Location 	 choose property offer family room good price stay previously Moat House Hotel . arrival main building tell room new building around corner , first little concerned arrive ( one minute walk ) fear dispel . this propertry seem almost new , large room pull bed child ( 8 & amp ; 10 ) although frill everything need , clean comfortable room , flat screen t.v . bathroom bath shower tea coffee . staff pleasant helpfull able answer query station get Madam Tussauds ( note warn , £ 84 family ticket ! ) find little bar / cafe fine , eat breakfast enough choice anyone bargain price £ 13.50 4 we eat much like , couple drink also evening feel price fair . bar cafe also 2 computer people surf email . find excellant value stay expensive hotel London previously , would definatly stay location superb , 5 minute Covent Garden load fabulous reataurant , 10 minute Leicester Square Strand lot theatres/ cinema easy reach . pay £ 217 4 we breakfast 2 night apparantly weekend book far enough advance get room £ 26 ! Covent Garden ! 
 Oct 21 2007 	 good location need refurbish 	 stay 2 night last week . double room cost £ 95 per night hotel website . price cheap , certian date , book well advance . although payment take immediately , book online , cancel 12 noon day arrival penalty . main resaon stay location availability smoking room , floor . please note , UK Travelodges cease offer smoking room January 2008 . check 3 pm check 12 noon , not bother breakfast pre - ordered , discount , hotel website . decide breakfast arrive hotel expensive . Nearest underground Covent Garden exit December 2008 . Leicester Square underground 5 minute walk . check problem free fairly quick although see queue later day . use room key card access door lift . room decent size decor tired need refurbishment . light bulbs work one towel , even though specify , online booking form , two people would room . double bed two pillow one spare . toiletry provide make clear website . extractor fan bathroom work water hot . bath shower attachment provide . ample electrical socket room small flat screen tv take little working . switch use small button along top first . channel guide channel display tv . room one chair drawer , although shelf hang space six hanger . double glaze poor allow noise wind . notice aircon heater room . way evening , ask reception could another towel pillow . receptionist bring assume would take room . expect hotel charge £ 95 per night . collect come back later . hotel bar / cafe website say & quot ; eat drink merry well past bedtime . & quot ; bar open day close 11 pm ( certainly past bedtime ! ) course many place open late meals/ drink wish hotel would advertise bar opening time clearly website , instead use spurious statement . vend machine sell snack etc , one break remain stay . go next day return hotel room , afternoon , find key card would open door . take reception find validate one day . , would expect hotel charging . stayed would book advance get well rate . however , Travelodge withdraw smoking room next January , look somewhere else offer smoking room . overall , hotel prime location good sized room feel overpriced service provide . 
 Oct 19 2007 	 second time good review ! 	 give one serious reason Travelodge Covent Garden good ! great location - next theatre , Covent Garden , shopping , tube ( Holborn - C.G . temporarily exit ) .. everything . clean ? yes ! water hot ? yes ! make bed every day ? yes ! change towel want ? yes ! room spacious unlike hotel London ? yes ! ok , breakfast include price . one buy 7.00 GBP eat much s / he want . reception 24/7 , neighbourhood nice . plus , right across student accommodation London School Economics . pay 3 night 140 GBP ( 70 GBP ) , absolutely ridiculous London Hotel . 's second time sure third one . 
 Oct 18 2007 	 go low expectation might get lucky 	 Booked £ 95 still seem reasonable compare hotel offer . one night stay time hotel would minimal decide go despite mixed review . go H Holborn entrance tell already book across road ! receptionist seem puzzled - first incidence finding staff Hotel somewhat overawe finding run large operation ! dread room Drury lane part get lucky - room rear level 7 . great view noisy . stay T'lodges would say small average decor ultra basic . however clean . room family room expect sofabe - separate single may camp bed aprevious existance . my advice unless prepared put absolutely frill average service go well class establishment . in end real let breakfast - room overrun several dish hotplate unavailable staff fail cope . staff ok , unfriendly , seem ready go defensive - obviously use complaint apologise regularly . 
 Oct 16 2007 	 great position good price great otherwise 	 book , give Drury Lane address go first give small room basement bath small window look multi storey carpark . seem poor £ 95 know people pay £ 26 . ask move move much big room Holbourn build round corner large sofa , big bed bath . room much well bathroom smell wee shower curtain smell mouldy . main problem noise night . fourth floor lot noise night room . realise may hazard main road , sound like window open not guess mean seal properly . think properly seal double glazing would cut noise . imagine Drury Lane building probably much quieter much quieter road . problem plug kettle socket make crackling noise awful burning smell . think kettle problem , get new kettle ( til next day spare ) , would not work socket either . the breakfast fine , although cook food bit lukewarm . think really bad could not pay less ( £ 4.50 maybe ) cold buffet . think probably lose lot custom breakfast people not want pay £ 7.50 cereal toast etc . realise probably not want offer cheap option hopefully people pay £ 7.50 option , think many people prepare pay £ 7.50 want cold breakfast . say , location hotel great - near Holborn , Covent Garden Tottenham Court road tube stop cheap hotel could find 2 week advance stay . definitely worth problem price position . would say get bad room , ask move - might well staff friendly get move straight away . 
 Oct 8 2007 	 dreadful 	 hotel completely awful . money care customer service . stay main hotel - drag case back step along road building . staff really unhelpful change breakfast booking ( would not ) would give we hairdryer morning ( early flight ) . would not stay pay ! Basic not even begin describe room . simply awful . favour go elsewhere . 
 Oct 8 2007 	 Great Location need ear plug 	 return two night stay Travel Lodge Covent Garden book family room , sister mother . send High Holborn part hotel new part . hotel basic clean room big enough 3 we move round easily . location perfect . however , night keep awake sound party , people shout swear loud music come behind hotel . next day complain move 11th floor another family room . safe side purchase ear plug feel little jaded busy day london top hardly sleep . night , music still go 8.00am morning ! luckily able put ear plug get bit sleep . complain next day tell fact 24 hour club back hotel people quee get Sunday morning ! staff helpful , breakfast great location fantastic unless heavy sleeper take ear plug ! 
