ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Oct 15 2007 	 exactly say tin 	 Stayed Drake five night October . recommend us & quot ; old classic Chicago hotel & quot ; be exactly . book king lake view room get excellent large corner room lovely view . hotel full 's old character , nice bar , good food staff overall enjoyable stay . 's great downtown location right next John Hancock Michigan Ave . not book be look something modern trendy . 's old world hotel meet expectation . 
 Sep 26 2007 	 Old Unsatisfactory 	 check late night , call ahead tell , get room , smelly smoking room dirty carpet paint peel wall . front desk let we know arrive smoking tell we room available call change . move we morning , request , room move we also dirty carpeting paint peel wall . tell hotel , really worn now- badly need face lift . positive , bed nice fluffy . 
 Sep 25 2007 	 historical ` ` yes '' need update 	 yes Drake historical hotel Chicago want stay . however , historical remember also mean & quot ; old & quot ; exactly Executive Suite 10th floor stay week . carpet old use emboss design evenly smoothe floor discolor . bathroom although granite countertop still look really wear wood trim crack around frame . call DSL pay 16.00 day work keep go lobby order use wireless connection . going put 2 bed room least make sure full size oversized twin ... towel feel like sandpaper ... staff accomadate friendly . 
 Sep 16 2007 	 Love theDrake 	 take vacation July 4 day Chicago . decide stay Drake view Lake . also , not want look window find stare room building . stay one lake view room executive floor exactly want . fantastic full view lake Lake Shore Drive ( see photo ) . room large , clean , meticulously decorate , tell hotel pay attention every detail room . luggage arrive promptly . hotel staff bring water box chocolate ( free , case wonder ! ) . ' definitely return next time return Chicago . drawback parking hotel cost $ 42 / day park elsewhere take CTA train walk . 
 Sep 15 2007 	 Lovely Hotel - great location 	 husband spend last weekend Drake ( Friday & amp ; Saturday night ) . Chicago weekend friend . pretty hotel , fantastic location . close great shopping ! nice view lake room . high tea Friday really wonderful . conceirge fantastic . complaint would be impossible close door room without make loud bang . like sleep late , aware people leave room early day probably wake close door . would stay hotel ... great old time elegance 
 Sep 14 2007 	 nice style . 	 visit Chicago courtesy in - law , surprise we spring suite . room HUGE . like , huge . would nice much waste space . suite corner , may make difference , quite oddly shapen . large sit area large closet wet bar . additionally , two pulldown bed spring wall . bit odd wasted lot space , need extra bed . bathroom , though well appoint , quite small extra space would help . bed furnishing nice well take care . super comfy bed nice duvet . unfortunately , armoire contain tv location could see tv bed , rather inconvenient . room view directly Louis Vuitton store , beat location . immediately adjacent hotel large mall contain Bloomingdale ' several high end boutique shop . staff incredibly friendly professional . hotel old , maintain well . Crabtree Evelyn toiletry nice . one thing find rather annoying- pay $ 10 use gym facility . absolutely ridiculous . gym nice new , include price stay . brunch Sofitel Water Tower , wonderful . hotel bit modern think return Chicago stay , nothing wrong Drake . taste . 
 Sep 9 2007 	 Chicago great .... drake old need facelift 	 many awesome hotel Chicago , can not think reason stay Drake . room old , furniture beat , shower not work properly & amp ; carpet see well day . way home , cabbie tell we people pick Drake say thing . great time Chicago . next time research make sure book nicer / new / clean place . 
 Sep 5 2007 	 Hilton Honors member treat llike 2nd class citizen 	 return 3 night stay Drake . 2 night use Hilton Honors reward point , add 1 night expense . think Drake love Hilton Honors member , sadly disappointed . judge review photo post site , know Drake treat priceline customer well ! read : upon check , learn would move first 2 night , book extra night different category room room book use Hilton Honors point ( politely ask might assign one room entire stay tell ) . 1st room 5th floor , small corridor , next fire escape . fact , fire escape platform literally attach window . also view mechanical system , nothing else . room tiny , carpet room badly stain soil . mold grow around shower bar soap dish , tile grout look like need scrubbing . fresh fruit chocolate room welcome we , since know hotel fully book evening , settle . first evening , hardly sleep due air conditioner . warm evening every time air conditioner fan turn loud Bang ! literally make jump bed couple time night . finally turn fan altogether sleep awhile . 8 am call front desk ask new room maintenance people fix AC . offer new room , maintenance arrive within minute fix bang AC . also ask morning paper ( be note room say one request ) , never receive one stay 1st room . fresh towel arrive one evening long request , long wandered hall find . believe , feel pretty invisible ignore ! Kind Harry Potter - ish . 3rd day , require pack belonging could move room book final evening . return hotel evening bag move large lovely lakeview room . carpet clean , bathroom clean . comparison room , fact , moment walk 2nd room realize truly awful first room . think use bundle Honors point room give anyone ! third day also tell amenity available Hiltons Honors member , although information share previously . like sudden realize Diamond member . little , late . well note , breakfast hotel , wonderful . maintenance people prompt efficient fix AC problem notify . maid friendly polite . concierge helpful give good direction suggestion . want feel pampered safe value customer , find another hotel . 
 Aug 22 2007 	 's still grand old dame 	 get Drake $ 107 8/13/07 8/17/07 Priceline . at low rate , think would put we closet . . mention Priceline check - in . wait bit NS King available go Coq D'Or cocktail . our room L shape bed alcove , couch , two chair , desk chair , small table mini - bar part L. tv position bureau could turn view either bed sit area . great view beach lake . concierge desk quite useful . lovely site see day thank advice John , lovely british accent . the entire staff top notch . well treat . 
 Aug 11 2007 	 Love Drake 	 Stayed Drake 2 couple 3 night we could enjoyable experience . beauty charm hotel evident soon walk lobby . unlike many old hotel city , room give large even though book Priceline . service receive everyone hotel staff efficient first - class every way . course location could well within short walk Water Tower Place , Oak St. beach , Rush Street store eatery along Magnificent Mile . Drake certainly deserve 4 star rating we would love stay . 
 Aug 6 2007 	 fabulous chic hotel ! 	 go Chicago stay Drake . hotel really beautiful would imagine grand hotel would like . room face water nice . good size clean . obviously location beat - you be close everything ! concierge friendly make we dinner reservation . 's super deluxe distinct charm replicate new , modern fancy hotel Chicago . Loved Chanel locate hotel ! 
 Aug 2 2007 	 Outstanding 	 wife another couple travel California Chicago tour city visit local friend . book Drake couple executive suite decent view Lake . if want super modern hotel , not . like old world charm dark wood , class lot history , place . we enjoy lobby bar area function living room meet local friend . nice drink nice set harpist . relax could conversation . we eat dinner Drake Brothers Steak House . not busy food excellent . wine country amazed could get nice Pinot Noir $ 40 bottle . lunch cocktail Coq de also fantastic . the staff excellent exception always . Clara Executive Lounge top floor wonderful . feel like home ... lot story past guest like Prince Charles , Sophia Loren etc . 30 + year employee .... tell something . the doorman Carlos good . say attentive understatement . inquire impending taxi strike day leave , say not resolve would take we airport day . actually call room night prior departure schedule pick we . cab strike able get shuttle . many employee would offer pick . Carlos Drake 20 year . pretty close everything want see like walk well . Magnificent Mile , John Hancock Tower , bike rental lake , Rush Street club ... within block . we meet several traveler many make annual trip Drake . probably join list . 
 Jul 21 2007 	 Old School Charm nice hotel 	 Nice hotel . get deal priceline cost hotel stay definitely worth . 1950s-1960s feel hotel . 6 elevator hotel nice feature . never wait couple minute either go . room spacious . multiple closet separate closet minibar . bathroom , though , could ' ve little big . small CRT tv definitely needs update . bed nice firm . problem sleep . AC room work well . overall , real problem room . conceirge hotel definitely friendly people ' ve ever deal hotel . knowledgeable funny . know stuff offer many tip help we . hotel close Mag Mile Navy Pier great anyone come visit Chicago . would recommend hotel . 
 Jul 18 2007 	 everything hotel . 	 start finish , hotel exceed expectation . stay previously , know get good deal . the Drake elegant one professional staff . GM doorman , hotel take care you . upon arrive , upgrade executive floor . room great view lake shore extremely well appoint comfortable . fine carpeting digital bathroom scale , room well think out . after go stroll , come back room find small surprise . ice bucket fill staff refreshment chill . even set fresh fruit berry munch . GMs card leave well note give call issue might arise . hotel greatness . 
 Jul 17 2007 	 good unfortunately great 	 get room Priceline part romantic getaway weekend , happy get Drake , weary hotel may past prime . may . give room face HVAC system , feature size & quot ; full & quot ; bed , something small bedroom home . think room could fita king size . room clean bathroom well appoint , though shower head hit shoulder ( 6 ' 3 & quot ; ) , difficult manipulate . room seem stuffy , thermostat never seem get temperature set at . the service encounter good , common area beautiful . room service , though pricey , quick , bring wrong thing , correct mistake even quick . 
 Jul 14 2007 	 exceed expectation . 	 stay Drake July 11th 2 night . book Priceline surprised get Drake . read quite negative review site worried would get dumpy room book Priceline . call hotel couple week arrival ask 2 bed . tell hotel sell night stay , would good could etc . write email reservation indicate Silver Hilton HHonors status request double bed upgrade request . response came promptly indicate sell night , inquire check upgrade . upon arrival , valet take car smile . check - in smooth . ask upgrade . tell hotel sell room assign superviser accord request . ask big room , 150 sq ft ? 200 , 300 ? Clerk know say room comfortable . give room 219 . walk long wide hallway great anticipation . open door please . room nice size . view good . Faced Michigan Avenue . extremely clean . luxurious bed linen . standard room come 2 bathrobe . large tv channel selection . Crabtree & amp ; Evelyn toiletry . awesome deal consider get steal Priceline . turn service prompt . received excellent service throughout whole stay . qualm valet $ 43 / per day downtown Chicago travel toddler , sake convenience , not look nearby parking garage option . $ 43 rate include in / out privilige . take car several time . Valet guy quick get car . I would definitely stay would pay pocket direct hotel get good rate . location awesome ! 
 Jul 6 2007 	 Nice ... 	 stay single room king size bed , back side building face another building . however , look window left see Lake Michigan ! bed comfortable , shower nice . however , little disappointed $ 400 night - shell $ 7 bottle water want ( hotel give complementary water price range ) . elegant room , stuffy little warm . thermostat set 68 , feel set 68.location hotel great ! near shopping beach , plenty activity area . would return hotel ? yes . recommend friend ? yes . 
 Jun 27 2007 	 Heart Chicago 	 Elegant ! nd close many graet restaurant ! . 
 Jun 25 2007 	 nice ... need work service 	 ' m back 3 night Drake . hotel beautiful pretty well maintain . large wonder elevator work since wait long time arrive . friend twin double room good size ( although bathroom small ) , part bounceback weekend package . package also include breakfast . area great . lot activity shop , restaurant , etc . area improvement around service . check take long since 2 people front desk ( 5 pm ) one ofthem attract lot attention demand . not receivethe right number breakfast coupon ( restaurant flexible ) go back wait line ! breakfast buffet nice ( especially since include ) not think would eat pay full $ 25 fee . sit collect coupon , never see waiter ( really work get coffee refill ... ) . 
 Jun 24 2007 	 one good ! 	 hotel great ! go Chicago spring break March 2007 stay Drake hotel . hotel nice big want explore well get walk shoe . room nice lobby ! room face Lake Michigan cable tv . fridge , king size bed , closet , bathroom include batrobe wear . even bed could put wall need space . next time go Chicago ' m stay Drake ! ( oh yeah buy bathrobe $ 80.00 ) 
 Jun 24 2007 	 Pampering Oasis Frantic City 	 visit Chicago Neocon exhibition wife come day early enjoy weekend ( cheap Brits ) shopping . concern mixed review 4th visit Chicago think time experience famous Drake ! allocate 2nd floor room right corner Michigan Avenue . would ideal except English & quot ; country people & quot ; like sleep window open ! Chicago driver ( cab driver particular ) use horn extensively time day night . addition , fire service use siren constantly jarring bull - horn every junction . 5 fire night ! window close , would not issue . next morning , request room change back hotel , without fuss , luggage move whilst shop upgrade excellent room two bathroom , two queen bed , two tv partial view across lake . thereafter , sleep 3 window open problem . room use excellent decorative order . we afternoon tea couple time Palm Court , full evening meal Drake Bros ( table overlook lake ) quick meal one evening Coq d'Or . case , food excellent prompt courteous service . portion size Drake Bros. little overwhelming something encounter many time U.S. year - always feel bad much good food go waste . the Drake ideal location & quot ; Magnificent Mile & quot ; shop . 
 Jun 20 2007 	 pleasant stay despite endless hiccup 	 recently attend conference Chicago stay Drake Hotel 6 night . hotel lose booking , find lose arrival . pre - pay full amount confirm arrival unfortunately hotel manage lose documentation , find manage transfer full amount someone else 's credit card . also give wrong level room one book . despite really enjoy stay . hire bike cycle every day conference centre along dedicated path beside sea , park . wonderful . Staff happily store bike every day . breakfast treat though staff may helpful stop 4th course . pleasant staff , lovely bar area great camp feel , 2 restaurant ( think rather poor ) . despite hotel appear try good ruin stay really enjoy ! ! 
 Jun 15 2007 	 great ! 	 wonderful hotel ! spend 4 day Drake May ' 07 rarely experience well hotel . room amenity great , staff welcome helpful find aspect stay delight . drake certainly hotel choice ' m next Chicago . 
 Jun 2 2007 	 Historic Hotel need renovation 	 stay yearly business trip March . first stay Drake . lobby hallway clean shiny , room . carpet dingy green mat stained year use . would walk carpet without least wear shoe . lighting room dim help fire escape locate right outside window fifth floor . really matter though window open anyway , kind glass frost chicken wire embed bottom half . good keep curtain closed . oddly room door approach turn narrow hallway main hallway . hallway 15 ft long wide enough one person fit time enter room . neighbor , comment noise . rather room feel isolate , feel completely safe little hallway fire escape door right next . would choose stay . give two star hotel outside room quite lovely clearly spend time money . 's shame could say room . 
 May 21 2007 	 disappointing experience due Drake 's infrastructure problem 	 review base stay 4/8/07 4/14/07 . hotel nice feature , spouse reluctantly give Drake two thumb . drake two major infrastructure problem , avoid hotel.1 . party wall room crackerbox thin . sound insulation . drake , hear neighbor cough , sneeze , belch , pass gas , rustle plastic bag . hear conversation tv sound , even neighbor reasonably quiet considerate . problem go way : romantic hotel , since neighbor hear lovemake sound ! 2 . Chicago room heating require , include early April , bring portable space heater , stay elsewhere . Drake 's ancient ductwork blow cool air directly onto bed . maybe ventilation feel ok summer . in summary : drake good employee handsome cosmetic veneer . positive aspect overwhelmed flawed infrastructure . plea owner , Hilton Hotels : please devote neccessary ten million dollar major infrastructure makeover . 
 may 15 2007 	 not pass one like Ambiance Years go 	 spend 4 night drake room 329 ( partial lake view ) via Priceline . could sure every Priceline Bid wouldbe place like Drake , would not hesitate everytime . since first Priceline experience , i'llstill cautious . anyway , Drake superb . roomwa spacious , check - in expeditious , room service wasprompt ( good food ) , expensive might expect . the room make promptly day . optfor evening turn ( must request ) . gettingback room , even compare modern hotel , itwa quite large great shape . bed extremelycomfortable , bathrooom large foyerwith large closet .. wife opt high Tea inthe palm room . opt good martini . anexperience every couple share .. excellent Harpplayer , opulence day go , good serviceand finger sandwich bad ( particularyly good martinii ) . since rent car last day inChicago , pleasure use Valet Parking thetune $ 41.00 per day , must say , prompt inpicke retrieve car . , drake anexperience enjoy excellent location Michigan AVe.at begin & quot ; Miracle Mile & quot ; . travel Chicagoevery couple year have Drake withouthesitation . 
 Apr 24 2007 	 fantastic tourist business location 	 great weekend getaway . management upgrade we junior suite overlook Michigan Ave . $ 70 night . low corporate rate begin , value excellent . front desk bell service make we feel welcome . suite really one large room two pull murphy bed , would good small child . enormous wedding whose masse detract ambiance overall experience common area . room surround wedding guest , late night smoking infiltrate non smoking floor bathroom . bet conference / wedding scale unusual experience . check much expensive Penninsula , service client base sophisticated . overall , Drake great old school hotel . 
 Apr 22 2007 	 Maginificent Mile Rave 	 surprise 60th birthday gift overnight stay Drake begin lovely , lovely weekend . live Chicago life never stay wonderful hotel . Location Drake outstanding , lobby elegant , Coq d'Or Lounge lovely musical entertainment , room wonderfully comfortable bed linen , hallway room quiet . occasional honking outside car part urban ambience . other might appreciate . case , request room Lake Michigan view . it pricey hotel , special pricing sometimes offer . I would stay heartbeat ! 
 Apr 13 2007 	 Attentive caring ! 	 Drake Hotel class . last month reunion four dear friend Drake . one misplace coat somewhere hotel . ask help track . concierge housekeeping staff go beyond . dinner block away , Cynthia housekeeping department deliver coat restaurant . truly considerate thing something not expect , unless be stay Drake ! way room beautuful , everyone staff helpful . 
 Apr 7 2007 	 Grand Hotel 	 stay Drake husband get - away December . second visit Drake disappoint . check - in say welcome back . let say front Hilton Gold member time upgarde large room ( might junior suite ) executive floor , might color review . room lovely elegant -- crown molding , rich fabric , sofa chair , bathrobe slipper every amenity think bathroom . heating tad bit noisy . bed , oh bed . usually look forward bed hotel stay , drake bed truly heavenly , least . sleep well ! overall , room light sooo comfortable visit second time feel like home . staff gracious morning executive lounge hotel manager come see enjoy stay . checking , parking validate , come make sure not delay . Great Service . executive lounge absoutely wonderful view Oak St. beach Lake Michigan . 's great place unwind appetizer drink . dinner nightcap . lovely furniture mute lighting . food high quality ( salmon , good cheese , fruit & amp ; veggie ) service great . drawback , need pool , none . back another get - away . 
 Mar 27 2007 	 Nice Hotel 	 book 3 room 5 night March 20 - 25.each room comfotable size decent size bathroom . hotel old modernize big name boutique hotel usually find big city . with mind , go hotel realistic expectation pleasantly surprise . the view room outstanding . that could see , foggy week . side room fact could control temperature . I could never get comfortable . the temperature set 60 entire time like 85.we window open ( 3 inch ) far would open never cool room . one friend finally order fan room helped sleep little . the room clean housekeep nice job room clean early . I one complaint ( friend ) glass globe bathroom one inch thick dust they . when look one room same . easy clean , could lift right wipe down . that have not do year . oh well . the concierge useless . go another hotel use concierge , would quicker helpful . he phone entire time never look up . we finally leave line go find destination . terrible attitude another stop another time lobby . I also would mention horrible service Coq dor Restaurant . we order drink 45 minute try stop waiter order , finally pay leave . pretty bad left property go another property spend money could not get someone wait we . regardless , good time , probably would stay weekend . 
 Mar 8 2007 	 Special Place 	 hotel wonderful . yes , review talk size room , hotel offer many thing can not find anymore . lobby amazing , staff wonderful , service great , anything else , hotel ooze elegance . there many four five star hotel choose Chicago , one make feel like ' ve step another time place . real treat . front desk umbrella , bar lounge area wonderful , 's recommendation dinner outstanding . do not miss one . 
 Jan 18 2007 	 much top ol ' Grand Dame hotel ... 	 let say high maintenance hotel room - pick apart top bottom trust scour TripAdvisor review choose hotel . boyfriend think nuts another story ... haha . in experience Drake not happen - search flaw find minute . the Drake wonderful hotel comfortable , clean , old - world elegant feel . tend stay mainly 4 * hotel ( Westins , Sheratons , etc . ) pay premium location , comfort , & amp ; amenity / luxury . I stay business 2 week 2003 thoroughly enjoy service , level comfort & amp ; location . love old Grand Dame hotel - hotel like Plaza NYC & amp ; Royal York Toronto , . one build early 1900s chock full beautiful architectural detail host king Queens . drake exception . I decide take quick trip Chicago weekend despite fact know would get much new room glitzier lobby & amp ; perhaps trend Ritz Four Seasons Park Hyatt opt relaxed , old school hotel good service smile staff Drake . nothing compare Chicago . take look picture ! highlight : -we get great deal Deluxe King room - $ 175 per night versus $ 300 + 5 * hotel town.-great location & quot ; Miracle ( shopping ) Mile & quot ; Michigan , overlook Lake Shore Drive lake . room view onto lake , one block away John Hancock Tower.-super comfortable Hilton bed ( Hilton hotel ) -elegant yet comfortable room furnishing - the bathroom ok large slightly uninspired , towel think softest use hotel past year - the bath towel & amp ; bathrobe sooo soft & amp ; comfortable nice surprise - the concierge could not nicer & amp ; go way help we find local hair salon partner & amp ; get umbrella could make dinner run Cheesecake Factory ( guilty pleasure mine ) dessert.-free breakfast Hilton Honors program include reservation - though buffet 6.5 10 ( though French Toast delicious ! ) include basic , include chef prepare fresh omelette . if be go stay 5 * Chicago , Four Seasons Ritz , go ahead Drake will not surpass term luxury swankiness . in - room furnishing update , yes , bathroom heat towel rack , yes . want beautiful historical 4 * hotel beautiful public space , excellent restaurant , solid service ( smile ) , affordable luxury , comfortable elegant room , unbeatable location , stay Drake . 
 Jan 5 2007 	 good par 4 - star hotel area 	 compare hotel 4 - star hotel Chicago , well 3 - star Palmer House , find Drake good overall lack area . on positive side , lobby beautifully tastfully decorate , hotel good repair despite age . front desk well staff , hospitality level fairly high . room well - sized nicely furnish . on negative side , air conditioning thermostat work ( big deal winter , room get hot preference ) . also , ugly stain curtain wall paper . disappointingly , check need shipping tape seal box , first concierge desk clerk speak tell not anyway . later , speak second concierge find , little unhappy several staff member turn away easily . four - star hotel would make effort little matter like this . so overall , drake fine hotel . want immaculate room top - notch service , would well place , Sofitel , can not go wrong Drake . 
 Jan 1 2007 	 Staying Drake Treat 	 Drake beautiful hotel old - world style charm , time encompass modern ammenitie . especially beautiful stay Christmas season - lobby look exquisite ornamental Christmas tree , sound beautiful harp music come Palm Court , serve excellent delicious afternoon tea . Checkin usually 3PM , graciously check room 10AM , arrive long flight . Stayed Deluxe King room face Michigan Avenue - spacious , comfortable charming . one good advantage stay Drake fantastic location - walk distance luxury boutiques department store , restaurant city attraction . would definitely recommend stay hotel . 
 Dec 26 2006 	 wonderful hotel 	 husband stay Drake Hotel Chicago Dec. 15th 16th . wonderful stay . hotel lobby decorate Christmas make even beautiful . book Bounceback Package include excellent breakfast buffet . extensive array choice include fresh fruit , omlet , sausage , hot cold cereal etc . everything great . would highly recommend package . room large . king bed wonderful lake view . even time walk along beach . location excellent . could walk store , Rush Street even Navy Pier ( little far ) . cab plentiful . use mass transit system , too . the doorman concierge extremely helpful friendly . the people front desk bit formal stiff . I would highly recommend stay DRAKE . hotel older- like give nostalgic feeling . everything CLEAN polish . return . drake hotel choice visit Chicago . 
 Dec 9 2006 	 expect name 	 come Magnificent Mile time , beautiful lobby , course location decent , corporate discount amazing , view gorgeous . room horribly small , AC unit loud sleep , staff slow . I think care much name enough today . would really upset pay close regular rate . 
 Dec 8 2006 	 everything wonderful ! 	 stay Drake 3 night Dec 3 Dec 6 attend conference hotel directly accross street , Millenium Knickerbocker . read negative review Knickerbocker , decide stay Drake . delightful experience ! drake truly classy place , tradition grand old hotel . lobby beautiful , room exceptionally comfortable large . although carpet bit worn , everything clean excellent repair . venture outside frigid temperature , great slip plush robe provide , later crawl extra comfortable , warm bed ! eat Cape Cod room hotel , perfect . ( also eat away Hotel Chicago Chop House ( wonderful ) , Carmines ( delicious ) Gino 's East ( perfect pizza ! ) ) . staff hotel helpful pleasant . would definately stay . 
 Dec 1 2006 	 Drake resting laurel ? 	 recently stay drake four nights.i agree property - get past grand lobby area - need good steamcleaning.the bathroom , large , feel outdate dingy.the bed furnishing see well days.my overall feeling property need one giant upgrade.however , workout room nice , airy well - appoint . 
 Nov 19 2006 	 could not well ... 	 visit hotel tea short trip visit friend Chicago college student , decide one day would come back stay hotel . book room romantic weekend husband really look forward read several review website leave feel pretty nervous room would threadbare carpet , tired furniture , etc . nothing could truth . room absolutely lovely - deluxe room quite roomy new carpet , linen , drape . staff extremely friendly helpful . lobby gorgeous . good part hotel 's historic feel . feel like something & quot ; Joe - fancy hotel . & quot ; highly recommend enjoy afternoon tea Palm Court . food delicious , set elegant , harp music soothe even stress - out traveler . will return Drake next time be Chicago . 
 Nov 14 2006 	 terrible service 	 nice lobby , lobby restaurant . room old , sound isolation bad ( room seperate door , hear next door easily ) . , service bad ! ! business trip , would spend one penny ! ! 
 Nov 14 2006 	 Awesome stay Drake ! ! ! 	 Drake November 5 - 9 , 2006 , say good hotel ' ve ever stay . Chicago engineering conference another hotel . get great deal airfare hotel hotwire . room good - sized exceptionally clean . bed great , lobby like something movie . good part stay complimentary limo service ( within certain number block hotel ) . driver , PJ , awesome ! can not say enough good thing Drake . 
 Nov 7 2006 	 fade glory ! 	 old room , bad service , elevator slow antiquated practically aged standing wait , dirty bathroom especially toilet - ask 4 time clean avail . noisy air - con system , dirty floor ..... generally really bad pleasure staying - need face - lift Drake ! 
 Nov 2 2006 	 Charming Visit 	 Drake always wonderful . physically modern hotel Chicago , charm level service excellent . stay deluxe king overlook lake beach . view ! ! bed linen excellent . bathroom though & quot ; vintage & quot ; sparkle clean . actually 's look fixture back style . doorman truely remember we would start - up conversation leave previously . concierge also helpful restaurant reservation find appropriate plug adapter cell phone charger . go Chicago three four time year stay different hotel base upon activity daughter always tea Drake . relax long day . opinion front desk Hilton Hotels could well staff efficient . also true Drake . however , negative whole experience easy overlook good point . overall excellent place stay . 
 Oct 30 2006 	 Drake wonderful ! 	 return 5 - night stay . one exception , everything Drake absolutely wonderful . read TA review , difficult time accept reviewer ' negative comment refer hotel one stay . exception absolutely wonderful experience drainage bathtub / shower ; experience slow drainage , mean 4 - 5 inch stand water tub time complete shower . , ( somewhat understandable 86 - year - old hotel ) , find Drake charming , spotlessly clean , wonderful location . room beautiful , spacious , lovely view Oak Street Beach . bed comfortable ever experience . staff universally friendly helpful . look forward opportunity stay . 
 Oct 23 2006 	 wonderful 	 great location , wonderful room Outstanding service . 
 Oct 4 2006 	 wonderful Stay ........ 	 stay Drake weekend Sept 22 - 24 town cousin wedding .. first great location .. step hotel greet wonderful staff . executive level well worth $ & gt ; .. unlimited cocktail afternoon along w/ appetizer . room enourmous , almost size 2 room , large sit area , couch , coffee table , seperate dressing room large walk closet . King Deluxe room suite ... room service first nite , food good fun eating table set nice linen wheeled room .. great stay look forward stay . 
 Sep 29 2006 	 Disappointment 	 see review excited go Drake . positive : Good Location , Quick check , easy check out . negative : * expensive ( pay $ 700 2 night ) , * thin wall - hear people 's shower , people bathroom , * room next storage room - constantly hear door open shut , * room small- big room Best Western Marriott * mislead information website- website say internet log find charge $ 11 room ( charge internet ) . * use gym fee- charge gym * none hotel staff speak we 
 Sep 26 2006 	 Definately Drake 	 daughter recently stay Drake Hotel week . fall love grand hotel , one reason go back Chicago . drake situate right beautiful lake Michigan walk distance many store well & quot ; el & quot ; station . enjoy average service Drake , include complimentary champagne ice cream Coq D'Or , beautiful plushy robe , staff real sense humor daughter overflow stately , small tub . fun enjoy detail bench elevator fragrant bouguet lobby ever would another sterile pool cookie cutter room . definately go . 
 Sep 15 2006 	 Great Location @ Historic Hotel 	 return 1 week stay Drake pleased hotel retain 's grandeur . husband & amp ; marry 25 year ago . lobby still beautiful ( exceptional flower arrangement ) well Palm Court serve afternoon tea harpist playing afternoon . also Saturday night small band & amp ; singer care dance . breakfast quite expensive Drake Brothers Tuesday night buy 1 steak get one .01 . group us go Tuesday night great steak . service hotel excellent front desk doorman great concierge ( husband use extensively book several dinner large party , last minute ) . hotel also offer complimentary limo service ( book advance ) area place well airport . downside see room could use little freshening . carpet little threadbare furniture . bed wonderful bathroom clean ( altho little problem get consistent temperature shower , could get scald ) . Chicago great meal , include Coq d'Or ( piano music night ) Drake Brothers Drake . also eat Shaw 's Crab House , Saloon , Hugo 's Frog , Fulton 's River , Ballo ( part Rosebud organization ) , Carnivale ( wonderful latin food ) , Marigold ( good indian food ever ) , Tuscany ( little Italy ) , Heaven 7 cajun good meal Catch 35 ( husband actually dinner 2 night ) , great fish Sunday night 1/2 price wine select bottle . hear Drake property sell investment group Hilton still manage hotel . hope able retain 's elegance update room process . would stay . location wonderful staff great ! ! ! 
 Sep 6 2006 	 treat ! 	 could want wake Chicago look window Oak Street Beach Lake Michigan ? room , junior suite , wonderfully large furnish nicely . bed heavenly sleep want take pillow home . complaint slow drain bathtub / shower . Crabtree & amp ; Evelyn toiletry nice amenity . stay Drake like step back time grander genteel way life . , read hotel sell would still manage Hilton property . junior suite entitle we Concierge floor enjoy nice continental breakfast morning overlook Lake Michigan . service excellent level . not make wonderful hotel like one anymore . 
 Aug 29 2006 	 wonderful hotel 	 attend conference Drake . hotel elegant . staff helpful knowledgeable . travel alone little apprehensive seeing sight . staff give wonderful advice go . room beautiful old hotel feel . meal provide conference delicous well . also take advantage room service quickly deliver room pipe hot tasty . awesome 3 day night Drake . would recommend anyone want experience & quot ; Old Hotel & quot ; charm part seem long gone forget . 
 Aug 29 2006 	 Excellent Hotel 	 wife redeem Hilton point 1 night Drake disappoint . ' ve stay many Hiltons must say historic hotel ' ve ever . room enough wife not large ' ve usually get upgrade Hilton Diamond member . however , lakeside view impressive . living room spacious twin bed comfortable , plus closet big . also , consierge Drake extremely helpful knowledgable Chicago area . hotel convienent go look around north area Chicago . stone 's throw away John Hancock building across street Chicago Harbor Lake Shore Drive . would definitely recommend hotel anyone visit Chicago . 
 Aug 25 2006 	 Grand Old Hotel 	 sister meet weekend Chicago use Hotwire 4 - star hotel near & quot ; Magnificent Mile & quot ; . pleased get Drake would not hesitate stay . old - fashioned elegance . room satisfactory . 2 bed feel like big twin size small full . sure possible , maybe extra - long twin ? comfortable nice bedding . east side hotel , could see little Lake Michigan one 2 window . think north side would well view . Crabtree Evelyn bath product . staff bell desk concierge pleasant accomodate . excellent location shop many nice restaurant nearby -- expensive one , also neighborhood - type place . carpet look like 60 70 , actually still good shape . complaint . peek room across hall us maid cleaning , look much small , like many old hotel would guess lot variation room not know might get . pay $ 127 Hotwire , like $ 150 taxis feel like great price . 
 Aug 15 2006 	 Great Hotel ! 	 stay 2 night book 2 room family girl ( 7 we ) weekend . room spacious , bed extremely comfortable king bed , full bed queen murphy bed pullout sofa . & quot ; Family Rooms & quot ; , one 2 bathroom 4 girl ( age 22 13 ) share love every minute ! afternoon tea outstanding - feel like London . entire staff smile , pleasant , courteous extremely helpful . wait 45 min one room ready , give we complimentary card ( $ 20 ) use bar . food outstanding , especially breakfast . entire hotel beautiful elegant , large floral display ' ve see . location perfect view lake outstanding . ' ve decide make annual trip certainly stay Drake next year . 
