Trendy 	 stay last week 4 night great time ! ! & quot ; wonderful king & quot ; 21st floor trendy pretty spacious amazing comfy bed ! ! ! ! ! location fantastic bang middle Times Square ! ! ! staff really helpful friendly ! ! 
 Wonderful 	 spend 5 night W week honeymoon hubby 40th birthday . request room overlook Macys Thanksgiving day parade get one room 2904 . arrive little early check give we voucher free drink bar wait . room great size plenty room storage great flat screen tv . staff great friendly . hotel right Time Square be not noisy night 
 family great stay trendy hotel -- feel like celebrity ! 	 family stay W Times Square July . location perfect -- right hustle bustle Times Sq locate fairly quiet street near cute restaurant delis . doormen friendly ! love walk waterfall - adorn ground entrance . enter lobby , feel like be trendy club , be definitely pretentious . staff nice accommodating . whenever request , respond right away . room decently sized ( New York City ) , quite chic . view amazing . delicious dinner Blue Fin ( restaurant locate downstairs ) . make sure save room warm cookie plate ! be good ( seafood ) . concierge also knowledgable patient lack NYC knowledge could spend load money w store . finally , can not beat Bliss bath product glass - enclose shower ! 
 Sep 6 2007 	 modern 	 nice hotel . great modern hotel . everything little dark style happen hotel . bar Lobby awesome . good location excellent service . 
 Aug 27 2007 	 great customer service 	 stay 3 night pleased staff responsiveness request . excellent can - do attitude refreshing . room small minimalistic decor . bathroom tiny- stall shower countertop space personal toiletry . find space stuff rack sink . bed comfortable , decent closet space safe , Bliss amenity excellent . the location terrific locate 47th Broadway everything accessible foot . problem note connect room door thin hear every conversation hold next door- dark hallway elevator , attractive make difficult navigate . we would stay , would suggest old and/or vision problem e.g. , read menus candlelight , will problem elevator hallways consider another hotel . 
 Aug 27 2007 	 try Hard Hip 	 20 - something wife stay weekend getaway celebrate birthday , impressed location friendly service . unfortunately , even factor work , W New York - Times Square try hard trendy end pull force style 's neither cutting - edge inviting . hotel 's futuristic & quot ; living room & quot ; feel like nightclub lobby , pulsate techno music light show blast suspend pillar add effect . another thing hit we soon walk floral air - freshener scent permeate entire building . might pleasant overwhelming . discover room not ready check - in , leave bag polite concierge walk around Times Square . desk associate say would call room ready , 3 hour call head back , ready take whatever room . high - speed elevator speed we 44th floor discharge we dark , spaceship - like hallway black wall extremely low lighting . like walk laser tag building . hope room would invite hallway , steel - gray color scheme cold metallic accoutrement make already tiny space feel close uninvite . one pillow stain dirty , chip paint worn fixture throughout hint frequent use , infrequent maintenance . service inside outside room cost pretty penny top mint ' ve already pay room . even bottled water , free low - tier Sheraton hotel , $ 6 bottle . yike ! hotel rate high Starwood expect much . bright side & quot ; spectacular room & quot ; view live billing , shower great . location superb , price well midtown Manhattan . probably & quot ; W & quot ; not stay . 
 Aug 26 2007 	 Great Visit 	 husband , son ( 7 yrs ) stay W Times Square 2 night early August . service excellent - friendly attentive ( without face ) . stay 50th floor great view straight Broadway . room quiet comfortable - bed COZY ! enjoy dinner hotel restaurant one evening . food excellent - sushi particularly good . definitely consider stay next visit NYC . 
 Aug 11 2007 	 always love hotel 	 travel alone frequently love hotel . love corner room great view , comfortable bed , great shower location little time square mayhem . ' ve stay several time never disapointe . ' m sure average family would appreciate , love place . 
 Aug 9 2007 	 Perfect experience Manhattan ! 	 family return 9 night stay ' W ' Hotel middle Times Square . say , despite review , find absolutely fabulous stay none we want come home ! maid service , concierge assistance , decor , quality room staff general absolutely fantastic . side think receive phone call around 7th day ask anybody smoking room smoke detector activate . mention none we smoke ever smoke life , still proceed charge £ 200 account . realise ' account review ' facility television room quickly alert attention quickly remove . however , put subject ' restaurant charge ' think rather sneaky , make sure check account quite reguarly make sure stay total correctly . also last day toilet block room maid service quick fix within hour , not problem . regard room , shower also slightly overflow room , slightly bath mat provide . mother 's birthday whilst , receive teddy bear , bottle champage , balloon two slice cake generous . think may something fact father lot contact one staff prior arrival ask question New York general first visit . name Lydia Chaperone incredibly helpful make trip perfect we . definitely credit hotel , would always ask assistance . Kelly concierge desk also get we great restaurant show stay give we great advice would benefit we financially instead simply think hotel 's income ticket broker etc . location hotel fantastic - right centre Times Square couple block away Broadway . can not really comment value hotel , father mother pay suite point earnt starwood hotel , pay room . personally think get value money room quite big city staff absolutely brilliant . however , father suggest next time come , may rent apartment would likely work cheap , first time New Yorkers , be great way get feel city guide along way good thing see . Manhattan absolutely fantastic place . ultimate city opinion visit many . Central Park provide calm hectic city life place Soho Greenwich Village busy main area great coffee walk get feel New York . people friendly too . all great break refreshing taste life . little crazy ! 's way New York , 's make special . 
 Aug 9 2007 	 W Hotel Times Square 	 return trip W Times Square great time first trip New York excellent service ! first good thing say hotel staff friendly accomodating . Michael concierge desk help , together plan entire trip take care arrangement everything - even vip seat Yankees Stadium ! even odd request restaurant white truffle macaroni & amp ; cheese not phase , list next day . maids front desk clerk polite professional well . two different night send we bottle champagne chocolate - cover strawberry , house , also great doggy nanny service ( yes , take pet ! ) room small ( get upgrade room still tiny ) , know NYC hotel room tiny go way room decorate , feel lot big . huge window overlook Times Square , room block light wall mirror give open feeling . room ( hotel ) decorate beautifully ... modern trendy , yet somehow classic well . work lobby / living room even construction stunning space . rumor true - good bed ever , surround sheet divine . soft , long day sun walk nice slip cool sheet ! ( minor ) negative thing prevent give 5 - star rating - air conditioning go 65 first night , would stop run turn 69 . like quite chilly room ( especially heavy comforter bed ) AC not really seem keep time . another complaint see silverfish bathroom , run barely see - able crack floor could kill one saw . surprised we room hotel look immaculate otherwise . our complaint would noise - give room right across maid 's closet morning could hear constantly open closing door , get stuff , talk , vaccuuming , etc . not lot keep hallway noise room . also , hear traffic street . never keep either we sleep , light sleeper may want aware faintly hear honk siren night long . overall , bad - would definitely stay would request room far away elevator maid 's closet ! 
 Aug 6 2007 	 Cheesy 	 Aside & quot ; try way hard trendy & quot ; atmosphere , thing really make roll eye upstairs past & quot ; living room & quot ; ( aka lobby lounge ) . peep show motif hallway ( black wall , black carpet , black ceiling , black light ) , hotel ammenitie book format Benjamin Moore paint sample book Ikea gray gray room furnishing everything categorize & quot ; W word & quot ; ... one constantly come mind whatever.the minor irritation magnify annoying trendiness hotel .. , turn service : leave room mess lunch time .. mess get back dinner . fresh towel , straightend bed , mint pillow , music playing room , etc - know , kind thing EVERY hotel planet basic service . room not clean especially bathroom noise hallway like door whatsoever . , basically ... w style substance . style everyone definately . 
 Aug 6 2007 	 Loved Trendy decor 	 amazing stylish hotel , really trendy great staff room comfortable . view Hudson river breathtaking . well situate everything great stay . point get home find large amount charge credit card leave hotel setlle bill outrageous slightly dampened euphoria stay . get back bit tedious fight corner get back . bit disgrace part hotel know happen 2 couple well need sort . however keep close eye charge would thoroughly recommend stunning hotel . 
 Jul 31 2007 	 w mark spot . 	 hotel locate ideally center Times Square . problem centrally locate get car . get hotel , traffic diversion cause wife travel circle 30 minute finally land hotel 's tight driveway . would suggest leave car airport taxi subway take . besides ... NYC great city enjoy foot , especially hotel locate near everything . must proceed high floor check . lobby adjacent super cool dance club / martini bar music blast deep bass note cause body magically start sway side side . clientelle club look straight runway fashion show . must admit wife little intimidate , secretly could stop stare beautiful people surround we . room like many see W hotel , slightly small . contemporary furnishing surprisingly comfortable , ultra modern bathroom fixture lot fun figure . bed particular & quot ; heavenly & quot ; describe bellman take we room . staff hotel knowledable less snooty experience NYC . seem genuinely care whether customer enjoy stay time NYC . stay hotel provide much way amenity , W . hip , modern , hotel . style , give try . 
 Jul 26 2007 	 stylish experience relevant stay Manhattan 	 W Hotel Times Square directly locate Broadway 47th Street heart Times Square . describe already review , hotel stylish , reception lobby 7th floor . regular room go 33rd floor , upgrade room stylish name . hotel interior mainly style black , exception entry ground floor ( water fall head ) lobby 7th floor . get upgrade stye two night 35th floor . room spacious king size bed , large office desk toilette / bath room . thw room two huge mirror , FlatTV nice shower behind gla front . room pretend stylish , make relatively cheap material judgement . internet free , breakfast try . hotel own restaurant ' Blue Fin ' serve good fish food over - booked . overall , good hotel , 330 Dollar night necessary cheap . for typical hotel experience , well try Crowne Plaza , one block away proper hotel feeling . 
 Jul 25 2007 	 bad hotel New York 	 extremely disappoint stay W Hotel Times Square . bit understatement , actually . apalled hotel attitude staff . during stay hotel , employee hotel come , sexual intercourse , leave use condom room . find use condom . hotel staff respond try tell not big deal , person front desk think hilarious . speak Hotel manager , Ana MacDiarmid . although know people come room do electronic lock inquiry , take disciplinary action employee . offer 2 free night & quot ; apology & quot ; .Needless say , apology behavior leave lot desire . ' ve also file Better Business Bureau New York Department Consumer Affairs . debate whether file New York Department Human Health Services . I would avoid hotel kind stay . 
 Jul 24 2007 	 can not beat location 	 reading review little uncertain boke right hotel we . upon arrival could please . customer service exceptional . location times square , broadway subway great . room well maintane , fantastic view . yes hall elevator dark , young ( 30ish ) . people everywhere lobby fill much ever problem . 50 never feel place . would definitly stay . 
 Jul 10 2007 	 w wonderful ! 	 unhappy - Hotel Location , Valet Service , Lobby , Desk great ! ! ! Elevator Halls dark , dark can not even see elevator button . enter room , think maybe ikea store . bathroom dirty / accumulate dust every baseboard / rack / Shower Mildewed / no exhaust fan - and enclosure see shadow every movement occupy bathroom ! ! hooks bathroom , shelf dirty / rusty not want put clothe . room also dark .. little & quot ; good & quot ; lighting , rain can not imagine dark would .. maybe purpose notice room clean . room service tray leave hall neighbor 9PM Friday night least 11am Saturday ( left ) -did smell good . my last stay & quot ; W & quot ; . 
 Jul 7 2007 	 good bad 	 Spectacular room , book ( 32nd floor ) , not ready 3:45 , take room 21st floor . room nice , get thirty dollar discount take it . the big problem wall paper thin . neighbor get take nap . hear , clearly , plan attend show Majestic Theater . , hear make love . none loud . regular voice - thing would prefer keep private . ' m sure would , too . I would not stay . 
 Jul 2 2007 	 would rather stay marriott 	 hotel way tooooo modern taste . definately cool entrance water wall overall feel bleek well . hallway room wall dark ! ! ! ! ! almost pitch black hall room tacky electric blue light door . go , wall cover dark grey paint . furniture cool look uncomfortable . bathroom absolutely bad ' ve ever see ! ! ! ! 2 wall glass shade wall slide door . privacy whatsoever ! ! ! shower completely see , glass door not lock , water go floor matter try . aside obvious overprice , luggage issue . ask desk hold stuff , wait 10 minute ask .... finally girl behind desk take ... take another floor heap , check leave unattended someone come take downstairs . hotel convenient room desk not wait . completely unorganized . definately nice place , cup tea ! 
 Jun 28 2007 	 wow times square 	 stay W one fantastic room week june 30th birthday , slice cake wait us room treat bottle champa actual b.day add personal touch , feel service great , location amazing yes lot review say loby music loud dim lighting loud old ! think place excellent far top 5 place stay world travel lot ! NYC room size good , spacious , negative bathroom hard wife makeup bench top way funky ! order breakfast bed although pricey nice loby bar cocktail prior head night.all would HIGHLY recomend W times square . 
 Jun 25 2007 	 good hotel ' ve ever stay 	 truly good hotel ' ve ever stay , numerous reason . service excellent , room view beautiful , modern deco entire building fantastic , bar / lounge great , food delicious . go New York City graduation present , mom happen mention one woman work . get settle room , young woman come balloon package free souvenier graduation present , along handwritten card ! really make trip . room sort modern art theme , two room ( since book large suite . ) view magnificent . bed comfortable . art setup room unlike anything ' ve ever see . even minifridge neat ; different type snack , product , even tshirt teddy bear ! admit expensive , be type splurge every , be . furniture comfortable creative . room overall incredible . lounge bar , bunch cozy area sit chat . evening 's busy ( good want meet people ) , day 6:00 's quiet area relax . could sit look cosmopolitan modern decoration furniture hour never get bored . also free internet acess , whereas room 's fee . lounge lobby second level ; first level entrance water roof wall ( worth see ! ) room service , everything else hotel excellent ! give hotel 10 thumb , many thumb . afford spend extra money , defininately consider W Times square . 
 Jun 21 2007 	 enjoy evry moment ! ! ! 	 moment Taxi arrive hotel , new make location perfect . read reviews hotel , prior trip worried noise . stay 31st floor hear thing . view breath take . the room huge perfect . extra large bed soft pillow - make we feel asleep fluffy cloud . very chic trendy . I wish time spend room , time . the Blue finn restaurant price . want great meal , great restaurant past Virgin megastore - call Maxie 's . pound warm Pastrami sandwihiche die ! staff hotel friendly . need phone charger , UK charger work ( due voltage difference ) , go shop buy one , thought would ask concierge one , happy lend one . what find wrong ? elevator dark ... ? hard see anything ! ! ! corridor dark . black ! ! ! ? ? ? come back ? yes yes yes ! 10 10 . 
 Jun 3 2007 	 Happy W 's Customer Service 	 arrange daughter couple friend stay April . pay room 1 month arrive . call week prior arrival make sure everything place reserve limo transfer airport . begin Sedan pick , big deal , end stay daughter bill limo . complain removed charge . also charge snack not eat also credit . however , daughter arrive give front desk debit card incidental , assure would charge indeed use service room . debit card immediately charge $ 1500.00 . call told & quot ; common practice industry & quot ; . daugher tell front desk maximum amount charge $ 200 would take care immediately call bank . take 6 day finally get credit $ 1500 . meanwhile , transfer fund daughter 's account cover New York . email W call twice ordeal assure would take care immediately . still take 6 day ... 
 Jun 1 2007 	 5 star Hotel 	 hotel´ entrance really cool . lobby nice well like stay nosy place it´s right hotel . , get room , it´s disappointement . room small room service good . it´s great deal , I´d rather stay Palace NY . 
 May 31 2007 	 worth 	 stay hotel Memorial day weekend . location hotel , view room ( Hudson River ) staff great . room leave lot desire . stain blind , sink crack , shower door didi't shut properly allow water get flooor , could tell patch shower . tile / stucco actually stick rest wall . shower head pipe actually come wall . mention quite small . figure $ 430 night would get something nice spacious , guess wrong . totally worth it . also hall elevator dimly light , fact may need bring flashlight elevator see floor selecting . the bar area nice drink good , price . 
 May 29 2007 	 noisy small room semi private bathroom 	 book room American Express Platinum Services . know room small , anticipate upgrade amex Platinum would offer large room . arrive find fact room size , except suite , upgrade consider high floor . also , breakfast include end continental breakfast.with really lousy prepackaged muffin . even though upgrade top floor , 57 , hear street noise ( siren day night , firestation locate 2 block away ) noise ice - maker outside room . People also party room hallway one could hear maid talk door slam room . call bathroom frost glass slide partition , offer little space privacy , summary , hotel overprice , overrated , would recommend consider stay again . LauraPhoenix , arizonap.s . want nice hotel time square area , recommend Sofitel . 
 May 17 2007 	 Loud - Aloof Staff 	 Marriott right across street Times Square noise issue deal - must much well window . 36th floor still , loud . also , little sound proof room hallway . awoken alarm clock room next door drunken reveler get hallway different night . I typically sound sleeper live busy street Lincoln Park ( Chicago ) .Similar another reviewer , duplicate charge bill bring attention , , remove immediately . finally , hotel staff seem like idea spend time trendy NY hotel not realize 's work . quite aloof helpful couple time interact they . on bright side : , clean convenient location New York . however , would never stay would return Marriott , Westin Hilton ( possibly different W location ) . 
 May 16 2007 	 Bar Hotel ? 	 choose W Hotel Times Square finish three stop honeymoon US . hotel perfectly locate Times sqaure entrance hotel impressive ...... like waterfall . our check fine receptionist pleasant . however , several member reception staff pretty unhelpfull several occasion . seem problem change traveller cheque impose $ 200 limit per room per day ( not go far Manhattan ) . one occasion tell do not much money would rather change traveller cheque . change mind however persist last day need cash taxi airport . our hotel room comfortable impressive view Hudson River one window Times Square another . room everything need bit small . however , believe York bedroom small . the hotel trendy really good vibe . seem place Times Square . however , seem focus hotel bar ( ) rather hotel guest bedroom . , opinion , way around . I would certainly recommend hotel , mature side , may . also , do not walk around Hugo Boss , Prada Gucci , prepare look enter hotel 7.00pm weekend everyone else seem ! overall , W Times Square not perfect good would certainly stay . 
 may 15 2007 	 close Broadway theatre functional cheap . 	 would generally approve hotel , technical caveat definitely apply . wife stay 4 night ( Thursday Monday mid - May , 2007 ) . first , book Starwood hotel chain website , seem make sense poke around endless hour look various hotel booking option . comparatively reasonable cancellation policy website appeal , ( prepare contain ) redirect Starwood point , whatever , certain loyalty program like Aeroplan . ' sure save two percent whole deal , hour travel surfing vain . note , sign advance " preferred guest " card mail , ' free sign . anyway , ostensibly well average room ( i.e. , corner room 38th floor look west across Hudson river ) fork $ 429 night ( plus taxis make around $ 490 night ) . never NY idea represent " value proposition " compare similarly pricey hotel . hotel newish , though odd sign wear visible . staff job well occasion actually interact ( ee.gg . , check , get cab , breakfast server restaurant downstairs , send guy replacement room key work , leave bag behind day day departure , buy stuff trendy hotel shop ) . room clean , large enough bump thing , tap water quite drinkable , shower good water pressure , lot towel ( sacrifice keep shower soak whole bathroom floor ) , king bed comfortable , flat screen tv hang wall numerous channel dvd player ( stay watch video whilst NY , anyway ? ) , little el cheapo CD player , two nice comfy robe , also astonishing array " W " brand crap buy , lay right room like many bag chip . , course , over - price mini bar . really enjoy come back room pound NY pavement day fall onto big plush bed , though appreciate sound cheesy . note need top quality ear plugs hotel . north end Times Square right , brightly light , full much honk many all - night siren , bonus clowns hall Saturday night try drain ice machine ( least think ' ) , shout , lock room , room may roommate , one way find . mind , block noise really appreciate nice bed . feather pillow , touch squishy , good stomach sleeper , think next time ' ask foam . basically good hotel , ' quite get target market . assume hotel probably expensive youthful lounge - and - club hipster incessant sound track common area seem aim . lighting elevator dim actually bend read number button ( ' brail , though , fall back ) . hotel ' location ideal catch Broadway show nearby , quite central top 10 touristy thing . people look imagine – vaguely annoyed day 3 whole tangerine wheatgrass cool - as - zen " W " scene , also happy NY able afford good bed good ear plug . thing NY warrant special mention : Staten Island ferry ( seem depart hour half hour , great view , ' free , make get Staten Island end come back Manhattan ) ; view top Rockefeller centre ( swift $ 17.50 plus tax ; maybe go odd hour line ; good shopping nearby ) ; far - from - free category , attend Metropolitan Opera ( buy ticket way advance Met website box office pick - up , phone make 6 p.m. reservation nice Gran Tier restaurant ' also opera house ( note restaurant crowd dressier average NY opera attendee ) finish nice dinner , sure arrange waiter pre - order intermission chocolate soufflé ( find house champagne quite doable ) go back table intermission enjoy mob line bar . note lady room Met long line show time get female party line maybe 20 minute curtain . ) 
 may 14 2007 	 Check Bill ! 	 way overpriced . bad part checkout , mysterious $ 65 dollar charge appear hotel bar . never , front desk staff make we feel like prove not make charge . guess guilty proven innocent motto . ruin whole stay . 
 may 13 2007 	 get little tired ... 	 agree , can not beat W Times Square location . stay property numerous time trip NYC , say hotel begin look little time worn . first room give right next hallway ice machine overflow soak hall carpet room strong mold smell . second room far well , still turn sink moldy odor . towel , wet , release distinctive smell smoke . ( like people laundry smoke cleaning linen ! ) furniture room nick beat like would see college dorm . positive note , bed comfortable pillow divine . 23rd floor quite noisy night emergency siren . service attentive , easily manage get third night even though hotel sell . front desk keep we mind cancellation come in . we dinner Blue Fin service food top notch . I like Times Square location , find Renaissance well deal across street . 
 May 8 2007 	 's okay 	 stay W Times Square 1 night quick visit - Pros - Location - beat Times Square Style - modern , cleannice toiletryvery nice view Times Square Hudson River roomCons -noise - street noise even 50+floor night . seriously . room - room upgrade Corner Room 's still small . Granted 's NYC not expect big room 2 - tier - above - standard room would like bathtub . so short 's kind & quot ; stick middle & quot ; experience . be luxurious enough willing spend lot money , be cheap enough ( even advantage ) consider bargain . 
 May 8 2007 	 Great Hotel Fantastic Location 	 stay W 4 night ( 3rd May -6th May ) . originally assign corner room connect door - definitely avoid - could hear every conversation happen connect room - neighbour talk normal volume . request another room move straight away . my new room 43rd floor great view Times Square . New York - particularly bother noise light - might good place . awake early Saturday morning loud concert middle Times Square room light bright light side building , light giant billboard . I not mind much part experience great location - room blackout curtain . great thing hotel great trendy atmosphere , comfortable modern room , relatively well equip gym , friendly staff , good security ( will not let anybody lobby 7th floor without key night ) , great comfortable bed , really cool bar high definition television room . all - enjoyable experence . 
 May 4 2007 	 trendy cheap 	 trendy hotel . club music pipe everywhere , lobby , elevator , hallway , room . Tip - cd 's available purchase room , bring laptop instead upload song free.furniture fixture old cheap . door thin could hear everything hall . white furniture show sign age wear . bathroom look either trendy temporary structure.staff friendly helpful . food excellent . sushi restaurant downstairs good ( pricey , grow Japan , sushi like hamburger , everyday food cool food ) .there be plenty light room , everything else darkly light like club.be comfortable . feel similar sheraton ' bed , plush westin.location great , right time square , could not well . not get much street noise room , , lot hallway noise.for price , maybe little less , go westin times square . 
 May 2 2007 	 great stay Trendy Hotel 1st anniversary 	 absolutely wonderful service satisfaction . wife stay several W hotel since plan surprise trip NYC 1st wedding anniversary , think W Times Square would perfect fit . get lucky find promotion hotel website buy two night would get third free , even though room little expensive want , end pay three night different hotel . the experience amazing time walk door . line special service W 's & quot ; whatever , whenever & quot ; service pay bigtime . chocolate cover strawberry wine room upon arrival . addition place rise pedal throughout room request help whatever , whenever service , special song play cd player arrive . wife love . also upgrade we nice room 48th floor . corner room view Times Square Hudson River unlike review , noise minimal . bed advertise pillow unbelievably comfortable . bathroom small nice product provide great . room spacious clean . the lobby hotel chic trendy low light busy bar . entrance cool waterfall overhead staff extremely nice . hallway room bite dark elevator go hotel decor . the part disapointe experience eat Blue Fin , hotels upscale restaraunt . food mediocre good portion small , atmosphere staff great . constantly visit little store right next door offer great food 24hrs day wonderful place grab breakfast head sightsee NYC.Overall experience W outstanding . would reccomend anyone modern decor wonderful service . 
 Apr 28 2007 	 Awesome View Times Square 	 Awesome view . Great Hotel . Beautiful Water Feature Lobby . Great Times Square Location . walk distance Broadway show . great Breakfast . extremely comfortable bed , linen pillow . clean . pricey gift shop . ultra modern overdone . serene hustle bustle square . flat plasma tv . impossible figure alarm clock / cd player . bar crowd & amp ; trendy . Lobby & amp ; check - in crowd due location bar . Gideon Bible . 
 Apr 21 2007 	 worth money 	 two room American Express Corp. travel . upon arrival , check ok get room exhaust . haveto travel certain floor exit elevator walk anotherarea get another elevator get room . give regular room & amp ; tell upgrade suite since available thru American Express additional charge . non smoking room smoke . solution toput large box room help odor . box leave room whole time never pick . suppose bep / u hour . room somewhat clean . contemp . price room disappoint impressed . location good . try Marriott Marquis Times Square next . well location much well rating tripadvisor . 
 Apr 11 2007 	 W Waste money 	 colleague stay W Times Square cover New York Auto Show every year past four year . always know W style substance , recent experience assure last week would last stay there . the room okay , stylish bed way small . real problem come conference room reserve hotel use work base . promise conference room T1 line could post - production work . get , internet line , ultimately hook well bad dial - up . person arrange room clue internet connection , would fine 1997 , 2007.and , lose video deck deliver hotel we , standstill four hour . apologize utterly lackluster way , like use screwing . good could offer free food , not much comfort give stay 3 p.m. make mistake . say do , try charge we & quot ; package handling & quot ; equipment lose . act like we huge favor charge we room ultimately could not use . , restaurant forget bring entree , favor charge ? anyway , try follow manager phone , never bother call back initial conversation . lesson : want silly style , think W. want employee on - the - ball professional , probably look elsewhere . 
 Apr 10 2007 	 wow ? 	 5 night Feb long weekend disappoint aspect W.The location great get & amp ; , subway stop nearby & amp ; cab right outside plus Times Square around corner . I would say money spend communal area & amp ; room leave lot desire . entrance impressive waterfall cascade glass ceiling cool . darker dark lifts bar area uber cool . quick dance lift inbetween floor , course ! Sex City stylee price tag match . look around $ 12 drink , soon stack thirsty & amp ; want glass ice . we stay NYC & amp ; aware space premium not expect big room . however hopeful heating winter & amp ; also quiet room night . massive aircon unit corridor outside room clanked & amp ; clunked night long . room little bit tired , consider refer 5 star , not . stain quilt , bathroom bit mould grout & amp ; freeze step shower . bliss toiletries nice & amp ; replenish every day . gym assortment free weight & amp ; couple cardio machine , shower / sauna steam . I deep tissue massage stay & amp ; feel benefit next day , fact ' m still feel 7 week . would recommend trip Michael back / shoulder knot , put pain worth ! heat massage bed , first v.nice . the restaurant good menu & amp ; worth visit can not bother venture far . someone else mention , deli 2 door road ( go away Times Square ) would highly recommend coffee & amp ; breakfast , cold drink put mini bar ( mini bar rip - off $ 12 bottled water ) selection hot food etc fantastic . deli like London would stop shopping / cooking . carry walk direction across couple block end Hells Kitchen , load place eat round try Chelsea Grill nice vibe . I could go & amp ; great place eat big city , that s find fun try ! overall W ok , have know over - rate would book something else . 
 Apr 10 2007 	 12 Night Stay - Good W 	 12 night stay W Hotel - Times Square . comparison W City , one well hotel . lobby new , carpeting hallway clean , room overrall modern , hip , neat . housekeeping turndown service inconsistent . night would come night would not . food incredibiliy expensive , would anyone need order room service Time Square beyond . night 10 pm hotel guest require key enter , security make feel safe . Thrus - Sat hotel lobby pack loud ( full twenty something drinking bar ) . one major complaint front desk gave run around upgrade use SPG pt . tell contact SPG telephone line call , tell contact front desk since already check . ... give up.the workout room standard W Hotel workout space ... 6 treadmill machine . enough quick workout . score room high floor ( go 54th flr ) , 's good chance will able see NJ , hudson river , entire city . internet service $ 17 per 24 hr . $ 6 30 min . overrall average NYC W Hotel . comparison hotel city within price range , good . 
 Apr 4 2007 	 Perfect New York W Weekend 	 stay W weekend actually love . hotel lobby bar drink admire stylish . stay hotel even well . book superior room step basic & quot ; wonderful & quot ; room . room quite roomy partial view Times Sq . hd flat tv . usual bed bathroom high - grade starwood quality . ws , Bliss bathroom product well see . guest hotel , not pay $ 20 cover charge whiskey club downstair nice extra ( even though club cheesy side play mainstream hip hop suburban look crowd ) .so 4 rather 5 star ? mostly issue price . $ 450 price tag nice room - ok NYC day - feel like great value . could stay Four season Istanbul kind money . , New Yorkers like say , nothing compare NYC . boutique chain compare consistent quality W . 
 Mar 29 2007 	 Loved atmosphere 	 Hotel 's location grt , room small beautiful , make feel like spa . loved lobby , water feature beautiful . gym pretty good , grt view work , equipment new well keep . friendly staff , great stay ... 
 Mar 11 2007 	 much effort part ... 	 first , NY hotel , price right . room clean . scent use rug , etc . clean could cause allergy problem .. request spray use room . location , Times Square , wonderful . problem come sun set .... exterior hotel light , glare directly upgrade , 36th floor corner room make seem still daylight ... bank 12 + floodlight stay night ! . wall paper thin .. noise outside sound problematic ... well stay elsewhere . room proportion miniscule austere .. gray color day . check easy friendly , promise wine ( celebrate special occassion ) turn service special ' amenity ' nowhere find . concern note staff bring bottle wine , albeit wrong kind . money , try another hotel next time ... one much work ! 
 Mar 7 2007 	 Loved ! 	 husband book hotel 40th Birthday treat ! trawl internet want stay nice , central , comfortable hotel special occasion W Hotel disappoint ! stay one Spectacular room wonderful room book . email hotel ask nice room 40th check find 56th floor great view Broadway right Central Park ! room spacious ( expect ) comfiest bed ever sleep ! fact , say City never sleep , sleep well home - delightful ! first night , complimentary birthday cake deliver door , lovely touch . room cleverly design yes , may overly plush , do really well . walk shower fab complimentary Bliss product day great ! hotel bar cool feel & quot ; Sex City & quot ; drink Cosmopolitan ! ! would definitely recommend W Hotel , think fantastic ! 
 Mar 4 2007 	 nice stay . 	 second visit W Times Square . disappoint first ( year ago ) . second chance . time , come fly color . staff much friendly , room size closet . complaint ... corner room SE view ... construction happen roof adjacent bldg . unsightly , ws fault . 
 Mar 3 2007 	 seem businessman / design man ? 	 husband stay hotel one night . like certain thing cool waterfall effect walk , bed comfortable , large hdtv great , elevator good , staff service attentive . check - in check - out do expeditiously . room clean , plenty plush towel provide . we ask wakeup call receive time . order breakfast deliver room 8 , order arrive minute early perfect . food quite good . like hotel seem design business traveler , think room female friendly . attend big family party . rather take aback find , although bathroom rather large , lot waste space . need hooks shelf . thing bother sink almost room spread makeup item application , makeup mirror mount way high woman , like , average height ( 5 ' 4 & quot ; ) , light bathroom way dim see ! provide nice , plush bathrobe , find closet , hook hang bathroom . ( bathroom pocket door instead regular door . ) room several light , light dim . find annoying . room small , hardly large king - sized bed , decor kind austere high - tech , comfortable homey . 2 chair room , neither one comfortable . room obviously design short stay ! never would want stay room one night . decor give we uneasy , edgy feel instead relax effect needing & amp ; hope . hear LOT noise hallway late night . drawerful snack room ; stop husband take realize would charge .... think include price room ! way ! plus right next door nice deli kind food , snack , sandwich drink available . roast beef sandwich deli great ! bottom line would stay due negative mention .. 
 Feb 21 2007 	 Classy Hotel 	 back Stay W , Times Square , classy hotel , great service central . room comfortable , lovely bed . would definitely recommend anyone , stay next visit New York . staff helpful friendly ! 
 Feb 8 2007 	 Cool sophistication 	 join Trip advisor finally write review ..... stay W Dec 2005 . hotel hip feel like 28 agan , cheap location amazing . corner view watch big New Year 's Eve celebration . wife '' 40th really make special . place minimalist service great .. get tip like hotel still feel special . ; like loud music dark corridor , wrong place . feel young , definitely worth . lobby fun , hang around sit one comfortable square seat . rom clean , minimal useful . love bathroom modern design . definitely stay . 
 Feb 5 2007 	 W stand w/ hotel ? 	 hotel like cross nightclub college dorm . light hotel either fluorescent neon , wall paint black , club music pump 24/7- hence , comparison nightclub . actual room stayed truly look like dorm room w/ king size bed . furniture sparse well make , exception bed quite comfortable . bathroom tiny w/ shower , shower enclose might add , lead wet , messy bathroom floor . W , expect minimalistic serene luxury . needless say , quite disappointed w/ location . 
