knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Apr 1 2007 	 Good experience 	 hotel good value downtown Chicago . little hesitant reading comment . hotel build 1927 hallway clean classically deisigne beauitful light fixture door knocker . room two double bed . small bed , big deal ... two we . room rather spacious clean . bed ( sheet ) quality cotton . bathrom tub , nice tiled shower area clean . decor little & quot ; funky & quot ; , add character hotel . entire staff exceptional . parking $ 40 24 hour ( valet ) . could park car Bloomingdale 's parking ramp North MIchigan ( 1block away ) 24 hour rate $ 25 . hotel block North MIchigan Avenue . Bloomingdales , Macy 's , Ditkas , American Girl Store , many great shopping area block away . 
 Mar 31 2007 	 good expect 	 decor lobby room clean lovely . the front desk door staff knowledgeable helpful . housekeeping staff unresponsive . mirror fall wall never replace . hairdryer would work minute . ask two extra packet coffee give one . expect boutique hotel Chicago 's Gold Coast . this lovely intimate boutique hotel could use TLC housekeeping staff . however , location wonderful ( 1 block Oak Street Michigan Ave ) price right . 
 Mar 28 2007 	 4 star hotel ! 	 price consideration can not beat location . expect 4 star experience will need go somewhere else . book Priceline - get ok rate : $ 110 / night . see other get room less . booking call hotel request 2 bed . confirm 2 day get . get room find King bed . person end phone call question room tell we book Priceline give option & quot ; request & quot ; 2 bed - apparently call twice confirm 2 bed mean nothing . tell room available . woman speak not pleasant - surprising supposedly 4 - star , customer - friendly hotel . obvious bias Priceline customer . bellman ( friendly sympathetic ) suggest get roll - away - would add ' l charge . decline since absolutely room . room & quot ; old world & quot ; small , way . cozy cute place hang ( be Chicago would spend time room ? ) . dresser - small drawer desk . keep thing suitcase . room come single - serve coffee maker . check actually one serve 2 room . call coffee promptly deliver . free phone call - charge minute . free internet access . view speak street fairly quiet . bathroom ... design ? ! ? ! ? be small - small . close door turn sideways . toilet nearly flush wall . bathtub narrow keep bump soapdish place shoulder height . fan . provide usual soap , shampoo , etc . bring will not much shelf space . next morning ask front desk availability room 2 bed . one - apparently one night . ask call we cancellation get call . would appear hold room off - the - street customer force Priceline customer take one bed room . call bellman help move we new room . 20 minute waiting move . room similar old room except easy chair ( well fit 2 double bed room ) . bathroom nearly identical - mean still small . save grace door different wall room maneuver go . still can not get narrowness toilet shower . aside woman phone first night ( stay 4 night ) , everyone come contact pleasant . eat can not rate restaurant hotel . martini bar right inside front door not seem much business night . use valet parking sure call least 15 minute want leave . car park another block take long someone run car get back traffic . check housekeeping leave enough coffee every day - not always - call twice . room not bad shape - perhaps renovation work way 5th 3rd floor . room renovation not standard expect 4 star hotel . finish - molding , wallpaper seam , caulk bathroom - noticably un - finished . bottom sheet bed not cover end mattress . companion miss trash one night tired pick small piece trash . still floor next day return room . overall , disappointed experience . know get smallish room picture saw make look big . absolutely stay north loop budget thin might find bargain . otherwise , look elsewhere 4 star experience . 
 Mar 20 2007 	 stay ! 	 book hotel room 4 night hotel online vendor . book hotel room contact hotel request room 2 bed . tell 3 different conversation hotel personnel would room 2 double bed . arrive give King sized bed tell nothing hotel could 3 guest . apparently hotel management see problem 4 people sleep 1 bed . staff completely unaccomodate . add insult injury meet guest obtain room 2 bed walk street day check . would recommend hotel anyone . customer service well acceptable . location hotel great many hotel offer excellent service high quality room stay visit Chicago . bottom line stay Millenium Knickerbocker ! ! ! 
 Mar 20 2007 	 YUCK ! 2 star motel like ! ! ! ! ! ! ! ! ! 	 's good thing job pay stay . let say disgusted property . old outdate , smelled look plaine nasty ... hallway . room ( 1201 way ) hell hole . bathroom stink something awful ... like old musty attic mix Raid keep door closed smell nauseating . sink small , faucet rust wallpaper peel paint room bathroom paint least 6 time . thing new shower door shower head ... bad shower head 3 inch gap wall .. u say caulk . bed also scary Lisol disinfect still use comforter afraid . light fixture work furniture old chip . travel alot far bad hotel ever stay . find look window Hilton hotel room wish . stay worth money ... DEFINITELY DESERVE 4 STAR rating . * * * * * WONT BOOKING HOTWIRE CANT BELIEVE BOOKED DISGUSTING PLACE charge $ 128.65 PER NIGHT . UGGHH ! ! ! 
 Mar 5 2007 	 great 	 friend decide take daughter Chicago . grow . girl 5 6 want go american Girl Store . 4 block away . walk around downtown . hotel great location . price great location . somehow get upgrade Superior Standard room get cot girl share . great . staff friendly . would definately stay . 
 Mar 3 2007 	 hotel okay nothing great 	 room fall apart . much hotel still daily charge internet ( $ 10 ) . control temperature inside room . would recommend hotel price . 
 Feb 20 2007 	 place charm 	 wife spend weekend Feb. 17 - 19,2007 . read reviews Tripadvisor naming price Priceline ( $ 85 / night ) say heck , will make well , sound like crap shoot . ( besides money commit not alot ) . glad read review first know expect . disappointed . fantastic location . like almost everyone say , staff great ! decor might expect 80 year old hotel look like . People not travel need much back , yes , room small . find upgrade large room arrive , fee course . decide stick original room . like wife say , & quot ; everyone pay go rate room night , hotel would alot money put update & quot ; issue . bed firm ( be use ) pleasant stay . go good attitude will find Knickerbocker decent place stay . hope help find stay , hey , money save , take spouse wonderful dinner . 
 Feb 20 2007 	 Ick 	 overall terrible experience . room dirty gross . upon check find multiple hair bed bed - yes , know kind hair ' m refer . vent disgustingly dirty carpeting scuffed wallpaper . well uncomfortable bed ' ve sleep quite awhile . staff nice property need mega overhaul asap . say breakfast hotel ( menu ) pleasant tasty . one much well Chicago . really hope hotel read review try step soon save gem . 
 Feb 19 2007 	 Classic ! 	 Classic Chicago Hotel , great location . 
 Feb 9 2007 	 romantic Getaway 	 lucky enough get & quot ; 4 star & quot ; hotel Priceline $ 70 - luckier get Knickerbocker ! check check hotel staff extremely helpful friendly . room small cozy . read review guest somewhat scared would find - must stay different hotel . frequent traveler feel room hotel meet & quot ; 4 star & quot ; rating . yes , room bathroom small , historic hotel big city not ? decor quality meet expectation . lobby bar inviting . overall , would stay . 
 Feb 7 2007 	 great people 	 wife spend long weekend Chicago luck draw Hotwire get spend Knickerbocker Hotel . good part stay people work . everyone courteous helpful make we feel welcome . room little small , Hotwire , comfortable . would definitely stay . 
 Feb 3 2007 	 well short 4 - Star Hotel 	 book stay Knickerbocker via [ -- ] . ' ve use Priceline several time ( always indicate want & quot ; 4 - star & quot ; hotel ) . prior booking , ' ve satisfy . time . the Millennium Knickerbocker list 4 - star hotel AAA , year . review indicate significantly poor experience , astounded hotel would receive AAA 's 4 - star rating . simply inappropriate . the hotel historic facility , date back Prohibition Era shennanigan Chicago - allegedly Knickerbocker host number famous gangster back day . see old - style charm place 's external internal detail . lobby massive affair modern standard , likely quite exceptional day . nice bar right walk lobby , small nicely appoint restaurant leave . registration desk concierge desk small staff friendly helpful people . fact , one thing Millennium Knickerbocker go friendliness / helpfullness staff . many engaging conversation staff 24 hour stay , find save grace stay there . however , facility amenity substandard interpretation - least 4 , even 3 star rating . mention review , room small . also moderate poor state repair . upon close inspection , floor bed linen appear clean - condition wall covering , bed covering , carpet , woodwork , tile hallway room make think clean . limited experience , clean - poor condition . bed cover snag many place cigarette burn hole . wall paper well apply , seam raise many place . desk chair faux velvet cover affair , material many gouge distress appear . wood desk also gouge several place . woodwork paint , appear last many coat paint - finish lumpy / drippy / wavy . bed cover pull bed , bed linen seem relatively new clean . bathroom quite small . tile poor condition , grout crack stain many place . joint tile wall meet floor bad condition , gap grout stain . room easy comfortable . hallway state repair ( clean , worn looking ) . unlike reviewer , detect foul odor . the hotel situate convenient location people wish explore River North / Michigan / Rush St. area downtown Chicago . across street Drake Hotel , one block north Hancock Tower . might say not complain pay $ 69 room . however , ' ve pay much less far nice hotel , one appropriately designate 3 4 star AAA . , via Priceline Hotwire . would certainly upset pay rack rate room . also , internet access quite expensive opinion ( $ 13 per night ) ; complimentary ethernet cable - not travel one , must purchase one $ 6 thru mini - bar . unheard - of practice experience , pleasant one either . I would steer clear hotel unless room full preferred hotel area . adequate , clean staff helpful folk . sort hotel experience expect 3 4 star hotel . 
 Feb 2 2007 	 average hotel stay 	 recently stay Knickerbocker conference . admit worried review , hotel fine . say do not understand hotel 4 star either , money pocket , might choosen different hotel . overall average hotel stay . 's breakdown experiencecheck : due change flight schedule actually arrive hotel around 11AM . plan store luggage shopping , room ready early unexpected . another unexpected 50 dollar per day hold place credit card charge mini bar room service . able get waive , travel pre - pay business card unaware fee . clerk enter cash pay customer could not make room charge , fine . wish would make aware check ... do not know ahead time take big chunk travel budget ! ! ! ! ! ! ! ! staff : excellent , prompt service , helpful ! location : right across street Drake , convient lot shopping restaurant Mag Mile . however towards end mile hotel middle mile might convient . room : small side , clean pleasent . decoration bite girly side , girl , enjoy ! bed pillow extremely comfy . refrain take large pillow home ! : ) room close elevator , really nusiance kind . one night noise outside bothersome , guess would case hotel large city . coffee maker plenty glass provide . fridge mini bar , keep leftover . bathroom : far small bathroom ever see ! edge sink literally hang bathtub . tiny shelf provide storage room . bathroom clean , mold mildew . see several people post shower , bathtub deep garden tub nice . water pressure shower great plenty hot water . hair dryer bathroom , do not work well . towel good size scratchy . female traveler , would not plan use soap shampoo provide hotel ... manly smell . find funny room decorate girly toilitrie provide clearly man ! 
 Jan 27 2007 	 Eeeewww Yuck ! 	 4 - star ? ? ! ? like 2 - star hotel ! ! ! website list 4 - star hotel , imagine ... probably b / c convenient Magnificent Mile / Michigan Ave John Hancock tower . lobby ok , room horrible . way room , right elevator 12th floor ( high guestroom floor possible ) walk hallway , distinctive smell death - like musty - ness , accented oddly old , sour - y , onion - y odor could imagine 4 - star hotel even 2 - star hotel ! feel smell like senior - Citizens Nursing home ( offense anyone ! ) . room old , outdated furniture ... bathroom tiny small sink ' ve ever see . bathroom feel like & quot ; wipe - down & quot ; clean vs spotless . bedspread kind hair . gross ! ! open window rid room smell describe , 28 degree outside ! ! service non - existent , friendliness staff . serious refurbishing need ! ! ! Book hotel peril ! ! 
 Jan 19 2007 	 Excellent value 	 wife , daughter stay December 26th . corner suite $ 159 12th floor . room wonderful , nice big , plenty room . knock room would bathroom tiny functional . concierge extremely helpful get we reservation dinner front desk staff courteous prompt . , hotel really gem . extremely affordable , great location 50 yard Michigan Ave . next morning eat breakfast Drake , across street treat . recommend hotel friend Ireland . Switzerland . friend wife stay June , 2006 . love . return Chicago November , 2006 stay Fairmont , actually disappoint extra money simply long commute shopping area . would hesitate return hotel future . 
 Jan 16 2007 	 Ehhh .... stay elsewhere 	 friend stay MLK weekend . get room $ 85 hotwire . read reviews site know decor would bad , staff good . first negative : beware , would like print boarding pass use business center . become expensive extra . $ 5 15 minute internet time $ 1 minimum printing charge . believe hotel claim 4 star hotel , little extra hotel could take care . also , charge newspaper , not get one checking day . but refuse post without mention positive . location fantastic . take Chicago exit red line , go straight two block three . hit Louis Vutton store go half block . bellhop front door staff absolutely fantastic . water pressure great hotel . yes , decor ugly room could consider & quot ; small & quot ; . ' m sure would stay , price location something take consideration . . would not stay room . 
 Jan 12 2007 	 good not - so - good 	 staff wonderfully helpful , courteous , professional - way . room - service food inexpensive excellent . first room reek cigarette concierge extra - friendly switching ( immediately ) different room , nice . window open ! negative : toilet leak water onto bathroom floor amount & quot ; fixing & quot ; ( hotel v. friendly call request anything ) seem fix . good value great location . 
 Jan 10 2007 	 fear 	 plan trip Chicago see Michigan Avenue Christmas time . get good deal hotel priceline . afraid stay hotel reading review . glad see wrong . staff wonderful , get bag cab soon pull . helpful answer question stay . hotel old decor try stay era Al Capone , use come hotel gamble . thrilled 10 year old since learn Al Capone school . location great , around corner Louis Vuitton . able walk everywhere . complaint hotel would glass door shower , really practical 10 year old . would definitely stay hotel . 
 Jan 5 2007 	 Lovely Hotel : Distinctive 	 well , get Knickerbocker bargain price would pay full price nice . really distictive lovely feature throughout unlike cookie - cutter hotel . staff lovely helpful . martini bar lovely atmosphere Crystal Ballroom outstanding ! expensive though ... $ 12 Martini ! ! restaraunt hotel look nice shockingly expensive rather standard food . 's right corner Michigan Ave ( Magnificent Mile ) stone throw away Bloomingdales , Louis Vuitton , Gucci , Max Mara ... endless ! view mention though , expect innercity hotel . problem call front desk ask would charge use prepaid phone card call UK hotel room . say , sad truth . $ 1.25 everytime call , even use card . little shock check , 's great hotel FAB location , close everything could want . I would pay full price hotel get cheap , really make feel like get Great Bargain ! = ) 
 Jan 3 2007 	 Odd Fine Friendly 	 Knickerbocker receive share negative review . maybe management take suggestion . come husband two child right Christmas . book hotel Priceline , always . Chicago many 4 star hotel like excitement get good deal explore different type room around city . Chicago countless time stay hotel 3 star . , background info accept , Knickerbocker not bad . would describe room decor ornate , yet cheap date . would never consider 4 star establishment , fine . staff warm attentive . location soooo good ! , good deal priceline . beware lift door , shut quickly ! eat FoodLife Restaurant ( ) basement Watertower shopping complex ( two block away open 7:30 ) ! ! cool ! 
 Jan 3 2007 	 perfectly fine hotel 	 stay hotel two night Christmas . honestly , not understand bad review - may people use stay big city hotel . knickerbocker fine location . room nicely maintain , tend small , bore spend time hotel exciting city like Chicago . not let rube scare . great hotel . 
 Jan 2 2007 	 4 star location 	 bid $ 75 4 star hotel Chicago ( along Magnificent Mile ) . get Knickerbocker . never hear . check review tripadvisor.com & amp ; little spook . sound like would gross ! ok . hotel rate 4 star . honestly , thing & quot ; 4 Star & quot ; hotel amazing location ( close shopping & amp ; Navy Pier ) amazing service ( everyone front desk , maids concierge guy ) .... actual room barely 2 star ! tiny , kinda tacky design ( described & quot ; European & quot ; be tacky ! ) wallpaper peel bathroom . lock bathroom door . toilet leak arrive , call front desk guy fix hour , ok . fun hotel . right around corner great shopping . tip would : SALES TAX high Chicago ( 10 % .... be dine ! ) would suggest lot shopping really . 's good go store & amp ; find like , buy online ! example , gap store . go , try clothe know like , get online . dining : get to get deep dish Chicago pizza Giordanos . good ! take 30 minute bake , worth ! call ahead reservation . parking $ 28 ( public ) $ 40 ( valet ) insane ! decide pay park ... leave car home . take South Shore train South Bend , $ 10 . catch bus $ 2 hotel ( kid free ) transportation around city : ask concierge tip ! tell we bus take Navy Pier . clean , affordable way get around . 
 Jan 1 2007 	 nothing scare great ! 	 husband recently stay Millennium Knickerbocker December 26th . book room summer Hotwire $ 73 / night . read reviews site regretful decision . nothing afraid great hotel fantastic location ! hotel locate right around corner Hancock Building , Bloomingdales Magnificent Mile shopping area , couple block Rush Street Lake Michigan . never Chicago find bit tricky get hotel 's one way street . parking garage across street hotel $ 25 / day . park car walk everywhere . everyone hotel helpful willing hail us cab , give we direction , suggest place eat . wanted see many site possible , order room service dinner breakfast . food good deliver exactly say would deliver . next trip hit fabulous eating joint Chicago . the room nice clean . huge king bed comfortable , check pillow go bed . hard soft , fill down / feather . yes , wall bit thin wake middle night people hall . room two bathroom , also clean sign mildew . complaint shower stall ( , tub ) leak bottom huge puddle get . lucky enough get two bathroom , take shower bathroom tub / shower combo shower curtain . overall , go back Chicago summer stay Knickerbocker - get $ 73 night . price , excellent hotel . 
 Dec 13 2006 	 's fine 	 stay every year conference . customer service great feel safe . thin wall small bathroom not bother know old hotel , really need renovate room . could not see detail molding paint many time . bathroom grout look dingy even though ' m sure housekeeping scrub well . location = fantastic . 
 Dec 5 2006 	 quite snuff 	 stay hotel Thanksgiving holiday . location & quot ; magnificent & quot ; north end Michigan Ave , near lake gold coast area . public area hotel give impression grand , old hotel . service spotty . one front desk clerk fabulous , indifferent borderline rude . concierge wonderful . waiter restaurant uninformed menu , not offer find ask ( request ask several different dish ) . room small , cozy . room bathroom clean bed comfortable . unfortunately , however , room extremely noisy . wall paper thin hear conversation next room . fact , maintenance next door partner bathroom clearing throat nerve ask , wall , alright ! pipe make noise window insulation drafty clearly hear street noise . could bearable actually provide background noise drown - luck unable control fan level room . would choose stay hotel due noise issue ( sleep terribly ) , would disappoint end one & quot ; bidding & quot ; website . 
 Dec 5 2006 	 never fear 	 yes room small staff still diaper learn hotelcraft price simply can not beat location . 
 Dec 2 2006 	 puzzle bad review 	 great stay Knickerbocker little wary reading bad review . room clean , bed fabulously comfy , bathroom stylishly tile immaculately clean . quiet sleep almost 9:00 one morning . breakfast little lobby restaurant ok ( spinach omelet , great ; husband french toast , little dry ) . option area , choose restaurant convenience since food average . parking fee exhorbitant @ $ 40.00 per day . choose self - park across street will not use car ( charge in - and - out fee , valet parking ) . 
 Nov 23 2006 	 great shake Chicago 	 book hotel hotwire , get good price -- $ 95 total , plus crush 40 parking . room smallish dingyish ok . impressed ( negatively ) pushbutton - access minibar -- first experience . sum , location great , would not pay list rate . 
 Oct 31 2006 	 Pass Knickerbocker 	 check - in without issue prompt . room small clean . this property noisy , especially early morning hour ( 4 am -on ) people wake shower . water pipe constantly & quot ; singing & quot ; loud enough wake keep rest morning . thin wall sound . the bathroom small nice . wireless internet terrible . nice bar lobby , location great , money , would look elsewhere . 
 Oct 17 2006 	 not stay Knickerbocker 	 service good . room small unbearable . actually maid good job . room clean . close everything . would stay . horrible odor room last day stay . would stay elsewhere . four star property . 
 Oct 15 2006 	 nightmare trip 	 realize old hotel issue , ridiculous . room tiny , air stale . air turn winter , way get fresh air open window ..... fourth floor toddler . safe Idea . tile bathroom dirty black mold everywere . corner room dusty paint peel wood work . staff rude bellman hang around untill force give tip incredibly substandere service . take 30 minute get car pull around . would never stay . hotel list 4 diamond , 2005 2006 award miss wall ? ? ? ? ? husband travel quite bit , hotel worth money ! 
 Oct 5 2006 	 Friendly Knickerbocker 	 book thru hotwire high percentage positive outcome . happy saw would stay knickerbocker - as stay young . reserve King Non - Smoker . upon arrive tell choice smoking room . argue state & quot ; well book thru hotwire priority & quot ; . enter room notice bathroom door track bathroom light turn . call front desk fix door light . later evee take shower seal around shower poor water get floor towel . also , must add room reaked smoke . next day check front desk clerk ask stay tell problem , tell we total concern issue . also check bag day , bellman came quickly make rude comment we hurrying could get day . realize bit later forget something one bag tell would get back . stay away - even get good deal ! ! 
 Oct 3 2006 	 Nice Hotel 	 hotel great area - right Michigan Ave . people helpful friendly . although room relatively small , normal size hotel room large city . overall , hotel nice , room clean service great . would definitely recommend hotel . 
 Sep 25 2006 	 good average hotel 	 offer hotel booking flight Travelbag . cost three night buy flight £ 60 - could go wrong . however , read review elsewhere start worry .... need not . yes , room large - tiny hey , stay night , buy place . bathroom tiny clean facility . Air con work well - good cloudy warm humid . room clean funny smell . quite sensitive tobacco smoke not notice reception hall time . staff pleasant helpful . not eat hotel bit pricey compare place . gripe hotel - teeny one , gift shop ( think independently run ) price display . husband select three postcard want $ 3 - around 35cent elsewhere top . recommendation Chicago ? l'appetito bottom Hancock Tower breakfast also good lunch . Bean Millennium Park interesting sculpture . Hancock Tower bar good bar menu great watch sun go light come - must good view top floor not pay admission ! Use Ladies loo floor ( girl 's course ) see amazing view loo ever . potbelly near Sear 's Tower good lunch ( close Saturdays ) . free trolley bus ride around city good - make sure get free one charge . Navy Pier great lake beautiful . airport shuttle good city - pricier taxi one . taxi around $ 35 way . 
 Sep 24 2006 	 yuck 	 Booked hotel last minute Priceline ... say YUCK . hotel worthy four star rating . room old cramp . bathroom date dirty - shower door almost fall try close . vent ceiling drip dirty water night wake soggy carpet . housekeeping staff tell we hotel update year ( sure last time update , not look like much do lately ) . update include flat screen tv 's room - least problem replace television ! Understood historic hotel , please , drop rating 2 star major renovation complete . rude staff , smoky room , even coffee pot ... thing hotel go location . parking advertise $ 25 charge $ 38 . Omni , Intercontinental , Sheraton , Hilton - much niced amount $ $ pool , . save $ $ go elsewhere . YUCK . 
 Sep 12 2006 	 Small room Big - City Glamor Nonetheless 	 arrive hotel straight 19 - hour train ride new York , eager check , put bag away , get Chicago vacation . even though arrive two hour checkin , front desk good let we store bag could allow we room early . happily , take half hour defiantly appreciate that . head room afraid size & lt ; & gt ; smell & lt ; /i & gt ; read several review comment room tiny & amp ; smell smoke . essentially true ( especially tiny part ) , really ' complian . book hotel hope nice part town old , glamorous hotel , price , think Millineum deliver . quick hint : sure check ballroom . wife love floor . 
 Aug 31 2006 	 right need ... 	 really enjoy brief stay Millennium Knickerbocker ! front desk personnel bellman housekeeping staff bartender , everyone meet helpful welcoming . 11th - floor room clean beautiful , view look north Drake Hotel apartment across street nice . in - room coffee service appreciate , . not lot room bathroom toiletry , would still take room beautiful old hotel character spacious - but - cookie - cutter room day ! 
 Aug 30 2006 	 Great Location ! 	 must admit , arrive hotel worried review . however , much delight , hotel perfect we . husband love location . within mintue walk favorite restaurant bar . course , shop ! really complain room , since pay $ 79 ( plus taxis ) night . thank Priceline . also add , check bed bed , course , none . ha ! carpet , celling quite need repair , hotel old , make feeling bit historic . staff friendly bartender make awesome dirty martini : ) would stay price right . 
 Aug 29 2006 	 nice staff great location worthy 4 star rating 	 read many negative review brace worst . Luckily come away stay feel opportunity good price would definitely stay . location great . around corner Louis Vuitton right Michigan Avenue . hotel build charming Martini bar nice bartender eager help area . check staff professional cheerful . Hal check we immediately without make we wait . room bite shabby side . bathroom tiny shower tub tiny . room clean need TLC . bedspread couple cigarette burn hole . Carpet , furniture , part room well worn look . housekeep friendly room clean . get good price feel competent okay . seem like 3 star hotel can not understand 4 star rating . Liked historic feel hotel . bell staff extremely helpful friendly . bug like previously post . location , location , location . place fine not complain staff . Ritz Carlton place . 
 Aug 28 2006 	 Nice hotel ... sure 4 - star rating though . 	 & quot ; historic & quot ; hotel . great location somewhat charming . room pretty good condition neat accent . plenty sign hotel 's age though ( tiny bathroom , slow drain bath tub , fade carpet , lot repair sign ) . staff friendly helpful , $ 39 / night valet park ( self parking ) seem pretty high . would stay right price ( e.g . Priceline Hotwire ) base location alone . 
 Aug 24 2006 	 Nice Hotel -- Awesome Location 	 stay MK wife teenage son 3 night August 20 -23 , 2006 must say experience none problem mention early negative review . call ahead request room 2 bed ready even though arrive 1 pm . start extremely courteous efficient service receive every member hotel staff . room decent size -- never feel crowd -- clean tastefully decorate . bed comfortable , climate control work well water pressure shower good . negative bathroom extremely small -- felt cramp even one person . otherwise think rest hotel good condition consider age . lobby area nice Martini Bar adjoining lounge area pleasant place relax enjoy drink . plus location great -- short walk Oak Street Beach , Water Tower Place , Rush Street dozen bar , restaurant shop . pay $ 100 Priceline think great value . Chicago several occasion stay Millenium Knickerbocker make one especially pleasant trip . would definitely stay . 
 Aug 23 2006 	 nothing bad say 	 nervous stay knickerbocker read many bad review site . however , stay 4 night mid - August , honestly not anything bad say hotel . yes , 's good condition , be exceptionally clean . yes , bathroom small side , bathroom Chicago run pretty small anyway . plus bathroom shower fairly spacious , always plenty hot water shower . staff great , location can not beat , would definitely stay . 
 Aug 18 2006 	 Wonderful Hotel Staff 	 love hotel . one good stay . lobby beautiful room nice comfortable . make service terrific . matter time leave room make come back . ask maid couple extras nice friendly . like hotel staff nice friendly . daughter girl 's weekend Thursday - Sunday . everyone doorman concierge people desk etc . wonderful . can not say enough good hotel . yes bathroom small , not move room . stay day hardly room anyway . definitely stay 
 Aug 17 2006 	 ` ` average '' hotel stay 	 daughter stay MK Aug. 11 - 13 . arrive 3 pm room available immediately . decor condition room date lot wear tear obvious dirt , odor , ' m happy say , bedbug ! . book hotel April rely heavily tripadvisor information make many travel choice worry late review hotel bad , bad . go far book another hotel cancel last minute b / c location MK appear great . , hope well make good choice term location . like size hotel ........... cozy feel nice bar . staff member friendly helpful . big question always ask try evaluate hotel ..... would stay ? would not reply resound , . first trip Chicago not consider stay mistake . see hotel prime location would like try . 
 Aug 15 2006 	 good worthy 4 star 	 second stay Knickerbocker . Happened go one busy weekend summer . tall Ships , Lolapolluza , Art Festival , Cubs White Sox go . room stay clean nice . downfall fact sleep Murphy bed . 4 star hotel murphy bed . beyond , staff helpfull make stay enjoyable . 
 Aug 14 2006 	 please believe read ! ! ! ! not let bed bug bite ! ! ! 	 spend weekend Hotel ( Aug 11 - 13 ) . Positive- Location EmployeesNegative- Believe ' ve read review . I spend approx 150 night various hotel around world travel business . large metropolitan city numerous hotel choice small town couple option . first time ' ve actually review property . without hesitation bad hotel room ' ve ever stay . room dirty wear . could actually feel spring mattress jab we back - impossible sleep . top 11 month old 's sock actually black crawl around carpet . arrive notice used soap shampoo shower various section 3 day old newspaper spread around room . express concern regard room however & quot ; fully commit & quot ; room available . not fool , 4 star hotel . next letter go AAA supposedly rate hotel 4 star . one thing , make sure WEAR long PJ'S- bed BUGS HORRIBLE ! ! ! 
 Aug 7 2006 	 bad review 	 reserve two night Knickerbocker Priceline $ 147 / night . read review ( fact ) scare upcoming stay . expect run hotel full bug . even though overly picky people , find nothing terribly wrong hotel . middle ... great people want spend lot money shopping ( store part little range ... be Old Navy etc . type ) . hotel antique charm , headboard mirror distress ( old ... mean like ) . room bathroom little small , Hotel Burnham stay first night Chicago . expect downtown Chicago price . staff nice ; however , call ask spoon deliver room , one ever show . service Burnham well , still not horrible . short walk , go Oak Street Beach , girl enjoy .... play cold water Lake Michigan . overall , like location hotel , go Knickerbocker . 
 Aug 7 2006 	 Location 's . 	 location hotel excellent . hotel 4 star like say - opinion . room decor horrible ( probably european used ) room small furnish like old apartment . upside , want stay great location , feel safe , put aesthetic issue get great deal work . prefer Westin Marriott ... something count . 
 Aug 3 2006 	 Cooler outside hotel inside ! 	 book hotel , read review , concerned . end book base sister recommendation . BIG MISTAKE ! ! temperature Chicago balmy 99 degree , temp room give we 85 degree . call complain 11:00 , tell we turn temp 40degree . go back 7:30pm . still humid , bed moist & amp ; room stuffy . call , send somone fix , & amp ; recommend get new room , room cool . tell we book , yet , maintenance man call , suddenly room available , go figure ? move we another room , guess , 85 degree . , tell we turn 40 , needless say , never cool & amp ; slept street . travel lot , stay one night , awful ! ! . check , re - tell entire room issue , actually end charge we night , thank god offer we another night stay , would never go back . also , room decor old stuffy . go Chicago , not stay Millenium Knickerbocker ! ! 
 Jul 31 2006 	 overprice average 	 never stay Milennium Knickerbocker attend conference month . conference hotel overbooke , Milennium Knickerbocker become expensive alternative . be worth money ? even expense account -- convenient north end Michigan Avenue ( directly across Drake ) . everything hotel seem fall simple category : overprice average . I corner room , slightly nice co - worker 's mid - hall room . two window corner room let ample light ( well view garish decorate scheme ) real & quot ; view & quot ; room . the bathroom small shower ( tub ) , okay . sink tiniest ever see , make shaving adventure . clean enough . aside tv , perk stop . high - speed ( name perhaps ) internet access $ 10 per 24 hour period mini - fridge stock exorbitantly price snack . be well pick drink Walgreen 's Michigan Ave . ice machine floor break length stay . I not enough interaction staff offer commentary , check check painless enough . give price Chicago 's downtown hotel , Milennium Knickerbocker continue charge market bear . think say something , however , one hotel room nearly other book . until undergoes much need renovation , hotel remain ... overprice average 
 Jul 30 2006 	 Small room Great Location 	 Knickerbocker July , 2006 Business Meeting . knickerbocker staff friendly , helpful . minor problem room front desk move quickly . room small compare hotel stay . bathroom small , one person time could enter bathroom . location great , walk distance shopping dining . knickerbocker need renovation . 
 Jul 18 2006 	 Good Location that s ! 	 stay hotel two teenage daughter due part business , part family fun trip July . impressed location , within walk distance great restraunt shop , inlcude Water Tower Place ( great mall ! ) . quite disappointed room cleanlinee size . bedspread filthy thin . room decor dire need upgreade . bathroom fan really smell badly mold mildew . shower actually mold corner ! tight squeese 4 people . especially bathroom . bed pillow quite uncomfortable . even elevator tiny could barely fit 6 people ! thank goodness elevator . luckily book room priceline would never pay full price . upside great location . also beware- cheap take taxi airport airport shuttle ! Millenium promote airport shuttle take cab ! 
 Jul 18 2006 	 Knickerbocker dump ! 	 sure good hotel visit recently , clear bad . knickerbocker dump ! whoever give 4 diamond shoot ! 
 Jul 11 2006 	 Bed Bugs ... Beware 	 unfortunately stay 3 night Knickerbocker Hotel ... check day 1.The bathroom filthy dirty tangle hair floor behind door night scratch feel skin crawl ... pull bed away bedhead watch little rice sized brown bug scurry white sheet ... bed bug ! might add hotel say fly insect window leave open window cleaner ( fortunately take photo contrary ) find bed bug ... look mattress protector pillow find long hair ... disgusted hygeine would never stay establishment . 
