would 	 stay Loews hotel November 2009 book non - smoking twin room . arrival give smoke double room . point error tell room type guarantee give little way apology . meet similar response issue raise check . addition poor service , hotel look tired need refurbishment . location good much well hotel area similar price . 
 Jul 18 2004 	 great service great location ordinary overprice food 	 hotel great location , right Park Avenue , near subway , great shopping area , near Central Park . on recent stay , staff wonderful , room large clean quiet , though , like another reviewer , baffle housekeeper knock door 8:45 Saturday morning & quot ; check room & quot ; .My major gripe : ordinary food extraordinary price . tell kitchen middle renovation menu restrict stay year half early food bad . since front desk staff upgrade room kitchenette time , end buy OJ nearby market , rather pay $ 7 glass room service . also great restaurant neighbourhood , be easy avoid room service . 
 Jul 17 2004 	 Disapointed Canada ! ! ! ! 	 hmm well starter , sister , friend never hometown canada ! ! think would nice go N.Y ! make reservation way advance , smoking room 3 ! ! nice view ! ! well ! ! get get room 2 single bed ! ! ash tray ! view crappy birck wall ! ! make pay cot one we sleep ! ! get well ! ! next afternoon 97 degree get stick elevator hour ! ! nice ! ! want make we upgrade room suite Fifth floor ! beautiful view ! ! ! ! ! ! ! wake 3 night row 11:30 night tell complaint smoke ! ! NUTS ! ! make matter bad ! ! leave ! ! $ 87.00 phone bill charge $ 1.00 collect call tell $ 1.25 charge local call ! ! charge fro collect ! ! pretty smart not ! ! ! say least will not stay ! ! trip general great except HOTEL ! ! money person spend hotel N.Y should not go ! ! thing hotel good , doorman great friendly ! ! decidewisely pick hotel ! ! dissapointe Canada ! ! ! ! 
 Jul 12 2004 	 one good NYC 	 love hotel would stay ! may know , really hard expect comfortably spacious room New York hotel , especially Upper East South Central Park . , find cozy , quiet , ellegant spacious room Regency reasonable rate ! ! room Luxury King 2nd fl . small kitchen , two walk - in closet , marble working desk , coffee table small sofa - type chair . bed well - decorate ellegant pillow throw . although room locate 2nd floor , window double - glass window could enjoy quiet stay away nosie street . marble bath also well - decorate , well - prepare spacious well . location also great since Central Park two small bolcs away designer boutique Madison Ave one step away ! also , two small bolcs away station yellow subway line , museum street upscale shooping . another good thing seem recently renovate . parent really enjoy stay apparently complaint hotel . rate also reasnable give quality stay . high genral rate 4or5 - diamod hotel . pay ca . $ 300 per night enjoy ! 
 Jul 5 2004 	 Regency par 	 stay New York Regency Hotel recently . room large , bathroom small crumble ceiling shower black junk corner tile meet tub . hallway dirty look carpet . location nice Park Avenue close Central Park Fifth Ave . parking $ 60 . breakfast $ 110 five us bagel , juice coffee ( coffee $ 5.50 ) . bug daughter 's juice give wrong kind bagel wife daughter . two room weekend rate $ 624.28 ( inc taxis ) . stay Loew 's Hotels Coronado , CA Montreal nicer . 
 Jun 28 2004 	 Nice hotel 	 stay 2 night suite room beautiful ! large lot amenity , 1 1/2 bath , kitchenette etc . nice quiet area , far short cab ride mid town walk distance subway . food excellent restaurant , especially egg benedict breakfast , cheap though ! 
 Jun 24 2004 	 Halfway Hilton Four Seasons 	 spend two night Regency October , 2003 discount rate $ 375 / night Premium Grand Luxury Room , 400 sq . foot , large room suite start . room outstanding price , location , course consider New York City . elegant couch , chair , bed , desk . bathroom average one would expect 4 star hotel . room show first sign wear hardly diminish experience . hotel typical New York , however , exorbanent charge extras press service , mini - bar , pay - per - view movie ( worst encounter - $ 12.98 ) . staff professional hardly coridal . exhibit New York attitude understand guest review encounter trouble unimpressed service . housekeeping also wake Saturday Sunday morning knock asleep . awake enough shout still asleep , open door bang hit chain use lock door . essentially , hotel provide exactly pay . far superior typical 3 - star business hotel New York City , Hilton , Sheraton , etc . equal quality 5 - star classic like four season St. Regis charge upwards $ 500 night discount weekend rate . 
 Jun 8 2004 	 Regency Great 
 Jun 3 2004 	 give NYC terrible reputation 
 May 30 2004 	 bad Hotel Stay 20 year Traveling 
 May 28 2004 	 Two Thumbs 
 Mar 24 2004 	 love everything New York stay 
 Jan 23 2004 	 Great Hotel like Park Avenue 
 Dec 3 2003 	 lovely hotel Park Avenue 
 Nov 3 2003 	 clean Spacious room 
 Aug 23 2003 	 Stolen item room 
 Jul 23 2003 	 Loved Regency 
 Oct 7 2009 	 un business hotel per una vacanza di piacere 
 Sep 30 2009 	 La ubicación perfecta en pleno Manhattan 
 Sep 5 2009 	 Formidável ! 
 Apr 7 2009 	 c ' è di meglio ! 
 Jan 7 2008 	 Habitaciones enorme 
