stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Nov 11 2008 	 Excellent Hotel 	 recent stay Argonaut Hotel excellent . hotel location perfect - right Fisherman 's Wharf walk distance attraction San Francisco . hotel staff professional courteous . confusion reservation due error part . desk staff resolve issue quickly we check room within minute . room clean spacious . complimentary Happy Hour every day lobby excellent opportunity meet traveler US world . hotel restaurant excellent food though service little slow . cable car stop one block hotel Pier 39 5 minute walk . would highly recommend rent bike ride across Golden Gate Bridge Sausalito . ride easy scenic . take ferry back San Francisco ride back . Argonaut 35 minute cab ride to / from airport . use Lory Shuttle get hotel - would not recommend take close hour get hotel shuttle driver less courteous . San Francisco great vacation would strongly recommend Argonaut great hotel stay . 
 Nov 11 2008 	 good hotel around 	 ' privilege stay good hotel World . Kimpton Argonaut San Francisco truly fine hotel . location Fisherman ' wharf inside national park area unsurpasse . close excellent San Francisco transport link plenty great place eat close by . upside : great room hotel layout . concierge local knowledge spot - on ! friendly staff appear genuinely want help . Reception pith helmete door staff fantastic . free wine hour night 5 6 fun theme lobby fun friend . blue Mermaid bar & amp ; restaurant informal friendly . breakfast good . dinner menu basic good value money . afternoon drink terrace area relax . downside not trust concierge book thing . ( especially airline seat ! ) find great get detail right . bar close early 10 pm evening . overall - stayed ' risk another hotel San Francisco . honestly , tt good . insider tip - want massage ' use in - room spa service ( good , pricey $ 110 50 minute ) , try Susanne Runion Beech Street , five minute walk hotel . ' good , professional masseuse ' come across $ 75 hour great value money . 
 Nov 11 2008 	 fantastic place stay SF 	 stay Nov 9 , 2008 room 35 # . positive : - Valets super friendly . handle people come busy street parking , yet take care we issue check , unload car , ect . - Location . perfect tourist SF . pier 39 , Giardelli Square , many major starting point sightsee SF less 5 min walk . ton good eat nearby also . - suprisingly quiet , consider location . - good quality rooms.- Free Wifi . negative- $ 40 p / day park . guess that s take park downtown SF , still , Ouch . overall , really great place , great price ( $ 169 p / night ) . highly recommend SF bind tourist . 
 Nov 5 2008 	 Excellence Argonaut 	 Excellent overnight SF . upgrade huge suite w / window open , nice decor , mini bar plus refrigerator , deep soak tub bubble . quiet , climate control , cute decor , cool animal - print robe , staff welcome professional . single negative . 
 Nov 2 2008 	 Argonaut Hotel San Francisco 	 go business trip San Francisco stay four night Argonaut Hotel North Beach . truly wonderful experience . décor modern chic . room beautiful , everything work … usually something ( plug shower handle ) faulty room everything include radio / ipod player . particularly like full box Kleenex ( quarter full ) , nytime deliver free room morning , turn service uplift quotation pillow ( think cute ! ) , high quality hand cream etc . complimentary glass wine 5.00 p.m. every evening foyer . hotel right near Fort Mason , national park lovely small beach . staff , particularly concierge , extremely helpful friendly , check fast . eat alone restaurant every evening feel ease . suggestion would offer self - service buffet breakfast include one - price continental breakfast rather serve . quick efficient . highly recommend hotel … love ! 
 Oct 31 2008 	 great location nice hotel 	 recently take two teenage boy visit college - attend sister San Francisco . choose Argonaut location book suite Argonaut well value ( seem ) book two room , downtown hotel . happy choice . great location cable car turnaround . easy fun cable car ride downtown , easy walk Pier 33 fun tour Alcatraz . fairly easy walk North Beach great location dine . room spacious great bathroom flat screen tv . deep bathtub jacuzzi jet . really nice decor . find kitschy , find warm invite nice change neutral , bland business hotel . great art wall . service good , although like other note concierge service little spotty . front desk , front door , bell service excellent friendly . choose non - view suite , fact nice view Alcatraz Bay , even 2nd floor . downside ... pull - out sofa bed comfortable boy , king bed comfortable . wall thin water pipe sound loud . , one good choice around downtown San Francisco . would definitely stay . 
 Oct 28 2008 	 good 2nd Time Around 	 dissatisfied hotel Market Street , drive right Argonaut Hotel stay 5 year early . book start . one good hotel ' ve ever stay . amenity , staff , service right great location . walkable Wharf , North Beach , Cable Car turnaround next Ghiradelli Square . great ambiance restore cannery building . can not go wrong . Book ! 
 Oct 28 2008 	 Kid Friendly SF 	 stay Argonaut last weekend cousin 's wedding impressed . service outstanding - toward we 2 year old . king size room , fairly small , well arrange , not feel cramp . staff friendly even bring son gold fish take care stay . 
 Oct 28 2008 	 Comfortable Friendly Hotel Excellent Location 	 first hotel trip SW USA certainly set standard . great welcome long flight . really friendly helpful staff find concierge service knowledge bit patchy . room really nicely furnish comfortable downside view ( lack back ) definitely worth upgrade bay view room . excellent location edge Fisherman 's wharf cable car terminal step away . good bar restaurant bonus free wine reception every evening . would definitely recommend 
 Oct 23 2008 	 absolutely splendid 	 overall , nice hotel ever stay . hotel extremely clean . bed comfortable , unlike hotel . mattress one would buy personal use . hotel staff courteous helpful . Connie NG main desk helpful . always smile eager question , give accurate information . location superb , close attraction within walking distance . can not say one thing negative stay . definitely would stay . 
 Oct 19 2008 	 excellent base explore SF 	 stay 2 night city break May 2008.The location fantastic right city 's pier great be explore city tourist . shortish walk catch tram take downtown . room modern tastfully decorate , ground floor not get much noise street , probably good get floor can . hotel fairly large staff front desk extremely helpful polite . bike rental place right next door , get bike ride Sausalito beyond , can not recommend enough . 
 Oct 17 2008 	 well pleasure business 	 lovely kimpton term quality finish & amp ; amenity . servicable fitness area , in - room desk wire net , cute nautical touch . right smack heart tourist waterfront . would come back spouse vacation be business person drag family would great fit . room quite spacious would good family . straight business traveler distract location , low noise level would roll vacationing hard feel curmudgeonly 7:30 meeting . 
 Oct 16 2008 	 Excellent 	 say spot ! hotel well situate , room quirky well present staff helpful . would highly recommend standard chain hotel similar price range . even get free wine lobby evening ! 
 Oct 3 2008 	 Great Hotel 	 hotel nice hotel ever stay . location perfect .... right wharf right next cable car easy get everything without use car . the staff extremely helpful help we plan road trip city ( Big Sur Yosemite ) .The give we map help we direction smile face . they also free wine hour 5 pm nice come back explore day . the room nicely decorate bed comfortable . I would highly recommend hotel anyone visit San Fran . 
 Sep 29 2008 	 well worth ! ! ! 	 wow ! part CA Roadtrip / Honeymoon adventure ! choose upgrade suite one available - definately recommend ! suite amazing ! ! ! valet attendent incredibly nice , check great , even send 2 free bottle champagne ! location excellent , restaurant downstairs great , overall incredible experience ! ! 
 Sep 21 2008 	 great location - mediocre service - Dogs elevator 	 pick hotel solely proximity athletic event compete nearby . need , price want pay thought would least enjoy . front door service warm friendly , beyond , service pretty average ( less ) . give room service try order breakfast night , delivery time breakfast past , call room service reveal run least 45 minute late staff not show ; one bother notify we . go Starbuck 's around corner instead . check , see charge room service never come , receptionist seem surprised event apologize . also surprised first time encounter large doberman ( friendly ) enter elevator . not take we long figure pet - friendly hotel . room clean comfortable - complaint . bottom line : fantastic location , nice room , high price , average service , pet . 
 Sep 20 2008 	 Great Hotel excellent location 	 decide book Argonaut stay SF stay excellent Muse NY another Kimpton Hotel . arrival upgrade room ( $ 20 per night v reasonable ) . richly reward large , spotless room third floor overlook Cannery . two queen bed extremely comfortable ensuite good shower . room quiet entertainment outside Cannery finish 8 pm . really nice little touch room L'Occitane toiletry , Starbucks coffee , Ipod dock free wifi . eat breakfast Blue Mermaid restaurant couple occasion time find food good , reasonably price service good . staff hotel general excellent ; friendly , helpful efficient . find location Fisherman 's Wharf ideal location tourist many major attraction could reach easily walk catch cable car F line streetcar . some highlight we ride cable car ( go early queue get long later ) , sea lion Pier 39 , farmer market Sat morning Ferry Building , shop around Union Square cycling Golden Gate Bridge . want go Alcatraz would recommend book online prior go . Alcatraz Cruises good boat go Pier 33 short walk hotel . several restaurant short walk Hotel well worth walk Columbus North Beach excellent italian food . 
 Sep 16 2008 	 warm welcome 	 book Argonaught first leg Honeymoon epic tour , read good review Trip Advisor . we arrive long flight , check clerk note honeymoon change room we . wait 30 min ( spend restaurant ! ) worth wait . open door huge suite ! grant back hotel , Jacuzzi bath eye level pavement , grateful . can not comment normal room , standard whole place great , staff friendly . excellent location explore , though surprised early evening place get really quiet . 
 Sep 13 2008 	 enjoy experience 	 quite pleased location , although trafiice ( car pedestrian ) pretty clogged area . we room overlook spot pick cable car , great could plan go line get tremendous ( hint : early - 8.30am seem good time ) .The room nicely appoint nautical theme comfortable clean . feel wall thin side - 2 3 night hear neighbor child middle night . the wine reception offer quite nice - sure check ! also debate whether need car , glad bother . parking argonaut expensive , walk everywhere ! even rent bike across Golden Gate Tiberon take ferry back - enjoyable . 
 Sep 13 2008 	 Excellent Place Stay ! 	 far good place ' ve stay visit San Francisco ! hotel 's staff provide superior service restuarant , Blue Mermaid , one good waiter dinner time ' ve ever encounter . room also clean comfortable bed . however , return Argonaut will spend little deluxe room window standard room not open get little stuffy . hotel also prime location -- quiet end Fisherman 's Wharf also within walk distance many great place eat drink . ' m look forward next visit Argonaut ! ! 
 Sep 10 2008 	 awsome ! ! ! ! ! ! 	 go San Francisco first time brother wedding Sept. ' 08 . hotel offer bride family good place stay . skyscraper people investigate wharf area internet . narrow Argonaut Hyatt . Hyatt book strange reason go Argonaut . guess thing happen reason see Hyatt thrill Argonaut . gorgous hotel , super clean , great location walk almost everything can not cable car right outside door . close everything quiet night . would recomend anyone go s.f . 5 star . P.S . blue Mermaid next door great food . 
 Sep 10 2008 	 excellent choice 	 excellent hotel . service first - rate staff & quot ; can - do & quot ; attitude : bellhop front desk staff . location convenient many touring activity ( although part Fisherman 's Wharf bit tacky ) . room comfortable . highly recommend . 
 Sep 10 2008 	 great place stay 	 first time San Francisco , check hotel Expedia , check review Trip advisor . Argonaut exactely majority people say . great location , staff helpfull attentive . wine taste 5 pm 6 pm great touch . will stay . 
 Sep 6 2008 	 Nice Hotel Wharf ! 	 stay Argonaut end August , family 2 kid . since use Trip Advisor help make choice , think write stay . hotel great location choose stay Wharf area . block 's Ben & amp ; Jerry 's , Starbucks , Burger , Mc Donalds , Rain Forest Cafe lot seafood place scatter around Wharf . 's also Walgreens 's open late . turn around cable car right corner . always get spot 's fill car continuously , not go morning easily 1/2 hour wait . also , not think hop anywhere like usually full pass stop . ( experience end August . ) front desk people hotel okay - guy little stuffy . door man great , friendly good dining tip . find great breakfast spot , Joanie 's Happy Days Dinner Columbus , block hotel large selection breakfast item . love great pizza go Uncle Vito 's Bush St. Powell , right cable car line . 's much look , pizza really great price reasonable . ' ve probably read review , hotel offer free wine ( red white ) sparkle apple drink 5 - 6pm . nice lobby 's good amount people hang . room nice , clean decent size bathroom . stay Deluxe 2 Queen think call Cannery view . look courtyard table mexican restaurant . quiet location night . think city view , especially low floor noisy traffic cable car , keep mind make reservation . Alcatraz night tour ( be good get ticket home on - line sell ) pretty cool walk prison headset guide . walk around city really get hilly spot , prepare good sneaker . also , bring sweatshirt cool fast . make sure Chinatown , 's lot good souvenir shopping . be also little place Ross ( alley way ) watch fortune cookie make purchase bag ( flat fortune cookie delicious . ) muirwood cool be see gigantic redwood . bike walk Golden Gate Bridge Sausalito pretty place walk around grab lunch . also , rent car , 17 mile drive Monterey offer beautiful scenery drive Big Sur . one tip - Movie Tour , think website californiamoviestours.com . small bus take around city show clip movie make area , stop photo break . tour guide great , actor name Wylie full sort interesting tidbit movie actor . even be big movie buff ( ' m ) 's fun way see city . enjoy stay Argonaut love San Francisco . great time ! ! ! 
 Sep 1 2008 	 live Argonaut LARGE 	 really enjoy stay argo.it rough start somehow find middle San Fran olympic torch demonstration ( imagine luck ) .once arrive , treat extremely well , confine argo peaceful sanctuary hustle bustle go tourist mecca ( fisherman 's wharf ) .First tip , valet car one . one bad place country find parking spot gouger always look sucker may 65 bone day parking spot .. 40 buck pay argo well worth . pro be literally stop traffic you . each day offer free Anchor Steams lobby 5 6 pm . also offer wine , since know nothing wine , need go . also provide stay ' snazzy ' spa robe . ' Snazzy ' loose term use sarcastic way . robe seriously orange / cheetah print ( fit nautical theme never truly comprehend ) think might small person , could not even get mine completely . one size fit .. guess .. room nice , especially age area . ipod doc , nice bathroom , comfy bed , good linen stuff would expect 3 bill per night . concierge , front desk bell people extremely helpfull . I really enjoy chowder rest argo , eat breakfast dinner . room service ah - ite , nothing spectacular . across street Cioppinos , great restaurant . scoma short walk extremely gratifying seafood ( Amstel Light tap ) . drink pint Buena Vista ( staggering distance ) , nice view Golden Gate sunset . Watch BushMan ( street performer ) , scare crab outtaya . 
 Sep 1 2008 	 Family Vacation 	 Fair Hotel , average - expect . room fine , service ok . dining bar average ( however three night stay , otherwise would look choice ) . cheap , cheap life ( esp . SFO ) .Concierge restaurant suggestion follow could well ( still wonder must well restaurant SFO - misunderstood ) .We would come ( decide go Fishermens Wharf instead DownTown ) . 
 Aug 28 2008 	 Great Hotel Great Staff Terrific Location 	 return last night San Francisco vacation could not wait write review hotel . example Kimpton organization , proud . hotel terrific , staff friendliest ever encounter , room sparkle clean , room service impeccable , location could well . experience noise problem relate previous guest . first experience stay Kimpton Hotel definitely select Kimpton hotel future trip . tell , hotel nautical theme really work . restaurant good price high surround restaurant . good location afford we opportunity walk virtually everywhere choose go catch streetcar next hotel . bottom line , would highly recommend hotel ! 
 Aug 27 2008 	 bit dark good location 	 Hotels expensive San Francisco , 4 night price 3 office Expedia need stay make quite difference term value money . I would go theme hotel anywhere , not make difference we . nautical theme be interested ... staff friendly helpful , contrast another recent review find Concierge / Bell staff helpful ameniable many question help advice . I fail book Alcatraz trip advance miss , nobody fault ( book arrive ! ) hotel shell old wharf building , design habitation dark ( least reception area ) . room also fairly dark , one good term position imagine could rectify pay upgrade ... room clean appropriately kitte hotel rating unpleasent discovery , tv / internet facility faulty , fridge periodically make hum / vibrate noise , much big deal though . mind would expect stuff like unless stay 5 star + ( English ) . good air con . do not eat restaurant . free wine ( ' taste ' ) 5 pm reception every day nice touch chance socialise guest . big plus hotel location . although Fishermans Wharf bit dump limited charm appeal , good place base tourist . cable car next door hotel take hill city Union Square ( shop ) , good point walk cycle Golden Gate bridge ( 1.5 hour - 2 hour walk ) along bay . also walk place interest . also buzz place ( Fishermans Wharf ) . 
 Aug 21 2008 	 huge room great view 	 spend two week travel along California coast , stay five different location . first stop , 3 night Argonaut Hotel , San Fransisco , 3 room 7 we ( include 3 teenager ) . room huge two double bed leave enough space third nessecary , bathroom however , small comparison quite adequate lovely toiletry . room great view bay either Alcatraz Golden Gate Bridge . first night one group , light sleeper , ask move noise next room , do immediatley incident occur . as hotel small staff much show , find friendly eager please . particularly enjoy wine taste evening , every one invite . the hotel locate edge Fishermans Wharf become opinion , busy , tacky , tourist area really sort thing . however , right next cable car turning point , must also provide easy access area San Francisco . ferry also base , along Sea LIons many atraction . Next Hotel bicycle shop , hire bike day ' bike bridge , ' exactly . many different route take 8 mile 25 ! one highlight holiday , although absolutely nackere next day well worth , see everything different perspective . the weather quite changable time jacket need however , bike Sausalito TIburon weather different much hotter return somewhat sunburned . we really enjoy stay Argonaut apart location Fishermans Wharf , would definatly stay . 
 Aug 19 2008 	 wonderful experience 	 stay Argonaut business meeting wonderful time . service meet excellent lunch good . because be central location able get sightseeing . cable car accross street , take downtown shopping district . also ride cable car Lombard Street walk . ferry launch Sausalito 10 - 15 minute walk away . I love nautical theme , consistent throughout hotel . service excellent concierge helpful . 
 Aug 15 2008 	 fail meet expectation 	 book hotel base rating several place good hotel famlie child . hotel certainly servicable without question good location overall underwhelme disappointing . front desk toy chest child allow choose toy day . however toy along line small rubber bouncy ball . nothing wrong per se particularly impressive . hotel room stylize nautical theme otherwise standard fare . difficult time obtain ticket see Alcatraz Island . one might expect concierge hotel able help .... Argonaut . okay , . perhaps concierge tell we usefulness go San Francisco Card , worth buy ? luck , concierge never even hear card . want help bell staff ? would well call well advance , wait hour . we eat breakfast hotel 's restaurant amuse seme run staple breakfast food daily basis . one day croissant , . next day muffin , next day Orange Juice stock , yogurt next day . feel hotel well value family choice Fisherman 's wharf area . certainly would not stay base perception hotel offer anything special family . 
 Aug 15 2008 	 Loved jacuzzi 	 come back journey California . Argonaut last hotel stay , last certainly least . 3 party : husband , 22 yrs old daughter , reserve King suite . see almost open mouthed , spacious full amenity large living room separate closet safe , table vase orchid chocolate box , large sofa bed etc . 2 minifridge 2 tv set , one room . window view SF bay Alcatraz . bathroom almost wonderful dream come true : huge jacuzzi annex window view bay ! 3rd floor , concern noise many people mention review , must say either lucky enjoy sound sleep , hear none . service good efficient too . at front desk must say bit impersonal , mean not overfriendly attitude experience hotel , ... care ? restaurant & quot ; Blue Mermaid & quot ; dinner : saturday night overcrowded . service slow eventually angry hungry , complain . apologetic , say entirely fault refuse we pay check ; obviously insist pay due , ... way . attitude require peace forgiveness , let forgive ! give another chance will come back Argonaut next stay SF . 
 Aug 10 2008 	 terrific experience Argonaut ! 	 terrific Argonaut experience . staff amenity top notch , location perfectly suited reach sightseeing destination , food Blue Mermaid Restaurant delicious . still talk unique nautical decor would like use idea new waterfront home ! 
 Aug 10 2008 	 Great Hotel Great Location Great Service 	 might favorite hotel , ever ! nicely decorate nautical theme ( okay , maybe bit over - the - top . ) clearly boutique hotel , nothing cookie cutter . room large comfortable bed , well - stock mini - bar , robe , interesting lighting , big bathroom . lobby wonderful big comfy leather chair couch , beautiful hardwood floor , blaze fireplace . the service wonderful . everyone extremely friendly helpful . go way make feel welcome , hail cab , get need . concierge also extremely helpful dinner reservation , even give we tip hang bar local restaurant exceedingly hard get reservation ( seat five minute arrive Gary Danko 's tell maitre de would willing wait cancellation ! ) yeah ! love location hotel END touristy fun Fisherman 's Wharf . easy walk everything , since end , feel like leave schloky , touristy stuff behind little less crowded . right next one cable car line ( could take area San Francisco include China Town Nob Hill , ) starbuck around corner , nice restaurant / bar next door ( well many restaurant across street within short walk , ) actually bay Fisherman 's Wharf . also bike rental shop block make easy bike across Golden Gate Bridge , short cab ride Presidio Exploratorium . I really like hotel would recommend anyone go San Francisco . would stay heartbeat ! 
 Aug 10 2008 	 Awesome hotel 	 Great Hotel .... perfect customer service doorman concierge . room immaculate nice nautical decor . wine party late afternoon fun nice chance meet traveler . love location end Fishermans Wharf , close Ghiradelli Powell Hyde cable car turn around . restaurant Blue Mermaid excellent . chowder well ever . breakfast good value well . do not miss chance stay lovely hotel Bay Area . 
 Aug 8 2008 	 Lovely Hotel 	 arrive San Francisco first step California Tour . hotel lovely would certainly opt one outside room window . Blue Mermaid Restaurant attach hotel fine wine taste evening good way meet fellow traveller . thing Fishermans Wharf lot vagrant street quite offputing walk around . hotel right end cable car line anywhere San Francisco fairly accessable . decide stay Fishermans Wharf would recommend stay hotel . 
 Aug 5 2008 	 lovely hotel 	 love hotel . slightly quirky design feature ( like wine tasting excellent choice pipe music ) mean feel like hotel . location great explore coast ( easy cycle GG bridge , example ) easy get cable car - watch queue build later day ! travel young child location suit us - want hit downtown shopping might choose somewhere else . 
 Aug 4 2008 	 Loved Argonaut 	 Loved hotel . great location , close Fisherman 's Wharf beside cable car terminal . book one room upgrade suite arrive . beautiful room , friendly staff . would definitely recommend Argonaut . 
 Jul 29 2008 	 amazing location fantastic room 	 stay night San Francisco . check seem bit hectic since strict 3 pm check - in time . everyone loiter around lobby wait room become available . think go one busy weekend San Francisco , use live Bay Area never see many people wharf life ! Hotel 's location fabulous easy walk , trolly bus anywhere need go . Valet parking actually slightly stressful . far busy leave rent SUV street long time ( concerned would parking ticket something long ) . room comfortable nicely appoint . clean amenity great . would definetely go back plan never go SF summer month , probably travel Sept & amp ; oct around many crowd . 
 Jul 26 2008 	 Excellent location waterfront 	 Wife two child ( 6 & amp ; 7 ) wonderful time Argonaut . location excellent waterfront activity quiet night . staff helpful friendly room nicely appoint . room bit narrow side , nicely do super clean . people post noisy side near park , problem . nice restaurant connect hotel , well museum . good time September enjoy warming - up cool night great fireplace . love waterfront , China Town , take double - decker tour bus San Fran Bay Bridge . would stay sure ' m particular hotel . 
 Jul 23 2008 	 Excellent Hotel 	 family four recently spend three night Argonaut , start California trip . love hotel complaint . we tire long , early morning flight arrive hotel treat well staff door front desk quickly perk . within minute arrive room goldfish , Chester , deliver delight daughter . our room second floor look Alcatraz . surprise amount noise street , quiet room hear nothing neighbour . Fisherman 's Wharf busy spot July ! definetly good idea purchase ticket Alcatraz online , sell . also , line long cable car doorman suggest go first thing morning . go 9 am Saturday encounter line . also surprise cold San Francisco make sure pack variety clothing . we thoroughly enjoy Argonaut would love return . 
 Jul 20 2008 	 Excellent Stay ! 	 family 4 return three - night visit Argonaut . excellent stay fourth floor , double - queen room Cannery view . hotel great location : across street Hyde Street trolley car turnaround , easy walk distance Alcatraz ferry ( Alcatraz tour highly recommend ) pier 39 , easy drive GG Bridge . specifically request room previous complaint thin wall / noise , problem . hotel lobby lovely , enjoy wine / beer taste afternoon . concierge helpful recommend area restaurant . negative think $ 39 valet parking fee , ( actually impose additional $ 5 tax parking fee , seem ridiculous ) , hotel 's central location make easy swallow . would definitely return Argonaut . 
 Jul 19 2008 	 Ar - go - naut Ar - go - hot ! 	 love hotel . perfect spend two night near wharf one year anniversary . room average . well appoint . clean . bathroom small compare size room . lobby great people watch . hit comp wine / beer evening -- -do not miss . location wharf prime . rent bike Blazing Saddles GG bridge Sausolito ride -- -would highly recommend . look around wharf felt definitly choose good hotel area . brand name hotel look rundown seedy . argonaut hand first class must work budget . will go back sure . 
 Jul 16 2008 	 recommend ! ! ! 	 Fantastic Themed Hotel locate famous Wharf Area . room receive overlook bay Golden Gate Bridge nothing short spectacular . excellent facility room include , Starbucks coffee , excellent shampoo / skincare product ( L'occitane ) , DVD / CD Player etc . cleanliness high standard . staff friendly courteous willing offer assistance query . the Hotel locate mere minute away Tram line make acce city center painless , course near everything like ferry Alcatraz , bike hire store , Bars Restaurants , Comedy Clubs etc etc . I see people mention noise level Hotel . indeed wall thin could hear little go next room honest noise minimal day activity San Francisco never trouble get sleep . 
 Jul 15 2008 	 Loved hotel ! 	 beautiful hotel , great location ! near Pier 39 , cable car turnaround , etc . queen / queen room , find good size . stay 4th floor , w/ view Cannery , not experience noise . hotel staff friendly , wine reception evening awesome ! wine beer ! would definitely recommend hotel anyone ! 
 Jul 15 2008 	 good would want call home 	 book hotel base review Trip Advisor not disapointe . amazing location even amazing buliding . soon step car get great welcome staff , give doorman ? look happy time . greate wonderful reception team room . want book suite non standard room , even book far advance go . not expect much , wow , standrd room lovely . plush carpet , funny dressing gown , neat tidy bathroom nice touch . not good view ( maybe book year advance ) , not matter one bit . the location perfect , lift music good world ( Clash one day , breeder next ) , good hotel staff ' ve ever meet . downside like other mention wall seem paper thin , first night could hear everything lady say family phone . though last ten minute , another night young family trying get child bed . though could much bad . 's old building assume much else way would put stay again . I ' m normally fan ultra modern minimal hotel hotel completely feel like home city . can not wait come back San Francisco can not wait stay hotel . 
 Jul 14 2008 	 fine 	 lot previous review provide description . will highlight point feel may interest respect stay : -We get shuttle directly airport hotel although discover other flight taxi cheap shuttle 2 – ) .SF windy cold . whilst check temperature arrive prepared chilly could . buy coat ( $ 20 ! ! ) . talk people do , many resident say wind temperature could experience time year – bring coat . wine taste Argonaut excellent . nice red white wine beer , importantly chance chat guest . we inside room view opposite room ( see photo ) . problem , not spend much time room . starbuck nearby Boudin baker . good breakfast . not eat hotel . we toy idea hotel Union Square glad not . cable car stop close , close , hotel handy . cable car highlight holiday take trip Union Square take past Lombard Street . get daily pass $ 11 go 3 day pass save little . hotel location also great Fisherman 's wharf great sight – trifle commercialise handy Pier 39 , Alcatraz trip ( great – although June evening tour atmospheric thought , maybe light ) .there 7 - 11 Walgreens nearby bit piece . nautical museum opposite hotel . we find 4 day SF long enough . cable car get we Union Square could walk around Chinatown ( particularly impressed , bit seedy ) could get bus Alamo Square ( square quite nice although little surprised concrete high rise adjacent paint lady ) .Left bridge last day drive Monterey . totally fog . maybe think bridge know weather clear . we eat dinner Frascatis ( not think particularly italian – 3 course meal , minus one desert $ 54 bottle wine come $ 147 exc tip ) Fior d'Italia . excellent although preferred Fior d'Italia . everyone meet San Francisco pleasant polite 
 Jul 13 2008 	 great hotelgreat location 	 recently spend 5 day one suit family 4 . suite extremely large accomadate we easily . confortable bed even & quot ; roll away & quot ; nice . family location great easy access mean transportation site . staff helpful throughout stay . also also able get much well rate publicize . certainly would stay . 
 Jul 11 2008 	 beautiful hotel great location ... 	 fiancée spend four night Argonaut Mid - June 2008 . wonderful hotel , nice clean room comfortable bed . door staff always courteous full useful info ! San Francisco great ever , one day fog , three beautiful sunny . the slight negative valet parking price $ 45 per night . , SF know charge book trip . valet staff excellent aware parking garage two block away always take 10/15min car arrive ' ve request ! be think go SF really not need car , public transport system good 's small city get b relatively easy . I would definitely recommend stay Argonaut Hotel . 
 Jul 10 2008 	 Perfect Noisy Times 	 check Argonaut 4th July . Suite $ 589 night , average price hotel 's class . LOVED suite . king bed , bathroom jacuzzi large shower , reasonably - price honor bar . suite completely SPOTLESS . stain , tear fabric , peel paint , nothing . clean could . - since check 4th July , let tell - NONSTOP NOISE NIGHT . annoying could not sleep 1:30 . noisy night , too . I never well service hotel . staff friendly know everything need know . Happy Hour every Night 4 , Lots Wines , , kid , sparkle apple juice . hotel right middle pretty much everything fisherman 's wharf . sightseeing Bus Stops , Piers right across street , awesome restaurant , many tourist attraction . can not even name . stay good , would DEFINITELY stay . 
 Jul 10 2008 	 bad service reception 	 book 3 room Argonaut stay February 2008 despite nice hotel , bitterly disappointed service . first room internal room , open window , make quite stuffy . two room open window spacious , much well . room clean nicely appoint . however , although room open window nice , little noisy noise Fisherman ' wharf filtering room . bathroom product nice ( l ' Occitane ) . porter friendly helpful , however reception staff complete opposite reception manager . upgrade third room quote specific price first day porter . however , speak reception bill next day tell promptly desk manager would pay double price – seem ludicrous quote price previous day . even send email explain situation staff ( include manager ) nothing rectify situation result , tell would never stay hotel , give dismal service . Apart porter service people ( helpful ) , staff management extremely unhelpful unfriendly . even though nice hotel , good location Fisherman ' Wharf , convenient Union Square , good shopping . basis , fact absolutely faith management hotel , would never stay Argonaut . advice , look elsewhere San Francisco , well hotel beautiful city . 
 Jul 8 2008 	 near perfect experience 	 book 4 day Argonaut recommendation friend stay great decision . hotel staff friendly , room nicely decorate clean . king room , quite small , know would case . not really feel small 2 people . linen great bathroom nicely do . complaint room wall little thin could hear people next door pretty well get -- probably woud not even notice wanted sleep want get 6:30 a.m .. location excellent . right edge real touristy part Fisherman 's Wharf accessible lot restaurant , Starbucks , etc . really close trolley close bus route , easy get anywhere . quite way BART easy way get . hotel great place stay good value money . 
 Jul 5 2008 	 nice location clean room good service noise problem 	 stay 10 day room 2 queen - size bed nice view bay GG bridge . the room nicely decorate clean , bed reasonably comfortable . room service prompt friendly . the staff clearly pay attention detail . Umbrella closet , nytime doormat morning , coffeemachine bathroom ( well , allright ) two fresh Starbucks coffeepad every day . roomservice find use coffeepad morning , silently upgrade three . 's little thing make feel home . free internet available ( ethernet cable ) work reasonably well , although connection sometimes slow unstable . I like could open window room get fresh ocean air . nice . the minus mostly noise . ventilation system would turn completely ( airconditione could ) sometimes produce considerable noise , also night . minibar produce quite audible hum . sound insulation room could hear neighbour old fun world full detail . touristy environment mean open window , get street noise ( street music , idiot thunder around motorcycle afterburner ) add bonus . if bother noise ( wear earplug night ) , Argonaut Hotel good place stay . not ventilation system sound insulation , would rate & quot ; excellent & quot ; .Tip : pleasantly surprise San Francisco Maritime National Historical Park . historical ship opposite hotel wonderful , especially three - maste cargo ship Balclutha wooden ferryboat Eureka . 
