disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 Oct 31 2007 	 chic central 	 great location be look somewhere central . lobby , bar pool chic . room decent size ( go b room ) incredibly comfortable bed . decor boutique hotel simple . complaint fact bathroom integrated room leave little privacy sharer . 6th floor background noise Midtown Manhattan loud constant . generally service great though call sak replacement battery tv remote ( jet lag mean night require ) not get response night . note leave clean next day receive immediate response . all great hotel , reasonably price central location . 
 Sep 18 2007 	 Midtown Convenience 	 look modern chic hotel great midtown location , check Hotel qt.the room small great since day want nice place change sleep . room twin bunk bed w/ small flat screen tv , egyptian cotton sheet , mini - fridge , cd / dvd player . the location great . half block Times Square within walk distance Rockfeller Center ( 4 block ) , Radio City Music Hall ( 5 block ) , Bryant Park ( 4 block ) , Empire State Building ( 11 block ) Macy 's ( 12 block ) . ok , 12 block may seem like lot easy take cab block big . the negative stay dvd player miss . informed front desk ( friendly ) say would check . call back say could not get one belong room work . return offer complimentary bottle wine champagne . accept offer , apologetic throw chocolate bottle wine . well chocolate wine ? complimentary continental breakfast tasty fresh also include cappuccino . if want convenience midtown Manhattan without lot frill check Hotel QT . 
 Sep 10 2007 	 Cool QT 	 hotel fun cool . course rate base aspire , compare Ritz Carlton somewhere like . QT light , playful , somewhat edgy boutique hotel heart Times Square amazing value money . could easily pay double get gross , stuffy monstrosity , think amazing find . room small - ish , horrible New York standard . downstair pool - area really hop night , young - ish party scene sure . not scene still love hotel . fun love people like we forty see breakfast . highly recommend . 
 Aug 24 2007 	 would great little tweaking 	 location : Perfect . step middle Times Square . Personnel : friendly , snooty affect , review state . other guest : european crowd . room : small , fun see utilize space . think something major miss , make sure search . light switch dimmer - little toggle side switch . shower great - water pressure . people mention toilet area door - pocket door tuck wall room . Kiss Face shampoo , conditioner shower gel . hairdryer . room little refrigerator could stock thing buy front desk . bed comfortable . not expect view . problem : walk room , register 85 degree . swelter . tell front desk leave . return register 70 , fine we . , middle night , something happen register 85 woke . call maintenance something do without enter room , seem suspicious . our alarm clock set previous guest go 4:00am creepy music . dining : breakfast great . clean . good coffee . bagel . Yogurt . fruit . cereal . really good croissant . host friendly . Pool Bar area /Rest hotel : look like alot fun , be young , stylish crowd ! also nice small gym . hall really dark kind creepy . furry , hairy wallpaper ! cost , value : room sleep 3 end $ 400 / night taxis . since 's new york , guess 's good deal ? 
 Aug 22 2007 	 Knock - off spot 	 area buy knock - off designer purse every corner , W style hotel well situated . although hotel lack fine point offer W chain , offer complimentary continental breakfast , reasonable parking rate ( self park ) empty fridge stock please . service miss decent concierge -- people come prepared copy Lonely Planet NYC tow . still , good concierge invaluable city like New York . bar hotel view 24/7 pool 20 something reenact high school pool party fantasy . despite well use bar service pool , actually leave area couple hour . bad news kiddy go swim tepid water next day . room well design limited space , clean pretty cute . excellent location catch subway great bar night club fill brim annoying tourist . , good choice . 
 Aug 15 2007 	 small room clean stylish modern 	 QT well locate minute away Times Square . main draw interior modern , minimalist stylish . trendy bar pool situate right beside eachother great steam room . bar pool close one evening though private party . room equip Ipod deck , flatscreen tv 's great shower room . space premium however room feel small . drawback room toilet separate bedroom slide door not lend much privacy . hotel great location stylish quite small . 
 Aug 7 2007 	 absolutely fabulous 	 great hotel stay , heart NYC , staff fabulous , room fun ! ! stay expect & quot ; laura ashley & quot ; floral . modern , functional hotel . pool great add bonus , music excellent , wireless internet access , good nothing bad ! ! 
 Aug 6 2007 	 fine atmosphere room w hardly daylight 	 choose hotel base little availability town date stay , available option QT pay 400 $ + per night . hotel generally good obviously value money . very friendly helpful personnel check - in , large room 3rd floor , one small window say one yard one yard . need spend daytime inside room = QT recommend . difficult also get good cell phone contact inside room . excellent bed , typical design hotel layout , fine . do use pool , european , give location pool bar mostly young guest , problem topless swimming all . and convenient location close Times Square . excellent italian restaurant across street . in summary , good expensive 
 Aug 1 2007 	 ultra - modern scene 	 pool lobby quite unusual feature , particularly evening pool party . DJ spinning 70 brit - pop night . bikini - clothe woman ( drunk remove top ask staff put back ) , steam room , sauna , shower . never see anything like it . room small nice , modern scandinavian design feel . modern , upscale , well - design bathroom good product luxurious towel . for location , be right middle Times Square . whether be good bad decide . personally , prefer area city . 
 Jul 29 2007 	 cute modern 	 long trip get New York City , husband look forward check room . upon arrival tell & quot ; problem & quot ; hotel day queen size bed book available night would stay room four twin sized bunk bed . not much romantic holiday ! next day upgrade king sized room great . the location hotel excellent . there questionable activity go pool night ( naked girl ) would not recommend hotel anyone age 30.breakfast also good . the hotel staff great , could use lesson customer service , overall good hotel . 
 Jul 23 2007 	 Cozy Paradise Bustling NYC 	 ' ve stay New York City several time , hotel far favorite . room little small , even New York , cozy . stay Room C , two bunk bed . bed extremely comfortable equip egyptian cotton . bed personal TV hook DVD / CD player mount underneath platform bed . however , get room find room DVD / CD player . call desk tell we indeed platform bed , not . second time ask person tell we room never dvd player , like promise . we stay fourth floor yet room , quiet peaceful . bathroom little less private door . slide door shower toilet , enclose toilet . also , course , shower curtain shower . pool , sauna , steam room quite enjoyable . pool warm- 92 degree one point- small . morning afternoon people besides we . however , go midnight swim find private party use could not swim 1:30am . suppose recieve notice room , not . hotel cooperative us inform recieve $ 50 room rate . also , continental breakfast impressive . service also impressive give we direction hold bag free day check . , positive experience . go New York City , not miss rare gem . stay Hotel QT ! 
 Jul 17 2007 	 Fabulous Hotel QT 	 first trip NYC plan 4 month . friend recommend Hotel budget , basic , modern hotel , sound perfect . member Mr Mrs Smith hotel book . arrive aprox 2 am greet huge smile warm welcome front house staff . give free room upgrade voucher free drink bar ( free drink part deal Mr Mrs Smith upgrade ) . room humongous king size bed another small double bed suspend ceiling . sink living area near closet big bathroom huge shower . never sleep comfortable bed life , make hard get morning ! view speak really really do not make difference . location hotel Times Square take time get anywhere city Taxi . would recommend hotel anyone everyone . staff really friendly , helpful professional , room great location ideal first timer . Book ! 
 Jul 14 2007 	 ` ` weird '' consider ` ` normal '' 	 stay experience ! up : - Location / Rates / Bed pillow / tv , dvd cd / free good breakfast / free wireless internet conectiondowns- Embarassing bathroom / tiny bedroom / StaffFirst something difficult find bookstand front desk . staff kind cool / superior look , like would preffer VIP party , guest invite . room small , able hide luggage bed , could walk around bed . bed really comfortable , advertised . room quiet too . the bathroom small , separate shower toilet area . problem huge glass wall area complete view comercial building . sometimes , take shower could look people take xerox copy next building . sure could see we ... embarassing . the guest young trendy . nice watch breakfast . there private party , almost every night , pool bar . arrive late night could watch party guest enjoy pool many & quot ; different & quot ; way . glad not take kid . it completely bad experience many story tell come back home . 
 Jul 13 2007 	 big mistake 	 arrive late Friday night . soon step door , odor chlorine pool hit , along blare music . lively party go pool , one seem interested help arrive guest . not see magazine kiosk / candy counter also & quot ; front desk . & quot ; shout make hear . room , platform bed comfortable , window height , space , cold air blow across bed . finally stuff extra blanket curtain . light dim hard see thing floor . remote control tv not work . & quot ; Breakfast & quot ; serve - yourself coffee , bagel , cold cereal , place sit , may wait long time . room come amenity , day carry - on liquid gel , shocking consider room rate . have hope would fun weekend turn quite unpleasant . would not stay circumstance . 
 Jul 13 2007 	 Cut . 	 QT probably one well small hotel part - time . sure room small rate , breakfast include , location overall quality make worthwhile place stay . even repaint main column lobby . unlike many hotel place show attention detail . free breakfast , US standard , excellent . 
 Jul 11 2007 	 Trendy Midtown Hotel 	 want super trendy cool QT . kiosk style reception swim pool lobby nice touch . location want Midtown great , minute walk Times Square . staff not friendly not big deal . one warning ! choose cheap room small , big enough fit double , lack storage case well furnish clean . breaksfast alright , basic enough start day ! ! 
 Jul 5 2007 	 Fun Different 	 not sure expect pleasantly surprised . front desk staff except one two people super helpful friendly . king bed super comfortable . counter space bathroom would nice biggie . pool lounge super chique . breakfast right . front desk retro 50 's style candy counter . location awesome near Time Square step hub bub centrally locate Midtown . room plenty spacious two . nothing lacking . would stay could get another good deal . lucky enough get avg / night price $ 179 five night + taxis fee . Friends New York visit we hotel plan recommend visitor city . ask upgrade King check . 
 Jun 23 2007 	 Superb 7 night 	 return wonderful 7 - night stay QT girlfriend . book F Class room , prior arrive emailed hotel explain girlfriend travel last 3 month meet New York want book meal we . recommend trendy tapas bar ( Sortie ) book , upgrade room , also arrange flower greet arrival ! ! hotel hip , breakfast great , croissant , bagel , cereal juice fruit etc u need day sight seeing . I use pool / sauna / steam room couple time n always empty . bar also good , friendly bar - staff . staff desk always helpful nothing much trouble . location great , literally 50 yard time square . as New York , be second time can not wait go back . would definately stay again . a side note , u visit NY would definately recommend go Top Rock ( Rockefeller ) oppose Empire State , be ( slightly ) cheap , much well view central park , plus u get view empire state , whole experience polish . conclusion , want hip , inexpensive , friendly midtown hotel , can not think anywhere well . 
 May 29 2007 	 recommend hotel ! 	 recently stay hotel surprise trip boyfriend ' 30th birthday - contact hotel advance tell & amp ; ask advice place go nicely surprised find arrive upgrade definitely make jet lag feel well ( & amp ; wallet already get great deal place mr & amp ; mrs smith website ! ) . hotel great , modern staff incredibly friendly & amp ; helpful . location great tourist want enjoy nightlife category fall . hotel bar great place start finish night - measure strong .... take swimming costume be feel brave ! overall would recommend hotel want modern & amp ; funky place stay , good location , not mind medium sized room & amp ; want great night ' sleep good bed ' ve ever lay . 
 May 23 2007 	 can not wait go back ! 	 hotel tue gem ! find ! ! one small room list website plenty big one would fine 2 people . underbed storage area make room feel big . bathroom well - appoint appreciated shower rather tub -- feel much roomy , always feel claustrophobic hotel tub . neutrogena shampoo / conditioner / shower gel definitely welcome . everyone , mean everyone QT extremely friendly , front - desk ( accommodate room not ready check - in -- early -- take bag , helping find way around City , etc ) clean lady smile face time . complimentary breakfast adequate consist coffee / fresh juice , bagel , croissant , fruit , yogurt , muffin , hard - boil egg . pool nice addition end long day head back theatre night . creepy man , someone previously mention . get little busy night bar area never problem always security present . female travel alone , location ideal heart theatre district , never feel unsafe walk hotel . overall , good hotel experience can not wait go back QT ! ! ! ! 
 May 15 2007 	 Hotel QT great 	 first time NYC love Hotel QT . great location , 200yds away Times Square virtually main attraction within walk distance . the hotel clean friendly room simple lovely . first night ask move high floor noise outside move we fuss level 15 16.We ashamed say never use pool ( busy ) look really nice swim bar . the free breakfast great , nice orange juice , fresh bagel , croissant , muffin fruit . hotel room always clean bed comfy . also expect NYC room not badly sized either . great place eat round corner Brooklyn Diner times square 43rd st ( think ) .All , hear lot horror story cheap hotel NYC love QT price . get room $ 190 plus taxis night would highly recommend . could not get well locate hotel nice price . Paul & amp ; laurap read review say light dark room ... , find dimmer slide next light switch ! ! ! 
 May 4 2007 	 Good value Comfy Beds Crazy Neighborhood 	 second time ' ve stay Hotel QT . room quiet , calm , clean . free breakfast free Wi - Fi make good value . room third floor , could hear thumpa - thumpa - thumpa speaker bar downstairs night . not bother , know would drive husband banana travel . big problem Times Square get out - of - control crowd ' m sure want stay anymore . come NYC primarily business , get tiring , push million people never see toy - r - Us get subway downtown . will probably back , high tourist season . 
 Apr 22 2007 	 QT Multiple Stays 	 business take NYC twice past month Hotel QT preferred vendor list . pleased stay first time around beg book second time week stay . location stellar . pub night cap right next door , Duane Reade essential right block ... importantly Times Square stone 's throw front door . staff freindly helpful , complimentary breakfast ... light ... still good value beat egg wedge crusty potato cake get & quot ; free breakfast & quot ; . pool discussion trip whole time . business associates stay hotel believe swim - up bar hotel take google search prove . good part pool area underwater speaker care music . place hit radio forget . tell music suit arc day . quiet calm early morning gradually increase energy nighttime bumpin . certainly place modest ! lobby bar area see pool ( polar bear must feel like zoo ) shower 11th floor huge bay window look office across ... half frosted ... anyone binocular time could get quite show look hotel . bed comfortable ... quite hard get morning ! however , swim , steam , free breakfast , enjoy rain shower , get dress hit city ... feel rest , relaxed , rejuvinate ... sign good hotel . love QT .... charming ... inventive ... quirky ... fun ! ! ! try something new ... love . 
 Apr 15 2007 	 Excellent stay QT 	 partner return 6 night stay hotel Qt . read reviews website slightly concerned size room activity within pool area ! however Hotel excellent . room F ( small style ) find perfect us - large , comfy double bed , LCD tv DVD player , Ipod alarm clock , huge modern bathroom rain effect walk - in shower ( Neutrogena product ) . closet space little limited plenty space platform surround bed . 11th floor back build extremely quiet . actually fit new window room stay room sound - proof ! location convenient Times Square , Fifth Avenue , Macy 's . choice 2 subway stop Times Square - one right leave . 3 good irish bar within couple door hotel course bright light times square street - Virgil ' BBQ good place head hungry - think hand towel instead napkin ! hotel lobby cool helpful friendly staff . pool area lovely ... especially hard day shopping . quiet day early evening , get busy 8 pm loud offend uncomfortable - not put review state wild party throughout night , certainly see any . the hotel breakfast serve 7 - 11am ( mid - day weekend ) enjoyable - especially croissant latte ( free coffee machine available day night ) variety people stay hotel - couple age , family , small group friend business people . overall - excellent hotel , excellent staff excellent location . 
 Apr 14 2007 	 open plan bathroom ! : ( 	 Beautifull hotel , extremely helpfull staff . however share room , feel comfortable idea & quot ; toilet business & quot ; bathroom without door , would recommend hotel . bathroom adjacent room open plan ( door wall ) . 
 Mar 12 2007 	 Sleek comfortable 	 -fabulous location . however , really want see real New York , get away Times Square visit TriBeca , Williamsburg , Soho , Greenwich East Village ! -room small , minimalist trendy . make good use convert office building . like everyone else , agree bed probably comfortable bed ever sleep . usuallyhave hard time sleep hotel asleep within minutes.-Sauna , steam room , pool bar area amazing sleek . stay one night use facility twice refreshing relaxing . ( beware creepy man be girl though ) .-The hotel website offer inflated rate $ 270 Feb cheap room shop around bit online get much well rate.-Staff helpful friendly . -The free breakfast adequate ( cereal , hard - boil egg , muffin , bagel , OJ , oatmeal etc ... ) enjoy late serve hour especially late night partying . overall young , fun hip hotel would stay . room adequate nothing special , facility great . 
 Mar 10 2007 	 Hotel QT = QualiTy 	 boyfriend go NYC valentine break February stay fab Hotel QT 5 night . would book hotel 6 month advance manage get rate $ 200 per night ' f ' room hotel 's website , compare hotel price time work v cheap location rating . ask give room high floor review would see Tripadvisor mention street noise and/or noise come bar night . the reception area walk hotel brightest coolest ever see . stock mini bar lot different snack drink ( cost course ! ) . upon check - in upgrade , nice surprise . room 13th floor ( appreciate have ask room higher ) . room generous probably equivalent ' b ' room hotel website . decor room minimalistic basic need . the king size bed comfy ( probably good ' ve sleep ! ) help we get good night sleep walk shopping day . wardrobe , consist pully curtain , rail ( hanger ) , plastic set drawer , iron ironing board attach wall . also flat screen tv , safe , fridge , ipod alarm clock , table chair window seat . room clean everyday , fresh towel always leave shower gel , shampoo conditioner always restock . breakfast really nice , good selection cereal , bagel , muffin croissant choice coffee , tea fresh juice . cutlery plate plastic think quirky touch ! bar great night nice atmosphere . drink little expensive holiday , not really mind . try apple martini ! valentine Day leave little note hotel 2 box love heart sweet , think nice touch ! staff hotel really nice help we direction shop attraction need . location brilliant tourist thing . Times Square right front door 6th Ave literally minute leave . nearest subway station 42nd Times Square probably good way get Statue Liberty , Battery Park hop Greenwich Village . we love decor layout hotel , not big scale everything need space . use go chain hotel , like standard thing wooden wardrobes metal cutlery hotel probably not . want try something different centre midtown manhattan place ! would recommend hotel young couple group friend visit NYC experience want hip , fun base go back end day / night . 
 Mar 7 2007 	 Good Unique Low - Frills Option 	 stay QT cold weekend February great choice . book cheap available rate , $ 199 / night , hotel website , check give complimentary upgrade . room , high floor , bit view light Times Square . small perfectly arrange , small table , small tv , large king size platform bed one comfortable mattress ' ve ever pleasure sleeping . bathroom minimal rain - style showerhead , overall lighting could well , extremely dry NY winter small bottle body lotion would appreciate . pool / bar area bite overwhelming check - in . 's right elevator full good - looking , cavort youth stumble long flight . next afternoon , freeze walk around city , come back sit steam room , take swim little pool ( actually like size 4 hot tub ) desert , feel like new man . people jump pool 2 am , though , idea . lobby bar cute great place arrange meet friend . half - block Times Square , location almost central , area touristy , thus 's bit tough find cheap breakfast whatever . , 's New York . subway not exactly right downstairs , Times Square entrance couple block away . good compromise downtown club , midtown art , uptown friend . 200 / night , be great , hip place fun , unique style , do not ' care people watch , jump pool hit spot . 
 Mar 7 2007 	 Hotel QT 	 Hotel QT centrally locate Manhattan hotel pretty contemporary set . room good size . queen size bed bottom bunk size twin top queen . bottom bed great friend say top one rather stiff . pillow perfect flat screen tv cool wall . room sit read table . complaint bathroom . toilet area next walk shower area slide door could either slide shower potty part . unless want hang make sure shower / potty use different time . also door divide whole bathroom living area . guess would not matter folk step shower stand area would like privacy shower thing , together couple . friend , happen shy hid closet get dress due door bathroom . fact pool close hotel guest whole 5 day could dvd party night new magazine party pool area . would enjoy dip 100 degree weather day . also would like coffee pot room instead go upstairs morning ...... convienent 
 Mar 3 2007 	 Funky Kewl 	 location great , Time Square . bed comfortable . good value money - free local call , free breakfast . except wireless connection do not work room , hassle keep go bar area get online ... shower water pressure could powerful . whole , love hotel certainly come back . 
 Feb 22 2007 	 Swim bar ! 	 stay QT base review site . somewhat apprehensive tout unique experience , upon arrival like . 's simple , room small oddly design . staff like convenience store staff typical hotel staff anything make happy , yet not major problem it . the swim bar awesome , also lead negative aspect review . night drink way much , go room come back . morning clean mess good could even left housekeeping $ 20 tip request mop something get smell room . come back later day nothing do smell yet tip go . floor not clean , let alone mop . shock dishonesty . , dinner call front desk appraise disdain promise take care . come back dinner still nothing . on side , comfortable bed ' ve probably ever sleep in . conclusion : hotel price range , would expect far well housekeeping service . aside , fun place stay right Times Square middle Manhatten beat swim bar . 
 Feb 8 2007 	 not come be use chain hotel 	 know boutique hotel , thing expect hotel . lot thing miss brace stay here . as qualifier , travel pretty frequently business , trip leisure . the good : hotel definitely cool trendy vibe bar / pool area truly excellent . also room ipod speaker . wireless internet free . the BAD:1 . Room well design : 3 foot King size bed twin size bunk bed make sleep uncomfortable . also desk place put wallet , purse , etc . except bathroom counter.2 . room way dark : one dimly light light bathroom make hard girl put makeup.3 . miss basic amenity : lotion standard room.4 . poor operation / service : wake call not come request 9:30am . get call 10:10am ask get wake call would not help important meeting . also , housekeeping not reset radio alarm nice wake - up 4 am ( wake 4 am hotel like ! ) 
 Jan 25 2007 	 great place location service price etc . 	 stay QT 5 night early December ' 06 . hotel rank 5 star de luxe . 's location perfect right Times Sq . room 15th floor ( hotel 16 floor ) . clean , silent , ideal size well distribute . shower fantastic . bed little soft poor old back , partner find perfect get good sleep . service staff good ( guy run breakfast require special mention thank take good care we every morning ) . breakfast , pretty complete good quality , include room rate ! would definitely recommend QT obsviously return travel NYC . 
 Jan 19 2007 	 great boutique central Manhattan 	 hotel perfect want trendy , clean boutique hotel frilly nonsense , great location tourist sight new york . positive : room defiantly minimalist , style like , although see may find room 's plain . size great stay 6 day - lack room dressing help maximise space . spotlessly clean . bed comfiest thing ever sleep - much ' m look buy mattress home . sheet crisp egyptian cotton add comfort . radio ipod dock great touch play music get ready hit town evening . dvd flat screen great chilling morning . location fab central - time square mintue away . transport great , subway less 5 min away , beware get cab get downtown friday saturday night tricky - actually end jump subway . breakfast simple nice care cutlery plastic ? go mouth count fresh bagel muffin rock . plus coffee great ! bar always lively atmosphere , drink spot party keep go late night without disturb stay . front desk provide good tip trendy bar / restaurant give we complimentary pass certain club . pool sauna look cool although never find time use ! negative : front desk seem issue take hold deposit UK chip pin debit credit card - partner try several card unsuccessfully . end keep lock we room day , little rude keep try pay ! fair issue find restaurant shop across ny - real fault qt - business owe 1000 $ 's ( stay 6 night ) would get bit twitchy ! shower room could done little water pressure ! gym tiny say least , hey enough equipment work sweat . location although great tourism side bit far happen night life NYC - struggle find cool bar restaurant nearby . but overall great hotel have problem recommend friend return . 
 Jan 13 2007 	 depend be look 	 depend be look . be large , standard room , hotel chain business style , plush carpet , chintz , renaissance victorian ornament ... stay somewhere else . hand want well price room , bare modern style , central NYC location , may love QT . room small decor minimalist first feel like cell . , get use though start enjoy amenity , gimmicky smart well - think opinion . nice comfy bed , flat screen tv , radio iPod station , free high - speed internet , large shower ( tub ) ... planning spend entire day room , everything be quite clean . lobby small , pool - bar area little weird opinion , free breakfast nice plus NYC croissant really good . get room less $ 250 , excellent choice likely beat basic budget NYC hotel easily . rate $ 250 , think twice , might well option , elegant space . 
 Jan 10 2007 	 oh dear 	 research hotel stay New York , find british press seem latched place give impressive review . not generally believe conspiracy theory , place get think . firstly , good bit . location excellent . 's . read previous review not know whether ' m miss something , not get . would liken experience stay stupifyingly overpriced youth hostel . view promotional material , website , magazine article , see idyllic shot swimming pool cocktail bar , effecively . hotel 's good feature , resultantly whole place smell swimming pool , whether be reception , lift , room . try pool quite like idea cocktail swimming . problem never anyone serve . talk reception , basically sweet shop someone serve , miserably . arrival , grunt bloke assume charge , get distinct feeling interrupt daydream . early , prospect early check - in seem preposterous , luggage therefore store colleague . the room fair ok , well ok . , gimic feature , time elevate bed , room poorly light , depressingly decorate grey , & quot ; open prison & quot ; feel , open night tariff $ 360 not really expect . Travel Inn experience Marriott price . lesson , think , not fall magazine review . 
 Nov 23 2006 	 Great Value 	 great value place sleep shower . modern efficient design readapt old office building along line european hostel ( although case luxury european hostel ) . breakfast nothing special , fact one offer New York budget hotel exceptional . 
 Nov 17 2006 	 amazing hotel 	 Hotel we well ! visit New York time , far good experience Hotel Qt amazing ! location not good enough ( west 45th street 6th broadway ) moment step lobby imoresse . review read prior book state hotel not proper lobby idea expect . however pleasantly surprised ... lobby really nice vibrant atmosphere immediately make feel ease ! next pleasant surprise room . read reviews room be not spacious - typical many New York Hotels though room different ... apart fact normal hotel minimalist simplistic . room hotel Qt however spectacular . room adjoining bathroom immaculate , hint dirt see ! not already impressed room simply step in2 corridor greet beautiful spa / sauna ! hotel would definitely recommend anyone want great stay New York city ! 
 Nov 4 2006 	 contemporary style budget 	 recent year , New York hotel gradually return former price level , make task find decent hotel ever hard . QT hotel provide great boutique style hotel would like contemporary style hotel accomodation budget , without frill one would associate major hotel , ' w ' . $ 275 per night single room November , talk cheap , consider hotel situate heart Manhattan Times Square area , acutally quite good value . room small , fixture new clean , plus bed bed extremely comfortable . frustrating pay say £ 250 ( $ 450 ) per night supposedly luxury hotel find cheap bed wth synthetic pillow . owner QT economise lot area provide self - service breakfast ( incude ) plastic plate cutlery . come important thing like good bed sleep , provide good comfort . also like fact get free broadband wireless include . , good value area New York . 
 Oct 30 2006 	 old gimmick 	 60ish go QT recommendation Diversion , magazine physician . say disappointed would understatement . queen size bed platform , wall . order get bed crawl end walk faux ostrich platform jump onto floor . could think towel bar hook . could hang towel room door hinge toilet , ridiculous . could not make one night . nice job breakfast , however . 
 oct 22 2006 	 Great Hotel Great Service 	 nervous booking hotel read many negative review tripadvisor , take gamble glad . 's great hotel . hip trendy . location excellent . bed comfortable . room clean love compact , sleek modern look . bathroom clean functional good quality bathroom fixture . seem alot review point not towel bar hook , honestly be big deal ! 's plenty room place towel . even i - home system want plug i - pod jam tune . book small sized room F expect small . see , though , actually happy space ( approx 200 sq . ft . ) , plenty room one person . top surprised find hotel friendly staff , great service definitely concerned run problem stay . , price pay ( $ 265 / night ) : be real good & quot ; trendy & quot ; deal . happy stay hope . 
 Oct 17 2006 	 good NYC location price 	 second , 4 - day stay @ QT ! arrive early , able check bag , scope city , return afternoon upgrade room ... still small , large bathroom make seem bigger.the bed extremely comfy , even though flat screen tv seem close ( b / c ! ) awake 6 bake aroma fresh muffin serve breakfast .. yummy .. ! Clifton , breakfast guy , could not nicer ... coffee starbuck equal ! not use pool year ( not time ! ) , , love ! location PERFECT we , since see 4 broadway show , able return room change & quot ; clubbing & quot ; w/ little effort . subway less 5 minute walk . I can not wait return QT ' 07 ! ! ! 
 Oct 11 2006 	 great choice 	 stay 2 night hotel . room extremely small , surprise read review site . need hotel room New York , comfortable bed clean room wonderful shower . stay long size room may problem , friend book category room big closet space . may worth ask room rear hotel front room noisy night - New York ! ! Breakfast chill experience chill music play .a self service area juice , bagel , croissant , muffin boil egg . also cereal , fruit yoghurt . need . not get use pool area , look like great fun clean . I would stay hotel get good rate , pay $ 200 travel intelligence , great price thought . Hope helpful , go - enjoy stay . 
 Sep 25 2006 	 Best Deal Budget Swank NYC 	 New Yorker seven year ( 30 - something female ; musican , non - drinker ) . ' m constantly ask hotel recommendation city - something clean , affordable , ideally , stylish . QT three . sound like ad 's totally true . NOWHERE get experience like 200 buck NYC . room small like NYC hotel . immaculately clean , modern . excellent bathroom unique glass - pan shower wall ( tub ) stone floor . hotel lobby set like theatre concession stand , adjacent , 's small shallow pool hang ; one wade window bar order drink . use no - one else . relax conjunction steam room . flat - panel tv . good magazine . location near Times Square many people actually no - man - land , be quick cab downtown restaurant uptown museum . 's ' sunny ' place , 's velvety dark swanky clean sort vibe . modern . go . trust . 
 Sep 8 2006 	 highly recommend ! 	 husband spend Labor Day weekend NYC . find Hotel QT tripadvisor also various recent publication . Hotel QT modern , fresh , free breakfast AWESOME service great ! can not beat location . orig book e room $ 220 / night , get ugrade b room . although room still small , furnishing maximize space . platform around bed create seating space , deep window ledge allow storage space . love two huge window room look toward times square ( corner room ) . really impressed ihome unit , could play iPod room . shower amazingly large , like separate shower / sink / toilet area . agree previous post - place hang wet towel would ' ve nice , make have . my appreciation Hotel QT grow even move Comfort Inn Midtown last night ( use free night ' stay Comfort Inn ) . Comfort Inn noticeably old . room size Hotel QT 's e room , feel small b / c traditional furniture . bathroom TINY compare Hotel QT . perhaps , though , not fair comparison since Hotel QT 's b room considerably expensive Comfort Inn's . for next trip NYC , definitely look stay Hotel QT . afford ( ie , get hold low rate room ) , go ! otherwise , Comfort Inn Midtown not * * bad second choice . 
 Sep 7 2006 	 put Sweden map good hotel New York . 	 decide visit New York see article Hotel QT swedish magazine . sound like good choise . make reservation hotel website . work well . print reservation take we cause trouble . alsow calculation tax , know much final bill would end . surprice could destroy trip . come hotel friday afternoon check easy , friendly . stay six night . hear room small . travel europe lot us problem . stay small room . New York , much time go to spend room ? think we another reason stay room . our room nice , hade choosen alternitve E. could ever ask . small window direction roof another building . Breakfast well expect . serve bagel , yoghurt , jam , fruit , egg , juice , milk , coffee tea . our cleaning lady friendly . see we way morning ask could clean always wish we nice day . the bar downstairs crow sometimes loud eight floor not hear thing . downstair also ATM machine two computor internet access . the location well . step Times Square . centre time . come airport Newark . end station Port Authority airport bus . walk five block hotel . 's problem even way home walk bus lot stuff buy . summary . highly recomend hotel anyone way New York . clean freash . 
