absolutely 	 everything hotel excellent , staff could not enough overbearing way , arrive leave look brilliantly , room gorgeous , breakfast lovely , set beautiful , can not say enough hotel staff , would love stay .... 
 want leave ! 	 Montague wonderful , really list enough compliment express happiness facility service receive staff member . location extremely convenient - right next British Museum , Russell Square Tube stop block away , walk distance Covenant Garden , West end . hope return ! 
 Warm 	 use Hotel many time theatre trip , shopping sharing weekend friend Chicago . never fail deliver ambience , staff attendance round friendly atmosphere . the room beautifully appoint feel luxurious . I personally soft spot Jorge one Consierge 's funny , efficient , kind , hardworking . gem Hotel , Red Carnation Group proud 
 Sep 11 2008 	 great gem hotel 	 Montague small boutique hotel street adjacent British Museum . lot small delicious restaurant within block walk 25 minute walk Buckingham Palace area . room small comfortable nice bathroom . customer service outstanding check concierge . anniversary first night leave lovely selection chocolate us sample . price competitive boutique hotel would definately stay repeat visit London . overall good value . contact hotel directly receive well price could find online . 
 Sep 10 2008 	 montague garden 	 celebrate 25th wedding anniversary weekend Montague garden . amazing hotel , nothing much trouble , staff super . bottle champagne plus celebration plate fruit chocolate , beautifully do send room , lovely touch ! hotel central easily walkable oxford street / covent garden etc . hotel wonderful relax atmosphere tasteful decor . can not wait go back ! 
 Aug 5 2008 	 Lovely Montague 	 stay Montague 5 wonderful night happy decision/ luck . really nice little hotel , quiet cozy around corner British Museum . 2 nicely decorate Bloomsbury room face rear garden . booking , call hotel ask question resulted breakfast include less line quote . room good sized ( London ) clean ; downside one clearly use smoking room still faint whiff smoke . perfect . service top ; Alan concierge spend lot time give we tip restaurant , museum sight . Jorge work hard send package home we . breakfast great abundant . dining room front desk staff also accommodate . the location ideal ; quiet close museum , subway , great restaurant ( try Tas ( Turkish ) Tottenham Court Road ) . not miss Treasures British Library ( 20 minute walk ) . would stay sure . 
 Aug 2 2008 	 fanastic experience 	 pleasure stay Montague Gardens July year treat daughter birthday . hotel staff excel surprise gift ( 3 ) daughter make welcome . room clean spacious lovely view . staff friendly attentive whole experience fantastic . location perfect amazed quiet . shall return soon possible . 
 Aug 2 2008 	 really good stay 	 two night Montague really enjoy hotel . staff great , attentive , polite helpful . room excellent - quiet room away street noise request exactly get . breakfast fine breakfast staff efficient . give central London summer holiday peak price pay good . hesitation recommend Montague - credit 's staff management . 
 Aug 1 2008 	 Gorgeous ! want stay long 	 everything good everyone say Montague true . also , pushover . really one nice hotel stay . gorgeous little ground floor room beautiful leafy outlook onto private garden back hotel . feel like stay rich old aunt 's lovely london pie terre . the englishness simply fabulous , cosy , relax , enchanting . I leave early morning concerned make sure make Gatwick , bring tea room breakfast not yet , organise car wakeup I . the location simply stunning food restaurant wonderful . oh , organise early check , shout espresso wait ( short time ) .I definitely go back Montague Gardens . 
 Jul 28 2008 	 Fabulous 	 travel many time London stay numerous hotel never feel need write review must tell Montague Gardens . open taxi door final goodbye Montague Gardens out - strip . service superb door staff , receptionist , bar staff , waiter conceirge . nothing much trouble . room small well equip cleanliness superb . whenever go London stay . 
 Jul 21 2008 	 treat like royalty 	 spoil ! trip , minute arrive hungry travel day , whisk we dinner lovely patio make sure every need meet . food delish ! Gazpacho froze avocado add fun ice tea ( tough time get Iced Tea England place ! ) fact , think last time Montague ask menu ! 's listen guest 's request ? individual little salt perfect touch . can not say enuf concierge service time stay . book theater ticket we & quot ; Wicked & quot ; last minute prime seat ! time ask & quot ; Billy Elliot & quot ; day performance get good seat house ! theater need eat quickly rush order everyone get we time- team effort ! cute ! Covent Garden short walk- make happy . one day want find & quot ; Liberty & quot ; get back swear everyone excite find something notice coveted Liberty bag ! little room snag politely upgrade we large room great view . call taxis we request car greet we airport bring we Hotel , deliver we airport day leave . everyone polite , prompt personable . joy . this third stay make Hotel time visit London . nice quiet location away hub - bub . 
 Jul 17 2008 	 Wish stay long 	 choose hotel opportunity get know Bloomsbury , please hotel location . standard room upgrade arrival , course nice surprise . hesitation hotel , however , would even upgrade room , include bathroom , quite tiny decor bit sombre side . say , comfortable hotel exactly quintessentially english look web site . staff extremely friendly helpful . especially appreciate trouble take concierge try assure check Ryanair flight despite problem web site access . atmosphere warm welcoming , make feel could stay . much worth visit . 
 Jul 15 2008 	 Fantastic Stay 	 stay hotel one night Partner 's birthday . arrival greet extremely friendly helpful staff . we book King Size deluxe room upgrade suite Fantastic ! ! part partner 's birthday treat book afternoon tea Ritz ( dissapointe ! ) . upon return suite Montague garden find room ' turn ' leave ' birthday surprise ' fruit goody partner . excellent evening meal hotel restaurant . overall Hotel brilliant . service staff fantastic . small thoughtful touch make difference . highly recommend ! 
 Jul 10 2008 	 excellent 	 fantastic hotel . one night enough . staff polite professional , whole hotel clean well present . room huge do not feel small seem think everything . love hotel location bob see London . 's easy walk distance euston station west end , covent garden oxford street etc.etc . try decide accomodation London look find it.p.s . easily pleased . 
 Jun 22 2008 	 good hotel ever 	 write ' ve return nice hotel stay ' ve ever have . I ' ve stay five star Manchester e.t.c . lack certain something Montague ..... staff fantastically nice helpful ... stay Guv'nor suite ( good room hotel ) simply breathtake luxurious ..... everything faultless wonderful two night stay .... beyond .... 
 Jun 22 2008 	 tiny room nicely appoint spotless 	 look Kajin KB56 room ( several exactly alike ) - room 312 facing garden . room tiny even european standard ( stay another RCH property rubens well dozen London hotel ) , nicely appoint detail clean beautifully daily . bed comfortable . put size perspective , request yoga mat exercise , nowhere mat could place . standard double room . I request several personalize item ahead time waiting room arrive . every request make handle professionally kindly speed . surly soul bunch . choose hotel ' ve enjoy property Rubens location need ( colleague stay Kingsway Hall Hotel nearby find noisy well - appoint ) . montague residential area across british museum , well located walk take tube ( Holburn , regularly ) . common room back area nice , comfortable . order room service one night food delicious . english breakfast restaurant couple morning nice . also order express breakfast couple morning , room service , appreciate low cost ( note : available order hang card night ) .I stay seven night thoroughly enjoy stay standard extra touch ( bathrobe etc ) add extra would highly recommend hotel thing location . stay length , however , would try work Bloomsbury room . 
 Jun 17 2008 	 Excellent Customer Service 	 Staff Montague excellent , always helpful go way ensure enjoy stay everything run smoothly . stay business pleasure would recommend . room always clean turn service etc excellent . service food restaurant excellent . if anything could improve upon would bar price ( like hotel ) . 
 Jun 16 2008 	 delightful hotel 	 lovely personal hotel . excellent service . restaurant food good . perfect hotel special occasion . 
 Jun 10 2008 	 Happy Stay 	 girlfriend stay Friday Saturday night end May 2008 . actually change hotel , original one mind recent bad TA review , Montague ' , positive . we glad stay . one hotel , often pass , frontage grand , set old victorian town house . moment book stay , reservation helpful friendly . say , wonder error selling tactic , give standard king room 2 night , later look web site find package two night exactly cost . package give we Deluxe King Room , choice add - ons , afternoon tea , English Breakfast . call , booking change without problem . we arrive little early room ready , tell would room overlook garden . wandered soon find Covent Garden , favourite place amble around , reasonable walk distance . on return show room , front hotel . nicely appoint decorate , expect garden room . mention reception , complaint , immediately sort another newly refurbish room back hotel . the hotel quite , could look adjoining lawn see wonderful sculpture situate . private area , part hotel . we find hotel good base area want visit , another occasion could make full use British Museum ' adjacent position . afternoon tea , okay , well present serve , however would expensive treat outside package . breakfast good day . the complaint would make meal Saturday evening . plan going eat , two long day take toll , decide eat . request seat outside terrace , reserve restaurant want eat Terrace menu , snack thing . table find we , although restaurant menu offer we sit . soft drink , burger chip , salad couple sweet , coffee . cost high , guess reflection London hotel price . all delightful small hotel , staff helpful friendly general standard high . would recommend venue short break would stay . 
 Jun 3 2008 	 excellent 	 partner , enjoy 3 night Montague Hotel 24th may 2008 . think hotel excellent ! doorman barman staff well train extremely polite welcoming , member staff say hello pass they . we stay Bloomsbury Suite , room well plan , 3 level lot light pleasant furnishing . room clean morning often clean evening fresh towel ! full english breakfast morning please continue 10.30am often sat go 11 without feel rush waiter . fantastic evening meal ' Blue Door Bistro ' meal great staff ' well . after evening hotel bar comfortable place sit enjoy night cap ! would say experience Montague EXCELLENT would happily recommend stay , certainly again . William Laing Canterbury , Kent . UK 
 May 30 2008 	 perfect hotel perfect break ! 	 wife get back two night stay montague garden , anniversary want special , ! free upgrade , complimnetary canape 's fault superb hotel . we stay Lowry Radisson Edwardian Manchester 5 * hotel world , honestly say good stay ever away home , staff attentive , know repeat , nothing much trouble , really ! restaurant top rate , location could fault , 5 min taxi Euston . 5 min walk tube . this truly hotel would recommend anyone.thank enjoyable stay , look forward next . 
 may 27 2008 	 Unparalleled Hospitality 	 first trip London together good fortune stay Montague Gardens . it perfectly locate quiet street excellent neighborhood near convenient tube station . hotel beautifully appoint well maintain . cleanliness impeccable breakfast complete much taste . set hotel apart , however , hospitality unparalleled warmth attentiveness . in addition note request handle promptly competently . we completely satisfied gem hotel bespeak exceptional management happily return next visit Londontown . 
 May 21 2008 	 relax enjoyable stay 	 stay many time Montague every time wonderful experience . concierge reception staff give we warm welcome always . stay one Bloomsbury room lovely decorate . evening dinner Terrace bar , staff , expecially Theresa , helpful serve we big smile . previous visit help daughter move even though stressful day , hotel great place relax unwind . definitely stay Montague next visit London . Jongeneel Family 
 May 20 2008 	 Plush Polished Personable 	 stay Montague 15th April business meeting theatre trip , Black & amp ; White King room dine restaurant . staff courteous respectful , nothing seem like much trouble . Room newly decorate , well design bathroom overall spacious . dinner enjoyable experience , attentive staff ( overly ) food nicely season . definitely recommend hotel anyone business pleasure 
 May 19 2008 	 gem want keep . 	 party 4 lady , one celebrate special birthday . arrival apparent staff cut usual . check go smoothly , find upgrade Bloomsbury room , give tour hotel George luggage take room . deposit luggage George ask anyhthng need , quick perusal room mean could immediately see mirror close enough electric socket use hairdrier ! ! ! major problem we . George promise sort . good word . return breakfast follow morning hey presto mirror situ ! ! think however particular room ( 227 ) design man ! ! look absolutely wonderful , particularly practical , wardrobe top stair floor space unpack case , mean run dwon stair every garment , , tea tray nowhere near socket , miiror dress table . could redesign quite simply rearrange furniture , would make far female friendly . mamagement read hope take note . however none detract overall ambience hotel , staff , jewel crown make sure this . we Sunday lunch terrace highlight stay . food wonderful , staff attentive every need , even ensure air chill little heater turn . departure however encounter blip , theatre ticket bill incorrectly tune £ 130 ! mistake rectify figure agree upon part way check process concierge say £ 3.95 due , duly add bill think little zealous especially taxi wait ( George go round round block ensure luggage safe ! ) whilst initial mistake sort , get cab £ 9 meter ! ! however , thing happen still wonderful stay . to conclude would reccommend Montague friend little jewel . put context , well travel stay Sharrow Bay ( would return ) Lake district , Witchery Edinburgh amd many exclusive hotel worldwide find staff ( especially George , really go way make sure happy ) good , well encounter . 
 May 12 2008 	 lovely oasis calm splendour 	 conveniently locate right near British Museum , lovely oasis calm coolness , comfortable friendly enough contemplate relax lunch hustle bustle hot day outside City . room excellently detailed , make feel bit like probably iron crumple ( though clean ) t - shirt wear time . great hotel , excellent staff , highly recommend 
 May 6 2008 	 relax oasis heart London 	 spend May bank holiday Montague start finsih stay pleasant relaxing . all staff Montague lovely . freindly , courteous attentive . busy weekend hotel yet always member staff help need it . the room beautifully decorate , spotless quite ( despite room locate road well sound proof ! ) .The service restaurant excellent food high quality delicious . overall , expeince excellent definitely go back Montague . 
 may 6 2008 	 peaceful 	 excellent base see central London - next British Museum , short walk Covent Garden easy tube ride Bond Street . come back cool calm hotel day nice relaxing experience . staff attentive friendly . 
 May 5 2008 	 one Night enough 	 friend arrange we go photoshoot . suggest go night see show . I lot research thank Tripadvisor , decide Montague close enough theatre look deal . book via theatre hotel online booking service . successful easy book . when arrive , unfortunately , road cordonne due forensic police duty either end , bit trek get hotel entrance , exterior beautifully keep , staff friendly efficient lobby stunning . our bag whisk away offer tour downstair . decide pot tea sandwich room make ready , friend 's room ready . sandwich , take little time come , assume make order , utterly delicious . when finish eat , get room key nice young man accompany we room bag . room compact , fine one night stay , room matching fabric bedspread wall , without feel completely overcrowded manage fit dressingtable / desk / drawer unit three door wardrobe unit . our bathroom , nice shelf top false wall conceal plumb wc cistern , mean plenty space spread cosmetic . compact bath shower cascade brass plaque set ceiling . water temperature stay consistent come good pressure . when unpacked , go British Museum , brilliant , although perspective atrium mess brain bit ! return book table pre - theatre menu . we go get ready meal night theatre . hotel bistro decorate colonial style lot dark wood , oppressive wall woodwork shade cream . friend opt vegetarian starter , roasted vegetable , main , mushroom chickpea linguine - pronounce excellent , artichoke soup , delicious creamy yet light , sea bream parsnip puree , perfectly cooked . we get direction staff enable we walk theatre , however , let eccentric street signage , lack end Drury Lane . help brave young man ride trishaw get we theatre nearly time . go see & quot ; Gone Wind & quot ; , say think critic extremely unkind show brilliant . we walk back hotel , really close , experience stomach problem staff helpful arrange delivery medicine night chemist , expensive pack particular medicine ever buy , concierge help , stop next day check make sure ok , nice ? overall impression hotel run high standard , staff without exception , delight really would LOVE go back birthday next February . 
 May 5 2008 	 peace 	 four we stay nice weekend away place stay situated quiet street little gem sit welcome feel inside lovely hotel get feel something special greet friendly staff check offer tour hotel arrival happen mention wedding anniversary wife sister birthday sarah receptionist congratulate milestone leave later day receive plate strawberrys chocolate nicely decorate touch room decorate nicely present bathroom maybe little small side also well presentedthe food hotel good staff friendly faciletie good lot nice quiet little area relax hard day sightseeing hotel nice quiet area walk distance sight also good link tube take anyware wish new hotel defirnetlly return 
 Apr 27 2008 	 wonderfully warm friendly 	 recently visit hotel son theatre trip . wonderful hotel warm friendly staff . every luxury cater efficiently nothing seem effort . well worth visit - know stay next time visit London ! 
 Apr 23 2008 	 Theatre Visit 	 book hotel one night stopover theatre visit . I use hotel website find easy use , however click wrong tab end book double breakfast require . the evening hotel reception rang tell error offer change , how s service . the hotel unique different theme room , bed huge , comfortable . afternoon tea ( overlook garden ) first ot seem cheap , arrive could fault enough fill one hour . the staff without exeption well ever encounter nothing much trouble . I would stay probably , handy theatre land . 
 Apr 22 2008 	 real disappointment 	 stay 1 night would stay . numerous problem : room ready keep wait hour despite fact arrive well check time , tell gym basement go gym kit refurbish . room service slow poor customer service skill staff extremely disappointing . room small dark . location nice , many well hotel price . 
 Apr 15 2008 	 great location 	 Montague great location , close several tube station within walk distance many great neighborhood . book standard room , arrival find smell musty / smoky ( also tiny , expect London ) . front desk switch large , upgrade room extra charge . room redecorate , smell like fresh paint - great either , room available . simply leave window open day room fine . tea tray room perfect early morning late evening refreshment , newspaper hotel lounge offer free reading day / night . room clean . bathroom spotless . several wonderful room hotel sit drinking / eating . I would definitely stay . location quiet . walk various tube station short pleasant . British Museum street . really , great stay . 
 Apr 12 2008 	 not bring cat ! 	 warm welcome arrival efficient check - miniscule quirky lift well describe compact bedroom . ' big dressing room . good job not bring cat - would got much exercise ! porter offer get luggage rack bag - actually enough floor space put , husband arrive . £ 195 GBP plus VAT would like least able see carpet ! room nicely appoint , bathroom , luxurious sister hotel Chesterfield Mayfair usually stay . breakfast good . dinner Blue Door disappoint much overpriced . £ 25 GBP bit steep something call hand chop sirloin steak - fact posh burger . £ 300 GBP four people two course . bar ok - though intriguingly make double bed patio . problem loud piano singer make conversation difficult good . can not fault staff - exception chef . excellent really helpful . concierge find usb lead forget mine always ready local advice taxi . 
 Apr 9 2008 	 perfect hotel 	 arrival door , experience impeccable . staff courteous extremely efficient . Decor , elegant . food splendid . room , bit small , superbly appoint excellently serve . location quiet Montague Street add stay restful quality . , first choice London year . 
 Apr 3 2008 	 Concierge dept hotel set - up around 	 would give 5 star except problem evening meal offend item arrive late ( side dish meal eat ) refuse . item remove bill offer free drink sweet anything sorry . massive deal might say , market outstanding service particular event be not handle anywhere near good enough . on hand Concierge service hotel well ' ve ever british hotel . moment arrive front door greet one team take bag , 2nd member hold door open captain take we tour hotel facility hand we back another member team take we room . absolutely outstanding . upgrade room face garden . 1st floor ( 118 ? ) right next lift . noise nonexistent sound London mute . decor modern , mostly black white big comfortable bed . bathroom couple neat extra . blue nightlight another light middle shower . give sort shadow shower ! great hotel small enough feel intimate . staff excellent already say concierge service cut anything . 
 Mar 29 2008 	 request much 	 wife spend single night Montague Gardens Hotel however ; service receive absolutely exceptional . soon book room request couple ' extras ' surprise wife trouble whatsoever . concierge extremely friendly , polite helpful show we around ground floor hotel take we pleasant room . nothing seem much trouble staff include call reception 20 minute enter room make sure everything satisfactionWe dine dinner breakfast unable report quality food . stay 10 separate hotel throughout UK year must say service receive well ever . certainly look stay Montague , probably surprise wife . 
 Mar 4 2008 	 enjoyable hotel London 	 receive letter General Manager Montague Gardens Hotel response comment make hotel 's customer satisfaction form . attention customer satisfaction confirm excellent hotel Montague . stay hotel time visit enjoyable . initially attract we Montague convenience central many tourist attraction , British Museum obvious across road . even though hotel within walk distance many interesting place visit situate peaceful area garden back offer quiet . always receive warm welcome staff helpful , courteous friendly . food excellent . especially look forward breakfast choose wide range delicious thing beautifully lay we . waiter waitress charming , importantly , efficient . impressed hotel 's housekeeping . stay many London hotel discover Montague opinion none come high standard cleanliness attention detail . thoroughly recommend Montague anyone visit London sure lovely time . 
 Feb 29 2008 	 ` ` country house '' hotel central london 	 gem hotel . stay many hotel world often London Montague one good .It exceed expectation - room beautifully furnished- food wine choice perfect staff polite helpful . unable get ticket see Terracotta Army exhibition British Museum either line post concierge kindly get us ticket choose time choose date . the location perfect adjacent museum short walk Covent Garden Oxford Street .We certainly use Montague future trip London 
 Feb 26 2008 	 excellent staff 	 stay six seven time business always find staff friendly efficient - even remember name ! restaurant bar service excellent . small problem quickly rectify . 
 Feb 25 2008 	 Disappointing 	 stay many hotel London one disappointing . time book two room encourage upgrade Bloomsbury room , look website seem special . get room think book although assure still Bloomsburys room . one room ready checkin time wait one half hour bar . room small could pass room , bathroom could fit one person time . fake fur bedspread look stain although suppose refurbish room . staff polite friendly hotel nice ambiance shame mislead booking . complain checkout credit bar bill compensation feel charge standard room Bloomsburys . 
 Feb 24 2008 	 little gem 	 love stay lovely hotel . small enough entire staff know name immediately , remember preference . location fabulous , one - minute walk British Museum 15 minute theater , museum Trafalgar Square 20 - minute walk . room small beautifully decorate furnished ; wonderful shower ! nice restaurant site small friendly bar . afternoon tea one day conservatory look garden . can not say enough good thing hotel ! warn weak dollar make everything UK seem outrageous price , ready that . we save quite bit book line . 
 Feb 16 2008 	 Perfect Valentine 's 	 see highly Montague rate TripAdvisor , elect stay evening theatre dinner London Valentine 's year , one hotel available Theatre Breaks company still stall ticket available Phantom Opera begin plan evening . it perfect choice ! service : beginning , call hotel confirm book arrange flower champagne waiting room arrival , staff radiate right balance discrete service professionalism . realise late stage neglect make dinner reservation , able get us table restaurant without problem , well yet , find table another restuarant close theatre , call cancel reservation hotel 's restaurant , gracious cancellation . arrival , reception staff friendly helpful , concierge perfection arrange travel every need , ' m begin gush , will stop . say , want feel pamper without feel pressured , Montague you . ambience : Montague feel ... plush , think good word . colours rich vibrant , glitz lightly artfully apply , overwhelming sense one yesteryear , british heyday experience . temptation simply away hour lounge downstairs , sip coffee cocktail watch people come go strong , time allow . room - one Bloomsbury room , free upgrade king room reserve ! - exactly taste , be disputing quite decadently furbish unique experience . although space limit , room nonetheless well arrange make use space , every little touch lent embellish overall theme 50 's Hollywood filmstar 's boudoir . LITTLE TOUCHES : Valentine 's basket room arrival . wonderfully soft , luxurious robe . champagne comp have . fresh flower bathroom . gorgeous waterfall - style shower . excellent breakfast , consist small well - choose selection . constant smile staff . feel complete calm within door hotel . in summary , similar budget , fail see anyone yen indulge could well London , would see need stay anywhere else know good Montague . thing might ask different room next time , Bloomsbury room unique , might fun see . 
 Feb 12 2008 	 Excellent concierge 	 agree review - excellent location , next British Musuem within walk distance Convent Garden & amp ; West end theatre ( perfectly safe 2 lady walk back theatre 2300 hour ) . concierge excellent - knowledgeable , helpful , trustworthy ( safekeep laptop rush theatre return already room ) . reception staff less friendly professional - check smoking room without confirm us - backtrack porter reception look least apolgetic mutter check 2 pm ( 12.45 pm ) . book deluxe king website find bed definitely double - complain late night rush theatre check reception unable help fully book . upgrade Bloomsbury room next day . Bloomsbury room lovely , king bed well room facility eg rain shower , water mixer wash basin , good reading light , still small . leave airport late , late departure option come weekend package great able relax enjoy good bath long flight home . 
 Feb 6 2008 	 want go - soon 	 go First Emperor exhibition . bit unsure ' m unused travel alone . however , warmly receive , give brief tour facility show room . good far well anticipate single room . view garden . staff exceed expectation extremely helpful pleasant . could not fault . find location incredibly peaceful whilst walk/ tube ride place interest . lover British Museum could not convenient . really want go take husband next time oasis midst bustle London . 
 Feb 2 2008 	 elegant Little Gem 	 family stay 8 day , Classic King room ( 155 pound / night ) Classic Single room ( 115 pound / night ) , plus 17.5 % tax , breakfast include . yes , room small , reviewer say , spacious enough pleasant comfortable stay , ergonomically arrange , beautifully elegantly furnish , bathroom certainly large enough thoroughly modern need , even ' big ' person . personnel hotel helpful kind , overbearing . grub tip . area main floor- lobby , sit room , dining room , glass - enclose garden room , bar- elegant European / english decor atmosphere , make feel like special guest . breakfast serve dining room , atmosphere make feel like Archbishop arrive . several breakfast option ; 6.95 ' Express ' pot coffee , juice , pastry toast spread . 's plenty start day ; order via room service well . regular taxi Heathrow 65 pound , hold 4 people lot luggage . Location , mention other , next British Museum , safe , easy walk tube station Russell Square Holborn . be also easy walk Tottenham Court Road bus stop , seem like every bus city stop . cheap good food , try Munchkins across museum , also Tas corner past museum . montague pleasure , ' m glad stay . London inexpensive city , exchange rate we Americans price generally high NYC ; look vacation bit less costly , consider stay elsewhere UK , make visit London . also visit Liverpool , wonderful . 
 Jan 31 2008 	 Brilliant Hotel 	 husband visit London two night well earn break . look romantic hotel central location choose Montague base great review TripAdvisor website . certainly disappoint . from entered hotel leave treat value customer every member staff encounter pleasant helpful friendly , reception staff , concierge , restaurant staff housekeeping . we allocate Bloomsbury room , although small ( would expect central London ) meet requirement . gorgeous four poster bed , lovely fluffy robe slipper , nice range toiletry . well tea / coffee facilite also complimentary bottle water . room spotlessly clean . we book weekend package breakfast include , well dinner one night . variety food offer breakfast really good range cold meat fruit full english . dinner fabulous complimentary glass wine much appreciate . the concierge extremely helpful , especially need assistance find concert going postpone . wealth local knowledge able direct we various place surround neighbourhood . all - in - all could fault hotel . great location ( next British Museum close shopping distict Covent Garden ) , friendly helpful staff , especially book package , great value . will definitely back . 
 Jan 19 2008 	 Fantastic Staff Accommodations 	 family stay Montague Gardens numerous occasion vacation London absolutely return every time . visit twice 2007 , June Wimbledon return December Christmas holiday . first , location fantastic . be around corner Russell Square great spot picnic lunch step Russell Square Underground . British Museum street much available within walking distance : great restaurant , atm , walk tour . quiet evening . second , hotel beautiful . always stay room look window , lovely garden type sculpture . room whatever size willing pay . always go small one amenity robe , slipper , coffee pot , cookie , etc . hotel , quiet bed comfortable . third , staff FANTASTIC . small hotel , 74 room , service definitely number one . pleasant helpful . husband blind one staff kind enough accompany lobby daughter go shop . would give call afternoon able time enjoy afternoon coffee . lastly , , full english breakfast include room rate . glad . wonderful selection cold buffet cereal , fruit , yogurt , cheese , bakery item , etc . hot buffet , enjoy scramble egg , bacon , potato , etc . however , prefer , staff obtain type prepare egg you . we love Montague Gardens look forward visit . definitely good value money . 
 Jan 8 2008 	 gorgous hotel 	 hotel wonderful weekend getaway . room v. small perfectly adequate short stay . receive complimentary upgrade bloomsbury room . service excellent , food great location handy . can not wait return 
 Jan 8 2008 	 good option part London 	 stay two night early January . hotel well situate especially close British Museum , 10 minute walk Covent Garden many major theatre . staff friendly welcoming . room ok , make sure want non smoking room ask one . mistakenly think new law mean workplace include hotel room would smoke free . , room smell smoke day realise smoke icon front door - think smoking ! ! . speak reception tell hotel move towards non smoking get yet ? ? ? sure legality say ... surely bedroom workplace ? ? anyway room clean , whole hotel , breakfast acceptable nothing special , overall would say good base London weekend . 
 Dec 28 2007 	 ok short break ..... 	 negotiate rate hotel directly , eventually offer one refurbish Bloomsbury room normally command £ 250 + night price tagthe hotel pleasantly locate , far Oxford Street far enough seem quiet relaxedcheck swift professional . concierge take show round hotel room . concierge not show we fitness facility okthe room great disappointment . ridiculously small . management Red Carnation know would book ' issue ' would think have give we large room ... double bed .... bit furniture . refurbish well idea would reduce number room increase sizeIf have pay full rate room , would bitterly disappoint ..... one night bearable long stay would unworkablethe bathroom fine rather small rate chargedDue age hotel , limited , rate charge size room little high side .... maid come turn service , even remark ' this small room two people ' - guess maybe hotel deliberately ! rate include breakfast , good standard buffet style . apart waiter spill coffee table ( offer move we relay table ) breakfast fine . Checkout also swift problemswatch ask paper charge tell chargeable - free paper lounge area pick one - unnecessary charge hotel room rate high seem little unfair . personally find ' extras ' like , however small charge , put hotel often whole chain .... hotel pleasant enough - room ( least one ) far small price - maybe little thought could put chargeable ' complimentary ' 
 Dec 17 2007 	 Excellent service atmosphere location 	 ' ve stay hotel 12 year ago business . weekend getaway without kid see review hotel tell we still exceptional hotel . disappoint . friendly staff , efficient service always helpful . the hotel rather small room , Bloomsbury King room clean , modern refurnished functional . wife think bed mattress hard . atmosphere hotel ( floor & quot ; squics & quot ; walk corridor ) bring back old time . the location also perfect , right high street , calm relaxed neighbourhood without much noise . 
 Nov 28 2007 	 excellent service Montague 	 recently arrange reunion dinner Montague Gardens nearly 20 people half number stay hotel . wonderful time . food excellent ; room spacious compare many , expensive , hotels central London . room bathroom clean , beautifully present , good array accessory . good choice breakfast coffee tea tap lounge move breakfast . what strike we particularly excellent friendly service . greet walk hotel feel look duration stay . service dinner could not well . one number wheelchair . hotel special wheelchair friendly room , , staff endlessly helpful . 
 Nov 18 2007 	 Charming friendly Montague Gardens 	 ' ve stay Russell Square Holborn neighbourhood London . within walking distance British Museum , Covent Garden , National Gallery many theatre , close several bus route underground , be central good restaurant shop . would always stay large , tourist hotel apartment . good value money comfortable enough , charmless . I walk past Montague , series link town house quiet street adjacent British Museum decide try . one visit , ' ve decide choice future visit London . lobby area beautifully decorate , lounge bar , dining room warm comfortable . room also nicely decorate , large London hotel bathroom dark wood marble delightful . real attention detail , include provision room item ( scissor , stapler , ruler elastic band ) traveller sometimes need , seldom provide . staff courteous helpful . impressed use name ask day reception dining room , know breakfast order second day . nothing impersonal experience Montague ! 
 Nov 10 2007 	 highly recommend Montague Gardens 	 ' ve stay Montague Gardens frequently past business always like hotel , visit weekend stay husband , welcome receive outstanding - way beyond reasonable expectation . staff wonderful , really kind , friendly helpful . central London , room hotel rather small , beautifully furnish . breakfast buffet excellent . definitely stay future visit London . 
 Oct 24 2007 	 great need ticket British Museum 	 Decor flamboyant , old textile . say website , ' luxury furnishing fabric ' honest preference , appeal many people , especially country , feel quintessentially english . choose deperate get ticket First Emperor exhibiton British Museum , book late ( one week advance ... ) ticket . although could find ticket / hotel package initially , pop search engine , delighted ( little sceptical ) confirm could get Emperor ticket . ! arrive night , next morning get ticket within half hour request time slot great ( apparently fast track agreement British Museum ) . next street Museum , literally 2 minute walk . location ideal we , residential street away restaurant etc , say , 10 - 15 min walk Shaftesbury Avenue . staff hotel helpful , concierge arrange ticket musical . 2 single room , small , adequate . ironing board room ( sadly , frequent traveller important ) , tea , coffee etc . probably would stay , purely due location ( many people would plus quiet street ) actual hotel good staff friendly . 
 Oct 22 2007 	 could not ask ! 	 take girlfriend birthday well happy find lovely place stay , choose hotel base review girlfriend love ( thank god ) moment arrive courteous friendly staff amazing champagne breakfast room next morning , evrythe perfect . all staff nice , feel like royalty stay one night . the room lovely nice big bed , not use much hotel facility look really nice bar , restaurant garden , fantastic location 5 min walk Soho near tube . would definitely recommend place occasion . 
 Oct 17 2007 	 special place 	 Montague something one experience quite rarely nowadays -- true committment service excellence . show quite bedraggle transatlantic journey warm greeting welcome atmosphere . room , reasonable time , call see well room . room spotless cool shower ' ve see water come right ceiling . situate practically right across street British Museum , yet quiet , charming street small boutique hotel . hear right stay ask comment thank we stay . wonderful , wonderful place . 
 Sep 26 2007 	 fantastic place ! 	 staff incredible , public room -- lounge , bar , foyer , restaurant , patio -- darling web photo show , room nice ( albeit small - ish ) fussy husband think mattress great , food good ! everything wonderful ! completely worth every penny ! 
 Sep 13 2007 	 Love Red Carnation Hotels 	 return stay could not well . service terrific amenity perfect , include great breakfast beautiful surrounding . room small well furnish location convenient Tube Heathrow . 
