mostly 	 arrival four night arrive tired late travel San Francisco . inform Hotel Policy request $ 150 per night credit card , bond cover incedential ( I.E . do not trust - guest ) . likely use facilty hotel indication likely price , tell $ 150 dollar would take , $ 600 dollar four night . show one small room hotel , could get warm -window find open , stuck . thankful duvet . bed fine comfortable , shower leak water bathroom floor door wide space . opinion much style little practicality . staff helpful , would single concierge -Yenni . customer orient . also night staff duty 1st December , could helpful early morning start . would recommend hotel -not value money , convenient location . 
 luxurious Respite heart Midtown Manhatten 	 Royalton exceed expectation hotel midtown Manhatten , provide luxurious welcoming retreat long day tour city first trip NYC . location wonderful - quiet street step subway , Bryant Park , Times Square - short walk Grand Central , Theatre District , great restaurant , Rockefeller Centre - even Macy 's Empire walking distance . historic georgian stone building , set appear old & quot ; tony & quot ; area , Hotel Algonquin across street , NYC club Harvard club step away . service prompt friendly - unassume welcoming - open greenhorn tourist question . bathroom bed wonderful - especially mirror tile huge tub shower - feel wonderful ache body full day walk ! price internet special put price range Manhatten hotel less quality - hard get anything $ 250 cdn . reviewer mention , lighting dim get use , seem soothe - flicker light large fireplace shadow scale modern architectural detail beautifully appeal sense . curl leather couch front big fireplace glass wine long day huge & quot ; ahhh ! & quot ; moment . great little deli / coffee house couple step away grab quick breakfast bring coffee room . also enjoy Jewel India - street price quality food . restaurant area likely good expensive ( Algonquin across street Jazz supper club - expensive great rep , although not try ) short walk cab ride 9th Ave Hell 's Kitchen , great , less expensive food ! 
 Superior Customer Satisfaction 	 spend 5 night Royalton Thanksgiving holiday month say extremely impressed . stay Grand Hyatt , Marriott Marquis , Millenium Hilton name , level service family receive Royalton second none . moment arrive bellman front desk staff delight work with . our room spacious desk couch , bathroom large one good shower head experience ! bed comfortable room appoint nicely . highly recommend hotel visit Manhattan great location great staff . 
 Jul 31 2008 	 Nice Romantic Hotel 	 get back wonderful time Big Apple . book Royalton Hotel time Hotwire quite pleased ! first : hotel great romantic leason . mood hotel mysterious . somewhat dark ; dark can not see . lobby one well see ; rich moody glow fireplace help set mood . sit sunken seat area ; someone come ask would like something drink . nice nook sip nice bottle Champane . desk friendly help much . book room small wife , son , ; upgrade we large room . prove satisfy ; make fair arrangement we stay nice suite ! ! room beautiful excellent shower . huge round tub romantic daliance ! not agree room dark . room darken switch turn light also turn light want . room service swift effeciant . Royalton excellent spot ; couple block Times Square ! can not really say anything bad hotel . everything spot . would stay ? yes ! ! ! much would definitly recommend hotel great romantic weekend ! ! ! ! ! 
 Jul 30 2008 	 high value hotel 	 bring mother NY July since never see city . want right hotel 4 day stay , well locate , high quality , good service nice people . the Royalton definitely right pick . one block Time Square , two Bryant Park , next 5th , 15 minute walk Central Park . I find great entrance , totally anonymus , difficult recognize , similar privé club . , greatly design hall soft light impress real coolness . beautiful people everywhere , style part environment . check fast professional , valet friendly , bar tender good job . I stay double double 12th floor . nice spacy room , nice view , not care much . bed top comfort , medium hard matrasse 6 pillow per bed . finger : cool system , , noisy . a place stay , place live friend guest , good meeting point business meeting know nice interesting people world . 
 Jul 22 2008 	 chic simple @ Royalton NY 	 book one night Royalton Hotel celebrate boyfriend 's birthday city . ( NY , think see city tourist perspective might kind fun ) ... would consider familiar area Royalton situate . pass thousand time , never really notice . low - key , house non - descript building opposite hotel glare flag uniformed doorman . opposite flashy , make elegance . walk stairs door open automatically ( sounds corny , wow unexpected reach unattended door open . ) take second adjust dim lighting lobby . really trendy mellow . even July ( broad daylight ) , glass fireplace glow wall . check quick person front desk friendly efficient . room little bit small imagine - clearly , delusional , expect anything large city . room face 44th St. , little noise - nothing keep we awake night . decor understate , mellow masculine color ( slate , gray , brown blue ) . furniture sparse modern - desk slim couch opposite bed . head bed situate small alcove little circular storage area side , alarm clock , etc . location perfect - remove Times Square drama ... close enough get coffee food . two block away . many restaurant option name area - not try room service , seem little pricey consider proximity cheap option right across street . instance , menu list two egg , bacon , etc , fruit juice ( american breakfast ) 32 buck . din across street 1/4 price - Brooklyn Diner right 43rd . get spend ... choice . not spend time lobby , much disappointment , seem like & quot ; spot & quot ; 9 pm . People enjoy drink lounge atmosphere well evening . even though prepare act like tourist , not get much touristy vibe Royalton . chic , simple lay back - exactly look . 
 Jul 14 2008 	 lot flair great location ! 	 book weekend getaway NYC use hotwire get great deal stay Royalton . minute walk , quite impressed design find hip trendy . give spacious room , NYC standard , terrace utilize breakfast morning glass wine early evening . staff attentive friendly . location fantastic far enough away tourist mecca Times Square , easily accessible major subway line . plan book subsequent trip NYC Royalton . 
 Jul 14 2008 	 Nice hotel great food 	 come back six night stay deluxe room . room good size like modern style . bath large round tub nice . shower powerful . hairdryer could better . find bed room comfortable small . room view real negative point loud noise air - condition . switch , noisy ( i.e . could hear tv , etc . ) even switch able sleep night still noise come somewhere . apart room quiet . hear little noise street room . we really enjoy food drink hotel . serve delicious breakfast , yes cheap good . we also enjoy food offer evening nice little snack serve bar . assorted salumi wonderful . cocktail also good . atmosphere bar fireplace , etc . great . the location 5th 6th avenue good reach lot interesting place , shop , etc . walk . staff royalton overall friendly . 
 Jul 1 2008 	 simply well . 	 Royalton Hotel simply amazing . sophisticated , chic staff incrediable make feel like celebrity . the room extreemly spacious fresh feel . hotel minor tee . modern bed side table lounge area . fire main lounge focal point . hotel also close 5th avenue time square tuck away not step hussle bussle NY bonus . we would strongly recommend hotel driver Raymond evening need lift back airport price fair little taxi fare get comfort . we eat hotel food look ' rich ' price drink high conjuction hotel . light dim near lift outside room problem we . give place ' moody ' elegant feel . age travel 18 year , 52 year 55 year hotel exceed expectation . also Brooklyn Diner around corner good place NYC breakfast . strongly recommend Royalton . 
 Jun 29 2008 	 Good experience 	 bill place see New York , nearly meet expectation . stay Loft Suite week . room : room large room New York standard , separate living area , long window bench seat open fire place - need summer . small desk work , large bathroom . bed super comfortable plenty ' to die ' pillow . bathroom : Hollywood circular shower disco tile 's . huge waterfall like show head ceiling - good thing room - serious good shower . rest bathroom okay , average design one small basin - lot mirror . dark : read review everyone complain dark hallway foyer . yes dark , major problem . still see going not pose problemsfoyer / bar : cool bar foyer . pack almost every night week . beautiful people serve even beautiful bar staff . great place hang . beer every night work - greatrestaurant : simply good get . much hype DB bistro across road hotel tell Brasserie 44 well ! quiet , food amazing - good find New York ! ! ! wine list okay . gym : small - okay cardio want real workout go across road New York Health club - $ 15 casual visit - great gym . service : Attentive available without obtrusive - solid 4/5 service . location : great spot get Theatre , Time square , central park , Empire state build etcall good experience . 
 Jun 25 2008 	 exceed expectation 	 hotel hip , cool vibe , particularly centrally locate . graciously upgrade superior room suite . suite amazing . hallway room huge ny standard , even suite . special round bathtub nice treat walk city day long . service prompt courteous , concierge helpful , location perfect . disappointed would go back . 
 Jun 16 2008 	 honeymoon iin NYC 	 NYC start honeymoon look somewhere be not busy , manhattan large room . generally achieve Royaltyon . bathroom excellent room do not view . staff excellent bar good . worth stop definately . nice part town although many top restuarant nearby cab ride anyway . staff helpful restuarant suggestion . 
 Jun 15 2008 	 Excellent boutique hotel 	 stay girlfriend 3 night love hotel . 27 year old couple love modern place . recommend young people read 's functional hotel . low light many place , small dark elevator , small bathroom vanity space . concierge ( GIOVANNY MENA ) extremely helpful friendly . reception staff friendly . think food overprice . even con mention stay ! 
 Jun 11 2008 	 favorite hotel NY 	 simply favorite hotel NY . everything seem right : great staff , good design atmosphere , good location , great bar/ lobby . good value money . spacious room everything need . 
 May 26 2008 	 Mamma Mia ! ! ! 	 spend fantastic four night Royalton surprise trip wife 's birthday . use service hotel concierge prior arrival make special arrangement birthday cake room etc . , could not helpful . a couple pointer : -1 . light dim , light almost invisible dimmer switch side give enough light fully ! 2 . breakfast voucher ( purchase ) not make clear cover , turn anything menu , ask ! ! ! location excellent , not choose hotel go complain bar price , 's New York , spend money fun . 
 May 15 2008 	 love athmosphere 	 amazing lobby . trendy . food excellent . service top level . room really something special candle & amp ; dark athmosphere . feel like discotheque . bathroom also special . try bath tube shower large bath . 
 May 15 2008 	 great hotel check booking ! 	 stay Royalton six night early May . hotel great , lovely contemporary feel . yes , hallway fairly dark much can not see be go ! public area trendy seem attract number passer - by cocktail two . room good - large enough shower room excellent - especially shower . bed okay comfortable ' ve ever sleep in . three problem place : firstly , minor , want use internet business centre might able get . reason not business centre would ordinary bedroom come en suite shower room . might appear quirky , create problem guest use shower room use gym , include business centre get change ! , room lock people getting change try use two occasion . the second problem breakfast : eat breakfast hotel first day . food drink top notch , service not quite match , basic breakfast cost $ 108 . pleasant decidedly less trendy alternative pop across diner across street - 's traditional ' mom & amp ; pop ' diner brisk service total bill fifth would pay hotel . the third problem - far important one - check : hotel not expect we . originally book agency ( Airmiles ) , confirmation number printout etc . however , ( polite efficient ) receptionist looked discover , base info would receive Airmiles hotel 's fault , due check day actually check ... mention not first time happen guest book agent , warn double - check book hotel directly use agent . lucky indeed one empty room hotel duration stay , able take . small room would originally book pay , either find another hotel , take . must stress receptionist role model guest relation , many staff encounter . I little worried , hotel 's decor style trendy , would invoke certain ' attitude ' among staff ' ve experience hotel . certainly not case hotel 's staff one good asset - aside everything else be get go include one good location New York shopping sight - seeing . so , would highly recommend hotel - warn book get ! 
 May 13 2008 	 stellar hotel small drawback . 	 Royalton Hotel situate Theater District / Times Square area NYC . easy find Valet parking snap ( also worth , be salty $ 52 ) . Valet service take bag room extra charge . check easy anywhere ' ve ever stay staff amazingly friendly helpful , even though pricelined hotel . call day early get recommendation dinner happy make reservation we . , nice helpful . decor contemporary comfortable . however , corridor amazingly , stunningly dark . minor annoyance . lobby large ample seating near gas fireplace . almost occupy people , attest fact 's user - friendly place . room great . base standard model 250 sq ft . bad NYC . bathroom floor wall stone tile spill entry . shower walk glass enclose good ' ve rain showerhead nozzle . modern fixture . main room spacious decent lcd screen bose ipod dock . bed passable , comfortable . good solid linen not amazing , not hamper sleep . overall , dim hall alright bed not enough enthusiastically endorse hotel . really amazing staff wonderful ! 
 May 8 2008 	 Location Location Location ! 	 would highly recommend hotel look perfect New York experience ! actual hotel lovley . nicely decorate comfortable . deluxe room fire ( call room service come light ) hotel create certain ambiance mind . achieve nice , continue bedroom female - putting make evenly difficult ! bath tub circular amazing two , recommede glass wine light candle ( supply ) . hotel absolute perfect spot thing New York ! walk Empire State Building , Central Park , ( Past Abercrombie Hugo Boss ! ! ! ) - Rockefeller Centre , Public Library Grand Central Station . Times sqaure less 2 block away , absolutely amazing light ! location also mean busy outside fire engine , police car taxis beep every hour become quite annoying ! say , matter hotel stay , location , go get ! go Christmas 5 day feel long enough . like walk fast , will not able want safe taxi trip forget ! they re nuts , that s New York ! 
 May 1 2008 	 Good Dark 	 Location excellent . service friendly yet professional . would rate staff good feature hotel . check - in check - out breeze . everybody smile . room comfortable although bit sad dominant colour sort dirty - gray . bed excellent . bathroom ok , shower fantastic , clean spacious . 7th floor . noisy place . a couple issue hotel : first atmospere bizarre . might appeal , other , include , appear unnecessary excercise try different ... wrong direction ... way dark everywhere especially elevator hallway . understand lobby bar trendy , room floor , please , turn lighting . second , continental breakfast way expensive offer . , however good choice 
 Apr 23 2008 	 simply perfect ... 	 stay Royalton 3 night 18 April 2008.the hotel live expectation ; contemporary , clean beautifully design hotel . lobby stunning dark lighting add ambience . we stay Alcove suite ( room 604 ) , thank free upgrade . large , modern pleasure come back long day shopping walk city . ( uploaded photo perusal ) .The concierge helpful make reservation we two fantastic restaurant ( DB Bistro Aquavit ) . worth dollar ! hotel bar offer good selection drink bar staff ( notably Billy ) could oblige friendly . get room service 2 occassion ; food fresh , tasty arrive quickly . staff amazing throughout stay lose passport taxi first day ; help we greatly could disastrous situation ! fault Royalton . 3rd stay New York hotel league previously , price . plan go spring 2009 can not wait ! 10/10Anna Young , York , UK 
 Apr 22 2008 	 Dark Moody 	 spend three night hotel April . first trip big apple therefore little wary apprehensive . nevertheless , book place recommendation colleague well - place . situation - excellent - within walk distance Rockefeller , Time Square , Fifth Avenue etc etc . hotel ? - well chap door sum - dark suit , gabberdine evening - little dark moody like . possibly age thing ( 50 + ) . room 619 - view , noisy continual air - con outside control - lack view add sense darkness .Went sofitel across road - modern art - deco - like - shall going next time . on positive note - bed extremely comfortable , staff pleasant . waitress tre bon ! ! 
 Apr 20 2008 	 great small luxury hotel 	 well locate , walk everywhere , room confortable fashion , service friendly . expensive , luxury . 
 Mar 25 2008 	 Royalton Hotel - Perfection Location Great Staff ! 	 2nd stay Royalton . come brief stay late 2007 business bit shopping . come New York one meeting mostly vacation fiancé never USA definitely NYC must ! New York City many time stay many different hotel really enjoy last stay want memorable trip book suite 5 day trip . we REALLY tired fly Buenos Aires Chicago New York City . first class seat sell flight Buenos Aires JFK ' want travel coach fly Chicago New York . wrong decision snow storm flight delay . luckily flight still leave many cancel . arrive really tired really great entrance doorman ask name say , " welcome back Royalton Mr. SaintBA " . must train staff let know guest stay . come 4 day short stay front staff also say " welcome back " . manager also say later trip . think great management train staff greet past guest way . also , something nice doorman always greet name . something find classy do really high end hotel like four Seasons Paris stay last year . ' nice touch Kudos management . ' nice touch . the location perfect . ' Mid - town Manhattan ' close everything . come lot shopping also see several show Broadway ' close shop Fifth Avenue block Time Square . ' locate West 44th Street 5th 6th . book bit big suite room nice spacious . nice big 42 ' LCD tv come wall could view bed sit area sofa . last year book small room sofa . room also sit area closet bathroom bedroom . bathroom also big nice huge rainfall ceiling shower head . strong water pressure room modern prefer . the room really quiet great black blind . lobby area nice romantic night fireplace stay lit day / night . trendy bar area restaurant well . ' eat restaurant room service morning breakfast bed food good . staff throughout stay excellent mention courteous everyone . finance really impressed hotel , staff love location . wi - fi internet access $ 10 per day work well . ' use much download work email time . room tax $ 500 per night . small room around $ 300 / night one really great oversized . book directly online website fast easy . availability calendar update always show room . check - out breeze . leave early fly Dallas morning early flight . call town - car we wait leave . $ 65 plus tip JFK . take service last time really nice car friendly . highly recommend hotel anyone . ' say enough good thing location staff . wear shopping everyday , walk around sightseeing happy end day come back hotel . bed also comfortable . many great hotel New York another great stay ' probably return hotel excellent location friendly staff . 
 Mar 22 2008 	 Anniversary Royalton 	 wife recently visit New York celebrate first wedding anniversary . Royalton one hotel Virgin package deal UK book strength review tripadvisor . safely say not disappoint stay . hotel certainly hip , much almost seem embarrassed hotel . jump airport shuttle arrival walk right past entrance ! lobby swish , popular bar area . eat restaurant food good , although bit fussy taste . room nice , clean quiet . view bit disappointing not really matter we . top Rock Empire State make ! negative really standard room little storage space clothe . wardrobe empty drawer . lack bath tub may bother people we , especially shower great . find staff helpful friendly throughout hotel hotel location perfect , time square five minute walk away . would certainly consider stay Royalton return New York . 
 Mar 3 2008 	 Beautiful Sleek Hotel 	 smooth friendly check - in , comfy , quiet , well - appoint room , large clean bathroom , delicious 33 brassiere restuarant tuck back first floor , perfect romantic treat midtown ... highly recommend , especially theatre show .... 
 Feb 15 2008 	 Superb ! 	 stay Royalton 3 night recently could not fault hotel . picky come hotel , issue Royalton . corridor dimly light , point can not find room . even dark door light plaque room number clearly identify . bed heavenly , comfortable luxurious huge - not want get . another great feature rain shower - great pressure always boil hot - huge shower head mean real rain shower , sprinkle hotel . some review complain lack space bathroom toiletry - problem - plenty room mine husband 's washbag toiletry sink separate make table also . also plenty cupboard space could do hanger . the room incredibily quiet , noise street room . nice touch candle , great toiletry , warm throw fresh flower . not order room service anything mini bar price top price downstairs bar , great atmosphere renovation really stylish . location fantastic would definitely recommend hotel . 
 Feb 7 2008 	 Mixed Feelings 	 last stay hotel 15 year ago , young impressionable , , time , think Royalton hip , chic place ever see . ah , difference 15 year make . ' m sure hotel change , opposed fact middle - aged cranky want comfort , hip . anyway , stay across street Sofitel , extend stay day- to - day sick fly home , Sofitel yank rate high decide decamp Royalton reasonable rate find Expedia . because standard room Royalton much small Sofitel , book deluxe room rather opt least expensive room offer Expedia . upon arrival , upgrade penthouse suite ( Room 1616 ) .as someone else mention , hallway Royalton really , really dim . be actually hard find room number . not remember 15 year ago . hallway either dimmer past , aged eye . not find darkness chic hip - annoying . the hallway also reek cigarette smoke , although thankfully get suite , could smell smoke . room 1616 consist living room , outdoor dining terrace table chair ( unfortunately , February cold use ) separate bedroom . alcove bedroom small desk ( small practical really need work room ) . large bar living room , fridge , snack , wine wine glass . second small minibar bedroom . living room work fireplace , flatscreen television , dining table , couch ( super comfortable ) four chair ( two uncomfortable , could sit ) . second flatscreen television bedroom . spacious suite , closet small place put luggage , bellhop commandeer one side table living room turn makeshift luggage rack . the whole suite fairly dark , find annoying late afternoon . like room much well sunset , light various candle around suddenly room become moody romantic , rather dark . room service dinner night hotel , really lovely dining table living room candle light around . warm weather , ' m sure terrace also would delightful . the room , quiet - street noise noise room . but several downside room . first , even though suite , queen bed . fine since alone , romantic getaway , would prefer king bed . linen attractive , soft linen Sofitel . as mention , tiny desk alcove bedroom small practical . also annoying business traveler travel laptop place plug laptop bed . result , could work , surf internet watch dvd bed long battery laptop last . the bathroom beautiful slate floor wall , extremely impractical . tiny sink tiny bit glass side sink - enough room stick toothbrush toothpaste . want lay makeup toiletry , forget . blowdryer hang cotton bag wall since place sink . instead separate stall shower tub , combo tub / shower . tub long , narrow . ' m bath person , tub narrow enjoy bath . ( person could imagine feel comfortable tub would , say , Nicole Richie 90 pound waif ) . give tub useless , would prefer large stall shower . the price room service obscene , even New York hotel standard , room service operate 24 hour day . room service menu also limit , although hotel restaurant open , go , look full menu , go back room order regular menu rather room service menu . state , price obscene . one night , tax , service fee , delivery fee , etc , come close $ 80 one small piece fish spoonful vegetable , one order rice pudding large bottle sparkle water ( top , forgot bring spoon , eat rice pudding fork ) . previous night order entree salad , forgot salad . call bring , already finish entree time arrive . eat downstair restaurant cheap . Lox bagel breakfast , $ 18 Sofitel , $ 30 Royalton ! & quot ; American & quot ; breakfast ( coffee tea , orange juice , two egg , sausage , potato bread ) , $ 20 Sofitel $ 30 Royalton ( service well Sofitel ) .with exception restaurant staff seem disintereste , entire staff Royalton friendly gracious . , think young , happy Royalton . would first choice return visit , although location convenient would consider could get good rate vis vis neighboring hotel Sofitel . 
 Feb 5 2008 	 nice ! 	 combine business pleasure weekend Big Apple decide Royalton base Tripadvisor review . the first thing hit we dim light trendy atmosphere . dimness become annoying may advance year ( be 47 ) . corridor room even dark . room superb ( 904 ) work fireplace well ; Bose idock iPod . Superb ! 904 large room pleasant decor nice piece furniture . , light adequate . nice flatscreen not use . the bed linen superb duvet good quality . light switch tad confusing . wardrobe space small awkward get . 's also flat screen bedroom use . the bath great . five foot round tub . excellent ! water pressure supeb . sink arrangement less practical . light issue here . the staff hotel young , good look friendly . the location great manage walk place want visit . overall , love trip like hotel . would stay ? possibly likely try somewhere else next time . 
 Feb 2 2008 	 find well 	 recently refurbish great style could better city hotel . lovely room , great bed shower . helpful staff . position ' the good ' . love understate lobby lack tradtional reception desk . stay many 5star NYC property , none well . big room sit area . minor observation lack shelf space bathroom . 
 Jan 30 2008 	 beautiful hotel great service 	 hotel really make trip ny amazing . discreet entrance lead fantastically luxurious lobby check staff really helpful . the room really plush shower huge need long day shopping . we use concierge service get we reservation great restaurant ( try could not get table ! ) overhear concierge use time bar always suggest place go really tailor thing people - definitely worth use need inspiration . the hotel great location - 5th 6th avenue within easy reach shop , central park , MoMA , Rockerfeller ... subway station 2 block 6th make downtown easy get well . the bar seem get busy weekday evening work crowd tend either afternoon drink one bed quieter . when come back definitely stay ! 
 Jan 26 2008 	 Prize good lobby 	 recommend Royalton friend regularly visit New York try lot great . location perfect trip - block across Times Square far enough quiet . lobby recently renovate well , get to say - pat back Royalton . one cosy invite lobby ' ve see hotel . pretty cold Xmas fireplace lobby perfect thing sit drink merry friend . curious however lobby feel heat summer . ; care great . I superior room fireplace 5 ft round tub . tell like fire ; - ) although quite standard new lobby - still invite place . service pertty good . whole give Royalton big thumb 
 Jan 14 2008 	 Super cool - impractical 
 Jan 8 2008 	 Romance Royalton 
 Jan 8 2008 	 Love place new refurb ! 
 Jan 7 2008 	 great stay Royalton 
 Dec 23 2007 	 Liked habe love 
 Dec 19 2007 	 great hotel lousy service 
 Dec 16 2007 	 Interesting Hotel 
 Oct 7 2009 	 Soggiorno splendido 
 Sep 9 2009 	 Royalton troppo ` ` fashion victim '' ! 
 Apr 27 2009 	 mediocre 
 Apr 13 2009 	 Excelente hotel ! 
 Mar 13 2009 	 Glamour ! 
 Feb 17 2009 	 Du style 
 Jan 29 2009 	 très belle prestation ; mais ... 
 Jan 9 2009 	 Troppo buio 
 Dec 27 2008 	 ? ? ? ? ? ? ? ? ? 
 Oct 15 2008 	 Royalton assolutamente soddisfacente 
 Sep 26 2008 	 Royalton Dolce e Amaro - Più Amaro che Dolce 
 Sep 9 2008 	 Excellent rapport qualité / prix 
 Jul 29 2008 	 Ottimo per un salto nyc veramente avvolgente 
 Apr 6 2008 	 Super Lage - schöne Hotel 
 Mar 22 2008 	 excelente eleccion 
