great 	 stay Carriage House 1 week Halloween 09 . return hotel 1st visit 2005 impressed upgrade room hotel receive . book 2 room son come we room large comfortable . reception area also renovate good quality furnishing . staff helpful courteous . visit Utah Death Valley whilst stay time , easy day trip . lot building work carry strip Monte Carlo Bellagio hotel ( far Carriage House ) make area dusty . also entrance Harmon Avenue strip change , not much problem something aware drive Vegas . Vegas fun city plenty , Carriage House 5 minute walk strip give welcome bit peace quiet turn night . hotel could benefit small bar restaurant strip close 's essential addition management make . would definetly stay Carriage House retune Las Vegas . 
 Jan 21 2006 	 Disappointed 	 choose Carriage House read great review TripAdviser little disappointed . 's question be stay three night , be good bargain - especially kitchenette help keep cost low . ' ve get kid want away form casino would also good choice . but overall place seem need refurb . two little thing annoying make stay less comfortable hot / cold control shower a / c room . shower weird hot / cold know show temp - would great except everything 80 feel - feel like 110 ! temp not match water ? a / c unit not low setting - air come vent ceiling , come could feel wind across room lay bed . not know would stay . 
 Jan 3 2006 	 Viva Las Vegas ! 	 SFO next stop Las Vegas celebrate 20th wedding anniversay . 2nd honeymoon without 3 kid ! carriage House great . 5 minute walk strip easy access Desert Passage Aladdin Casino . apartment fantastic . king bed , roomy lounge room , big kitchen , workable dining room . blight small bathroom . difficult manouvre ! staff friendly extremely helpful , assist we rent car Budget enable we drive Grand Canyon . Vegas amazing ! light , casino , restaurant , people , smile face shopping sensational . would recommend chicken pizza Joey 's Restaurant , room service one night hectic day walk along Strip . Vegas everything dream ........ 
 Dec 28 2005 	 Perfect toddler pregnant mum in - law ! ! 	 absolutely love one - bedroom suite , plenty room husband , 2 - year - old parent ! ! stay 5 night find location absolutely perfect want Vegas shopping sight - see , non - gaming holiday . 2 - year - old also 3 month pregnant ( feel sick ) still complaint distance hotel strip - walk everywhere Vegas ! compliment Joey 's Bistro upstairs lovely & quot ; traditional & quot ; Thanksgiving dinner - service staff fabulous daughter ! tip : use deuce bus service get around place far walk . , take visit Las Vegas Outlet Centre want good bargain shopping ! thank Carriage House - ever come back ( without KIDS ) stay ! 
 Dec 13 2005 	 great hotel friendly staff 	 wife stay 7 night end November year find hotel excellent quality accomodation , location customer service . staff helpfull excel question problem pose . situate genuine 5 min strip although plenty building work go Vegas unduly disturb . get chance visit disappoint . 
 Nov 29 2005 	 fabulous ! 	 vacation rental / timeshare locate strip MGM Aladdin . one bedroom unit nice 650 sq foot . full kitchen ( fridge , stove , micro , dishwasher ) , big living room bedroom . furniture nice . layout good breakfast bar , dine four , couch , armchair , tv , two phone . wish bath tub whatever . high speed internet part package . timeshare sale crap whatsoever . laundry floor . good service . 
 Nov 27 2005 	 Bargain Hotel near Strip 	 family stay two day around Thanksgiving enjoy much -- good location easy walk MGM Grand , Aladdin , attraction toward southern end Strip -- hike far end , include Treaure Island ( see show ) . staff nice , bed comfortable . they give housekeeper Thanksgiving -- fine thing -- not mind unmade bed good cause . good place family . 
 Nov 18 2005 	 overall good hotel 	 husband stay Carriage House honeymoon October 15 October 22 . first impression studio room beautiful . king size bed comfortable decor excellent . flower drape bedspread sight . kitchen well - equipt . the strip definately walk distance , 5 - 10 minute walk , find much action side strip , tend park rent vehicle hotel tour close one day ( parking free hotel ) .Problem hotel ? . first , housekeep definately lack . hair leave tub sink numerous day . Carpet need good shampoo , not believe vacuum twice week . spilt pop sheet day 3 not change day 5 . second , though staff nice , one night decide would like rent movie call front desk . lady tell we decide access movie check . tell one meantioned movie we , basically say lie right computer . ( would ? ) . anyways , thought would pretty easy flick switch , guess , since rudely tell we turn tv wait minute . , movie not come , give , rather call back deal . thirdly , pool really lack cleanliness , use towel constantly pile brim bin , ash tray empty , etc . construction seem problem guest we , since side building . the nice thing hotel lack casino fact not walk mile room . quiet hear noice , people , etc . hallway late night anything like that . overall , good hotel look cheap stay Vegas , not expect anything glamerous . 
 Nov 15 2005 	 Fantastic ! ! 	 stay fantastic hotel husband november 2005 5 night . one bedroom suit brilliant , spacious complete tv lounge bedroom , 6 seater dining table , fully function kitchen ( fridge freezer , dishwasher , cooker , toaster , coffee maker , kettle ) . room clean well furnish hotel general . the staff friendly helpful check take minute guest check time . great stay witness check queue hotel mile long ! hotel minute strip great location . construction work around hotel still ongoing side hotel never hear thing . worth request quiet room booking . construction work go Vegas hard avoid really . the hotel casino suit we . walk lobby straight lift , walk mile casino room . I stay strip hotel previously honestly say & quot ; never & quot ; . carriage house offer fantastic little hotel great location less strip hotel , near standard carriage house ! lastly could not leave without mention Joey 's bistro hotel . tend close around 9 busy diner seem go dinner head busy early well worth book table . Superb ! dine twice 5 night stay . one visit meet couple live vegas regular know waitress name . local dine good enough . whole experience carriage house faultless would recommend anyone . 
 Nov 14 2005 	 good place stay Vegas 	 wife spend week Carriage House please . previously stay 9 year ago . we one bedroom suite overlook strip . living room kitchen spacious bedroom space ample . bedroom living room equip tv single dvd player . unit stay high speed internet access . maid service great work around constantly vary schedule . the location great five minute walk nearest casino . negative thing carpet sould use shampoo . the price excellent ! ! ! 
 Nov 10 2005 	 liittle Oasis - great kid ! 	 wife two child stay one bedroom family suit Carriage House six night October 2005 . easily enough room four us facility excellent ; microwave , cooker , fridge , coffee maker , dishwasher ( important ! ) etc . dishwasher liquid coffee re - filled day . bedroom living room ( kid sleep large sofa bed ) tv ' , mean ' watch Sponge Bob time . we second floor directly face construction site rear . ear plug make big difference , still possible hear beep forklift truck early morning – ' hear anything else though , even kid ! however , must say construction extension MGM much ongoing . one building nearing completion , whilst another beginning , pile foundation half complete ( pour concrete , pile - driver ) probably another 9 - 12 month go full completion ( wife give hard time take interest , civil engineer ! ! ) .The staff professional friendly always hand help . never one two people serve reception time , always two staff duty , mean never wait long see . arrive 5.30pm Saturday check - in take less 10mins . need car couple day , staff arrange one Budget ( actually pick hotel take depot 10mins away ) $ 20 dollar cheap quote Budget counter around corner Strip also save high airport tax ! family kid ( 11 8 ) mean ' enjoy slot machine gamble ( one reason choose Carriage House , since ' want walk though acre machine get room ) . like family Desert Passage Aladdin , shop family friendly restaurant , really , less five minute walk away . the kid like swimming pool never busy . pool across hotel access road ( quiet ) front reception , need room key get , quite safe . also , next pool tennis court , kid really love ( small racquet require ) since 's elevate , manage lose tennis ball , staff ' seem mind – probably enjoy go swim pool retrieve ! thing like Carriage House ; laundry every floor washing machine drier ( essential family clothe ) ; internet access ( $ 5 20mins $ 10 50min ) – use every day 10mins long wait ; Joeys Bar – busy wedding take place visit , afterwards quiet enough everyone get window seat great view . kid meal good value $ 3.99 enjoy , especially bottle house wine ( good accompaniment ear plugs ! ! ) .all , little oasis amongst madness . 
 Nov 1 2005 	 Carriage House great 	 carriage house expect . stay October 22 October 29 . two bedroom suite 4th floor face strip away construction . never hear noise construction area . suite large enough not feel like run . could put many people advertise 8 . large . you never know people room next door . go Joey 's one evening 9:00 , tell close . elevator room say open 10:00 . disappointment encounter . the people work front desk helpful friendly . I would definitly stay . 
 Oct 17 2005 	 could not ask well 	 Carriage House perfect , cleaniness room , help staff . room spacious . like little way strip , provide privacy . heat swimming pool hot tub wonderful . provide grocery store run full size , equip kitchen . provide coffee danish every morning . wish hotel different location , would definitely stay ........... blast Las Vegas Carriage House . thank 
 Oct 12 2005 	 Great Suite 	 suit fabulous . buy grocery go every meal . locate close Aladin MGM easy walk . rent car several cover space charge park . not forget restaurant great special night much easy get casino restaurant . go back plan spend couple night . 
 Oct 10 2005 	 Great Hotel Noisy construction 	 wife stay hotel week Oct 1 - 8th . spacious clean one bedroom suite w/ kitchenette . staff helpful kind take care we answer question . downside hotel construction side build . third story east side building . condo / high rise go across street we noisy . truck would arrive middle night would hear forklift beep unload supply truck . also , Pile Drivers 6:00am nice wakeup call . hotel offer earplugs noise machine help drown construction noise . know construction prior go , not surprise , louder expect . ask room inside hallway lot quieter . also , monorail five minute walk MGM Grand . , great hotel , noisy side . not expect lot sleep . , Vegas . 
 oct 9 2005 	 Loved Carriage House 	 stay several casino Vegas find price keep escalate Carriage House secret treasure . quiet , comfortable , new clean . last construction go next door everywhere look vegas construction . love place return week . would advise get reservation early though since small place . can not go wrong . smoke ! ! ! 
 Oct 5 2005 	 Carriage House simply good ! ! ! 	 husband stay Carriage House time share exchange 10 September 24 September . second time stay , last 4 year ago , delight return Hotel . after read helpful review web site regard construction either side Carriage House , contact resort prior arrival request room quieter side building , allocate lovely one bedroom apartment 8th floor overlook pool . could see New New York Hotel , Aladdin part Paris window . apartment spacious ample room two we , ( would plenty space privacy two adult well ! ) love huge walk shower ! ! ! agree noise construction would heard certain time day building go , build front hotel near completion . our check easy , staff know us name check , compare horrendous check queue see Caesar 's Palace Bellagio ! also lot touch always find time share apartment , ample dishwasher detergent liquid , coffee leave day even sachet salt pepper ! ! room safe also handy . the staff reception extremely helpful , nothing much trouble , could always find sunlounger pool . the walk side entrance Dessert Passage Aladdin Hotel 5 minute walkfrom Hotel , enjoy shop restaurant , especially opening offer Max 's Grille , $ 3.99 lunch special $ 6.99 dinner special ! ! would recommend Carriage House anyone . 
 Sep 21 2005 	 love everything carriage house 	 stay @ carriage house las vegas 5 night , 1st stop 8 week around world trip . stay wonderful . last time visit vegas stop @ circus circus grandaughter us trip apt child we . carriage house non - gambling hotel liked really relax hard day walk around enjoy delight las vegas . can not wait return @ end year bring mother Scotland will love place . see soon . regard Liz 
 Sep 20 2005 	 Brits . view Carriage House 	 situate 5 minute walk Las Vegas Boulevard place almost perfect . our daughter arrive we ( travel Oz . ) make welcome . check swift long flight , room well fit clean . although little small expected serve we well 10 day Vegas . the kitchenette ideal light breakfast ( could not face Denny 's every morning ) snack afternoon . annoyance early morning ( 3.30 a.m. onwards ) noise building site next door MGM Grand . Staff helpful shopping info . , car hire even supply right adaptor mobile ' phone recharge . not use Joey 's Restaurant smart dress require short etc . security good free early ( 6 . 10 a.m. ) coffee lounge welcome combat jet lag . would not hesitate return , we Vegas ' once lifetime ' place beckon . 
 Sep 16 2005 	 lovely peaceful place 	 stay two night solely LV see place say ' ve . not interested gambling . hotel perfect respect . walk Strip within minute leave hussle bussle time return tranquility hotel . nice enough pool whirlpool . 
 Aug 30 2005 	 forget rest 	 wife stay Carriage Hse 6th - 13th August . forget bad stuff read early , believe we . place excellant , staff friendly helpfull much well one sprawl jungle several thousand room . great suite ( top floor look towards mountain - although view disappear next year build tall buiding process build ) . comfortable , good decrative order well equip . build otherside property nearly complete externally & amp ; landscape path next use way strip 5 minute walk away gentle pace . yes builder start early ( 4 - 5 ) affect noise . the pool mere 5 yard away front entrance yes cross roadway front entrance hey Monaco grand prix circuit . the pool area adequate always plenty room , lounger chair hot hot tub . energetic enough use tennis court . Joeys pleasant try differant theme night essentially pizza restraunt . enjoy meal there . it prove great base we explore Las Vegas surrounding would hesitation recomende anyone ask . the Carriage Hse arrange free trip supermarket twice week , give discount card well . also concierage service help arrangement ever want . although not hire car car park always space available . 
 Aug 29 2005 	 close enough strip yet far enough away 	 stay hotel 1st week August 2005 . situated strip minute walk Aladdin Passageway , shop restaurant , take Aladdin Hotel Casino . there lot construction carry around surround area woken night / early morning . go restaurant top floor sight hotel strip , food lovely friendly staff . the hotel staff assist we query include find we telephone number book trip Alcatraz move San Francisco . room quite big , comfortable , would like 2 bathroom 4 we manage . our complaint air condititioning , work fine 1st day decide pack , complain reception say frozen leave couple hour . switch back still not work informed reception , within minute send maintenance person room . work air conditioning least half hour replace part . work good air conditioning experience , temperature 100 degree uncomfortable say least . all would recommend Carriage Hotel definetly stay . 
 Aug 5 2005 	 Strip close enough walk 	 hotel generally nice , problem . tobacco odor hallway room , non - smoking . however , be probably hard smell tobacco anywhere Las Vegas . also , wake machinery make loud sound 3:45 a.m . 's huge hotel tower build next door , staff Carriage House tell we construction often happen night . despite problem , room comfortable , Strip within easy walk distance . advantage safe provide room two elevator , seem unnecessary hotel size . 
 Aug 3 2005 	 not big good 	 stay Carriage House part Timeshare exchange . 7 we include 3 child take 2 bedroomed apartment . the apartment spacious , well decorate , well set everything could want . kid could play watch tv bedroom never get foot . it clean every day cleaner friendly efficient , always ready chat make stay easy indeed . book simple quick , queue reception staff always excellent . Joey 's restaurant top floor offer good food good price whether eat take take out . the hotel gaming facility fine us 3 child , besides strip 200 yard away . there build work go outside MGM next Carriage House extend even , work start early finish late outside get dusty road busy site traffic . however noise create minimal enough spoil stay . there re - furbishment room go inside Carriage House well affect part stay . there pool outside main entrance small large enough sunbathe swim play in . all , enjoy Carriage House , staff make hotel would recommend family include young child teenage look stay somehere away hustle bustle main area Ls Vegas . 
 Jul 21 2005 	 fine hotel price 	 stay Carriage House three night last April , overall satisfied . room spacious good shape staff quite friendly . strip , lot casino locate , ten - minute walk away . the hotel amenity : restaurant top floor ( beware assign room right underneath -- loud ) , small pool parking lot , little lounge lobby . internet connection room visit ( tell would instal ) , two * huge * building construct two side hotel ( find noise bothersome ) . would ask construction make reservation . 
 Jul 6 2005 	 large room kitchen room layout nice good price ... 	 stay honeymoon . room large , save alot kitchen lunch dinner inside . location great , close Paris , MGM , many hotel strip . money save hotel , use extra money day pass bus , get vacation . pool great . also shuttle service , around trip day . activity great well hotel staff helpful . would come back hotel sure . 
 Jun 29 2005 	 great value well locate 	 non - gambling hotel specifically want . girlfriend stay 5 night first week March 05 . pay US $ 89 / night except Saturday night US $ 109.The hotel clean , modern friendly staff . room big ( compare UK hotel room ) enough two we . hotel self - catering , cooker , fridge / freezer , cutlery , etc . provide free charge . room well clean every day . bus put couple time week drive guest local Vons supermarket ( 10 minute drive way ) . clean , warm pool situate opposite hotel ( show web site ) access though key card . hotel within 10 minute walk Strip ( 15 minute slow walker ) .there laundry room floor ( guess floor ) large washing machine separate dryer machine cheap use . memory , US $ 2 each . the weather hot stay window open . due building work go nearby , hear build site machinery start around 7 am . not big issue though not let put off . also , 's internet terminal foyer expensive compare UK price not quick connection speed ! overall , great hotel good value money one would definitely return too . point interest : arrive airport various mini - van position outside airport drop customer designate hotel around / on Strip . pay driver front - disappere 40 minute return drop we passenger respective hotel - frustrating . far quick - cheap $ - hire taxi . journey take 15 minute Carriage House approx . 3 mile airport . 
 Jun 28 2005 	 Good Hotel Wait 	 Hotel nice . staff friendly helpful Joey 's restaurant 9th floor good prime rib ' ve ever taste . downside construction surround place . stay second floor back hotel awaken morning 4:30 a.m. beep sound forklift ( whatever ) . walk strip easy manuever around barrade especially leave side street be walk strip . Aladdin MGM close , yet deceptionally far . mention nice place would wait stay , least construction do . 
 Jun 12 2005 	 wonderful place stay 	 stay Carriage House first part May . go initially stay Flamingo find Carriage house Sky Auction reasonable price . read reviews Trip Advisor decide like idea non - gaming hotel . hotel clean . room comfortable nicely furnish feel like apartment hotel room . husband even make remark could live ! love huge two person shower . nice surprise . hotel staff nice helpful question quick call cab need . construction go hotel never seem bother we even though front building could see window . the hotel short walk away strip Walgreens 7 - eleven close utilize alot snack , cheap Las Vegas memento even photo develop go home . we take flight Grand Canyon would highly recommend anyone plan see Grand Canyon . view incredible . book flight Looktours Vision Air professional . pickup tour front Carriage House . even get photo take pilot flight nice keepsake take home you . we would definitely stay Carriage House . 
 may 27 2005 	 Good Value 	 husband attend conference MGM decide stay Carriage House TripAdvisor review location . colleague stay MGM pay double , hear , well accommodation service . carriage House conveniently locate strip staff friendly helpful . room large clean . would recommend stay Carriage House . criticism sometimes difficult get taxi . not mind walk Aladdin ( short walk ) , not problem . departure lucky taxi pull drop someone . give plenty time Las Vegas airport . line long , move . 
 may 21 2005 	 great family escape blight nearby construction work 	 reasonably price non - gaming hotel kitchen , block half Strip . carriage House helpful , friendly staff quality italian restaurant ( Joeys ) , roof level great view Strip . sadly hotel currently blight major adjacent construction . pile driver give we rude awakening 6 am first morning . however , staff respond positively request change room side hotel , give we good choice alternative . our second room overlook pool , much large suitable 4 adult party . construction side building also much quieter . kitchen well equipped , make hotel great choice family , useful laundry room too . small hotel Vegas mean escape check in / taxi queue encounter large resort hotel , bear mind pool facility naturally basic result . we would use Carriage House - neighbour construction work finish . 
 May 18 2005 	 great family cheap friendly close Strip ! 	 stay Carriage house look recommend hotel family child clean , convenient expensive . also block away Strip . this perfect place family . friendly great cooking , clean facility casino walk away great hotel . also pool spa ! staff responsive personable . although breakfast , walk distance award - win Aladdin buffet . Aladdin one pleasant hotel generally great mall . want breakfast room shop 7 - eleven - walk away good price . the restaurant top floor excellent nice view . cheap though , get pay ! , ask room overlook building site , particularly light sleeper . bother we , however . 
 May 18 2005 	 would DEFINETLY go back ! 	 drive Vegas brother 's wedding could find hotel night $ 300 . stumble accross Carriage House online , call , place we night , exceptional price . room beautiful , big hotel room could easily go $ 300 + per night . plan stay go back . 
 may 8 2005 	 Excellent accommodation convenient location 	 stay place excellent TripAdvisor review comparable place . satisfied . many room building , good need 3 attempt settle . enter first room verify convert smoking room non - smoking simply place sign . certain , make sure room non - smoking floor ! lady front desk amicable immediately offer we alternative . suite spacious , luxurious , clean well equip . comfortable stay indeed . the strip within easy walk distance , preferably cross road traverse Aladdin hotel complex , find pleasant relax strip hotel . buffet dinner Aladdin seem popular enjoy . want close strip , nice quiet , non - gambling establishment , place stay . would definitely recommend . 
 May 7 2005 	 xlnt ; watch construction 	 stay 2 nite week . want near conference mandalay , kitchen less noise . 1 bdr suite : large well equip ( well ) kitchen . good bed ( smallish bedroom ) ; nice livingroom . tub 2 - person shower . good controllable a / c . helpful staff . around good . complaint major construction go two adjoining site . hour construction 6am-10pm ! problem cause we rate lower otherwise . also , supposedly 1/2 block strip , would say long 1/2 block world , probably would feel safe alone night . 
 Apr 10 2005 	 Carriage House .... great non - gaming Hotel Vegas 	 wife return 4 - night stay Carriage House April 5 - 9 . love stay hotel without gambling . not even slot machine . think Carrage House good place ' ve stay Las Vegas ' ve stay probably dozen hotel . thing love hotel : Quiet ( except construction site ) large room ( pay extra suite $ 92 / nt w / tax ) Kitchen great ( make breakfast snack convenient ) location great ( walk distance everything.o great staff ( alway be friendly ) large 2 - person shower lot hot water ! thing not like : HVAC ( airconditioner marginal .... say work ) construction noise ( really tolerable , little bothersome ) stay suite side away strip .... room 706 . nice room large kitchen , large sit area separate bedroom . overall pretty similar Embassy Suites room , extensive kitchen . nice room . I would probably stay side next time sun come pretty early shine directly side hotel . believe could sleep later side . also construction go ( really side hotel ) . mostly pretty tolerable , could hear backup alarm truck begin dawn . overall think great place stay much cheap hotel 
 Apr 10 2005 	 Quieter set superb service 	 back great week Carriage House , small personal set mega hotel dwarf site . be block bit east south Strip quieter bonus . onsite casino slot definite plus attract ' reserve ' clientele , although easy stroll get game ( trouble ) wish . the staff terrific special kudo Heather Penny Guest Services . could not enough ensure stay enjoyable . & quot ; Joeys & quot ; top 9th floor onsite restaurant excellent cuisine . stock suite larder early lest luck - out gaming . although city constantly re - inventing ( read construction ) experience minimal noise . strict dust control by - law appreciate due strong wind stay . small pool unused thank cool temp .. be Canada ! rent car week make day trip several major attraction Hoover Dam Red Rock Canyon . not miss & quot ; Valley Fire & quot ; . word awesome reserve other - worldly natural desert wonder . caveat : - town driver tend aggressive beware.- Ignore plethora card snap ' escort ' vendor timeshare gofer encounter anywhere strip.- be fussy , not pay retail . lot free pull 2 1s ticket tonight deal food , drink shows.- scenic 40 minute drive south I-15 Primm , NV 3 monorail connect casino outlet mall . actual car Bonnie Clyde meet fate part fascinating display . we will back . 
 Apr 3 2005 	 Perfect place relax Vegas 	 spend six day annoy not find property definetely use Carriage House . whether want relax away street take short walk Dessert Passage entrance Aladin well value Las Vegas . king size bedroom suite fully equip full kitchen separate living accomodation . staff friendly helpful . building & quot ; Strip & quot ; side complex nearing completion new building site Monorail side start . stay side would say morning sun shine cause we wake early noise construction . 
 Apr 1 2005 	 Excellent 	 Stayed Carriage House March 2005 . booked read good review Trip Advisor directly hotel . hotel locate short walk Strip . building work go front hotel not experience inconvienence . book standard room upgrade suite arrival . room excellent , spacious clean full kitchen facility view Strip . hotel bar / restaurant top floor extremely pleasant set meal / drink evening . small pool amazing hot tub - perfect way relax hectic day . excellent stay . would definitely stay , brilliant value money . 
 Mar 31 2005 	 Comfortable Stay 	 family stay hotel March 21 - March 25 . one bedroom suite find quite spacious . however , sofa uncomfortable need replace . otherwise decor furniture Holiday Inn level . carriage House stand apart comparable place hotel staff friendly personable . helpful informative area place go . carriage House convenient location . one easily walk hotel Alladin may little uncomfortable alone late night . 
 Mar 30 2005 	 conveniently locate strip 	 good location , hair strip conveniently locate middle stip . frist trip Vegas attend wedding use timeshare trade two suite . one caution however , take taxi get grocery be strand 4 hour taxi 's would pick we Albertson 's . call Carriage House ride shuttle say would not pick we strictly airport . think poor service consider 8 we staying week . good stay . 
 Mar 17 2005 	 winner ! ! ! 	 suite hotel thru timeshare exchange . also use & quot ; suite hotel . & quot ; great place . excellent restaurant property . block half strip . close Aladdin . week . room good ' ve every . large kitchen w / complete facility . large living room / dining room plenty comfortable seating . large comfortable bedroom . staff accommodate . shuttle - run daily middle strip . also , twice week shuttle supermarket . laundry facility floor . Downside - Lots construction go neighborhood day night . this could affect people light sleeper , not really bother we . 
 Mar 7 2005 	 great stay Carriage House 	 return Las Vegas March2 - 7 really enjoy stay Carrriage House . think location great , short walk strip across street Aladin could catch monarail . car walk time . enjoy fact place go without noise casino . every staff member friendly helpful . check - in fast . small room comfortable King size bed , dresser , full size couch chair could see tv couch bed . small kitchenette , small fridge , 2 burner stove microwave , coffee maker , dish , silverware etc . save make breakfast room morning . bill come 316 three night . place clean ask x - tra towel , pillow etc get right away . I would stay highly recomend . peak room one bedroom living room look nice . for two people room plenty big much nice basic hotel room kitchen couch . pool open , look clean although chilly take dip . want quiet , nice room good location , place ! 
 Mar 7 2005 	 great value group ; clean spacious facility 	 book great rate , even weekend , Carriage House group 12 people . resort actually seem pretty new we -- prior reviewer comment furniture / linen might stay one 1 bedroom suite , we stay , wacky lounge - type dining table furniture , 1 bedroom lockout suite ( one side queen - sized fold - down murphy bed ) , really quite up - to - date , clean , comfortable . look timeshare owner section web site , will able see different room layout . reservation manager able group us couple place 2 couple 1 - bedroom lockout suite , $ 129 / night -- even weekend February -- really quite bargain . stay non - smoking suite ( think non - smoking floor ) , half suite kitchen area -- side murphy bed full kitchen , side king - sized bed kitchenette . non - lockout / full 1 BR suite , hand , enormous master bedroom , full separate kitchen , enormous living room 3 single guy sleep . foldout queen - sized sofabe great , could say sorry - excuse - for - a - foldout hide long ottoman -- guy wound use bunch sofa cushion instead . maybe child would easy time sleep fold - out cot . we also chance see $ 79 regular hotel room , i.e . 2 double bed small microwave / refrigerator / sink area , also quite clean , look new , smoke - free well . the construction zone bothersome . although be heck lot go around ( MGM , Mariott condo build ) , really not noise notice weekday arrive , though ( new Marriott development ) eyesore stay side face Strip . get Strip , be 200 yard walk street , walk bit take shortcut shopping part Aladdin casino ( actually close casino ) . alternatively , swing backdoor street MGM catch monorail be go elsewhere -- 1/4 mi walk . overall , hit strip ( Harley Davidson Cafe right corner ) , close casino North ( order ) Aladdin , Paris , Bellagio ( across Strip ) . venture south , will walk past tourist trap store & amp ; CVS / Walgreens hit four - corner intersection MGM Grand , New York / New York , Flamingo & amp ; Excalibur . be lazy not like walk , even tend complain walk , would try cab -- , however , free shuttle WEEKDAYS leave Harrah 's ( next Venetian ) every 1.5 hour . we get really drunk stumble back fine , would not say be difficult get . hand , other spend night gambling / party Luxor end Strip wound favor cab 20 - 30 minute walk . the front desk remarkably accomodate , fast , friendly , lot last - minute change large group . check - in refreshingly fast well . property quite close airport -- one friend actually walk , although would not necessarily recommend anyone . check - out , otherhand , take , nothing unexpected . no , not stay one premium / more expensive casino resort . proposition value high , however . need , excellent place stay , pleasant surprise . pool nicely heat , hot tub treat , we play set tennis court ( free raquet / ball borrow ) other play hoop basketball half - court afterward ( occupy space parking lot ) . also shuffleboard set , board game stuff borrow free downstair . we would recommend think twice visit Joey 's restaurant . reviewer seem glow remark , can not say . though waitstaff seem friendly enough , food lackluster , compare option elsewhere walk distance , even MGM fast - food arena , would skip restaurant stay . save grace give 10 % discount stay ( bring little coupon card ) deal $ 8 create - your - own pasta $ 15 steak -- , avoid place unless absolutely not feel like venture outside , even , consider order pizza ( Pizza Hut wind well - receive group restaurant ) . bar might well option , , well bar nearby Aladdin casino , too . by way , forget , be also free more - than - adequate parking , , though none we rent car . overall , be really nice go back place end night without smoky air , noisiness hubbub casino hotel , get terrific deal , really spacious , well - equip room enjoy extra swimming & amp ; sport facility property . staff friendly consistently helpful . member group pleasantly surprise nice place , plan use property future group visit . 
 Mar 1 2005 	 lackluster good way describe 	 resort merely super 8 kitchen . desire nothing happy . furniture date , linen leave much desire , location hotel leave walk construction zone side hotel order get strip . not bother front desk call cab , wait hour half call cab dispatch not even know would able arrive . staff could not care less , keep tell way . point , need transportation . next stay stick casino resort , much nicer much convenient . 
 Feb 23 2005 	 always great place 	 Carriage House extremely convenient MGM , Aladdin , Bellagio , Monte Carlo bunch other . New Marriott build next door . extremely clean well maintain . quiet escape noise strip hotel , yet close enough engage time . Joey 's restaurant upstairs truly outstanding ! 
 Feb 21 2005 	 spacious Comfortable room 	 husband spend 5 day Carriage House July 2004 . room spacious clean . staff polite helpful location perfect . return Las Vegas year ( 2005 ) will return Carriage House . Carriage House 's look quiet comfort relax sore tired foot beat path Vegas strip . big thank hard work staff go beyond accomadate guest . 
 Dec 30 2004 	 Location Service 	 trade timeshare week Carriage House November 13 - 20 2004 . location make convienient Strip without crowd often noisey atmosphere Strip . staff excellent helpful capacity might need . unlike hotel Timeshares , hotel never bother we & quot ; Timeshare & quot ; deal , etc . one bedroom suite clean well furnish . color scheme main area leave something desire , inside much . bad aspect sofa bed friend find unusally uncomfortable . construction ongoing near hotel present noise problem we . work go night early , however , never encounter problem . would recommend Carriage House location , service accomodation . 
 Nov 24 2004 	 ok ... depend quality look . 	 carriage house ok . vegas six time last ten year , give 3 star rating 3 - 5 star . prefer stay Mandalay Bay Venetian like extra 's two resort give . plus , especially really like location Carriage House . 
 Nov 10 2004 	 Wonderful Staff 	 husband recently stay Carriage House first week November . make hotel special room , staff . room clean spacious . although close strip , 15 minute walk active area . however , car , not matter much . also construction go aware . not affect visit all . what want say staff Carriage House excellent . heather guest service Julie conciege well ! receive first class service everyone work . opinion , important five star hotel . even witness rude guest , however , staff continue courteous patient . give good information avoid drive strip , great place eat San Diego cleaning staff even check we see room okay removed & quot ; disturb & quot ; sign . the reason not give 5 star 's little deserted taste , change building timeshare hotel nearby . like walk across street buy bagel want . not option , be not decide factor whether stay . also restaurant top floor open afternoon , lunch dinner . also van take people store grocery activity also available week . the Carriage House among top place stay Las Vegas not casino love ! commend staff wonderful job making stay comfortable . thoughtful people whoever charge hire staff proud choice make . would positively stay . hat everyone Carriage House ! ! 
 Oct 26 2004 	 absolutely Superb ! 	 wife stay Carriage House week 16 – 23 October . Vegas ' really want stay another casino hotel usual five mile walk room , book Carriage House read review site . disappointed . location , accommodation staff superb . cost standard room big Strip hotel , get huge corner suite comprise ample kitchenette ( microwave , hob , big fridge / freezer , dishwasher etc ) , large bedroom king size bed , walk closet plenty hang drawer space , room safe , iron & amp ; iron board hairdryer . bathroom bite small side compare Vegas hotel bathroom separate vanity unit washbasin bedroom , never fight get near mirror ! arrive , hotel inform courtesy airport pick - up long available . however , add simply get cab would reimburse cost nice touch . also arrange courtesy drop airport also provide courtesy transport local grocery store ( complete discount card ) could stock essential week Vegas ( OJ , beer cheeto ) ! hot tub pool bit small never use , ' make difference we . couple drink Joey ' bar top floor ( Carriage House guest get discount ) nice view strip . hotel ( safe ) five minute walk strip across street side entrance Aladdin Desert Passage . front desk call cab , hurry tip would get one taxi / valet area Aladdin . if ever back Vegas , would hesitation stay Carriage House . 
