nice 	 planning anniversary trip , want find place away craziness strip . Red Rock Hotel perfect alternative . not gambler change pace welcome . 's flashy noisy typical strip hotel . also plenty site like movie theater bowling . be within 20 minute Red Rock Canyon park 25 minute strip . unfortunately , cool enjoy pool check also nice . workout room little small side everything need get decent workout . we family live Vegas typically try visit every couple year will definitely go back Red Rock . 
 Dec 4 2007 	 Red Rock Rocks ! ! ! 	 wife stay past weekend Las Vegas LV Marathon . tired hassle Strip flannel - clothe strip club hawker obnoxious obese drunk , decide stay Strip choose Red Rock largely base quality website fact feature recent cooking contest tv show . thrilled place moment arrive . hotel property modern design - think post - modern Tokyo - fill clean line , dark , rich color , well think contrast texture . front desk personnel efficient , cheerful helpful . room spotless large include huge marble clothe bathtub w/ flat screen tv . not know , soak w/ tube right book ! bed one comfortable ' ve ever sleep - well Westin 's . casino visual delight remarkably smoky . enjoy fact $ 5 crap blackjack table abundant throughout morning afternoon . eat lunch Cabo Grill whatever mexican restaurant . fare ok ... be spoil w/ great San Diego mexican food , be hard please realm . also eat lunch italian restaurant property enjoy . restaurant reasonably price . one thing not like room service menu seem overpriced compare place ' ve stay ( Hyatt , Sofitel , etc ... ) minibar tantamount highway robbery . tell , new favorite place stay Las Vegas . strongly recommend . 
 Nov 30 2007 	 finally somewhere Vegas enjoy ! 	 stay Red Rock end October couple . fan Las Vegas love strip yet close enough go see show , go shop etc . room gorgeous spacious . spa wonderful relaxing . pool area amazing . plus love drink firepit outside . great time year go - crowded . loved touch free bottled water front desk . & quot ; issue & quot ; not bad way hotel set really one main elevator room walk one long continuous hallway get room . , course , almost end long hall . pool elevator bit close . would definitely return would easily bring small child enjoy pool ! 
 Nov 26 2007 	 beautiful resort Service MUCH desire 	 really want love resort . read reviews poor service hope fix problem visit . didn'thappen . lot little thing , highlight ...... book hotel boyfriend 's birthday weekend , send email request champagne price want bottle room upon arrival . one get back via phone email , leave piece information . call week later , prior we leave trip ( call twice hung thefirst time ) manage get order . arrive , hung hotel check time . go check , tell we room available would hour . tell herto cancel champagne , want upon arrival , send tothe room later . tell order system . walk around looking & quot ; nice & quot ; bar grab drink . none & quot ; nice & quot ; bar open ~ open 4 , hour past check time . 4 , lobby bar ( beautiful ) open , request white wine , tell white wine shipment arrive day . order Merlot . finally check front desk send bottle champagne ( nice put we onthe right track ) , service issue happen weekend . book birthday dinner ( Sunday night ) italian restaurant request way table romantic dinner explainingthat birthday , etc . get , put middle floor next table 9 man drink . also , door open outside continue use ( would stay open time finally close ) . cool November night , cold air keep come , make difficult stay warm . man around we give woman sport coat , boyfriend bring jacket , expect need restaurant . lastly , many occasion , least one item order ( different restaurant ) never come . lot small problem service well several rude staff would ignore , walk away act annoyed help . actual resort lovely , room . many small thing keep go wrong , wished book different hotel . Vegas enough time know plenty high end location service nail . Red Rock . put much energy effort image , fail provide matching service . 
 Nov 18 2007 	 look ? 	 wife go conference hotel brother tag along - I give review first timer vegas - the hotel awesome- like everything it - plenty good restaurant plenty good bar , nice movie theatre , cool bowling alley , room great , comfortable new , let we check little early check little late , staff professional helpful , never hear word & quot ; & quot ; anyone , like casino plenty game table say first timer vegas excitie stay hotel want go strip hang there- people reported- issue hotel label review & quot ; look & quot ; personally want fun excitment strip everyone right- hotel shuttle run every couple hour run 6 pm late pick strip 9 pm -a cab ride good $ 35- $ 45 dollar depend traffic strip- also plan drinking do not want rent car really limit choiceslong story short - if want go vegas strip be not really scene- stay great vacation- plan go strip go stay strip hour would say stay strip maybe come visit red rock hour one day ? 
 Nov 18 2007 	 Cool Option Hot Town 	 spend three day past midweek visit family west side Vegas . casino player misspent youth , Nassau Atlantic City Reno , long . still , feel capable rating casino well hotel . first , permit address concern post past week . Las Vegas set desert valley . get water Lake Mead , man - make construction Hoover Dam . impact development much casino . short , Las Vegas Blvd . start , big name casino find within mile one another ugly stretch asphalt otherwise know Strip . nothing inspire monument thing tacky . want see see among faux statuary balloon - sized breast , go . if hand , actually want combine vacation good food , good room , modern pool scene ( include legitimate lap pool ) , first rate spa , family - friendly diversion , will want something remove center plastic universe . want go east town next Lake Mead , try Ritz Carlton Lake Las Vegas . prepared pay RC rate room , Ritz property charge so - call resort fee apparently shock Red Rock 's customer . nuisance , increasingly industry - wide . if want go west town , might try J.W . Marriott , money ( room incredibly reasonable ) , will want stay Red Rock . ( several poster : ' cab ride downtown $ 40 ; ' ' complimentary shuttle Strip take long . ' would shuttle take away hotel ' casino gamble another hotel ' casino ? ' free ? ) course will need rental car . Las Vegas , New York , public transportation . 's also charge valet parking , despite another poster 's complaint , self - parking lot easily identify ( dude , 's sign ) , um , thrifty spring $ 2 tip guy bring car . vibe upon entry sophisticated , sleek , modern resort , nearly every reviewer agree staff courteous fault . hotel entrance behind casino , non - gamer avoid casino crowd altogether desire . room spacious , dark wood carpet ( Kimpton - like fuscia / lime / chocolate brown motif ) , pleasant indirect lighting massive flat screen face bed . bed comfortable , ' fall asleep end movie . small flat screen overlook ample tub , separate marble shower commode enclose leather - lined room . bath product private label . rack rate November something like $ 169 / night , spacious suite roughly twice . add tax resort fee still bring $ 200 / night , ai not go to break bank like bad night table . room service timely ; house keep desperately understaffed . concierge valet service thorough prompt . ( ' ve wait lot long car much expensive hotel , car rental rate less cost couple cab ride , ' m sure beef reviewer . advice future would look map booking . ) pool scene low - key , elegant , understaffed ( probably owe time year day week ) . spa well - stock well - run . other point kid - friendly option : legitimate movie theater multiple screen ; substantial arcade ; mall - sized food court ; retro - cool bowling alley . the casino ring themed restaurant , include italian , asian , raw bar , steak house , etc . 's complimentary cocktail party sushi service Friday night , Starbucks lobby . short , never leave , . , beltway ( 215 ) , take Hoover Dam half hour , main road , deliver Red Rock Canyon authentic mountain scenery ten minute . Contrast Strip , crush car construction truck serve remind traffic jam think leave back home . ) casino ample table space addition electronic game slot aisle dominate today 's casino . $ 5 $ 10 minimum blackjack table easily available ( not see $ 5 table Atlantic City century . ) pit boss business - like cordial , unlike heavy run Strip . but good example management 's style probably find casino host . cadre troubleshooter concierge professional give resort quiet dignity often lack mega - resort meat market . deal gentleman name Winston Morgan , handle dinner reservation , social concern , private movie screen equal aplomb . cancel movie party , ask need limo next morning . in short , able stay complete hotel - casino resort amenity many well - know upscale chain decor cool earth tone modern prairie design , never worry not spend enough time table . able relax , something visitor Las Vegas not seem able . odd will back . 
 Nov 16 2007 	 Red Rock November 	 travel conference / weekend getaway . luckily figure advance far hotel Strip get rental car . plan make one trip , be must . hotel shuttle look nearly impossible conference night .... long line shuttle taxi . ( note however , must valetpark retrieve car time want use -- associate tip . ) pro : room awesome comfortable . ( tv , stereo , plush bathrobe ) FItness facility also nice well equip . , pool area , Red Rock Nat ' l Conservation Area ( close hiking . ) con : & quot ; Resort Fee , & quot ; fun drive back forth Strip -- especially later night , crowd shuttle service , close pool area early -- 5 6 recall correctly . ( probablynot case summer imagine . ) 
 Nov 13 2007 	 bad - but ........ 	 Bad - mandatory $ 21 day charge shuttle service turn service ( rental car - have pay anyway ) . mini bar sit dresser . not move item 's tray - your charge regardless . resturant server horrible . feel like not matter . $ 13 day internet access . spa fee really pricey . limit variety slot machine . the good - very nice room well appoint . pool area nice . many reaturant choose . great kid . movie theatre , bowling alley ( see bowler ) kid area different touch not see casino . much calm strip . Plasma T.V . room nice . actually order movie ( problem volume claim issue ) , never . overall , nice visit would stay . 
 Nov 13 2007 	 Faux Mink Pillow 	 room hgtv dream . love . ' m sucker flat screen tv , marble bathroom , upgrade lighting , platform bed high thread count sheet & amp ; mountain pillow , one two bathrobe Bose stereo . Red Rock Casino / Resort make everyone purchase standard room feel like high Roller amenity nice touch sleek chocolate brown / lime green room . yes you all far Strip / Las Vegas Blvd 's first time Vegas will get cranky spend lot money cab . ' ve , do scene , look Red Rock stay property entertain day . 9 restaurant , multiple bar , night club , huge gaming space , several pool , nice outdoor lounge / chill area , movie theater , bowl alley spa . remember , well Strip get people stay . succede ! ! ! ! ! ! 
 Nov 13 2007 	 nice like orange 	 enjoy stay Red Rock . conference . anywhere near heart Las Vegas , stick take 40 dollar cab ride town . room nice . loved plasma tv foot bathtub . room clean , bed great room quite large . orange decor hotel could get nerve though . fortunately , room orange . pool area nice spa lovely . love quiet pool area near spa . staff nice . eat steak house premise -- Mr 's -- excellent . great food , great bread , wonderful beef good service . however food conference bad . terrible salad , soup entress . breakfast soggy egg . really need well currently . conference facility good . overall , nice experience . 
 Nov 12 2007 	 good hotel family Las Vegas LOVED ! 	 completely shock mortify non - family friendly Las Vegas become ! 5 year since go Vegas plan trip year . first stop Bellagio- terrible ! naked statue hall , naked people pool , beer bottle float lazy river ! enough ! Red Rocks website Awesome ! see day room rate . much stuff kid . kid love Kids Club love 3 hour see movie , eat , enjoy casino . also love bowl family movie theater site well . the pool great lot shade . service wonderful stay ! 
 Nov 12 2007 	 Nice want spend much time strip 	 stay one night Red Rock move Strip casino . Vegas many time . hotel bit way , would not stay ' ve never Vegas want go show strip spend lot time . say , room great . large , modern , plasma tv , clean , great tub / bathroom ... invite spa like . restaurant close early around 10 pm , eat one 24hour place . food good , service great . well do burger raw husband 's chinese food good . not know anything restaurant spa . they charge $ 15 - 20 resort fee per day .... guess get use pool drink free water . personally , rather add room rate feel nickel dim .... be I . we probably would go back R & amp ; r sometime . 
 Nov 6 2007 	 Hip Elegance Away Madness Strip 	 stay red rock first November corporate function please hotel . the locationYes , 10 mile Strip ( stay 215 North take right hotel ) . frenetic energy strip not place . we welcome change pace . one side hotel view red rock moutain evening sunset lovely side romantic view almost Las Vegas City light view stunning sunrise early . construction go around hotel look Las Vegas , not ? problem construction noise . rooma nice touch room semi private entry way cut noise hallway give apartment like feel . our room quite large , clean nicely decorate . work area large convenient outlet indirect head lighting . work disturb partner bright light . also two direct reading light either side bed purpose . Bose Wave radio nice touch . closet space plentiful dresser space . 45 second mini bar something think traveler going get use begin see numerous hotel . think ask item remove however . bed , comfortable plush make hard get morning . bathroom include deep soak tub love ( go easy bubble bath room full sud ) flat screen tv tub fun . Stall shower beautifully do entire bathroom intricate granite stone work . CasinoThere really need go place else gamble Red Rock everything need . big gambler not think disappointment . foodseveral meal cater part function attend part delicious serve efficiently appeal way . breakfast cafe , good . simply bacon egg price right $ 2.99 . also enjoy Champagne brunch Feast Buffet good extrodinary variety food . bar also pour generous drink become hard hard find Vegas get cheap cheap . staffeverystaff member encounter go way friendly helpful front desk , valaet bell staff quick friend ; efficient , busy accomodate large group . advice .... give Red Rock shot think pleasantly surprised . 
 Nov 5 2007 	 Awesome Hotel STRIP ! 	 come back Thursday Sunday stay Red Rock . observations:1 ) Hotel strip & quot ; strip & quot ; like palm Hard Rock . 's REALLY strip . $ 40 - 50 cab ride airport probably much strip ( factor trafifc ) . hotel offer shuttle service strip airport . not take strip shuttle hear drop fashion show mall . airpot shuttle ( Sunday ) leave every odd hour 7 am 7 pm . shuttle complimentary.2 ) casino average Vegas casino less wacky folk ( since strip ) probably fair share local . $ 5 BJ table around day $ 10 BJ table around almost day . 3 ) Amenities - Pools awesome - look exactly like picture website . pool side food so - so . also on - site bowling alley , movie theater , game room food court . bowling alley clean / nice / fun . food court decent alternative restaurant ( especially lunch ) .4 ) Spa - A+ spa . great locker area , sauna , jacuzzi , spa pool , etc . experience bang ( construction upstairs ) massage promptly give 20 % discount think fair . bang last 5 minute 50 minute massaage . complaint gym small - almost afterthought seems.5 ) food - eat Grand Cafe Hachi ( japanese restaurant ) . complaint food quality hotel food , bit pricey side . overall , would give hotel . great hotel sick tired strip want relax vegas vacation . 
 Nov 4 2007 	 Nice Far Strip 	 Red Rock lovely room well appoint . particularly nice touch plasma tv bath tub . note , find weight mini - bar item bit odd ( move 45 sec , charge , even replace un - use ) . however , overall nice resort . cost less comparable hotel strip , cost $ 40 way get strip . probalby wroth stay hotel strip , rather , strip want spend time . money save , end spend cab . 
 Nov 1 2007 	 greedy greedy greedy 	 Location - middle nowhere , not count shuttle , take nowhere too// qualify resort , even coffee room , cold bathroom , tv channel , greedy offer free WiFi . carefull BOOKING HOTWIRE else . greedy hotel charge extra $ 20 + per day ridiculous service , MANDATORY charge , otherwise will not let stay even charge Hotwire already ( really care ) . Greedy hotel ask ridiculous money case need rent something ( like camera , guess - $ 100 per day ) . depress hotel interior . pool spa close early . good thing recall bath tub faucet , however even spoil annoying noise water drain : - ) 
 Oct 26 2007 	 nice room land far far away 	 stay Red Rock October 3 night . not spend much time hotel , comment experience . on pro side : -Our room comfortable : feather king bed , nice bath , etc .. -everythe modern clean.-large well equip gym . on side : - hotel far away strip . first trip Vegas , think would well strip . fortunately car could avoid hassle either expensive taxis infrequent shuttle bus . -The $ 20 / day & quot ; resort fee & quot ; get add rate . ' ve never stay hotel this.-the Bose system room sound great , not enjoy hear neighbour 's music . unlike reviewer , not encounter construction large empty lot beside hotel . something going build there . if location rate suit , be bad place . 
 Oct 26 2007 	 worth money 	 state Red Rock last weekend pretty disappointed . picture website great - appear red rock strip dominant view . strip view , could see strip resemble pic . BJ check extremely rude . book well advance check keep change amount per night vague repeatedly ask much charge . finally ask room rate write little strange . I ask concierge question overly helpful . the room nice , particularly bathroom . bed comfortable . mini bar ridiculous - 45 second rule ? ? pool nice , close 6 pm - though Vegas ? Casino okay , would expect . restaurant good reasonably price . my big complaint ( aside BJ check ) shuttle service . think twice many shuttle . know prior book away strip , though remote / serene atmosphere would make . hotel remote - feel like middle subdivision . 
 Oct 24 2007 	 Place need work 	 agree pervious post . would stay . like one post also bad stay hotel . also receive email Mr Ronan ' Gorman ask comment stay . reply email advise problem include rude staff member . despite send three time never receive response . anyone know actually work ? 
 Oct 16 2007 	 well Best ..... ! ! 	 always someone happen something pleasant happen ( like a / c review ) consider could happen hotel , anywhere . construction add make well everywhere life , call first make sure do not interfere plan . never know go . listen 45 yr old mother 3 ( come wthout ) . go Vegas twice year among vacation spot know hotel . mostly go hotel getaway experince trust review . visit stay 2 night Venetian pay alot $ $ , nice . without plan notice walk Red Rock check say & quot ; change flight , ' m stay night & quot ; mean know drive . do not get wrong , want hustle bustle strip constantly ton great hotel ( Mandalay Bay one ) want & quot ; get away & quot ; resort / casino Red Rock . base great hotel , stay happen night , actual hotel clean clean clean everywhere , every spot room sparkle . AHH & amp ; comfort , big deep tub tv front , chair window view , new clean carpet , comfortable pillow bed ever . cool modern ? everything ultra sheek , new , high tech , even mini bar do not offer drink oh much ( like fun stuff adult , choose pay course ) . do not forget 2 comfy bathrobe slipper , incredible fast , accurate kind room service . mean guy do not bring coffee leave , pour stay minute converse . turn bed sheet , fluff pillow , put slipper bedside , casino night , nice come back . hotel ! unbelievable decor , mean seriously attempt tell , see ! light breath take real crystal , ask , . much art everywhere , cool calm stuff . absolute coolest bar ther cool flair , every kind restaurant , sushi mexican .. ( least drink outside Tbones ) , food court , bowling alley , bingo hall , Regal 16 movie theater , yup right . guess could bring kid . they offer great adventure tour mountain , kayak hiking etc ... know sometimes do not want gamble , ... great do not $ 100 minimum table , we $ 5 minimum folk , alot ... price average like , strip like price , mean dinner drink $ 41.00 dollar Cabo . end hate go ( ask time check 11:00 , 12:00 ? ) take Red Rock luxury free airport shuttle back Us Airways home back Florida ! feel little relaxed trip home , guess great night sleep last night RED ROCK baby ! ! ! will back . go LOOCHABELLA ! ! 
 Oct 6 2007 	 not stay ! ! ! 	 wife look place stay Las Vegas different , remove hustle bustle Strip see Red Rock website , think find ( & quot ; Red Rock 's serene surrounding & quot ; , quote website ) . anything . 's perfect place like middle major construction project start work 6 am every day adjacent busy freeway ! not fool hotel 's website . the first night room hot , despite turn thermostat fan full blast . next morning awaken 6.30am incredible amount noise work do top floor . grind , buzz noise literally vibrate throughout room continue entire day . later morning , go downstairs complain concierge noise . call manager , apologize say workman suppose start 10.30am happen call would see stop immediately . also say would & quot ; make adjustment & quot ; account compensate problem . ask check next morning , confirm case . also say would send people fix air - conditioning . two man arrive work AC wife sit room manage disconnect hose kind gas spray room . pleasant experience thought & quot ; Legionnaires Disease & quot ; immediately spring mind . really seem not clue . eventually AC work 24 hour arrival . despite conversation manager , next morning rudely awaken even early , 6.15am , noise come top floor construction crew . phone noise immediately stop , damage do far concerned . noise start around 9.30am . when check , complain noise another manager . say manager would not 2 pm ( three hour checkout time ) do nothing & quot ; make adjustment & quot ; account , even leave note complaint . manager say would make note , speak colleague come work email resolution . tell entirely unacceptable . so detail agree cancel room charge one two night . thing consider really night . but problem , actually feel slightly deceive way hotel market website . stay , realize photo fake make look like hotel something . compare photo take room shoot hotel website show Strip View room . clearly & quot ; photoshopped & quot ; make Strip appear much close ( mask reality hotel surround massive construction project ) . photo view room alter way . similarly , view website red rock get name manipulate . reality , look hard see rock , side freeway . after return home receive email Mr Ronan O'Gorman , VP Hotel & amp ; Casino , ask feedback stay . despite reply long , detailed account nightmare , ' ve yet reply Mr O'Gorman . decide share experience Trip Advisor . so avoid place 's be crack . 's long way Strip , surround massive construction project freeway , construction work go top floor make place totally unbearable management regard customer . 
 Oct 5 2007 	 could live ! 	 Hubby stay Red Rock June 3 night recently end September one night . can not say enough good thing hotel . definitely one favorite . room large , bed comfy bathroom great . not problem maid service either stay , hubby picky ! room clean . receive turn service chocolate pillow every night . stays strip view room high floor far away main elevator quite hike . request close room first stay check opt stay first room give . apparently room past pool elevator & quot ; newer & quot ; wing hotel thought & quot ; newer & quot ; room slightly big nicer old one . pool area amazing . large comfortable lounge chair plenty room . addition main circular pool scatter hot tub small pool well . spa great relax work little peace quiet spa pool perfect . hotel far strip , 20 - 30 minute . always rent car though huge issue we . issue hotel first stay pool close early two night row private function . warn till midday point already go . specifically leave strip early enjoy pool find close arrive back hotel . spa pool open though , not crowd least could use . recent stay ; awake 5 construction noise . hubby light sleeper pretty annoyed . definitely stay mountain side light sleeper . , can not say enough good thing hotel . service , staff , everything impeccable stay . ' ve already do strip thing want enjoy Vegas away hustle bustle slow , relax pace , Red Rock perfect . already can not wait go back ! 
 Sep 30 2007 	 great peace quiet 	 PROS : room nice . picture traveller post accurate . please note , though , resort doctor picture view room . red rock bite distance away , outside window picture imply . Strip view fabulous , bunch light . the resort well away Strip , , want peace quiet , place you . I conference . resort fully book , would never know . service great . con : , resort far away Strip . Taxi cab $ 50 one WAY . complimentary resort shuttle run frequently end early evening . 14th floor room view Strip . 4:30 a.m. every morning , awaken lovely beep , beep , beep construction equipment . view worth lack sleep . conference food atrocious , exception box lunch serve last day . course , eat terrible food week , Alpo cracker would taste like fine cuisine . food court casino area . visit it . if attend conference , beware last day ! unlike hotel Strip , lot taxis wait outside resort 's door . talk concierge hire private car . cost taxi anyway - stink Febreeze stale cigarette smoke . the casino frequent mainly local retiree , George Clooney . demographic , heaven . in short , look relaxing weekend , Red Rock Resort . come Vegas gamble party , stay Strip . 
 Sep 29 2007 	 Truth Red Rock Casino Resort 	 spend 2 night Red Rock Casino Resort Spa early July 2007 ( excuse delay post ) . unbiased review property . upon check - in , greet RJ ( BJ ? ) . use term greet lightly since feel less welcome . honestly , come across stand offish putout . friendly . welcome , nice stay etc . first impression count check definitely pleasure highlight . first impression count . casino money room , sight general public bad attitude . clown front desk keep repeat mantra everyone check " good " . bunch BS … we find room ready ( 7 - 7 - 07 ) expect busy day since many wedding Vegas day . casino go . we go sport book wager baseball . first foremost , Sports Book royally rip drink rule ! sport book give 1 drink ticket $ 20.00 wager . get 2 drink ticket $ 50.00 wager complete ripoff ! also , give drink ticket unless ask one . also , 1 import beer Bloody Mary 3 drink ticket , 2 one would think . basically would wager $ 70.00 3 drink ticket ! main casino get drink want play game , even low wager game . casino overall nice ran glitch . casino computer morning check could cash ticket sport book . bad supposedly top notch casino computer problem ! blackjack dealer say computer hour ask sure would back ! finally check room around 5:00pm . strip view room 17th floor . great view strip upper floor . room large expect , however , bathroom small small flat panel television tub nice . main room 42 - inch plasma television , however , remote control touchy work time . as housekeeping , must say one bad encounter hotel / resort . suppose top notch resort many glitch housekeeping . first , receive turndown first night even though request . also , ask 2 extra pillow . well , 2 hour later someone come room even though disturb sign light still bang door ! bad ! ! also , day pool return room find one maid dirty slop rag top bag room ! cheese curl previous guest find near bed floor upon check room ! carpet room dark vacuum edge , apparently ever ! also , bed read lamp miss bulb one side , later find floor bed . we warn front desk touch mini bar unless absolutely want use item ! anything pickup mini - bar 45 second charge room . weird policy ! get rid passé mini - bar ! hello , nobody want stale nuts skunk beer ! " intimacy package " mini bar . sure around $ 30.00 . must good price ! Hmmmm . the Bose CD stereo room blessing curse . Knuckleheads next door we blare stereo top volume . wall thin room could hear . as pool , first foremost , Alexandra pool waitress suck big time . nice big , smug attitude . order two Bloody Marys 2 water . bring we $ 4.00 per tiny bottle water , throughout hotel free tiny bottle water available . send back apparently cop tude return water refuse come wait we rest time pool . seem wait folk flaunt wealth quite fine though . Hmmmm ? ? end go pool bar eat lunch since would come wait we . beware 18 % gratuity add everything order poolside . definitely would stiffe Alexandra give option without force tip . totally agree posting throughout resort , air arrogance staff - seem REALLY cater people & quot ; probably money & quot ; provide minimal service other deem worthy . must say Allison lifeguard friendly . actually show we pool chair carry towel also bring we water since Alexandra Witch would wait we . pool area nice lounge chair cushion . large bed type lounger also available appear reserve well advance . also , apparently another era population growth U.S.A. prepare surround lot kid main pool ! fountain center attract like fly know ! prepare R & amp ; R P & amp ; Q around main pool scream brat everywhere ! cherry pool next large wall bit strange . small lap pool also scatter pool area . water ice cold pool , almost cold even air temperature around 110 ° . " MIX " music blaring pool nice first hour , get bit old . need mix music bit , pun intend . pool bar nice Arizona Misters table game . pool bar food good too . the valet bellman nice , actually nice employee encounter whole resort . the gym big large resort . adequate , dumbbell , treadmill stairmaster squeak high heaven . treadmill flat screen television mount sound , close captioning . see much well resort gym sure . anyone ever stay JW Marriott Cancun know mean . stay check available pricing option Orbitz , Travelocity hotel website . actually get well rate strip view room Orbitz include $ 50.00 resort credit . Red Rock Resort also gouge $ 19.99 per day Resort Fee ' surprised appear final bill . ' pay Canyon / pool view overlook I-215 much view . strip view much well , particularly night high floor . on checkout , bag almost leave another guest ' car , happen last name . would ugly ! could imagine look face get back California someone else dirty underwear ! eat Cabo mexican Casino good . also eat fast food mexican food court excellent ! lots money burn like scream kid surround poolside may place . otherwise , steer clear Red Rock Resort Casino & amp ; Spa . would definitely stay property . JW Marriott street much less pretentious nice opinion . always take taxi Red Rock Resort Casino & amp ; spa feel need make donation ! overall rating would 3 star since casino nice give low 2 star rating … feel free email question big7ben @ gmail.com ! 
 Sep 29 2007 	 Red Rock good trip ever 	 girlfriend travel Vegas see concert Red Rock . going stay strip action , not want cab concert . hear quite far strip . wonderful surprise ! take complimentary shuttle airport . wait half hour , shuttle nice . good thing hotel think maybe , 25 minute ride . pull , know worth . hotel gorgeous ! moment walk door , everything perfect . hotel beautiful , staff genuinely nice , room gorgeous . canyon room ( 17th floor ) overlook pool mountain ( breath take ) . someone else write music bother pool side . put ear glass hear . besides not sleep much . attend pool side concert , amazing . great spot concert . pool area huge 15 pool . plenty room everyone . nice chair cushion . family friendly , nice two single girl . could almost pool . drink service slow , waitress work hard 110 degree heat . spa nice . go early use private pool , steam sauna room . pricey , vacation . dining - lunch Sandbar , $ 15 person . dinner T - bone Chophouse , excellant . two us bottle wine filet $ 160 . well worth . also , eat food court Grand Cafe . good food price . cherry club - good mix music , great time ! casino - fun , fun , fun . see drink waitress ever strip . not fight get drink . $ 5 blackjack everything else need . lose , friend win . I still stay strip , would definatley stay . nice everyone hotel stay hotel . not mass people walk like strip . can not say enough staff . walk room , maid even ask we good time , say good trip ever ! 
 Sep 25 2007 	 wonderful New Las Vegas Resort 	 stay Red Rock Station twice September , time fantastic . Red Rock perfect place long time Vegas visitor sick LV Strip experience . Red Rock everything strip . 's large gaming area , plenty room walk . not feel like be run tourist . overall , be relatively quiet compare strip competition . as far hotel product , coworker say remind brand new Westin . hotel could compare Wynn , Bellagio , Manadaly Bay . room modern stylish . everything need relax , yet modern electronics hookup be business . I find bed comfortable , yet coworker housekeeping bring new pillow . shower good experience , tub LCD television mount wall bathroom . the complaint be room near elevator , expect long walk . mid hallway elevator take guest pool . find easy cut pool area get casino vs. take regular hotel elevator . during first stay construction 6 am , hotel move , credit first night 's stay . overall , pleased hotel definitely would go back . 
 Sep 16 2007 	 Wonderful Resort challlenge 	 exhibit conference love hotel . challenge : charge $ 13 per day per laptop hotel room . exhibit need use internet area hotel conference level go charge $ 295 per day . per laptop ! crazy ! housekeeping staff friendliest see ! say server staff Grand Cafe staff attend conference food league 3 star restaurant resort ! watch pool , include 20 % gratuity bill service worth , not tip twice since not earn it . the cab ride airport $ 50 hotel shuttle run every two hour airport . shuttle strip good idea go see show keep mind last shuttle pick strip 9pm - before show get get cab back hotel $ 36.booked combo Hoover Dam tour flight Grand Canyon thru Vegas.com . prepare sit bus pick passenger almost every hotel strip . Hoover Dam tour good flight Grand Canyon unbearable hot plane . couple people sick . not think A / c work . would go back resort especially want away strip . really reason leave hotel . 
 Sep 12 2007 	 Outstanding Across Board ! 	 little write positive side not already detail . everything read part true , place beautiful , room might good Vegas period , pool , casino , restaurant great . read review negative comment staff service . experience nothing kind , fact valet service top notch . check - in breeze ( 11:15am room we ... request early check - in get early thought ) , service pool great , especially & quot ; Cherry & quot ; adult pool . Zach help we great . read another review hamburger , hot dog Pepsi $ 34 . find hard believe . fish tacos lobster quesadilla pool $ 24 . place not cheap , certainly not feel outrageous . want cheap eat head Circus Circus stay double - wide room . casino great , drink plentiful crap table service friendly everywhere . leave valet car we 2 minute . love strip , something other complain . look map people , be least 12 mile ... yes go strip cab cost . ' ve get news , take cab Mandalay Bay Ceasar 's , cost . want great resort spa feel , great restaurant adult feel , Rock Rock perfect . 
 Sep 10 2007 	 low - down Red Rock 	 look great hotel stay Vegas & amp ; see & amp ; hear good thing Red Rock decide would good place celebrate fifth anniversary . the good : - pool area great although cost private cabana little extreme . really need though unless want complete peace & amp ; quiet.- Fitness centre good resort although several cardio machine tv 's working . would also nice disinfectant available clean machine users.- room nice & amp ; plasma tv 's nice touch.- Feast Buffet great place breakfast . less $ 20.00 eat content . staff friendly.- also great food & amp ; service Cabo Mexican restaurant.- movie theatre & amp ; bowling lane great touch . the bad : - $ 43.00 cab fare not feel like wait shuttle bit opener & amp ; really lets know far away actually strip.- let cabbie take Meadows Mall . take shuttle Fashion Show Mall one day & amp ; thought would go shop another day . pass kind shop along way airport & amp ; thought would check cabbie take we run - down mall close strip . fun experience ! - upgrade Canyon View room also look onto pool . big mistake ! good luck get good night sleep music never stop ! nightclub open will keep night . call front desk ask going tell stop around 4 am . give option move room Strip Side 1 am thought would try & amp ; grind it.- know 's Vegas price food & amp ; drink around pool insane . $ 34.00 hamburger , hot dog & amp ; pepsi . server friendly other miserable ( although walk around bikini day might ) .- spa price double would pay not vacation . might explain not see alot people use spa service . in nutshell ... be look place stay feel like be Vegas . 's great resort middle desert & amp ; could not see strip would never know even Vegas . hope help . 
