Good 	 overall good hotel enjoy stay . facility good staff helpful . we annoy 11 dollar charge use phone local call even connect second . outrageous price . not know food like , always eat even breakfast . 's plenty choice around . Wifi expensive payable day , though free internet terminal executive lounge . 
 Nov 14 2008 	 business trip ? able work room . 	 quite simply network hotel unusable - wire wireless . connect never send / receive low capacity heavy usage . work single night 4 - night stay pay $ 400 / night . complaint work network specific wired room operate . otherwise leave $ 18.99 / night bill service . 
 Nov 9 2008 	 happy priceline ` ` pick '' 	 stay year ago , know expect , pleasantly surprised . find staff accomodate professional . room fine , Hilton Beds great . get wear quickly , one good locate hotel high occupancy . seem age , ongoing rehab . safe , clean comfortable . 
 Nov 8 2008 	 dirty Sheets Light Amenities Showers -- oh ! 	 stay Hilton conference attend hold there . the room nice -- nice bed , tv , bathroom . however , long day travel , unfolded sheet crawl bed find six hair sheet ! tired cranky , call customer service ask someone come change sheet . take someone get , wrong sheet . tell sofa bed -- completely wrong . apologetic sweet ran get correct size . take almost 10 minute get right one come back . another complaint dirty towel find bathroom hang . look like someone dirty finger wipe prior visit . also , unattractive white stain brown sofa bed . btw , strange enough , bathroom shower . friend staying time bathtub be soaker , sure check tub . amenity light -- gym $ 12 day internet access start $ 14 run $ 19 / day . $ 500 , would think would complimentary ! 
 Nov 4 2008 	 can not wait go back 	 first time stay Hilton , expect high standard dissapointe . & quot ; executive room & quot ; 34th floor , good size bed REALLY COMFORTABLE , could besaid pillow , way average . breakfast - include room rate - 44th floor lounge , pretty standard continental breakfast , will not set world fire fill plenty . one tip though GET early use 7 leave always long queue get capacity room 99 person illegal sign clearly point ! ! ! .there also free internet access lounge , either use laptop provide pc . although share lot guest work well book 15 minute slot , never problem use . loung also provide free tea coffe throughout day upto 2245 hor d'oevre 5 pm , secret get early . I read several rather negative report trip advisor hotel little apprehensive especially part birthday treat wife daughter , everything fine give example one evening bathwater slow run away , rang reception going send plumber straight away ! ! ! call service . there two nearby subway station , one Sheraton one Radio City music hall , one use mainlhy line go , less couple hundred yard entrance . one thing though should not happen Hilton 's policy charge 3 dollar 50 cent per bag leave hotel check actually leave airport . hotel ever stay one ever charge . object charge , point pay lot money stay hotel do not expect pay something provide free . charge waive , query tell unacceptable . lady front we collect bag charge 21 dollar seem rip . good hotel , great location truly world class destination , say NewYork NewYork wonderful town , really really sorry leave , Certtainly stay 
 Nov 3 2008 	 great hotel location lousy service 	 would stay hotel know location perfect- 5 block Central Park , 10 Times Square one block across Fifth Avenue . however service time beyond joke - right check - in woman behind desk argue rate not inclusive tax show copy bill ( thank goodness ) .during stay front staff , concierge theatre desk helpful friendly . bed place comfortable ' ve ever sleep room quiet nicely set fresh / new - problem hot water one morning ( hotel wide ) people rang seem less bother - pay $ 3,000 week - not well pleased . final straw attemtping charge $ 14 leave bag 3 hour checking . guy luggage desk rudest have confront drop heavy suitcase hand rather lift bar pass . refuse pay sign clearly say $ 3.50 daily charge assume people leave luggage day whilst go elsewhere . try struggle retrieve suitcase bit scuffle guy ( still utter nothing & quot ; $ 14 & quot ; ) call security . it unpleasant unnecessary end week . however follow action - Director Hotel rang UK apologise issue have bring attention via Guest Survey emailed - make feel seriuo sort issue . I would definitely stay probably 's location fantastic . 
 Nov 2 2008 	 Nice hotel pricey 	 Stayed dad first trip NYC . clean room , helpful concierge , pretty good location touristy stuff ( times square , 5th avenue shopping , central park , etc . ) , feel safe walking outside hotel midnight ( big plus book ) . pretty expensive would otherwise average hotel , worth location alone . 
 Nov 2 2008 	 excellent famile kid 	 ask central park view , although hotel far park well get one room partial view , mention hilton honnor gold member one room smell smoking room , ask connect room give we room infront .the hotel excellent location one block moma , 4blocks central park . , , 5 block time square build bear workshope 6 block away , american girl shop 5 block away .the thing lobby always congest .and small kid make sure bring strollerwe fun great time hotel great time new york 
 Nov 2 2008 	 Great Location 	 return New York stay Hilton . good point .. fantastic location . walk distance shop want visit , subway stops Empire State Building . room 43rd floor amazing view . Breakfast Executive Lounge great every morning . plenty eat .. fruit , croissant , bagel , muffin , danish , yoghurt ... enough keep go till mid afternoon ! nice room - suite - think bathroom poor quality amount pay . four we share ridiculously small tired looking need serious upgrading . complaint charge hotel hold onto bag 4 hour leave airport . already spend small fortune hotel think greedy hotel ask money . would hurt store bag free hour ! Hilton good round hotel excellent location . 
 Nov 1 2008 	 standard busy hotel 	 stay hilton new york one week . hotel standard hotel incredibly busy multitude people mill lobby . say room comfortable quiet . decor need update left wait long time lift . it fine stay get good rate want good base explore New York . central park block away high room , get good view nyc.the staff helpful apart receptionist check we . 
 Oct 30 2008 	 simply big .. 	 stay 5 night Hilton Honors - free . we arrive unseasonably warm weather find aircon blow hot air ! call reception tell aircon system control centrally nothing could do apart opening window ( really viable give traffic noise , ( would expect NY ) significant . take 4 request fan deliver , disappointing , need use one hotel offer year round aircon . other disappointment cocktail bar close 9 pm Sunday evening place one could get drink & quot ; lobby lounge & quot ; - much seem take family drink soft drink buy outside . my wife decide & quot ; Sarah Jessica Parker & quot ; mojito tell could not mint - would expect top hotel . we use Hilton Honors breakfast fine although queue . everyone friendly could hotel size . room fine . ask late checkout compe we 2 pm charge we $ 25 per hour afterwards think generous Ny hotel . moans , place OK . , 
 Oct 27 2008 	 Hilton every way 	 great place know Hilton like . clean nice room , still price pay think find well place ; service personal all . breakfast really good , nice buffet excellent variety . room average american hotel . 
 Oct 25 2008 	 Good Property Expensive 	 BIG , full service hotel . room nice decent size , especially NYC standard ( note - HIlton Honors floor , room may typical ) . decent location , near Radio City Music Hall Rockefeller Center , couple block subway station near 5th Avenue store . however , business area , neighborhood , mean few restaurant , bar , useful shop immediately nearby . have excellent fitness room . if business nearby , attend event hotel need full service hotel , good choice , especially Hilton Honors loyalist . however , well hotel value location exist merely want clean , comfortable place sleep . 
 Oct 24 2008 	 do not waste money ! 	 Hilton Diamond card holder stay Hilton hotel frequently throughout year business pleasure doubt establishment worse customer service - none , tiny room -i book executive room 41st floor - great view , poor housekeeping - room clean high standard , Exec Lounge joke - cramp , table clean , food quality poor Breakfast offer mean do not use second night . top charge leave bag cost $ 18 two hour despite spend nearly $ 2500 . Hilton Honor Members offer room upgrade ( despite complain wafer thin wall noise fellow guest keep night two night ) american Breakfast despite diamond card status . fortunate stay Waldorf Towers first night NYC - complete contrast despite another Hilton property 1000 % well ! 
 Oct 21 2008 	 take Hilton ! 	 Read review Hilton Midtown , true . yes , crowd lobby wait line check . room available 3 pm , luggage store check early 3 pm . staff canbe short , serve alot customer . the location hotel beat ! . ask anupper floor 31st give room 3340 33rd floor . floor completely refurbish andi recommend highly ! terrific king bedroom view Central Park . air quality hotel outstandingfor city hotel .... bad odor room . check aFriday afternoon tired . loud guy hall hang teenage girl run hall . irritated . ( hotel staff tell contact security noise problem ; ) . bed outstanding tile bathroom walk shower ( tub ) wonderful full force showerhead make happy . brief nap , went sightseeing return around 10 pm . quiet , sleep ok Friday night . never tell buffet breakfast comment . Saturday night stay wasvery pleasant bridal party floor . ironically , check Hilton early expect Sunday , believe could find well hotel ! move Westin Times Square , pay $ 200 Hilton , good room quality , poor air quality , crazy Times Square location ! ! ! next time NYC , say & quot ; take Hilton ! & quot ; 
 Oct 20 2008 	 fine choice though 's personal 	 RECOMMENDED . large property convenient mid - town location , easy walk shop , theater , Central Park various subway station . room tastefully renovate , well illuminated , nice tile bath area amenity comfortable bedding . however , lobby constant chaos , service price ( absolutely reason meal hotel , many nearby choice ) , staff range helpful non - interested , check - in / out pain ( use kiosk instead ) .NYC notorious small hotel room impersonal staff despite negative , Hilton fine choice visit city . 
 Oct 19 2008 	 Functional Business Hotel 	 please stay Hilton NY . stay one upgrade room room clean , spacious , well - appoint . staff friendly service efficient . the hotel extremely large , thus , lack charm . however , business traveler , hotel functional reliable . 
 Oct 18 2008 	 Great Location - shame staff 	 Hilton Hotel - Avenue Americas . partner return five night stay first visit NYC . book king - size deluxe room expedia tell available arrival . receptionist go discuss book someone back room offer we twin room . ask king room would available ask go back next day 3 6 pm , . twin room nice , clean everything need be not pay . cut short first day come back hotel change room tell king room available bed . sex couple - feel much like homophobia we . prove we wrong Hilton ! ! ! ! eventually re expedia speak lovely guy call Lawrence contact reservation manager , Mr Mamood . Lawrence rang back explain hilton oversell room , unprofessional . , hold king room we third day get free breakfast trouble , least could think . find Hilton clean , well decorate , staff extremely unfriendly unless take money ofcourse . intend write Hilton ask policy sex couple stay hotel stay happy wrong . 
 Oct 18 2008 	 Amazing Birthday trip 	 back 5 night stay Hilton New York honestly find fault . arrive early midday check see straight away cheerful member staff behind desk . upgrade room see birthday , room ready we . we go lift expect wait read review problem . 5 night never wait minute fr lifts . our room large beautifully furnish , clean bed huge soooo comfortable . bathroom also nice size plenty gleam marble fresh white towel . we never experiance noise hallway room around we , everytime return room service nothing missed.in experiance hotel top class , friendly helpful staff amazing location . would definatly stay without hesitation 
 Oct 18 2008 	 rate 	 World 's slow check - in start . bed linen wear visible hole several place . room pretty small . mini bar fridge not work , maintenance bring spare fridge dump middle room nothing mini bar fridge . buffet breakfast every day , everything cold greasy . over - cook bacon , congeal sticky scramble egg , toast , hot plate ( plate warmer every day ) , under - cook sausage , stodgy bagel , dreadful coffee next service . waiter actual come table eat lean sigh chair table several minute , never offer we attention excuse . try fresh cook omelette one morning bland could not eat . however location great , within walk distance thing . 
 Oct 16 2008 	 disappointment 	 save grace location . place rundown , poorly maintain manage , high price , service go beyond rude . concierge laughable - give we name restaurant would & quot ; take care us & quot ; - place could not care less . daugther room service - egg benedict & amp ; coffee - $ 51.00 . one evening come elevator outrageous smell - someone deficate lobby . stand ten minute see anyone come clean - imagine ? continental breakfast joke bagel nazi order around . thank goodness enough foreign national work get room clean daily . oh - not forget push & quot ; hotel club & quot ; ( read timeshare ) ridiculous . paper come wall , remote tv ; work not fix four day , tub drain break , dumb shlub bring van gargage house 4 day ( $ 192 ) stand door tell key ' m try load bag child side . sorry Hilton NY - really botched . 
 Oct 16 2008 	 good 	 Hilton New York huge building heart Manhattan , close Times square Central Park near Rockefeller center 5th avenue . ' New York shopping sightseeing , perfect match . hotel indeed crowd , , guess , pretty common Big Apple . room clean comfortable . like design , since business trip , ' wish . breakfast fine – lot choose , great choice fruit . leave 12 pm need luggage store , mind 7 dollar ' pay service . would recommend hotel business stay , would probably choose vacation well . 
 Oct 14 2008 	 Perfect end trip 	 stay last two night 8 night trip America rate highly enough . arrive little weary day Boston able check soon arrive ( 2 o'clock ) able give we room 2 double room perfect , enough space shopping luggage ( 2 girl holiday = much & quot ; stuff & quot ; ) . not sure go meal downtown concierge desk arrange we amazing ! ! find everyone helpful location fab ! ! definitely back ! ! 
 Oct 2 2008 	 poor service great location 	 great location clean room hard find positive hotel . arrive 11:00 room ready , understandably . come back 2:45 pm tell room ready 3:00 pm . 3:00 pm , room miraculously ready . stay Executive level find hard believe somehow finish room 3:00 pm . room noisy one hear everything adjacent room . housekeep erratic maid get room inside without knock . hotel ever stay charge use fitness room , find outrageous . addition high room charge ( somehow expect New York ) , charge $ 18.99 one day wireless internet , almost double usual rate elsewhere . charge literally everything ( guess take cue airline industry ) : fitness room , fax receive , per - bag charge bell desk ( New York custom apparently ) , internet etc . use laundry service . fax send we morning , guy bell desk say could find , decide use business center stuff print ( charge $ 12 ) , hour later notify fax ( charge - waive charge upon complaint ) . pay Executive level , nothing worth note , always crowded check eligibility food selection underwhelme good . addition , take forever elevator arrive hotel big therefore crowd . decide cut stay short leave evening instead follow morning . despite fact prepay night , want charge late check - out fee take explain already pay night . in summary , great location poor service even New York standard . ' ve much well experience New York similar hotel similar price . 
 Sep 29 2008 	 service : beyond awful ! 	 stay Hilton New York business . property well locate clean stylishly decorate . however , service disaster . entire lobby staff obscenely rude condescending , even New York standard . ' ve stay several similar class hotel NYC , nothing compare obnoxious staff . front desk , concierge , info desk awful deal . valet laundry service ridiculous price see hotel class . really pay attention cost , pay $ 70 5 article clothing launder . house keep staff , relatively thorough cleaning , pester constantly . keep odd hour , often room day . even tell one shift want room clean , bother change shift . request room clean certain time entire stay , ignore . also , elevator system hotel painfully slow irritating . stay HOTEL ! ! ! ! 
 Sep 28 2008 	 great hotel . great location . 	 last year , nice , since do remodeling , everything freshen . 's great hotel location can not beat want go Broadway show see Times Square . I unfortunate situation awoken domestic & quot ; incident . & quot ; wife pound hotel room door 3:00 a.m. rouse husband get open door . never answer . security guard come everything . oh , well . least know hotel staff responsive thing . never get back sleep though . : - ( 
 Sep 26 2008 	 pricey average property 	 stay three night business . location great room loud . hear everything hall . even walk hall room hear tv within room blaring . check - in easy quick ' m Gold Hilton Honors member check Platinum Gold Member desk . receive upgrade Executive lounge however receive free bfast every morning . bfast usual - muffin , yogurt , fruit , etc . concierge desk busy always short wait staff friendly helpful . I would stay , would not pay $ $ $ dime . 
 Sep 24 2008 	 TERRIBLE - beware ! 	 terrible stay Hilton ny.first foremost , leave small coin purse room NZ & amp ; AU dollar steal . would thought hotel price range reputation would tolerate petty theft . unfortunately Hilton , despite initial assurance , never ever phone we back reply email complaint . secondly , price pay room tip iceberg . pay US $ 18 use gym , pay $ 1 per minute use internet / pc . daylight robbery - especially use NY Library internet free . not use laundry service - seriously expensive . the & quot ; information & quot ; desk not give we ounce information , instead try get we look condo something - think couple nz'er would market buy invest NY hotel really beyond I . I seriously dissapointe stay , would never stay . apparently Warwick across street much reasonable personable . 
 Sep 22 2008 	 Hilton New York great place stay 	 Accommodation New York seemingly expensive US city . decide pay lot , would stay one large brand hotel least know . New York Hilton well price could find . book TripRes.com . we please choice . room large , comfortable clean , staff friendly helpful importantly , hotel centrally locate , block Times Square Broadway . lot good restaurant around , vary price standard , something every taste . little surprised find HIlton 's mid range restaurant close early , look elsewhere somewhere eat attend Broadway show . we arrive Sunday whole road outside hotel close market , great introduction lot good bargain food offering . the Hilton book ticket Broadway show , also try get Timeshare Club offer cheap ticket , find much well part overall experience go Times Square purchase much cheap show ticket tkts . couple time , see great show , good seat save lot money . although lot people line tkts , line move quickly . do not expect ask question show seating . do not appreciate . need make choice money ready . again unlike US city , cheap get cab airport rather shuttle do not expect much way help get luggage room . the damper New York terrible introduction get arrive Kennedy Airport . arrive Delta part airport least aweful - dirty , overcrowded hustler everywhere , something find illegal american airport . 
 Sep 21 2008 	 1 bedroom suite hilton new york 	 stay one night 1 bedroom suite 42nd floor . ROOM : suite pretty nice . classic decor extremely contemporary quite beautiful . suite compose parlor sofabe , tv , desk , minibar sink bedroom two queen bed , another tv , drawer ample space bag . bathroom bite disappointment . extremely small . view great . could see central park , HOTEL SERVICE : hotel big therefore crowd . arrive taxi bellman nonetheless promptly hand get bag escort we check area . check regular check counter executive floor . zero wait time not matter . on check since late flight ask bellman store bag couple , . forgot mention 's 7 dollar fee per bag store luggage , day hour ! would nice would tell we . anyway hotel , include HIltons , usually store bag check early late free . EXECUTIVE LOUNGE : staying suite give access lounge . evening ( 5 - 7 recall ) offer hor d'oevres . find selection pretty good . can not make whole meal course . morning serve free continental breakfast . breakfast consider satisfactory . negative thing lounge extremely big can not hold guest . queue breakfast , wait 10 minute find acceptable . do dine hotel can not comment that . all would rate stay good top . would probably stay cause location great service good . sure would book suite though . 
 Sep 14 2008 	 expect level ! 	 well , disappointing experience : - breaksfast poor- hotel room noisy , due weak noise insulation . notice room listen tv , follow program ! - restaurant expensice poor- laundry service week end- personnel helfull , room ok , modern clean , overall right level Hilton price . 
 Sep 13 2008 	 huge impersonable expensive hotel great location 	 stay hotel vacation New York City . single good thing hotel location . locate central area convienent . price room acceptable New York standard , breakfast tad expensive . like bell service offer check , check , pay bag store empty conference room . 2 hour ? really unacceptable ! 
 Sep 12 2008 	 good location nothing else 	 come back three day business trip NY stay Hilton NY . hotel huge , lot floor endless corridor . do not want reconized place ny , go even notice ... well , location perfect , middle manhatan midtown good thing Hilton , room pretty small , even ny standard , bathroom even small , toilet sink seem almost place , one . everything inside room look old smell tobacco present everywhere even leave window completely open ( noise would another problem ) .The breakfast good , average almost 30 dollar get something well . the service staff ok , fast helpful pay everything , first time pay store bag hotel ! ! sure go back , good hotel nearby much well space quality price . 
 Sep 11 2008 	 decent budget alternative New York City 	 stay club level $ 100 / night invitation Hilton . operation gear towards sell timeshare property 57th Street 's reason stay unless planning attend sale pitch . get heat argument doorman hail cab without assistance . rather unsettling experience . would stay . 
 Sep 10 2008 	 can not beat Location 	 stay hotel attend wedding Queens . boyfriend never NYC want show Manhattan 's good . hotel perfect home base sightseeing . 's pricey , worth location property . room clean , though tiny . problem stay whatsoever . also like night , many NYC hotel , lock door except main lobby door . must show room key ID guard verifie hotel guest . large hotel , help give sense security guest . easy walk Central Park , Times Square 5th Ave . anywhere else accessible subway bellman valet know subway station would easily get we train need . my complaint suggestion concierge . specific type restaurant look , small locally - own type place great food atmosphere . be NYC , be everywhere , tourist maybe easy find . concierge keep recommend place Times Square , consequently previous trip NY . know say name criterion fit good food . end find place . 
 Sep 9 2008 	 well locate Times Square Rockefeller Center Central Park 	 ( two adult two child ) stay standard double three night July . love New York want everything city offer , can not think well location . hotel within easy walk distance Times Square theater , Rockefeller Center , Fifth Avenue store Central Park . other note , BIG , busy hotel . however , fairly date . room close elevator , hear almost noise . someone note , quite service people hallway . however , not problem we -- make easy get extra towel , coffee , etc . room update new furniture , lighting , flat screen tv . couple note : book be look super view . good be likely get Midtown office building taxis Sixth Ave . also , not bother New York Marketplace restaurant ground floor . be look dinner , hundred eat place within surround block . overall recommendation : be come New York upcoming holiday , perfect pick . 
 Sep 8 2008 	 great experience 	 daughter go bachelorette party shower next day New York City . go 2 week old baby . Hilton terrific help we settle baby . check , bell hop , restaurant staff even park , everyone helpful attentive . room wonderful bed terrific . get great rate ( New York City ) prepay room make reservtion . location convenient . 
 Sep 8 2008 	 Fantastic Location ! 	 Location , Location , Location ! ! ! reviewer say , hotel perfect spot along Avenue Americas . arrive hour check ( Thursday ) get room right away . pleasantly surprised , corner room nice view ever NYC . book regular room 2 bed be exactly get . nicely decorate flat screen tv . bathroom small side , plenty room toiletry , make etc . thing annoy toilet , flush bend reach hand sink , strange . $ $ perfect ! book Hilton website pay $ 299 $ 259 Thurs / Fri stay , worth every penny . check go back @ x - mas time price double sure go back time , price would book every time ! friend NYC celebrate b - day , recommendation ... take Sex City bus tour $ 45 ticket make reservation advance , fun ! tour make stop get free cupcake ! also go dinner @ Les Halles 414 Park Ave , $ 19.99 Steak Frittes ( steak fry ) every day ! steak cook perfectly , dessert great too . we dinner @ serendipity , would never go back ! frozen hot chocolate good , food worth . also check Dylan 's Candy Store ... 3 floor candy , resist ! hope help great trip NYC ! 
 Sep 8 2008 	 forget ! 	 convenient location ( 6th ave , 52e ) old building will not offer anything else.i one executive floor : ridiculous.room : old old old , carpet stain , broken tile , wallpaper coming , miserable bathroom clog tub . cheap old materials.tv : old clunky model . quality channel poor.executive lounge : every body free ride breakfast snack . nobody check eligibility . ( not bother pay executive service ... ) amazed positive review . 
 Sep 7 2008 	 Good Bad Ugly 	 first , good : large hotel amenity expect large , US - base hotel chain . locate Midtown Manhatten , block Central Park Broadway . ny theater , great hotel , get ready leave hotel theater , avoid long line taxi stand simply walk theater , take one many bicycle taxi - be litte expensive regular taxi , short trip , fast , certainly entertaining . location - wise , place great . many staff ( especially restaurant housekeeper ) nice accomodate , even though hotel busy time . next , bad : contrast nice staff mention & quot ; Good & quot ; section , staff helpful friendly - mostly bar staff . see , staff downright & quot ; Ugly & quot ; - read . another & quot ; bad & quot ; thing ( least ) fact hotel extremely busy time . main lobby area , noise activity level pretty much non - stop . folk like , , limited dose , get away , also , although compliment housekeeping staff nice , one little thing room not like . check , bathtub / shower lot hair . , know happen hotel , cheap good , not one hair , tuck away hard - to - see corner . several strand hair , various location throughout tub / shower , also couple spot bathroom . not think ' m alone feel room less fully clean , see . finally , bad side , sporting event want watch ABC . not normally spend holiday time watch tv , want take couple hour watch particular event . turn TV , channel 7 , New York 's ABC affiliate . appear channel 7 NBC peacock . nothing NBC , not show want see . contact service desk four time , fourth call , send service person check . confirm already know - central server hotel 's tv service ABC & quot ; program & quot ; channel lineup . ABC hotel . check TV 's . one know , except call cable service provider , not help , since time find problem , take 5 hour even respond , know long take cable company come fix . time check next day , problem still not fix . finally , ugly : step hotel get taxi , admit make mistake . not pay attention , simply focus goal get cab , not notice line ( 3 4 ) people right , wait doorman put taxi . taxi stop right front we , let customer , begin walk toward get . doorman begin yell ( actually , & quot ; screaming & quot ; probably descriptive ) driver ( although think clearly try send & quot ; message & quot ; - since hotel customer , felt oblige confront directly ) , use abusive language , even curse , top lung . course , problem line taxis wait curb call put passenger , could not allow taxi drop - off cut line . understand , not problem take corrective action . , say early , wrong , pay attention walk take place line , clear intentionally try jump ahead line ( sort thing happen thousand time day , imagine ) inattentive . finally , put we cab , simply grunt slammed car door little hard think not try send message . way politely waive offend taxi driver , politely ask offend inattentive tourist take place line , guy choose go way , frankly , think make everyone stand , even good folk politely attentively take place taxi line , feel uncomfortable . & quot ; ugly & quot ; moment . course , tactic work , sort . will never walk hotel without look right , make sure taxi line wait . hand , may never come back hotel , .... give hotel overall & quot ; average & quot ; rating , location staff really good , negative mention drag overall rating lower . 
 Sep 5 2008 	 Unbeatable Location 	 Hilton New York 's location simply unbeatable be step away everything . huge hotel , busy might add , not get much personalized attention get reliability come Hilton name . lobby area impressive enough business hotel room comfortable . corridor room tad narrow guess New York ! stay non - renovated room could fault . distinctly american feel . Breakfast Executive Lounge ok - really go wrong pastry coffee . 
 Sep 2 2008 	 really enjoy Hilton New York 	 husband return NYC stay Hilton New York Ave America 's . hotel absolutely wonderful ! yes , bathroom little small perhaps , not come NY see big bathroom hotel room . be still counter space place item / get ready not issue . bed super comfy , ask pillow little small . bring we pillow right away ask . also complimentary shampoo , conditioner , soap toothpaste ! check - in easy . yes , line , staff member check people wait maybe 10 min check , get exactly 3pm . one thing notice remote control not work tv walk ( since go NY watch US Open , want able watch part match tv know play ) . well , call Customer Service within min , bring we brand new remote ! read review Cust Serv , not expect , pleased . yes , food hilton terribly expensive , walk block , run several reasonably price restaurant ... food amazing restaurant ! ! ! : ) also , sure ask front desk list recommend restaurant around . 2 page list restaurant within 3 - 4 block hotel ... plenty choose every budget ! ! location AMAZING ! ! ! block away Central Park , Broadway , David Letterman ( way amazing restaurant call Angelo 's bldg ... highly recommend price reasonable ) . not time much city since spend much time US Open Tennis Championships , decide back ny likely stay hotel . question hotel anything , please feel free send message ! 
 Aug 31 2008 	 Fresh Modern ; Outstanding Location 	 spend lot time consider hotel book weekend trip New York August , ultimately narrow Hilton New York Hilton Garden Inn ( 8th Ave ) good review Tripadvisor locate heart Midtown . ultimately choose Hilton New York please 3 - night stay . get pretty good good deal book advance purchase / non - refundable $ 239 rate Hilton website . make sure book newly renovate room -- be call & quot ; deluxe & quot ; website cost . room good part stay Hilton -- - new fresh , lead bedside lighting , really cool table lamp , flat - screen tv , Herman Miller chair ( room look exactly like picture website ) . room good size bathroom smallish nicely do marble . strong point : staff generally helpful , location 53rd St. ( right across moma ) can not beat . weakness , hotel indeed huge cater many many guest , staff manage everything well never find hotel 's crowd - ness problem . check - in line move quickly wait elevator not bad . real weakness Hilton try nickel - and - dime : breakfast mini - bar item shockingly expensive , charge internet ( will try offer several different level internet service ... get basic $ 14.95 internet service .. plenty fast ) . however , avoid fee , Hilton really good deal , ' m definitely go return future . 
 Aug 30 2008 	 great location helpful staff 	 Hilton great location walk Central Park , Broadway show , shopping , restaurant . hotel full stay three night see U.S. Open . room ready check time , ready within hour staff store luggage give we drink bar , need rough flight ! room small comfortable . bathroom tiny need new shower curtain . bed amaze comfortable important thing . breakfast good pricey . walk Avenue Americas one block great breakfast Astros instead eat hotel . staff good arrange transportation group ten back airport . , good value consider prime location Manhattan . 
 Aug 29 2008 	 Great Renovation 	 like hotel renovation , absolutely love even . standard room still big New York , location not get well . close Central Park , Rockefeller Center , Times Square . still believe one family - friendly hotel NYC . still big boisterous , employee handle situation well . I upset rate increase since renovation , still believe good value . 
 Aug 27 2008 	 rip - never 	 stay Hilton Time Square two night . two night many . come end stay America , first time child , want treat fabulous hotel EXECUTIVE FLOOR ! ! ! ! ! ! joke . reception staff pleasant , good job tip . room need decoration , shower powerless although room large positive thing ! ! ! executive floor Executive , one laptop TEN floor constantly use stressful guest extremely rude staff intervene . constant queue breakfast call snack even worth return hotel . thing free water coffee tea , available room anyway . money definitely waste stay standard room read comment hindsight say Marriott . stay Hilton Rome completely different experience experience Hilton , never return Hilton Hotels , second bad experience . 
 Aug 25 2008 	 Great Hotel - Perfect Location 	 arrive Hilton New York August 15 3 night . extremely pleased . staff professional courteous - helpful . pleased room . read review bit concerned happy negative experience . room quite spacious two we clean . normally sleep well hotel bed extremely comfortable . the location well . five minute walk central park , Time Square , shop Broadway theatre . never take subway easy walk anywhere want . selection restaurant neighbourhood also excellent . I would definitely stay come back New York . 
 Aug 25 2008 	 great location would stay 	 Booked Hilton New York wife 's wedding anniversary . stay NYC 4 day ( 3 night ) , Hilton New York great launch place visit . 4 day , end take subway ( get Ground Zero ) , walk everywhere go . hotel within easy walk distance Times Square , Central Park , Rockefeller , CBS studio , NBC studio , great restaurant many shopping spot . the experience hotel satisfactory . we , check - in take long , quick check - out ( leave key room ) . room nice , 2 small problem ( e.g . TV initially work ) fix within 10 minute report customer service . we get good price room , deal future - would not hesitate stay ! negative experience high cost parking hotel , true almost NYC hotel - although Hilton high average , offer valet service secure underground lot . 
 Aug 20 2008 	 Location offer 	 's location look great , like . specifically request bath tub , bath tub small room tiny bathroom shower , sink space toilet close sink hit elbow everytime . refurbish queen deluxe . deluxe can not imagine small room . couldnlt order room service unless wanted eat bed table etc use . beer bar cost husband $ 8.00 ridiculous . charge use gym , charge we incoming fax , charge everything . centerally locate $ 500.00 night guess expect . 
 Aug 11 2008 	 good choice New York 	 large international style hotel convenient , reasonably quiet location short visit New York . two Queen bed room fair size city centre hotel adequate need family four . lift fast get bit wait peak time . hotel Starbucks rather restaurant decent restaurant within easy walk . staff welcome arrive midnight . we would stay . 
 Aug 9 2008 	 disappointing 	 return 3 night stay . disappoint standard hotel attitude staff . initially give room 20th floor - desperate need renovation . tired - shower curtain mould bath plug break ! however , close lift sound though hurricane continuously blow . cut long story short , move renovate 33rd floor room . much well perfect . attitude staff helpful feel though hotel factory ! however , location excellent huge positive . 
 Aug 5 2008 	 Good Hotel thing need working 	 stay hotel previously two year ago delighted see refurbishment work carry . makeover good bath replace outstanding glass door shower ... honestly one good shower take month . designer also excel light bottom bedside table come automatically motion sensor . I use restaurant excellent place eat New York comment food beverage operation . actually notice bar close bit early bar busy hotel . I lock room approach bell desk get replacemnet key . tall african american gentleman rude tell uncertain term & quot ; JOIN LINE & quot ; promptly repeat even sterner tone . wait line 30 minute get key change problem hotel 's fault . protest receptionist get distinct impression fall deaf ear . one major annoyance fact floor become assault course day litter dirty laundry throw carpet staff congregating corridor totally oblivious fact need get by . dirty room service item never collect promptly generally give hotel sloppy appearance . at night utility room would wedge open stay open assistance vacuum cleaner . despite fact hotel large busy good place stay give location . think management tackle basic houskeepe issue would little gripe . 
 Aug 4 2008 	 Renovation really show room - room 1137 great 	 stay two night part group meeting apprehensive last stay prior major renovation awful . delighted find renovation fund largely put guest room spacious city standard , include functional furnishing include bedside reading light easily turn without get bed , compact well equip bathroom , mini bar , iron gear , spacious wardrobe closet , etc . room 1137 overlooks atrium area 6th ave 7th avenue quiet - another unusual factor NYC hotel room . bar upgrade bit lobby still warehouse - like abuzz thousand people pass daily . security main entrance also step night somewhat reassuring . Lindy 's restaurant back door stage Deli skip coffee shop restaurant food high price . interpretive action Coffee shop restaurant put poppy seed Thousand Island dress creative , plain bad . 
