bad 	 friend check W Hotel Court high hope will similar W Hotels . let beginning till checkout . first , hotel elevator constantly break , even ridiculous thing hotel blame US stall elevator . not even ask okay , instead try cast blame we break elevator . even ridiculous thing not even shut . two elevator , avoid break one , since interest plummet death . not know name staff work Court , recognize none friendly situation we . secondly , room key never work , get new room key everyday , say magnetic strip & quot ; de - magnetize & quot ; easily . not even bother try day 1 , go front desk every time come back hotel . thirdly , hotel housekeeping non - responsive request cleaning room , live cheap either . three day , bathroom pile towel floor dirty . time get good service order room service . overall , good trip . 
 good hotel right price ... 	 reasonably impressed W Court . the room clean nicely decorate although starting look little bit tired around edge . get corner room probably help impression hotel . like lot hotel & quot ; somewhere 4 5 star & quot ; category one much pay . get cheap rate , pay $ 200 night feel good value money . be pay lot might start feel like 's rip off . the staff friendly efficient . example , one guy bag taxi ready go whilst check walk straight cab leave finish . 
 sadly go downhill . strongly recommend stay elsewhere . 	 background : stay twice W - Court 2007 2008 , respectively . strength experience previous stay , book two night stay Thanksgiving holiday year . sorry stay W - Court particular trip could disappoint subpar service , amenity room . first , hotel 's elevator fix throughout duration stay . two elevator adjacent fit 5 - 6 people max . imagine , one , nearly impossible get hotel without 10 - 15 minute wait elevator . 11th floor , not really option we hike . instead , wait wait . situation get frustrating desperate guest would pile elevator ( imagine 10 people elevator design 6 ) , would cause elevator get & quot ; stuck & quot ; floor . , imagine wait 10 minute elevator go room , getting say room find key hotel room long work hotel inadvertantly & quot ; locked & quot ; room . exactly happen we . twice . second , internal phone W - Court work . call front desk , say , ask wake call room service , ring busy ring ring . finally try call external line get . tell front desk attendant internal line not work , acknowedge problem say & quot ; switch phone company cause inconvenience . & quot ; Note stay hotel November 26 - 27 another reviewer site note problem November 16th ! 's 10 day non - functional phone ! okay , get front desk use external phone order room service Saturday morning . hour half later , still food . go downstairs ask whereabouts room service tell food & quot ; accidentally deliver W - Tuscany ( note W- court w- Tuscany immediately next door eachother ) & quot ; . although front desk offer send another room service order , decline , give whole room service business . lastly , bathtub drain need serious repair . water pressure shower quite good , even get shower , tub back water . time do showering , stand 3 - 3.5 inch stagnant water . ask front desk fix discover problem Thursday night , one ever come . stay room 1104 management incline reading review fix problem . upon checkout , speak Aline Urkumyan ( manager time ) problem characterized & quot ; small issue . & quot ; suppose right , outlined & quot ; small . & quot ; however , look event aggregate , make aggravate unpleasant stay . would never , ever stay suggest read thinking stay , please avoid unless make vast improvement . otherwise , great disappointment . 
 Jul 4 2007 	 Wonderful W 	 friend book long weekend New York Expedia . first impression hotel entrance immediately obvious immediately give help staff get bag cab - leave we say could get room ok . lobby quite dark small like chocolate brown decor . lobby smell amazing well burner sort complimentary tea ( english breakfast aromatic stuff ! ) . staff friendly welcoming check we quickly . room decent size satellite tv cd player comfortable huge bed ! bathroom quite old funny shape fine need . complimentary Bliss toiletry bathrobe nice touch , daily newspaper deliver room . drink bar area couple time return shop gorgeous Christmas tree - drink pricey bar though . area hotel good , round corner Grand Central Station , pretty central easy get anywhere get shuttle back airport breakfast Pershing Sq couple time . view window Chrysler Building appreciate . the comment would make radiator whatever room extremely noisy make noise night would probably bother light sleeper - tired be not problem . 
 Jun 22 2007 	 confirm reservation mean room 	 come late Friday weekend stay . late arrival across country , confirm late check - in . use concierge arrange airport pickup , even call airport prior departure confirm late check - in car service . I arrive find give ROOM away ! good news 1:00am travel day . couple line front tell go another W , room ! obviously upset front desk , could not care less inconvenience . & quot ; relocated & quot ; another hotel night , tell move back next day ! want holiday weekend ! apology offer trouble , upgrade room suite . rest stay fine , room , date , comfortable . bathroom tiny , ' m sure 's unusual nyc.good location , option available mid - town , would definitely low list . 
 Jun 18 2007 	 Pretty Good 	 Three we recently stay W Court girl weekend NYC . overall enjoy stay , room good size two queen sized bed , perfect three us . bathroom tiny feel old , Bliss toiletry nice . hotel locate relatively quiet part town offer complimentary Acura service nice touch ( drop us train station check ) . hotel bar great place grab drink . think next time would rather stay W Union Station since well location shopping . 
 Jun 12 2007 	 great hotel 	 stay W Court Hotel . great location mid - Mahattan . offer complimentary car service take anywhere city ( p / u however ) . Bliss Spa amenity even appreciate husband . staff accommodate room comfortable . 
 Jun 5 2007 	 great place hold 	 quest try ws NYC ( far Times Sq 7/10 Lex 5/10 ) , book Court weekend getaway . rather pleased . hotel subdue W standard still stylish . ( sister property next door , Tuscany , even low - key . ) lobby appeal - look like invite living room complete typewriter poet - bar ( Wetbar ) part W - affiliate Whiskey blue chain . not try restaurant look appealing . I spectacular room step regular wonderful room . nice comfortable good sized bathroom . even space loveseat next comfortable bed . Room look like well furnished studio local rather bland hotel room . also W standard 30 '' hdtv lcd.location quiet side short walk take Grand central terminal . check - in staff courteous usual room service lightning fast . nice touch Acura promotion get free lift soup - up SUV dinner reservation . overall , pleasant experience . Union Sq hopefully soon ! 
 May 21 2007 	 romantic hotel ... 	 great hotel ... room 16th ( top ) floor , view Empire State Building . people complain wear - and - tear room : room perfect , airy , bright , amazingly large NYC ( corner room 3 window ) . quiet big city . check - in quick ( less 5 min ) efficient . restaurant food surprisingly tasty original . 
 May 5 2007 	 not order room service 	 hotel cool room service meal AWUFUL ! hallway dark room fairly nice . need refinish furniture , lot wear tear room . bathroom need cleaning . may stay location room average . 
 May 1 2007 	 great location 	 husband recently stay W Court 4 night please experience . , location good feature hotel . able walk everywhere want go , subway close need ( difficulty get cab either ) .Our room MUCH large anticipate ( especially bathroom ! ) , pleasant surprise . room clean , large , decent view . complaint hall noise level .... door seem kind spring slam really loudly leave close . also , beside elevator squeaky . additionally , find plumbing rather loud ( not bother husband ) .We please hotel staff , polite friendly . drink WETBAR Thurs . night ... nice atmosphere . my favourite feature Bliss Spa product room . love body butter much walk Lexington main spa facility buy big tube ! lovely time ! 
 Apr 29 2007 	 Great Hotel ! 	 stay two night hotel January . hotel pretty funky . service great . clean hotel old building . room modern plasma tv' . the fault find coffee maker room - standard W Hotels ' m tell . , Starbucks bloack bit away great breakfast cafe block away well . the restaurant area agr great .... not fleece either ! location awesome . couple block Grand Central Station Chrysler building couple block otherway Empire State building - must see first time traveller list . I would stay rate ! 
 Apr 27 2007 	 Stars one 	 front desk greeting way start stay -- tell guarantee non - smoking -- , & quot ; will try & quot ; -- attitude seem & quot ; could ask ? & quot ; rather welcome ! ! room queen / queen ( non - smoking ) update bathroom -- tiny ! ! turn - down , room service dish hallway 6 p.m. till 10 next morning several room floor . room develop water leak ( one 's fault ) move HURRY REALLY SHABBY , small room floor -- tell Manager available , upgrade available 'd & quot ; try see could next day . & quot ; stop front desk night theater say definitely want moved suite , tell fully book . speak front desk mgr next morning tell second room intolerable , say really & quot ; dismayed & quot ; -- premise , suite set aside we . & quot ; not get message ? & quot ; message . huge disconnect staff -- manager act tho fault could not read mind . move -- -- suite -- bathroom size postage stamp ! ! insane -- three room four night , two really four - star experience . could go -- couple exception ( two smile face front desk ) -- concierge less interested helpful suggesting restaurant -- good experience . charge one night -- receive preprinte apology note ( lead believe apologize far often ) friend leave day -- escape botique hotel block away -- learn lesson . W be not be crack . 
 Apr 20 2007 	 Nice Hotel Nothing Spectacular 	 book 5 night W Hotel want stay mid - town Manhattan stay couple W hotel New York around 4 year ago . the location hotel excellent could not central boyfriend plan see thing Manhattan ( Meatpacking District , Times Sq , Statue Lib , Central Park ) ideal choice . we book suite nice lounge large bedroom nice bathroom . almost much space we dollar rate good , $ 250 per night rate not seem extreme . would go small room know complaint ! bed huge mod con like flat screen massive tv condition room not excellent - carpet shampood often bit wavy worn crack ceiling . the bar downstairs gorgeous trendy empty go - think place like place around 4 - 5 year ago ( although honest , not know 's replace boutique style hotel maybe good get ? ) .concierge service fine ( although one building know could ask taxi take we Ellis Island ferry - strange ! thank goodness taxi driver know ! ! ) .The court right next W Tuscany hotel believe share restaurant - not know not eat . make wonder be walk past though pick right hotel ( grass always greener ... ? ) .Do not bother get breakfast hotel , 's gorgeous bagel shop right outside get bagel , coffee juice 2 $ 10 ! overall good experience wow hotel NYC many time one stand . stay location not splash high tier price room . 
 Apr 4 2007 	 common area bite shabby 	 weekend 3x2 deal frosty mid February ; arrive separately miss flight central Mexico ; one help bag , upgrade & quot ; fantastic & quot ; room medium size quite adequate short stay . the common area wear dirty . location great , despite cold , walk nearly everywhere ( ex : son / dil 's house Battery Park ) .We return NYC late May , decide stay Park South Hotel 28th Street hotel bargain May . M 
 Mar 22 2007 	 Pefect Hotel 	 upgrade amazing suite ( 1101 ) view living room Chrysler Building bedroom Empire State , stay like part cast & quot ; Sex City & quot ; day . welcome lobby tea fresh fruit send room welcome , people work W - the Court know hospitality . almost every request meet perfectly ( small one not -- speak easily correct ) .The living room suite two overstuff chair great leather sofa , widescreen LG HD TV . bar area way fridge ( expensive ) item . go across street buy bottle Stoli olive -- -and hotel send ice glass martini complement hte evening . gaze window sip martini , able browse numerous art book magazine room -- listen cd order & quot ; whenever / whatever & quot ; service ( also send couple great current dvd 's watch bedroom flat screen ) . bathroom , large , small -- -and bathtub great showerhead instant hot . product Bliss , blissful . lot clean towel every day . the bedroom ? king - sized bed , great sheet . room could make dark want . tv also flatscreen . cd / radio player need improvement -- -an ipod docking station would appreciate ! hear be put satellite radio room will cool . and walk - in closet ! Manhattan ! build - in cedar drawer , lot wooden hanger , extra blanket pillow , iron board . cool lamp abound , make lighting place different mood easy . lobby free wireless , avoid $ 14.95 plus tax daily broadband in - room service -- hopefully hotel go completely wireless soon not sit lobby check email work crowd down cocktail uber cool ( comfortable ) lobby lounge , call & quot ; Living Room . & quot ; one last note : location superb be game use public transportation . three block south Grand Central give access eastside line , Times Square Shuttle , well easy mobility transfer crosstown line . 
 Feb 25 2007 	 W Court - Fantastic W Hotel noisy 	 W Court ( well Tuscany ) 39th St bet Lex Park ( go West ) . be great central location central NYC . dimly light lobby room fit usual mood w chain . room spacious comfortable , especially amazing $ 209 rate [ -- ] . service fantastic , bellhop room service . complaint room face Lex really noisy ( Sat night ) . would useful ask ' low noise ' room . 
 Jan 20 2007 	 Great Location NYC 	 stay husband January two night . great location visit many neighborhood NYC . swanky lobby bar . room nicely decorate comfortable bed . critique elevator slow time line . also , wait long time room service bag hold we check . staff nice . would definitely recommend hotel . 
 Jan 18 2007 	 Amazing Deal Suite - wonderful Weekend @ Court 	 get Fantastic Suite $ 330 night - beat anywhere city ! family friend enjoy wonderful weekend ( January 12 - 14 ) W Court . two couple four child ( age 3 - 8 ) Fantastic Suite adjoining room . two room three plasma first time actually watch hi - definition feed hotel ( usually plasma without hi - def ) . fantastic suite roomy ( almost 700 square foot ) great couch pull bed kid . empire State Building hover north side building . since room face North right , however go window look see – still , pretty cool . food good , service good totally surprised find Mercedes Class wait outside take Four Seasons ( lunch ) . tip pretty good basically Class call weekend . want walk hotel right action hotel . ' little quiet neighborhood , perfect we . want great italian dinner try Salute right street . w right next door Tuscany – ' sure difference , Court well bar scene night – really go Tuscany ' bar seem dead . complaint whole weekend : exterior window need wash take 1.5 hour security open adjoining room . 
 Jan 9 2007 	 would stay week 	 stay 3 night fantastic suite . large suite , amazing bed , large flat - screen comfy couch . 9th floor wonderful view chrystler bldg lex ave . complaint check - in elevator painfully slow . otherwise great stay . would definitely go back next trip ny . 
 Dec 20 2006 	 Wonderful W 	 location excellent , walk distance short everywhere , still quiet location , beautiful room , luxurious great beauty product , Bliss . staff friendly . I wish could always stat W hotel $ regular outing . 
 Dec 18 2006 	 W Court : nice ! 	 nice room , great bedding , window open fabulous view NYC . good service , although checking - in take forever . though , apologize . 
 Nov 26 2006 	 work well ... 	 family recently stay W Court Hotel New York . review many summary trip advisor , find traveler right target . hotel nice , dark . amenity would like travel upscale location , lack polish nice hotel . front desk conceirge tryie hard , normally able fulfill request , service spotty time . the room basic , although work well family . spend little time hotel , two room suite ( sit room attach bedroom ) work two child . two tv 's definite help . linen fine , nothing special , bed comfortable . bathroom serious need update , heating cool questionable . however , comfortable week change clothing blanket . overall , pleased save serious money Ritz ( second choice ) would love well shower . summarize experience . we probably would try another hotel next time , pinch W Court work we . 
 Oct 27 2006 	 Great Place fantastic bargain 	 fantastic horel . staff could not helpfull , room gorgeous . bed large comfortable , room walm welcoming , really well style . loby small , well light , nice furneture welcoming . possibly one good stay ever ! 
 Oct 19 2006 	 terrible experience 	 Booked hotel Starwood web - site . arrive 9:30 pm hotel oversell - always amazing force provide credit card number confirm charge not show . anyway , available smoking room . 7:00 meeting not choice accept . first , dirty room . second , room disrepair . air conditioner work cleary abuse . room 4th floor Lexington avenue . noise loud could not think . decide use in - room cd player provide background noise . cd player not work . tv receive small selection channel none local channel available . summary , can not expect quiet oasis Manhattan , street noise unreal Manhattan . room dirty dis - repair . recommend hotel $ 400 + , well Manhattan . 
 Sep 30 2006 	 Wishful W 	 stay W Labor day holiday ( 4 night ) . insist travel partner stay W experience . choose court location due size room . room spacious NY standard . lobby decor usual hip style ( music , smell , sight ) wonderful . front desk staff helpful knowledgable . room spacious though blah . lack wall color dissappointe bath toiletry replenish daily . major issue spend time enjoy city . significant issue toilet clog . my main complaint regard less special treatment recieve hotel reward member . could get room upgrade request high floor deny . contact hotel stay , yet hear anything back GM . ( surround Area ) hotel close madison 5th ave . , however several block near subway . like walk certainly walk Times Square . although , every time walk Times Square catch cab back . impressed room dining option suggest try diner cafe Lexington Ave . overall , hotel decent , though would stay WOW expect . rate would stay close subway sacrifice small room . area hotel pretty quiet would prefer middle , maybe Times Square Union Station area . 
 Sep 7 2006 	 wonderful hotel 	 stay Tuscany , next door , year ago overnight love . well , Court not dissappoint . time three us room stay three night . cot air mattress addition Queen size bed sleep two three night honestly could tell air mattress . Slept wonderfully . really enjoy room 's size . large enough three we walk around comfortably . closet drawer locate nook vanity well . simply open one closet door provide privacy need getting dress / change . also , quiet important , ask courtside room . will hardly hear traffic . and yes , elevator small slow . however , w pipe club style music dance trip seem short , really horrify foreign midwestern tourist ! 
 Sep 4 2006 	 Warm Welcoming wonderful ! 	 Stayed W Court August 19 - 21 weekend business trip . first experience W New York . stay hotel room lot weekend try get work do . upon checkin let know upgrade room corner suite low floor excellent inspirational view Chrysler Building . New York , low floor always bite noisy , one quieter location work well . room large comfortable . whole W experience get bit tired ... decor long cut edge like ... candle entrance replace led ? ? ? , bed still get ... wow . staff great ... especially check - in concierge . hotel seclude enough feel like middle town , block hustle bustle Times Square , Grand Central , etc . fire alarm test drive crazy Monday a.m. ? do ... would appreciate in - room notice test going happen . overall , excellent location + comfortable room + great service = happy return customer . 
 Aug 28 2006 	 great ! 	 first time stay New York City . different place stay choose W. Located & quot ; posh posh & quot ; location impress . go lobby dark , yet modern chique . great service friendly worker . elevator cramp 3 large suitcase people . arrive floor , little small move around . however g ot room suprise find small . make expcetion new york , know tiny apartement , would hotel different . yet plain white wall not excatly help fall vibe room . go bathroom ubstruct step make lose balance . queen bed ( 2 ) small , consider Canada like double . overall think great hotel stay . place would not want bring kid 's perfect 30 - 50 's age . 's somewhat seclude location lexinghton ave yoiu absoultely traffic ! . 
 Aug 26 2006 	 Lousy Place 	 stay 3 night experience NY see Color Purple . I disapointe upset choice make . the building old - which mean lot noise . ( elevator , door open closing , people hallway ) stay suite 7th floor frighten awake couple check next door . sound like room ! w chain keep property dark old drabby building create scary atmosphere rather seductive . suite full brown decor make situation bad . peel paint , water stain ceiling awful view . I could hardly find valet attendent . hail cab , open door . even hold door handicap woman two crutch . $ 400 . per night receive well . would never stay location again . btw . male bartender next door W Tuscany also snobby jerk . 
 Aug 15 2006 	 modern comfortable 	 husband stay two night quick get - away . location perfect- literally 3 block Grand Central Station . many many restaurant around- formal expensive super cheap- lot selection . room comfortable . yes , little small side , Manhattan ! everything clean . hallway little noisy- wake 4 am people floor come home late loud- nothing outrageous . would definitely stay without hesitation . 
 Aug 1 2006 	 Sharp modern 	 fiance stay W court weekend late July , find accomodation adequate . newly remodel hotel similar style function Kimpton 's Hotel Rouge Washington D.C. : lot black , white , red , sleek modernly elegant . check breeze ; think spend combine two minute front desk . hallway somewhat dark ( clean ) matter time day , add cool , noir mystique . room nice size , comfortable king size bed , large writing desk lush chaise lounge situate window , nice view Chrysler Building . need assistance staff , comment regard service . large selection dvd desk , freshly bake cookie leave guest . recent Rolling Stone magazine leave room , make sense crowd hotel attract : young , hip twenty thirty - something . the lounge downstairs great spot late night drink . location good wish avoid tourist - fill Times Square crowd around Penn Station , yet be three block Grand Central Station . would stay . 
 Jun 24 2006 	 love place ! ! ! ! 	 get back trip New york City . origionally . loved location . people front desk nice . room get suite 7th floor . big , bright , comfortable . really impressed . clean , nice bed . feel like apartment . would reccomend W highly . picky & quot ; hotel snob & quot ; , come we , be get good ! enjoy . 
 May 21 2006 	 Noise whenever Wherever 	 oasis calm middle Manhatten . someone else mention poor sound proof . get street face room one low level say goodbye sleep . even loud air conditioning keep horn . one complain much street noise stay Manhatten . unfortunately begin . moved & quot ; courtside & quot ; room find wedge room full partying college student ( 11pm-3am ) room full partying 8 year old ( 6:30am 9:00am ) stay W birthday party ( eight year old 's birthday party W ? really ? ) . faction treat hallway w extension room , run hallway obscene hour either drunk booze sugar . extent can not blame w rudeness patron , would nice bouncer pose hip bar could bother walk around floor bit stop w devolving alternatively frat house Pee Wee 's play house . last night thing seem quiet party courtyard start live BAND play way late hotel . almost comical . need oasis middle Manhatten , get sleep deprivation . 
 May 4 2006 	 ok great 	 good service . old building put nice decoration . room small . bar actually another W street . good location though . great . 
 Apr 29 2006 	 stay W 's starwood hotel general 	 amazing neg comment lighting , bar , food , hotel general .. w .. get ? ..... want big well lit hotel personality please stay times square leave hotel one appreciate . staff great especially Shelby Amaira check we . place perfect regard staff , room location . food choice , NYC , go explore neighborhood since ton place breakfast lunch within block , eat hotel dinner , blame since NYC great restaurant every block ! ! ! glad stay stay ! ! ! ! ! w people unite .. other go stay hilton 6th ave ! ! ! 
 Jan 16 2006 	 great room ok service 	 hotel great location , 3 block Grand Central . room huge excellent w typical amenity . problem heat / cool well , much like one would anticipate stay old building renovate . bad part experience , food option hotel day ! ! ! disappoint open breakfast / lunch / dinner guest check in / out . hotel bar great evening crowd , , open day ! want relax enjoy , not available . 
 Oct 24 2005 	 whatever whatever whatever 	 wife check W Court blustery October night . get room , freeze : cold air blow heating unit . call downstairs , direct W 's whatever , whenever guest line , end experience refer whatever , whatever line , since seem 's hype attitude versus good old fashioned service . engineer send , tell we suspect : heat hotel . say could ask portable heater . call downstairs , whatever , whatever person tell normally would give we portable heater ... . ask speak overnight manager tell not pay $ 450 night stay freezing room . make sound standard operating procedure heat ... despite fact 40 outside . tell acceptable . , tell would see could get heat turn ... give fifteen minute . fifteen minute come go ... course , heat . finally , time , finagle , insist move another W .... point credit Starwoods Account . point , midnight , repack , get car , move downtown , think pay night . manager say not possible . finally get W Union Square around 1am . I feel handle perfunctory cavalier manner .... almost request heat outlandish . the Union Square well , cavalier , fake - hipper - than - thou attitude prevail , well . w serious deliver service , need slogan . need people deliver . 
 Oct 19 2005 	 Cool atmosphere cool service 	 stay property 4 night March suite . use 1 reward night pay $ 175 remain 3 night . purpose trip girl shopping weekend city . overall , hotel ideally situate room large . although smoking room , provide we ionic air purifier , amazingly work quite well . large sit area pull - out bed , large walk - in closet , fridge , comfy bed , etc . complaint whatever whenever service slow bathroom bite small awkwardly locate . bathroom could access guest , without first walk bedroom . room size really least 1.5 bath . I echo early comment lobby hallway dark , ambiance W hotel . we great shopping weekend . 
 Jul 11 2005 	 Fabulous Location 	 recently stay W New York - Court girlfriend great time . one - night short weekend city girlfriend want find nice midtown spot near Grand central station . probably know , sometimes hit - or - miss NYC . definitely HIT . everything hotel perfect . arrive hotel early ( 11:00 a.m. ) able get right room . woman front desk ( Nova ) kind accomodate explain area well . upon arrive room , nice . yes , previous poster mention lobby bit dark - care ! room clean great ammenitie . cordless phone , great toiletry ( girlfriend love miniature stuff stuff average ) , two bathrobe nice , cd player ( CD ) next bed even DVD / VCR combo ! ( not use ) . not use mini - bar , well stock whatever might need . it hot city air conditioning work great . bathroom bite small , might need stay city . bathroom complaint might towel little small , 's bad problem be good shape . obviously , W & quot ; Dream Bed & quot ; outstanding ! view not spectacular ( building ) , not care . be look nice , clean , stylish place modern decor , ! pay $ 249 per night room , go rate NYC . feel go $ 200 per night , could trouble far cleanliness . overall would say fine hotel . three block Grand Central Station easy walk Subways , cab even bus JFK Laguardia airport . afford slightly high rate , would strongly recommend ! 
 Jul 11 2005 	 Enjoy W -- Court 	 terrific location within 15- 20 - minute taxi ride everything Manhattan . clearly , & quot ; residential & quot ; feel ; almost forget be stay hotel . ample breakfast , lunch dinner choice within step , on - site ICON restaurant winner . staff : among personable professional anywhere . room large well - keep typical W furnishing . bathroom unexceptional , BLISS bath product plus . overall value NYC : 9 10 scale ! 
 Jun 9 2005 	 good experience Court 	 always want stay W hotel , read review , think Court would good one ( good rate W Hotels NYC ) . good . reviews state , really good location . close anything , still get residential feel . also , quite good restaurant one two block hotel ( Lexington ) . Fagiolini accross street , Belluno door , DaCiro block direction Lexington . breakfast , Blooms Delicatessen ( one block hotel Lexington ) nice alternative Hotel 's restaurant . 
 May 28 2005 	 impressed ! ! ! 	 arrival W Court walk lobby , totally dark .... stand around long line wait check . line hear staff member taking call other check unhappy room . room realize bathroom tiny ! also , familiar w/ NYC look city information room none every time go lobby either nobody desk long line . dvd rent , call get one not one want , finally find movie take hour bring room . second day realize shower soap shampoo replace use first day . end check day early happy w/ accomodation . looking & quot ; trendy & quot ; hotel w/ much service W Court give , otherwise try somewhere else . 
 May 17 2005 	 nothing spectacular spectacular suite ! ! ! 	 arrive @ 10:30a.m . expect drop bag , delighted check we right away . check - out also quick simple . bell service front desk friendly helpful . concierge - resourceful ! yes , lobby bit dark ( everyone else repeatedly point ) 's really big deal . create nice ambiance trendy . great want drink dinner hang out . the room par . room 11th floor face east - therefore & quot ; spectacular & quot ; view consist nearby rooftop . yes be true , room large NY standard , $ 300 + per night expect little comfortable bed . furnishing exactly see photo , rug look old , wall need new coat paint , equipment ( tv , phone , etc . ) outdate . . . adjoin small bathroom ! overall , room look dingy meet Starwood standard mine ! room service menu limit , give option select ICON 's menu ( hotel restaurant ) . food great arrive quickly . bell man recommend great little cafe one block away call Cafe Trend . clean , quick , lot choose . great breakfast , everything egg white , bagel omelette . good location ! close many tourist attraction , shop , excellent restaurant . lady beware - hotel spa . place get manicure , get one leave home make appointment way advance known salon / spa . tell front desk go W hotel 47th Bliss spa , accept walk - in 's . arrive , advise misinformed book month . go back hotel , advise concierge misdirect two nearby salon . completely book . hour fifteen minute suggestion , realize manicure would wait get home . 
 May 16 2005 	 great location great service 	 Loved hotel , bed well home . location perfect see NYC 3 day . & quot ; Spa & quot ; product be ice cake ! 
 May 9 2005 	 Shabby chic take whole new meaning 	 return long weekend W Court NYC . let start positive : staff extremely friendly helpful . front desk quickly fix small snafu reservation . CD 's movie want room within 15 minute . even able point direction restaurant vegan option close hotel . , point niceness .... be good front desk . work sub - par & quot ; W & quot ; property . front entry hallway deceptively nice ... perhaps 's dim lighting . maybe would keep lamp low room would impressed . , furniture covering grody stain , wall dirty , room never clean properly , air not work . & quot ; Suite & quot ; ! grant , huge room New York , not picky detail might fine , disappoint pay $ 250 + night hot , stuffy room clean every day maid leave . know stay property ... 's live standard starwood . 
 May 8 2005 	 Queen Court 	 one night stay pack daughter NYU . fast , efficient , cordial check perfect response request quiet room high floor ( spite AARP discount ) . previously note , palatial size room NYC beautiful view Empire State building . enjoy heavenly bed usual ( could anyone complain bed ? ) . convenient location everywhere city , much well Times Square . nice little restaurant cafe closeby . assume replicate live nice NYC neighborhood . request improvement would adequate lighting bathroom , perhaps makeup mirror 52 year old eye ? low lighting may make look well reality day light could scary . stay W Union Square terrible experience spite pay twice amount pay Court . staff physically attractive Court act though actually assist . W Union Square feel though not quite good enough stay eye . , first experience stay alone hotel fantastic ! definately make Court first choice daughter 's next three year nyu . 
 May 5 2005 	 big room New York 	 well , not stay everywhere , sure feel like big standard hotel room New York . bliss product bathroom not suck , either . pleasantly surprised , although W still adhere strict & quot ; light allow lobby & quot ; policy , finally start equip room unusual amentie ( unusual W ) like table lamp floor lamp bulbs strong 15 watt ! complaint restaurant Marriott Overland Park , KS one thing - local fine dining option severely limited ( Applebee 's anyone ? ) ny , lot option , many step away . Court & amp ; Tuscany locate amidst great little bistro , restaurant , 
 Apr 18 2005 	 Good Value NY 	 surprise size room- quite large ny standard . get good deal ( senior citizen discount ) $ 230 . room clean bathroom ( although little small ) staff helpful location convenient see sight around NY.My complaint air conditioner keep shut middle night . the hotel lobby little dark- bad night somewhat annoying suring day . 
 Apr 13 2005 	 Disapointing 	 Dirty , noise , attention important detail hotel even less rating . old run attempt mask problem modern decor . good bell staff concierge service enough make limited ammenitys poor upkeep housecleaning . 
 Apr 8 2005 	 great value big room pleasant service . 	 past stay hotel room NYC small trip bathroom involve negotiation planning . problem W Court . room ( 816 ) beyond large . large living room sofa bed chaise . bedroom large comfortable queen bed . large tv room , internet / interactive keyboard . fax machine . large desk / work area . acre closet space 3 closet , real wooden hanger , iron board iron . nice thick towel smallish bathroom nice lemon / sagey Bliss product . when arrive three night stay Friday PM check pleasant experience . warning .... enter lobby W street sunny day bit disconcert lobby , hotel general subdue lighting . throughout stay find staff helpful , pleasant knowledgeable . doormen heroic service flag taxis Lexington Ave . rainy night . ask ice every afternoon arrive door less 5 minute time . Breakfast Frontier restaurant one block east 39th ( recommend previously review ) great bargain morning coffee toast . handy convenience store right across Lexington hotel sell fresh flower , fruit snack item . neighbourhood quiet easy walking distance , short cab ride place interest . glitzy large hotel want feel come home NYC apartment long day play tourist place . complain hotel phone & quot ; whatever / whenever & quot ; button ? 
 Mar 12 2005 	 great room terrible service 	 W 's great hotel -- ' ve stay many -- Whatever / whenever mantra instill culture anymore . long time ago , yes , much now . my room great . huge , MASSIVE Manhattan standard . always well - design well - apponite . great Bliss product , excellent rain - water showerhead ( although , ' m partial Speakman / heavenly head ) .Now bad stuff , W need retrain entire staff . last 4 5 visit W awful due staff screw up service issue yet one W screw . restaraunt time eat seat awfully long . poorly time . appetizer come late give almost time eat . food great take forever get . , eat lunch next day , alone barely anyone , two appetizer ( meal ) take nearly 30 minute get I . I problem w room , even small one super comfy . really , simply live Whatever / whenever promise . oh yeah , almost forgot . UPGRADES , even Gold SPG level Amex Platinum card . ' ve never hotel true 100 % occupancy even ask upgrade ( along card SPG level announce ) , rebuff , say simply no.starwood well get act together , point , ppl start go four season Mandarian . hell , even deal idiot Ian Schrager properite . overall , great ( room ) stay , go eat elsewhere not expect Whatever / whenever anymore . change name , maybe . 
 Mar 8 2005 	 Fantastic hotel . 	 Stayed W ( Court ) three night March 2005 boyfriend . location : short walking distance 5th Ave shopping , Broadway , Times Square , Central Park , Empire State Building Grand Central Station . easy hail cab outside hotel get location Manhattan ( alternatively , walk Grand Central use subway ) . however , many decent bar immediate vicinity apart W 's bar i.e . wet Bar ( Court ) , Cherry Bar ( Tuscany ) Whiskey Blue ( Lexington ) . would advise catch cab go East Village well bar buzz nightlife . STAFF : friendly , helpful good - looking . WETBAR : busier big Cherry Bar W Hotel next door ( tuscany ) . expect pay London price drink hotel bar . friendly advice woman : not wear short black mini - skirts bar otherwise will get mistake one waitress ! ROOM : good sized room . huge bed . funky decor ( although slightly worn ) . great choice in - room movie . good range drink mini - bar lot chocolate sweet . loved Bliss product . room service always prompt . overall : would definitely stay Court . Liked boutique feel hotel . definitely young person 's hotel , one parent grandparent ! disappointment not many good bar area . venture East Village well nightlife ( short cab ride away - approx £ 5 - 're UK ) . however , glad stay Midtown area . tourist give we & quot ; NY & quot ; feel i.e . high - rise building , Empire State Building , Broadway , Times Square , 5th Ave etc . 
