good 	 Stanford well situate Korea town , close Macy 's good shopping . although NYC business also downtime able enjoy delight city offer . room small side , one elevator present huge problem we . bathroom clean sheet towel smell freshly launder . back hotel overlook window present problem either quieter street side . crane neck could see sky able see weather dress accordingly . breakfast bagel , doughnut carby thing - bun , roll , toast etc , ok . staff helpful pleasant . mid - town struggle find restaurant korean one stay open late . 
 Jan 4 2007 	 GREAT VALUE HOTEL 	 stay Stanford Dec 28th - Jan 2nd . overall impressed hotel consider price . great location clean room , good sized bathroom . breakfast also adequate . room get hot night , nothing complain . would rather hot cold ! 
 Jan 2 2007 	 excellent last minute find 	 stay hotel November 4th 2006 4 night . due marathon run weekend , room hard find reasonable rate . after read several review web site book stay . well run , clean hotel . staff friendly , room well maintain day . adjoe restaurant coffee shop seve excellent food . loctaion hotel perfect explore city centrally locate short walk ( 1 minute ) underground , Times Square 20 minute walk , Empire State Building block couple minute walk away . in previous review people mention elevator slow , slow modern elevator what s hurry ? take easy remember old building enter street pace life speed ten fold , be nice nice relax enviroment . heating also mention , warm however find control locate behind cover side radiator cool room comfortable temperature . I stay numerous hotel even expensive one flaw would not not expect price pay . the Hotel Stanford give excellent value money exceed expectation would definately return future . 
 Dec 24 2006 	 Big Room 	 normally aim share bath hotel could not find one room available Stanford cheap hotel could find good review . we pay $ 219 large room -- ' m think call King Suite . give flight 5 hour late arrive 1 am , would lying not say nice bathroom room ! hotel korean part Manhattan close Macy 's . staff Korean . personally think 's pretty cool see little neighbor within nyc.our room right street -- next hotel 's sign . bit noisy first night not hear thing second . the bed comfortable . room huge . lot hot water shower . subway stop right corner . big complaint elevator situation -- one morning always fill people luggage high floor . give bounce luggage stair . 
 Nov 23 2006 	 good last - minute 	 hotel nice enough last - minute , decide right come New York stay hotel . 's nothing special -- tile bathroom little dingy , bedding suspect / yellow , television bad reception . room spacious New York 's nothing outstandingly repulsive place , good New York . overall , would go place else extra $ 100 spend hotel stay plan stay awhile New York . 
 Nov 10 2006 	 could well ! ! ! ! 	 return 7 night stay Stanford Hotel . the hotel centrally locate could get tourist attraction walk take yellow cab ( relatively cheap ) . staff friendly helpful answered question need help . if go soley shopping Hotel 5 minute away Macys ( lot baragain ) .The hotel offer complimentary breakfast . good way kick start day . however , day arrive intial room allocate smoking room , dirty need thorough clean . however , informed request non smoking room room change next day room non smoking floor . ( room allocate depend avaliablity , even request non smoking room not mean get one check -in ) .The non smoking room stay clean clean day high standard . room temperature hot control centrally hotel , mean could turn temprature room . room air conditioning unit little help tempature high . the great pitfall hotel elevator . hotel one highly inconvienent take time arrive call . 
 Nov 8 2006 	 Great Hotel 	 return Hotel Stanford . King Suite sofa bed . room renovate nice . huge bathroom . 11th floor . complaint hot . call nites heat turn air turn . continental b'fast adequate staff nice helpful . tell we subway take , sell we ticket Empire State Building would not stand line . great location . good value . 
 Nov 2 2006 	 good value nice hotel good price 	 reasonable price ( ny price ) get nice clean room centric area . recommendable , go back visit ny again . only but : although room spotlessly clean arrive , little cleaning take place stay ( 2nd day , 3rd day ) . also upon arrival , strange smell room , kind pipeline smell . later never notice . 
 oct 24 2006 	 2nd trip Impressed 	 remember first time , air conditioning ! would think October would not need , 80 degree room , . staff friendly , bed old dingy . breakfast limit , excellent location . 
 Oct 15 2006 	 great find ! 	 friendly , clean , hospitable hotel great location . price offer everything need girl shopping weekend . also twin room available , seem bit scarce cheap hotel book . view window brick wall not spend time room room spacious enough parade store bargain shopping trip . easy walk many place interest subway close allow we explore afield . lift problem we not need wait long occasion . small comment site lead expect something much small . reception staff helpful sorted shuttle bus return airport save we money . breakfast bonus reasonable variety kick start day . we feel hotel safe would hesitation stay future . 
 Sep 28 2006 	 Great Hotel Excellent Location 	 originally book Thirty Thirty Hotel Sunday newspaper investigate cancel spend age look another hotel Trip advisor - eventually settle Stanford . after read review abit nervous really surprised - yes middle Korea Town ( basically street ) short walk end street typical New York . hotel staff friendly lift be not bad , ok walk stair bad 5 day stay . room spotless bathroom immaculate . downfall window look onto alley window dirty busy enjoy New York care . New York fantastic can not wait go back - hotel perfect explore Empire State Building around corner subway end street . I would certainly recommend hotel would go back stay . 
 Sep 25 2006 	 bad ! 	 staff friendly , room clean decent size . location pretty amazing - especially price . would definitely stay hotel . 
 Aug 17 2006 	 good not feel like New York . 	 say title , definitely good aspect . comfortable well furnish room , include small fridge lucky get room rear top floor probably one good view hotel ( roof small building shopfront next street - well straight brickwall hotel ! ) . price base previous stay NY hotel , impressed type furniture room cleanliness include breakfast . the lift PAINFULLY slow . level 12 take stair way fast lift ! ( elevator ) location reasonable . be central , stay another hotel rate well location ( tourist ) also well round even though cheap low rating . quite street Times Square literally 5 metre subway station two line run , make up . the let say title - & quot ; New York . & quot ; reviewer , will not fault service . attentive eager help - several ordinary question package deliver . handle well . but New York ! expect loudness , arrogance bit attitude . arrive walk , instantly disappointed . bustle atmosphere staff thick accent , sometimes hard understand . ( hotel middle Korea town ) . hotel also heavy international tourist problem , wish have know . expect hotel full loud Americans . New York atmosphere , hotel stay later compare ten time favourably this . sometimes breakfast waiter would talk cheerfully asian language asian guest respond nonchalantly muddle English we . find disconcert - expect guest show level service attentiveness . 
 Jul 16 2006 	 enjoyable stay ! 	 July , friend stay Hotel Stanford 5 night vacation . lovely stay without problem . front desk staff helpful ask question get around New York . room 2 twin bed , tv , mini fridge , phone , clock radio . bed comfortable room quiet ( 9th floor ) . request upper floor since afraid noise karaoke lounge 2nd floor would travel room . unfortunately , view brick wall not care . daily housekeeping - bed freshly make fresh towel give we . request iron ironing board without problem . last day , receive fresh towel request housekeeper floor . apologetic slipup give tip deliver fresh towel . overall , room clean tidy come back daily outing . the big bonus complimentary breakfast morning . plenty coffee , tea , cereal , milk , sliced bread , bagel , sweet pastry , juice , fruit . even see korean instant noodle ! hotel locate middle Koreatown . thus , see number asian clientele . absolutely delightful since food New York rather expensive . breakfast staff polite helpful . hotel close major sight like Time Square , Theater District , Macy 's , Empire State Building , Fifth Ave shop , Penn Station . subway step away . great 99 cent shop nearby provide we cheaply price food , cold drink , toiletry . big bonus tourist ! minor annoyance . one elevator hotel . need lot patience wait . take stair head downward . shower pressure not strong would like work well . overall , problem whatsoever hotel . think 's little gem need advertising amongst highly expensive New York accomodation . definitely stay Hotel Stanford . 
 Jul 11 2006 	 great place stay -- Hotel Stanford NYC 	 June , 2 college - aged daughter , , friend , college - aged daughter stay Hotel Stanford . please stay . location BEST ! close many thing . walk Times Square , Rockefeller Center , Empire State Building even Central Park name . subway station close also use . problem check check . room consist 2 double bed , couch roll , small refrigerator . plenty room 5 we . bathroom also clean . call extra towel washcloth always promptly deliver . continental breakfast ok . consist pastry , toast , bagel , cold cereal , fruit . get early good selection . last day flight leave 7 pm locked luggage check allow we hour tour city . feel safe staying tour NYC . great time would definitely stay . 
 Jun 17 2006 	 great many unexpected way ! 	 return pleasant 6 night stay Stanford . mother - daughter trip NYC graduation gift daughter . shopping , sight , show focus trip - want hotel conveniently locate , safe , clean . Stanford meet expectation , exceed . ? ? ? two reason ... # 1 ) STAFF amazing . everyone front desk staff , doorman , housekeep responsive every request eager offer assistance . one stop front desk , daughter ask might get hair appointment neighborhood . without hesitation , desk clerk pick phone arrange appointment stylist day . daily basis , staff provide we information assistance make trip go smoothly . # 2 ) location - 32nd W Broadway Fifth Avenue ! subway station corner , Macy be around one corner , Empire State Bldg around -- - , add bonus Korean - american adoptive family ... Stanford smack middle Koreatown ! wonderful korean restaurant shop along 32nd St . within day return home , recommend Stanford other korean - american adoptive community . will definitely return Stanford . 
 May 29 2006 	 overall good hotel 	 overall good hotel NYC , excellent location clean room nice bathroom . 
 May 2 2006 	 good deal ! 	 friend & amp ; book hotel April visit march protest . get one large room , 3 ( two double & amp ; sofa pull - out ) . check - in quick & amp ; easy . room clean , comfortable , & amp ; quiet . complaint slow elevator . also large room Avalon stay February . hotel middle Korea Town , Broadway & amp ; 5th Avenue West 32nd Street . although offer free breakfast , never eat since either get late elsewhere breakfast time . Brooklyn Bagel Cafe corner 5th & amp ; W. 32nd good place stop & amp ; 2 internet terminal upstairs eat . empire State Building around corner . 2 drugstore & amp ; Starbucks ( must ) within one block hotel 5th Avenue well . interesting cultural experience , get body scrub & amp ; massage combo Spadium couple door towards Broadway hotel . : ) apparently not get many Americans one guest speak sauna & amp ; ask like America . 
 may 2 2006 	 worth price 	 get back NYC stay stanford 4 night . pretty much expect . room decent sized .. clean . nothing fancy extra fine get ready morning sleep night . staff helpful nice . breakfast more good .. lot bagel bread ... wish fruit thing like ... include get we way . would stay look budget hotel . 
 Apr 19 2006 	 great hotelbig room 	 stay 6 night stanford hotel.our room deluxe king size huge bed real comfy seat area sofa bed , needed.great bathroom , black marble top sparkle clean.tv , video fridge plus room safe.our room 805 front hotel.free continental breakfast handy need get early room small.staff could not fault , polite , helpful held bag 3 hour prior taxi jfk.we well pleased stay , room book direct website $ 1238 in.good deal large room manhattan.my minor gripe bar lack atmosphere , problem we irish ! go ahead book , dead ! 
 Apr 12 2006 	 Close Empire State 	 stay stanford 5 night think generally good . 3rd floor view window brick wall . however problem we . bar 2nd floor surprised noise travel room . complimentary continental breakfast great , bathroom clean overall room bad size . hotel close Empire State Building Macy 's . would hesitate stay . 
 Apr 12 2006 	 Great Hotel - Slow elevator 	 arrive service excellent . room spacious large bathroom . water pressure perfect ... place seem quite clean old . provide fine Continental Style Breakfast perfect we save we many breakfast . surround primo korean restaurant .. never go wrong go . complaint lock door . would never work & quot ; credit card key & quot ; . almost everytime come back need go desk get new key . price within range ... last time go New York stay Queens take bus subway town save money . splendid place ... could afford & amp ; could walk everywhere . Greeley Square beautiful Times Square play nice walk away . day leave , Sunday , 7th Ave . shut street bazaar wonderfully ... get pair silk king size sheet thing . excellent ! ! 
 Apr 8 2006 	 excellent base long weekend New York 	 daughter & amp ; return perfect long weekend New York . perfect infact make go back work even hard ! spacious twin room locate rear hotel ( fridge , safe & amp ; lovely bathroom ) warm noise could occasionally hear traffic siren . ok not room view - skyscraper tall building part New York ar not ? staff helpful guy serve breakfast breakfast room always smile face courteous . breakfast choice cereal , fruit pastry certainly suit need . lot moans groan tripadvisor hotel book Stanford Hotel , book warm , comfortable , clean , atmospheric base central location sight shop certainly get pay . look real 5 * accommodation New York - Remember pay ! ! Stanford Hotel excellent find everyday comfort . 
 Mar 16 2006 	 hide gem . 	 block Madison Square Garden , block Empire State Building . great place stay incredible price . 
 Mar 15 2006 	 location ok . 	 use Trip Advisor extensively research wedding honeymoon think would good idea give feedback . we stay Hotel Stanford Blizzard ' 06 . heating room not work time . ask ask ask ask fix . five night without heat middle winter not good epxerience . one day , smell come , heat . cold , would wake middle night shiver . husband kick bit fuss , avail . end head cold staying - time wedding ! would not stay free . 
 Mar 10 2006 	 Friendly 	 spend 3 night daughter Hotel Stanford . read hotel Korea Way sure expect - need not worry , everything fine . hotel run Koreans many korean / asian guest , well plenty Americans Europeans . reception staff always helpful polite . try ring friend local number room several effort still could not get - go reception make sure not charge member staff say have try 3 time automatically charge . however , could see not lie delete charge bill even rung number reception hand phone - not get charge ! leave bag secure area reception last day problem either - give concierge well - deserve tip collect them.the hotel convenient major sight - ESB Macy 's minute walk ; also Manhattan Mall Penn station . walk pretty much everywhere - right Central Park also use subway get Greenwich Village South Ferry go Ellis Island . problem 's subway station step hotel . 's also little cafe right next door coffee & amp ; hot chocolate & amp ; cake ! breakfast basic : cereal , bagel , pastry , juice , tea , coffee fruit available . 's serve small bar area get busy go wrong time ! serve throwaway plate / cup not restaurant - problem atmosphere relax . be one lift not wait long ever . view twin room , room spacious New York , bathroom , everything clean tidy . good thing traffic noise room mean good night 's sleep sightseeing shopping ! would definitely recommend price range . 
 Feb 26 2006 	 psitive experience would stay 	 husband visit NYC Westminster dog show February stay Stanford Hotel 32nd street . ask non smoking queen get double take one night . tell we could change large room next day . give we lovely king size room sit area nice beautiful bathroom . staff extremely friendly helpful . we find room clean . enjoy stay much would definately stay . 
 Feb 21 2006 	 not enjoy sleep Place ! 	 although not like neighborhood much , room little seedy looking -- dresser drawer not fit right , wallpaper peeling , several screw hole scuff mark wall , try good attitude , settle watch Olympics unfortunately room near hotel bar , therefore treat sound American Idol wannabee wail karoake bar ( thunderous applause ) 1:00 a.m. , point radiator begin clank loudly , someone bang pipe hammer ! last 30 second , loud alarming . finally drift , 2:45 a.m. abruptly awaken sound like bus pan full dish drop floor right outside room . People assume clean - up staff ( clean bar karaoke ) begin talk laugh loudly hall . could not believe seem absolutely concern wake guest . 3:00 , pipe start clank . actually funny point ; resign get terrible night 's sleep . 5:00 pipe start . 8:00 get bed , pack bag check , two day early . move hotel 20 time nice wonderful weekend . would never , ever , go Hotel Stanford . 
 Feb 20 2006 	 great hotel expect 	 1 . hotel situate koreatown ( nice cafe resturant ) 2 . nice room view empire state building right next door ) 3 . nice staff ( SPEAK ENGLISH ) 4 . location hotel short distance Penn station , macys , empire state .... 5 . complimentary breakfast basic ( bagel , cornflake , muffin , coffee ... ) however nice free ! hotel provide everything anyone would need 
 Feb 5 2006 	 bad word say 	 read previous review site , bit worried hotel room , need not bother . room good size , fantastic view Empire State Building . staff extremely friendly , held bag arrive room ready , also check give we time explore get flight . the breakfast good , even get sample chinese pastry Chinese New Year . seem catty comment site fact hotel koreatown , never problem . alot restaurant street open 24 hour mean come home evening , still option drink alongside fanstastic food . would hesitation stay Stanford hotel . 
 Jan 26 2006 	 great budget traveler 	 okay , be Hilton . one figure room $ 200 NYC . must say though people not come New York stay hotel room . yes , locate begin Koreantown side hotel Broadway . never feel unsafe . except open large window check view realize screen 12th floor . careful child . can not say enough good location though . staff simply fabulous ... call restaurant we , hold luggage check left evening , even complimentary breakfast not know include . room two twin bed ( perfect girl weekend ) look exactly like photo website . wall bite thin , hear rowdy neighbor night call front desk immediately send someone problem . would not recommend honeymooner , people want spend money see New York not want hotel compromise service , place . 
 Jan 22 2006 	 reasonable Budget Hotel 	 return 2 night stay Stanford . hotel really bad price .... get pay . although nice hotel stay , price make ( $ 107.00 per night ... Expedia ) . room small small hotel stay Manhattan twice price . room clean bed comfortable . bathroom good sized excellent shower pressure plenty hot water . room also fridge nice keep water beverage cold . our room locate rear hotel make nice quiet night even window open . free cont . breakfast nice . subway enterance less 100 ft . front door ! ! would not pay much would return without hesitation . 
 Jan 11 2006 	 see New York budget 	 hotel great location , central & quot ; touristy & quot ; place . staff mostly korean , korean section town , wide variety restaurant ( buy anything place call & quot ; Cafeteria & quot ; across street - really bad food ) . subway station step right hotel , corner Broadway St . also within walking distance Empire State Building . Times Square short distance away , well shop Fifth Avenue , Herald Square big Macy 's . free basic breakfast every morning 7 - 10 . stay 12th ( top ) floor - $ 110 / night terrific price , consider 's Manhattan . con side ? know want double bed , small hotel room ' ve ever stay ! hallway lead room narrow well . super clean , really dirty either . maid helpful fix break shower knob , front desk get extra towel . little mini - fridge room . radiator / heater make sporadic noise middle night - tell whole hotel like . since come NY sightsee , stay hotel room day , minor dissappointment would stay budget want basic decent place stay . 
 Jan 11 2006 	 not even think 	 ok 's thing , , the hotel locate koreatownand 's one thing would enjoy nyc.the staff struggle english , room smell , depressing , tv set like 50 year old , room small , horrible thing mouse trap , well not see rat around short stay , one night , seriously 2 mouse trap room.actually ' m write review ' m stayingat Hilton Times Square , spend 4 lovely night girlfriend hilton 's planning stay 4 night stanford spend one night , decide hell budget go back hiltons.i would not stay Hotel Stanford even pay stay . 
 Dec 20 2005 	 great value 	 certainly Ritz , Stanford Hotel clean , polite , location , 6th 32nd street . suite , typical New York , small clean well stocked . Located Koreatown , feel safe street , blast manager jazz bar hotel . budget minded traveller , hotel definately good find ! ! ! 
 Dec 8 2005 	 great stay 	 little concerned reading review , satisfied hotel . staff helpful -- immediately let know cheap room available , much appreciated ; able check early ; store bag check . room small clean pleasant . ( view narrow window disappointing , though . window dirty look narrow gangway real daylight come . also , room light overhead , operate switch door , inconvenient pleasant , either . would not hurt invest bedside lamp . ) bathroom good - sized , clean , look though recently update , nice amenity . ( , minor annoyance fact exhaust fan -- get quite loud -- activate automatically light could not turn . ) breakfast adequate get go . room small refrigerator , also appreciate ( coffee maker , ? ) elevator slow , use stair time anyway . could not well location : everything nearby , woman travel alone always feel safe . 
 Nov 29 2005 	 work well we 	 travel NYC Austin birthday . boyfriend never NYC look somewhere midtown work within budget . location perfect we , fly Newark , take train Penn Station , walk couple block Stanford . also make go back Newark easy . empire State right around corner ( must first time visitor ; go easy ) . room decent size , 11th floor , actually kind quiet ( first NYC ) . clean fresh towel morning . also fridge keep drink . breakfast , stop pastry / coffee shop part hotel , good . also , like korean food , hotel right place . suggest seek recommendation want try restaurant street ( go , run time ) . overall would recommend folk NYC see city plan hardly spend time hotel . hotel staff ( nice we ) also hold luggage Sunday since check noon , plane not leave till 7:00pm . 
 Nov 15 2005 	 ok nothing get excited ... 	 stay Stanford 8 day end October 05 . honest , price general area quite high . hotel room basic enough . other say , room could really good vacuum ! small double room 7th floor . bed fine , clean well every day . fridge room safe big bonus . window look Empire State Building - nice thing wake ! breakfast scramble ( eggy type ! ) , generally opt get something night Deli across road grab coffee doughnut breakfast room . hotel really well situated Midtown , walk shoe , be within block great sight . subway station end street , give great access everywhere . talk reviews wireless internet . never really work , price , $ 10 day rip - off , take laptop across street little cafe 5th floor , could get email etc $ 2 . Staff Stanford really pleasant helpful . ok ' independent ' traveller not mind lack luxury , ... 
 Nov 9 2005 	 not stay ! dissapointe ... 	 stay Stanford 4 night whilst New York run Marathon . dissapointe : hotel run , room grubby , breakfast poor ( particularly New York standard ) . impressed staff either - customer service seem low priority . liberal expectation ' budget ' hotel Manhattan , pay $ 950 4 night accommodation expect Stanford offer . make effort look elswhere - will not regret ! 
 Nov 8 2005 	 great value 	 return four night Stanford great time . slightly worried review find everything satifactory . location fantastic feel safe staff helpful . room large safe room plus . room slightly & quot ; warn & quot ; ok . edges carpet could do good vacuum could not really fault anything else . free breakfast fine although room little small . choice hot cold drink , plenty pastry , doughnut , cereal , fruit , bagel etc . great value money . save cost hotel give we extra £ 300 spending money . Fab ! 
 Oct 29 2005 	 Stanford Hotel pleasant surprise ! 	 two friend return week 's stay Stanford Hotel ( girl week NYC ) . concern room would like price - inexpensive NYC ! . delighted accomodation . room size adequate . two twin bed roll - a - way extra charge . room clean staff accomodate ask extra towel etc . room also small refrigerator unexpected bonus . price room include continental breakfast every morning adequate start day . location great , easy walk Times Square close several restaurant night deli carry kind food beverage need want hot cold food , bottled water , juice , fresh coffee , fruit vegetable . hotel locate near Manhatten Mall , Penn Station , Empire State Building , Macys . feel safe neighborhood surround hotel hotel . double lock room door doorman good job watch come hotel . would hesitate stay hotel return visit recommend friend . 
 Oct 26 2005 	 Loved Staying Stanford 	 stay week find accomodation absolutely A - one budget hotel Manhattan . clean room clean , cold fridge huge , light closet sizable safe inside , plenty hot water good water pressure deliver . room back view Empire State building ( ask room b side hotel back ... side look onto another building ) . two minute walk subway , central everything . Cafe Muse , downstairs lobby , feature excellent coffee amazing pastry , many korean inspire , delicious . wonderful korean vietnamese restaurant right outside door , well 24hr take deli across street . never feel afraid neighbourhood hotel . Stanford beat expensive budget hotel , Ramada East Side , stay last year , every way . staff helpful , friendly eager please . loved stay , absolutely ! 
 Oct 11 2005 	 Skip one ! 	 California family stay Hotel Stanford 's large suite week mid - September . room 's size one nice thing say . feature 2 double bed , sofa sleeper couch , recliner chair , dresser , small refrigerator , plenty spacious 4 people . price also right , benefit not enough offset negative . Hotel Stanford locate Little Korea adjacent Herald Square . conveniently close store , subway station , many midtown sight . unfortunately , feel like stay Third World country , foreign hotel . neighborhood seedy , smelly , jammed people .... middle class american tourist ! hotel staff struggle English even minimum amount customer service one would expect Motel 6 . next time know enough stay american hotel level service accustom . the hotel handicap accessible not try handicapped room . routinely ask basic amenity soap towel , feel staff look we like steal linen . suite shabby clean mold shower , sort thing . light thing work . nice tile seat shower though . room coffeemaker , continental breakfast joke . week could not even get hot cup coffee , cream . also find cockroach room . never see ice machine , least able keep pitcher cold water little refrigerator . the bad problem , however , ventilation system . weather hot humid week , air conditioning work room ..... bother turn . first room a / c , move we different one , every day would randomly turn . thermostat room not work , air seem control somewhere floor . a / c , get quite bit cigarette smoke somewhere seep room vent , smoke even bad . pour vent heavily could barely see across room . clothe luggage smoke - damage time return home . ( suppose non - smoking floor , a / c not work floor . ) two we end sick left , ' m sure poor air quality not help . I stay old lovely little boutique hotel american city Europe . one ! one relatively inexpensive New York , class . 
 Oct 6 2005 	 love hotel ! 	 seriously can not understand last review hotel derogatory . week ago stay location five night love everything room location ! foyer resonable size helpful staff seemingly know everything - even able talk we knowledgably set wi fi connection lap top . the room much big imagine lovely big bathroom , walk wardrobe modern decor . also , room safe prove invaluable could lock laptop ticket whilst avoid worry ! breakfast nice - could take pick selection bagel , pastry , doughnut , cereal even noodle two juice , tea coffee available drink . the stair rather narrow find problematic , '' even attempt use lift room second floor . the location amazing - short walk East Village Times Square / Broadway / Macys close Empire State ! fact , end Macy 's day result close proximity ! short , four star hotel without pricetag . friendly staff , great location , free breakfast lovely room . could not recommend highly ! 
 Oct 3 2005 	 Good Location . Mediocre Tiny room . 	 stay Stanford see Paul McCartney Madison Square Garden 09/30 choose hotel location MSG , review Trip Advisor pretty good , compare other price range . our check - in smooth , however , person front desk neglect inform we follow morning Korean Festival take place park 32nd Street ( directly across street hotel ) , would car 8:00am would stuck 6:00pm festival end 32nd Street reopen . it not 12:30am concert , head room notice plain white flyer post wall state street would closed . early morning people , yet unwound concert , desire leave prior 8:00am end drive home 1:00am night . not real happy lack information . understand hotel control street closure , however , staff could informative could park elsewhere save us alot hassle . needless say , pay $ 200 hotel room basically use change clothe . as room , small keep clean . bed uncomfortable , tv old fridge keep thing luke warm good . towel bathroom clean , however , bathroom itsself tub disgusting . the picture room bathroom greatly enhance website . if look reasonably price hotel great location stay 1 night hotel . anything , pay extra get nice place . lastly , bit apprehensive Koreatown , however , ton activity go great restaurant doorstep . never feel unsafe . MSG literally 2 block street . 
 Sep 29 2005 	 Hotel Stanford - awful great . 	 Hotel Stanford much small budget place . ' fairly conveniently locate 34th Street Broadway right next subway station , Manhattan Mall Macy ' . delight Times Square 10 block walk suitably energetic one stop subway . couple nearby bar Jack Dempsey ' W 32nd pretty good excellent food ' wild night well head Village Hells Kitchen well selection pub . the Hotel seem cater korean market ' client seem whole well good proportion staff . the room small even New York standard could probably bit basic redecorating . linen towel clean replace day . room facility basic safe welcome addition . bathroom functional clean ' expect load fluffy towel . air conditioning great even low setting ' really get room totally cool comfortable , fact even malfunction arrive get Front Desk arrange engineer get go . the big minus room bed . double name design far small person . ' 5 ft 9 inch , hardly giant even find bed small narrow , another person bed became cramp uncomfortable . the Hotel relatively quiet although end corridor 9th floor , partial view Empire State Building . ' still well try sleep use ear plug NYC never really get quiet even dead night . we ' take offer complimentary breakfast comment . in general would say Hotel basic functional . clean so - so staff fairly convenient want explore New York tourist . the cost room probably little top get budget hotel take chance . low rating place base comparison well experience past budget Hotels Edison , Milford Plaza excellent Belvedere much high standard place buck per night . 
 Sep 27 2005 	 never 	 overseas visitor .... stay 10 night ....... ongoing problem a / c .... room hot .... a / c turn accommodate guest ....... little help management ....... ask bedsheet change 5 night ...... breakfast joke ....... lift slow ...... lobby smell strongly fish cooking restaurant .... never would one find distasteful accommodation Australia price rangeonce bite much twice shy ....... put damper overall holiday 
 Sep 19 2005 	 great value 	 Three we stay hotel Sept 16 - 18 . $ 200 per night hotel great value . big room 2 queen bed queen sleeper sofa . view 32nd st . , well brick wall . hotel heart Koreatown provide interesting cultural experience . great 24 hour korean bbq directly across street . go hotel 's lounge drink please friendly staff . check Cafe Muse right next door hotel great gelato pastry . great place stay would like near subway , Penn Station , Madison Square Garden , Macy 's Empire State Building . 
 Sep 19 2005 	 Wonderful Hotel 	 friend stay hotel last week please . room tastefully decorate clean . great bathroom , water pressure good , tub large enough take bath . location hotel could well . close attraction subway . staff friendly helpful . stay twin room bed little firm extra pillow would nice . great place stay great price . 
 Sep 13 2005 	 ok . raise voice ! 	 show place one night stand . know , totally . room give price horrifying . complain get well room , still roach bathroom overall vibe pretty disconcerting . 
 Aug 23 2005 	 convenient clean good value 	 nice location , one block Penn Station , Koreatown , 24 hour korean restaurant next door . clean , quiet . inside room essentially view , feel slightly claustrophobic drape draw , acceptable . a / c little weak : could get insufficiently cool . overall , price range ( $ 150 - 175 approx ) , good value much , much well nearby one ( Hotel Penn , New Yorker ) . would unhesitatingly recommend . 
 Aug 20 2005 	 Basic good 	 stay Stanford 3 night begin July find adequate need . really central location , minute walk Empire State building . room comfortable little old fashioned , reasonably price . breakfast much write home though ! mention review , lift slow not hurry get anywhere ! ! 
 Jul 17 2005 	 Great Place ! Great Value 	 stay hotel three day girlfriend . find ! ! ! ! location superb , close everything . room immaculate renovate . cozy clean ... price . hotel could well . furnishing atmosphere hotel seem like 240 dollar per night hotel . gem ! planning trip NY not want pay excess 300 dollar night , please go hotel , happy , spend extra buck go . 
 Jul 1 2005 	 Rockin ' Good Deal 	 get back trip write review Stanford . not expect anything fabulous , hotel 139.00 buck night , boy happily surprise ! room small comfortable clean . bathroom immaculate shower pressure awesome . room clean well every day maid staff great . bunch channel t.v . , vcr , refrigerator , great thermastat control room . we zillion question New York front desk staff helpful friendly every occasion . even remember we name . hotel 24 hour desk service 24 hour security reassuring . hotel super close subway stop 2 block Empire State Building . Walgreens , Bank , 24 hour deli , Macy be within walking distance . great location ! drawback small slow elevator lack view room . window face brick building beside hotel . be look reasonably price clean , comfortable hotel choose Stanford . 
 Jun 18 2005 	 highly Recommend Hotel ! 	 stay Stanford one week June 2005 expectation exceed . the location hotel could perfect . be right beside beautiful area call & quot ; Herald Square & quot ; , find everything need ( include pharmacy , Starbucks , Macy 's , Gap , Manhattan Mall ) .A 10 second walk front door hotel bring NY Subway . 2 minute walk take Penn Station . the HOTEL LOCATION could well ! ! ! room - not know get lucky , room awesome . huge , beautifully clean perfectly decorate / furnished . amazing air conditioning ( 90 ' Farenheit outside every day stay , room cold could want ! ) .You superb fridge room , 30 - channel tv vcr ( handy ) . ensuite bathroom STUNNING - , huge , luxuriously finished . the staff could friendly - simply outstanding . complimentary breakfast freshly bake croissant , donut , danish , bagel , fruit juice , cereal , coffee etc . PERFECT charming dining area overlook busy Manhattan - 's superb . in lobby 's SUPERB cafe buy great value great taste coffee room . four year previous , stay similarly price Pennsylvania Hotel round corner Stanford . comparison . Stanford worth DOUBULE amount Pennsylvania charge . if go NYC visit - say , not risk disappointment , stay amazing hotel good price . 
 Jun 7 2005 	 get pay 	 200 dollar night good deal Ney York standard yet still lot money expect get promise . web page state newly remodel room . room small , understandable furniture old uncomfortable . mattress virtullay unsleepable bedding cigarette burn . rest furniture least 15 year old bad shape . & quot ; cable & quot ; tv not even receieve CBS , FOX , NBC ABC . mention even movie station . shower go extream cold extreamly hot like someone flush toilet . next time New York pay extra money get decent hotel . 
 Jun 6 2005 	 Week end New York 	 Location perfect ( within walk distance Penn station , Empire State building etc . ) room quiet clean relatively small , staff friendlybreakfast ( continental ) start 7:30am small room . obviously attempt management minimize number people breakfast . we would definitively go back hotel 
 Jun 3 2005 	 fantastic hotel great location 	 quick note say consider book hotel , consider - book ! 's location excellent , minute Times Square , Empire State Broadway - Macy 's stone 's throw subway end street ' ve never NYC , subway get anywhere city maybe 1 2 change line - get subway map one 's station far between . one final piece advice first time visitor - bus service 3 airport Manhattan back cost around $ 20 return - get drop Port Authority Grand Central $ 5 cab hotel - enjoy ! 
 Jun 3 2005 	 great place stay Newyork 	 room spacious ... bathroom clean ... breakfast good ... location wise great place stay Newyork . minute Madison Square garden Penn Station ... empire state building couple block away .. Time Square minute walk ... enjoy stay hotel ... look forward stay hotel visit New york future . 
