ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Dec 1 2006 	 Great Hotel Great Location 	 stay Thistle Hotels Clifton Ford Hotel London let tell hotel do not even come close term service accomodation Victoria Park Plaza . stay last november 20th till 27th 2006.the room hotel big , modern , comfortable bed , buffet breakfast fill , staff friendly helpful . say hotel renovate recently show ! fitness gym modern , ( never get use though ) wire internet access resonably price , compare internet cafe around fast ! fact staff tell go wireless price difference . attraction close . do not even bother take expensive london cab get around . Victoria station less 2 minute walk ( 1 minute copy local cross sign say do not walk ) take bus . # 507 # 148 take london eye big ben ! want , walk . 20 minute walk hotel westminster abbey , big ben , another 10 minute walk london eye aquarium . lot place eat around less expensive london standard . go paris couple day 1 bus ride ( # 507 ) waterloo station Eurostar . ( take we 10minutes ) rush hour ! hotel centrally locate , concierge lot good travel walk around tip , problem , would definitely stay ! 
 Nov 30 2006 	 Brill hotel 	 great hotel - re - locate Strand Palace - doublebooke party 49 give we three day notice - bit worried ! ! need not - lovely spacious clean room - polite helpful staff - let we leave luggage go sightseeing./ great breakfast excellent service . easy access London sight - £ 4.90 tube ticket £ 10-£15 taxi . Booked theatrebreak ( Pat ) thoroughly recommend re - locate short notice get we excellent seat dirty dancing . great weekend - hard please 49 woman one moan ! ! 
 Nov 19 2006 	 good value well recommend hotel 	 come back one ( Saturday ) night stay Park Plaza - second trip - remind really solid hotel would definitely recommend . ok , design not particularly unique designer - lead room not particularly large , 's really extent criticism , ' ve definitely put lot think layout . example , bedside light switch near turn light side bed be blind light directly . mirror bathroom heat ; be tea coffee make facility ( iron / ironing - board ) room ; minibar space put item ; room UK , EU US plug socket wall ; 's ethernet modem connection ; 's desk - tidy drawer pen will not move around . yes - be little thing show someone be go around thought : & quot ; would make guest 's stay pleasant ? & quot ; make happen . ( plenty 5 * hotel could name not get amenity ) . 's Good Thing ' ve do discover little touch , be pleased someone 's thought , customer , want . the location hotel excellent - literally 2 minute walk Victoria station ( could hotel front - door Gatwick airport 35 minute ) - also mean plenty taxi Victoria tube need . Oxford street two stop anyone ? suppose picky , would say art - work foyer not particularly inspirational , concierge appear interested sell ticket provide wide range service , executive lounge bit disappointing . be get type room £ 80 Priceline , really can not complain . all - well do Park Plaza . will back , hope other . 
 Nov 14 2006 	 fine business stay 	 spacious room ( London ) , fantastic location , decent breakfast , reliable wireless , quiet would think ... specifically request hotel cancel room ( book room previous night arrival since take red - eye ) since would check around 8 am . course cancel tell completely full could shower locker room downstairs ... talk manager magically find room allow check - in . rest stay rather pleasant . would recommend hotel quick trip London business . 
 Nov 10 2006 	 convenient hotel weekend London 	 husband stay weekend early November , be fine 4 - star hotel . be expect 5 - star hotel , probably disappointed , expect convenient , relatively modern 4 - star hotel , will happy stay . not breakfast drink bar , can not comment . basically big problem , reason chat reception desk much , exactly need . good- convenient location , particularly arrive Gatwick Airport . hotel literally 2 minute away Victoria Station . - Quick , painless check - in checkout . - clean , comfortable room . bed double bed , king size , comfortable . - bathroom almost large room , separate bath shower stall . time find brilliant shower hotel , perfect water pressure , temperature , etc . - request extra blanket first night ( please see & quot ; bad & quot ; ) , bring we quickly . bad- room smallish , standard room . - tv channel , rather lame pay per view system . 3 film available unfortunately not match one advertise catalogue room ( bit pain have decide watch ) . , not London watch tv . - would stay night learn regulate room temperature . heating work , time . rest time , choice nothing cold air blowing face ( thank goodness extra duvet ) . , pretty good value money perfect relaxing weekend London . one thing note : get pretty good deal room online , generally make feel benevolent towards hotel pay full price . 
 Nov 2 2006 	 enjoyable stay ! 	 stay 16 day hotel day well one . first get , kind confusion reservation cough lot money have estimate cab ride hotel , shortly interact staff , thing begin pick : Guest Relations Manager , Luke Jozef - Francois quite character – funny , earth , easy get along . importantly , genuine concern wellbee guest make point interact many possible . course entire staff , along , quite responsive need think especially make trip memorable . mean , many Guest Relations Managers , hotel , ever meet , yet alone remember stay hotel ? ' stay several hotel New York California frankly , ' never meet single Guest Relations Manager Luke ' sure hotel they . I initially regular room , free breakfast newspaper , pay quite bit . would come understand London generally expensive , hotel really not bad not go complain . wife already London get come spend time . Luke get know we , staff take upon make stay memorable : start , give upgrade executive suite perk : breakfast paper choice day . 's , get well price room initially modest accommodation . room amazing ! complete apartment amenity could ever care . Luke also recommend affordable restaurant area convenience store could find need . make recommendation entertain stuff advice go see Wicked Apollo ( walk distance hotel ) treat . minus hotel , staff : little choice tv channel ( even executive apartment ) . bottle opener entire apartment ; call guest service time want open bottle stuff buy London ' twist cap . regulate room temperature never intuitive . ' sure get even 16 day there . all , highly recommend place . get know staff , wonderful lot helpful too . I London purely business , stay relax feel much like holiday . ' m plan go back London later year bet ' m make reservation Victoria Park Plaza . 
 Oct 30 2006 	 Excellent location -- good experience ! 	 great time London , could not pick nice location Victoria Park Plaza . quick walk Victoria Station , 10 minute ' walk Westminster Abbey , Parliament , etc . the bar price seem crazy , may unprepared expensive London general . double US price nearly everything . I will admit use none hotel 's amenity ( bar , restaurant , etc . ) whenever need question answer , front desk staff quite helpful . receive excellent service , unexpected charge bill , room clean relatively large . nice , contemporary bathroom ! suggestion : room rate phone call silly . convenient internet cafe close . . . will save bundle . also , indian restaurant across street terrific ! ! ! ! CB BuchananMidlothian , Virginia 
 Oct 14 2006 	 great hotel great location ! 	 great hotel great location ! London expensive , know go . pick hotel base review price get bookings.org . street Victoria Theater ( Wicked playing ) , hotel easy walk Buckingham Palace Westminster Abbey . fiancee love walk city visit nice time discover London foot . , time not want walk , tube also street ! hotel staff lovely room nice ! get breakfast option hotel . plenty place around hotel grab bite eat . helpful hint ... walk hotel turn LEFT , right street right hand side super market . stock water wine room would not pay overprice mini - bar - helpful hint ! way ... usually , go right get Tube ( victoria station ) , theatre Wicked Billy Elliot , Westminster , etc . right ) nice stay ! 
 Oct 6 2006 	 average good business hotel 	 recently spend 4 night business . rate hotel OK , outstanding . room good size , hotel honour request quiet room ( 5th floor , overlook minor road back ) . room design decor fresh , bathroom modern , still practical . not eat place , except breakfast . continental , fine , service good . my real gripe number minor problem . toilet not clean properly arrive , shower screen one hinge danger fall bath , alarm function tv not work ( throughout hotel , room ) , clean staff not always refresh supply bathroom . checkout final morning also achingly slow . to fair , problem ( except tv alarm ) correct promptly raise . however , not really expect number hassle one room 4 night . could sort maintenance issue , speed reception , could really good place stay , view . , be average type . 
 oct 1 2006 	 nice place stay 	 big spacious room good mattress bed . clean light . I appreciate magnify mirror bathroom . good breakfast great service . front desk helpful . not good view window , otherwise complaint ! 
 Sep 26 2006 	 reasonable happen chocolate gateaux ? 	 stay one night check like border crossing point interrupt staff member take obviously important phone call . concierge efficient parking car bring back pay £ 30 overnight parking £ 5 porterage . room large comfy , nicely decorate , overlokked building site problem noise etc . like heat mirror bathroom . shower little difficult operate lean incorrect selection ensure wet shirt cuff . great location get around reviewer state . room service meal one starter main course free half bottle wine £ 26 food high quality , deliver warm within 15 min order . however reture show nightcap order chocolate gateaux wife 10.55pm . staff apologise wait 15 min due one chef duty instead two , come back 5 min later say fridge lock chef could get gateaux . laughed get 10 % discount drink . get back room decide try room service gateaux adfised & quot ; sell & quot ; . large london hotel poor know minor little thing like make stay pleasureable beome moot talking point . a comfy night sleep bizarre reading light arrangement frankly nonsense leave hand side turn right hand side light , earth ? check till 1030 9 1030 maid visit we twice tidy room simple check reception suffice . check another cross border moment extra staff ensure be not interrupt phone call . its nice modern hotel , cheap check efficient much quick . fridge leave unlocked late night chocolate binge eater . stay stay london many time future would choose stay special cheap offer basis . 
 Sep 26 2006 	 enjoyable stay . 	 wife stay back May really enjoy stay . staff friendly room spacious . location great , tube station , restaurant ( like spicey , try Nando 's ) grocery store close . would absolutely stay . 
 Sep 25 2006 	 Hotel staff rude unhelpful ... stay 	 boyfriend return 2 night stay Victoria Park Plaza Hotel . book superior room upon arrival discover fact hotel name ' standard room ' ! ! ! room basic compare 4 * hotel stay across Europe dissappointe . hotel definately mislead customer think get money call standard room ' superior rooms' . furthermore , wall must make paper could everything happen room either side room child beware could night - time activity ! ! extremely unpleasant say least ! hotel also take £ 50 deposit debit / credit card upon arrival mention website . assure reception money would taken bank account authorise ... however next day go bank discover fact take money account . still see money credit back account think absolute disgrace lie take money without consent . the hotel ruin stay London enjoy fact hotel central location lot bar restaurant near . however would stay hotel positive well hotel area less money , well quality well customer service . 
 Aug 20 2006 	 Front desk rude poor service Breakfast 	 book hotel early tour Europe Pre - pay advance . daughter book tour AAA visit several contrie Germany , Austria , Italy , Switzerland , France end tour London 2 day . check tell open credit line 25.00 order make telephone call . first , decline already purchase pre - pay calling card problem country . well , could not make phone call . , go downstairs give credit card open credit line 25.00 . never tell see one staff member give side glance . the next day breakfast , give seat greeting explanation breakfast include room stay . one come clear table go thru buffet line . one smile anything . usually give tip let Pounds table . see server pick put pocket . never come table provide service except pick tip . however , conceirge 's desk extremely helpful locate place daughter dinner . also help we find tour group London . the room decent sized . bathroom nice . good close Victoria Subway station . I stay hotel . recommend family friend travel London . stay elsewhere . 
 Aug 20 2006 	 Fantastic Hotel 	 stay overnight give upgrade studio arrival fully book . could fault stafff room contain everything could possibly want . room spotless large London hotel , even contain two tv , one near sofa one near bed . downside traffic noise really let 3 3.30 a.m. guess that s expect stay middle London ! hotel short walk Victoria Station Wilton Road . eat hotel numerous restaurant nearby can not comment . notice another review mention reading light bed yes also find left switch turn right vice versa , one intends read one sleep , get bed switch light walk round dark mind toe ! see american friend find people sleep street bit disturbing understand always find people like around area . really worried suggest eat hotel night walk pass many doorway people set night bother one man ask change . suggest ignore , not let worry much good time ! 
 Aug 13 2006 	 great location -- disappointed service 	 select hotel base rave review location near Victoria Station . location great , disappointed hotel service right beginning . arrive around noon 8 - hour red - eye state . request early check - in verify hotel , say would whatever could . tired 8 - year - old arrive tell room not ready , room would next list clean . reserve room complimentary breakfast , say could eat restaurant executive club . say check back hour . we go restaurant , allow eat ( unless pay ) not room yet , go executive club . impressed ... slim picking high quality food . return front desk hour , room yet ready , say would call housekeeping . wait lobby another hour . manager approach we hopeful , ask wake sleep son remove shoe . another half - hour , husband ask speak manager room . find hard believe not single room available entire hotel . give room , not sofabe , would provide cot extra charge . tired , suitable . disappointed look window find huge construction zone . fortunately , not hear bulldozer like another reviewer . we begin heat wave , A / c work fine except last night , start leak -- drip , steady stream come ceiling . wake husband 4 a.m . call front desk not anyone staff fix . say thing happen night room beside we . offer move we different room not want wake son , ask discount . say would talk day manager check - out . check , tell front desk staff would not able give we discount heat wave could not control weather . say unacceptable ask speak manager . say never happen could not give we discount . tell apparently happen room next us night . concede give we 50 % room rate last night , greatly appreciated . also , charge several item mini - fridge use . remove they . but good highlight well : location great -- within walk distance many sight , Victoria Station ( Tube Gatwick Express ) . concierge provide we great tour information ( bus ) , obtain great seat Mary Poppins ( although hunt find ticket ) , manager restaurant allow we eat breakfast arrive half - hour close . additionally , another staff member allow enter executive club use internet hour inquire delay luggage . compare rest review , exception ... would definitely choose another hotel return . 
 Aug 11 2006 	 extra charge prevent hotel perfect 	 stay hotel end 3 - week trip England , Wales , Ireland , Germany , Austria , France . we get extremely good deal book well advance Expedia . ' ve stay less hotel London far money . hotel nice modern , north american term quality , service , cleanliness room size . 2 hotel type stay trip - Brooks Hotel Dublin Millenium SI - Centrum Stuttgart - certainly inferior . room large , abundant lighting stylish decor . bathroom clean , shower powerful , standard head , handheld head . odd thing shower short glass door let water onto floor . bed comfortable full king , white sheet nice duvet . north american outlet nice useful . location hotel perfect : step away Victoria station , quiet street . we , could well Heathrow Express train go Victoria instead Paddington . Gatwick Express go Victoria , fly , ' m sure would ideal . lot cafe , food store , restaurant bar nearby . bring drink back room , use ice machine locate every floor . try buy market newsagent , food place Victoria station tend charge alot . like walk , Westminster Abbey Parliament close , Buckingham Palace . certainly stretch walk Trafalgar Square , Piccadilly Circus , Leicester Square Covent Garden , get tired way , take tube back , although bear mind last train often run around midnight . Victoria , easy get tube anywhere might want see , often one change . prefer go taxi , central location keep price . another word location : find seedy scary . feel totally safe walk around middle night . I absolutely complaint except one : extra charge . charge breakfast , drink bar , minibar expensive place stay Europe . often time price Pounds Euros comparable european hotel . irritated phone internet charge . make four short local call charge 30 Pounds . cheap fo call friend London home Canada ! want use call card , prepare pay 1.50 Pound connection charge . internet nearly 4 Pounds 15 minute , business centre limited hour . executive centre 24 hour computer , require payment extra 25 Pounds per day use , internet not even include . day age , seem perverse hit people kind telecom charge . in short , hotel away sort charge , would flawless , otherwise provide exceptional value money . even , would definitely stay . 
 Aug 8 2006 	 Great Hotel near Victoria Station 	 stay end July extremely hot weather , pleased air condition room . cool ! location convenient outside Victoria Station- ( sure take Hudson Place Exit Victoria Station next Platform 1 ) service professional room comfortable . a well appoint hotel lobby lounge area . we also please receive nice letter Park Plaza regard comment card leave check . nice touch ! will certainly stay . 
 Aug 7 2006 	 great location great hotel ! 	 back two night stay Victoria Park Plaza London , think hotel great ! get great deal Expedia , not really expect hotel good be . just around corner Victoria station , great base weekend shop . upon arrival , queue check - in , reception staff lovely . whole process take minute , way room . the room lovely , give double room , although request twin room confirm booking - bed huge comfy happy enough ! room everything need - good sized modern bathroom , spotless , iron board , tv thing would expect ( tea make facility etc ) .We not take advantage breakfast think bit steep ( £ 16 ) , Victoria station load coffee shop could grab pastry cup coffee go . the hotel lobby impressive withan airy minimalistic feel , bar nice . stay bar late Friday night , staff bend backwards accommodate we . overall , really pleasant experience would definitely go back stay London . 
 Aug 4 2006 	 great Stay Park Plaza 	 stay executive room . large clean room , well keep . carpeting , sheet , furniture , curtain , bathroom spotless . bathroom spacious modern decor marble . also complementary robe slipper well . room definitely small compare european standard . room come complementary tray extra toiletry comb , shower cap , sewing kit . welcome small fruit basket two small bottle still sparkle water glass bottle . room also outlet compatible US standard plug well european one . air conditioning effective , especially recent heat wave Europe . ice machine every floor well , unusual european hotel . staff friendly we . problem check . serve quickly . room card demagnetize locked room result , helpful quickly re - issue new key . concierge knowledgeable area offer free London map well . the area bad . near Victoria station , 2 block around corner . however , night homeless people night , part , fine . day , street around hotel well travel tourist local go work . seem hotel near business building . good variety restaurant across street well block range american asian other . also mall 2 block well . behind hotel , street full restaurant , supermarket ( Sainsbury ) , chemist . street behind hotel nice seedy describe . lot food choice . our room also come complementary breakfast executive dining room , access key card . room lovely table cover cloth , cushy sofa chair , wide variety cold hot item . cereal , egg , cold hot meat , fruit , vegetable , potato , breakfast bar , pastry , roll , juice , yogurt , coffee . staff friendly well serve we smile . the downside construction behind hotel . time , work . one night , however , long manage sleep . ask room side hotel hear construction . one room side construction bother construction . stay hotel London well around Europe large clean one . nice surprise good value price pay . 
 Aug 3 2006 	 great night stay 	 hotel standard attitude customer . everyone reception staff cleaner polite helpful . credit credit due , hotel unique . clean room , load space , lovely breakfast , centrally locate , could ask busy metropolis . the use executive suite afternoon tea etc , drink 6 pm 8 pm another touch make feel special . well worth small extra cost ..... highly recommend ! love short stay would definately stay highly recommend anyone ask ..... London must - Victoria Park Plaza Hotel . 
 Jul 30 2006 	 Pleasant stay Vicoria Park Plaza 	 ' m sure people expect London . hotel offer incredible deal ( get nice discount deal ) . stylish cool hotel conveniently locate center London . grab cab , take bus train , go anywhere London . loved hop bus catch couple block hotel . breakfast ok hotel standard usual fare . real surprise food bar atrium area lobby , good pasta , burger etc . kid love . room modern convenience comfortable . great value consider expensive London -- not know people would complain . not disappointed . 
 Jul 29 2006 	 large Room Huge bathroom 	 well locate hotel , 2 block Victoria Station London . clean , neat , renovated hotel , lobby sleep room . in standard room large clean bathroom 2 shower , ( good water pressure ) . large sleeping area , sit area , comfortable bed , newspaper every morning ( free continental breakfast ) .socket plug US , Europe UK plug ( adapter require ) easy walk Buckingham Palace region , Victoria Station ( bus , train Tube station ) , easy get anywhere city . will stay future . check web good deal , mid - week 69 UK pound per night . 
 Jul 26 2006 	 one man 's meat etc etc 	 find none problem recent visitor seem have . staff helpful courteous . room clean , cool well stock , not use mini - bar except people money sense . Breakfast , include price , adequate . as seedy area , suggest people get often . city railway station attract streetlife bother avoid railway station ! ! 
 Jul 24 2006 	 spend money elsewhere 	 book hotel three night , another three night return Paris . must admit reluctant return Victoria Park Plaza second stay pre - booked . sit plane 7 hour , travel hotel Heathrow , jet lag , could wait get hotel . get 1 pm , check , front desk tell we come back hour half room ready . problem check ( request early check , oh well ) . return hour half later , room still ready . time lobby full people wait room , proceed sit another 45 minute front desk . take we go back finally start call around key . day stay , always know check time ton people sit around wait lobby half - asleep luggage staff stand around . the room definitely form function . thing look nice , example , light switch beside bed turn light bed reduce read glare accord card . well , person try sleep bed ? ' make sense . say room service , menu . remote control ' work , pillow fluffy cardboard box . problem though , know hotel do bit different Europe . next morning , get wake wonderful bulldozer . across little two lane street huge construction project go , ' sleep jet lag . reason ' cancel second stay return Paris convenience Victoria Station need access Gatwick Express . for second stay , check much well . tell smoking room leave ( book non - smoking , get check - in time ) . okay , ask could put we side construction nice enough we . walk room whole new story . apparently leave everything first room , one actually room service menus , access minibar , everything else tell room provide . room quieter , thank cardboard pillow , still suffer sore neck . express bill came , charge thing mini - fridge never take , sure check bill . overall , feel though get pay . recommend people , ever set foot . usually overlook lot thing , inconsistency room , horrible unfriendly hotel staff make place complete book . 
 Jul 21 2006 	 bad Hotel ever stay . 	 book hotel price , figure price would get good service . pay 300 pound per night serviced apartment small child . our dvd player work several day complain finally tell we nothing could it . the shower terrible airconditione non existant . ask staff person something would say & quot ; oh , do not know ask ... department . & quot ; overall bad service ever . 
 Jul 21 2006 	 nice hotel little pricey 	 stay hotel 20/07/2006.was EXECUTIVE room review may differ other . hotel excellent location - 2 min walk Victoria tube . Location let slightly fact massive building site directly opposite moment hence view window look like shoot second world war doodlebug land ! would add however site create little mess noise affect stay view be not great hotel particular area everything build up . hotel lobby nice .. unusual scuplture make denim jean twig ( see reviewer photo ) make smile . reception staff helpful friendly - rarity London hotel - check check out . downstair lounge area popular although do not use myself . executive room spotless nicely decorate / light . bathroom large well decorate , air con spot ridiculous temperature present . executive welcome tray nice addition - additional toiletry / extra coffee chocolate / water / fruit .. good travelling . my usual mini - bar warning - electronic bar even move item put water fridge see charge .. do not fall foul always see fit warn people day : ) executive ' lounge ' nice ( card access executive room member ) .. free drink evening nice breakfast follow morning . it expensive - probably would not go exec pay pocket - nice stay nonetheless would recommend experience anyone . 
 Jul 17 2006 	 Average 	 stay hotel 3 night last week . book king non - smoking give queen smoking . girl desk try convince king size bed not much big tell know difference sleep one home offer try move decline Ifigured might get bad room . room not smell cigarette smoke fact ashtray not bother . real reason not want move room charge ridiculous 15 pound day internet access ( think information card desk say 9.99 pound ) fortunate enough 1st floor able pick unsecured wireless signal neighboring apartment . mattress sub par not check believe may foam rubber type . modern upgrade hotel little top . sincerely doubt thye spend money keep full size mirror back tub already start look terrible ( see candid picture ; one tub , check edge mirror ) . function air conditioning plus anything actually get cold ( rare hear southern american ) . vend hotel want soft drink late night be either stuck pay two pound mini - bar god know much room service . 24 hr convenience store area even though block away Victoria Station . 
 Jul 11 2006 	 bit pricey nice 	 stay hotel one night bit seedy area . think price pay per night recive breakfast package . next Victoria Street Station convenient get Gatwick airport , sure convenience worth price ... 
 Jul 5 2006 	 great hotel central location 	 beautiful hotel minute away Buckingham Palaca right around corner Victoria Station , make quite comvenient get Gatwick Express train airport . spend two night tail end business trip / vacation wish would time . spacious room bathroom A / c control - actually turn far enough comfortable ( unlike european hotel ) . nice restaurant / bar , ability order breakfast ala carte , ' ve find rare UK . comfy bed also . highly recommend place business leisure traveler . could not believe pay 139 GBP per night . steal . 
 Jul 3 2006 	 Awful Hotel 	 stay one night . want 4 * hotel doorstep Victoria Station fit bill look great description web . wrong . bad hotel ever stay . would never never ever stay recommend anyone . staff indifferent , room pokey , dirty towel smell unclean . far value money . 
 Jun 19 2006 	 good value 	 well situated public transport , tube bus . comfortable room book special rate travel zoo . upgrade executive room part deal find none extra available request , i.e . welcome tray , bathrobe , slipper face cloth . arrive quite promptly . could access executive lounge due problem card key 2nd day find bit disappointment little way refreshment . breakfast restaurant good offer really good variety hot cold food . wish would cook many fried egg later one become rubbery unpleasant . deal include taxis result 17.5 % vat add bill still good value . would return . 
 Jun 15 2006 	 comfortable 	 great hotel , modern , clean quiet . room good size require accessory available . fitness center satisfactory day 's outing . the staff friendly attentive . always service . could use international tv channel , bathroom bite slippery shower door hard manage besides minor complaint , great hotel . 
 Jun 14 2006 	 view Park Plaza 	 get back vacation yesterday think thing fresh mind would give impression hotel ( 7 June-13 June ) . hotel great convenient location 5 - minute walk Victoria Train / Tube station . side door street . the front desk staff helpful polite . complaint would check ask would like bill US dollar failed tell 3.5 % charge change . room clean show wear . ask washcloth day , would leave clean towel never wash cloth . executive room include breakfast access lounge change lock code every day swap key card day . refreshment lounge day coffee bottled water . breakfast bar plentiful . good hot breakfast toast / roll , bacon sausage , scramble sunny side egg order omelet , potato , tomato , bean mushroom . also cold bar cereal , juice , fruit bread cold meat . wait staff could efficient , would stand talk , helpful . last morning get leave without finish breakfast watch one waitresses pick nose rub shirt glad last day . 
 Jun 12 2006 	 good value 	 hotel good value traveler . room especially comfortable , shower fantastic , hotel cleaning staff exceptional . carpeting need replace common area . charge 25 pound fax , outrageous . good bet use several internet cafe email , fax , etc . restaurant neighborhood good , except Jenny Lo 's Eccleston , Grenadier , old pub Belgrave . 
 Jun 7 2006 	 wonderful Clean Modern Hotel ! 	 husband recently take trip London , Paris Rome . expect like Paris Rome much well London , surpise London absolutely amazing ! feel lot stay Victoria Park Plaza . bit phobia dirty hotel generally hate sleep hotel bed . Park Plaza clean , beautifully decorate fantastic location . feel comfortable . take train airport take less 30 minute $ 15 / per person . walk West end , Buckingham Palace Westminster Abbey hotel . be right next door , within reasonable walk distance safe , commercial area . tired walking ( be office people - use walking ) hotel block Victoria Station would hop train wherever need go . I highly recommend hotel definitely stay next trip London ! 
 may 30 2006 	 great hotel 	 hotel great locaction , staff helpful ... clean hotel ... stop exec room clean large .... breakfast could warm .. view 
 May 27 2006 	 Good Location Modern Looking 	 hotel great location skip hop Victoria Tube station . the bar section open airy . the front desk staff helpful direction cash one travelor 's check . we scratch head look art work room guess 's complain , be ok . the bathrom floor get pretty slippery . not care funky glass door shower not fold way . room spacious quiet . overall , hotel fill bill . 
 May 18 2006 	 Chic convenient 	 stay Park Plaza Hotel 3 time definitely return every time London . incredibly convenient 100 yard Victoria Station ( direct train link Gatwick Airport ) . , importantly , work art top bottom . ultra modern without unomfortable fascinating painting sculpture every turn . ( try decipher poetry bar ! ) even doorman reception staff part art work sleek black outfit . room elegant well appoint bathroom dream . last visit hotel full put apartment 8th floor - not want go home ! London living shoudl recommend hotel anyone not enjoy stay featureless box . 
 May 16 2006 	 okay get deal 	 hesitate give four star hotel 3 rating , dissapointe 4 star . room nice , bit characterise big . weekend special include upgrade executive suite , nornal room bath robe , slipper , extra toiletry fruit / chocolate thingy . room clean . executive lounge well appoint would rather see appoint option daytime drink ( coffee / hot chocolate machine ) perhaps snack two . evening drink much well , short time . breakfast somewhat redeem hotel tasty plentiful . charge wireless , nominal fee ( not free four star ? ) . location good , esp . theatre need get tube . get deal look elsewhere . 
 May 14 2006 	 Trickery 	 Victoria Park Plaza comfortable hotel , lack honesty desk staff . husband mature couple travel USA first time . read major travel guide aware scam . several attempt us desk staff . set straight . eliminate false charge . bad trust hotel stay . 
 May 12 2006 	 Great Hotel 	 stay hotel 5th 6th May read review Trip Adviser second time year let bytrip Adviser ( book hotel Rome early year- another gem ) book room 2 night helpful girl reception ( Germany ) tell we extra charge could upgrade execative suite think excelent value . location great walk everywhere like like walk beside main line tube station . can not fault anything really hotel ( always not ? ) orange juice morning like water - maybe ice little expenditure would made breakfast perfect . stay room 125 overhead light seem wire wrong mean husband read late get bed turn light side ( asleep ) really everything else perfect not upset we . read review unhelpful staff can not say always find courtious helpful . 
 May 9 2006 	 beware HIDDEN charge 	 shame management not understand traveler savvy 's important upfront honest instead hide price everywhere . first , great special rate hotel ... one think . book hotel 4 night , inclusion Executive Plan ( breakfast , hor d'oeuvres , limited drink ) free internet . first : free internet one hour dial barely open e - mail . call prior booking room tell internet & quot ; wireless & quot ; & quot ; free & quot ; Executive Package . tell management , nothing , not even offer free pass day . say internet outside service ( apporx . $ 40 US per day ) connect stay connected get charge full amount . Executive Plan also include safe big enough hold 15 inch notebook computer ... yes , true , can not disconnect internet , good safe ? also urge dine ( Executive Plan ) , include rate either Executive Club ( small room , nicely appoint ) lobby 's spacious restaurant . choose restaurant . not tell pay coffee , tea , etc . restaurant ... waitress come every 10 minute ask want coffee tea . & quot ; include & quot ; breakfast , get price coffee tea . serve coffee tea Executive Club room charge . room small , clean well maintain . location interested theatre can not beat ... good product , hide cost continue . go check , charge 18 % tax 3 % fee use VISA credit card ( debit card ) VISA card . , addition whatever charge VISA card make . time do , figure price room actually 20 % internet rate say . also fire alarm go everyone run building . return stand cold 20 minute , return pass General Manager hotel not make apology whatsoever , not even say thank cooperation . nothing . not think fire , somebody pull alarm , take serious . will not stay hotel not like trick pay high price advertise . way hotel make money , shame , lovely property . front desk staff friendly help problem ... not care . hotel book full brim time , awhile , people catch place full deception . 
 May 1 2006 	 good stay - nice hotel London 	 wife stay Victoria Park Plaza mid - February . London business wife come along tourist . would rate 3.5 * hotel . I ' ve London 30 time past 10 year . ' m require travel Federal per Diem rate , 5 * , first - class property within travel budget . would say Park Plaza one nice hotel stay rate pay . unlike hotel travel budget , Park Plaza modern facility high - speed internet access available . room large well - appoint . staff friendly , helpful assist wife direction . the location Victoria Station convenient cheap easy ( long ) Tube ride Heathrow Victoria Station . one change train require transfer to / from Piccadilly Line District Circle Lines -- couple station 25 foot walk across platform make connection . I will definitely stay Park Plaza ( long rate stay affordable ) . 
 Apr 30 2006 	 excellent handicap facility 	 wife , confine wheelchair , stay week hotel first week April . find staff friendly , competent attentive need . restaurant top notch , excellent menu . concierge staff make booking we London Eye make sure get good rate . hotel well locate , two - minute walk Victoria Station tube . room comfortable quiet . washroom accessible shower wife really appreciate . problem tendency water spill onto ceramic floor slightly slippery . suggest put extra towel take care leakage . overall , wonderful experience Victoria Park Plaza be plan return next year another week . 
 Apr 24 2006 	 over - rate 	 4 * rating high . breakfast poor cold 9:30king size bed two single push togetherstaff friendly , slightly clueless . disappointing£120 per night get much well deal . 
 Apr 14 2006 	 great hotel 	 great hotel , especially be able get special deal travelzoo . three we ( two adult 15 - year old ) get upgrade room ( suite , large room ) , welcome package ( fruit , water , extra toiletry , candy ) , access executive lounge ( evening drink / appetizer english breakfast ) , pass two open Bus Tour ( hop tour London ) £ 79 plus tax . room nice ( especially european standard ) nice bathroom . relatively new hotel ; , everything new , clean , modern . location extremely convenient , although take public transportation Heathrow ( express train tube ) . would recommend - 's complicated luggage ; lot step . hotel extremely convenient Gatwick , though ( leave ) . express station practically across street . evening drink appetizer little disappointing - drink fine , appetizer include small eggroll , potato chip , olive , pretzel . come bit late second night choice chip pretzel . breakfast fine , however . would definitely recommend stay , especially get deal . 
 Apr 6 2006 	 will not hear thing 	 wish rate 3 4 , really well average respect . good thing hotel soundproof bed . room hear toilet flush another room , noise corridor , people walk overhead -- nothing . one night workman drill around midnight street window block sound . bed comfortable room large , hard find London . bathroom big tub . decor rather bland , however , surprise not trendy touch , consider hotel couple year old , include modern television . staff young pleasant . location superb , couple minute ' walk Victoria Station . 
