nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 May 26 2008 	 Peaceful Private Hotel 	 hotel cool , relax elegant , service brilliant , exactly expect Four Seasons , staff helpful polite . husbant tip man get car we amongst 1 dollar bill hundred dollar bill , guy call back tell make mistake . gaming hotel make relaxing , lie hotel like cattle market . would definitely recommend hotel anyone . top quality , top service , peaceful , relax etc etc 
 May 11 2008 	 Great Hotel 	 4th visit Las Vegas first stay Four Seasons ( 3 night ) . wife absouletly love hotel . close yet far hub bub Mandalay Bay . celebrate 20th anniversary upon return room find & quot ; Happy Anniversary & quot ; cake room . pleasant surprise . entire hotel staff pleasant attentive . premier strip view room spectacular view entire strip . room good size clean hotel type odor . would definately stay ! stay Bellagio Signature Four Seasons beat . 
 May 9 2008 	 Nice hotel . great service . great location strip 	 nice room small . room child - proof 2 year old son . 
 May 7 2008 	 Beautifull retreat chaos 	 Service separate property other Las Vegas . Valet , front desk , spa , pool ... every staff member happy make need priority . enjoyed come back room long night find everything clean , light dim , soft music slippers/ tv remote bedside . 
 May 7 2008 	 hotel NEVER dissapoint 	 wife return favorite LV hotel , like always , fantastic . choose hotel great spa facility , proximity strip , , good pool experience find Strip . arrive pretty early day , course , room ready . check quick simple . bag promptly arrive . room decor technology upgrade since last stay include HS internet large flat screen tv . carpeting also new . staff throughout entire hotel friendly , helpful . staff around pool great . never ask wait drink food . nice selection item menu deliver right lounge chair along evian spray , cucumber slice , smoothie . pool scene quiet ( unlike mayhem mandalay ) lock gate separate property . wife rave spa treatment . housekeeping always prompt never bother we nightly turndown service . felt pamper five day stay would highly recommend property . will back October . 
 May 2 2008 	 Serenity Sin City 	 husband recently return 3 night stay four season anniversary . hotel meet expectation . want enter hustle bustle casino . hotel arrive seperate entrance . check quick efficient upgrade room view strip . hotel top 5 floor Mandalay Bay Hotel . room lovely . service everything would expect four season . would never guess Las Vegas . never bother noisy guest . want go casino get & quot ; C & quot ; level elevator go door . nice touch return door serenity hotel greate lovely scented entrance . the pool wonderful excercise facility well ever see . not go show . instead dine night different restaurant , Guy Savoy , Picasso Nine . return hotel recommend . can not wait go back . 
 Apr 26 2008 	 want leave ! 	 perfect stay Four Seasons . hotel beautiful quiet . 's nice diversion loud noise Vegas casino . room tastefully decorate view Las Vegas strip . truly amazing . the pool lovely service spectacular , service throughout hotel . there hotel stay Vegas Four Seasons . 
 Apr 24 2008 	 absolutely love 	 unable decide four Seasons , Wynn , Venetian & amp ; Belaggio decide four Seasons review website highlight fantastic customer service important us - glad . staff friendly helpful front desk , pool attendant , house keeping , conceirge bell hop - even someone operate lift peak time . hear guest 5 * hotel queue age ( hour ! ) get lift - wait couple minute someone call we ! ! hotel peaceful elegant - absolute bustle Vegas ! room fantastic . upgrade junior suite arrival $ 75 extra per night ( book deluxe room originally ) . well worth - sit room huge ! bed comfy , robe soft Bvlgari toiletry . thing miss cholcolate turn ( although get bottle water instead ! ) .The breakfast really lovely nice set pool outside ( eat inside prefer ) .The conceirge get we last minute ticket Friday night busy weekend ( boxing , Van Halen , Mary J Blige JayZ Saturday evening ) seat middle front block - show amazing . the slight downside end strip , however also plus side mean quiet . main worry arrive however problem taxis cheap ( $ 10ish anywhere strip ) never wait ( queue hotel huge ) also tram Mandalay bay take Excalibar ( main coross road MGM ) .The hotel top floor Mandalay bay access Mandalay bay little door . Mandalay Bay really nice casino , lot bar , restaurant shop etc extra facility could ever need . try breakfast buffet nice near good four season ( food , ambience service ) . 
 Apr 23 2008 	 nothing net 	 nothing net , Perfect every way . stay major hotel vegas never stay anywhere else , . service , service , service , . wait cab 5 min Vallet say long enough take we dinner reservation hotel Escalde . pool great . see yourself . Ps , Craft Steak house Mgm bad experience food ever . butter frozen waiter rude stick we back kind fold door see divide room convention . go four season stay away craft Steakhouse ...... worry 
 Apr 22 2008 	 Quiet Las Vegas Hotel 	 Four Seasons Hotel Las Vegas quiet retreat . look place . look little excitement stay heart strip . four Seasons casino connect Mandalay Bay Resort , good world . nice enjoy Mandalay Bay pool get crowd retreat peace quiet attentive service Four Seasons . husband spend four night Four Seasons April . great weather take advantage pool four day . service pool good , least consistent Four Seasons stay . staff extremely attentive always call name , other good . front desk bellman excellent . concierge great job get we dinner reservation transportation . even problem final bill front desk handle well . room clean well keep , amenity nice . look escape craziness Las Vegas , stay . 
 Apr 9 2008 	 royal treatment 4 season 	 Unbelievable service ! first time ever felt treat really really well hotel Vegas . usually 2 people open front door , allow sweeeeep lobby theatrically necessary . room pleasant , would request view pool future . also would request close elevator possible - , like everything Vegas , huge hotel . room service exactly time meal choose . bed , bathroom , toilet , etc . abo average . free coffee paper a.m. lobby . spa great place also - steam room , relaxation area , small private . absolutely good feature service pool close second . offer privacy seclusion ! attendant put sheet & amp ; towel choose chair , spritz cool water , bring around frozen / wet washcloth , actually get lunch / breakfast serve tray lap . fantastic luxury . also nice hotel car take available . staff member make we feel like important totally happy , cossette . seem natural . would not stay anywhere else Vegas . 
 Apr 4 2008 	 love ! 	 say much love hotel ! ! ! stay numerous time always find exceptional . love entrance ( without smoky casino walk ) , peaceful beautiful . room great , treat kid sooo love . service faultless small issue , quick solve problem happy help every way . the pool great , crowd always room . hot , place sprayer shade . treat around pool always lovely food service well do . staff recognize we name upon return even though year since ! love go Mandalay Bay dinner / shopping / wave pool ect always breathe relax sigh re - enter four season . real getaway hustle Vegas , us fun appropriate dose ! back soon ! 
 Mar 31 2008 	 Quiet step energy strip 	 great hotel separate entrance Mandalay Bay . love hotel . hate stay one hotel Vegas go casino get room . also , able get away & quot ; rumble roar & quot ; casino fantastic . our flight cancel 4PM . service hotel great . able get we room last minute Friday night , issue , even though busy weekend . ( Friday New Years eve weekend . ) concierge fantastic ... even manage get us ticket & quot ; & quot ; day arrive . please note & quot ; & quot ; flexible show date time say would work schedule around ticket . 
 Feb 21 2008 	 nice retreat strip 	 return three night Four season Las Vegas . overall , glad pick hotel hotel strip . pro : * room ridiculously quiet , although face airport . like retreat comfort home chaotic day . * beautiful view entire strip . * extremely comfortable bedding . * fast check - in / check - out ' ve ever experience . * friendly , competent staff . con : * think food restaurant pretty substandard . * gift shop . would nice one two boutique / shop hotel . * odd design ... wish stand alone hotel instead top floor another hotel . make thing feel little disjointed . * clear room directly overlook airport . could . would ideal . overall , would recommend hotel want directly middle action . close enough immerse want far away enough feel though retreat back room tranquility . 
 Feb 20 2008 	 nice noisy 	 nice hotel , not get noisy room ; room face airport get huge amount noise . wall thin , mostly likely get wake noisy gambler way back room . however , room clean , good service , amazing pool . restaurant disappointing , good wine list . 
 Feb 17 2008 	 Oasis 	 husband stay Four season Las Vegas three night July celebrate 24th birthday . oasis ! love Four Seasons could enjoy Las Vegas offer return tranquility end day . staff genuine , pool beautiful , never wait taxi . love fact not walk smokey , loud casino get room ! instead , four season adjacent Mandalay Bay , could access casino hallway four Seasons . highlight weekend ? SPA ! ! hot stone massage amazing . also love shower / relax locker area . husband even send attendant come find ; not want leave ! & quot ; negative & quot ; room end hallway near loud air conditioning vent , pretty view desert , would recommend strip view . would return heartbeat ! 
 Feb 12 2008 	 great ! 	 exactly say tin ! excellent service , brilliant facility , creme de la creme approve missus well ! 
 Feb 10 2008 	 Four Seasons Exceptional Service would expect 	 stay 4 night break . hotel fantastic service would expect four Seasons . particularly love pool exclusively four season guest . pool staff look day long iced water , spray , ice lolly even come round clean sun glass - heaven ! ! hotel spotless , decor classic rather contemporary would usually go , none less luxurious place would definitely recommend it . Las Vegas general fantastic always , spend morning pool afternoon shopping mall amazing . we superb meal Mix ( top Hotel ) seat balcony breathtaking view . also eat Rum Jungle bad experience friend nice meal . Grand Lux Cafe another favourite , simple food really nice huge menu . can not wait go back LV . 
 Feb 6 2008 	 good US Four season 	 hotel take perfect four season Beverly Hills toss first place rating ... crew .. food beyond divine . the spa employee bend backwards help get appointment place book ... waitstaff get food time food perfect ... fussy NY Paris Four season perfect .. clean somewhat update food . the front desk crew superb . I say enough staff ... downside we pool get bit crowded ? 40 wee bit crabby 20 something crew ... issue really . the issue change far walk room end ... fun girl heel tired long night ... 
 Jan 30 2008 	 Sinfully Great Las Vegas 	 Four Seasons do . continue marvel class , charm service orientation Four Seasons . FS Las Vegas exception . experience typical greeting army man come grab bag . People greet we name , fast checkin well yet come . when arrive junior suite 39th floor , floor elegance size suite . one large suite ever . decor could not elegant view high stunning . the honey color wood , intricate marble floor , artful floral presentation everywhere present , make special experience every time enter public area . suite two large bathroom , course , every imaginable modern convenience . love chain like Ritz Carlton , nothing compare four season . the location Las Vegas perfect . still strip , short distance maniacal activity strip central . the spa one well anywhere . great weight set load alternative aerobic machine . , FS take new level manner refreshing drink , towel , tvs machine , etc . you can not go wrong . 
 Jan 23 2008 	 Relaxing ! 	 Vegas business 4 days/3 night pleasure stay four Seasons . overall , treat ! 39th ( top ) floor end long corridor , provide good view ever strip , go Vegas yearly 15 + year . amazing view ! ! ! actually rather ill trip unfortunately really get use amenity hotel . feel well allow spend lot time room spacious comfortable , lot detail like crown molding , tray ceiling bathroom , etc . tv HUGE ( wish rotate could watch work ata desk . tv actually would work first get send engineer , fix quickly ok rest trip . system call NXTV sort interactive thing , impressed think make tv act little . first night , one sheet stain ( doubt clean wash , permanent stain ) , say shocked hotel caliber . would throw sheet like ? since alone bed king , simply sleep side see nothing sort ! housekeeping even unplug wound cell phone charger , accidentally leave plug night 1 . bathroom beautiful ! marble ton light , never really notice hotel , light bathroom excellent . great shower , shower head like downpour , love . actually hear coworker & quot ; regular & quot ; Mandalay Bay hotel room tv bathroom , would nice touch Four Seasons perhaps well . staff exceedingly friendly helpful always greet every morning pass hall . think nice touch although need treat special , haha . regret get use amenity look great . even turn service already room evening time try come . not like service , hang Disturb sign leave alone . besides stained sheet , great hotel stay ! 
 Jan 20 2008 	 great place 	 stay work function weekend August . the staff friendly , room great ( huge television ! ) bed comfortable . bathroom luxurious marble affair . it ridiculously expensive Vegas standard , business not affect ! 
 Jan 18 2008 	 dare find fault 	 seriously , dare find fault hotel . great . not one thing criticize . everyone really helpful polite . make feel well take care . room awesome view amazing . be set see Las Vegas . stay Four Seasons , enjoy . make sure . 
 Jan 9 2008 	 Posh 	 Four Seasons hotel Las Vegas occupy last four floor Mandalay Bay hotel building . posh , service excellent location ... well , end Strip room view airport . , window double pan hear anything really ' mind look airplane helicopter take landing folk , might posh enough . room great , huge bathroom , tub , shower stall , two bathrobe two pair slipper . recommend someone want posh mind end Strip . otherwise , want walk nearer casino , choose something middle like Bellagio . 
 Jan 6 2008 	 warning - take Pets ! 	 even though hotel claim pet friendly , bring pet . third time stay Four Seasons , Las Vegas 2 small , 10 pound dog . first 2 exceptional , complaint . husband go celebrate anniversary bring 2 dog we . travel everywhere basically kid . everything fine last night , go nice dinner Wynn return , 2 1/2 hour later around 8:30pm , dog miss room . keep crate crate dog miss ! also small piece dog fece floor . I start panic husband immediately call front desk ask dog . say removed b / c make noise . stay many fine hotel never dog remove . ask manager deliver dog immediately ; come 20 minute later freak little dog . completely incompetent overly arrogant . try tell we hiding dog one know first place . completely lie since check , we lease woman front desk greet we give we room key , pet dog . also walk several time lobby previous 4 day stay . the manager never apologize tell we someone complain , completely false , since asleep room time would bark would maids want clean room . leave instruction want room clean away since disturbed dog , apparently really want get room . we appal leave dog fece room well never clean . truly horrible experience ruin entire anniversary . speak manager check next day , young kid 20 's useless night manager . I never treat poorly suppose & quot ; luxury & quot ; hotel . 
 Jan 5 2008 	 Service lacking 	 second time ' ve stay hotel 's place would stay Vegas . say , find service par time . concierge knowledgeable pick deuce bus ( pretty basic question ) , FedEx package not deliver promptly , request not follow , etc . caliber hotel , 's service distinguish property feel lack . hotel , , though , treat , despite long walk entrance elevator . top notch bedding , bathroom , etc . , would expect four season . tip : park convention center parking lot free . need pay hotel . 
 Dec 31 2007 	 romance allow 	 go weekend 28th Dec get strip view room 800 night girlfriend birthday . unlike stay 4 season include one well Aviara , Beverly Wilshire Santa Barbara facility never even ask special occasion . room ok sub par price strip view . room service prompt food good . get ugly . come back Hotel 3 a.m . pick rise lobby arrangement time young man early twenty run say ' " Man " . ask speak manager claim night manager . point young man tell pay 200 hundred flower arrangement since take one agree . summon security forcefully ask signature flower . meanwhile security harass girlfriend smoke enter lobby . argue lobby nearly 2 hour turn worst stay life hotel let alone 4 season property . ask Manager call come next day avail . experience hotel certainly accord expect base pitch " 29 country one Philosophy " would certainly suggest romantic getaway hotel . Wynn well Skylofts superior choice Vegas . funniest part upon checkout lady ask stay express displeasure literally response . 
 Dec 27 2007 	 Extreme relaxation 	 husband & amp ; spend anniversary 4season . go vegas 10yrs - but first time relaxed hotel want leave property . staff attentive especially pool staff . room spacious , bed comfortable & amp ; coffeemaker & amp ; refrig room . go spa one day also relax . day anniver - the staff hotel cake we room . 
 Dec 27 2007 	 top - notch ! 	 WOW , be say ! town NBA star game airport 6 + hour delay include traffic jam get airport . hotel hear flight leave 3 hour give complimentary limo ride & quot ; VIP & quot ; part airport high - roller celebrity usually get use . bottom line , make flight ! unbelievable service 's beginning . stay afford ! ! ! 
 Dec 17 2007 	 single fault 	 second stay Four season Las Vegas . what like : extraordinary spa good therapist anywhere . hotel oasisi calm Las Vegas . service quality room top notch . what dislike : move Embassy Suites meeting . feel like Cinderella . this good hotel Las Vegas one top hotel USA . 
 Nov 26 2007 	 oasis desert esp . be gambling 	 family ( 2 year old ! ) stay four season las vegas thanksgiving weekend . generally , agree reviews hotel , want highlight following:1 . service truly superior , esp . las vegas . consistent four season globally . request small , everyone , front desk concierge bellman car driver restaurant staff , friendly efficient.2 . love intimate setting . feel like cattle ( like large casino resort vegas / restaurant / airport , spa etc . ) 3 . love fact casino ( none we major gambler ) . smoke - fill lobby , clang slot machine , etc . however , access mandalay bay 's casino fast easy four season elevators.4 . hotel incredibly kid friendly , cater . 2 year old great time , staff kind . milk & amp ; cookie arrival , little stuff animal gift , great patience restaurant , really good kid menus , etc.5 . spa first rate , crowded . wait area 10 seat , compare 50 woman robe slipper wait around canyon ranch venetian ( stay last time ) .6 . verandah probably one good four season hotel restaurant ' ve ever encounter ( ' ve lot ! ) truly great food ( haute cuisine , simple , well execute dish ) fine service . sunday brunch memorable ( actually make small portion everything sample ! ) hotel want be look party / shop / gamble heart strip ( would stay venetian bellagio ) . cab ride $ 15 way pain neck . we , four season close perfect possible las vegas . 
 Nov 25 2007 	 luxury ! ! 	 four season excellent ! ! ! luxury strip view deluxe room surperb . view absolute wounderful evening . cleanear clean room many time day ... perfect ! stuff service mind except much tip .... breakfast .... good breakfast ever little bit expensive we . hotel perfect us 4 star hotel enough . four season luxury we . night it´s lovely ... 
 Nov 17 2007 	 4 season always season 	 stay every big hotel casino Las Vegas year . stay away 4 season though 's lack casino . well wrong ! like put , not . hotel basically 2 hotel one . topic notch hotel service 4 Seasons , Mandelay Bay 's great restaurant pool finger tip . combination ! love stay . need leave property except shop . need help department . stay ! 
 Nov 15 2007 	 great hotel consistent FS experience 	 first time stay four season Las Vegas . stay 3 night business . ' m gambler do not really enjoy walk casino floor get room . really like fact although four Seasons locate Mandalay , be separate entrance . also like private pool though lunch Veranda restaurant good . aside FS consistent service experience FS property ' ve stay . 
 Nov 5 2007 	 little bit heaven middle Sin City 	 recently stay Four season Vegas trade show . wish not pricey could stay ' m pay tab ... guess would not Four season long . check - in flawless . nice touch doorman ask name say welcome back ... prime day return guest ? front desk helpful always ... even accommodate room change could close elevator ... stomach surgery day trip not feel like walk long hall . I view LV airport fine . book cheap rate , not expect strip view . due surgery - induce laziness , order room service dinner night . first night uber - prompt ... 2nd night . call check food . tell would five minute . ten minute later room service manager call say food send wrong room would brought right away . ten minute receive another call food cold bring door re - cooking ... would charge dinner ... include couple Coronas ice cream . you definitely not feel like be Vegas joint . especially come time catch cab . Vegas strip hotel cab line wait go ... four season rarely cab line mean 10 minute wait ... free cold water bottle . the Four Seasons know . first class way . 
 Nov 1 2007 	 outstanding every respect 	 wife return blissful stay LV Four Seasons . know hotel well marry 6 year ago decide return anniversary visit . staff exceed every expectation . the stay begin could bit bump , smooth nicely actually make trip even delightful . anticipate early arrival ade arrangement early check . arrive find one room not vacate , blah , blah , blah ... helpful desk clerk assure would take care take cell number . less 30 minute later , call offer suite trouble . never bad four Seasons experience , take cake ... room absolutely stunning . lovely view , spacious , well keep -- short , exactly expect wonderful chain . not desk person take care , make arrangement cake send dinner . lovely surprise . we two wonderful breakfast hotel -- Veranda -- delighted . could stay entire day , drink yummy coffee reading . the valet staff top notch -- car always ready call always water wait we . if give choice , not think ever stay another hotel city , certainly never stay hotel Vegas . thank four Seasons ! ! 
 Oct 27 2007 	 Excellent - service outstanding . 	 arrive July 22 UK Virign fly prem econ . flight good terminal vegas swift . arrive hotel approx 3 pm , room book superior non strip view . room ready upgrade we 10 minute next category . whilst check comp bottled water offer , escourte lift make way room , room good size , lot space good wardrobe space , bathroom good size , bag arrive quickly , gadget room explain porter .Room fresh coffee tea ( comp ) well free bottled water , good bathroom product . turn goodour stay two trip total 8 day . moderate room look airstrip def airport , floor ceiling window . return visit strip view absoutely excellent would book non strip room well view different .outstanding service conceirge pool guy verdannah resturant . always great table resturant book outside hotel conceirge . would ever stay hotel vegas.a great hotel vegas , forget non casino thing , fact 400 room give great service , comp water ( anytime ) great personal service , casino private door mandaly bay , wait cab check line . 
 Oct 19 2007 	 Outstanding Hotel / Service 	 husband stay Four Seasons mini - honeymoon/40th birthday . ask operator anyplace special shecould suggest restaurant . refer concierge . , concierge send we letter advance visit ask need anything else . upon arrival room , greate nice chocolate cake nice note congratulate we honeymoon . every person encounte call we name . impressive . really nice close Mandalay Bay casino , yet far enough away . spa service amazing . can not wait stay . 
 Oct 7 2007 	 wonderful 	 good hotel stay ever , great pool . Stayed prem . Strip view room , worth every penny ! good service life . stay husband couple year age , go back husband , brother sister - in - law . 
 Oct 3 2007 	 would not stay anywhere else 	 husband return short 4 day stay Las Vegas stay Four Seasons . wonderful experience . entire stay calm serene . check - in smooth everyone contact extremely pleasant helpful . housekeep phenominal ; never see piece paper floor always someone clean something somewhere . become ill first night comtemplate go hospital . husband go front desk speak someone within 5 minute 2 security guard night manager door . luckily problem resolve not go hospital . next day receive note Assistant Manager inquire health along plate pear , chocolate cover strawberry large bottle & quot ; Four Seasons & quot ; bottled water ! night manager also leave message voicemail inquire condition offer assistance whenever need . really nice touch ! also nice ice cold water bottle place car retrieve valet . we 2 minute walk Mandalay Bay shop , restaruant casino . downside hotel end strip , necessary take tram Mandalay Bay Excalibur walk across pedestrian bridge MGM get monorail ( $ 5 per ride ) want get center strip . gladly though return relative calm Four Seasons fill hustle bustle strip . 
 Sep 17 2007 	 class . 	 agree wholeheatedly last 2 review early Sept. Hotel staff call name day ! express elavator 35th 39th floor.never wait minute . after 2 visit evening bar , , & quot ; usual Dr Prahlad ? ? & quot ; bartender , & quot ; never long time . ! ! final touch ice cube make frozen ice tea ice tea , does'nt get water down . got great rate [ -- - ] call specific question . 
 Sep 12 2007 	 get well 	 Quiet , refined , relaxing , first class . find well room . find well bar . find well pool . however , find well combination amenity present unpretentious , customer focus believe Vegas , nice , friendly staff . rude acceptable property . staff show real concern satisfaction . 
 Sep 6 2007 	 Best non - gamblers Romantic Luxury 	 bit secret , Four Seasons room top Mandalay Bay , Four Seasons usual top service amenity . not want walk casino navigate hotel , place . traditional 5 star hotel lobby ( slot , smoking , etc ) , soothe , quiet , luxurious ambiance . staff eager serve , make feel like one place . room top notch -- 42 plasma dvd , vcr . huge bathroom soak tub , fluffy robe , massive towel , spa toiletry . fabulous bed pillow comforter . floor ceiling window view mountain Strip ( since 4s extreme south end , get great view ! ) . room coffee , tea , fridge apple front spa desk everyday . complimentary bottled water . favorite touch dimmer switch every lamp . could read night without bother spouse could dim light watch movie . top notch spa site . pool huge , two whirlpool attach via card access gate 11 + acre Mandalay Bay 's & quot ; water park & quot ; like pool area . teen would love . , get good world . slip suit , meet pool staff entrance pool set chaise choice ( shade ? ) cushy terry chair cover , give huge fluffy towel bring pitcher ice water . need spritz Evian keep cool ? Cucumber slice eye ? problem , house . poolside bar food service available bad price either . delicious fruit smoothie $ 8 large grill chicken salad $ 15 . tire calm classic music pamper , take 4s card key go path adjacent Mandalay Bay pool complex rock music blare access lazy river , wave pool , sandy beach , etc . bring blow - up tube home avoid $ 20 per day charge rent tube be set . need choice eat , , ' ve get good steakhouse Vegas Charlie Palmer right four Seasons raft restaurant adjacent M. Bay hotel . want gambling , be . , back Four Seasons cocoon , forget smoking , loud , bright side Vegas ... be ready night town . , hop cab , Mandalay Bay , take free tram far Excalibur . , heart south strip lot easy walk . wish would keep pool open dark . ' kid time , lot accommodation little people . 
 Sep 3 2007 	 World Class Hotel 	 book hotel base comment Trip Advisor perfect people describe . part round trip US desire go Las Vegas realise good base see Grand Canyon . husband travel two son Age 12 10 love Vegas . four season top four floor Mandalay Bay hotel , result quiet , gambling hotel ( mean tranquility ) advantage access facillitie Mandalay Bay Hotel - notably huge swimming pool wave machine Lazy Man 's river boy adore . service excellent moment walk door - water arrival counter 115 degree heat . little early check let we one room immediately phone we soon room ready . child 's bathroom alphabetical sponge name , lay bathroom , return room evening provide Coca Cola Popcorn - quite want bed time nice touch nevertheless . the concierge incredible every possible information finger tip able book show instantly - would say good concierge ever experience . 2 night see two show visit Grand Canyon helicpopter ( 30min drive away pick ) .Overall great stay Four Season make everything perfect Las Vegas . ( go gambling ... ) 
 Sep 2 2007 	 okay stay 	 let start say ' ve stay MGM , Mirage , Wynn , Ritz Carlton Vegas . ' ve read many review regard FS Vegas location agree comment . room : room bland ( borderline dull little outdated ) . premier strip view delux room . 1 sink bathroom separate toliet closet , nice shower . room large 46 inch flat screen lcd television . furnish outdated bed not comfortable . rate room B+Room Service : call espresso shot cappuccino room service attendant rude . imply wait would long back . say something along line & quot ; really want coffee , will take 25 - 40 minute & quot ; . ask regard pasterie coffee kind say & quot ; yes not really time & quot ; . kind answer horrible . rate FLocation : although people like fact casino resort , really one turn off we . come way Vegas want non - casino destination ? well , perhaps go somewhere else . ' ve stay Ritz Carlton Lake Las Vegas resort beat resort hand far & quot ; non casino & quot ; resort tranquility . resort kid friendly either . kiddy pool service cater kid . rate pool -- bprice : price Saturday evening premier strip view room $ 525 . cheap consider Wynn parlor Suite $ 499 time Bellagio Penthouse suite list $ 599 . FS Vegas resort far one expensive hotel Vegas . rate room -- f.service : fact room service stink , bellman nice , valet efficient informative , front desk professional , concierge ask . A++ service professionalism . overrall : desire non vegas destination close enough gamble , would recommend Ritz Carlton Lake Las Vegas Westin Vegas resort . price , FS Vegas meet expectation . 
 Aug 27 2007 	 Great FS experience 	 return 6 night stay FS Vegas . fourth time city really look forward break , always please FS property . turn disappointed . FS provide ultimate balance great service ( often miss even good mega hotel Strip ) easy access glitz glamour make Vegas break . room typical FS , quietly classy , service make stand . every member staff seem attentive , especially pool , delightful . food Verandah also good , although would agree previous poster separate lounge bar would good , Verandah close early . really great hotel , stay Wynn last year , venetian year back , good Vegas offer ( although believe first timer try big hotel first , make clear difference ! ) . travel agent many 5 star property around world comes highly recommend . 
 Aug 19 2007 	 Best Vegas Four Seasons 	 hotel good vegas , want stay away crowd . cater every whim . notice make dinner reservation get good table restauarant choice . strip view room nice , nothing outlandish . pool nice quit come around frozen towel , evian spritz , ice 's . staff pool great . love steak ( ) must go SW Wynn . simply best . dare say well luger' . enjoy . 
 Aug 19 2007 	 Peace away Strip 	 previously stay FS Maui absolutely perfect , decide would good another FS experience . rate average , part , . lovely able return evening tire day quiet hotel welcome door staff lobby . desperately need lounge bar guest quiet drink retire bed . find Concierge staff , namely adrian , Leilani , Stephanie , Nikki Denise extremely helpful , knowledgeable friendly . sadly could say front desk staff exception Brandon lovely . my husband son spend every morning 7 day stay pool impress attentiveness staff , especially z.the room comfortable , bed . encounter construction work noise mention other feel warn front desk staff not . complain receive $ 30 per day serenity package . also air conditioning work properly often wake we middle night describe sound lady scream . also feel cool do . housekeep part good job occasionally miss certain thing like put enough toiletry put coffee water room Laundry manage shrink one shirt go launder otherwise fine . we lucky enough give lift courtesy car three occasion feel well look overall . taxi exception two , absolutely fine always take quick route . one word warn UK traveller , advisable carry photo ID place refuse serve without . majority need check signatory ID credit card . encounter rude woman would ever meet try get Shark Reef Mandalay Bay insist see photo ID tell not carry photo ID UK , argue we become hostile , refuse entry , angrily flash hand dismissive way proceed bad mouth we colleague full view wait queue . raise voice feel retaliation either necessary justify . sadly not get another opportunity go back find see plenty anyway . 
 Aug 10 2007 	 Peaceful 	 lovely set top Mandalay Bay . serenity upon enter . room spacious . birthday , date give reservation . get date wrong , leave little cake room . far south end strip bit hike hotel . taxi driver consistently try rip we . & quot ; $ 6 . will keep rest , ok ? & quot ; - try turn tip $ 10 one . 
 Jul 31 2007 	 enjoy stay 	 wife stay Four Seasons business conference . certainly fact business pay stay help make cost stay palatable . hand , experience front desk staff housekeeping top notch . nice thing casino first floor nice escape smoke noise Vegas know . one downside require valet service want park car overnight , cost $ 16 / night . good news park Mandalay Bay free be willing take short walk Four Seasons . room nice though not think big Venetian . toiletry nice L'Occitane . nightly turndown service 2 bottle water make come from100 degree summer heat welcome . extensive tv channel flat screen tv nice , though not spend ton time room . overall , find experience excellent though ' m certain personally would pay rack rate $ 500 / night . 
 Jul 12 2007 	 Construction Noise 	 be think stay four season time soon , warn . construction noise Mandalay Bay Hotel ( floor ) travel even top floor Four Seasons ( stay ) . vacation , jack - hammering would begin 7 a.m. 9 a.m. would extend , intermittently , 5 p.m . exactly relaxing stay expect , Four Seasons ' staff appear care situation . fact , get feel tired hearing guest repeatedly complain . however , Four season ' reputation , price charge room , certainly expect wonderful experience , quite dismayed treatment . another disappointing aspect stay terrible front desk staff . woman front desk / reception , particular , unfriendly , demeaning snobby . give far less & quot ; five star & quot ; welcome . on positive side thing , pool service top - notch , breakfast Verandah restaurant outstanding . beyond two & quot ; high point , & quot ; fail see make property oasis desert . well experience Caesar 's Palace ! , be mixed bag Four Season , certainly would recommend anyone book property , least construction Mandalay Bay complete . happy travel ! 
