great 	 stay 3 kid . connect room . spacious , quiet , comfortable , nice pool , nice restaurant , great location , good value . nothing complain . 
 nice accomodating 	 stay Park Lane 6 night business . proximity Tube outstanding . concierge front desk always helpful never overbear . stay Room 431 , standard room . view , could not care less . room probably 90 % size room would expect States . travel Europe , know pretty good sized room . everything clean . breakfast , ask conierge send little shop block away North Row . much cheap well breakfast . another review right . lot great restaurant around . enjoy go Marlborough Head pub standard English fare hand - pump beer . everyone nice there . only con : daily charge wireless internet . 2 - 3 extra fee tack roomservice ( delivery charge , tray pickup charge , etc . ) safe travel ! Mark 
 Mar 9 2005 	 gem hotel London 	 return four day London love Marriott Park Lane . feel boutique hotel amenity five star hotel . hotel contemporary many deluxe London hotel decor warm welcoming . bathroom marble shower bathtub also hand hold washer . addition towel warm especially nice cold day . twice daily maid service . always plenty clean towel . room even refridgerator space personal item . store delicious slab English stilton . besides usual wardrobe , another cabinet granite top use bar area . tea coffee maker room great morning . beautiful view Hyde Park . hotel supply umbrella room , hair dryer safe . also internet service room bring computer . although traffic avenue outside , could hear noice room since well insulated . staff friendly helpful . concierge great suggest restaurant dine delicious choice area Le Boudin Blanc La Genova . hotel wonderful business center go internet check e - mail . gorgeous indoor swimming pool great way relax business sightseeing . also location perfect since tube stop across street . however , enjoy tube right outside hotel bus stop numerous bus stop go London . dine restaurant Sunday luncheon . English Mother 's Day drop without reservation . restaurant fully book welcome we eat bar great time . bartender quite friendly enjoy watch people . food reasonable good roast beef Yorkshire pudding ' ve eat . chef excellent . , much enjoy stay would hesitate recommend hotel . 
 Feb 11 2005 	 London luxury 	 stay Jan 29 - Feb 1 , 2005 . hotel beautiful people work friendly helpful . room large , bathroom huge big tub hand hold shower , well separate stand shower also handheld faucet . even though room corner room look busy Oxford Street , traffic noise penetrate soft comforter comfortable bed sleep great . also use pool , clean large enough swim lap . adjacent 24 hour work room . Coffee / tea service hot pot complimentary room amenity , well room safe daily newspaper . bar nice dollar exchange putrid drink cost $ 12 martini . good part hotel help get concierge desk . excellent advice , always mark get . location convenient Oxford Street shopping , across street Marble Arch tube stop . major bus stop locate right front hotel easy get around location . 
 Dec 29 2004 	 beautiful hotel great location 	 wonderful hotel conveniently locate across street Marble Arch Hyde Park . easy walk distance many shop store Oxford Street . also convenient Marble Arch tube station . lobby modern inviting . fact , entire hotel blend modern touch warm friendly atmosphere . staff pleasant efficient . room lovely , do beautiful cherry wood comfortable bed , nice bathroom . would highly recommend business pleasure traveler alike . 
 Nov 19 2004 	 well 	 well . stay London MAriott Park Lane 4 night October ( point ) horrible stay . room unusally small dark . one window room look air shaft . bed comfortable ... hotel staff rude unhelpful . greet hello suit , every day wear . 
 Nov 4 2004 	 Lovely Hotel 	 Beautiful hotel , efficient , pleasant service , excellent location Park Lane Oxford Street , three minute walk Marble Arch tube . extraordinarily modern , fair sized room . recommend . 
 Oct 5 2004 	 one great hotel ! 
 Oct 1 2004 	 Great London Stay 
 Aug 16 2004 	 agree Marriott 's hide gem ! 
 Jul 28 2004 	 unique Marriott 
 Jul 3 2004 	 poor experience luxury hotel 
 Jul 3 2004 	 Excellent Expensive 
 Mar 21 2004 	 Love Hotel 
 Feb 11 2004 	 Excellent service 
 Jul 16 2003 	 great stay 
 Jul 11 2003 	 Excellent ! 
 May 21 2009 	 très bonne situation et très agréable 
 Apr 17 2009 	 pourquoi pas 
 Mar 31 2009 	 Perfetto 
 Jul 5 2008 	 Ottimo hotel ! 
