far 	 great fortune stay Intercontinental Park Lane Hotel , London , last 2 day . Medical Conference , stay hotel ( well cost conference ) pay Abbott Pharmaceuticals ( ' thank ' help produce drug protocol ) . Conference hold ExCel ; 10 stop DLR another 5 underground - leave Conference grumbling distance travel get hotel ! well .... would travel twice distance hotel ! arrive Reception 7 pm , horrible queue check - in , meet smile face lady book . make absolutely reference fact give luxury suite - simply give room ( suite ) key , informed 1st floor ask require anyone carry bag . decline offer carrier ( bag not posh , not want embarrassed ! ) take lift . say , wonder door say ' spa Intercontinental ' get , exhausted throw body door . open door expect see exactly one find every hotel - bed close door , tray near door kettle , trouser press etc . .. oh . actually greet open door opulence ! ! shine black tile floor , gleam wooden door . put light , still sure look , see door front , assume door leave bedspace - , ... ! stunning walk - in wardrobe , bar - area prior ! loo large standard downstairs toilet - area 1st close door . .... open heavy double - door face , find ENORMOUS bedroom , beautiful bed , curve sofa one end , chaisse - longue . Glass finishing everywhere , , think have see , another door huge bathroom illuminate Spa , wet room rainforest shower another loo ! view window ParkLane Picadilly Hyde Park ( splendid German Xmas Market ! ) one main reason write review stay lot place lifetime ; ' ve stun 5 - star hotel SWitzerland skiing , across Europe , Americas wide world . hotel profess probably aspire , none quite deliver , opinion , profess . intercontinental seem play description ! know not expect opulent stay ( 3 - day conference work ! ) expectation fairly low ; however , since ' ve return home find description Spa suite website ! room , incidentally , 106 . really lucky , believe Pharm Co over - subscribe , therefore upgrade . however , seem wonderful staff take enormous pride ensure stay match luxury stay thereafter ! not grumpy face amongst ! lovely lady offer ' turn ' , cheerful Kimberley sort extra night - ( ! ) yes , stay hotel staff see remain ! HUGELY impress night security man , John . unfortunate temporary ' loss ' handbag bar one evening like shot , despite incident hotel . scrutinise CCTV find bag ; remember perfect gentleman ( tell ex - military ; - however think impeccable manner credit personality , rather military background , well hotel ) oh , way , bag mislay - course ! finally , We d 25th Nov , beautifully relax illuminated Jacuzzi bathroom , come ever - so - reluctant check , could believe lovely lady behind desk ( wish have get name - think French ) offer help carry bag outside , also insist leave post come outside walk end road could show Tube Station ! never care attention yet , say , stay high quality hotel life , generally ski leisure . I highly impress wonderful place would give eye - tooth return one day . however , sadly , not think would ever able stay Spa Suite , room 106 ! memory ! thank Intercontinental Park Lane unmatchable hospitality . would love could put picture 106 site , , great staff , really proud ! kind regardslouanne mccabewinchesterhampshireuk 
 Sep 27 2008 	 seamless 	 day London sight see way home trip Italy . intercontinental perfect hotel experience . ' m always search hotel update exercise facility . gym hotel everything need good workout location ideal , situate Hyde Green Park . room small , however request outside room , bit large . love decor , bathroom clean rain shower head . conceirge friendly always full great suggestion . restaurant staff fun eager please . hotel great business traveler couple look quiet room great service . overwhelmed friendly staff . upbeat , yet mellow mood throughout hotel . 
 Sep 26 2008 	 Suite dream 	 two stay property last couple month , love . wonderful airy club lounge great view south London high window . lounge serve great breakfast - hot option well cold , various tidbit day . complimentary champagne 6pm . really comfortable bed suite , cushion galore , bathroom nice . staff great . walk straight hotel stroll Hyde Park shopping Knightsbridge . 
 Sep 24 2008 	 great place stay 	 really enjoy InterContinental , superb room comfy bed long day walk around London ! close Hyde Park Corner underground station easy walk street Langhams along Piccadilly . 
 Sep 10 2008 	 love place 	 Booked Hotwire 5 night $ 215 per night . hotel beautiful , service excellent , room luxurious location middle everything . not expect much view Hotwire price , budget , try buy anything hotel ( e.g . cup coffee $ 9 ) 
 Sep 10 2008 	 small comfortable . 	 husband stay Classic Room weekend . pay £ 200 inc vat night . enjoy stay , room comfortable decorate woolly , traditional style ( charm ! ) room well equip though , Bang & amp ; Olufsen tv dvd player . bad point room size small ( 18 foot ) shower curtain - never experience good hotel - can not really enjoy shower shower area small slimy curtain get way . everything else room great , location perfect , walk Oxford St , Edgware Road , Mayfair etc staff great . would visit would pay anymore . want pay , would opt fashionable room Waldorf , Aldwych . 
 Sep 1 2008 	 5 * Excellence Great Location 	 daughter enjoy 4 night standard room Intercon Park Lane . service excellent throughout stay . trouble check ' find ' room - hotel full , treat drink bar appropriate room find . example great service - wait concierge desk enquire theatre ticket another guest serve . one minute , someone check desk come assist we . another time , sit lobby wait daughter run room forget item . employee come shortly seat enquire anything want . employee offer attentive , friendly service . the room view Hyde Park , high quality linen , ample towel amenity , one comfortable bed ever sleep . absolutely noise street unless , course , choose open window . room plenty space bag . comfortable chair relax watch tv long day sightseeing shopping appreciate . eat breakfast morning restaurant hotel . ' continental ' buffet . pricey , good selection bread , roll , muffin , fruit , juice cereal ( happy prepare hot cereal request ) , good coffee ( essential mind ) . daughter order la carte . selection morning - creature habit - check , noticed point one day not charge enough another charge extra . apology , remove entire charge breakfast overcharge not amount undercharged breakfast . impressed nice touch apology - definitely go extra mile correct . the location 2 minute Hyde Park Corner tube station Picadilly line . take tube everywhere , day evening , stop handy get tourist site . enjoy right next Hyde Park walk park several occasion . I definitely stay hotel , well worth price . 
 Aug 24 2008 	 fantastic room bad location 	 room amazing , bed super comfortable bathroom clean modern . hotel clean modern friendly service . course high - class hotel , food drink chart eat elsewhere.5 minute walk Hyde Park Corner tube station , stair bit tire large luggage . Nobu restaurant ( one London 's well review japanese restaurant ) right across street . for shopping , take Tube couple stop away Piccadilly Oxford . Knightsbridge one stop away . if budget , would love come back . 
 Aug 5 2008 	 memorable experience right reason ! ! ! 	 partner book we 1 night intercontinental memorable stay London get engage . hotel accomodate spend much time phone conversation boyfriend arrange plan would move big well room decorate especially big event . even go trouble source favourite drink make available room . the room amaze stunning view London eye Big Ben . truely amazing night make special effort . staff polite friendly make feel special next morning ask look ring wrap rose . I can not thank enough work new fiance support make feel like princess 
 Jul 1 2008 	 big improvement intercontinental hotel London use 	 Intercontinental London Park Lane conveniently locate across road Hyde Park Corner Underground Station Piccadilly line . the entrance foyer rather cramp two door man busy talk help we luggage opening door . as enter main lobby immediately go small number step reach main reception . the main lobby pleasant enough particularly grand like number five star hotel . although refurbish , design give impression luxury hotel late 70 ' , nice quality rather dark small . please ' let initial part hotel put , entrance without knock half building start would hard make major change . Priority Club check - in desk leave reception desk . the reception immediately front enter , right Theo Randlle Italian Restaurant receive excellent review ' use occasion . leave concierge guest relation desk far leave main bar another brassiere style restaurant . we approach reception immediately welcome member staff . prior arrival hotel email questionnaire ask trip , extras may require , magazine , butler , flower , restaurant reservation etc . think good . the member staff inform we upgrade 1 Bedroom Suite book 1 Bedroom Luxury Suite . give key card , quick explanation could use Club Intercontinental Lounge 7th floor show lift . ' accompany suite assistance give luggage however two small overnight bag ' really need . we arrive suite ( room 410 ) 4th floor , electronic key card open door work first time ( quite challenge hotel assure ! ) .On enter suite small hallway guest bathroom ( toilet vanity washbasin together large bottle Elemis Hand wash Elemis Moisturiser ) , small round table box tissue . opposite guest bathroom full length mirror area baggage , etc . further suite dining table four person , table welcome card hotel manager , box Duchy Cornwall biscuit , small bowl fruit 750ml bottle English still water . next dining table desk normal internet connection , multi line phone etc ; drawer WIFI repeater ensure good internet connection . the dining area lead onto main part living room consist nice comfy sofa , two arm chair floor lamp together coffee table two side table . position around nice wood panel wall unit build 32 " Bang & amp ; Olufsen LCD TV , separate Bose Wave Sound System Bang & amp ; Olufsen DVD Player . the tv various language ; English , Czech , Danish , german , russian , estonian , Spanish , French , Greek , italian , dutch , norwegian , polish , portuguese , Finish , swedish Turkish . the tv follow channel : BBC1 , BBC2 , ITV1 , Channel 4 , Channel 5 , Sky News , CNN , BBC News Channel , BBC World , Bloomberg , CNBC , Al Jazeera International ( English language ) , Sky Sports 1 , Sky Sports 2 , Sky Sports 3 , Sky Sports News , Eurosport , Al Jazeera Sports 1 ( Arabic ) , Al Jazeera Sports 2 ( Arabic ) , Dubai Sports ( Arabic ) , Quatar TV ( Arabic ) , Saudi 1 ( Arabic ) , Saudi 2 ( Arabic ) , Dubai tv ( Arabic ) , Abu Dhabi tv ( Arabic ) , Al Arabiya ( Arabic ) , Al Jazeera ( Arabic ) , MBC , MBC 2 , tv 5 ( French ) , Das Erste , ARD ( German ) , LBC ( Arabic ) , Rotana Musica ( Arabic ) , CBBC , C Beebies , Rai Uno ( Italian ) , TVE International ( Spanish ) , RTP International ( Portuguese ) , ERT Sat ( Greek ) , RTR Planeta ( russian ) , TRT International ( Turkish ) , JSTV ( Japanese ) , CCTV 9 ( Chinese ) , PCNE ( japanese ) .Internet also access tv use wireless keyboard charge £ 27 24 period unlimited use Movies demand , Music demand ( separate Bose Wave sound system free ) internet tv.the coffee table front sofa selection magazine request pre stay questionnaire plus couple extra one , current issue . the view living room window amazing ; look directly onto Wellington Arch , New Zealand War Memorial Hyde Park Corner . the living room nice thick double door ( walnut wood ) lead bedroom . the bedroom large King Sized bed , attractively decorate many large pillow . sheet excellent quality , bed comforter comfortable . the bedroom also Bang & amp ; Olufsen LCD tv build wooded wall unit . large mirror hide behind little door wall unit could also utilise dressing table . next bed second Bose Wave Sound System also act bedside alarm clock radio . the bedroom light good , two bedside lamp , head read light even little night light next bathroom door build floor ( turn ) . bedroom view living room . there also good sized wardrobe , build drawer , iron board , proper hairdryer , laptop safe , valet box shoe shine bag ( leave outside complimentary shoe shine ) , laundry bag shoe horn . there another small area luggage leave . the bedroom lead onto bathroom area . bathroom large bath good ergonomic design support whilst bathing , bath build handheld shower head wish wash hair whilst bath . double vanity unit , separate shower cubicle rain head shower , toilet bidet . there copious amount Elemis Toiletries , body wash , shampoo , conditioner , body lotion soap . 100ml bottle 3 type . there good amount towel , large bath sheet , floor mat two large robe . once unpacked head Club Lounge 7th Floor . Club Lounge access free guest reside suite . non suite guest additional charge list website . the lounge reception desk lead hallway male female toilet ( Elemis Toiletries ) separate shower room arrive early room ' ready . as turn leave enter main part Club Lounge , ceiling rise greet excellent view Wellington Arch Hyde Park Corner large floor ceiling window run entire length room . there different seat area include sofas , formal dining table individual stool runner like coffee shop . the Lounge three computer ( two window laptop one apple notebook ) complimentary internet access . there two large plasma screen tv ' sofas face opposite end lounge , show Sky News arrival could change ask staff . at far end lounge library area good selection magazine travel book together national international newspaper . in centre lounge raise area complimentary buffet . Coffee Tea ( loose leaf many variety ) available day either self service ask member staff . also fridge nice fresh fruit juice , water soft drink . could ask drink staff . a selection nibble , crisp , nuts rice cracker always available . there also selection small cake biscuit available next coffee . a lunch selection sandwich various different filling put regularly replenish together good selection cake . at 1500hrs afternoon tea serve help selection sandwich , cake , tea cake , scone , James cream . tea coffee make member staff ask . nice could help Complimentary champagne . at 1800hrs evening selection nibble , olive , crisp together full bar ( help ! ) hot canapés tempura prawn , chicken satay even club sandwich serve , together selection cheese biscuit cake . enough fill ' particularly hungry . after afternoon tea go back suite find member staff deliver two glass ice cold champagne , bowel fresh strawberry lovely chocolate birthday cake partner . another bowel fruit water together small birthday card hotel staff . we one small problem room overnight pack supply bathroom razor toothbrush inside open previous guest place back shelf . personally blame previous occupant put back shelf dispose . mention Club Lounge host ask dif could new one . return evening overnight kit replace write apology Housekeeping Manager box nice chocolate truffle . ' expect nice gesture . hope member staff ' get trouble . we excellent night ' sleep , noise despite Hyde Park Corner . breakfast next morning serve Club Lounge . nice selection fresh fruit fresh pastry serve together normal continental selection meat good cheese selection . you could also order hot food lounge host , partner tell poach egg well ever serve bacon tomatoe round toast . there breakfast menus around , ask cooked selection . the lounge staff friendly helpful , allow late checkout 4 pm offer use Club Lounge long need train depart late . overall excellent hotel , good position , good service good value money compare London hotel . big improvement Intercontinental hotel London use . 
 may 30 2008 	 Great Hotel Location silly phone charge 	 one well 5 star stay . got London least year use Hotel . phone line charge local call really high defeat purpose prepay card ( ie 1.5 pound plus .5 pound minute 5 pound ) 
 may 17 2008 	 customer service disaster 	 attend event book stay additional night . booking lose . Room clean next day 18:00 ask we go away clean it . pay departure , lose payment . contact husband company look payment , say paid.7 phone call 23 email later would confirm customer service dreadful . 
 May 17 2008 	 Afternoon Tea 	 part sister 's birthday celebration , mother , sister spend day shopping London book afternoon tea Park Lane Hotel . at first , go wrong hotel careful walk past front door ! first walk , decor atmosphere lovely tranquil not appear specific reception desk initial confusion gentleman / doorman greet we not seem know talk . nevertheless , get initial hiccup show Palm Court , wonderful example Art Deco fantastic high , arched glass ceiling feature . we show seat , right next harp , sink huge , soft sofas amid dim light airy atmosphere . service impeccable ; attentive without hassle we , friendly without overbearing feel like queen . opt Art Deco Afternoon Tea , include glass champagne . whole experience afternoon tea wonderful list different tea long arm , dainty finger sandwich , variety scone preserve patisserie almost pretty eat . at approximately £ 45 per head , might think 's worth afternoon tea give second helping sandwich stay four hour ! must glad get rid we certainly not show ! perfect way recharge successful shopping trip . 
 May 16 2008 	 true 5 star luxury Intercon 	 stay Intercon weekend ago & amp ; remember old tired 1980 's building use like , multi million pound investment , property come back truly 5 star market . lobby small international standard & amp ; bar area slightly souless , room refurbish & amp ; offer great view Hyde Park , make sure ask front room internal well , may view unlucky . size room small new Hotel standard beautifully refurbish usual 5 * luxury would expect , bathroom small clever use mirror give illusion space . afford upgrade , get use Club Lounge 7/8th floor . free Breakfast / drink / afternoon tea & amp ; evening canape offer . actually well worth extra money exclusivity & amp ; truly away peasant ! 
 May 12 2008 	 wonderful Wet Weekend London ! 	 book Interconty Park Lane boyfriend spend weekend bday . add encouragement time work company get hefty discount - know really lucky get - even , think would pay full price great ! location : right Hyde Park corner . overlook park . road lead Piccadilly Circus , due triple strength window , ' even hear car horn . great get West end shop Kensington . BF Geordie , never London , hotel great show side it . hotel : luxurious foyer area doormen , everyday , polite rushing help whether dripping Armani . offer we umbrellas Awful ( ! ) weather experience . think upgrade check ' tell , assumption . room spotless ! absolutely perfect . massive tv huge bed ! bathroom amazingly clean bath power shower . nice touch room ' get everywhere , bathrobe , toiletry , tissue . also really comfy lazy chair desk Housekeeping polite . staff seem smiley friend - department least friendly , reception ! surprise ! boyfriend ' actual birthday , return room find chocolate cake happy birthday message , especially hotel . concierge look we really well . question- answer - professional . even organise we guest list club , next morning see we , ask ! really lovely remember we ! price alcohol mini bar sky high , 5 * , London , even estimation , £ 20.00 two shot Vodka 1 coke steep ! , thing dislike guest stay . instance , leave day huge parade St Patricks Day one guy , think cause wear short sunglass ( awful pour rain might add ! ) , could shout high heaven staff could see going take hour long get airport flight due parade , make effort make aware ! stomach people like , look anybody last season ' fashion nose turn , please go interconty . my boyfriend wonderful weekend , despite rain , make even special way treat look fabulous staff . would like return eat Theo Randall ' one day ! 5 * staff 5 * hotel , everyone want money ! 
 May 1 2008 	 Superb 5 * 	 stay one night son ( 17 ) twin room - ' m actually sure standard room use Priority Card point ' pay ' - excellent ! superb quality linen , towel , gown slipper . high quality toiletry , plenty tea / coffee Bang & amp ; Olufsen tv Bose wave system ( can not bad ! ) . bathroom ( especially huge shower head ) superb . book twin ( obviously son tow ! ) Queen soon zip apart bed re - make later evening . breakfast absolutely superb - good quality fresh fruit , yogurt pastry son enjoy omelette hot buffet . location excellent 2 tube station close ( 1 two minute walk via underpass 10 minute walk ) . Hard Rock Cafe literally door step , eat dinner Automat Dover Street evening ( 10 minute walk away ) Richoux lunch ( 15 minute away ) . faultless - would certainly stay ! ' picky ' need cater ! 
 Apr 27 2008 	 great location great service ! 	 wife stay room 476 5 day April Pampered Chef reward stay . must say , room service fantastic . large king shower wife describe & quot ; religious experience & quot ; . hot water endless . other group less luck hot water problem we . tv large flat panel front input . room tastefully decorate include extra outlet ( include 110v ) surround desk . inernet access wire pay per use . wireless connection weak use room . we use gym facility look adequate . serve breakfast morning . food standard hotel fare average . drink lounge one afternoon price in - line hotel quality . one good part hotel staff service . never time see staff without friendly smile time would go way help anyone time . often seem staff assign we ! location nice rather short walk easy access Hyde Park underground . good , solid hotel great choice relax stay . 
 Apr 3 2008 	 good hotel 	 hotel 's location unrivalled . walk park Knightsbridge , Buckingham Palace , everything else also walk distance . opt tube bus , be around corner . can not convenient . hotel brand - new inside . modern chic , fashionable . anything room size , course . building 70 . room size . okay , average . Breakfast also good standard , lack expect 5 * hotel - but , well , Britain , London . sparkle wine , probably call european roll downright inedible . choice bread impressive choice really fresh fruit . compare hotel London comparable standard , definitely recommend IC . cost - effectiveness - ! London UK- really good . 
 Apr 2 2008 	 super 5 star hotel give great London experience 	 Intercontinental London Park Lane Hotel super efficient , luxurious hotel beautiful room bathroom provide every comfort five star London experience . executive room beautiful add use executive lounge enjoyable term lovely lounge seventh floor give great view Marble Arch Hyde Park . fact Intercontinental Park Lane advantageous position visit London - Hyde Park doorstep walk right next main shopping area Oxford Street Bond Street plus near enough walk Knightsbridge museum Piccadilly theatre . behind hotel area rich cafe small wind street shop . staff super friendly kind . thoroughly recommend hotel business pleasure . breakfast good . 
 Mar 30 2008 	 everything expect five Star Hotel 	 five star experience arrival checkout . well sized room finish contemporary style , flat screen hd tv . bed bed excellent . room well maintain . gym clean relatively small equip free weight , univeral gym type equpment , stationary bile , exercise ball etc . upgrade $ 120 use 7th floor Longe come great view Hyde Park . lounge provide full service breakfast hot / cold snack . happy hour complimentary . Tthey also three computer set guest use lounge . downside drink long distance call expensive could hear traffic noise time . we also stay Marriott Park Lane nice intercontinental first choice . 
 Mar 25 2008 	 Fabulous Hotel Windsor Tour 	 single woman vacation stay Intercontinental Park Lane London . Perfect Stay . everything butler . the concerige set guide tour Evans Evans Windsor , Stone Henge Oxford . Loved love love ! 
 Mar 24 2008 	 Outstanding service 	 excellent holel stay recent trip London wife 's birthday . could fault hotel service , room , food ( eat hotel resturant , Theo 's - exceptional italian style ) . stay London many time business pleasure . experience doubt stay anywhere else . 
 Mar 24 2008 	 Relaxing 	 great hotel situate right Hyde Park . bit worried might noisy room due ' location next busy roundabout , decent double glazing keep disruption – ' hear whisper . buffet Breakfast fantastic – sort great food , freshly make fruit smoothie , freshly cook egg , pastry . breakfast room cost , think ' miss out . it ' recently renovate , room top notch – big fluffy duvet , comfy bed nice b+o flat screen tv . shower wonderful rain shower great . one negative would size room – Superior Room , one step small room bit small side , especially bathroom . however , London bless much small room ' make big ! want large room ' go need pay . staff reasonably efficient – front desk porter welcome friendly , little bit slow offer coffee breakfast , otherwise good . location fine – close tube , Buckingham Palace Parks . summary , relax nice hotel – wish could stay often . 
 Mar 16 2008 	 Sophisticated expensive 	 wife want weekend break , book room Priority Club point . welcome big hotel style ( cold efficient ) tell grade superior room , room good albeit bit small , plush . I spend lot time room ; however , range tv channel extensive . I use restaurant , drink bar , however , cost scale expensive , would go back – yes , great hotel visit . 
 Feb 4 2008 	 Perfect Balance 	 recent refurbishment property mean one good 5 - star product London ; stylish contemporary public area , comfortable well - equip guest room , staff provide exceptional service create great atmosphere friendly , welcoming , relaxed professional . attention detail especially noticeable , carry area . food beverage operation excellent , breakfast Cookbook Cafe especially efficient . highly recommend . 
 Jan 17 2008 	 bad Customer Service ever 	 corporate trip book AMEX . desk staff lose reservation , put another room , promise 3 time correct mishap , bill personally . lengthy process , hotel continued demand pay personally . the service stay poor service stay . desk staff truly ignorant . the blood stain carpet thrill either . Intercontinental 's luxury status scatter . my condolence future guest . 
 Jan 15 2008 	 Excellent hotel ! 	 stay InterContinental Park Lane one night husband 2 young child . staff friendly welcoming , child give book toy , concierge helpful knowledgeble , overall , excellent hotel . 
 Jan 8 2008 	 good location ... 	 spend 1st year holiday hotel . second time bad find first time well . good location , something miss 5 star hotel .... 
 Jan 7 2008 	 Horrible Service ! 	 boyfriend really enjoy first stay hotel couple month ago decide stay time around . bad stuff : -doorman stand watch carry luggage . offer help . ' Good Morning ' ' welcome Intercontinental'.-When go evening , doorman taxis although wait 15mins . walk road catch taxi.-we drink bar couple friend one serve we 20mins time drink come , tell bar close . not tip waitress lousy service not receive change ! conveniently pocket it.-no bedroom slipper deluxe room . -ordere breakfast room ( late breakfast downstairs ) toast BLACK . side . brown , black . Granola taste like styrofoam rest food mediocre . I email hotel management twice complain still yet hear . be three week since ! not think stay anytime soon . worth money ! 
 Jan 6 2008 	 Fab Intercontinental 	 recently return two night weekend stay Intercontinental Hotel London , Park Lane . hotel easy find short walk Hyde Park Corner tube station . I book Royal Park Executive room check - in upgrade Studio Suite great touch platinum elite Intercontinental Ambassador member priority club . the studio suite excellent two twin bed , marble entrance hall , large seat area view across London park , Bose Sound System B flat screen television . bathroom beautiful large tub separate rain shower course , Elemis amenity . also lovely letter Hotel Manager welcome hotel , together welcome treatment consist water , fruit basket birthday cake celebrate 30th birthday . also access IC club lounge daily charge £ 80 well worth cost . lounge offer complimentary internet access three public computer sole use club guest . refreshment snack available throughout day . mid afternoon tea , sandwich scone serve evening small selection canapés . self service cocktail bar available unlimited champagne , spirit , wine beer evening . ic lounge separate seat area , dining area , magazine newspaper offer tremendous view across London . Breakfast also provide lounge Club guest . breakfast excellent include cold warm choice serve 11am . I encounter couple service problem stay . one morning newspaper deliver . morning friend cook breakfast order forget . second morning breakfast buffet clear away whilst still eating never ask would like anything else . turndown service evening hit miss . shoe hand staff clean return next morning . issue resolve effective management team . overall great stay Intercontinental London , Park lane love Club level service . 
 Jan 3 2008 	 Hyde Park Heaven 	 wife two daughter stay three day include new year . location overlook Hyde Park great room .... well five star . room overlook Duke Wellington 's House . hotel five minute walk winter fair hold Park . understand Chesterfield , good hotel , number one London yet hotel much well far Tripadvisor . disadvantage mini bar overprice food beverage somewhat expensive even London five star . would stay ? absolutely . 
 Jan 2 2008 	 excellent ! 	 fionsee stay one night NYE , although expensive , £ 203 , £ 245 inc tax , I d definately say 5 star experience , upon arrival greet Manager chatty helpful , foyer welcome check quick simple , 6th floor , room 686 , room wonderful view , show big ben london eye . ( stay watch firework usher behind build miss completely - anyway that s another story : ) ) mod con , plasma screen , volume bathroom , powerful shower , bed soooooo comfortable large , room silent , lovely thickcurtainsI wake forgot ! wander breakfast morning also 5 star experiance , staff could not enough help , offer collect orange juice even though self service , food fantastic quality even offer 2 different type smoothy , yum ! pedantic , forgot bring toast , that s ! great overall 5 star experiance , thank Intercontinental ! 
 Dec 27 2007 	 location good service good 	 stay one night early December , London see Sound Music Tutankhamun exhibition . location near Hyde Park suit travel plan , especially bucket rain time , closeness tube helpful . I would book online Octopus Travel become concerned check - in ( around 5.30 ) look like room . mention go see show , receptionist say ' so will need somewhere get change - will talk room allocator ( word , can not remember term use ! ) see find room' . a room eventually forthcoming , fine - clean , tidy amenity expect , however near lift lobby , one lift squeaking , creak groan night use - hotel advise check - out , simply say ' thank much let we know ' - even apology ! breakfast include rate , food good , almost everything could think available - service leave much desire . ask tea , coffee toast several occasion , dish clear table despite pile one side , much waiter bring milk ( not bring tea ) struggle find space , yet still ignore pile dish ! overall nice hotel , service need improve .... 
 Dec 23 2007 	 London Luxury 	 hotel situate right Hyde Park great place stay ( especially time year Winter Wonderland Hyde Park ! ! ) location great hotel well ... would expect five star ! may say room small . beg differ , actually great size , London space prime . satisfied space . the Staff snooty hotel calibre ready help absolutely anything . breakfast AMAZING ! ! ! ! ! go full shebang get full English include continental . get deliver room table ( pull full size ! ! ! ) italian Linen enough food keep go long ! ! ! ! ! prompt order 9 9 knock door ! impressed ! bathroom good Elemis product , smallish say ... London . lovely massive tub ! would recommend business people cosy family hotel . chic London , upmarket hotel 
 Dec 11 2007 	 great stay would recommend 	 Overall really enjoy stay intercontinental . location key , recent refurb well do . use Kayak great rate area ( certainly cheap ) , ' definitely stay again . a pleasant surprise Theo Randall ' restaurant downstairs . ' plan dining lucky find seat nearly fully book Saturday night , happy meal . meal pricey ( 160 quid … $ 360 US ) , show celebrity chef ' Knightsbridge restaurant . may menu choice , impress overall . a negative hotel incredible price room service anything beyond discount room rate . know Mayfair , cheap drink Nobu ( 9 drink 85 quid ) Berkeley Street room . order room service price much justify luxury stay in . pro : Location , Theo Randall ' , service impeccable . negative : ' Mayfair , wow … $ 35 US small Pizza ? 
 Nov 26 2007 	 great hotel 	 arrive hotel 10.30am , room unavailable since hotel fully book night . invite use club lounge room ready . new club lounge decorate contempoary style keep new look hotel , comfortable - enjoy good breakfast - nice range view . my room park facing room decorate english tradional style - large comfortable . nice bathroom excellent Elemis toiletry replace daily . book deluxe room upgrade executive room member ambassador club . downside shower bath instead separate shower . the hotel close Hyde park underground station picadilly line , convenient shopping Mayfair , Knightsbridge Oxford street . 
 Nov 14 2007 	 good location stylish ... 	 hotel stylish eveything look brand spank new follow recent renovation . 's shame hotel monstrosity building -- * * * * * hotel definetely romantic feell walk lobby . quality service excellent . the hotel locate pretty good position Picadilly , Mayfair Oxford Street within walking distance . 's shame homeless people Hyde Park corner subway probably avoid night , smell ( suppose helps keep real be walk back luxury room ) .TIPS : 1 ) instead go bar hotel go top floor bar Park Lane hilton next door one good view London good cocktail too.2 ) request exterior room -- stick room inside build non - existent view activity guest ! 
 Oct 19 2007 	 Location key ! 	 stay intercontinental recent business trip London . travel account , place would way high league , would recommend place anybody luxurious experience , great location get around London . everything hotel clean modern . staff & quot ; well - train & quot ; assistance ( although really say personal - touch friendliness ) . love room - great bed bathroom facility ( two powerful shower head , big clean tub ) , fluffy towel , robe pillow ... however make sure request room view . build U - shape get look window face opposite side building ! worth extra pound access 7th floor lounge , nibblie drink breakfast after - dinner hour appreciate view Green Park . 
 Oct 11 2007 	 fantastic refurbishment 	 stay weekend Oct 5th 7th birthday , along visit chef table Claridges . I greet warmly front desk staff wish happy birthday - due ambassador status upgrade studio suite . the room small side , refurbishment great success - bathroom especially shower fantastic , bed simply huge ! flat screen tv bose stereo system nice touch . breakfast can not fault - one widest choice foodstuff ' ve see hotel breakfast , tip top quality . and location good , walk distance Green Park , Mayfair Hyde Park - Hyde Park Green Park tube station close by . we would certainly stay . 
 Oct 1 2007 	 Great Hotel 	 recent pass London book stay intercontinental bored place across street . property renovate surely nip closely 's expensive neighbor . intercontinental great business leisure hotel excellent location . Guest room fairly traditional standard meet exceed . love Lobby Lounge decor day also night fortunate enough enjoy DJ play music private party . food quality presentation excellent - our request menu Mezze platter accomodate odd hour Lounge . also enjoy well many creative fruit drink one evening . bar staff get one talented London . Add Spa ( treatment ) , Gym , amazing Room Service choice . fantastic property excellent value around . 
 Sep 26 2007 	 great stay 	 book Intercontinental Saturday evening stay . choose hotel various reason ; ' recently renovate curious see , review good , ' Ambassador loyalty programme handy dining evening . arrive hotel around noon . receptionist greet warmly superb . italian strong accent Scottish ; despite live London year retain strong Glasgow accent . mean effective form communication smile nod great gusto radiant smile make feel welcome . pick accent ask journey . tell difficult come Clapham hence take around 20 minute also seem perplex ; utterly charming , ask lots question ' always understand reply answer ' bumble along famously . make big play Ambassador tell result upgrade room . despite check - in time , room ready escort lift . could fault check process . actual fact , could fault little hotel . upgrade Junior Suite . huge ( ' convince Junior Suite ) matter lovely room look directly Hyde Park Corner , despite sound proof excellent . bed immense comfortable . feel smell brand new immaculately clean . bathroom typical decent hotel bathroom mirror granite , good quality toiletry though amazing shower . fix shower head ( another one side ) size dinner plate water cascade turn around manoeuvre around get wet ! good choice breakfast usual fare range light healthy smoothie fruit breakfast component full english variety decent quality . breakfast room aka " Cooks Café " also pleasant contemporary . I irk ( fault hotel ) guest next table enter dining room like walk onto yacht … …… . would say " presence " know create . either serial complainer own hotel ; every staff member dining room talk point every guest breakfasting hear . intrigue irritate . in summary great stay Intercontinental definitely stay ! 
 Sep 25 2007 	 Great Revamp Service let beautiful hotel 	 stay hotel two night , leisure weekend . remodelle great , hotel clean , beauitifully decorate room bad London . stay Studio Suite , size average hotel room outside London sofa ! .The Service badly let hotel . staff rude , service warm staff simply ' functional ' . simply not get feel anybody want help . concierge worst ever expereince . four occassion try organise cab - four time end walk end street hail cab . as much hotel great eye yes bed comfortable , really feel cog machine guest . 
 Sep 20 2007 	 Intercontinental - Good Usual 	 Location Perfect . walk distance area . clean comfortable room . great service dining . complaint not convienent store buy certain necessity . 
