fantastic 	 Hotel great location , across road New Scotland Yard within easy walk distance Westminster Cathedral , St. James Park Houses Parliament ( whichever direction choose take ! ) superior room book large sofa bed provide child double bed . preparation Christmas underway arrive ideal hotel want kick - start festivity . 
 Great Hotel : victorian elegance 	 Beautiful Hotel splendid historic decor . friendly staff , clean cosy prime location tourist . notice review good price pay competitive decide take gamble well worth . superior room package non smoking room maybe go superior room ? / 
 Jan 21 2008 	 great hotel superb location 	 stay hotel christmas 2007 7 night . hotel great location right next St. Jamss tube station . hour ride heathrow . hotel bit old seem process renovation . part lobby ceiling crack otherwise quite comfortable cosy . lovely seat area order bar menu serve sit front lovely fireplace . check - in quick room ready early even though check early . staff nice problem service . room bit small believe norm europe . ( not know not double bed rather single bed room - really make uncomfortable sleep ) . room quiet probably season . third floor many people stay floor . bit plumbing problem fix promptly tell hotel manager . we buffet breakfast twice reasonable cost 10 pound . manager offer we coupon would pay regular 16 pound price - not know x - mas special could always check . buffet breakfast fantastic ! everything could ask for- sausage egg cereal yogurt . well chef ready prepare extra item - extra price , course . fresh juice great variety bread . find great way start day . however , right next hotel great little diner get specific breakfast 4 pound . warn Sunday nothing open except hotel . go another part town eat not eat hotel . hotel half kilometre buckingham palace well big ben , down street , etc . walk everywhere , close ! tube close great . buy Oyster card hop ... time cost we 3 pound day wander city oyster card limit much charge . well worth 3 pound reuseable return london . on day tired sit restaurant eat hotel . order sandwich bar menu reasonably price - @ 5 pound huge sandwich chip salad . amazing spinach ricotta pasta well . sometimes buy dessert outside order pot tea elegantly serve dessert lobby table . little nook table . free paper provide hotel quite comfortable sit read . service prompt friendly difficulty english staff speak well . Gary concierge extremely helpful help we find something Christmas day ... end take tour stonehenge ( even though close - still get close enough take great picture ) even mail postcard leave time find post office . overall hotel great . would stay highly recommend everyone . convenient reasonably price . get great deal price $ 200 canadian dollar night . 
 Jan 17 2008 	 great place wedding 	 attend wedding hotel last weekend . build 100 year old , impose air fade grandeur . room small basic , fit modern bathroom aircon building originally design either , everything work . limit pay parking front hotel multi - storey nearby . staff efficient polite . ceremony hold gallery ball room ; dinner ball room . food surprisingly good consider number involve kitchen cope well last minute change menu small child . & quot ; 's problem & quot ; , say new plate appear . I can not adequately describe decor see picture . 
 Jan 13 2008 	 need shake 	 attend wedding - great location , great wedding , lovely old english hotel , 's end ! food poor , cook , small portion evening meal table even calaspe we , leg bodge duck tape neally get coverd red wine glass . breakfast sham . clean table - waitress say need wait 10 min would fine would make we clean table ! never see help end . food ready - english breakfast come stage 20 min one guess complain say speek english ! room bad little tired toilet leak . could amazing place ashame . 
 Jan 7 2008 	 Jolly Hotel - love 	 husband stay one night November . room allocate top floor decent size , spotlessly clean look though refurbish recently . want go dinner weather atrocious rain bounce pavement evening stay meal lovely bar downstairs . cosy relax food good . service ok one barman disintereste even little rude occasion . ignore enjoy meal . go upstairs room notice roof sprung leak bed ! no - one would answer telephone husband go downstairs speak duty manager apologise profusely immediately give we key another room . quite late night hassle re - packing bag forgot realise have give key beautiful huge suite - room 400.on checkout , thank manager let we stay lovely room apologise actually thank understanding .. ! make wonder guest like - never happy even upgrade free . anyway , love hotel , staff ( one exception ) friendly could not enough help we wish could stay long . say , hotel really wonderful location would not hesitate recommend anyone . 
 Dec 28 2007 	 complete joke ! ! 	 incompetent staff ! hotel booking confirm October 2007 21st birthday new year eve , 4 room book reference number give . last working day new year eve call 5 pm evening tell reservation change another hotel , hotel not even area need . staff unhelpful unsympathetic situation , ' unexplainable part ' accord member staff obviously pretend manager . book system complete joke . clearly idea run hotel , front house manager want we feel sorry number people ring tell also could not stay hotel although give confirmation , overbooke 50 % . hotel ruin 21st birthday celebration family arrange . 
 Dec 19 2007 	 Excellent choice 	 own italian chain . visit business trip . service good , staff polite attentive . excellent accommodation . food descent keep try catch eye server coffee . room comfortable . criticism room door fitting let main corridor light . take drop . would recommend hotel perfect location tourist visit site London . right outside New Scotland Yard . walk distance Buck House Westminster . hotel use frequented lot MP ' House Commons . even division bell ( ring inform MP ' vote ) secret passage MP ' get Westminster ( block ) . well position good link underground station . ( St James ) . 
 Nov 20 2007 	 peaceful yet central ! 	 stay wtm . pleasant experience . around corner St. James Park station , perfect get anywhere underground tube . lovely decor , friendly staff . room big enough handle large suitcase roll - on . breakfast sumptuous . phone line faulty reason could get incoming call . bit nuisance . plan get cab 7AM , good pre - book previous night . wait 15minute cab show around 615AM . would stay ? absolutely ! safe neighborhood ? Scotland Yard next door , safe ! Nayaz NoorCEO Safir Tours Pvt . LtdIndia 
 Oct 31 2007 	 Taste Old England 	 first - class hotel , well situate short walk Houses Parliament , Westminster Abbey , London Eye Buckingham Palace . have superior room spotlessly clean , huge comfortable bed , tea / coffee make facility , hairdryer , trouserpress etc . highly recommend . always use hotel stay London . 
 Oct 25 2007 	 Dissapointing 	 Booked hotel part parent golden wedding anniversary , maij part trip dinner thame would reccomend . jolly hotel dissapointing , breakfast ridiculous price , room average clean . got back evening bar close due refurbishment , could sit lobby small bar open limit . breakfast instead go italian near welsh guard much well value 
 Oct 20 2007 	 ok expensive 	 clean comfortable , well locate , quite expensive . avoid buffet breakfast hotel . 
 Oct 17 2007 	 Perfect location sightsee good room friendly staff 	 Jolly Hotel perfectly locate center London . five minute walk Buckingham Palace , directly St. James Underground station ten minute walk Westminster Abbey . hotel locate end dead end road , typical english style , area seem recently renovate . room 357 , end floor view street Scotland Yard Headquarter right across street . hotel offer wireless internet small business center well . breakfast 16 pound , look good , try . 
 Oct 8 2007 	 Beautiful Hotel 	 could not believe beautiful hotel . room spacious , clean , comfy bed . location hotel spot . big sight walk distance . front desk staff friendly upon check check . concierge not want bother though . would absolutely recommend hotel . 
 Oct 1 2007 	 Great Location clean 	 Reason stay - stay weekend theatre break , great location , right next door St James Street tube station road New Scotland Yard ( Police HQ ) . bedroom - look like newly refurbish room , generally good size , hairdryer , iron , iron board , minibar , tv , safe , nicely sized bathroom good shower . restaurant - do not stay dinner , menu fairly price centarl London , get well eat out . breakfast - eat english continental breakfast set ballroom , lovely room start day , nice chandelier . queue 5 min let moan 5 min people . location - Brilliant 5 - 10 min walk Buckingham Palace , Big Ben & amp ; Westminster , 20 min walk Covent Garden , London eye . good location could go age . 
 Sep 30 2007 	 great location bit date fine otherwise 	 stay eight night September . room somewhat date clean comfortable , spacious expect . staff helpful maintenance come promptly minor problem . eat restaurant one night food good . location , review indicate , terrific . easy walk Buckingham Palace , Westminster Abbey War Cabinet Rooms . underground handy feel safe area . quick snack , handy Treats store St. James ' underground top floor . take buffet breakfast hotel many neaby restaurant open 7 convenient early start . resturant St. Jame ' underground open 6 . overall , happy stay would return . 
 Sep 29 2007 	 nice hotel 	 time ago , come back mind stay ! hotel great , room bit old , hairdryer Hilton Logo former Hilton Hotel : - ) ! nice would definitly come back ! 
 Sep 28 2007 	 expectation ! 	 3 night stay St - Ermins cruise , book thru travel agent $ 682.00 cdn include taxis breakfast . great deal , tought would continental breakfast surprised buffet include hot cold food include egg bacon etc ... location could well , next St - James subway station 5 minute walk Buckingham Palace . italian staff nice toke care we like 5 star hotel . first get room renovate clean , ask new room move we right away room post picture site & quot ; get nice room & quot ; .We dinner hotel food great , elevator quite small problem . we would stay next trip recommend hotel . 
 Sep 12 2007 	 Great Location - Bit Threadbare 	 stay hotel first week August , 2007 . overall , enjoy time Jolly Hotel St. Ermins . location excellent - right around corner St. James tube stop , short walk Victoria Station . grocery store two block away Victoria Street . easy distance James Park , Parliament , London Eye , Buckingham Palace , London Gallery , Big Ben . hotel please outside . ornate decoration lobby , beautiful entryway , nice exterior . staff helpful knowledgeable . room bit disappointing . consistent internet access , threadbare carpet , tear wallpaper , wear furniture , bit small . see hotel splendid heyday , see well time . accord post , hotel currently renovate , party ( 5 room three different floor ) apparently stay section yet complete . breakfast over - price offer ( find little place around corner serve hot breakfast go 5 pound - straight across street Scotland Yard ) . money ( 100 pound / night ~ $ 200USD ) expect bit . give hotel another try next visit , can not recommend wholeheartedly business traveller time . 
 Aug 31 2007 	 Splendid atmosphere location need attention detail 	 spend couple night trip London back May , find hotel little bit mixed bag . 's undergo renovation moment one wing seem fairly heavily rebuild , general appearance public space charmingly old - fashioned , lot Art Nouveau touch . lobby grand staircase , ornate ceiling leather sofas particularly grand . front - of - house staff , befit hotel 's membership Italian Jolly Hotel chain , mostly italian professional - request deal promptly , efficiently accurately . my small single room clearly nice indeed see well day - curtain carpet somewhat wear , chair desk need refurbishment . bed , though , excellent . bathroom excellent though perfectly adequate tea - make minibar facility . often single room view back hotel nothing write home about . the St Ermin 's excellent unusual location , handy whitehall , St James 's Park Victoria . be surprisingly quiet peaceful corner London , yet quite convenient public transport . hotel lot charm - 's quirky , old - fashioned stylish , elegant public space comfortable rather luxurious room . be little bit threadbare place , seem owner commit upgrade renovate still keep distinctive feature intact . programme work finish distinctive individualistic hotel indeed ; even offer lot individuality real - contrive - style . 
 Aug 30 2007 	 good value great location sightseeing 	 stay couple night August . can not beat hotel location want see west - end sight - 's step away Westminster Abbey , Houses Parliament , Buckingham Palace . room tiny comfortable reception desk friendly efficient . breakfast extortionate - turn right outside hotel , right 's excellent cafe next St James ' tube station get full cooked breakfast $ 5 . 
 Aug 21 2007 	 Location comfort price - jolly 	 First , would like debunk possible myth will get entirely enjoyable experience be . after read dozen review site wonder type experience would . yes , elevator small , unless ' ve drastically pack stay be large family , not see problem - even case , patience virtue . lift will not break take two trip . promise . other review mention plumbing issue . maybe not Europe , go restaurant , pub , museum shop prove difficulty Jolly . issue solve let water run bit flush twice . the room size great , however , sixth floor , know already renovate . may adore room . want ensure bit room , ask high level . aware 6th floor smoking floor definitely smell hall room . however , leave window open day walk , smell leave room . now , stay - amazing ! ! ! fantastic time . moment check moment check , everything ideal . staff helpful incredibly knowledgeable area whole London . even book trip Bath Stonehenge . able tell exactly stop need Tube everywhere want get . great wake call , room service , house keeping , request . concierge , receptionist bell boy interesting , funny , accomodate attentive . the location , hand , ideal . St. James Park station literally around corner make get around snap . area safe Scotland Yard across street . travel single female bonus . go pub less frightnene area secure . two right area stay open later ( 11 pm 12 am ) average 8 pm 10 pm pub . able walk hotel Westminster Abbey , Buckingham Palace , Parliament , London Eye Tate Modern . less 15 minute walk . like walk - also walk along River Thames 30 minute bring Shakespeares Globe Clink Musuem . walk 45 minute bring London Bridge Tower London . really could not find central hotel key get much do 3 day trip . everything mention do day could hop one place another quickly foot . finish day pub ( call Pub , really ) 3 minute walk hotel . see , would avoid unless want authentic work drunken brit . literally , sight see . public drunkeness woman fall street fight bar . would tell , wow . sight food not worth chaos . decide leave call hotel room service - great choice ! get back room , bring sandwich hot cocoa . can not even tell yummy sandwich ( crust cut ! ) full pot cocoa Cadbury - simply delicious . also stash tea , coffee cocoa room instant , single cup , goodness . turn early know early morning ahead Stonhenge , hang breakfast request door would deliver 7 am . , absolutely perfect . will admit pricey ( $ 34 american additional $ 14 served room ) , entirely worth . could not believe amount food bring beautifully serve deliciousness . large pot coffee , box Special K pitcher milk , rather large pot coffee , croissant , pan au chocolat dozen jam , jelly nutella , sausage , bacon , hashbrown , mushroom egg . much thati tuck away fridge later . trip hotel book great - came pick drop back . , staff able point towards number option dinner drink . next day also help get Notting Hill , quick trip St. James ' tube station . long day come back dinner near hotel Duke York , right across Victoria Station surround number theater . nice atmosphere , decent food . again , really enjoy stay Jolly . bed comfy , tub deep , service amazing , price fair and/or justify , location INCREDIBLE , would stay heartbeat . 
 Aug 14 2007 	 shame could wonderful 	 book NH Hotels website - take NH . aware could hit miss . location : minute St James tube , 5 minute Victoria , walk . could carry case St James tube Victoria lot luggage . Daytime , number shop open remember mostly commercial area night bit limit immediate area . sainsburys 1 minute walk towards Victoria restaurant night towrd Victoria . staff WONDERFUL , helpful , enthusiastic also NH Hotel chan keep staff . however , review mention , lot refurb need although already do . I book superior double room - first room go tiny . mean could not even lie suitcase flat floor although room furnish exquisitely . ask another room . 2nd room large although still small foot room either side fo bed small seating area 5 x5 & quot ; refurbish wing & quot ; . standard refurb awful , paint door etc , good quality . however , really clean effort make decor make room comfortable . much feel like try good . way , do not get tea coffee make facility standard room , superior deluxe . I must amphasise staff amazing though . conclusion , ' m really sad say get well quality hotel price think room hit miss stay . really sad could spectacular hotel . demand quality value money would recommend . value personal attention worried room - would recommend . would recommend business traveler , enough room work . 
 Aug 10 2007 	 good : - ( 	 low price hotel mean low quality , least experience . if pay full price room would definately complain . 
 Aug 2 2007 	 great location good value 	 stay Jolly Saint Ermin ' hotel Westminster long weekend ( Saturday – Tuesday ) second wedding anniversary . hotel easy find situate less minute walk St. James Park tube station opposite New Scotland Yard . check - in straight forward give room 5th floor . lift probably narrow ever see ! wide average person , bit struggle case manage . room well appoint look like recently refit . room air conditioning bonus . bed little creaky standard double ' really problem . lobby outside hotel look grand always find staff friendly . ' use bar restaurant ' comment really nice bar call ' feather ' next New Scotland Yard . 
 Jul 29 2007 	 NEEDS TLC 	 Good point fairly clear . good location 100 m tube station London well price . experience nothing urghh room public area . however feel like properly thrive hotel . bar restaurant feel connected rest hotel . one restaurant open lunch evening one short hour . part italian hotel chain seem get guest ( bizarrely ? ) Italy feel little odd . summary fine 1 night stopover look base think would disappoint want much 
 Jul 26 2007 	 great location worth consider get good internet deal 	 hotel good choice want Westminster . excellent bus service different area London minute away tube station . hotel air fade grandeur pleasant enough stay base . staff helpful .. lucky room reasonably spacious - room glance small . room keep clean good housekeeping . opportunity upgrade various price , happy room although old fashioned comfortable . breakfast , ornate dining room , offer reasonable choice . would stay hotel get good deal ( pay around £ 104 per night double room include breakfast ) . husband ask stay extra night hotel quote £ 222 single room - move elsewhere price expensive quality offer . 
 Jul 26 2007 	 ok nothing special 	 well start . stay 2 night business cheap alternative offer . as Hotel look really impressive arrive concierge wait door man . inside reception area look impressive make feel welcome . after check discover bag big cabin baggage fit lift send concierge big lift . lift say hold 6 people think 4 tight fit . when get room first impression nice room 2 single bed , couch , table , good sized wardrobe , nice sized bathroom . close inspection find fault . carpet duck tape top join stick 2 piece together . wallpaper obviously see well day hang wall corner look mouldy . shower work defiantly power shower trickle gentle pace . work use Air con cool room work well instruction intermittent whether want work not . if use stair carpet badly thread bare place could replace . breakfast hold ballroom . food wise ok nothing special ok . downside unlike many hotel stayed offer Tea Coffee staff , struggle clean table . staff offer drink guest , normally foreign tourist first offer one two . the hotel really need upgrade redecorate make nice photo website , view bad review also ' think good review make . hotel excellent location close Victoria Westminster Scotland yard outside . hotel 4 crown rating think 3 star renovated make look nice could would easily 4 star . 
 Jul 18 2007 	 functional luxurious 	 stay one night June early Eurostar train next morning . check late night pleased find reception open 24 hour . room small bathroom smell mouldy . happy breakfast nice . would recommend anyone wish stay long period think general standard room would get wearisome . location wise good sight seeing . staff helpful poilte . 
 Jul 13 2007 	 Grand public area - bedroom grand ...... 	 hotel excellent location want explore central London . hotel rather grand look lobby dining area ( although tired place ) .We get reasonable deal room although think rip see standard . ' m sure many room re - decorate certainly not one . everything tired shabby - peel wallpaper , wear carpet , dust fill air conditioner ( although a / c bonus London ! ) , small ( UK double ) wear bed , moudly shower curtain tile round bath possibly bad thing .... curtain 5cms short window ! ! also safe room disappointment hotel star rating . the lift ( elevator ) european size travel large number bag large size might struggle ! rather cramp 2 people once . would recommend - , well London . would stay ? someone else pay ! 
 Jul 13 2007 	 poor value money 	 also stop 6th July 5 Nights . already get show book 5th Night would left soon . watch mouse run around caxton Bar 3 night eat . report twice , first time bar staff laughed smile . second time reception . make note . apology , discount . no mouse see resturant . pay £ 900 5 Nights room small also shabby . large sign reception offer upgrade extortionate price per night . reluctant pay prcie inital payment extotionare bar price . £ 28 bottle house red caxton bar . skinflint mean like cleaniness value money . apart location great 
 Jul 6 2007 	 revolting 	 without doubt revoting , filthy hotel London 
 Jul 4 2007 	 great location sight 	 although part chain hotel , St. Ermins still retain 's character . 's ' period ' style building , still plenty original feature make little interesting . our room ( 543 ) massive , serve 's purpose well . look like recently decorate - high standard . it clean comfortable . bathroom fine , plenty free toiletry nice towel . Air con work well ( rest hotel seem warm consider time year - July ) limit number parking space ( 24 ) people daft enough bring car centre London ( unlike we ; good idea world , congestion terrible ) actually not struggle park car hotel . advertised rate £ 24 per 24 hour , get chargd £ 12 2 day ( weekend special mistake ? ) however , really great thing hotel location ; 5 minute walk Buckingham Palace Westminster Abbey . little long house Parliament , 15 minute London Eye . be go afield , St. James Tube station 2 minute away , round corner . New Scotland Yard adjacent hotel - know safe plenty police around ! ! staff generally friendly helpful - expection concierge , seem like much trouble ask taxi ..... area quiet night time ; good sleeping , want night life city , 's taxi ride away . we pay £ 109 per night ( booekd 2 night ) room hotels.com website . overall , would say good value quality / location hotel , bear mind be central London . see room deal advertise much expensive website , shop around ! aware expensive hotel bar price though ; £ 7.20 whiskey Baileys .... want glass ; not want buy whole bottle ! ! 
 Jul 1 2007 	 satisfactory experience 	 stay Jolly St. Ermin 's 19th 27th June year . first room rather shabby large ; however sink drain well . get move room 6th floor up - to - date immaculately clean stay whole trip . staff friendly concierge helpful . location brilliant ; 4 minute one direction Buckingham Palace another direction Westminster Abbey . tube stop ( St James Park ) around corner . Sainsbury ( ? ) 4 minute away well Pizza Express . around corner starbuck need good coffee overwhelm we . across street hotel 50 's building house New Scotland Yard certainly neighborhood , safe . mini - bar room use keep water cold slide packet cheese . book Hoteldoorman 2 month trip get price 100 GBP per night include vat breakfast . breakfast fine include hot cold option . coffee good , exception , true place eat London . overall thrilled hotel , staff location would recommend without reservation . 
 Jun 29 2007 	 good location 	 stay June 26th 2007 2 night . great location next St James tube easy tube access major area tourist interest . request room new block arrival read prior review Tripadvisor none available . room small expect London bathroom ok . poor aspect really uncomfortable bed ac do not seem work well ( per review ) . bar restuarant price high per central London hotel . eat restuarant food good quality overly fussy waiter . short stay fine overall would stay . thai restuarant Grosvenor Place ( short walk past Victoria St ) really good - call Mango . 
 may 25 2007 	 Great Visit 	 wife spend nine night jolly last month . come , stay , consummate tourist . outside first night spend infamous " standard room " stay enjoyable . " standard room " , accord front desk , grade room give anyone discount circuit book travel agent . upgrade spacious room fourth floor additional 50 pound night . may also add full breakfast come grade . ( coffee excellent , serve timely manner personal jar jam honey want ) yes , elevator small – work . yes , ice machine non existent , ice come bar – never problem . yes , patronize Caxton Bar , Hotel Restaurant , purchase item personal fridge - pay dearly ( example : one vodka / tonic 7 pound & amp ; change ) . subject expense , everything expensive London . pound equal 2 dollar spending pound like dollar . example : pint bitter 4 pound 50 penny , paper back book 6 pound 99 penny , forget , take cab Heathrow Jolly rate 50 pound . guess ' try say ' blame jolly scale rate thing . lastly , people behind scene well front commend . put stay personable level never lead astray . fabo , Jon , Vlad Gary sincere thank . 
 May 9 2007 	 home $ 25 hamburger $ 18 cocktail 	 stay room 609 two night April 2007 . a / c work shower temperature control stick hot water . room date clean . centrally locate important . 
 Apr 20 2007 	 Great Location nice room 	 Stayed St. Ermin last night London . book two room . time check - in tell we one room upgrade ( reason ) . mother get upgrade room impress overall appearance . bathroom large bathroom ever see english establishment . hotel ideally locate . ' right next New Scotland Yard qualm walk around destination . walk around corner dinner night afterwards walk street see Big Ben Parliament night . the problem try get breakfast next morning . massive number people wait breakfast moderate sized dining room . People wait half - hour . would recommend either eat dining room early go somewhere else breakfast . 
 Apr 14 2007 	 jolly time Jolly 	 stay Jolly 11th April , arrive early , 12.30 go leave case book later find we two room ready check , helpful . room good one expect ( include & quot ; get mortgage & quot ; min bar ) although view , expect , overlook high rise building around hotel ( 4th floor ) .Staff friendly breakfast ample . book throgh Front desk pay £ 85 double full breakfast ( say £ 16 ! ) , reasonable centre London . would use need place town . 
 Mar 12 2007 	 Small room 	 nice clean room small size . good quiet location away busy traffic road . breakfast good weekend run 7.30 till 11.00 . 
 Jan 30 2007 	 Priceline room fade kinda ratty feel 	 room : also get great rate Priceline -- around $ 95 usd . show room 411 realize smoking ask porter could call switch smoking room . not usually smoke hotel room hope large renovate room since one small tired looking . able accomodate request go Room 511 -- exactly identical layout Room 411 . oh well ... worth try . room small cheap hotel feel -- blue carpet , 70' - ish multicolore bedspread match drape , cheap furniture , 's picture website one non - renovated room . Sorta remind 2 - 3 * best western small town . ' m guess high floor room end & quot ; 11 & quot ; layout give Priceline customer first . really happy get one new room feature website pay PL price . find room bit depress dark . bathroom nice , however . location : good . complaint -- tube right , many service available tube station . great ground lamb potato sambussa pastries convenience shop around 80 cent . can not complain price weak dollar currently ' ve stay much nice hotel Priceline London . hope not end ... 
 Jan 24 2007 	 good price good location 	 stay St Ermin 3 night prior catch cruise Southampton . perfect . hotel charm staff attentive . breakfast good plentiful . less 1 block St - James Tube station , block Buckingham Westminster , nice walk Victoria Station . the price reasonable absolutely complaint ! cheke morning August 10 ( arrest people explosive - airport shut etc . ) taxis nightmare find , concierge manage get everyone destination time . I would stay without hesitation ! 
 Jan 21 2007 	 Loved ! ! 	 good trip london we yet , consider fourth time visit city . much enjoy hotel , first room assign really small , trip reception desk take care problem , include upgrade small fee . staff polite helpful , especially doorman get taxi 's we . location dream shopping area awesome , could look room window see parliment . hotel locate across street New Scotland Yard feel safe . staff well dress hotel clean tidy . room nice amenity bath salt bubble bath , tea service stock fridge . even turn service night nice appreciate . english breakfast great even calorie . plan another trip London Jolly Hotel St Ermins first pick . 
 Jan 21 2007 	 right we 	 Booked Priceline $ 91 / night . be cheap London one good value London around . hotel perfectly locate us - 's within walking distance many tourist site shop . walk 2 minute around block be metro go anywhere London . underground system easy use train run often . never wait 5 minute train . forget taxis - be expensive unnecesary tourist stay . never eat hotel , breakfast across street local restaurant - price fair food good . meal travel around London . not many family restaurant close hotel foot , metro take anywhere within minute . safety , hotel ideal - 's right across New Scotland Yard ! bobby everywhere . stay twice December - trip Paris Eurostar . 's fun family easy . Waterloo Station 10 minute away . everything run smoothly Paris . initial stay get stick old part hotel - clean certainly functional , bed uncomfortable . return , front desk upgrade we free ( gentle complaint early stay ) new section modern comfortable family . overall , hotel perfect we . 
 Jan 16 2007 	 nice hotel 	 stay hotel 23th 26th december 2006 . nice stay . room ok bathroom nice . staff friendly . thougth room lillte bit cold - helpfull show we turn temperture . enough - would bring we blancket . servicemine . breakfast good . lobby beautefull fireplace sit relax . would stay , next time . hotel 5 minute walk westminster Abbey - christmas eve , go midnigth mass . fantastic ! 
 Jan 7 2007 	 good location average room 	 think previous review give enough detail location , facility etc hotel . two main observation , one good one bad . I check extremely late final day , originally book extra night end stay friend . pleasant lady reception cancel extra night hesitation charge anything late afternoon check out . on negative side , change room due first room smell unpleasantly cigarette . second room problem , however bath shower absolute disaster . ceiling low head nearly touch , water pressure shower barely enough get wet . 
 Jan 2 2007 	 terrible experience 	 old fashioned noisy function till 3 am . request room change due noise ask pay additional £ 278 per night ... outragous ... bed also extreemely uncomfortable , old fashioned bed spring could felt lie ... 
 Dec 23 2006 	 good value 	 stay 3 night & amp ; pay $ 85 + tax Priceline . great price London hotel . cheap decide splurge & amp ; spend last night London Ritz . as review state location great ; 2 minute walk St James tube station . there be many restaurant around hotel 's great fish & amp ; chip shop call Laughing Halibut Strutton Ground St , Victoria street across road hotel . 's restaurant choice around Victoria 10 minute walk . I would definitely stay . 
 Nov 26 2006 	 good time St Ermin 's ! 	 wife stay St. Ermin 's Hotel November 15 - 19th . pleased location service . contributor indicate location ideal . walk easily many attraction include Parliament , London Eye , Buckingham Palace even Trafalgar Square Waterloo Station . St. James Tube Station close , 2 minute walk . service hotel good . room although large modern well appoint meet need . decor hotel nice , old british architecture . ballroom breakfast particularly nice old world charm . drawback wall seem thin , one night evident 30 minute couple bit romantic . otherwise amentitie fine . wife London many time would stay hotel . though beware british pub , pub hotel smokey evening affect lobby area hotel . book hotel United Vacations work well . airfare $ 450pp , room $ 140 ( U.S. dollar ) per night package . include continental breakfast also good . 
 Nov 19 2006 	 exceed expectation 	 jolly great location ... easy walk major site .. amenity ... london times ... good time ever ... room immaculate attractive .... room luggage , room move around .. staff warm friendly .. helpful .. even prepare late night sandwich ... ( room paris cramp , delight ) .. price fair include adequate breakfast .. hope return family member , would never go elsewhere 
 Nov 19 2006 	 great price 	 stay Jolly Nov 9 - 13 Nov 16 - 18 . got first five night 80USD 16 - 18 68usd night . first room get 2nd good size London . clean right purpose place sleep . get channel english channel surf night interesting . second room 4th floor quite bit small one previously , sleep purpose work fine . there 3 negative would say stay here:1 . not able get room 5 pm time check , store luggage could last least go something waited.2 . lobby filled smoker . come Florida smoke public place , little overwhelming , non - smoking room non - smoking not smoke smell even though ton smoker downstairs.3 . room seem two outlet work . plug camera charger leave without light tv , little annoying , nothing majorall nice stay , would probably stay make back London . 
 Nov 6 2006 	 love location 	 3 adult stay lovely hotel week September 2006 . find hotel net , book travel agent request & quot ; triple superior & quot ; room . negative stay . arrive pre book / pay room , triple superior room room 2 bed small cot . cot disappointment single , close floor take ever available space leave room . breakfast good , variety , room tend warm . staff friendly helpful . seat lobby pub / lounge nice service extend onto porch . hotel quiet , clean good area within close walk distance tube station , Buckingham Palace Westminster Abbey . hotel always gracious get cab / taxi door man often walk curb street fetch taxi . great service ! ! ! 
 Nov 6 2006 	 Nice Hotel Great Location Worth Money 	 get home yesterday UK spend 3 night Jolly St. Ermin 's Hotel visit . definitely stay ever London . book hotel Priceline ( $ 100 / night ) felt definitely get money 's worth . hotel also great location ... locate Kensington area , approx 7 minute walk Victoria station also within walk distance many tourist attraction like Buckingham Palace & amp ; London Eye . hotel lovely .... decorate Eduardian , baroque style . room small , enough room two we move around comfortably . room two twin bed . bed comfortable ... hard . bathroom & quot ; real & quot ; tub & amp ; shower roomy compare european hotel . place definitely well - keep clean large range bath item place bathroom day . staff helpful gracious . go way make stay nice one . downside breakfast include price room . prepay breakfast , continental breakfast 7 pound , english breakfast egg meat 17 pound . price 10 25 pound prepay . may seem like much , consider usd worth 1/2 british pound , be pay twice amount everything . little grocery / convenient store right around corner serve hot breakfast along variety food . breakfast cost we 2 pound good . , hotel really nice ... definitely 3 1/2 4 star , would definitely stay . 
 Oct 31 2006 	 wonderful Stay Grand Hotel 	 painstakingly difficult find decent , centrally locate hotel reasonable price London , Jolly St Ermin 's satisfied requirement . situate across Scotland Yard road Westminster Abbey , hotel easy 2 minute walk St James station . boyfriend spend 1 night May , thoroughly impress every aspect hotel . initially attract grand staircase see picture , delighted find even charming person . however , unlike many London hotel ' charming ' actually mean small , cramp , out - date , Jolly St Ermin 's feel luxury real character often comprise modern chain hotel . room spacious , clean , modern , good , come back see Mary Poppins , chocolate pillow classical music play stereo . not eat breakfast , sample Caxton Bar ( seem expensive drink London ) enjoy able sip beverage large airy patio front . hate point flaw wonderful experience overall , qualm misleading price website . book directly hotel advertise price £ 89 , upon payment tax add make price actually £ 110 , suddenly much bargain ! would highly recommend hotel , , anything , read fine print booking . 
 oct 24 2006 	 Good Hotel Great Location 	 4 we stay 2 room Sep 18 27 , 2006 . room ready arrive 10AM . room small , clean amenity 3.5 4 star hotel . front desk staff helpful friendly . lot remodel go day , bother we . fairly quiet night . comment restaurant , not use , however Caxton Bar nice , pricey . problem encounter icemaker floor order throughout stay also , broadband internet available lobby . would nice access room , bar , balcony , etc . hotel nicely locate near St James Park Underground , minute walk Westminster Abbey , Parliament Buckingham Palace . wide variety fast food available within minute 2 walk hotel . sainsbury market 7 minute walk . would definitely stay . 
 Oct 22 2006 	 ok price 	 stay weekend August . calm area , great location . far & quot ; life & quot ; , something 15 min . walk . littel bit disappointed room ; small old , clean . service staff nice friendly . good breakfast , ! would stay . 
