great 	 you´re bothererd fact toilet outside room share guest floor , it´s issue . you´re cuty luggage , won´t problem either . NYC many time , there´s need stay midtown anymore ... make hotel location perfect . it´s charming place owner really sweet person , always smile face . it´s spotless housekeeping really nice work . room cozy , small , tiny window make bit claustrophobic ... anyway - pay $ 150 taxis well locate Manhattan sometimes worth . 
 Jan 5 2008 	 Stayed suite super 	 book stay purely base review Tripadvisor not disappointment . originally room book Chelsea Lodge find link apartment suit main website . we stay 8 night end Dec / start Jan great base first time New York . suites street main lodge 334 west 20th Street . spacious especially long break private bathroom kitchenette . extra $ 100 night , be well worth . fairly peaceful four suite within apartment . garden suite access share garden although far cold spend time . would great spring / summer . bed really comfy long day sightseeing room warm although bring extra heater cold snap ( minus 10 ! ! ) . room clean every day lot clean towel leave . keep flood bathroom shower come handy ! suite kitted hairdryer , iron , oven fridge . load cupboard hang put away thing . location perfect three subway spread across 23rd Street connect main sight . lot restaurant , takeaway market closeby will never struggle find food . I would definitely stay great value money . feel safe peaceful yet central . 
 Jan 3 2008 	 delight ! 	 stay Chelsea Lodge Sept. 2007 think cute . really enjoy stay . safe neighborhood CLEAN ! ! ! ! good part like hundred bux night ! room shower sink bed , tv , desk , etc . need stay . plus , wireless internet ... free ... total blessing . toilet share clean never wait . think two toilet share per 4 room something . also quiet . room pretty small fine . definately fit couple people ... 3 would okay like close quarter sure hell beat hostel . probably good place couple stay , 's place everyone . 25 year old gal travel alone feel really comfortable . man desk help bag even though not . bar around walk distance lot restaurant store . I meet kid art school corner street . good time ... far metro stop ... think maybe like 5 6 block ... aka 5 min walk ( NY ) .I go post picture . hope help ! 
 Dec 31 2007 	 highly recommend price 	 great location ( 20th St Chelsea ) comfortable bed , linen . small usual , even NYC , nonetheless , one big bargain accommodation city . place quiet , ( surprising townhouse ) , people work quirky nice , room clean short breakfast run . 
 Dec 20 2007 	 Excellent 	 stay Chelsea Lodge 4 night 1st december . place great . easy find great get . room small let face not spend much time New York . place spotless shower room good . bathroom also always clean think wait twice 4 night use one . one slight downsode pretty boiling room night , nice change sub - zero temperature outside little much time . would highly recommend hotel area Chelsea bustle part city always feel safe . would return without hesitation . 
 Dec 12 2007 	 great location great place bargain ! 	 ( boyfirend ) stay Chelsea Lodge 5 night start December , really enjoy stay would not hesitate stay . will give pro 's con 's help make mind reviewer say - expect budget guest house charms quirk bland perfect 5 * hotel , do not dissapointe share bathroom lack roomservice , doormen etc.pro's- price - cost us approx £ 75 per room per night - great value ! - location , great area chelsea - lot place eat drink nearby , quiet sidestreet main avenue good world , always feel safe even night . also , bottom end chelsea could stroll west village 10 - 15 mins.- lodge charm , none blandness come hotel chain , decor , though may choose home quirky , cozy homely always feel like warm place come back end day . feel much like studio new york feel like live 5 day rather usual obvious tourist feeling get stay hotel.- convenience - check 10 pm night arrival hold bag we final day evening , neither problem staff always approachable . comment manner guy front desk though always find perfectly nice happy help - do not sickeningly nice permanant grin may expect.cons- hotel townhouse step front door 3 floor lift aware would access problems.- frequently mention small room probably size standard double bedroom - plenty big enough we do not problem size may prefer floor wadrobe hang space.- in - room shower , although convenient leave room little overly steamy muggy huge issue - open window voila , sorted.- even though freeze outside room get stiflingly hot sometimes way turn , though solve easily open window ( though may want low floor face street ) - room quiet mouse - top floor , face yard nowhere near toilet . though imagine room ground floor foot infront reception desk lobby must extremely noisy , would room next toilet wall thin mention . think would case pot luck whether get loud quiet room perfect ! ( room 3a ) well hope help anyway ! overall superb stay . 
 Dec 12 2007 	 recommend 	 fantastic location - ideal great neighbourhood . staff friendly helpful . room small clean . recommend . 
 Dec 9 2007 	 love 	 boyfriend stay Chelsea Lodge 8 night 28th November 6th December . think totally fabulous . great area ( apparently W.20th St vote NYC 's third prettiest street - doubt ! ) really easy access two diff . subway station . lot go chelsea area , always feel safe , even late night . room lovely . read previous review bit apprehensive size room , actually pleasantly surprised , think enough room two we , especially consider eight night . room keep immaculate , fresh towel newly make bed every day . room could get hot , window could open problem . room 1st floor overlook elementary school . not sleep late anyway , problem . middle city street quiet night great . wall quite thin people talk loudly corridor ( ! ) hear , really thing like help . shower room fine - difficulty get water stay temperature throughout shower , really blame incompetency , chelsea lodge ! share bathroom fine , right opposite toilet , whilst might downside people , fine we . not wait toilet , one always free , great . , positive experience would not think twice recommend friend , stay next visit ( lucky enough able get reservation - place popular , rightly ! ) one major plus chelsea lodge close west village - love ! stay ! keep mind budget accommodation , thrilled get . 
 Dec 6 2007 	 great stay Chelsea Lodge suite 	 2 friend stay Chelsea Lodge 4 night end November really enjoy stay . pay approx $ 200 per night good deal could find popular time year- though 5 % discount pay cash arrival . as say previous review , suite feel like apartment new york . clean spacious- queen bed double sofa bed . kitchen fully equip - microwave cooker . bathroom clean ( hairdryer ) towel change every day . complaint room warm- open window well . quiet street sleep soundly . we eat breakfast Dish every day- good breakfast special less $ 10 . also nice chinese takeout place door Dish . feel safe walking around area subway close . overall great place say would certainly go back . 
 Nov 27 2007 	 simple satisfactory straightforward . 	 stay Chelsea Lodge definately & quot ; see get experience & quot ; . room clean tidy . pay money front desk check be give key room front door get it . room tidy towel change everyday , there s interaction staff unless need ask guy front desk something ( do not speak otherwise ) .Toilets share do not find problem bit annoying middle night get dress leave room loo . also light sleeper would recommend ask room first second floor one ground floor right next stair could get quiet noisy time could hear conversation lobby . imagine room near toilet well . the location Chelsea Lodge can not fault , near thing else short subway ride away . it feel we like rent room apartment block week work perfectly well we . if be use luxury expect stay Chelsea Lodge make trip New York fabulous wrong place be look somewhere safe , cheap , clean tidy lay head tire day be right track . you literally get pay . would consider stay half think prefer toilet ! 
 Nov 20 2007 	 Loved Chelsea Lodge ! 	 stay Chelsea Lodge 12th - 18th November love ! one deluxe basement room bathroom , great . room spacious , nice wooden floor charming decor . plenty room 2 huge suitcase stuff . bathroom small fine need , bathtub plenty hot water shower great pressure . towel little thin small , hey not Plaza ! room clean daily entire place spotless . we issue people meet front desk - arrive guy take case we yes may jolliest people certainly rude offensive ! also arrange car we get back airport hold luggage day without grumble whatsoever . one small complaint - room warm not major issue window open . might hot summer though . overall great stay clean , spacious room cost $ 150 night - third cost decent hotel time year . this 6th visit NYC probably favourite place stay - feel like rent apartment stay hotel . will stay Chelsea Lodge next time visit NYC sure . 
 Nov 9 2007 	 great deal NYC 	 say not already say ? indeed great place stay look clean budget hotel not mind outside Times Square madness . room indeed small -- sorry try store lot luggage room -- service practically non - existent , spotless comfy , easy walk subway ride anywhere want go . share toilet problem , although feel sorry people 1C right next room wonder bother flush . hear hallway noise noise kids school across street , nothing impair sleep . ( quite frankly , usually exhausted end day nothing going wake we ) overall , would certainly stay Chelsea Lodge . ( wish NYC , fact ... ) stay & quot ; nicer & quot ; hotel easily would pay extra $ 150 - 200 per night , satisfied money well spend dinner theatre ticket . 
 Nov 5 2007 	 great affordable place stay 	 stay two night last weekend perfectly enjoybale stay . know expect Ritz , get clean , comfy bed , shower sink plenty hot water good water pressure , nice flat screen tv cable . time explore NYC , nice room come home . room quiet lock door sturdy . feel safe stay comeback NYC , especially travel solo . 
 Nov 2 2007 	 great location comfortable price 	 let us face , New York expensive place stay ! whether accommodation , sightseeing , food , transportation , go cost city around world . so , rely upon TripAdvisor assist we find somewhere good value . hear lot story friend NYC hotel pay arm leg absolute dive complete bed bug . we stay one Chelsea Lodge Suites , locate separate building 6 door actual Chelsea Lodge 318 W 20th Street Chelsea . difference suit basic kitchenette allow we prepare breakfast . tea / coffee provide though like New York Starbucks corner 3 minute walk away . particular room private garden well . room quiet , safe , clean tidy . bathroom bite small ( like nowhere sit toiletry apart top toilet sistern ) cope . location - wise , Chelsea Lodge good position . short walk blue subway line take either directly 42nd Street downtown Battery Park / Manhattan station . Chelsea large gay community lot great restaurant shop locate within easy walk distance Lodge . Greenwich Village also close . 
 Oct 31 2007 	 clean great staff 	 Chelsea lodge clean centrally locate place stay . stay one studio apartment street main building . main building nice though . room main building share bathroom , clean nice . studio accommodate 4 people clean bathroom . stay next month . great bargain . one good place stay city . 
 Oct 25 2007 	 great little jewel 	 great little place , great location … .. Hotel locate lovely part Chelsea , stay lodge walk pretty much everywhere ( well exactly get drift ) . street nice leafy , safe day night , great bar , delis restaurant around , within walking distance . def recommend Thai place corner 20th ( lodge ) 8th ave ( leave hand side ) . even wait table , be worth ! yes room small , be stuff be 3rd floor like we carry suitcase way . really , matter ? want clean place nice location , good shower night sleep .... 's NYC , many well thing stay room .... bit apprehensive whole & quot ; share toilet & quot ; issue , neat freak , however toilet clean . tell , clean ' ve see people 's house . even though really small , room clean . 6 ft sometimes hilarious tiny room we ( bed bit short ) … but place ' size , charm fantastic location . some complain noise , problem . yes , school across street kid somewhat noisy morning ; however trouble we . traffic ... mean 's New York , want tranquil place rest , go Maldives . yes guy front desk day could bit nicer , answer question help suitcase … .. overall , Chelsea Lodge great little place wholeheartedly recommend friend . depend . want large room , king size bed room service , place . remember also pay lot ' pay . want cute little place , small clean room fantastic location base explore Manhattan , go it … .. oh say expensive either ... 
 Oct 24 2007 	 nice 	 wife stay chelsea lodge 5 night . stay basement suite ( $ 150 / night ) 's bathroom . room perfectly fine , plenty room , bathroom nice - enjoy thoroughly . a couple issues:1 . bed - big issue although vacation killer . bed double ( queen ) , fine , sag ... fairly badly . word , significant roll middle ( fantastic , unless try sleep ; ) ) . solution : put pillow middle - give support prevent roll middle.2 . noise - ' m extremely sensitive noise , couple night young group people walk sidewalk not extremely noisy , could hear fairly easily little sound - proofing window airconditioner window . solution : crank fan air - conditioner white noise wear ear plug . there grocery store , lot restaurant , atm , two subway station right near - fantastic location . I mention two issue come across stay , would not deter come back . 
 Oct 14 2007 	 Perfect ! 	 return 4 night stay Chelsea Lodge great ! room cute , cozy , clean . unsure share toilet situation fine . toilet always incredibly clean wait restroom stay . tell could use toilet second floor needed not want run around pajama wait ! : ) Chelsea lodge great neighborhood quiet tree line street . room first floor never hear city noise . come home late night always feel safe . 's great feeling girl travel alone . also close subway lot great restaurant area . anyone sweet tooth recommend Billy 's Bakery ! complaint people stay . quite bit noise people stomp stair . also lobby right outside door 4 one day group people decide loud get together keep awake . gentleman front desk day could bit friendly . not rude though . definitely stay reccommend everyone . 
 Oct 1 2007 	 great value Chelsea 	 get home 5 night stay low parlour suite lie basement house away main building . pay 199 + tax per night excellent value money spend . the Suite large room queen - size bed , bed sofa , small table large desk . bed ok little hard side . tv fine bundle channel , do not time look all . the Kitchenette basic ; toaster , glass etc . be not microwave oven would nice leftover , portion ridicolous us.the bathroom ok showerbooth entire room do not get cover water . the clean staff excellent work , nothing complain about . the suite lie nice quiet street 8th 9th av . be not lot traffic ( NYC ) window thin really light sleeper maybe look another establishment . once get key staff do not interaction check . feel like apartment NYC ; great feeling . in short : perfect place budget minded do not crave luxury nice place stay close subway attractions.ps . great diner 8th Av call Galaxy diner , perfect breakfast . 
 Sep 25 2007 	 Excellent 	 wonderful hotel central location . helpful times witty staff ! comparison New York hotel price steal . someone work luxury hotel clear complaint Chelsea Lodge come expect 5 star standard . unfair penalise hotel cost fraction price perceive shortcoming . bathroom corridor whole stay immaculate . 
 Sep 17 2007 	 great little place convenient spot 	 love place- clean , great spot close 2 subway stop . downside really small - ' m exactly huge feel claustrophobic shower . also , toilet hall although get bit annoying especially middle night never wait really clean . next time would prefer stay Greenwich Village cool area Chelsea Lodge cheap planning long trip ny worth stay . also really close place serve great coffee- La Bergamote corner ( th avenue 20th street great bar call east eight W23rd street . 
 Sep 6 2007 	 great find 	 Booked Chelsea Lodge see Tripadvisor Award . it short walk subway ( either 23rd 18th , number 1 line ) . hotel quiet , leafy street , 8th 9th avenue . quiet area , distance away sight New York - great base . our room upstairs . small , adequate . tv modern , many channel . bed comfortable , glad air condition room . toilet across hall , always available . the draw back shower room . ' dry ' area - step shower stand bedroom . overall , would recommend Chelsea Lodge anyone want cheap , clean charming hotel . 
 Sep 1 2007 	 could not ask moe 	 stay Chelsea Lodge 6 night begin August , 2007 . arrive could choose room next reception area 3rd floor . take one 3rd floor even though climb stair every night could go bed regret . quiet toilet always available clean . thing hear walk corridor toilet tv . we arrive 2 suitcase , despite room bit small trouble get enough space 4 suitcase . one thing worry stay Chelsea Lodge size bed . use king size bed , queen size - wonder much sleep go get , okay . sleep good atmosphere hotel great . nice people reception nice cleaning lady . the location good . 3 block subway - line , C , E. 3 block bus number 23 . great relief come back Chelsea spending hour touristic area around Times Square example . love area , hotel definitely stay visit NYC next time . 
 Aug 18 2007 	 excellent choice 	 girlfriend recently stay 5 night Chelsea Lodge . rely upon solid review post Trip Advisor making choice . first astonish room available book ( 2 month ahead ) . arrive , lay - back manager carry heavy bag 3rd floor . room describe : small cozy . air conditioner welcome sight consider hot stay . not need basic amenity plan spend stay explore city , Chelsea Lodge way go . we love New York return intend stay . 
 Aug 10 2007 	 great place stay NYC ona budget 	 stay boyfriend October 2006 five day love . price could not moan place . first bit worried room size , use toilet outside room , get room relieve ! room first floor one flight stair tuck left hand side corner , either room 7 8 , can not remember . anyhow overlook street , hear bit noice night nothing keep we awake . room really cute , bed actually big first thought ( thought would tiny double bed fine ) shower work great , enough space luggage , one case , bed , one luggage rack . as location perfect . area great , street pretty , remind Carrie Bradshaws apartment Sex City , feel like real New Yorker stay ! went eat din across road , believe mention , much prefer Empire diner , turn leave hotel , walk couple block , find , great 50 's style diner , breakfast great v popular . have New York much prefer location , 10 minute walk Greenwich Village 20 minute walk Empire State great place . plus love vibe Chelsea , mad touristy part nyc.would definatly stay budget , really nice guy , feel safe . oh toilet clean , great ! : ) 
 Jul 29 2007 	 excellent - lovely neighbourhood - great apartment 	 nice surprise . stayed & quot ; suites & quot ; rather lodge . parlour suite - front basement room face street . be like stay nice apartment rather hotel . pay hotel price privacy comfortable apartment ! great comfortable apartment wonderful location . close shop metro station . two negative nosiy neighbour insist re - arranging apartment 6 am ( fun jet lag ) decor little date . wireless internet work really well . happy that . all - good experience - would stay without hesitation . 
 Jul 20 2007 	 Birdsong New York ! 	 Chelsea Lodge , little oasis madness city street . stay garden suite , accomodation consist small adaquate kitchen , even small bathroom , clean lot towel , extremely comfortable sofa bed , large double bed , coffee table tv . main living / bedroom comfortable , clean , spacious . on first morning ultimate surprise awoken bird singe , rather siren car horn . it great base get uptown downtown sight , close subway 3 block away ( 23rd 8th ) , mean easy access JFK airport . area feel safe , away tourist crowd , make we feel like New Yorkers stay . this not typical hotel , want try something feel homely also independant , place would right . 
 Jul 19 2007 	 good hotel 	 stay day last week . hotel clean great location ( quiet street , within walk distance West Village three street away blue red subway line ) . cable little hit - and - miss ( movie would freeze periodically , ad access four channel room ) , room awfully small , price 's well worth . room private shower pretty decent view . never guest use share bathroom ( ) need go , problem . be look good value nice , lay - back NYC neighborhood stay . 
 Jul 16 2007 	 great find ! 	 stay one two basement room full bath four night . expect past review , room basic immaculate , everything need . flat screen LCD tv work great bathroom facility . love location , eat breakfast Dish ( right around corner ) every morning , get sandwich Gristedes ( block away ) , fantastic chicken dinner BBQ 's 23rd 8th one night . two subway station easy walk , neighborhood feel safe . return . 
 Jul 2 2007 	 Loved Chelsea Lodge 	 husband recently stay @ Chelsea Lodge Loved ! read trip advisor contact phone . room small clean quiet ! private shower sink room , share toilet hallway , also clean . use toilet morning evening , since go day sightseeing , not problem . air conditioner work great maid service morning . staff friendly allow use computor print boarding pass big relief ! ( free WiFi room ) would recommend stay anyone know would definately stay ! ( ever get husband return big apple ) awesome time find New Yorkers friendly helpful . thank , Lori Higgins 
 Jul 1 2007 	 great hotel 	 give Bubbavon 's comprehensive review - not really much say ! echo his/ comment . great hotel - great value . I third floor - not lift , not problem . I understand place book month advance , will definitely try get back future trip NYC . 
 Jun 14 2007 	 Great Place stay . 	 Chelsea Lodge , describe previous review . completely recommend budget conscious traveler . stay 11 day recently , want point thing mention ( rarely ) Chelsea Lodge past review inform guest . keep mind give excellent rating category . take negative point bad review , fact need aware of . pros.-clean - very quaintly decorated.-cable tv 13 inch lcd - fast Wireless connection laptop - there police precinct 20th St one Block away - neighborhood safe quiet - our room quiet – could hear bird outside window morning . ( also see con ) -Staff friendly helpful couple time speak - cheap - near many restaurant good affordable-3 short block c e line-2 long block 2 line.-murray ' bagel 2 short block away – good bagel ever eaten.-5 % discount pay cash - air condition - you get Hershey Kisses pillow arrivecons - basic accommodation – fridge room ice available . want cold drink need buy one corner like buy fold cool buy ice ( pain ) .-no toilet room available maybe 4 time 11 day option use next floor wait 5 minute . never line 11 days.-our room main floor pro haul luggage butt along day . con little lobby two chair occasion people use space visit hang . foot room door could come bit aggravating especially late night people come home decide talk laugh . big deal something aware . really issue one night.-the room ' window screw shut . use air conditioner fan mode circulate room air ( ceiling fan ) . complaint air conditioner keep room cool plus 31c 0r 89f day , however issue . air conditioner ( room way ) right right side bed . hot day run night even cool one need fan . air - condition draft night . well room get humid shower etc . way open window let humidity . air conditioner crank time.-Cell phone reception building terrible . room call make lean window go outside.-They give two key , one front door build one room . indistinguishable fifty / fifty chance get right one time use . would nice mark one dot paint something.-They make bed daily change bedding . it overall great place stay return . write pro con nothing bug people review place like compare Waldorf . informed hope review help way know expect pleased Chelsea Lodge . 
 Jun 9 2007 	 Loved - like nearly everyone else 	 stay hilton conference change hotel hang around NY extra day . expect room signficant & quot ; drop & quot ; Hilton pleasantly not big adjustment ! stay night staff still treat well , efficient booking etc . 's nicely renovate room small perfect 1 person ( fine one night ! ) . lot hot water , etc . definately affordable NY option 1 person travel alone . stay guest house NY one far superior experience thus far . back ! 
 May 22 2007 	 great heat 	 vast majority reviewer site , pleased stay Chelsea . Lodge small ( room ever small single Japan ) spotless comfortable . staff helpful friendly . partial negative , hot May spell , room little airless , never NYC , may aware Chelsea ' rainbow - friendly ' . walk past gay bar club freak , stay another area . fine would stay New York minute . 
 Apr 27 2007 	 thoroughly recommend ! ! 	 want basic room budget NYC price Chelsea Lodge ideal . include tv cable channel , washbasin shower cubicle ... need consider sleep , relax little wash ! ! toilet hall always clean available ! ! staff friendly welcoming . area feel incredibly safe neighbourly ! ! could live Chelsea permanently ! ! conveniently locate - Midtown Financial District . there plenty shop , bar cafe choose cinema . subway conveniently close do not mind walk , really not far Theatre District famous site ! tiny groan room could get little warm night . 
 Apr 27 2007 	 great place ! 	 stay Chelsea Lodge 5 night overall satisfied . recommend everyone want´s spend money something else hotel . small room , enough spend time sleep . clean shared toilet work fine . 2 floor . I don´t think it´s possible find well place money N.Y. Chelsea charming neighbourhood apart & quot ; real & quot ; N.Y. close wonderful Greenwich Village walk distance alot great area . con : next time stay ask room face street . Windows let throught alot noise car pass nighttime sometimes wake . also school opposite hotel alot child yell morning . big deal , something consider til next time . 
 Apr 20 2007 	 great little hotel ! 	 pick Chelsea Lodge review write site decide give try .... good choice ! stay ground floor suite annexe building , street main Chelsea Lodge Hotel ( 318 West 20th Street ) , suit bathroom shower , spotless arrive well maintain stay . price can not ask well location , 18th Street Subway station two block away . great restaurant , start ? road West 23rd Street / 10th Avenue ' ve get sublime Red Cat serve fabulous modern american food . rock Horse Cafe Eight avenue/19th street great mexican menu super - strong Margaritas . if can not tell loved hotel send we message will tell ! 
 Apr 14 2007 	 Loved Chelsea -- definately stay next time NYC 	 stay Chelsea Lodge one week early Feburary 2007 . could speak highly place ! lucky ground floor room , need haul case stair ! middle winter , heat fantastic - little noisy first couple night , soon get use it . the shower room great never wait anyone use hallway toilet . get fresh towel room make every day - add bonus , give relatively low price pay NYC room ! already recommend peopleback home . 
 Apr 7 2007 	 Super fantastic budget hotel excellent location ! 	 stay 5 night hotel honestly could ask ! solo female traveller , location perfect - situate quieter neighbourhood , yet far main attraction , feel completely safe walk back hotel alone . sure room small , get basin & amp ; shower share toilet always clean always vacant need ! plus , area fantastic cafe 's restaurant many choose ... find quite gem around corner hotel . in NYC , would mad spend much time room , basic , clean , comfortable quiet accommodation Chelsea Lodge perfect , especailly solo traveller . 
 Apr 5 2007 	 fantastic price fantastic location need new bed ! 	 partner stay 8 night . read lot review book prepared small room , communal toilet etc . fact pleasant surprise arrive room big expect . staff really cool helpful room always spotlessly clean returned hotel day . course can not beat location . just couple minor thing could easily improve , bed possibly worst ever sleep . dip middle frame castor whole bed would move you / or partner move around night . fact absloutely exhaust sightseeing get sleep ! also loan hairdryer iron great . would even well iron work ! really like place despite minor point would still recommend ! 
 Mar 25 2007 	 Loation Locaton Location 	 visit new york twice ( byf ) want stay away form Midtown madness ! ! unusual hotel / guest house stay in.not would expect manhattan . it clean , cheap perfect we . room 2H first floor big expected read review see pic . find staff friendly . chelsea great place stay , always feel safe , lot bar restaurant .. try la lasagna 8th ave , corner 20th , great food really good atmosphere . local , think tourist there.you one Martinis ! would not hesitate recommend chelsea Lodge anyone visit new york especially would like get e feel city and local . love . 
 Mar 18 2007 	 great : please stay away 	 great value NYC . hard ( impossible ) beat . need evaluate ? make crazy place , result booking room . small room back like much . either , partner ( bed like room small ) . comfortable , nice furniture feel , well situate subway W14th W18th street , great walk around town . friend , stay away place , let book . 
 Mar 14 2007 	 great stay overall caveat 	 stay low parlor suite 12/06 . location wonderful : Chelsea safe , fascinating , convenient subway museum , neighborhood , store want visit . staff helpful accommodating ; able leave luggage office upon early arrival several hour checkout train leave Penn Station , easy , 15 - min . walk . give great restaurant Chelsea subway / bus access everything else , use single taxi . Chelsea Lodge great value , plan return , caveat . first , building across street school , mean great deal noise student school morning . stay room suite face 20th street , forewarn street noise ; window single - glaze , traffic passerby noise sufficient wake sound sleeper . second , kitchen bathroom suite clean – bed linen towel also clean ( excellent maid service daily ) , suite filthiest upholstered office swivel chair ever see - filthy would use . , swivel chair ( upholstered chair apartment ) make good sense guest need open futon use fold cot provide , really excuse dirty piece furniture . furnishing minimal relatively worn condition , serviceable . expect rug curtain ; suite floor covering metal blind window . additional lighting would helpful ; suite four small lamp – new , one ( next bed ) 3 - way bulb . bright lamp next futon / couch , read difficult . kitchen gas stove , full - size refrigerator , dish utensil 4 , coffeemaker , toaster ( ? ) microwave . nice tv / VCR digital cable . we stay kind accommodation Manhattan , overall , great stay . request room suite face 20th street subsequent visit . hope management try provide upgrade , clean furniture – see beautiful low - price item wonderful thrift shop neighborhood , replace exist furnishing cost great deal . 
 Mar 10 2007 	 Superb Experience ! 	 stay Chelsea Lodge early March 2007 , absolutely thrilled experience . I read lot review site , suitably impressed upon arrival . one flight delay LA , end arrive NYC midnight instead 8 pm . rang Lodge LA assure would problem check late . sure enough arrive , show room promptly check properly morning , extremely thoughtful ( much appreciate 30 hour transit ! ) room small extremely clean comfortable . yes wall thin , ear plug work , will not problem . find everyone thoughtful fellow visitor other quiet come home late . chelsea delight wander around - nice introduction New York 's quite manageable . walkable Village , Flatiron district great subway line , really could not ask much term central . as 24 year old female travel alone , feel extremely safe night around area , Lodge . fact room , hard discern noise surround street . ( be much Chelsea , anyway ) nearby food , hundred place eat , small supermarket , pharmacy corner - perfectly accessible everything . I would thoroughly recommend place stay holiday New York - will definitely back , tell friend ! 
 Mar 8 2007 	 Cozy inexpensive Manhattan 	 significant stay Chelsea Lodge twice , time greatly enjoy stay . hotel cozy decorate eclectic old americana style - room ' ve stay quilt bed vintage , theme wall art . staff friendly , room bathroom clean . location great well - quiet residential street around corner busy avenue near subway stop . one thing prepare , though , room ' ve stay quite small , room much shower / sink , bed , dresser . price , though , be well worth , need big hotel room will spend time enjoy city ? 
 Mar 6 2007 	 disappointing 	 review hotel Time New York glowing , beg differ . not fool photo ! even though location great , find hotel 's desk staff surly ; room ( basement ) tiny , noisy ( could hear everything go surround room ) , overheat could not sleep . staff say could not control temperature ask help open window basically refuse . every channel tv show static . slack basic - early flight 5 am ; alarm clock room not work ; get another one useless , not work either - luckily mobile phone alarm go ! would say not stay want quiet , relaxing , temperature - control night 's sleep ! 
 Mar 4 2007 	 lovely hotel excellent value location 	 enjoy stay pretty converted brownstone much . wonderful location quiet Chelsea neighborhood , step away plenty restaurant shop . pleasantly surprised give low price recommend highly anyone look nice budget hotel Manhattan . close subway station little block away . staff friendly helpful . entire hotel look recently renovate . room tiny , clean , quiet - importantly , private shower sink , hard find price range type hotel . tv not work well not expect tv first place not big deal . window open fire escape overlook residential courtyard . floor two communal toilet , freshly decorate black white tile always immaculate . night hershey 's kiss pillow nice touch . recommend ! 
 Jan 31 2007 	 great value great location 	 return 4 night stay Chelsea Lodge . really pleased choice accommodation . room good size , comfortable bed plenty storage . share toilet next door , like room , keep clean . build nice feel staff meet really helpful friendly . the location great , minute Times Square . good explore Chelsea find lot great , trendy bar restaurant nearby area . highly recommend nearby dish hearty breakfast ! 
 Jan 31 2007 	 great value money 	 5 we stay visitng NY first time December . hotel great value money brilliant location close main tourist area , also Greenwich Village Soho . term want ( comfortable place sleep , clean , good location ) , spot . come wheelchair ( 4 step perfect ) give we room ground floor somewhere store chair , well patient store extra bag buy end week try fit everything ! ! also let 2 we stay room long normal check time last day , hungover plane leave . share toilet shower temperamental go hot cold , clean , well care nicely decorate . ill holiday spend day bed , not happy would massively gutte nice bed snuggle get well quick . planning stay alot will want , plan New York , wrong city ! would definitely recommend and/ visit . 
 Jan 18 2007 	 Loved ! 	 husband stay Chelsea Lodge week Christmas 2006 . quiet , residential street ... room overlook garden ... still short walk red blue subway line . hotel immaculate , staff helpful friendly . room spacious price ... even desk chair ... enough space leave roll yoga mat ! hot water plentiful , never wait use wc . definitely stay Chelsea Lodge ! 
 Jan 18 2007 	 love Chealsea Lodge 	 first , rely Trip Advisor travel . room stay horribly small . tv not get great reception , shower keep go scald freezing , huge pipe room keep whistle like tea kettle . clean staff friendly . however , explain problem room ( whistle pipe ) , willing accommodate we . 
 Jan 18 2007 	 absolutely great 	 find Chelsea Lodge use TripAdvisor . TripAvisor earn keep one ! $ 109 / night Manhattan - can not beat price . probably clean hotel ever stay - price . the room sink shower , use share bathroom . exceptionally clean . definitely pay dirty , private , bathroom . not let scare - Chelsea Lodge great place . 
 Jan 15 2007 	 Adored Chelsea Lodge 	 time brief review , feel add positive review site . Stayed Chelsea Lodge 6 night December , bowl 's charm . room small perfectly acceptable - ' ve small room London - reviewer confirm , spotlessly clean . area great , everything could need within short stroll , handy nightlife Village Meatpacking District . definitely return ! 
 Jan 7 2007 	 last time super place stay 	 nearly repeat review Nov 2005 , go back NYC another pre christmas shopping trip . requirement : clean , comfortable , convenient , importantly , reasonably price . Rang hotel directly , get straight James ask room wife , daughter . James inform we room leave could take three explain aware room smallish , give we room last year - 1A . daughter three sleep we . book back May , credit card charge ( agree ) 100 dollar deposit rest charge check - in . the Chelsea Lodge frill , honest goodness place get reasonably price accommodation two subway stop south Time Square . two year run hit New York november shopping , really useful base drop shopping bag become overloaded . reception tell B & amp ; h photo recommend camera gear walk straight street get new digital camera 250 euro cheap Dublin ! Chelsea Lodge exactly say tin . cheap , clean comfortable room New York City . James Jos ? reception , well look . suggest site reception sour unhelpful , genuinely believe James come across poorly . always warm friendly we although seem quiet softly spoken . I recommend Chelsea Lodge friend know go back . 
 Jan 5 2007 	 great budget hotel 	 return seven night NYC New Years holiday . choose Chelsea Lodge review great raise rate holiday unlike many NYC hotel raise astronomical level . price much doubt could beat Chelsea Lodage anywhere New YorK City . yes room tiny , clean bathroom facility rest hotel . Chelsea wonderful neighbourhood explore rest city great part town right . 
 Jan 4 2007 	 live dream NYC 	 wonderful budget hotel NYC - even not cheap - would still great place stay - convert old brownstone heritage leafy residential street chelsea - americana new england style room charming staff general area - 80 euro night real steal - make sure ask double room . 
 Jan 4 2007 	 great value short stay 	 perfect budget hotel short stay stay long 4 day may want look place facility . friendly staff room exactly expect . basic clean tidy . stay 3 night ( 4 day ) find end miss room facility bar / lounge collapse end day sightseeing head evening . for price great location exactly would expect - place sleep end busy day . local bar & amp ; restaurant also excellent value money . 
