great 	 enjoy stay Martinique first time visitor New York New Zealand - central everything want everyone helpful . eat restaurant three night stay New York meal great . especially enjoy able get meal 11.30pm show Broadway . would definitely stay . 
 Aug 15 2007 	 Wonderful Hotel 	 hotel excellent choice . close subway short walk lot attraction . happy room service provide . hotel one would use . street side never hear noise except one fire truck . 
 Aug 14 2007 	 rude front desk staff ' ve ever meet hotel 	 front desk staff interact rude personable . ( 2 woman male ) extremely poor customer skill attitude . special rate give book room honor confirmation letter suppose receive ( ) . would advise anyone feel need book room hotel make sure receive confirmation letter make arrangement arrival date . check time 4 p.m. ( later hotel ' ve stay ) . would advise anyone try check early can not accommodate early arrival let alone 4 p.m. arrival . make sure check 11 would put past charge extra night little late . hotel dirty food tray ( food still ) hallway floor check time arrive back room late dinner around 9 p.m. AC work correctly room lack simple amenity normally find hotel room . if be look follow two thing : comfortable bed good location live describe , mean hotel . 
 Aug 3 2007 	 Shabby chic 	 stay 2 night July 2007 . midtown location ok hotel lack charm . place want somewhere welcome come back long day . room tiny ' pump ' bed work . lift slow long wait , decor see well day . check in / out staff cleary use deal volume rather take time welcome guest . overall nothing wrong , nothing make go back either 
 Jul 12 2007 	 Ummm .. jump stay hotel 	 stay last night eager report experience ... good one . get around 1 pm try check early say wait ... ok , get back 4 pm ( check time ) , take hour check . 2 front desk people not te nice . inform part hotel not air conditioning give we one free drink coupon bar ! experience continue : walk room put key normal open , naked man room ! ! ! go back downstairs front desk lady tell we jokingly , assign we take room .. get new room , clean lady still clean .. 5:30 time . poor clean woman not even cart supply , bucket .. hurry , leave make bed use water bottle tolietrie .. not blame hotel .. wait check , dozen airline pilot attendant check ( 5 hour suppose check time 11 ) . clean people behind many room ready 4 pm . ( side note : not ask airline pay crew take charter bus go city stay midtown hotel could stay airpot hotel ... airline need look overhead ) anyways , two hour terror ... ok experience ... towel different , super ratty one brand new pille take another shower ge fuzz hair . mini bar coke $ 3 stock local market . location good , good thing . would not stay ... , book caution .. 
 Jul 8 2007 	 great location wonderful service 	 NYC ( business ) , nervous hotel selection return husband 15 year old daughter week Spring Break . trust TripAdvisor year time , really count information Radisson 's central location absolutely true . AAA offer rate could not refuse . easy access subway , reasonable walking distance everything ... show , food , shopping , Empire State , etc . concierge ( Mike ) wonderful help first night . stay include free breakfast buffet WONDERFUL ... real money saver & amp ; hostess know we name day 2 . front desk helpful & amp ; polite & amp ; back door exit small gift shop ... great shortcut next street & amp ; lot fun visit . housekeeping great & amp ; checkout - be easy . surprise . absolutely consider hotel visit NYC & amp ; recommend ! 
 Jul 1 2007 	 great location ... go back time ! 	 stay 3 - day business trip . use Marriott 's & amp ; Hyatt 's , hotel quite . everything book thru AAA , get $ 297 / night rate become avg . stay NY reasonable rate . room medium sized ( 2 full bed ) large NY standard . accs . furnishing old boring . tv reception pathetic . bad smelly bathroom . attribute mostly moldly shower curtain . have dinner could find anything nearby open 10:15 pm Tuesday night . first burger char / burn ask another one . 2nd one raw still move ! stay . 
 Jul 1 2007 	 expect 	 give price pay stay several night think going get pretty decent hotel room upon arrival hotel seem fine . okay lobby , everything downhill . doorman front desk attendant cold quite unfriendly ( exception bellhop refreshingly pleasant helpful ) . also front desk provide we inaccurate information hotel prove troublesome . room small , be expect ; ' except awful bathroom . tub stain damage like nothing ' ve ever see , bathroom right next one two small double bed room , way sheet also stain hole blanket . room also feel unclean icky . several day later stay comfort inn big relief ickiness room . also another door room connect another hotel room could hear neighbor conversation , time clear seem room we , wall beyond paper thin . ny city expensive 's hard find something reasonably price , either get bad room hotel pay . local hotel okay , subway close hotel Korea town interesting , good ice cream nearby store several nearby korean restaurant . also walk around find lot food place . somewhat good thing hotel location 32nd street , far point interest , place still need get subway . not go expect much . okay maybe 1 night , would stay , be way well . 
 Jun 28 2007 	 great location 	 afraid go hotel read negative review . first time Radisson , ( typically stay Westin Hilton chain hotel ) . clean quaint hotel . elevator fine , typical New York City elevator . People complain elevator silly , spend time NYC building ! pleasantly surprised , stay sleep number bed suite . blast ! hotel convenient staff hospitable . great location , convenient restaurant , subway station ( around corner ) , bus stop , etc . try Speedys fast food restaurant - excellent ! , hotel 's restaurant -Cafe Martinique fine , although order soup day ( grant end day ) , give bowl room temperature broth , instead hearty soup expect . korean neighborhood think great , since isa Korean restaurant onsite , ice cream shop street seem spot get ice cream . can not beat close Macy 's flagship store ( 7 floor ! ) ( must see even floor number 1 1/2 ! ) . also , drug store ( Duane Reeder ? ? block ( buy drink , toiletry , etc ) , specialty cosmetic store around corner , quaint small park middle broadway ... ' m sorry can not beat hotel . go book Westin glad since drive past right next & quot ; gentleman 's club & quot ; . 
 Jun 20 2007 	 perfectly adequate 	 fairly small size room , clean , modern comfortable . bathroom clean plenty towel . air con bit noisy - could sleep . service prompt pleasant . complaint . 
 Jun 19 2007 	 room night that s 	 travel companion stay hotel June busy sorrounde area , stay ' uptown ' 18 month ago . hotel ok , although room allocate dark lamp not work . bathroom could hardley turn round small- not cause much concern take view hotel sleep . least nice quiet night consider central . one hand great next Macy 's Empire state bulde around corner Madison Square Gardens block away , hand make busy . difficult walk hotel morning try avoid hoard tourist clamber every inch pavement . Hustle bustle premium . near touristy area , little way bar restaurant nearby . fact immediate area outside hotel bit dingy , case get subway taxi either Greenwich Village ( lovely ) uptown . stay 57th Street , near Central Park , would much prefer area . quieter , slightly geared discern tourist load lively bar restaurant . even though tourist ion New York , not want surround tourist especially not want eat korean nearby vicinity night . each - probably would not stay hotel . 
 Jun 18 2007 	 Good Hotel Great Location ! 	 husband stay hotel . staff friendly - especially staff concierge desk - particularly one gentleman name Jose . help we figure subway route stop get helpful . help we hail cab several time well . upon arrival securely stow luggage arrive check - in time . staff on - site restaurant friendly . room tad small 90 % hotel room NYC small . good value price . 's locate right subway never difficult get anywhere could hop subway literally right outside front door - great plus thought ! minor complaint would would thermostat room bit touchy take we 1 1/2 hour get room comfy temperature . , would recommend hotel anyone . 
 Jun 15 2007 	 great location stay somewhere else 	 experience Radisson hotel generally good , one miss . ok , great bed , 's . service poor . huge corner room 2 bathroom , sofa , fridge etc . , hanger nowhere hang suit ! suggestion stay somewhere else . 
 Jun 1 2007 	 Security Breach hotel - exercise extreme caution 	 recommend anyone wish book stay Radisson Martinique use careful consideration stay back April 2007 $ 200.00 pair shoe steal hotel . 's even disappointing extremely poor customer service receive since deal numerous people ( throw person person no - one chain take accountability ) hotel chain use classic stalling tactic brush whole thing carpet . just write feel fellow traveller not want anyone else go hour various mode communication endure hotel still disregard matter take seriously . try Starwood , Marriott Hilton well round security customer service case ever deal situation like mine . 
 May 28 2007 	 yes Definite Rat Hole 	 agree many previous review although hotel New York therefore great location , well stay elsewhere . room indeed small dirty , restaurant , food service truly nasty , concierge know talk could not care less . woman gift shop / sundrie bar not know department store , will not give change direction time day ; nice brass shingle say & quot ; concierge & quot ; . mini - bar sign sum hotel philosophy : basically , not get comfortable put stuff ! toiletry could not cheaper harsh , $ 400 night . elevator incredibly small , old overcrowded ; front desk move snail 's pace long line - up . door people will not hold door open especially luggage . doorman suppose get cab spend time singing avoiding . front desk treat like strange interloper show courtesy . complete crap experience sour visit wonderful city . 
 May 26 2007 	 Great Service beautiful room 	 sister 2 child spend last Saturday night NYC Radisson Broadway . great time , thank service receive Radisson wonderful man name , Redmond , upon check . reservation standard room ask check room would big enough 2 child . Redmond give we room king size sleep number bed 2 rollaway bed kid high floor beautiful view city . could not please . room beautiful ... Radisson conveniently locate 2 block Penn Station could see hotel sign immediately walk train station 7th Avenue .... relief we ... afraid would not able find .... short , safe walk Times Square subway right front ... love Radisson would stay ...... impressed service receive Redmond check .... make day ! 
 May 15 2007 	 Radisson ( Rat Hole Sum ! ) NYC 32nr 	 Radisson ( Rat Hole Sum ! ) NYC , 32nr & amp ; Broadway hotel great potential outstanding location . execution lacking . Front Desk staff pleasant , albeit , New York vibe . elevator however , new twist Three Card Monty : one duct tape floor , choice number two squeak gerbil wheel provide vertical lift ( thank Richard Gere ) , number three seem work fine . fat people : stay away ! size room equal New York generosity , tight ! $ 400 usd / night , enjoy Oakland Ca . motel 6 1/8 price 1/3 big . four - night stay run $ 1,700 usd . fat people run away see mini - bar . sign say ' Store Personal Items " . blink advertising message " sale " " discount " led display . room safe integrate mini - bar . cold ! Chrome - Dome : sometimes get go . go , notice filth chrome drain underneath sink . icky ! rate exceed $ 200 / night , guest expect body care product superior ( read ; Aveda ) caliber , knock name item supply . suffice , yet fail excel deliver value . unacceptable rate pay . balance room fairly void dirt disaster , AC difficult operate stop prevent 4 " open window overlook Broadway park . access subway stop without cross street wonderful . house restaurant marginal , typical Manhattan new food service paradigm : huge , low quality portion illegal worker deliver labor english second language communication . bring russian interpreter service ; otherwise ' gambling like Vegas buffet . Bottom Line : NYC truly expensive , ' picky , ' need drop several hundred dollar per night enjoy satisfaction . deal . discount shop enjoy eat outrageous food lodging cost . go Hawaii , weather recreation well . 
 May 11 2007 	 great hotelexcellent location 	 husband & amp ; stay 3 night ( 4th-6th May ) , stay hotel NYC please choice Radisson Martinique . excellent location - especially new visitor city , doorstep subway , short walk away Empire State 42nd stree / Times Square . room clean decent size NYC especially time spend sightseeing . 5th floor be not especially noisy consider location able sleep ! service hotel brilliant , front desk helpful ( print address place look find ! ) , gift shop gentleman always smile , bellman could not hav helpful organise town car get us airport -very prompt service ! excellent stay ! Manchester UK 
 Apr 26 2007 	 good hotel business traveler . 	 good experience . travel frequently work stay hotel 150 night / year . usually stay Marriots Hiltons book last minute work trip . stay hotel ! ' free ' wireless joke . signal weak room not work . rate book also suppose include free breakfast upon check - in , idea talk . manager finally provide coupon complain . also , impression room would sleep number bed , Radisson 's big selling point . case ; get normal , bad hotel bed typical hotel polyester bedding . 
 Apr 20 2007 	 bad service great location clean hotel 	 great hotel great location . room clean service restaurant pretty good . , service provide manager ( ) , bellboy , doorman plan bad . seem like interested serve . take we 20 minute check guy front desk finish ' some stuff ' serve we ... wait . other , hotel worth money . 
 Apr 20 2007 	 Fab hotel ! 	 daughter go New York celebrate 50th birthday . RMartinique highly rate tripadvisor book . disappointed . fact , delight . first greet cheery doorman last farewell , make feel welcome special . could enough we , nothing much trouble - hotel 's motto seem ' no problem ! ' .The Empire State Bldg hotel 's back yard , Macy 's front . attraction easily accessible subway right next front door - could well place . the room airy spacious New York standard ; lift work well ; safe room pay safe lobby free accessible 24 - 7.the hotel flexible - last day , hotel kindly agree we check 1200hrs instead usual 1100hrs ; want store bag till 1700hrs - hotel kindly oblige . remember : ' no problem ! ' .We literally live Macy 's similar enticing establishment along 5th Ave bag full bursting . understandably , need help take case step subway 34th St. SPECIAL thank go Mickey Bell Capt ( 2nd leave photo ) smile say , yes ' ve guess : ' no problem ma'am ' ! get colleague together carry case bless step . service beyond call duty , sure , appreciated . problem room kettle , coffee maker time get hotel restaurant sample excellent breakfast include tea , tad grumpy morningSo : want terrific hotel heart Manhattan not want take second mortgage , go Radisson Martinique - like tea , take portable kettle along . and see Mickey , tell say hello ...... ; - ) 
 Apr 18 2007 	 Loved ! ! 	 great hotel ! perfect location - right middle everything . subway right outside door . could see Empire State Building room . small room , not care . enough room two we . can not comment extra service not require . concierge nice . helpful direct we want go . would absolutely stay would recommend anyone . 
 Apr 17 2007 	 Rude Manager 	 stay one week April Radisson Martinique . ok , great location money . my complain Fitness Center , none , find tiny smelly hot room basement two old treadmill . check give key room small envelope say " Goal Radisson 100 % Guest Satisfaction , satisfy something , please let we know ' make right ' pay " ' pity manager never read . go front desk talk lack fitness center ' care less . rude ' try helpful . rest personal Hotel extremely nice . 
 Apr 17 2007 	 Excellent Hotel 	 return weekend New York . stay Radisson 2 night . ( one night weather relate due flight cancellation ) . check quick efficient . book standard room . receive free breakfast AAA . use concierge service book tour get direction . staff extremely friendly . doorman great hail taxi . location great . room great . absolutely noise excellent centrally situate hotel . I would recommend hotel couple family would definitely stay ! ! 
 Apr 14 2007 	 Excellent hotel great location . 	 stay hotel April 2007 6 night . check quick efficient . executive room 18 floor spacious , clean small kitchen . noise excellent centrally situate hotel . access 17th floor executive lounge complimentary breakfast evening cocktail etc exceptional . centrally locate hotel 10 min walk Times Square 5 min Empire State . would recommend hotel couple family would definitely stay ! ! 
 Apr 2 2007 	 Excellent traveller hotel New York 	 stay five night 21st 26th March 2007.we pleasantly surprise normal 3 star New York hotel offer postage stamp size room . clean spacious comfortable amenity . staff friendly , polite helpful . the location hotel excellent offer subway station outside direct line uptown Central Park & amp ; Bloomingdales well direct service downtown Ground Zero , Brooklyn Bridge , China Town & amp ; Little Italy . Macey 's , Penn Station , Empire State Building & amp ; Times Square within walk distance . a money save tip fly JFK take Sky Train Jamaica pick Long Island Rail Road Penn . lucky journey take forty minute cost $ 10 per person instead $ 70 cab fare . minimal amount luggage . on whole would thouroughly recommend hotel look good traveller hotel New York . look around deal , get five night price four , normal starting price high even New York . 
 Mar 30 2007 	 central hotel close everything 	 centrally locate hotel within easy access New York sight , Empire State Building right behind next block open 2 am ideal insomniac . arrive hotel 12.15am unable room originally book agent , change available hotel full Sat night . change next day rest stay together full buffet breakfast compensate us loss exec room first night . hotel comfortable , number sleep bed great , staff friendly , lift little slow creak little weight , breakfast plentiful staff helpful friendly . concierge helpful tour first morning . take two day bus pass loop , really give good view city want go back certain attraction either hop bus walk . yes walk , every within walking distance . subway station corner block hotel subway safe London Underground , travel back South Ferry Terminal Penn St Station $ 2 single ride anywhere bad @ £ 1 $ 1.9 . late flight back 11 am check Bell captain look case get pick , even call shuttle ' ve book do not turn time . full mark . 
 Mar 27 2007 	 Acceptable lacking 	 stay Friday Saturday night , Location great , staff friendly courteous , call maid service Sat . 6:00 pm . cereal available Sat . Sunday . ' ve well $ 400 night New York ... 
 Mar 20 2007 	 five star ! ! 	 Radisson Martinique absolutely awesome . 's little expensive hotel area , be worth . jetlagge traveller , wonderful get room find comfy , clean bed , bathtub , cable tv free wireless internet access . breakfast amazing - full American Continental breakfast serve restaurant . the staff friendly helpful . be great location , - 's subway stop right underneath hotel , be 1 block Penn Station , Madison Square Garden Macy 's . 
 Mar 17 2007 	 enjoy Stay 	 recently stay friend town Radisson Martinique leisurely weekend . originally book another & quot ; hotel & quot ; upper west side ( wound mess ) . find another hotel quickly fortunately , Radisson accommodate . take we short notice ( day ) . get great AAA rate , staff friendly . lobby nice , check - in smooth , hotel well maintain room spacious , clean well furnished . even get full complimentary buffet breakfast two , entire weekend . room service food not great , restaurant good . neighborhood right heart midtown 's action - close everything ... fun nightlife , great shopping , good multicultural vibe people . seem big asian community area , Korean Sushi restaurant , bar club authentic . stay fun comfortable . highly recommend . 
 Feb 28 2007 	 great location good hotel 	 stay rubbish hotel road one night , Radisson seem like oasis ! conceirge helpful , room clean breakfast good outstanding . room everything would want , although room spacious comfortable . it nice consistent chain hotel , excellent location . would recommend ! 
 Feb 26 2007 	 Busy Hotel Busy Location 	 Martinique busy hotel , busy corner . hotel sit diagonally across Macy 's right top Subway entrance 34th St Station . immediate street load korean restaurant , many open 24/7 . since child , give permission try . menu 's look good price reasonable . the room clean , bed comfortable heat work well . issue lot water drip shower matter carefully adjust curtain . the staff helpful polite . ask hold bag later night last day stay . not eat anything hotel , since many option across street around corner . issue not receive non - smoking room book . open window air room not really bother tobacco smell corridor . not feel like change room since stay two night . 
 Feb 11 2007 	 good hotel slightly overprice 	 stay one night Radisson Martinique NYC middle summer July . get room high building amazing view quite spacious room single room nescesary ammendant luxurious bathroom . location absolutely brilliant staff absolutely outstanding . thing could complain problem Mini - bar lock remote could not open even staff , breakfast include high price , like experience every Radisson Hotel , overprice accordance get . not get wrong , be really luxurious hotel , thing breakfast make dissapointed . 
 Jan 20 2007 	 great stay great location 	 always stay Crown Plaza Times Square . time stay change . hotel excellent . remodel last year nicely . clean room , quite night , gracious staff . preferred location , price , service . subway station outside door 20 yard . great korean resturant next door . spend 5 day Jan 11 - 15 stay . easy walk Broadway Ave Americas Times Sq ( 10 block ) . clean street well light even 4 am . empire State Bldg next block , Macy be across street . 
 Jan 17 2007 	 love place ! 	 ' ve stay lot hotel NYC except Ritz , favorite ! location central easy travel . jump subway catch cab right front . I end handicapped accessible room huge ... especially bathroom . also clean bed comfortable . I problem check early . the restaurant downstairs perfect breakfast . the one bad thing could say wall bite thin neighbor loud go hear . 
 Jan 16 2007 	 Loved Radisson Martinique 	 Met every expectation . pay £ 75 per night double room 4 night . location superb ! housekeep excellent . not fly home late last night offer late check £ 45 allow we use room 6 pm ! ( could check 1 pm additional cost . ) would definitely recommend hotel want stay heart NYC . 
 Jan 14 2007 	 New Year 	 not sure make Martinique quite review paint picture chaos , travel agent never let we , arrive 27th December . turn 4 pm & amp ; book straight away & amp ; go room sixth floor . ask quiet room review , room fine & amp ; reasonable size view . first visit New York not bother long room clean . first impression good , lobby small & amp ; busy lot flight crew . bar & amp ; restaurant open & amp ; could sectioned give intimate feel . meal night hotel & amp ; happy service & amp ; quality . follow morning breakfast 1st floor restaurant . $ 15 buffet need service & amp ; food ok . see one waiter completely ignore guest & amp ; refuse even discuss request . seem bit tension can not comment lead one force people become waiter work service industry & amp ; ignore people contribute wage stay hotel completely unacceptable . decide would eat . consecutive day chase housekeeping room not clean late afternoon , inform early day . one occasion talk housekeeping twice & amp ; contact reception desk . mini bar , find fine & amp ; offer $ 15 credit spend $ 15 , never restock whole stay . check bill departure $ 15 credit not include bill deduct point , put oversight . find concierge helpful & amp ; use book ticket Empire State & amp ; Statue Liberty ( take advice , get early beat queue ) . good thing hotel location , come hotel & amp ; turn right onto Broadway & amp ; Macys , turn leave & amp ; walk 5th Avenue . empire State block & amp ; half 5th & amp ; next door Heartland Pub & amp ; Restaurant . place great food & amp ; service , eat quite lot . Times Square 10min walk Broadway Bryant Park . walk Broadway Central Park & amp ; 5th , quite walk great way see city , several day stop lunch & amp ; visit store . restaurant Macys worth visit time especially breakfast Andrews Coffee Shop & amp ; Brooklyn Diner . lunch Stage Deli , ok could make & amp ; maybe live reputation . go Macys make sure pick International Savings Card 11 % discount . review may sound good hotel honest 's bad review & amp ; staff friendly & amp ; helpful . location excellent & amp ; feel safe especially night security check everyone come hotel . go back NYC probably try another hotel would happy stay . go New Year couple group friend try stay right Times Square , 6 pm can not get near . taxis JFK $ 45 + toll ( $ 49 ) , fly back Newark & amp ; $ 65 arrange Doorman . 
 Jan 4 2007 	 place AWFUL 	 ok , know would pay arm leg stay anywhere Manhatten New Year 's Eve , expect least clean environment . due severe asthma , make point contact hotel prior stay request non - smoking room . well , room techincally non - smoking room , due ventilation building lack constant circulation filter air , non - smoking room become nasty smoking room late evening . call downstairs help situation , offer air freshener ! finally , get maintenance man unbolt window tuen heat . tell manager , accusatory doubt experience . $ 500 night , would expect bit ! food awful restaurant service . fact , staff rude except front doorman helpful friendly . stay away lemon .... great location , would well bit farter away something not smell like 20 year old ashtray . 
 Jan 1 2007 	 Great Location awful service 	 stay New Years 2006 . return . pro : -just time square - accommodate early check - in . con : -No service ever . never doorman open door offer help luggage . neither housekeeping , room service concierge would provide corkscrew open bottle wine ( carry bottle hotel restaurant back room ) . call concierge look time location movie we , response come purchase news paper fifty cent want information.-very small room . ( fit 2 queen bed , 3 people max roll away . ) -Did sleep number bed room 1034.-heater unit room could not get room 70 degs F. even colder close room 's window.-charge use room safe room refrigerator actually vend machine charge soon something remove . room fit anything except maybe sandwich turn sideways . -Business center would provide loan pen write location restaurant street map . ( look online give use concierge anything ) . 
 Dec 28 2006 	 average . especially Radisson 	 want like radisson . minnesotan like we ' hometown hotel chain desperately want succeed . unfortunately , often end step ( two . three ) behind peer Hilton Crowne Plaza . ' Radisson Martinique nice surprise . hotel ' element experience well maintain perfectly acceptable . the lobby : least impressive hotel ' attribute lobby . small lobby enter 32nd street crowd , see become zoo large group checking . business center : ' bring laptop ( want take weekend work ) never try in - room internet . check e - mail use free computer small business center lobby . Bonus hotel charge . the fitness center : tiny . equip . still , stylish recently remodel one available basement . give space limitation Manhattan , gym would underwhelme anywhere else acceptable . restaurant : ' eat , restaurant appear stylish even separate entrance Broadway . across street Manhattan Mall decent food court basement level . location : Outstanding . seriously top notch . exit lobby watch step ' fall subway entrance . ( 34th street yellow line . ) hotel block Penn Station . macy ' block away , Manhattan Mall across street Times Square 10 minute walk north . the room : fine generous size Manhattan . ' certain exactly type room end , satisfied get . reserve ' basic " room use free stay coupon . suspect upgrade ( clerk ask manager put we ) . end 16th floor room small kitchenette area recently remodel décor . see sign wear room . matter , ' see wear hotel . complaint matter personal style deficiency hotel . prefer stylish urban earth tone Hyatt W emphasize . Radisson , however , do upscale suburban Atlanta décor Marriott seem prefer . king size bed Sleep number clean white bedding . want love Sleep Number bed ( another Minnesota company ) , ' . first time sleep one alone fine . couple … … alas , seem design push we apart . seem ridge run center along edge well . matter adjust mattress firmness still fall like ' sleep pair shallow box . room pullout couch tv armoire . pull couch would need climb get one end room . finally small alcove area door serve closet . disappointing part room view airshaft . still , two window view . ask maid room renovate tell " , be . " however , front desk tell room indeed renovate . would tend believe maid . suggest ask " recently " renovate room . suspect nice room Sleep number bed . pity . bathroom : fine . average . sink marble tub , still little cramp . came stock full compliment Asira toiletry ( seem Radisson house brand well knock Aveda toiletry . , turn , another Minnesota company . ' bet idea many Minnesota company ! ) staff : complaint . allow check immediately upon arrival noon , room we 2 pm . ' call front desk staff " warm " ' openly hostile job efficiently . one thing worth note hotel entrance policy . night really check make certain ' guest walk . even midnight ask show key . might find comfort although personally irritated . ' like prostitute could get hotel conduct business . sleep number bed room prevent it . overall : perfectly sane choice New York . find clean , renovate contain required amenity . location excellent . ' stay without hesitation . 
 Dec 21 2006 	 average hotel great location . 	 stay 4 night last year . good thing hotel location ; handy Maddison Square Gardens , Empire State Building Macy 's . whilst staff friendly helpful hotel find pretty basic need refurbishment . room , although spacious reasonably clean , feel shabby . dining room seem dark uninvite not use , prefer breakfast one many good cafe area . you pretty much walk everywhere hotel . walk 42nd Street see Producers , walk Times Square dinner Bubba Gump Shrimp Co Restaurant ( complete tourist trap fun ) , walk Big Apple Greeter ( volunteer New Yorkers show visitor around half day - definitely worth arrange go ) Greenwich Village Chinatown . love New York planning return next year . however stay Radisson Martinque . not bad , apart location , little recommend . 
 Dec 18 2006 	 overall good experience 	 read review site little apprehensive , say pleasantly surprised . location hard beat - right Herald Square . front desk staff , although little slow check - in , bell staff helpful . room clean decent size New York standard . elevator slow , one three order entire weekend , real inconvenience , not much one all . we arrive late - around midnight - book two room . much surprise , still assign room right next other . I would certainly stay . 
 Dec 14 2006 	 Fine experience ... 	 stay Radisson Martinique last minute journey city one night . check - in complicated huge number teenager , part tour group , run wild . check - in lobby stale , sewage - like smell become unbearable wait ( never disappear throughout stay ) . , room would not open . however , staff superb take care frustrations- put we penthouse room . the room much nice lobby- clean airy . rather small Ohio standard , know expect NYC . notable room Sleep Number bed , adjustable like softness / hardness . hotel sit right edge Koreatown , eat lovely korean restaurant store . able comfortably walk Times Square , 's subway station right corner hotel also . make sure visit cheap Jewelry District right near hotel- wonderful deal costume jewelry . 
 Dec 10 2006 	 Hated Hotel - Loved Doorman ! 	 pretty disappointing experience . positive doorman - great guy ! room freezing - appear motion sensor heat would not go unless wave arm front thermostat . room small 2 people could not bathroom time . housekeeping not bother show one day clean room . food service restaurant terrible . chandelier lobby quarter - inch filth hanging , restaurant restroom filthy . poor management . would recommend hotel . 
 Dec 1 2006 	 good location 	 stay NY Marathon , nearly impossible find room $ 400- $ 500 per night . read review uneasy , pleasantly surprised . fiance season traveller tend stay upscale , trip plan spend much time room . however require Mid - town Manhatten . all staff encounter friendly . recieve upgrade room include couch pull - out . say , room fairly large ny standard . finishing etc average view brick wall , really , care ? be NY sit room look window ! would problem recommend ths room look decent , average ( no - frill ) place stay . make sure request room away elevator . hear whir night often wake . 
 Nov 23 2006 	 well 	 housekeeping service rude , wake every morning demand let in . the ventilation horrible room , stay chilly -- -the heating go cold hot , either freeze stuff . the front desk confuse reservation , originally place all - smoking floor . overall , unpleasant experience . highlight place location , even well place much well price . 
 Nov 22 2006 	 great right price 	 like thing guess 's money . really lucky , originally book hotel Holiday Inn Wexas rate 170 dollar Radisson good enough honour even though cheap rate go 360 dollar . close Thanksgiving ! 170 great value man lift hear say colleague , ' ' m stay crappy hotel 400 night ' . clean hotel room pretty good size . buffet breakfast basic good value . reasonable coffee shop small bar . however two thing stand excellent location ( be minute Macys Empire State Building ) friendly helpful staff . so would stay could get rate 250 dollar night . 
 Nov 1 2006 	 great location friendly staff 	 reunion sort NYC , four we Canada , not see year . book Radison Priceline , come decent price . room small , fine- 2 double bed , rather small bathroom 4 woman . lot towell . hotel quiet , great location explore city . hotel staff , like everyone meet NYC , helpful , friendly , accomodating . check leave luggage last day , bell captain extremely helpful help we figure get JFK . not eat restaurant , discover Speedy be across hotel , great breakfast . would stay , long price right . 
 Oct 29 2006 	 Average Hotel would stay 	 wife two small child stay October 2006 . take Amtrak city take subway hotel , subway stop right accross street hotel . upon enter security ask we , & quot ; staying & quot ; rudely . say check . proceed watch we walk front desk . wife require show ID check . every time leave hotel return , several time , show ID door . unacceptable guest . much security problem hire security staff . also allow guest past midnight ! ! absurd . pay room belong . room average showing wear . bed comfortable bathroom small . wireless internet almost unusable . would stay . 
 Oct 24 2006 	 Loved stay Radisson Martinique 	 hotel beautiful reasonable price . room small really nice comfortable . sleep Number bed treat . room super clean , staff friendly helpful direction , suggestion get we around . hotel great location walk alot tourist attraction . Time Square , Empire State Building , Fashion Dist . Macy 's . really enjoy stay Radisson stay go another visit well tell friend stay . highly recommend . however recommend resturant hotel . eat one night late horrible . expensive , terrible service food not good . Hotel Excellent ........... resturant .... good 
 Oct 21 2006 	 slew minor frustration 	 stay business , 4 night midweek October ' 06 . first good ... room large , tiny either , many NYC . room quiet , problem either street noise staff & amp ; guest noise . decently furnish , well - locate Herald Square . say , slew service issue keep return . big problem in - room wireless internet nearly unusable ( # 1 ) . despite & quot ; excellent & quot ; signal 11 mbps connection , web site slow respond many time . call front desk , give toll free number help , could not write , pen room ( # 2 ) . three call help line two day fail resolve problem , admit end . I think might try dial - up instead , nowere room usual card show local phone cost ( # 3 ) . inquire front desk , tell rate , per - minute charge local call start 10 minute ( # 4 ) . could make unpleasant surprise checkout . there service problem besides telecom . check room , half lamp unplug ( # 5 ) . lightswitch door control light , shut power alarm clock ( # 6 ) . housekeeping always shut light , return , walk thru dark room find lamp turn on . on 2nd day , get back work find light , room service ( # 7 ) . promise send housekeeping right , almost hour come . I expect issue like less independent hotel around Manhattan , national chain , price comparably Marriott 's Sheratons island , be disappointing . look elsewhere next NYC trip . 
 Oct 19 2006 	 ok Hotel ... 	 Martinique Broadway well locate midtown hotel , one block away Empire State Macys . within walking distance Times Square . try check 2.00pm , tell room ready come back 4.00pm . return receptionist still struggle find we room . overall reception desk welcome experience . room triple . small , contain two narrow double bed . Decor little tired bathroom see well day . good news rear hotel away traffic noise . avoid mini - bar - $ 3.25 soda ! Duane Reade drugstore virtually next door charge proper price . breakfast hotel restaurant adequate , expensive . well find diner well value . overall ok experience , could well . Virgin Atlantic cabin crew fly we stay can not bad . 
