RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Dec 6 2007 	 good value money 	 stay 3 night - 1 night £ 26 2 night £ 49 . great value central London . 10 min walk King 's Cross station underground , plenty cafe area . our room bite small usual Travelodge , standard cleanliness decor . bathroom ok , clean towel day . room face car park probably quieter room face busy street . expect noise city centre . lift often busy early morning late afternoon , obviously popular hotel . do not eat restaurant always busy . staff pleasant helpful . problem , would stay London . 
 Nov 3 2007 	 cramp 	 book triple room 2 other . hardly enough room put one bed room 3 single bed 10 inch bed . bathroom / toilet well . air con one side window would open slightly . bit shoddly really . 
 Oct 24 2007 	 enjoyable stay 	 get back today London , stay hotel find comfortable clean . staff arrival helpful whole process booking take minuet . room clean decent size . room clean daily towel change daily . whole whole experience ok . do not eat hotel people say food good , bar staff pleasent helpful . would definatly use hotel . 
 Oct 15 2007 	 great price 	 group us 3 room book early September . suppose three people , Super Saver rate 26pd per night . all room third floor . two three fine , third little cramp stuffy ( would much fun heat wave middle summer ) . consequently 2 stay stuffy room four use one & quot ; big & quot ; room . generally accommodation fine . plenty hot water , comfortable enough bedding etc . Workmen courtyard seem kick pretty early morning ( 7.00am ) chance sleep good . way blessing disguise enable we get about . we not eat breakfast , prefer use many little cafe 's spread around area - work fine cheap probably well choice / value . ( can not really comment not eat ) .For rate pay room fine , old song go , two three be not bad ! 
 Oct 6 2007 	 enjoyable stay ! 	 return 3 night stay hotel pleasantly surprised . 2 room , one 3rd floor one 1st floor . first floor room recently redocorate really nice , pay £ 26 per room per night could not complain . previously stay Marleybone travelodge would definately recommend one well . Cleaner room handy underground , hotel bar ok drink night also . definately stay , great value get £ 26 per night deal . 
 Oct 3 2007 	 bad 	 stay lot travelodge number different location similar . hotel , nice clean basic room , comfy bed air con ( sure work though ! ) radiator , tea / coffe tv . furniture get bit still work fine apart wardrobe do not stay shut ! hotel nice comfy lounge cafe area serve nice drink reasonable price . people group opt breakfast cost £ 7.50 eat buffet say be not amazing . wait hot food come be not lot choice least need ! stay travelodge king cross would recommend one due modern feeling room close proximity king cross station . even though royal scot 10 minute walk tube mainline train ! overall would recommend hotel especially get wicked deal like website ! £ 49 double room per night london ! ! can not bad ! book even early believe hotel £ 25 room also ! 
 Sep 29 2007 	 great value money 	 stay hotel six night 5th 11th September 2007 . got £ 26 rate fantastic London , probably fair price one . hotel within easy 5 - 7 minute stroll king Cross Station . check - in simple painless give room top floor face front . ' hear traffic noise . room reasonably large compare stay . comfy bed – quibble plastic sheet protector become bit uncomfortable . big bonus air - conditioning . wi - fi internet available reasonable cost . ' £ 7.50 breakfast restaurant go café corner set english breakfast include juice coffee £ 5.20 . restaurant bar ground floor look invite , food ordinary . ( ' even get Nachos right ! although sausage mash quite good ) . bar good expensive . Plenty Off - Licences near buy take away booze . No.63 bus pass right past hotel handy getting attraction Southbank i.e . globe , Tate Modern , etc . ' store luggage check - in checking , use Left Luggage service king Cross Station £ 6.50 per bag . overall pleasantly surprised hotel , really , £ 26 ' go get Ritz , clean comfortable would stay . 
 Sep 26 2007 	 terrible hotel terrible customer service . 	 opt hotel location early start follow day . arrive hotel reception desk staff terrible finding reservation . get room air conditioning vent break leak wall , something hotel aware , bucket place floor collect water . ask move another room tell maintenance would need investigate problem first . take bag restaurant dinner , return find problem deal . complain tell hotel fully book , short argument later receptionist ( go ask someone else everytime ask question ) manage find room ( miraculously ! ) .this room urgent need redecorate , make bad , result leave hotel find another hotel city damp wall bathroom hair leave bed , though bed simply re - make previous guest leave ! 
 Sep 16 2007 	 Allows pet - 's good part 	 base suggestion post Trip Advisor book room need one room one night could bring large puppy travel wtih we . the three good thing say : 1 ) arrive late room prepay ( decent rate ) still available ; 2 ) allow pet size : 3 ) bed appear clean . those thing say room TINY . get bed one side , side push wall . plan pup sleep bathroom floor hardly floor space beneath toilet let alone extra large pup . assistance desk , & quot ; ' m alone can not help you . & quot ; several large piece luggage big puppy many oafs sit around lobby could choose assist alas choose . another person appear desk finally help room . ask stash large kennel drag we say would put storage room . virtually lobby next morning go retrieve ; could easily stolen . no phone , chair , amenity whatsoever room , name save customer money . breakfast not available 7 7.95 pound ( pricey budget hotel ) room face street ( ) extremely noisy . 5th floor people outside scream night - sometimes purpose seem . do need room London near underground bring pet ? hotel . would recommend stay holiday one night . comfortable easy fun . serve purpose place flop night London pet . 
 Sep 12 2007 	 bad experience - thi year 	 spend day London teen daughter travel Europe budget summer usually stay hotel . price excellent - get 26 pound special . this year , get room renovate - new carpet , new white quilt cover ( typical Travelodge blue check ) white wall . thing look . however , 6 pm arrival , power room . complain tell would fix half hour . go evening return 10:30 , still power . complain tell - half hour . 11 pm , get little angry , complain reception loud voice sit employee dispatch fix problem ! midnight , power restore . ( issue need charge camera , video phone . ) also , return hotel night Central London , take number 73 bus ( Victoria , Marble Arch Oxford Circus ) two stop king Cross ( be Pentonville Road ) . cross road cut Weston Rise ... outside hotel ! take we three year find short - cut . 
 Sep 10 2007 	 Location OK 	 book on - line saver rate , room get basement & quot ; tired & quot ; . complain another room issue Travelodge standard ! chair room stand sit bed ! location convenient king Cross rail station London underground . food cafe average 
 Sep 2 2007 	 good ! 	 start ! . go London 2 day break , decide stay economic hotel short break , regret decision stay . room mess , carpet stain , tear urgent need change , bathroom poor condition mould large hole wall , presume ventilator fit . window filthy , inside appear forget clean aspect . large window net , therefore tenant property directly across we , direct visual link hotel room . 3 lift work time time ! location wise , 15 minute walk tube station . all good stay , wait hear Travelodge finding , first time we Travelodge last . want cheap accommodation tired dilapidated room , mean go ahead book ............ good luck . 
 Aug 28 2007 	 clean comfortable terrible staff ! 	 mother spend night Travelodge August travel London watch Sound Music . hotel conveniently locate short walk King 's Cross Station lot bar restaurant nearby . area feel safe return hotel foot late night . the service reception describe TERRIBLE ! wait 20mins check give double smoking room would book non - smoking twin . rectify much huff receptionist claim have book . the room clean , comfortable quiet , really require . despite drawer mark ' hairdryer ' , hairdryer ask different , equally surly receptionist , tell get one reception return finish . take option £ 7.50 breakfast , go road excellent cafe call Coffee Junction ( something like ) serve great reasonably price varied breakfast menu . convenient , clean comfortable place stay central London let staff . 
 Aug 28 2007 	 good Travelodge area far 	 £ 15 can not complain ( ok 2 hey really horrible travelodge ) definately good travelodge area , must stay one stay one . room nice clean aircon , quite comfy . 2 area dont aircon way ~ bonus . location good 8 10 min walk tube station . side area 's outside room need update outside hotel look 70 's foyer bar area quite nice , care . thing bug kettle disgustingly dirty , clean bath use £ 15 night be not fuss . 
 Aug 24 2007 	 Cheap Cheerful 	 read mixed review hotel little dubious arrival find Royal Scot well equip comfortable Travelodge . room bright clean , bathroom little small adequate , bed comfortable towel linen freshly launder . bar area welcome drink price reasonable London . I view window , rooftop noisy main road keep awake despite double - glazing , light sleeper use absolute quiet , Royal Scot 6 minute walk king Cross Station couple minute underground although surround area bit run , good choice take - away small restaurant within couple minute walk . as stay Sunday night supersaver rate , excellent value money pay full price would probably book super - stylish Hoxton instead . 
 Aug 20 2007 	 great price 	 worried stay large number bad review read , however find quite satisfactory . pay £ 26 night two twin room , clean eventhough decore could bit tidy . one room overlook car park front road , windows double glaze never trouble traffic noise . conviently locate five minute walk tube station . base London weekend stay fine , money pay would definatly go back . 
 Aug 17 2007 	 good value money 	 stay hotel couple night . bit worried reading review need not worried . 's basic travelodge without frill comfortable enough . room spotless perfectly adequate short stay . pay £ 26 night think brilliant value price . 's short walk king cross station , eat place bit short supply may advise eat . would definately stay . 
 Aug 12 2007 	 good yet student accommodation 	 September 2006 take group student London find book Travelodge London Kings cross Royal Scot travel agent . invite outside ( pure 70ie ) , expect budget price ? inside prove pleasant surprise ( compare experience several occasion ) . reception staff efficient friendly give room fifth floor , along group student , noisy , occasionally , else expect ? colleague 's room spacious enough - compare previous cubicle - ample space bathroom . student , however , find accommodation rather cramp , whole not mind . view room not exactly spectacular , come ; noise level outside low . breakfast well anything experience even generally non - breakfasting student take advantage . Travelodge London Kings Cross Royal Scot may individual tourist 's first choice budget hotel , find ideal purpose - although area exactly charming . 
 Jul 29 2007 	 Shabby room good location 	 stay second 3 night 6 night stay London . first impression , lobby bar hotel look good . nothing amazing standard Travelodge type hotel . clean , modern looked well maintain . check direct room 2nd floor . take slow , smelly rickety lift 3nd floor set long corridor . find room , surprised find back street level . road next hotel slope really grind floor back part building . bit unsettling people walk past bedroom window , peering not plan spend much time room could cope this . the room surprisingly tatty . ' ve stay lot travelodge usually bore comfortable ... know kind thing .... match curtain , bedspread cushion boring painting wall generally clean modern . room mismatch old tatty furniture shabby curtain . not seem clean , could furnishing curtain etc old . bathroom big shock though ... tiny , poorly light room window , smell drain dirty , mouldy shower curtain . shower badly need replace barely trickled . grout around tile black sink , mirror yank wall leave huge rectangle expose cement . hate go bathroom would race get showered could get ! lot large group european school kid stayed seem free reign run corridor scream bang day night annoying . suppose huge hotel always go get annoying guest would good management try clamp behaviour ruin everyone else stay . the immediate area ok , dodgy people say . lot tourist student around never feel unsafe even walk back king cross station late night . although boyfriend , not think would worry either . be well light always seem people around , even late night . 's 10 minute walk king cross lot cafe , pub shop way . king cross obviously big station good tube link rest London mean get central London quick easy . I would stay get really cheap rate would make sure get different room . judge review , must got one bad room . staff friendly helpful location good stay room last time , would not go back million year ! 
 Jul 28 2007 	 usual travelodge 	 book hotel one night take daughter theatre 18th birthday treat travel lodge generally , basic , comfortable good value . read review booking ( would normally first ) trust travel lodge . must admit quite worried bring daughter hotel reading review , young 18 year old already fret go tube ( fear previous terror attack ) want first visit London theatre memorable experience right reason . we give room millenium block awful , ground level view side street anyone look , closed curtain keep shut . wallpaper peeling , dull could brightening , hate decide make sleep one night would time . we return theatre tube walk hotel pleasant drunk along way dodgy look people scare we make we feel vulnarable link arm walk little fast arrive back hotel note put door say move another room due maintance problem 11.00pm get thing go reception give another room complimentary breakfast morning . new room 6th floor must admit room would expect travel lodge 100 % well orignal room . we enjoy stay room change , complementary breakfast good breakfast certainly would pay £ 7.50 it . I would stay guarantee room like second one , stay millenium room definetly would ever book hotel . 
 Jul 11 2007 	 great price 	 Booked travelodge king cross Royal 2 night theweekend watch tour de france , pay £ 71 per night good value London , room basic mostimportantly clean hot shower , kettle tea coffee etc provide , tho hairdryer . reception staff happy not see . area around handy lovely cafe excellent breakfast reasonable price London oppoiste , Cafe Express , newsagent , licence , takeaway pub within stone throw . king cross station minute walk hotel easy ( quickly ) get around London . would definately stay . 
 Jun 24 2007 	 Bedbugs 	 recently stay Travelodge , discover 100 room use 400 bed hotel , enquire inform seemingly disillousione employee due massive infestation bed bug , apparently near enough room affect point last six month company can not solve problem . result many many people move alternative travelodge upon arrival . personally see customer move far wembley due room close . would reccomend book hotel wish bite free stay definitely need stay king cross area seem one four chance move . 
 Jun 16 2007 	 good price 	 clean , comfortable , good night 's sleep . perfectly satisfactory . want hotel central London would pay lot , lot ! 
 Jun 4 2007 	 great place stay 	 stay Travelodge king´s Cross Scot four night . book double room via Travelodge Website pay 26 Pounds three night 49 pound one night . didn´t expect much price , pleasantly surprised . hotel situate 100 King´s Cross Road , 8 min walk king´s Cross St. Pancras tube station excellent connection part London . king´s Cross area interesting , bad either . pub , cornerhops chippys close hotel . king´s cross station large supermarket ( Tesco , Caledonian Road ) , many place eat , atm´s , etc . check - in fast friendly . book night seperately , problem room whole stay ( phone ) . give room Millenium Section . less ground floor room overlook Vernon Rise , relatively quiet street . whole , didn´t problem noise , neither street guest . the room bright friendly , average - sized . comfortable double bed ( 1.40 ) , two bedside table , bedside lamp , desk colour TV ( 5 tv channel , 4 radio channel , remote control didn´t work ) , tea / coffee facilite . lot storage space room . furniture bit old , good standard . bathroom quite small , bathtub . like large mirror plenty room put thing . enough towel , big cosy heat tower rail . bar soap provide , nothing else . bathroom also bite old , crack tiling , everything alright general . a downside bathroom : room windowless ventilation , open door take shower . room clean everyday coffee / tea fresh towel provide . overall , hotel perfect trip London . , standard room comparable 3 - 4 star hotel London . would say even walk - in rate ( 71 pound ) would fair deal London . 
 may 31 2007 	 vlaue 	 travelodge basic , room clean towel fresh . kettle hairdryer . there couple pub cafe opposite , 10 minute walk king cross 15 minute walk direction Farringdon station . I pay £ 26 saver room rate , excellent value . room side hotel , do not hear car park noise . 
 May 30 2007 	 Great Accomodation Price 	 London several time already know expensive city , go agent find decent hotel decent price . look clean room bed work shower , exactly will get nothing . stay May 24th - 29th 2007 . hope review helpful wish great experience London . be female travel father , want know beforehand expect quite hesitant scared review read . make quite clear , know review read king Cross location . information , Royal Scot Travelodge may different king Cross Travelodge situate close train station Farringdon location . 3 travelodge within close proximity may know king Cross Travelodges . review Royal Scot site . stay room 260 overlook back hotel review already state , usually delivery truck arrive around 7 am drop off / pick towel . noise normally last 1/2 hour . expect big city really bother usually get ready . leave window open may hear voice people not really bother . already warn area king cross dangerous sketchy , expect reality hear bit noise night . well , door room bang quite loudly expect hear slamming time time . tv work well not watch tv . although recieve channel , picture fuzzy . nice tv night read travel guide . air conditioner work first day , simply ask reception desk portable fan night , quite warm . also hair dryer iron lend need room amenity . simply inquire front desk . the room small please remember , Ritz pay something like get exactly want . staff nice problem check , however , hotel get busy patient waiting . part travel package breakfast voucher duration stay great deal . buffet style breakfast scramble egg , bean tomato , fruit , yogurt , toast , cereal choose . could not complain . book agent , see get deal well . there phone room , however , work credit card accept phone card . not either , pay phone outside hotel . overall experience stay hotel great . would definitely stay . experience London hotel test lose purse cab ride back hotel second last day city . digital camera cellphone purse along side plane trip confirmation number everything end well cabbie bring purse 's content back hotel staff inform return . really bad hotel price pay . location close king Cross train station ( leave train station come Gatwick Airport , make right go way leave hand side - 6 minute walk ) reach hotel Kings Cross Tube station . may long review want give everyone look good place consider . 
 May 21 2007 	 exactly say tin ! 	 stay room 212 Thursday 17 Mat 2007 . check available 1500 hour , baggage storage ( near option locker king x station ) available whilst wait load cafe pub area away hour two . reception little bit slow disintereste travelodge . room clean , warm , clean towel bed fine . could fault . lot noise 8 a.m. back car park someone bang sound like skip wall every 15 minute . room tv shower good hot . breakfast expensive € 7.50 opinion surrounding go cafe . one accross road Holiday Inn turn leave ourside main door fry € 3.95.the lodge could freshen lick bright paint room cost 48 stg what s complain about . if could sort check time staff limbo reception would bump rating bit . 
 May 11 2007 	 Horror Show 	 last time go London , stay Farringdon Travelodge 1/4 mile road king cross Royal Scot Travelodge . Royal Scot Travelodge close King Cross Tube Station , book 2 night stay . think 's fair say make error judgement . check - in , give room 2016 ' Millennium Rooms ' section hotel . name suggest modernity grandeur Travelodge , not expectation beyond something least half - decent . room quite trek reception desk joke probably quick walk Farringdon branch . distance labyrinthine corridor eerie stairwell feel like 1/4 mile thought would save tired leg come hotel . bad come go room overlook sort car park / courtyard ( later ) . first , description room : say ' room ' feel like tomb . airless , smelly , oppressive cave deep beneath mountain concrete . bad come first time go bathroom . oxygen seem suck air replace unpleasant odour . lift toilet lid look clean enough , fact gleam white . close look reveal something brown lurking bottom , reach toilet brush . go weird . terrific exhausting night , make way back hotel anticipate restful night 's sleep lot wander round London next day . unfortunately , wake almighty noise outside window 7.00am . room overlook car park / delivery area lorry come make early - morning delivery . last 1/2 hour ' get back sleep . way later morning , mention receptionist look bemused moment assure we ' happen next day . . time , almighty noise . girlfriend go complain try fail get back sleep . return , shortly , compensate receptionist 2 breakfast voucher . use term ' breakfast ' assortment char , greasy , lumpy bit stuff . croissant stale , juice sour , water strange , unidentifiable metallic taste . suppose free , pay quite high price indigestion follow . 's certain grim fascination find place like not faint heart ( nose ) ( ear ) . sheer wrongness place compel stay entire 2 night see much bad could get . least would bizarre tale tell friend pub : ' you ' believe place stay ! ' 
 Apr 18 2007 	 Great Value £ 15 ! 	 book easter sale £ 15 shed central london would good ! not really know other complain area ? nice pub / bar vicinity not notice tramp unsavoury character mention previous post . feel absolutely fine neighbourhood . 's little ' ve stayed still walk distance Russell Square , Oxford St Soho . the room basic pleasant enough - clean comfortable , average travelodge . problem lifts , give wait end take stair . problem wasour zealous maid . knock 9.30 tell would leave 12 , knock 10 say put ' 12 checkout ' book . knock 11 am came start clear room around we 11.30.great value want lie housekeeping team put end idea ! 
 Apr 4 2007 	 good value get cheap price 	 wife pay £ 26 room sunday night go france . really cheap londonroom clean good bathroomfriend warn we ask quiet room close railway station apparently noisy . ask quiet door bang night quiet . 
 Mar 26 2007 	 meh 	 okay money far travelodge go , ' ve stay one ' ve stay them . 4 night love London . stayed room 380 would start drill hammer next room 8am , supposedly electrical work . one day staff disturb 3 time one hour see ok , like noise drive crazy , hung ! could not move fully book . dnd sign hairdryer - EVERY hotel ! overall , MEH . 
 Mar 19 2007 	 basic- ok £ 26 	 return two night stay hotel , ( two couple ) . book £ 26 per night . overall good value money , however would pay full price . big hotel , 6 floor . large group foreign tourist , seem go breakfast group , therefore breakfast room busy staff food awful , cutlery non existant day ( unfortunately buy breakfast advance check - would go ) ask cutlery , girl busy take age . milk pour cereal sour , & quot ; hot & quot ; food cold . £ 7.50 acceptable . plus side able check early 12 noon , although would not go much see people turn away , do not keep bag . room first floor number 114 - advisable near second breakfast room therefore corridor noisy 7 am every bedroom door bang close ! ! also night terrible noise pipe bang think perhaps water pipe . husband buy earplug . room clean , tidy , basic . bathroom perfectly functional nice clean fluffy towel . friend smoking room 5th floor happy bathroom water pressure non existant could shower , get early leave plenty time could shallow bath . hairdryerin either room , however able borrow one reception . do not eat anything breakfast comment restaurant / bar food . recommend little italian restaurant next hotel , book pretty busy Friday night - good service delicious food . sure would use hotel , although like price . would perhaps book early try get travel lodge Covent Garden . Hope help 
 Mar 19 2007 	 enjoy 	 enjoy stay London . hotel great value get pay . find hotel clean , staff friendly overall excellant value 
 Mar 13 2007 	 OK 	 stay one night double reasonable price close centre London . go watch Arsenal Emirates stadium easy get back . hotel outside look pretty poor , like picture see net .... inside improve . reception nice , tidy clean staff polite helpful . breakfast area bar look nice although use . find room fine one night stay . aware Travelodge luxury , stay many across country one lack .. old fashioned dirty clean standard would expect . hairdryer , extra pillow , spare towel .. usual tea / coffee supply . little leaflet explain thing available , basically .. save we pay night stay could live . bed comfortable , room quiet . tv . one night ok sum , less . nice italian restaurant around corner lovely pub call ' Golden Lion ' aswell . 
 Mar 12 2007 	 good location .. want hairdryer ! ! 	 arrive king Cross station forget map tell we wehre hotel ask station direct wrong one ! two travellodge area ! get eventually allow check even though 12.30pm . happy . dismayed hairdryer . assume would perhaps naivety . location good close station do not seem like bad area . lot eatery nice weepub . bad thing apart teh hairdryer thing receive phone call room 5.55am ask await guesta someone wait say expect roomnumber . have not aware wonder would havehappened . watch ! would not pay full price £ 26 nigh well worth ! 
 Mar 5 2007 	 great value centre london 	 find hotel travelodge website , mother sister visit london see show want central hotel king cross Royal Scot offer we great price triple room £ 49.00 problem hotel staff friendly helpful arrive early allow we room straight away problem otherguest floor young crowd make lot noise alnight shout bang door fifth floor phone room do not connect reception could complain apart find hotel good 
 Feb 27 2007 	 good value reasonable location . 	 return long weekend Royal Scot . book Travelodge website £ 26 per room per night . book hotel part London little cautious reading review . area fine ( probably part preparation re - location Eurostar St Pancras ) hotel less 10 minute stroll king Cross Station . the reception staff friendly efficient , immediately feel welcome ease . bar restaurant ground floor , use facility comment , say area look comfortable relaxed . interesting ' find ' British Library ( side St Pancras Station ) , aside interesting exhibition gallery , offer good food full breakfast £ 5.00.our room clean tidy , usual size mid - price european city hotel . reviewer find , plumbing adequate , certainly not power shower . the Hotel ' well used ' , although little untidy , offer excellent base explore London underground line go king Cross . need pay £ 45 per night , consider London Kings Cross Hotel . nearer station modern . 
 Feb 20 2007 	 bargain £ 26 per Night 	 would read £ 26 & quot ; supersaver & quot ; room offer Travelodge book soon enough , really want stay Covent Garden hotel ; however , since availability date , book three night £ 26 per night . I get Thameslink rail service Gatwick close link hotel . walk ten minutes.on arrival allocate room 423 turn quite roomy , comfortable , clean , en suite , usual complimentary toiletry etc . fine . Breakfast include , check internet beforehand find near store , hey presto , be Tesco 10 - 15 minute away ( & amp ; & amp ; food store King 's Cross ) . stock goody gin ! find Royal Scot satisfactory , ten minute walk nearest Tube King 's Cross . dine hotel , not know cuisine ; prefer eat central London . I would not pay full rate stay , however get bargain rate , go ! 
 Feb 10 2007 	 amazingly cheap like Holiday Inn - ! 	 manage get promotional rate travelodge website stay £ 26 per night . hotel LONDON ? ? fantastic . room surprisingly nice ... fancy course , clean & quot ; Holiday Inn - esque . & quot ; actually , problem key card tendency stop work ... , fantastic deal . recommend . also , worried area ... grant 's good , hotel near station feel quite safe . 
 Jan 21 2007 	 cheap basic accommodation 	 Signing Travelodge webside receive offer email , result three night break £ 15 per room per night : ) would fantastic anywhere , Central London perfect . 5/10 minute walk king Cross & amp ; St Pancras find much easy transport case underground bus . nice bright hotel , little tired , clean expect amenity . 6th floor request lovely view St Pancras station bt tower . the first morning run hot water , mention receptionist say would contact maintenance . return run hot water . I must stress people complain , lift etc , small detail room , no - one ever notifie reception would hotel know problem ! overall hotel location perfect train , underground , bus . price pay - enjoyable day average hotel . 
 Jan 17 2007 	 disgusting 	 stay plenty travelodge never need complain one demolish . staff go re - training course good customer service . first visit capital probably last experience . house dog kennel clean hotel well look ! ! ! ! ! ! ! ! ! .How earth cheek charge £ 70 night beyond , would well night sleep tramp doss carpark . go london well stay nice accomdation outskirt commute london lot cheap , pay £ 15 charge get carpark ! ! never . 
 Jan 15 2007 	 great value money .. 	 stay Mon 8th Friday 12th January 2007.Check - in quick , staff friendly . double room 415 4th floor , non - smoking . first impression good - room clean tidy obvious smell ! Carpet spotless , bed cover light duvet , .. mattress reasonably comfortable ( although little soft taste ! ) , double - glaze window ( great soundproofing ! ) view overlook Vernon Rise . tea coffee facility provide , notice tv kettle sticker plug indicate electrically test advise next test due . the bath clean , although shower head need de - scaling , work well hot water plentiful . toilet sink spotless . there wall heater ( look brand new ) , use couple night begin get little chilly . temperature easily adjust suit room , always feel comfortable . the thing not care colour wall ! bright orange behind headboard team salmon pink side . nice : - ) whole complaint , ' ve visit hotel several time know 's luxurious 's fantastic value money . some say area not safe single woman , never problem walk hotel train station . say , number 63 bus king Cross stop outside Travelodge , use two occasion 10pm . I definitely return ( travelodge area ; king cross Farringdon ) thank good location price . book via website pay £ 15 per night ' supersaver ' price , excellent budget traveller like ! 
 Jan 7 2007 	 great value 	 not problem stay hotel - area , room anything else . we think area ok ( smart seedy either ) , room clean , comfortable quiet , staff desk helpful . would suggest , though , not try go reception stair like , find wander along endless corridor seem like age ! breakfast friendly litle cafe along road King 's Cross direction , call Costa 's Cafe ( confused costa chain ) , good coffee croissant £ 2 each . all - get bargain rate - hotel great value . 
 Jan 4 2007 	 advisable single woman ! 	 be ok couple ' m sure . room basic ( mine quite shabby ) , bed , kettle , tv , bathroom . pay frill . however , get hassle tramp hang carpark way hotel . hotel full really pissed student yell night ( corridor ) expect suppose since cheap room deal . try get sleep attempt contact reception via phone ( big fight corridor outside door ) find direct dial reception , expect go person ( cost saving measure ) use mobile ring 0870 number etc . 2 staff night , undertrained scared troublemaker help . if another person would less scary . 
 Dec 25 2006 	 bargain ! 	 well girlfriend stay 21st 23rd December . short two - night stay a - little Christmas shopping . well hotel 10 - minute walk king Cross , fast walk Thameslink station . arrival mistook travel - lodge one , ' lot close king cross well area Royal Scott . anyway go , direct right one . this travel lodge ' locate good area never feel unsafe . single woman maybe might different . tower block estate surround hotel lot local live – might lot people like . lot fast food place around stay open late quiet a - few pub local shop ' need go hungry thirsty . check take 3 minute , 2 hour say could . travel lodge ' key card system let room past reception . 3 lift take room . the room basic Travelodge room . look website specification pretty much spot . room clean , new towel daily well coffee tea . ' picky fault room tv pay feature ' available bathroom need good paintjob ( show age ) . say tv work fine , bathroom clean everything work fine inside it . this cheap ever pay hotel room London . pay £ 26 night fantastic . make sure book website good price . please remember get pay normally regard hotel . mark hotel reflect . next time come London would look stay Travelodge . lot bad surprise hotel ( travelodge ) seem always high standard . factor would consider cost – could get cheap Travelodge well location would stay – travelodge hard fault . 
 Dec 19 2006 	 great value central London 	 Ignore two review dangerous place , people scare shadow .. wife Sat / Sun night , stagger back hotel sit night show , good meal gawd know much wine without problem . bar low floor near reception may account two reviewer account , probably unsavoury type stand around drinking guest . this hotel bit facelift main reception close clear sign direct around car park rear entrance .... big deal opinion . check quick simple , room clean , plenty hot water , tea / coffee , tv optional ' extra ' channel £ 6 ( not bother ) , big comfy bed that s . want opulence book elsewhere bargain basement hotel near king Cross , Knightsbridge . work spend maybe 18hrs actually hotel 2 night stay , be come London see sight fun place book get £ 26pn deal . 
 Dec 18 2006 	 fantastic value central London 	 perfectly adequate facility short break London , room clean , tidy comfortable . book well ahead pay little £ 26 room familly 4 ! - area great attraction , 3 min walk tube station near major attraction . fantastic value eat breakfast , £ 6 - kid free ! look luxury break - do not come - value money - can not beat . 
 Dec 16 2006 	 dangerous place - agree last reviewer 	 front entrance block decoration go side . scary . previous reviewer say lot tramp hang around property shout drink . go night long . see police several time look window still character remain hotel gound . staff not seem care . 
 Dec 15 2006 	 Dreadful Place 	 stay hotel ! begin ? front entrance cover scaffold come & amp ; go side entrance . noisy room look kind car park area . dodgy area lot unsavoury character hang around make noise drinking . complain hotel staff take action . I would never stay place would advise anyone else . 
 Dec 14 2006 	 good value money 	 minute walk king cross station . fairly quiet location . frill perfectly adequate . clean . great value money book ahead get saver rate . 
 Dec 5 2006 	 much hot water 	 stay 4th December 2006 , pay standard tariff £ 70 per night . as two Travelodges Kings Cross area , noise traffic intrusive , least can not hear train one . king cross not nice area , enough ordinary people around prevent one feeling uncomfortable . staff polite check in . the room clean enough , even though wallpaper peel place . problem hot water . electric shower not work , ( assume electric ) , hot water pressure strong enough power main water shower . take bath wait around 20 minute bath fill couple inch . problem water pressure happen night morning . the hotel appear partially refurbish old hotel , could not bother complain . I would not stay , even cheap deal usually get book right time . 
 Nov 28 2006 	 bad 	 girlfriend stay Travelodge king Cross Royal Scot 26 November £ 26.the hotel look like office block , situate 5 minute ( walk ) king cross station . bedroom en - suite bathroom clean modern , however one thing disappointing : - order movie £ 6 want watch , give error message tell movie unavailable . call external hotline refund bill , hotel facility in - house . on whole , room excellent value , fairly decent location . simply 5 minute walk tube station give access Victoria Piccadilly line . 
