nice 	 agree great service nice room . upgrade one bedroom suite feel like apartment NYC . nice apartment . everyone helpful . now onto opinion side thing . great hotel want residential part NYC close big attraction . want party , stay meatpacke district . party hotel . nice bar downstairs , get night stay . rooftop dissapointment enclose stuffy much view . wan na party , stay Standard . want rooftop , check Gansevoort . hotel seem dark stuffy . W - Union Square , close close hustle bustle , look airy people hang lobby . I think look little bit fun hotel . hotel good place want quiet getaway NYC want stay room . not know look ? Celebs not want paprazzi ? & quot ; nice hotel & quot ; look time NYC . 
 Jun 5 2007 	 second stay hte Gramercy Park Hotel 	 think time re - visit Gramercy Park Hotel stay early last fall . original stay average , really can not judge hotel get run . hence , second visit . there subtle difference last visit , big change seem staff . walk hotel check - in , smile everyone . think ask least 3 time lobby flight , long have stay hotel , offer everywhere make stay enjoyable . one doorman even make great suggestion restaurant New York . quickly check bring room . case last stay , room really coolest NY . , love huge closet , bathroom , mini - bar . immediately call get reservation two friend Rose Bar somewhat difficult gain entry last stay . bar could little intimidate b / c see pretty people . get later night staff find hotel guest , treat treat be guest hotel . tell waitress guest hotel pleasure evident . get to wonder service bar like good , ! visit , decide visit gym skip last time . clean good view park . restaurant still not open many staff quick point Nobu chinese food open come July . good news look forward return NY September . could ' ve skip meal hotel think least see . disappointment . food good , service good . high point visit recently open bar roof . big thing NY everyone find . think overrun richa nd gorgeous , think . staff quick point hotel guest admit . fact , hotel key card get . exit elevator , sweet hostess - type person show we table . beautiful . , green . comfortable . retractable roof open b / c mild night . music do person program IPods room . really sell CD 's b / c really set tone evening . overly crowded , fabulous time can not recommend drink enough . overall , great stay ! restaurant get open , hotel firing cylinder . 
 Jun 1 2007 	 good look dumb 	 spend 5 night GPH . look feel carefully craft package & quot ; cool & quot ; , Schrager genius . design great unique . fall flat service . husband say well : not act together . room service awful - food would find missouri , take hour get ice . staff polish , charming incompetent . promise not deliver . would reasonable not $ 2800 night suite . member family like GPH well 16 ear old daughter , interested good hotel , want feel hip grow . need , head straight GPH , will lot company . be look top tier hotel , go elsewhere . 
 May 11 2007 	 Best New York Stay life 	 always love visit New York ; culture offer like city . make point seek new unique site , hotel restaurant . my past trip city , stay Gramercy Park Hotel blow away ambiance service . decor plush comofortable , quite time pull away hotel ! ! want luxuriate room visit spa little tlc.if look incredible one - of - a - kind experience , place go .... original Warhol 's Schnabel 's hang throughout hotel focal - point beautiful Rose Bar ! feel like New York 's art scene bring I . I know everyone interested people watch , part fun stay Gramercy stream celebs come party new private roof club . believe see Olsen twin past Tuesday . next time city , check Gramercy Park Hotel .... seriously experience . 
 May 11 2007 	 's Special Hotel 	 stay friend April 21 - 24/2007 . think unique hotel , spotlessly clean luxurious . staff friendly . hotel area quiet . we take advantage go Gramercy Park enjoy flower look marvelous residence surround park . park local lady tell we get good photo - look Lexington towards Chrysler Bldg . if be look something different place . I hope stay . 
 May 8 2007 	 love Breakfast roof garden 	 will copy previous positive review would like add much like rooftop bar / cafe . quite stunning place breakfast drink evening . watch sun go reflect Chrysler building , marvellous . the art three bar superb Hirst 's spin , dot butterfly painting well load good Schnabels , Warhols , Haring ( 's ) Basqiat . room also great unsigned Magnum print . the slight negative would overprotective nature waitress hallowed Rose Bar try tell we table & quot ; reserved & quot ; would leave 9.30 , relent however wife ( feisty ) inform concierge would & quot ; unhappy & quot ; move . the gym pleasant small hotel gym good view park . I actually prefer Schrager hotel include Sandersons . 
 Apr 27 2007 	 Attention detail location friendly employee ! 	 stay Gramercy Park Hotel April 25th . check around 3 pm problem . fire burn lobby ( real ) distinct smell . earthy ... pleasant . almost familiar , completely . I love ! later find custom blend fragrance buy candle take home . so anyway ... bellman take room give grand tour . go chance really take in . I travel lot ... see lot hotel . see lot fancy hotel furnish Pier one type stuff , ok . GPH furnish artisan creation . admire quality rug , bed , leather desk , chair , art furnishing . plenty light large window , problem room dark daytime . night tad dim side , bad . huge plasma tv room crazy luxury item mini - bar . mini - bar everything Coke Remy Martin . & amp ; ' luxury bath product . one annoying auto - charge system . able keep ' special ' water chill without problem . the big , fluffy bed comfortable long day travel , happy see pretty much guarantee decent night sleep . it warm outside trouble adjust temperature room preference . the big window face front hotel park right . think nice view ... obviously hotel attract lot interesting people . wish could see people come go well window beyond point face recognition . room absolutely silent . noise . possibly noise ordinance part Manhattan ? quiet area , general . siren , trash truck , nothing . there 3 floral arrangement room . 1 next bed , 1 next sink one bath / shower . which bring bathroom . LOVED bathroom ! wish could duplicate home ! center lovely brown marble counter huge corian sink . beautiful floral arrangement next sink . look like Asparagus flower . to right room toilet , frosted glass door . leave custom tub / shower combo . first disappoint tub notice enclosure huge roman look tub . make tile , ' bathtub ' 16 - 18 " deep , 3 foot wide 5 foot long . could totally wrong dimension big . overhead shower head , hand hold show head faucet . operate independently good pressure , even use time . there large bench build shower / bath one side shape like curve back , lie recline position . there large , function window vase fresh foliage . obviously quite take this … less 24 hour use 3 time ! bath product also impressive . hamadi hair product , Hakansson liquid cleanser , lather bar soap Mario Badescu lotion . like someone hand pick good product Sephora ! product 2 oz , mean plenty bring home . there little card bathroom mention use selection product list " Best " Allure magazine . sure rotate change periodically , suppose ' go wrong selection . there 2 Frette robe , slipper plenty soft towel . also notice one linen hand towel . nice touch soft , over - starched . the slipper cotton drawstre bag , laundry bag cotton , shoe bag cottonAgain … detail . now , hopefully space … Park . the hotel give key Gramercy Park could resist urge check out . how anyone could say nice little park ? simply beautiful . wide variety bloom plant , squirrel , robin songbird . park walk path shape oval sort crisscross park middle . you allow grass many bench available . it clean peaceful . perfect place watch people walk , inside gate out … take camera take photo various variety flower . lot toddler play center section people spend sunny afternoon reading . adore ! take stroll around perimeter wonder sort people live grand loft apartment surround park . now ' neighborhood would like live ! next morning , check breeze ... lobby still smell really good . hope lucky enough stay GPH again … 
 Apr 17 2007 	 love Gramercy ! ! ! 	 husband get marry Gramercy Park Hotel 6th April . fantastic time . stay week . staffwere excellent especially David , Eddie Adrienne , concierge . really helpful , prior stay , email constantly future wedding stay . could not enough we , whether book table restaurant , organise hair make - up check availability ticket see Knicks ! porter also extremely friendly . the location excellent , make sure go & quot ; Pete 's Tavern & quot ; around corner , drink two , stay big steak ' ve ever see ! true room little dark fit good equipment . not forget bring i - Pod ; room docking station ! stay Gramercy room basis , true breakfast expensive , couple time lovely walk hotel across Irving Place will find fantastic coffee shop spend lot time . the toiletry Hamadi bathroom amazing , would definitively recommend buy whilst NYC . housekeeping staff also friendly efficient . could also benefit turn - down service night wish . the Rose Bar , get marry excellent , expect high average price drink food . music always fantastic ten , become place young trendy new yorker , also DJ play excellent music . if quality , , Gramercy place go . absolutely stay Gramercy would recommend hotel anyone go New York , especially look somewhere really different special . 
 Apr 9 2007 	 lovely hotel 	 stay week 7 8 year old great time . originally book small suite find first night sofa bed break . bring airbe kid morning call front desk explained not want deal airbe whole week upgrade we park suite great ! plenty closet room , great shower , plenty window ( great -- previous stay hotel -- ' ve notice bit dark ) neighborhood great - quiet plenty place walk . staff friendly professional . would definitely stay . 
 Apr 9 2007 	 bring flashlight 	 first impression good , hallway room dark . housekeeping leave light always low intensity . need turn light well blind avoid self injury . loft room equal regular room US hotel , think nice space compare New York hotel . location excellent . loved area Gramercy Union Square , fill new restaurant . staff always say yes , thing never happen . room service slow food quality ok , small breakfast selection . 
 Apr 8 2007 	 great atmosphere nice people dark sometimes expensive 	 Nice hotel , great bar , nice people , good service , location ok , room extremely dark cold , bathroom small bath suite love Hamadi product . breakfast good , room service fine extremely expensive . the room confortable dark noisy . stay three child staff helpful easy , would need space light . 
 Mar 18 2007 	 joke ! ! ! 	 hotel NYC , Gramercy Park Hotel worst ! place dark welcoming . room feel old comfortable . could even get bar . hotel care one bit pay guest . $ 500 night get nothing ! ! ! ! could wait leave change hotel . Save aggravation stay somewhere ell . note hotel manager . please ' respond review . bad enough feel compel defend poorly run hotel every bad review . face , much well place stay NYC . 
 Mar 12 2007 	 NYC gem 	 excellent weekend Gramercy Park Hotel . room comfortable well appoint , staff professional friendly . room dine good especially chocolate truffle upon arrival . housekeep nice maid really professional super - fast making room . door people great make we feel welcome hotel . absolutely stay would recommend hotel anyone head New York either business pleasure . 
 Mar 5 2007 	 Gramercy hotel : schrager lose ... 	 trouble place rely heavily image name Schrager . staff young although sharp simply type experience require make guest hotel feel way special ordinary member public visit hotel . reflect attitude towards reservation Rose Bar hotel guest also general ( case ) problem book . make reservation 4 month advance . specify smoking room bathtub . week receive email enquire sort time have arrive flight detail . impressive . however arrive three hour later inform time ( delay london nyc ) give non - smoking room shower instead . speak front desk length wait 45minute tell taht room specification would take prepare . 2 am london time ready drop . however drink bar wait . no - one come keep we inform another hour later enquire show room . room nice end one nice room level ( room 603 ) . night manager offer we room service house order 2 course immediately get call say taht limit 50 buck . can not remember weasel name mate- going offer something do not cheap otherwise do not bother . what s 50 buck mean 500 night room ? ! guy 27 year old something clearly long way go learn rope sophisticated customer liason ! anyhow like hotel behind scene staff like room service/ house keep industrious helpful . front desk little hopeless side . agree lady write false advertising . expect roof bar open yet still build . NOBODY mention would closed- suggest anyone go hotel lodge formal complaint apply compensation border unlawful obtain money misrepresent product service country let alone U.S a. Schrager must really lose 's resort sort marketing- really belt simply slipshod . law entitle damage loss enjoyment disappointment especially example say specifically photograph roof terrace main reason stay gramercy . appal sort advertising regulate country people sue someone sneeze direction . say roof terrace complete soon . anyhow thing hotel cute look Jade bar ( personally preferred Rose Bar vibrant atmosphere ) pretty cool . people want able expect bang buck hotel present sucha high end image . think Gramercy fall short . sorry guy . 
 Feb 28 2007 	 different Kind Ian Schrager Experience 	 love Ian Schrager hotel ever since stay Sanderson , Delano , Mondrian , etc .. dissapointe find not work Phillipe Stark . not think design Gramercy Park par say Sanderson , still beautiful unique . really not hotel like New York . mix wood , modern painting luxurious furniture create atmosphere sophisticated still trendy Schrager hotel . Jade Rose bar elegant fun serve great food / drink price almost justify . whole hotel pretty dark - little gothic maybe ? people would definately like - big change stark white hotel . not mind . upgrade suite separate living area nice ( love blue chair ) . hd tvs , bathroom / amenity , service also great - fault . bed heaven - expect . location also pretty good park kind dull winter . hotel get even well Park Chinois roof garden open . gym area nice spa much spa - 2 treatment room . 
 Feb 28 2007 	 experience lovely overall mar false advertising 	 boyfriend choose Gramercy Park Hotel several luxury hotel NYC celebrate anniversary . staff nice accomodate , love decor lobby bar room ! bed comfortable , product bathroom nice . big disappointment rooftop bar advertise website list amenity find room , open . look forward hang exclusive club great view , not tell not open run staff member elevator . also , tell could not even go Rose Bar 9 even though attempt make reservation month advance tell check concierge arrive . email info email let know disappointment rooftop bar , receive reply . surprised expect expensive hotel well customer service follow - up , especially since try good consumer share experience . so , , nice hotel , oasis exclusivity luxury expect price . would probably try somewhere else next time , would definitely like see rooftop bar finally open would revisit Rose Bar . 
 Feb 21 2007 	 unique experience 	 Enough say painting , Rose Bar designer . Suffice say less full many lessor boutique hotel , still enough attitude give buzz . would like point plusse minusse receive much attention . the lobby actually quite small , pleasant wood - burn fireplace . be really nice touch -- -unusual actual wood burn instead gas fake log . greet quite friendly manner . expect feel snobby arrogant , fact , people encounter extremely pleasant . write concierge like gatekeeper & quot ; precious & quot ; Rose Bar reservation , actually quite accomodate even chatty . way , Rose Bar become kind cliche scene late night , usual NYC club posturing pricing . day see husband schleppe wife ' Barneys bag table , later night reserve silly enough pay $ 350 bottle Absolute . the room different sort place . small suite , definitely odd . living room area table bunch chair around . couch type comfortable seating area . flat screen tv living room bedroom . bedroom entirely separate room -- -the whole suite one long room separate french door . odd touch red velvet floor - to - ceiling drape wrap around wall window bedroom . a really silly aspect suite almost way plug anything electrical system ! accessible outlet base table lamp living room . reachable wall plug bedroom all . the bed quite comfortable , nice linen , nice bathrobe , fine lotion potion . say , everything room sale , & quot ; sale & quot ; exactly word would apply . price insanely high . never understand hotel reveal greed openly . woudl not well move charge premium offensive magnitude ? ? ? room service nice , quick , hot ! also quite expensive , around $ 80 breakfast two . location awesome , wonderful part city many tourist never see . walk Union Square minute , many restaurant , grocery club nearby . would stay location , ambiance , professionalism , perhaps artfullness , although find taste bit date . bare lightbulb screw hardware - store receptical exactly new idea . regard technology , lcd screen fine , would expect would go extra step install surround sound speaker . would special touch , would better ipod speaker system . fact , would say ultimately , technology give short shrift , not think could actually say true 2007 5 star hotel . 
 Feb 8 2007 	 money well spend elsewhere 	 know suppose hot new hotel , think really disappointing . the room decorate & quot ; eclectic gothic & quot ; style translate blood red carpeting , blood red drape , blood red velvet shower curtain . almost light whatsoever room , even less bathroom . take shower pitch darkness little light , filter blood red velvet shower curtain . specially select beauty product really good part entire stay . the breakfast buffet awful hotel standing . look like bring everything deli across street . 's proper restaurant , not like deli food buffet - option coffee shop two block away . bad part everything despite $ 800 per night room charge ( single ) argue hotel bar doorman get drink two friend . apparently stay hotel buy one spot bar . 
 Feb 5 2007 	 good area money 	 stay GPH ten year ago say improve would understatement . lobby , Jade Bar Rose Bar beautiful . impressed service room . rain arrive staff seem stressed . room spacious yet extremely dark . almost oppressively dark . restaurant roof top open yet . one order light fare day one bar . believe service stop 3 4 pm . room service Fri . night , Sat . morning Sat . evening . food shockingly expensive drink bar . ( $ 18.00 glass wine least expensive ! ) room service average . unfortunately reservation Rose Bar could accomodate we . settle Jade Bar small . 's unfortunate guest hotel , eager spend time money hotel , priority . doorman tell try create exclusivity require reservation bar . bad . gym spotless bright equipment new . water mini - fridge room not leave bottle turn - down . bring . heat not work room unable fix . guest floor smoke entire weekend . send staff member spray air freshener light candle room smoker continue smoke . last , least , take 20 minute get car valet . call front desk assure we would 10 minute . inquire , apologize say forgot call we . several angry guest experience thing . , terrible place . ' ve stay Gansevoort , Soho Grand Mercer last 8 month money , think Mercer good choice . might give Gramercy another try restaurant open doubt . feel like service food well Mercer . 
 Feb 1 2007 	 unique hotel lot extra 	 stay 2 nights/ 3 day Gramercy Park Hotel late January . really unique interesting hotel . decor certainly different anyplace else ' ve ever stay . lobby look online really dramatic lovely . hallway , wall blood red lighting dim barely see thing . room paint dark sage green red velvet curtain , red velvet chair , big queen bed purple velvet throw artsy photography wall . like sort crazy , high fashion bordello ! really enjoy decor , big ( perhaps ) complaint would darkness . even turn light room , be still dark . not bother amount time , might long stay , try business . bathroom large . be tub good , oversized shower . everything spotless . the room also two large closet , mini bar flat screen tv . mini bar thing beauty . several shelf goody addition bar . Mario Badescu beauty product , special candle , designer t - shirt , full bottle wine , champagne , etc . crystal glass drink . 's even iPod docking station ( borrow iPod front desk not bring ) . hotel lend dvd watch room . list available title several page long -- nice selection . really enjoy little touch . guest hotel allow borrow key Gramercy Park , private park . go walk around park , since be every day get that . I spend time bar restaurant , people travel night see pretty big celebrity . never notice kind crowd extra security lobby , though ( Sunday Monday night ) . not eat restaurant order room service . jaw - droppingly expensive ( $ 41 cheesburger bottled water , tax ) deliver quickly food delicious . the staff hotel really go beyond . get cab front hotel , multiple staff member greet , take bag , walk front desk . staff ( really , ridiculously good look reason ) wonderful , helpful , polite gracious . thoroughly impressed service . I really enjoy hotel . definitely splurge , would consider stay . wish room offer additional light , respect satisfied . 
 Jan 14 2007 	 Ian Shrager well hotel . vibe kind serious . 	 Hotel ok . term Design , miss Phillipe Stark ' vision large sense humor & amp ; real magical quality . love stay hotel ' design . feel hotel take seriously ( evidence precious word guest , prance around lobby & amp ; unisex bathroom ) . kind gothic & amp ; modern Baroque style , clever thing stand really , ' much we . dark room . yup .. , fine ... @ night , day , turn light even blind open . also think furniture uncomfortable . think bed firm & amp ; lot stiff , high back chair ( even lobby ) . order room service morning . extremely expensive . higher , good . staff friendly around & amp ; accommodate even reservation ( forget Conf . # & amp ; book tablethotels.com ) . however , couple thing REALLY annoy us & amp ; get rid ridiculous policy pronto , show key " bounc " , night , enter hotel lobby ! night go see friend & amp ; come back @ 12 am 1st night & amp ; 1 be next . 1st night Bouncer / Doorman talk gaggle people & amp ; block entrance . go move around go , slid & amp ; block we & amp ; say " help ? " hmmm ....... yeah , move way go bed . say : " ' trying go " & amp ; say : " oh , ' stay ? " , nod w / an surprised look , let we right away think much really . nice enough stupid make . ' never happen either we live , enter hotel & amp ; ' stay 40 . think maybe one 2nd night happen & amp ; show key time prove stay ! ! ' freakin ' hotel club cripe sake . even @ " member / hotel guest club " like Soho house , never flash card enter even get door ! big thing annoy we stupid rule even hotel guest make reservation @ Rose Bar . pretentious . make reservation hour late due dinner party go start later expect , bar practically empty & amp ; still , ' let we . crazy . overall , ' glad saw & amp ; try ' go back & amp ; doubt ' recommend . much well hotel city . great area though . 
 Jan 9 2007 	 Gracious Gramercy ... 	 Ian Schrager do proud hotel experience nothing courteous efficient service whilst . great bar pool table , excellent recommendation dine cool scene associate hotel . , would highly recommend . pour rain one day , doorman insist take hotel limo - 's call servcie ! note restaurant not open yet - load great place eat nearby . bar serve lunch . 
 Jan 8 2007 	 Waste money 	 husband receive overnight room special birthday gift .base upon Ian Shraegers name reputation want see hype . stay renovation pleasant experience really enjoy rooftop bar . unfortunately hotel expect . unless want cross every palm tip beware result might . arrive pleasant check ... room upgrade superior deluxe although heat air work . report immediately leave boat show give maintainance 4 hour correct . suppose since tip Aiden make report nobody ever show result complain 7 oclock return . by time somebody came finally tell we valve need replace little harried expect friend 8:30.finally move we say upgrade although room view park . try get RoseBar even though empty ... forget .... stay peon drink small Jade bar .... fun laugh call beautiful people prance past we Rose bar midnight ... try make reservation online suggest although honor without go concierge course want reward well . well go Hudson boutique hotel 
 Jan 1 2007 	 beware date ecor lack customer serice 	 stay old Gramercy many time though 's heel need refurbishing , appreciate low rate , old world charm particular warm charming hotel bar , destination unto itself . I appal Ian Shrager 's date hideous & quot ; design & quot ; . mean , honestly - turkish theme 2006 ? ? sponge wash wall velvet curtain ? distress decemated lobby bar , transform two hideous uncomfortable space . & quot ; jade bar & quot ; be 3 tiny uncomfortable table cram bar & quot ; generously & quot ; open hotel guest . exclusive & quot ; rose bar & quot ; . & quot ; rose bar & quot ; another shocking display outdated decor - 's patronize uncoolest borough offer -all , conglomeration everything bad 1980 's . fact , high pay hotel quest otherwise empty hotel , turn away sparsley occupy crowd wednesday night , final idignity . the poor service ( completely unhelpful & quot ; concierge & quot ; ) outrageous price & quot ; extras & quot ; , hide $ 15 + daily internet service rate , unparalled room service mini bar rate ( think $ 350 bottle jack Daniels ) surprising think hotel remain outdated ridiculous decor.i imagine hotel ever last 2007 . 
 Jan 1 2007 	 wonderful boutique hotel NYC 	 hotel definitely deserve well review . first , originally plan stay New Yrs Birthday celebration 18 yr old location review . however , hotel offer great rate , change mind . upgrade lovely 2 bed deluxe room quiet floor . amenity great- plentiful towel , robe , slipper , bellman explain everything worked- problem . however , make property exceptional service . staff courteous responsive middle aged mom daughter . even treat daughter small cake birthday . bar , one never make Studio 54 , preferred egalitarian Jade Bar could still reflect Julian Schabel painting wall , could get Rose Bar New Yrs . yes , price high NYC . lobby art incredible , decor room . ( loved photo , esp . one Warhol ) . downside location- need take cab , ny cabby worst . insist drop we block theater restaurant . happen tourist talk well . within walk distance phenomenal restaurant- blt Prime- well worth price deserve reputation . ( Best part- get chef 's famous recipe Popovers .. ) Gramery Park lovely boutique hotel late amenity , internet , good service . highly recommend propery hope return NY . 
 Dec 22 2006 	 schrager nonsense 	 stay $ 700 night . room cool nice ( small suite ) . big negative ridiculously small dark bathroom . hotel would get decent review not experience ridiculous situation night hang hotel . go lobby bar ( place drink ) friend . Popped restroom refuse re - entry friend still drink wonder happen ! ! ! ! ! ! ! ! ! seriously ? ! place book private party . obviously go berserk allow back - in ruin night . can not even believe get away allow communal area book first place - hotel guest suppose ? outrageous even Schrager hotel . get stay hotel also try happen spot . still ' ve never ' ve stay Delano , Sanderson etc . last time schrager hotel . 
 Dec 5 2006 	 worth every penny NYC standard 	 spacious room , interesting decor , 2 cool bar friendly staff find . anti climax key Gramercy Park . joke ! park small dump . rise bar unbeliveably high celeb count Friday night warn , must book ahead . far superior experience next stop 60 Thompson similarly price none wow factor . 
 Dec 4 2006 	 overprice arrogant staff 	 stay one night GPH enough . room tinny , specially bathroom . pay $ 500 expect little bit more . the lobby ok bar nice , allow get . ' try get bar bouncer refuse let . hotel guest make difference . friend doorman walk Hotel guest .. morning make complain concierge impression . react arrogant ' take time listen story . avoid overprice Hotel arrogant staff ( specially bounc concierge ) . worth money , find much well ny.amsterdam , december 4 2006 
 Nov 28 2006 	 try cool 	 stay 4 night , overall nice hotel , nice decor , moody lighting throughout inc bathroom ( good get ready ) . find hotel nice enought let poor service ultra trendy bar nigtmare get . stay similar hotel ( 60 Thompson ) although find treat quite well be guest , make difference . try 3 different night get , doorman totally oblivious fact stay . addition check bellman send someone else suit carrier .... luckily realise hour afteward otherwise could end badly . do not find concierge particualrly helpful either . 
 Nov 13 2006 	 experience 	 Schrager 's hotel ( stay two other ) must say experience . costly fun . find staff helpful polite . responsive need change room accomodate last minute change plan , concierge staff wonderful reservation recommendation dinner attentive lose luggage tag need nail file . find room tasteful nice touch tassle Disturb sign . linen bed fantastic . lobby bar lobby decor fantastic . negative lighting throughout hotel . dark hallway unless looking realize room number floor etch carpet , difficult figure room look . also , light bathroom room great individual 40 year old . wonderful experience . 
 Nov 8 2006 	 BIG disappointment 
 Nov 5 2006 	 great lobby bar .... 
 Oct 29 2006 	 Great Original HotelBut ..... 
 Sep 11 2006 	 amazing new NY hotel experience 
 Sep 8 2006 	 Models parade 
 Sep 2 2006 	 Fabulous Stay ! 
 Aug 28 2006 	 impress 
 Aug 20 2006 	 Reborn ? mixed bag 
 Aug 7 2005 	 's Still Rock Roll ... 
 Jul 28 2009 	 rivoluzione nello stile degli hotel 
 Jun 12 2009 	 Jederzeit wieder ! 
 Jul 20 2008 	 mauvais rapport qualité / prix 
 Mar 14 2008 	 Bel Hotel avec quelque défauts au vu du prix .. 
 Jan 11 2008 	 Nie wieder Gramercy Park Hotel ! 
