love 	 recently visit Thistle Westminster part group organise work . cheap due amount people travel cost £ 150 bed breakfast coach travel boyfriend . hotel good 's price . however regardless amount spend , still feel hotel lovely place stay . second time stayed find pleasant last year . upon arrival check tell relevant information ( breakfast time etc ) take luggage room two double bed ! ! ( boyfriend ! ) also sofa facility make tea coffee well need hard day shopping ! admit hotel room warm however extremely cold outside not problem stay there . the bathroom seem bit old tired however clean important thing short time . we walk near tube station ( Victoria ) approx 5 minute hotel . Victoria central station key place would want visit minute tube ( fantastic ! ) .after lovely evening Tiffany ice rink Somerset House , go back hotel tired ready good night sleep . 11:45 woken alarm go . concerned half sound like car alarm half sound like fire alarm . rung reception ask problem , mind put rest deputy manager 15 minute alarm go . 10 minute rung knock door deputy manger come check situation see everything okay ! ( fantastic service lovely man make we feel concern deal appropriately ! ) breakfast fine , much variety good quality staff pleasant . overall hotel great location , lovely staff big room . would definitely return ! 
 Mar 7 2005 	 do not stay 	 partner stay anniversary year . always please Thistle hotel stay barbican birthday last year , Tower another anniversary marble arch work always really please brand quality facility . imagine dissappointment stay discover bed first room give break beyond repair report get another room promise key would minute . half hour later key arrive tell delay due poor heating room wait stand alone heater warm . get room hear buzz noise , partner electrician decide look heater say health hazard could not use . also discover tissue holder bathroom fall wall , pedastall bin foot pedal do not work closed curtain tie back hook come wall . ' ve never feel let special occasion decide complain duty manager morning thought would wait till breakfast . food cold hard . send coffee back twice , ask fresh toast cold stain chair . read review cost previous hotel stay , hope would perfect theatre break look nothing modern hotel nothing good speak either . complain duty manager offer we free upgrade next stay explain , would not stay offer free night . 
 Mar 6 2005 	 nice furnishing 	 daughter spend 1 night two single room February 2005 . room nicely decorate quite large . staff unhelpful . location great . Stayed fly Gatwick early flight want close train . although room nice , staff , would stay make train connection . 
 Nov 18 2004 	 Perfect hotel London 	 stay week Thistle Westminster Nov.10 - 18 find wonderful every way . twin room daughter stay single . room much large expect small sit area sofa , chair table . bed quite comfortable bathroom great condition . daughter 's room large usual also . staff excellent desk clerk concierege , restaurant staff housekeeping . actually leave wallet one day floor room credit card cash thankfully find desk return night . breakfast serve plentiful contiental include us extras full breakfast buffet desire . location excellent .. two block Victoria station , yet quiet hotel area bank next corner Big Bus Tour Office street . would definitely stay . 
 Nov 18 2004 	 well victoria thistle ! 	 stay Thistle Hotel part town , choose one Victoria Thistle . Thistle Westminster reception welcoming , room well expect , minor niggle . heating not work , room service breakfast shower pipe sprung leak soak bathroom . surely clean would noticed problem shower use rinse bath ? Breakfast so - so . must salt cellar another reviewer - salt , stopper bottom - not one breakfast ask salt reason ! Bizarre ! bed comfortable & amp ; room clean . 100 time well abysmal room ' ve Victoria Thistle . 
 Nov 2 2004 	 please stay 	 spend week London ( September 15 - September 22 ) stay Thistle Westminster . hotel nice room small american standard , would guess similar size London hotel . staff helpful , able control room tempature good , bed come comforter . one thing would recommend food hotel restaurant ( especially lunch dinner menu ) . hand , bar , staff nice . honestly though , not go London spend time hotel room location Thistle Westminster outstanding ! within walking distance Victoria Station , literally across street Royal Mews , easy catch cab front hotel . get great rate room location trump many expensive hotel . 
 Oct 21 2004 	 ok - go downhill 
 Oct 13 2004 	 Convenient wear 
 Oct 13 2004 	 Pleasant Stay 
 Oct 1 2004 	 good moderate airport hotel . 
 Jun 8 2004 	 Thistle Westminster - absolutely fabulous ! 
 may 1 2004 	 bad place stay price 
 Apr 28 2004 	 dump 
 Apr 7 2004 	 Great Hotel 
 Mar 22 2004 	 not let look deceive 
 Dec 5 2003 	 decent hotel 
 Nov 13 2009 	 hotel perfectomagnifica ubicacionbuena relacion calidad - precio 
 Sep 23 2009 	 Achtung Bettwanzen ! 
 Aug 20 2009 	 très déçu - ne vaut pas le prix 
 Apr 8 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Apr 2 2009 	 ottimo 
 Oct 15 2008 	 ravis de notre séjour ! ! ! ! ! ! ! ! ! ! 
 Sep 8 2008 	 buen hotel 
 Apr 2 2008 	 Hotel confortable à Westminster 
 Feb 5 2008 	 Bon hotel + Bon emplacement + EXECELLENT accueil 
 Jan 1 2008 	 Pessima esperienza - mai più 
