run 	 arrive 10 am understandably room not available check give card room number . leave luggage day . return , ask key give room 3rd floor . room couple minute ' phone rang . receptionist ask sure have ask correct room key . say different room would ring back . room tired bathroom smell damp . twin bed book double big deal receptionist call back happy suggestion move room give decide could not much bad . well . . . . . . double bed bathroom not smell damp old need urgent renovation . tap brass cover verdigris , ( perhaps feature ) shower head low duck wash hair . ' m tall 5 ft 2inches ! wardrobe door sure feature . look though wardrobe slide door . post site , hand wash baisin bedroom bathroom . fiddle around order get kettle work tv remote take work . order change channel press channel number plus tv button , odd . hairdrier nowhere near mirror least one . bed pillow comfortable duvet cover make Polyester / cotton mix old bit bobbly . ground floor window overlook small quadrangle full scaffolding scaffold plank top light come room morning . continental breakfast not bad spite people site say . 4 different cereal , roll , croissant , toast , preserve , ham , cheese , yoghurt plenty tea coffee well fruit juice . Sunday rain heavily bucket bar area catch rain come . plus side hotel great area 3 tube station close . plenty restaurant couple Tesco metro plus shop shopping centre high street store . Notting Hill 10 minute walk away Kensington Gardens close . time year London hotel expensive place usually stay £ 100 have pay early year suppose get pay . 
 bed bug hell 	 stay one night wake morning find bed bug crawl across duvet help tasty meal sleep . later day scratch trail bite mark along upper leg . make matter bad sleep ruin bathroom extractor fan would turn gargle radiator beside bed . avoid hotel 
 Jun 30 2005 	 Prisoner Cell Block H 	 Picture . London 2005 . make last minute dash London middle week appoitment . hotel pricy weekend want make trip inexpensive possible . usual favourite haunt come nearly £ 100 , find Venere £ 55 . good deal , think . bad ? well , taxi pull look bright become AA sign give 3 diamond whatever AA award . lovely italian man reception helpul make way room . oh dear ! first bed tiny single bed . reminded type NHS hospital ' ve see prison drama tv . middle room right next bed washhand basin front washhand basin , could not actually get washbasin , bed side cabinet . , ' ve see washhand basin middle room since day en suite become norm . reason washbasin middle room room bathroom . create problem mirror one would normally one 's hair basin obvious reason plug near . mean drag cord straightener full length go another wall mirror wardrobe . girly thing , gentleman read probably will not worry , hey Ladies hair 's important ! room hot . ' m UK know Americans like air - conditioning country think open window enough . oh ! boiling . time would finish get ready appointment , exhausted . okay , area great . least 10 minute walk underground woman come back hotel night think could vulnerable , something never feel year nip London , end use taxi security . now come sleep prison cell bed . tell write back still hurt . mattress bad . ' m wait Nurofen kick . heat room , fact could hardly turn round fear clang washbasin bedside cabinet not help . least not space fall bed ! maybe design . , heat noise underground . good experience . if pay rack rate £ 90 , would really angry . £ 55 middle London week low rate . however , fact use taxi safety angle mean would probably well spenidng little go nice hotel close underground nice area . Lesson learn think ... 
 Jun 25 2005 	 great value super location ! 	 wife kick european vacation 3 night stay Blakemore . first time London could not please hotel . price , hotel superb - clean , quiet , close tube , friendly staff , good restaurant scatter throughout area . would absolutely stay . 
 Jun 8 2005 	 ok realistic 	 honesty must say single 42,50 GBP night good price deserve mention staff friendly . however , keep mind get pay . room small , bathroom need refurbishment , hear noise hallway , yes , Tube pass underneath hotel cause noise vibration . remind place use stay high school trip 15 year ago , business trip slightly & quot ; rustic & quot ; comfortable . 
 Jun 4 2005 	 one good deal London 	 stay party four ( two room ) Blakemore Hotel April 26 April 29 . satisfied place think excellent value money promotion price GBP 50 . believe many hotel London offer similar good deal . the room small , however , fit amenity tv , trouser press , iron , coffee tea maker . daily service good room clean . bed comfy . the breakfast room low ground stylish interior . contintental breakfast include rate quite ok tea coffee , juice , bread & amp ; crossaint jam . additional fee full breakfast include fruit , egg , yoghurt , etc . the location great , minute Queensway Bayswater Station . also find neighborhood lively many pub , restaurant shop . we fond Blakemore Hotel would definitely stay visit London . 
 Jun 2 2005 	 find well one price 	 return 3 night stay Blakemore Hotel . ( wife fly Germany Neil Diamond Concert ) . consider price hardly find well one London . clean room , friendly staff , good service . agree , room small , normal London . least ten different hotel London recent year , get use small room . none hotel , ever would return , different reason , like unfriendly staff unclean room junk furniture noisy etc . every trip try another hotel . Blakemore Hotel first one return next trip London . thank low budget airline surely return soon . point view nothing complain Blakemore Hotel . cheap ( compare London price ) good . glad find . really recommend . 
 may 31 2005 	 small expensive expect London ? 	 hotel great location , right next Hyde Park 5 minute Queensbay tube stop . arrive rather late ( 1 am ) staff friendly . shower work properly arrive receptionist send non - english speak bellhop help , not work well . soak along bathroom floor nothing resolve . strange thing , tell go get help ( think ) never come back . go back lobby receptionist nice come right away help situation resolve quickly afterwards ( provide extra towel though ! ) . room rather small much furniture stuff ) . wall thin could hear neighbor ' night activity . bed uncomfortable sunk middle extra pillow . disappointed price quality compare hotel stay Europe , know London extremely expensive . 
 May 30 2005 	 really nice hotel great deal 	 stay Blakemore Hotel 8 night , week May 14 . rate hotel outstanding , really bargain . blakemore charming comfortable hotel . room clean great view large casement window . tree bird outside , Hyde Park block away , Lancaster Gate tube station short walk , great little pub call Leinster Arms street , Queensway dine shopping , beautiful tree - line neighborhood -- perfect , good deal ' ve ever find London . staff service really first - rate , friendly efficient . Blakemore become home week - plus really enjoy . 
 May 16 2005 	 Cheap OK 	 stay 3 occasion holiday Europe . convenient location near Hyde Park tube , close city . price find hard find well inner London . quiet reasonable , clean , room . concierge overly helpful / friendly . 
 may 11 2005 	 satisfactory visit 	 return 2 night break Blakemore Hotel . staff friendly welcoming . room , rear facing , spotless good supply towel , comfortable bed . bar pleasant , staff welcoming . not time use restaurant . overall good value money hope stay . 
 May 3 2005 	 Great Budget travelling 	 spend four day London stay Blakemore . neighbourhood excellent tube station short five minute walk away . be great patisserie breakfast nearby restaurant grab something eat . the staff thoughtfull everything go accord on - line reservation . problem whatsoever . room tiny clean silent night . I would stay recommend anyone want confortable place sleep day & amp ; night town ! 
 Apr 19 2005 	 good value location 	 recently stay Blakemore 5 night first trip London . find hotel similar price range ( less $ 100 / night ) much bad review , feel comfortable choice . upon arrival ( check - in time ) , problem get room . little concerned room ground floor window face street , problem noise never feel unsafe . although room small ( single ) , not expect spacious accommodation town like London ( room actually large NYC ! ) , sufficient need closet shelving , desk tv . room bathroom keep clean one time need assistance ( extra towel ) front desk staff responsive , even though late night . be plan spend lot time hotel room ( would London ? ! ) look basic , may ideal place . be look ' home base ' convenient public transportation ( 2 tube stop within block ) outdoor space ( Kensington Gardens / Hyde Park nearby ) , quiet place crash day sight - see , friendly staff help , Blakemore meet need . 
 Apr 15 2005 	 Fine Hotel 	 return five day London stay Blakemore Hotel . entrance well look room , wich small wiht tinny tv three channel ( english ) remote control . general staff friendly , except one recepcionist work evening weekend . stay far elevator silence night . location great , near Hyde Park Queensway , good place buy souvenir five minute underground . next time would stay . 
 Apr 4 2005 	 Cheap problem 	 3 Nights . at first : good Hotel sleep come back ! room problem : - old Room ugly Colors- Window damage ( close realy good ) - lought Hotel , many Kids- Street till 2 am lought full Tourists- Room little bit dirty check ( next day well ) - Breakfast great 
 Mar 30 2005 	 wonderful ! good Times ! 	 stay Blakemore hotel April 2004 . read review say subpar , little scared . arrive London Noon , Hotel Staff quickly check we Room ! 's small hotel , quiet street , right next Hyde Park . 's 3 block near tube station , take we less 5 minute walk every morning . wish could go back London ! since Hyde Park right near Hotel , spend couple Afternoons . every afternoon would come back room find spotless . say room small , 's London ! GREAT Rate . 45 pound night . not cheap hotel London , believe good money . would definitely stay hotel , ever get back London ! ! ! 
 Mar 22 2005 	 clean nice 	 read many bad review terrible budget hotel London , expectation Blakemore Hotel low . guess good way pleasantly surprised clean place . be close two subway station make get around easy , . 
 Mar 8 2005 	 good budget traveler 	 stay hotel February 2005 . get room rate 45 GBP , excellent location . continental breakfast include room rate , get English Breakfast additional 3 gbp.the next subway station ( Queensway ) 7 - minute walk away . the room small basic , clean . bathroom could use renovation , crack . also , window ( slide ) would stay & quot ; open & quot ; position , support camera tripod ( think problem particular room ) .I would stay travel budget . 
 Mar 4 2005 	 Good Price ! ! 	 hotel nothing special , high exchange rate ... great deal . end pay around $ 100 US night . street infront hotel loud night amentie 5 - star hotel . room clean lobby location decent . close Kensington Gardens nice . close tube station 4minute walk . bad . not pay much place , get deal pretty good bargain . 
 Feb 9 2005 	 clean reasonable 	 hotel clean , reasonable good location . stay hotel neighbourhood , average . hotel next door ( Henry VIII ) well , expensive . room small ( London hotel ) . something shock Americans , remember . one negative thing outrageous breakfast price . £ 9.50 per person per breakfast way much . would recommend order without breakfast ( unless load ) , rather eat restaurant buy sandwich eat Hyde Park ( 2 minute walk ) . 
 Jan 4 2005 	 CLEAN CHEAP ! 	 pleasure stay 4 day last December , nice ! room quiet , clean CHEAP . Queensway tube Station 5 minute walk away surround area really charming . make point stay , hopefully soon ! 
 Nov 26 2004 	 Bear noise 	 wife spend 3 night Blakemore Hotel , London November 2004 . hotel quite centrally locate 10 - 15 minute walk Bayswater Station . staff helpful . stay ground floor , noise possibly train pass bayswater station quite annoying . though alert staff hot water supply room 7.00am first day stay , ' problem ' remain last two day . receptionist answer supply 24 - hour hot water . wake six , wait till seven bath hot water shave . 
 Nov 23 2004 	 highly recommend 	 trusting comment previous visitor hotel , Blakemore & quot ; & quot ; choice . ' ve pick wonderful rate net , welcome hotel . yes , room small , even kitsch , tv remote . care ? 2 mile away everything , get clean sheet bathroom / shower , warm room window open , helpful international staff . even claim give upgrade , half door price pay . if travel alone , great choice ; case company try get large room . 
 Oct 14 2004 	 excellent place stay . 	 take last - minute trip London apprehensive would find open hotel room door . pleasantly relieve . single room clean tidy , plenty comfortable amount time plan spend ( little ) . front desk staff concierge friendly helpful . the hotel within easy walk distance tube bus stop . problem first single room give right next elevator noisy . request new room give one end hotel much quieter . would stay ! 
 Oct 9 2004 	 Blakemore 	 blakemore great budget hotel . room clean location convenient . the bathroom small & amp ; old . everything work order & amp ; good conditionStaff helpful & amp ; pleasantI would stay 
 Sep 28 2004 	 good value area 	 book hotel Wotif , fairly last minute plan change . stay 2 night find room modest clean tidy . yes , bathroom tiny , yes , could not swing cat let us remember - London even find clean room challenge . about four block walk ( flat ) Paddington station - great Heathrow connection . Breakfast include however , chance would fairly average anyway not bother . close Hyde Park grab coffee take away breakfast sit park . our room face west , bit hot however also face away street mean quiet . I would recommend anyone stay London day need clean , simple room . 
 Sep 21 2004 	 nice place stay 	 Great Location near Kensington Palace . clean . people supper friendly helpfull . can not wait go back ! 
 Sep 14 2004 	 recommend ! ! 	 well worth ! ! . problem ever . make reservation online ( great rate ) honor rate question . staff friendly helpful . go way help we specific request . actually stay twice vacation time enjoyable . room typical 2 + star european room . small , comfortable , bit stuffy afternoon ( fan concierge take care ) clean . get upgrade room AC , etc ... cost . close Tube bus stop plenty place eat nearby . first time traveler Europe , great place stay . open mind ENJOY ! ! 
 Aug 28 2004 	 generally fine ... 	 generally fine , unhelpful & amp ; unpleasant response theft luggage room . 
 Aug 24 2004 	 GREAT BUDGET HOTEL 	 think traveler unreasonable expectation travel . ' ve stay Blakemore several time year think 's fine choice travel budget . bayswater great neighborhood . several tube stop close , shop dine Queensway . be also Hyde Park ( enjoy morning stroll ) . fact , hotel rate start 60gbp cheap London . expect Ritz Carlton price . be clean , well locate , room small charming , get private bath , staff pleasant . 
 Aug 10 2004 	 Loved ! 	 stay Blakemore school trip London , grand ! short block Tube friendly service around . try lose room key though ; be hefty fine . bed comfy , bathroom big enough . course , be tourist , will not want spend much time room , must say , Blakemore make use small space ! hope enjoy stay London ! 
 Jul 29 2004 	 would return ! ! ! 	 stay Blakemore Hotel , January 2004 , 16 people , class trip London find Blakemore nice hotel . room every nice clean . staff good even though breakfast not expect make good . problem . even stay extra 6 day staff good reference change room attend need . would stay 's close many thing nice part . would recommend anyone stay . plus visit London stay hotel whole day . enjoy trip . 
 Jul 28 2004 	 never 	 husband stay Blakemore Hotel 10 year ago truly enjoy stay . return November 2003 quite upset poor service receive . ask manager , even obnoxious staff . hotel become quite run shame well keep 10 year ago . sad change bad . many hotel area appreciate business take well care property . 
 Jun 22 2004 	 cute hotel center London 	 student , go Blakemore classtrip 52 student . location Blakemore wonderful ; tube station right around corner Hyde Park within walking distance . however , hotel exactly par . many occasion , shower work , doorknob window break , elevator commission . time , management staff rather rude , want help student . , student highschool college look cheap place stay ( especially do not plan staying room often ) blakemore great place stay London . 
 Jun 15 2004 	 impressive 	 room basic decor furnishing , also fairly small , good choice staying day . however , location hotel ideal visit London , tube station minute away take around city hyde park literally 2mins walk distance front door . staff extremely friendly decor rest hotel high standard . find price reasonable thoroughly enjoy visit , 4 star we ! 
 Apr 21 2004 	 Decent place stay 	 Blakemore offer clean yet tiny room perfect neighborhood visit downtown London . tube right next door ( 5 minute walk ) staff friendly . 
 Feb 12 2004 	 good choice ... ok 
 Oct 27 2003 	 Good Hotel Students 
 Oct 1 2003 	 nice place 
 May 21 2003 	 Melissa Masino Review 
 Nov 18 2009 	 le camere non sono quelle delle foto 
 Nov 16 2009 	 correct 
 Nov 9 2009 	 Típìco Hotel Victoriano 
 Oct 15 2009 	 Tolles Hotel für Urlaube 
 Sep 9 2009 	 Un ascensore bellissimo ! ! ! 
 Aug 25 2009 	 esperienza positiva ... se non fosse per l'assenza dell'aria condizionata 
 Aug 20 2009 	 El desayuno muy bien . el resto regular . 
 Aug 5 2009 	 sin ascensor habitación cutre estafa al llamar taxi 
 Aug 2 2009 	 Komfortabel 
 Jun 8 2009 	 davvero ottimo ! lo consiglio ! 
 Apr 27 2009 	 Immer wieder 
 Apr 7 2009 	 Piccolo pulito 
 Feb 25 2009 	 Buon Hotel ben servito da metro e bus 
 Jan 13 2009 	 Wenn man besoffen ist geht ... 
 Dec 12 2008 	 Senza non avete molte pretese ... 
 Nov 5 2008 	 regresaría este hotel ... la fachada engaña ! 
 Nov 2 2008 	 Super emplacement pour visiter Londres ! 
 Oct 15 2008 	 Ni aunque regalen la estancia 
 Aug 21 2008 	 Non male.17/08/08 
 Aug 12 2008 	 Bon hôtel bien situé dans un quarti résidentiel 
 Jun 25 2008 	 ottima la posizione rumoroso 
 Jun 4 2007 	 mediocre 
