rather 	 price reduce say usd 20 usd 30 , would say reasonable . hotel good , however , room tightly lay - out . bed , tv , coffee table , write table , tiny luggage bench bed , seem squeeze small space ! compact large property . service Front Office check - in swift professional . query information internet service late check - out till 2 pm immediately understand respond . the breakfast service also prompt efficient . coffee continually refill . downside breakfast service layout buffet spread . walk 3 round could find juice . eventually , ask service staff tell juice entrance ! totally cut - off entire food fruit line , also beyond greeter desk , definitely first many experience hotel . recommend visit office complex , convenient . otherwise , various hotel Pudong Area might well term choice , cost room comfort . 
 Nice Business Hotel Shanghai 	 nice business hotel heart shanghai .. seem quite full even work day , restaurant hotel full time .. stay 3 night good service hotel .. 5 block away nanjiang shopping district .. 
 Jul 22 2005 	 Great Hotel 	 Hi , road lot lately one thing must say key great hotel stay _ great _ spa hotel ... yes , Westin great spa ... check go . now standard chat ... room : room nice , see picture ... location good , middle lot action . service : service friendly quick . forget plan ahead book reservation dinner super hot place - problem , go Concierge 's desk get . food : hotel several restaurant , go casual place , buffet style downstairs - great brunch , way fancy sit dinner type place . tour : also town 1 - 2 day , set 1 day tour private guide car . expensinve quick way get around town . excellent ? well , tend mark & quot ; Excellent & quot ; beyond service unparallel experience . hotel great , back , not get wrong . however , hotel get & quot ; Excellent & quot ; book . 2 important question : would got back ? yes . would recommend hotel good friend ? yes . happy Travels ! 
 Jul 20 2005 	 Westin Shanghai Fantastic ! 	 get back 2 different stay Westin nice . Westin locate great area Shanghai close Bund . must take stroll Bund European feel night one side side China big building light Pearl TV Tower . first room 1811 great nice city view corner room quiet . second room 1111 exact layout floor . would stay heart beat . health club top notch spa look like every girl dream . 
 Jul 11 2005 	 Westin Shanghai Surprise 	 Grand Hyatt across river boast tall world , be still something say stay hotel 's crown presence along Shanghai 's historic Bund . , hotel not avenue per se , 5 - minute walk away ; yet 's presence landmark sight , lighting nightscape tourist ogle every evening . service , yes , Westin live hype ... cool , crisp , almost cold attendance everyone . room get corner deluxe magnificent view river , thank , presume early request make via e - mail . kudo reservation officer . breakfast buffet rather run mill -- certainly confused weekend brunch top be mood excess . especially wary language barrier miscommunication deal Concierge . ask taxicab Armani store , bring 40 - minute taxi horror ride Armani Bar across town . fault taxi really -- concierge assume want go write driver . middle afternoon .... talk Shanghai would ! stay ? truth tell , ' ve get mighty curious tall one across river . sheer proximity charm Shanghai -- Westin deserve mighty crown . PS : think Heavenly bed over - hype ... be nice -- really , call heavenly reek much marketing arm . 
 Jun 15 2005 	 King bed ! ! 
 May 29 2005 	 Fabulous Hotel 
 May 20 2005 	 lovely hotel 
 May 12 2005 	 location location location 
 May 1 2005 	 live Bund Shanghai 
 Mar 25 2005 	 ` ` must stay '' hotel . 
 Mar 20 2005 	 Chic Shanghai address 
 Dec 9 2004 	 live loud side 
 Nov 16 2004 	 Excellent Hotel 
 Oct 9 2004 	 nice addition Shanghai 
 Nov 11 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 oct 4 2009 	 ? ? ? ? ? ? ? ? 
 Sep 2 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 16 2009 	 ? ? ? ? good 
 Aug 3 2009 	 ? ? ? ? 
 Jul 25 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 23 2009 	 ? ? ? ? ? ? ? ? ? 
 Mar 25 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Mar 6 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 26 2009 	 ? ? ? ? ? ? ? 
 Jan 13 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Jan 9 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 30 2008 	 ? ? ? good ! 
 Aug 16 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 2 2007 	 ' send bien ! 
 Sep 21 2007 	 Un precioso hotel 
 Nov 11 2006 	 das Beste Old Shanghai 
 Jul 15 2006 	 SPLENDIDO HOTEL 
