LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Oct 13 2008 	 Great Stay 	 return 4 night stay Pod . single middle aged woman first trip New York . Pod everything expect previous review TA . favorite thing Pod neighbourhood , could not wait abusy day city get & quot ; home & quot ; . street Pod seem undergo renovation , lot old store redone . love availablilty reasonable restaurant grocery store neighbourhood . access subway fast easy -- 2 stop Times Square . go back NY stay Pod recommend friend . 
 Oct 10 2008 	 Great Hotel 	 get back . ' ve stay many NY hotel business price , great comparison ! other say , can not beat location . website pic really spot room / decor / lobby . worried share bath thing , travel companion ever wait use . think four per floor , plus reg bathroom lobby . room panel light tell bathroom available . soap , Shampoo towel provide . room sink mirror station . clean room communal bathroom every day . note : room small -- Europeans may use size Americans -- completely trick maximize space . rooftop garden pleasant surprise . hang long day sightseeing often bring dinner eat . ' ve attach pic . 
 Oct 9 2008 	 great little find solo traveler budget 	 ' m 4th night stay NY business write , double room private bath . pod terrific need fairly pleasant , especially give low price . positive : * great midtown location . * intelligent , functional room design small space . * Stylish & quot ; ikea meet Amtrak sleeper cabin & quot ; sort way * clean . * nice rooftop hang around . * good internet connectivity ( free in - room wifi ! ) * friendly efficient staff * little street noise ( least room ) minus : ( minor ) * small usual room : & quot ; double room & quot ; probably work two people be REALLY . * wifi little pokey times * low - price come miss amenity in - room refrigerator ice - machine hotel * flatscreen tv not swivel , not directly face bed * noisy neighbor check yesterday 
 Oct 7 2008 	 great Find 	 Good Hotel . small Rooms maximise space , everything need available . Good Location . look good standard Hotel travel Budget spot . helpful Reception Desk Shuttle Bus JFk available . 
 Oct 5 2008 	 great value ideal location 	 stay hotel 10 year ago pickwick arm . refurbish really nice . travel alone location ideal . also really good value hotel midtown . busy get bit noisy night people coming go apart would recommend hotel . staff great . seem sort place people stay regularly . get shuttle bus airport speak people come regularly year ( one woman 70 stay every year ) 
 Sep 29 2008 	 fantastic hotel ! ! Great Value close everything 	 fantastic hotel , immaculate clean , helpful staff great price location . place could well budget hotel fantastic room great view . great position train , biuse walk . good get engage rooftop garden ! ! 
 Sep 28 2008 	 Disappointed 	 disappointed Pod Hotel . room smell , staff inexperience helpful . room bathroom . bathroom smell strongly mildew , get bad week go . small room , mean entire room smell . ask fix problem , think came spray something . hindsight , ask move another room . you could buy breakfast pleasant outdoor sitting area . bit expensive , waitstaff could benefit Table Service 101 . approach hotel staff three time stay . although inexperienced , staff generally pleasant . however , day checkout , wait long time bellhop return schedule ride airport . man come , assume manager , instead help we schedule ride , ridicule we amount time set aside get airport , , conversation , scold we ( sarcastically ? be sure ) plan enough time get airport . , could reserve car we . guess feel beneath he . I would prefer stay different hotel , even mean stay friend 's couch day make cost . 
 Sep 28 2008 	 Perfect hotel 	 stay Pod hotel one week happy accomodatio . ok , room big ( stay single one ) well organize perfectly functionale . position great , mid Manhattan 5 minute tube station ( line e , v 6 go main site ) . toilet room other say never problem , always vacant clean . would certainly stay , since return NY love ! 
 Sep 26 2008 	 Excellent money 	 money , good accommodation know Manhattan ( trawl various booking site ) . relatively new , clean staff helpful . location perfect room small likely share bathroom ( big enough - - clean every morning usually clean ) , ideal base sleep keep belonging safe . stay small single bed room upper level air con , safe , tv , alarm clock , phone , sink mirror decent although small Sealy mattress . 2 bathroom level 6 night might wait bathroom . would stay without hesitation , nothing fault . subway 1 minute ' walk away several place affordable food nearby . also wireless internet actually work room sufficient connectivity - refresh experience . 
 Sep 23 2008 	 unbeatable deal 	 read review variety cost - conscious hotel NYC , decide Pod Hotel whirlwind two - day vacation sister . want pay luxury hotel room , want comfortable base exploration Manhattan . completely satisfied choice , can not wait visit NYC stay Pod ! staff friendly , property clean well - maintain , ambiance great , price absolutely unbeatable location . the location perfect walk variety landmark , innumerable restaurant shop within immediate vicinity Pod . long day walk , shopping , sightseeing , wonderful get back room , drop bag , head rooftop garden bottle wine relax look skyline . room two bunk bed floor share bathroom . bathroom clean never wait one need ( light door room tell bathroom use available give time ) . also sink room need wash hand freshen . overall would highly , highly recommend Pod Hotel anyone look clean , hospitable , centrally - locate hotel will not eat entire vacation budget . 
 Sep 22 2008 	 clean funky 	 book pod hotel advice friend , decide come New York 2 night short notice . the hotel significantly cheap option find . my single room small , spotless , everything need ( include free wireless ) . share bathroom next door , pristine . pipe quiet relaxing music nice touch ! lose door key , front desk replace ( swipe card ) fuss whatsoever . staff friendly helpful . I not stay breakfast - walk round corner Tal 's bagel instead ( definitely worth 5 - 10 minute walk ! ) great place stay , real bargain New York 
 Sep 21 2008 	 great spot interesting layout 	 stay Pod wonderful have happily stay . stay Pickwick arm back 2001 ' m REALLY impressed ' ve do place since . you want familiar roommate , however , little privacy room . small extremely efficient . one thing would suggest put shelf wall mount hook guest put thing . space usage premium room small would really go along way convenience someone stay day . everything spotless feel comfortable room . love wireless internet trouble use other report site . particularly love iPod docking station could play music charge iPod . huge asset love tune I . as say early , not much privacy bathroom shower book room 's bathroom . slide door close bathroom leave clear glass window open outside bathroom see ( see picture - shower toilet ) . co - worker someone be intimate , 's tough shower without bare bit . would practical frosted plan accordingly . public / share shower hall , however , need privacy clean , though not use they . I love Pod 's location . lovely little waterfall sit area across street morning coffee like shortage great little eatery area . take entire day walk Manhattan never worry getting lose . easy city navigate hotel easy find . restaurant / wine bar next door nice much cheap place eat drink area , inclined . find simply overprice get . the pod lovely little spot highly recommend . not worry size room , need , unless be travel child , will impress efficiency . 
 Sep 21 2008 	 good hotel single traveller 	 stay eight night Pod Hotel NY last August . I travel alone , not want spend lot money hotel , not want stay hostel ... read good review hotel , quite strange ny hotel , decide book room . find good price website , 180 usd / per night , taxis include . I room 14th floor . not problem lift , although one big complaint people ... room enouth one person , many place put thing ( love drawer bed ... ) . free safe big enough store 15 ' laptop . one thing remark , everything extremely clean , lady make room everyday good day stay ! ! ! none problem sare bathroom . Clean never wait lot . perhaps morning sometimes wait 5 minute , 10 maximum , worth it . the main problem ( say something ) hotel door quite noisy ( problem door , also guest ... ) . 14 th floor , near door roof terrace , sometimes people speak quite loudly night . ubication hotel marvellous .. near two subway stop , well comunicate also bus . shop , restaurant , bar around hotel , be nice want something dinner near hotel .. go JFK airport subway 7 usd make one change Airport Express train e subway ... good option not much luggage . last day take shuttle book hotel 20 usd.i not know two person hotel good choice single traveller ! ! ! would not doubt repeat trip ny . 
 Sep 19 2008 	 great quality price ! 	 look fairly inexpensive hotel great location Manhattan not super picky , hotel ! quite bit research hotel certain area Manhattan good deal find consider hotel newly renovate , funky , clean , great location , etc . yes , room small , expect New York . everything new , clean , bed comfy enough , lobby funky , location great . 's walk distance many attraction , ton restaurant bar around . rooftop patio pretty cool , take drink chill bit . if be look place sleep not want pay arm leg , book . not really complaint consider pay . 
 Sep 19 2008 	 Great Hotel 	 Stayed Pod find good hotel . room small well lay clean . would recommend get en suite option available . staff helpful friendly although not use concierge service can not comment thata downside room face face onto street bit noise night siren etc not go New York look peace quietoverall find Pod good hotel price great location would hesitation go back 
 Sep 19 2008 	 Loud Dirty Awful 	 stay Pod awful . place college kid partier -- 's . like frat house -- door slam hall night long , loud drunk couple hall scream , another partier start bang door 3 am ( wrong room ) .Window stick would not open , bed tiny like board . literally bad hotel ever . bad Sat . night rush week college frat . & quot ; Service & quot ; front desk clueless totally uninterested . spend another $ 100 stay somewhere might actually able sleep . 
 Sep 18 2008 	 perfect 	 great hotel , love neighborhood next subway station . the room small , problem accommodate suitcase clothe ( alone , one week ) everything clean . double room private bathroom , take look share bathroom look fine I . I arrive 11 am , availble room check imediat immediately . all staff kind , nice helpful , love . 
 Sep 15 2008 	 wonderful Stay 	 three night stay Pod think great ! location fantastic , accessible close walk distance lot sight great restaurant , near subway station travel afield . check easy staff polite . room spotless quiet night . yes , room small , find well design lot storage , hardly spend time . great mix nationality age stay Pod give great atmosphere . we could not think anything bad would definitely stay ! 
 Sep 11 2008 	 Hygiene risk 	 book STA travel double room . open door room appear mean twin , double bed . bed hard short anyone 5 foot 6 . small room hotel consider one badly design . towel rail one tvs not work . real problem hotel hygiene . share WC sink ! ! go back room wash hand . think , dirty hand therefore touch doorknobs room , get wash , touch spread germ throughout hotel . air conditioning unit room dirty give chest infection second night cockroach use way get room ! ! ! short , want get sick , like short , hard bed cockroache hotel . , find somewhere else stay . 
 Sep 10 2008 	 NYC shoestre ... style ! 	 seventh tourist trip NY possibly well . we stay 2 bed share bathroom room immaculately clean , well provide need hotel NYC . share bathroom clean . never queue ! also see one occupy display room . the bed absolutely fine get mini tv . I would not stay anywhere else next time go . the location great midtown lot local amenity . clean . Great Location . comfortable . cheap . would not stay ? 
 Sep 9 2008 	 rude equal modern 	 hotel nice neighborhood near many touristy location , fine . room clean supposedly modern . small NYC , not hang hotel room typically fine also . however , check room three people behind desk even though fairly late day ( around check - in rush whatsoever ) . ask computer / printer locate could get print boarding pass next morning . hotel , advertise modern computer / printer internet connection hotel guest use . addition , rudely inform us & quot ; unable & quot ; print boarding pass & quot ; problem run report . & quot ; even cheap dumpy hotel travel Europe , always internet connection computer sort ... huge disappointment ! meantime , room two pillow call front desk ask two additional pillow . front desk person say enough staff ( three people behind counter stand around not enough ? ) walk room . already change pj 's quite late not go 8 floor get pillow . finally , small flatscreen television room not swivel function nearly impossible view bed . also , cable channel not match cable guide ... conclusion , next morning try get boarding pass print , front desk say Concierge might able assist not staff 9 am . well , lot good flight leave 9:30am . therefore , never print boarding pass wait line airport . thank Pod Hotel . bottomline : poor service , decent location & amp ; room , MODERN attitude , service , accomodation . 
 Sep 7 2008 	 Trendy 	 pod hotel small , reasonably price , lovely room , clean , safe part NYC close proximatey awesome attraction public transport get awesome attraction . we provide shampoo , soap , tv bunk bed room wireless internet access . the staff friendly helpful find overall stay stay remember . 
 Sep 7 2008 	 2nd stay would definitely go back 3rd ! 	 second stay , travel alone time , get single room share bath . share facility always clean . room small , functional comfortable ! price location , incredible ! expect slow elevator , , price location , something lie with . I never problem outside noise , room even partially face front hotel . the staff always friendly helpful . I can not wait next trip New York , stay Pod sure ! ! 
 Sep 4 2008 	 Excellent value location etc 	 boyfriend stay pod hotel 5 night Aug . can not understand review suprise size room - hint hotel name , pod - say hotel great . yes small NYC would want stay room sleep shower ? ? stay 7th floor face road . noisy all . the location great , walk distance everything . roof garden bonus . not mind take food beer . great watch NYC light nigth . I looking go back NYC next year defo stay . 
 Sep 3 2008 	 Excelent location good value money 	 Hotel excelent location , new small room . ideal leisure trip , sleep . little noise will hear .. good value vs money . recommend room private bathroom ! 
 Sep 1 2008 	 Fun Hip 	 husband great visit NYC last week celebrate 10th Anniversary enjoy stay Pod Hotel two night . room ( double bath ) remind we train sleeper car unit stay honeymoon - small well design luggage store enough room we move around . location terrific - block train restaurant convenience right outside front door . despite hotel 's website , guest ' age range beyond 20 's ( nice ! ) feel welcome . lobby small outdoor deck patio fun hip not eat hotel , enjoy cocktail deck one evening prior head dinner . complaint bedding linen not seem quality rest interior finish throughout . well pillow , sheet thick towel place would excellent ! 
 Aug 31 2008 	 Excellent deal heart Mid - Town 	 great modern hotel comfortable , albeit modestly sized , room stone 's throw Moma great amenity . luxurious room , clean well design , adequate traveler interested spending time outside hotel explore City sitting room ... drawback stay , however , painfully slow service lounge / bar / restaurant . server take lifetime pick check , inform we restaurant portion hotel cash . perplexing . seem Pod staff talented hotelier , could use lesson service around restaurant . 
 Aug 28 2008 	 nice experience Pod Hotel ! 	 Pod Hotel know expect NYC first trip city . read many positive review Pod Hotel decide good choice two people come w/o child . I please choice ! youthe Pod 51st street nice block . first go Pod Hotel , greet nice people desk . wall paint cool art deco design , lobby stylish . also outside deck dining area well keep up . after make way room , notice small room , not find scary claustrophobic . friend share bunkbe . bed stylish blanket . bed LCD tv pull wall position would like . also counter put item well stainless steel sink wash . sink two brand new bar soap well two drinking glass towel / tp / hairdryer , etc . room vary size , room . there two bathroom per floor . unsure would positive thing . imagine 10 stall bathroom locker room shower , instead two separate bathroom ( call WC water closet ) . clean . go bathroom , turn lock turn room & quot ; vacant & quot ; & quot ; occupied & quot ; outside bathroom , hotel room well , see bathroom occupy ! cool ! hotel guest room door inside small area show & quot ; 1 & quot ; & quot ; 2 & quot ; . someone bathroom , red light come correct bathroom number . shower fun ! instal rainwater showerhead gently filter water . shower shampoo dispenser shower gel dispenser well . also spotlight bathroom , make fun , moodlighte effect ! friend venture fun , maid come clean room , make bed vaccumme / change towel , etc . never room come call , assume & quot ; disturb & quot ; tag downstairs . love warm dance music pipe hallway / bathroom well . brazillian music / salsa / samba music calm soothe hectic day . soft non - intrusive . check Pod Hotel website music sampler ! another cool thing inside actual room nice extras Pod put together - namely & quot ; Pod Survival Guide & quot ; page long document recommend restaurant every taste , well find near hospital , post office thing may ( unexpectedly ) need . HELPFUL ! checkout time 12PM . friend ready leave yet . hotel offer hold luggage leave . bellman nice ... sure tip ! also , man small kiosk inside hotel , sell Airlink Bus shuttle back LaGuardia Airport . friend grateful convenient service back LGA . price $ 18 back LGA . , well worth ease know schedule ride back airport . all , pleased stay Pod Hotel . always quiet inside ( despite many people stay ! ) staff friendly . price right neighborhood hotel stylish ! A+ ! 
 Aug 28 2008 	 Loved stay 	 stay single room share bath . absolutely hothe bad say hotel . due really late arrival side , let room go first night , accomodate doubleroom private bath first night . understand comment size room . sure , bathroom double room small side . room large european definitive several other expensice New York hotel room . single room plenty room one person baggage clothe . problem share bathroom ( much large private bath ) . time actually queue one night 3 am ... perfect location great restuarant subway around corner . definitely stay ! 
 Aug 26 2008 	 definitely stay ! Loved Pod 	 stay Pod Dec 07 . booked double room en suite bathroom Pod much research Tripadvisor definitely disappointed . find clean , affordable accommodation convenient safe location NYC difficult ... glad , trust website . room clean , lot little hidey space keep stuff bed comfy . bathroom tiny , water hot ( great relief winter ! ) importantly ( , tv addict ) , could still watch news whilst washing face put make - up ! always apprehensive share bathroom , like many reviewer site , check share bathroom stay always clean ( tile gleam ! ) usually one two available . impressed . finicky sharing bathroom , opt New York minute ! location great . close subway , lot food option nearby . order takeaway menus place room problem - come quickly still pipe hot . importantly , Pod within walk distance shopping area . could walk Saks Fifth Avenue , Bloomingdales , Sephora , list go . Christmas , also nice within walk distance Rockefeller Centre cathedral . 
 Aug 24 2008 	 need 	 20 year old college student son look convenient place stay NYC go back school . Pod Hotel turn great choice . first , price little $ 200 / night room great deal NYC.Yes , room small , yes share bath , quality location , hotel , roof garden , park next door , hotel staff make room size share bath . the SHARED bath : bath , always clean ( might slightly wet previous shower user ) tile make material make feel comfortable would not get athlete 's foot someone else . access shower never problem . SUBWAY ACCESS : two block two different stop , access anything Manhattan , Queens , etc quickly . Central Park Metropolitan Museum stop 5 minute . ROOF GARDEN PARK NEXT DOOR : son end outside roof every evening minute . enjoy city view . would slip Park next door ( actually across street ) every morning eat bagel drink coffee sound water fall . go & quot ; Ess Bagel & quot ; get awesome bagel , buy coffee park , relax ... STAFF : always nice helpful . finish clean room every day , small room , comfortable . noise : amazingly , hear little . hear much place like Marriott people come 2pm . say will not hear well hotel stay . hear morning noise would simply pop ear plug . LOCATION : , walk Central Park Theater District , although may find far . walk good bit not problem distance , although subway two block away . street front : street frontage hotel several restaurant outdoor dine nice energy street . if like stay HOTEL : probably not place . room small . however , want comfortable place relax hour morning end day , want great location budget , good bet . enjoy City ! 
 Aug 23 2008 	 tiny room traveller place . 	 Pod hotel great place stay not want pay high price New York hotel . room tiny , double bed take entire space . husband suitcase go right behind door , open bed floor space ( good safety aspect ) . think hotel suit light traveller ! ! ! roof terrace amazing Manhattan view , take booze food take daytime sunshine city light night . hotel corridor badly light hot . hotel fine night stay , want something inexpensive New york , great young traveller . good claustraphobic 's ! 
 Aug 20 2008 	 Ideal explore Manhatten budget 	 Pod imagine would review read tripadvisor . room small adequate need - travel alone . clean sheet change daily . flatscreen tv wall ipod docking station ( hence name hotel presume ) .The share bathroom create problem , clean never wait use one . find staff friendly helpful . the location ideal explore Manhatten . subway station 2mins hotel . 5th Avenue big shop less 15min walk walk Timesquare less 20mins . travel Newark airport coach , coach leave Grand Central Station . pod 5 block two across . either walk 20 min , grab cab use subway . 
 Aug 20 2008 	 great -- post - modern cubicled hostel 	 really perfect inexpensive crashpad . NY hotel room less $ 300 small anyway . pod room super small , cleverly design . t.v . , sink , sufficient storage , long mirror . narrow bed . never wait restroom shower . some noise hall , otherwise would give 5 star . great restaurant around corner 2nd Ave , breakfast , lunch , dinner . near subway . 
 Aug 19 2008 	 go back . 	 stay Pod year ago last trip NYC , good enough decide go back . last time double room private bath , time bunk bed room share bath ( travel friend ) . check pretty quick easy . get room , horrified discover cockroach floor . however , first last & quot ; creepy crawly & quot ; see time ( trust -- even check mattress bed bug ) . overall room keep quite clean . sheet change daily always plenty clean towel . share bathroom , never find problem . 4 bathroom floor , one huge , three average , toilet small shower . always bathroom available whenever need . indicator light room also handy , show we bathroom free give time . regard cleanliness bathroom , clean staff good . issue cleanliness due negligence hotel , rather inconsiderate guest take 2 second live clean . say , washroom always relatively clean . would , however , suggest bring pair flip flop shower bit creep germ like . location great ( like block half subway , close restaurant , cute little park across street ) . look luxurious , spacious place pamper , . however , look comfortable , reasonably price ( New York City standard ) place sleep get clean , Pod want . 
 Aug 19 2008 	 great location price 	 Pod provide casual comfortable atmosphere convenient location , way take & quot ; hipness & quot ; little seriously . queen room private bath ( shower ) ; overhead shower make sink / toilet area 's cramp quarter ; room amenity excellent . hallway may tad dimly light , may offend . fact build two elevator cause long normal wait . one improvement could make easily would add ice machine ( staple hotel ) ; apparently single one exist build . 
 Aug 19 2008 	 small double room ever 	 small double room ever stay . shower behind glass maybe ideal place stay friend like show friend . bed small even though double bed . basic put bag one . concierge know less restaurant New York live Sweden ... thing save hotel low rating price . would even consider price recommend friend . one night ok stay long small room two . breakfast hotel cheap go elsewhere . room clean ! ! 
 Aug 19 2008 	 Excellent experience 	 stay hotel twice last week would really highly recommend base experience . the first time , stay single room share bathroom facility . bedroom relatively small , compact totally adequate everything provide . sink , towel hairdryer provide room , well nice small flatscreen tv wall watch bed . mention Pod website , light indicator door let know share bathroom free handy . 4 bathroom floor - contain toilet , sink shower . never encounter problem access bathroom , maybe everyone needed use different time ! facility clean easy use - really can not complain ! also get spare toilet roll room case one share bathroom run out . I also stay 1 night twin room ensuite bathroom . room spacious clean . bathroom also top notch , quite small compare size room , important stuff like toilet shower ! stay Pod previously call Pickwick arm improve much since renovate . whole decor reception room much appeal share bathroom facility excellent quality now . also , air con provide room welcome bonus weather scorch whilst ! location brilliant - block ' walk Times Square / Rockefeller Center , consider price , really good deal NYC . pay internet rate $ 149 single room / share fac $ 219 twin room . obviously whack tax basic price , still good . I also eat Pod cafe breakfast pleasant experience . food nice also seat foyer , outside garden , either find comfortable place sit eat . overall , would highly recommend hotel look budget hotel great location . 
 Aug 17 2008 	 great location good value New York 	 Boyfriend stay 3 night middle July begin tour across America . good thing Pod location . be within walk distance Empire State , Central Park , Times Square metro station 2 minute away access main attraction . hotel clean modern . stay double room private shower / toilet room ' decor simple everything need , include IPOD docking station free wi - fi . doubt abut , room small , struggle slightly 3 suitcase obvious booking case , room sleep shower , not matter much . we problem air - con sort within 5 min reception make aware . roof terrace definitely worth quick visit ! ! , price pay New York , Pod good value . would hesitate recommend friend would return ( perhaps less luggage ! ) 
 Aug 16 2008 	 hate 	 husband stay one night ( would intolerable ) . unclean smell hallway room , , small expect . bathroom shocking , unless always dreamed shower airplane bathroom . least airline bathroom room toilet paper holder . bathroom much tinier could ever imagine make ridiculous slide translucent door actual see - through window look directly tiny bedroom . huh ? suppose chic ? disgusting . never stay Pod , unless size pea , probably not either . 
 Aug 15 2008 	 jail cell fabulous location 	 choose hotel location , fantastic ( 51st 2nd 3rd ) . price $ 159 per night , hotel website Expedia . , get single bed tiny room , sink ( kind see airplane bathroom ) . toilet shower hall - 2 entire floor . although previous review suggest bathroom keep immaculate , agree . perpetually large puddle water floor occupant often leave item small room . although hotel book solid , rare actually wait bathroom , morning problem . far big problem , 14 story hotel , one work elevator wait could considerable , particularly use high floor . plus side , offer reasonable ( New York ) price item breakfast , give location , plenty alternative eat . roof deck popular restaurant attach . free wifi work well . decent selection channel flat screen . check relatively painless ground transport agent day hotel help flight connection . likely age long wish share bathroom stranger , perhaps good hotel . guest noticably young . location superb price ( New York ) low , although seem unreasonable even small private bathroom $ 160 per night . not mind stand people shower water waiting use toilet , hotel fine . great , fine . 
 Aug 11 2008 	 Great Place not tell anyone will secret 	 ' read several review keep state ' small ' etc , sell point hotel , plus clue name ! ! clean , Funky , well furnished room great price New York . could ask ? ? downside , minimal . elevator incredible slow , one two rude member staff , enough nice one make , could give one bottle shampoo stay week like . plus side , great location ( block away Times Square ) , Great Lobby & amp ; Garden , Rooms clean , maid friendly ( rarity NYC ! ) art work vibrant well suited environment . cheap . I kind ' want recommend place go back , ' afraid jack price due demand ! ! 
 Aug 9 2008 	 small nice 	 stay pod 9 night . great base see new york . room small , one slide door toilet shower , want use toilet , pull slide door front toilet , sound weird work . room grand , air con , flat screen tv , bed change room clean every day . good location , 2 block 51st subway station . 2nd avenue one block load irish bar different restaurant . breakfast serve lobby expensive . love pod ! 
 Aug 7 2008 	 modern Clean Small ! 	 contact hotel book room & quot ; single & quot ; , hotel personel inform would plenty big boyfriend . however , check hotel front desk employee tell need upgrade double single wayyy small we . go upstairs check room small . barely enough room we stand really hot . go downstairs want big room front desk employee tell we almost pay double big room . willing instead , sleep head toe romantic getaway ! , young hip place perfect single traveler . 
 Aug 6 2008 	 Great Hotel 	 great bargain hotel . room bite small clean modern LCD tv´s free wifi . stay room bunkbed share bath . share bathroom clean fresh . big plus roof terrace . 
 Aug 6 2008 	 2nd stay ... last ! 	 stay Pod Hotel four year ago Pickwick arm , out - date , dark , small roomed place . incidently , old review great . hear refurbish , plus price bargain give another shot . I not disappoint . hotel transform clean , funky , youthful look place . lobby attractively light , lot seat space . check quick ' ve ever experience . staff friendly . I double pod not bunk double bed . ' m solo traveller happy ' extra ' space . room tiny struggle comprehend 2 people could comfortably stay double room hey , be fussy fine . the room well organise . storage nook bed . small desk chair beside bed . sink area small shelf hidden view shelf beneath lot towel hairdryer . even give shampoo , soap body lotion . safe small , hidden wall thankful . small shower toilet space behind frosted glass slide door , not close privacy may issue people share not couple ! massive rainwater shower fantastic . air con unit noisy not night prove difficult hot weather . definately need replace . one great thing ipod dock . able charge ipod set alarm ( forgot charger & amp ; clock great help ! ) .if get single bunked room share four bathroom floor . day checkout , not fly evening able shower one share bathroom . always available . clean actually big bathroom room ! downside Pod Hotel room awfully close one another could hear hairdryer , people talk , door open close loud tv , annoying want get sleep night ! also maid difficult . even though put ' do disturb ' sign door ( know start early ) still knock ! every bloody day ! plus hoovering chatting seem go hour . swear hoovered floor outside room five time hour ! another downside lift . oh goodness , slow lift ever ! 2 often wait five minute give use stair . good workout suppose ! location wise , hotel east 51st 2nd & amp ; 3rd avenue . walk block towards 4th will reach subway uptown block subway downtown . be 6 great go Brooklyn Bridge downtown plus Met Bloomingdales uptown . hotel 20 minute walk Times Square , ! plenty restaurant around hotel supermarket 2nd ave corner 51st . another thing serve breakfast hotel lobby 6 am . nothing special beat walk empty stomach ! overall , pleased go back Pod Hotel . fantastic little , well organise , bargain room quiet area . somewhere rest head , almost luxury ! 
 Aug 4 2008 	 great find ! 	 probably good deal Manhattan . stay bunk bed room less $ 200 / night . -Shared restroom not issue , never even check light door , 4 day not wait once.-the room tiny , be be NYC , right ? perfect was- clean , cold , place sleep . -Did mention clean ? pleasantly surprised level cleanliness . good respect.-other rave : rooftop garden , nice doorman , helpful ( & amp ; hot ) concierge . -We also arrive early without notice , allow check , cool.-Other guest seem friendly respectful.-negatives- -the maid bit noisy make round 9:30am , guess people might already get ready lunch hour . . still sleep . -The restroom not fan ... odd . make bit o'steam peak shower time , certainly manageable . 
 Aug 4 2008 	 Cute Perfect 	 friend spend one night Pod NYC love . stay bunk bed share bathroom . everything clean problem bathroom . the roof top terrace adorable great view day night . lot good restaurant bar within walking distance Pod . we take bus subway La Guardia problem . subway station couple minute walk Pod . 
 Aug 3 2008 	 Compact Comfort - E Midtown Location 	 large size need extra room & quot ; spread - out & quot ; /move around - you may want consider another hotel . , look affordable- clean , comfortable room design maximize use space East Midtown Manhattan consider ThePod . Most review cover basic : great location Midtown Manhattan 51st East Lexington ; close moma , Lexington subway , short distance Times Square Central Park . lobby minimalist / modern . outdoor - indoor cafe / restaurant . 14th floor observation terrace , neighborhood outdoor cafe / restaurant street 2nd Avenue . we enjoy room full size bed room bathroom- could opt & quot ; shared & quot ; bathroom accomodation cheap price .. decide & quot ; splurge & quot ; . bed firm .. room air conditioner work well . bathroom situate small closet like room slide door . compact arrangement shower stall / commode / sink/ mirror . love sink ; stainless steel clever flip - cap drain . towel basic variety white ( large ) extra toiletry include : soap , shampoo , lotion .. hairdryer . Free Wifi -- -no inroom coffee service ( coffee available purchase via lobby cafe ) check & quot ; community bathroom & quot ; floor .. would comfortable arrangement need . clean . check 14th floor outdoor terrace relax star gaze byob beverage sipping . Pod remind & quot ; modern & quot ; dormitory la IKEA- would go back . 
 Aug 3 2008 	 need . 	 spend one night , would happy spend . clean bright room , first hotel New York window street daylight . lovely shower , tv , storage space , roof terrace . room small well design . quiet street , near plenty restaurant , etc . not hesitate book unless thing floor space . 
 Jul 28 2008 	 2nd Time stay . Love Place ! 	 second time stay . time friend stay 2weeks . reception : hotel lobby funky staff helpful . chillout lounge music play throughout Hotel speaker include share bathroom . there be small desk near entrance door Marco seem organise everything include shuttle bus airport . book advance shuttle bus schedule time . $ 20 person JFK half price go taxi . the room : bunk bed room small , compact job . room contain bunk bed , sink area , towel , hair dryer , TV 's ( one bunk ) , desk+chair safe . we share bathroom locate along corridor 's light indicator room door show we one occupy . bathroom clean always hot water . the air conditioning unit window . heatwave sleep put noise bad . the roof garden : go 14th floor elevator , take right corridor 's door stairwell leave . go fantastic roof garden fake grass bed lounger . last time stay roof garden close 9 pm since put proper railing seem roof open time now . the Cafe : Cafe area back main reception . neat trendy garden area deck lot bamboo planting . smoking need stand outside front entrance smoke . bad cause end chatting sort visitor also smoke . the location : hotel location fantastic . situate fairly residential area Midtown East 2nd & amp ; 3rd Avenues . get Subway take leave outside front door , walk straight end next block be subway Uptown 6 train . downtown 6 across street . there plenty bar eatery around area . real New York style breakfast go Morning Star Cafe 2nd Ave . ( take right outside Hotel right corner ) Beside 's irish Pub call Pig Whistle . open 4 am ! Laundry 's Laundry service across Pig Whistle . 's big one corner use small one beside corner flower shop . bring bag laundry price weight . cost $ 9 week load washing . drop pick later day . open 7 pm washing return wash , dry , fold vacuum pack ! not get iron borrow iron iron board guy front desk Hotel . overall fantastic Hotel reasonably price everything need visitor . 
