room 	 arrive hotel properly greet take room . get room furniture inside stain really beat . bad part room bathroom door . bathroom fit slide door go wall alongside . door lock leave 2 - 3 inch gap walk could see someone toilet . concierge helpful suggestion restraunt nightlife . concierge tell we well staying room since & quot ; nothing chicago 10 pm & quot ; . last night order movie quality movie horrid ( movie pixelating blurry ) call argue person front desk credit us money back movie stop less 5 minute . full service hotel pay 10 buck anything everything . pay 12 dollar bring we extra glass since old one dirty maid switch . redeem thing trip fun friend hotel . 
 Jun 3 2008 	 try Kimpton hotel 	 conference May 22 - 28 . would give 3.5 issue , issue probably specific situation . Good:1 . newly refurbish , modern furniture etc.2 . clean room3 . nice staff4 . cute bar , although little small5 . nonsmoke 6 Starbucks front7 . good lunch restaurant8 . great locationThe bad:1 . even though conference 4 us room , difficult time get guaranteee 2 bed 2 . bed soft many pillow . 3 . much cuteness without practicality - e.g. , shower stall door go floor ceiling , open produce lot noise bedroom ; lot metal bathroom fixture ( soap dish , garbage ) , also make noise touch ; one towel rack bathroom , could not conserve towels3 . housekeeping continually leave we decaf coffee . quickly bring we call , happen reapeatedly.4 . overcharge internet use parking ( not car ) . take long time sort departed.5 . bar close early Memorial Day - tell last call , people ( apparently bartender 's friend ) came serve . Special IssueWe ask fridge microwave medical condition require prepare food . provide fridge , outlet coudl plug control hall - switch door . even though put sign switch , housekeeping keep turn . hotel could not provide microwave tell we Executive Floor still construction ( not ) . husband call come get food take downstairs microwave . bit pain , future know find hotel kitchette . 
 May 17 2008 	 beautiful hotel without couple gripe 	 stay 30th April 2008 . extremely luck night check inform official opening treat explore hotel sip champagne . ballroom end mingle Chicago 's high mighty . good start get even well . room beautiful , fantastic bed , flat screen tv tastefully design much not want fault Blackstone unfortunatley . bring attention 3 time fact bedside lamp work nothing do , big deal see stay 2 night still 3 complaint even acknowlegment would do . think also reconsider window . wake really early sound morning rushhour L train . understand 's downtown Chicago never wear earplug hotel . understand location price etc .... still think breakfast room ridiculously price . cost nearly $ 70 two unspectacular omelette pot coffee , $ 18 coffee alone good Starbucks front hotel . much choice menu either . ironically really enjoy stay blackstone . staff friendy . location perfect anyone visit Chicago right middle action . shop 5 min leave walk front door , tourist trail spot right doorstep . gym state art equipment beautiful view 6th floor . hotel steep history class , somewhere would definitely stay 
 May 3 2008 	 Awsome Hotel 	 stay hear bad review hotel staff . upon arrival nothing top notch care pamper every employee hotel . hotel breathtake perfect location transit anywhere city . room do modern time hotel like go back time ballroom lobby . could go back time think festivity happen long ago . highly recommend hotel . 
 Apr 16 2008 	 Outstanding Hotel - lot hostory wrap brand new look 	 not normally like stay old hotel Blackstone brand new old hotel . lot history wrap brand new look . room completely redone modern . hotel staff friendly attentive . hotel gym large brand new equipment . restuarant first floor also good get not want go far hotel . 
 Apr 15 2008 	 great new hotel central location 	 get back 2 night Blackstone . room excellent spacious - marble floor entry bathroom , flat screen tv , high end furniture . really service make hotel stand . could walk employee without say hi , hold door open , etc . I would highly recommend hotel planning go museum . 10 - 15 minute walk Grant Park Field Museum , Aquarium , Planetarium , get much close term hotel . Art Museum 10 minute walk also direction . if take train city , get Van Buren Station easy walk hotel ( use stop get Science Museum ) . otherwise park $ 46 / night hotel around corner Wabash overnight little $ 15 - not go route walk past cheap garage way back hotel one day . 
 Apr 9 2008 	 wonderful gem rough edge 	 stay brand new / greatly historic blackstone terrific experience . renovation well do , add contemporary furnishing gadget classic structure . issue service aspect appear well work yet , housekeeping servicing room 6 pm clump valet parker ignore we ( end Hilton lot across street , marginally less exhorbitant ) . hotel great future , build spectacular architectural treasure perfect location . 
 Apr 8 2008 	 Blackstone - New Chicago Landmark 	 Blackstone ( . Mich. Ave . @ Balbo next Hilton Chicago ) beautifully rehabbe update Marriott Renaissance property . stay ' 99 independently manage , improvement impressive indeed . friend book 3 separate room we satisfy - especially give senior rate . large , marble bathroom walk - in shower rainfall shower head top - of - the - line amenity . staff person eager - to - please . location hard beat within walking distance Millennium Park , Art Institute , Orchestra Hall , El . be on - site Starbucks Spanish - theme bar restaurant , pricey , feature well - prepare , imaginative food . new , staff really go way make one 's stay pleasurable possible . 
 Apr 1 2008 	 live expectation 	 book hotel high expectation , already see pics web page simply look fabulous . say Blackstone not let . room cozy , feel home . really make good job renovation . stay , everything go smoothly , move another room pipe work . however never feel something wrong room . despite little hitch , evaluation 10 10.i highly recommend hotel afford . 
 Mar 24 2008 	 beautiful Renovation Amazing Hotel 	 go Blackstone follow major renovation must say one nice hotel Chicago . classic finish modern touch . lobby beautiful meeting room ( include famous ballroom ) exquisite . hotel room quite nice - flat screen , cool wallpapering do bathroom . prefer Drake anyday . receive tour famous room hold Republica National Convention ( Smoking Room believe call ) go convert suite still renovation . also get see meeting room downstairs use barbershop Al Capone get hair cut . staff friendly also open amazing tapas restaurant build well . HIGHLY suggest Chicago . 
 Nov 19 2009 	 très confortable très beau propre et bien situé ... mais bruyant 
