Fantastic 	 stay hotel Nov. 24 - 26 room # 8 . fantastic location hotel , room spotless really impressed wife cleanliness washroom . room quite small north american standard sleep . special thank guy front desk , make stay enjoyable . back ... 
 Aug 20 2008 	 Luna Simone - our New Favorite Hotel London ! ! 	 stay several different type hotel London past year ( chain like Novotel , Sofitel , Cumberland among other ) , family decide Luna Simone favorite London hotel . travel often two old teenager picky accommodation ... Luna Simone receive rousing & quot ; thumb & quot ; well . stay 5 night ( second week June 2008 ) quad room ground floor one double bed two twin . room spacious London , clean , & amp ; comfortable . bathroom also surprisingly spacious look new . Luna Simone safe hotel quiet section Belgrave Rd .... buzz staff check give key front door ... convenient . one thing really make difference we , however , accommodate staff ( include wonderful twin owner ) . 3 hour early arrive planned hotel staff keep luggage safe sightseeing place luggage room soon available . two different day feel ill stay room ( thus ask maid service ) staff still make sure fresh towel , soap , etc .. one evening decide bring back delicious Indian & quot ; takeaway & quot ; enjoy room , discover chagrin utensil eat ( silly we ) . husband inquire front desk might know might locate staff member front desk kindly loan we utensil plate , etc . dining room . thing may seem trivial sort personal touch make difference we . reviewer question high rating hotel receive past , complain believe trivial matter , include : lack tv channel ( really London watch tv ? ) enough variety breakfast menu ( find breakfast fresh , plentiful , serve smile ) . hotel amazing value : get spotlessly clean , safe , hotel room , locate conveniently within walk distance Victoria Pimlico Tube station , bus service nearly doorstep , full english breakfast , unbelievably affordable price London hotel . stay posh hotel London none beat Luna Simone cleanliness , value , : owner staff truly care guest hotel . plan another trip UK Fall 2009 absolutely stay Luna Simone . 
 Aug 19 2008 	 hotel # 1 	 Fabulous ! stay 3 night return 1 more . every morning would come breakfast kid twin , wife , kid ... family place ! ' m fan London , ' m BIG fan hotel everything around . ( young man front desk , be read , 10 ! personable kind . smile ? always smile . ) lot , lot small restaurant step away , ( eat Solo Mio - twice ) , plus laundry , super - store , nail hair ; everything within reach . go Luna Simone . will love place ( small , , clean ) tease twin ... love . fun July ! Mary - Margaret Douglas Porrey 
 Aug 19 2008 	 nice place good value money 	 wife recently stay Luna & amp ; Simone Hotel part two day visit London . find hotel clean friendly , perfect need . location excellent , happy stay . family run hotel show staff helpful . would recommend hotel family friend . 
 Aug 15 2008 	 Decent fantastic 	 book Guesthouse ( would accurate description call hotel ) due time rank 10th popular London Tripadvisor . it ok decent value suppose choose describe luxurious 4star 4star rank 300th popular . feel may made wrong decision price difference € 10 per night . it be good location approx 10 minute walk Victoria station . room clean everyday two man run place helpful pleasant . the room basic breakfast also basic . satellite TV 7 maybe 8 channel trouble get stair place definitely you . I would not warn people steer clear place small amount extra money would probably get something much nice . 
 Jul 27 2008 	 good value money London note 1st time traveler UK 	 husband stay 3 day Luna & amp ; Simone think quite good value money London ; good breakfast , good quiet location easily accessible tube bus . first time traveler UK ( Europe matter ) ; please bear mind room size usual amenity ( air conditioning example ) North Americans use usually find . go long way ensure satisfaction stay . would ask room give onto backyard main floor peace . , quite enjoyable . 
 Jul 27 2008 	 Great Location 	 fine stay Luna Simone . staff always available friendly . a couple caveat , room small quite adequate . bed hard side . staff friendly available , room upstairs will need carry , pack light ! , think rate great clean nice propety London . coffee tea room . also , able hook free wireless . ad support , relink every hour ..... mention free ! location outstanding . around corner lot great restaurant . first night , walk along read menus gentleman cross street advise we every restaurant area . two area recommendation , Chimes ( english fare ) Cyprus Mangal ( like greek food ) absolutely excellent . just street bit , find Victoria Station , take tube pretty much place London . several time , walk Westminster , London Eye , Buckingham Palace , Trafalgar Square . bit walk , quite doable . also , across Victoria Station , street hotel , St George 's Tavern , outstanding example english pub specialize vast array sausage , fish chip well find . french fry get award . say , stay away hamburger ! one last thing , ' ve ever interest Shakespeare , get ticket Globe Theatre . see ' Midsummer Night 's Dream ' one experience lifetime . interested , get ticket early sell . end get ticket thru broker , Albemarle . 
 Jul 25 2008 	 fabulous hotel ! ! ! 	 son stay Luna Simone Hotel July , 2008 fabulous time . location perfect , within easy walk distance Buckingham Palace , Eye , Westminster Abby . hotel extremely clean well keep . breakfast delightful customer service outstanding . request room balcony make reservation , pleasantly surprised get upon arrival . the balcony room face street probably little noisy back room , view worth we . bus stop right across street hotel , Victoria Train station short walk away . the room small , well - lay . personal safe , well - design bathroom spotless , comfortable bed . I would highly recommend hotel ! ! 
 Jul 25 2008 	 Safe Friendly 	 stay July family . excellent location sight seeing . room safe , clean comfy English breakfast provide terrific . find Peter , Rita Mark friendly helpful would not hesitate stay . 
 Jul 25 2008 	 great friendly hotel convenient location 	 lovely , family run hotel convenient location near Victoria Station London . people run hotel friendly helpful welcoming reasonably price accommodation . spend 5 night hotel full whole time book 6 month ahead . would hesitation recommend hotel . 
 Jul 24 2008 	 little gem right heart London 	 little gem right heart London great find . ultra friendly staff , clean , tidy , spacious room , wonderful breakfast excellent service include reasonable price . travel 2 friend enjoy experiance Luna & amp ; Simone . would stay return London reservation recommend everyone else . thank wonderful stay UK . 
 Jul 22 2008 	 friendly clean 	 great location Victoria # 24 bus stop directly front door . quick walk station catch tube tour 's central location . excellent food service , breakfast cook we individually every morning . owner take pride serve customer . room clean private bathroom quiet night . great place stay business pleasure . free internet kiosk nice priviledge . 
 Jul 9 2008 	 gem london 	 spend 7 day Luna & amp ; simone , great little hotel , close everything . bus door underground station 10 minute away . plenty pub restuarant area . laundromat arround corner , owner staff excellent . room small expect London , good bed , great shower . 
 Jul 8 2008 	 wonderful clean hotel great staff ! 	 absolutely wonderful little hotel . ' ve London four time visit ' ve always stay bayswater area . read Luna Simone tripadvisor give try . say regret decision . give high recommendation little establishment . staff friendly , everything clean surprisingly nice breakfast . not miss ! 
 Jul 8 2008 	 Charming family - run hotel 	 stay Luna - Simone 2 night . hotel 10 minute walk Victoria Station family - run . price 95 GBP / night breakfast include . , specific . family run hotel nice really keep property . various member family give we helpful advice several occasion really make stay pleasant . stay room double bed , two night stand , decent - sized wardrobe , small tv dresser . bathroom shower . room bathroom clean ( bathroom nearly sparkling ) . room face street , disturb noise . hallway , dining area reception area hotel also well - keep . small room computer terminal internet access available 7:00am-11:00 pm . however , courtesy , expect use 5 - 10 minute time , since guest usually mill checking take quick surf , . one good touch stay complimentary breakfast . dollar continue struggle pound , free breakfast much welcome family four . quite fill ( leave food table time ) good . overall , really nice stay would return . 
 Jul 5 2008 	 BRILLIANT hotel ! ! 	 four day / three night ( 1st July-4th July 2008 ) London look somewhere reasonably price ; fairly central clean comfortable . Luna - Simone hotel come highly rate Tripadvisor take plunge book via hotel website . hotel easy find short 5 minute stroll Pimlico Tube Station . Pimlico , Victoria tube line bit close hotel Victoria Tube Station welcome advantage whole lot less frantic . tip : - Liverpool Street take central line ( West Bound ) Oxford Circus change Victoria line ( South Bound ) Pimlico exit Pimlico station via Rampayne St exit . hotel five minute walk . NB due engineering work end Nov 2008 service Victoria line 2200h - use alternative line ( Circle District ) get Victoria tube station walk hotel 10 min there . we arrive Hotel 10.30 friendly receptionist check we speedily fuss . make short internal phone call give we good news room freshly clean ready we . hand we key ( one room door one Hotel entrance door ) give we clear direction room . occupy room number nine rear building ' Luna ' side . like quiet - well away possibility road noise . impressed general level cleanliness throughout Hotel - especially room . bit picky come hygiene honestly say find nothing cause concern . matter look everything gleam - credit cleaner ; great job . maid came morning make bed ; tidy leave we fresh towel return . shower good - thought like power shower - welcome sticky day spend amongst throng fellow sightseer London height summer heat . shower cubicle gleamingly clean mould soap scum . although room overall small side adequate we let face - long spend room anyway ? Breakfast , include price , serve form 7.00 8.30 . honest , suit we like get early make day try fit many sightseeing activity . breakfast serve sparkle clean basement ' breakfast room . ' service quick food fresh . nothing much trouble . instance , ask scramble egg place fry egg not problem . choice cereal juice start . choice boil egg bacon - egg - bean complete toast tea coffee . find ample keep we go lunch time problem . I need iron pair trouser - reception lend iron board free charge . find staff - mostly family member ( hotel family run ) helpful . glad free internet access check email etc . desktop computer available use free charge - think nice touch . wireless network unsure charge this . our stay Luna - Simone hotel enjoyable return next time London . Steven Milloy Sandra McSkimming 
 Jul 2 2008 	 love LS ! 	 stay LS 4 night , 10 - 14 June . love hotel would stay . staff friendly helpful accommodating . room small , great shower . love # 24 bus right outside door . get Oyster Card get money 's worth , take bus tube everywhere . love neighborhood , 's little tourist track , everything need nearby -- include nice italian restaurant , Sole Mio , street . highly recommend . 
 Jul 2 2008 	 great central London 	 enjoy stay immensely , especially compare experience London . good clean room decent space London . host helpful friendly , able en suite bathroom access less lot place . great value , give London price ! 
 Jun 30 2008 	 good value 	 hotel exactly expect . room clean , shower hot , breakfast decent . location great ; within walking distance Buckingham Palace . overall , hotel great value . 
 Jun 29 2008 	 nice price right 	 stay last part european tour June 13 - 19th . travel kid age 22 & amp ; 24 pleased room # 1 ( triple ) room big we bed quite comfortable . another bathroom right outside room almost like 2 bathroom ! breakfast good staff accommodate . transportation convenient bus tube . get oyster card save $ $ $ . problem internet access downstairs . time put laptop outside window ledge connect quickly ! hilarious , ( see picture ) free though . would stay . 
 Jun 23 2008 	 stop search ... place ! 	 picky , L & amp ; satisfied . spend hour hour research every place London finally decide stay . be glad . nice family own operate hotel . kind helpful . Peter twin brother serve breakfast son , Mark , work front desk . stay room # 2 first floor . double door give privacy sound barrier . recommend non smoking room . 
 Jun 19 2008 	 nice cosy hotel 	 Luna & amp ; Simone Hotel little , nice , clean , cosy hotel elegant quiet street Belgravia ; Victoria Station Pimlico tube station 10 minute walking distance . , front hotel 's bus stop : bus 24 go 24h/24 Victoria , Westminster , Trafalgar , Piccadilly . the english breakfast maybe hudge completely satisfiyng ; 's internet point . accord wife , quality / price ratio hotel good . next time will go London will choose Luna & amp ; Simone . 
 Jun 11 2008 	 excellent value London 	 hotel certainly well value accommodation London . change plan arrive require 4 night willing provide we even though mean switch around reservation . stay terrific , room quite spacious London , bathroom small entirely adequate need . cleanliness hotel superior staff well encounter . breakfast everything could ask want something different staff please tp offer . first time London Luna & amp ; Simone hotel make much special . convenient bus line , train station subway . there also several excellent restaurant nearby St George Pub 5 min away super meal wind long day sightseeing . brother willing make stay comfortable possible love every single day sad leave . computer access prove invaluable we . would certainly return would also hesitate recommend friend . LorraineVancouver , Canada 
 Jun 9 2008 	 Decent hotel nice stay 	 London 4 day trip , see city attraction . read review hotel decide good choice trip . location ok , 10 minute walk Victoria station go everywhere . also , 10 minute nearest subway . neighborhood ok , noisy quiet evening . come back later night problem . shop close hotel even nice restaurant . room little clean , tv . Bathroom shower ok , also clean . complain . breakfast enough , choice tasty . staff helpfull owner nice people . would stay next trip especially go tourist spend night hotel room . 
 Jun 7 2008 	 terrific place 	 stay hotel April 5 night . think writting review , although want repeat people already say , e. clean , excellent location , friendly staff , etc . after read negative review , could keep . hotel great quality type place . expect 5 star quality , go 5 star hotel , pay 5 star price . hotel consider Bed Breakfast 5 star guest 's service . know room big , pay £ 300 - 500 per night , would pay large room large hotel . look luxury , look somewhere else , look home away home , Luna Simone place stay . 
 Jun 5 2008 	 american dollar stretcher clean convenient ! 	 agonize picking place stay London like every big city , London expensive ! add bad time use american dollar get downright depressing . place clean , nice perfect operating base . spend $ 250 dollar room 4 bed . bring 20 yr old daughter along . this hotel insider 's secret : 24 bus line use every day . pick drop front hotel ! add accomodate dual host breakfast - not drink coffee tea - hot chocolate , not eat sunnyside egg - scramble egg . breakfast good way start day include ! security good internet nook use free ! nice soap shampoo clean , beautiful bathroom comfortable bed . grocery store close even restaurant . requirement meet nice place sleep start day day catch show night . go back reccommende friend - not tell everybody ! 
 Jun 4 2008 	 good budget hotel 	 recently stay Luna Simone 4 night . property pretty much advertised . small , basic hotel . room clean , although show little wear . Scuffs wall , stain desk chair . bathroom comfortable size clean . linen spotless , basic quality . breakfast basic , well . fried egg , toast tea become little boring day . high spot Luna Simone . staff friendly helpful . price definitely bargain rate London . nice neighborhood . access transportation fantastic . look type luxury , disappointed . , however , look great price mind basic clean accommodation , Luna Simone . 
 May 28 2008 	 great little hotel 	 really enjoy stay Luna Simone ! staff friendly , room small cute , cozy clean perfect amount space two we , breakfast delicious awesome start day : ) hotel within walking distance everything not want walk bus stop right outside door Victoria tube station bit walk road ! would definitely go back highly recommend anyone travel London ! 
 may 26 2008 	 Excellent Value Welcoming 	 Brilliant stay hotel . book last minute direct hotel . , sister mum go stay one night London girly get away . at £ 110 triple room include full english breakfast , excellent value . locate near Victoria Station . good bus travel bit trek Station back . room big french door patio area really nice . shampoo etc nice touch shower room . everything clean fresh . breakfast lovely although start early 7 am think ( room right next dining room ) full , bit noisy . not really go London lie ! owner staff helpful friendly . would definitely stay . 
 may 25 2008 	 Perfect little place 	 stay nice little hotel four night early May . room clean nice . nothing fancy , perfect need . room ( # 9 ) one small bathroom ( owner say hope make big soon ) . in - room tea kettle nice touch . breakfast also delicious perfect way start day . book directly website , work quite nicely . lot restaurant close street nice quiet . feel safe . really short walk Pimlico Victoria Stations . overall , pleasant stay would recommend look small , quiet . lovely little hotel ! 
 May 24 2008 	 Great Value ! Great Location ! 	 first experience use budget hotel London pleasantly surprise . exchange rate US dollar , could afford stay 4 star hotel stay . compare high - price hotel hotel great bargain ! Luna Simone great semi - residential area great shop restaurant close . highly recommend Mekong , Vietnamese / Thai restaurant around corner Denbigh St . Pimlico tube 5 - minute walk away # 24 bus stop right across street . stay room # 1 basement level ( breakfast room ) quiet clean . plenty room 3 people bathroom good size . keep clean . free breakfast great perk give high cost dining London ! , would definitely stay . luxury hotel look disappoint $ 210 night 3 people GREAT bargain ! 
 may 18 2008 	 over - rate 	 husband return 2 week vacation Europe , last two night London Luna & amp ; Simone . we travel extensively not think hotel horrible , can not believe 's top 10 hotel London . yes , hotel Europe small . bathroom fine almost big double room . room tiny old furniture . appear clean , husband cover bite notice flight home . bed bug ? be also lift prepare that . the owner staff friendly location convenient . 2 week Europe weak dollar , try save money . get pay . would not stay . 
 May 18 2008 	 deserve high rating 	 breakfast dining room locate low level terrace building . the style contemporary minimalist , everything clean , neat place . fellow traveller enjoy bacon egg planning day 's adventure . the friendly owner take breakfast order walk back one two entrance kitchen . chance blink come entrance breakfast order table behind . quick service . get energy ? soon ask question , return go back ktichen serve another meal . extraordinary . suddenly side order look thank , notice corner eye also walk stair right . many ale really night ? yes two - twin - although one ten minute old insist not bear time . make interesting time breakfast , trying tell apart . we enjoy three morning , time breakfast consistently good ( although day - criticism ) .The hotel well maintain although room small , bathroom keep clean refreshed day . let us face - London sightseeing take show etc rather room long need sleep get ready . the hotel bus stop directly outside front door another directly across road head opposite direction . Victoria Station 10 15 minute walk away . find ideal base see sight London , 5th trip capital . one block around corner cluster various small shop get food basic well laundromat need . Luna Simone luxury hotel , offer excellent value - clean , equipped essential , friendly efficient staff , good location , base experience read wonderful consistency provide . next trip London , would automatically make choice accommodation . plus , else play Twin Guessing Game ? 
 may 13 2008 	 great place stay London 	 budget traveler stay Luna & amp ; Simone Hotel 7 - day London . pick hotel high rank relatively low price . stay single - room share bathroom first floor . room small comfy ( tv , safe , kettle , tea , light switch right beside bed ) . Bathroom clean even well share another person . breakfast good keep energized rest day . since hotel close Victoria station bus stop right front entrance , handy get attraction site area London . would definitely recommend hotel friend . 
 May 12 2008 	 great choice central safe clean friendly 	 great little hotel . double twin balcony bathroom stay great value location anything £ 80 . also stay small single share bathroom £ 50 . actually fine also , bathroom right outside door share one single room . 's basic little hotel can not beat cleanliness friendliness . 's clearly family business explain take care clean hotel deal customer . excellent safe central area stay within easy reach London site nice breakfast . stay similarly price hotel London think one deservese 5 * comparison . 
 May 10 2008 	 ` definitely back ! ! ! ! 	 spend week search internet hotel London , settle Luna Simone Belgrave Road . look place good link city centre , breakfast include value money ( city hotel way price ! ) . find Luna Simone thank Tripadvisor website happy choice . we travel Stansted airport Terravision bus Victoria station hotel short walk Eccleston Bridge Belgrave Road . our room ground floor nearest tot reception desk thankfully not haul bag stair ! never hear noise form street front either . room small side immaculately clean comfortable bed ' ve sleep holiday . much need fan bed ( weather roast ! ) good sized safe wardrobe . breakfast great fill we day . free internet access bonus too . number 24 bus stop outside hotel go direction westminister , Trafalgar Square beyond handy mainly use Tube Pimlico station get day ticket day . Belgrave seem quiet area , lot lovely local bar restaurant plenty nearby shop bottled water etc . overall pleasant experience Luna Simone . location value top notch . like travel abroad 5 time past 11 month feel alot compare hotel to . I would definitely recommend back end year . 
 may 8 2008 	 always good stay Luna 	 second stay Luna & amp ; simone disappoint . the bedroom bathroom always spotless . crisp , clean linen bed , fresh towel everyday sparkle shower ( water pressure ! ! find everywhere UK ) top floor give we lot exercise , not mind . quiet bed , comfortably firm . breakfast always good Luna & amp ; Simone , staff / owner friendly always time customer . the location perfect walking , bus tubing around London . this choice London ! 
 May 5 2008 	 like friend home 	 stay Luna & amp ; Simone 3 night subscribe everything say review . it be true room small , enough need ( not go London stay hotel room , ... ) , everything clean , be important thing . room warm , tv , tea coffee , hair dryer , free safe box 's possible borough adaptor plug electricity . English Breakfast wonderful , tasty serve sympathy 7:00h 8:30h , good wake London activity . the neighbourhood seem peaceful easy reach Pimlico tube station , even night . I recommend 
 May 3 2008 	 nice top 10 hotel London ? ? ? ! 	 stay hotel stop London . experience various hotel London live brief time know expect come room size , etc . maybe hope high review . 90 pound night , get clean tiny room clean tiny bathroom . ask quiet room put stair 1st night . sound like herd elephant stomp constantly midnight start 6 . nevertheless , sleep little . complain nicely put top floor . move , experience much well . room even small , least quiet . pro side , breakfast excellent fast . location also great Pimlico tube stop . hotel also offer free internet . overall , good experience hotel definitely do not need top ten . do not know stay . 
 Apr 20 2008 	 clean hotel anywhere ! 	 first us - book large chain recognisable name . however , far disappointed . ok room not large breakfast not plush buffet price excellent . owner friendly helpful . good central location cut cost travel whilst London . would definitely recommend hotel . 
 Apr 13 2008 	 great stay ! 	 1 night terrible , non service minded place , check move Luna & amp ; Simone Hotel . come . bit small ( , hey be London ) clean room great bathroom ( tile ) . staff super friendly even store kimchi us fridge , even though know be really smelly ( ' m sure put air tight container ) . People reception always smile helpful . breakfast great possible tho choose full english breakfast continental . place centrally locate .... close Victoria station . 
 Apr 10 2008 	 gem hotel 	 excellent value pleasure business stay London . already stay London equally price hotel Notting Hill -- filthy delapidate -- prepare bad . much surprise , HLS spotless charming property convenient area , well serve taxi bus . my room ( . 8 ) light airy , large balcony . business partner , elderly man , stay . 17 , thought would nicer upper floor . though adequate clean , , comparison , less appealing . great shower , excellent breakfast helpful staff . particular , Peter , one two owner ( twin brother , way ) , always attentive seem interested us people , unusual occurence . one small flaw : elevator , must take luggage upstairs . , superb place stay money service include . 
 Apr 8 2008 	 Spotless well maintain 	 first stay Luna Simone . use TripAdvisor review select , later find friend stay 30 year . room small , well appoint . share spotless bath , impressed well maintain everything . almost look like new construction . the staff friendly helpful . make reservation stressful , request low floor room honor . , great value money . 
 Apr 6 2008 	 Cute hotel 	 hotel locate 3 minute walk Pimlico Underground stop . make mistake get Victoria stop first time walk 10 minute rain hotel . hotel recently update charming . room clean , update , small . elevator haul luggage 6 flight stair , time travel day , soak start laugh situation . I guess wall floor thin husband awaken night someone snore . the breakfast good staff friendly . free computer internet guest . 
 Apr 4 2008 		 second stay Luna & amp ; Simone still peaceful , clean haven . three tube stop Oxford Circus emerge relatively calm , village - like atmosphere Pimlico 's local restaurant shop . on cold , rainy evening , go around corner eat Grumbles , sixty throw - back excellent food heartily recommend . I seriously doubt , money , well friendly hotel central London . ok , room not enormous clean comfortable everything need . my complaint nasty powdered milk provide tea / coffee 
 Apr 3 2008 	 Great Little Hotel 	 wife stay hotel rede favourable review TA . disapointe . room smallish adequate need . whole Hotel spotless good state repair decoration . staff friendly food good even breakfast choice bit limited . location Hotel excellent eat one night Goya restaurant hundred metre form Hotel . one negative comment lift problem stair , make sure book ground floor room . overall place Gem reasonably price . 
 Mar 31 2008 	 Handy friendly 	 stay visit various exhibition London . we struggle find somewhere convenient reasonable price , find hotel Tripadvisor . report accurate . clean friendly hotel Victoria . room bite small clean , breakfast fine . twin , owner hotel , chat we breakfast see kid go school . much nice chain hotel . one tip : take bus ( 24 ) get . stop outside hotel pass many London 's top attraction en route . 
 Mar 28 2008 	 good choice 	 stay 3 night February half - term . 2nd stay hotel disappoint . family friendly helpful . breakfast good , though 3rd day not want bacon , egg bean . ask could fruit juice , cornflake yogurt , plus toast . happy comply . ( Yogurt list menu , ask ) .Our ( minor ) gripe top floor ( 80 stair ) lift . fortunately , two fit 60year old end stay return heavy sightseeing foot , laugh thought go ' mountaineer ' could rest . back hotel find quiet . daughter book stay may quite look forward . excellent reputation , lovely area London , though understand hotel Belgrave Road recommend ! problem Luna & amp ; Simone . 
 Mar 28 2008 	 love ! 	 research trip advisor prior trip London Paris . Booked European Destinations request Luna & amp ; Simone due review . post dissapointed . good location , nice pub restaurant , grocery store shopping mall area near walk Victoria Station catch everything ! underground , Double Decker bus train . room clean plenty room 2 we twin bed . breakfast every morning perfect get going serve clean , clean dining room area . family run , friendly , nice clean hotel great . own brother family involve establishment . return London will not bother look elsewhere call Luna & amp ; Simone book . 
 Mar 27 2008 	 great value near Victoria Station 	 return trip England spend one night Luna & amp ; Simone . stay double room husband second floor face front street . reception kind helpful get we check . room size actually quite nice european standard . clean room bathroom comfortable double bed balcony overlook Belgrave Road . bother street noise . 80 pound night really great choice we . Breakfast include however make due part cider sample great little restaurant / pub around corner call Chimes . place huge array cider , ' ve wear real ale . also computer public use helpful last minute planning . hotel situate Victoria Station Pimlico station , recommend get around via Pimlico tube since Victoria rather hectic crowd . sincerely hope return wonderful little hotel . 
 Mar 23 2008 	 highly recommend 	 husband stay Luna Simone 7 night last week . can not say enough good thing hotel . clean , bright well - price . own manage two friendly brother family . 's location excellent . number 24 bus stop right outside door . Victoria Station 10 - 15 minute walk . Victoria Palace Apollo Victoria Theatres close . ( saw & quot ; Wicked & quot ; - great show ! ) good restaurant cafe handy . enjoy breakfast spotless well - light breakfast room . free internet access welcome bonus . take National Express bus non - stop to / from Heathrow Victoria Coach Station . 15 minute walk Coach Station . ( cab hotel Coach Station cost 4 pound . ) coach fare Heathrow 4 pound per person - much cheap Heathrow Express take less hour - tube deal luggage . would stay heartbeat ! 
 Mar 22 2008 	 Wish could give five star 	 stay Luna & amp ; Simone Hotel March 13 - March 18 , 2008 ! find lovely hotel read TripAdvisor review ' m glad . wonderful find ! family own hotel bend backwards please . pimlico station close also & quot ; Young England Kindergarten & quot ; Saint Saviors Church Princess Diana work date Prince Charles ... within short walk . ; centrally locate ; cafe 's , pub , restaurant ... anything need close . breakfast good ... toast hot great selection jam / jelly / marmalade . food really good ; love bean , bacon egg breakfast . room small London . room small functional extremely clean . shower work well plenty hot water . great oscillate fan anchor bed like . tea / coffee fixing room coffee good ! can not say enough good thing hotel . come London later year , book stay Luna - Simone . thank goodness TripAdvisor let we wonderful inexpensive hotel . 
 Mar 22 2008 	 lovely : ) 	 great location , friendly staff , clean comfortable room . book base recommendation . stay business trip request quiet room - surely enough , room back hotel could not hear thing . room small be use Travel Lodges etc reasonable size travel budget usually . breakfast well expect service quick . really lovely little hotel , business pleasure . 
 Mar 19 2008 	 Outstanding Cleanliness Value Location 	 want stay central location London Luna & amp ; Simone one hotel fall within search area . check review Trip Advisor decide book . certainly dissapointe . location ideal . short walk transit many important sight seeing location . absolutely one clean hotel ' ve ever stay ! breakfast good serve Management give chance talk owner . management staff outstanding friendly . assist site see plan additional charge fact probably save money . get London Bus Tour ticket hotel less Vendor rate . already think next trip Uk Europe Luna & amp ; Simone London hotel stay ! go London , reccomend luna & amp ; Simone . 
 Mar 17 2008 	 perfectly happy 	 semi - budget facility , offer full service . location great two Tube station 10 minute away , well Thames ferry 12 minute away . even well , 24 bus stop right door . see much city top bus . one foe Westminster , Trafalgar British Museum . very clean , nicely appoint , great staff . room bit small , bathroom good sized ... age welcome . limited television station availability . , , come London for . breakfast adequate , never varied : egg , bean , bacon , toast juice . oh , could corn flake instead egg bacon , could slice cold ham one cheese . settle boil egg , toast , bacon juice ... make bacon toast sandwich lunch . give price hotel London , would recommend everyone . oh , internet free . ( not think wireless . ) 
 Mar 6 2008 	 Best Hot Chocolate London ! 	 family four fortunate stay Luna Simone past Fall . fully confirm wonderful review post date . can not imagine well location - many good restaurant shop nearby , easy access public transport , safe clean neighborhood . staff owner wonderful go way make stay enjoyable ' ve London . son Liam , bit connoisseur , believe Peter make good hot chocolate planet . 
 Mar 3 2008 	 great familier ! 	 stay 3 day wife hotel ( 13 - 14 - 15- February 2008 . ) write good opinion ! everything do , familiar staff ( owner ) , clean room , delicious full breakfast , etc . good location possibility public transport . double door room noise , like ! twin owner ( sorry not know name ) very - very kind helpful . big surprise we , like film , not know be twin . first morning breakfast bring food separetely beleive man different cloth change frequently . suddenly come together laugh lot ! offer hotel everyone , excellent choice ! Mr . Mrs. VeresMiskolc , Hungarye - mail : laszlovere @ chello.hu 
 Feb 26 2008 	 top 10 good Reason ! 	 teenage daughter return wonderful trip London Paris involve four night stay wonderful top 10 hotel London . review follow one absolutely spot . select hotel Trip Advisor review pleased result . the location hotel perfect accommodate need holiday business . accessibility Tube ( Victoria 5 minute Pimlico 3 minute ) well fact . 24 bus line ( 24 hour service ) literally doorstep Luna & amp ; simone within 2 stop drop entrance door Victoria Rail Station . ease navigate one busy confusing city planet incredible hotel . the room , state review , clean , comfortable welcoming . need internet connectivity , certain helpfulness management hotel , would problem gain access holiday actually mean laptop , , treat . rate pay , happy accommodation . be London half - term holiday break mean vacancy anywhere London happy hotel available . actually return London transit Paris back US able book lovely jewel force we book neighboring hotel major disappointment . Believe say , comparative study Luna & amp ; Simone superb . the full english Breakfast offer delightful perfect way start day . management / ownership team greet we morning make stay memorable . always smile kind comment well many recommondation go . need cell phone SIM chip eager assist recommondation wonderful little shop buy need , right around corner hotel . keep mind travel London , spend time safe , clean , friendly , warm welcoming place return night treat even large , chain hotel could never achieve . the Luna & amp ; Simone Top 10 London hotel good reason . twin hotel perfect homebase London traveler disappoint . cheer ! ! ! 
 Feb 22 2008 	 return visit even well 	 find gem hotel year ago , impressed . sometimes go back let , . high standard . clean , good value money , 24 bus well sight seeing tour . walk sight , along Thames St james park . the Owners friendly hand approach run hotel , show . street face room problem street noise . problem Radiator soon mention fan heater put room.great attention detail . bathroom super clean hot hot water , good bed . long day hot shower good bed reasonable price . will back next time London 
 Feb 19 2008 	 Great Little Hotel 	 wife stay Luna & amp ; Simone 3 night February 2008 thought value excellent . room smallish clean 's plenty hot water . include breakfast superior expect . lot luggage please note lift . execellent location relatively quiet area close enought walk Victoria Station . enjoy stay . can not wait return ! 
 Feb 19 2008 	 expect ! 	 rave review Trip Advisor , husband decide try Luna & amp ; simone trip London . truly GREAT value London . ( previously stay Darlington , price greatly increase . ) instead pay huge sum $ $ Heathrow Express , take National Express bus Victoria Coach station 8 pound per person ( round trip ) . 50 minute ride Heathrow , without traffic . comfortable bus bathroom well . Victoria Coach station , 10 - 15 minute walk Luna & amp ; Simone . 's easy hotel find map , make problem . the room sunny yellow , definitely could use coat paint ( lot black wall scratch luggage move around ) . stay Room 11 face main road , Belgrave . window well insulate street noise quite clear , well wind whistle window pane . 's something pair earplug can not fix . radiator pump lot heat , manually adjust . bed quite hard , multiple day sightseeing , welcome place relax . the bathroom small , clean fantastic water pressure shower hotel - husband impressed . previous reviewer suggest , bring toiletry . provide couple small bar soap two plastic pouch shampoo . ( not forget washcloth ! ) fresh towel provide daily . there plenty outlet room plug various electronic , bring adaptor . Ladies - hairdryer tough maneuver hold switch entire time dry . well , thick hair like , dryer overheat quite frequently . bring can . breakfast serve bright , cheery breakfast room quite good . choice OJ corn flake ... english breakfast 2 boil egg toast , coffee tea . coffee tasty well . for money , great bargain London ... would definitely recommend folk not want spend lot time hotel room , want comfortable , clean affordable place stay . 
