Nov 	 wow 	 awesome hotel ' ve ever see tall building ' ve ever ( 99 floor ! ) 
 Jan 4 2006 	 Shanghai landmark worth stay 	 absolute must see destination Shanghai - even stay hotel . even high price room Grand Hyatt put consider hotel Shanghai . day two least . stay Executive Floor ( Grand Club ) - topmost floor check facility . think view service differ much decide stay couple floor standard room . room absolutely great view even well . room high clowd prevent view city time . however even walk next floor - to - ceiling window make one we afraid high place shiver . Centre Shanghai especially Pudong side city resemble Gotham City ( Batman , movie ) Jin Mao Tower hotel locate star reminder . small detail room great : heat mirrors fog take shower , light switch automatically walk room etc etc . really pay attention even small detail hotel . location : Grand Hyatt locate Pudong side city somewhat awkward location . Jin Mao Tower surround side broad motorway cross next impossible foot . underground station 500 metre hotel get problem cross street take age - dangerous . rely taxi take account get otherside Pearl River may take even 1 - 2 hour peak time . despite seemingly short distance . I prefer outdoor pool hotel provide . however indoor pool Grand Hyatt excerise room absolutely superb . remember even guest hotel constantly overlook . elevator , corridor public area constantly monitor action apper suspicious overlooker immediately get voice responce . try get opmost floor restaurant open time immediately press elevator button get voice responce & quot ; overlooker & quot ; : & quot ; Sir .. may help ... restaurant open evening ... & quot ; will see camera cenre Shanghai take good look action . shopingwise , well place Shanghai . leave lot room luggage thing end buy ! 
 Dec 3 2005 	 must visit destination 	 location : ' convenient point Pudong : short stroll Superbrand Mall Oriental Pearl tv tower . St Regis way shangri - La close river ( postcard view Bund ) . location paramount , Portman Ritz next Plaza 66 luxury shopping JW Marriott centre Nan Jing Road ( Ritz Westin ) .décor / design : overwhelm Peninsula Hong Kong Ritz Carltons rate highly décor , Grand Hyatt would slightly disappoint . modern architect , would prefer modern design respect history / local culture , feel essence particular country still right track time . Grand Hyatt embody concept . minimalist Park Hyatt Tokyo , culturally - infuse old Mandarin Oriental Hong Kong ( refurb ) . Hyatt incorporate golden day Shanghai ' art deco style modern Chinese ; result excellent . even build ( Jin Mao Tower ) top US firm som truly breathtaking , one time favorite building ! . even impress old - fashioned mother ! Lobby / public space : although large ( 500 plus room ) , Grand Hyatt surprisingly small inside , almost feel ' boutique ' . change 2 lift bank ground lobby ; room . lobby double story lounge area breathtake bund view , overcrowded afternoon tourist take photo tour group flock lobby . the much publicize 30 storey atrium small reality , still awe - inspiring . lobby lounge base view unless good conversation , stare atrium could boring dizzying while . room : Opt Grand Bund View room extra ! view truly impressive view directly oriental tv tower , aerial view Bund Shanghai ' skyline . careful choosing room , build ' design tapering top , room small ; room corner side large ( still standard room ) middle . standard room 40m2 , gold passport room Level 71 much much large sit corner . see brochure exactly get . bed headboard adorn Ming dynasty poet , quite special . window floor ceiling lot horizontal frame might obstruct looking view . sofa , relax chair ottoman . brochure say wireless keyboard connect TV , reality service cancel , guess mainland client must take home . Bathroom suppose big , layout make feel small . particularly dislike flimsy glass door wc , mean work acoustic ( remember hot shanghai food ) ? ? . amenity nicely pack souvenir . noise : room share wall lift shaft , could hardly hear anything ! . fact noise encounter constant yell mainland customer next door , annoying ! . hope ' talk swear feel like battle ground . food : ' try buffet , Cloud nine fantastic view . food court ( Hyatt ) basement avoid . facility : swimming pool view Shanghai , fantastic . service : polite , efficient personal . whisk directly room one receptionist introduce room . one visit business centre , one lady understand brochure / catalogue simply give up . overall , must see destination . layout sky location similar JW Marriott Hyatt reign supreme . budget issue , opt Grand Deluxe Bund view 180 degree view Shanghai . 
 Nov 15 2005 	 Spectacular Grande Hyatt 	 one beautiful hotel ' ve ever stay , service match . because height ( hotel occupy floor 54 85 ) view room , public room , restaurant bar , simply breathtake . food breakfast , two three restaurant , good city . spa also terrific -- two oriental massage , facial manicure . Decor ( art deco ) stylish inviting . unlike many 5 star hotel ( visit -- Ritz , JC Mandarin , Shangri - La , cavernous lobby ) , Hyatt feel personal warm . concierge desk competent charming . location negative bill . Shanghai enormous , spread -- really walk city like many Europe . go anywhere , must take taxi , cheap . worth extra minute taxi stay first class hotel . 
 Nov 10 2005 	 make sure know get ! 	 experience start poorly . personally write Hotel Shanghai suggest reservation , inquire long - term stay . 21day stay exact . quote expensive rate expensive could find Hyatt . almost crooked ! eventually , change travel plan stay 6 night . end stay 3 night ! food italian restaurant fair . service 2 star level . really business hotel proficient moving & quot ; & quot ; . really interest qaulity stay . business traveler much time spend complain accomadation company book pay . service poor Front Desk Atrium Bar , sit 10 minute never greet / serve . might worth stay 2 nightsin & quot ; Grand Deluxe Bund View Room & quot ; . free breakfast Atrium Bar free Gold Passport . sky pool gym see . understand run business people expect 2 star service . get past enjoy 2 nights.5 star service well location find JW Marriot . 
 Oct 30 2005 	 Spectalular experience 	 Spectacular experience , else say hotel great city . ashtonishing view architecture make hotel lifetime experience . go Shanghai life , place stay . overall service western food Cafe good . the drawback locate Pudong , new Shanghai , activity side river / city taxi need everytime go . anyhow not far expensive worth it . also definitely , try get room view Bund river view . must . 
 Oct 15 2005 	 Deluxe bath view 	 many reviewer mention deluxe bathroom must add word . make sure get deluxe room Bund view , order botle champagne strawberry enjoy magnificent view bathtub . 
 Sep 30 2005 	 Unrivalled view Hyatt Shanghai 	 without doubt hotel one memorable stay recently . standard room cut rest service impeccible . room command good view Shanghai , extremely spacious tastefully decorate well good value money . wall windows bathroom mean every time lie back bath spectacular view city shimmer below . the spa excellent wide variety treatment pool , floor 57 , high world . mean average hotel hope stay again . there numerous restaurant hotel range japanese sushi , traditional Shangainese even Italian . 's would expect Hyatt surprise read disappoite review . I can not really think point can not buy cigar Grand Cafe 3 am morning party night away Bund ! 29 - year - old female non smoker , not really want one much anyway ! 
 Sep 26 2005 	 take away view 's distinctly average 	 starting review 's worth put post perspective Iappreciate 's odd comment site . first ' m someone spend every spare penny ( ) travel , privilege stay really excellent hotel Mandarin Oriental Kuala Lumpur Chedi Muscat . in fact stay Hyatt Shanghai make realise good ! though ' m far red faced western tourist bellow & quot ; native & quot ; serve beer cold enough , mean expectation set fairly highly . secondly , almost week perhaps able road test hotel breeze corporate expense account . however , take away view Hyatt , Shanghai guide book rightly rave , experience signature five star hotel top field . instead , find distinctly average . nothing major spoil break , significant chink nonetheless . take good good various area hotel : * public area hotel room deck dull , business colour , appropriate Hyatt stuff full suit . place seem well kitte variety business meeting , company business staying night two probably fine . , five star hotel much grand ( case Westin ) stylish entrance area . * staff : lot mill dark suit ear piece . however , case really mean . plenty people around whisk plate away dinner wife finish eat , one two occasion distinct lack initiative show simple request . * grand club : Hyatt , like lot 5 star hotel , make big deal club floor . staff club lounge generally helpful hotel , breakfast serve upstairs unfortunately pale imitation get ( , true , pay ) downstair main restaurant . also surprised piece paper give check fail communicate one useful perk stay club floor - free internet access business centre ( usually around USD3 15 minute ) .Do not think stay high floor give well view though . floor 80 upwards almost high . view well reception floor 54 . * health club : Hyatt small , fairly well equip gym . also separate man 's woman 's jacuzzi sauna areas pool . use pool , make wear swimming cap . 's rule 's fine ... expect everyone else same . bizzarely though second day take swim spot chinese man two kid pool . kid wear cap , man not . result , figure not either . as mention , Hyatt plenty people lurk nothing particular , pool exception . promptly ask put cap . point man , tell hair long . true , hair generally consider pretty short ! two occasion , chinese man not bother wear cap not question . one could consider ' buzz cut . ' impression leave , guy kind big wig ask swimming gear would major loss face local staff . * spa : stone massage ' Oasis Spa ' near gym wife chinese foot massage . five star hotel Shanghai Westin Marriott brand name spa attach ( case Westin , Banyan Tree ) .The impression get Hyatt add thought practitioner like enthusiastic amateur , therapist . guy give stone massage seem like masseur ( not speak English could not ask ) try pleasant , way fumble around rock not inspire confidence . spa room also right reception door open , could clearly hear people clear phlegm throat ( quite common sound China ) ! * location : great . action happen side river . road tunnel , close heavily congest 10 minute trip become 45 minute one . overhear guy say build new bar entertainment area nearby though . * view : yes , view great building architectural landmark . thing , nothing stop come coffee Hyatt . actually would recommend . Shanghai really Sci - Fi city . anywhere high seem view . in summary , Hyatt short trip business meeting nearby , hotel probably place . holiday , recommend Westin try Banyan Tree Spa . not see room , look lot nice inside less staff milling manage lot friendly helpful ! 
 Sep 2 2005 	 sky limit 	 course , post review ' ve read previous comment . well , be really hard believe people report bad experience Hotel . travel life long , ' ve stay good Hotels world , trust , be quite impossible find something like Shanghai 's Grand Hyatt ( ' m particulary love Hyatt ) . diplomatic Suite one Club floor room incredible , 79th floor , glass wall view city like one airplane . room , like whole hotel , , elegant confortable . service accurate kind . restaurant bit smokey busy , food good . lobby 40 - floor high really impressive . one word 's once - in - a - life experience can not miss ! spot employee speak poor english . P.S . : find two taxi line one reserve hotel guest priority . 
 Aug 31 2005 	 wonderful experience 	 read bad good review hotel go Shanghai , choose stay Hyatt anyways . lovely experience . stay 81st floor , Bund view , club room , make experience wonderful expensive time . everyone kind , club breakfast happy hour great . pool fitness area lovely view , restaurant , Canton , fabulous dimsum . would stay hotel again . one thing though , internet not free room ( charge laptop usd $ 15 day ) , notebook , use club room free . also , try mooncake ! make great present bring someone . die ! 
 Aug 26 2005 	 fly high Shanghai 	 stay 5 night Grand Hyatt August 2005 . hotel situate floor 54 88 ' Oriental Empire State Building ' , Jin Mao Tower . doubt build impressive , even area , Pudong , rather soulless - rather like rather rubbish 1960 's sci - fi film 's ' city future' . our room Grand King consist bedroom king bed , tv cabinet desk , lovely bathroom large bath , walk shower body jet , modern sink heat mirror separate toilet . storage area rather limit one wardrobe drawer . main attraction room floor ceiling window , 80th floor , give superb view Bund ( need request give Pudong city view exciting ) . spend many evening wow amazing vision Shanghai night light much neon possible ( amusingly room sign say ' help Shanghai save electricity ' ) . room clean accessory bad choice , e.g . lot stainless steel bathroom suffer water mark soon use . tv good number channel air conditioning good , warm night ( never warm ! ) staff hotel courteous little stuffy time . problem credit card ( security check even though phone tell China , tut ) feel far hassle we . the club provide good buffet breakfast ( continental ) , afternoon tea excellent evening buffet . hot cold drink available throughout day find invaluable . hotel contain fine range restaurant bar necessary leave hotel . aware necessary book . room service delicious make good use . always remember 15 % service charge apply , even service lacking , still leave space tip ! main disappointment hotel also main delight . love view room situation however , tourist , really good place come visit Shanghai . Taxis easy get traffic busy ; Bund tourist tunnel lot fun , expensive option ; never manage find ferry port ... 
 Aug 21 2005 	 Breathtaking Hotel 	 Grand Hyatt Shanghai breathtaking Jin Mao Tower wonderful locate . think one great hotel experience world . room corner building , three glaze wall ( even bathroom ! ) , excellent . food two chinese restaurant japanese restaurant outstanding . level 87 charming bar level 53 smart Piano Bar live entertainment , perfect ! service absolutely dreadful ! first day want cancel Club privilege , noises neighborroom not manage stop ( til ask four time ! ) . another day want nice diner Canton restaurant . ask afternoon specific table front window , overview city night . two confirmation concierge ( adumbration ) , come eight o'clock restaurant give we table , window , restaurant full ! ! ! staff even duty manager accommodate little regard . room clean ! reason rate hotel four point , not well hotel city ! look ( Four Seasons , St Regis , Marriot , Ritz Carlton ) , not nice Hyatt . in spite everything beautiful place stay ! 
 Aug 16 2005 	 great hotel great city 	 return 10 day trip China . 4 different hotel , Grand Hyatt definetly highlight trip . 70th floor room amazing view BUnd Oriental Pearl Tower , enormous evening . room comfortable good equip . food good , cafe , well restaurant . room service excellent . bar & quot ; Cloud 9 & quot ; one high floor extremely cosy atmosphere . would stay . near thing heaven . excellent ! 
 Aug 12 2005 	 Hype -- Disappointed go back 	 Shanghai last Sept / Oct National Day holiday period . & quot ; hotel - review mission & quot ; stay Westin Grand Hyatt , use point respective hotel & quot ; frequent traveller & quot ; program . difference service - wise , grant also upgrade Westin ( residence apartment ) , offer pay another $ 100 river - view room Hyatt . hotel two taxi line set front door . one hotel guest , one non - hotel guest . Westin , taxi abundance , hotel guest always priority . Hyatt , wait taxi line sign hotel guest 10 minute , ignore we tend people non - guest line . get taxi walk back lobby complain . at Hyatt , bedding consist flat sheet , blanket , comforter bedcover duvet cover ( make sound well ) .At Westin , heavenly - bed hype , usual set : flat sheet , cover blanket , comforter duvet cover . at Hyatt , take almost hour get crib set room , request front desk , call front desk , call housekeeping dept , spelling word & quot ; crib & quot ; along process . comparison crib . indeed heavenly - bed type crib Westin , dread mold foam use Hyatt , three - year - old end sleep bed anyway . 
 Aug 1 2005 	 incredibly Poor Excuse 5 Star Hotel 	 Grand Hyatt without doubt one worst allege five star hotel ever stay . stick five day last week due customer stay one bad experience another . hotel pay excess US $ 300 / night . surly arrival & quot ; welcome & quot ; Grand Club , incredibly poor service Canton restaurant table important guest , removal personal item room without permission , final straw - general refusal give credit dinner make sick , hotel give poor service . notable exception resident manager , Paul Kwok , every management person interact first want contradict everything say , wanted & quot ; investigate & quot ; problem want prove wrong avoid responsibility . quote email general manager - & quot ; ascertain detail pertain incident mention early , eye witness report factual material favour . & quot ; basically , customer wrong right . attitude pervasive dealing customer . would never stay hotel would caution other . Shanghai full great hotel - JW Marriott , Ritz Carlton Four Seasons , reason stay poor excuse hotel . 
 Jul 27 2005 	 Good Hotel Great CIty 	 recently stay Grand Hyatt Beijing , world , excite upcoming trip Grand Hyatt Jin Mao Tower . however , arrival feel hotel live 5 - star rating . example , look forward pool facility , disappoint much small envisioned . also , find lobby lack atmosphere decor . good part room bathroom , large marble jacuzzi tub great shower . otherwise , room nondescript . would stay . 
 Jul 15 2005 	 profitable Stay ! 	 visit Shanghai day top holiday , check Hyatt 16th June . Got bund view room 76th Floor ...... magnificent view night bund . ah ! 's treat like every make memorable . fantastic stay part profitable one personally ~ trade option spare time trading night Shanghai , night stay Hyatt make trade give $ 40 k profit . well ever 1 day trade ..... , Grand Hyatt Shanghai always lucky hotel list ! 
 May 25 2005 	 well ...... expect 	 75th floor - course great view . room hard figure - seem bit musty / moldy . one robe hang dirty . make furious . 's digusting think . 54th floor great . fantastic view . sure would stay tho . 
 May 13 2005 	 Outstaning 
 May 12 2005 	 cloud 
 Apr 20 2005 	 be like Grand Hyatt ? ? 
 Nov 27 2004 	 near thing heaven ! 
 Nov 7 2004 	 would stay - poor service 
 Oct 30 2004 	 like hotel . 
 Jul 25 2004 	 Incredible Hotel 
 Jul 11 2004 	 u call GRAND 
 Jun 28 2004 	 Sleep cloud 
 Jun 16 2004 	 Opulent ! ! 
 Jun 16 2004 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 24 2009 	 Top World Hotel 
 Nov 7 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 21 2009 	 ? ? ? ? ? ? ? ? 
 Oct 18 2009 	 ? ? ? ? ? ? ? ? 
 Oct 8 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 22 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 18 2009 	 .. una volta nella vita ... 
 Aug 17 2009 	 höher geht nicht ! 
 Aug 6 2009 	 Alles gut Shanghais Wahrzeichen 
 Jul 25 2009 	 ? ? ? ? ? 
 Jul 14 2009 	 ? ? ? ? ? ? ? ? ? 
 Jul 6 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 25 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Mar 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Mar 5 2009 	 Grand Hyatt Shanghai 
 Jan 26 2009 	 Molto Charming 
 Jan 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Jan 16 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 8 2009 	 ? ? ? ? ? ? ? ? ? 
 Dec 24 2008 	 ? ? ? ? ? ? ? ? ? ? ? 
 Oct 24 2008 	 ? ? ? ? ? ? 
 Oct 15 2008 	 ? ? ? ? ? 
 Oct 6 2008 	 ? ? ? ? ? ? ? ? 
 Aug 21 2008 	 ? ? ? ? ? ? ? ? ? 
 Aug 16 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 28 2008 	 ne pas manquer 
 May 7 2008 	 Höchstes Hotel der Welt und höchster Luxus 
 Feb 6 2008 	 Das höchste Hotel der Welt sehenswert ! 
