great 	 stay imperial midweek couple day November . perfect location visit part London 's West end , go theatre shopping . hotel reception cosy relax . Staff superb ( repeat superb ) throughout , always hepful polite . twin room third floor overlook courtyard large good quality light rather 40 watt bulb provide hotel . breakfast hot cold food ( eat buffet ) serve 10 , staff come around tea coffee stops buffet area getting clog up . very clean hotel would definitely stay . way room air condition need London anyway . 
 Nov 14 2006 	 tired jaded live past glory 	 front hotel impressive ( 1970 ' kind way ) , location great staff present helpful however first surprise single room large student ' study - bedroom . room clean tidy everything slightly " run - down " feel quality bed reminiscent student squat . the first evening spend large party firm corporate buffet , insufficient food , wait queue reduce get remnant additional food finally serve Ban - Marie part way dessert . breakfast next morning revelation ; whole company due serve set time , hotel ready queue ten minute . shortage food previous night repeat come back quality food later . the second evening eat away hotel experience restaurant service . return food breakfast second morning ; broad term , hot tepid , cold also tepid whole thing reminiscent bad school dinner . however , deal specific ; plate cold require searching find one completely clean unstaine , food Ban - Marie ( good ) tepid unappetising , boil egg ( hard & amp ; soft ) cold toast sweaty . mean combine cold plate food select almost cold could consume . fruit juice milk ( cereal ) serve room temperature coffee ( previous night weak dishwater ) almost viscous . I acknowledge standard hotel service provide occasion pay bill , even budget sector poor delivery everything give impression do cheap . 
 Oct 31 2006 	 Pleased 	 Stayed one night 15th October - triple room 8th floor . room clean delighted find 3 single bed room adequate space . toilet seperate . shower room . was'nt go slide door - seem bery 70 . however , Room look like recently refurbish carpet seem new different room see check ( housekeeping door open pass ) . room seem date . indeed carpet corridor lead room badly need replacement . breakfast fairly good . replenished staff regular basis . overall would stay room spotless . would bit nervous room get seem see lot wear tear - look someplace sleep night bad ! round corner tube . 
 Oct 21 2006 	 Thank heaven Imperial 	 imperial great base explore London . short walk Russell Square Tube station . stay room 809 ! clean ( although bit date ) delighted quieter hotel room . stay night Royal National along road check one night unbelievably noisy - stay ! make we appreciate Imperial though . 's low cost London not expect posh friendly , clean , warm quiet enough get sleep . would go back ! ! 
 Oct 10 2006 	 Perfect location 	 stay hotel two night would recommend anyone good location . service hotel great room comfortable bedding clean , service reception bar excellent , self service breakfast good even one day get till 9.55 close 10oclock still hot full . 
 Sep 18 2006 	 student hall 	 good location , date noisy hotel . nothing put wife slidde bathroom toliet door . also unfortunately connect room ( room available even though book six week advance ) could hear next door conversation . Maids also start around 7 am ! 
 Aug 11 2006 	 Imperial Hotel Stay 	 July stay Imperial Hotel , Russell Square elderly parent room accommodate 3 person . happy room clean , big expect service daily friendly helpful staff . breakfast plentyful high standard - far well breakfast numerous hotel visit trip . hotel 3 minute walk tube station . tube stair negotiate get train . Imperial Hotel old building carpet wear thin considering get price would definitely stay whenever visit London . staff Reception Porters helpful , pleasant always ready assistance way . 
 Jul 9 2006 	 would stay 	 find staff friendly check fast efficient . room small outdate , look 70 be still . bathroom good , water run fine . hotel situate good spot far Oxford Street . hotel expensive London guess resonably price compare pay London place around world think room could lot nice however would recomend place . 
 Jun 12 2006 	 good value money ! 	 stay imperial one night find good value money . parking convenient reasonably price location . hotel room clean separate toilet & amp ; bathroom , ( although two room bit squeeze ) . request room view park back hotel find air conditioning adjoining building bit noisey unable window open night , ( hot night ) . breakfast good , bar ideal night , cashpoint shop hotel convenient . one tip though , take quality tea bag complimentary beverage room bit stingy . would definately use . 
 Apr 27 2006 	 love Imperial ! 	 stay imperial honeymoon London fantastic stay ! room lovely view overlook Russell Square enjoy watch hustle bustle . room slightly date 70 decor definetly clean comfortable . staff always friendly helpful . really enjoy look forward english breakfast morning ! Bacon , egg , tomato , toast jam , well hot chocolate ever ! real treat ! location great , could walk attraction London , feel tired Underground around corner hotel . 
 Apr 4 2006 	 good location terrible breakfast ! 	 stay imperial couple night business London . great location right Russell Sq , be one big hotel 1960's/70 's not seem much update since . room fine , good view rooftop , clean need update look drink long journey not go mini bar leave empty . free breakfast really horrible , steamed toast horribly oil soak scramble egg - good advertisement English Breakfast . however staff desk nice helpful without doubt bad place ' ve stay . 
 Mar 13 2006 	 nice hotel would stay . 	 park car underground car park , look entrance Hotel . signage poor , though eventually find door mark & quot ; Entrance Hotel & quot ; . go door face step hotel . wheelchair user , indication accessible entrance . arrive reception area , attempt check , find reception area President Hotel , rather imperial . President imperial adjoining building . direct Imperial . check . check efficient receptionist friendly helpful , porter , advise we time need leave get show see time , arrange taxi we . we book one double room , one single room . past reviewer say room small . though find perfectly adequate one night stay . room bathroom clean tidy plenty hot water , though bathroom could update . air conditioning room , though visit March problem . though temperature room first enter warm 24c . way control heat open window . room face court yard , noise Air conditioning building . tea coffee make facility rather mean , two sachet unbranded tea coffee , powdered milk , sugar two plastic spoon , would nice wide choice beverage , uht milk . room direct dial telephone , modem point , Trouser press , tv Radio . head board control panel control light , tv radio . speaker radio build headboard , speaker also instal bathroom , listen bathe . bed linen clean white , always good sign hotel , dark linen hide multitude sin . food available night day bar ground floor 2 am , food quality good , provide good value money . first floor hotel Emperor Bar , never see open , stay one night , arrive back hotel shut . could sit day , enjoy view Russell square . imperial rather ugly 1970 's building , interior clean well care , carpet furnishing clean good condition . hotel would benefit air conditioning room , least room thermostat , aluminium window replace modern double glaze unit 
 Feb 6 2006 	 Adequate Hotel - Perfect location 	 ask front room eighth floor : view worth price room alone : see NW London skyline bt tower , British Museum London Eye , , leafy Russell Square , large square London . location ideal West end theatre , Soho , British Museum , get Piccadilly line Russell Square tube station , museum South Kensington . room clean perfectly adequate , although ( nasty shock ) in - room bar stock . public area hotel little date , adopt brown - panel mock - baronial theme , smell cigarette smoke linger lobby may alarm North Americans ( although propose legislation likely outlaw smoking area within year two ) . breakfast buffet , rarely good hotel , ok ( reservation egg dish ) . unless demand Sheraton , Four Seasons standard accommodation , hotel job . would return . 
 Feb 2 2006 	 Good Location 	 Imperial hotel around corner Russel Square tube station , lets easily get around London . stay one night tour group . room small seem relatively clean . luxury , fairly good value something central London . would stay next time . 
 Feb 1 2006 	 Good Location good price . 	 2 friend stay New Yrs Eve , get reasonable rate direct website . the Hotel within short walking distance Russell Square tube station , abit Holburn tube . night venue New Connaught Rooms , Covent Garden - walk & amp ; , take 15mins . the room 3 single bed abit novelty usually triple room get 1 double 1 single . size decent everything work . bathroom toilet seperate nice - although lock either . the fire alarm go leave , end get locked fire escape staircase fire door ground floor appear lock - needless say scare we half death ! ! get 1 friend manage use nail grip bolt open one fire exit door - mention ' near death experience ' reception could not care less try mumble something get someone look . apart incident - nothing complain hotel , serve purpose ! 
 oct 22 2005 	 good value 	 hotel offer good value great location . stay September 2005 , share twin room mother . bit concerned read review hotel go would stay amenity location ( note , however , previous comment double room small ) .while hotel bit date , room air - condition , hotel lift twin room clean , good size bonus toilet bidet separate shower bath . also two separate closet hang clothe , drawer , tv , fridge tea / coffee make facility . fact , look like photo brochure ( mini bar advertise ) . ice could obtain modern bar premise , also serve meal provide room service . room face Russell Square lovely outlook suffer traffic noise - however nothing earplug not fix . ask room face courtyard noise problem . full hot cold buffet breakfast include , certainly well ever , contain enough variety satisfy need . service staff bit mixed - seem lot young foreigner work holiday - bad place London Europe . good thing hotel location - opposite lovely Russell Square , near British Museum close tube station Picadilly Line ( easy access centre town - Picadilly Circus , Leicester Square theatre ) . lot amenity close also - restaurant , pub , hairdresser , Tesco Express . also close & quot ; Big Bus Tour & quot ; stop ( would thoroughly recommend - hop on / hop pass valid 48 hour include short river cruise ) . depend look hotel . Imperial certainly luxurious stay hotel London drag bag flight wind , narrow stair bill four star enough room swing let alone proverbial cat . remember London cheap , look moderate hotel good location Imperial offer good value . 
 Sep 18 2005 	 Hotel adequate great breakfast buffet 	 stay last night ( 17 September 2005 ) attend dinner function hotel . room small , clean comfortable . the website advertise room satellite tv , extra channel available french one german one - usual Sky selection expect uk.a slight grumble wife feel cold room night - rang front desk ask temperature control locate , told & quot ; heating not come October & quot ; ! breakfast ( include within rate £ 98 double room ) good . 
 Jul 21 2005 	 Imperial Hotel Nice 	 stay Imperial 5 night London Bombings . room small could update ... not bother we . great view London directly Russell Square . Hair Dryer not work , be vacation care hair ! Breakfast ok , would recommend go breakfast . staff nice helpful map info London . keep luggage go Paris , everything secure . stay . 
 Jun 21 2005 	 imperial good 	 room imperial small compare usual american hotel room nice european hotel . old street nice distance problem street noise . find hotel clean well staff . think excellent value London . 
 May 25 2005 	 Great Hotel Near British Museum Students Budget 
 Apr 24 2005 	 Great Budget Hotel 
 Apr 3 2005 	 regular nice 
 Mar 26 2005 	 not stay -- will disappoint 
 Dec 28 2004 	 Good Value Excellent Location 
 Dec 1 2004 	 thin wall window 
 Sep 30 2004 	 great value location 
 Apr 9 2004 	 good value London price excellent full breakfast 
 Mar 21 2004 	 double bed incredibly small 
 Dec 28 2002 	 tiny comfy 
 Nov 23 2009 	 Molto buono per gli standard di Londra 
 Oct 25 2009 	 Hotel muy bien situado 
 Sep 29 2009 	 ? ? ? ? ? 
 Sep 21 2009 	 En recepción son lamentable 
 Sep 16 2009 	 Hotel muy viejo 
 Aug 4 2009 	 para volver 
 Jul 19 2009 	 Correcto muy buena ubicación 
 May 18 2009 	 hotel muy mediocre 
 Mar 20 2009 	 très sale hôtel/ puce trouvées dan les chambre 
 Feb 17 2009 	 mi estancia en imperial hotel 
 Jan 2 2009 	 Buen hotel calidad / precio 
 Nov 25 2008 	 Pas mal 
 Oct 22 2008 	 Hôtel industriel 
 Sep 25 2008 	 Buen hotel para ser de 3 estrella 
 Jul 20 2008 	 hotel recomendado 
 Jun 6 2008 	 correct san être plus 
 Jan 7 2008 	 excelente situacion 
 Dec 9 2007 	 OttimoOttimo 
 Jun 2 2007 	 imperial hotel funzionale e pratico 
 Mar 5 2007 	 tranquilo limpio . 
