great 	 arrive early check staff kindly let we room early since travel early morning . Room nicely decorate bathroom small . main problem room bad draught come window cold . think double glazing would solve problem cold road noise keep we awake . area lovely much immediate area great choice entertainment . Taxis expensive take one west end cost we twenty five pound way . say enjoy stay need minor adjustment . 
 May 5 2008 	 Appalling ! 	 want stay good , clean , decent hotel London , avoid Corus Hotel Hyde Park . although lobby make think room lovely clean , leave expectation front door step . Corus Hotel disgusting . room tacky , dirty , old - fashioned room London . complete waste money , despite location , absolutely nothing else go . room filthy , facility room hotel sub - standard . complimentary wireless internet , available every hotel ever stay . frequent traveller , opportunity stay number hotel worldwide , honestly tell Corus Hotel Hyde Park worst find price . door man friendly , get front door , not expect find anyone else even remotely helpful , understand hospitality . one gentleman work concierge desk , South Africa manage raise standard place , , take advice stay away hotel . 
 May 3 2008 	 4 Star Hotel 	 room Corus Hyde Park incredibly small . book double one side bed wall ! bathroom door narrow large person would need turn sideways get in . of course bath ' bathroom ' , pokey shower never seem get hot enough . no wardrobe - metal frame thing 6 hanger ( two people ! ) . ironing board hair dryer stick wall , can not put away . look mess . room one would wish spend much time in . a Four Star Hotel . barely rate 3 star opinion . 4 - star feature location room rate . no mini - bar . poor selection tea / coffee / biscuit room . the wall - mount LCD tv sound quality tin can . no air conditioning . room hot possible open window inch . small , noisy fan way cool room . on plus side ( ' m try hard ) room acceptably clean , although grout shower look ' tired' . staff pleasant enough , distant . public area nice enough bland . the room reasonably quiet night give location busy Bayswater road . fire alarm go intermittently afternoon explanation staff whether test real emergency - guest mill confuse . the location excellent west end entertainment , shop etc . if want real 4 - star hotel area , choose offer real 4 - star experience well value money . not recommend . 
 May 2 2008 	 ARGHHH ! 	 stay hotel 1 night end April hope never stay . staff friendly food actually quite good . however room awful . like cell overlook alley noisy airconditione unit stack almost outsie window skip empty bottle disposal area seem fill time . traffic noise loud well . double glaze seem work spend noisy evening able work relax noisy night get much sleep . recommend . 
 Apr 25 2008 	 good hotel great location 	 stay corus hotel hyde park febraury 2008 , travel college trip organise hotel . first impression hotel grand , entrance make marble walk marble stair greet entrance polite doorman carry bag inside . room good , little small money pay good value . room clean every day maids hassle vacate room clean . bar area reception immaculate staff friendly approachable . food good breakfast hotel really nice , serve buffet style lot variety . hotel locate directly opposite hyde park view form room hyde park amazing . problem hotel breakfast many staff english sometimes hard get ask , hotel good . 
 Apr 23 2008 	 Excellent Choice London 	 great find ! hotel aim & quot ; budget business traveller & quot ; . tho vacation , suit perfectly . mean luxurious place hang . clean , comfortable , friendly wonderfully active lobbyjust one subway stop past excitement Oxford Street , hotel also across street Hyde Park allow enjoy everything city introduce wonderful royal park . the staff helpful eager please , offer choice three room since stay seven day . concierge , doorman , bar staff , cleaner great . my quibble .. would nice table lamp room overhead halogen not produce warm inviting light . other comment tiny room . mine twin plenty room . if need comfortable place stay London affordable north americans , . 
 Apr 9 2008 	 small perfect 	 spend 2 night hotel . yes room small yes resemble ship cabin cleverly design immaculately clean . mod con , hairdryer , iron board , trouser press , tea / coffee faciltie , great shower . central location . get tube Lancaster Gate , exit tube station , turn right , 3 min walk . would stay . 
 Apr 8 2008 	 lovely clean 	 stay two night Corus Hotel . lovely clean room staff freindly english breakfast good . minute walk Lancaster Gate tube station ideal . b & amp ; b critical standard . would stay . Sheila Roy Sheffield 
 Apr 3 2008 	 Pokey Overpriced 	 stay three night business . room small under- equipped bathroom joke- sit toilet without put foot shower . hardly turn around . storage space clothe . wall thin hear lot noise neighbour passage . the lift provision totally inadequate- 4th floor 9.00am , every lift stop completely full . suppose result lot large group . not recommend 
 Mar 31 2008 	 nice hotel 	 look long hard nice ' 5 star ' type hotel central london budget £ 100 night stay boyfriend birhday . finally come across Corus Hotel meet budget nicely although not 5 star hotel picture have see lead believe go suitable night stay . little nervous though slighly cheap compare many hotel location review would read quite negative however soon arrive worry disappear . staff friendly arrival mention boyfriend birthday room upgrade room sixth room . room comfortable , clean tidy . deco alittle date sleeping area bathroom quite modern . shower great - powerful ! rate include continental breakfast serve room extra cost . the location hotel we alittle away west end - 10 min taxi ride approx 35 min walk - great be lady wear heal . however view hyde park room enough we worry pay extra taxi take we everywhere . would definitely recommend hotel night stay ! sure room size would big enough full week stay certainly fine night two . 
 Mar 29 2008 	 modern small 	 decor hotel lovely room small , bathroom worst , bath high side hard climb big ledge head make shower uncomfortable possible keep hit head ledge whilst washing hair , staff nice friendly food excellent , right next tube station get around easy . thing let hotel bathroom , would say get little overprice , next time pay litttle extra marriot hotel far good 
 Mar 28 2008 	 reasonable pleasant 	 single room eighth floor overnight stay week . rate ( £ 80 ) good get London unless Travelodge Travel Inn , location great - 2 min Lancaster Gate tube stop Central ( red ) line . be across road Kensington Gardens/ Hyde Park pleasant stroll Marble Arch shop prefer walk Tube . 10 minute walk Paddington Station too . the rate include continental breakfast serve room extra cost , quite nice single traveller . the room iron small ironing board , compact pleasant bathroom , wall mount flat screen tv . rather spare unpleasantly , clean comfortable . 
 Mar 24 2008 	 Corus Hotel Excellent choice ! 	 arrive 15 mar 08 stay 3 night . the address hotel lancaster gate , get tube station paddington save lot time ! hotel clean , staff friendly , continental breakfast nice plentiful ! locate upmarket area face hyde park ! fault hotel . 
 Mar 12 2008 	 like ship cabin 	 return 2 night Corus Hyde Park . daughter single room large cross channel ferry cabin . also next lift keep daughter awake sound drunk leave lift early hour acceptable . double room bathroom small toilet home . hotel could compare 4 star London hotel stay . 
 Mar 11 2008 	 small room good staff 	 return 2 night Corus Hyde . hotel right next Hyde Park 10 minute Paddington station . hotel clean room standard small 4 star hotel centrale london . however service receive good ( Daniel porter particular check staff ) . enjoy time Corus Hyde really worth second visit . Dave Karen 
 Mar 10 2008 	 Great Location 	 Excellent location , short stay . the room small room ever stay ! breakfast good , nothing special though ! service decor excellent view Hyde Park amazing ! beautifuly design hotel classy area ! Stroll Hyde Park end either Buckingham Palace West End Lancaster Gate tube second away . I not eat hotel evening , fantasticaly tasty vegetable soup ! 
 Mar 8 2008 	 true 	 return hotel book read review tripadviser . could agree praise receive . arrive give immediate room upgrade free charge . the room small plan work well two occupant . do intend eat give Olio Brasserie try book follow evening well food excellent . our criticism continental breakfast rather limited choice meat fresh fruit would nice . the position excellent close Lancaster Gate Tube , major attraction within easy reach . a journey Maritime museum Greenwich 45 minute use central line DLR cost £ 2 use Oyster Card . card must anyone intend use Underground get around save hastle buying ticket etc . 
 Mar 4 2008 	 nice hotel 	 book hotel part British Airways package . gorgeous lobby , staff friendly professional . room quite small american standard , understand typical room Europe . nevertheless , clean , tidy attractive ; not come London hang room anyway . hotel locate beautiful neighborhood full small hotel cater foreign tourist nationality . close variety restaurant takeaway shop be tired hard day sightseeing . within walking distance Paddington Station ( approx 5 min ) block Lancaster Gate tube . wireless access room fee , in - room hair dryer , iron laptop size safe . 
 Mar 4 2008 	 great location hotel 	 return one night stay Corus hotel . the hotel superb ideally situate opposite Hyde Park . Lancaster Gate tube station easy access 5 minute walk hotel . staff friendly room contemporary clean . Breakfast excellent , would definitely book hotel . 
 Feb 27 2008 	 great place short stay 	 love hotel . room small clean bright . breakfast fine . could eat sunroom overlook Hyde Park .. Lancaster Gate underground 1/2 block away leave . Paddington Station 5 min . walk . bus tour one exit marble Arch . hotel staff helpful funny friendly . eat next door Swan . small store next door hotel buy water etc . eat Khan 's wonderful indian Rest . take 4 pound cab ride hotel . area around hotel safe . 
 Feb 25 2008 	 small convenient 	 wife , daughter stay two night ( weekend ) find location ideal , bus tube nearby park opposite pleasant stroll . reception , dining area ideal service staff helpful pleasant breakfast ( english ) plentiful well present . the accommodation two person poor . daughter , double room , find one person quite adequate . the room small , access side bed one dining type chair two person lack double glazing make traffic noise seem louder , drawer space small item need keep suitcase bathroom also quite small height restriction shower hardly space put toiletry etc . whole room give impression & quot ; student & quot ; accommodation .if need two day would place would chose 
 Feb 22 2008 	 Good Hotel 	 stay one night Corus Hyde Park two daughter , 15 11 go London shopping / theatre . travel first time ( ie minus husband ) , spend age search internet beforehand suitable hotel careful also read available review . hotel well situate walk Oxford Street shopping , far Paddington Heathrow Express quiet area right next Hyde Park . lovely doorman open door taxi show we hotel . hotel 's reception grand feel like go good hotel . everybody polite helpful . bit disappoint size room good quality everything could possibly want overnight stay . executive double room fold bed young daughter sleep like log . personally , find bed little soft liking 's I . the breakfast good lovely walk Hyde Park Oxford Street . overall good experience would use . 
 Feb 19 2008 	 Small perfectly form 	 stay Saturday pleasant night . double room small everything need include hairdryer , trouser press iron , often find London hotel . staff friendly helpful , check check go smoothly . location perfect night London , easy get public transport , trouble get cab front hotel return early hour morning area quiet safe . continental breakfast ( include booking ) serve room extra cost . worth note stay weekend drive hotel , although hotel park several road nearby parking restriction Saturday Sunday able park car free charge . 
 Feb 6 2008 	 Fine Hotel 	 hotel conveniently locate near underground several bus route well across street Hyde Park wonderful walk . standard single room bathroom small beautifully design maximize space efficiency . flat screen tv wall across bed attractive slide shutter window . sound proof good disturbed noise neighboring room . continental breakfast entirely adequate selection fruit juice , tea , coffee , hot chocolate , croissant , hard roll , sliced ham , grapefruit orange slice package cheese jam . selection local newspaper pile lobby could take free . two computer lobby one business center use cost 1 pound per 10 minute . internet cafe nearby Craven Street considerably less expensive - 1 pound one hour 's use . must add several step lead room might hindrance anyone mobility problem see room without step . obviously please six day Corus plan stay . 
 Jan 30 2008 	 pleased ! 	 boyfriend stay Corus hotel Hyde Park London 4 night . location perfect ; right next Hyde Park , 2 minute Underground ( Lancaster Gate ) within walk distance Oxford Street . the room small , clean nicely decorate . not spend much time anyway , since explore London first time . the continental breakfast include price good , although everyday . coffee surprisingly good ! last morning upgrate english breakfast try good well . the staff friendly would definitely recommend hotel friend anyone go London ! 
 Jan 27 2008 	 Great Location - Tiny Rooms - Friendly Staff 	 stay Hotel witer happy window would open get quite warm time ... hot blooded could ! . hotel feel like neighborhood rather tourist area . right next Hyde Park , Bus Lines , Tube station short walk . furniture bedding appear have new staff friendly helpful . would stay hesitation . good Value . 
 Jan 14 2008 	 functional small room 	 hotel ideally situate 4 tube stop ( central line ) heart London . reasonably price room stay SMALL ( 7 ' x 20 ' ) everything need except comfy bed air - conditioning ( noisy fan . AC roll room currently window open ) . tv , Wifi , private WC / shower , hair - dryer , iron+board , load light especially freaky green light bathroom . the hotel staff freindly helpfull especially get locked room 2nd day , card would not open door . if look place lie head whole tourist thing , would suit couple day . AB , Bedfordshire . 
 Jan 14 2008 	 good overnight choice long stay 	 stay pre - christmas dinner London . room ' compact ' somehow surprisingly spacious , thank clever design ( like curve worksurface somebody else write ) . , okay one two night probably would get claustrophic long . nice lobby area comfortable bar . early serve breakfast . good rate book Late Room well know internet site . would probably use 
 Jan 7 2008 	 Good Location hotel need improvement ! 	 spend 2 night corus hyde park , hotel good area . car parking slight issue abit walk hotel , make mistake dropping bag rather lug around . hotel 3 member concierge watch us bag .. helpful ! check - in staff pleasant . upgrade executive room wish have botthere actually feel rob ! room sooo small bed take whole room , carpet filthy dirty , bed linen rip , stain bottom bed mattress sit , could go think get picture . hotel , need complete overhaul , also need honest standard accommodation website , book wonder small picture bedroom obvious proud room ! get really really good rate , hotel good do not expect anything special will not get . try call ahead see get Laura Ashley room , new refurbe room . worth pay extra full english rather continential , however many cafe bistro type place around get Breakfast also . nearest car park : Queensway £ 22 per night Tube : QueenswayBoth 20 - 25 min walk . 
 Jan 6 2008 	 tiny room 	 visit London parent graduation ceremony . Hotel rate 4 * clearly good location look forward visit . positive : arrive initailly impressed foyer bar area . 2 room give next door . Breakfast delicious hot buffet . staff friendly helpful . negative : room small . manage okay single expect hotel , parent not young use small double room . bed corner one side wall would fit middle room . storage space save couple coat hanger rail , sit except one desk chair feel bit claustrophobic . bathroom also tiny climb high side bath shower . agree another review seem divide 1 large room 2 small one fit many guest possible . shame nice hotel 
 Jan 3 2008 	 fabulous location opposite Hyde Park 	 killer 26 hour flight Australia , impress hotel particular location - stylish , upmarket part London ! staff quite pleasant , room , although neat tidy , small . thrilled iron ironing board supply , not case hotel throughout Europe . fabulous pub next door recommend , proximity Paddington Lancaster Gate tube real bonus . continental breakfast leave much desire - although later realise upgrade english breakfast , take restaurant downstairs fantastic . stay hotel early October 07 , find room hot need keep window open . problem , window would not stay open need use tea tin keep wedge open ! besides minor glitch , happy hotel , would certainly stay . 
 Dec 18 2007 	 good hotel minor flaw 	 stay 6 night . overall , good hotel would likely stay . excellent location - right across Kensington Gardens Hyde Park , near Lancaster Gate tube station , far Paddington Station ( train ) close lot good dining option . hotel good shape , especially lobby lounge area . room small clean well - appoint . great customer service . minor area need improvement , recommend hotel . the area improvement : continental breakfast decent , change entire stay - even mix different fruit selection roll cereal would help stay multiple night . tv room small set mount 90 degree angle bed ( ever watch tv sideways ? ) . lastly , lack free wireless internet drawback live connected world ( not we ? ) charge excessive ( 5 GBP 10 minute ) , access important numerous internet cafe store within walk distance offer reasonable rate ( 99p 1 hour ) . 
 Dec 3 2007 	 Great Room - Great Location 	 great hotel excellent location , exterior really nice , old building entrance Hyde Park . Lancaster gate underground literally 2minute walk hotel . really nice twin bedroom . 8th floor . grant - room small exceptionally clean decor modern . would definetely recommend friend family visit london . overall Great Hotel price . 
 Dec 3 2007 	 ok problem 	 ok , issue would not expect 4 star hotel . Got hotel go check triple room 5.30pm . tell room not ready even though check time 2 pm could leave bag come back later . theatre ticket want get room freshen , happy - agree could go drop bag housekeeping still clean . bed not even make . the room clearly triple - double room squash small metal spring bed - uncomfortable adult . tell time booking . get back hotel later evening , hard try get drink bar . could not pay cash unless put credit card reception , could not get drink unless go back reception give credit card go back bar . performance couple orange juice ! impressed . continental breakfast include - croissant , roll cereal . huge selection . 
 Nov 30 2007 	 Awful 	 Staff pleasant - save grace . room , laughingly call designer workspace ( ' desk ' curve ! ! ) small one side double bed ( fit description ) aginst wall . assume room make divide one former room two . bathroom ......... new clean ... equally tiny , brand new shower ( tepid ) get wet , long prepared move around . word - awful 
 Nov 27 2007 	 safe Bet ... 	 nicely locate across Hyde Park , hotel clean efficient . room typically small , be probably spend much time anyway . relatively good value London . minus -- conceirge must ' on take ' restaurant recommendation , not know much cost ride Tube ! take say grain salt . also , staff bar less efficient -- will basically wait table . overall , decent mid - grade biz class hotel -- will not knock sock will not disappoint either . 
 Nov 21 2007 	 Functional ... 	 upon arrival inform efficient polite reception staff & quot ; upgrade & quot ; & quot ; Viceroy & quot ; room . please less smooth journey hotel . unfortunately , 7th floor upgrade ( room 704 ) turn tiny hotel room ever . double bed almost big ( hit head corner bedside table sleep painful awakening 4 am ) . room clean functional . bathroom minute bath panel warp wear ( clearly water seep MDF swell - good look ) Info hotel etc provide minimal room & quot ; read material & quot ; copy late Laura Ashley mail order catalogue seem unusual choice . tea coffee provision could improve . the hotel overall ok . public area uninspire production line interior design . bar ok ( although feel bit yobby midnight ! ) , breakfast fair , concierge good . the good bit hotel purpose location easy walk Hyde Park / Kensington , Paddington West End . I would stay know well offer London comparable class . 
 Oct 27 2007 	 Excellent ! ! 	 read review , nervous hotel . however , should'nt . excellent . hotel set fab location , minute work Lancaster Gate tube gate Hyde Park . reception lovely staff . room , twin , fourth floor . lovely . room exceptionally clean well decorate . bathroom great shower towel huge . room good size . negative thing comment lack drawer - not ! ! ! would definitely go back hotel . 
 Oct 23 2007 	 London Hotel room get small ? 	 use hotel couple warm late September evening . car parking bad near car park good 1/2 mile way Queensway . check discover room give one small ever stay ! well furnish equip , heat incredible . safety catch window allow open 2 inch , fan stay night . complain receptionist checkout inform room aircon fit future . the second visit week later ask upgrade airconne executive room advertise £ 40 extra ! waive , exec room think almost small standard room , although , say well fit apart fact standard room build trouser press iron exec room not - try figuire out . breakfast fair , service poor breakfast room remind one canteen ! typical London hotel use OK 
 Sep 30 2007 	 need try hard give choice London 	 stay Corus Hyde Park couple night business trip September . stay one & quot ; Executive & quot ; room 10th floor , luxury Air Conditioning ! ! upon arrival , check - in desk reasonably efficient two people serve customer . however , two people behind desk job , feel busy period could help get queue bit . once check , greet modern room reasonable size . decor typical new style hotel , nothing exceptional . room shower bath , small desk tv small selection channel . executive room would expect see Minibar something well nescafe make coffee . free wifi would also nice extra have . Checkout slow , staff polite engage customer compare hotel experience . would rate customer service hotel average overall . for price & quot ; Executive & quot ; room disappoint overall package , see much well hotel equal less price . give stay room suppose well majority room hotel , would rate Travelodge , avoid future many well hotel around money . 
 Sep 22 2007 	 Give miss 	 go London business trip , scour hotel website one seem okay near place go . easily accessible tube station good location overlook Hyde Park , overall first impression hey , I ve pick good one . bright spacious inside clean welcoming . imagine delight tell automatically upgrade , result ! expect nice room go nice hotel , direct downstairs ground floor level , room overlook side street passer go past window , nice ! add insult injury room obviously intend little people , husband , strap six footer far headbutt overhead air con , small room little space manoevre . bathroom course tiny , awkward shower . upgrade would hate see one ! bar however nice , run east europeans , surprize ! resturant excellent full english absolutely magnificent . 
 Sep 18 2007 	 go back 	 use hotel go back , first good point . room small certainly would advise stay couple night . draw space at - all little hang space , end living suitcase . find problem single night there . the room clean tiny bathroom clean also . staff friendly , breakfast like home cooking plentyfull totally self service except coffee . meal bar area really well avoid pub next door good menu reccomende . the position hotel big selling point - easy walk Tube right park walk across get Buckingham Pallace , ( due Tube strike ) long not need masse room will not spend lot time room ideal hotel London short stay 
 Sep 8 2007 	 air con ! ! 	 hotel ok - worth money sooooo hot air con , unbearable night ! ! room nothing like pic see online ... old fashioned decor clean . 
 Aug 28 2007 	 Good Location air con 	 Location hotel excellent minute walk lancaster Gate station . room small modern clean , real problem lack air conditioning . July whilst warm summer record ( ! ! ! ! ) quite muggy make one fan room much use combat heat . I think pay upgrade room executive level air con hotel fully book whilst there . lobby bar hotel good , rate continenatl breakfast include never make time prefer get leisurely brunch local cafe . the hotel within walk distance Oxford street walk pleasant alongside park . we find excellent restaurant call island block away corus towards lancaster gate , could rate highly enough food excellent.overall good stay would go back add air con ! ! ! 
 Aug 27 2007 	 Hot room Clean ! 	 stay hotel end June forgot write review . lucky get room Wimbledon week ! pay £ 150 standard room book day look like might & quot ; walk & quot ; price . stay August pay £ 80 Lastminute.com ( room ) .The hotel central Lancaster Gate - minute walk . convenient 10 minute less tube Oxford Street , far Paddington either . the hotel nice reception staff friendly . room clean , nice size , comfortable . complaint ( like everyone else ) heat ! walk room start sweat ! not air conditioning . ok put fan go . however , find fan rather noisy switch go sleep ... wake hot ! know would like previous stay , however , cheap hotel , clean room , close Paddington central could find less week book hugely put TripAdvisor . 
 Aug 25 2007 	 Modern comfort 	 OutlineThe hotel stay 4 night mid week , book company due central locationtravelthe hotel block next Lancaster Gate underground station litterally 60 second walk . travel car london , avoid congestion charge get parking limit single yellow line outside hotel park 6:30pm 8:30am . nearest car park 10mins walk away cost £ 22 24 hour . ArrivalThe hotel 's entrance perfectly acceptable give good impression hotel . clean , modern stylish . ground floor concierge service , reception , bar , lounge restaurant . check , expect make way room . that s ok 's simple find room prefer tip porter carre wheel suitcase 50 yard . RoomRoom generally small , well maintain style . 7 coat hanger , available request . room make everyday . tea coffee facility provide room . plently plug socket , handy mobile phone , laptop , hairdryer , straightner ect . fan mount ceiling not air conditioning . fan slightly noisy fan , acceptable adjust angle fan slightly . fooda full english breakfast provide low ground floor continental breakfast ground floor . always full english breakfast . find scramble egg particularly nice microwave , rather make pan milk . bacon downside rather dry . night English malaysian choice food restaurant service brilliant attentive . alternatively eat lounge choose english favourite beef burger chip . choose will not disappoint 's McDonalds burger , prime beef steak toast bun stilton cheese . Delicious . Value moneyThe hotel room average value consider prime location hotel , however find cost food drink quite expensive consider pub next door offer drink food similar quality much low cost . overall experiencei find hotel modern , clean , stylish worth money . staff would endeavour acheive request make concierge service splendid . would reccomend hotel people look place stay whilst short trip business pleasure central London 
 Aug 24 2007 	 good last year ! 	 stay Corus last year , everything go fine , decide use . however , despite book two double , inform none available except basement sound like overspill ! give twin instead . notice side advertising Double 's AC leave distinct impression double 's still available , hour get Wembley . not time argue . the room expect , en - suite tiny , shower sideways ! also smoke floor ( fifth ) can not remember website use give option will not hold hotel ! finally , good point - breakfast , last year , big plus - plenty eat set manic day fine capital ! 
 Aug 24 2007 	 good hotel flaw 	 stay Corus Hyde Park hotel 16th 19th August extended weekend trip wife . good stay hotel flaw . first : location hotel close perfect . near Lancaster Gate tube station Central Line minute bring Oxford Circus heart London . hotel pretty decent short stay . find staff reception courteous efficient lobby / bar area quite well . room different matter . first thing welcome we open door distinct odeur sewer ! ! reviewer tell room also cramp hot . problem solve opening window ( A / c ) .The breakfast include room joke : Bread , butter , ham , cornflake can fruit . not think forget anything . breakfast clearly design get client pay ( approx . 8 £ ) upgrade english breakfast downstairs ( ) . see pictures executive room look much well room . maybe english breakfast also include book room ? 
 Aug 23 2007 	 much space 	 Corus Hotel Hyde Park nice section London . London several time realize room small $ 200 expect something large 15 ' x 18 ' . room quite hot stuffy air conditioning . 
 Aug 11 2007 	 Skip continental breakfast 	 husband stay Corus 5 night May , 2007 . location fantastic ; right near tube across street park . room small . know go , still suprise small . bed ok , pillow bit like mini futon cushion ( firm dense ) . ' ve since hear pillow Britain . continental breakfast include price , would skip staying . spread daily ( cheese , ham , stale croissant , bad coffee , juice , cereal ) , bit tire several day . upside , room clean , temperature fine ( air condition room ) , generally pretty quiet . 
 Aug 1 2007 	 great weekend 	 stay early month . room compact everything need clean nicely decorate . location great lot bar restaurant near by . this hotel great weekend hotel will not spend much time . Great Value . downside room get really hot little fan do not help much 
 Jul 30 2007 	 great hotel 	 reading review little worried would get arrive 4 pm check straight room happy outcome lobby staff pleasant helpful . breakfast ( full english ) lovely plenty food choice quick service nice pleasant dining room . room excutive would recommend room extra money upgrade arrive £ 30 would worth room small cramp air conditioning tea /coffee ahairdryer trouser press iron + board . bathroom decent size bath shower . would definately stay hotel ! location brilliant 2 minute walk lancaster gate underground hyde park straight opposite hotel . nice pub side hotel call swan nice food beer . good weekend break ! 
 Jul 20 2007 	 Hated Bed 	 stay Corus twice March April 2007 . must book give big roomy room roomy bathroom , air conditioning heating option ( come much handy ) tv close enough bed watch . gripe bed - side matteress apparantly everybody use get ( side close wall ) lower slope over - use ( must cheap mattress well ) - careful accidetally slide right bed middle night ! nice thing give away entire two adapter electronic reception charge - apparently tourist must left behind . one gripe feel like pay eat big breakfast , want cappuchino muffin , not coffee shop like Starbucks Nero around unless walk 20 minute take bus tube Oxford Street Notting Hill . 
 Jul 18 2007 	 trendy interior 	 fly London USA , require stay one night move rest UK . arrive early , overnight flight , allow go straight room . room photo show , modern headboard space save furniture . bathroom small , immaculate , compactly present . travel lot learn read line hotel description . hotel exactly expect , light , modern decor , excellent dinner serve polish staff , friendly receptionist . would recommend anyone come London mainly sight - see purpose . 
 Jul 10 2007 	 Convenient hotel 	 stay two night Corus Hyde Park late May . part buy flight - get two night accomodation package British Airways . check - in handle smoothly allow check - in official time -- wonderful we , since fly night get London early morning . staff polite helpful ; room small clean adequate . location could well , quick access tube bus . pleasant surprise on - site restaurant eat one night ( exhausted look anywhere else ) . food great ; service excellent price moderate . would likely stay , depend price date trip . lack air conditioning bother us trip since cold raining . 
 Jul 9 2007 	 bad hotel experience . stay away ! ! ! 	 book double - room Corus hotel website get tell anymore double - room leave ! ! ? ? reservation somehow tell not double - room book think ridiculous . finally find twin room room horrible . bathroom stink , water sink bathtub go shower work . not deceive grand lobby . room old disgusting . would recommend hotel anyone . good thing hotel 3 min walk Lancaster Gate subway stop 's . 
 Jul 5 2007 	 great location air conditioning ! ! ! ! ! 	 stay Corus June generally please . location lovely park across road . convenient tube . room modern small , problem . problem hot room . request upgrade sign reception say 30 pound upgrade air condition room . sign say many people complain heat room . unable upgrade room available . unbearable first night next day ask window open sign form say take responsibility lose good etc . make big difference . room become bearable , bathroom hot shower . nice ammentie hotel survive heat good hotel ! ! 
 Jun 15 2007 	 Flash outside small room ok location 	 hotel locate 50 m Lancaster Gate Tube . outside lobby grand . reception staff friendly quick . three quick lift get one ten floor room . 50 room per floor . room stay small although £ 30 upgrade ( not ) . room long narrow ( see photo another review ) . bed comftable . rail hang clothe cupboard . tea / coffee room along biscuit . tv verybasic channel locate opposite end bedroom bed high wall . exactly easy watch small tv . bathroom small clean . put stuff . safe room . stay short time expect time would ok . central line underground able get anywhere want . 1 stop away start Oxford Street / Marble Arch . pub next door food seem shut around 11 pm . breakfast ok special . free newspaper lobby breakfast room . Seemed take coach party breakfast busy time ( early go thequitier ) . pc lobby net access quite dear 10p per Min . would stay ? sure . hotel around Euston well value large room . end book late . like flash outside small room suppose would ok , think IBIS Euston well VFM . 
 May 29 2007 	 Great Choice 	 great option London . good location . easily walk many central attraction . also conveniently locate minute away Lancaster Gate tube station want go far afield . friendly , helpful staff . good , full english breakfast ( include room rate , , always not think ) . room small , , expect previous review . however , everything need night stay . nice clean find bed really comfortable . AC , wall mount fan . could bit uncomfortable height summer . get room right price , think hotel really good option London trip . would definitely stay . 
 may 27 2007 	 good choice London 	 girlfriend stay five night , 's seventh stay London good one . finally find hotel not claustrophobic room . location could not better continental breakfast view fantastic , seat Bayswater Road watch Hyde Park across . room clean newly refurbish . staff reception polite helpful price room reasonable . we will stay next time definitely London . 
 may 20 2007 	 good nice place stay ..... 	 first could not find reservation trace computer , end show & quot ; THIER & quot ; book confirmation prnte email ( pay internet access ) wise would charge full rate ..... yes room small , know review , room smell musty otherwise clean , AC fan , even think fan electrical switch . ask iron ironing board iron room break . thing arrive disgusting state , fat / grease base iron board cover many stain unbelievable - would ashamed present something like hotel guest.the bathroom small adequate , enough light near mirror though , drain shower partly block minute 5 cm water base , shower head holder keep slide rail head would fall holder . also put shower wash either hold put water foot , also extraction fan bathroom.in morning housekeeping keep knock door despite & quot ; disturb & quot ; sign also tell would leave room check time . you could also easily hear lift go , door close etc , be not nice try sleep ! ! ! short will not stay recommend anyone leave find another hotel yadr hotel call elysee - quick look one room well large corus lot cheap ! know hotel ill try next ! ! ! 
 May 18 2007 	 Great Location ! 	 Great Location , minute walk Oxford Street . clean hotel really small room , hardly enough room move around . breakfast menu limited location make everything . fabulous place stay explore city ! 
 Apr 22 2007 	 simple hotel 	 Location hotel bad , opposite Hyde Park , 3mins walk Lancaster Gate tube station , 15min walk marble arch . room , first time visit european country really take aback saw room ! ' ve see picture take reviewer ; would say room much small . would say pathetically small price ' m pay , book hotel Asia price ! bathroom terribly small , come think , be even small workstation office ! however , know hotel european country provide basic amenity , ' grumble much land scarce metropolitan country like London . overall , London really fantastic country visit hotel really disappointing . 
 Apr 22 2007 	 ok 	 Reception staff efficient . room quite satisfactory . in - hotel breakfast excellent . concierge service top - notch ( use tobook passage chunnel train busy Easter period get info bus transport Westminster Abbey Imperial War Museum ) . Nearest ATM two block away near Underground station . hotel location far end Hyde Park within walk distance major London tourist attraction . 
 Apr 21 2007 	 great reception bar scruffy room 	 spend one night Corus Hotel Hyde Park business trip London . hotel great location leisure business reception area , bar breakfast room fantastic . however room bit disappointing . upgrade suite executive room double - booked , not factastic . bedroom , sit area bathroom huge scruffy little date , stained sheet break shower curtain . tv also tiny - minor thing 4 star hotel offer flat screen large tv . 
 Apr 17 2007 	 Excellent Hotel ! ! ! 	 stay Corus Hyde park hotel , twice . first time xmas 2004 second time xmas 2006 . time please stay . location ideal . right next Hyde park ( might even get room view face park ) , posh residential area withe walkin distance Oxford st . Lancaster gate tube station 5 min walk away ( btw central line convenient line ) . two room stay completely different regard decoration , nice . both modern , clean , quite spacious . I stay couple hotel central London Corus far good one . probably stay next trip well . 
 Apr 15 2007 	 great value comfort long stay 	 stay two week partner relocate London elsewhere UK . upgrade executive room reasonable size , quiet clean . can not fault hotel value ( around £ 80 double b & amp ; b ) location . breakfast also pretty good . 
