beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Nov 17 2008 	 Decent Hotel Cheap rate 	 book stay Hyatt Regency Nov. 14 - 16 , 2008 . able get unusually cheap rate ( $ 95 per night ) downtown area book hyatt.com non - refundable internet rate . book hotel , come site read review immediately become concerned negative comment . stay hotel five year ago renovation . call hotel tell concerned quality stay read multiple negative review various site . time , gentleman speak upgrade Deluxe King room view . upon arrive , not problem check - in hotel go fairly quickly without hitch . far room spacious clean . bathroom clean large nothing fancy . also second evening , get ready shower head night find hot water . highlight room upgrade room . 26th floor awesome view Chicago River Michigan Avenue . get cold water obstacle second night , head downstairs hit town . already address hand need direction . concierge desk close figure would big deal either use one computer business center ask one front desk clerk mapqu direction ( hotel do ) . business center close front desk clerk tell not access internet look direction . go outside ask one valet direction none could provide either . quite bit irritating . would think minimum hotel could provide 24 - hour business center free wifi service room . not bother bring laptop ridiculous daily rate charge internet service . overall , enjoy stay Hyatt Regency . however , 4 - star hotel average rate around $ 250 per night . would never pay rate stay hotel . name least ten other downtown vicinity offer well rate well accomodation . room clean , bit dull drab tell hotel need update renovation . wall also paper thin . could hear everything next door neighbor conversation late night party - goer end night loudly hallway . next issue parking , understand downtown lot hotel charge similar rate $ 48 per night ridiculous especially add average rate hotel . to sum thing . positive : - lucky enough get room view- lucky enough find decent internet rate . negative : - room need renovations- bathroom par - price internet service free - refrigerator / microwave rooms- soda machine hallway , force pay $ 5.00 soda water mini - bar- Paper thin wall . constantly interrupt / awaken outside noise- Trouble hot waterFor hotel calibur would expect whole lot . , would not stay unless get good internet rate book Priceline . palmer House Hilton , W Hotel , Westin , Hotel Monaco , Doubletree cheap well option money . 
 Nov 14 2008 	 Marginal Hotel well 	 stay hotel attend conference hotel . review hotel spot - exactly like stay airport not mean like stay airport hotel , like stay middle terminal ! lobby really crowd noisy matter time pass . service impersonal complain get room reserve less clean room , respond reading script could care less unhappy . like hear . review also correct noise - hear everything hotel include neighbor potty flush middle night . thankfully , end hall not hear people pass room go elevator imagine other must hear . stay East Tower backside ( ) aware - fire station across street literally call wee hour morning every night . enough restaurant hotel handle number people stay . line long , food expensive great . Hope conference feeding lunch ( mine ) will not time eat get back afternoon session try eat hotel due long line slow service . one real restaurant serve lunch . also enough elevator - spend many time wait 10 minute elevator pass two three elevator row full time get floor . hotel really great location walk Michigan Avenue shopping dining . however , lot hotel convenient would recommend stay one unless stay Hyatt . like Chicago next time go , stay somewhere else . 
 Nov 13 2008 	 good hotel get good rate 	 get great price convention rate , however prepared total mob scene ! ! taxi line downstairs look like one see airport , YIKES ! Hotel fully book 2 double bed despite king bed reservation . big hotel like pack prepared wait alot thing ( elevator , coffee , etc ... ) room nice , great mega flat screen tv ( HD ? ? ? ) . bathroom need bit update bad , however , warn shower pressure TERRIBLE ( pack large hotel usually equate bad water pressure ) .For $ $ great value , would pay comparable hotel area do not think need . 
 Nov 4 2008 	 Great Location 	 stay 2 night , Oct 31 - Nov 2 , 2008hotel : extremely busy large . check in / out : quickparking : $ 48 valet parking . stay 2 night expect pay 2 night parking , charge we one . one get day take , people checkout line similar experience . room : clean , spacious bathroom , minimal toiletry provide . view river nice . night , could hear wind . need fridge room , can not use mini - bar , instead rent one $ 25 duration stay . free internet service , pool . breakfast buffet $ 22 , go across street Houlihan 's , $ 14.location : excellent . south , across bridge magnificent mile , north Millenium Park . 's enough feel like be middle caos ( like hotel magnificent mile ) overall : would happy another win bid Priceline stay . 
 Nov 3 2008 	 good hotel great location 	 stay 5 day business . hotel centrally locate . major sight Chicago within walk distance . concierge extremely helpful giving map , info , suggestion get limited time sight - seeing . the room spacious necessary amenity , flat screen tv , iron ( item ' ve come treasure hotel one per room ) . also great view river . not make extensive use amenity due limited free time , staff always courteous . greeter great job direct traffic wait little time possible proper staff assist you . it be large hotel , 2 tower , busy elevator loud lobby thing , might want look elsewhere . otherwise , recommend hotel , especially location . 
 Nov 1 2008 	 Nice Hotel 	 attend business conference Chicago year stay Hyatt Regency past two visit . hotel locate Lake Michigan nice accomodation . walk distance fantastic shopping Michigan Ave ; however , winter month may unbearable walk due cold wind . alternatitive cab ride minute away ( aware , last trip cabbie not realize know area well decide take long detour run meter $ 15 ( $ 3 - 5 cab ride ) . impressed doorman arrive explained situation , immediately take action call city 's consumer afair line report explain long welcome business hotel . hotel restaurant excellent nice business lounge stay busy evening . room nice staff accomodate 
 Oct 26 2008 	 good business hotel 	 2 night business . 's good , normal business hotel room . the elevator little slow . hotel radiant heating cooling , take change temperature room . the bar great view river . check ask ' river view ' ' lake view ' . bed comfortable nice flat screen tv . 
 Oct 24 2008 	 Great Location 	 hotel part package deal Travelocity . location great ! easy access mag mile & amp ; opera . room pleasant , clean comfortable , although dark modern - style decor seem little cold . hotel huge getting room bit trek due layout . however , good value upscale hotel location great . 
 Oct 23 2008 	 location super 	 fun stay Chicago . stayed 3rd floor hotel , directly across fire station . impressed window . first think , & quot ; hope not get call & quot ; . get call night though ; hear it . check - in check - out smooth self check unit . not wait line . bell staff polite helpful . housekeep friendly room clean . carpeting beyond repair two spot . replace . like room . big Bar fun . italian restaurant awful tasting price . J 's & quot ; 24 hour & quot ; snack close 2 a.m. hungry . bummer . in general , happy stay . lot great place eat outside hotel . 
 Oct 21 2008 	 Dream Hotel ! 	 frequent traveller stay different hotel , however , Hyatt Hotel well . nephew always book priceline.com still can not believe exquisite hotel like Hyatt accept offer ! low price offer , get stay 4 - star hotel ! Hyatt clean , classy , contemporary .. can not wait sleep bed ! highly recommend Hyatt Regency Hotel traveller . 
 Oct 17 2008 	 Fantastic Location 	 return 3 night convention stay Hyatt Regency Chicago . hotel centrally locate heart city Hyatt . within walk distance outstanding shopping , museum sight . even late evening , never feel unsafe walk neighborhood around Hotel . room appear recently remodel . clean comfortable . bed outstanding . 28th floor never wait 1/2 minute elevator . room quiet little hallway noise . general , would say property rank among one Hyatt 's good . look forward return Chicago , Hyatt place want stay . 
 Oct 14 2008 	 BIG Convention Hotel - impersonal efficient 	 large convention hotel . sort service restaurant . room clean decent size . efficient , impersonal service . good location south Chicago River , within walk distnce ( good weather ) Magnificant Mile shop , eatery attraction . underground connection Illinios Center allow access shop dining without go outside . this hotel way crowded taste , attend convention one convention hotel , fine choice . however , tourist , property likely suit need . 
 Oct 13 2008 	 great stay Chicago Marathon weekend 	 book couple room via Hotwire visit trip advisor always see guest say hotel . really nervous reading number negative comment post know refund change mind book Hotwire enter weekend low expectation . well great stay , location A++ mag mile downtown attraction front desk allow early check late check really nice . addition able accomodate room view room reasonable size whcih not always case Chicago hotel . it indeed massive hotel lobby hectic overall think great place stay would stay without doubt . 
 Oct 9 2008 	 Bad Experience Hyatt Regency Round 2 	 stay Regency 26 - 28th September . large group we go Chicago work event find great rate Travel Zoo . believe book 8 room . husband stay Hyatt year back Christmas holiday stay hope well stay time . upon check husband opt nice suite pay $ 20 / more per night . think bonus view window go hospitality room not really great since pay liquor ( honor bar ) . think juices coffee / tea free . room fine . nothing blog / brag . say lobby area crazy zoo . think weekend night turn night club . not experience 's people tell . say horrible Philly fan stay hotel . husband bear breed Chicagoan wear Bears jersey . walk bar 500 people boo . fun though b / c not care . must suck people come Chicago lose . oh well . Anyways make stay horrible : $ 48 valet . stay overnight hotel , pay $ 48 . self park . parking lot close $ 30 walk distance 's point . 's really cost kill . kill horrible service pay much , 's real dupe . price would expect customer service outstanding . not . husband call one morning get car somewhere work . call 15 minute ahead . get valet stand , take another 20 minute top 15 minute warn pull car car come . run late work event . horrible . mixed ticket leave airport leave Chicago home . 2nd really horrible thing : Saturday evening , husband go coworker . decide stay watch tv . 11 pm hear lot noise hallway not think much . not crazy loud . 11:30pm realized not put disturb sign . open door put sign handle water bottle lean door tip room spill liquid carpet . liquid hit foot startle half asleep . pick water bottle feel bit warm look liquid yellow . someone urinate water bottle leave lean door . call manager duty apologize send security clean mess . security came clean not even put effort cleaning spill . take bottle wipe carpet use shoe spray clean agent around area . room smell like chemical . can not believe get sorry chemical . obviously Hyatt not care repeat customer . tell husband furious . complain front desk . say could find surveillance camera . say invasion privacy . somehow not believe . going say 2 time Hyatt great stay . ' ve stay many hotel downtown Chicago . swissotel , Westins , ws , InterCon , Knickerbocker , Drake , Renaissance , etc . never stay Hyatt Regency Chicago . 
 Oct 1 2008 	 great location 	 stay 3 night Bridgestone / Firestone convention . complaint . room great beautiful view . staff accommodate . drink appetizer main bar . fantastic ! great location . yes 's huge hotel 's use convention not stop great place . 
 Sep 30 2008 	 okay business nonsmoking enforced 	 stay hotel attend business conference . taxi drop we east tower . inside , lobby immensely busy . reviewer liken airport terminal right . ride escalator 2nd level , fortunately line wate registration . offer could upgrade river view room king bed . neither available reserve room trip . special conference rate book pay $ 300 / night river view room . our room locate across street west tower , access skywalk . although bit tired looking , room clean comfortable great view Wrigley Building , Tribune Tower , riverwalk , etc . bathtub / shower combo not mold tile need regroute . toilet quite unexpected grade hotel . 's nothing standard tankless industrial toilet metal flush lever . ( think airport restroom - guess match hotel airport lobby ! ) toilet certainly functional , real problem flush lever back behind toilet , hide beneath behind build facial tissue bin - forcing become bit contortionist simply try flush thing . bathroom also exhaust fan , create hot sauna shower . air conditioning / heating system radiant cover build valance window . never get temperature right us room wish would whoosh noise fan mask noise room next door hallway . air circulation fan would nice also . another problem big gap underneath room door , make impossible keep cigarette smoke & quot ; nonsmoking & quot ; floor . person room next we smoke bad chimney . disgusting allow continue . plenty hot water quite skimpy toiletry amenity . give one small bar bath soap last 3 night ; shower cap , mend kit little extra even cheap hotel provide . none hotel restaurant open dinner first two night . breakfast buffet lobby bistro $ 22 , food good . something quick 24/7 , 's express market lobby buy snack , drink , prepared food , etc . , microwave toaster prepare buy . order room service breakfast one morning . food okay - mind - breakfast serve east lobby restaurant time get across street room , lukewarm . we subway live use walk tunnel underneath building . would greatly helpful Hyatt map brochure room explain tunnel system . skywalk connect east west hotel tower . be west tower go Bronze level ( take elevator 1st floor , escalator Bronze ) walk tunnel Illinois Center . will find small grocery store , shop restaurant . eat Houlihan 's , access tunnel Wacker street , since hotel restaurant close . also great little grocery store call Brookwinkles , one block south hotel Stetson ( street separate east west tower ) . hotel park $ 48 / night . internet $ 14 / day . use computer Cyber Cafe , prepare pay $ 28 / hour . hotel locate near south end Miracle Mile , 's bit walk shopping . Tiffany 's Macy 's two mile walk roundtrip . hotel courtesy shuttle east Tower / Lobby Navy Pier . customer service outstanding . one nice feature able print boarding ticket special courtesy terminal ( locate concierge area east lobby ) . might stay business trip , especially conference hotel . otherwise , personal trip , would probably opt quieter hotel elsewhere . 
 Sep 25 2008 	 Okay 	 return long weekend Chicago stay Hyatt ok three separate room . our first impression hotel extremely busy . wife liken lobby airport think good comparison . people wait line everywhere front desk , concierge , coffee bar , etc . we arrive bit early check . unfortunately room ready , person behind desk say going put room lake view . within half hour call say room ready , come back hotel mid afternoon . assume room reserve we , unfortunately lake view room leave . we give three different room , one view lobby , one back service elevator shaft loud , suite elevator problem . luckily service elevator not run night . we end stay suite give we large nice sit area wet bar . although , listen elevator woosh every minute two annoying . the layout strange look like building convert hotel time . large suite stall shower closet bathroom . the location great though . right river near Miracle Mile . main tip : make sure ROOM NOWHERE NEAR SERVICE passenger elevators . 
 Sep 25 2008 	 Time update 	 Chicago business recently stay hotel . stay several year love time , much . room strange update still look old , 's hard explain . think even light still darkish side . floor flat - large bump dip carpet , surprising strange . large enough gap door hallway could clearly see daylight shadow people pass . would guess could fit whole hand ( flat ) gap wrist . thing make wonder structural concern . as like room cool , go immediately thermostat crank low , look around could see vent - though large duct go across ceiling front window ( backlit duct smart , otherwise would unsightly , even backlit , 's push ) , say low expectation room cool . someone like & quot ; white noise & quot ; whirr AC unit , not expect ... say climate unit silent . speak noise though , hear everything - door slamming , toilet flush , etc . quickly shower run dinner , go bathroom , problem begin . toilet one industrial one tank lever . not care surprised , Hyatt Regency . next , hot water . let run good 5 minute since hurry , call front desk seem unconcerned , asked & quot ; let water run 10 - 15 minute & quot ; say , hope immediate hot water . lady apologetic say could send someone , say fine leave , could come take look absence ( not crazy choice ? ) . go grab towel take luke warm ( good ) shower . well ... towel long black hair go 's entire length cringe . throw one floor grab another one one part fake eyelash . begin freak , germaphobe . last towel seem acceptable use , trust , use sparingly . promptly call front desk back ( unlike last straw ) lady say would 2 set clean towel send , apologetic . time would ask please get new room . thing iron , stay fine , nothing great , issue arise . water hot rest stay say staff receptive nice , check - in above - mention issue . the thing would like outlet ... need iron day plug could find easy reach bathroom awkward iron little foyer outside bathroom . beautiful flat screen tv - love . bed average - coworker mine also stay hotel say sheet big enough bed foot mattress , hence remake bed . luckily mine short - sheet . I use amenity hotel . multi - story lobby ok . overall , would say hotel great location need upgrade major way include bathroom , bedding , general upkeep . would stay business travel suppose , certainly personal travel , pricey would certainly expect money . 
 Sep 22 2008 	 unnecessarily unaccomodate 	 stressful experience hotel . book conference think 21st 24th find reservation make 20th 24th ( possibly fault , possibly book error ) . arrive flight , find entire reservation cancel without phone call charge room cancellation fee place stay . kind enough allow stay one additional night explain overbooke might get hotel room tommorow . fact , overbooke book one several room high rate website . go back downstairs clarification come understand fact overbooke group , hotel . bewilder provide courtesy ( $ 240 night ) extend stay 2 night capacity PARTICULARLY customer originally book two night . front desk staff guest service courteous , appreciate . 
 Sep 20 2008 	 need renovation 	 service Hyatt still good . call housekeeping time stay always happy oblige request . as room , bathroom definitely need update . stone around sink crack faucet crook loose . floor spot grout look really old well . barely counterspace place toiletry well . the bed comfortable lot pillow provide , like . however , room loud hear water running pipe , tv room next door , toilet would randomly flush . also , mysterious pink spot carpet , somewhat unappealing . the location hotel right Michigan Avenue shop , well well know restaurant . place , popular meeting conference . later part week wait elevator , oftentime 's full wait another . at $ 225 night weekday , really think hotel could use update . 
 Sep 19 2008 	 re - design require ! poor Value . 	 previous reviewer use word & quot ; tired & quot ; & quot ; old & quot ; property concur . however totally amazed appalling design place . limo , taxi bus drop front entrance , be tell registration next floor escalator . ok , want shop restaurant floor arrive , room West Tower every time return hotel go escalator , crowd reception , take walkway West Tower . room poor design continue - two 18 & quot ; x 18 & quot ; drawer wife unpack belonging four day stay - object living suitcase price charge .... - bathroom small shelf round sink enough space 2 washkit make - up bag . get bad ! toilet small shelf flush handle set back shelf - bad back expect drop knee every time want flush .... worse still ! container bathroom tissue set side shelf toilet bowl lid seat lift lean tissue box - obviously bathroom designer lack basic hygiene knowledge ! convention pay $ 300 per night - worth ! previous reviewer talk priceline hotwire room around $ 100 $ 140 - 's probably right range . get space , well layout , free internet ( Hyatt $ 13.63 per day ) great number hotel chain - will stay somewhere Hyatt Regency next trip Chicago . 
 Sep 19 2008 	 never 	 stay hotel part conference . room somewhat clean , however shortly check smell smoke begin come hallway . non - smoking floor . contact front desk tell would security deal . late go bed . next morning smoke hallway another room . contact front desk say would deat . night , smoke , ask move another room tell book solid option . ask could something room smoke non smoking floor tell would charge cleaning , stop people smoke . final night , offer room change , get new room , king bed instead two double previously . contact front desk say could king move back room . overall property wear need good cleaning . location good , room noisy . 
 Sep 17 2008 	 Mixed Feelings Tired Hotel 	 book hotel last minute travel offer via Northwest Airlines although deal available many travel site . Hyatt Regency huge majority guest conference seem . people without nametag : - ) slight issue checkin due upgrade room order available get straighten eventually . room really need refurbish . picture ' ve attach show mildow bath can not show dust , dirty throw pillow , bad carpet . bed comfortable TV fine general & quot ; old & quot ; feel room . also much noise hall adjoining room think due 2 inch gap bottom door . location excellent E. Wacker Michigan Av Columbus . grocery store 1 block south . staff friendly competent . might stay price really attractive well hotel Chicago price . 
 Sep 16 2008 	 solid choice sensitive noise 	 huge ( ! ) hotel , Hyatt surprisingly well element staff 's control . check 4 pm Friday , busy lobby ' ve ever see , quick efficient , although long wait elevator . initial King room , end hallway , strangely shape ( like squish trapezoid ) bed squeeze odd angle . be terribly picky happy space relax room . since book Priceline , not sure have able switch , call front desk offer new room floor , one two double bed , caveat bellman move we . trip back land we room across loud malfunctioning ice machine -- room 's size muted noise ( Priceline rate know go get choice room ) .We sound sleeper noise not big deal , man , LOUD , especially late night tippler stagger back room wee hour . Hyatt afford 36 & quot ; plasma tv , surely could afford 2 & quot ; strip bottom door block noise come large space bottom door floor . our room standard Hyatt decor : pretty , yet clearly see lot traffic . greet name every phone call desk encounter , room service clerk especially courteous observed standard gender protocol ( request permission enter room , open deadbolt door fully close / latch room ) female member couple order room service alone room one evening . may think old - fashioned , appreciate . we expect expensive room service , $ 25 veggie wrap soda , disappointing sandwich tough unpleasant taste fresh . ' ve typically much high quality room service meal Hyatts . the Fitness Center locate inconveniently tunnel connect two wing building , passageway share indian restaurant . hallway outside fitness center reeked cigar smoke extent not bother go in . that say , location perfect , weather beautiful , really not massive & quot ; airport & quot ; lobby not bad stay . something would recommend full price , solid choice get deal . would definitely stay . 
 Sep 15 2008 	 great location ! 	 indeed , be huge corporate hotel , location hotwire rate ( $ 119 ) can not beat ! check - in take 5 minute , complaint there . the room bit small , fine two people ( plus great view Chicago River . ) modern convenience expect four star hotel . Shower temperature fluctuate bit , nothing serious . I not eat hotel 's restaurants- 's many great restaurant city eat hotel- offering seem decent menu . my complaint $ 50 / day parking fee ( expect big city ) , city - own garage block south Millennium Park half price well worth it . above , be pay $ 350 night , may disappoint , barely $ 100 night , happy . 
 Sep 15 2008 	 good business really vacation 	 stay hotel conference McCormick Place . conveniently locate , parking pricey ( good thing not car ) dining place . relatively reasonable place nearby , not realize first . block subway / elevate train station , convenient . also taxi stand shuttle available airport , fee . room large clean bathroom ok , lack fan moisture control buzz light minus . think would little busy hotel look place crash explore Chicago . nice place chill business trip great hotel . internet available , little area internet access ( fee ) , ton service probably much casual traveller welcome business trip . 
 Sep 15 2008 	 Excellent service 	 return stay Hyatt Regency convention , extremely impressed level service display every employee encounter . employee snack bar call name ( yes , wear convention name badge , employee convention hotel rarely bother notice ) , room service attendant walk correct elevator ask get room West Tower , maintenance man ride elevator ask enjoy stay , treat like value guest every turn . management clearly place priority provide stellar service . downside colleague mine place one small hotel room ever see hotel type ( one double bed couple foot space around , shower stall bathtub ) . unfortunate , travel large amount equipment various presentation give conference . supply unpacked & amp ; spread around room , climb bed get one side room . room , hand , quite comfortably sized ( two double bed , plenty room move around , etc . ) . find assign one shoebox - sized room , definitely ask large room available . also , aware convention hold hotel , public area hotel busy loud . be great one convention attendee , Big Bar public area great spot mingle cohort , travel leisure look relax experience , try avoid stay hotel host convention . 
 Sep 9 2008 	 much well 	 nothing wrong hotel also nothing special . first impression remind somewhat worn large airport lobby full many people . fact think hotel try achieve . even self serve check terminal flash light indicate wing ' use get room . lucky get room west wing high nice lake river view . lucky could end face dirty old apartment building . for part stay hotel okay . trouble sleep loud noise icemaker people use water . expect anything special right . stay last two night visit Chicago hotel low average cost spend hotel visit . find great rate Hotwire hotel hundred dollar . however even great price get hotel would stay . many hotel Chicago much character hotel . ' care character charm might okay hotel think well even great rate . 
 Sep 6 2008 	 fine hotel great location 	 stay Chicago Hyatt Regency week Labor Day . huge hotel , follow sign get around . use 1800checkin service arrive late evening . give we room next service elevator , noisy night . mention front desk next morning , switch we quiet room rest stay . wall quite thin , could easily hear noise hallway fortunately activity hallway night . hotel great location get Mag Mile catch El State / Lake 10 bus go Museums ( Science Industry , Field , Shedd Aquarium , etc . ) be glad not rent car -- parking fee really high , be easy get around not mind walk / take public transit . whole city Hyatt underground , barber , fast casual eatery , shoe repair , even florist . free StayFit gym open 24 hour bunch treadmill , stair stepper weight / resistance machine . TIP : bockwinkel 1 block south hotel nice deli good grocery . 
 Sep 4 2008 	 average stay . great location . 	 stay three night conference . gorgeous view river lake West Tower . nice hotel subtle sign age room . clean room staff friendly . great location - lot walkable attraction . Recommend Volare authentic italian food - walkable hotel . definetely would stay . 
 Sep 3 2008 	 never stay 	 stay hotel town conference . first room assign glorify conference room murphy bed bad lighting . switch room . new room fine , although bathroom small little - to - no counter space ( bad lighting , ) . really make hotel bad door room . way get shut quietly , throughout night early morning hear door slam people come go ( slam door purpose - make incredibly loud noise ) . plus , room well - insulate sound , since could hear convsersation , run water , etc . surround room . 
 Sep 2 2008 	 work 	 good stay , nothing like might expect . use Hotwire 's Travel Ticker book room $ 119 come $ 140 taxis . , amount money maybe not expect lot . room beautiful comfortable beyond long line elevator ( boss always seem show get room conference release ) , nothing negative stay . still , usually stay Drury Inn whenever be road . not think anyone be go compare Drury Hyatt , $ 40 , really not much difference . Drury Hyatt wonderful staff comfy bed internet access . difference get two free cocktail night Drury along snack , free hot breakfast , free wireless hard - wire internet parking . none , $ 40 , include price Hyatt . grant , different hotel , stay one night not see much difference ; not see would make Hyatt worth $ 40 Drury usually stay . still , comfortable . bet stay long night would ' ve notice offer . 
 Aug 31 2008 	 like drunk will love Hyatt Regency Chicago 	 's witness Hyatt Regency Chicago three - night stay:1 ) drunk woman vomit middle lobby.2 ) drunk woman yelling & quot ; fire & quot ; 4:40 slam door . cause neighbor congregate hallway talk loudly call security.3 ) man essentially panhandle lobby.4 ) drunk woman fall escalator.5 ) three drunk man push show elevator . phillie fan , assume typical behavior ( lol ) .I ' m prude ( believe ) , ridiculous . whatever reason , hotel attract people can not hold liquor people not know behave public . honestly , like something water , gin , hotel become Ground Zero big congregation drunk Chicago . otherwise , hotel staff misquote price architectural boat tour help book well airport shuttle . case , staffer seriously under - quote actual price , cause unnecessarily question employee business . room nice , location great breakfast not bad . bar expensive , expect ? hotel huge , great people hurry not like long walk . I will not stay vibe & quot ; prom night & quot ; staffer can not get info straight . 
 Aug 27 2008 	 good location busy inside 	 Hyatt Regency large hotel Chicago definitely feel way inside ! true convention type feel . ton people , large crowd , lot hustle bustle . however , say , line check , talk concierge , elevator , check . be room - hotel great . location wonderful , next Michigan Ave . concierge helpful . room large view beautiful . would stay get good rate . 
 Aug 19 2008 	 nickel - and - dime ' til pocket empty ! 	 thank god get hotel priceline . can not imagine pay full price place . the tub moldy dingy . toilet not flush . selection tv channel limit say least . unless want pay $ 5 rerun NBC show . oh , internet ? set back $ 15 day . and breakfast ? 's $ 16 cup coffee , croissant two slice honeydew . hotel pit . customer service .... absent ! walk ridiculous lobby ( deck like bad late 80 's prom ) be one direct upstairs check in . and be , check fast , will grant that . this hotel big , crummy rip - off . never stay ( steer clear Hyatts general believe ) . 
 Aug 14 2008 	 classy hotel good location 	 stay hotel one night get Priceline . price pay excellent . find reviewer really hear lot noise people hallway . bother sleep hear people evening morning . 16th floor West Tower end hall . might door wall . go much hotel enjoy room immensely . bed extremely comfortable pillow . tv sizeable flat screen . find towel average much enjoy soap , shampoo . great view Wrigley tower river area . also check fast ever experience . barely get last name hand room key . find valet parking easy work . cheap , drive back parking next day 6 pm . find parking Chicago expensive everywhere . $ 48 Hyatt . 
 Aug 12 2008 	 boy pick WRONG Hyatt Chicago ! 	 bad customer service , mediocre food restaurant , loud sum . huge hotel . check , room came go could answer question & quot ; upgrade & quot ; . say could complimentary upgrade suite . find one floor street , know problem . go room , could hear ice machine outside door rumble . someone use really make noise . ask move ice machine street noise . lug luggage back lobby , across hotel tower new upgrade room quiet & quot ; club & quot ; level . leave part club amenity extra ( understand least inform customer playing & quot ; club level & quot ; part ) . upgrade room miss remote control tv , pen desk , paper . since hear turn - down service go door door wait patiently realize & quot ; turn - down service & quot ; we upgrade people . call desk bring item . then hear room service pound someone 's door 12:30am . get room service late usually quiet people might sleep ( hotel ! ) half hour later , hell break loose & quot ; quiet club floor & quot ; . call desk say would send security . tell security make noise yell hall 1:30 . never hear anyone security radio turn way make noise . the next day manager ask could make . say club level amenity would nice seem agree . guess - never get anything ! food hotel restaurant also mediocre service . I would not stay pay . several friend problem well write post . 
 Aug 7 2008 	 Good Service Nice Room 	 yes , primarily convention hotel busy , noisy lobby attest ! room nice classy - look , service front desk concierge friendly efficient . one Regency Club level mean receive complimentary buffet breakfast late afternoon snack . be worth extra $ 20 day especially be two room . & quot ; cheap & quot ; two Hyatts downtown Chicago . big perk summertime free trolley service stop right outside front door take attraction , include Union Station . 
 Aug 2 2008 	 Big busy 	 convention hotel . 's large convention space underground tailor around conventioneer . time thousand people , conventioneer , spouse , business folk , bustle around constantly . even convention attendee , would prefer staying quieter hotel area , certainly many choose from . the Hyatt plain big . everything long queue breakfast ( $ 27 ) pack bar night , find overwhelmingly busy crowded . staff friendly certainly try provide personal attention , whole atmosphere lack personality . the room fine . mine $ 250 / night . everything clean modern . flat panel tv nice . bed comfortable , bathroom good . room plenty space small couch seating area . 30th floor terrific view . internet access $ 14 / day always annoy expensive hotel charge , wireless . location excellent , easy walk Navy Pier , Millennium Park , Magnificent Mile , lot restaurant . if vacation , would never want get catch convention atmosphere . stay not convention go , might relax , ' m still fan giant hotel like . lot great hotel Chicago . part convention not mind bustle hotel , will fine . like something little personable , would look around . well . 
 Jul 31 2008 	 Nice Hotel 	 stay night late spring getaway wife . warmly greet person check we able get we room partial lake view . room nice , comfortable bed , large tv nice table 4 chair front window . view look river Navy Pier , make nice place take afternoon break . bathroom nice , nothing special ... could stand update nice counter , sink tub . overall great place stay ! 
