3 	 stay wedding anniversarya great hotel .... good bedroom ... great fym /pool ... also thy spa ... spa treatment .... lift ok ....... prob ........ nice walk primrose hill regent park canal ... nice park area kid .... playground stuff ..... nice clean ....... fresh towel everyday .... staff good friendly ..... defo stay 10/10 ..... 
 Jun 13 2008 	 Good Stay .. 	 first trip London location hotel important . Marriott outskirt London , 10 min . tube station Swiss Cottage 5 min walk away . arrive first day , able get room 8 am ! never happen we , US ... arrive early Gatwick , get hotel 8 am , think would leave bag hotel return later check - in , room ready great sick flight ny . staff hotel helpful courteous experience . the area nice ... quiet shopping area , right across street tube ; grocery store restaurant . complaint aroma lobby kinda musty ! need change scent circulate ... try floral smell instead . get central London min away ... train system London commend promptness ! every 3 min less , train arrive . never take long get tourist place central London ... NY , wish train system like ! thing good bit warm train ... A / c . nice travel Brits . tv show another story ... boring ! spend 5 day London , take Eurostar Paris nice ride ( 2.5 hrs ) ... easy connection . Pancreas Station wonderful beautiful station terminal . train take central Paris ... take local train destination . the price pay $ 220 per night bit steep accomodation good . overall , Marriott well first trip London ... give high mark ! 
 Jun 2 2008 	 Lovely Hotel Great location 	 Date = Bank holiday weekend May 24th - May 26thAges = 38,38,12 12we book family room wife , daughter , daughter friend . get great deal 2 night ( Saturday Sunday ) Marriot website . arrive London 9:30am ` want waste day . go reception ask ok leave car underground car park come back later check . man say well , would like check return like . nice thing think . thank that . the Room . this large normal London type hotel room . kingsize bed queen size girl share . tv normal 1 5 plus sky sport , bbc news cbbc . mini bar ( ` use every hotel expensive ) . usual though mini - bar electronically tag pick bottle , register reception obviously seem think purchase item . the wardrobe large normal hanger normal . wardrobe also light move one hanger . nice bathroom usual freebie plenty towel . shower bath powerful . also large mirror light . patio windows 1st floor mini balcony walk , ` get excited say mini enough room walk view short stay car park . Sunday open door find Sunday Times leave outside door ( free ) although think nice ` really cup tea . talk , whilst relax long day walk Saturday , door knock leave . maid asking would like anymore bathroom freebies coffee / tea . think make nice change . tea / coffee facility available room . the PoolThe hotel pool although 1.2 metre deep deep end lovely warm . shallow end start step reach pool floor . shallow end 8 inch deep . obviously get deeply close get deep end . 15 ` accompany adult get free towel use per person . ` try steam room sauna around pool edge . adult ` want swim lounge cushion sunbed deep end ( 6 ) .The Hotel LobbyPlenty room sit also glass wall room 2 people use internet ( charge course ) . hotel 3 lift will not happy use .. ! slow take awful long time arrive . wait 20mins one time come . ` well going lift far 7th floor come way . ` , lift might full get floor . wait floor . hear say ` use stair 1st floor . ah .... well ask bellboy wait we lift arrive question . claim stairs fire escape ` lead lobby .. ! BreakfastThis awesome . much like . orange juice , 6 different cereal 2 type milk choose . toast jam plus different pastry . help self buffet english breakfast ..... streaky non streaky bacon , sausage , bean , mushroom , black pudding , hash brown , tomato , scramble egg . would live fried egg omelette , live cooking station chef cook like . order omelette choose go . ie ham , onion , bacon , cheese etc . the BarWe ` eat pull stool drink whilst kid use internet room . plenty draught beer choose nice peaceful atmosphere . areathere shop bank ATM ` Swiss Cottage underground Station . the hotel quiet residential area 300yards Swiss Cottage underground station . walk station Saturday morning ask travelcard unlimeted use underground / bus . 4 we come £ 12.50 full day . whilst purchase type ticket Sunday . find brilliant . the underground line Jubille line go straight westminster station right outside Westminster Abbey Houses Parliament / Big Ben short walk away London Eye , Horse Guards Downing Street . take 12 min get Swiss Cottage tube run every 3min . stop Westminster Green Park use Buckingham Palace see change guard . stop Bond Street station change Oxford Street shopping ( one station away ) . stay Jubilee line tube continue line past Westminster come London Bridge . take 18 min get tube Swiss Cottage get London Dungeon , Tower Bridge Tower London . we use tube Madame Tussauds Baker Street stop 2 3 stop Swiss Cottage . cheap fast way travel . ? great hotel great location . find good way find hotel worth go ask would go . answer efinately would look availability hotel consider anyother . put much info review give hope help . 
 Jun 2 2008 	 love stay ! 	 great stay Regents Park Marriott Saturyday ! staff friendly really love bed ! hotel 3 stop away Bond Street make shopping trip really easy : ) 
 May 31 2008 	 round excellent hotel . 	 return overnight stay London Marriott Regents Park . hotel fantastic offer incredible service . decor public area bedroom amazing . hotel recently go refurbishment really look part . hotel situate great location , stop Bond Street Jubilee line ; outside Congestion Charging zone ideal driving . we stay one executive room . one spacious room stay whilst London ; ' very ' clean ! dine hotel new french restaurant ' Central Brassiere ' . truly amazing dinner experience ! restaurant new get great display fine wine . would highly recommend King Prawns starter ! service restaurant attentive personal . restaurant design seat private booth middle action ! hotel also offer attractive bar , also meet famous cricket player ! ! ! overall would say probably good hotel stay visit shop Central London ; would definitely recommend anybody look stay Capital . 
 May 30 2008 	 must go hotel ! ! ! ! ! 	 start ? arrive around half 1 afternoon show straight room . ever one pass come contact friendly eager help . room spotless beautiful , spacious comfy , especially bed . eat restaurant whoever go must try chocolate mousse , amazing thing ever taste ! ! ever food little slow get we happy apologise . restaurant bar comfy feel like could sit night without worry try catch anyone attention happy help choose ignore like many place . another thing great hotel easy access every , close station . 
 May 29 2008 	 Excellent Hotel 	 stay Marriott Regents Park May 08 . friendly welcome hotel staff keen please . bedroom clean bed comfortable . great bar smart relaxed newly refurbish restaurant - food great excellent service . find really handy get west end show restaurant also - swiss cottage tube minute walk away pretty quick cab . really good value money ideal London sightseeing . Mark , Edinburgh 
 May 28 2008 	 Marriott 's usual standard Nice bed 	 Marriott London Regents Park little bit disappointment . not terrible way , nice Marriotts use USA London ( Marriott London Park Place much well ) .The room fairly nice bed comfortable overall hotel pretty quiet although soundproof mean . could hear traffic door slam hallway , etc . there couple issue . bad hotel - wide fire alarm ring loudly 2 am 30 second , wake we elderly parent next room ( presumably everyone hotel possibly neighborhood ! ) disorient freaked . take hour fall back asleep already jet - lag arrive hour Los Angeles . fire , error sort . anyway , sort thing random likely will not happen be stay ( hope ! ) feel handle well maybe compe breakfast everyone take $ 20 something . pretty big upset . the service great bar / restaurant service bad . People around we cancel order due food take long , etc . the location pretty close Tube station ( Swiss Cottage ) obviously central sight . couple restaurant walk distance & amp ; simply food couple shop 5 minute walk . overall , would consider stay quite bit cheap similar option . pay $ 220 / night per room US dollar taxis fee . internet room lobby free ( fact expensive ) . would consider stay $ 150 / night think . 
 May 27 2008 	 great stay ( mostly ) 	 stay 2 night Priceline bid . arrive 1:30 pm room not ready , desk say come back 3:00 pm . go bar drink wait along many other also wait room . 3:00 go back desk . room still ready ( Priceline curse bad room , bad service ? ) desk clerk finally tell place upgrade room 6th Floor ( minus executive suite access ) . nice room , regular Marriott amenity , good bed , small balcony . somewhat loud night consider sixth floor . traffic noise constant night . like Swiss Cottage area , easy get around , walk use tube bus . use free wifi internet McDonald 's Finchley Rd rather pay 15 pound Marriott want . also shop Marks Spencer Food Store across tube stop , much less expensive hotel 's restaurant . store food room 's mini fridge . highlight stay watch play Hampstead Theatre adjacent Swiss Cottage tube stop . see amazing play great seat , & quot ; Stockholm & quot ; 20 pound . buy wonderful fresh - make crepe little french cheese stand entrance theatre 2 fantastic cookie bakery stand next , enjoy picnic dinner deck theatre overlook community park fountain . inexpensive alternative traditional west end evening , within 5 minute walk hotel . theatre bar also serve sandwich drink . Rode bus Warwick Street catch London Waterbus canal tour boat Camden Locks . fun , 50 minute boat ride , 6 pound 50 . easy bus ride back hotel . meal cafe hotel good , service slow , server inattentive , bill add wrong . check early ( 5:30 ) flight Heathrow . Bill totally wrong Priceline customer prepay , someone else 's rather large bar tab bill refuse pay . tube service available early Sunday , book ride Heathrow Swiss Cottage car , less 30 pound , good deal , think . driver right time , definitely use service . overall , really like hotel room , amenity location . staff weak link stay . 
 May 12 2008 	 Excellent Hotel 	 family 4 return weekend London Marriott hotel Regents park . hotel excellent hotel stay Ireland & amp ; England never experience incrediable service value money . would problem recommend hotel other definately return . reception staff concierge friendly glad help everyway . pool small , hugh adequate we . very convenient London Zoo travel around London city tube station ( Swiss Cottage ) short walk away Jubilee line link part London . food excellent breakfast brillant , enough eat . 
 May 5 2008 	 Fab hotel 	 husband staid long weekend break 2 child use tesco voucher . wonderful time impress hotel even though reefurbishment take place . our room second floor huge clean , bed comfy ample space four we . bathroom well stock toiletry stock every day even mouthwash ! breakfast nice wide selection hot cold dish pancake waffle make fresh front . wait long table even weekend , breakfast 9 ish . swim pool huge hit child open quite late . hotel situate near Swiss Cottage Tube Station , jubilee line take 10mins central london . the negative comment hotel lift slow walk downstair use fire escape walking kitchen area . may resolve refurbishment programme . would recommend hotel would stay . 
 Apr 21 2008 	 great bed 	 nice clean room , good size . room also quiet . nice pool , except change room far away pool get quite cold walk pool ( bring towel wrap around walk ) . breakfast nice expensive . 3 minute walk Swiss Cottage tube station . someone like walk room good public stair ; use lift . room good size ( London ) . central London 's public transport fast not really matter . 
 Mar 17 2008 	 reasonable right price 	 get great deal place via Priceline . definitely would pay normal rate stay , especially weakness US dollar . would stay get price via Priceline . the Zone 2 Tube stop 2 - 3 block away , 's reasonable place stay tourist . Tube quite fast efficient . small market tube station hotel . large supermarket within walking distance ( 5 block ? ) hotel feel bit date Marriott , inner view not great . room nice clean not noise issue . oh , despite name , be near Regents Park . 
 Mar 4 2008 	 Sleep deprive Marriott 	 not stay like sleep . allow music blast banquet hall ground floor , supplier pack lorry outside window 1 a.m .. delivery truck start arrive 6 a.m .. duty manager not seem care , apparently hotel guest not important drunk party - goer . 
 Feb 9 2008 	 Decent Hotel Fair rate ( London ) 	 hotel good place stay reasonable price , long willing take public transportation get around . Regent 's Park area far city center . Swiss Cottage Tube stop 5 minute walk hotel several bus line around area well ( # 82 , # 13 ) . pay 118 pound week day room ( $ 240 ) , London business travel good deal . hotel look date outside undergo renovation room update . be suburban like set , although close enough major road hear traffic night . although name suggest close Regent 's Park , . however large park minute away , great view city . take time go walk . room clean , bed comfortable , bathroom typical old Marriott small bathroom . good shower . tea pot room ( coffee pot 's typical UK ) . room noisy morning due bang door . , room quiet save traffic noise expect large city . staff extremely friendly helpful . concierge staff go way help direction . since stay week , constantly ask help . food hotel expensive eating . within walking distance night restaurant . ( stay away Swiss Cottage unless want beer . ) several trendy restaurant side park . the pool warm enough gear towards kids beach type entrance , make swimming lap difficult . change room chilly walk pool . steam room sauna , well look like excellent work facility . recommend hotel want basic , safe , clean place stay . 
 Jan 30 2008 	 avoid restaurant / food 	 hotel nowhere near Regents Pk ( hotel chain ? ) & amp ; middle renovation work restaurant not open & amp ; eat cafe area . Wish have tell we book . restaurant service & amp ; food seriously awful ( warm mineral water , inedibly greasy pasta , soggy / greasy salad , soggy pastry , etc ) diner unhappy . staff nice inept , wait 1/2 hour serve another 1/2 hour food , water & amp ; wine arrive first course . nothing done not eat meal & amp ; tell , apologise & amp ; smile .... however , room ( deluxe ) lovely , comfortable & amp ; quiet , breakfast excellent & amp ; staff friendly . would stay definitely eat . 
 Jan 29 2008 	 love place 	 not sure location prove close tube & amp ; short walk Camden market . upgrade 7th floor room king & amp ; solarium type window comfortable , spacious awesome deal money consider book priceline 117 we . the problem internet expensive & amp ; available 24 hr block . helpfull attentive staff go way . good indian place near decent pub . 
 Jan 28 2008 	 loud date 	 room nice , outside room date . hotel evidently go major renovation end sometime next year . also , room loud . could hear traffic night long 5th floor . 
 Jan 19 2008 	 Good hotel LON 	 stay attend conference . although hotel renovation , 's good place stay London . ideally locate Jubille line , 's fact calm pleasant area . room clean new , still smell like new carpet . bed probably good one ' ve ever sleep hotel . need earplug , hotel silent enough . comfort room ideal . 
 Jan 17 2008 	 Superb hotel clean friendly well position recommend ! 	 family stay London weekend , choose stay Marriot Hotel Regents Park . book family room 4 people . Swiss cottage near Underground station , hotel 300 yard , although mean cross busy road . the hotel well present care . reception large impressively decorate - standard Marriot - checkin staff friendly efficient . the room fabulous - two large double bed , table chair , lovely big clean bathroom , double door open balcony ! could easily see St. Pauls , London Eye , Gherkin ( ! ) BT Tower . one criticism room , television rather small , especially compare Marriots stay at . we make use swimming pool attach hotel , little disappointing . change room good , walk 50 yard pool , along cold corridor - much fun come back . pool good small child , 6 inch deep one end . also good sauna steam room . we go eatin hotel restaurant , horrified price - feed four we would cost almost much hotel room ! end walk back Camden ( approx 500 yard ) find various cafe take away . much well value ! breakfast next day include price , consist fabulous buffet - cereal , fruit , cake , meat bread - well cook breakfast . checkout fast efficient , problem bill ; ) whole terrific hotel , really enjoyable . Marriot could sort ridiculous price charge food bar restaurant , would perfect . 
 Dec 15 2007 	 inconvenient look 	 bit tick get via Priceline , look quite far anything , longish walk Tube . however , pleasantly surprised stay , pay ( $ 130 night , incl . tax ) , happy . despite name , hotel course remotely close Regent 's Park , get past , be quite good spot . bus right outside hotel go straight Camden Market , give lot shopping / dining opportunity . Tube not really far -- like 3 minute walk , be sort confusing find first time . ( hint : Take & quot ; Avenue & quot ; exit Swiss Cottage stop , , actual Swiss cottage pub face , turn leave walk corner , turn leave will see Marriott sign block front . ) Swiss Cottage seem bit far Tube map , frequent fast service mean never take long 15 - 20 minute get anywhere central London . another less obvious bonus location Swiss Cottage Library Leisure Centre ( massive complex w/ rock climbing wall ) , halfway Tube hotel . 's great casual restaurant breakfast lunch , far cheap hotel , get 1 hour free internet access day library ( go 2nd floor Learning Centre sign ) .The hotel fine -- standard 4 - star chain hotel , comfortable bed , electric tea kettle , etc . service bit erratic , usually kind place -- would not bother ask & quot ; concierge & quot ; anything -- way be really go faze travel lot . 
 Nov 10 2007 	 excellent experience 	 spend two night hotel Nov 07 . think hotel excellent . the room good size two double bed contain within it . the bed extremely comfortable clean crisp linen . I one slight problem , tv seem mind time time . the staff hotel welcome knowledgeable . the food restaurant good , although hash brown little chewy . I use high speed wireless internet connection adequately fast , although £ 15 24 hour , little expensive . not time hotel offer service part stay , instead cash business user ? ? stay London , hotel little far city centre , 5 min walk Swiss Cottage Tube station 10 - 15mins tube ride away . Primrose Hill 5 min stroll away hotel great walk rewarding view get there . I would recommend hotel doubt stay . 
 Nov 7 2007 	 ok facility ; Inconvenient Location 	 enjoy good size king room October 2007 . although since room renovate , furnish equipment still good condition . bath little small size acceptable . front desk always busy . clerk plesant efficient computer system frequently & quot ; & quot ; concierage absolutely magnificant . extremely helpful cheerful . the quality food resturant good although frequently run item . service slow highly inefficient . the hotel locate mile northwest Regents Park . five minute walk Swiss Cottage stop Jubilee underground line door door trip central London take 45 minute . Taxi fare central London run 16 19 GBP.I would consider stay return trip would first explore hotel close central London . 
 Oct 30 2007 	 nice stay 	 stay three night use point . nice room good bed . new bathroom , crisp white linen , mini fridge . great location Swiss Cottage station around corner easy get everywhere . complaint room stuffy even A / c . actually not think A / c work , ' ve never stay hotel UK A / C actually cool , different . Oct. able open slide door tiny balcony get fresh air . room furniture balcony stand . good indoor pool , sauna , steam room . check easy even allow we room early . eat hotel breakfast one day run egg 9:15am . one computer lobby guest use 45 minute internet card 7 GBP . always line use however . good restaurant Primrose Hill 10 minute walk . benihana good around corner hotel , expensive . regular course 23 - 36 GBP . get seven course deal 16.50 GBP cheap thing good . maybe seem expensive usd weak . nice safe place stay long be okay little north main city . 
 Sep 23 2007 	 Marriott Regent 's Park 	 spend 3 night Marriott Regent Park London end England trip . kind nice upscale hotel week travel . Marriott Regent Park locate busy road London 's Zone two residential neighborhood . room face road road noise . easy quick get central London tourist spot via underground . hotel 7 - minute walk Swiss Cottage Tube Station . interior hotel recently totally renovate . room pretty , bed comfortable , hotel exceptionally clean . swim pool well - equip gym locate hotel . computer lobby could get airline web site check return flight . experience usually complementary service hotel . grip computer let get website start check - in finish put credit card information pay 3 pound . hotel go charge service , need upfront require credit card information prior get airline website . enjoy stay hotel even sleep couple morning . 
 Sep 16 2007 	 Excellent American Style Hotel London 	 excellent stay Marriott Regents Park . room spacious compare european hotel . short work underground ( multiple restaurant ) 24 market . staff always helpful . one weird thing provide conditioner room ( ask ) . internet cost prohibitive ( 15 pound ) . read review ask quiet side hotel ( quiet ) . prefer stay downtown area . take direct train westminister ( 20 minute ) . barge overlook review . also , hop bus include free cruise Greenwich ( scenic 8 mile tour river ) . Primrose Hill short walk . close Regents Park , take underground . bus corner us Camden market 5 minute ( good shopping london - 3rd highly visit tourist site ) . eat hotel nearby restaurant half price good . also enjoy free pool sauna night . 
 Sep 13 2007 	 Excellent Service 	 love place ! meal restaurant well taste entire stay London . delicious service excellent . bed pillow room comfortable everything well provide . close Swiss Cottage Tube Station get around easy . the cost bit pricey currency conversion pound dollar well worth . would stay next time London . 
 Sep 7 2007 	 good Choice 	 family make wrong choice stay Hotel . 's noisy 's face street hear traffic . especially noise noisy diesel engine london black Taxi 's run street hotel night long till early hour morning . 
 Sep 4 2007 	 4 Star Comfort - Priceline Value 	 wow ! value . pay $ 535 two room two night via Priceline August . Marriott recognize platinum status give we two room executive floor . comfy bed , attractive lobby . check - in lengthy , ? could trainee 's refer early post . hotel less 5 minute walk tube station . it little town ( 10 - 15 minute Bond st /Victoria Station via tube ) .However , receive excellent treatment value . 
 Sep 2 2007 	 do not stay ! ! ! 	 Family stay one night awful , check go room clean last person , ashtray full cigarette end , room smell horrible , tell check family room , smoking , complain room change we smoking room , right road side , famliy room bite silly . sleepless night , go breakfast buffet style fruit offer daughter , english breakfast warm , toaster ( one ) take forever give idea . overall would give hotel miss 0/10 . 
 Aug 31 2007 	 expect much ! ! 	 third stay hotel . decide go although soft refurbishing going expect would eventually fix minor fault notice last time . two long check- in ( first time room ready go thru check ) give ' newly refurbish luxury ' room but:1 room half size ' old ' room low ceiling ; 2 wall wall carpeting lay secure corner fall ; 3 tv set go mysteriously night ; 4 call housekeeping extra suitcase rack nobody answer ; call front desk long wait tell none available suggest place suitcase floor ! 5 Handle window keep place duct tape way secure window unlocked time ; 6 Part latch door miss thus door lock double lock 7 drain tub ' work shower hose leak spray water tiny bathroom ! go ask talk manager ( blond man crew cut ) report ; abrupt rude say would send crew follow morning eight ( ! ! ) never see anybody day shower always problem . breakfast ok although breakfast room quite crowded weekendI say correct room keep clean , good mattress good pillow selection . good location , could nice hotel poor maintenance useless housekeeping ! ' really look refurbish , like paint white downsized room ! ! mind size room could care less detail ' OK 
 Aug 25 2007 	 great family hotel 	 recently refurbish hotel great family 5 . although many consider outside city center , easy get anywhere Swiss cottage tube station right around corner . room clean little bit lame , keep leave item room clean clothe clean item . get great rate London hotel direct Marriott web page , include breakfast . breakfast always busy ( especially arrive late ) always plenty food service good . stay 9 night , washing machine facilite hotel , inconvenient people stay long trip . see nearby hotel charge wash expensive around $ 10 pair sock ! see lot people complain additional charge bill come exactly amount quote internet . 
 Aug 25 2007 	 nice ! ! 	 stay 16th 22nd . remodel hotel get wonderful room 5th floor . , nice clean . room little balcony air condition . thing bother we restaurant , staff not friendly , expensive take awhile get food . breakfast $ 80 , husband daughter . little cheap order room service go downstairs . breakfast buffet every morning kind stuff . great get good meal heading day . there s nothing really close end eat least day restaurant much easy . go Wagamama couple night love noodle , love ! everything unbelievably expensive everywhere , place bad really worth . really love hotel sort busy hustle quiet . swiss Cottage Tube right around corner also . go back would definitely stay ! 
 Aug 25 2007 	 really Nice Hotel 	 really would expect Marriott - large clean comfortable room lovely retaurant bar area . the staff really accommodate food restaurant great reasonably price . eat 3 course menu £ 25 include glass wine ( always great selling point ! ! ) bedroom refurbish really modern airy - one thing would suggest provide propoer haidryer room ! bed live Marriott standard - comfy never want get ! ! ! Locationwise be great too- couple stop tube Bond Street twenty minute walk Camden ! big thumb hotel - definately return ! 
 Aug 16 2007 	 good experience 	 stay 1 night Aug 2007 . excellent room second floor quiet part hotel extremely comfortable bed , good sit area , function air con excellent bathroom . breakfast one well expreience hotel type service facility genrally good ( apart somewhat slow reception staff ) complaint regard poor quality food serve evening . & quot ; prime cut beef & quot ; burger clearly arrive straight factory via freezer tiny portion Caesar salad make bitter inner leave lettuce . good . however , plenty local option eat Swiss Cottage , St Johns Wood High Street Regents Park Road Primrose Hill . would stay . 
 Aug 3 2007 	 great hotel London 	 husband stay 3 night Marriott Regents Park . treat Birthday also opportunity husband watch start Tour De France . hotel good location - close centre everything close - surround area not busy noisy . we check around 1 pm ( request early check - in ) staff helpful friendly . our room executive floor lovely spacious lovely bathroom , comfortable bed nice balcony could watch world go . executive floor also access executive lounge provide free snack soft drink . breakfast include package typical buffet breakfast - food tasty fresh staff efficient . room service couple time find service quick , food delicious overly expensive London standard . unfortunately not get chance try hotel bar busy every day . the side hotel cost parking - cost we nearly £ 70 park car around 36 hour . all though lovely stay London would definately recommend hotel . 
 Jul 19 2007 	 room hot hell - avoid air conditioning fix 	 use hotel lot business travel always enjoy quality hotel professional staff . time book reference fail air conditioning mention neither book check - in stage 2 day later room . it horribly warm night staff could offer fan . objecting seem hotel decide inform guest simply remove ' air conditioning ' description website . however , hotel clasify luxurious offer basic London 's three star hotel ; & quot ; luxury bedding custom comforter , thick mattress , fluffy pillow & quot ; substitute . this unworthy approach senior management understandable problem leave Marriott 's customer - face staff difficult position . deliberate lack information damage customer loyalty Marriott know well ! ! ! ! ! poor show . 
 Jul 17 2007 	 go back 	 fancy hotel good service terrible service . good service include bellman concierge ( friendly ) . however , guest services department reach dialing 0 room useless . knowledgeable service , curt unprofessional , rush another phone ring loudly background . front desk staff ok , nothing special . website desk staff neglect inform we air conditioning work hot sweaty every night . kitchen close 11 pm , right hungry theatre - goer return room . be one , choice food cold sandwich highly overprice take forever deliver . I work Marriott several year say certainty property scratch Marriott standard . 
 Jul 9 2007 	 perfect pretty good 	 stay hotel part wedding . pro : great location , close tube , lovely Primrose Hill fabulous Regent 's park . pretty good gym large pool ( urban hotel anyway ) . room large , clean comfortable . good breakfast include room rate . friendly staff . con : air conditioning renovation room sleep - disturbingly hot . obviously temporary . access pool bit strange , look like part renovation . spa also renovate ; happy get pedicure cramp . would definitely stay hotel . location great long happy dead - centre London . find bonus though -- near park large pool also relax . 
 Jul 5 2007 	 Marriott Member benefit 	 stay 3 night end June . main part hotel least 20 room renovate . booking , ask renovated room look much nicer old room . since Marriott Gold member give room 6th floor executive level , newly renovate room . new room great include robe , slipper , mini bar , large bath sheet . be Marriott member , member lounge free wi - fi access computer . member also get free breakfast free happy hour snack . non - alcoholic beverage available free day . use marriott point stay , cost we 55,000 point 2 night . 's lot point hotel London expensive . the hotel locate within 5 minute walk swiss Cottage tube station relatively quiet area city . hotel apparently good enough celebrity member England 's cricket team stay , cause quite bit excitement guest line get Monty Panesar 's autograph . 
 Jun 26 2007 	 nice London hotel reasonable price 	 stay three day . room nice , large , clean , well appoint . bed dreamily comfortable . staff attentive , friendly professional . renovation shut air - conditioning , little warm room , keep slide door open , nice cool evening . hotel staff supply fan want . part hotel under - renovation , hear little noise , pay great price room London hotel stature . hotel minute walk Swiss Cottage underground . zone 1 2 pass take virtually anywhere London . adjust temperature , little noise day , enjoy lovely hotel discount . pleased stay . 
 Jun 5 2007 	 fine 3.5 star rather advertise 4 star 	 Booked hotel Priceline $ 125 night ( 2 night ) . disappointed see part property renovation . finally get PL contact hotel promise room would affect noise . check give corner room 3rd floor . room spacious , bright well equipped . Corridoor quiet . bathroom decent size though bath small . thing bathroom lack magnifying mirror - pretty standard issue & quot ; 4 star & quot ; hotel , vital we need prettify without glass ! three big let down room:1 - air conditioning work properly . not need first night , second night return late humid room . stuck air con low setting room get warm colder . late point contact maintenance.2 - room banquet hall . much fun wedding party break 3 am , depart quietly disturb sleep greatly.3 - plastic matress protector ! ! offensive thing room . understand hotel want get maximum life mattress wake 2 am first night feel sweaty uncomfortable . Suspected may bed , removal low sheet reveal mattress protector plastic lining . wonder back clammy ! unacceptable practice 4 star hotel opinion , plenty & quot ; breathable & quot ; alternative . do not eat hotel , plenty affordable option within 5 min hotel beyond . area feel safe tube station less 5 min walk away . overall hotel fine , deserve 4 star rating . 
 May 21 2007 	 Comfortable Friendly 	 stay three day , impressed staff . friendly professional . room large , clean , well appoint . hotel three minute walk Swiss Cottage underground , convenient everything might want see city . we love bed , newly renovate bathroom . especially impressed friendly helpful staff . neighbourhood quiet relatively easy access underground bus service ( lead downtown spot ) outside door . we please stay . 
 May 4 2007 	 's fine 	 stay March . yes , review mention hotel undergo renovation correct . display lobby sign indicate wing hotel close never would know . noise , dust , problem . room one renovate nice , clean , pretty large London standard . web connectivity really expensive ( 12 GBP day , think ) . breakfast hotel also expensive pretty basic spread . use pool , , fun . the location great want northwest , not heart hubbub . live Belsize Park , location great we . 's close Swiss cottage tube stop ( Jubilee Line ) , get anywhere . also walkable Regents Park Primrose Hill , plus . in end , be Marriott , feel pretty much like Marriott ' ve stay . 
 May 2 2007 	 great hotel 	 stay Regents Park Marriott week back lucky enough experience one brand new bedroom absolutely gorgeous ! get well , go Camden drink , location perfect - ( 5 min bus ride away ) , get back bar still open lovely cocktail , follow good night sleep ! ! Breakfast fab - eat buffet , honest usually fan food sit hour - really tasty - even make waffle wait ! ! round top experience - would definately stay ! ! 
 Apr 27 2007 	 good stay 	 let start say career cause travel stay many Marriotts throuout world ( many time gold member ) . decent Marriott . large room European Hotel . offer american electrical outlet . service great . food could well . would walk street one pub go grab curry nearby . fitness facility good . pool real good . short walk underground ( Swiss Cottage station ) . room quiet street side . colleague side face main street . complain noise night . , , small town America use sort thing . sort thing bother , ask room right side hotel . the next time London , try stay . 
 Apr 2 2007 	 nice room large pool 	 stay 2 night one old room . Hotel currently refurbise little noisy day time . room still good lot space . large pool , good child 's shallow one end . food generally impressive . 
 Mar 30 2007 	 good price - good service . location -- -ehh . 	 go get away 5 day watch Super Bowl , LIVE London 11:30 pm . something unique -- plus , 's good time get away . crowd , low price airfare , half empty plane ... etc . I pick Regents Park hotel pool ... like Marriott's . the hotel nice . concierge opera ticket ready arrival .. ( request ) . staff helpful . room nice bed EXCELLENT ! .. ( fast become Marriott trademark ) .The free breakfast .. ( package ) , fantastic . the problem ... tube 10/15 minute walk get be much around area itself . the pool small ... really not problem pool . gradual incline / decline pool . go 1 ft begin 5 ft end . move halfway pool -- -it 's middle thigh ... lol . the food selection sub - par , ( exclude breakfast ) . get cheeseburger room service one night ... although fine -- thing menu seem like nice choice . and lastly -- -the bar sooo small sort uncomfortable . there annoying guy Steelers / Seahawks SB try & quot ; shushh & quot ; people could hear pregame entertainment ... lol . proximity everything close guess feel . LOL -- -only rude American would ask bar quiet something like that . but still -- -the bar area small . one side note -- -somethe good bad time . love room balcony -- -but balcony small can not even put chair . ok time since Feb . come summer know balcony -- -I have thought could sit watch world go . still watch world go -- -but ... lol -- -you will stand . overall -- -I like stay lot . I would recommend hotel not mind really London . Ren 
 Mar 10 2007 	 Weekend London 	 visit London group friend last weekend . fly direct Luton Alicante . really easy get hotel via M1 . hotel currently update stay one brand new room two double bed . room look modern room 's balcony . bed comfiest ' ve ever sleep matress topper sink . breakfast fantastic although busy weekend . tell week early morning restaurant less crowded . wait minute get table food service excellent soon make forget wait . underground station minute walk away could easily access part city pretty much whenever want . friend would recomend hotel anyone visit London find great value money staff incredibly friendly helpful . 
 Mar 10 2007 	 love new room ! 	 stay Regents Park Marriott fault . 's ideal business traveler , close centre ( 2 stop bond street ) Park Lane price tag . service alway well , be would expect , wait time morning reception desk long , hey always video check express check , . room , undergo light refurbishment , 5 night , really say do not bother , lucky get one new room look really nice . bit trendy , 2007 1990 's try hard . would recommend hotel anyone , whether business come London see show . overall good value money 
