great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 Aug 18 2008 	 Awesome Olympic Stay 	 Park Plaza excellent hotel . stay 5 star hotel state , different . service great . stay club level include full breakfast , afternoon cocktail snack 24 hour access free internet . well worth extra money club amenity . room well appoint bathroom large spacious . location great , walk everywhere . IOC hotel Olympics security tight , appreciated . eat Bloo restaurant japanese restaurant reasonably price good . highly recommend hotel . 
 Aug 13 2008 	 good hotel 	 good , clean , high end hotel Beijing . although will not rate highly hype . even service concierage great . the enjoyable part good decoration , cleanliness , comfortable room , clean well design bathroom location , location , location . walk distance wangfuje subway station big plus . 
 Jul 28 2008 	 Comfort friendly staff recommend family 	 stay Park Plaza four night two kid ( 14,16 ) enjoy comfort really friendly familiar atmosphere offer hotel . reception , concierge desk , restaurant , bar staff corteous . hotel locate walk distance major place interest . bed marvelous . book room breakfast include would recommend . buffet good , though ( course ) dominate chinese speciality . however , need muffin donut - Starbucks 20 hotel entrance . recommend Park Plaza family trip . 
 Jul 27 2008 	 Excellent hotel fantastic location 	 wonderful 5 day stay Beijing love hotel ! arrive upgrade club suite give access Club Lounge , afternoon snack refreshment , huge buffet breakfast everything could imagine nice gym . room excellent , nice modern furnish , huge comfy bed , spacious bathroom , international cable necessary convenience . the staff good really friendly helpful , speak good English . the location fantastic , short taxi drive major attraction five min walk wangfuje Donghuamen night market . PSAsk note hotel name street Chinese , helpful catch taxi … 
 Jul 24 2008 	 Loved hotel ! ! ! 	 absolutely reason hotel rank # 2 popularity index Trip Advisory . book standard room online ( offer AAA discount ) arrive , decide upgrade suite 1/2 cost , book suite directly online . 368rmb get suite , two buffet breakfast , happy hour every day ( include selection hot cold food , alcoholic non - alcoholic drink ) . concierge staff general excellent . speak fantastic english extremely friendly helpful . location fantastic - walk forbid city two separate day . also walk distance fun night market get see numerous item ' on stick ' include scorpion ... hotel arrange car we mutianyu excellent day great wall . would definitely stay highly recommend ! ! ! ! 
 Jul 20 2008 	 Great Location Great room Great Value 	 Park Plaza offer good value great location . expensive chinese standard , western traveler would consider hotel affordable . familiar hotel States , like stay Hilton price Hampton Inn Courtyard . everything hotel perfect . room well appoint , relatively spacious , clean . concierge helpful , could not ask well location . 5 - 10 minute walk night market , Beijing 's main shopping drag , Wangfujing , several hutong . cab easy come , although never take , metro apparently around corner . I would definitely stay , would recommend friend travel Beijing . 
 Jul 15 2008 	 Good Location Value 	 start three week China tour Beijing Park Plaza . wonderful oasis almost twenty hour flight arrive . thank guide ( handle translation check - in we ) , problem get exactly room request ( room 503 king bed / non - smoking ) . room , small , well lay - out typical business hotel set - up ( desk , chair , extra chair , bed nightstand ) . great use space ( mini - fridge , tv , safe , drawer & quot ; enclosed & quot ; within closet / furniture ) . bathroom fine ( hotel provide bottled water daily need amenity ) . Room promptly clean day staff member encounter courteous friendly . Kudos doorman ( pleasant outgoing ) concierge staff always greet we ( handle mail postcard small fee ) . include breakfast morning ( stay three day ) good ( though well encounter trip ) . option fine ( thing day ) . really like omelete noodle station . breakfast dining room seem bit cozy , guess typical big city . also , aware tea coffee & quot ; include & quot ; breakfast .... start day soda ( like ) , extra . not try dinner restaurant . hotel great ( quiet ) location , close enough & quot ; action . & quot ; walk morning evening feel completely ease . great option business leisure travel . 
 Jul 6 2008 	 Loved hotel ! 	 wonderful , wonderful 5 - day stay Park Plaza Beijing June . hotel really & quot ; sleeper & quot ; -- neither big over - the - top , boutique -- really everything hotel . location terrific -- close major attraction , easy walk distance Wangfujing , good restaurant , shopping . room want , include comfortable bed ( especially compare place stay China ) , nice linen , plenty pillow , well - appoint bathroom , quiet . really set Park Plaza apart hotels service . staff unfailingly welcome , helpful , pleasant -- really bend backwards make we happy . seem everyone genuinely enjoy ... help make stay Beijing special one . stay much expensive & quot ; exclusive & quot ; hotel China , pale comparison Park Plaza . place really understand mean hospitality . strongly recommend hotel -- will not disappoint ! ( one caveat : restaurant , nice breakfast , disappointed dinner . many terrific dining option area ... ask concierge recommendation . ) 
 Jun 30 2008 	 Excellent Stay 	 carefully review tripadvisor comment stay Park Plaza 6 night mid June . really deserve number 2 rank Beijing . luxurious hotel modern amenity comfort could wish ( minus pool ) great price . really good deal compare hotel look : Peninsular , Regent , etc . think room rate outweighs little luxury 5 -6star hotel . pool use pool Regent Park Plaza 's sister hotel right next door . $ 10 use beautiful pool , sauna , srteam room , jacuzzi exercise room . I think staff make stay even pleasant . concierge staff accommodate - especially Mr. Hong . great young fellow . Hotel tuck behind main road taxis hard time finding . always carry hotel business card little map . beware taxi driver . drive circle plead not know go . hotel close walk wangfuje course main site $ 2 - 3 cab ride ( unless get occassional round world driver ) . 
 Jun 21 2008 	 Excellent hotel soft comfortable bed 	 good hotel enjoy month long journey China . give good rating primarily due comfortable bed ; bed China & quot ; Firm & quot ; mattress feel like sleep concrete ..... room spacious comfortable king size bed plus sitting area couch , chair & amp ; table + desk . bathroom fill amenity could wish new toothbrush supply day . keep spotlessly clean . actually get non - smoking room huge bonus China . there usual fridge , safe , write paper , postcard etc . we check either pool weight room . however cafe great . Breakfast come room large buffet hot cold offering . everything buffet could possibly want along chef standing cook egg specification . two evening enjoy wonderful American Dinner steak restaurant . want share meal Dad neither we want full dinner . explain waitress problem kitchen actually split meal arrive 2 plate beautifully present . the non - smoking area approximtely half size hte restaurant . real bonus Asia month actually able enjoy meal without smoker light table next our . the staff front desk accomodate exchange money . there starbuck next door neighbourhood shop around corner buy inexpensive pop junk food at . about 3 block walk bring shopping area lot restaurant close hotel . the glitch slow check argue get room reserve pay . want give room 2 single bed instead superior room king size bed . however unusual one check late night .... would definitely recommend hotel good place stay anyone head Beijing . 
 Jun 8 2008 	 love Beijing ! 	 stay Park Plaza March 4 night , book hotel part tour Beijing book Dragonair . hotel lovely convenient Forbidden City wangfuje great shopping place eat night . staff hotel great , particularly bell hop door man always eager speak English always hand help way . breakfast include booking , varied buffet . also drink hotel night , price cocktail reasonable . not miss night market minute away , buy scorpion , snake , fly , centipede , stick ! go Great Wall thoroughly recommend go Mutianyu part wall , day another 20 tourist , great get walk along without overcrowding . one day tour , decide would like go zoo , door man advise we get taxi ( cheap ) determined try public transport , big mistake ! join 3 million people try get subway ; nearly gave , eventually squeeze , faint hearted . be animal lover like animal , avoid zoo cost . animal seem badly look , not see keeper , lot people throw thing animal . thoroughly enjoy Beijing , sight ; people food fantastic ! ! ! ! ! 
 Jun 3 2008 	 nice cozy hotel 	 nice cozy hotel locate center beije inner street commercial complex , make quiet ... relatively new hotel , clean modern , decoration simple almost relaxing , staff friendly , specially concierge helpful direction help plan ... breakfast buffet good even dinner buffet worth tired go .... hotel meal expensive alltip : always card hotel direction chinese taxi driver know get .. puzzle see address since small street often call either hotel someone explain .... hand address cab show get do not know get may refuse take ( happen couple time ) 
 Jun 3 2008 	 Fabulous Staff 	 stay hotel 25th 30th May . say enough good thing hotel , particularly Concierge Department . command english language fabulous , extremely helpful could enough we , assist we book train ticket Xian , book day trip Great Wall well fabulous Hutong Tour . also take care luggage go Xian . receive lovely welcome back return Xian . reception counter , although helpful , able assist we quite efficiently due lack command english language . hotel set back street therefore quiet , sister hotel Regent Hotel right next door . starbuck across hotel well utilize ATM machine building . room great , bed comfortable good size bathroom great . sad leave great hotel . see rate number two trip advisor . would definitely stay . 
 Jun 2 2008 	 Excellent ! 	 stay May 24 - 30th absolutely loved . ' m ultra - picky hotel , draw conclusion ! staff friendly & amp ; helpful always plenty hand advise . uniformed doorman always duty , willing / able help . build gorgeous inside , much would expect 5 - star hotel Europe . think InterContinental . nice softly - light lobby , bar area . room spacious comfortable - clean , stylish , well - appoint , large impressive bathroom . robe & amp ; slipper supply . stayed & quot ; standard & quot ; room . room . 502 view side street - great avoid street noise . Breakfast include , offer rmb 159 pp , plus 15 % cover charge , & quot ; deal & quot ; rmb 220 per couple , include happy hour drink . truth , let - down , price ( esp China ) bonker . 's £ 12 buffet meal , whereas would get dinner 2 anyplace else Beijing . anyhow , be Starbucks across way , be also ( relatively ) expensive . eat ' Oodles ' restaurant , people ( hotel restaurant not seem busy ) . food nice - bit pricey Beijing standard - ultra - cheap western standard . rmb 45 per dish . good sushi . service smile , attentive - command English put shame . transport - wise : yes , per comment will always need address chinese - taxi drop we sister Regent Hotel - OK 's front Park Plaza . little card get room key fold - out map area , place name chinese - show taxi driver . enter new subway Line 5 directly next Regent - 's really impressive , cheap ( rmb 2 per ticket distance ) , easy navigate . 2 3 , taxis maybe cheap - rarely pay around rmb 15 ride 20 min . hail anywhere street . Taxi to / from airport cost RMB 100 . tipping . Driving & amp ; traffic scary - buckle . 's little convenience store near intersection Jinyu Hutong Dongsi Nandajie - min walk hotel . stock water etc . get 2 free bottle per day room . also Thai vegetarian , japanese - course chinese - restaurant within minute walk hotel . safe , pleasant area . staff smile wave . not nice . 
 Jun 2 2008 	 unexpected upgrade 	 much say place -- book executive level room long flight AU unexpectedly upgrade great room Regent next door ! idea -- foyer look deserted hotel feel book . subsequent flight meet traveller exactly experience . worth ask ? ? 
 May 31 2008 	 good hotel great location 	 recently stay 4 night hotel deluxe room . enjoy stay much . room comfortable clean ok view . hotel nice . eat restaurant , Bloo , one night , food good restaurant empty , shame . location good , set back main street within walk distance main shopping area walk park within 1/2 hour . overall , would stay hotel . downpoint free internet access cost use business centre pricey compare place . 
 May 18 2008 	 really enjoy Park Plaza 	 ' m middle stay really enjoy . staff excellent , English pretty good , location fantastic - right next Regent hotel cheap set back Jinbao Street 's bit quieter . set back bit difficult taxi driver be hard . subway station block ( base Regent ) , Starbucks next door taste home , like , ' ve go . Lei Garden 3rd floor Jinabo Tower good choice food , atm front Jinbao Tower several bank chain . walk distance Forbidden City Tiananmen Square nice perk . Beijing nice city , favorite . come back , though , certainly stay . 
 May 14 2008 	 Great Hotel 	 think hotel great - modern , well run 4 star hotel , advertise . stay 2 year old - complaint tried charge extra bedding 2 year old , finding often do Asia , not encounter region . use great driver , John , take we great wall Mutiyani ( 800 rmb day , include trip temple drive Olympic stadium ) . came recommend via friend , get original recommendation tripadvisor . email [ - ] also recommend great guide show we around Beijing ( 350 rmb day ) . young , amazingly knowledgable - university student major french English also train guide . we upgrade Executive Floor , include extensive buffet breakfast -and drink small range snack evening . not go executive floor breakfast choice limit , go restaurant also include upgrade price . upgrade get big well room - upgrade ' suite ' approx 460 rmb ( plus 15 % tax ) per night . upgrade 235 plus tax . not want full breakfast , would not bother go starbuck accross way . 
 May 7 2008 	 nice hotel 	 impress hotel . room large . shower great . hotel run special arrive . additonal fee could add business center include appetizers/ drink plus computer access internet . 
 May 5 2008 	 Service excellent 	 really nice hotel , nice decor great staff . 3 night stop - over feel wonderfully relaxed stay . staff great , really friendly , willing anything help . special commendation go concierge manage sort we 1130pm chauffeur drive car couple day sight - see comparable rate tourist bus . car much well . the hotel really good value . go back Beijing would stay . 
 May 5 2008 	 Great Location middle city ! 	 stay slew MBA classmate March visit company Beijing . hotel nice breakfast buffet average . staff helpful generally least one english speak person available . conference room little small , apx . 80 we . lounge downstairs full bar & amp ; convenient place get drink head dinner evening . location great . need Starbucks fix , be outside next door . also walk wangfuje market one night close & amp ; experience . even walk Tienanmen Square . the concierge okay . be good setting tour major cultural site popular nightlife venue . seem limited exactly ... , be look inside track & amp ; come art scene authentic restaurant word English speak , could tough . though seem know place , 's regular repertoire recommend . lucky , friend speak fluent Mandarin , live time Beijing & amp ; still friend prove invaluable . definitely take hotel card location . find many cab driver speak English also not know city well b / c even newcomer . 
 May 1 2008 	 Great Hotel ! 	 price : parent spend 5 night Park Plaza April 2008 . call hotel directly book follow room : 2 Twin Beds , Rollaway Bed , Non Smoking , Deluxe Room , Bed & amp ; Breakfast Package 1,270 per night ( $ 181 US ) . extremely great rate upscale hotel phenomenal location breakfast buffet . STAFF : staff speak English well extremely helpful . hotel provide little card major site write Chinese give cab driver , since speak English . room : hotel room fabulous : air - conditioning great , ton hot water shower , complimentary bottled water provide cleaning staff day , linen great , everything really nice . area : 's starbuck ATM across driveway , several restaurant convenience store step away . Dongdan metro stop couple block away ... block Beijing huge . would definitely stay . 
 Apr 30 2008 	 beautiful room great location ! 	 Definintely hotel name / info write chinese cab driver , even trouble find ! use English map print hotel 's website driver airport still pull call hotel . would definintely recommend take cab airport - think less $ 5 US . find check - in breeze head room . room huge - much large expect well appoint . view speak ; look office - type building across street . bed super comfortable , though , quickly forgot view . end smoking floor ( non - smoking room available ) noticeable smell room barely floor . starbuck locate virtually across street ATM , convenience store ( great bottled water ) bakery ( delicious cream pastry ) within short walking distance . night market wangfuje comfortable walk away ask concierge walk direction chain restaurant guide book actually know location much close near wangfuje send we much quick route . hotel extremely affordable feel extremely luxurious price . highly recommend . 
 Apr 28 2008 	 lousy front desk service ... 	 stay friend , biz trip , 2 nite , 21 - 23 April . she book directly hotel , request twin bed . however , arrive , shocked front desk staff tell we booking confirm hence 's room we . hotel expect we contact arrive confirm booking , already accept book credit card detail . meaning , call = non - confirmation . great shock we frequent traveller , never experience regulation . so , drag half hour , finally find we suitable room , mean queen bed plus sofa bed ! apparently 's solution offer ! accept reluctantly since tired . on check - out day , realise another western guest experience we . hence , think isolated case . certainly expect well - receive hotel . plus , think nicer , centrally locate hotel around . like Regent , Hyatt Raffles . however , hear book till Olympics . good luck ! 
 Apr 24 2008 	 nice upgrade 	 hotel locate near subway station walk distance everything . arrive late night hotel fully book ; give room away . surprise , upgrade we Regent , connect hotel . Regent nice 5 star hotel ..... love ! 
 Apr 18 2008 	 Perfect 	 Perfect Location , Perfect service , Perfect room good food .... 
 Apr 18 2008 	 Loved Park Plaza 	 return 4 night great hotel . family two senior 2 twenty daughter . price right restaurant great . opt extra money breakfast cocktail . bargain well . breakfast sumptuous provide everything could want breakfast matter country origin . cocktail area hor d'oeuvre also nice worth money . eat hotel restaurant two night one lunch noodle restaurant -- excellent . people front desk nice concierge staff . one man even agree taxi driver keep cell contact language barrier . room good size beautifully decorate . bathroom roomy . husband architect impressed interior . walk Forbidden City couple time wangfuje Street near . homesick 's Starbucks cul - de - sac . need call US find english good arrangement request . 
 Apr 16 2008 	 good choice Beijing good value 	 well locate close major attraction Beijing . suite top floor , well furnished , spacious , nice bathroom , two tv , free high speed internet service . service generally good knowledge English widespread ( unusual China ) .highly recommend . 
 Apr 15 2008 	 Loved Park Plaza - EXCELLENT service 	 girlfriend recently return stay Park Plaza Wangfujing . seriously disappoint condition hotel Tokyo ( Akasaka Yoko ) , decide stay somewhere bit expensive . great decision make . hotel room really make trip much enjoyable . staff enough help stay . courteously greet soon come door really enjoy small talk . need taxi , radio one write license plate case scam . also really convenient card popular tourist attraction list give cab driver . make sure address hotel write paper go ! not cab driver not familiar hotel , not speak English ! room , fabulous . enough space , giant bed , nice bathroom , great room service ! room service decent price . recommend western style breakfast . complaint bar little overprice , okay left hotel drink . also try talk we upgrading room $ 200 include free dinner buffet alcohol include every night . do not happy choice look buffet , appear mostly snack food cheap alcohol . food really cheap outside hotel , waste money ! room also view , not come China for . stay HOTEL . GREAT ! 
 Apr 8 2008 	 good hotel great location 	 impressed entrance lobby area . public area well maintain . reception deal we quickly efficiently . bedroom clean , quiet modern furnishing . linen good quality . bathroom also good size good condition clean . towel good quality . need . bathrobe sandal provide . tv large LCD large selection english channel include CNN , BBC world , HBO , Discovery National Geographic . bed confortable . the location good walk distance shop restaurant . the bar provide live entertainment , although chinese rendition western song may cup tea - judge . the buffet breakast good mixture chinese , continental western full cooked breakfast food . service good . 
 Apr 7 2008 	 not look book ! 	 husband return 3 night Beijing fantastic hotel . review sum property well thing add - want well locate , value money , nicely appoint , friendly hotel not waste time look , book ! ! Beijing exciting , vibrant city - enjoy ! ! 
 Apr 7 2008 	 Amazing Service 	 travel world service Park Plaza Wangfujing exceed other . gentleman door bell desk front desk wait staff fantastic restaurant Bloo Dining service far well ever experience . every need meet flash hotel plan much detail . friendly responsive two word well describe staff . exchange currency front desk electric converter available housekeeping . stay , disappointed ! 
 Apr 3 2008 	 Incredible Hotel Perfect Location 	 stay Park Plaza March 18 - March 23rd . hotel absolutely meet exceed expectation . pick hotel due numerous wonderful review Trip Advisor . three we stay suite separate bedroom living room . living room attach bathroom come handy 3rd guest . access executive floor come handy end long exhausting day tour shopping . staff wonderful , knowledgable speak good english . breakfast buffet plentiful numerous choice include make order egg bar . one complaint climate control system . see complaint guest . compensate opening window . far location concern , hotel great location . 15 minute walk Tianmen Square Forbidden CIty . find numerous restaurant within walking distance . good expensive . many people write hotel say starbuck across way - even well , ATM machine office building outside door . find one thing hotel , however majority taxi driver do not know hotel . must ask hotel e - mail name address Mandarin . also find return hotel , taxi driver would take we do not know hotel locate . since Park Plaza right behind Regent , would suggest walk ask card - would definately stay hotel recommend anyone - great 
 Mar 30 2008 	 fantastic would recommend 	 fantastic stay hotel . room comfortable staff extremely helpful . want go overnight sleeper x'ian staff go station book ticket person ! ! breakfast good variety chinese western dish serve buffet style . the major site 15- 20min walk away , although worth service price hotel . 
 Mar 28 2008 	 definitely worth return visit ! 	 spend 6 night base review ' disappoint . book via hotel website obtain suite upgrade offer give room upper floor . also give free internet access use Club floor facility ( mini breakfast early evening snack Happy Hour ! ) check slightly marred room ' ready – a surprise 2 pm offer hospitality Club floor area whilst wait . suite great , spacious people comment – clean . challenge work use room thermostat crack 3rd day ! breakfast typical buffet style chinese option well western style standard fare . restaurant , call Bloo , 2nd floor surprise slightly smoking section , separate set table . staff pleasant speak enough English get by . I find concierge doorman helpful reviewer comment , good reflection hotel hospitality . lastly , location great access wangfuje Street Forbidden City . also subway around corner cheap good way get around want avoid taxis . all great experience happy recommend traveller . 
 Mar 24 2008 	 Park Plaza Beijing Rocks ! 	 say enough good thing hotel . everything place awesome . lobby ground ( much latter share Regent ) beautiful , front - desk staff prompt courteous . room well decorate spacious good - sized bathroom . bell desk guy helpful . example , need help local SIM card , one staff walk several block near China Mobile office stay issue resolve . incredible service everyone ! would , however , like specifically acknowledge exceptional service provide Nick front desk Betty Club Lounge . two employee valuable asset hotel . provide friendly professional service beyond expect every respect . indeed , Betty Nick make feel home four - day stay . complaint anything ! 
 Mar 19 2008 	 Pleasant Stay Beijing Park Plaza 	 follow trip advisor ranking hotel Beijing try stick budget , decide book 7 day stay Beijing Park Plaza - Wanfujing . please staff service hotel , location also excellent ... block away one popular shopping & amp ; restuaruant area city -- & gt ; wangfuje Street . servicethe check - in check - out process flawless . concierge helpful . give we direction around town , help we book day trip Ming Tumbs Great Wall , promptly get we taxi whenever need . on - Site RestaurantOur rate include breakfast , good mix eastern western food . staff seem bit moody time , realize work shift 6 past 10 , understand ! ! ! ( waiter breakfast dinner ) roomthe room clean good view . bed bit hard , not seem uncommon China . Everytime call housekeeping anything , would someone come room less 5 minute ... think outstanding ! day suppose leave hotel , send complimentary tray consist fresh fruit bottle wine - nice touch great way end trip . 
 Mar 19 2008 	 Love hotel ! 	 hotel wonderful can not fault . polluted city full people try squeeze every last yuan you.1 . room - twin room . spacious , spotless , comfortable modern . suit people business 's large desk.2 . staff - friendly efficient . be look book tour , highly recommend go concierge desk ask recommend book something . tour operator pick drop hotel . part Great Wall , recommend guide call & quot ; Lily & quot ; speak excellent English knowledgeable . tour consist Lily , driver , sister I.3 . location - central near hutong , wangfuje snack street lot restaurant , shop ATMs . also feel safe area.4 . Facilities - internet free breakfast buffet plentiful diverse ( japanese , chinese , Western ) . 
 Mar 14 2008 	 great value great service close everything quite new 	 excellent five night stay Park Plaza . upgrade junior suite . new beautiful decorate . staff helpfull , especially concierge . strongly recommend ask place visit great restaurant . consider Holiday Inn Central Plaza , prefer location Park Plaza . hotel big , therefore difficult taxidriver find . hotel give direction write chinese , show driver . hotel locate complex five star Regent Hotel . 's probably owner . take 20 minute walk Tiananmen Square Forbidden City . evening short walk ( 5 min ) street many strange food stall big shopping street . hotel clean . it great place stay , especially couple . 
 Mar 4 2008 	 Excellent Hotel 	 stay Park Plaza 5 night late Feb. actually decide stay see review tripadvsior ' m glad do . after arrive long flight Australia also realise cold winter glad swift easy check upgrade . our room 15th floor ( top floor ) lovely . look new clean . bed abit firm get use bathroom quite small ... however friend next room set bathroom quite alot big . issue guess space put toiletry annoying . breakfast excellent . sooo good scramble egg omlet make spot . generally do not need lunch fill breakfast . there also starbuck opposite handy also . we pretty much catch taxi everywhere cold doormen great tell taxi dirver want go give we card taxi numberplate chinese name place . in term location good 8 - 10 minute walk Wangfujing Street , concierge try tell we 2minutes ' m guess must run something . one thing aware Beijing pedestrian crossing flash green do not mean car stop . on first night nearly wipe bus .. first couple time learn keep local ! also book acrobatic show hotel . ok probably worth pay seat something say do . on day leave early flight meaning would miss breakfast let front desk know whilst leave give package breakfast cold meat , yougurt pasterie really nice touch . overall would recommene Park Plaza stay ! 
 Mar 1 2008 	 love ! 	 first check around noon ask wait couple minute could get room ready . go 30 minute walk return upgrade suite charge amazing . one new clean hotel ever stay . computer work station area jut floor ceiling window . staff location excellent . definitely stay anytime Beijing . 
 Feb 28 2008 	 good Bet Beijing 	 not see anyone could complain hotel . firstly , outstanding location within walk distance great shopping tourist attraction . one street main drag quiet . special website suite find room nicely appoint , spacious quiet comfortable bed , pillow amenity . separate shower instant hot water lot pressure . food good buffet breakfast staff speak english courteous . may ritz carlton , pay price , want , stay great overall experience beijing reasonable price , winner place . 
 Feb 26 2008 	 great hotel 	 Park Plaza wonderful treat ! location great close metro . staff helpful speak English well . room clean comfortable hotel offer many various trip see sight Beijing . would definitely stay . 
 Feb 24 2008 	 great service location 	 stay 4 night February . the room nice , free internet , large bathroom . the location great , however since freezing , take advantage taxi . pretty much $ 2 total everywhere go . the concierge excellent great restaurant recommendation . eat Da Dong Peking duck . good . send we one acrobatic show , one kid , like . go big name one . they also set great wall tour us Metianyu . pricey 800RMB 2 we , great . Tony guide . the breakfast buffet AWESOME ! ! good part day . include stay . get , take cab . 75 - 95 rmb . make sure write chinese , also would print map driver still trouble find . 
 Feb 23 2008 	 fabulous hotel helpful staff 	 could not believe deal -- $ 75 night centrally - locate beautiful hotel . great staff , gorgeous room , convenient location , starbuck 30 foot entrance . concierge arrange italian , Thai , chinese restaurant reservation , even book private dining room six show 6 pm Valentine 's night ! price rise , we , sweet deal . 
 Feb 21 2008 	 Excellent hotel 	 room new spotless . lay room bothroom 100 % thoughtful & quot ; human & quot ; . security good monitor use lift reach residential quarter . service tip - top nothing pick . bellboy friendly helpful . hotel 5 minute walk ( less ) infamous Wang Fu Jing high street . lot restaurant shop around . also 30 minute walk Tiananmen Square Forbidden City , RMB10 start price use taxi . , Metro station locate right outside Hotel . short : excellent spot , wonderful hotel . definitely recommend . 
 Feb 19 2008 	 Fabulous 	 stay ago absolutely love . Jeff , concierge extremely helpful speak good English . can not wait go back especially subway finish . if anyone go check fabulously decorate toilet floor breakfast . would love photo decorate . one lose . 
 Feb 13 2008 	 nice room 	 stay 3 night first week Feb 2008 wonderful stay . room king bed nice . tired walk around Beijing , firm bed enough mend ache back time get morning . accept upgrade checking . US $ 30 extra day upgrade free breakfast - worth . use go couple block away hotel every day Taiwan Hotel great buffet breakfast $ 14 two . otherwise hotel conveniently locate next metro stop street many restaurant . bell desk recomende we acrobatic show find worth . must make commission tkts . even want we use service book trip Great Wall get nice trip elsewhere less half price . hotel lobby tiny front desk thing impressive . 
 Feb 5 2008 	 nice mod hotel 	 thoroughly enjoyable hotel downtown Beijing . hotel new overwhelming size . many attractive stylish feature . room especially bathroom modern well design . internet freely available fast . hotel sit practically top subway stop convenient easy get around city . starbuck locate outside front door . 
 Jan 27 2008 	 wonderful hotel friendly staff 	 recently visit Beijing Jan 13 - 22nd finance happen chinese . decide book 3 hotel keep week interesting going stay Beijing . spend bit time hotel sightsee cold Beijing week . anyway especially , love Park Plaza hotel . first check friendly staff member try get we upgrade suite deluxe room already book . though suite sound good ... include Breakfast buffet plus free 2 hour happy hour still decline offer . check quick friendly . get deluxe room immediately notice clean , smell clean .. rather modern . however hour feel deluxe room bit small . ( 2 hotel stayed also offer rather small room .. maybe way Beijing , say vs hotel NY ) contact front desk later day ask upgrade suite next day . finally move suite ... quiet corner hotel feel wow .. feel like home . next 2 day stay suite .. wonderful . modern electronic thermostat 2 room , 2 bathroom , 2 tv etc . $ 40 day .. get free breakfast happy hour . like drink ( not ) get much Johnny Walker Black Chivas handle plus finger type food . mention happen wine / liquor salesman Johnny Black cheap . like eat .. drink little , upgrade less pay . breakfast buffet feel pretty good ... feel everything rather tasty fresh overall . basically impressed cleanliness overall feeling home rather cold strange hotel . good vibe Park Plaza feel 2 hotel stay nearby . think money .. Park Plaza nice friendly place stay . get home NY ask fill survey p Plaza ask would .. give good grade .. shortly thereafter receive personal letter thank hotel manager .. seem genuinely want please . overall think people would nice stay ... afford , Suite big plus ! ! 
 Jan 25 2008 	 wonderful place stay 	 Park Plaza nice place stay long day walk . room modern enough closet drawer clothe . replenish 2 complimentary water bottle everyday well . conveniently locate right next new subway station . serious shopping Silk Market , easily get without hassle getting catch traffic . breakfast though great , be ok . think bfast enough . concierge front desk speak decent English able get direction need . 
