decent 	 want good basic hotel good price offer decent accommodation , inexpensive restaurant , internet access situate old part city Ajanta nicely . offer free transport airport ( 24 hour ) handy first time visitor India . onsite Bureau de Change add bonus . street noise slight problem early hour . 
 great hotel true value money 	 great hotel excellent staff friendly helpful , room clean n tidy close public transport go back hotel whenever visit delhi 
 may 17 2007 	 terrible place - bad experience 	 stay Hotel Ajanta go good bad bad three day stay . account happen . reconfirmation ( confirmation ) reservation agent May 1st regard booking . arrive May 1 2 pm Hotel Ajanta , idea booking . name show list anywhere else . , take we walk - in customer . promptly go marketing gimmick show we really small room first large family room ( Room 416 ) available discount day . rate r . 1500 place regular r . 1800 . accept take room . room nice complaint room price offer . however , later must check agent find accept rate we r . 1575 . , charge r . 1575 we next day fine contract rate . rate fluctuate depend circumstance person front - dynamic pricing you . we leave Agra next day ( May 2 ) baggage leave hotel say come back day stay hotel per reservation agent . manager reception ( Mr. Kaushal ) give contact number say confirm leave Agra keep room we . 12 noon May 3 making call Agra let know arrive 11 pm . obviously process tune need traveller today . , arrive 11 pm , room we already book . , send we room ( Room 402 ) suite inadequate bedding four we large open space . see room know room would cost lot Rs.1575 . mention rate we send we anyways . call enquire rate room say cost r . 4000 one night ( discount course usually price r . 4500 ) . acceptable reduce r . 3000 . finally haggle fight middle night agreed let we stay room r . 1575 one night . next morning pack bag keep ready could move we another appropriate room since suite disposal one night . pack bag leave go sight see tour book travel agent sit counter hotel ( sight seeing trip another disappointment intend describe ) . come back tired 9 pm night , room bag still sit place leave morning . argue guy counter reservation experience previous day etc . . finally , give family room night ( Room 316 ) thought would similar first room get like , . few bed less move space . say would charge we extra want extra bed decide adjust . horror , find cold water tap bathroom dry . hot water tap . tired argue get anything do already late , grin bore . resolve return hotel ever live . moral story : hotel like tune take care modern day traveller . indian budget hotel grow time reservation honour . take advance payment ( ask agent make payment advance say need worry show ) . tailor take walk - in customer . , well show 12 noon 4 pm might option get good room . , chuck room charge whatever want , reservation damn . know get list Lonely Planet otehr publication ..... see number non - Indians check think great place . sure treat well ( reverse discrimination .... ) regard Jay 
 May 7 2007 	 Good price 	 place pleasant suprise , say . everyone say Delhi nightmare hotel honest good good price . room nice . view good not sit room gaze view fine . bed comfortable . mini - bar , think price fine . chocolate . television fine- medium sized . location good . 5 minute autorickshaw Connaught Place . like area . 's bit dingy energy good . stretch hotels street , row neon . find nice breeze . lot people complain dirty . bit energy generally good . store nearby grand . market nearby random security entrance unplug plank middle road . strange look thing . restaurant ground floor another surprise . nice buffet like way kind replace rice porridge flake curry pea dish . subtle tasty . evening meal also nice . actually pizza delight . Chai lovely . appear good trade , encouraging . each floor hall monitor type guy run move . helpful bit crowd . staff fine lot drama theater receipt everything really . stand start lose head simple request make . sometimes chase shouting question . good natured part though . I see people bite wary travel agency . get pitch , well actually not . bring make fuss get mad hell not want service even though be upfront start . bit turn . price quote we seem really excessive base we look afterwards . not book anything need complain burn . bit careful one though . also , get shop around room condition vary wildly . visit person meet Jaipur back room something else . full scale construction thing go outside ' m talk noise near . construction right . put hand window could gotten hand crush kinda hydrolic shaft thing . backdoor room secure thing . therefore careful choose wisely . computer room great fast . taxi service good . get good price airport compare fleece get someone else another direction . thank lonely Planet washing hand hotel inn Delhi general expecation low find place fine really . staff bit hyperactive insist pick good room 's good choice really . 
 Apr 26 2007 	 Ajanta try hard 	 stay 15 year ago dump . March 2007 find change almost beyond recognition . obviously try hard capture tourist market . airport pick work perfectly occasion use . front room window incredibly noisy - ask change . many room , effect , window clean well maintain . restaurant good get crowd . present lot work go within hotel cause noise disruption - need get lift upgrade ! front house service work well . room service could slow ok . staff pleasant helpful . far know go well , price , Delhi . 
 Mar 5 2007 	 great hotel great location 	 hotel first choice , first choice book . say , turn well expect stay twice total 5 night . family run lot people lobby wait help . hall porter floor also eager help : main contact anything need , room service laundry . clean well decorate : exterior room lot sun marble floor ( street noise ) . interior room window wall - to - wall carpeting , quiet . also restaurant good breakfast buffet butter chicken dinner excellent . hotel also travel agency premise operate & quot ; strong arm & quot ; sale approach . may like sale style , travel agency reputable help plan book travel throughout India . we use problem . also like hotel internet room - 8 computer good connection good price . one caveat : hotel short walk train station neighborhood congest , dirty , noisy . be hotel , feel like oasis . 
 Jan 4 2007 	 prepay turn early ensure decent room 	 read good review hotel think sound pretty reasonable , turn 4 am ( admittedly hour late ) room prepay , must give we bad room place . wooden board replacement window , dirty pillow case , hole - in - the - floor toilet manky bathroom . look like part hotel not refurbish . however stay 2 hour catch train New Delhi ( 30r tuktuk reach ) . good thing hotel we able prebook train ticket pick move really handy . moral story , turn late prepaid - toughluck , get be give ! would go back could see room pay ensure refurbish one . 
 Dec 27 2006 	 over - price 	 stay 3 night December ( 2006 ) , arrive late arrange airport pick , arrive hotel desperate sleep leave one side room check staff stand around talk , give talk service offer hotel , decline finally show room . the room clean functionaly , though erratic hot water bathroom . the staff limit help seem interested offering pay service rather give helpful advice ( also member staff floor time go back try escort room expect tip - end try tip toe back room avoid ) do not use pre pay taxi booth reception - vastly pricved , go outside get autrickshaw ( pre pay booth charge we 100 ruppee train station , autorickshaw 20 10 min walk away ) one positive point roof top restaurant . food fantastic , staff friendly helpful value tremendous . overall , many well substantially cheap place Delhi 
 Dec 22 2006 	 okay depend pay . 	 stay Hotel Ajanta November 2006 . airport pickup 4 am arrive , check give standard room ( window , work air conditioning , barely function toilet break lock door ) instead reserve . promise give we ' good ' room next day , call ' presidential suite ' really room everything work . town business irk say need tour arrangement . overheard matriarch hotel try convince swiss couple take another tour different company run ' untrustworthy Kashmiri 's ' . India take spruiking grant Hotel Ajanta take another level . they will not clean room unless leave room key . risk may room leave time return collect . risk . internet cafe functional probably good street , though guy run always try screw . Hotel Ajanta standard experience look budget hotel Delhi , be look relaxed , comfortable stay , perhaps try somewhere else . thick thing Hotel Ajanta might something would prefer avoid . Delhi full , someplace like Taj Ambassador Hotel might like . still , not completely negative experience - breakfast decent pay , avoid lunch dinner . guarantee food poisoning . avoid , possible . 
 Nov 17 2006 	 good choice 	 stay Ajanta s.o . begin November ´ 06 . definetly picky , time hotel really manage disapoint we . we arrive late night give small room window two bed instead double bed - order pay beforehand , definetly see picture hotel website . moan give new room , double bed , boil hot water shower toilet not flush . complain give first , small dirty , room , room available . next day move , time another room double bed . windows - give hallway ! personell start work every morning 6.30 , loud wall stop sound , simply could sleep . bathroom uncomfortable infested insect . our room clean ask second time . one room sheet ask personell bring . repeat every day . towel dirty - really , , also ask new one . the personell not seem care we - not , excample , apologise late night move one room another back . seem simply not - hotel book full anyway . something positive ? mother , stay Ajanta couple day we , treat decently transfer ok room , two day hardcore tipping . the location ok . summary : unclean , noisy hotel , feel want . could serve one star -hostel , definetly worth price . 
 Nov 2 2006 	 good value not mind thick 	 hotel average good value . stay semi businessness room 1,300 indian Rupees per night include decent breakfast . room big lounge , coffee table desk . good light ok bathroom clean . basic clean place roof top restaurant . old Delhi bit full soon leave hotel 
 Oct 10 2006 	 Vey disappointing 	 partner stay 3 2 night Sept / Oct ' 06 start end holiday book via Hotel Club June . although pay superior twin , initially assign tiny room window . moan give well room share balcony . the lavatory would flush despite many request get fix nothing happen two day oblige flush use bucket fill bath . bathroom wooden louvere window could closed . overnight bathroom infest insect totally cover every horizontal surface . the air conditioner trip every couple hour time seek someone reset trip . common problem three room have . after round complaint move another room least lavatory work . we receive ' hard sell ' Travel Office general staff friendly hopeless . witness several dispute Reception one severe move office complete check . Buffet breakfast din room stone cold even 09.00.ignore lovely pic roof top restaurant , tip apparently use store junk . , however , sign state coke pizza quid . on whole disappointing far bad hotel stay two week visit mean least expensive . I believe ' Rough Guide ' review recommendation prominently display Hotel . 
 Sep 25 2006 	 ok go 	 place bad . guess depend room get . we book 1st night expedia charge 23 euro . room ( spacious nice bathroom aircon . noisy due street . the price would go , ask another room get small one ( 218 ) aircon , 900 ( 16 euro ) think well . idea one expensive . the restaurant great value , lady travel agency nice ask time plan , bit pushy . the room service fast overcharge , ask tea get 5 minute 22 rp ( 0,40 euro cent ) .I check hotels area average , maybe even bit well . they loook great reception go room . 
 Sep 10 2006 	 Skip in - house travel agent ! 	 good room , not fully clean arrive . short walk New Dehli railway station ( 7 minute ) , fair step Connaught Place ( 15 minute ) . reasonably price restaurant good food . reliable internet phone service . real downside pushy guy travel agent offer we vastly overprice trip become unhelpful say . 
 Jun 26 2006 	 Avoid summer 	 arrival everything seem ok , entry room seem fall apart . stay 4 night , consecutively eventually hadto change poor quality . pay budget get budget . stay June weather hot . a / c cut everyday 6 pm 9 pm . room fridge , seem ornamental , do not fucntion ! ! lift work alot time . location right centre hustle bustle expect peace . Restaurant Service extremely slow . take waiter around 10 minute give we bill ! floor janitor , pleasant thing stay hotel . hard work attend request ( apart gettin ac work ) . make complaint discount give , instead ' deluxe room ' offer price exactly facilite standard room , include non function fridge non function air con . 
 May 20 2006 	 Noisy Poor Service Avoid 	 noisy , could sleep , order egg , come shell , avoid hotel always look room buy . 
 May 11 2006 	 awful ! 	 ABSOLUTELY avoid hotel : dirty , expensive , unpleasant people , furious , pay lot advance , room give somebody else come back trip Udaipur . invent incredible lie justify , unpleasant we . ask room clean , ( forget bath ) , ask presidential suite one big one little bed , without fruit basket , people always ask money , stay block lift , give wrong hour plane trip wait 4 hour airport go Udaipur , etc , etc ) . 
 Apr 30 2006 	 ajanta trap 	 con merchant seem adequate description , room clean indian standard , call free airport pick seem downright lie , prssure take tour golden triangle management sulk do not book ... staffa well indifferent wost rude .... floor staff talk loudly night outside room take every opportunity ingratiate , without actually help.your room may well smell weird chemical presume use kill bug ... get much well much cheap delhiso advice would book room one night move watch management sulk ... sorry ajanta customer important us millionaire , hard descrbe unwelcome staff undernath smug exterior , incidentally keep eye email man make sure spend maximum amount , take usb need one use small intenet caff across road half price friendlyish . 
 Apr 26 2006 	 stay clear con artist ! ! ! ! ! ! ! 	 stay clear con artist ! ! ! ! ! ! ! make mistake stay hotel website . be far well option . operate . book online think great place stay see picture website . get be allow look room sit talk incredibly pushy sale woman 's try sell one tour . really firm give easily . be interested tour would come India friend wedding see India time . stop smile find not interested . take we reception say something hindi receptionist sound annoyed . probably not get we book tour . leave UK , book second expensive room hotel Ajanta thinking would one nice room among picture website . however , not buy tour were't interested give we nice room provide we good customer service . claim dirty room give room pay . , intend buy tour guy might find hotel ok ( still overpriced ) give well room suck . ; interested tour ... stay CLEAR DUMP . discover great place second trip Delhi . came recomende traveler meet . 's call & quot ; Cottage , yes please & quot ; locate area Hotel Ajanata . 's close cinema . get spotless room 600 r . 
 Apr 22 2006 	 terrible 	 do not make mistake book first night Delhi place simply one budget place website ! room nothing like picture , pay twice price similar style room could get elsewhere . dirty shower toilet etc etc . fair enough airport pick handy free . , make high room rate pay . get taxi look around popular central area Delhi you ll find something well - second time come delhi month later ( long flight ) find something well half price - namely - ' cottage yes please ' strange name know good . 
 Mar 31 2006 	 trust Lonely Planet 's recommendation Hotel Ajanta ! ! 	 like many other , dupe book Hotel Ajanta Lonely Planet 's recommendation . what mistake ! ! first , keep mind secure reservation on - line , hotel charge advance room . imagine surprise meet Delhi airport pick - up hour late , kindly inform upon arrive Hotel Ajanta give room ( already pay full ) another , room & quot ; sister & quot ; hotel dumpy street . unfortunately , & quot ; sister & quot ; hotel insist pay room separately , appear know much & quot ; brother & quot ; hotel ( Hotel Ajanta ) road . complain follow morning Hotel Ajanta desk , refuse refund money Hotel Ajanta booking , offer wretched breakfast instead . second , awful experience , proceed cancel reservation make Hotel Ajanta later India trip . although Hotel Ajanta assure last 40 day multiple e - mail process refund later night , yet receive refund , turn directly credit card company assistance . bottom line Hotel Ajanta know well take money charge card , God forbid give back , even agree write ! believe frustration , waste time , break promise part India experience , knock stay Hotel Ajanta . never . 
 Mar 6 2006 	 good hotel seedy area 	 stay hotel son January . read 30 review , variable response , little cautious . many reviewer angry aggressive selling tour package . arrive middle night , expect aggressive sale routine , none . room plain , reasonably clean cheap ( Delhi ) . book on - line $ 10 US . staff courteous fairly efficient . get sale promotion next day , shop around , find well deal ( hugely well ) . simply decline , end . restaurant good , although breakfast buffet expensive , much cheap simply order parantha menu . would recommend hotel , surround area quite dirty possibly shock someone new India . 
 Feb 13 2006 	 get pay 	 stay Hotel Ajanta Feb 2006 . basically , get pay . hotel old clean . room basic television cable . hotel money changer , internet cafe , travel agent pretty good restaurant one roof . many foreign tourist world seem pretty happy . one major drawback area hotel locate Paharganj total dump . however , hotel arrange car / rickshaw get area easiliy possible . suggest take blanket , soap , towel extra sheet picky . thing make stay hotel comfortable . afford stay area Paharganj would rest Dehli actually nice . budget , Ajanta lot offer . one thing , rent car driver hotel . firm driver . driver keep try take we & quot ; Tourist & quot ; shop ( Cottage Industries , Gov't approve etc . ) shop charge double price market . driver pretty much refuse take we local market without first us waste time & quot ; gov't approve & quot ; market . hope great time Delhi 
 Feb 13 2006 	 Ajanta Hotel -nice couple thing watch 	 girlfriend stay Ajanta hotel Delhi Jan 06 . convenient station sight New Old Delhi nice bustle Ram Nagar area outside , Food 's ok - nothing spectacular , give we complimentary pick airport . would recommend watch things:1 ) make sure room give standard booked paying . get show & quot ; nice quiet room & quot ; ( windowless ) clearly Semi Business Double book quote for.2 ) use travel agency service , find overly persistent pressurising . try catch guard check give hard sell get see room key . say demand room ! also use old & quot ; delhi not safe - must book car etc we & quot ; tactic . good practice level tout India generally , could without inside hotel.3 ) leave book taxi ( hotel 's taxi desk ) take we airport strangely find give lift hotel rep travel airport pick newly arrive guest . afford give complementary airport pick - up - get depart guest pay taxi . dead cheeky ! 
 Jan 18 2006 	 nothing special expensive 	 first , really appreciate free airport pickup . second , neighborhood leave much desire . grant , leave nearby New Delhi train station next day , need . still , place would love spend time in . the room ok , especially give price . put touting tour -- especially phone call U.S. book room ! 
 Nov 24 2005 	 Rude Management 	 book six room & amp ; colleage . arrival hotel , not right room book one room available friend . ask see owner / manager Mr Arya . confront Mr Arya , ignore we & amp ; not even bother solve problem accomodate we . think view attract foreign customer joint travel agency service , whole management hotel terrible . hotel overprice service give . well get hotel ( Godwin / Crystal / Yuvraj etc ) nearby well service & amp ; cheap . 
 Aug 11 2005 	 Trust 	 hotel staff take reservation phone rude sound favour ( ok , understand low - grade hotel afford hire polite staff ) . far good . want charge airport pickup request ( website say free ) decline pickup . inspite offer credit card detail confirm reservation , say hold reservation without card detail . inform check midnite . upon reach hotel , find staff take reservation phone . first decline reservation name . insist see reservation register find name , give follow assorted reason room me:1 . arrive late.2 . reservation follow day , today.3 . not use airport pickup4 . not provide we card details.5 . not email confirm reservation . he offer put friend 's hotel next door ( shabby room exorbitant price ) night move property follow morning . midnite , reluctantly agree . next day flatly refuse check property . notice guest hotel reception area treat extremely well offer room . because:1 . white skin2 . not hold american european passport3 . go pay dollar indian rupee . reserve stay risk . kumar3 . 
 Jul 8 2005 	 get pay . 	 seem lot room difference quality stay base room and/or floor . room nothing great , acceptably clean except serious musty smell mattress curtain . air con work fine , woman 3rd floor ( 2nd ) say choose hot night , try sleep racket air conditioner . airport pickup work well , big advantage . think onsite travel agency bit pushy . restaurant quite good , reasonably price . overall , decent deal money , especially Delhi , price outrageous . definitely ask see room check , not afraid ask another room not like first one see . 
 May 30 2005 	 Free Airport transfer close Train Station 	 arrive middle night Delhi airport 7 am train punjab follow morning . book hotel easily expedia arrange free hotel pick - up ( detailed expedia website ) . wait we take we safely Hotel ( therefore avoid much comment Delhi airport scrum Taxi driver ) . given pay £ 27 room 3 us pickup worth alone ( fair whack airport ) . spend 4 hour hotel room window somewhere clean put head fine . check fine friendly . station ' enlighten ' 5 - 10 minute walk 6 be close make catch train easy . would definitely recommend hotel want somewhere put head day one easy exit train station exactly place long relax holiday not recognise photo expedia . photo window post trip advisor good reflection neighborhood see . 
 Apr 20 2005 	 ok hotel one bad location Delhi 	 return one week stay hotel . windowless room passable . 's clean decent . however , staff walking hallway loud disturb sleep . lobby narrow long guess construction , dining also there . the staff Hotel Ajanta try sell we overprice package visit Jaipur Agra try convince we well deal . 's cheap take Shatabdi express day trip city . number staff evening fair say , hover around need know personal business , day plan . the Internet Café perhaps one good facility hotel offer . location hotel unfortunately unappeale . outside , street filthy narrow , packed car , rickshaw , vendor , taxi driver everything else imaginable . staff super - nice thing way , not fool . be take money . buyer beware ! room clean decent . see room first time , extremely pleased , especially since fear bad outside appearance . say , never judge book cover . service restaurant extremely slow . husband order time . ten minute later , couple arrive . ten minute everybody serve , receive order toast turned & quot ; biscotti & quot ; .Overall , would not stay hotel would recommend . 
 Apr 17 2005 	 poor value 	 backpack round India month get Ajanta hotel TripAdvisor . room rate variable , charge like . reception pushy , try sell tour Jaipur Agras , soon arrive , taxi 12000 rps 2 people certainly good value even accomodation - round trip train 3000 + accomodation 200 - 350 per night decent place . the room clean ( ish ) bite pokey share toilet dirty . final nail coffin staff , one guy always seem hang around outside door cheek demand tip & quot ; good service & quot ; leave despite fact do nothing say good morning ! go back Delhi will not stay . 
 Mar 9 2005 	 pro 
 Dec 31 2004 	 Ajanta Hotel 
 Dec 31 2004 	 ? ? ? ? ? ? ? ? ? ? 
 Nov 21 2009 	 gut Preis - Leistungsverhältnis 
 Nov 5 2009 	 Sehr gut und jeder Zeit wieder 
 Oct 26 2009 	 ottimo il prezzo .... non del tutto confortevole 
 Jul 19 2009 	 Le luxe à petit prix ! 
 Jun 26 2009 	 Bien situé et bien tenu - Bon rapport qualité / prix 
 Apr 24 2009 	 bof 
 Feb 27 2009 	 pour les chambre ce n 
 Feb 14 2009 	 Hôtel impeccable 
 Dec 21 2008 	 horrible ni se os ocurra 
 Nov 11 2008 	 beurk bruyant arnaque 
 Oct 22 2008 	 eviter ! ! ! 
 Sep 17 2008 	 ? ? ? ? ? ? ? ? ? ? 
 Sep 15 2008 	 hotel fuire croyez moi 
 Feb 1 2008 	 I m Ajanta haben wir un wohlgefühlt 
 Nov 18 2007 	 engaños continuo 
 Sep 12 2007 	 Zimmer und Preise genau checken ! 
