nice 	 spend Thanksgiving weekend hotel get good price ( much low normal rate ) . room nice pool exercise room . parking expensive , give 50 % discount hybrid car ( yea ! ) reasonable . not many place immediate vicinity eat , nothing far walk . 
 Jan 3 2008 	 go somewhere else - lot noise ! 	 let start say hotel currently renovation completion set April 2008 accord website . actually get renovate room , please give . get room , think new room would plasma since website imply new room would , guess come later ( April ) . exist tv 's remote control not work . call tell would not long come fix . 45 minute later , maid knock door drink glass bring room . proceed wash sink towel ! not replace . ask remote get one another room . also mention privacy slip door also get another room . call downstairs cancel request new remote . the toilet constantly trickle upper bowl quite loud .... make sure close bathroom door night ! stay night Jan 1 , 2008 5th floor quite cold windy night . window must bad seal , loud whistle sound night could not sleep wink . turn tv cancel little bit . 8 am , thank night sleeplessness drilling hammer 6th floor renovation . nice view North building construct . hear too . finally , book discount site , prepare blatantly tell second - class citizen . call ahead night request king bed tell nothing guarantee since book third - party site . guess expect . when tell front - desk problem check - out , tell would make note hammering start early . ( note : mention ..... question like & quot ; stay , sir ? & quot ; ) front desk make effort compensate problem . parking $ 49 / night in - an - out . park street east hotel Wacker meter pay 8am-9pm , overnight free . meter 25 cent 5 minute . must pay parking , also East Monroe Garage 3 block south ( enter Columbus ) . be $ 13 12 hour , $ 17 16 hour , $ 20 24 hour . if want stay immediate area , go next door Hyatt Fairmont . 
 Jan 1 2008 	 love view 	 room overlook Lake Michigan . could see ferris wheel Navy Pier everything look pretty . even thou little chilly outside , great able sit back enjoy view . 27th floor . husband enjoy go Chicago night especially holiday . swissotel favorite . drive hotel , not use valet parking . check couple parking lot walk distance end pay $ 29 24 hour not think bad . I notice bottle water room sell $ 6 think rediculous . also think fee use fitness room . needless say , not buy water use fitness room . everyone friendly definitely go . room right next elevator afraid might keep we night , really not really surprise we . room quiet . 
 Dec 26 2007 	 great view good location 	 stay hotel last week October husband conference nearby Hyatt Regency . upgrade corner room view Navy Pier becuase note request king room . king room available check woman front desk overly helpful produce copy confirmation wtih king bed request . upgrade room spacious , clean , view outstanding . tub shower bit small , tolerable . staff hotel seem overly helpful , staff Palms absolutely excellent , late - night dinner arrival night . love location fact take underground tunnel Hyatt Michigan Avenue . overall , nice stay , would definately reccomend Swissotel Hyatt Regency anyone conference Hyatt ( stay conference May 2005 -- ordinary , say least . ) 
 Dec 26 2007 	 love noise . 	 noisy - constant water running pipe . terrible ! ! much well hotel stay Chicago . thier parking rate obnoxious ( $ 42.00 night ) way far walk much . must stay , try park free dead end street ( feed meter weekday ) take stair next street level find Jewel grocery store soda / snack . ( soda hotel $ 4.50 plus 18 % restocking fee ! ! ) 
 Dec 26 2007 	 nice hotel overall minor flaw 	 award hotel Priceline bid get room city view 21st floor . friend stay swissotel mixed review . happy hotel find comfortable well appoint . want hotel would close Michigan Ave Millenium Park perfect regard . staff friendly helpful . 's rundown & quot ; pros & quot ; & quot ; con & quot ; overall . pro : nice pool spa 42nd floor , room lobby clean , easy walk Michigan Ave via low level walkway Illinois State center , bed comfortable . con : free internet access ( $ 9.95 / day ) major day . slight mold find shower . Fan room heating / air noisy times - literally sound like woodpecker 2 am one night . room fridge except well - stock highly monitored fridge load snack booze . ice machine every floor , keep beverage cold may need go quite way get ice . find ice , service area often cluttered maid cart . vend building either , get snack gift shop . be well go Dunkin Donuts near walkway Illinois Center , be quick walk . also , condo tower build north side building . construction could noisy low level , personally fascinate good view construction activity , crane , etc . guy like could see problem be try work quietly sleep baby . overall , nice hotel would hesitant pay going rate seem . see get special deal priceline , hotwire , elsewhere . 
 Dec 14 2007 	 good location firework parade 	 stay anniversary . book room soak tub . old bathtub . charge we high rate view Navy Pier . room strong chemical smell .It weekend Disney Parade crowd everywhere rate higher . when arrive parking lot full . husband take car garage hotel staff pick . long line check long line get elevator . agree reviewer wonder hotel get rate highly . seem rather old stay nice place . stay next door Hyatt would stay next time instead . 
 Dec 12 2007 	 Glad not pay full price ! 	 ' m glad not pay full price room ... book two night stay ( Sun & amp ; Mon ) pay $ 85 night Priceline . go not mind average room . stay nice place less room would normally cost . dead end , still within reasonable distance MI Ave . walk couple block .... 's exercise . staff nice , smile face hellos pass . fridge room ... not even touch . will get charge move anything . price ridiculous anyway . parking ... 's secret .... plan walk everywhere , park garage underneath build next door . enter Randolph . Park close elevator go Lobby . bring lobby building exit step 's step hotel . 's $ 29 day . remember , . will not stay Swissotel . 's 4 star can not figure . 
 Dec 3 2007 	 great hotel great location 	 swissotel crack hotel magnificent mile lake michigan , view superb.the hotel clean , well present staff quick efficient . excellent christmas tree reception , nicest see hotel , house make chocolate kids.would recommend hotel stay sure . 
 Dec 2 2007 	 Sore Feet - bad location 	 rely heavily people say hotel , thus , ' m write review . hotel stay come priceline bid . pay $ 147 ( without taxis ) per night ; Saturday arrival , Sunday departure . goal Christmas shop ; first weekend December stay . first foremost , location terrible . & quot ; Close & quot ; mean quite hike . get Michigan Avenue several block . , END Michigan Avenue . get good store another hike . get State Street see original Macy 's shopping , even hike . ' m 37 year old crawl bed evening ache , mostly foot kill . friend feel way ; next day hip ache walking . ( end day start pay taxi ride ; miserable . ) secondly , hotel rate four star not get . simply average room . , way , move anything refrigerator , charge . product sensor . put piece cheesecake refrigerator move item around make fit . next morning $ 60 minibar charge dispute . much dispute ; take bill without question we ... still ridiculous . food beyond expensive . two decaf coffee , one bagel cream cheese , small blueberry muffin & quot ; bar & quot ; lobby cost $ 18 . staff , professional ; however , smile ? kindness ? even ask concierge like talk drill sargeant . want nice ! ask room upgrade ... & quot ; lake view . & quot ; tell $ 30 . decline . my friend 's room also handicap . toilet high ... be short . awkward . , toilet seat cover not fit toilet bowl shape . also awkward . would nice tell option decline room . big problem hotel truly come location . agree would stay Swissotel . foot could not take . not forget swimsuit stay , will need hottub 42nd floor . body ache walk . 
 Nov 25 2007 	 Disappointing 	 travel Chicago frequently stay many hotel downtown . excited try Swissotel , leave disappointed . actual hotel room nice amazing view , staff extremely rude . man check we phone acknowledge we do phone call . say five word , & quot ; need credit card & quot ; . lobby bar fireplace cozy . hotel information say close 2 am come back hotel 1230am & quot ; night cap & quot ; , last call . fine we , bar full many people come back night wanting & quot ; night cap & quot ; make last call . night end listen many unhappy people complain receive sympathy employee . many place stay area nice nicer , need stay swissotel . definitely not stay be look romantic weekend away , employee ruin experience second walk door . 
 Nov 14 2007 	 terrible experience . avoid hotel . 	 room internet connection , florescent light could manually turn AV tech come , honestly one bad business hotel stay in . also , hotel frequently overbook send people away arrive late . happen separate trip . beware . 
 Nov 12 2007 	 Parking= $ 49/ night ! 	 folk , place see well day . husband travel Chicago 20 year stay Swissotel many time . use lovely hotel really wear seem get bad every year . fixture bathroom rust , furniture old bang , bed uncomfortable , pillow wear , etc . , raise parking rate $ 49 per day ! will never go back . shame ... 
 Nov 8 2007 	 Nice 's well 	 recently stay business trip something Gleacher Center ( popular meeting space ) 's perfect location . room spacious nice view , impressed mattress every , little , tiny thing cost money . local call even cost money forget order take . staff pleasant truly international group . would stay price , opinion , worth get . stay another hotel close Michigan Avenue , MUCH less swissotel charging , full kitchen , free hot breakfast hot dinner , free internet , bedroom living room , convenience night life . swissotel far Michigan Avenue , easy walking distance , somewhat seclude far hotel go . bad , depend ' ve get lot money spend . even sell Audis premise ! 
 Nov 7 2007 	 great hotel ! 	 great hotel . well equip , room spacious comfortable every thing need . almost every room view river part Michigan Ave . location good , within walk distance restaurant , fine store Michigan Avenue . also somewhat close park , Navy Pier Museum Natural Science . service excellent , personnel strive make feel well . concierge savy direct good restaurant help reservation . the hotel quiet business orient . would good hotel family vacation Chicago . this second option , since hotel totally book , decide stay hotel satisfied experience . surely recommend hotel ... 
 Oct 17 2007 	 Great Location 	 Stayed conference October 9 - 13 , 2007 . group rate $ 239 find room really go $ 500 ! fly 5:30 hotel let we check early 9 - exhaust welcome . upgrade window room - room 804 . fabulous room great view Chicago River , Navy Pier Lake Michigan . hotel great location - walk restraunt , museum , park etc ... Mag mile close well . bed , note early post , would expect hotel nice . still comfortable . staff impeccable manner ! think pay - parking $ 49 / day , gym $ 12 / day , restraunt pricey etc ... staff treat like royalty . one simple , appreciate touch water service front lobby . ice cold fill citrus - refreshing walk city , even cold day . 
 Sep 25 2007 	 Good Hotel Great 	 book much deliberation forum diff't web site . overall , nice hotel . good : lake room 18th floor view awesome ! room nice . clean , bathroom nice / new . location OUTSTANDING ! concierge helpful questionsbad : tv cheap . reception great ( lot fuzzy channel ) . pillow bed fluffy / soft . one like soft / fluffy pillow . ' fridge full minibar item , could put anything fridge . most bad little thing , one mention case important . overall , nice hotel . get good deal travelzoo , would stay price right . 
 Sep 21 2007 	 Swiss Standards 	 one would think hotel call & quot ; Swissotel & quot ; would pride cleanliness . however , hotel provide toothbrush forget ( , claim ) , not offer mouthwash either ( enjoy hike Walgreens need forget bathroom item ) . overall , hotel top bottom - service , furnishing , bed , appeal - akin mediocre Holiday Inn . Embassy Suites and/or Hampton Inns nicer friendly ... much cheap . 
 Sep 20 2007 	 fine choice beware minibar 	 swissotel moderately size 43 floor hotel cater business traveler . superbly locate downtown South bank Chicago River , overlooks Lake Michigan . offer good alternative large , chain hotel nearby , Hyatt , small , less hectic , perhaps personal . room clean , well decorate , quite large , though particularly luxurious . usual amenity , make pleasant stay . additional plus indoor pool gym 42nd floor , spectacular view , internet connection reasonable price ( $ 10 / d ) . price pay ( $ 230 per night + plus usual fee - convention rate ) seem like good value . glitch along way . first room loose window , produce amazing howl , move nearby . bathroom fine , though strangely , one small bar soap . annoying minibar . note review , automatic sensor , simply move item , charge . give inflated price item , plus sale tax 19 % restock fee , move jar cashews expensive experience . overall , like hotel quite bit would probably return . fabulous location someone personal scale place plus . however , rack rate much high , would also look closely competition . 
 Sep 20 2007 	 Pleased Swissotel 	 check 9/13/07 . daniella friendly courteous . book TravelZoo $ 109 per nite rate two nite . get room face Chicago River city ( nothing wrong room ) make mistake see Navy Pier view wait elevator . go back pay extra $ 30 per nite view never sorry . room comfortable , bed GREAT amenity . park Systems Parking Millenium parking garage . $ 28 per day , well $ 49 hotel . find everyone friendly helpful . People street ask need direction nice young man point we Houlihan 's . eat patio people watched enjoy much . take Chicago Trolley Tour really like . concierge hotel give we direction catch trolley , also Giordano 's also walk distance . please miss restaurant be Chicago area . husband senior problem walk involved . love Chicago Swissotel would hesitate return . negative noise ( run water etc . ) room nearly bad enough we stay . 
 Sep 4 2007 	 good choice right price . many negative full price . 	 Swissotel Chicago decent choice business leisure traveler . however number small negative make think stay place . we manage catch $ 169 / night rate summer weekend not bad hotel location great view Chicago River Lake Michigan . even get upgrade one corner room ( room number x04 ) also look west toward Michigan Ave Wrigley building . night cool turn light watch city room . there thing keep mind annoyance affect stay.1.most expensive hotel park Chicago $ 49 / night . weekend check hotel area vary $ 35 $ 45.a . you save money little work staying weekend . Upper Wacker dead - end right hotel ' street parking u - turn area . ' get $ 3 / hour meter parking ( 2 hour max ) along stretch 9 am 8 pm Monday Saturday . ' willing take time energy save money plug meter . plus since ' park day drive event public transport / taxi ' option . save money pay early morning evening . plus like say Sundays free.2.noise issue . a. there ' condo building build next door ' greet 7 am noise heavy equipment construction . surely get bad right ( August 07 ) ' foundation : building rise noise get bad get close guest room . b. CTA tour bus idle front hotel part Upper Wacker dead - end hotel . if ' light sleeper would highly consider get high floor city view room . ' deep sleeper even troubles.3.while sheet / blanket nice , bedding pillow sub - par . mattress room need replace ASAP.4.High speed internet $ 10 / day . WiFi signal ' good , least wire Ethernet connection backup.5.furniture look like new pattern , wood beat badly.6.Shower stall small : almost remind old style phone booth . ' 6 ' 3 " 200lbs ' tall normal build guy . shower head fine height keep bump knee , elbows , shoulder head try take shower . someone heavy build , pregnant old age would real problem stick take bath . 7.the gym one top floor lot great equipment even well view . full slate cardio , cable machine free weight would rival normal gym . however $ 12 / day per person skip take long walk along lake.8.the lobby ' good design easily get clog traffic level get high . one time say " excuse " six different people get front door elevators.9.not enough storage . beyond closet ' place room put luggage / clothe . drawer similar place keep stuff open . it ' bad . 1.the hotel staff courteous helpful.2.The room clean.3.heate / AC control work well.4.large selection tv channel . also one last note : door handle work upwards . tough since office opposite . while price pay could overlook lot issue . pay $ 300+/night website charge , would check hotel . 
 Sep 3 2007 	 losing focus ... 	 use stay often swissotel , new owner assume management 2003 , refined touch ( free chocolate front desk ) disappear , August 2007 , absence update begin show . among sign apparent room : two stain carpet , mildewy odor shower , nonspecific whooshing noise outside ( elevator machinery ? ) . inconvenience : self - parking , door underground concourse join hotel nearby Hyatt Regency Michigan Avenue close 5 p.m. ( surely 9 p.m. would satisfactory security ) , slight air detachment staff . one example hotel not think thing : hotel 600 room , yet gift shop stock 11 copy New York Times morning , sometimes 2 ( attendant advise ) . business traveler well option block away near North -- notwithstanding great view Navy Pier lake many high floor ... 
 Aug 31 2007 	 Decent choice 	 read mixed review go Swissotel Chicago make hesitate . can not speak poor review base review direct ( therefore limited ) experience . we stay Aug 20 - 23 , 38th floor , Room 3817 . discount deal . place clean quiet , request high floor quiet room . room south face room , directly front short office building construction go right beneath we , new construction leave obstruct we ok . building right , could see part Millennium Park building leave , could see Marina . personally , like view , particularly night , Washington , DC not tall building going - on around . construction noise minimal height , ' ve som noisy hotel ; not much noise hotel locate big city . the bed clean , well make , comfy ( us ) , bit hard home . carpet clean look new refurbish . bathroom decent open design bright light ; seem big average look like retro-1930 's fashion / art deco without garish gaudy . small water stain tile shower , gosh , would need look pretty hard know . tv , btw , volume control issue minor . a / c big refresher hot humid day stay big rain storm week . I think swissotel reliable choice . keep think whether 4 - star . 's 3 - star . would say 3.5 star . price , deal either way look . however , much expensive competitor right next door , think decent place budget minded business tourist traveller , though not seem directly aim family traveller . right next door KPMG lot convention business not fancy terrible seem write . I will upload photo soon . 
 Aug 31 2007 	 Nice Stay 	 stay swissotel special birthday weekend wife Aug 25 29 . call ahead ask nice room order flower wife . Jaymes Ballard , Concierge , make arrange flower , early check - in great room . room 33rd floor view face city . room large , everything look like new , great bed , large bathroom separate shower , great ammenitie . beautiful bouquet flower arrive upon arrival . hotel 10 min everything , close far anything . great restaurant , 2 patio outside cigar . really nice pool hot tub 42nd floor . would recommend hotel anyone thank Jaymes make trip special . 
 Aug 29 2007 	 great hotel great deficiency 	 Swissotel Chicago good hotel , nice , helpful nice staff . one 500 good hotel world , proclaim , many deficiency price pay REALLY top 500 . first , price ridiculous , instance 1l bottled water room 6USD , item minibar also pricey . second , minibar sensor , sensor work well , prepare shock pay room bill ( six item bill , ' use minibar ) . third , tv program disgrace . 28 program , least half work , rest work well , constantly keep rustle . hotel offer impeccable tv vast array program choice . fourth , gym include room price ; pool , pool clean ( find hair float ) . , good hotel , nice big room , many small defect , really top category . 
 Aug 28 2007 	 Nice Place 	 stay executive suite Swissotel 8/24 - 8/26 . suite two bathroom , living room , separate bedroom . suite 35th floor great view . furniture little worn hotel 's service location make . would definately stay . get opportunity see musical & quot ; Wicked & quot ; , , great . 
 Aug 27 2007 	 great suite great view 	 family four stay Swissotel Chicago weekend . location good base tour Chicago . Millennium Park , Michigan Avenue , Loop Theaters Navy Pier five fifteen minute walk hotel . free trolley popular tourist attraction stop Hyatt , block away . the staff hotel efficient although ' distinguish high - end hotel . thing do quickly part correctly . good business , maybe bit brusque tourist crowd . I ' stay family hotel previously two connect room nice unremarkable . time , connect room available book one - bedroom , 1.5 bath suite . difference ! view spectacular ( see photo ) , room spacious " .5 bath " small full shower essentially full bath well . pull - out sofa ok two kid ( 10 & amp ; 13 ) . bedroom nice well - appoint . also wet bar refrigerator addition mini - bar . room include access Executive Floor complimentary continental breakfast , cocktail dessert serve . enjoy breakfast although evening food service bit skimpy . the Swissotel Chicago good deal – often reduce rate suite . case , cheap two connect room far well experience . room hotel get somewhat tired . sign indicate upcoming renovation ask book room . 
 Aug 27 2007 	 Nice Hotel ...... 	 excellent hotel excellent location . room , especially bed , quite comfortable . terrific bathroom , great view , spacious , quiet clean . , frequently get excellent rate : ' ve stay twice summer , $ 109 per night . however , couple watch - out : first , breakfast expensive good ; go Lou Mitchell 's instead taste real Chicago ; rental car , captive ridiculously expensive parking - $ 49 / day - 's really alternative parking around ; charge fee use health club shock hotel caliber - 's decent enough work room great view , come - $ 10.80 pop ? , finally , charge ridiculous fee be business , i.e. , charge $ 7.50 receive Fed - Ex package ! ! ! ( , not even bother tell package 12 hour arrive ! ) front desk staff clueless stuff , , hand attitude complain . 
 Aug 24 2007 	 Loved Swissotel -- 	 stay Swissotel Chicago recently get suite toddler could stay crib separate room . really enjoy get ticket see Wicked concierge send we bottle complimentary wine . hire babysitter great nanny service ... hotel great , service wonderful room service quick . whenever ask something , within minute . suite big nice , say negative , look little worn . , would stay . right near Millenuim Park fun beautiful . highly reccommend hotel . 
 Aug 20 2007 	 early check - in/ $ 3 Boarding Pass Charge 	 pleased front desk allow check - in 8:30am . boy let tell $ 3 fee , per person , per boarding pass printing . employee say fee start recently . overall , room nice , huge bath robe , spacious bathroom , three chair room . room service get breakfast order wrong make next day order kids meal get enough food three people . room hotel noisy though ... anytime anyone turn water - , , beside - hear ! cab State Street Macy 's $ 4 . need paper lobby store open , go coffee bar let one . 
 Aug 17 2007 	 horrible take pass 	 recently stay 3 day business conference . I call hour check time see room available check - in , operator connect reservation desk . woman answer rude standoffish go could obsolutely check 3:00 . call , time get front desk , say room available 3:00 could check . Got hotel , room not ready yet . feasible since 3 large group meeting . finally get corner room . look ok.1 . Bathroom look like come early 1990 's round circular lightbulb go around mirror . shower tight small . mold grow tile . fellow coworker leaky shower head door . leaky showerhead . Toliet make funny noise flush . took forever find hairdryer . case look 's white bag coat closet hang bathrobe . overall bathroom need complete remodel.2 . Bed-= absolutely awful . nowadays hotel nice comfortable bed . unless like really firm bed , bed use luxury pillowtop . mattress old hard . could fall asleep . actually get backache 2 days.3 . tv internet connection : slow , wireless . wireless free activate link computer fee $ 10 . tv something desire . even wake morning winding evening , tv connection bad due use sattelite . co - worker snowy picture channel . much choose channel selection . 4 . exercise room : extra charge per day per person use gym . pool free.5 . parking : unless expense business , leave car rental car home airport . overnight parking cost $ 45 . absolutely crazy . Stick walk take cab , & quot ; El & quot ; metra need get around . 6 . elevator : slow hotel definitely top hotel . $ 219 night lack comfort amenity . check different hotel city . one deserve pass ! would not never stay casual business . 
 Aug 13 2007 	 Beware - 4 STAR 	 reason stay Swissotel Chicago , like:1 - Hard beds2 - small rooms3 - Bugs hair ( ) bed4 - someone else 's mascara stain blanket5 - $ 6.00 bottled water7 - Construction sight next hotel8 - go another floor ice9 - mold / limescale pn shower ( ? sure - not bring chemistry set ) . absolutely disappointed place . pay overly displeased ! ! good side - bellman nice good view pool / fitness center area . will not stay . 
 Aug 12 2007 	 Excellent - Get corner room 	 stay Swissotel business trip first week Aug 2007 . arrive late first night get shove hospitality room first night . however , make strong talk assign corner room 28th floor . excellent view city , river Lake Michigan . fact , would say corner room Swissotel well view hotel vicinity . room huge , everything clean bathroom nice . the hotel convieniently locate Magnificient Mile Millenium Park . would much recommend hotel , would suggest try every method possible get corner room high floor . 
 Aug 9 2007 	 First Chicago Visit 	 first visit Chicago book hotel Travelzoo . get good price would disappoint would pay regular price . mattresse HORRIBLE . walk Chicago , bed comfort . vend machine kind want soda -- minibar room -- $ 6.00 water . checkin , staff never make eye contact go motion . would stay ! ! ! 
 Aug 7 2007 	 great value - nice stay 	 get great rate Hotwire.com thrill find hotel pick . hotel convenient need go , despite weather ( yes , windy ! ) still great time . I find restaurant ( Palms ) rate , negative experience . formal , formal price , not mash potato , requirement great steakhouse ! 's personal preference , one matter ! room sleek cool - great view . front desk efficient nice . bell staff attentive available . Valet parking plus . order breakfast room service , great on - time . would definitely recommend hotel hopefully stay . 
 Aug 6 2007 	 could not pick well spot ! ! ! 	 stay five night Swissotel Chicago love every minute ! gorgeous view river lake close pretty much anything . able walk everywhere want go - Navy Pier , Sears Tower , Grant Park , Museum Campus , Hancock Center , Michigan Avenue - name . service awesome . moment check , staff courteous meet every need , include arrange crib daughter make sure safely set leaving room . pool also really nice , since 's top hotel , offer even gorgeous view city lake . get great deal ( $ 109 night ) , book special travelzoo . room service little expensive good . concierge wonderful give we accurate direction attraction well recommendation restaurant . hope stay Swissotel every time visit Chicago ! 
 Jul 31 2007 	 Customer Service need improvement 	 request room nice view check tell room overlook Grant park . room overlook park small area two building . 90 % view construction new building . would problem except clerk mislead thinking view good side building . clerk also fail give we free breakfast voucher ( $ 50.00 value ) next morning part package purchase company . large group tell we great breakfast later next day . ask another clerk breakfast voucher second morning give one offer compensation one give we . internet work room call front desk transfer call 800 number . frist call unanswered call 15 minute . work though issue get internet go . find charge two call bill clerk remove charge . hotel charge internet service . the bar expensive see hotel . wife drink one bottle water ( small 16 oz . ) charge $ 6.00.i send email voucher Swissotel customer service return home receive response . the room average clean first day . discover room clean second day stay 11pm return day complain . good part stay fitness center . great pool plus several machine . view fitness center fantastic . overall , would recommend hotel stay . 
 Jul 30 2007 	 swissotel great .... 	 3 niece stay long weekend , wonderful time . arrive early around 8:30am let we room . nice otherwise would store luggage register laterroom clean bathroom . 4 woman need extra towel , bring right away get call make sure deliver . room also quiet , construction go behind we never hear anything . bed comfy quilt ... good location Michigan Ave . wonderful stay . would return . 
 Jul 28 2007 	 Great Visit ! 	 spend last weekend Chicago Mom ... ( first visit downtown ) . nice time . able get swissotel deal $ 109 . nice hotel , glad not pay full price . really not special far room go . however , staff friendly helpful . first little upset $ 45 / day parking , end well worth . pull front door Valet parker pleasant helpful . not worry find garage find way back hotel . especially nice although mom pretty good walking , nice make walk . awesome call car ready within 10 - 15 min . , definitely wortht price ! swissotel also cool great view Navy Pier , hall window elevator . room look onto river front entrance wihich also pretty neat . love fitness center 42nd floor , could look city work . tremendous ! menu price Swissotel bit range walk block two Houlihan 's really nice breakfast buffet $ 10 . corner bakery another block great 2nd breakfast . although , mom get egg potato potato cold . but , Southwest salad get nite humongous ! good . we use free trolley Navy pier , try get Aquarium , transfer Union Station , & quot ; green & quot ; trolley never show , run time conference United Center evening , not get go Aquarium . , want dependable transportation , not use trolley . we go Arts craft show Canal street VanBuren Jackson ..... . 5 small booth much . would not suggest anyone next year . thank site anwere question help plan trip . really nice time ! will come back first weekend Aug. 17 yo daughter another mom daughter . ' m really look forward ! 
 Jul 25 2007 	 getting worn Keith Richards . 	 husband stay Swissotel Jul 21 - 24th . lucke get room $ 109 night . consider price pay , great visit . pay rack rate , would livid . stay place 3 year ago , seem much classier elegant . place look wear tired . pro : call ahead request high room . city view 31st floor . view excellent . location away hustle bustle area quiter competition . linen , towel bathroom top notch . room spotless . bed comfortable . bathroom spacious layout functional . never hear noise wall above / below . could hear neighboring door open close . con : customer service stink . clerk lack warmth customer skill . business . smile , inquiry , concern etc . carpet obviously steam clean many time . stretch wrinkle many place . furnishing chip peel paint . artwork similar college student . Nicer print frame find Linens Things . use health club , pay $ 10 per use . pay $ 10 use room internet slow dial use . turn fee cover half day . would stay ? get price , yes . otherwise , stay somewhere else . hear remodel hotel next spring / summer . huge improvement . meanwhile , seem simply let place go . hopefully , thing turn around absolutely love location view place offer . 
 Jul 25 2007 	 great hotel 	 recieve great deal room wonderful . two room , one upgrade river view ( without additional charge ) nice . room overlook new construction . bed comfortable . hotel room clean . parking pretty steep , not car not concern we . would nice fee use excersize facility , not walk around city much . one downside find not super close El . close Navy Pier Millenium Park . 
 Jul 25 2007 	 wonderful surprise ! 	 wonderful surprise ! book room $ 115.00 online hotel booking service . room great view downtown river . location great walk Michigan Avenue . city see Wicked decide walk back theater ; walk 10 minute theater district ! room clean comfortable . particularly enjoy luxurious robe ! linen soft bed comfortable ; not wake entire evening ! young lady check we pleasant appreciative articulate direction give we one staff member . would recommend public parking garage locate within step hotel , 303 Wacker street . parking reasonable ( self park ) $ 23.00 per day . parking vehicle take elevator Lobby level office building ( parking garage ) walk directly Swissotel . leave last night notice replace lobby carpeting ( not seem worn ) ; sign hotel continue improve property . the & quot ; negative & quot ; comment would mini bar room . realize upscale hotel ; however cost item bar incredibly high . several item choose ; however soda $ 4.00 bottle beer ( domestic ) $ 8.00 . plan snack beverage room ; suggest bring visit gift shop soft drink cheap ( yet high ) rate . would stay hotel ! 
 Jul 25 2007 	 expect 	 expect big thing hotel base previous review , price stature ..... good hotel , room clean little thing like dress gown nice touch everyday thing let hotel . bell service front door nice , open door cab arrive always say hello enter leave hotel reception concierge service polite , often make we feel like troubling recommendation ask bus map . room comfortable although pillow lumpy . give we extra bed little girl request stay hampton inn suites , milwaukee day , say service poor . room overlook construction hardly room do not really matter hotel 's fault . watch check oo make charge mini bar $ 22 have not even open , remove question it . the location good could stay near restaurant similar price little . get great deal ebookers.com $ 200 per night wish stay hilton group stay chicago seem reasonably price customer service base . Chicago fantastic would recommend giordinos pizza ( dot throughout city ) , also chicago bus co tour , pay fpr 3 day pass worth money hop service use save leg start get tired . watch shoe shine man , see charge someone fortune $ 20 clean shoe start without permission keep walk approach . Navy pier good firework we d sit night could see hotel . Sears tower view amazing little steep $ 12.50 per person ( pun intend ) . love shopping look filenne basement , ahve designer outlet prices city , one top end michigan ave ( mag mile ) one state street near body shop . got great bargain ! travel child make sure visit child 's museum ( free thur eve 5 - 8pm ) rainforest cafe rain forest come life eat elephant , rhino , frog , crocdile . 
 Jul 25 2007 	 expectation 	 stay Chicago first time hotel meet need . I book room early - travelzoo promotion $ 109 per night . the room quiet spacious , especially bathroom andi get nice view Chicago River . room wear carpet , scratch furniture leaky showerhead , butthe maid service generally prompt efficient . room wasready later late morning/ early aftermoon . you might want request quiet room construction occur south side hotel duringnormal business hour . fortunate get roomon side . also pull dark shade way across window avoid morning sunshine . able sleep late 9 - 930am plus I . my room standard cable tv channel cool comfortable . touch mini - bar per previous review . the pillow top mattress comfortable enough I . I decide eat Palm hotel restaurant . violent thunderstorm move area one night . delighted waiter friendly seafood delicious . pay $ 60 total meal ( without dessert ) understand realistic give vacation destination location . there plenty restaurant bakery nearby eat budget want cheap breakfast . Corner Bakery Cafe Houlihans couple nearby place East Wacker . attend part work week avoidedlong line . I ' ve read concern distance subway station . this really not problem , time walk generally 13 - 15 minute State Station . not far get anywherereally . Navy pier 25 - 30 minute away subway bus take many place be tired ofwalking . consider buy 3 day visitor CTA pass $ 12.you get unlimited subway bus ride . visitor center isclose Randolph street . also walk stairs canal take architectural tour Chicago Riverwhich informative would recommend . watch Navy Pier firework hotel Wednesday Saturday evening weather permit . consider fly Midway Airport instead O'Hare ... 30 minute subway ride Randolph / Lake orange line station vice versa transfer . ' ve hear blue line O'Hare take 90 minute . also avoid taxi fare . I not bring car , comment parking expense . overall pleasant stay Swissotel . lot fun explore Chicago . 
 Jul 23 2007 	 Positive Hotel Experience 	 must stayed somewhere completely different last review . ' ve stay number Chicago hotel , one nice . room bathroom spotless . room large room ' ve ever Chicago . king bed desk , dresser , etc . , nice marble bathroom . think bed comfortable linen crisp clean . shower spotless , rest bathroom . like separate shower bathtub . check - in check - out breeze ( Saturday Sunday ) , staff fine . snooty , adequately friendly . there taxi stand right outside hotel bonus . it bridge Chicago River , far Michigan Ave . get Navy Pier , however , tricky go bunch staircase make way various street get ( be easy Mich. Ave ) .there public parking lot street leave ( parking hotel $ 45 per night , downer ) . breakfast Corner Bakery right street well . if book , ask view Navy Pier . 's nice view . view river , nice well , nice lake Navy Pier . all complaint would stay . 
