Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 Sep 28 2007 	 amzing andy 	 well arrived delightfully welcome warmly Andy Hurley . he tiny , large heartmade experience worth goingbig thumb andy ! ! ! love smoochie 
 Sep 23 2007 	 really disappointed Hilton 's ` ` Luxury '' Brand 	 high hope Conrad . use large chunk HHonors point stay conference husband could enjoy luxury hotel . impressed ! service , far , disappointing aspect . the room small nice decoration , huge flat screen tv , nice BOSE sound system . bed terrible ; husband complain back pain first night . tub bathroom tiny ; never use . Molton Brown tolietrie nothing special . beyond irritated call housekeeping bring we new set tolietrie one bother replace two day . , take half hour second phone call tolietrie arrive . process repeat second time , day later . unacceptable luxury hotel . regular Hilton , tolietrie replace everyday , use not . the Terrace Bar great first night . love view skyscraper nearby . last night , receive awful service . ignore 20 minute husband finish drink . finally get fed tell hostess room number leave . , unacceptable give & quot ; atmosphere & quot ; hotel . I run another problem business center try print ticket show . mouse computer not work , render computer useless . call help , one come since business center farm another company . one front desk seem care might miss show . luckily , manager let we use computer print ticket , still resovle issue get initial $ 16 internet charge refund . pain ! would stay next time come Chicago . would rather regular Hilton executive floor get complimentary breakfast turndown service actually include chocolate- concept ! 
 Sep 9 2007 	 great Clean Comfortable Room 	 travel often business stay 4 - 5 star hotel well usual Marriott Courtyard Hilton Hotels . hotel great . reserve King Executive window face Michigan Avenue well adjacent wall . could believe quiet room -- noise Michigan Avenue guest , etc . amazingly wonderfully quiet hotel room . room well appoint , huge , immaculate . ( hotel put stark white comforter bed confidence cleanliness always take good sign . ) big surprise hotel dining . almost never dine restaurant hotel stay . ( usually many great option city ) case munchie upon check order appetizer via room service . service quick , sharp , food good . next day , lunch 5th floor rooftop garden restaurant ( outdoors ) fabulous view , amazingly quiet give location hotel . food FANTASTIC . order Maine lobster roll sandwich were't expect amazing culinary experience .... surprise ! presentation lovely lobster roll come platter several & quot ; samplers & quot ; -- - soup , cabbage slaw , homemade chip , sinful chocolate mouse cake . ' ve lobster roll dozen place eastern seaboard will tell good , flavorful , fresh ' ve . whole dining experience greatly exceed expectation . would say hotel gem city recommend without reservation kind . enjoy ! 
 Sep 4 2007 	 Fantastic Hotel 	 Conrad refreshing change ordinary business class hotel . upscale without stiflingly opulent , staff professional without curt ; helpful without overly friendly . furniture furnishing modern , warm inviting . huge flat screen television meet enter room certainly nice touch . even nice touch include consistent turn service almost invisible unobstrusive staff member , nicety leave . Conrad do not come cheap , expect class service provide . colleague mine stay less offering complain huge convention crowd , impersonal service banal , usual business class room . opportunity sample come expect Hilton hotel , one category : true hospitality comfort . 
 Aug 21 2007 	 Best Hotel ever ........ 	 Hubby stay Conrad Chicago , last weekend weekend getaway kid . one good hotel ever .... room fabulous . bed , pillow awesome . 42 inch flat screen tv , marble bathroom , host amenity can not touch . cheat well worth every penny . would hesitate stay . 
 Aug 21 2007 	 Loved Great Stay 	 love property . great , staff wonderful plus locaton great . even upgrade property . truly believe worth extra money . totally return next trip Chicago , great experience . 
 Aug 21 2007 	 Great Place stay Chicago 	 love hotel ! never write review , feel compel stay . stay hotel company retreat last four day . stay , blow away service . front desk pleasant helpful , Swank ( supply equipment meeting ) , also amazingly quick helpful . room beautiful , Terrace provide lovely view gorgeous city , location perfection . meet space nice nice view well , food offer catering menu receive rave review ! could please stay . look forward come back , highly recommend stay visit Chicago ! 
 Aug 20 2007 	 great location 	 two room two night Conrad road trip visit US . street entrance floor reception lobby also access shopping mall attach perch upon . huge fan layout trip mall various thing find drawback check luggage transfer . check - in breeze great first impression hotel important . room lovely extra bed request already place - something first much appreciate . the staff helpful various tourisrty request location hotel access various tourist attraction excellent . shopping mall attach open range cheap breakfast option ( breakfast include rate ) . one dinner celebrate sons birthday hotel nice . ( actually , reason eat hotel could not get Twin Anchors rib due excessive wait - time . ) room comfortable average size . nice big plasma tv modern bathroom . vaket parking expensive hotel stay US - appear Chicago parking issue . all hotel comfortable , much would expect Conrad happy location tourist 's perspective . 
 Aug 13 2007 	 great hotel 	 spend week hotel pleased experience . describe previous review . room comfortable huge televison bathroom particularly outstanding . service excellent overall ( especially like bottle water bedside turn service ) . door bellman / woman particularly pleasant helpful concierge friendly knowledgeable . completely satisfactory ( though overpriced ) drink bar not eat restaurant . health club fine equipment well maintain . three treadmill two elipitical stepper , never wait machine although might different story dead Chicago winter ! one minor quibble -- like coffee first thing morning in - room coffee maker . restaurant offer free coffee & quot ; to - go & quot ; eight . , comfortable , attractive hotel wonderful location . Chicago expensive city felt get reasonable value money . 
 Aug 12 2007 	 Great Hotel ! ! 	 find great deal ( 135 usd night Travelocity ) Conrad Chicago . hotel really great : room nice , modern , bed comfortable , bathroom huge , location one well find Chicago . absolutely recommendable . 
 Aug 7 2007 	 Snooty Front Desk- Nice ammenitie 	 stay past weekend part girl weekend sister - in - law . use Hilton point stay . front desk check - in clerk snooty apparently right paperwork , although sister - in - law never receive right paperwork Hilton begin . also , snooty upon departure . also ask breakfast voucher part diamond program , offer front . room nice . big shower , big tv , bose system cd player , well stocked min - bar , two nice bathrobe etc . drawback stay someone spouse / partner , shower completely glass shower . go bathroom want wash face / use sink person shower comfortable walking , wait . nice location thing . $ 5 cab ride good couple thing wanted not feel like walk . bellhop outside curteous knowledable . oh , french toast resturaunt average overprice . 
 Aug 7 2007 	 worthy lofty ranking 	 Conrad among good hotel Chicago minor tweaking could good value town , top - rank property . we encounter minor problem staff , note reviewer . upon check , send occupy room . front desk clerk simply write wrong room key envelope ( 1211 vs 1112 , think ) simple mistake . guest already occupy room good humor , luckily ! also find concierge quite aloof would agree posting Terrace restaurant . one time go drink , feel like intrude . finally , noise issue room . twice call security middle night folk wed party next door still mood celebrate ! : - ( however , couple little issue can not take away fact hotel gorgeous . beautiful marble lobby , quick connection mall street ( albeit bad two - elevator system ) , perfect Chicago location stunning guest room . bathroom huge clean , bed comfortable really like plasma TV Bose sound system ( may one reason tv next door loud time ) . overall , would stay Conrad would recommend friend . 
 Aug 3 2007 	 Luxury hotel number glitch 	 stay recently part large group town business meeting . review . this luxury hotel , treat guest like stay luxury hotel . let start describe room , large plasma television Bose surround - sound home theater system , ihome iPod - capable clock radio , large glass shower stall , large tub whirlpool jet . amenity include bathroom scale , high - end soap / shampoo , complementary Internet bottled water . turn - down service provide night , get back room evening greet soft music Bose system , slipper , even put shower mat next morning ( nighttime shower ) . room wire wireless Internet , comfy chair , super plush bed comforter pillow top mattress , super plush towel bathroom rug . wake - up call take make real human being . even housekeeping staff refer name . the location also fantastic , connect shopping mall feature Nordstroms . heart Chicago 's entertainment / dining district short walk , include Navy Pier 10 minute away foot . restaurant hotel not visit , well outdoor indoor bar , feature nice selection drink , slow service . but hotel not perfect . internet service troublesome , twice call front desk , time transfered call GuestTek provide hotel 's internet service . time take 10 - 15 minute tech support person get service enable . apparently would not recognize room . check noticed hotel charge $ 20 call , promptly remove bill . other group issue . I also problem room key , usually take 5 - 10 try work . try new room key result . front desk personnel tell have maintenance look lock , trouble throughout stay . the cold - water bathroom run quarter volume hot , not careful could easily burn ( something learn hard way first night ) .So overall would give hotel high mark luxury customer service , need address bug make perfect . 
 Aug 1 2007 	 GREAT HOTEL EVERYONE 	 stay hotel Chicago , 2 adult 2 teenage boy love hotel . pretty much everything hotel perfect . every amenity could ask ; 42 & quot ; flatscreen tv Bose sound , robe , slipper , turn - down service bottled water , not love telephone bathroom . staff accommodate . instal XBOX 360 room three game charge . boy excite . special room service menu young people . order Chicken finger fry come quickly silver platter condiment cost $ 8.00 plus service charge . fifteen year old son love . check exercise room look like full gym cardio machine , life cycle machine weight machine look great . ' t use machine since tired walk city . location great .... near great shopping Nordstrom 's . husband stay Waldorf Astoria , feel hotel well . highly recommend hotel . 
 Jul 29 2007 	 Five Star Terrace Restaurant Manager terrible 	 hotel great location nice infrastructure . river north area full great restaurant north bridge area great towner . decor lovely nice hold - over Le Meridian . Conrad aspire top tier along Peninsula , Four Seasons , Ritz Park Hyatt , fall short . dinner Terrace Restarant outside day initially impress set selection . price similar Peninsula , figure nice day worth try . wow , ever disappointed . first , tell could seat stay 7 . ok , that s fine sit . waitress make point ask anything wrong , could make right . indicate glass champagne full ( $ 20 per glass ) , consult manager another manager ( heavy fellow dark suit ) . come back say standard puor would glad bring we additional glass . bother outcome , fact management service focus . four Seasons Peninsula , would never happen express displeasure , would make right . Conrad , Terrace manager ignore . 
 Jul 25 2007 	 enjoy Conrad Hotel 	 enjoy stay Conrad Hotel . staff good except couple rude bartender . leave cell phone charger send FedEx free charge . overall , would recommend other . nice hotel good location . 
 Jul 10 2007 	 Perfect Miracle Mile experience ! 	 pretty much everything hotel perfect . pricey , really get pay . every amenity could ask ; 42 & quot ; flatscreen tv Bose sound , robe , slipper , turn - down service bottled water , plenty space , incredibly comfortable bed , nicely stock lounge downstair , list could go . thing stick immaculate condition room attention detail cleaning staff . beyond , every staff member speak extremely nice . only complaint -it 's kind pain enter hotel via Michigan Ave , go mall . 
 Jul 9 2007 	 conrad good choice Chicago 	 stay Conrad two night part family gathering . experience echo prior review : nicely appoint room average size , nice large bathroom separate shower tub , large counter , nice amenity . burn - out light bulb apparently continue problem . eat restaurant stay , room service courteous prompt , pick - up use dish , often problem hotel , within minute call . price restaurant seem high , Chicago 's easy walk plenty place . find hotel entrance little confusing mall . tip : suite expensive far suite go . try get one , particularly one terrace : little noisy siren , terrace huge view spectacular . even suit without terrace nice . 
 Jul 9 2007 	 Conrad Top Notch ! 	 Hilton HHonors member lead Conrad Chicago . never hear Conrad 's Chicago experience look future trip wherever go . room common area classy staff excellent . already read lobby 5th floor use two elevator , also expect food expensive prepared well . cafe next door get breakfast 1,000,000 option lunch dinner within walking distance not big deal . location excellent close proximity river , Magnificent Mile , Millenium Grant Parks ( short / cheap cab ride ride CTA ) . be able pay little extra want get lot return , stay . talk guest bar stay Four Seasons , Westin , etc . adamant fact Conrad good . 
 Jul 7 2007 	 Location Location Location ! ! ! ! 	 conrad great location right magnificent mile . 's connect mall Nordstrom 's . also convenient top restaurant North River area . hotel within walk distance Navy Pier . the room terrific flat screen 42 & quot ; tv 's Bose Surround Sound dvd player . the bathroom huge large shower , great toiletry . Turndown service nice . as previous reviewer note , second elevator need reach main lobby , urban hotel security reason . the complaint price food bar menu , hotel cater businesspeople expense account , large group cost concern . I would definitely stay 
 Jul 4 2007 	 great room location 	 stay conrad large business meeting . overall experience positive one . room good . bathroom excellent , separate room toilet tub walk shower . sink counter large - room enough double sink . addition double sink , bathroom would equivalent master bath modern US home . complaint room one use separate remote control device change sound tv . room also bite small side . warning : room not good view - office building next door . one service issue : one two recess light bed burn . hotel connect shopping mall exit onto Michigan Ave . mall open , Michigan Ave . accessible walk block half north Ohio St. one negative hotel enter / leave hotel require two elevator ride - one street fifth floor lobby quite slow - large group enter / leave time , wait bit long . likewise , attend meeting , particularly main room sixth floor , restroom close by . I disappoint restaurant . three colleague lunch one day - mostly soup salad , tip , bill come $ 105 . retrospect , go one numerous restaurant within five / ten minute walk . one morning , restaurant / room service fiasco . get breakfast order 35 minute late , many go breakfast restaurant never get serve . 
 Jun 5 2007 	 kudo Conrad 	 stay night May meeting . hotel excellent choice . would stay anytime . 
 Jun 1 2007 	 excellent luxury hotel 	 stay Conrad two night business conference find excellent hotel . the room immaculate spacious , huge bathroom separate tub , shower commode area , large flat - screen tv bose sound system , comfortable bed . food somewhat expensive ( $ 48 breakfast one ! ) many option nearby . staff courteous helpful . definitely return next time ' m Chicago . 
 May 20 2007 	 great hotel really sleep well 	 stay week hotel tell really enjoy . first thank member TA review write select hotel particular . I travel lot last hotel stay problem sleep well different noise , hotel sleep like queen 5 night stay that´s friend priceless . last chance know Mr Peter Strandquist chief concierge good concierge ever meet , chance stay Conrad Chicago ask Peter help everything . 
 May 16 2007 	 Love hotel ! 	 stay Conrad Chicago 7 night May 2007 absolutely love hotel . location great , one block Michigant Ave . , close enough Magnificent Mile without noise , 2 3 block north river . able walk John Hancock building , Art Institute , Nave Pier State Street Loop . $ 12 cab fare take we Museum Campus . it plenty restaurant nearby within walking distance ( love Grand Lux Cafe Michigan Ave . ) . be also next relatively new North Bridge mall Nordstrom anchor . hotel accessable Michigan Ave . mall . hotel staff courteous check - in quick . stay 7th floor room clean spacious bathroom ( separate bath shower ) . room 42 - inch flat panel tv IPOD dock . bed comfortable . hotel also provide slipper bathrobe . pay $ 219 per night . go back Chicago , would definitely stay hotel . 
 May 4 2007 	 great hotel 	 wife stay weekend trip celebrate anniversary . world - class hotel . service help attentive , efficient & amp ; well - train . ever wait talk concierge front desk attendant . bellman & amp ; doormen friendly & amp ; helpful . bar lobby classy & amp ; relax . health club facility lot machine crowd ( weekend anyway ) . upgrade even though frequent traveler . room clean , spacious flat screen tv . complementary shoe shine nice touch . room stock bar accessory like corkscrew & amp ; wine glass , easily buy bottle wine enjoy room . room spacious enough comfortably . great location , problem , reasonable price overall tremendous experience , even special occasion . 
 May 3 2007 	 Issues Conrad Chicago 	 stay 2 night business conference . food pretty good . really good mint could not resist . room comfortable bed great . annoy many issue . first , internet go couple hour break conference . would not big deal except need business . second , internet not available conference room . suppose conference attend would pay extra . third , chair room low desk awkward position use computer give back ache later . fourth , second night key not work . ask new one also not work . ask another one thing happen . thankfully front desk ask security guy meet room not go back lobby third time . come back little later tell wrong room , not . finally , come back right key . Fifth , tv one remote control change channel different one volume . Sixth , not comedy channel . much cheap hotel . hotel not cost much money thing would minor inconvenience , would expect pay . 
 Apr 27 2007 	 well ever hotel experience ! 	 choose Conrad primarily location Chicago two night want somewhere central . what outstanding hotel ! location perfect - right North Michigan ( Miracle Mile ) good mall simple walk every major attraction . Stayed suite 's terrace - space huge view absolutely stunning . Decor great , bathroom enormous soak tub double shower . 42 & quot ; plasma tv , Bose sound , great bedding , bathrobe , superbly comfy armchair , even umbrella rainy day etc , etc , could go ! staff throughout stay great , nothing much trouble . front house guy Rush Street entry welcoming come across . we travel regularly far nice city centre hotel stay - point going try Conrad hotel . anyone consider visit Chicago recommend hotel highly enough - can not wait return . 
 Apr 26 2007 	 excellent value 	 stay Conrad week business , say excellent choice . room spacious , nice bathroom separate shower cubicle large bath . tastefully rather boringly decorate ( american hotel really like beige ! ) , large television nice , especially watch sport adult movie . the hotel ideally situate , Nordstrom Mag Mile , pleasant lobby area . staff helpful friendly . gym one good hotel gym good range equipment . view room good Chicago . room ironing board , iron umbrella , useful weather not great ( snowstorm April ) two gripe : one wireless internet access . tendency switch , annoying download report . second one tea coffee make facility room . , however , good coffee bar Nordstrom , pop get coffee . breakfast hotel , though overprice , nice . well value option Corner Bakery 5 minute walk excellent . overall , hotel represent excellent value . 
 Apr 25 2007 	 5 star 	 first time hotel . room spacious beautiful . staff priofessional helpful . hotel could not well location . true & quot ; 5 star & quot ; hotel , y low - key stuffy . be cheap , excellent value . ' m handicapped , handicap room perfect - the good ' ve find far . overall , extremely pleasant stay . 
 Apr 5 2007 	 great quiet hotel - perfect teen 	 daughter , son daughter 's friend Conrad speak . book two room Expedia , non - refundable package , get extraordinary rate . the hotel clean serene . room service wonderful , concierge service excellent . barely get son shower morning , big nice . our view dismal , rate wonderful . ' m sure great view expensive room . be Chicago . 's lot OUTSIDE room . we two block Michigan Ave . several nice restaurant walk distance . the attach NorthBridge mall nice daughter . allow little big city freedom safety . we see Wicked Art Museum Museum Science Industry . awesome . great city , great place enjoy . 
 Apr 3 2007 	 First Class ! 	 decor , accomodation , staff first class . comfy beds fantastic location . happy faciltiyin every way . 
 Mar 30 2007 	 great hotel bend - over backwards staff 	 stay conference week ago one night . nice property , quietly tuck Michigan Avenue . pro : nice escape chaos city calm , relax place . like Conrad not seem like gigantic conference hotel like neighbor conventioneer . much scene like Peninsula , bar area busy enough . the room : nice , though look closely could see shortcut take put together . tub super water pressure amazing . deep soak tub actually fill rapidly ! Good Molton Brown toiletry . good staff . everyone super professional , extra friendly go way help . con : say shortcut room ( convenient outlet bed ; soak tub look raw underside sink area , etc . view , not important . ' m definitely recommend Conrad friend want near Michigan Ave away crowd around Oak St . 
 Mar 30 2007 	 Great Weekend Getaway 	 stay weekend March 23 - 26 catch Flames @ Blackhawks game Sunday . Flew ORD around Noon , get hotel 12:50 , check early problem . friendly front desk lady lend buddy cell phone charger forget back home . request high floor , assign room 11th Floor ( mid floor hotel level 5 - 17 building . ) next elevator , dread bit noise hallway non - existent . huge spotless double - double room plasma tv Bose 3 - 2 - 1 system . resolution suck tv though 's regular sd feed , hd.slipper favorite amenity hotel room travel , morbid fear walk around barefeet matter clean room . asian hotel always matter cheap , say North America even upscale one . robe course pretty standard Conrad . Bathroom tub , suit we fine . Giant tile stand shower granite vanity seperate lavatory . pretty standard Conrad . showerhead could use pressure rain mode . massage mode get pressure . Molton Brown amenity nice . towel feel thin & amp ; cheap though plenty they . in - room safe quite small fit 12 & quot ; laptop fine , build - in outlet charge also handy . safe however not bolt though connect power cord minibar cabinet . hotel not card key security elevator pose minor concern leave valuable safe . evening turndown service offer complementary mini - evian water , nice touch . Linens & amp ; Beds excellent sleep every night comfy . room overlook back another building noise NMA non - existent . friend Westin however suite glorious view NMA hear siren blaring every night . suck they . HVAC perfect . hotel room always tend cold / too hot . Conrad . perfectly comfortable dial 70fhousekeeping topnotch . be slobs road hockey road trip room always spotless come back . one ever disturb we DND sign door ' til wake left noon everyday , yet room 's always ready come back around 5 shower dinner shopping sightseeing . bottle VOSS water room , nothing special , bottle cool look . wireless wire high speed internet free , painfully slow even good signal wireless . get work do . not try download anything major though will sit hour . do eat hotel order room service . go downstairs level 4 ( mall 's food court , must take hotel elevator level 5 lobby first transfer mall elevator ) eat Tuscany , italian fast food place serve restaurant style pasta fast food set fast food price . quite decent price agreeable . pet peeve 3 elevator system navigate be unfamiliar , fine friend Westin get lose come visit . request late checkout give 2pm without fuss Monday 6PM flight O'Hare . excellent front desk girl smile . Fitness centre 5 step room next elevator , convenient huge . complementary green apple hand towel use nice touch . LOCATION . stress enough . smack middle Mag Mile ( NMA ) , right across Intercontinental enter Nordstrom mall . walk distance anywhere . walk Water Tower , Hancock Building , Navy Pier , Loop , ESPN Zone , Hard Rock Hotel , Trump Tower construction , Walgreen 's Realtor Building , Macy 's next Westin friend stay . time take cab & amp ; ORD Shedd Aquarium / Field Museum United Center game . Weather & amp ; other : rain Friday , bloody cold Saturday absolutely gorgeous Sunday Monday . great time weekend though even bad weather start . Wished could ' ve stay long . everyone meet friendly , could say LA , be something midwest feel much like home . street surprisingly clean city almost 3 million . traffic problem , leave Windy City throughly impress . 
 Mar 28 2007 	 wonderful hotel ! ! 	 check - in staff pleasant professional . fact , not encounter one staff member make feel unwelcome . felt welcome upon arrival . concierge quick offer assistance taxi help baggage need . lobby huge , however cozy . terrace look like would great place sit drink spring summer . gift shop lobby , however ' m sure price high . walgreen far hotel . as HHonors Diamond member , upgrade king suite overlook Michigan Ave . wonderful room ! everything clean good working order . appreciated large - screen plasma tv Bose Surround Sound System . really appeciate thick wall hotel .. could hear anyone room next mine . the bathroom also nice incredibly clean . deep soak tub nice need day town . bathroom stock great amenity ! room service fast efficient food tasty . internet service reliable ( wire wireless free ) . Fitness center look nice , however get chance use . nice able walk next door shopping complex ( restaurant locate top level ) . stop concierege desk ask ticket show town , however busy another couple . one front desk staff immediately came ask need assistance . the location nice .. quick walk Magnificient Mile , Water Tower Place / John Hancock Buidling , Macy 's , etc . Chicago Marriott Magnificent Mile Hotel Intercontinental Chicago across street . would definately stay hotel , fact plan make prefer hotel town . hhonor member good chance get upgrade , especially weekend . downfall hotel ( like 4 - 5 star hotel area ) price often exceed budget . tip : check Chicago Conrad hotel website click & quot ; special & quot ; bar top page . book weekend package include $ 100 credit toward incidental pay $ 50 package .. thus receive $ 50 spend . 
 Mar 19 2007 	 enjoy Conrad St Patrick 's Day Weekend 	 travel Chicago first time wedding St. Patrick 's Day 2007 . choose Conrad location read review Tripadvisor . travel husband want upscale hotel . pro : Conrad lovely . city view room North Michigan Avenue InterContinental Hotel across street . room nice size , bed extremely comfortable bathroom amazing -- large upscale . complimentary robe / slipper , nice lobby bar area ( 5th floor ) pleasant front desk staff doorman round feel modern luxury . check - in efficient . connection via walkway attach shop convenient pick coffee item forgot bring we . the location great -- could walk Millenium Park , dinner keefer , watch official dye river green holiday . con : room 's large , flat screen tv resolution seem bit could not seem get phone work unless speaker . Uninterested / less friendly bartender . overall : conrad overwhelming facility . ' take breath away ' kind place . modern yet warm . book reasonable AAA price via hotel website . would stay . say , numerous hotel within block two Conrad , include ( limited ) Embassy Suites , Marriott , Courtyard Marriott , InterContinental , Hilton Garden Inn Hampton Inn , will many opportunity get great deal . 
 Mar 13 2007 	 beautiful hotel service need improvement 	 one nice hotel ' ve stay U.S. husband stay New Years holiday really enjoy stay . get reasonable rate hotel website . the room absolutely stunning fantastic amenity . location possibly well . husband actually start feel well trip spend one whole day hotel room sleep comfortable room stay 24 hour ! thing keep rate 5 - star staff . ' ve numerous problem . shoe send shined not return request time ( even within HOURS ! ) . newspaper not deliver promise . issue think block head can not remember right . despite , would still stay next visit Chicago . 
 Feb 27 2007 	 Awesome location hotel ! ! 	 husband decide take trip Chicago last minute quickly choose Conrad , really know 's location . pleasantly surprised find almost right Michigan Ave . ( be connect Nordstroms right heart downtown . ) great shopping . the hotel fabulous . staff extremely helpful give suggestion show restaurant . recommend go Joe 's be right across street hotel . everyone rave . . .but could not get reservation . the room wonderful bed pillow comfortable . warm invite atmosphere . my husband love workout room . highly recommend Conrad ! ! 
 Feb 22 2007 	 great hotel 	 travel frequently find hotel one good ' ve stay . room large . bathroom huge . 42 inch flat panel tv nice ( although contrary review - hd ) . annoying thing find not easy get lobby hotel . park garage ( $ 29 hotel voucher ) , take one elevator garage shopping mall . take another elevator mall hotel . ordinarily would not think would big deal apparently , elevator go hotel take awhile . complaint - hotel absolutely fantastic . be debate whether stay , take plunge - will not sorry . 
 Feb 22 2007 	 Beautiful Modern Room 	 boyfriend decide stay Conrad Chicago anniversary . second walk , immediately look feel room . white luxurous bed King bed , plasma t.v./ subroofer/ surround sound speaker ( boyfriend impressed , remind not come Chicago hotel room ) large bathroom w/ tub separate stand - in shower , granite countertop , his/ robe slipper . view not great , 6th floor really high enough see anything side building next we . large room mean , . . . not go city hotel room . prefect size amount time actually room . get great rate ( $ 140 hotels.com ) think go rate usually close mid $ 200 's . ' ve stay quite hotel downtown area none ever impress one . definitely stay next trip city . 
 Feb 3 2007 	 Best Hotel ever ! 	 think hotel 4 star ... would say 4.5 . hotwired hotel excited try something new . Unfortunatley , flight red eye wreck . get hotel IMMEDIATELY check 6:30am send fantastic room . room style . modern large tub , seperate shower gigantic plasma tv . bedding primo . view important would rather great room great view . Everytime ask something staff follow make sure everything ok . know name pass front desk . conceirge fantastic . new favorite hotel honest think put W hotel shame . do not remember name whole staff everyone provide amazing service . thank . 
 Jan 30 2007 	 absolutely loved ! ! 	 weekend trip friend . book couple room ask advanced reservation connect way . room right next one another request . almost everyone 's first time Chicago , bit cold - search hotel . , choice next perfect . amazing time first visit Chicago largely due hotel . customer service amazing . everyone extremely nice helpful . one room order late night room service raved feel order 5 star lunch fresh order food 2 pm , delicious . friend suggest full - staff 3 food come quickly . another room , housekeeping accidentally discard cd replace cd player iPod dock . concierge exact CD purchase ready check - out neighboring record store . rate include complimentary breakfast fantastic ! everything freshly make kitchen . add bonus hotel attach mall . therefore , not need leave building get pair shoe , coffee , type trinket . beyond pleased hotel would stay without hesitation . 
 Jan 22 2007 	 great place hang 	 stay Chicago Conrad January 18 - 20 , 2007 . find friendly , european - style hotel middle busy area . fact , drawback siren middle night , be expect large city . the hotel connect enclosed mall , convenient winter . excellent spa mall ( hotel spa ) lot good dining choice . we eat three meal hotel dining room costly , food outstanding . lounge staff friendly accommodating . take Conrad directory room go carefully flight home . conrad great , give Hilton lot business future . 
 Jan 18 2007 	 great hotel - great location 	 husband stay New Years eve weekend . excellent hotel excellent location . Hotel tastefully decorate warmly welcoming . room good electronic ' ve ever see . love soak tub spacious shower stall . hotel restaurant seem empty everytime walk , avoid . eat Joe be across street - excellent seafood . shop til drop without go outside ! Nordstroms four story mall attach . lot good & quot ; food run & quot ; place . Loved Chicago - love Conrad . go back ! 
 Jan 8 2007 	 Loved ! 	 LOVED ! Loved , Loved . hotel outstanding , extremely clean ( important ) . stay several 5 star hotel Chicago good ( hand ) . will not disappoint . fact go Chicago stay Conrad . 
 Jan 4 2007 	 great hotel great value 	 stay one night getaway family thursday . triple AAA rate 173 steal . 7th floor room complete 44 in plasma TVbose stereo , voss evian water , gorgeous bathroom ( tub fine we ) concierge helpful . beat location ... flaw breakfast pricey service slow ( 2hours four kid four adult friday morning ) even though two table restaurant . food good worth wait . I would return heartbeat . gem chicago ... 
 Dec 16 2006 	 Fantastic hotel 	 stay Conrad 4 night Thanksgiving . corner room overlook N Michigan Av Tribune Building . say 5 star hotel damn place faint praise - wonderful . staff unbelievably helpful . standard room superb - HD plasma screen , luxury bedlinen , iPod radio , huge bathroom . location unbeatable - right heart everything - watch whole Light Festival parade window . breakfast excellent - help buffet - full attentive table service . would hesitation recommend stay hotel - 5 5 . 
 Nov 21 2006 	 Attention Detail 	 Front Desk staff exceptional . upgrade Junior Suite clean comfortable . huge balcony overlook city distance , could see Lake . unfortunately , enter hotel , carpet downstair entry level filthy give poor impression doorman woman , however , wer polite welcoming . the restaurant terible disappointment respect would avoid . breakfast buffet close early advertise first day . service slow price , breakfast absolutely unremarkable . ask repeatedly various item wait long period time receive . eat , someone come remove flower fom table without even word . flower already dead . second morning stay , opt breakfast buffet sparse poorly replenish . $ 12 + not even rival Hampton Inn . would seem train competent supervision sorely need restaurant . housekeeper basic , not resupply amenity - another failure supervision . I request assistance dinner reservation , expect call Conrad might guarantee good table . contrary , terrible table . suspect hotel not make effort gain favor upscale restaurant town . staff accomodate well train front desk staff , would good hotel . 
 Nov 15 2006 	 thoroughly enjoy Conrad 	 husband stay Conrad November 7 - 9 attend business meeting several block away . find Conrad excellent hotel facility service . the valet parking check - in check - out process go smoothly hotel personnel efficient cordial . room 8th floor view Rush Street north . request renovated room ( good idea ) room nice really comfy bed beautiful large bathroom excellent toiletry . bathroom also large tub separate shower think nice touch . another plus 42 & quot ; flat panel tv Bose music system . the hotel great location - within walk distance terrific shopping Magnificent Mile directly connect Westfield Shopping Center . fact , hotel sit right top ! lot restaurant nearby too . the concierge helpful make reservation we Shaw 's Crab House - short walk away . excellent dinner great service . restaurant hotel look nice , never seem many diner . lobby bar usually busy quite pleasant . I ' m hard pressed think negative - one might floor room ( 8th ) also banquet room smell whatever serve lunch linger hallway room long lunch - bit putting . would suggest request high floor not want smell lunch afternoon ! feel bit pricey , would definitely stay Conrad ! 
