Great 	 stay long & quot ; Thanksgiving Holiday & quot ; - first time London think charming , nice location hotel . could not happy . compare hotel stay Europe room not super small .... 
 Jan 5 2008 	 excellently locate - Cavendish 	 two stay hotel - September November stay January . opt junior suite previous stay disappoint - view room rooftop London superbThe location hotel excellent - opposite fortnum & amp ; Masons literally couple minute Piccadilly Green Park - lot pub restaurant choose minute walkupon previous stay London always stay one Aldwych , however , price competitive cavendish great deal difference far quality concernedThe breakfast excellent huge choiceif one criticism , would agree reviewer bar price little pricey - not want pay price number good pub nearby 
 Jan 4 2008 	 Brilliant Hotel 	 stay 3 night Xmas & amp ; New Year superior double room . request high room view & amp ; disappointed room 815 overlook Big Ben & amp ; London Eye . early check faultless room modern , spacious ( central London ) , clean & amp ; comfortable . breakfast hotel lovely & amp ; fresh not change 3 day . pre theatre dinner hotel good value money ( 2 course £ 14.95 ) , comment would green garnish plate although could order side . lobby bar expensive reviewer say ( £ 19 2 rum & amp ; coke ) . staff pleasant & amp ; helpful . location hotel second none tube ( Green Park ) bus stop within couple minute walk . good choice stylish restaurant around hotel , along couple traditional pub expensive . location hotel shopping theatre excellent London tour bus available stop next Ritz excellent way see sight . overall , could not fault hotel definately stay . 
 Jan 3 2008 	 absolutely wonderful ! 	 husband return home 7 night stay Cavendish London must say could not pleased . heavily rely upon website get honest review opinion hotel travel frequently hotel spot . please go review other complain small silly thing alarm clock ! receive top notch service begin early check end complimentary trip Gatwick airport silly mix football ticket . able check early cost decide upgrade room could nice big bathtub . let say kind attendant give we FABULOUS room 14th floor amazing view . concierge well ever deal ( thank Ryan Ben ) one morning early breakfast ( include package ) go tour fine let we breakfast full hour restaurant even open . room nice care touch small ... vacation ... get room : ) besides , think bathtub big ever . bed sooo comfy . location fantastic within walking distance everything . trust , disappointed stay hotel . would certainly return ! 
 Jan 2 2008 	 really nice spot central London 	 stay hotel shortly Xmas . check friendly swift pleasantly surprised twin room . room little small side bathroom , though attractive spotless , also low space . first night woken rowdy reveller next room play really loud music follow evening . notify reception ask another room immediately grant pleasant porter arrive shortly afterwards escort we luggage new room . bar service excellent , though little pricey side . breakfast veritable feast satisfy every appetite . breakfast staff hospitable . morning guest queue available breakfast table , wait 15 minute . however , staff make great effort clear table keep thing move . make ideal base explore theatreland shopping . thoroughly enjoy stay . 
 Dec 24 2007 	 could not central ! 	 book via offer travelzoo give we discount rate complimentary upgrade . hotel nicely decorate , though feel like can not quite decide whether embrace 1960 's architecture ignore , manage bit unhappy mix two ! personally would embrace wholeheartedly create really unique property rather something feel slightly corporate / cookie cutter . room superior queen , high floor view Westminster request . room slightly large classic double really would not worth upgrading unless get nothing . executive room far spacious ' ve get cash go one instead ! say room fine decent TV , cd player bathroom . overall would stay location really can not beat , however have unwilling pay publicly available rate approximately £ 140 per night weekend . quick tip breakfast ... £ 21 cavendish £ 14 Wolesley around corner ... be room rate know one would rather ! 
 Dec 1 2007 	 Boutique - style hotel nicely locate eyesore 	 location Caventish great ! room ok , small , small stylish would expect boutique hotel price . corridor room hole ceiling tube , valve load dust underneath . internet damn expensive make somewhat useless business traveller might aim . 
 Nov 29 2007 	 Loved Cavendish 	 stay Cavendish 1 night . ideal location explore . walk distance ' Theatreland ' main shopping area . spacious room fab view , nice breakfast friendly staff . return ! 
 Nov 24 2007 	 Superb Hotel 	 stay cavendish one night november love much ' ve book already ! . hotel staff friendly ' ve come across obliging . fantastic location oposite Fortnum Mason , two block Ritz literally ten minute walk Leicester Square , yes , smack bang middle everything . beautifully furnish room amazingly comfortable bed . like bit luxury like centre action theCavendish isTHE hotel love . 
 Nov 22 2007 	 good hotel ever ! 	 central , modern stylish , great view 14th , staff lovely , like everything ... bed much soft . nevertheless incredible breakfast buffet make forget night ; - ) 
 Nov 20 2007 	 ' m regular 	 ' ve stay many time last year . nice place . bit image makeover since De Vere sell . good thing location ; Jermyn Street sexy . Everytime ' ve stay ' ve different rate ... ' ve differ expensive cheap ... time however ' ve enjoy . get room high floor enjoy breath take London skyline night . also , try get rate include breakfast , serve room . 
 Nov 20 2007 	 great hotel 	 stay cavendish brother 's wedding . book lowly room pleasantly surprise quality . modern , clean , well locate near Piccadilly , great view bathroom room valet parking hotel competitive rate . definitely stay 
 Nov 14 2007 	 expensive terrific 	 great room , nice view eigth floor amazing location . tradtional feeling though , gym . not hip soho hotel covent garden hotel . 
 Nov 4 2007 	 Location location location ! 	 stay hotel 3 night end October say good location get London - 5 minute walk either Picadilly Circus Green Park ( place find subway station ) 2 minute walk bus stop e.g . bus leave Knightsbridge ( & quot ; Harrod´s & quot ; ) Kensington . many sight , shop , restaurant , ... walkable distance ! negative side location right city center fact hear traffic noise room - also night . make sure ask room high floor preferably face one 2 street . stay top floor ( 14th ) still could hear traffic noise ... ( even window close , glass quite thin ) .The hotel : hotel modern stylish . nice atmosphere . elevator run smoothly long wait even peak hour . the staff reception helpful efficient . room : room nicely decorate clean - modern , stylish design seem quite newly renovate . we stay sup . queen room say room small - make sure space book least next category . the bathroom quite large comparison room especially London standard . design modern stylish - negative bathroom door large glass element ( although partly transparent ) , might everyone´s cup tea . the view room excellent 14th floor really nice view city . breakfast : good - large choice ( fresh fruit ( ananas , .. ) salmon porridge .... ) . also order additional thing menu cost extra . service well friendly , bit slow . so , hotel good choice want really central location mind might hear traffic noise night . hotel offer really good quality , especially compare hotel price range London . 
 Oct 17 2007 	 great location hotel 	 great location hotel , close shop , theatre ect . tube bus upgrade superior double room , well worth extra £ 15.00 per night , Ideal stay husband anniversary . book make sure full english breakfast include bookiing . service breakfast good trouble get table time . there Tesco express nearby , need spend much money thing like bottled water , etc . always expensive hotel . 
 Oct 14 2007 	 good location 	 location absolutely wonderful . walk distance theatre , Piccadilly Circus , shopping , tourist site . underground couple block away . room spacious king size bed ... rate superior ... bathroom also large . would recommend high floor nearby nightclub noise disturb Friday Saturday night especially ... although quiet week . concierge helpful pleasant . breakfast menu astronomically expensive opt one many nearby cafe . would definitely go back hotel . 
 Oct 8 2007 	 Spot ! 	 stay wife anniversary one night october . good point ; efficient , courteous check . ask quiet room , get one lovely view . Room Queen superior large enough 2 people baggage / shopping ! ! could want inside room , i.e . safe / iron / hairdryer etc etc etc . restaurant clean service good . food excellent , surprised not people use although pre theatre timing . we room service breakfast follow morning excellent time . check out / Left Luggage / Taxi A1.Bad point ; bed far soft , even wife ! ! return theatre night cap , one JD coke one Vodka coke = £ 20 ! ! even find quite pricey London Hotel . drink meal early reasonable £ 6 red wine diet coke ! ! OverallI would stay hotel special occasion worthy 's 4 star rating service food . prime location major tourist site / theatre / shop . I would drink 's lobby bar due price . 
 Sep 26 2007 	 comfortable bed ! 	 spend week hotel attend wedding bunch tourist stuff London mid - August ' 07.overall , happy would return without question . the location great main central London attraction . manage see everything want trip walk occasional taxi . be easy enough walk Westminster , London Eye south bank , Oxford Street , get park , museum .... etc . ( underground much hassle pushchair child ! ) next visit shall look something east ( Tower area ) cover city , dockland , east end part miss time without undue travel time . the room , executive double , big enough we clearly design business traveller tourist family . child sleep fold sofa large make little awkward get around room . nowhere near enough storage ( wardrobe ) space room ask provide mobile rack hung clothe . mean even less room move around ! bathroom hand massive well equipped . good part room bed , probably comfortable hotel bed ' ve ever sleep . room always clean well keep . Breakfast serve mostly polish staff nice could talk language ! contrary review never problem get table . food service always top quality . eat meal hotel day evening , every day . the reception staff always helpful hotel generally give impression want relax enjoy stay . we take advantage internet & quot ; summer offer & quot ; manage get room price around 175 GBP per night ( include breakfast ) versus approx 300 GBP normal rate . pay full amount advance . problem book , check formality . ask high floor get view whilst view somewhat sideways , get ask for . compare London hotel stay , well far . 
 Sep 14 2007 	 Perfect 	 hotel perfect location ritzy area London . underground station 2 block away , walk almost major site . room small , clean , flat panel tv , soft bed , amazing view . breakfast everything excellent . staff always accomodate . hotel comes highly recommend . 
 Aug 24 2007 	 Loved bed 	 recently stay many hotel center London hotel would amongst good room big bed comfartble ever sleep staff great . hotel heart london close piccadilly circus theatre would highly reccomend hotel 
 Aug 23 2007 	 please choose hotel 	 stay many hotel around world usually experience something like find think / writing & quot ; could well & quot ; & quot ; xxxx could improve & quot ; . stay Cavendish 4 night 09 - 12 Aug 2007 honestly say nothing complain time ! ! staff = friendly helpfulroom = small perfectly well equip , superb view QUIET . everything could need short stay . ( shower throw water bathroom floor though - complaint , observation ! ) Breakfast = fantastic , excellent bacon egg . service good . wait seat busy Sunday , staff handle well . bar = efficient service , could expand wine selection , overall good experience . location = 's say review . Fab ! ! stay London . v good value money . 
 Aug 23 2007 	 Location location ......... 	 wife , daughter spend three night cavendish read favourable report hotel site . not disappoint . the main purpose visit meet friend relative well usual touristy / shopping activity location important we . Cavendish well locate fashionable part London short walk Picadilly Circus . immediate area around hotel lot up - market shop include Fortnum Masons several gent outfitter . book two room ready arrival . not specify interconnect room book ask would possible receptionist arrange we straight away . discover level service common hotel staff encounter throughout stay . the room well appoint , airconditione extremely effective without noisy bed comfortable . we would recommend Superior room slightly large Classic , however , apart size difference amenity seem similar although shower Classic . the breakfast excellent lot choice wait queue . we use two bar couple time many guest appear . price high would suggest go walker pub opposite price much low food decent too . all enjoy visit likely return future . recommend Cavendish highly . 
 Aug 16 2007 	 great hotel ! 	 second visit Cavendish , live expectation . apart brilliant location ( 5 min Piccadilly / Leicester Square ) , hotel clean , comfortable staff really friendly . Junior Suite top floor amazing view London huge bathroom . breakfast lovely lot choice : cereal , pastry , full English etc . definitely stay next visit . 
 Aug 15 2007 	 nice place check bill carefully ! 	 hotel large room compare London hotel - pay ! location excellent , hotel lovely clean . big problem eat pre - theatre , fix - price dinner hotel dining room , notice extra cost add bill actaully advertise element & quot ; fix price & quot ; meal ! go back restaurant & quot ; extra cost & quot ; remove , apology make , rush we , fact make we feel like nusiance ! response ( blink ) either front desk staff say satisfied customer service restaurant . disappointing ! check bill London - type thing happen time we 8 day ! ! 
 Aug 14 2007 	 tiny great location 	 tiny room ( queen - size bed , desk , table chair fill ) even tinier bathroom shower / tub leave fine mist everything bathroom shower , neat , tidy clean ok be one person . win guest staff , friendly helpful , location Jermyn Street across back door Fortnum & amp ; Mason within minute great shop Waterstone 's good hat shop world ( Bates Hatters 21a Jermyn Street ) . definitely stay single , couple . 
 Aug 13 2007 	 not stay 	 hotel use part De Vere group , . new management dishonest rude . book three room last year need cancel . even though cancel many day advance arrival , refuse refund room . charge $ 5,000 three room ( maybe , can not remember exactly ) , sure quickly rent someone else . this do spite fact company run frequent hotel many occasion numerous staff member . spend many thousand dollar hotel . will not spend money there . sure hotel good location . room ok - great . really want give business bunch crook ? 
 Aug 13 2007 	 great location great staff comfortable hotel 	 locate behind Fortnum Mason 's , hotel short walk Trafalgar Square , Regent Street , Piccadilly Circus , Soho , Horse Guards parade many sight . the building not beautiful design particularly taste , room ( though wallpaper showing bit wear tear ) clean comfortable ( good bed , quilt rather blanket ) bathroom luxurious ( big shower , big towel , nice toiletry ) . lcd tv CD player like sort thing . if get breakfast include package , well worth : buffet cover basis full anglo - american fruitarian . other nice touch include kettle , tea , coffee biscuit room bottle mineral water leave daily bedside table . the multinational staff unusually pleasant seem genuinely eager guest enjoy stay . I get impression guest treat equally well , regardless much actually pay room . we greatly appreciate able leave bag hotel afternoon checking . 
 Aug 10 2007 	 Modern small 	 modern hotel near Piccadilly . across street Fortum & amp ; Mason . large lobby bar . room small double bed , clean update . modern bathroom . staff helpful fulfil request quickly . 
 Aug 8 2007 	 Loved Cavendish 	 wow ! return two night break London . stressful journey London traffic , meet concierge , Nick fantastically friendly welcoming . calm we , arrange car park suitcase bring room effortlessly ! room lovely , clean stylish . bed extremely comfortable , great night sleep definitely possible bed nice ! bathroom spotlessly clean towel lovely fresh . bottle water side bed nice touch . air condition room full working order . great night sleep , go breakfast , veritable feast ! ! toast , cereal , cheese , meat , pastry , full english . . . buffet style , could eat much little like . also evening meal one night stay , enjoy . the hotel , previously mention review , ideal location lot attraction . walk Buckingham Palace , London Eye , Big Ben Houses Parliament ( mention ) . take taxi back Westminster Bridge hotel cost we £ 6.00 . go underground Harrods ( sure cost - ticket hop ) .All staff extremely helpful friendly . nothing much trouble , request additional duvet organising book London Eye - thank make stay really special . would love come highly recommend stay hotel anyone . 
 Aug 6 2007 	 Great Location 	 book 3 night late Valentine 's treat . hotel behind Fortnum Mason 's near Green Park , picadilly great base visit London . want see various art exhibition , Borough Market also area live meet husband . hotel immaculate , reception staff friendly breakfast nice . relief find deal really 4 * deluxe hotel . lovely room modern bathroom . thing would criticise bar - bit pokey pricey plenty swanky cheap hang out nearby . ' m sure posher hotel real treat well worth money . rough experienced lot bad hotel city high price . good transport link place - bus particularly useful main road live London 4 year know way around . definitely go back . 
 Jul 27 2007 	 central location great hotel 	 stay 2 night take show shopping , bit sight seeing . well place 3 . walk distance excellent top theatre , variety restaurant , shopping , Piccadilly Circus , Buckingham Palace , Leicester Square , Trafalgar Square etc . easy 5 minute walk tube , give access sight walking distance . hotel clean tidy . staff friendly helpful . public toilet clean , fresh nice toiletry flower , always mark good hotel think ! upgrade executive room [ 1011 ] , problem space room . turn service every night stay . ok tv flat screen , book hotel watch tv . room ' boutique ' design . room separate power shower bath tub good toiletry provide , heat towel rail large bath sheet . excellent view London room , although room seem view , particularly high floor . 2 room either side lift might noisy , door opposite lift never problem . we book directly hotel , site although offer slightly cheap deal , offer standard room hotel offer several level suit all . Breakfast [ include package ] excellent . Buffet and/or cook order , even fresh fruit nice [ something hotel UK good ] . thorough recommend ' Eggs Benedict ' poach egg ham hollandaise sauce toast muffin . use restaurant many eatery locally . use lobby bar coffee , nice cup coffee . the entrance Jermyn Street well mark know look [ nice gentleman clothe shop ] , also [ level access ] entrance Duke Street . all excellent time , would hesitate stay again . P & amp ; b 
 Jul 22 2007 	 Great Location Great Staff 	 stay wife visit one show west end . hotel perfect location close west end show plus Oxford circus shop . the hotel look part feel like top rate hotel , room queen superiour spot , room size ok bed though fantasticthe staff helpful freindly qucik serve answer questionsWe breakfast hotel good tasty . I would recomend hotel anyhowthe Hotel duke street think Duchess Duke street own hotel site also call Cavendish back early 1900'sMick 
 Jul 15 2007 	 Quiet hotel - centre London 	 stay number London City centre hotel - nice find one finally sleep well ! ! hotel around corner Picadilly circus - bit quiet relaxed really feel away hustle bustle . when arrive informed travel agent book we low category room - small ( small ) two people - even though hotel fully book front desk manage re - allocating room ( people yet check ) get we large room suit need . not huge room - comfy view London Eye , bed nice ' ve sleep London air conditioning fab . bathroom - small everything need everything spotless . we renew work visa 's US embassy - 15 minute walk embassy nice easy ! checked offer add breakfast rate 10 pound - good decision full english well worth money . I will stay without hesitation ! ! 
 Jul 11 2007 	 great boutique hotel - modern decor - fantastic location 	 visit London shopping trip friend , book Executive Twin Room . service good , concierge helpful especially leave mobile phone charger home , able help . room good size , plenty room lounge , study desk sofa view london eye . bed comfortable though bit soft liking . complaint decor TV flat screen would match decor well bulky version . nice wall mount cd player.warne minibar beverage plastic dome encase drink . take , get charge drink . prevent charge present beverage checkout ! ! ! also minor detail majority bathroom door frost panelled line totally see , like friend stay , could see bathroom . luckily case , corner area . the night stay next door neighbour really noisy , pretty quiet area Hotel main road . breakfast excellent great spread cater taste . location behind Fortum & amp ; Mason close Oxford Circus shopping walking , great . great value money - definitely would stay currently summer deal . 
 Jul 8 2007 	 great location good hotel 	 ok arrive 2 am room ready decide go lunch come back hour later room still ready , ask would wait 10 min drama , approach desk 20 min room still ready ask wait 10 min within 5 min allocate different junior suite , flat screen tv per website watch tv still drama provide promote . staff courteous attentive time , real good thing hotel location value money , breakfast bed morning complaint , prompt , hot good quality . our room clean bathroom faciltie average . check 12 maybe previous guest room hence intial delay . see previous complaint lift noise , fortunately lift close room use hear odd sound like lift nothing would annoy . would issue stay look forward . 
 Jun 18 2007 	 birthday cake 	 spend weekend Cavendish . mention , first e - mail , want visit London celebrate birthday friend . night arrive find chocolate cake room . Compliments Reservations Supervisor Bridgette ! book twin exec . room . ask room high floor . got room 11th floor ( 1111 ) . 13 floor , high floor number 14 . nice view London Eye , Big Ben St. Pauls . a good varied breakfast . not use room service never . ? ' m stay centre city like London dinner sleeping - room ( hope not offend american reviewer ) .clean room , nice bed , huge bathroom nice toiletry ( probably famous brand ) . location main reason choose hotel . five minute walk Buckingham Palace , five minute walk Eros Piccadilly Circus , new & amp ; F store around corner begin Bond Street . Green Park underground hundred meter . 
 Jun 8 2007 	 Excellent Hotel Brill Location 	 return weekend theatre break , stay hotel book via Superbreaks . great hotel money , particularly get deal breakfast include . location perfect walk theatre district load main tourist sight include Buckingham Palace London Eye . not fancy walking , Piccadilly Circus tube station five minute walk away . the room stylishly remodelle although little small , nothing less usual central London hotel . nice toiletry tea / coffee make facility - clean comfortable bed . the breakfast excellent although may expensive include . problem though plenty small place eat nearby , include Cafe Nero across streeet . not eat dinner hotel . would say though drink bar expensive - , not drink there . definitely highly recommend return next time go London . 
 Jun 5 2007 	 Fantastic Hotel ! 	 return two night stay . change room twice arrive - first time room right next lift put we room two twin bed push together move we trouble . staff helpful . hotel great location - close Piccadilly , Regent Street . room spacious clean . breakfast amazing . definitely return . 
 Jun 3 2007 	 great location ! 	 go mid - week break husband . location superb easy access West end , Regent Oxford Street . staff friendly helpful . room size ( stay queen superior ) suprisingly large London . Breakfast also great part buffet part la carte - recommend egg Benedict ! would definately recommend use . 
 May 26 2007 	 great hotel fabulous location 	 hotel fabulous location St James area London significantly refurbish last year create stylish decor . service good , everyone friendly efficient . room modern well equip comfortable . breakfast buffet style extensive choice hot cold food . great thing hotel garage park car cost reasonable part London . 
 May 23 2007 	 great hotel 	 frequent London visitor favourite hotel far . location great , central get quiet enough sleep night . room nicely decorate , modern without clinical ' ve never one without excellent view . bed comfortable bathroom clean well design . staff happy help minor issue like forget toothbrush general polite helpful . might coincidence several occasion room stay hotel . anyone travel business know be sleep strange place experience really help . room service food good , great selection side order veg day enough . be centre London not like 's plenty option ! 
 May 23 2007 	 Smart Cavendish 	 daughter stay 7 night Cavendish love ! . book superior twin thru hotel website get fabulous prepaid rate include breakfast . room 911 ( ! ) witha fab view London Eye . room clean , comfortable spacious european standard . nice comfy bed comforter bathroom great wonderful , deep tub , seperate shower grohe fixture , plenty room . nice bath ammenitie Gilcrest & amp ; Soames . concierge helpful kind staff nice . like turndown service fresh towel twice day luxury . area nice several friendly pub EAT right side street , nice fight crowd Piccadilly , Tesco 2 block away . drawback ? many , not hear noise either adjacent room hall noise noticable , minor issue , would nice satellite T.V watch english T.V interesting watch maybe 15 min day anyway . use safe coffee making supply day ( nice walker biscut replenish every day ) . choose stay disappointed . lovely hotel . 
 May 21 2007 	 nice hotel great view 	 stay superior queen room , breakfast include , 139 GBP ( advance purchase rate ) . room small size nice modern decor . bathroom large . request room high floor view receive room 11th floor great view Eye Big Ben . thing room lack storage room- closet couple small shelf drawer furniture . , great location close Piccadilly Circus easy walk distance great shopping , West End theatre district , Westminster Abbey , Buckingham Palace , Eye . two tube station close . easy get Heathrow via Piccadilly line . also purchase ticket several attraction concierge save time wait line . breakfast excellent ( full menu choose ) option bring room . overall , great hotel highly recommend . 
 Apr 25 2007 	 incredible experience- love Cavendish ! ! ! ! 	 stay 3 night celebrate 40th birthday . give room 14th floor magnificent view Westminster Abbey London Eye . staff could pleasant helpful- concierge manage get we day theatre ticket sell show ! concierge also give we two wonderful ( lunch dinner ) recommendation absolutely wonderful ! breakfast morning great- buffet could also order full menu . I would highly recommend hotel anyone visit London- detail overlook . 
 Apr 21 2007 	 impressed 	 plusse : location , modern decor . minus : pay extra internet usage ( 20 pound day ! ) , limited facility ( gym ) , noisy room ( room connect door lock far soundproof . ask different room midnight people next door talk group extremely noisy say soundproof . for 200 pound ( 400 usd ) expect something little well . also , room cd player honestly , travel cd ? something plug mp3 player would eb much useful . 
 Apr 19 2007 	 Fantastic Hotel 	 stay friend cavendish two night April . fantastic hotel , modern decor , great location Picadilly Circus . great get around London . the hotel lovely , spacious bedroom bathroom ( sure glass door bathroom though ! ) . load facility bedroom - tv , cd player , iron & amp ; board , minibar hospitality tray ' ve ever come across include teapot wine glass . reception staff concierge exceedingly helpful could enough you . breakfast great plenty choice hot cold food although wait table Saturday morning - wait 5 minute . also try pre - theatre dinner one night bargain £ 15 two course food excellent . would stay hotel would personally recommend friend . 
 Apr 17 2007 	 lovely hotel great staff 	 2 we stay hotel Bank Holiday Weekend . short distance walk action e.g . play etc . you book 2 3 pm arrive early ( 1 pm ) let we check get room 12th floor . great view end corridor fab view Wheel London . the bedroom quite small lovely tv' / Beds / bathroom especially shower ! ! would absoloutely recommend cavendish anyone look great hotel excellent service ! ! 
 Apr 12 2007 	 enjoy stay cavendish 	 husband stay hotel whilst spend time London sightseeing friend America . I impress hotel , spacious room nice , modern decor . clean , bright bathroom . nice reception area , well light welcoming , friendly staff reception . get 12noon check around 2 pm room already ready happy give we key straight away . lovely location many hour spend browse Fortnum Mason , right across street . thoroughly enjoy stay , be nice part London - close tube . drink bar expensive somewhat expect , hotel bar price London always high experience . 
 Apr 11 2007 	 Kindness staff 	 arrive 2 hour check time , friendly smily receptionist welcome we tell we would pay upgrade superior twin request phonethe previous day . stay one night , special theatre break daughter . second morning feel really ill contract chest infection visit . my daughter ask could stay room could rest bus depart afternoon kindly say would fine . stay many opportunity speak staff unfailingly welcome polite . room comfortable spotlessly clean . would certainly return lovely hotel well position attraction theatreland Leicester Square . 
 Apr 6 2007 	 Great Location 	 Fantastic Hotel - close Green Park tube station within walk distance oxford regent street . room clean feel lazy like - room service expensive well worth it . there lovely little bar inside entrance - recommend friend family would defientely stay ! 
 Apr 4 2007 	 Fine Hotel 	 Location , location , location ! ! superb location greatest plus . hotel block two Green Park Station Picadilly , walk distrance everything , pleasant street full shop across street Fortnum Mason . the hotel lovely , good modern room superb beddie , clean , big bathsheet modern bath . toiletry good . concierge helpful . only negative cost internet access exhorbitant necessity . everyone pleasant , helpful . get wrong room change upgrade request . cost high London . use restaurant neighborhood full restaurant . noice problem . view London Eye obstruct . 
 Apr 3 2007 	 fabulous hotel 	 return cavendish stay one night girly weekend . the decor hotel modern first impression clean modern hotel . staff friendly helpful , arrive well check time 10 am one two room book ready we check . room 12th floor wow veiw , could see london eye , big ben , st pauls house p westminster cathedral . room excellent twin room clean light airy . facility within room great hairdrier full sized turbo dryer well mine home ! ! cd player great get ready night music . location excellent take we 8 min hotel piccidilly circus tube station . breakfast fab serve till 12miday saturday sunday fab ' ve late night need lie next day . everything could ask breakfast hot cook well . moan one albeit staff helpfull look tiny bit scruffy . 
 Mar 31 2007 	 Love Cavendish ! ! ! 	 second time stay cavendish . first January 3 night . on first visit , first impression hotel brilliant . modern , luxurious staff brilliant . stay 21st birthday . mum rang couple day say special occasion , give we well room fantastic view ( London Eye - may add ) bring we yummy chocolate cake ! ! stay excellent like much go back March . second visit - stay 1 night 23rd March friend 21st birthday . check service brilliant . room 14th floor excellent view . upon arrival ask receptionist anything special could friend . 10 minute later chocolate cake deliver . friend love hotel also ! ! hotel centrally locate , minute away Piccadilly , Leicester Square , Regent Street & amp ; Oxford Street . room excellent - nice comfortable bed . my disappointment second visit room next lift shaft . noisy throughout night . not get wink sleep . stay 1 night would ask move room ! everything brilliant ! definitely go back cavendish ! ! 
 Mar 26 2007 	 Fantastic Location Friendly Staff Good Value 	 wife stay cavendish first time March , exceed expectation definitely stay . book hotel 's web site week trip get Advance Purchase Rate £ 139 superior room Saturday night , queen - sized bed , bath / shower , full buffet breakfast . hotel easy find less 5 minute walk Piccadilly Circus tube station - perfect location central London attraction . arrive 9.30am , way official check - in time , hope store bag whilst explore London . however , since room available , allow check straight away give room 14th floor wonderful panoramic view city . hotel tall building area see mile upper floor . room clean comfortable contemporary fitting , include cd player large flat - screen TV . bathroom nice , good range complimentary toiletry . sure see - through glass door though ... good privacy , erm , answer call nature ! room right next lift shaft , think might problem night since ' m light sleeper not & quot ; night owl & quot ; . turn , however , lift noise not intrusive not prevent we get good night 's sleep comfy bed . buffet breakfast excellent , good selection hot cold food , serve staff friendly quick help . also available right 7 am 12 pm weekend ( 6.30am-10.30am midweek ) . however , buffet include room rate would probably eaten elsewhere since be hefty £ 21 per person buy separately . day check able leave bag consierge charge ready leave London evening . really pleased hotel , find staff genuinely friendly , cheerful helpful . would hesitation return , recommend other . 
 Mar 21 2007 	 Perfect Location ! ! ! 	 stay cavendish weekend break London ( 9th - 11th March ) . hotel superb location , opposite Fortnum & amp ; Mason , quiet Jermyn Street . place visit within walking distance , able walk Theatre Mary Poppins Friday night , definite plus . also walk Covent Garden , Buckingham Palace Westminister . plan lot different place one day , would recommend buy day ticket tube , think around £ 5.50 , bargain ! breakfast weekend busy , fair , check staff friendly polite give we little leaflet detail Theatre Menu recommendation tight schedule , recommend come breakfast 9 11 . Sat morning , not heed wait 20mins table , Sun morning , arrive 8:45 seat immediately . bring free newspaper can not make 9 ! outside door morning . good array food breakfast , cereal , fruit , meat cheese . fresh fruit juice , pastrie scrambled egg , bacon , sausage , mushroom tomatoe also available buffet . could order array hot breakfast menu ( include english muffin poach egg , kipper , fry egg etc . ) . norm , toast tea / coffee deliver table . staff friendly polite ! room modern exactly like . lovely bathroom bath ( superior queen room ) powerful shower ( separate ) lovely glass wash hand basin ( loo course ! ) lovely large fluffy towel really nice smellie , always bonus . room small , city stay , case , even Waldorf NY . good supply tea / coffee biccie , room safe , 1800w hairdryer mini - bar ! , could recommend hotel highly enough . superb service excellent staff , fabulously comfy bed & quot ; small yet perfect & quot ; room 1st class location . could want weekend London ? 
 Mar 19 2007 	 great hotel slightly compact ! 	 return one night stay cavendish read previous review hotel feel quite prepared expect . arrival find staff welcome helpful . offer option early check - in rather leave bag concierge , informed room would next lift , decline decide wait alternative . when allocate room , find clean , nicely decorate . slightly small size , suppose standard hotel price bracket London , although bathroom good size room everything could need . view great - 12th floor - could see London Eye Big Ben window . breakfast next day fine serve morning , excellent need lie - in ! wait couple minute table prepare . cook breakfast not like , plenty choice offer staff attentive , ask we require re - fill etc . overall , fault location hotel ( 5 - 10 min walk Piccadilly Leicester Square ) , get good room rate , direct hotel , really enjoy stay . 
 Mar 13 2007 	 let 	 read review trip advisor really look forward stay . visit london 5 6 time year stay number hotel choose one want stay different area . find staff almost arrogant dealing guest . our order champagne room arrival ignore delievered hour , little apology . room plesantly decorate , small london hotel room , clean , maid kind helpful . the connect door ( ofcourse closed ) mean could hear every word people next room say , even normal conversation ; wake 4.30 couple return next door make 30 minete wait seat breakfast bearable . lobby decore not taste , love building Germyn street , amazing Fortnum Mason always pleasure shop . short good thing hotel 's location , bad front house staff 's atitude . 
 Mar 7 2007 	 Nice 	 stay 3 week business find comfortable convenient . issue hotel , clean , service good location excellent .. 10 min walk Piccadilly Circus . the room reasonable size London hotel . comfortable Queen size bed . find good London hotel good location difficult know ( travel frequently ) disappoint Cavendish . 
 Mar 6 2007 	 Comfort Cavendish 	 return weekend stay Cavendish must say really enjoy . check - in easy efficient state time . room 803 expect - clean , fresh , modern comfortable . bathroom , although small , bath shower plenty toiletry provide . at concierge desk speak Nick extremely courteous helpful , manage get we good seat next day 's performance Tempest ! also arrange restaurant booking we could not enough help we ! breakfast morning staff friendly attentive every need , indeed notice everyone restaurant pleasure sit look Fortnum Mason enjoy delicious breakfast . we sorry leave hotel yesterday morning , complementingthe duty manager excellent staff , promise return near future ! 
 Mar 5 2007 	 fantastic hotel 	 well , executive twin opposite lift two set friend , although hear lift - resemble distant room use tap - problem noise . great room tea coffee selection . amazing bathroom . breakfast fantastic cook order smoke salmon egg muffin recommend . weekend breakfast times superb . lot flexability . location within easy walk distance many West end theatre literally around corner Piccadilly . bed comfortable ever . friend allocate floor 12 executive twin wonderful view . I think anything not spot . 
