Clean 	 London expensive city , especially come hotel / accomodation . look something simple , quiet , clean affordable spend week London . that be Windor House be . for £ 38 / 40.00 day get clean room shower ( en - suite ) simple breakfast ( enough start day ) .ok , tv , telephone , internet , tv set , example , would spend night see tv , & quot ; ruinning & quot ; day ! , place stay day quite clean place keep thing sleep . Earl 's Court tube station really around corner , make easy go everywhere . if want take food hotel , kitchen open guest Marks & amp ; Spencers & quot ; Simply Food & quot ; shop 50 meter far hotel . two internet shop really nearby . I recommend Windor House : good value price ! friendly people too . but look real luxury , go ... House windsor ( call Beth Phil ) .André Acker , Rio de Janeiro , Brasil 
 Mar 6 2006 	 thank - stay Excellent . 	 stay 15 February 2006 - 5 night – family 3 – young daughter - 13 year stay definitely . small B & amp ; B hotel , zone 1 – Earls Court - stone ' throw South Kensington Museums ( daughter ) quick 20 minute walk Harrods ( wife ) - perfect location well within budget short winter half term leisure trip . £ 60 nightly inclusive 3 good value Central London . ' expect 5 star establishment go bridge evening - room service etc – tell clearly ' small budget standard frill young young heart traveller family group basically - honestly get pay : bright clean room 3 comfortable bed , new carpeting , modular basin , shower toilet room . plenty hot water . looked smell pristine clean staff tidy mess every day – come back perfect tidiness . second floor – lift - exercise we good . breakfast egg cornflake toast adequate freshly prepare smile good morning - know friend Summer sit patio garden tea newspaper - look pretty ad well keep even deep February . reception staff kind cheerful prepared chat daughter evening day – etc . helpful get somewhat bore us friend recommend Windsor House already tell we great base half - term holiday sightseeing - return point adverse comment trip advisor - together lot heartfelt thankyou ' post . 2 recent USA - type review really read though guest ( ) expect far much price ( b ) comprehension B & amp ; B say - basic bed breakfast location sleep comfortably go enjoy London ( c ) quite honestly read though way could see uttering print ! ( fail author sort ) . ( ) seem complain shower / toilet unit small - strange - many hotel nowadays budget level UK hygienic ( fibre - glass ) adequate we ordinary size Brits . ( e ) possible people use review sight complain often praise ? ask see Hotel guest book - page thankyou ' nice comment . nice little B & amp ; B Hotel – well keep attention detail - similar one dot every seaside - town UK . perhaps little cultural education travel UK order day – together display good manner departure ? see family Italy happy - stay approximately period . ' back - UK friend . thank . George Joy Granger , Amelia , Newcastle , UK 
 Feb 27 2006 	 happy back next year 	 actually leave tomorrow 6 night stay happy indeed . family 3 small children - Italy stay extremely clean bright room 5 bed - child run lot play space feel good welcome . shower basin toilet room new completely clean - staff kind clean well every day we . book kitchen cook family dinner - want spend much restaurant - children like food . could ask - pay English Pounds £ 75 night - 110 Euros approximate - we . breakfast good freshly cook egg - like much . room warm gracious well good bed clean woolen blanket Scotland - recommend hotel many family friend Italy come back summer month - maybe August . read last two review - recognize hotel say ... also arrive early understand well could room 9 morning - go tv room patiently little girl sleepy travel staff make we tea hot milk . maybe last two guest expect much modest prize - also see nice word family . stay ! 
 Feb 7 2006 	 run far away hotel ! 	 live Europe several year , many , many opportunity experience hotel here- good good . say , bad hotel ever stay life anywhere ! 2nd visit London booked & quot ; family room & quot ; hotel 3 night mother law , 3 kid , plus niece nephew . first thing notice hotel funk - a - licious smell- cross chinese food foot . reception desk , table chair entryway . make reservation , particular asking would arrive , yet get ( hour later tell ) , room even ready . say would leave bag hall day . ( yeah right ! ) ask see room even though ready show we door directly behind chair . first glance room look ok , though shabby . still messy previous occupant , otherwise appear clean . 6 single bed arrange around room . bathroom beige brown linoleum look like instal linoleum invent . old stain chip tub drippy tap plug connect chain shower . ask " new " shower advertised website . say room one , another small family room shower could show we . second room five twin bed cram . end push three together share two daughter niece . mother law get bed son nephew ( 7 ) share twin bed . even though opt sacrifice bit space shower not even worth it . the bathroom ridiculously small could shower brush tooth time . knee touch door sit toilet -- lucky enough fly break toilet seat shower sit . seat , could touch wall either side . shower entire floor bathroom flood show level floor . towel tiny , scratchy smell sour wet . wash guest , must use hot water detergent . end dry pajama morning . sign entryway read read " noise , especially 10 please sit step neighbor complain " . courtesy apparently share neighbor , crew , believe really quite well behave child , reprimand laugh loudly prepare leave first morning 10 . luckily , first day find wonderful grocery call Marks Spencers , corner . would prove salvation discover next morning breakfast consist hard , stale toast , coffee , half box corn flake soft boil egg- one per person . fact 7 year old son ask one kitchen staff another egg , rudely tell & quot ; one egg per person & quot ; , although eventually bring another one . eat take kid upstairs get ready go , leave mother law 4 year old downstair finish eat . 20 minute , wonder go look meet stair come . lock breakfast room rest diners breakfast & quot ; officially & quot ; want anyone else come breakfast room try eat ! say , discovery Marks Spencers save grace . first morning skip breakfast hotel spend £ 25 morning buying juice , muffin fruit well amazing sandwich lunch . thankfully spend 90 % time London . fairness , bed clean cheap hotel London , would never ever stay hotel . guess one case really get pay ! 
 Jan 16 2006 	 absolutely horrible ! ! ! ! ! ! ! ! ! ! ! 	 stay hotel 11 night , chance really get know place . as previous reviewer say , breakfast consist tea coffee , toast , boil egg . every day . one night , decide cook meal night kitchen open cupboard look salt . find three silver serve dish use early breakfast serve jelly butter . guess ? ? still jelly butter . around 8 pm night . hide inside cupboard ! see next night . the wall room make cardboard , seem . hear every single word neighbor say . include lone guy show 2 am girl , -- - leave hrs later . ask hotel staff whether check . confuse , saying check early morning . ok , business , see mean flimsy wall ? night someone accidently drop liter Coke onto another guest go ' garden ' . night go staff get ask next set ' neighbor ' stop yell 3am . and group elderly people Virginia upper floor we . pay room , 2 day , ask leave schedule maintenance room . elderly people quickly find accommodation . upset . not blame . also , heat not work , our . in short , not expect get sleep . noise loud subway station train behind hotel . not expect good breakfast . not see anything toast boil egg 12 days/11 night stay except 2 day decide go Burger King . not pay full time front , would leave find another place stay . horrible . 
 Nov 10 2005 	 satisfied will back . 	 check Trip Advisor stay December 2004 - 10th - 20th actually remember reviewer post previous comment - 3 guest Johannesburg meet briefly think room next we ! not recognize comment . family - ( 3 adult 2 teenager ) also grind floor room - gleam clean ensuite room facility rest Hotel neat , clean welcoming . staff kind . really good value around £ 75 per night cereal / egg / toast breakfast . breakfast room cheerful plaid tablecloth open onto large garden back . great no - frill base Christmas Shopping easy access attraction right family . old guest may want term room service etc . pay lot . satisfied will back . the Fraser Family Scotland 
 Nov 4 2005 	 great hotel student 	 stay group student hotel year row . staff always helpful , rate affordable , breakfast ok , location ideal . good e - mail contact hotel . in word ideal school group . Peter Lammerding 
 Oct 18 2005 	 Rip - off ! ! ! 	 hotel proof believe everything read internet ! stay December 2004 , 3 people ( 1 female , 2 male ) 3 night bed breakfast basis observation:1 : book en - suite room , get room shower basin , toilet hallway.2 : shower small could not close door behind , drop soap - way get back unle step shower - man could'nt even close door inside shower.3 : & quot ; garden & quot ; claim room view kitchen 's rubbish bins.4 : Breakfast expect : get huge plate old , hard toast , one boil egg Jug Coffee , happen downstair & quot ; dungeon & quot ; a.k.a - breakfast room . atleast one 's feel do - in - breakfast room fill disatisfie face . on plus side : Burger King close hotel , rather breakfast . & quot ; hotel & quot ; close Earls Court Station & amp ; room clean . I never , never , never RECOMMEND anyone , even mother - in - law ! 
 Jul 14 2005 	 comfortable clean 	 Cheapest area , far expensive hotel . I stay family - 3 kid , 3 , 6 10 year old , recently Whitson Bank Holiday weekend . Location EXCELLENT , around corner tube station . the room clean , well lay waht need ed couple day stay , not huge , want , pay double money stay Holiday Inn . the staff friendly helpfull local direction , guidance . I like kitchen morning , cosmopolitan feel place , chinese cook , sit next people Canada Australia first bfast , Germany , France Oz second day ... kid impress different accent ! would go back ! 
 Jul 12 2005 	 stay February happy ! 	 sister stay February visit London find Windsor House Hotel convenient place stay clean facility friendly service . breakfast great go back anytime again . thank staff Windsor House make stay great ! ! 
 Jul 10 2005 	 clean comfortable ideal location hotel . 	 partner stay hotel july 2005.it cheap , clean , bed comfortable , shower excellent , hot run water time , staff polite helpful . towel change bed make every morning . use garden patio great we sit read morning paper coffee . breakfast cereal , egg , toast , jam , marmalade , unlimited tea coffee . use kitchen 9A.M . 10.30p.m . great people budget child . store drink thing fridge ( nothing go missing ) . first road next Earls Court train station great travel see london ( travel tickets £ 4.60 adult unlimited ALL - DAY - TRAVEL ) .We would recommend hotel anybody ! ! ! ! ! ! especially child . stay world famous hotel never treat enjoy time much this . we stay AGAIN.Amanda Robert 
 Jul 5 2005 	 clean that s say good 	 wife stay 3 night early june 05 . many country stranger & quot ; culture shock & quot ; . book , yes well state budget hotel certainly live name . let say first extremely clean close subway nice ( though noisy ) . question . email state would first second floor , get loft pidgeon . make wonder many people 18 year old heart attack narrow step 8 flight stair . arrive bank close time arrive 9 am next morning ask less 4 time full payment . offer pay credit card tell cash accept . the thing staff do not hold wife hostage pay 9 am bank open . breakfast , ' m well verse english continental cuisine 3 day egg . due fact gas leak cooking facility ... hense 1/2 visit hot water even shower.the gas worker repair say build email owner ( never meet ) say street , believe . staff seem anxious allow we use kitchen ask could warm chicken deli next door . say stove gas ( ) owner say email stove operational . that s case egg ? ? anything boil ? ? would recommend hotel stay . 
 Jun 15 2005 	 good hotel friendly staff 	 stay Windsor House Hotel 2 schoolgroup 3rd year succesion . room big , clean expensive . hotel close underground station Earls Court . staff super friendly nice talk . good conversation ! see next year ! 
 Jun 12 2005 	 Great Budget Hotel expect 	 originally book family 5 , husband not make trip , family four 1 adult , 15 year old 11 year old twin . travel Florida . family room double bed , three single bed . way room set work well . three bed row ( much room , ok ) one single bed side room . room clean , bathroom small , room , serve 's purpose well ! arrive hotel 10 am , sit back garden minute finish get room ready . able go room freshen hit tourist scene ! great communication hotel , via email phone . Mrs. Jan Wardle accomodate email , make every effort inform we budget property , clean safe , exactly find . we eat breakfast include , morning go Benjy 's Earl 's Court Road , great breakfast . I would highly recommend hotel anyone budget , look good , clean safe place stay . convenient Earl 's Court Tube station . would happy answer specific question , email luvbuc @ hotmail.com . please include Windsor House subject not delete ! be expect Ritz , will disappoint . read description , pay attention email , will pleasantly surprised ! 
 Jun 9 2005 	 teacher opinion 	 visit London group 45 child . stay Windsor House Hotel 4 night good time . room ok price pay . moderate clean safe . use kitchen prepare meal child . honest kitchen big enough 45 child speak receptionist arrange everything . in case devide group 3 put table outside garden ( small ! ) child enjoy meal much . safe lot money . moreover hotel good location ! must careful park coach . it much well use coach park huge Tesco street . recommend hotel group individual . 
 May 16 2005 	 Simple Clean Neat 	 London , UK , May 15th , 2005two Parents , two child 4 7 , London limited fund . book accomodation London , especially overseas , harry experience . look many website fail find room family four much 125 pound ( $ 300 cdn ) night , happy locate Windsor House Hotel Earls Court . pay 77 pound night two night stay . hotel short walk Natutral History Museum , must traveller kid ( hey , museum free London ! ) . hotel right around corner Earls Court Tube station , neighbourhood funky enough ( though depressingly host Burger King KFC ) hotel staff helpful . room , feature modest shower stall loo , clean neat , bed linen press . deluxe accomodation -you skip include breakfast egg toast tea coffee ( afford ) unless want meet guest . hotel quiet . communication via email efficient prompt . would book . wish could afford go back ..... sigh ..... 
 May 15 2005 	 happy ! 	 spend 6 night Windsor House Hotel April 2005 group 15 pupil ( aged 12 ) happy stay . hotel describe reply letter enquiry - clean comfortable , without luxury – recommend Hotel . ideal we child allocate large 5 bed room teacher single room plus double room . room bright , comfortable clean - good bed bed good shower toilet . request towel change every two day receive could ask . Hotel allow we use kitchen prepare pack lunch child make tea helpful saved budget . Hotel give we understandable noise rule arrival comply also old couple stay time family child . meet guest stay dining room garden area friendly people say Hotel simple ideal base London stay – due good standard location . agree wholeheartedly . hotel also show we guest book contain positive review , span many year , family UK world wide . staff also kind . one child leave much love Toy behind receive post within 4 day , kind note , without even notify Hotel loss ! think happy guest ' often bother write review - ' odd unhappy guest probably ' stay home ' share negativity world large ! decide put right ! friend stay since – 2 adult 2 child – May 3 night also excellent stay 
 May 1 2005 	 promise 	 spend 10 day Windsor House Hotel class 12 a - level student Sweden . pay deposit promise room en suite except one would toilet outside room shower room . arrive get wrong room . teacher´s room toilet , boy go one floor toilet shower , girls cross corridor . rude many complaint move girl three day . boy teacher stay whole time . students´towels never change . last day tell ask clean towel ! ! & quot ; double & quot ; bed teacher two single put together single sheet across way , mean gap half - way ! ! put teachers top floor student bottom floor . girl could sleep 11.0 p.m. man charge talk loudly phone go ask quiet say , & quot ; public area & quot ; states & quot ; rule & quot ; quiet stairs corridor 10.0p.m . I would never recommend hotel stay . embarrassed call English hotel . read many tourists´comment hotel surprise still register hotel continue work . 
 May 1 2005 	 Earls Court Area 	 locate seedy area London 5 foot tube station . noisy , terrible breakfast , tiny room bathroom fit 6 year old small ! take shower , brush tooth piss toilet one location ! rate 3 star , would rate 2 good . 
 Aug 13 2004 	 state website / e - mail 	 stay Windsor House Hotel three night end July 2004 . family 5 . nervous expect reading review tripadvisor.com . happy Windsor House Hotel , exactly state website , e - mail . budget hotel , clean staff helpful friendly . stay many place Europe UK exactly expect . hotel accomidation rate differently America . read review think expect something else , maybe understand exactly budget hotel UK . hotel clean , feel safe . excellent location ride rube . tell bathroom size cruise ship bathroom , least bathroom room hall . bed comfortable cover two wool blanket make Scotland . room clean bed make every day . breakfast every day ; corn flake , toast , soft - hard boil egg , tea coffee . review state someone complain hot soft boil egg . traditional breakfast item Europe . taste quite good spread toast . would happy answer question someone might hotel . would recommend want save money , good location . pirokp @ comcast.net 
 Aug 9 2004 	 thank Windsor House Hotel London delightful stay . 6 August 2004 	 stay Windsor House Hotel 8 night July , wife 4 lively child think perfect family budget - especially able prepare light meal hotel kitchen child – one suffer food allergy – restaurant often problematic . Windsor House Hotel respond enquiry promptly kindly tell we right away provide simple B & amp ; b – clean without frill luxury meet exceed expectation . arrive early – guest check - pretty exhausted meet kindly reception offer tea relaxation pretty well keep wall garden – start relax right away . get room ready rapidly could see straight away sparkle clean fresh . big airy window ( hot July morning ) – pristine white curtain , neat paintwork , spotlessly clean linen blanket , cheery plaid wool spread bed – weave especially Scottish Highlands – later tell we – clean carpet ( important child ) really neat ensuite basin / shower / toilet – huge , private , inside room fresh , well maintain clean . shower right away plenty hot water huge clean towel feel well ready sightsee . daily breakfast cereal soft boil egg toast child – non - allergenic ( perfect ) serve kindly attention breakfast personnel tell we could eat much needed – ask they . the kitchen spotless – cooker hob 2 fridge lot pot pan plate etc – flashy – good order find staff clean several time day evening . patio garden huge bonus we child could play safely rest occasionally . desk staff ' enough we . Windsor House Hotel perfect family guest – though stairs room – elevator / lift – need active . tell we time booking . DO stay want simple b & amp ; B Hotel – budget standard – frill – clean room , hot shower , kind friendly staff great attention housekeeping plus - fair room rate - room cost we around Pounds 80 per night family 6 ! check hotel come close – fact single room cost around Pounds 60 per night look nowhere near clean . recommend Windsor House Hotel , wholeheartedly – long need simple , good , clean frill B & amp ; b active . extras room service , lounge , bar , elevator may ' cup tea ' – sure . farrant . 
 Jul 23 2004 	 cheap yes ! advertise 	 definitely inexpensive place stay not expect advertise . advertise accept major credit card deposit . expect pay cash arrrive entire stay . request room 4 bed 3 month prior schedule arrival date arrive give 2 bedroom different floor . travel child . try convince we give something valuable pay , fact , book 4 bed room long go reservation . one bathroom combination toilet shower . felt like porta potty . could honestly shower toilet . shower trickle water alternate scald hot freezing cold . breakfast advertised egg toast however expect cold hard boil egg cool toast ( taste stale ) . 2 day say could room originally suppose get would move case . come back day town find move completely different hotel & quot ; Lord Jim & quot ; little well hotel originally . type B & amp ; b expect . want Cheap go . plus convenient Tube shop . 
 Jul 13 2004 	 visit London see site room 	 hotel meet expectation clean bed ensuite close tube grocery store . room five bed small dresser ( however , live suitcase ) . ensuite bathroom small ( shower toilet ) meet need hot shower every morning . grocery store open midnight buy item need . use kitchen facility cookware remind camping pot . microwave site able cook stovetop oven . elevator luckily first floor . window single glaze could sometimes hear noise Saturday night streetlife ( Sunday quiet exhausted hear ) . would recommend stay family five sometimes difficult find basic room cheap price . 
 Jul 6 2004 	 Convenient Earl 's Court Tube Station 
 Jul 3 2004 	 Windsor House horror 
 Jun 17 2004 	 friendly advertise 
 Jun 9 2004 	 good experience 
 Mar 25 2004 	 Windsor House Hotel - dump ! ! ! 
 Feb 26 2004 	 Spooky experience 
 Feb 10 2004 	 qreat young hostel friendly quite cheap . 5 star 
 Dec 17 2003 	 good cheap hotel 
 Aug 7 2003 	 perfect place we ! 
 Jul 7 2003 	 Windsor Regal 
 Nov 5 2009 	 Parfait pour étudiant 
 Oct 31 2009 	 Bel posto 
 Oct 27 2009 	 Propre et très bien situé 
 Oct 14 2009 	 Kurzaufenthalt 
 Sep 22 2009 	 3 jour au windsor house hotel 
 Sep 15 2009 	 solo por dinero 
 Aug 31 2009 	 Einfache Unterkunft günstiger Lage 
 Aug 11 2009 	 Heads Tails - Pile ou face 
 Jul 28 2009 	 Perfecto para solo ir dormir 
 Jul 17 2009 	 Lo que allí llaman un dos estrellas ... 
 May 19 2009 	 Attenzione non pagate con carte di credito 
 May 4 2009 	 Fa davvero schifo 
 Apr 26 2009 	 Su baza es la ubicacion ... ya esta 
 Apr 24 2009 	 Zentral günstig einfach ausgestattet sauber 
 Mar 31 2009 	 Tolles Hotel für wenig Geld 
 Jan 17 2009 	 Bon rapport qualité / prix 
 Dec 10 2008 	 Il Windsor House ? Prezzi imbattibili e posizione perfetta 
 Nov 16 2008 	 Correspond aux infos annoncées 
 Nov 14 2008 	 das windsor house hotel hat ein gut preis - leistungsverhältnis 
 Jun 14 2008 	 Windsor House 
 May 8 2008 	 Servizi minimi decenti 
 Sep 10 2007 	 sentí engañada 
 Aug 27 2007 	 Tolles günstige Hotel für London - Besucher ! ! ! 
 Jul 20 2007 	 per chi si accontenta ... 
 Jul 17 2007 	 mini salle de bain 
 May 12 2007 	 posizione perfetta 
 Apr 17 2007 	 Sehr Zentral / Etwas Jugendherbergsmäßig 
 Mar 23 2007 	 Das Windsor ist eine Zumutung ! 
