great 	 balcony overlook Vegas strip ; room full - functional kitchen dish , appliance , etc . ; tub also jacuzzi , shower rain shower ; bed extremely comfortable ; staff friendly ; location great ; Ghostbar ; Little Buddha ( sushi place ) ; playboy club ; rain ; Moon ; everything spectacular ! 
 May 23 2008 	 Best Vegas 	 think review say really , place top spot Vegas word get . stay 2 night , discoverd purly accident . plan ot book we Palms google try find floor plan junior suit article pop & quot ; palm place & quot ; read find website . suit price suit palm think let give try . arrive car greate instantly vallet . line registration check within couple minute . reception cool minimalist desgin connected bar . everything look 21st century young trendy vibe . front desk staff good explain everything . room modern young trendy design rest building . room suit 2 x 42 & quot ; plasmas DVD player + another small LCD tv dvd bathroom . bathroom big spacious large tub connected shower . superb trendy deisgn great relaxing . bed comfortable great vew strip . every need attend staff even SOS ( service spot ) button phone case need anything . palm Place connect Palms via move walkway security . short walk problem . get use palm facility well Palms Place . eat Palms buffet morning night , average far Vegas go good value money . ghost Bar Moon fantastic club well worth visit 21 - 35 age range . also cinema Palms state art . we use pool Palms Place , hot day pool quite , imagine stay way young party crowd use Plams pool plam place one chill zone . pool nice design would fantastic well weather . we eat Simons resturant look like something special , jet lag flight UK really mood long sit evening meal . thought stay entire staff hotel 2nd none . pretention . make difference even security guy say & quot ; Hello & quot ; & quot ; Good morning & quot ; . everyone Waitress pool concierge , front desk staff , security helpfull viglent . play band start get somewhere imagine full rockstar treatment must like , great thing plam place rockstar get high standard service . hell go bring band band place holiday next year drummer 21 that s impressed hotel . thought could get well ice cake . girlfriend birthday inform hotel resevation . room service come chocolate cover strawberry compliment Palms Place birthday gift , call service . pay $ 179 night , imagine price go word get place . I stay Venitian , Ceasers Palace , Mirage , Mandalay Bay etc ... current No.1I currently write Signiture MGM far sit also impresive never know far Palms Place go return future . 
 May 23 2008 	 Great Hoenymoon Spot - Far Action Palms 	 hotel fantastic know upgrade superior room reservation since hotel sell . room outrageous other say . hotel officially open first use mini suite room . beautiful floor kitchen Jacuzzi . also residence feel like celebrity stay . look nice romantic getaway place new room town . negative walk quite long main casino pool Palms . motorize walkway elevator . drive bit hastle . the pool Palms place quiet go Palms action be . if honeymoon place . action main hotel may want book regular room palm depend look . 
 May 12 2008 	 Best Hotel experience ' ve ever . highly recommend anyone ! A+ 	 significant stay Palms Place Hotel entire week Las Vegas . ' ve Vegas stay many hotel 's strip . also travel lot stay many hotel , many city . far good experience ' ve ever hotel , much would love snatch permanent unit could swing . staff go beyond make we feel like VIP be even though average joe 's , stay least expensive room . time leave know staff name , vice versa . anything anyone could make stay well , drive we times lieu cab , help we book hard get ticket show 's , constantly ask we need anything much . truly definition & quot ; beyond & quot ; . appearance hotel also top notch . south Beach snob , regularly good hotel ( Delano , Shoreclub , comparison ) club seek Vegas . definitely find . view uncomparable strip , bed comfortable often anxious go back sleep rather go play . come complete kitchen ' m embarrassed say much nice one home . whether want cook meal stove , heat leftover microwave , make mixed drink blender , everything need . either plunk dishwasher housekeeping . bathroom 's marble frosted glass RAIN shower big enough several people ( forget might know ) giant tub jet make woman screech delight . light couple candle order filet mignon room service night remember . also 3 tv 's small room 's ( yes 3 ! ) , can not imagine many large room . able watch tv bathroom main room , able channel flip plasma boyfriend keep lock ESPN , particularly useful take 5 minute get ready take hour half . . room stunning stainless steel , wood wall , marble floor , ultra modern decor wallpaper want rip wall take home . pool equally modern sophisticated , great bar attentive staff . party mood walk original palm pool 's spring break time , sure check mexican restaurant near pool good fruit margarita 's ever . boyfriend put fight insist order giant pink drink not hear complaint entire time suck watch beautiful people pool listen fantastic dj . also eat N9ne birthday dinner upon several recommendation be not disappointed . call last minute ( 9:30 pm 9:45 reservation ) get we right , even though place pack beautiful woman business man . boyfriend describe meal & quot ; phenomonal & quot ; , vegetarian less choose , order gourmet side thrill find everything beyond expectation 's include dessert must place . find wander Rojo Lounge several time drink unique delicious , interior stunning sophisticated , staff friendly address we name first day patron 's excellent eye candy , especially weekend . order one specialty jalapeno mandarin concoction stick rest trip . although suggest Chad make bloody mary pool . casino palm not personal favorite go play playboy club open night definitely enjoy . palm become famous young fun , great music , beautiful girl guy alike Palms Place take kick several level unparalleled level elegance , 5 star service , ultra luxury keep hip , place see sentiment come palm . can not say enough good thing 's place stay really convey . already look forward stay month 's new regular stay Vegas , never stay anywhere else . a+ hotel everyone work . highly recommend anyone everyone . trust will not find well place stay . new place Las Vegas . 
 May 9 2008 	 Palms Place worth check 	 stay 2 night Palms Place . will try provide detail help decide whether would like stay . 6th annual Vegas trip ' ve previously stay Hotel , venetian , TI , Wynn , Red Rock , Signature . be young 40' . overall , stay enjoyable . everyone review place agree room beautiful . comfortable , modern good looking . bed amazing ! could good bed ' ve ever sleep . tv 's big stunning . one clock radio could hook ipod - work great late night drunken dance party two ! ( not worry , not think hotel guest night - inconsiderate drunk ) . request room balcony strip view happily accomodate we . view great . the lobby cool , modern minimal , cool funky music play . check simple since nobody else line . there seem employee guest , tell nice bellhop fraction room - actually condo own individual - currently available rent . although place pretty dead stay ( good thing far concerned ) would think will not always way . it 4 minute trip room palm casino . palm casino ok , nothing spectacular . meal Garduno 's Palms- sloppy mexican food . would go back . employee Palms Place polite helpful . order 3am turkey club room service delicious deliver within 15 minute . disappointment pool Palms Place - especially cabanas . pool area pretty small tight . nice bar area nice bartender nice waitress serve poolside . pool area look ok , spectacular . consider rent cabana day ( $ 250 weekdays/ $ 350 weekend ) think would huge waste money . particularly invite look private . people could lounge chair 10 foot away wide open cabana . play cool funky music pool , way enjoyable loud bad house / club music hear trip Palms pool , venetian pool . way , think Red Rock nice pool area anyplace ' ve stay Vegas . we take cab to / from strip . 10 minute ride $ 12.We go Ghostbar Palms . know expect . line pleasantly surprise old crowd ( 30 - 50 year old ) Tuesday Wednesday night music good mix danceable music . $ 20 cover charge waive hotel guest . view stunning - already spoil room view similar . number security personnel way elevator club make feel like nightly shooting , actually nice crowd . think intentionally put people make somehow feel & quot ; exclusive & quot ; . 
 May 1 2008 	 feel like celebrity Palms Place 	 wife , 3 year old daughter , stay 4 night April . open month before . I wait wait see type real photo show online couple month , luck ( palm provide file photo ) .We actually spend 4 night regular Palms first , check stay next 4 night Palms Place . we sure impress nice unit , get back later . first , get Palms Palms place , go elevator , take call & quot ; Skytube & quot ; , essentially 2 move sidewalk , long hallway picture Palms advertisement wall leave side , window look outside right side . the funny thing elevator seem go four five foot . at end 2 move sidewalk ( take 3 minute go across , fast walk really almost ) always security guard stand always greet enter corridor Palms Place ( must bore stiff never seem anyone us Skytube give time ) funny thing , change security guard every fifteen minute , time run room get something come back , another security guard there . there shuttle strip could see , know fact cross street , within 4 5 minute Gold Coast Casino , free shuttle Bills Gamblin ' Hall strip ( next Flamingo ) really feel like celebrity walk casino , limos , Escalade 's , etc wait outside door always , always 2 3 people willing open door give moment . I admit , high expectation lobby , one basic lobbyie see Las Vegas quite tiny . but also condo , hotel , perhaps why . there always 1 person counter stand waiting check someone , never see anyone else check , , even elevator , could alot people aware place . in fact whenever mention one local ask stay , never hear ! hotel room , may possibly get much well . marble wall wall floor bathroom , get ? Hardwood floor throughout , posh lounge couch sit , top , 2 Plasma TVS living room / bedroom area . guess that s good want sport game one tv sound turn , watch movie , etc . they also 10 15 hd channel could watch , look amazing . there even tv bathroom ! shower nice walk glass door waterfall shower head , do not see , modern get ! great jetted jacuzzi tub nice too . there kitchen stainless steel appliance utensil , plate , glass , opener , name , thought , could live essentially furnish apartment ! room even balcony great view strip ! disappoint walk way palm pool one open yet , funny thing , tell we check go open day ( arggh ) rate still good Palms Place , silly spend price stay somewhere else ( like old basic room strip ) , 
 Apr 27 2008 	 good ... 	 add two day recent Las Vegas trip experience Palms Place rate still reasonable . first time stay strip impress hotel employee ( exception housekeeping statf get later ) .The hotel gate tell enter go celebrity young demographic . Bentley Porsche leave one valet parking lane one hotel limos stretch Escalade also stretch escalade golf cart use ferry guest around property . palm place separate palm massive parking deck enclose move sidewalk second level connect two property . one thing really impress property staff train well staff number . door open room . time staff open door . checkin breeze . hallway kind dark though chocholate colored wallpaper . room nice . first area see right enter room high - end stainless steel kitchen . two part refrigerator honor bar part top bottom part contain large icemaker room item . two burner cooktop light indicate separate light warn burner stil hot rurn . also provide toster , tea kettle , mixer , pot , pan utinsel , fork , spoon , knife plate , glass , goblet juice glass . also garbage disposal drawer type dishwasher . dishwasher emptty drawer access roll breakfast bar forward . unit decorate lighting . modern style . comfortable bed platform numerous pillow abundance electircal outlet plug personal item . both nightstand lamp electircal outlet . two high definition large screen television room . one face bed face large sectional sleeper sofa . think around 10 high definition cable cannel include two ESPN channel displlaye amazing clarity . also amaller tv bathroom build dvd player . also play Ipod mp3 player though alam clock . small amount carpet room around sectional seating area . bathroom kitchen White marble bed surround hardwood Hardwood flooring also surround carpeded area around sectional chair . chair low ground quite comfortable . also long walnut look laminate storage unit cubbyhole opening desk extend kitchen near window . high end item room kind wonder go laminate . one big plusse room large window actually open get fresh air . room balcony windoow , strip view , sectional adjacent window make it . the bathroom absolutely fantastic . containe TV build dvd player could see tub , shower , vanity area . tub six jet include wave button modulate intensity jet soft strong certain interval . thing soothe acke back . shower two head . one waterfall type head locate ceiling removable one locate side . waterfall shower head quite nice . careful second lever proper position step shower otherwise drench top side . the pool iwa open poolside restaurant . pool area nice cabanas firepit next Jacuzzi , chair situated pool . hotel also contain lounge bar elaborate spa . other entertainment venue include numerous club 14 screen movie theater locate Palms short moving sidewalk walk away . move sidewalk Tube refer , enclose air condition structure span length massive mark deck separate Palms Place Palms . go outside though . enter second floor Palms Place exit elevator near food cour Palms . music playe length tube Palms place attendant station end get creepy . also number camera along way . the downside housekeeping . Laminated walnut dusty aso lot dust along fingerprint stainless steel kitchen . prior guest realize silk sham decoration sleep . stain sham . provide six pillow bet wlong two closet someone choose sleep slob ut sham . also disgust stain ottomon window . 24 hour SOS ( service - on - the - Spot ) button telehpone staff available take care need issue . I receive $ 40 room service credit along coupon free drink bar 25 % spa service . room service run 24 - 7 food quite good . every staff member encounter impeccably groom extremely courteous . housekeeping area need work though . 
 Apr 26 2008 	 great hotel quite ready 	 Palms Place new condo hotel , connect Palms hotel / casino via motorized walkway . palm Place open March 2008 , construction still going stay April 7 - 11 . could open balcony door 12th floor studio day noise construction swimming pool 6th floor . swimming pool expect tot open sometime May . , use pool Palms . the interior hotel modern . hallways dark , brown carpet , brown wall brown ceiling . lobby spacious , high ceiling . bell men / valet always quick open front door we , even carry bag . studio large balcony . view strip , stunning , especially night . room king bed lot cushion . sit area couch two people easily lie . two 42 ' flat screen tv , one face bed one face couch . kitchen complete coffee maker ( bring coffee pad ) , dishwasher , toaster , blender . plenty plate , glass , cup etc . the bathroom large tv . shower jacuzzi separate rest bathroom glass door . ' wall ' bathroom bedroom frosted glass . see glass suppose give uncomfortable feeling see light lamp tv bedroom . card bathroom say bathrobe provide . stay . hotel still issue work concern housekeeping . first day housekeeping not show 4:15 pm . room ask clean towel . second day use towel remove without replace . call clean towel . Trash remove third day , place full trash can next door . all say , think Palms place beautiful , upscale new hotel . stay , ' ve finish contruction . 
 Jan 18 2009 	 fue maravilloso 
 Dec 2 2008 	 ? ? ? ? ? ? ? ? ? ? ? 
 Nov 20 2008 	 Außen hui - Innen pfui 
 Sep 16 2008 	 Fabuleux extraordinaire merveilleux ... ne pas manquer 
 Jul 12 2008 	 Jederzeit wieder 
 May 11 2008 	 Fantastischer Ausblick und super Zimmer absolut zu empfehlen 
