quiet 	 love stay find hotel clean relax . actually lounge lobby read collection travel guide book . front desk staff happy assist us snail mail , restaurant , anything else need . breakfast great variety staff tend buffet readily available supply whatever need . stay back side building noise comfortable bed . room decent size Europe . also location three block north major metro stop Hyde Park . 
 Jun 13 2008 	 Superb hotel staff . 	 superb hotel exceptional staff . great location close shop easy access underground . appreciate warm sincere welcome staff immaculate room . staff also great help arrive make show reservation generally get we organize . an add bonus quiet location beat path . make restful sleep little road noise . exceptional value good quality London Hotel . certainly back . 
 Jun 10 2008 	 Good Boutique Hotel 	 stay hotel end May 2008 , use base theatre weekend break . we give bedroom front hotel smart furniture comfortable bed . en - suite compact , shower , ( bath ) clean tidy . although overall impression hotel good , number minor disappointment describe : - ' tea & amp ; coffee facility bedroom . although food breakfast enjoyable , majority table basement breakfast room ( apart one long table ) seat two people , not help three us girl serve try seat we table different side room ! although impressed general appearance quality hotel , expect " wow " factor London hotel rank 8 tripadvisor . please note book online , appear two website . main site www.thesumner.com , alternative site www.londonsumnerhotel.co.uk give discount room rate ! overall , nice hotel easy walking distance Marble Arch Oxford Street pleasant helpful staff check - in desk . however , convince good value money , although would definitely use could get discount rate ! 
 may 30 2008 	 stylish hotel great location 	 good clean hotel boutique style -great location 5 min walk Marble Arch . stay room 107 third floor front face Upper Berkeley Street . two night bed & amp ; breakfast cost £ 340 king room- shower -no bath . original sash window secondary glazing keep bad traffic noise - husband tell sleep thunderstorm street sound be not problem . lounge area welcome - whole Hotel ambience stay well heal friend eye detail . the breakfast room basement part self service style . Tea & amp ; Toast bring table & amp ; could help cereal , continental style ham & amp ; cheese , crossant , preserve , juice , scrambled & amp ; poach egg , sausage & amp ; bean - do not think miss anything ... breakfast area could do air conditioning windowsWe read early review poach egg like bullet - yes like boil egg scramble perfect ! London busy half term holiday - avoid Oxford Street . take Regents Park , take tea Ritz ( book advance & amp ; wear shirt & amp ; tie ) & amp ; stroll round Fortnum & amp ; Mason & amp ; old victorian arcade Picadilly - walk area Hotel . go Sherlock Holmes Museum Baker Street laugh letter still get . the hotel keep list local restaurant 15 minute walk distance welcome nice touch . thoroughly recomend Hotel & amp ; would stay - maybe next time would tea & amp ; coffee make facility room 
 May 29 2008 	 Incredible Boutique Hotel 	 London job fair locate Central London . as usual , central London cheap place stay less expensive place available short notice . the sumner affordable many hotel area real treat . clean , professional , classy . quiet accessible everything . tube couple block away . it perfect boutique hotel . nearly pretentious hotel street job fair locate . : ) 
 May 29 2008 	 Great London Digs 	 Booked hotel base Trip Advisor review . Completley happy stay many european hotel expensive less comfort . hotel great deal via e - mail prior stay- prompt reply . quiet room , small adequate , aware London . great air con , lift . could beat location- Oxford St , Hyde Park , shopping , V museum plus Tube station within easy walking plus good range restaurant / pub . staff great , breakfast average Europe- usually not eat breakfast hotel . big tick Sumner 
 May 28 2008 	 Warm Friendly - Favorite Hotel Experience yet 	 stay Sumner Hotel March visit daughter currently attend LSE . room terrific , breakfast delicious , staff could not friendly helpful . last night stay , move bed room daughter could stay we -- free charge . perhaps one good hotel experience ever . guarantee will not disappoint ! Casey Malcolm - Devon , PA 
 May 24 2008 	 would stay 	 read review , decide stay sumner 3 night April . disappointed . front room 3rd . good size room , bathroom little small London . noise hear pub road late night weekend . the breakfast great , fresh slight change day . bed comfortable . WIFI work great , well hotel pay it . great location , easy walk Oxford Street . Staff friendly not see much . Felt safe , not even know hotel front . would highly recommend would stay . 
 May 22 2008 	 great little hotel 	 husband stay Sumner Hotel two night . trip London purely retail therapy trip theatre . we travel quite bit around world visit London numerous occasion . this little , quaint , homely hotel perfect visit time . on first arrival , outside townhouse well keep invite . enter front door , really feel though trespassing someone beautiful home , obvious sign reception desk ( eventually find back room house ) . décor living room entrance beautiful . welcome friendly take room straight away . room 100 , basement townhouse – path narrow stair case room slightly disappointing grandeur entire house extend basement . room 100 spacious – décor plainer rest house , none less clean bright pleased . however slightly disappoint size décor bathroom ( tiny definitely reflect rest décor house ) – spotlessly clean . it 5/10 minute stroll Marble Arch tube station , 15/20 minute stroll James Street find load restaurant . location we perfect . the location also quiet – room front house hear anything street . early morning light sleeper , noise staff walk we wooden floor awaken 6 am - annoy we much – although try lie , may quite annoying . breakfast room bright modern . yes , breakfast huge selection ( compare large hotel ) quality standard high mass produce breakfast sit warm lamp hour . overall , pleased choice hotel – especially cost fantastic London . 
 May 19 2008 	 back 	 go 22 year old son Chelsea v Liverpool Champions League Semi last month . stay various hotel year never find one combine good price £ 94 b & amp ; b , good location , good food pleasent staff ( even 1 morning serve we drink ) . definately back recently recommend friiend travel London soon . keep guy .... 
 may 17 2008 	 great stay Sumner . 	 return short break London stay Sumner Hotel . really glad book excellent stay , great location Oxford Street , hotel decorate beautifully throughout spotlessly clean , breakfast good staff friendly helpful . wife already plan return London nearer christmas book Sumner without doubt . 
 may 15 2008 	 lovely hotel nice neighbourhood 	 stay one night massive basement room really quiet . think must premier type room lovely , well decorate clean . check early left luggage return room ready . fab area minute away station . staff helpful . what defo stay although book quote £ 145 never add tax onto approx £ 170 check booking consider location standard hotel great price 
 May 14 2008 	 Fabulous 	 recently spend ten night sumner Marble Arch . first stay hotel report good review Trip Advisor . staff attentive , helpful polite . location excellent close transport site . area also safe quiet great tired traveller . this like home hotel comfortable room , modern bathroom , clean , friendly staff , free internet comfortable loungeroom relax . breakfast also excellent way start day change slightly day bit variety . staff also friendly keen attend every need . overall hesitation recommend Sumner great place stay . can not wait return ! 
 May 14 2008 	 excellent value beautiful area 	 Charming , nicely design craft . small hotel , convert georgian townhouse . good size room , airy clean . small shiny bathroom . good breakfast room . Minimal service desk staff friendly helpful . 
 May 12 2008 	 sumner simply well 	 sumner good hotel get London low price . money , get lovely large room ( London standard ) nice flat screen television , good bathroom lot hot water pressure . get breakfast ( not listen previous post ) tea , coffee , egg , toast , cheese , meat , fruit , vegetable , cereal , could ask , breakfast . also computer lobby , print need stay . staff also extremely helpful , call we cab , help we find place look go . place great , miss , tell know go London stay . 
 may 8 2008 	 wonderful hotel great area 	 stay Sumner London find lovely , warm place stay great area . easy get around London hotel . breakfast good food plenty . hotel like 's heat London - prefer fresh air . room lovely quite . great stay . 
 May 6 2008 	 pretty good would come back 	 Stayed march . hotel perfectly locate shopping far Soho . look really nice room comfortable . room size reasonable London . the first room get large room first floor look street . sound insulation not good good road bit noisy change room . get great room top ( attic ) floor . cosy really quiet . love it . very nice manager nice girl check , seem bit distracted professional . stand front 4th time less hour kindly welcome hotel ask want check - in . mind , small hotel . maybe ' m easy forget . breakfast fine , bit early 08:00 tell 09:30 somewhat cramp . 
 May 5 2008 	 sumner never disappoint ! 	 ' ve return third stay ( 8 night time ) sumner past 13 month . can not say enough good thing hotel . location good : three block Marble Arch tube station , yet quiet neighborhood . room nicely decorate , good sized ( least London : one never expect american - sized hotel room anywhere Europe ) . everything ( room , common area , breakfast room ) clean inviting . bed deserve special mention : sleep well ' ve sleep month ! room rate exceptional : challege anyone find comparable hotel London anywhere near price . most importantly , however , staff wonderful . everything go without hitch , friendly helpful . special kudo woman serve breakfast : always cheerful ball . I love Sumner , will defintely back soon possible ! 
 Apr 30 2008 	 pleasant central London hotel 	 enjoy one night stay hotel . room large well furnish shower rainwater head enormous . despite ground floor front hotel , room quiet sleep well confortable bed . breakfast room bright cheery continental breakfast fine - woiuld prefer real suasage frankfurter ! hotel conveniently place shopping . reception courteous efficient . 
 Apr 18 2008 	 home away home 	 first trip London , stay first week March . could pick well spot . arrive Heathrow , take express train Paddington cab Sumner . fast . hotel quiet ( back ) , spotlessly clean , convenient Marble Arch Tube . feel safe time ( wife early 50 's ) . one evening run late show . 15 minute go room tube Waterloo station time spare . unbelievable . service impeccable come wonderful breakfast start day ( love poach egg good tea ) . WIFI work without hitch . hotel deliver promise expectation exceed price feel fair . we back next year . 
 Apr 17 2008 	 sooo quiet ! 	 pick reading review Trip Advisor . good choice ... 5 min tube station . whole hotel clean well decorate . staff friendly helpful .... shower sprang leak quick get sort . bed really comfortable must quietest London hotel ' ve ever stay ... sleep well ! criticism breakfast varied ..... 3 day get little repetitive . oh ...... tea coffee make facility room would nice touch . would definitely stay . 
 Apr 9 2008 	 40th experience 	 fantastic stay . return spend five night sumner celebrate 40th . anniversary . indeed memorable stay . we rate hotel wonderful staff enough . everything first class , extremely spotlessly clean comfortable king room second floor friendly welcome staff reception breakfast room . buffet breakfast acceptable , cereal , cold meat hot buffet , tea , coffee toast . enough set anyone day . the location could ideal , short walk Marble Arch transport link anywhere London . shopping restaurant right doorstep . we hesitation recommend Sumner family friend . definatley return . thank Sumner fond memory Ruby wedding anniversary . 
 Apr 5 2008 	 great hotel 	 Sumner Hotel fantastic . room clean lovely , staff friendly , breakfast great price perfect . we take three child , truly feel home . request connect room tell room connect directly . bit concerned left kid would far away we . end perfect set - up . each floor sumner two room close hallway .. like huge suite . hotel lobby feel like comfortable living room , great book London , game kid internet access . 
 Mar 30 2008 	 lovely hotel great location 	 hubby London visit family , decided belate valentine break night away kid go Comedy Store . look hotel use Trip Advisor find little gem , 8 hotel list London , figure must ok . we delight location , price , room , breakfast staff . Marble Arch , take we 30 min stroll Leicester Square , via Regent St. love walk around central London really enjoy . room gorgeous . book deluxe double really spacious massive bed , fully stock overly expensive mini - bar fabulous shower . breakfast include price common London hotel real bonus great . could stay one night , would love day , great shopping Oxford Street . 3 kid 5 , chance lie bed , drink wine watch & quot ; Deal Deal & quot ; wed afternoon pure luxury hotel great . back . 
 Mar 29 2008 	 sumner great - would stay ! 	 wife , 9 - year old son return week London . book , king double roll - away bed please . hotel small , add experience appeal home . might add , extremely clean home . room large enough we ; fact maybe little large expect . staff extremely helpful pleasant central location give we easy access transportation thing want . much say breakfast . think nice way start day tradition english breakfast . folk expect full american breakfast , be easy find anywhere London . sometimes , difference stay measure little thing . case Sumner , staff , hotel 's cleanliness even Easter treat leave room Easter Sunday add make place will certainly visit . 
 Mar 26 2008 	 nice small hotel near Marble Arch 	 begin say March , particularly cold one , ideal time London , particularly hotel close Hyde Park one perk . small boutique townhouse hotel , close enough Marble Arch tube bus stop , quiet mostly residential neighborhood . plenty restaurant , close Oxford Street shopping . London easy get around anyway . travel teenage daughter , take two room . seem though basically two room per floor two adjoining building , two room actually function like & quot ; family suite & quot ; door could closed stairwell elevator . our superior double quite spacious , daughter ' standard double small little dark , face back one window . bathroom small , pre - fab shower feel cramp even , small woman . husband actually claustrophobic . everything spotlessly clean however , decor pleasing contemporary , boutique hotel - like fashion . flat screen tv , free wireless internet , adapter build desk outlet - nice touch . bed sheet comfortable . breakfast , opinion , unappeale subpar . Orange juice can . we pick breakfast local patisserie first morning . although street quiet begin , literally two set window pane window , problem noise - footstep voice - room . front desk staff sometimes literally look , show , quite pleasant helpful . overall , decent value , nice feature . would probably try score something little well next time . 
 Mar 11 2008 	 Adored Sumner 	 husband stay Sumner end February 2008 . say enough thoughtful accommodate staff . room spacious even US plug in . neighborhood excellent stroll close beautiful Hyde Park . price location would hard beat . 
 Mar 11 2008 	 Boutique townhouse ; good location do not mind stroll 	 stay summer 2007 . hotel really cute ( boutique townhouse ) clean . go king double ! ! mind stroll bit , Oxford street shop 10 minute . restaurant . breakfast nothing special ok . neighborhood ; lot lebanese moroccan restaurant . overall , good choice ! http : //www.sumnerplace.com/ 
 Mar 6 2008 	 love ! 	 mother stay long weekend love hotel . location central , close oxford street mable arch - still , room soo quiet ! stay standard room - little small imagine - clean stylish . staff nice , polite helpfull , make experience even great . overall - love ! 
 Mar 1 2008 	 LOVED LOVED LOVED Sumner ! 	 get back trip London parent sister , fabulous stay Sumner . stay room 104 although small side ( share room sister ) , clean comfortable . bathroom also clean shower great water pressure always hot water . hairdryer provide room work great , usually not happen hotel hairdryer ! staff always friendly helpful . computer internet main floor great , little main floor lobby area couch stock magazine . also lift / elevator godsend heavy luggage ! location near Marble Arch tube stop super helpful , be two block away could get anywhere super fast . really , complaint pillow thin , like little fluffier pillow sleep . perfect place family , would really recommend anyone . 
 Feb 14 2008 	 Sumner hotel 	 book king size room 3 night get good sized room large bed . shower room small side acceptable . tthe main disappointment breakfast little choice . two cereal poach egg like bullet ! Bacon appear one day . 
 Jan 27 2008 	 restful comfort 	 Sumner Hotel restful comfortable place stay . close Marble Arch yet closed door , offer we tranquil , serene retreat . staff helpful professional , room clean beautifully decorate king size bed . particularly thrilled room spacious end holiday could rationalise pack easily . shower antipodean quality - powerful luxurious . thrilled free internet , graceful sitting room meet London base friend substantial , diverse breakfast offer part package . definitely stay Sumner Hotel already recommend friend . 
 Jan 26 2008 	 great hotel 	 come back stay last three night . great location although obvious remember number street . room clean , excellent shower , good minibar . tv fine bed comfortable . breakfast good . nice sitting room good choice London guide . free internet access well . price reasonable central London . would certainly recommend would go back . 
 Jan 24 2008 	 Perfect ! 	 stay Sumner Hotel parent , sister husband . everything wonderful . room clean , beautiful , comfortable bed . free internet access . staff PHENOMENALLY helpful . sister parent lose bag way London . staff help we find everything need . even track lose baggage hourly online ! let we use umbrella way store get new one . even hold bag we Paris cousin London could bring we train . breakfast morning wonderful . assortment fruit , yogurt , bread really great tea . think good hotel experience ever . 
 Jan 14 2008 	 pleasant spacious room lovely stay ! 	 stay 3 night Dec. 2007 king room . room spacious situate third floor , face street . king bed actually comprise 2 bed push together ( particularly well implement 2 bed totally separate – common base , common bedding ) . also good sized cupboard desk chair . overall room comfortable , lot space . nice touch could lounge chair ( room definitely space ) .The bathroom compact new reasonably functional . shower great lovely fluffy white towel appreciate . problem bathroom tiny amount shelf space make thing cramp . whilst mini - bar room ( quite pricey refill guest request ) coffee tea make facility . ' much problem coffee tea could request staff . we find room little noisy despite double glaze ( main problem garbage collection , general street noise loud party neighbouring house ) noise ' constant ' bad overall . we make use hotel ' lounge ( ground floor ) also contain computer ( free internet access ) lot various information useful tourist . lovely pot tea one night lounge dinner . free wi - fi internet access available within hotel . the hotel staff friendly helpful . one minor complaint luggage storage area hotel appear reception . leave luggage hotel check last day come back find , along people ’ luggage , reception area . whilst know reception area generally attend time feel bit security risk , especially ticket system claim leave luggage . breakfast include rate go downstairs fairly limited , rather unexcite serve pokey basement . find much pleasant go find breakfast . the hotel close ( take we less 5 min foot ) Marble Arch ( tube station ) well situate shopping ( bus ) along Oxford St , swanky restaurant area , Hyde Park etc . find convenience store nice cafe around Oxford St. Overall enjoy stay think hotel great find London , especially within price range ! 
 Jan 6 2008 	 distinctly average 	 read review Tripadvisor see Sumner rank 6 1000 hotel London , expect enjoyable impressive experience . unfortunately , sumner hotel distinctely average . nothing stand experience . I book Queen double . room turn reasonably small actually double , two twin bed attach together . bathroom perhaps disappointing aspect : small tiny shower . addition air conditioning work properly use heat room , cool room . my area disappointment breakfast . unable offer room service breakfast ( essential part romantic theatre weekend away ) , breakfast room cramp hot food selection limit sausage , egg bean . bacon , hash brown black pudding ? english breakfast Sunday morning complete without . average thing whole hotel extremely tasty sausage . overall , disappointing distinctly average experience . 
 Jan 3 2008 	 Fantastic Find 	 spend lot time research right place , time well spend . initial mix booking ( apparently late room double booked room ) , rest stay perfect . check we 3 hour early room excellent size ( London , location ) . although not bath , shower great bathroom modern stylish . bath robe provide decor whole hotel calm pleasingly traditional yet modern . staff friendly personal . can not stand big chain hotel impersonal service get , sumner fantastic anitdote . minor complaint georgian window sitting room ( free internet access ) cry Christmas tree , decoration . amazing location 5 min walk Marble Arch quiet little street . breakfast not amazing , perfectly adequate . 
 Dec 29 2007 	 stylish quiet clean 	 wife stay 5 night December 2007 mixture business leaisure . couple block Marble Arch convenient Oxford Street also near Hyde Park . staff delightful - welcome professional . although occupy traditional terrace house whole hotel new modern decor high standard . free wireless internet access throughout pc lounge guest . lift room still require negotiate 10 stair . second floor double room overlook rear amazingly quiet central London . even front room quite quiet traffic light street . bed huge comfortable duvet . bathroom shower good clean fresh towel . breakfast 8.00 - 9.30 beautiful basement room - usual buffet cereal , fruit juice , yoghurt , toast , fresh bread plus hot bacon sausage , scramble egg ( bit tired looking ) , tomato etc . would recommend highly . 
 Dec 25 2007 	 Value money 	 nice hotel , freindly stuff ! good brekfast , maybe littlebit strange decorate breakfastroom . the hotel standard good , like boutiquehotel renovate exclusive , nothing wrong , that s keep good price think . 
 Dec 21 2007 	 delightful home away home 	 stay 6 night week Christmas . weather cold , room . climate control room exceptional . bathroom small adequate extrordinarily clean . water pressure temperature control shower perfect . room nicely remodel high ceiling , decorative molding tall operable window . oversized armoire easily contain clothe though would nice little drawer space . ( small side ) staff friendly helpful travel plan direction . cozy gathering room well stock mini library hotel free high speed internet work 100 % time . sumner everything expect much high priced hotel without big price add bonus delightful helpful friendly staff alot privacy . 5 minute walk Tube cab available demand . stay visit spring . way , Honeymoon , Great Place ! Winston & amp ; Tiffany , St. Augustine , Fl 
 Dec 21 2007 	 Perfection 	 previously stay ' Holiday Inn ' type place London , think , special occaision would try something little market . not disappoint . the sumner everything could wish small hotel touching distance attraction . location exceptional , somewhere near centre , peaceful . its room , public private fabulous , warm , invite comfortable . cleanliness second none . staff helpful courteous without overpower . knew need , keep background make feel home come back evening , hotel . overall would recomend sumner anyone wish visit great capital city . thank Sumner make short break special . definitely return . Paul . Chorley , Lancashire . 
 Dec 13 2007 	 highly Reccomend Sumner 	 spend Thanksgiving weekend sumner review state . room clean quiet , bed super comfy ! ! staff helpful , friendly greate we every time return . internet access lobby great look thing plan day . think breakfast FABULOUS , hot lot choice , phenomenal include price room . pleasantly surprise menu item even change somewhat day day . the hotel great list recommend restaurant , one memorable shoudl return top list . make sure try Le Relais de Venise - steak die ! ! ! can not wait return sumner ! ! 
 Dec 7 2007 	 big let 	 sumner sister Hotel award - win 5 Sumner Place , claim adopt many attribute practise . stay one night , disappointed do not live expectation . room small , drawer space & quot ; designer & quot ; decoration not much evidence , unless count paint old wardrobe . flat - screen tv , strangely , position wall side bed , mean good view sit end bed , rather . buffet breakfast big disappointment . ok , small hotel choice limit . choice 2 cereal , 2 juice ( one orange , ? ? ) . small array meat cheese hot selection consist poach egg , bean ...... frankfurter . awful , linger far long rest poor breakfast . ask toast ( toaster available ) get one slice white one brown . ' m sure could , could not bother . consider pay , bad choice yet London 
 Dec 7 2007 	 clean well - situate hotel central london 	 clean , well - situate hotel central London . room relatively large , tastefully decorate , super high bed . room King Room reality two single bed put together . we can not really complain , hotel high standard , niggle , free wireless internet room , though seem work throughout day . Breakfast nicely decorate room basement , bit limited choice . overall impression hotel well average hotel London , general mood unimaginative . 
 Dec 7 2007 	 good value good location London 	 Booked see good review Tripadvisor . London mega expensive , 's good see good value hotel like well . be like upmarket B & amp ; b - clean , bright , nice staff . room small ( big room though ) , perfectly ok , be room much . ' ve stay London hotel one intimate , contrast nearby Thistle Marble Arch , say . depend be . & quot ; complaint & quot ; towel new- bit sqeaky ! still , well threadbare effort get lot London hotel . highly recommend base see theatre show shop - not go see Seagull ! New London , maybe be thick russian symbolism lose we ; go see Les Miserables , take we 20 year get around , well worth . 
 Dec 5 2007 	 great small hotel 	 two teenaged child stay 3 night sumner 24 - 27 November 2007 . London stay hotel along Oxford Street apartment Mayfair . find hotel internet read good review , book triple room directly online . must say make correct decision . hotel small like ambience . room big spacious enough we . clean comfortable . important . availability free internet access elevator bonus . avoid hotel without elevator due luggage concern . shower facilities good toiletry supply nice . like availability iron facility hair dryer room . reception staff friendly helpful , appreciate . close Marble Arch underground station problem visit sight London . Muslims , food concern . Edgeware Road plenty small middle Eastern restaurant short walking distance away food problem . feel safe walk street around hotel , Starbucks Sainsbury 's around corner also great . child complaint . would definitely recommend hotel visitor London . certainly stay hotel . get London Black Cab easy . transport airport problem . notwithstanding , would appreciate assistance luggage check - out . since three we , not ask assitance offer help carry luggage would nice appreciate . 
 Nov 30 2007 	 wonderful stay great neighborhood 	 November 30 , 2007 ' ve return six day stay London . Sumner Hotel lovely . excellent location , close Marble Arch Tube , selection restaurant shop , nice walking tour . room warm inviting , staff extremely friendly helpful direction map . would doubt stay . 
 Nov 27 2007 	 great Find London ... 	 wow , be often come across great hotel , good location reasonable price ( well reasonable London anyway ) .situate side street halfway Edgware Road 's 10 minute stroll Marble Arch / Oxford St 15 - 20 minute Paddington station . NCP car park nearby include Portman Square end road hotel ( 5 min walk ) although NCP car park not cheap be stay long 24 hour 's probably good idea drive park London . the hotel recently refurbish - reception lounge wooden / laminate floor , subtle light comfortable furniture . reception staff , like many London hotel , seem eastern european helpful . not need test local knowledge ' m sure could direct local attraction ask . the bedroom well decorate , large comfortable bed , desk wardrobe . room stay not exactly huge enough room two people although probably would not want spend enormous amount time coupe . bathroom shower cubicle roomy enough modern fitting throughout plenty hot water . all , would highly recommend hotel be visit London - stay nearby Marriot twice price have miss gem ! 
 Nov 26 2007 	 wonderful 	 husband research London hotel day luckily stumble across Sumner . great find . cabbie bit trouble find be take tube , informed address street odd ... go one side . highly recommend Sumner . room immaculately clean , spacious , beautifully appoint quiet . staff helpful general specifically recommend transportation option ... bus vs. tube , etc ... breakfast great many option . would not hesitate return sumner . also , be great value expensive city . 
 Nov 26 2007 	 impressed 	 impressed hotel . read fantastic review maybe expect abit . 3 adult book thay assure 3 adult could easily stay 1 room . upon arrival , 2 single bed foot third bed place . try move bed bit away bed space room like . night usually get other duvets throw , etc . clean newly refurbish majority staff friendly . one complaint 2 day 3 clean place 1 set clean towel we extra toilet paper . accept mistake happen , call reception immediately send 2 set clean towel well extra roll toilet paper . however , situation occur 2nd morning bit diassapointe . breakfast offer rate , ok great choice 1 girl duty take quite long time table re - set juice , coffee food refill finish . breakfast room bit dissapointment , basement small window . location great however , clean read many wonderful review think expect bit . maybe would , maybe would not return , yet decide one . piece advice however , room should not offer triple room , spacious begin third bed make extra tight . 
 Nov 26 2007 	 relaxing stay 	 spend weekend Sumner . high expectation review good not disappointed . flight delay late lunch reservation could not check , simply leave bag front desk leave bag room . breakfast simple sufficent , enough kep go lunch time . room large plenty space quiet even though front building . location wise also good , close Oxford street Regent Street . staff plesent helpful . 
 Nov 25 2007 	 Sumner Hotel Perfect Choice 	 sumner perfect choice first trip London . great location north Hyde Park , helpful staff . nice update property , clean quiet , great London neighborhood . easy access underground train station , also situate walk major site shop . easy walk good restaurant pub ... recommend staff . stay neighborhood allow real feel London , one good . staff responsive stay , would definitely stay . 
 Nov 13 2007 	 New York Style Boutique Hotel 	 stay Sumner Hotel Sunday Wednesday ( September 30 October 3 ) . book large room stay main floor . picture show website accurate place newly renovate . always individual reception pleasure deal . question , always available answer . owner also take pride Hotel meet personally stay . would recommend place thank owner employee enjoyable stay . 
 Nov 12 2007 	 Sumner Hotel -- delightful choice London ! 	 sister return first trip London . ( select Sumner Hotel base upon Trip Advisor research positive comment find online . ) love everything little hotel ! location ideal we . sumner near Marble Arch tube station within short walking distance several bus stop . hotel sit quiet residential street , many place dine , drink , shop two three block area . ever - popular Oxford Street shopping area Marks & amp ; Spencer store short walk away . feel quite comfortable neighborhood . one evening , return late theater walk back sumner tube station absolutely worry safety security . we stay two different room Sumner ... delightful . room towel warm bathroom hair dryer . ( one room even pant press ironing board ! ) big , fluffy duvet cover quality linen adorn comfortable bed . bathroom positively spotless ! buffet breakfast serve downstairs 10:00 . fresh coffee juice available morning . several food choice also offer include : egg , meat , cheese , fruit , yogurt , cereal , jam , bread . eat buffet great way start busy day sightseeing . the Sumner Hotel staff helpful . Beata know London area well help we plan route major London attraction . especially grateful desk personnel able arrange efficient transportation us airport train station . all ammenitie came think reasonable price . would highly recommend Sumner Hotel definitely return stay next visit London . 
 Nov 11 2007 	 Great Quality Hotel Super Location 	 stay one night great stay . good bit cleanliness place central location close proximity Marble Arch tube station . breakfast disappointing - item run quickly replenish small choice cereal ( 2 ) . breakfast adequate well top city price range . please aware extremely slippery front entrance / exit wet . today wet shower leave husband slip twice . save grab rail leave - nasty accident wait happen . 
 Nov 11 2007 	 Fantastic Week ! 	 ( spouse ) complete wonderful week visit London stay Sumner Hotel . choose small hotel base Tripadvisor rating disappoint . stay deluxe king suite first floor . great location , convenient , perhaps little noisy right street 's busy city street actually main road . hotel location within easy walk distance store Oxford Street , many pub , train station , tube bus stop . the room clean comfortable WONDERFUL large shower . staff reception desk , especially Beata Pietre , could do ! friendly , helpful , always anxious service . drawback lack drawer space room 7 night stay little inconvenient . however , overall , hotel great choice hesitate return recommend friend . 
 Nov 8 2007 	 chic hotel 	 Jewel hotel , chic , beautifully decorate great location , five minute walk Oxford Street near Tube . staff helpful friendly , nothing much trouble . Loved Roses chocolate dot hotel . can not wander street , outside door open room keycard Reception , great security . feel safe walk around outside hotel , handy local pub couple door away visit theatre , feel welcome . triple room , ideal friend , although bit tight staying weekend . breakfast buffet ( hot ) nice something everyone . would deifintely stay . 
 Oct 31 2007 	 great experience 	 fiance stay sumner 2 night mainly base upon review Tripadvisor . rate reasonable ( London standard ) 135 GBP per night ( plus vat tax ) . arrive 6 am ( friday ) day check , luckily room ready ! may hard tell picture Tripadvisor hotel really nice well do . hotel clean , extremely quiet room spacious . bed actually two bed conjoin , however be basically like one king bed . bed really comfortable sleep great . location perfect we . be right next Hyde Park , Oxford Street , Marble Arch tube stop . be bit walk attraction like Buckingham Palace , Big Ben , etc think area well place stay . restuarant , shopppe pub . would definitely recommend Sumner . great boutique hotel . 
 Oct 31 2007 	 Best London Location 	 lovely hotel one good location , especially shop . room 4th floor , reach lift overlook street . clean , comfortable , spacious , complimentary toiletry Soames & amp ; Gilchrist bathroom . mini bar stuff full everything , wine chocolate bar , bottle opener , 2 glass room . local grocery shop close choice whether use . staff nice helpful downstair sit room computer internet access everyone use , extra charge . also daily newspaper lot magazine book read . breakfast good choice , cheese , fruit , sausage / egg / bacon . area seem quite safe , even dark lot people . definitely stay next visit London . 
 Oct 31 2007 	 thank recommendation 	 London last week ( mid - week ) overnight stay . go site like hotels.com find room come across Sumner . never hear , search TripAdvisor say fab , book direct . stay Cumberland Montcalm Sumner around corner worth try get - 's small , might lucky . beautifully renovate hotel , really well do . small gripe : room ready 1 pm , not . go lunch good fish platter year England seafood restuarant around corner . one room feature photo - really nice , lack pen paper jot note phone friend lack bottle opener glass make proper use mini - bar . end world , thing would expect 4 - star . room noisy expect review , guess ' m use London traffic never stop road sweeper / recycler start early ! breakfast nice - continental include price - bonus London . nice , friendly chic hotel . give try . 
 Oct 30 2007 	 Fantastic Sumner 	 opinion Sumner Hotel staff quite simply outstanding ! ! public space warm invite staff could gracious . my concern one mobility issue room do not involve step . room 208 lift take we 4th floor . climb 5 step . however , assure book room low level ground level require step . event help offer need . sky high price London hotel offer real value breakfast buffet nicely present . hotel choice London long current management staff place . also room quiet everything clean throughout property . Rick C , Washington Indiana 
 Oct 26 2007 	 Perfect short stay 	 hotel perfect short stay London business pleasure . spotlessly clean , room adequate well average central London . location good . close Marble Arch underground ample restaurant vicinity . decent choice breakfast staff pleasant helpful . good wireless internet access free - make sure ask code check . good value , clean comfortable , rarity London . 
 Oct 24 2007 	 Excellent standard location staff 	 book two queen size room 1 night ( 18th Oct ) .On arrive hotel pleased find smart well present reception area . although arrive midday room make ready arrival . bedroom finish high standard clean . tea biscuit lounge speak Beata reception possibilty theatre ticket . within minute 4 front row circle ticket , right centre sound music ! ! ! ! wow , show . the follow morning breakfast excellent serve lovely bright room . all one good hotel stay London include 5 * hotel . if want well locate , well present , efficient hotel sumner list . finally , Beata , star ! thank make short stay London enjoyable . 
 Oct 3 2007 	 wonderful Stay London 	 love hotel ! great location -- short walk Marble Arch tube station . seem relatively quiet street , although room inner courtyard , make much peace quiet . provide free internet access large library area downstairs . bed comfortable bathroom big enough London standard . staff helpful . great breakfast . great italian restaurant close . would love stay time visit London . 
