luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Jan 29 2007 	 satisfied customer 	 come back 4 - night stay happy value money standard hotel . day spend 9 – 11 pm , look anything basic , clean secure room , get . find staff reception polite helpful location excellent . room centre building , dark benefit quiet away street noise . would hesitation book hotel . 
 Jan 24 2007 	 Hated Grand Union 	 stay hotel grand union October 2006 . 4 night . arrival first thing notice bathroom obviously clean properly , bath dirty . room tiny dull . although great location centre Manhattan would reccomend hotel . expect luxurious hotel reasonable price be not cup tea . old fashioned . lobby newly renovate , think renovate rest hotel . say really cute small coffee shop next door serve breakfast etc . despite hotel love every moment NYC ! ! 
 Jan 22 2007 	 Great Location Shoddy Hotel 	 stay hotel 5 night New Year 2006/2007 . tiny bed , tiny bathroom , dirty carpet , temperature control room , consistently leave towel - could go . staff clearly bore interested help way . pay stay arrival , rather departure . beg manager split cost room across couple credit card rather pay one & quot ; mess accounting & quot ; . stay make sure bring iron ironing board & quot ; hotel policy & quot ; . never stay . dreadful . 
 Jan 12 2007 	 Great Location 	 Stayed Grand Union New Year . hotel fab ideal location within easy walike dstance ( 3 min ) Empire State Building Macey 's . also 10min walk Times Sq subway station street . however , hotel old . heating room centrally control exceptionally hot . fact extremely hot uncomfortable point put make - up fridge actually need shower morning sweaty night sleep - well cat - nap extreme heat noisy air con . room otherwise clean small clean daily fresh towel . staff polite outwardly friendly , attentive helpful . 
 Dec 19 2006 	 small bed ! 	 wife stay Grand Union 7/12 10/12 first visit New York . we check around 5 pm without issue & amp ; give room 8th floor . first impression .. jeez room small , not & quot ; & quot ; bother though 4 night stay . bed standard double , be use King size home UK big gripe , ' ve never standard double hotel usa ever & amp ; really uncomfortable . carpet room look pretty dirty , air con unit make aweful noise night . bathroom adaquate & amp ; clean although maid could not seem grasp fact 2 people need 2 face cloth , 2 hand towel & amp ; 2 bath towel , stay full quota towel . hot water pipe bathroom seriously hot , honestly touch have brand life , also make irritate noise night . almost like someone tap SOS constantly ! staff hardly 2 word say not seem miserable , interested much . do not try Captains Cafe next door always full , Dunkin donut block away make Breakfast eatery . location pretty good , 10 min Macys , 15 min Times Sq , number 6 Subway right doorstep . for price good value , sure would stay though , would definately stay area New York . 
 Dec 13 2006 	 Perfect location great service CLEAN ! ! ! 	 Mom book last minute trip NYC last week . hotel $ 400 + , find Hotel Grand Union price range ( $ 175 / night ) convenient . hotel front desk worker humerous , hotel clean , bathroom roomy . downside room available one full - size bed . also , room smoke , however would never know anyone smoke room . say , would definetly stay ! 
 Dec 7 2006 	 Bargain beyond Belief ! 	 general idea expect read reviews Tripadvisor book 5 night stay Grand Union . end day , want somewhere rest , shower change ... go New York spend time hotel room ? ? ? little worried review negative , find reason ! grant , desk staff not friendly bunch world- fact seem put time ask questions- efficient , book extremely quick . go room 2nd floor , find clean , neat , tidy welcome long day travel . not big room , adequate two us , luggage , shopping ! fridge , television air con . partner light sleeper , , even though 2nd floor front hotel , find barely noise ! lovely ensuite , nicely tile , bath , shower , toilet hand basin- unlike reviewer , problem water pressure temperature- find perfect every time use shower . room clean high standard every day , fresh bed clean towel leave . first time New York , could not believe location hotel ! round corner Empire State Building , Madison Square Garden Fifth Avenue , pleasant stroll away Times Square Central Park . New York plate ! warn , especially irish people , use TELEPHONE HOTEL ROOM ! make 6 relatively quick call home , cost we $ 130 , payable leave- make length call public phone cost couple buck ! ! finally , quick mention Captain 's Cafe adjoining hotel .. FANTASTIC ! breakfast morning fine grub- pancake , bacon , syrup , omlette much , incredibly low price ! two huge breakfast $ 10- can not go wrong ! definitely stay next visit NYC ! 
 Dec 7 2006 	 well imagine 	 Normally wife stay hotel like Salisbury 57th street , full rate high decide try Grand Union instead . expect worst bad fact rather enjoy . good part hotel 's close location Lexington subway line take direct Upper East Side downtown . also number trendy restaurant nearby coffee shop lobby get coffee morning without tramp cold . we drive unloaded bag find doorman help unload . check swift give we room early , 10:30 instead 3 pm . one elevator wait get room , # 809 , smoking room . room neat , big ( NYC ) three bed , basic . view , bathroom fairly large clean , water pressure fairly low bad other . there minifridge floor . there one tv picture bit fuzzy perfectly adequate . check quick parking garage block away . leave bag luggage room tip doorman easy service . , aside slow elevator difficulty luggage , hotel actually bad especially like us day . 
 Dec 6 2006 	 Wonderful Staff Fantastic Location ! ! 	 4 night stay find hotel adequate need . room clean tidy daily maid keep we supply fresh towel toiletry . location perfect shopping sightseeing . complaint would room little dark side ( although transform cosy lamp ) traffic noise night . budget hotel definitely budget experience . not really rate coffee neighbouring cafe overall fantastic stay . THANKYOU 
 Nov 18 2006 	 steer well clear ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 recepionist seem problem female , tell we reception shut lunch , ask morning wake call , reply phone one another save bother , toilet block fri night , tell we would mon morning could fix , downright rude / attitude problem ............. like turkish fawlty tower ......... never ! ! ! ! ! ! ! ! ! ! ! 
 Oct 30 2006 	 fantastic New York bargain ! 	 not often write review hotel ' ve stay , Grand Union NYC , think would make exception . first , compare anywhere else ' ve visit world , New York expensive hotel - much gather research hotel prior visit . this hotel however , buck trend , worth every cent . honestly . I Scottish , everyone know , particularly keen get value money - $ 150 night , hotel right middle Manhattan certainly deliver . the room spotless , bed comfy , shower great , new towel toiletry every day , cable tv room , air con , plenty room ...... need say ? many review comment - unlikely fantastic view bedroom window - care ? right middle New York ! take step reception Penn Station , Empire State Building - subway station ( green line , no.6 ) end street ! truly fabulous hotel - book stay disappoint - unless name Madonna , Elton John , HM queen ........ 
 Oct 29 2006 	 good Stay Grand Union 	 Grand Union Hotel New York Date 11th October 2006 Trip Advisor Member Cleethorpes England stay Grand Union Hotel 5 night pleasantly surprised . read previous review unsure expect . arrive little late flight delay meet friendly receptionist , lobby bright clean check quick . room third floor face back hotel little dark , intend sleep . room clean , bathroom also excellent , clean towel daily . problem water shower . coffee shop next door perfect breakfast every morning complaint . hotel handy subway downtown . would hesitate book hotel . 
 Oct 24 2006 	 Great Budget Hotel 	 search search budget friendly hotel New York run one . read reviews trip advisor notice review one thing common ( cleanliness ) . base hotel look outside , skeptical even read review , take chance glad . hotel neat , clean , quaint . frill budget conscious hotel . 3 friend stay quad room . consist full bed 2 twin bed . rather large room . , clean bathroom clean update . carpet new . downside room view . outside window , thing brick wall build next , do not matter go ny look window . housekeeping staff professional polite clean room good . front desk staff helpful friendly . see 2 front desk staff weekend long ( 10.20 - 10.22 ) . even store luggage time we check last day . food dinner inside hotel okay . elevator small 4 people time fit 's really issue . budget want stay clean , safe , nice hotel -- stay ! ! ! 
 Oct 23 2006 	 ok NYC 	 stay 3 people triple room , 185 dollar + tax per night . bed firm good ( although real duvet would nice since rather cold ) , bathroom clean good water pressure , although shower extremely small . new towel every day , tv fridge nice . however , room bit small 3 people large bag , practically daylight , except tiny window curtain stick front . fact one , small slow elevator also bite annoying , since could take 10 - 15 minute come buildingAll , reasonably good value money consider town be location superb – Empire State Building , Wolfgang 's Steakhouse Les Halles block away . want stay really nice budget location would recommend Chelsea Lodge , though . 
 Oct 23 2006 	 East 32nd St Manhattan 	 get hotel Manhattan 150 $ steal within block Empire State . the Hotel staff friendly , help we choose tour hop hop red bus , book taxi , broadway show .The room clean , comfy big Manhattan . bathroom clean adequate decent shower . view though , stay Room 501 see garbage dump next building first level . well keep shade down . the Captain cafe entrance good bite . irritate thing hotel solitary lift carry 4 people . would recommend hotel location , staff cleanliness . 
 Oct 16 2006 	 pretty good price 	 stay hotel one night October 13th . 4th floor not lot noise . locate across little elevator . ( hold 4 people ) . bed hard , like firm bed do not bother much . room rather small basic include tv , somewhere hang clothe desk . bathroom really nice . marble everywhere ... say ... wear sock walk bathroom floor really cold . go temp 40 degree night heater room . okay . place frill . get basic that s bad sometimes . plan lot sight seeing place . pay 173.00 one night include tax . New York think really good . hotel do not room service little resurant next door go bagel place open 24 hrs 32rd 5th ... half block hotel . location great . 1/12 block away empire state building 1 block away subway ( 6 ) . close everything . : ) 
 Oct 8 2006 	 Good noise / hard bed problem ! 	 husband stay Hotel Grand Union 10 night September , cost little $ 1,800.00 include taxis . young lady look reservation pleasant gracious . problem check - in even though late arrive . reception staff pleasant , little other . near Reception , long , narrow lobby bright , clean computer , somewhat expensive use need . little cafe next door not get use many people must fine . cafe 's post menu reasonable price amount food people 's plate morning set rest day ( smile ) . feel location hotel excellent - block half 5th Avenue , Madison Park East 32nd Street , 20 minute less Times Square , be want go . buy 7 day subway pass easily travel Harlem , Upper West Side , Williamsburg , Coney Island Brighton Beach never hesitate use subway get around . use combination subway bus , even make Historic Richmond Town Staten Island . read many review Tripadvisor bring along iron , coffee maker hairdryer hotel provide . particularly glad bring coffeemaker leave room cup coffee morning . could not live without hairdryer either . attach picture review good show room look like make mind whether room would suit . room bathroom large enough need , include double bed , cabinet t.v . good selection station desk chair . helpful addition room would lamp desk , anyone hotel reading . also bedside table lamp could read night plan next day , another necessity . room clean include linen bedding . prefer sheet tuck ' ve notice hotel housekeeping seem leave untucked , possibly sake efficiency . stain floor otherwise carpet filthy satisfied cleanliness room general . closet consist clothe rack adequate . little fridge room handy appreciate . shower great ! able open window room let fresh air , happy . even though hotel allow smoke ( smoke ) , room smell smoke non - smoker , not worry . bed hard mattress ever sleep , combine noise street ( Room 804 ) cause we become somewhat sleep deprive towards end holiday . however , cause we slow sheer energy New York fantastic keep go go , much see do . to summarize , hotel clean , good , safe location fair price . not want spend fortune , particularly long stay , decent choice . 
 Oct 4 2006 	 would go back New York minute ! 	 go week shop New York mum 5 day stay Grand Union find great deal online location fab ! disappointed could understand bad review slightest .. staff friendly enough helpful question . room number 308 not view be build - up city world , expect ! ? room plenty big enough clean bathroom spacious shower powerful always hot water . tv load channel bed comfy . Maids efficient too . we breakfast every day Captains Cafe join lobby Grand Union - pancake AMAZING fill full day shopping ! great value New York . location good 2 block Empire State building ( visit early morning avoid queue ) 10/15 minute walk Macys good department store cash - conscious visitor . make sure visit Times Square night , be great also tour city red bus great value . Most place eat fast - food eat pretty unhealthily place like Sbarro pasta Cafe Metro amazing sandwich , paninis fresh salad fruit find lot street . we use subway system couple time find pretty confusing buy card like London underground one last duration stay . walk good way see feel pace city though . not use taxi always sit traffic . the problem encounter sore foot every night much walking would definitely return stay Grand Union , brilliant ! 
 Sep 26 2006 	 16th - 22nd Sept - Loved Stay 	 wonderful location . spotlessly clean room . shower work fine ( 7th floor ) . cleaner pleasant & amp ; f riendly . Linen & amp ; towel change daily room dust & amp ; vacuum daily . fault would reception staff . total 4 word say we entire stay . arrival ask & quot ; Cash Credit Card ? & quot ; , . checked not even get nod said & quot ; Thank & quot ; . would definitely stay . brand new diner ( call Silo ) open across road last day far good diner many try across Manhattan . give Reception staff customer care training place 100 % perfect . 
 Sep 20 2006 	 good location second time would stay 	 husband stay hotel first week september 7 night . also stay january second time . like hotel location great ( 2 block empire state , 20 meter downtown subway , 1 minute uptown subway ) room 10th floor could see empire state bathroom . impressive Labor Day lighting , white - red - blue . advantage 10th floor . one lift hotel quite slow disadvantage 10th floor . turkish receptionist really friendly helpful . safe reception one key remain we reception . small fridge room . water shower fly minimum regulate hot cold water try cold shower time . not big problem us weather january . room clean staff likely . chance third time New York ( hope deeply ) , will not hesitate stay hotel . recommend hotel everyone ... enjoy .. 
 Sep 15 2006 	 nice place stay 	 stay 6 night Sep 2006 choose hotel trip advisor review . disappointed . twin room , private bathroom ( room private bathroom ) . room large enough two we , bathroom . adequate space put away clothe space leave empty suitcase . also fridge room . the positive point : - room clean , clean well every day . - feel safe location . - room ( 611 ) quiet . even road noise.- central location . walk pretty much everywhere even not like walk much , choice 2 subway stop close . one 20 second away , maybe 4 mins.- bed comfy ! something say hotel ! negative thing : - shower well . power fine get right temp take 5 minute ! something ruin holiday though think consider positive thing hotel , minor thing.- cost internet hotel . not want walk around look internet cafe send quick email home internet lobby $ 2 10 min ! may feel reasonable not ! would definitely recommend stay hotel . , make sure get breakfast man cart corner 32nd Madison ( end block ) . circular pastry large handspan ! definitely enough keep go day ... 
 Aug 21 2006 	 great stay ! 	 partner stay Hotel Grand Union 8th - 11th July . good point : large , nice room . good location- short walk Empire State Building . so cheap ny ! internet service available lobby ( price ) . Captains Cafe next door great place brekky ! air - conditioning . staff accomodate frendly . bad point : slow lift . as see , not really anything negative say Hotel . it one cheap Hotels could find , exceed expectation ! would stay , recommend everyone ! 
 Aug 15 2006 	 great location great price 	 ' ve stay hotel twice can not fault money pay . the bedroom not anything special , clean , enough room luggage hotel offer exellent location mid - town explore great city . everything work reception friendly . 
 Aug 11 2006 	 get pay 	 book one night hotel base tripadvisor review . hopeful arrive - lobby pleasantly light , service friendly prompt , see young foreign couple holiday ( typically good sign find decent budget accommodation ) . room leave lot desire . book budget hotel reduce expectation . know ' m going get 100 % cotton bed linen example , fluffy towel . expect thing clean decent smelling , not . bed linen yellow poor , carpet visibly dirty dingy , room smell . perhaps other well experience , mine good overall doubt return . 
 Jul 30 2006 	 Saved Money enjoy NY Hotel Grand Union 	 Smooth booking check - in pay total stay advance upon check - in . great location , reasonably price , feel safe sight - see day night ( single traveler ) conveniently close subway stop . room clean , quiet air conditioner work great hot , humid July weather . cheap eat ( several fast food place ) couple block away . also walgreen close Empire State Bldg . purchase drinking water $ 1a bottle , think city water taste awful . agree reviewer small elevator pack people morning .. Taxi $ 32 La Guardia hotel , bad . $ 15 Super Shuttle pick hotel La Guardia . enjoyed three day stay , complaint , would book without hesitation . 
 Jul 17 2006 	 worth visit 	 stay New York 23rd June 2006 4 night . find room comfortable , clean & amp ; adequate need . back , see little day light . however , not room much . cafe entrance hotel . good breakfast . hotel 5min Empire State building , central . Desk staff rude city . would stay . 
 Jul 10 2006 	 great find midtown 	 stay hotel family 3 day begin June . room clean hotel personnel helpful . room 9th floor view , empire state building mere 2 block away , care ? bad thing say place shower tiny , washroom still nice newly tile flooring . feel safe walking around evening lot nice restaurant within short walking radius . restaurant attach hotel . great breakfast place menu item reasonably price french toast excellent price $ 4 ! enjoy stay return summer 
 Jun 22 2006 	 well expect ! 	 look decent hotel - everything 2 - star mid - town $ 300 / night week . find Hotel Grand Union clean , obviously recently renovate , quiet . wish iron ironing board ( happy pack hairdryer ) . - well worth $ 145 convenience plan stay . 
 Jun 14 2006 	 Hotel Grand Union- bad 	 lot research site , pick hotel get well review 2 - star hotel could find NYC . call day trip confirm reservation , person speak friendly . hotel staff ' friendly person , never downright rude always respond inquiry / need reasonable fashion . room pretty small , ' feel cramp . read somewhere hotel marble bathroom , must old room bathroom ' marble . shower incredibly tiny , even really big enough one person stand comfortably . water temperature fluctuate somewhat , nothing severe . toilet ' flush capacity seem pretty weak , never serious issue we . cleanliness room bathroom pretty good . towel pretty small basic , work replace every day . nothing dusty ' see single bug . night hotel quiet mouse . thing make noise fridge , unplugged , even ' noisy . think bed sufficiently comfortable — we exhaust probably could ' sleep metal slab . location good — many sight easily accessible , Times Square within walk distance . ' fancy neighborhood NYC , area seem safe . never feel endanger threaten , feel secure sleeping room night . like able leave bag luggage room hour check . ' budget stay couple night , place fit need . ' expect luxury , probably ' disappointed . 
 Jun 14 2006 	 good choice worry centrally locate clean room bath 	 friendly competent service arrival , lateron little poor still ok . like room 6 th floor , clean well furnish . bathroom clean functional well . bed quality good . ac not seem work . like location around corner Empire State Building , near different subway station . & quot ; beautiful surrounding & quot ; certainly scary , Hotel locate next korean village . would book . 
 Jun 8 2006 	 good budget / business traveller 	 stay Grand Union 2 night quick business trip Ireland . basis perfect - clean , central , relatively quiet . sort place romantic couple holiday maker . I give average rating relative . good 3 star hotel . nothing , nothing less . I reccommend people business getting expense pay company . ( like ) 
 May 31 2006 	 Clean Good Location bad 	 stay Hotel Grand Union Memorial Weekend . check Saturday Monday . room small clean . bathroom clean . located great area within easy walk distance esb ( 2 block ) half block subway . safe location major problem . have issue not really big deal:1 . AC not work well , matter low program temp not seem go 75 degree room . 2 . shower could make mind want hot cold . one minute fine next either scald frozen.3 . put $ 50 deposit use phone mainly want use datum port get online room . do not need service warn check ; ) 4 . Website state complimentary time internet service - never get . boyfriend pay $ 2 10 minutes5 . one seem speak English , include front desk person never smile . however housekeep staff friendly polite.6 . Bathroom window ( screen ) leave open housekeeping staff leave . not realize morning make little uneasy 6th floor NYC . probably ventilation since none bathroom . good points:1 . great price NYC - could not get well price well location2 . room thoroughly clean daily3 . bathroom nice clean4 . problem noise5 . Beds comfyI would definitely stay would recommend anyone . get pay , room small price can not beat cleanliness location . go back summer plan stay . 
 May 22 2006 	 Clean 	 stay 4 day really like it . the room bite small clean make every day . great location . walk distance everywhere close subway station . stay 9th floor problem noise . quiet . the concern shower toilet . the shower water skept switch hot cold toilet tank would fill quick . talk reception able fix toilet next day . they iron , coffee maker hair dryer room . however , little fridge helpful . great breackfast place attach hotel . also really good brazilian rodizio restaurant , Porcão , right block ( 26th St Park Ave ) . get unlimited meat salad bar around 50 buck / person . really good food . woud recomment hotel look luxury . would definitely go back ! 
 may 14 2006 	 clean good location 	 would definitely recommend hotel . stay 10th floor ( problem lift ) . much view little noisy time 's expect choose stay centre busy city ! ! ! room comfortable size , clean make every day . fridge tv room also . room temperature fine , noise heating system . shower fine . nice turkish cafe / bar attach hotel ( shame close 10 pm though ! ! ) . great location - 5 minute walk Empire State Building . boyfriend walk attraction hotel - Times Square , Broadway , Soho , Grenwich Village , Central Park , Chinatown / Little Italy etc . 1 2 hour walk away . taxis bus reasonable preferred walk get see . definitely return hotel next NYC visit . 
 Apr 28 2006 	 Big problem 	 book group us hotel business meeting NY . big mistake . close get european budget accomodation US . maybe review budget traveler ok . , expect hotel acceptable business traveler shock . let specific : 1 . ) heat . boiler turn front desk tell we know turn . cold evening April ! 2 . ) bad shower . one guy gave take bath . shower alternate hot cold . way control temperature . 3 . ) Noise . window view ventilation shaft . somewhere nightclub rock band play wee hour -- bass gituar vibrate room . 4 . ) local Calls . want make local call ? must leave $ 50 deposit front desk ! 5 . ) furnishing . get room pull window shade . come hand ! room small dark ( dark lose shade , however ! ) 6 . ) elevator . one entire hotel . real slow -- could get ! finally , not lose remote control TV . must turn check ! needless say , return . 
 Apr 11 2006 	 recommend 	 first thing first , place ' budget ' hotel sense NYC , far cheap . partner travel primarily strength tripadvisor review say okay . trip not plague major concern , lot little thing keep crop up . first , arrive 3 pm room not ready . major deal , able hold luggage go explore city , 10hr+ journey , not ideal . when eventually get room , shove way 9th floor ( ten ) . be one lift ; take absolute age get anywhere , be big enough 5 people - less ' ve get luggage . the room stale , dusty smokey . non - smoker , particularly off - putting . not bad size , shower basin - bath . shower constant source delight , either hot cold never right . plumbing seem mind 's - constantly alternate sub - zero skin - scorchingly hot . not touch anything ! 7 day real pain . indeed , shower seem cause problem worth . last night , return day ( one City never sleep ) find towel room . one . swift phonecall later tell we ' housekeeping close ' would not get towel 7 am . unable shower want , wait towel , predictably , never come next morning . eventually housekeeping deliver , another phonecall , 's point ! also roadside noise contend , nothing major . grumble hotel 's plumbing concern , never stop sleep . dust that . the location can not knock however . two block away Empire State , 4 Madison Square Garden block metro station ( 33rd Street , line 6 think ) . ' leisurely ' 20 minute walk direct Times Square , hotel seem quite safe secure well . in summmary ; great location , good room scary plumbing ! would not choose go back , would not knock back free stay either . 
 Apr 4 2006 	 Loved Grand Union 	 Excellent hotel . great value . stay 4 night recently highly recommend . clean , comfortable room . helpful friendly reception staff . definitely return . stay much expensive place New York horrible room . gem . 
 Mar 31 2006 	 one good ny deal 	 smallish , clean room , redone past year . little fridge room . safe , protect access building . coffee maker room ' ve stay , decent cheap coffee shop lobby . frill hotel great price , one block subway . lot Turkish ( ) restaurant nearby . highly recommend trip spend time room in . I go New York 3 day month work , use live , one two favorite bargain hotel ( Gershwin ) .have also bring niece & amp ; nephew ( 5 - 13 y.o . ) feed 4 breakfast coffee shop $ 20.00 tip ! kid love close Empire State building , even subway go everywhere else . 
 Mar 14 2006 	 good clean hotel walking distance many attraction 	 spend 4 night recommend hotel ! ideal attraction . staff helpful friendly . Cafe right next door , excellent , although open till 8 pm every day say plenty place eat . shower bit tempermental manageable . Loved Times Square - everything glad stay hustle bustle ! ! room big enough although take coathanger need hang clothe . iron hairdryer fridge available refreshment ! ! ! try ' m sure willl disappointed . 
 Mar 1 2006 	 would definitely stay 	 location hotel beat ! ! central , walk distance Times Square , etc .. room small basic , spotlessly clean . double bed small two people sleep comfortably . staff reserve , unfriendly . great hotel use base explore New York . would definitely stay . 
 Feb 24 2006 	 would definitely return 	 four we travel NY first time , read review decide Grand Union seem like relatively good option budget . 2 couple book separately online , upon check - in realize room nowhere near . staff promptly change room problem situate floor . room size absolutely fine ( read description , actually anticipate much small space ) .... surprised find little fridge room , bonus . staff consistently friendly accommodate , always attempt answer question . room clean- problem whatsoever . yeah – ' one elevator- occasionally slow , great New York food ate voluntarily take stair get exercise ! well aspect- simply ' beat location . subway stop second away easily walk many popular spot . other mention , great little restaurant / coffee shop attached- check . would recommend anyone look simple centrally locate hotel , ' want break bank stay . 
 Jan 30 2006 	 good experience Grand Union 	 room small , clean . 's great location , block Empire State Building walk distance Times Square , Penn Station . & quot ; frill & quot ; hotel . 's perfect plan sleep shower . room provide iron / ironing board , alarm clock hairdryer . great diner connected hotel . good food , cheap , good service . overall , would say good experience . get pay , not surprised lack ammenitie . great hotel short trip , budget . would go back weekend getaway . 
 Jan 12 2006 	 40th birthday treat 	 Grand Union situate good possible location trip Manhattan . room book , basic clean . Maids even fold wife pj neatly every day . helpful friendly staff excellent cafe ajoine hotel , get first class service . sit bar stool truely american breakfast ... watch breakfast cook chat friendly turkish manager . we December room cold ... bath fast / hot running water ' ve ever see . as say , excellent base trip . 
 Jan 5 2006 	 Great Room price expect 	 go Manhatten vist sister law . book room we Hotel Grand Union . hotel around corner townhome great location . quaint hotel staff could nice . first let state luxurious , comfortable . great base point go room time . hubby , room full bed , nice bathroom apt size frig , tv opt get phone room . problem , much complainer , people might able deal . first , water shower stay hot . keep jump stream water time go hot cold . second , thermostat regulate heat room like oven . old steam pipe heating . thank goodness 30 degree outside , open small window bedroom area window bathroom . even go far turn airconditioner room . seem help quite bit . one small elevator would suffice say need patient . plenty great restaruant around area . little coffe shop locte door lobby hotel . small serve great breakfast sandwich . also internet access lobby , 3 pc 's set , purchase minute desk . nice little sit area adjacent computer want sit read cup coffee . go local artist 's work display . besides need get room get air . rent car arrive NYC drive Poconos day , come Manhatten . park vehicle 3 day run we $ 78.00 . not bad secure udnerground lot . good place hang hat ! snow cold ! great time would stay . oh way 9th floor . one thing get elevator floor challenge . small corridor , get pay ! 
 Dec 20 2005 	 great value location staff 	 last year ' ve stay Pickwick Arms Hotel go NY hang buddy . time choose Grand Union . pleased . book Venere - great not charge credit card - cancellation policy great . amend date 2 day arrive problem - charge ! ' ve never use Venere , - addition , access room travel site ( expedia , hotel , etc . ) say full . enough - think worthwhile mention . to start , hotel clean - something usually accompany bargain rate . pay $ 165 / night twin room ( full size bed + single bed ) . be town friend work $ 95 / night taxis . bad holiday season NYC . pickwick arm charge $ 89 single ( share bath ) $ 109 single ( en suite bath ) . last year 's price . doubt ' ve go . add tax ' ve get quite bargain Grand Union . room must refurbish recently seem like everything fairly new - even carpet . even new window . room table / chair , mini - fridge cable tv . bathroom quite small - bothersome - certainly tolerable price / location . shower EXTREMELY small ( remind phone booth ) knee wall , er , & quot ; sitting & quot ; bathroom . clean though . fresh towel day . water pressure pretty low , probably due upper floor accomodation . hot water seem readily available . bed firm seem new well . not much trouble sleep several libation , , not point & quot ; tourist class & quot ; hotel ? not get creature comfort - get slightly accomodate horizontal surface . price , definitely place stay . subway literally right outside door ( Lex Line ) Grand Central 10 block road . could want ? be disappointed hotel , would guess 's probably expectation hotel . tourist class hotel . adjust expectation appropriate class accomodation will not disappoint . the staff extremely friendly accomodating . not special request , ' m quite certain would entertained . front desk clerk , turkish fellow , friendly could hope . trouble fix issue , maybe way ask / demand service cause rift . I stay next year . 
 Dec 16 2005 	 great location value 	 stay hotel 12/9 - 12/13 2005 . read reviews site think overall paint pretty accurate picture hotel . anything think little well expect . accomodation expensive NYC time decide want go hotel great bargin . great location , clean room , feel safe . room small sound noise vary depend room . room second floor . room noisy friend 's room quiet . room hot mine cold . great water pressure shower . love COLD . nothing like great hot shower cold day . want enjoy NYC hotel room great place save money . would stay supply demand make hotel 's prohibitive . 
 Dec 12 2005 	 dissapointe ! ! ! 	 go celebrate husband 's birthday two child give we two room one heater . actually , room extremely COLD also feel draft air window . room dark HORRIBLE ! soon arrive husband make reservation move another hotel . move 7:00 a.m. bad want leave place ! even put adorable chocolate labrador hotel . accomodation horrible ! ! ! bed like sleep brick floor . people front desk polite , need nice hotel vacation . call travel agent complaint . never - never stay . think twice reserve room . 
 Dec 2 2005 	 ` ` Gem '' Hotel Grand Union 	 ' m HI spend five night Hotel Grand Union . would read comment hotel web site ... true . hotel slow elevator ' ve ever use . staff especially woman clean room personable . front desk people not welcome we open arm helpful suggest place eat visit . hotel near subway line plus . yes , room small sleep . must comment size shower stall ... could hardly move around without bump side wall ! ( ' m 5 ' 115lb . ) not know would return price date reasonable . Nov. 23 - 28th . HI visit NYC Thanksgiving holiday invigorate adventure . Mahalo ( thank ) wonderful staff Kitchen 22 make meal ambiance Thanksgiving memorable one travelor far away sunny Hawaii . 
 Nov 28 2005 	 okay one time probably will not stay 	 boyfriend stay Hotel Grand Union November 24 November 27 . okay , probably will not stay unless really nothing else available . version pro con hotel : con : -cold room ( old radiator room not seem give much heat ) -Bed small two people , cover quite thin - they give we one washcloth day - the sink hard use ledge stick right basin , make difficult even brush tooth - no remote control tv - no clock room - the shower temperature bit hard control , although find well lot budget hotel shower - it close subway , quite far heart Broadway - the one elevator available quite slowpros- -The room clean roomier expect - the bathroom seem recently remodel - there fridge room , although would nice microwave too - the front desk people friendly enough , perhaps bit spacey - there room store luggage free check out - the lobby front room hotel quite nice - there abundance korean restaurant nearby - it 10- 15 - minute walk luggage get Penn Station 
 Nov 22 2005 	 great location 	 four we stay Grand Union recently four night . our request honour ask high floor adjacent room . the hotel great location , central sight shop . there subway nearby . the staff reasonably helpful . the room adequate size amount time spend little . it base sleep , shower change dump vast amount shopping . it clean comfortable surprisingly quieter imagine New York . the linen change every day . when ask extra pillow lighbulbs change do day . it reasonably price . we would certainly return Grand Union recommend base shopping sightseeing . 
 Nov 14 2005 	 Thanks Trip Advisor 	 love New York . disappointed could get reservation Super 8 46th Street Veterans Day weekend look another location . Boston Globe advertisement Riverside Hotel Suites , read review Trip Advisor , decide keep look . base review forum , choose Hotel Grand Union seventh visit New York year . ( live three hour away car ) check check , everything great . since family four , quad way go . daughter quite happy share bed . able check @ 11:30 left car parking garage next block $ 20.00 per night . room recently update marble bath nice comforter . even small refrigerator ! meal neighborhood , eat Barking Dog , Notaro , Captains Cafe , Murray Hill Diner New York Kom Tang . pleased establishment would like thank everyone make recommendation . past stay Marriott Marquis , Sheraton Midtown Manhattan Super 8 . since little time spend room , prefer less expensive option . really enjoy Murray Hill area neighborhood certainly go back . 
