nice 	 stay hotel weekend one night dockland like ghost town weekend , unless event going excel . use hotel go see Disney Ice O2 . careful check tube DLR weekend though , bit way . get DLR Tower Hill , straight Royal Victoria . nice hotel , modern new feeling . swimming pool nice relaxing feeling . not eat hotel , go italian restaurant near excel , five minute around corner . also shop along road sell water , drink snack etc . staff seem nice friendly reception . room large one large king size bed large sofa bed 3 year old . look like room refurbish recently . nice stay , must admit not pay much room , really could not complain , £ 60 night ! 
 * * * * Star Hotel * * * * price * service . 	 stay Crowne Plaza Xmas party . parking nightmare . pointed direction hotel car park 40 parking space resident hotel far big . run reception get code order get barrier lift car park behind we . great start night . end go EXCEL car park bill £ 18 night . Food Service party excellent . however want rest will not get . room overlook car park door lead next room could hear everything . couple next door keep we awake two hour , end resort phoning front desk . something ' ve never do . to credit management , matter deal immediately . Breakfast rush . get plenty time go close , cereal gone not replenish . show table , . ask waitress tea , could not find toaster , toast . standard request every hotel ' ve ever . everyone hunt around milk , sugar , butter . totally disorganised . one guest boiling tea knock clash rather rush waiter . return breakfast see check queue stretch lift . resorted organising check 1 pm miss rush . Xmas hold next year , will take taxi home . really worth aggro . could much well staff key place reception restaurant . 
 Jan 23 2006 	 Functional isolated . 	 stay Crowne Plaza , Docklands 2 night business trip . arrival : travel via Docklands Light Railway Canary Wharf . due construction work end go multi - storey car park order reach front door hotel . hotel run shuttle bus commuter hour to / from Canary Wharf . would definitely recommend mean , although need book peak time . check - in : check tell room twin room , 2 single bed . 6 ' 3 & quot ; , ideal , ask room double bed available . tell want upgrade ( cost ) . principal decline , next minute receptionist continue keep ask upgrade , start find annoying . sure kind staff incentive selling upgrade . mood helped find 5 ' 3 & quot ; colleague give double room without upgrade ! room : clean , modern , good view Canary Wharf , even 3rd floor . although view may disappear construction next door complete . bath / shower good condition . Aircon bit noisy . tiny single bed ... food / drink : absolutely nothing nearby , save conference centre , unless willing travel little , hotel bar / restaurant option . decide nothing restaurant menu appeal , decide burger bar menu okay . food drink price shade expensive side , surrounding pleasant enough staff generally attentive . overall : would probably stay somewhere surround amenity future . decent , modern functional hotel . 
 Jan 12 2006 	 pleasantly surprised 	 stay Crowne Plaza London Docklands 2 night December , since attend wed Canary Wharf . get Royal Victoria DLR stop , could spot hotel easily since big red sign clear 100 yard away , navigate round building site next bit problematic , lack pavement . find back entrance hotel bring right dlr station next day , use stay ! ! room get seem superior room , although have book standard one , however since ' m Platinum Priority Club card holder , sometimes room upgrade give . room lovely , clean modern , well fit , everything work perfectly ( shower , air conditioning etc ) . get unlimited free bottle water minibar free bottle wine arrival . the facility hotel good - gym & amp ; pool useful , bar restaurant area good size modern . breakfast one morning , not use bar time , Christmas party take residence . overall impressed hotel . location go useful everyone , anyone travel dockland Excel would thoroughly recommend hotel . 
 Dec 22 2005 	 flight path ! 	 hotel different location would problem , fact non - smoking room absolutely reek smoke ! service ok find couple receptionist really rude unpleasant . clean staff housekeep nice though . however , right flight path ! can not understand many reviewer mention . particularly light sleeper find noise unbearable plane pass directly top hotel , low . nothing surround area either - shop , pub , bar , restaurant make sure everything couls possibly need go back hotel night ! hotel would got 3 5 central London , least well location . 
 Dec 16 2005 	 good value upgrade check - in 	 stay hotel September . resident Sunday Monday night book Superior Room £ 110 + vat ( Incl Breakfast ) . hotel 2 minute walk ( ) Docklands Light Railway - Royal Victoria Station . take 10 minute get Tower Bridge DLR station convenient . like hotel quiet area ( shop / nightlife ) hotel ideal right beside river surround apartment , excel centre new apartment development . also get good view millennium dome canary wharf . the noise plane London City Airport , not overly busy airport not affect however light sleeper may wish take ear plug . we use DLR get hotel walk round corner reception modern would not say luxurious . there separate check area Priority Club member basically sign hang one end reception desk together clipboard detail pc member check day , idea make mark next name room card etc ready envelope , credit card pre - authorised etc , wait around . platinum member pc detail list fact empty . the staff reception quite efficient pleasant give room key promptly . mention upgrade make ( benefit platinum pc membership ) ask tell upgrade Executive Room . ask difference tell room high floor ( ' complain state allow term condition also ! ) .I enquirie suite available much would cost upgrade . tell would £ 50 per night upgrade Junior Suite £ 75 Executive Suite . having read detail room prior book website know junior suite one large ( ish ) room choose Executive Suite fourth floor ( five total believe one floor ) .The room locate far end hotel corner . enter hallway area wardrobe , safe , iron , etc , door bathroom standard size bath tub , separate power shower , sink vanity unit , molton brown toiletry , do dark slate white colour , quite nice look overly big . the live room quite large look directly development new road ( may apartment block believe Barratt building ) get clear view Millennium Dome Canary Wharf distance together river . living room floor ceiling window open onto balcony ok stand ' wide enough chair . balcony wrap around whole suite area . the living room dining table four people , usual desk area , two leather arm chair leather sofa ( modern design green quite hard comfy look ok room ) . filter coffee maker one bag coffee ( available free housekeeping ) , 21 " standard TV , mini bar , fairly good lighting air conditioning work well living room area . the bedroom end hallway private people round drink , desk area , 21 " tv , style armchair ottoman living room , large super king size bed actually comfortable . bedroom separate balcony time look directly river nearby development . air conditioning always seem little warm reason . service hotel standard UK hotel service ; let decide mean ! get everything want end ! room service ok menu boring . restaurant downstair quite large look nice enough weekend body would dining ! breakfast serve main restaurant downstairs , usual Crowne Plaza Offerings service . ' order poach egg ' arrive ( morning ) , buffet bad nothing special worth include rate . for price pay feel get good value £ 204 night incl VAT & amp ; breakfast large ( London standard ) executive suite . ' however pay rack rate £ 360 + vat excl breakfast . hope help make mind . 
 Dec 4 2005 	 Business Traveller 	 hotel excellent business traveller especially work around Canary Wharf . stay 3 week happy stay . high point : * room clean * staff friendly * Shuttle bus Canary WharfThanks , Steven 
 Nov 11 2005 	 Good excel 	 London conference excel . executive room king bed . definitely average . nicely decorate , breakfast good . menu restaurant good . bar menu well . fact bar quite popular spite pricey . also walk Novetel eat dinner there . we look get room . dinner good . novetel nice , seem like step Crowne , room pricey . money , Crowne win . much Docklands area unless convention , would look else . take 2 hour get Heathrow metro . make change . 
 Sep 8 2005 	 stay elsewhere 	 first good thing . short walk Docklands Light Railway take Canary Wharf City . 20 minute quite far seem . however , review say nothing around hotel somewhere want go unless night . the first room & quot ; superior & quot ; one . second one move ( see later ) & quot ; standard & quot ; one much difference . decent size , clean well lay room . that see good Crowne Plaza . initially give smoking room ( even although book non smoking one ) not smoke end smoky room really not ideal . make mistake , subsequently handle really , really bad . I call reception ask move . 15 minute promise call back materialise call . someone way . not going wait long well not . go reception tell nobody way ! would still waiting not go back Reception . as Platinum member Priority Club ( need say 50 night get ) would expect , perhaps , might keen look . mistaken front . least room move non smoking . however , reviewer point underneath flight path City Airport . sleep pretty soundly spend many night airport hotel , noise wake . light sleeper definetely not want stay here . the bed pillow way standard Crowne Plaza , although may perception disappointed way treat start stay . CP London City excellent well worth stay ( Standard Executive Rooms excellent ) bed comfortable . all will not go back hotel would urge anyone think booking think twice . might lucky might similar experience mine ! 
 Aug 5 2005 	 great set decent hotel 	 standard room flashy new Crowne Plazas , however hotel whole lovely . set dock side right next Docklands Light Railway station , 's lovely place stay , get away noise pollution Central London . yes , take little get airport / central area , want relax evening ( time stay ) 's ideal - less short break tight timescale , guess . good restaurant , bar pool / gym , convenient parking ( though watch overnight charge ExCeL car park next door - use hotel 's instead . room couple minor maintenance issue , offer upgrade , can not complain . 
 Jul 20 2005 	 Modern Hotel Gym 	 hotel modern , clean , stylish gym pool . comfortable room tea & amp ; coffee . gym reasonable treadmill , bike , cross trainer multi gym equipment . additionally situate right beside Victoria dock run outside wish . ' ve ever breakfast buffet great . good range cook item , fresh fruit , cereal . staff helpful try accommodate request . interested unlike hotel ! transport 2 minute walk DLR Royal Victoria Dock stop - ' 15/20 min ride Tower Bridge stop . ' 1 stop away can Town Jubilee line . hotel perfect business city want good hotel great rate . use stay Thistle Tower - would never go back try place . admittedly ' centre town day ' work ' m happy get back hotel relax . ' recommend see London tourist , would say ' far sight . 
 Jun 18 2005 	 Nice room .. far ! 	 hotel modern , clean room ... far ! offer type shuttle transportation service to / from airport downtown area . prepare spend lot time use public transportation and/or spend majority vacation money taxi cab . 
 Jan 24 2005 	 lovely hotel 
 Dec 17 2004 	 first class hotel get well money ! 
 Nov 25 2004 	 excellent value ! 
 Oct 22 2004 	 Disappointing 
 Sep 14 2004 	 awful awful awful 
 Aug 23 2004 	 great place 
 Aug 22 2004 	 would stay ! 
 Jul 28 2004 	 must stay ! 
 Jun 1 2004 	 great hotel 
 Jan 8 2004 	 hide gem weekend 
 Nov 26 2009 	 Bloß nicht mit der Familie 
 Nov 15 2009 	 sonnige Tage London 
 Nov 3 2008 	 éviter ! 
 Aug 19 2008 	 schöne Hotel den Londoner Docklands 
 Jul 20 2008 	 hotel superbe 
 Sep 8 2007 	 Magnifico hotel 
 Aug 21 2006 	 Confort mais personnel déplaisant 
 Jul 25 2006 	 un vrai cauchemar 
