overprice 	 book theatre package recommend ( 4 Star hotel ! ) sister & amp ; look forward relax birthday celebration . the first thing one room still ready 4 pm discover one considerably small & amp ; dark ask another room tell . could get seat meal hotel Saturday facility pay guest general public thing tell order room service ! consider overprice rate hotel wonder facility pay . breakfast good keep wait table morning & amp ; din room cold , complain ignore .. staff abrupt rude last day try get meal leave tell run food & amp ; kitchen close ! travel & amp ; live abroad several year & amp ; honestly say dismissive disorganised overprice hotel misfortune stay . captive audience due location ( good ) , pride job well do along standard & amp ; quality sadly lack ( watch standard reply hotel ) 
 Aug 6 2007 	 great location ....... 	 Hotel well locate adjacent Seven Dials Theater district London . easy walk distance Liecester Square , Museums , Trafalgar Square , etc . many nice restaurant , shop , bar nearby . easy access Tube . lobby clean pleasant . hotel breakfast ( include reservation ) ok . need hotel breakfast plenty place nearby . hotel staff generally pleasant helpful although across board . main issue hotel bed comfortable . bedding really need replaced/ update . Slept poorly due uncomfortable mattress . convertable sofa daughter incredibly uncomfortable flimsy . hotel could also benefit replace carpeting look wear clean area . room large quiet . bathroom sterile look clean functional . elevator slightly slow small ever see . overall think hotel great potential base location room size . however ( opinion ) need upgrading . upgrade do would stay would recommend friend . 
 Jul 30 2007 	 Hotel hell 	 Radisson Seven Dials Covent Garden London . never think would write review hotel , seedy crap hotel , one take cake ! charge price 4 star hotel stick double room size toilet quality would go toilet . room old disgusting , television couple channel fancy tv pretend exist website . mattress something 16th century . bathroom sorry excuse coffin , end good part awful place . do BOOK ROOM ! 's nightmare ! ! 
 Jul 30 2007 	 Amazing Hotel ! will back ! 	 London 's vastness , one important aspect find good hotel location . regard , doubt Mountbattan beat . heart London 's theatre district step away virtually good neighborhood London . locate charming block boutique , pub , restaurant , Mountbattan truly center good London offer . the hotel absolutely top - notch . book deluxe room king bed extremely impressed extrordinary comfort bed high quality room . marble bathroom , fully stock mini - bar , fluffy terrycloth robe contribute overall luxurious feel room . hotel restaurant , gym , use hotel computer . complaint entire property gym tiny desparate need remodling maid wake every morning slam door exit . though hotel find . enjoy Mountbattan . will not dissapointe . 
 Jul 24 2007 	 never book singel room ! ! ! 	 location terrific , bar nice place hang night theatre , breakfast uninspired okay , book single room hotel , make mistake . the room stay ( # 619 ) , worthy title , would well describe broomcloset . Harry Potter might able make something decent , room worth 's ( expensive ) price . could touch wall hand without fully extend arm . put ironboard , would stand public hallway iron . use toilet would flexible person . when ask manager , agree small room , offer alternative . if be half night might okay , otherwise suggest look alternative . 
 Jul 5 2007 	 Good Location ..... 	 stay 2 night pay £ 200 night include breakfast . room cramp decor bit tired , big problem , however room poorly maintain bulb need replace , mini bar chill bathroom fan working time . mention staff night 1 although fan disconnect , matter attend to . during time hotel encounter manager think perhaps explain erratic service poorly execute food . beware 12 1/2 % service charge add bill bar / restaurant tip line leave blank ! 
 may 29 2007 	 great location erratic service 	 read TA review going expect small room plus poor bar service . room good , plenty spacious enough one nighter bar service really bad - walk end without serve - 10 pm one person serve . check good , allow check early . staff pleasant ( apart Dial Bar 3 awol serving shout loud rather have wait long ) location great feature hotel Cov Garden Traf Sq within minute walk . check bill though , charge breakfast inclusive breakfast deal - bother getting remove . 
 may 12 2007 	 Best Choice Covent Garden 	 stay hotel frequently travel London business , recently March 2007 . try hotel vicinity , discover one , tend well rate far superior immediate area ( include Radisson Edwardian Leicester Square , short stroll away ) . free in - room WiFi access fast reliable , restaurant bar hip & amp ; trendy maintain high quality . hotel 's location , directly Seven dial , good address West London . hotel 's drawback : non - deluxe room quite cramp ; book double could not stand ... upgrade deluxe . otherwise , can not go wrong Mountbatten . 
 may 8 2007 	 Friendly Service Great Location 	 stay long weekend Deluxe King Room please . very friendly service – nothing much trouble . breakfast buffet style large selection ' one hotel would make Egg white omelette fuss ever . the room massive adequate shower strong enough pin wall ( want ) get early check , late check , deluxe room breakfast £ 150 night quality get bargain would definitely stay Mountbatten . 
 Apr 15 2007 	 good hotel without flaw 	 stay one night Radisson Mountbatten , cost £ 144 . quite alot . the service veyr good indeed buffet - style breakfast include . decent selection nice environment . hot cold food ample toast coffee etc . staff friendly indeed nice sitting room area lobby . the room clean , bathroom , however notice repaint need bathroom door - flake off . the main thing draw hotel WiFi room . work brilliantly right away extra cost , could finish uni work email hotel room . the bed double incredibly comfortable . I not like fact room fairly small full view ( look ) busy street boozer pub opposite . close curtain get privacy - net curtain would ideal block sunlight . I mini bar room , not use becuase extortionate . small bag KP nut £ 2.50 kitkat £ 2.25 ! mental pricing ! get snack shop though . I feel well look staff pleasant time hotel . honest , due pricing , probably would not stay . would find somewhere maybe little seek - after location much cheap price , turn , place easily accessible use tube . 
 Apr 4 2007 	 great location so - so hotel 	 second stay hotel . location hardly better make lot . staff friendly helpful . room small necessary stuff ; cleanliness not bad London . bed awful , mattress worn frame stick beyond mattress- smallish room find clumsy keep bang leg . smell damp room , heat hard control . window opposite require curtain close privacy . room service uninspire expensive . Pricing London average , i.e . expensive compare everywhere else . see place sleep West End 's bad choice . 
 Mar 29 2007 	 good location room not great 	 stay hotel week Feb 07 find room mediocre . double room small - think shoebox , air com work step toilet get bath , shower be . the room single well - definately double . 
 Mar 6 2007 	 Fab great stay 	 book hotel one night treat see sight London . * perfectly situated * really nice / helpful staffWe family 4 room king size bed ( though much large king size bed home ! ) sofa bed cot . room well equip bed linen crisp spotless . room service excellent , staff contact .... could enough we ..... quite surprised child not expect treat well . fantastic stay . would go back , sure . 
 Feb 21 2007 	 Mountbatten 	 incredible location . ' ve come London theater place stay . literally right seven Dials . walk anywhere here . the hotel good 4 star hotel . yes , room tiny - even & quot ; deluxe & quot ; one . room nicely do bathroom also small nice . staff outstanding . extremely helpful courteous . stay bar , though . drink expensive service suck . all - mountbatten terrific place stay London theater goer . 
 Jan 8 2007 	 Great Location 	 stay Friday night , lunch book Mayfair next day . the location hotel certainly can not fault . be look visit theatre , go shopping experience nicer bit West End excellent place stay . for visit reception staff polite , efficient friendly concierge desk . standard room fairly small , expect London age building . decor smart everywhere clean well present . the bar / dining area clearly place non - resident use view Seven Dials superb . for & lt ; £ 100 pay certainly represent good value . need pay breakfast either - plenty place nearby . 
 Jan 6 2007 	 good hotel excellent location 	 return great 2 night stay London . everything hotel good . clean room , friendly staff , good breakfast . come back soon . stay several time past always good value London . understand many reviewer disappoint . 
 Jan 5 2007 	 Location Location Location 	 agree , location hotel 's great asset . ' ve stay number time last visit much less satisfactory previous stay . room tiny really claustrophobic problem shower concierge arrange fix immediately . ' ve big room price sure happen time . bar extortionately price service awful . expect wait drink . price charge not expect order consider inconvenience bar staff . say hotel worth stay location alone - 's central . 
 Jan 2 2007 	 great location otherwise pretty average 	 hotel great location , less 5 minute Covent Garden 10 minute Picadilly Circus . attractive entrance reception area . despite glossy look though would not give luke warm review . room tiny , small even would expect London high end price . breakfast include cost ridiculous , particularly walk whole range excellent small cafe within 5 minute less great breakfast half price . staff professional polite , although felt lack real warmth . certainly would not feel home hotel . the bar nice place watch London life go , drink expensive would expect hotel location service little inpersonal - , good go find good atmospheric bar view . if would book small personal hotel . 
 Jan 1 2007 	 fantastic 	 last minute decision stay central London new year 's eve expect normal irritation - problem booking , unfriendly staff , tiny room , noisy etc . delighted say experience none Radisson Edwardian ! arrive late afternoon reception / check staff friendly efficient . room lovely - big single bed anyone 's standard , furry comforter comforting , good size clean bathroom huge heavy drape helped shut city noise wind / rain . hour checking get call reception ask everything ok need anything - think particularly impressive especially look busy new year 's eve . check equally quickly say will recommend hotel everyone . thank lovely stay . 
 Dec 31 2006 	 bad central London 	 not put poor review , hotel not bad one good location covent garden . stay 29th-31st December , double room 3rd floor . room small staying central London ask long intend stay hotel room ! . hotel right middle theatre district show within 10minute walk see Mary Poppins ( 5 min walk ) Lion King ( 10 min walk ) , couple 5 minute tube station either covent garden leicester square can not go wrong want decent hotel great location . providing not pay full price hotel excellent value , shop around internet able get room B & amp ; b £ 105 £ 125 per night . 
 Dec 23 2006 	 not bother 	 one thing hotel nothing strength - locationwe book last minute book upgrade room . check ( second attempt - first turn booking ) , room little converted cupboard - could even lay small case floor . ceiling low aircon / heating oppresively loud . & quot ; curtain & quot ; harldy keep light . when point mistake , reception think thousand excuse sort ( maybe could move another Radisson , example , yet computer woudl take hour ot fix ! ) .London huge tourist city , place survive , care people return , Heathrow provide constant source new punter . avoid 
 Nov 23 2006 	 disaster 	 stay overnight hotel mid week . excellent central location although offer twin room pay deluxe . 7th floor annoy night noise large generator . ear plug must ! breakfast offer excellent nice bar within hotel ( although vodka overprice over - ice ) . 
 Nov 21 2006 	 beware Overcharging ! ! ! 	 frequent traveller stay Mountbatten many time due excellent location . do not like constant attempt overcharge . recently stay Standard Room pay amount normally charge Suite Deluxe Room . please make sure get room value pay . 
 Nov 13 2006 	 Liked lot 	 select particular hotel location . situate 5 Mins walk Leicester Sq ideal base see sight theatreland . room quite small yet well appoint clean , many thank Fatima room service . check swift , staff polite pleasantwell worth visit 
 Oct 12 2006 	 honeymoon sight see 	 excellent base sight seeing everywhere theatre etc . within short walk . staff friendly beyond call duty . would certainly stay . highly recommend 
 Sep 23 2006 	 Great Time ! 	 spend long weekend London Labor Day weekend wiih sister give brotherly support ( breakup , tear , etc . , etc . ) want find place near Covent Garden & amp ; SoHo ; correctly think lively ' hood might cheer . boy , choose correctly ! Mountbatten PERFECT neighborhood ( Seven Dials ) shopping , theater , music , dance , museum , restaurant .... near Covent Garden , Leicester Square afore - mention SoHo hardly use Underground taxi . neighborhood charming funky , remind somewhat neighborhood Chelsea NYC . room comfortable ( bed great , bath clean serve purpose ) small side , another reviewer point , one not spend much time one 's room trip London , fact not cavernous problem . immaculate , housekeeping clean room everyday ( include Sunday , surprised , ) newspaper place outside door everyday greatly appreciate ( would surprise many establishment bother amenity nowadays ) average $ 290.00 per night central London , please . I eat hotel 's restaurant , drink lobby bar , staff attentive , pleasant friendly , concierge front - desk personnel . unless major change subsequent recent negative reviewer ' stay , really can not understand unpleasant experience . stay great , would definately return . 
 Sep 5 2006 	 would stay - Brilliant Location 	 book londontown.com secret hotel booking , must admit name confirm worried give amount poor review need not worried . Great Location , clean & amp ; modern , yes room & amp ; bathroom small expect central london & amp ; London time anyway . ( de - luxe room may big extra expense worth ! ) pay £ 95 night Tax include give london hotel price great , could pay crappy 2 star . ? say would not pay £ 200 night it . we also pre check on - line raddison website great request early check - in , room high floor quiet room need meet , room key ready arrival take 2 min complete check . Breakfast include £ 18 obviously not breakfast ! 's ton nice place locally Soho , Govent Garden etc far enjoyable get hotel breakfast , lovely food £ 15 total 2.in summary not pay full wack , book on - line deal , eat breakfast can not go far wrong hotel . 
 Jul 13 2006 	 love hotel 	 location absolutely great u can not beat it . we stay hotel wife anniversary within minute arrival bottle wine send room compliment hotel ( nice touch ) . room lovely albeit small hey comfortable . concierge helpful.breakfast good unfortunately busy eat sample dinner . 
 Jul 7 2006 	 Superb Location ... Falls Short Service 	 second time stay Radisson Edwardian Mountbatten Hotel . June 2005 , small , well - appoint room upper floor . sadly , air conditioning could keep heat wave swelter night . despite fail , $ 70 breakfast , return give hotel second chance . base fabulous location hotel - right heart Covent Garden within walk distance 2 tube stop theatre district . June spend another 4 night hotel . request room upper floor meet , . room bit large , similar size hotel room NYC -- small , efficient space utilization decorate minimalist style . bathroom lovely -- strong shower , heat towel bar , small efficient layout . wash cloth ? toilet paper ? afternoon return sightseeing make call front desk . night request meet efficiently . however , become bit joke , i.e . & quot ; miss tonight ? & quot ; -- somewhat nuisance . appear not quality control housekeeping department . amenity bathroom replenish need . also , notice concierge always duty not doorman - one welcome we . time want suggestion restaurant ( last year excellent concierge provide fabulous suggestion ) one desk . concierge double doorman block hail taxi 's ? one know ... hotel seem slip regard . yes , would return , due great location . walk destination take tube several time . excellent coffee shop across street - Monmouth Coffee Shop - good cappucino latte ' ve ever . also , would check Covent Garden Hotel next door . although & quot ; rack rate & quot ; high , ' ve hear traveler offer deal , bring price line Radisson Edwardian Mountbatten . 
 May 31 2006 	 would recommend hotel 	 husband visit Mountbatten Hotel aniversary May year . big complainer pay £ 200.00 room 1 night least expect clean . stain carpet , smell strongly cigarette fact whole hotel . throw cushion bed stain smell like wash month . call reception time put another suite . bad . cold smell bathroom bin everytime open smell cigarette . complain wished leave night save money . leave hotel first thing Sunday morning . would recommend hotel . maybe location definelty clean . 
 Apr 29 2006 	 great location great hotel 	 stay Radisson long weekend April sightseeing London . plus side , can not beat location -- minute Covent Garden , Leicester Square , West end theater . unfortunately , 's positive end . ' ve visit London many time honestly say Radisson small room would ever see . literally could leave suitcase open room move . room dark , one small window overlook concrete courtyard . shower drip constantly . bathroom tiny . housekeeping clean room two four day . hotel room door automatically slam let close , awaken 7:30 constantly slam door morning . I not consider critical person come travel certainly aware hotel standard different around world . many wonderful hotel London would never recommend one anyone . favor stay somewhere else . one disappointing . 
 Apr 19 2006 	 's goodie 	 good quality hotel top location . walk distance Covent Garden , Soho , Leicester Square , Trafalgar Square , St James 's Park , Strand , etc . ivy 2 minute round corner . 's reliable french restaurant road . Monmouth Street quiet , good quality shop cafe doorstep . seem good discount price available hotel . 's goodie . I stay March 3 night , thoroughly enjoy visit , ( choice London hotel ) book return visit . try premium hotel corner London . one relax straightforward St Martin 's Lane Hotel Howard Hotel , easy get less expensive Covent Garden Hotel ( super , become bit well known ) . hotel restaurant strong breakfast ( include ) - fruit croissant one day haddock poach egg freshly prepare next . also double well - to - do but - with - it wine bar . the road still Monmouth Street stay , not see mouse ! 
 Mar 7 2006 	 good experience London 	 bit sceptical less wonderful experience Radisson edwardian offering London , choose recommendation colleague work . staff universally good attentive . room 3rd floor excellent size London , well decorate spotlessly clean . air conditioning heating actually respond control noisy . breakfast good . area superb lot choice place eat central . would first choice money area . 
 Feb 4 2006 	 great location - try hard - ... 	 stay late - January long weekend . second visit hotel really like location . however .... first room - deluxe - 6th floor close roof mount AC system - Concord head night ! move Suite - ok . window bedroom fit - cold outside get inside - amazing do towel ! ! ! still not cure poor heating system - additional electric heater supply - unfortunately bring smell fresh paint ! ! ! can not seem win . but - staff much could - 's shame top management not spend time room maybe would give staff tool job right . overall verdict good location , fantastic staff attitude , rather pricy , go back ? will see . 
 Jan 30 2006 	 mouse really keep room warm ! 	 Radisson Covent Garden location go . since partner walk short distance , Covent Garden perfect place , hotel middle all . the room look exactly like picture on - line . see person much small look tired . bed platform ( remember dorm live ? ) 1 ft floor . pay almost $ 300 US per night 4 night week lead Christmas . first night spot mouse charging room , call manager put we another room , finally nice suite ( 2 member staff chase Mickey room ; ) meet american family whose room move mouse well . say mice infusion since Monmouth repair ( you ll read review ) make sense . general feel quite old tired , include breakfast ok- not mind english tranditional oil base hot breakfast . despite , room comfortable , BEST location concierge one good town . say will not stay . value $ . 
 Jan 30 2006 	 Nice Hotel 	 boyfriend arrive Friday morning check immediately frosty receptionist . room assign we size average dogbox . room small dark think would die stay weekend . request different room make sure ask receptionist really nice . bring we much big room , twice size really nice view big en - suite . Hotel nicely decorate , lift unbelievably slow extrememly small ( max 2people ) . frosty receptionist also try get we go ' the Ivy ' dinner Saturday night . expensive place dinner London although lunch price bad disappointed show initiative direct we elsewhere , say place know . hotel bar quite good , really busy great atmosphere . otherwise hotel really central location- 5mins Leicester Sq/ Covent Garden/ Chinatown 10 min Piccadilly Circus . would probably stay , hotel unmemorable staff average . 
 Jan 15 2006 	 nice city centre hotel excellent location 	 stay 2 night theatre / shopping / nightlife break . perfectly locate . quite classy , gorgeous breakfast although get busy short wait Saturday morning . nice trendy bar ( bit pricey ) trade street . noise corridor bite much time room brilliantly insulate major problem . nice black curtain allow good lie ! ! ! would definitely stay due location cleanliness . 
 Sep 20 2005 	 Nice expensive 	 stay Radisson Mountbatten Hotel August , 2005 . originally reservation friend Radisson Vanderbilt hotel friend receive room key , staff realize together usher we seat area tell we room available . proceed lie construction remodeling go , transfer we another hotel . even though friend make reservation month ago , make reservation day , say room available . quickly escort we cab , ask speak manager . two desk clerk look blankly , mumble ' manager . original desk clerk come back explain know lie ' remodel construction go , sign post lobby , good guess give room away Tour Group . clerk deny lying , assure hotel staff would accommodate we inconvenience . honestly , feel like discriminate ' look like upper - class royalty . though say upgrade hotel , . take Radisson Berkshire , drop alley graffiti wall . upgrade . much discussion staff , move Radisson Mountbatten . this hotel turn , nice . however , lobby ugly terribly wear couch , road construction front . room super small , beautifully decorate . even bathroom elegant floor ceiling marble . even tv speaker bathroom . shower set rather funky design get water floor — it half show door . lovely , big , soft towel super nice shame clean floor with . the location excellent opinion . short walk Trafalgar Square . plenty restaurant , pub , cafe close proximity . feel like hustle bustle nosey city life . doubt would stay give bad experience Radisson staff , fact REALLY expensive hotel . breakfast alone £ 30 ( $ 60 US ) . 
 Aug 24 2005 	 Loved hotel ! ! 	 quick review . love hotel . perfect location - center Covent Garden , Seven dial . room update suite arrive ( nice surprise ) - bed excellent . need - lot hot water good shower pressure ... clean ... pretty ... comfortable . breakfast include stay - delicious ! sure check different package price . would stay . lovely . 
 Aug 24 2005 	 great location much else 	 one good thing hotel location ; lot will want near tourist Central London within 10 - 15 minute walk . , hotel leave lot desire , especially be business . I assign tiny , tiny room ; enough space bed , wall table chair . go London business meeting , give long weekend U.S. , stay extra day enjoy favorite city world . unfortunately , catch foot infection next last day confine room afternoon night . tv offering slim -- 5 6 british channel , 5 6 foreign channel much else . & quot ; business center & quot ; consist computer lobby anyone access . ( word , wait 20 minute 15 year old vacation w / mum play e - mail . ) bed , though , comfortable . the Mountbatten acceptable ; will not kill stay , well London hotel level price range . 
 Aug 23 2005 	 good hotel ... 	 stay hotel begin August , superior upgrade room , whole , good value . hotel close Covent Garden many shop , lot place eat shop , though night , young people seem congregate around seven dial roundabout large group . room clean decor pleasant - though fake fur beadspread little strange . bath mat available though , disabled mother , find bath area little slippy . find service restaurant prompt breakfast generally tasty , although small niggle preference chef serve cold hard boil egg . major problem hotel fact whole street outside hotel , Monmouth Street , dig lay new water main , taxi find access difficult . end carry luggage next street , due one way system , taxi fare higher since could go Monmouth Street Shaftesbury Avenue . a good hotel , ..... 
 Aug 5 2005 	 Excellent Value London 	 admittedly fan Radisson chain hotel - previous Radisson experience disappointing - say recent experience Mountbatten pleasant surprise . my business trip London day need within walking distance office Covent Garden area . Mountbatten centrally locate seven dial within walk distance major site ; Soho , Picadilly Circus , Leicester Square , Regent Street . also numerous pub nice restaurant near hotel . after read review Trip Advisor , booked & quot ; business & quot ; room Mountbatten . business room slightly large include King Size bed , sofa , coffee table , desk . tv smallish size room . pay rate 145 pound per night include breakfast . room size big average London . bathroom quite nice although rather strange shower set tub - curtain - glass half - screen mean rather messy experience shower water spray everywhere . the hotel breakfast serve buffet English breakfast . food good service coffee toast efficient nice . complaint hotel regard fitness center lift . fitness center consist 2 rather age treadmill , set ancient free weight 1 cardio machine . center tuck away basement secure passcode - remember ask code venture basement . also treadmill would stop 15 minute run . 2 lift hotel . stay 1 lift service entire time . morning well walk stair . overall , would recommend Mountbatten excellent value , clean room , good food central location . 
 Aug 5 2005 	 great location shame room ! 	 back two night Mountbatten , book Mystery Hotel lastminute.com . disappoint booking confirmation tell Radisson hotel I d read mediocre review . arrival disappointment affirm give box room view across narrow street office block . furthermore ask bed sheet change rip also enormous difficulty open close plug sink constantly jam . helpful chambermaid supply we pencil perfect tool task ! little niggly complaint enough taint stay . otherwise hotel satisfactory around £ 100 per night . do not pay extra breakfast eat great fry nearby cafe £ 3.50 . I m sure inhouse breakfast considerably expensive . nothing special , great location close Covent Garden make acceptable . 
 Jul 22 2005 	 ok still pay 	 stay Radisson Mountbatten couple time recent year , different room level season mixed bag experience : room : standard room generally small comfort . couple go business class room suite get space . suite locate corner building offer nice view Seven Dials . big room may complimentary obtain upgrade fee . breakfast : four year , hotel still struggle implement proper procedure record hotel guest ' room number breakfast . mean may ask tedious question room several time breakfast . similarly , different member staff may ask question whether want english breakfast . first , appear polite friendly , inspection become tedious unprofessional . concierge : always helpful friendly . room service : generally deliver quality food within reasonable time . however , room service order go completely astray recent visit hotel ' unwillingness offer full refund ( although Radisson claim ok , pay ) convince stay somewhere else next visit London . 
 Jul 10 2005 	 Class Act 	 spend two stay two day apiece two consecutive week Radisson Seven Dials July 2005 , find nail - on good hotel experience will get London . both time book Deluxe room . first stay room second floor , well - appoint equip , certainly comparable expectation 4 * hotel size facility . nice touch include comfortable robe , mood light speaker modern , marble - clothe bathroom . the second stay upgrade junior suite sixth floor , , aside extra space ( lounge area sofa table ) comparable ' luxury ' . room quiet free traffic noise , although neither ' tourist ' view - street building way . one key welcome aspect wireless internet room , work 100 % time , great speed , totally free . mean could plan travel around capital leisure without mountain book guide . Breakfast Dial restaurant excellent usual standard - choice major western visitor - english breakfast , meat cheese , fruit , pastry even pancake maple syrup ! staff attentive polite throughout , length go concierge hail taxi arrange transport even south river welcome . the location hotel really better . seven dial wonderful spot , Soho literally two minute walk away , Covent Garden , shop paradise Neal Street Longacre surround hotel . Covent Garden tube likewise right next hotel , even walk , Oxford Circus shopping twenty minute away . I highly recommend Radisson Mountbatten . consider pay premium price accommodation , deliver account way feel pay anything get . value money often associate upper end London hotel , felt get great value Radisson . 
 May 20 2005 	 Stellar Experience Mountbatten 	 return five night stay Mountbatten . say enough good thing experience hotel . review read rather mixed , experience spot stellar . staff young , highly professional , quite personable , promptly attentive without intrusive , knowledgeable . concierge Albert , head housekeeping , personally go beyond assist several occasion . facility spotless elegant . free internet access desk one end lobby , quite convenient quick email check look tourist info . breakfast include room . hotel 's Dial restaurant offer excellent breakfast buffet fresh fruit , cheese two kind smoke salmon ( ! ) , assorted bread item , full English , part , make order . not eat meal , can not opine lunch dinner . dial restaurant surround picture window allow view busy seven dial . great people watch . popular Dial bar one end restaurant , quite trendy absolutely buzz activity evening . decor quite unfussy , clean - lined , comfortably chic . would call contemporary infuse traditional element . suite ( ! ) seventh floor , highly recommend . suite king platform bed oversized leather headboard . nice sit area love seat two leather chair , glass cocktail end table , TV Bose Radio / cd player . one corner build desk ( power strip convert plug device ) use bar . long walk closet full length mirror , safe , mini fridge , build wood shelving , plenty room hang clothe along one whole long side closet . lovely thick robe hang closet , slipper also provide . Linens luxury , towel quite thick nice . bath italian marble chrome , double trough sink , nice long deep tub hand hold shower wand ( quite nice shampoo bath ) . separate shower steam feature , heat towel rack . two window , one bathroom , could open couple inch . view building rooftop . I really can not comment room type , see . mountbatten near Leichester Square , Trafalgar Square Soho , well Covent Garden . within ten fifteen minute walk direction do typical vacation . Covent Garden alone , theatre , museum , restaurant , Covent Garden Market area abundant shopping street performer , Opera House , Transport Museum , etc . , etc . example , last night London , go see Producers dine afterwards Maggiore 's , easily walkable hotel . course , Covent Garden tube station make get anywhere Central London snap . the location unbeatable , service superb , facility decor top notch . 's love ? 
 Jan 25 2005 	 price exceed quality 	 order find new place stay London ( wonderful West Street hotel closing ) , check standard douple room hotel . room plain , small ( bathroom nice ) , accordance lobby , even less high price hotel . would put money hotel . 
 Jan 23 2005 	 Spectacularly Average ! 	 find Hotel line . look really really good really impressive review . book weekend London . staff efficient check - in ... certainly overtly friendly . room real disappointment ... far cry picture website . really single room double bed really cramp . luckily weather dry stay much weekend . finally check , impersonal efficiency evidence one ask find hotel . money spend , spectacularly average ! 
 Jan 15 2005 	 unbeatable location excellent staff 
 Nov 30 2004 	 busy location secure stylish hotel - shame bug 
 Oct 4 2004 	 great staff 
 Aug 31 2004 	 Pleasant Surprise 
 Jun 17 2004 	 good location nice room little pricey 
 May 2 2004 	 Great Location Good Little Hotel 
 Apr 29 2004 	 thoroughly ' nice ' ' ok ' 
 Mar 15 2004 	 Great Hotel great location 
 Jan 21 2004 	 need improvement 
 May 3 2003 	 good experience around 
 Nov 16 2009 	 Lage perfekt sonst aber gar nix ... 
 Aug 21 2009 	 très bon hôtel Radisson au coeur de Londres ( Covent Garden / Soho ) 
 Jul 30 2009 	 Parfait ! 
 Jul 17 2009 	 Satisfaite 
 Jun 13 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 11 2008 	 Ubicación inmejorable relación calidad precio mejorable . 
 Aug 25 2008 	 Perfekte Lage 
 Nov 17 2007 	 Super city Hotel 
