Weekend 	 excellent hotel Chicago weekend not mind take MTA City ( 30 - 40 minute $ 2 ) . fly , frequent shuttle pick ORD . driving - in weekend , hotel adjacent Blue Line Station get city . traffic maddening . they good fitness room basement pool area adjacent family . caution would recommend room end # # 14 , away freeway room set 1 bedroom . many room tv lazy Susan / dresser separate sleep area living area . thing , bathroom modern walk - in shower -- tub ... 
 Jun 25 2006 	 Renaissance improve -- excellent food overall acceptable 	 Hotel stay : Friday June 23rd thru Sunday June 25th . I visit hotel April 2004 Chicago Hair Show . overall experience somewhat improve ( well food alcohol ) . write review hope improve overall experience next visit . positive changes1.food Mediterranean Café restaurant exceptional ; regular coffee smooth tasty , breakfast buffet ( complimentary ' club floor ' suite ) excellent ; chef prepare ' on - the - fly ' omelet fresh delicious . bacon high quality danish tasty sweet . mushroom burger order via room service well prepare , deliver promptly tasty . 2.16th floor suite clean , bed comfortable , environmental control work well.3.hotel elevator plentiful ( 4 ) move quickly floor ; 4.hotel staff polite accommodating ; perhaps concierge bit naive regard travel area . 5.wireless broadband access lobby welcome perk . Criticsms1.Ice maker 16th floor never ice ( probably broken ) 2.vertical tile directly across shower door unattached wall – grout broken.3.minor communication error : example -- 2 double bed request one king deliver ; room - service hamburger miss bacon , luxury car deliver front desk instead standard ' low - end ' cab , staff explain breakfast free service available ' club room ' room never opened.4.in - room safe ' open Saturday night ; due busy front - desk ( presumably ) staff unavailability problem ' resolve hour.5.aft preview pay - per - view movie accidentally hit ' buy ' unable ' cancel ' transaction cancel button remote.6.prefer vertical wall separate suite living room area bedroom.7.grateful parking garage credit - card reader work ; additional charge parking ! recommend kind $ 20- $ 30 parking pass guest $ 5 other . 
 Jun 1 2006 	 comfortable place 	 husband , friend stay place month ago long layover airport . Shuttle efficient direct front door . make reservation Priceline get reasonable price ( $ 65 ) suite . room ( ) beautiful friend Kate even say pull - out bed couch fine . bathroom immaculate posh ! usual shampoo conditioner replace & quot ; natural & quot ; type amenity fantastic . not tired , way sick , would really nice enjoy hotel offer . hear traffic , way . quiet , two televison -- one bedroom another work - area / living room . would certainly stay could get price . take photo , be other ! beautiful ! 
 May 24 2006 	 Loved Place 	 stay Renaissance Chicago O'Hare May , 2006 can not say enough great thing place . room : large , well appoint room include great work area . tv swivel view tv either bed work / couch area . bed comfortable lot pillow nice linen . , quiet . sure pull , hear sound either room next door busy expressway nearby . bathroom large granite countertop glass walk shower . everything extrmely clean well maintain . feel new . location : two mile O'hare . shuttle run every 20 minute airport bus terminal . one block walk Cumberland EL station . take train downtown day ( take 20 minute ) inexpensive fun . enjoy zipping along track traffic direction sit still & quot ; expressway & quot ; staff : extremely nice helpful . even offer take we favorite hot dog stand mile away ( Jean Judes ) .Work facility : fully equip , large work - out room rival health club . stairmaster , treadmill , free weight machine . fairly large indoor pool separate dry sauna man woman . well maintain crowd . given pay $ 150 ( include taxis ) expect plush experience . highly recommend . wish could spent time hotel . 
 May 18 2006 	 Great room Value Service need improve 	 third stay O'Hare Renaissance . stay four night time . suite hotel room beautiful . bathroom glass shower stall marble vanity . large working desk small living area . laptop safe tv living area bedroom . room quiet even Kennedy Expressway outside jet fly overhead day night . trouble noise . concierge Lounge nice , . hotel step away Cumberland stop Blue Line & quot ; El & quot ; want save money stay take train downtown sightseeing , meal , etc . staff hotel learn excellent service . not problem , many employee speak not seem interested , look blank face , use language one would use friend rather customer nice hotel . need training . would deter stay , however , overall 's great value . would expect adequate , great service . 
 may 16 2006 	 opinion solo woman traveller 	 United flight cancel December 2005 , United give number call get room around $ 60 . well stay many hotel around world could not ask airport hotel . hotel clean nicely decorate . elevator quite large adequitly fast .. staff deal pleasant professional . room spacious although alone look like could easily accomoodate couple small family . room clean good I m bit neat freak tend notice thing come hotel . nicely scnete bath product favourite kind shower stall flexible shower head . great bed , comfortable sleep like queen seven pillow . room service . late arrive tired travelling , instead go onsite restaurant , order room service . club house sandwich cost around $ 10 come fry condiment . food arrive quickly pretty darn good clubhouse . I two trivial complaint kind thing notice many hotel US Canada hotel exception . first one bedside lamp work do not need anyway , secondly sit area curtain do not work properly due ignorance work part . overall woman travel alone think like , would anyone need place stay flight cancel . 
 Apr 6 2006 	 great suite 	 beautiful , modern , european look hotel . suite large enough family , seperate bedroom living room , large tv room . room privacy . location close O'Hare airport shuttle run every 15 minute . get room priceline half list website . highly recommend hotel . 
 Mar 7 2006 	 spacious super comfortable 	 need hotel close airport , read wonderful review one , decide stay Renaissance . front desk service friendly efficient . room soooo great ! baby , need little extra room , suite perfect ! actually seperate bedroom . bed sooo comforable soft sheet lot pillow . could access bathroom bedroom , living room area . bathroom HUGE ! ! shower luxurious . be big , feel like royalty ! plenty room husband get ready . living room great . couch couple chair coffee station , fridge , another tv.there huge desk well , would nicely accomodate business traveler . we order room service . guess pretty typical . food serve fast , taste awful , extremely pricey . late starving , job . I stay heartbeat ! 
 Feb 23 2006 	 Nice Hotel ... 	 nice airport hotel reason choose area . new hotel really nice room however sound proof rather poor considering 's proximity Kennedy expressway , l - train , airport . could hear every l - train pass hotel air traffic noise get bit loud time . opinion regular Renaissance standard usually nice anchor Marriott line . room decent sized however fail include microwave fridge . bedroom rather small little room door close . cost ( $ 89 night ) great hotel Renaissance par . spare extra $ 20 stay Marriott Suites O'hare road much large room much well sound proof . 
 Jan 19 2006 	 Clean Rooms Good Bar 	 travel every week many different location . room hotel quite possibly clean ' ve ever . modern comfortable . good relax get work do . nice shower . bar invite lady . good time . 
 Nov 21 2005 	 revive Renaissance 	 grand moment step shuttle bus . though locate close airport , ' ve spare expense recently build Marriott hotel . I could see downtown skyline 14th floor window . room tastefully do spacious . staff attentive , except little mixup room service morning departure . blue - line station right next hotel , less 5 minute walk , connect & quot ; El & quot ; line city , take 30 - minute make town . enjoy stay ! 
 Nov 10 2005 	 Clean Convenient Hotel 	 Overall like Renaissance quite bit- reason stay also maybe reason go run back . the positive : new hotel , cleanest room ' ve stay long time , friendly helpful front desk , nice concierge lounge good breakfast , comfortable bed bedding , easy shuttle airportthe negative : room not exactly suite- l shape studio swive tv low piece furniture divide room not really feel like true division space , be nice place , not cushy plush high quality impression Renaissance hotel normally . believe Renaissance fairly high end chain Marrriott hotel definitely not feel furnishing fit description ( compare say Renaissance downtown Chicago ) . also not agree previous comment price- pay $ 188 room AAA discount regular rate ( $ 200 ) . good value hotel . again , place nice , new CLEAN count lot . be also anything ordinary . 
 Nov 9 2005 	 Great Hotel perfect location 	 get back four - day visit Chicago love hotel stay . customer service excellent , bed comfortable many pillow , room nicely furnish , modern great desk / work area roll sofa . staff friendly , El / Subway within walk distance well restaurant like bennigan late drink / burger . addition , shuttle airport easy quick . negative . parking $ 15 per night could hear traffic / plane peak period , overall great experience would stay next visit . 
 Sep 21 2005 	 Great Property Close Airport 	 Stayed Renaissance O'Hare business trip one night . hotel great . room mini suite enough room get work do also relax . hotel location right highway minute O'Hare make ideal business nearby area also catch early morning flight O'Hare . 
 Aug 30 2005 	 Renaissance One ! ! 
 Aug 13 2005 	 excellent staff clean large room 
 Aug 5 2005 	 great stay Renaissance O'Hare 
 Jul 9 2005 	 Great Airport Hotel / Bad Shuttle 
 Jul 2 2005 	 quiet clean ! 
 Jun 13 2005 	 good business hotel . 
 May 31 2005 	 wonderful Stay Renaissance ! 
 May 17 2005 	 Great Airport Hotel 
 Apr 19 2005 	 ok business - ready banquet reception yet 
 Mar 11 2005 	 great new hotel 
 Aug 11 2007 	 schöne Hotel gute verbindung 
