third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Jul 26 2009 	 nice expect 	 right go , stay 30 june untill 7th july 09 , previously stay Treasure Island 6 month return vegas attend desert classic dart tournement , book monte carlo nearer mandalay bay . check ok , $ 20 dollar trick desk get up - grade high floor strip view nice , although wait hour room clean , do not mind much go explore . room soooo need up - date , wonky lamp shade , sheet fit dark feel room , bed comfy bathroom clean lot fresh towel . the brew pub close lance burton show ( broken leg ? ? ) food court busy morning quick service notice . Sharon macdonald never smile nack get que quickly , never get order wrong . coffee far cheap subway starbuck , internet accsess $ 5 20 min , ( bad ) .Diablos cantina outside always busy free margharita give main meal purchase , also serve large glass inste egg cup sometimes find & quot ; freebie & quot ; . food ok , ask mayo sure enough deliver super quick . gift shop : do not buy anything help , $ 8 pack cigie $ 3 bottle water , cvs place next door water $ 1 . find monte carlos location outside lot & quot ; clicky clicky man & quot ; shove porn card face do not matter male , female family , get , go way belagio walkway street cover card , 35 year old do not phase we , see one woman try explain 6 year old ! ! ( good ) take drink pool , skimpy waitress come past every ten min ask want drink , cost nearly $ 18 beer coke , tip ? ? pool great although jacuzzie icy cold , see elderly woman blue lip ! ! lazy river good fun get crowded inflatable , kids pool look quite gate stop little monster escape . Cafe monte carlo similar Treasure Islands , almost menu be not dissapointe , although corned beef hash could do makeover delia smith . try mushroon cheese omlette , nice . at night come back , wall thin bit noise neighbour , also tray room service leave floor morning collection , still , old pizza box hallway trip you ve one many . the casino average , much excitment go , go crap lesson one morning walk away way explain do not make sense dealer far intreste takling , hour life ill never get back . drink free long gamble , however glass small tumbl far much ice , waitress rarley see , cheap drink , do not sit slot machine hope come find put $ 20 dollar look busy , go pay full whack beer , still save money . I would not stay , really need somebody go shake thing bit , seem bit stuck 70 's , good base go party , det drunk , sleep . one word warn , , , , go watch fountain belagio , dont buy water shop inside $ 8 ! ! ! ! nearly cry see man ice box sell $ 1 outside fountain . have Fun , go back next year stay Treasure Island . ( sorry m.c ) x 
 Jul 25 2009 	 love lazy river ! 	 ' ve stay venetian , Golden Nugget , Planet Hollywood , Sahara , Trump Towers Monte Carlo . comparison , MC nice hotel be look clean run mill room relatively good location easy navigate reasonable price . easy access parking garage lobby , elevator , pool , food court . hotel ' ve stay one definitely convenient amenity . front desk personnel , food server , lifeguard , housekeeper pleasant helpful . disappointed Brew Pub close , happy Food Court . McDonald 's favorite open til 3 re - open 5 . price reasonable .... even offer $ 1 sweet tea ! absolutely love pool area , especially lazy river . instead pay $ 14 $ 15 rent tube day purchase $ 2 tube Wal - Mart . pool attendant graciously inflate tube we even offer write name . even though room nothing fancy , bed pillow comfortable . air conditioner also work well quiet . the negative City Center build next door . looms pool area look place . certainly hope attractive complete later year . Las Vegas Blvd . modify accommodate City Center traffic create traffic jam . also make difficult walk Bellagio casino side . use tram MC Bellagio assume tear City Center . never hear construction noise . overall , would definitely stay Monte Carlo .... great hotel price convenience . 
 Jul 23 2009 	 great value 	 one big complaint smell casino ... 's pine sol baby wipe ... great odour.pool standard droppedroom good , staff really good ! 
 Jul 22 2009 	 great accomodation affordable price 	 one old hotel strip clean nicely renovate . unlike early review experience issue construction noise . check check easy room promise reservation . find convenient Starbucks fast food place hotel early morning late night snack . probably highlight stay wonderful pool say pool Monte Carlo . nice option wave pool , lazy river , regular pool lounge . one tip pool bum buy large souvenir cup first day pool reuse rest time . get twice amount beverage little would pay small one . also one time order food pool bring timely manner yummy . careful charge room could experience sticker shock end week . whole stay negative thing find room service slow clean food tray leave hall . spa facility hotel well worth visit . specific hot stone massage awesome - make sure ask Christina . 
 Jul 21 2009 	 terrific service location 	 spend four night Monte Carlo last month . love go Las Vegas , ' m much gambler . like relax , shop , hang . hotel perfect interest . ideal location across MGM 's easy get monorail travel strip . room clean quiet . air conditioner work well bed comfortable . no coffee room dislike , seem typical hotel strip . order room service standing order every morning 6:30 . service fantastic . bring coffee every morning time even pour ! go spa pedicure - seem little rush , still enjoyable expense . overall , excellent value ! 
 Jul 21 2009 	 Monte Carlo Las Vegas 	 husband , teenager recently vacation three week US ( Canadians ) . arrive LA , stay Anaheim , Palm Springs Vegas final 10 day vacation . third visit Vegas time ' ve stay different hotel . trip stay Monte Carlo three pool area , especially lazy river . lazy river expect fun thing Monte Carlo . arrive room view look window clean year . view overlook awful construction area . pleasant . Monte Carlo must old hotel never renovate . room first assign large chunk wood miss furniture , dark stain carpet , old - style tv , comforter bed look like put 1980 , wash time - to - time still old . look like someone urine desk chair . bathroom overall feeling . think walk hotel room never feel like million people stay . exactly . hotel move we twice third time room well first two much . prepay room ten night hotel would give we full refund stay . prepay month arrival receive summer special buffet 2 1 . not bother go buffet . terrible - nothing pig slop . Monte Carlo pay $ 79 night weekend pay $ 189 per night hotel cheap . mention , California Vegas total three week . stay Howard Johnson Anaheim , Holiday Inn Palm Springs hotel great . advice anyone stay Monte Carlo . will not stay ever return October ! RECOMMEND ! 
 Jul 21 2009 	 Great Value ! 	 Stayed Monte Carlo July 12th - 15th ! great stay love pool area atmosphere around pool area ! room suite 30th floor awesome also ! hot tub , steamer shower , bar area ! amazed see flat screen room ! view incredible alone would go back ! hotel self average be not like other visit strip ! would stay sure , staff friendly casino mood hotel always joyful ! 
 Jul 20 2009 	 Surprise Broken 	 want surprise wife friend first visit Las Vegas champagne chocolate cover strawberry first walk room Monte Carlo Hotel . make several call hotel tell everytime could item room check ruin surprise / wow factor . even though reservation tell room assign check . statement take directly hotel web site . guess key phrase & quot ; upon arrival & quot ; . love one , friend family member stay we ? would like show think even though ' make trip ? thing . arrange send gift upon arrival card share little something extra . choose incredible list choice , start strawberry champagne relax spa basket , make happen . 
 Jul 19 2009 	 overall one good value . 	 wife daughter stay first part weeklong stay hotel , hear good thing want try . check Sunday afternoon find almost desert hotel . recession really take 's toll , guess . the check fast agent professional . check room , apparent thatteh air conditioning floor . room clean , however picture show , lack update bedding room need refresh undinged furniture nightstand . as basically use room sleep , not major issue . we use restaurant , food court , spa , pool casino trip . find staff accomodate . restaurant construction , option . diablo 's , ' ve experience , live reputation great palce drink people watch , bad mexican theme menu boot . the buffet lack quality entree item . cafe much well regard ! money pay , happy overall . if overlook tired guestroom , great hotel great location ! 
 Jul 18 2009 	 Great Value Hotel ! 	 Monte Carlo amazing hotel price ! stay trip 4 girl get 2 room . check put we different floor ask see anything close end right across hall . customer service friendly efficient checkin checkout . location great . 's 3/4 way strip be way end . be great walk one side Strip , turn around walk side . be near major hotel MGM Grand New York , New York 's see lot traffic . come flu Vegas spend quite bit time hotel room bed , safely say really comfortable ! problem air conditioning , work fine nice . bathroom roomy clean nice granite countertop . lot counterspace great room full girl get ready . room service staff really nice , sick want either plain toast butter flat Gingerale , chicken noodle soup . not really room service menu , call ask give option thought would good someone sick . room serivce ( anywhere ) expensive would try avoid be try watch spending . go pool area short time , girl travel able spend day pool say find open chair not difficult ( ' ve stay hotel Vegas sometimes near impossible find open beach chair ) LOVED lazy river . be nice able float around lazily innertube stay cool soak sun . enough palm tree around offer shade want well . 3 - star hotel price come , Monte Carlo feel like 4 star hotel great value . hotel 's 3 - star class , would definitely choose Monte Carlo . 
 Jul 18 2009 	 great resort 	 wife stay middle July , 2009 , great experience . front desk staff accomadating provide we terrific room , Monaco suite . room spacious well design . problem find machine play table play entire week . pool area nice lazy river , although crowd , relaxing . new parking garage recent addition convenient . well lit security person time . look forward next trip Vegas plan stay Monte Carlo . 
 Jul 17 2009 	 Great Spot Strip ! 	 want action convenience place stay . little pricey , hey 's Vegas ! staff accommodate well organise . parking service EXCELLENT ! pool wonderful casino even food court . thing not like ( probably common Vegas ) casino smokey time room little noisy pool music construction work . check give we option high floor face strip extra $ 20 night . decide take offer would probably nothing complain . read review mixed feeling stay , guess everyone differ experience people fussier other . would recommend stay ! 
 Jul 16 2009 	 food police 	 change room twice , time wait 20 min line . wait ten min drink brew pub staff chat one customer good look age ( happen least two bar hotel ) pool bar charge $ 10 two bottle water . check room key pool gate good also check bag . think also security find look food , buy two ice cream HOTEL take pool stop tell could eat pool . stand 40 degree heat ice cream run arm unable reach sister tell come eat unable go . argue sign anywere rule . ask reason , hygiene people drink creamy cocktail rainbow ice drink pool spill leave nice foamy scum around edge water swim , could reason want buy expensive food drink pool bar . pool area filthy , put bag floor cover stain , clothe dirty bed , swam twice seven day pool pack lot people stand pool wave drink , sun bed reserve 9 am one around lunch time . Sat watch people force eat quickly stand throw food away , even familie small child throw away snax buy hotel shop , one woman turn away bacause apple . loud rock music start 9AM get loud day , room hotel shabby scruffy house keeping do little possible . lot look like drunk teenager run around scream shouting . staff rude apart buffet staff . pay alot money suppose ok hotel , feel cheat ruin birthday trip 
 Jul 16 2009 	 friendly clean bargain 	 despite construction go around hotel , really enjoy stay . 's swankiest room ( mainly bed linen okay , great ) , be spend little , expect ? clean , casino one less frenetic one strip . 's plenty space light , dealer nice . casino also strong odor ( neither smoke cloy air freshener ) . Vegas meet family . check first . different floor parent , spend night original room , ask could move floor , promptly happen . I would happy stay return trip . 
 Jul 16 2009 	 want love ... not want love ! 	 okay , want try stay Monte Carlo seem little upscale NYNY next door , ' ve stay twice . hit disappointment second arrive . entire MC parking structure CLOSED guest ! use construction worker City Center ! park hot sun walk 200 yard heavy bag , lot traffic side alley . Valet pack whole time , hate leave nice car valet . also , like Mirage , strange check - in area , single line , stand front desk clerk . several people walk get room wait . the elevator bank close though , one service upper room . hallway room sparse , decoration feel Monte Carlo . room make NYNY look like palm ! nothing special room . normal amenity , day hotel Vegas offer something beyond & quot ; normal & quot ; , especially high rate pay . Most average quality find area . pool area pack every day 4 night stay , get last chair time go . would nice pool area loud music make talk waitress almost impossible . river nice , need get rid half people order nice swim getting bump . hear let people NYNY use MC 's pool . gambling , buffet coffee shop also nothing special , though service average . diablo 's , right front , great fajita great view Strip . eat Andre 's 4 Star meal . sea bass worth every penny ! would let open bottle expensive wine have bring . not corkage . front desk clerk give we $ 25 card use , , service great policy need change . end buy pair cheap wine glass drinking step right Strip ! also try Brand , steak place , right side casino open . smell lot cigarette smoke throughout dinner . burger good , server little young high price . the overall crowd MC young expect prove Vegas lot visitor . run Monte Carlo would demand shuttle , bus carpool construction worker , thus give MC guest back parking structure . would also create single check - in line , add special amenity room , low music pool , separate area adult want peace quiet . until ' m really able recommend MC . 
 Jul 15 2009 	 nice room good price . 	 service excellent , location great , check breeze . 
 Jul 14 2009 	 back 	 travel Vegas yearly , say Monte Carlo classy hotel reasonable rate . stay past two year find hotel clean , staff helpful . room extravagant , clean nice . look forward next trip Vegas , Monte Carlo ! ! ! ! 
 Jul 13 2009 	 stay away 	 hear pretty good thing hotel , case . not find picky traveler . customer service horrible . front desk knowledgeable . rude helpful . feel like favour allow stay . Vegas many time never experience quite like one . last time stay MGM property . 
 Jul 13 2009 	 really enjoy time Monte Carlo 	 return great stay Monte Carlo . try get vegas year little nervous reading review . previous trip ' ve stay Venetian , MGM , Caesars . Monte Carlo send we deal good pass really enjoy stay . would definitely stay . love layout MC . easy get around . come room , main lobby , pool , casino , food court right . hotel walk mile get around . room average not care . generally leave room 9 am not go bed 1 am . sleep , shower , change room . ' ve see bad review bed fine comfortable . room last one 27th floor noisy neighbor construction not issue . another good piece advice take previous review bring tube lazy river we . think wife buy $ 5 compare rent buy pool . negative could not sit edge pool drink . hotel ' ve could not drink beer sit side pool . instead run $ 75 bar tab per day pool , buy one beer four day b / c not want drink sit chair . say , would definitely stay . 's nice hotel ' ve stay , price great . average $ 50 / night ( Wed - Sat night ) would stay MC time rate . 
 Jul 13 2009 	 hotel staff friendly 	 Hotel mediocre . room dark well ventilate . Mattress way soft . hotel staff friendly . call ask direction gym , get rude answer hung . stay . 
 Jul 13 2009 	 Poor Service Strip Hotel 	 First review we must say service Casino bad ever see Las Vegas . spend money Casino tommorrow . staff rude atmosphere make play fun . spend nearly 30 minute get service crap table drink . video poker even bad , bartender spend time deliver drink . place dead absolutely fun ! not Vegas fun ? stay play ! ! ! oh , Diablo Cantina great place eat hang ... ! ! 
 Jul 7 2009 	 amenity ok customer service horrible 	 book room ahead time prepay check 2 3 reserve room . fortunately able pull confirmation email phone show indeed book 3 room . arrive room , shower awfull . addition , maid clean bathroom room well , find garbage floor window shower hair smear tile side arrive . however , maid manage lift item clothing room . file report treat rudely & quot ; risk management & quot ; staff compensate . tell send letter apology say not receive rudely ask & quot ; check mail recently & quot ; . say least impressed stay never go back . oh pay use hotel gym . 
 Jul 7 2009 	 good location 	 hotel good location Strip . room tad date clean & amp ; comfortable . maid service adequate also . pool overcrowded ( summer & amp ; , surprise ) manage good time relax & amp ; order decent poolside cocktail & amp ; food . bed real comfortable .. evening walk Strip , want comfy bed go . 
 Jul 6 2009 	 Great stay- Pool make worth ! 	 hesitant book hotel 3 night stay 4th July weekend . feel review need balance bad review . experience great . overall , staff helpful friendly , hotel room ( fairly basic small ) clean nice view srip . stay deluxe high floor strip view room quiet bed fine . pool good part ! get early get chair- , problem find chair together . Pro's- wave pool- kind small , lot fun- lazy river swift fun- bring raft pool . also rent one raft , be cheap buy one walgreen nearby . pool attendant also happy blow you- , good service- Pool drink service fast someone always come . food pool also good.- 's regular pool well- mainly adult pool . 6 year old we , use wave pool lazy river mainly.- Pool area get crowede , not let deter you- 's fine- Pool hour big hotels- one close 7 . other close 6 ( be vegas , go figure ) - live DJ pool . music loud , terrible . even hangover ok.- 's store lobby- essential could need- Food court hotel ( McDonalds , Starbucks , Rubios , etc ) - great quick bite- fast elevators- easy check - in check - out- fast valet service- pretty good location strip- especially travel kids- 's close excalibur & amp ; world , etcCon 's : - room pretty small , adequate- Halls could use touch up- room service tray leave days- Food service cafe ok- price pretty high- Casino ok- ' ve well worseall , would say kid - friendly nice hotel . would definitely recommend anyone look hotel great pool clean room nice view . not worry bad reviews- could not find anything really bad hotel- tough critic . 
 Jul 5 2009 	 nothing write home job 	 really decent price hotel relatively close well casino . accommodation pretty standard much well expect $ 40 night ! bed comfortable room clean , water pressure good . not spend much time anyway = ) 
 Jul 3 2009 	 Great Location - Ok Casino - Staff ` ` ok '' 	 girlfriend stay Monte Carlo late June . book Tues - Sat $ 42 night . could not really beat . family stay Mandalay Bay Hard Rock . close proxemity all . so arrive check . glad see casino easy navigate . be kinda like straight line , crazy hall turn everywhere . probably fave part palce . do not look hard find family . we do not really eat , can not comment food . the room pretty blah . nothing special , nothing wrong either . wokre . do not know would feel pay more / night . pay happy . great location , ok service , ok room . 
 Jul 1 2009 		 location hotel good . room small . the poor service would elaborate hair dryer stop work someone come replace new one wall ( bad time ) . come back never . remainder visit dryer sittin counter . room plain jane . bathroom fixture old . nothing elaborate room . pay internet local call . money take place spend casino making look appeal outside . would not stay . 
 Jul 1 2009 	 thank ! 	 location hotel great activity Las Vegas . the hotel however good . old worn . clean ok , long do not look bed . ( .. ) like really bad tvreception , doorkey work perhaps every third time plumbing wake whole floor perfect hotel . add bonus get boring casino working player club . ofcourse lose membership information player club almost accuse steal card . internet access $ 14.99 per 24h period insult even though seem quite fast . really good thing staff check in / out poolarea . 
 Jul 1 2009 	 Monte Carlo - Good Enough 	 review long overdue . wonderful family reunion include family member Montreal , Toronto , LA Santa Barbara . fifteen we stay Monte Carlo . get ball roll fact brother - in - law free five day trip LV work family , decide join . manage get fabulous rate $ 59 first 3 night , $ 129 week - end . stay venetian two year aga ( first time Vegas ) , leary stepdown . impression : firstly , size hotel huge plus . wonderfully manageable . walk fifteen minute reach front desk . big hustle bustle lobby common area . make sense since big attraction draw crowd . theme . nice marble lobby . check bit dicey upon arrival . sister request floor . instead , end different floor . staff response rather icey apologetic least . decide move end . much hastle . room : clean . decent enough furnishing . come nowhere close suite Venezia Tower . bathroom fine . one big problem - bed awful ( two Queens ) . tell everyone feel like sleep water bed - fill halfway ! lumpy , soupy , lightweight . blanket sheet well . thin linen ; ugly brown woven blanket . fluffy duvet nestle two layer crip sheet room . honestly , suffer low backache two month sleep . , room adequate . fourth floor look NYNY rollercoaster . scream wheel grind get go early side ( be wonder anyone would ride rollercoaster hour ) . oh yes , also hear beep sound garbage construction truck . thank goodness earplug . I not gamble , casino seem decent enough . food : fast food choice fine breakfast . discover hot oatmeal variety fixing starbuck - yummy . egg rather greasy breakfast stop . coupon buffet , decide breakfast one morning . good selection . complaint . eat one restaurant one night . sorry , ' ve forget name , 's casual diner type one . overall , food fair definitely would not go back . really make we squirm witnessing crew ( include kind security person manager ) totally disinfect table behind we , blue rubber glove . even throw cutlery dish table . not go trouble ask go fear answer . plus we location . like fact hotel not dead set middle strip action , rather close south end scene not hectic . also , make get Vegas much easy , navigation timewise . bottom line - would stay MC ? probably unless guarantee brand new pillow top bed top quality duvet linen . mention bottom sheet not fit cause slide somepoint night . totally gross wake matress cover . say ? Venezia spoil we silly ! 
 Jun 29 2009 	 enjoy hotel pool disappointing 	 stay 2 nite happy overall hotel . really like layout - walk mile casino get room . elevator right lobby well ' fast food ' type restaurant . bed comfortable - plus long day walk strip . book special summer package include several 2 1 coupon . get room , realize ' forgot ' coupon - however front desk correct mistake later . the big disappointment pool area . able go pool one late afternoon . find 4 chair together ( plus ) , think pool water dirty . cloudy piece paper float - probably people drink smoking pool . wave pool work day , water much clean one pool . course expect loud music definitely loud - forget relax pool music . might stay base location hotel - colder weather - want pool time . 
 Jun 29 2009 	 SAY ` ` '' 	 thing good hotel fact smell like smoke like hotel . room outdate , tub working , stop middle shower let water go continue would overflow , call never show fix , tell checkout say mention , ask new hair dryer , since throw spark get one nasty dirty thing next day , finally call bring we new one 4:30am , ask 2:30am ..... 
 Jun 28 2009 	 great view strip 	 room spacious , bed squeaky & amp ; back hurt day stay . chair stain , hate , sit anything look like . pool nice , food bar area good . buffet , price , YUCK ! great view room . find someplace else stay . 
 Jun 26 2009 	 Skip Monte Carlo ! 	 good thing recent stay Monte Carlo Hotel & amp ; Casino 1 night . room buffet adequate nothing special . first problem check - in , agent handling check - in answer phone call keep we wait close 10 minute handle complaint another guest want change room . get room , quick check window reveal ugly view ' ve ever - nothing construction everywhere . however , not come view figure construction would not problem night . wrong ! night long , equipment deliver supply , crash metal equipment backup beep dominate night noise . understand guest try change room check . next problem head breakfast . hear 1st emergency alarm boarding elevator . alarm keep go peridically half hour not 4th 5th alarm bother announce alarm test . three day later pass Las Vegas spend 2 night Treasure Island great room price ( around $ 75 night ) . difference ! 
 Jun 26 2009 	 definitely keeper 	 Monte Carlo definitely list favorite Las Vegas . arrive early ( noon ) able check right away . check quick easy . room ( 16th floor ) spacious clean . bed comfortable . bathroom marble clean . shower great . bother construction . use pool walk agree music loud ( everywhere Vegas ) crowd . food Cafe excellent reasonably price Vegas standard . casino large easy navigate . not plan win Vegas right . thing wound tight drum . gamble downtown Four Queens sure stay laser light show . 
 Jun 26 2009 	 twelve Years stay Monte Carlo - never ! 	 arrive Monte 11 - hour flight tell room would not ready till 5 pm . get expect Strip View entirely block tower huge grey wall turn part new City Centre project . bed ok not supply decent plump pillow instead doll house variety ? wife stay ( recommend ) Monte Carlo since open 1996 see steady decline every aspect Hotel . last visit 18 month ago see start City Centre construction right next hotel -and noise dust accompany . once - fabulous pool area greatly reduce ( Lazy River not work day arrive ) whole environment overshadow appear Backside Benidorm . - huge grey warehouse - style abomination completely ruin view . even cool waterfall go . arrival pool 9 am everyone bag search ( , bomb ) - & quot ; due change policy not allow food pool area & quot ; tell officious Border Guard wife bag crisp promptly confiscate - kid behind half - eat bag popcorn . ask people allow coffee tell : & quot ; Coffee ok food . & quot ; & quot ; even Danish buy hotel accompany Starubucks ? & quot ; query - tell pastry forbid list ! safely past sentry go towel : & quot ; two per guest & quot ; ! girl bark take four . & quot ; need 2 wife well & quot ; protest sulkily supply another pair . time settle longer ear - splitting noise ( could describe music ) blast eardrum . not get wrong like music ( Smith 's hero ) usual Monte soft rock -it Gangsta Rap full blast go mercilessly morning . People complain around pool one couple go Reception lodge objection , people join queue . avail . second morning ( food search ) & quot ; Yo Momma ! Yo momma ! & quot ; belt -it relentless - people complained told & quot ; music stream satellite can not change it . & quot ; ( yes hear correctly ) . not know Manager friend Snoop Doggy Dog despite daily protest pay guest refuse either play something might appreciate majority pay guest - low volume . complain Reception advise & quot ; get home fill form Website . & quot ; Brilliant . instead write strong letter Monte notepaper handed - check disgust ! contempt guest - wonder place terminal decline . even Lance Burton go AWOL - Theatre close notice -he apparently ' off sick ' ( surprised ) . Shopping Street Dreams consist one lonely shop ( other close ) hotel Hypermarket disappear make space new Mexican - theme Diablo Cantina lively , fun , busy totally character Hotel 's ' classy ' French Rivera theme . venture outside Hotel constantly pimp thrust ' girl hire ' card we . later count thirteen ( yes thirteen ) pimp line holidaymaker run gamut sleaze escape yet another line pusher yards Strip . stress enough disgust management Monte Carlo ( repeat ' ve regular guest nearly thirteen year ) certainly neither return , recommend pit friend . check went Treasure Island Hotel spot great offer Expedia website ( one free night five ) . see report Treasure Island would highly recommend not want spend vacation bleeding eardrum pastry - less coffee . 
 Jun 25 2009 	 good value money 	 base review hotel , look forward say build work round pool finish nice pleasent hotel . room bit disapointing smell smoke bath drain well . want laze pool get early . vey shock many people go pool 9 leave towel much later day . make get space difficult remind Spain ( also good place hangver load music play opening closing ) . find staff helpful friendly . brand steak house amazing , bit pricey . Diablos great , drink , cocktail food brillant open view strip . amount money pay trip great whilst would prefer stay another hotel next visit , would rule stay . 
 Jun 24 2009 	 bathroom stopp 	 upon arrival June 15 8:30 , daughter check see room available . tell check back 2 pm , . daughter room , not . check clerk find room another floor . arrive room , immediately go bathroom start bath discover stopper hold water . call 2:10 3 pm , finally go talk someone personally . tell person front desk Angela supervisor none tub stopper . moment say , daughter step one . feel insult say tubs stopper . suggest could go CVS buy one could reimburse . travel , bath important , arrive early , ready relax . also , stopper put allow water seep , whenever take bath , water would stay level . I room 13 - 325 , be give room , refuse . 
 Jun 22 2009 	 completely average not expect grab spot pool 	 find hotel destination overrate find average good . big drawback pool area hotel . possible relax situation tram pass overhead unless get pool early morning . hotel general overcrowd . like brewery though . 
 Jun 18 2009 	 great Vegas experience 	 stay early construction City Center pound do , great place again . it nice child check , go room without step casino . many place boast , appreciate . the hotel high end casino room appropriate . standard room , case two bed , nicely decorate appoint . the bed comfortable bathroom also adequate . price pay truly exceptional deal . wave pool lazy river keep kid busy able get work do . eat hotel , comment food , place would hesitate stay again . the negative parking . main parking garage take construction worker , challenge find adequate parking . 
 Jun 18 2009 	 False Advertising 	 Monte Carlo offer Summer Vegas promotion include 2 1 Lance Burton ticket . problem - show cancel July 7th , yet still sell promotion cancel date offer type compensation already book promotion . think , least , rain check two one ticket offer . reservation clerk tell point also option 2 1 zumanity ticket . not want zumanity ticket would booked promotion Lance Burton . disappointed hotel 's lack customer service ethic . 
 Jun 17 2009 	 good value money shortcoming 	 location pretty good , pool noisy crowd , casino smoky , window really filthy . guy front desk tell problem window washing equipment since last year 's fire . Guess think one would care thick layer dirt cake window . very expensive poolside drink . 
 Jun 17 2009 	 pleasantly surprise 	 since visit Vegas year visit several hotel area . first Monte Carlo . centrally locate . staff friendly helpful . clean well ventilate . smoker sometimes old casino reek old cigarette smoke . Monte Carlo smell fresh . stay entirely non - smoking floor , nice . pool great , crowded weekend though get spot early . great nachos pool pub . pool adult kid . spa one nice spa area . small still amenitie love . hotel spacious overly large like hotel & amp ; casino , take half hour get room walk front door . thing would changed get room strip side oppose pool side , music start 9 be due late night not quite ready get early . otherwise room nice quiet , not hear neighbor hotel ( Bally 's , Luxor , etc ) . would defintely recommend stay . colleague even check hotel check Monte Carlo since sooo bad . 
 Jun 17 2009 	 Loved ! 	 stay one night intend return stay long . room spacious , clean everything work . check quick easy staff helpful . 2 1 Martini 's let bartender whip favorite . hotel well place Strip lot great place visit closeby . parking problem limited number space , end twig Valet answer 's free apart gratuity . 
 Jun 15 2009 	 Stolen housekeeping 	 spend week Monte Carlo Hotel . go airport forgot bag room . come back 40 minute later housekpe go inside room , take away value thing leave bag magazine . room already dirty , go look & quot ; forgetable thing & quot ; find . security find nike sunglass car , rest thing . Monte Carlo safety ple stay ! ! 
 Jun 15 2009 	 Excellent Conference Facilities 	 attend business conference Monte Carlo past four year . wife come along always stay hotel . please Monaco Suite service receive hotel guest . equally impressive conference facility business center . business need meet attend three day conference . hotel well prepare nothing overlook convenience conference attendee . Monte Carlo facility continue impressive ever encounter . 
 Jun 14 2009 	 loud rock music everywhere 	 awaken 6 construction noise . realize City Center build next door ask high floor room - get 29th floor - great ? ! renovate 30th floor - lot hammering . ask 23rd 24th Floor away noise - move 24th Fl . casino play loud hard rock music . could not stay pool - music unbearable . be early 60' . we get great show ticket next door MGM Grand & quot ; Tix 4 tonight & quot ; . Jersey Boys fabulous also enjoy Louie Anderson . drive Mt . Charleston breakfast Mt . Charlestown Resort - beautiful ski area 30 min Las Vegas . mistakingly eat Andres Mote Carlo Hotel . $ 45- $ 63 entree . dinner cost $ 200 we food okay . great five day Vegas would stay Monte Carlo loud music . also unexpected $ 20 / per day charge use Fitness Ctr . 
 Jun 14 2009 	 another great stay 	 year June husband attend conference Monte Carlo . come along relax quiet time stay hotel convenient . usually get King room high floor ask side away City Center construction . year decide get Monaco suite really stretch . pool side , also construction side , noise hear blast music shake window come pool day . night , ' hear sound construction sound hear early morning hour . book well advance price reasonable . I love stay Monte Carlo hotel casino quiet crowded week . also keep smoke minimum ' easy escape fresh air still play machine find table one smoking . stay Wednesday Saturday morning service excellent , room clean whenever ask disturb we several choice dine right inside hotel . within walking distance hotel usually walk Bellagio watch water show stop casino way back . it still amaze people bring kid " card snapper " still try shove porno card hand walk along street evening show adult , Monte Carlo seem mild expose body part display around hotel . pool one good wave area , reverse current area float river area seem popular family . hotel less expensive lot glitz Monte Carlo stay number one choice long conference continue hold Las Vegas . 
 Jun 14 2009 	 good location would stay 	 husband come back 5 night stay Monte Carlo ( 6/5 - 6/10/09 ) . almost not book hotel bit concerned read review noise level construction go next door loud music pool . 12th floor , south side , view strip although could see construction could not hear . far pool concern , loud ( Monday afternoon less ) not spend much time . great close ny , ny & amp ; mgm cvs next door essential . one big complaint buffet- food good find really not hot even put . end eat food pasta station dinner omelette station breakfast get hot food . room standard room king bed sheet bed clean although bit ratty really need replacement soon . also , please aware 2 restaurant hotel close renovation right Lance Burton show & quot ; notice & quot ; end leave hotel food / entertainment . fortunately , get great deal hotel would not spend may stay somewhere else next time price . 
 Jun 11 2009 	 wonderful experience 	 husband book five day spa suite Monte Carlo May 2009 30th birthday . lobby breathtaking smell rose , check quick ! suite 28th , floor , beyond anything imagine ! floor quiet , room far exceed expectation ! bed comfortable , spa tube HUGE , bathroom nice , room large . suite also clean , nightly turn - down service leave chocolate bed . FANTASTIC stay room , , far be concern , value beat ! hotel good location ... right across street NYNY ( favorite casino ) MGM grand . would stay hotel HEARTBEAT ... already recommend friend ! 
 Jun 11 2009 	 room great 	 stay Monte Carlo 2 night . the room wonderful confortable . best part casino hotel do not go hotel gambing . only problem hardly option food vegetarian . I would recommend anyone visit Las Vegas stay Monte Carlo . 
 Jun 8 2009 	 Nice hotel casino 	 stay 3 night , hotel great location across mgm grand , good service friendly casino poker room . drawback construction next door almost wipe - out pool area . room high enough bothered construction person travel low floor awaken early every morning buy noise . 
